E AV DE AT	 AU DE AT
Quand vous n’euſſiez donné qu’vne de vos paroles, Ie n’euſſe pas laiſſé de faire tout pour vous,	Quand vous n'eussiez donné qu'une de vos paroles, Je n'eusse pas laissé de faire tout pour vous,
M.	M.
ROBERT.	ROBERT.
Vous pouuez grandement.	Vous pouvez grandement.
DAMIS.	DAMIS.
Ie puis tout entre nouss C’eſt vn vieux Officier parfaitement ignare;	Je puis tout entre nouss C'est un vieux Officier parfaitement ignare;
Ie ſuis Iuge & Greſſier, mais il eſt fort auare, Et voudra que quelqu’vn réponde de ſes droicts.	Je suis Juge et Gressier, mais il est fort avare, Et voudra que quelqu'un réponde de ses droits.
LISANDRE.	LISANDRE.
Oüy, quelqu’vn pouroit bien en auoir ſur les doigts.	Oui, quelqu'vn pourrait bien en avoir sur les doigts.
Greher, que faités-vous?	Gréher, que faitez-vous?
DAMIS.	DAMIS.
Ie decrette vne plainte.	Je décrète une plainte.
Si viſte?	Si vite?
LISANDRE.	LISANDRE.
DAMIS.	DAMIS.
L’on le fait alors que l’on a crainte De quelque éuaſion.	L'on le fait alors que l'on a crainte De quelque évasion.
13	13
LISANDRE.	LISANDRE.
Il faut donc la ſigner.	Il faut donc la signer.
Cependant donnez ordre à faire conſigner.	Cependant donnez ordre à faire consigner.
C’en eſt fait.	C'en est fait.
DAMIS.	DAMIS.
LISANDRE.	LISANDRE.
Vous auez receu trois torts notables, Primò, c’eſt vn Valet des plus juſticiables;	Vous avez reçu trois torts notables, Primace, c'est un Valet des plus justiciables;
Secundò, c’eſt d’auoir atitré des Filoux;	Secund, c'est d'avoir atitré des Filoux;
Tertiò, c’eſt le rapt qu’il a commis chez vous;	Terti, c'est le rapt qu'il a commis chez vous;
In quarto, vous voulez que i’entende ſon Maiſtre, de rous cioyez tremper au complot de ce traiſtr In quinto, vous voulez que s’il eſt conuaincu, l'our reparation l’accuſe ſoit pendu.	In quarto, vous voulez que j'entende son Maître, de rous cioyez tremper au complot de ce traistr In quinto, vous voulez que s'il est convaincu, l'our réparation l'accuse soit pendu.
M.	M.
ROBERT.	ROBERT.
Proſecto, ie le veux, & vous ferez juſtico	Prosecto, Seigneur le veux, et vous ferez justico
Il s’appelle?	Il s'appelle?
LISANDRE.	LISANDRE.
M.	M.
RODERI.	RODERI.
Agrimont.	Agrimont.
LISANDRE.	LISANDRE.
Fort bien;	Fort bien;
& ſon complice	et son complice
M.	M.
ROBERT.	ROBERT.
Vn certain Fanfaron, jureur de cap de bious.	Un certain Fanfaron, jureur de cap de bious.
LISANDRE.	LISANDRE.
rour l'exetution, Glemer, qui prendrons-nous?	rour l'exétution, Glémer, qui prendrons-nous?
DAMIS.	DAMIS.
Voicy déja la Roque, Auale-tout, la Ruſe;	Voici déjà la Roque, Auale-tout, la Ruse;
Pas-vn de ces trois-là ne paſſera pour buſe;	Pas-même de ces trois-là ne passera pour buse;
Ce nombre là ſuffit.	Ce nombre là suffit.
LISANDRE.	LISANDRE.
Hé bien donc ſuiuez moy?	Hé bien donc suivez -moi?
Frapez à cette porte?	Frappez à cette porte?
LA ROQVE.	LA ROUQE.
Ouurez de par le Roy?	Ouvrez de par le Roi?
SCENE XII.	SCÈNE XII.
LE MEDECIN, AGRIMONT, LISANDRE, DAMIS, M.	LE MÉDECIN, AGRIMONT, LISANDRE, DAMIS, M.
ROBERT, CLARICE, M.	ROBERT, CLARICE, M.
A MBROISE, & le reſte.	À MBROISE, et le reste.
LE MEDECIN.	LE MÉDECIN.
mcort qu'inla jouiy phay erouuanle luge, OIl ſert aux gens de bien d’azile & de refuge;	mcort qu'inla joui phai erouuanle luge, IL sert aux gens de bien d'asile et de refuge;
Et ie luy feray voir que cet Empoiſonneur, Pour prendre de l’argent, à perdu ſon honneur.	Et ieande ferai voir que cet Empoisonneur, Pour prendre de l'argent, à perdu son honneur.
AGRIMONT.	AGRIMONT.
En quelque lieu qu’il ſoit, ſa mort eſt infaillible.	En quelque lieu qu'il soit, sa mort est infaillible.
Le voila, ie m’en vais le percer comme vn crible.	Le voilà, Seigneur m'en vais le percer comme un crible.
e le na la ass A ma face, inſolent?	Je le na la ass À ma face, insolent?
arreſtez ce faquin?	arrêtez ce faquin?
M.	M.
ROBERT.	ROBERT.
Ha!	Ha!
Monſieur le Bailly, voila mon aſſaſſin, Voila le Rauiſſeur de Lucrece ma Fille.	Monsieur le Bailly, voilà mon assassin, Voilà le Ravisseur de Lucrece ma Fille.
LISANDRE.	LISANDRE.
Comment?	Comment?
deſ-honorer vne honneſte Famille!	des-honorer une honnête Famille!
Faire ſortir de nuit vn homme, & le mener En des lieux où l’on a penſé l’aſſaſſiner!	Faire sortir de nuit un homme, et le mener En des lieux où l'on a pensé l'assassiner!
AGRIMONT.	AGRIMONT.
Moy, Monſieur?	Moi, Monsieur?
M.	M.
ROBERT.	ROBERT.
Oüy, toy-meſme, aſſaſſin execrable,	Oui, toi-même, assassin exécrable,
LE MEDECIN.	LE MÉDECIN.
Monſieur, tout ce qu’il dit n’eſt qu’vne pure fable;	Monsieur, tout ce qu'il dit n'est qu'une pure fable;
le iue lens ta parcie, Mmiaine Eipoloneur, Qui vends pour de l’argent ta gloire & ton honneur.	le jue lens ta parcie, Mmiaine Éipoloneur, Qui vends pour de l'argent ta gloire et ton honneur.
M.	M.
ROBERT.	ROBERT.
Moy (ſauf correction ſ & par Monſieur S.	Moi (sauff correction s et par Monsieur S.
George.	George.
Vous en auez menty cent pieds dans voſtre gorge.	Vous en avez menti cent pieds dans votre gorge.
LISANDRE.	LISANDRE.
Eſcoutons-nous de grace, ou pour fuir i'eilibarras, Ie vous enuoîray tous vous quereller là bas.	Écoutons-nous de grâce, ou pour fuir j'eilibarras, Je vous enuoîray tous vous quereller là bas.
Parlez, Maiſtre Robert, faites voſtre harangue?	Parlez, Maître Robert, faites votre harangue?
M.	M.
ROBERT.	ROBERT.
Faites, mes pauures yeux, l’office de ma langue.	Faites, mes pauvres yeux, l'office de ma langue.
Monſieur, il m’a forcé de quitter mon logis Pour médicamenter vn Sorcier, vn Maugis, Qui ne comparoiſt point, & qui fait le malade, Et c’eſt luy qui m’a fait donner dans l’embuſcade.	Monsieur, il m'a forcé de quitter mon logis Pour médicamenter un Sorcier, un Maugis, Qui ne comparaît point, et qui fait le malade, Et c'est lui qui m'a fait donner dans l'embuscade.
Oüy, par luy-meſme encor i’ay donné dans les rets Qu’il m’auoit fait dreſſer par ſes coupe-jarrets, Et dont ie ſuis ſorty pour chercher vn refuge, Et demander juſtice à vous, Monſieur le Iuge, Du vol, du rapt, du meurtre;	Oui, par autre-même encor j'ai donné dans les rets Qu'il m'avait fait dresser par ses coupejarrets, Et dont tu suis sorti pour chercher un refuge, Et demander justice à vous, Monsieur le Juge, Du vol, Du vol, du meurtre;
& dans vn tel effroy, Vous le voyez, mes coups parlent aſſez pour moy.	et dans un tel effroi, Vous le voyez, mes coups parlent assez pour moi.
LISANDRE.	LISANDRE.
Répondez, Agrimont?	Répondez, Agrimont?
AGRIMONT.	AGRIMONT.
Ie n’ay rien à répondre, Sinon qu’en quatre mots ie m’en vais le confondre.	Je n'ai rien à répondre, Sinon qu'en quatre mots tu m'en vais le confondre.
Où diable as-tu trouué que ie t’auois induit De reduire mon Maiſtre où ie le voy reduit?	Où diable as-tu trouvé que tu t'avais induit De réduire mon Maître où on le vois réduit?
Vn Garçon comme moy ſe charger de ta Fille!	Un Garçon comme moi se charger de ta Fille!
B ij	B ij
LISANDRE.	LISANDRE.
Vous riez!	Vous riez!
il y va du bien d’vne Famille.	il y va du bien d'une Famille.
AGRIMONT.	AGRIMONT.
Moy?	Moi?
ie ne raille point, ie parle tout de bon;	Ne ne raille point, ie parle tout de bon;
Et les coups dont il veut qu’on luy faſſe raiſon, A qui s’en veut-il prẽdre?	Et les coups dont il veut qu'on était fasse raison, À qui s'en veut-il prendre?
à mõ malheureux Maiſtre?	à mon malheureux Maître?
Iugez apres cela ſi ce n’eſt pas vn traiſtre, Qui voudroit ſur des faits qu’on ne peut accorder, Par prétendus excés la Iuſtice éluder.	Jugez après cela si ce n'est pas un traître, Qui voudrait sur des faits qu'on ne peut accorder, Par prétendus excès la Justice éluder.
Pour preuue de cela, qu’on cherche, qu’on furette, Qu'on ne laiſſe au logis ny place, ny cachette;	Pour preuve de cela, qu'on cherche, qu'on furette, Qu'on ne laisse au logis ni place, ni cachette;
Et s’il ſe trouue rien de ce qu’il a perdu, Ie conſens ſans appel d’eſtre auſſi-toſt pendu;	Et s'il se trouve rien de ce qu'il a perdu, Je consens sans appel d'être aussitôt pendu;
Et partant ie requiers que l’on ne me dénie La reparation de cette calomnie, Et que vous m’accordiez, Mõſieur, en meſme temps, Dommages, intereſts, & cent francs de deſpens.	Et partant ici requiers que l'on ne me dénie La réparation de cette calomnie, Et que vous m'accordiez, Mõsieur, en même temps, Dommages, intérêts, et cent francs de dépens.
LISANDRE.	LISANDRE.
D eit ullez.	 Dit ullez.
vous, Monedr, qu’auez-vous à nous dire?	vous, Monedr, qu'avez-vous à nous dire?
LE MEDECIN.	LE MÉDECIN.
Que ce melchant a mis ce pauure homme en delire Par vn médicament à contre-temps donné.	Que ce melchant a mis ce pauvre homme en délire Par un médicament à contretemps donné.
M.	M.
ROBERT.	ROBERT.
Enuieux, c’eſt bien toy qui l’as empoiſonné.	Envieux, c'est bien toi qui l'as empoisonné.
LE MEDECIN.	LE MÉDECIN.
Et partant ie conclus, que ce faiſeur de ſchiſmes Faſſe amende honorable à tous nos Aphoriſmes.	Et partant ici conclus, que ce faiseur de schismes Fasse amende honorable à tous nos Aphorismes.
M.	M.
ROBERT.	ROBERT.
Ie le ſçay mieux que toy, Medecin de bibus, Attrapeur d’ignorans, auec tes beaux rébus:	Je le sais mieux que toi, Médecin de bibus, Attrapeur d'ignorants, avec tes beaux rébus:
I’exerçois auant toy long-temps la Medecine;	J'exerçois avant toi longtemps la Médecine;
Et ſi depuis vingt ans ailleurs ie me deſtine, C’eſt pour ſçauoir trop bien cet Aphoriſme là.	Et si depuis vingt ans ailleurs te me destine, C'est pour savoir trop bien cet Aphorisme là.
Stercus & vrina Medici ſunt prandia prima.	Stercus et vrina Médici sunt prandia prima.
Si tu veux de ce pas tu peux en aller prendre.	Si tu veux de ce pas tu peux en aller prendre.
LISANDRE.	LISANDRE.
Greffier, quel jugement là-deſſus faut-il rendre?	Greffier, quel jugement là-dessus faut-il rendre?
DAMIS.	DAMIS.
Tel que tu le voudras.	Tel que tu le voudras.
LISANDRE.	LISANDRE.
Ie ſuiuray vos auis, Il eſt fort à propos qu’ils ſoient icy ſuiuis.	Je suivrai vos avis, Il est fort à propos qu'ils soient ici suivis.
Paix-là?	Paix-là?
DAMIS.	DAMIS.
LISANDRE.	LISANDRE.
Pour faire droict ſur toutes vos Requeſtes, Vous adminiſtrerez témoins dignes d’enqueſtes;	Pour faire droit sur toutes vos Requêtes, Vous administrerez témoins dignes d'enquêtes;
Et d’autant qu’il s’agit de rapt & de poiſon, Agrimont & Robert entreront en priſon.	Et d'autant qu'il s'agit de rapt et de poison, Agrimont et Robert entreront en prison.
Et quant aux deux reſtans dont l’vn paroiſt debile, Pour priſon ſeulement nous leur donnons la Ville.	Et quant aux deux restants dont l'un paraît débile, Pour prison seulement nous leur donnons la Ville.
M.	M.
ROBERT.	ROBERT.
Ha!	Ha!
Monſieur le Bailly, vous n’auez pas raiſon, La Loy defend de mettre vn Docteur en priſon.	Monsieur le Bailly, vous n'avez pas raison, La Loi défend de mettre un Docteur en prison.
Carceribus detineri Doûtor aut honeſta Perſona non poteſt vt tractatur in Lege Medicos;	Carcéribus détineri Doûtor aut honêta Persa non potest ut tractatur in Lege Médicos;
joint que delicti venia petentibus Datur Lege Manichæos.	joint que délicti venia petentibus Datur Lege Manichæos.
DE MIEDACTIO Mais, Docteur ſuranné, ie vous ſuis à la piſte, Et vous aurez beau faire à preſent le Sophiſte, Vous ſebirez la Loy qui dit que, Delicta Non oportet vnquam eſſe impunita.	DE MIÉDACTIO Mais, Docteur suranné, je vous suis à la piste, Et vous aurez beau faire à présent le Sophiste, Vous sébirez la Loi qui dit que, Délicta Non oportet unquam esse impunita.
M.	M.
ROBERT.	ROBERT.
Heu me miſerum, que ie ſuis miſerable!	Heu me miserum, que ici suis misérable!
De tomber dans les mains du Medecin du Diable.	De tomber dans les mains du Médecin du Diable.
C’eſt fort bien reparty;	C'est fort bien réparti;
ce qu’il dit ſeroit vray, Et ce ſeroit clauum elauo repellere,	ce qu'il dit serait vrai, Et ce serait clauum elleauo repelle,
B iiij Si i’eſtois conuaincu du crime qu’il m’impute.	 BijOur j'étais convaincu du crime qu'il m'impute.
LISANDRE.	LISANDRE.
Nous mettrons bien-toſt fin à toute la diſpute;	Nous mettrons bientôt fin à toute la dispute;
Nous auons, grace à Dieu, le don de diſcerner De dauj duuee lo Mdu.	Nous avons, grâce à Dieu, le don de discerner De dauj ue lo Médu.
SCENE DERNIERE.	SCÈNE DERNIÈRE.
LVCRECE, LIDAMANT, LISANDRE, DAMIS, CLARICE, MAISTRE ROBERT, AGRIMONT, LE MEDECIN, ISABELLE.	LUCRECE, LIDAMANT, LISANDRE, DAMIS, CLARICE, MAÎTRE ROBERT, AGRIMONT, LE MÉDECIN, ISABELLE.
MAIST.	MAIST.
AMBROISE, FABRICE.	AMBROISE, FABRICE.
LVCRECE.	LUCRECE.
Non, ie veux retourner Au logis de mon Pere, & luy demander grace;	Non, Seigneur veux retourner Au logis de mon Père, et Seigneur demander grâce;
Il n’eſt rien pour cela que mon deuoir ne faſſe.	Il n'est rien pour cela que mon devoir ne fasse.
Mais las!	Mais las!
en quel eſtat me paroiſt-il icy?	en quel état me paraît-il ici?
LIDAMANT.	LIDAMANT.
Monſieur, i’allois chez vous vous tirer de ſoucy, Ie ſuis coupable ſeul, c’eſt moy qui par adreſſe Ay de nuit enleué l'adorable Lucrece;	Monsieur, j'allais chez vous vous tirer de souci, Je suis coupable seul, c'est moi qui par adresse Ai de nuit enlevé l'adorable Lucrece;
Ie confeſſe mon crime, & loin d’en abuſer, Ie ne me rens icy qu’afin de l’épouſer.	Je confesse mon crime, et loin d'en abuser, Je ne me rends ici qu'afin de l'épouser.
LISANDRE.	LISANDRE.
Hé bien, Maiſtre Robert, qu’auez-vous plus à dire?	Hé bien, Maître Robert, qu'avez-vous plus à dire?
M.	M.
ROBERT.	ROBERT.
Que le Ciel par bonté conſent que ie reſpire:	Que le Ciel par bonté consent que Seigneur respire:
Oüy, ma Fille, prenez Lidamant pour Epoux.	Oui, ma Fille, prenez Lidamant pour Époux.
mais qui pourroit m'auon appiique minle coups, Et pris mon Canapſa ſans aucune reſerue?	mais qui pourrait m'avon appiique minle coups, Et pris mon Canapsa sans aucune réserve?
LISANDRE.	LISANDRE.
C’eſt le ſeul poinct qui reſte, & qu’il faut qu’on obAGRIMONT.	C'est le seul point qui reste, et qu'il faut qu'on obAGRIMONT.
0 (ſerue.	0 (serue.
Déja du rapt au moins me voila déchargé.	Déjà du rapt au moins me voilà déchargé.
LISANDRE.	LISANDRE.
Pour ce qui reſte enſin, c’eſt quelque préjugé.	Pour ce qui reste ensin, c'est quelque préjugé.
LIDAMANT.	LIDAMANT.
Quoy?	Quoi?
Liſandre & Damis!	Lisandre et Damis!
Voicy quelque myſtere;	Voici quelque mystère;
Sçachons qui peut auoir mal-traitté mon Beaupere, I’en veux tirer raiſon deſſur l’heure;	Sachons qui peut avoir mal-traitté mon Beaupère, J'en veux tirer raison dessur l'heure;
autrement.	autrement.
LISANDRE.	LISANDRE.
Damis, tout eſt perdu, ſans doute Lidamant Nous reconnoiſt.	Damis, tout est perdu, sans doute Lidamant Nous reconnaît.
M.	M.
ROBERT.	ROBERT.
Mon Gendre, on nous fera juſtice, Et nous ſçaurons bien-toſt l’autheur du malefice.	Mon Gendre, on nous fera justice, Et nous saurons bientôt l'auteur du maléfice.
Voila Monſieur le Iuge, & Monſieur ſon Greffier.	Voilà Monsieur le Juge, et Monsieur son Greffier.
LIDAMANT.	LIDAMANT.
Nelojes pas fieu que de vous y ller;	Nelojes pas fières que de vous y lêler;
Ce ſont aſſeurément ceux qui de coups de gaules Vous ont ſi rudement chamarré les épaules.	Ce sont assurément ceux qui de coups de gaules Vous ont si rudement chamarré les épaules.
Le Iuge & le Greffier, tenez, voyez les bien?	Le Juge et le Greffier, tenez, voyez -les bien?
Icy Lidamant leur oſte leurs fauſſes barbes.	Ici Lidamant leur ôte leurs fausses barbes.
M.	M.
ROBERT.	ROBERT.
Ha!	Ha!
vous ſerez frotez, qu’il n’y manquera rien;	vous serez frottez, qu'il n'y manquera rien;
Allons, donnons, mon Gendre, & d’eſtoc & de taille, Aſſommons ces Filoux par droict de repreſaille;	Allons, donnons, mon Gendre, et d'étoc et de taille, Assommons ces Filoux par droit de représaille;
Courage, Maiſtre Ambroiſe, allons, mon cher Voiſin;	Courage, Maître Ambroise, allons, mon cher Voisin;
Sur tout n’épargnez pas Monſieur le Medecin?	Sur tout n'épargnez pas Monsieur le Médecin?
LIDAMANT.	LIDAMANT.
Monſieur, les voila tous qui gagnent la guérite.	Monsieur, les voilà tous qui gagnent la guérite.
M.	M.
RÔBERT.	RÔBERT.
Les aſſaſſins font bien d’échaper par la fuite;	Les assassins font bien d'échapper par la fuite;
Car per fidem me im, ils ſçauroient tout de bon Ce que c’eſt d’offenſer Dominem Togatum.	Car per fidé me im, ils sauraient tout de bon Ce que c'est d'offenser Dominem Togatum.
Mon Gendre, il faut pourtant ratraper mes piſtoles, Et nous ſerons vangez;	Mon Gendre, il faut pourtant ratraper mes pistoles, Et nous serons vengez;
mais tréue de paroles, Allons dans vn Feſtin noyer noſtre ſoucy, Diſons à ces Meſſieurs, bon ſoir, & grand mercy.	mais trêve de paroles, Allons dans un Festin noyer notre souci, Disons à ces Messieurs, bon soir, et grand merci.
FIN.	FIN.
PORTRAIT D'VNE Inconnue.	PORTRAIT D'UNE Inconnue.
Ans doute l’amour de ſoy-meſme, OEſt vne paſſion extréme;	Ans doute l'amour de soi-même, ŒSt une passion extrême;
Et toute Perſonne en effet Qui veut ébaucher ſon Portrait, Fût-elle en tout la plus naïue, Elle prend la couleur plus viue, Et le pinceau plus délicat, Pour mieux en rehauſſer l’éclat.	Et toute Personne en effet Qui veut ébaucher son Portrait, Fût-elle en tout la plus naïve, Elle prend la couleur plus vive, Et le pinceau plus délicat, Pour mieux en rehausser l'éclat.
Toûjours vne certaine audace La diſpoſe à ſe faire grace, On en voit tous les traits frapez Auec des yeux préoccupez.	Toujours une certaine audace La dispose à se faire grâce, On en voit tous les traits frappés Avec des yeux préoccupez.
Ie pourrois tomber dans ce vice, Mais ie ſçay me faire juſtice, Et du Portrait que i’entreprens, Mes Amis ſeront les garens, Puis que c’eſt en ma conſcience Vn effet de ma complaiſance, Et que ie veux les contenter, Pluſtoſt que me repreſenter.	Je pourrais tomber dans ce vice, Mais a sçay me faire justice, Et du Portrait que j'entreprends, Mes Amis seront les garents, Puis que c'est en ma conscience Un effet de ma complaisance, Et que sans veux les contenter, Plutôt que me représenter.
Ie dy donc ſur cette penſée, Sans paroiſtre trop empreſſée,	Je dis donc sur cette pensée, Sans paraître trop empressée,
Sans faire voir rien d’affecté, Ny ſans choquer la verité;	Sans faire voir rien d'affecté, Ni sans choquer la vérité;
Que ma taille eſt grande, & ſans feinte, Ny trop libre, ny trop contrainte;	Que ma taille est grande, et sans feinte, Ni trop libre, Seigneur trop contrainte;
I’ay l’air ſans affectation De Femme de condition, Ny trop peu, ny beaucoup affable;	J'ai l'air sans affectation De Femme de condition, Ni trop peu, ni beaucoup affable;
I’ay la démarche raiſonnable, Mais dans mes traits repreſentez Voyez mes autres qualitez.	J'ai la démarche raisonnable, Mais dans mes traits représentez Voyez mes autres qualités.
Si ma mine n’eſt ſurprenante, Auſſi n’eſt-elle pas choquante;	Si ma mine n'est surprenante, Aussi n'est-elle pas choquante;
I'ay le viſage vn peu longuet, Le teint vif, quoy qu’vn peu brunet;	J'ai le visage un peu longuet, Le teint vif, quoi qu'un peu brunet;
Mais à dire vray, rien n’efface Ce qu’il a d’attrait & de grace;	Mais à dire vrai, rien n'efface Ce qu'il a d'attrait et de grâce;
I’ay le front ſans doute vn peu haut, Ie ne ſçay ſi c’eſt vn defaut, Il en eſt bien d’vne autre ſorte, Mais c’eſt ainſi que ie le porte.	J'ai le front sans doute un peu haut, Je ne sais si c'est bien défaut, Il en est bien d'une autre sorte, Mais c'est ainsi que je le porte.
I’ay les yeux noirs, doux, & bien faits, Ny grands, ny petits, beaux, ny laids, La bouche moins belle que laide, Mais ie n’y ſçay point de remede.	J'ai les yeux noirs, doux, et bien faits, Ni grands, ni petits, beaux, ni laids, La bouche moins belle que laide, Mais Seigneur n'y sais point de remède.
I’ay le poil extrémement fin, L’air cendré, le nez aquilin, La gorge pleine, & bien formée, Sa blancheur aſſez animée.	J'ai le poil extrêmement fin, L'air cendré, le nez aquilin, La gorge pleine, et bien formée, Sa blancheur assez animée.
Le bras, à ne vous mentir point, Marque trop peu mon embonpoint;	Le bras, à ne vous mentir point, Marque trop peu mon embonpoint;
Et comme la main eſt fort proche, Elle me fait meſme reproche;	Et comme la main est fort proche, Elle me fait rendre reproche;
La jambe & le pied fort bien faits, Ne ſont pas mes moindres attraits.	La jambe et le pied fort bien faits, Ne sont pas mes moindres attraits.
Mon abord de premiere veuë Promet ples que ie n’effectuë;	Mon abord de première vue Promet ples que je n'effectue;
Il ne ſçait que trop engager, Mais ie ſçay bien le ménager.	Il ne sais que trop engager, Mais apprendre sais bien le ménager.
Ie hay l’humeur facetieuſe, Ie ſuis graue, & fort ſérieuſe, La gayeté, ny l’enjoûment, Ne me conuiennent nullement.	Je hais l'humeur facétieuse, Je suis grave, et fort sérieuse, La gaieté, toujours l'enjoument, Ne me conviennent nullement.
Mon eſprit paſſe en ma créance Pour eſtre des moindres de France;	Mon esprit passe en ma créance Pour être des moindres de France;
Ie donne aiſément cet aueu, Et ie crois en auoir ſi peu, Que ce que l’on en voit paroiſt re Me ſert ſeulement à connoiſtre, Et confeſſer que de tout poinct Ce peu veut dire quaſi point.	Je donne aisément cet aveu, Et ainsi crois en avoir si peu, Que ce que l'on en voit paraît rejet Me sert seulement à connaître, Et confesser que de tout point Ce peu veut dire quasi point.
Pourtant auec droict ie me pique, Qu’à quelque choſe où ie m’aplique, Ie le comprens facilement;	Pourtant avec droit ie me pique, Qu'à quelque chose où tu m'applique, Je le comprends facilement;
Mais auſſi i’oublie aiſément, Et i’aurois eu la connoiſſance De ce qu’on appelle Science, Auec grande facilité, Si mon eſprit s’y fût porté.	Mais aussi j'oublie aisément, Et j'aurais eu la connaissance De ce qu'on appelle Science, Avec grande facilité, Si mon esprit s'y fût porté.
Ne croyez pas que ie réponde Du plus grand jugement du monde;	Ne croyez pas que Seigneur réponde Du plus grand jugement du monde;
Mais dans les plus ſérieux cas, Ie ſens que ie n’en manque pas, Quand ie veux me donner la peine Djrencenn, prendre haleine.	Mais dans les plus sérieux cas, Je sens que je n'en manque pas, Quand ie veux me donner la peine Djrencenn, prendre haleine.
Ce Prouerbe eſt du temps paſſé, Mais il n’eſt pas trop mal placé.	Ce Proverbe est du temps passé, Mais il n'est pas trop mal placé.
Ie ſuis naturellement bonne, Bien faiſante autant que perſonne,	Je suis naturellement bonne, Bien faisante autant que personne,
Et i’aime mieux ſans paſſion Que l’on m’ait obligation, Que d’en auoir, & s’il faut croire Que ce n’eſt pas par vaine gloire.	Et j'aime mieux sans passion Que l'on m'ait obligation, Que d'en avoir, et s'il faut croire Que ce n'est pas par vaine gloire.
I’adjoûte à la ſincerité Et la tendreſſe & la bonté Pour mes Amis tres-veritables;	J'ajoute à la sincérité Et la tendresse et la bonté Pour mes Amis très -véritables;
Mes ſoins pour eux ſont incroyables, Et leur intereſt, & leur bien, Me ſont préferables au mien, De ſorte qu’il n’eſt pas poſſible D’eſtre à leur perte plus ſenſible:	Mes soins pour eux sont incroyables, Et leur intérêt; et leur bien, Me sont préférables au mien, De sorte qu'il n'est pas possible D'être à leur perte plus sensible:
Mais pour me bien perſuader, Mes Amis ſe doiuent ſonder;	Mais pour me bien persuader, Mes Amis se doivent sonder;
Car comme ie hay la fineſſe, Il faut du temps, & de l’adreſſe, Et ſur tout ſe bien ménager, Car ie ne croy pas de leger:	Car comme ici hais la finesse, Il faut du temps, et de l'adresse, Et sur tout se bien ménager, Car ie ne crois pas de léger:
Celuy dont ie me croy trompée, Ne me prend plus à la pipée;	Celui dont personne me crois trompée, Ne me prend plus à la pipée;
Et s’il faut parler librement, Ie vous confeſſe ingenûment, Que quoy qu’apres il en arriue, Ie ſuis vn peu vindicatiue;	Et s'il faut parler librement, Je vous confesse ingénument, Que quoi qu’après il en arrive, Je suis un peu vindicative;
Ie flate aſſez mes paſſions En certaines occaſions;	Je flatte assez mes passions En certaines occasions;
Et quand mon petit cœur m’y pouſſe, La vengeance me ſemble douce, Mais ie ne voudrois pas pour rien En faire naiſtre le moyen.	Et quand mon petit cœur m'y pousse, La vengeance me semble douce, Mais quand ne voudrais pas pour rien En faire naître le moyen.
Ie ne ſuis point diſſimulée, I’aime peu d’eſtre cajolée, Mais i’ay de tout temps affecté Par tout vne ciuilité	Je ne suis point dissimulée, J'aime peu d'être cajolée, Mais j'ai de tout temps affecté Par tout une civilité
Qui me vient ſi bien de naiſſance, Qu’on la prendroit pour bienveillance.	Qui me vient si bien de naissance, Qu'on la prendrait pour bienveillance.
Ie hay bien, ie ſçay bien aimer, Tous deux ont droict de me charmer;	Je hais bien, Seigneur sais bien aimer, Tous deux ont droit de me charmer;
Ie ſuis curieuſe, & conſtante, Plus que ie ne ſuis patiente;	Je suis curieuse, et constante, Plus que sans ne suis patiente;
Pourtant ie ſçay cacher des mieux L’vn & l’autre quand ie le veux.	Pourtant ici sais cacher des mieux L'un et l'autre quand tu le veux.
S’il faut que ie me détermine, Ie conſidere, i’examine;	S'il faut que Seigneur me détermine, Je considère, j'examine;
Mais ſi-toſt que i’ay réſolu, C’eſt tout dire, ie l’ay voulu;	Mais sitôt que j'ai résolu, C'est tout dire, tu l'ai voulu;
Et ie ſurmonte toute choſe, Quelque obſtacle qu’on me propoſe;	Et ici surmonte toute chose, Quelque obstacle qu'on me propose;
Ie ſuis ferme de ce coſté Iuſqu’à l’opiniaſtreté.	Je suis ferme de ce côté Jusqu'à l'opiniastreté.
Quelque rencontre où ie m’engage.	Quelque rencontre où belle m'engage.
Ie montre beaucoup de courage, Et i’ay le cœur ſi bien placé, Qu’il ne ſçauroit eſtre forcé, De ſorte qu’en toute ocurrence Il ne dément point ma naiſſances Il fait connoiſtre aſſez par là La forte auerſion qu’il a, Et qu’il jure toute ſa vie D’auoir pour la poltronnerie.	Je montre beaucoup de courage, Et j'ai le cœur si bien placé, Qu'il ne saurait être forcé, De sorte qu'en toute ocurrence Il ne dément point ma naissances Il fait connaître assez par là La forte aversion qu'il a, Et qu'il jure toute sa vie D'avoir pour la poltronnerie.
Le péril ne m’étonne pas, Ie franchis bien vn mauuais pas;	Le péril ne m'étonne pas, Je franchis bien un mauvais pas;
Mais timide on me voit pareſtre, Quand ie n’ay pas ſujet de l’eſtre.	Mais timide on me voit paraître, Quand Je n'ai pas sujet de l'être.
Ie ſuis complaiſante par tout, Mais ie ne ſtate point du tout Mon opinion, quoy que ſaine, Ie fais ſcrupule qu’on la tienne;	Je suis complaisante par tout, Mais ils ne state point du tout Mon opinion, quoi que saine, Je fais scrupule qu'on la tienne;
