A PARIS, 3 Chez C.	À PARIS, 3 Chez Ç.
TIRIBAZE.	TIRIBAZE.
C’eit aſi qu’Alpaſſe obtient plus en ces Lieux, Que le ſang le plus noble, & le plus glorieux.	C'éit aussi qu'Alpasse obtient plus en ces Lieux, Que le sang le plus noble, et le plus glorieux.
La Perſe a des Beautez, dont la haute naiſſance.	La Perse a des Beautés, dont la haute naissance.
LE ROY.	LE ROY.
Va, ne ſois point jaloux de cette préference.	Va, ne sois point jaloux de cette préférence.
S’il eſt vray ce qu’on dit que Darius mon Fils ſeeſid louvent des devons, des ſoſs à Nitocfis.	S'il est vrai ce qu'on dit que Darius mon Fils seid louvent des devons, des soss à Nitocfis.
TIRIBAZE.	TIRIBAZE.
Peut-eſtre donnant trop aux ſentimens d’un Pere.	Peut-être donnant trop aux sentiments d'un Père.
Je me laiſſe flater d’un eſpoir teméraire.	Je me laisse flatter d'un espoir téméraire.
ASPASIE.	ASPASIE.
Non, non, il faut unir ton ſang avec mon ſang.	Non, non, il faut unir ton sang avec mon sang.
Allons nommer enfin l’Héritier de mon rang.	Allons nommer enfin l'Héritier de mon rang.
Que mon Conieit s'airemble, & quand toute la Terre Voit finir par mes ſoins les troubles de la Guerre, Qu’un Succeſſeur nommé comble tous nos ſouhaits, Et rende à ma Maiſon une profonde Paix.	Que mon Conieit s'airemble, et quand toute la Terre Voit finir par mes soins les troubles de la Guerre, Qu'un Successeur nommé comble tous nos souhaits, Et rende à ma Maison une profonde Paix.
Fin du Second Acte.	Fin du Second Acte.
ACTE III	ACTE III
SCENE TEGHIERE.	SCÈNE TEGHIERE.
TIRIBAZE, NITOCRIS.	TIRIBAZE, NITOCRIS.
M TIRIBAZE.	M MIRIBAZE.
EN eſt fait, Darius emporte l’avantage.	EN est fait, Darius emporte l'avantage.
C’eſt luy ſur qui le Roy fait tomber ſon ſufrage, Et je voy ma faveur confondre aux yeux de tous, Tous ceux que trop d’envie animoit contre nous.	C'est assez sur qui le Roi fait tomber son suffrage, Et je vois ma faveur confondre aux yeux de tous, Tous ceux que trop d'envie animait contre nous.
Nous triomphons, & meſme en dépit d’Aſpaſie, Qui contraire à nos vœux, ſoit haine, ou jalouſie, Où qui ſervant le Roy par zele, ou par amour.	Nous triomphons, et même en dépit d'Aspasie, Qui contraire à nos vœux, soit haine, ou jalousie, Où qui servant le Roi par zèle, ou par amour.
Mais ce ſont des ſecrets que tu ſçauras un jour.	Mais ce sont des secrets que tu sauras un jour.
Ne ſongeons aujourd’huy qu’à ce grand Hymenée, Où par l’aveu du Roy je te voy deſtinée.	Ne songeons aujourd'hui qu'à ce grand Hyménée, Où par l'aveu du Roi je te vois destinée.
Tu vas voir Darius ſon digne Succeſſeur, Te demander au Roy pour ſupréme faveur.	Tu vas voir Darius son digne Successeur, Te demander au Roi pour suprême faveur.
On publie en tous Lieux cet Hymen que j’eſpere, I’ay répandu ce bruit, ce n’eſt plus un myſtere.	On publie en tous Lieux cet Hymen que j'espère, J'ai répandu ce bruit, ce n'est plus un mystère.
Sur un ſi doux eſpoir que j’ay reçeu d’honneurs?	Sur un si doux espoir que j'ai reçu d'honneurs?
Quelle foule d’Amis, & d’Ennemis flateurs!	Quelle foule d'Amis, et d'Ennemis flatteurs!
On les voit ſe preſſer, voler à mon paſſage, Affecter de montrer leur joye & leur viſage, Et lous lalle ſentil par avance à tous deux, Par leurs empreſſemems, le ſuccés de nos vœux.	On les voit se presser, voler à mon passage, Affecter de montrer leur joie et leur visage, Et lous lalle sentil par avance à tous deux, Par leurs empressems, le succès de nos vœux.
NITOCRIS.	NITOCRIS.
Je viens de voir, Seigneur, avec quelle allégreſſe Pres du Prince, à grands flots, tout le mõde ſe preſſe.	Je viens de voir, Seigneur, avec quelle allégresse Pres du Prince, à grands flots, tout le monde se presse.
Quel éclat!	Quel éclat!
quel triomphe!	quel triomphe!
On voit de toutes parts roue le Peuple lur iuy comondre ſes regards.	On voit de toutes parts roue le Peuple lur jui comondre ses regards.
Moy-meſme en attirant les yeux de l’Aſſemblée, De Ieipects & d’honneurs on m’a vüe accablée.	Moi-même en attirant les yeux de l'Assemblée, De Jeipects et d'honneurs on m'a vue accablée.
TIRIBAZE.	TIRIBAZE.
Que fait Ariarathe?	Que fait Ariarathe?
NITOCRIS.	NITOCRIS.
Au deſeſpoir réduit, Il euſt mêlé quelque ombre à l’eſpoir qui me luit, Si l’excés de ma joye, ainſi que de la voſtre, M’euſt pû laiſſer ſentir les déplaiſirs d’un autre.	Au désespoir réduit, Il eût mêlé quelque ombre à l'espoir qui me luit, Si l'excès de ma joie, ainsi que de la vôtre, M'eût pu laisser sentir les déplaisirs d'un autre.
Ce Prince infortuné, plein d’un juſte couroux, Se plaint ouvertement d’Artaxerce & de vous, Et ſuivant ſon humeur ſauvage & ſontane, Luy-meſme s’impoſant un éxil volontaire, D’un objet importun a délivré nos yeux.	Ce Prince infortuné, plein d'un juste courroux, Se plaint ouvertement d'Artaxerce et de vous, Et suivant son humeur sauvage et sontane, Lui-même s'imposant un éxil volontaire, D'un objet importun a délivré nos yeux.
Mais, Seigneur, Darius triomphant, glorieux, Témoigne pour me voir ſi peu d’impatience.	Mais, Seigneur, Darius triomphant, glorieux, Témoigne pour me voir si peu d'impatience.
TIRIBAZE.	TIRIBAZE.
Peut-il ſi-toſt au Peuple arracher ſa préſence?	Peut-il sitôt au Peuple arracher sa présence?
Mais le voicy qui vient, avant que voir le Roy, T’offrir l’eſpoir du Trône, auſſi-bien que ſa foy	Mais le voici qui vient, avant que voir le Roi, T'offrir l'espoir du Trône, aussi-bien que sa foi
C i	Ç y
SCENE II.	SCÈNE II.
DARIUS, TIRIBAZE, TIRIBALE.	DARIUS, TIRIBAZE, TIRIBALE.
DARIUS.	DARIUS.
E me dérobe enfin à la foule empreſſée, Que j’ay pour vous rejoindre à peine traverſée.	E me dérobe enfin à la foule empressée, Que j'ai pour vous rejoindre à peine traversée.
je brûlois de remplir le ſoin le plus preſſant, Le plus tendre devoir d’un cœur reconnoiſſant.	je brûlais de remplir le soin le plus pressant, Le plus tendre devoir d'un cœur reconnaissant.
Je vous l’ay déja dit, & vous le dis encore, De quelque illuſtre rang que le Roy vous honore, Je vous mettray ſi haut, & ſi proche de moy, Quę l’Etat doutera qui de nous ſera Roy.	Je vous l'ai déjà dit, et vous le dis encore, De quelque illustre rang que le Roi vous honore, Je vous mettrai si haut, et si proche de moi, Qu 'État doutera qui de nous sera Roi.
Mais comme il court un bruit qu’on commence de croire, Que Rival de mon Frere, & jaloux de ſa gloire, J’aſpire au meſme Objet dont ſon cœur eſt charmé, Je viens détruire un bruit dont je ſuis allarmé.	Mais comme il court un bruit qu'on commence de croire, Que Rival de mon Frère, et jaloux de sa gloire, J'aspire au même Objet dont son cœur est charmé, Je viens détruire un bruit dont je suis alarmé.
à Tiribaze.	à Tiribaze.
Mon Frere, & Nitocris, qui ſont nez l’un pour l’autre, Et ſi dignes d’unir mon ſang avec le voſtre, Doivent avoir leur part à l’heur de ce grand jour;	Mon Frère, et Nitocris, qui sont nés l'un pour l'autre, Et si dignes d'unir mon sang avec le vôtre, Doivent avoir leur part à l'heur de ce grand jour;
Vous m’avez couronné, couronnez leur amour.	Vous m'avez couronné, couronnés leur amour.
à Nir.	à Nir.
On croit que je vous doy demãder à mon Pere, Mais puis-je ſans pitié vous oſter à mon Frere?	On croit que je vous dois demander à mon Père, Mais puis-je sans pitié vous ôter à mon Frère?
Que diroit tout l’Etat, s’il rencontroit en moy Un Tyran inhumain, quand il attend un Roy?	Que dirait tout l'État, s'il rencontrait en moi Un Tyran inhumain, quand il attend un Roi?
Non, non, rar un effort digne du Diadéme, Je vous cede, & vous perds pour un autre moyméme, Et pour le prix d’un rang qui m’eſt ſi glorieux, Je laiſſe à Nitocris, ce qu’elle aime le mieux.	Non, non, rar un effort digne du Diadème, Je vous cede, et vous perds pour un autre moyméme, Et pour le prix d'un rang qui m'est si glorieux, Je laisse à Nitocris, ce qu'elle aime le mieux.
A lie rolluua Quel coup de foudre!	À lie rollua Quel coup de foudre!
O Ciel!	Ô Ciel!
NITOCRIS à Darius.	NITOCRIS à Darius.
Seigneur, & c’eſt bien plus que m’offrir la Couronne.	Seigneur, et c'est bien plus que m'offrir la Couronne.
Auſſi vous jugez bien que de pareils bienfaits, Dans un ſenſible cœur ne s’effacent jamais.	Aussi vous jugez bien que de pareils bienfaits, Dans un sensible cœur ne s'effacent jamais.
E llleroos.	E llléroos.
Artaxerce m’attend, & ma reconnoiſſance Ne ſçauroit témoigner aſſez d’impatience.	Artaxerce m'attend, et ma reconnaissance Ne saurait témoigner assez d'impatience.
NITOCRIS à part.	NITOCRIS à part.
M’aviez-vous réſervée à cet affront?	M'aviez-vous réservée à cet affront?
Grands Dieux!	Grands Dieux!
Le Roy vient.	Le Roi vient.
Delobons noitre trouble à ſes yeux.	Délobons naître trouble à ses yeux.
SCENE FIF.	SCÈNE SIS.
LE ROY, DARIUS, TIRIBAZE,	LE ROY, DARIUS, TIRIBAZE,
TIRIBAZE au Roy.	TIRIBAZE au Roi.
E Prince eſt ſatisfait, & vous allez apprendreLQuel eſt le fruit des ſoins que je viens de luy rendre.	E Prince est satisfait, et vous allez apprendreLuel est le fruit des soins que je viens de lui rendre.
C iij	Ç Cijà
SCENE IV.	SCÈNE IV.
LEROY, DARTUS, SUITE.	LEROY, DARTUS, SUITE.
DARIUS.	DARIUS.
I Uis-je aſſez dignement répondre à vos bontez?	I JUis-je assez dignement répondre à vos bontés?
LE ROY.	LE ROY.
Vous avez obtenu ce que vous méritez.	Vous avez obtenu ce que vous méritez.
Vous régnerez un jour, & ſur cette eſpérance, Pour vous mieux préparer à la Toute-puiſſance, Commencez d’en uſer en Prince genéreux.	Vous régnerez un jour, et sur cette espérance, Pour vous mieux préparer à la Toute-puissance, Commencez d'en user en Prince généreux.
N’inſultez point au ſort d’un Frere malheureux.	N'insultez point au sort d'un Frère malheureux.
Sur tout en Tiribaze, en cet Amy fidelle, Mon Fils, reconnoiſſez la grandeur de ſon zele.	Sur tout en Tiribase, en cet Ami fidèle, Mon Fils, reconnaissez la grandeur de son zèle.
AeBies celay parieey delmdes naicineney C’eſt une Loy qu’en Perſe on garde exactement, Que quiconque eſt nommé Succeſſeur de l’Empire, Puiſſe obtenir du Roy la faveur qu’il defire.	AeBies celai parjet delmdes naicinènei C'est une Loi qu'en Perse on garde exactement, Que quiconque est nommé Successeur de l'Empire, Puisse obtenir du Roi la faveur qu'il désire.
DARIUS.	DARIUS.
Avant que m’expliquer, pour répondre à vos vœux, Vous pouvez conſoler un Prince malheureux.	Avant que m'expliquer, pour répondre à vos vœux, Vous pouvez consoler un Prince malheureux.
Pour payer Tiribaze, apres ce grand ſervice, Pour contenter mon Frere, & luy rendre juſtice, Donnez-luy Nitocris, rendez ſes vœux contens, Autant que je le ſuis du Trone que j’attens.	Pour payer Tiribase, après ce grand service, Pour contenter mon Frère, et lui rendre justice, Donnez-lui Nitocris, rendez ses vœux contents, Autant que je le suis du Trone que j'attends.
LE ROY.	LE ROY.
Vous céder Nitocris?	Vous céder Nitocris?
C’eſt trop de complaiſance, Son Pere eſtant l’appuy de la Toute-puiſſance.	C'est trop de complaisance, Son Père étant l'appui de la Toute-puissance.
Sa Fille doit régner, le Sceptre eſt à ce prix.	Sa Fille doit régner, le Sceptre est à ce prix.
DARIUS.	DARIUS.
Mon Frere perdra-t-il le Trône, & Nitoeris?	Mon Frère perdra-t-il le Trône, et Nitoéris?
LE ROY.	LE ROY.
Repoſez-vous ſur moy du ſort de voſtre Frere, J’ay le pouvoir d’un Roy, j’auray le ſoin d’un Pere.	Reposez-vous sur moi du sort de votre Frère, J'ai le pouvoir d'un Roi, j'aurai le soin d'un Père.
DARIUS.	DARIUS.
Si vous l’aimez, il faut laiſſer à ſon amour Un bien cent fois plus cher que le Trône & le jour.	Si vous l'aimez, il faut laisser à son amour Un bien cent fois plus cher que le Trône et le jour.
Pour moy, de tous les biens que poſſede l’Aſie, Pour ſupréme faveur, je ne veux qu’Aſpaſie.	Pour moi, de tous les biens que possède l'Asie, Pour suprême faveur, je ne veux qu'Aspasie,
Aſpaſie?	Aspasie?
LE ROY.	LE ROY.
DARIUS.	DARIUS.
Ouya seigneul.	Ouia seigneul.
LE ROY.	LE ROY.
O ſort trop rigoureux!	Ô sort trop rigoureux!
DARIUS.	DARIUS.
C me dit ce grand trouble, & ce ſilence affreux?	Ç me dit ce grand trouble, et ce silence affreux?
LE ROY.	LE ROY.
Flele cruel, ton fang me demandont juitiee, C’eſt icy que tu vois commencer mon ſuplice.	Fle cruel, ton sang me demandont juitie, C'est ici que tu vois commencer mon suplice.
DARIUS.	DARIUS.
Demander Aſpaſie, eſt-ce un crime ſi noir?	Demander Aspasie, est-ce un crime si noir?
LE ROY.	LE ROY.
Aihiour du lanp, uols-tu contraindre mon pouvoir?	Aihiour du lanp, us-tu contraindre mon pouvoir?
Que l’on cherche Aſpaſie.	Que l'on cherche Aspasie.
Il faut que devant elle Vous appreniez quelle eſt cette Loy ſi cruelle, Qui vous rend aſſez fier pour braver mon courroux, Et demander un bien qui ne peut eſtre à vous.	Il faut que devant elle Vous appreniez quelle est cette Loi si cruelle, Qui vous rend assez fier pour braver mon courroux, Et demander un bien qui ne peut être à vous.
DARIUS.	DARIUS.
Seigneur, j’aime Aſpaſie, & l’exemple d’Arſame Me faiſant redouter mefme ſort pour ma flâme, Je n’oſois comme luy hazarder mes ſoûpirs, Et mon reſpect encor ſuſpendroit mes deſirs;	Seigneur, j'aime Aspasie, et l'exemple d'Arsame Me faisant redouter même sort pour ma flamme, Je n'osais comme lui hasarder mes soupirs, Et mon respect encor suspendrait mes désirs;
Mais ſçachant que flaté d’un eſpoir teméraire, Tiribaze en faveur d’une Fille trop chere, Avoit legérement engagé voſtre foy, J’ay crû, pour affranchir la parole d’un Roy, Qu’il falloit aujourd’huy, par une Loy ſupréme, Au lieu de Nitocris, demander ce que j’aime.	Mais sachant que flatté d'un espoir téméraire, Tiribaze en faveur d'une Fille trop chère, Avait légèrement engagé quelque foi, J'ai cru, pour affranchir la parole d'un Roi, Qu'il fallait aujourd'hui, par une Loi suprême, Au lieu de Nitocris, demander ce que j'aime.
Cent raiſons, cent devoirs, l’honneur du ſang des Roys, Demandent Aſpaſie, & m’impoſent ce choix, Et je n’aimay le Prone ou voitie voix m’appelle, Que pour la mériter, & pour m’aſſurer d’elle.	Cent raisons, cent devoirs, l'honneur du sang des Rois, Demandent Aspasie, et m'imposent ce choix, Et je n'aimai le Prone ou voitie voix m'appelle, Que pour la mériter, et pour m'assurer d'elle.
LE ROY.	LE ROY.
L’Hymen de Nitocris, vous croyant ſon Amant, Fut promis, je l'avouë, aſſez legérement.	L'Hymen de Nitocris, vous croyant son Amant, Fut promis, je l'avoue, assez legérement.
Aſpaſie eſt aimable, & la Reyne elle-meſme Eſtima ſa vertu digne du Diadéme.	Aspasie est aimable, et la Reine elle-même Estima sa vertu digne du Diadème.
Mais enfin Nitocris ſe flate aux yeux de tous, De voir en vous un jour couronner ſon Epoux.	Mais enfin Nitocris se flatte aux yeux de tous, De voir en vous un jour couronner son Époux.
Elle a dû l’eſpérer, & puis qu'irfaut tout dire, Mon Fils, mon Succeſſeur, l’Héritier de l’Empire, Eſt-il injuſte, ingrat, avec un ſi grand nomEt prétend-il régner par une trahiſon?	Elle a dû l'espérer, et puis qu'irfaut tout dire, Mon Fils, mon Successeur, l'Héritier de l'Empire, Est-il injuste, ingrat, avec un si grand nomEt prétend-il régner par une trahison?
DARIUS.	DARIUS.
De quelle trahiſon me croyez-vous capable?	De quelle trahison me croyez-vous capable?
Pour rendre Tiribaze à mes vœux favorable, J’ay promis, j’ay juré de ne ménager rien, Et de luy faire un ſort auſſi grand que le mien.	Pour rendre Tiribase à mes vœux favorable, J'ai promis, j'ai juré de ne ménager rien, Et de Seigneur faire un sort aussi grand que le mien.
Pour ſa Fille, doit-on me traiter d’infidelle?	Pour sa Fille, doit-on me traiter d'infidèle?
Me ſuis-je offert, Seigneur, & déclaré pour elle?	Me suis-je offert, Seigneur, et déclaré pour elle?
N’ay-je pas beaucoup plus a me plaindre de luy?	N'ai-je pas beaucoup plus à me plaindre de Rome?
Je me ſuis vû contraint de briguer ſon appuy.	Je me suis vu contraint de briguer son appui.
Le ſuperbe a voulu par un indigne hommage, A voſtre propre Fils vendre voſtre ſuffrage;	Le superbe a voulu par un indigne hommage, À votre propre Fils vendre a suffrage;
Et le Pere, & la Fille, ont-ils pû concevoir.	Et le Père, et la Fille, ont-ils pu concevoir.
Sur des reſpects forcez, un ridieule eſpoir?	Sur des respects forcés, un ridieule espoir?
Dédaigné par ma Sœur, l’aveugle a-t-il pû croire Que je le vangerois aux dépens de ma gloire?	Dédaigné par ma Sœur, l'aveugle a-t-il pu croire Que je le vengerais aux dépens de ma gloire?
’ay puny ſon orgueil par ſa confufion, Sans vouloir eſtre ingrat à ſon ambition.	ay puni son orgueil par sa confusion, Sans vouloir être ingrat à son ambition.
Je tiendray ma parole, & loin de m’en dédire, II aura plus de part que moy-meſme à l’Empire.	Je tiendrai ma parole, et loin de m'en dédire, II aura plus de part que moi-même à l'Empire.
LE ROY.	LE ROY.
Je connois Tiribaze, & ſon zele pour moy, Ses exploits, ſes travaux, tout ce que je luy doy, Ne m’a point ébloüy juſqu’à le méconnoître;	Je connais Tiribaze, et son zèle pour moi, Ses exploits, ses travaux, tout ce que je lui dois, Ne m'a point ébloui jusqu'à le méconnaître;
Il eſt fier, & ſe croit auſſi grand que ſon Maiſtre.	Il est fier, et se croit aussi grand que son Maître.
Mais enfin je luy dois & ma vie, & mon rang, Sauvez par ſa valeur, conſervez par ſon ſang.	Mais enfin je lui dois et ma vie, et mon rang, Sauvez par sa valeur, conservez par son sang.
Si nous trompons tous deux l’appuy de ma Couronne, J’en verray rejallir l’affront ſur ma perſonne.	Si nous trompons tous deux l'appui de ma Couronne, J'en verrai rejaillir l'affront sur ma personne.
On Roy;	On Roi;
pour opectateuis, a cent Peuples divers, Il a cent Roys jaloux, il a tout l’Univers.	pour opectatis, a cent Peuples divers, Il a cent Rois jaloux, il a tout l'Univers.
Mais duſt ma gloire en prendre un peu de jalouſie, Mettons nos diférens au pouvoir d’Aſpaſie.	Mais dût ma gloire en prendre un peu de jalousie, Mettons nos diférens au pouvoir d'Aspasie.
DINIUS.	DINIUS.
Quels diférens, Seigneur?	Quels diférens, Seigneur?
Mon ſort dépend de vous.	Mon sort dépend de vous.
Regardez ſeulement faiis flaine, & ſans courroux, Un Amant malheureux, dont le choix légitime.	Regardez seulement fayiz flaine, et sans courroux, Un Amant malheureux, dont le choix légitime.
SCENE V.	SCÈNE V.
LE ROY, DARIUS, ASPASIE.	LE ROY, DARIUS, ASPASIE.
DARIUS continuë.	DARIUS continue.
Lle vient.	Lle vient.
Ay-je-tort?	Ai-je-tort?
Seigneur, voila mon L crime.	Seigneur, voilà mon crime.
LE ROY.	LE ROY.
Princeſſe, (car enfin c’eſt un nom que je doy A ce rang glorieux que vous tenez de moy,) Vous voyez Darius aſſuré de mon Trône;	Princesse, (car enfin c'est un nom que je dois A ce rang glorieux que vous tenez de moi,) Vous voyez Darius assuré de mon Trône;
Vous l’apprenez du bruit dont toute Babilone, Dont mes Peuples charmez font retentir les airs, Et dont la Renommée inſtruira l’Univers.	Vous l'apprenez du bruit dont toute Babilone, Dont mes Peuples charmés font retentir les airs, Et dont la Renommée instruira l'Univers.
Darius reveſtu d’une gione ſi grande, Me peut tout demander, & c’eſt vous qu’il demande.	Darius revêtu d'une gione si grande, Me peut tout demander, et c'est vous qu'il demande.
Moy, Seigneur?	Moy, Seigneur?
ASPASIE.	ASPASIE.
LE ROY.	LE ROY.
Le croyant Amant de Nitocris, Son changement m’étonne, & ſon choix m’a ſurpris;	Le croyant Amant de Nitocris, Son changement m'étonne, et son choix m'a surpris;
Et puis qu’il ne fait pias ui leciet de ia name, La mienne ne doit plus ſe cacher dans mon ame.	Et puis qu'il ne fait pias ui leciét de ja name, La mienne ne doit plus se cacher dans mon âme.
Brûlant d’un meſme feu dont il ſe ſent brûler.	Brûlant d'un même feu dont il se sent brûler.
DARIUS.	DARIUS.
Dieux, qu’entens-je?	Dieux, qu'entends-je?
LE ROY.	LE ROY.
Ecoutez, & me laiſſez parler.	Écoutez, et me laissez parler.
Mon Fils, j’aime Aſpaſie, & l’ardeur de ſon zele Doit faire tout pour moy, quand j’ay tout fait pour elle.	Mon Fils, j'aime Aspasie, et l'ardeur de son zèle Doit faire tout pour moi, quand j'ai tout fait pour elle.
D’autres Roys employroient la force & la rigueur, Chacun ſous mon Empire eſt maître de ſon cœur.	D'autres Rois emploieraient la force et la rigueur, Chacun sous mon Empire est maître de son cœur.
Uſez-en comme moy.	Usez-en comme moi.
Fier d’une Loy ſupréme, Ne croyez pas par là m’arracher ce que j’aime;	Fier d'une Loi suprême, Ne croyez pas par là m'arracher ce que j'aime;
Vous pouvez éxiger ce qui dépend de moy, Mais je ne puis donner ny ſon cœur, ny ſa foy.	Vous pouvez éxiger ce qui dépend de moi, Mais je ne puis donner ni ton cœur, ni sa foi.
à Aſpaſie.	à Aspasie.
Un Tyran peut aller juſqu’à la violence.	Un Tyran peut aller jusqu'à la violence.
Je ſuis Roy.	Je suis Roi.
Mon devoir ſçait régler ma puiſſance, Et les cœurs n’eſtant point ſous l’Empire d’autruy, Le voſtre ne dépend ny de moy, ny de luy.	Mon devoir sais régler ma puissance, Et les cœurs n'étant point sous l'Empire d'autrui, Le vôtre ne dépend ni de moi, ni de lui.
Diſpoſez-en, Madame, & de quelque avantage Dont ſe puiſſent flater des Amans de ſon âge, Décidez avec luy du ſort de mon amour, J’attens voitie feponie avant la lin du jour.	Disposez-en, Madame, et de quelque avantage Dont se puissent flatter des Amants de son âge, Décidez avec lui du sort de mon amour, J'attends voitie féponie avant la lin du jour.
SCENE VI.	SCÈNE VI.
DARIUS, ASPASIE.	DARIUS, ASPASIE.
DARIOS.	DARIOS.
Ui de nous le premier doit rompre le ſilence?	Oui de nous le premier doit rompre le silence?
OSi je parle, par où faut-il que je commence?	OSi je parle, par où faut-il que je commence?
Et de quel œil enfin dois-je vous regarder?	Et de quel œil enfin dois-je vous regarder?
ASPASIE.	ASPASIE.
Vous m’aimez donc, Seigneur, & m’oſez demander?	Vous m'aimez donc, Seigneur, et m'osez demander?
DARIUS.	DARIUS.
Pouvant tout demander, par l’aveu du Roy meſme, Pouvois-je demander au Roy que ce que j’aime?	Pouvant tout demander, par l'aveu du Roi même, Pouvais-je demander au Roi que ce que j'aime?
Hé!	Hé!
que ſeroit ſans vous tout le reſte pour moy?	que serait sans vous tout le reste pour moi?
Pouvois-je deviner, Madame, qu’un grand Roy, Qui donne encor des pleurs au trépas de la Reyne, Voudroit s’embaraſſer d’une nouvelle chaîne?	Pouvais-je deviner, Madame, qu'un grand Roi, Qui donne encor des pleurs au trépas de la Reine, Voudrait s'embarrasser d'une nouvelle chaîne?
l'ourquoy me laiſſiez-vous ignorer ce malheur?	l'ourquoi me laissiez-vous ignorer ce malheur?
ASPASIE.	ASPASIE.
Répondre à voſtre flâme avec tant de froideur, Refuſer d’écouter Darius qui ſoûpire, Ne m’entendiez-vous pas?	Répondre à votre flamme avec tant de froideur, Refuser d'écouter Darius qui soupire, Ne m'entendiez-vous pas?
n’eſtoit-ce pas vous dire Qu'un pouvoir ſouverain s’oppoſoit à vos vœux?	n'était-ce pas vous dire Qu'un pouvoir souverain s'opposait à vos vœux?
J’allois vous découvrir ce ſecret dangereux;	J'allais vous découvrir ce secret dangereux;
Mais Nitocris oſant ſe vanter d’eſtre aimée, Et mon ame par la ceſſant d’eſtre allarmée, Je crûs que mon devoir n’eſtoit plus en danger.	Mais Nitocris osant se vanter d'être aimée, Et mon âme par la cessant d'être alarmée, Je crus que mon devoir n'était plus en danger.
DARIUS.	DARIUS.
Quelle eſtoit voſtre erreur?	Quelle était votre erreur?
Helas!	Hélas!
puis-je changer, Quand l’amour de mon Pere eſt un mal que j’ignore, Si meſme en l’aprenant mon cœur vous aime encore?	puis-je changer, Quand l'amour de mon Père est un mal que j'ignore, Si même en l'apprenant mon cœur vous aime encore?
Puis que c’eſt mon deſtin de vous aimer toûjours, Helas!	Puis que c'est mon destin de vous aimer toujours, Hélas!
que deviendront ces fatales amours?	que deviendront ces fatales amours?
Quel affreux avenir!	Quel affreux avenir!
que de maux!	que de maux!
que de larmes!	que de larmes!
ASPASIE.	ASPASIE.
Faut-il tant d’embarras pour ces malheureux charmes?	Faut-il tant d'embarras pour ces malheureux charmes?
Toumnez vers Nitocris vos ſoûpirs, & vos vœux;	Toumnez vers Nitocris vos soupirs, et vos vœux;
Ne ſongez qu’a régner, & vous ſerez heureux.	Ne songez qu'a régner, et vous serez heureux.
Ne comblez pas d’horreurs cette illuſtre joumée, Immolez une ardeur juſtement condamnée, A l’eſpoir de régner, au reſpect d’un grand Roy, Aux tendreſſes d’un Pere, a voſtre gloire, à moy.	Ne comblez pas d'horreurs cette illustre joumée, Immolez une ardeur justement condamnée, À l'espoir de régner, au respect d'un grand Roi, Aux tendresses d'un Père, a votre gloire, à moi.
DAKIOS.	DAIIOS.
Quoy, par tant de raiſons vous me preſſez vous-méme D’étouffer mon amour, de céder ce que j’aime?	Quoi, par tant de raisons vous me pressez vous-même D'étouffer mon amour, de céder ce que j'aime?
Pardonnez à l’erreur de mes yeux trop charmez, J’ay tort de vous oſter à ce que vous aimez.	Pardonnez à l'erreur de mes yeux trop charmés, J'ai tort de vous ôter à ce que vous aimez.
ASPASIE.	ASPASIE.
Que vous eſtes cruel!	Que vous êtes cruel!
Ce ſoupçon qui m’offence Me contraint malgré moy de rompre le ſilence.	Ce soupçon qui m'offense Me contraint malgré moi de rompre le silence.
Mais loin de vous flater de cet aveu, tremblez Des maux qu’il vous faut craindre, & dont vous m’accablez.	Mais loin de vous flatter de cet aveu, tremblés Des maux qu'il vous faut craindre, et dont vous m'accablez.
Oüy, Seigneur, je vous aime, & ce cœur qui ſoûpire, Se voyant malgré luy forcé de vous le dire, En devroit à vos yeux expirer de douleur.	Oui, Seigneur, je vous aime, et ce cœur qui soupire, Se voyant malgré lui forcé de vous le dire, En devrait à vos yeux expirer de douleur.
Mais au moins vous ſçavez, quand j’appris;	Mais au moins vous savez, quand j'appris;
voſtre ardeur, Par quels puiſſans efforts je voulus m’en défendre.	votre ardeur, Par quels puissants efforts je voulus m'en défendre.
Meſme je vous diray qu’avant que de l’apprendre, A vos ſeules vertus s’eſtant laiſſé charmer, Mon cœur n’épargna rien pour s’empeſcher d’aimer.	Même je vous dirai qu'avant que de l'apprendre, À vos seules vertus s'étant laissé charmer, Mon cœur n'épargna rien pour s'empêcher d'aimer.
La guerre heureuſement m’oſtant voſtre préſence, Et ma flâme eſtant foible encor dans ſa naiſſance, Elle alloit expirer;	La guerre heureusement m'ôtant votre présence, Et ma flamme étant faible encor dans sa naissance, Elle allait expirer;
je ne vous voyois pas.	je ne vous voyais pas.
Vous revenez paré des plus brillans appas, Qu ajoute à la vertu la plus enaimante gloi e;	Vous revenez paré des plus brillants appas, Qu ajoute à la vertu la plus enaimante gloi ;
Vous menez avec vous l’Amour, & la Victolre;	Vous menez avec vous l'Amour, et la Victolre;
je n’ay pu reſiſter, mon reu s’eſt Iallume, Vous voila ſatisfait, & vous eſtes aimé.	je n'ai pu résister, mon réu qu'est Jallume, Vous voilà satisfait, et vous êtes aimé.
DARIUS.	DARIUS.
Eſt-ce un crime ſi grand, que de m’aimer, Princeſſe?	Est-ce un crime si grand, que de m'aimer, Princesse?
ASPASIE.	ASPASIE.
