AISILAVE PASTORALE.	AISILAUE PASTORALE.
Qui ſeroit bien ce drolle tant heureux De qui ſon cœur eſt ſi fort amoureux, N’eſt-ce point moy que paſteur elle nomme, Ie le voudrois, ie ſerois bien ſon homme.	Qui serait bien ce drolle tant heureux De qui son cœur est si fort amoureux, N'est-ce point moi que pasteur elle nomme, Je le voudrais, je serais bien son homme.
Cyane.	Chyane.
O que n'eſt-il maintenant en ces lieux,	Ô que n'est-il maintenant en ces lieux,
B 4 Qume nenoniny paneler donx jeux.	 4 Que noniny paneler donx jeux.
Satyre.	Satire.
Mon petit cœur, beau ſoleil qui m’éclaire, C’eſt mon deuoir pluſtoſt de vous le faire:	Mon petit cœur, beau soleil qui m'éclaire, C'est mon devoir plutôt de vous le faire:
Approchez-vous, ie veux vous careſſer, Et mille fois voſtre corps embraſſer.	Approchez-vous, Seigneur veux vous caresser, Et mille fois votre corps embrasser.
Cyane.	Chyane.
o bieua, o nina que me voila ſurpriſe!	ô bieua, ô nina que me voilà surprise!
Hé le moyen que mon faict ie déguiſe.	Hé le moyen que mon fait ici déguise.
Satyre.	Satire.
Nayez l'eſprit ſaiſi d’eſtonnement, Et ſans frayeur parlez-moy librement, Eſt-ce de moy que vous eſtes rauie?	Nayez l'esprit saisi d'étonnement, Et sans frayeur parlez-moi librement, Est-ce de moi que vous êtes ravie?
En verité i’en aurois bien enuie.	En vérité j'en aurais bien envie.
Cyane.	Chyane.
Satyre, amy voſtre abord irop ſoudain M’a tellement mis la peur dans le ſein, Que ie ne puis, qu’auecques grande peine, De mes poumons attirer mon haleine Pour vous répondre, attendez vn moment, Et vous aurez de moy contentement.	Satire, ami votre abord irop soudain M'a tellement mis la peur dans le sein, Que ie ne puis, qu'avec grande peine, De mes poumons attirer mon haleine Pour vous répondre, attendez un moment, Et vous aurez de moi contentement.
Satyre.	Satire.
Ouy da, mon cœur, ma belle cytherèe, Ie l’attendray, ſoyez-en aſſeurée:	Oui da, mon cœur, ma belle cytherèe, Je l'attendrai, soyez-en assurée:
Mais cependant, ie vous prie entendez Comment du tout voſtre vous me rendez, Ie meurs d’amour pour voſtre beau viſage, Comme en pareil l’on voit dans ce bocage Perir pour moy mille nymphes, dont l’air Et la beauté peuuent faire affoler Les plus conſtants à fuir le delice, Que fait gouſter la déeſſe d'Erice, Encore hier ie fus perſecuté D'vne qui vint par grande humilité Me ſupplier d’alléger le martire Qu'elle a pour moy, mais ie n’en fis que rire, Car ie ne puis autre que vous aimer, Amour, pour vous, peut mon cœur allumer.	Mais cependant, Madame vous prie entendez Comment du tout votre vous me rendez, Je meurs d'amour pour votre beau visage, Comme en pareil l'on voit dans ce bocage Périr pour moi mille nymphes, dont l'air Et la beauté peuvent faire affoler Les plus constants à fuir le délice, Que fait goûter la déesse d'Érice, Encore hier Seigneur fut persécuté D'une qui vint par grande humilité Me supplier d'alléger le martyre Qu'elle a pour moi, mais un n'en fis que aimer, Car Car Ca puis pour que peut -vous, Amour, peut -vous, peut mon cœur allumer.
Cyane.	Chyane.
Satyre, amy, prenez vn peu la peine D'aiiei quein det tan a ont jonteine Pour m’arrouſer, le cœur me veut faillir.	Satire, ami, prenez un peu la peine D'aijie quein de tan a ont jonteine Pour m'arrouser, le cœur me veut faillir.
patyre Quel eſt le mal qui vient vous aſſaillir?	patire Quel est le mal qui vient vous assaillir?
Cyane.	Chyane.
Ie vous l’ay dit, ſouſtenez moy, ie tombe!	Je vous l'ai dit, soutenez moi, ie tombe!
Satyre.	Satire.
Dieux qu'eſt ce cy, la voila qui ſuccombe A la douleur, courage mon ſouhait, D’aller à l’eau i’auray bien pluſtoſt faict:	Dieux qu'est ce cy, la voilà qui succombe À la douleur, courage mon souhait, D'aller à l'eau j'aurai bien tôt fait:
Allons-y donc, mais deuant que ie baiſe Ses tetins blancs, & ſa bouche à mon aiſe;	Allons-y donc, mais devant que je baise Ses tétins blancs, et sa bouche à mon aise;
La volupté!	La volupté!
que n’ay-ie le loiſir De manier ſon, de qui i’ay deſir.	que n'ai-je le loisir De manier son, de qui j'ai désir.
Or ſus, allons d’vne courſe haſtiue Puiſer de l’eau de quelque ſource viue.	Or sus, allons d'une course hâtive Puiser de l'eau de quelque source vive.
Cyane.	Chyane.
Eſt il fort loin, ouy, ie ne l’apperçoy Plus icy prés, qu’il m’a causé d'effroy Fuſt-il là bas auecques Proſerpine!	Est il fort loin, oui, je ne l'aperçois Plus ici près, qu'il m'a causé d'effroi Fût-il là bas avec Proserpine!
Voyez vn peu ſi ie n’euſſe eſté fine Où i'en eſtois?	Voyez un peu si ici n'eusse été fine Où j'en étais?
mais ſans plus de ſeiour Gaignons le haut de peur de ſon retour.	mais sans plus de séjour Gagnons le haut de peur de son retour.
Satyre.	Satire.
Ho, qu'eſt cecy?	Ho, qu'est ceci?
qu'eſt elle deuenuë?	qu'est elle devenue?
Mais ay-ie bien la place retenuë?	Mais ai-je bien la place retenue?
Eſtoit-ce icy, ie n'en ſçay que penſer:	Était-ce ici, ie n'en sais que penser:
Cherchons par tout, ho l'ay beau tracaſſer,	Cherchons par tout, ho l'ai beau tracasser,
5 Ie ſuis duppé, la plaiſante caſſade, Comme elle a feint d’eſtre bien fort malade Pour m’enuoyer, puis apres échapper;	5 Je suis dupé, la plaisante cassade, Comme elle a feint d'être bien fort malade Pour m'envoyer, puis après échapper;
Si ie la puis quelquesfois ratrapper, C’eſt bien hazard ſi de pareille ruſe Encor un coup la mauuaiſe m’abuſe.	Si ici la puis quelquefois ratraper, C'est bien hasard si de pareille ruse Encor un coup la mauvaise m'abuse.
CENE III.	CÈNE III.
ARISTENE ET IOESSE.	ARISTENE ET IOSE.
Ariſtene.	Aristène.
VErtes amour eſt grandement cruel, ODe me bruſler d’vn feu continuel, Et cependant celle qui me poſſede, A tous propos iouyt d’vn intermede:	VErtes amour est grandement cruel, ODe me brûler d'un feu continuel, Et cependant celle qui me possède, À tous propos jouit d'un intermède:
Si quatre iours elle ſent de l’ardeur, Elle en eſt ſix que ce n’eſt que froideur:	Si quatre jours elle sent de l'ardeur, Elle en est six que ce n'est que froideur:
Tantoſt elle aime, & tantoſtl’inhumaine, Me fait paroiſtre vn cœur tout plein de haines Dont ne pouuant dauantage endurer, Encor vn coup ie vay m’auenturer De la prier de m’eſtre plus fidelle, Si non c’eſt fait, ie prendray congé d’elle, Pour ce ſuiet ie m’en vay la chercher:	Tantôt elle aime, et tantôtl'inhumaine, Me fait paraître un cœur tout plein de haines Dont ne pouvant davantage endurer, Encore un coup ie a auenturer Dela prier de être plus fidelle, Si non est fait, ie prendrai congé elle, Pour ce suiet ie en vay la chercher:
Or ſus allons, commençons à marcher, Ho, qu’eſt ce cy?	Or sus allons, commençons à marcher, Ho, qu'est ce cy?
la plaiſante auanture, Sur ce fouteau ie vois de l’écriture;	la plaisante aventure, Sur ce fouteau de vois de l'écriture;
Approchons-nous pour la lire, vrayment Ie ſuis ſaiſt d’vn grand eſtonnement:	Approchons-nous pour la lire, vraiment Je suis saist d'un grand étonnement:
Et le ſubiet, c’eſt que l’autheur d’icelle S’adreſſe à moy, dont ie ſuis en ceruelle Ne ſçachant pas à quoy tend ſon deſſein:	Et le sujet, c'est que l'auteur d'icelle S'adresse à moi, dont votre suis en cervelle Ne sachant pas à quoi tend son dessein:
Or ſus, or ſus apprenons-le ſoudain.	Or sus, or sus apprenons-le soudain.
Au berger Caliſtene ſalut.	Au berger Calistène salut.
Entil berger, le beau fils de Cyprine ¶Dont le pouuoir ſur le monde domine, M’ayant bleßé le cœur en mille parts, Par les rayons ſortans de vos regards, Il me contraint d’vne douce contrainte De vous le dire, & vous faire ma plainte, Trouuez-le bon, ie vous prie humblement, Et ſans en faire vn mauuais iugement, Car mon amour de la vertu guidée, Deſſus hymen eſt ſeulement fondée, Si vous aimez la declaration Que ie vous fais de mon affection, Obligez moy de me le faire entendre, Grauant deux mots ſur cette eſcorce tendre, Et puis apres vous ſçaurez qui ie ſuis, Et ſi ie vaux le bien que ie pourſuis.	Entil berger, le beau fils de Cyprine ¶Dont le pouvoir sur le monde domine, M'ayant blesié le cœur en mille parts, Par les rayons sortants de vos regards, Il me contraint d'une douce contrainte De vous le dire, et vous faire ma plainte, Trouvez-le bon, ie Vous prie humblement, Et sans en faire un mauvais jugement, Car mon amour de la vertu guidée, Dessus hymen est seulement fondée, Si vous aimez la déclaration Que Que je fais de mon affection, Obligez moi de me le faire entendre, Grauant deux mots sur cette écorce tendre, Et puis apres vous sçaurez qui ie suis, Et si ie vaux le bien que ie poursuis.
Ariſtene.	Aristène.
Pardon, amour, ie ne veux plus me plaindre, Puis que tes dards ores viennent contraindre Vne bergere à m’aimer deſormais;	Pardon, amour, je ne veux plus me plaindre, Puis que tes dards ores viennent contraindre Vune bergère à m'aimer désormais;
Ouyda, bergere, ouyda ie vous promets De vous cherir d’vn amour reciproque Orpeus de moy ma coeſſe femotque Pour ce iourd’huy, c’eſt vn faict arreſté, Ie veux ſçauoir quelle eſt ſa volonté:	Ouida, bergère, ouida je vous promets De vous chérir d'un amour réciproque Orpeus de moi ma coesse femotque Pour ce iourd’hui, c'est un fait arrêté, Je veux savoir quelle est sa volonté:
Bon, la voicy qui vient par cette ſente, Le grand bon-heur que le Ciel me preſente!	Bon, la voici qui vient par cette sente, Le grand bonheur que le Ciel me présente!
Ioeſſe.	Joesse.
Voila goſſer iuſqu’au dernier degré, Prayment paſieur ie vous enſp̧ay bon gré,	Voilà gosser jusqu'au dernier degré, Prayment pasieur ie vous enspay bon gré,
Ariſtene.	Aristène.
Vous cheriſſant cent fois plus que moy meſme, Ie vous puis bien dire mon heur extreſme.	Vous chérissant cent fois plus que moi -même, Je vous puis bien dire mon heur extrême.
Ioeſſe.	Joesse.
Si le deſtin ne vous rend plus heureux, Vous pourrez bien le nommer rigoureux, Eltacenjer de coms qprevunalane;	Si le destin ne vous rend plus heureux, Vous pourrez bien le nommer rigoureux, Éltacenjer de coms qprevunalane;
De vous donner vn bon heur ſi vulgaire.	De vous donner un bon heur si vulgaire.
Ariſtene.	Aristène.
Vous en direz tout ce qu’il vous plaira, Mais Ariſtene oncques ne ceſſera De l’eſtimer, comme il eſt eſtimable, Pourueu qu’ainſi vous l’ayez agreable.	Vous en direz tout ce qu'il vous plaira, Mais Aristène onc ne cessera De l'estimer, comme il est estimable, Pourvu qu'ainsi vous l'ayez agréable.
Ioeſſe.	Joesse.
C’eſt mon regret, que ie n’ay le pouuoir Par bons effects de vous le faire voir:	C'est mon regret, que ici n'ai le pouvoir Par bons effets de vous le faire voir:
Mais le malheur eſt tant mon aduerſaire, Que ie ne puis en rien vous ſatisfaire.	Mais le malheur est tant mon adversaire, Que Rome ne puis en rien vous satisfaire.
Ariſtene.	Aristène.
Aſſez i’auray de ſatisfaction, Cyjan teelen de coſne ayj clion.	Assez j'aurai de satisfaction, Cyjan teint de cône aijj clion.
Ioeſſe.	Joesse.
Las, vous l’auez mais il eſt inutile, Ne pouuant rien produire de fertile.	Las, vous l'avez mais il est inutile, Ne pouvant rien produire de fertile.
Ariſtene.	Aristène.
Ie vous entends, c'eſt que vous me quitez N'eſt il pas vray?	Je vous entends, c'est que vous me quitez N'est il pas vrai?
parlez, vous heſitez.	parlez, vous hésitez.
Ioeſſe.	Joesse.
Il eſt trop vray, mais las i'y ſuis forçée:	Il est trop vrai, mais las j'y suis forçée:
Dont ie me tiens grandement offencée, Parce que c’eſt de droit, & d’équité, Que l’hymen ſoit en noſtre liberté.	Dont grande me tiens grandement offensée, Parce que c'est de droit, et d'équité, Que l'hymen soit en notre liberté.
O Dieux du Ciel que ie ſuis miſerable, Qu'il faille, helas!	Ô Dieux du Ciel que ie Rois misérable, Qu'il faille, hélas!
que ie ſois variable, Et que ie quitte, outre ma volonté, Mon cher paſteur de moy tant regretté;	que ici sois variable, Et que ie quitte, outre ma volonté, Mon cher pasteur de moi tant regretté;
Ce neantmoins, qu’il viue en aſſeurance De poſſeder touſiours ma bien-veillance, Ie l’aimeray certes, par deſſus tous, Sans excepter l’amour de mon épous:	Ce néanmoins, qu'il vive en assurance De posséder toujours ma bienveillance, Je l'aimerai certes, par -dessus tous, Sans excepter l'amour de mon épous:
De poſite pare, cuser paſtent quelstajje, A mon regret, aimez voſtre Ioeſſe.	De posite pare, cuser pâtent quelstajonc, À mon regret, aimés votre Joesse.
Ariſtene.	Aristène.
Cœur déloyal penſez-vous m’abuſer?	Cœur déloyal pensez-vous m'abuser?
Pouuiez-vous pas Deolis refuſer?	Pouviez-vous pas Dolis refuser?
Vous tenoit on le poignard ſur la teſte?	Vous tenait on le poignard sur la tête?
Non, certes non, ie ne ſuis pas ſi beſte Que de le croire, & puis que dites vous De ce qui fut n’agueres entre nous Si bien conclu?	Non, certes non, je ne suis pas si bête Que de le croire, et puis que dites -vous De ce qui fut n'aguères entre nous Si bien conclu?
quoy vous baiſſez la veuë?	quoi vous baissez la vue?
Que n’eſtes-vous d’vne excuſe pourueuë Pour colorer cette legereté:	Que n'êtes-vous d'une excuse pourvue Pour colorer cette légèreté:
Encore hier il me fut rapporté Que vous auez, mauuaiſe trompereſſe, A Deolis fait certaine promeſſe Depuis deux iours de n’aimer rien que luy;	Encore hier il me fut rapporté Que vous avez, mauvaise tromperesse, À Dolis fait certaine promesse Depuis deux jours de n'aimer rien que lui;
Ha que pour vous ie ſupporte d’ennuy!	Ha que pour vous venir supporte d'ennui!
Face du Ciel la puiſſance infinie, Que quelque iour vous en ſoyez punie, Et que celuy que vous cheriſſez tant, Cruellement vous aille mal-traittant;	Face du Ciel la puissance infinie, Que quelque jour vous en soyez punie, Et que celui que vous chérissez tant, Cruellement vous aille maltraitant;
onte m'en vais, de bon tœur ie vous laiſſe:	onte m'en vais, de bon tœur Dieux vous laisse:
Mais ne penſez que ie ſois ſans maiſtreſſe, Venant icy, l’heur m’en a tant voulu, Que ſi ie veux ie ſuis épour eſleu D’vne beauté ſur toutes accomplie.	Mais ne pensez que ainsi sois sans maîtresse, Venant ici, l'heur m'en a tant voulu, Que si tu veux venir suis épour esleu D'une beauté sur toutes accomplie.
Toene.	Tene.
Nommez la moy, paſteur, ie vous ſupplie.	Nommez la moi, pasteur, je vous supplie.
Ariſtene.	Aristène.
Vous la nommer?	Vous la nommer?
ô courage inconſtant?	ô courage inconstant?
Que non feray.	Que non ferai.
Ioeſſe.	Joesse.
Ne vous faſchez point tant, Ie puis encor apporter du remede Au déplaiſir qui voſtre ame poſſede.	Ne vous fâchez point tant, Je puis encor apporter du remède Au déplaisir qui votre âme possède.
Ariſtene.	Aristène.
Ren parlons plus, i'ay qui te guerira, Et qui mon dueil du tout réiouyra.	Ren parlons plus, j'ai qui te guérira, Et qui mon deuil du tout réjouira.
Ioeſſe.	Joesse.
Mon cher Paſteur, mon ame, mon delice Ne quittez pas maintenant mon ſeruice, de me repemis dt et ſuit eſt paßé.	Mon cher Pasteur, mon âme, mon délice Ne quittez pas maintenant mon service, de me répémis dût et suit est passé.
Ariſtene.	Aristène.
Pom manextropſant juoiet ejjente.	Pom manextropsant juaient ejjente.
Helas pardon.	Hélas pardon.
Ioeſſe.	Joesse.
Ariſtene.	Aristène.
Hé bien ie vous pardonne, Mdamdeniey ouint amout t'avandonne.	Hé bien ici vous pardonne, Mdamdeniey ouint amout t'avandonne.
Ioeſſe.	Joesse.
Que dittes vous?	Que dites -vous?
las donnez-moy la mori Cent fois pluſtoſt que me faire ce tort.	las donnez-moi la mory Cent fois plutôt que me faire ce tort.
Ariſtene.	Aristène.
Allez, allez, viuez en eſperance Vous maintenant en la perſeuerance,	Allez, allez, vivez en espérance Vous maintenant en la persévérance,
SCENE IIII.	SCÈNE IIII.
DEOLIS ET ARISTENE.	DÉOLIS ET ARISTENE.
Deolis.	Dolis.
E l’aperçoy, mais ie n’ay nul teſmoin I Pour me ſeruir ſi i’en ay de beſoin, Pource il vaut mieux que ie ne m’en approche, Que de dix pas de peur qu’il ne me torche, Tournez viſage?	E l'aperçois, mais ainsi n'ai nul témoin I Pour me servir si j'en ai de besoin, Pource il vaut mieux que je ne m'en approche, Que de dix pas de peur qu'il ne me torche, Tournez visage?
vn mot tant ſeulement.	un mot tant seulement.
Ariſtene.	Aristène.
Que me veux tu, partt uonc promptement.	Que me veux tu, partt onc promptement.
Veus ſupplier.	Vous supplier.
Deolis.	Dolis.
Ariſtene.	Aristène.
Paracheue.	Parachève.
Deolis.	Dolis.
Ie n'oſe.	Je n'ose.
Ariſtene.	Aristène.
Non ne crains point, depeſche-toy, propoſe Ce que tu veux.	Non ne crains point, dépêche-toi, propose Ce que tu veux.
Deolis.	Dolis.
Ma priere eſt touchant.	Ma prière est touchant.
Qui?	Qui?
Ariſtene.	Aristène.
Lcons.	Lcons.
Celle-là, que ie vois rechércham.	Celle-là, que ici vois rechércham.
Ariſtene.	Aristène.
Retire-toy, bouuier, ie te conſeilles Si tu ne veux auoir ſur les oreilles.	Retire-toi, bouvier, on te conseilles Si tu ne veux avoir sur les oreilles.
Deolis.	Dolis.
Permettez- moy, ſans entrer en courous Dt vom purter 5jujex in peu peus dous.	Permettez- moi, sans entrer en courrous Dt vom purter 5jujex in pu peus dous.
Ariſtene.	Aristène.
Va-t’en te dis-ie & plus ne m’importune.	Va-t-en te dis-je et plus ne m'importune.
Deolis.	Dolis.
Vous teſmoignez vne grande rancune, Si ne penſay-ie auoir oncques commis Aucun forfait qui nous rende ennemis.	Vous témoignez une grande rancune, Si ne pensai-je avoir oncques commis Aucun forfait qui nous rende ennemis.
Ariſtene.	Aristène.
Au loin au loin, & ſans caiollerie Ne me viens plus donner de faſcherie, Si ce n’eſtoit que ie n’aurois d’honneur De t’aſſommer, perfide ſuborneur, Tiens pour certain que cette roche dure Te ſeruiroit de triſte ſepuliure.	Au loin au loin, et sans caiollerie Ne me viens plus donner de fâcherie, Si ce n'était que ici n'aurais d'honneur De t'assommer, perfide suborneur, Tiens pour certain que cette roche dure Te servirait de triste sépulivre.
DeoiIs.	DeoiIs.
Si ne penſay-ie auoir iamais taſché, L'ant ſeulement à vous rendre faſché.	Si ne pensai-je avoir jamais tâché, L'ant seulement à vous rendre fâché.
Ariſtene.	Aristène.
Tu ſçais bien mieux que tu ne me veux dire.	Tu sais bien mieux que tu ne me veux dire.
Excuſez moy.	Excusez -moi.
Deolis.	Dolis.
14	14
Ariſtene.	Aristène.
N’allume plus mon ire, En déguiſant ainſi la verité, Meſchant coquin la meſme indignité, Villain bouuier, infame, dy, confeſſe, Ne m’as-tu pas débauché ma iotjſe?	N'allume plus mon ire, En déguisant ainsi la vérité, Mêchant coquin la même indignité, Villain bouvier, infâme, dis, confesse, Ne m'as-tu pas débauché ma iotjse?
Deolis.	Dolis.
Certes nenny, croyez-le bonnement, Et ſi ie l’ay, c’eſt par conſentement De ſes parents, leſquels me l’ont promiſe.	Certes nenni, croyez-le bonnement, Et si tu l'ai, c'est par consentement De ses parents, lesquels me l'ont promise.
Ariſtene.	Aristène.
Tu ſçauois bien que mon ame iſt eprije De ſa beauté.	Tu sais bien que mon âme ît éprije De sa beauté.
u ueru	Elle ouveru
Deolis.	Dolis.
Que ſi ie le ſçauois, Puiſſe ie perdre à cette heure la vois, Et puis mourir, ie ſerois trop coupable D’auoir commis vn acte ſi blaſmable, mamumnne faus iojuie uumore feruiteur;	Que si ici le savoir, Puisse ie perdre à cette heure la vois, Et puis mourir, toujours serais trop coupable D'avoir commis un acte si blâmable, mamumnne faus jojuie uumore serviteur;
Obligez-moy de le croire.	Obligez-moi de le croire.
Ariſtene.	Aristène.
Paſteur, Si tu me veux donner cette creance En ton amour plus outre ne t’auance.	Pasteur, Si tu me veux donner cette créance En ton amour plus outre ne t'avance.
Deolis.	Dolis.
Ie ne le puis ſans me faire grand tort, Mais vous pluſtoſt vous m’obligerez fort, Si vous voulez me faire cette grace Que voſtre amour en plus outre ne paſſe, C’eſt le ſubiet qui m’a fait vous venir Trouuer icy.	Je ne le puis sans me faire grand tort, Mais vous plutôt vous m'obligerez fort, Si vous voulez me faire cette grâce Que votre amour en plus outre ne passe, C'est le sujet qui m'a fait vous venir Trouver ici.
Ariſtene.	Aristène.
Quoy?	Quoi?
tu me viens tenir Vn tel propos?	tu me viens tenir Un tel propos?
indiſcret temeraire, Par la morbleu ie te feray bien taire.	indiscret téméraire, Par la morbleu Le te ferai bien taire.
Deolis.	Dolis.
C’eft le meilleur d’échapper dans ce bois, Et me cacher dedans ces antres cois, Quejrepou;	C'est le meilleur d'échapper dans ce bois, Et me cacher dedans ces antres cois, Quejrepou;
mmrbleu comme il me pique, Encor deux pas puis ie vous fais la nique.	mrbleu comme il me pique, Encor deux pas puis ie -vous fais la nique.
Ariſtene.	Aristène.
Tu me ſuis doncq', pour le moins ces caillous Técrazeront d’vn million de coups.	Tu me suis donc, pour le moins ces caillous Técrazeront d'un million de coups.
Deolis.	Dolis.
Iuſques icy l'effroyable tempeſte De ces caillous me vient ſouffler la teſte, Fuyons plus loin.	Jusqu' ici l'effroyable tempête De ces caillous me vient souffler la tête, Fuyons plus loin.
Ariſtene.	Aristène.
Ha, ie voy le renard, Par la morbleu ie vous auray pendard,	Ha, Seigneur vois le renard, Par la morbleu je vous aurai pendard,
Deolis.	Dolis.
Si ie ne cours de plus grande viteſſe Ie ſuis du guet, i’ay bien peur qu’il me bleſſe.	Si ici ne cours de plus grande vitesse Je suis du guet, j'ai bien peur qu'il me blesse.
Ariſtene.	Aristène.
Ho ho, comment l’ay-ie ſi toſt perdu, Par la morbleu ie croy qu’il eſt fondu, Quelque demon ſorty du noir auerne, La trebuſché dedans quelque cauerne, Cherchons vn peu, ie ne le puis trouuer, Ventre, comment à t’il pût ce ſanuer, Ie n’en ſçay rien, il eſt preſque impoßible, Si non qu’on dit qu’il ce rend inuiſible Quandil luy plaiſt, où bien lors que quelqu’vn Le veut faſcher, on le ſuit importun, Voilà comment les perils il énade, Bien aitément ie me le perſuade, Certes ie croy qu’en cette occaſion Il c’eſt ſeruy de cette illufion, Or ie m'en vois, de bon cœur ie le donne A la hideuſe & fiere Tixifonne.	Ho ho, comment l'ai-je si tôt perdu, Par la morbleu autre crois qu'il est fondu, Quelque démon sorti du noir averne, La trebusché dedans quelque caverne, Cherchons un peu, je ne le puis trouver, Ventre, comment à t'il pût ce sanuer, Je n'en sais rien, il est presque impognible, Si non qu'on dit qu'il ce rend invisible Quandil lui plaît, où bien lors que quelqu'un Le veut fâcher, on le suit importun, Voilà comment les périls il énade, Bien aitément ie me le persuade, Certes ave ç quenque occasion Il est servi de cette illusion, Or Il c'en vois, de bon cœur ie le donne A la hideuse etfière Tixifonne.
ACTE IIII.	ACTE IIII.
LE IVGE, LE GREFFIER, LES TESMOINS, ARISTENE, LE CHOEVR DES PASTEVRS, CERAMBE, IOESSE OEVEL	LE IVGE, LE GREFFIER, LES TÉMOINS, ARISTENE, LE CHOEUR DES PASTEURS, CERAMBE, IOESSE OEVEL
SCENE I.	SCÈNE I.
EI LEJ EE SREFFIER, LES ABOMOIBSHIISIINE, LE CHOEVR DES PASTEVRS.	EI LEJE CE SREFFIER, LES ABOMOIBSHISINE, LE CHOEUR DES PASTEURS.
Le Iuge.	Le Juge.
E grand malheur, ô que i'en ſuis marry!	E grand malheur, ô que j'en suis marri!
Que ce Paſteur du Ciel tant fauory Ait pu commettre un fait ſi deteſtable, Certainement c’eſt choſe peu croy able.	Que ce Pasteur du Ciel tant favori Ait pu commettre un fait si détestable, Certainement c'est chose peu crois able.
Le Greffier.	Le Greffier.
Mais vous voyez, il en eſt accusé.	Mais vous voyez, il en est accusé.
Le Iuge.	Le Juge.
Et qui ſont ceux qui vous l’ont déposé,	Et qui sont ceux qui vous l'ont déposé,
Le Gre Fer.	Le Gre Fer.
Trois vieilt Bergers de façon venerables,	Trois vieilt Bergers de façon vénérables,
Le Iuge.	Le Juge.
Que ſçauez-vous r’ils ne ſont point ſannables.	Que Savez-vous rils ne sont point sannables.
Ie croy que non.	Je crois que non.
Le Greffier.	Le Greffier.
Le Iuge.	Le Juge.
Fatter tes nour venir, Ie veux l’vn deux à part entretenir.	Fatter tes nour venir, Je veux l'un deux à part entretenir.
Le Greffier.	Le Greffier.
Holà teſmoins, l'vn de vous ſe preſente.	Holà témoins, l'un de vous se présente.
Premier teſmoing.	Premier témoing.
ceronue oon peu s’en faut m’épouuente, Ie vois pourtant venerable Berger, Que vous plaiſt il.	ceronve oon peu s'en faut m'épouvante, Je vois pourtant vénérable Berger, Que vous plaît il.
Le Iuge.	Le Juge.
Ie veux t’interroger, Cà, iure moy la puiſſance ineffable Que tu ſeras maintenant veritable.	Je veux t'interroger, Cà, jure moi la puissance ineffable Que tu seras maintenant véritable.
Premier teſmoing.	Premier témoing.
Iuſques icy i’ay veſeu ſaintement Et ne fis onq de captieux ſerment, Ce neanmoins le grand dieu Pan i’ateſte, Et tour les dieux de la voûte celeſte Que ie diray la pure verité.	Jusqu' ici j'ai vu sainte Et ne fis onq de captieux serment, Ce néanmoins le grand dieu Pan j'atteste, Et tour les dieux de la voûte céleste Que se diray la pure vérité.
12.	12.
Le Iuge.	Le Juge.
Donq' as-tu veu la fiere cruauté, Que Calistene a n’aguere commiſe Sur Deolis?	Donc as-tu vu la fière cruauté, Que Calistene a n'aguère commise Sur Dolis?
Premier teſmoing.	Premier témoing.
O Iuge que ie priſe, Comme vn qui tient la balance des dieux Où ſont peſez les actes vicieux, Ie n’ay pas veu le trépas miſerable De Deolis, mais il eſt vray ſemblable, Car Ariſtene eſtant tout tranſporté, Et hors de ſoy le couroit irrité, Voire ſi bien que penſant fuir ſa rage nejuiança dans le fort du boccage, D'où du depuis il ne fut veu de nous.	Ô Juge que Dieu prise, Comme un qui tient la balance des dieux Où sont pesez les actes vicieux, Je n'ai pas vu le trépas misérable Dé Olis, mais il est vrais semblable, Car Istene étant tout transporté, Et hors de soi le courait irrité, Voire si bien que pensant fuir sa rage nejuiança dans le fort du bocage, D'où du depuis il ne fut vu de nous.
Le dremer.	Le dremer.
Luy viſtes vous délaſcher quelques coups?	Lui vîtes vous délascher quelques coups?
Premier teſmoing.	Premier témoing.
Comme il fuyoit Ariſtene grand’erre, Ie vis voller apres luy mainte pierre.	Comme il fuyait Aristène grand'erre, Je vis voler après lui mainte pierre.
Le Iuge.	Le Juge.
Ie voudrois bien en aprendre vn peu moins, nunta deimt tes deune umres neſmoins.	Je voudrais bien en apprendre un peu moins, nunta deimt tes deune umres némoins.
Le Greffier.	Le Greffier.
Or ſus venez rapporter teſmoignage.	Or sus venez rapporter témoignage.
Le Iuge.	Le Juge.
Auez-vous veu commettre le carnage De Deolis?	Avez-vous vu commettre le carnage De Olis?
Des deux FCmmons.	Des deux FCmons.
Nenny, mais peu s’en faut.	Nenni, mais peu s'en faut.
Continuez.	Continuez.
Le Greffier.	Le Greffier.
Les deux Teſmoins.	Les deux Témoins.
Comme il gaignoit le haut Ttom iijmes lors Ariſtene le ſuiure D’vn roide cours, & ſi bien le pourſuiure Qu'u fui contraint d etnaper uans un bou Où nous croyons qu’il le miſt aux abois, Car du depuis il n’en fut plus nouuelle.	Comme il gagnait le haut Titom iijmes lors Aristène le suivre D'un roide cours, et si bien le poursuivre Qu' le fui contraint d etnaper ans un bou ù nous croyons qu'il le mit aux abois, Car du depuis il n'en fut plus nouvelle.
Le Greffier.	Le Greffier.
Voilà vrayment vne action cruelle.	Voilà vraiment une action cruelle.
Le luge.	Le luge.
N'auez vous point meſmes ouy parler Dh aiſſtrem qhia ſle qhereuers.	N'avez -vous point mêmes ouï parler Dh aisstrem qhia sle qhérevers.
Les Teſmoins.	Les Témoins.
