1101 A MONSEIGNEVR E MARQVI C 108 DE MONTAVSIER.	1101 À MONSEIGNEUR E MARVI Ç 108 DE MONTAUSIER.
Differez, quelques iours de la perſecuter Et me donneZ le temps d’agir & de tenter, Par voſtre authoritè moyennez ma conqueſte, Et d’vn commandement appuyez ma requeſte, Afin que poſſedant le comble de mon bien I'efface de ſon cœur tout ſentiment Chreſtien, Ie luy donne vn degouſt du Dieu qu'elle respecte Et de iuſtes mespris des fables de ſa ſecte;	Différez, quelques jours de la persécuter Et me donnez le temps d'agir et de tenter, Par votre authoritè moyennez ma conquête, Et d'un commandement appuyez ma requête, Afin que possédant le comble de mon bien J'efface de son cœur tout sentiment Chrétien, Je lui donne un dégoût du Dieu qu'elle respecte Et de justes mépris des fables de sa secte;
L’amour eſt mon docteur cét inuincible enfant Des plus forts arguments me rendra triomphant, Et traiſnera bien-toſt d’vne douce maniere Iuſqu'au pied des Autels ſa belle priſonniere.	L'amour est mon docteur cet invincible enfant Des plus forts arguments me rendra triomphant, Et traînera bientôt d'une douce manière Jusqu'au pied des Autels sa belle prisonnière.
Cependant n'employez ny fer ny cruauté Cemre verre fuperbe ce enurmante beauté, Laiſſez à mon amour vn objet honorable Et ſouffrez vn moment vne telle coulpable.	Cependant n'employez ici fer ni cruauté Cemre verre superbe ce enurmante beauté, Laissez à mon amour un objet honorable Et souffrez un moment un telle coulpable.
MAXIMIAN.	MAXIMIAN.
Ouy te te le promets e ne permettray pas Que la moindre contrainte altere ſes appas, Ie ſuis en ta faueur reſolu de l’attendre Ie te dois cette grace & ne m’en puis deffendre.	Oui te te le promets e ne permettrai pas Que la moindre contrainte altère ses appas, Je suis en ta faveur résolu de l'attendre Je te dois cette grâce et ne m'en puis défendre.
MMXTMIAIV.	MMXTMIAIV.
Ie n’eſperois pas moins de voſtre Majeſté Que l’ordinaire effect d’vne extreme bonté, Et i’oſe preſumer que cette bonté meſme Agira pour ma flamme enuers celle que i’aime.	Je n'espérais pas moins de votre Majesté Que l'ordinaire effet d'une extrême bonté, Et j'ose présumer que cette bonté même Agira pour ma flamme envers celle que j'aime.
MAXIMIAN.	MAXIMIAN.
Ouy ſi noſtre inſenſible eſt encor cette fois Dans la haine des Dieux & le mespris des lois, Si ſon impieté n’entend à paix ny treue Ie feray mes efforts pour t’obtenir ſa vefue.	Oui si notre insensible est encor cette fois Dans la haine des Dieux et le mépris des lois, Si son impiété n'entend à paix ni trouve Je ferai mes efforts pour t'obtenir sa veu.
SCENE III.	SCÈNE III.
ADRIAN, NATALIE, MAXIMIAN, APOLLINAIRE, PLACIDE, MARTIAN.	ADRIAN, NATALIE, MAXIMIAN, APOLLINAIRE, PLACIDE, MARTIAN.
MAXITTAN.	MAXITAN.
Stes vous arriuez?	Stes -vous arrivez?
PLACIDE.	PLACIDE.
Ouy Seigneur nous voicy.	Ouy Seigneur nous voici.
MAXIMIAN.	MAXIMIAN.
Il eſt demy vaincu, la frayeur la tranſi.	Il est demi vaincu, la frayeur la transi.
ADRIAN.	ADRIAN.
Uous tournez ſans raiſon à mon deſaduantage Les traits decolorez de ce paſle viſage;	Uous tournez sans raison à mon désavantage Les traits décolorés de ce pâle visage;
Si là perte du ſang luy rauit l’enbonpoint La force de l’eſprit ne s’en affoiblit point, Mon ame inuiôble aux plus fortes atteintes Eſt dans vne aßiette inacceßivie aux tratnits, Et ie viens derechef me preſenter à vous	Si là perte du sang lui ravit l'enbonpoint La force de l'esprit ne s'en affaiblit point, Mon âme inuiôble aux plus fortes atteintes Est dans une assiette inaccessivie aux tratnits, Et ainsi viens derechef me présenter à vous
Preſt Preſt de ſeruir de viant tont je ue neuueaux coups.	Prêt Prêt de servir de viant tont -je ue nueaux coups.
MAXIMIAN.	MAXIMIAN.
Et moy plus qu’attendri par ta miſere extreme Te conjure d’ouir vn Empercur qui t’aime, Et que de ta valeur l’importun ſouuenir Ne pouuant te ſauuer retarde de punir.	Et moi plus qu'attendri par ta misère extrême Te conjure d'ouïr un Empercur qui t'aime, Et que de ta valeur l'importun souvenir Ne pouvant te sauver retarde de punir.
Aye pitié de toy, rappelle en ta pensée Le glorieux eſtat de ta vie paßée, Les beautez de la cour, la faueur, les amis, Tout ce qu’à tes esgaux la fortune a permis, L’honneur, la volupté, les richeſſes, la force;	Aye pitié de toi, rappelle en ta pensée Le glorieux état de ta vie passée, Les beautés de la cour, la faveur, les amis, Tout ce qu'à tes égaux la fortune a permis, L'honneur, la volupté, les richesses, la force;
Et ne refuſe plus vne ſi douce amorce.	Et ne refuse plus une si douce amorce.
Ie te feray ſi grand par mes frequents bien faits Qu'ils pourront effacer les affronts qu’on t’a faits Et toy meſme ſurpris d’vne ſi haute gloire Pour la mieux poſſeder en perdras là memoire;	Je te ferai si grand par mes fréquents bien faits Qu'ils pourront effacer les affronts qu'on t'a faits Et toi mesme surpris d'une si haute gloire Pour la mieux posséder en perdras là mémoire;
le cena que 9 Quruite ui puir u ce bon-heur Et chez l’Imperatrice vne place d’honneur, Que mon exemple inuite vn chacun a luy plaire Qu'on pardonne & puniſſe à ſa ſeule priere, Et qu’ayant l’vn pour l’autre vne entiere amitié Ta gloire par la ſienne augmente de moitié.	le cena que 9 Quruite uite Yvir ce bonur Et chez l'Impératrice une place d'honneur, Que mon exemple inuite un chacun a M plaire Qu'on pardonne et punisse à sa seule prière, Et qu'ayant l' à l'autre une entière amitié Ta gloire par la sienne augmente de moitié.
ADRIAN.	ADRIAN.
Uous me faites Seigneur vn offre ineſtimable.	Uous me faites Seigneur un offre inestimable.
ATALIE.	ATALIE.
Quoy vous laſchez le pied Martyr inesbranlable?	Quoi vous lâchez le pied Martyr inébranlable?
Modelle des Chreſtiens, hoſte du ſainct Eſprit, Quoy vous parlementez ſoldat de Ieſus-Chriſt?	Modèle des Chrétiens, hôte du saint Esprit, Quoi vous parlementez soldat de Jésus-Christ?
Et renoncez ſans honte aux palmes immortelles Que noſtre Dieu prepare à vos efforts fidelles.	Et renoncez sans honte aux palmes immortelles Que notre Dieu prépare à vos efforts fidèles.
Ha fuyez cher eſpoux, mais fuyez promptement Des Diables conjurez le fatal truchement, Fuyez le chant trompeur des traiſtreſſes Sirenes Et du premier ſerpent les mortelles haleines.	Ha fuyez cher époux, mais fuyez promptement Des Diables conjurés le fatal truchement, Fuyez le chant trompeur des traîtresses Sirène Et du premier serpent les mortelles haleines.
ADRIAN.	ADRIAN.
Ouy Seigneur vos preſens ont droit de mesbloüir, Mais iuſques à quel temps m’en ferez vous joüir, Iuſques ou s’eſtendra ma douce deſtinée?	Ou Seigneur vos présents ont droit de mesblouir, Mais jusques à quel temps m'en ferez -vous jouir, Jusques ou s'étendra ma douce destinée?
MAXIMIAN.	MAXIMIAN.
Iuſqu’au terme commun dont la vie eſt bornée, Et ce terme est cent ans, quoy que dans vn beſoin On trouue des vieillards qui ſont allez plus loin.	Jusqu'au terme commun dont la vie est bornée, Et ce terme est cent ans, quoi que dans un besoin On trouve des vieillards qui sont allés plus loin.
ADRIAN.	ADRIAN.
Et pour viure à ſouhait pendant ſi peu d’annèes Ie me verray reduit chez les ames damnées Aux braſiers deuorans & vne eternité Ne pourra terminer mon infelicité.	Et pour vivre à souhait pendant si peu d'annèes Se me verrai réduit chez les âmes damnées Aux brasiers dévorants et une éternité Ne pourra terminer mon infélicité.
Pour le temps incertain d’vn plaiſir periſſable Ie ſeray pour iam ais ſous l’empire du diable, Et geſne ſans repos dans ces antres infects Ou le courroux de Dieu ſe vange des forfaicts, Ie perdray pour ſi peu d’ineffables delices:	Pour le temps incertain d' plaisir périssable Je serai pour jam ais sous l'empire du diable, Et gêne sans repos dans ces antres infects Ou le courroux de Dieu se venge des forfaits, Je perdrai pour si peu d'ineffables délices:
Ha pluſtoſt, ha pluſtoſt redoublez mes ſupplices, CouppeZ, bruſlez, briſez, dechirez ſans pitié De ce corps tout rompu la ſanglante moitiè, De ces os esbranlez diſloquez les iointures Et foulez hardiment mes nerfs dans les tortures, Non, non le ne juis pas ſi pen inaicienx De preferer la terre au Royaume des Cieux Ie mourray ſans regret pour y viure ſans ceſſe, Et pour m'en detourner c’eſt en vain qu’on me preſſe	Ha plutôt, ha plutôt redoublés mes supplices, Coupelez, brûlez, brisez, déchirez sans pitié De ce corps tout rompu la sanglante moitiè, De ces ô ébranlez disloquez les jointures Et foulez hardiment mes nerfs dans les tortures, Non, non le ne juis pas si pen incienx De préférer la terre au Royaume des Cieux Je mourrai sans regret pour y vivre sans cesse, Et pour yen retourner c'est en vain qu'on me presse
NATALIE.	NATALIE.
Ha ie vous reconnois à ce noble diſcours Pour le digne ſujet de mes chaſtes amours;	Ha ici vous reconnais à ce noble discours Pour le digne sujet de mes chastes amours;
Courage cher espoux pourſuiuez voſtre courſe Quand noſtre ame eſt perduë on n’a plus de reſource, En vn ſi grand affaire il n’eſt point de milieu, Il faut viure infidelle ou mourir pour ſon Dieu, Et trouuer en la mort la ſource de la vie Ou d’vne mort ſans fin voir la ſienne ſuiuie.	Courage cher époux poursuivez votre course Quand notre âme est perdue on n'a plus de ressource, En un si grand affaire il n'est point de milieu, Il faut vivre infidèle ou mourir pour son Dieu, Et trouver en la mort la source de la vie Ou d'une mort sans fin voir la sienne suivie.
APOLLINAIRE.	APOLLINAIRE.
As tu ſoif de ſon ſang monſtre de cruauté?	As tu soif de son sang montre de cruauté?
MARTIAN.	MARTIAN.
Monſieur reſpectez plus ſa diuine beauté;	Monsieur respectez plus sa divine beauté;
Si dans les immortels le crime eſt venerable On doit tout ſupporter d’vne telle coulpable.	Si dans les immortels le crime est vénérable On doit tout supporter d'une telle coulpable.
APOLLINAIRE.	APOLLINAIRE.
Cette ſorciere infame à ſeduit ſon eſpoux, Et ie ne puis contre elle auoir trop de courroux.	Cette sorcière infâme à séduit son époux, Et tu ne puis contre elle avoir trop de courroux.
MAXIMIAN.	MAXIMIAN.
Ie deſeſpere enfin qu'Adrian ſe repente, Et i'attends ſeulement que ſa mort eſpouuante Sa complice obſtinée, & qu'vn ſort plus heureux Luy faſſe preuenir vn decret rigoureux;	Je désespère enfin qu'Adrian se repente, Et j'attends seulement que sa mort épouvante Sa complice obstinée, et qu'un sort plus heureux Lui fasse prévenir un décret rigoureux;
Elle aura cependant liberté de tout faire.	Elle aura cependant liberté de tout faire.
NATALIE.	NATALIE.
Ie ne crains point la mort, tant s’en faut ie l’eſpere, C’eſt l’objet glorieux de mon ardent deſir.	Je ne crains point la mort, tant s'en faut apprendre l'espère, C'est l'objet glorieux de mon ardent désir.
MAXIMIAN.	MAXIMIAN.
On te l’accordera prens vn peu de loiſir Si l’exemple d’autruy ne peut te rendre ſage Tu n'auras pas ſujet de craindre vn long vefuage.	On te l'accordera prends un peu de loisir Si l'exemple d'autrui ne peut te rendre sage Tu n'auras pas sujet de craindre un long vefuage.
Enfin tu vas mourir infortuné Chreſtien, Et voila tout le fruit d’vn ſi long entretien;	Enfin tu vas mourir infortuné Chrétien, Et voilà tout le fruit d'un si long entretien;
	
Ha Ha perdons du paßé la trop ſenſible image, Et changeons tout a fait nos tendreſſes en rage, D'vn amour irrité ſuiuons les mouuemens, Immolons cét ingrat à nos reſſentimens, Orounuomont juuſte aux bourreaux qui l’attendent Et rendons la iuſtice aux Dieux qui la demandent.	Ha Ha perdons du passé la trop sensible image, Et changeons tout a fait nos tendresses en rage, D'un amour irrité suivons les mouvements, Immolons cet ingrat à nos ressentiments, Orounomont juuste aux bourreaux qui l'attendent Et rendons la justice aux Dieux qui la demandent.
APOLLINAIRE, Entendez-moy Seigneur.	APOLLINAIRE, Entendez-mo Seigneur,
MAXIMIAN.	MAXIMIAN.
Il n'eſt plus à propos Que pour ce malheureux ie trouble mon repos.	Il n'est plus à propos Que pour ce malheureux ie trouble mon repos.
Qu'on le meine en priſon & la, ſi bon vous ſemble, Pour le mieux attaquer paſſez la nuict enſemble, Mais s’il reſiſte encore à ce dernier effort, Qu'on ne differe plus de luy donner la mort.	Qu'on le mène en prison et la, si bon vous semble, Pour le mieux attaquer passez la nuit ensemble, Mais s'il résiste encore à ce dernier effort, Qu'on ne diffère plus de lui donner la mort.
SCENE IV.	SCÈNE IV.
IIDRTAN, NA TALTE, APOLLINAIRE, PLACIDE.	IIDRTAN, NA TALTE, APOLLINAIRE, PLACIDE.
NATALIE.	NATALIE.
Nfin, ô cher objet de mes ſaintes delices, E le puis en liberté baiſer vos cicatrices, Et prendre dans ce ſang qui coule à gros boüillons, Pour releuer mon tein d’illuſtres vermillons, Ie puis en recueillir les gouttes precieuſes, Ie puis en receuoir les taches glorieuſes, Ie puis me conſoler de mes longues douleurs, Et iouïr d’vn bon-heur qui couſte tant de pleurs.	Nfin, ô cher objet de mes saintes délices, E le puis en liberté baiser vos cicatrices, Et prendre dans ce sang qui coule à gros bannons, Pour relever mon tein d'illustres vermillons, Je puis en recueillir les gouttes précieuses, Je puis en recevoir les taches glorieuses, Je puis me consoler de mes longues douleurs, Et jouir d'un bonheur qui coûte tant de pleurs.
Meſnagez cher espoux cette haute fortûne, Souffrez ſans vous troubler la pourſuite importune De ces faſcheux amis dont l’aueugle amitié Armera contre vous vne folle pitié, Au plus fort des combats penſez à la victoire Et regardez en haut le lieu de voſtre gloire, Priez les ſaincts Martyrs, & de bouche & d’esprit Inuoquez à tous coups le nom de Ieſus-Chriſt.	Mesnagez cher époux cette haute fortûne, Souffrez sans vous troubler la poursuite importune De ces fâcheux amis dont l'aveugle amitié Armera contre vous une folle pitié, Au plus fort des combats pensez à la victoire Et regardez en haut le lieu de votre gloire, Priez les saints Martyrs, et de bouche et d'esprit Inuoquez à tous coups le nom de Jésus-Christ.
ADRIAN.	ADRIAN.
Dieu qui m’a iuſqu’icy preſté ſon aßiſtance Quand ma douleur augmente, augmente ma conſtance, Et ie ne doute point ayant vn tel appuy De triompher demain außi bien qu'auiourd’huy.	Dieu qui m'a jusqu'ici prêté son assistance Quand ma douleur augmente, augmente ma constance, Et ie ne doute point ayant un tel appui De triompher demain aussi bien qu'aujourd'hui.
NATALIE.	NATALIE.
Uoyez de quel bon-heur cette gloire eſt ſuiuie Vous verſez ſang pour ſang, donnez vie pour vie, Et vous ſacrifiez à cemy qui pour bons Uictime de ſon Pere eſt mort percé de cloux, Mais adieu cher eſpoux, allez dreſſer ma place Aux lieux ou les Chrestiens verront Dieu face à face.	Uoyez de quel bonheur cette gloire est suivie Vous versez sang pour sang, donnez vie pour vie, Et vous sacrifiez à cemy qui pour bons Uictime de son Père est mort percé de cloux, Mais adieu cher époux, allez dresser ma place Aux lieux ou les Chrétiens verront Dieu face à face.
ADRIAN.	ADRIAN.
Non, non, ie n'entends pas faire icy nos adieux, I’eſpere encor vous voir & mourir à vos yeux;	Non, non, Madame n'entends pas faire ici nos adieux, J'espère encor vous voir et mourir à vos yeux;
Ie vous aduertiray du temps de mon màrtyre.	Je vous avertirai du temps de mon màrtyre.
NATALIE.	NATALIE.
Et moy ie vous embraſſe & puis ie me retire.	Et moi : vous embrasse et puis ie me retire.
Fin du troiſieſme Acte.	Fin du troisième Acte.
ATCTE E	ATCTE E
SCENE PREMIERE.	SCÈNE PREMIÈRE.
NATALIE ET THEODORE, POVR AVOIR ENTREE DANS LA PIRSON s’eſtoient déguiſées en hommes.	NATALIE ET THEODORE, POUR AVOIR ENTRE DANS LA PIRSON s'étaient déguisées en hommes.
2 A NATALIE.	2 À NATALIE.
Ouuions nous ſouhaiter vn plus heureux ſuccez?	Ouvions nous souhaiter un plus heureux succès?
Pouuiõs nous eſperer vn plus ſacile accez?	Pouuiõs nous espérer un plus sacile accès?
C’est au Dieu des Chrestiens.	C'est au Dieu des Chrétiens.
THEODORE.	THÉODORE.
Par ma foy ma couſine, Ie ne vous ay iamais trouué ſi bonne mine, Vous ſemblez vn Hercule ou pour mieux dire vn Mars Tant de brillans éclairs partent de vos regards.	Par ma foi ma cousine, Je ne vous ai jamais trouvé si bonne mine, Vous semblez un Hercule ou pour mieux dire un Mars Tant de brillants éclairs partent de vos regards.
Mait qui peut raſſurer ma pudeur alarmée --- De me voir toute ſeule auec vous enfermée, Quoy que ie participe à ce deguiſement;	Mait qui peut rassurer ma pudeur alarmée -- De me voir toute seule auec vous enfermée, Quoy que ie participe ce déguisement;
Pen reçuus te oons imno ton peu u eſonnement, Et ſi vous me croyez nous reprendrons nos robes.	Pen reçuus te oons imno ton peu u esonnement, Et si vous me croyez nous reprendrons nos robes.
NATALIE.	NATALIE.
Ha folle c'en eſt trop, enuain tu te dérobes Dans ces amuſemens aux charmes amoureux D'vn Dieu qu’on ne peut voir ſans deuenir heureux.	Ha folle c'en est trop, envainu tu te dérobes Dans ces amusements aux charmes amoureux D'un Dieu qu'on ne peut voir sans devenir heureux.
N'importe il te fera requeſte ſur requeſte, Et tu ne peux manquer d’eſtre vn iour ſa conqueſte.	N'importe il te fera requête sur requête, Et tu ne peux manquer d'être un jour sa conquête.
THEODORE.	THÉODORE.
Et bien ie l’attendray, mais vous ne penſez point Que quelqu’vn peut entrer & nous voir en pourpoint, Allons retirons-nous dans la chambre voiſine.	Et bienois l'attendrai, mais vous ne pensez point Que quelqu'un peut entrer et nous voir en pourpoint, Allons retirons-nous dans la chambre voisine.
NATALIE.	NATALIE.
Entrez ie vous ſuiuray.	Entrez ie -vous suivrai.
THEODORE' Viſte chere couſine rlles pasMontrez-moy le chemin & vous deshabillez se c'hi	THÉDORE' Vite chère cousine rèles pasMontrez-moi le chemin et vous déshabillez se c'hi
NATALIE.	NATALIE.
Voulez-vous repoſer?	Voulez-vous reposer?
ie voy que vous bailez Pour nous autres Chreſtiens nous jommes faits aux coeilles.	Les vois que vous bailez Pour nous autres Chrétiens nous jommes faits aux coèilles.
THEODORE.	THÉODORE.
Et contre le ſommeil ie reſiſte à merueilles.	Et contre le sommeil ie resiste à merveilles.
e colet a beſoin d’eſtre vn peu racourcy, Il m'a bleßé la gorge & ces chauſſes außi Ont beſoin du cizeau, pour cette houpelande Quoy que ie la replie elle eſt encor trop grande, Ie ne ſuis pas de taille à porter ces habits.	eu collet a besoin d'être un peu racour, Il m'a blevé la gorge et ces chausses aussi Ont besoin du cizeau, pour cette houpelande Quoi que je la replie elle est encor trop grande, Je ne suis pas de taille à porter ces habits.
Mais ou puis-je auoir mis ma juppe de tabis?	Mais ou puis-je avoir mis ma juppe de tabis?
Helas il eſt bien vray qu’on s’oublie ſoy-meſme Pour le ſeul intereſt des perſonnes qu’on aime.	Hélas il est bien vrai qu'on s'oublie soi-même Pour le seul intérêt des personnes qu'on aime.
NATALIE.	NATALIE.
Vous me preßiez tantoſt & vous n’auez pas fait.	Vous me pressiez tantôt et vous n'avez pas fait.
THEODORE.	THÉODORE.
Aydez moy ie vous prie à lacer mon corſet;	Aidez -moi , vous prie à lacer mon corset;
Dieux qu'il eſt importun d'aller ainſi tonduë, Ie croy qu'en peu de iours i'en ſeray morfonduë Et ſans me repentir d’vne bonne action I'euſſe bien ſouhaité quelqu’autre inuention, Mais ie m'afflige à tort pour vn mal ſane reſource.	Dieux qu'il est importun d'aller ainsi tondue, Je crois qu'en peu de jours j'en serai morfondue Et sans me repentir d'une bonne action J'eusse bien souhaité quelque autre invention, Maisprendre m'afflige à tort pour un mal zane ressource.
A FAIDIE.	À FAIDIE.
Dèja l’aſtre du iour à commence ſa courſe Et ſes premiers rayons espandus dans les airs Inuitent au trauail tout ce grand vniuers, Si vous eſtes d’humeur nous ferons quelque ouurage.	Déjà l'astre du jour à commence sa course Et ses premiers rayons épandus dans les airs Inuitent au travail tout ce grand vniuers, Si vous êtes d'humeur nous ferons quelque ouvrage.
Pour charmer te ſommen qui paite mon courage Et ſe coulé force en mes yeux impuiſſans.	Pour charmer te sommen qui paite mon courage Et se coulé force en mes yeux impuissants.
THEODORE.	THÉODORE.
Tout ce que vous voudrez, außi bien i’ay ceans.	Tout ce que vous voudrez, aussi bien j'ai céans.
Vn peu de broderie Avãt repris leurs habits, elles re	Un peu de broderie Avant repris leurs habits, elles re
NATALIE.	NATALIE.
Ha qu'elle eſt delicate, uiennent dans la premiere chambre.	Ha qu'elle est délicate, iennent dans la première chambre.
Que les traits ſont hardis & que la ſoye éclatte, Mais que pretendez vous par ces diuers combats?	Que les traits sont hardis et que la soie éclatte, Mais que prétendez -vous par ces divers combats?
E	E
THEODORE.	THÉODORE.
Repreſenter Hercule, & l’inuincible bras De cet illuſtre heros auquel ie ſuis deuote, Et pour qui ie fais faire vne agreable grotte, Ou diuers coquillage orne le baſtiment;	Représenter Hercule, et l'invincible bras De cet illustre héros auquel ils suis dévote, Et pour qui On fais faire une agréable grotte, Ou divers coquillage orne le bâtiment;
Ie deſtine aux parois ce diuertiſſement;	Je destine aux parais ce divertissement;
Tous ces petits carrez, qui ſeruent de bordure Font de ſes grands exploits vne brieue peinture, Et ce large milieu qui n'eſt pas encor plein Seruira de theatre à ſa tragique fin.	Tous ces petits carrez, qui servent de bordure Font de ses grands exploits une briève peinture, Et ce large milieu qui n'est pas encor plein Servira de théâtre à sa tragique fin.
	
NATALIE.	NATALIE.
Voſtre Hercule me ſemble vne belle figure Du grand Dieu des Chreſtiens mort pour ſa creature, Et leur conformité vous doit ouurir les yeux Pour quitter ſans regret vos fables & vos Dieux.	Votre Hercule me semble une belle figure Du grand Dieu des Chrétiens mort pour sa créature, Et leur conformité vous doit ouvrir les yeux Pour quitter sans regret vos fables et vos Dieux.
Ieſus dont le trépas eſt peint dans mon ouurage Fuſt bien le fort des forts, & le meilleur courage, A qui l’astre du iour ait prestè ſa clarté.	Jésus dont le trépas est peint dans mon ouvrage Fût bien le fort des forts, et le meilleur courage, À qui l'astre du jour ait prêté sa clarté.
Ayant determiné dans ſon eternité Pour ſauuer les mortels de prendre leur nature Il choiſit dans les flancs d’vne Vierge tres pure Le ſang que l’eſprit ſainct anima de ſon feu Et fust fait fils de femme außi bien que de Dieu.	Ayant determiné dans son éternité Pour sauver les mortels de prendre leur nature Il choisit dans les flancs d'une Vierge très pure Le sang que l'esprit saint anima de son feu Et fût fait fils de femme aussi bien que de Dieu.
A peine estoit il né qu’il declara la guerre Aux monstres conjurez pour rauager la terre, Il attaqua le diable, & le monde, & la chair Et tout ce dont l’enfer s’efforce d’allecher, Il arma contre luy ſa puiſſance infinie Et destruiſit enfin ſa longue tyrannie.	À peine était il né qu'il déclara la guerre Aux monstres conjurés pour ravager la terre, Il attaqua le diable, et le monde, et la chair Et tout ce dont l'enfer s'efforce d'allécher, Il arma contre lui sa puissance infinie Et détruisit enfin sa longue tyrannie.
Alors ce Dieu vestu de nostre humanité Sentit le bras peſant de ſon Pere irrité, Vne fureur d’amour ouurant toutes ſes veines Donna ſon corps en proye aux plus cruelles peines, Son ardeur le porta ſur vn infame bois Et dreſſa pour ſa mort le bucher de la Croix.	Alors ce Dieu vêtu de notre humanité Sentit le bras pesant de son Père irrité, Une fureur d'amour ouvrant toutes ses veines Donna son corps en proie aux plus cruelles peines, Son ardeur le porta sur un infâme bois Et dressa pour sa mort le bûcher de la Croix.
Le Ciel le vit bruſlant ſur cette teiste couche Et declarant ſon feu par la ſoif de ſa bouche, Chacun de ſes ſouſpirs fust vn ſouffie enflamè, Et ſa mort nous apprend qu’il nous a trop aime?	Le Ciel le vit brûlant sur cette teiste couche Et déclarant son feu par la soif de sa bouche, Chacun de ses soupirs fut un souffie enflamète, Et sa mort nous apprend qu'il nous a trop aime?
Mais l’effort violent d’vne amoureuſe flame Qui dechirant ſon corps donna ſortie à l’ame Rencontrant vn rempart d’impaßibilité Ne fit point de bleſſure à ſa diuinité, Sa nature Diuine incapable de peine Contemploit les tourmens de ſa nature humaine, Qui le troiſieſme iour ſortie du tombeau Fit voir ce qu'en la gloire vn corps à de plus beau.	Mais l'effort violent d'une amoureuse flamme Qui déchirant son corps donna sortie à l'âme Rencontrant un rempart d'impassibilité Ne fit point de blessure à sa divinité, Sa nature Diuine incapable de peine Contemplait les tourments de sa nature humaine, Qui le troisième jour sortie du tombeau Fit voir ce qu'en la gloire un corps à de plus beau.
CENE II.	CÈNE II.
FAVSTE, NATALIE, THEODORE,	FAUSTE, NATALIE, THEODORE,
AVSTE.	AUSTE.
A Madame il eſt temps que vos triſtes pauIT pieres Mettent en liberté leurs larmes priſonnieres, Et que voſtre cœur s’ouure au bruit de ma douleur Pour ietter des ſouspirs dignes d’vn grand malheur.	À Madame il est temps que vos tristes pavIT pières Mettent en liberté leurs larmes prisonnières, Et que votre cœur s'ouvre au bruit de ma douleur Pour jeter des soupirs dignes d'un grand malheur.
ATALIE.	ATALIE.
Ie iuge a ton diſcours qu'Adrian eſt ſans vie, Mais, bien loing que ſa mort d’aucun deüil ſoit ſuiuie, &i te momare ſouspir ſurprenou ma raiſon Tu me verrois rougir de cette trahiſon.	Je juge a ton discours qu'Adrian est sans vie, Mais, bien loin que sa mort d'aucun deuil soit suivie, eti te momare soupir surprenou ma raison Tu me verrais rougir de cette trahison.
STE.	SITE.
Ha rougiſſez pluſtoſt d’vne autre plus ſenſible, Mon Maiſtre en eſt l’autheur;	Ha rougissez plutôt d'une autre plus sensible, Mon Maître en est l'auteur;
ce courage inuincible Se laſſe de courir preſt d’arriuer au blanc, Et proche de la mort meſnage vn peu ſang.	ce courage invincible Se lasse de courir prêt d'arriver au blanc, Et proche de la mort ménage un peu sang.
de fuu au ut ſeſporn ce enungement m'accable, Et i'en ay tout l’ennuy dont vne ame eſt capable ouno que ma paßion ait aſſez de pouuoir Pour vous rendre eſtonnée ou pour vous eſmouuoir.	de fu au ut sesporn ce enungement m'accable, Et j'en ai tout l'ennui dont une âme est capable ouno que ma passion ait assez de pouvoir Pour vous rendre étonnée ou pour vous émouvoir.
NATALIE.	NATALIE.
On n’eſt gueres touché d’vne choſe incroyable.	On n'est guère touché d'une chose incroyable.
STE.	SITE.
Mes yeux font faux teſmoins ou ie ſuis veritable, Ie l’ay veu tout l’heure il eſt hors de priſon, Et tout briſé qu'il est ſe traiſne en ſa maiſon;	Mes yeux font faux témoins ou je suis véritable, Je l'ai vu tout l'heure il est hors de prison, Et tout brisé qu'il est se traîne en sa maison;
Pous l'allez voir ventr.	Pous l'allez voir ventr.
SATALIE.	SATALIE.
Vne ame ſi ſublime Auroit-elle bien pû conſentir à ce crime?	Une âme si sublime Aurait-elle bien pu consentir à ce crime?
CENE III.	CÈNE III.
ADRIAN, NATALIE, FAVSTE, THEODORE.	ADRIAN, NATALIE, FAUSTE, THÉODORE.
NATALIE.	NATALIE.
Ais le voicy le laſche il n'en faut plus M douter, Luy qui n’oſe mourir s’oſe bien preſenter Il peut bien ſans rougir paroiſire dans la ruë Et redoute vn tyran ſans redouter ma veuë.	Ais le voici le lâche il n'en faut plus M douter, Lui qui n'ose mourir s'ose bien présenter Il peut bien sans rougir paraissire dans la rue Et redoute un tyran sans redouter ma vue.
Ha homme ſans honneur eſloigne toy de moy, Porte ailleurs que ceans le debris de ta foy, Elle quitte ſon ouurage, & court luy fermer la porte.	Ha homme sans honneur éloigne toi de moi, Porte ailleurs que céans le débris de ta foi, Elle quitte son ouvrage, et court lui fermer la porte.
Va chercher dans quelque antre vne retraite prompte, Et fuie d’vne maiſon que tu remplis de honte, Tu ne dois plus iamais pretendre à mon amour, Et tu ne deurois plus enuiſager le iour.	Va chercher dans quelque antre une retraite prompte, Et fuie d'une maison que tu remplis de honte, Tu ne dois plus jamais prétendre à mon amour, Et tu ne devrais plus envisager le jour.
Le ſouuenir nangeur de ta foibleſſe extrems 0 Ne te permettra pas de te ſouffrir toy-meſme, Et ne pouuant fuïr l’image de ton Dieu, Ton crime & ton enfer te ſuiuront en tout lieu.	Le souuenir nangeur de ta foiblesse extrems 0 Ne te permettra pas de te souffrir toi-même, Et Le pouuant fuïr nange de ur De, Ta faible et ton enferte suiuront en tout me.
