A MADEMOISELLE MADEMOIS ELLE MARTE E MANCINY MME ADEMOISELLE.	À MADEMOISELLE MADEMOIS ELLE MARTE E MANCINY MME ADEMOISLE.
Dieux!	Dieux!
qu’en ten-ie icy conter?	qu'en ten-je ici conter?
Leur folie eſt viſible, il n’en faut plus douter.	Leur folie est visible, il n'en faut plus douter.
Encor vn coup, ſçachez, que ie ne puis comprẽdre Ces baliuernes cy, que ie veux ſans attendre, Et ſans qu’on me réponde eſtre maiſtre abſolu, Et que l’on faſſe enfin, ce que i’ay reſolu :	Encor un coup, sachez, que je ne puis comprendre Ces balivernes cy, que . soit sans attendre, Et sans qu'on me réponde être maître absolu, Et que l'on fasse enfin, ce que j'ai résolu :
C’eſt pourquoy ces Meſſieurs, ſeront dans ma famille, Où chacune de vous reſtera touſiours fille;	C'est pourquoi ces Messieurs, seront dans ma famille, Où chacune de vous restera toujours fille;
Ou ſera par ma foy, miſe doreſnauant, Puis que ie l’ay iuré, dedans vn bon Conuent.	Ou sera par ma foi, mise dorénavant, Puis que tu l'ai juré, dedans un bon Convent.
SCENE V.	SCÈNE V.
CATHOS, MAGDELON,	CATHOS, MAGDELON,
CATHOS.	CATHOS.
Velle ſtupidité, que vois-ie, ah!	Velle stupidité, que vois-je, ah!
Dieu ma chere !	Dieu ma chère !
Que ton pere à la forme auant dans la matiere, Qu’il a l’intelligence eſpaiſſe, qu’il eſt dur, Et qu’il fait dans ſon ame, eſtrangement obſcur.	Que ton père à la forme avant dans la matière, Qu'il a l'intelligence épaisse, qu'il est dur, Et qu'il fait dans son âme, étrangement obscur.
MAGDELON.	MAGDELON.
Ma chere que veux-tu?	Ma chère que veux-tu?
pour luy i’en ſuis confuſe, Rien ne m’eſtonne tant, que de le voir ſi buſe;	pour Elle j'en suis confuse, Rien ne m'étonne tant, que de le voir si buse;
Mais ie me perſuade, & fort mal-aiſément Que ie puiſſe eſtre auſſi ſa fille aſſeurément, Et ie crois qu’il viendra quelque iournée heureuſe, Qui par quelque aduenture, & nouuelle, & famenſe Me deueloppera, ſans doute auec raiſon Vn pere plus illuſtre, & d’vne autre maiſon.	Mais ie me persuade, et fort malaisément Que je puisse être aussi sa fille assurément, Et ie clais qu'il viendra quelque journée heureuse, Qui par quelque aventure, et nouvelle, et famense Me développera, sans doute avec raison Un père plus illustre, et d'une autre maison.
CATHOS.	CATHOS.
Ie le croirois bien oüy;	Je le croirais bien oui;
car enfin ſans médire ly vois grãde apparence, & ie ne ſçay qu’en dire Pour moy quald le ne vois adiil.	car enfin sans médire li vois grande apparence, et apprendre ne sais qu'en dire Pour moi quald le ne vois ajil.
SCENE VI.	SCÈNE VI.
MAGDELON, CATHOS, MAROTTE.	MAGDELON, CATHOS, MAROTTE.
MAROTTE.	MAROTTE.
IR MAGDELON.	JR MAGDELON.
Quoy?	Quoi?
Qu’eſt-ce, que voulez-vous?	Qu'est-ce, que voulez-vous?
veut-on parler à moy ?	veut-on parler à moi ?
MAROTIE.	MAROTIE.
Vn laquais, que voila, ſouhaitte qu’on luy diſe Si vous eſtes ceans, afin qu’il en inſtruiſe Son maiſtre, qui l’enuoye icy, pour le ſçauoir, Parce, dit-il, qu’il veut bien-toſt vous venir voir,	Un laquais, que voilà, souhaite qu'on lui dise Si vous êtes céans, afin qu'il en instruise Son maître, qui l'envoie ici, pour le savoir, Parce, dit-il, qu'il veut bientôt vous venir voir,
MAGDELON.	MAGDELON.
Et vous apprenez ſotte, à moins parler vulgaire, Et dites pour nous mieux annoncer d’ordinaire, Vn neceſſaire eſt là, qui demande inſtamment Si vous ne pouriez pas eſtre preſentement En commodite d’eſtre viſibles.	Et vous apprenez sotte, à moins parler vulgaire, Et dites pour nous mieux annoncer d'ordinaire, Ven nécessaire est là, qui demande instamment Si vous ne pourriez pas être présentement En commodité d'être visibles.
MAROTTE.	MAROTTE.
Ah!	Ah!
Dame, Ie n’entens point ma foy, tout ce Latin, Madame, Et ronne mu lamndis;	Dame, Je n'entends point ma foi, tout ce Latin, Madame, Et ronne mu lamndis;
enſeigné comme à vous La filofie, dedans le grand Cyre.	enseigné comme à vous La filofie, dedans le grand Cyre.
MAGDELON.	MAGDELON.
A nous Tenir de tels propos, voyez l’impertinente Le moyen de ſouffrir, touſiours cette inſolente;	À nous Tenir de tels propos, voyez l'impertinente Le moyen de souffrir, toujours cette insolente;
Mais encor quel eſt-il?	Mais encor quel est-il?
le Maiſtre à ce laquais.	le Maître à ce laquais.
Mdo llus.	Mdo lus.
Il me l’a nommé, le.	Il me l'a nommé, le.
le Marquis de de.	le Marquis de de.
ouais, Marquis de Maſcarille.	ouais, Marquis de Mascarille.
MAGDELON.	MAGDELON.
Vn Marquis, ah!	Un Marquis, ah!
ma chere, Oüy, retournez luy dire, & ne demeurez guere Q oi nous roit u preſent;	ma chère, Oui, retournez lui dire, et ne demeurez guère Q ois nous roit présent;
c’eſt quelque bel eſprit, Que noſtre renommée a iuſques icy conduit.	c'est quelque bel esprit, Que notre renommée a jusques ici conduit.
CATHOS.	CATHOS.
Aſſeurement ma chere.	Assurement ma chère.
MAGDELON.	MAGDELON.
En cette falle baſſe Il faut le receuoir, nous aurons plus de grace 6e, dedans noſtre chambre;	En cette salle basse Il faut le recevoir, nous aurons plus de grâce 6e, dedans notre chambre;
aiuſtons nos cheueux Au moins, & ſoûtenons en ce iour bien heureux La reputation que nous auons acquiſe.	aiûtons nos cheveux Au moins, et soutenons en ce jour bien heureux La réputation que nous avons acquise.
CATHOS.	CATHOS.
La viſite me plaiſt, bien que i’en ſois ſurpriſe.	La visite me plaît, bien que j'en sois surprise.
MAGDELON.	MAGDELON.
Viſte, venez nous tendre icy, le conſeiller Des graces.	Vite, venez nous tendre ici, le conseiller Des grâces.
MAROTTE.	MAROTTE.
Que ce mot vient mal pour m’embroüiller, Ma foy, ie ne ſçay point ſi c’eſt là quelque beſte, Il faut parler Chreſtien pour mettre dans ma teſte Ce que vous voulez dire.	Que ce mot vient mal pour m'embrouxiller, Ma foi, je ne sais point si c'est là quelque bête, Il faut parler Chrétien pour mettre dans ma tête Ce que vous voulez dire.
CATHOS.	CATHOS.
Apportez le miroir Pecore, & gardez bien en vous y faiſant voir D’en obſcurcir la glace;	Apportez le miroir Pécore, et gardez bien en vous y faisant voir D'en obscurcir la glace;
ce de laj faile outrage En luy commnuniquant de trop pres voſtre image.	ce de laj faile outrage En lui communiquant de trop près votre image.
SCENE VII.	SCÈNE VII.
MASCARILLE, DEVX PORTEVRS.	MASCARILLE, DEUX PORTEURS.
I.	I.
PORTEVR.	PORTEUR.
Dame, c’eſt que la porte eſt eſtroitte d’entrailles.	Dame, c'est que la porte est estroitte d'entrailles.
Vous auez commandé, que l’on entraſt icy, Nous auons obey.	Vous avez commandé, que l'on entrât ici, Nous avons obéi.
MASCARILLE ſortant de ſa chaiſe.	MASCARILLE sortant de sa chaise.
Ie le crois bien auſſi, Voudriez-vous faquins?	Je le crois bien aussi, Voudriez-vous faquins?
que pour vous i’expoſaſſe Ou mes plumes à l’air, ou bien que ie laiſſaſſe Perdre leur en embonpoint;	que pour vous j'exposasse Ou mes plumes à l'air, ou bien que je laissasse Perdre leur en embonpoint;
& n’ay-ie pas raiſon?	et n'ai-je pas raison?
De les en garantir, durant cette ſaiſon B iij Pluuieuſe, incommode, ou bien que i’imprimaſſe Mes ſouliers en la bouë.	De les en garantir, durant cette saison B ij Pluuieuse, incommode, ou bien que j'imprimasse Mes souliers en la boue.
Ah de vous ie me laſſe, Oſtez-moy voſtre chaiſe.	Ah de vous ie me lasse, Ôtez-moi votre chaise.
17 PORTEVRS.	17 PORTEURS.
Et bien donc, payez-nous?	Et bien donc, payez-nous?
Hem?	Hem?
MASCARIELE.	MASCARIELE.
nde la lu vacas Ie vous dis, Monſieur?	nède la lu vacas Je vous dis, Monsieur?
MASCARILLE.	MASCARILLE.
Que me dis-tu?	Que me dis-tu?
2.	2.
PORTEVRS.	PORTEURS.
Nous donniez de l’argent.	Nous donniez de l'argent.
Que vous	Que vous
MASCARILLE my uonnant vn joufflet.	MASCARILLE mi uonnant un joufflet.
Quelle inſolence?	Quelle insolence?
Demanter de Pargent ;	Demanter de Pargent ;
a couitie mna narſſance.	à couitie ména narssance.
2.	2.
PORTEVRS.	PORTEURS.
N’auez-vous que cela, Monſieur, à nous donner?	N'avez-vous que cela, Monsieur, à nous donner?
Et voſtre qualité, nous fait-elle diſner?	Et votre qualité, nous fait-elle dîner?
MASCARILLE.	MASCARILLE.
Ah!	Ah!
ie vous apprendray coquins, à vous connoiſtre, Vous oſez-vous marauts?	On vous apprendrai coquins, à vous connaître, Vous osez-vous marauts?
ioüer à voſtre Maiſtre	jouer à votre Maître
ATONTEVR penant en uts baſtons C’a viſte, payez-nous?	ATONTEUR penant en utz bâtons C'a vite, payez-nous?
de ſa chaiſe.	de sa chaise.
MASCARILLE.	MASCARILLE.
y?	y?
De l’argent tout à l’heure.	De l'argent tout à l'heure.
Ie dis que ie veux	Je dis que tu veux
MASCARILLE.	MASCARILLE.
l eſt tres-raiſonnable.	l est très -raisonnable.
On ne peut dire mieux,	On ne peut dire mieux,
1.	1.
PORTEVR.	PORTEUR.
Eh!	Eh!
bien viſte, vous dis-ie,	bien vite, vous dis-je,
MASCARILLE.	MASCARILLE.
Tu parles comme il faut, voila comme on m’oblige, lais l’autre eſt vn coquin qui ne ſçait ce qu’il dit?	Tu parles comme il faut, voilà comme on m'oblige, lais l'autre est un coquin qui ne sait ce qu'il dit?
là tiens, eſt tu content?	là tiens, est tu content?
I.	I.
PORTEVR.	PORTEUR.
Nany, i’ay du deſpit.	Nani, j'ai du dépit.
t ne Igaurois loumin vonle fodemoncaue, Vous auez deuant moy battu mon camarade, Etſi.	t ne Igaurais loumin vonle fodemoncave, Vous avez devant moi battu mon camarade, Etsi.
MASCARILLE.	MASCARILLE.
Doucement, tiens, voila pour le ſouflet;	Doucement, tiens, voilà pour le soufflet;
On obtient tout de moy, ie ſuis comme vn poulet.	On obtient tout de moi, je suis comme un poulet.
ceioroquenoni prend yde ſa belle maniere lle me laiſſe fléchir, à la moindre priere.	cioroquenoni prend ide sa belle manière lèle me laisse fléchir, à la moindre prière.
Allez viſte ſortez, & venez me chercher Tantoſt, pour all er au Louure au petit coucher	Allez vite sortez, et venez me chercher Tantôt, pour all er au Louvre au petit coucher
SCENE VIII.	SCÈNE VIII.
MAROTTE, MASCARILLE,	MAROTTE, MASCARILLE,
MAROTTE.	MAROTTE.
Es Maiſtrefles Moiieur, vont venir tou NI à l’heure.	Es Maîtrefles Moiieur, vont venir tou NI à l'heure.
MASCARILLE.	MASCARILLE.
le ne fuis pas prene, le vous iure ou ie meure:	le ne fuis pas prène, le vous jure ou beau meure:
Ie ſuis dedans ce lieu, poſté commodément Et ie puis à loiſir, les attendre aiſément.	Je suis dedans ce lieu, posté commodément Et ici puis à loisir, les attendre aisément.
MAROTTE.	MAROTTE.
Elles viennent Monſieur,	Elles viennent Monsieur,
SCENE IX.	SCÈNE IX.
MAGDELON, CATHOS, MASCARILLE, ALMANZOR.	MAGDELON, CATHOS, MASCARILLE, ALMANZOR.
MASCARILLE apres auoir ſalué.	MASCARILLE après avoir salué.
MEs Dames mon audace Poura vous eſtonner;	MEs Dames mon audace Poura vous étonner;
mais cette aymable grace Que l’on admire en vous, vous cauſe ce malheur, La reputation qui parle, à voſtre honneur Ma forcé ce jourd’huy, de vous rendre viſite cai poui moy le pourruis en tous lieux le inerite.	mais cette aimable grâce Que l'on admire en vous, vous cause ce malheur, La réputation qui parle, à votre honneur Ma forcé ce jourd'hui, de vous rendre visite cai pouy moi le pourris en tous lieux le inérite.
MAGDELON.	MAGDELON.
Si vous le pourſuiuez ce n’eſt pas en ces lieux Que vous deuez chaſſer.	Si vous le poursuivez ce n'est pas en ces lieux Que vous devez chasser.
CATHOS.	CATHOS.
Pour le voir à nos yeux Il a falu Monſieur, qu’il vint ſous voſtre auſpice.	Pour le voir à nos yeux Il a fallu Monsieur, qu'il vint sous votre aussi.
MASCARILLE.	MASCARILLE.
Ah!	Ah!
ie m’inſcris en faux contre cette injuſtice.	Ne m'inscris en faux contre cette injustice.
Le renom parle juſte, en contant vos vertus Par là, les plus galands, ſeront bien-toſt battus, Vous allez faire pic, repic, & capot meſme, Tout ce que dans Paris, l’on cherit & l’on aime,	Le renom parle juste, en contant vos vertus Par là, les plus galants, seront bientôt battus, Vous allez faire pic, repic, et capot mesme, Tout ce que dans Paris, l'on chérit et l'on aime,
MAGDELON.	MAGDELON.
Nous n’attendions pas moins, d’vn homme tel que vous;	Nous n'attendions pas moins, d'un homme tel que vous;
Mais voſtre complaiſance eſt trop grande enuers nous.	Mais votre complaisance est trop grande envers nous.
Et vous pouſſez ſi loin voſtre injuſte loüange Que ma couſine, & moy, pour éuiter le change.	Et vous poussez si loin votre injuste lange Que ma couine, et moi, pour éviter le change.
Nous ne donnerons pas de noſtre ſerieux Dedans vn compliment, qu’on ne peut faire mieux;	Nous ne donnerons pas de notre sérieux Dedans un compliment, qu'on ne peut faire mieux;
Car enfin nous craignons de tomber dans le piege.	Car enfin nous craignons de tomber dans le piège.
CATHOS.	CATHOS.
Mais ma chere, il faudroit faire apporter vn ſiege.	Mais ma chère, il faudrait faire apporter un siège.
MAGDELON a Almazor.	MAGDELON a Almazor.
Voiturez-nous icy, viſte, petit garçon, Les commoditez de la conuerſation.	Voiturez-nous ici, vite, petit garçon, Les commodités de la conversation.
MASCARILLE.	MASCARILLE.
mauio uurajle du momoy furete de penonne?	maujo ouvrajle du momoy furete de pénonne?
CATHOS.	CATHOS.
Que craignez-vous de nous?	Que craignez-vous de nous?
que rien ne vous eſtonne.	que rien ne vous étonne.
MASCARILLE.	MASCARILLE.
I’ay tout à redouter, tout me doit faire peur;	J'ai tout à redouter, tout me doit faire peur;
Ie crains premierement, quelque vol de mon cœur, Ou quelque aſſaſſinat, de ma pauure franchiſe Ie vois icy des yeux, dont mon ame eſt ſurpriſe, Ils ont mine ſur tout, d’eſtre mauuais garçons De faire inſulte aux gens, & les oſter d’arçons.	Je crains premièrement, quelque vol de mon cœur, Ou quelque assassinat, de ma pauvre franchise Je vois ici des yeux, dont mon âme est surprise, Ils ont mine sur tout, d'être mauvais garçons De faire insulte aux gens, et les ôter d'arçons.
Rauir les libertez, faire qu’on les adore Et meſme de traitter, vn cœur de Turc à More.	Ravir les libertés, faire qu'on les adore Et même de traiter, un cœur de Turc à More.
Cõment diable!	Comment diable!
d’abord que l’on s’approche d’eux ll Ils ſe mettent en garde, ah!	d'abord que l'on s'approche d'eux l Ils se mettent en garde, ah!
qu’ils ſont dangereux;	qu'ils sont dangereux;
Ma foy ie m’en défie, & vais prendre la fuitte Ou ie veux caution de leur bonne conduitte.	Ma foi ici m'en défie, et vais prendre la fuite Ou tu veux caution de leur bonne conduite.
MAGDELON.	MAGDELON.
Ma chere ce qu’il dit eſt tout plein d’enjouëment:	Ma chère ce qu'il dit est tout plein d'enjouement:
an Pia dos Il efface Amilcar, tant il y a d’agrément.	an Pia dos Il efface Amilcar, tant il y a d'agrément.
MAGDELON.	MAGDELON.
Je craignez rien, nos yeux ſont exempts de malice, lleurs deſſeins innocens, & ſans nulle artifice;	Je craignez rien, nos yeux sont exempts de malice, lleurs desseins innocents, et sans nulle artifice;
v’oſtre cœur peut dormir en toute ſeureté Deſſus leur prud’hommie, & deſſus leur bonté.	v'otre cœur peut dormir en toute sûreté Dessus leur prud'hommie, et dessus leur bonté.
CATHOS.	CATHOS.
Mais de grace, Monſieur, rendez-vous exorable:	Mais de grâce, Monsieur, rendez-vous exorable:
laux veux de ce fauteüil, dont le ſoin equitable luy fait ouurir les bras, contentez ſon deſſein Depuis prés d’vn quart-d’heure, il vous ouure ſon ſein, eamler dun voda ciolane.	laux veux de ce fautein, dont le soin équitable avait fait ouvrir les bras, contentez son dessein Depuis prés d' Hart-d'heure, il vous ouvre son sein, eamler dun voda ciolane.
Et bien dites mes Dames, Que vous ſemble Paris?	Et bien dites mes Dames, Que vous semble Paris?
car c’eſt aux belles ames D’en porter iugement.	car c'est aux belles âmes D'en porter jugement.
MASCARILLE.	MASCARILLE.
ppes lepre peigne, &uuen npipe pa tanons.	ppes lèpre pigne, etuen npipe nipe pays.
MAGDELON.	MAGDELON.
Qu’en dirons-nous helas;	Qu'en dirons-nous hélas;
Tout le monde eſt d’accord, qu’il eſt remply d’appas.	Tout le monde est d'accord, qu'il est rempli d'appas.
Que c’eſt le grand Bureau, de toutes les merueilles, le centre du bon gouſt, le charme des oreilles, te plaiſir des eſprits, le lieu des agréments, et le refuge enfin, des plus nobles amants.	Que c'est le grand Bureau, de toutes les merveilles, le centre du bon goût, le charme des oreilles, te plaisir des esprits, le lieu des agréments, et le refuge enfin, des plus nobles amants.
MASCARILLE.	MASCARILLE.
Ie tiens qu’hors de Paris, pour les hommes illu ſtres, Iin ent point de ſalut, les campagnards ſont ru ſtres.	Je tiens qu'hors de Paris, pour les hommes illu stres, Iin ent point de salut, les campagnards sont ru stres.
ei Pile si.	éi Pile si.
On ne diſpute point de cette verité.	On ne dispute point de cette vérité.
MASCARILLE.	MASCARILLE.
Ce qu’il a de faſcheux, c’eſt qu’il y fait crotté;	Ce qu'il a de fâcheux, c'est qu'il y fait crotté;
Mais nous auons la chaiſe.	Mais nous avons la chaise.
MAGDELON.	MAGDELON.
Il eſt vray que la chaiſ Lit vi fetrancnement out pon cit a fon aſle, Vn propice inſtrument, pour les honneſtes gens Vn merueilleux abry, contre le mauuais tempe	Il est vrai que la chais Lit vi ettrancnement out pon cit à son asle, Vînt propice instrument, pour les honnêtes gens Un merveilleux abri, contre le mauvais tempe
MASCARILLE.	MASCARILLE.
Vous receuez beaucoup, & de belles viſites ?	Vous recevez beaucoup, et de belles visites ?
Cartous les beaux eſprits, cherchent les grand merites;	Cartous les beaux esprits, cherchent les grand mérites;
Mais encor qui ſont ceux qu’attirent vos appas, Dites?	Mais encor qui sont ceux qu'attirent vos appas, Dites?
MAGDELON, Helas!	MAGDELON, Hélas!
Monſieur, l’on ne nou connoiſt pas;	Monsieur, l'on ne nouv connaît pas;
Mais peut-eſtre bien-toſt, qu’on nous poura cor noiſtre, Nvous fommes en eitat, de nous faite paroiſtre, Nous auons vne amie, & qui nous a promis Qu’elle nous feroit voir, des gens de ſes amis, Qui ſont dans les recueils des belles Poëſies, Ces Meſſieurs, des Romans, & des pieces choiſie	Mais peut-être bientôt, qu'on nous pourra cor naître, Nvous Notre en état, de nous faite paraître, Nous avons une amie, et qui nous a promis Qu'elle nous ferait voir, des gens de ses amis, Qui sont dans les recueils des belles Poësies, Ces Sieurs, des Romans, et des pièces choisie
CATHOS.	CATHOS.
Et de certains encor, connus & renommez, Que comme gens ſçauans (elle nous a nommez Qui decident auſſi, de ces ſortes de choſes, Et qui Içauent l’Hiſtoire, & les Metamorphoſes.	Et de certains encor, connus et renommés, Que comme gens sçauans (elle nous a nommez Qui décident aussi, de ces sortes de choses, Et qui Içauent l'Histoire, et les Métamorphoses.
MASCARILLE.	MASCARILLE.
Ie feray voſtre affaire, ils me viſitent tous, Et ie puis aiſément, les amener chez vous.	Je ferai votre affaire, ils me visitent tous, Et ici puis aisément, les amener chez vous.
l’en ay tous les matins, vne demy-douzaine.	l'en ai tous les matins, une demi-douzaine.
MAGDELON.	MAGDELON.
Eh!	Eh!
mon Dieu, voudriez-vous, vous donner cette peine;	mon Dieu, voudriez-vous, vous donner cette peine;
Nous vous aurons la derniere obligation, Si vous nous procurez leur conuerſation;	Nous vous aurons la dernière obligation, Si vous nous procurez leur conversation;
Car enfin vous ſçauez, que ſans leur connoiſſance, On n’eſt point du beau monde, & voila l’importance :	Car enfin vous savez, que sans leur connaissance, On n'est point du beau monde, et voilà l'importance :
D’eux deſpend dans Paris, la reputation, Ainſi l’on doit chercher leur frequentation;	D'eux dépend dans Paris, la réputation, Ainsi l'on doit chercher leur fréquentation;
Vne femme par là, peut deuenir heureuſe, Et meſme s’acquerir, le bruit de connoiſſeuſe:	Une femme par là, peut devenir heureuse, Et même s'acquérir, le bruit de connaisseuse:
Et ie connois beaucoup, qui l’ont acquis par la, Quoy que l’on n’y trouuaſt rien du tout que cela.	Et petit connais beaucoup, qui l'ont acquis par la, Quoi que l'on n'y trouvât rien du tout que cela.
Et principalement, ce que ie conſidere, Ce qu’à tout autre bien, aiſément ie prefere, C’eſt que par ce moyen des choſes l’on s’inſtruit, Quel faut qu’on ſçache enfin pour eſtre bel eſprit.	Et principalement, ce que je considère, Ce qu'à tout autre bien, aisément été préfère, C'est que par ce moyen des choses l'on s'instruit, Quel faut qu'on sçache enfin pour être bel esprit.
Puis l’on ſçait chaque iour, les petites nouuelles, Tout ce que les galands, écriuent à leurs belles.	Puis l'on sait chaque jour, les petites nouvelles, Tout ce que les galants, écrivent à leurs belles.
Les commerces de Proſe, auſſi bien que de Vers, Tout ce que l’on écrit, ſur cent ſujets diuers.	Les commerces de Prose, aussi bien que de Vers, Tout ce que l'on écrit, sur cent sujets divers.
On ſçait à point nommé, tel a fait vne piece Iolie autant qu’on peut, vnique en ſon eſpece, Tout le monde l’eſtime à cauſe du ſujet, Vne telle perſonne à fait vn beau portraict.	On sais à point nommé, tel a fait une pièce Jolie autant qu'on peut, unique en son espèce, Tout le monde l'estime à cause du sujet, Une telle personne à fait un beau portrait.
Sur vn tel air nouueau, telle a fait des parolles.	Sur un tel air nouveau, telle a fait des paroles.
L’Anagramme d’vn tel eſt pleine d’hiperbolles.	L'Anagramme d'une tel est pleine d'hyperbolles.
Vn tel Autheur Gaſcon, a fait vn Madrigal Sur vne iouïſſance.	Un tel Auteur Gascon, a fait un Madrigal Sur une jouissance.
Vn tel donne le bal.	Un tel donne le bal.
Cét autre a compoſé, des Sonnets & des Stances Sur des yeux, ſur vn teint & ſur des inconſtances.	Cet autre a composé, des Sonnets et des Stances Sur des yeux, sur un teint et sur des inconstances.
Vn tel hier au ſoit, eſcriuit vn ſizain Pour vne Damoiſelle;	Un tel hier au soit, écrivit un sizain Pour ici Damoiselle;
elle par vn dixain Le lendemain matin, en enuoya réponſe:	elle par un dixain Le lendemain matin, en envoya réponse:
On pourſuit le Roman, de Clelie & d’Aronce.	On poursuit le Roman, de Clélie et d'Aronse.
Tel Poëte fort illuſtre, a fait vn tel deſſein.	Tel Poète fort illustre, a fait un tel dessein.
La piece de cét autre, eſt vn public larcin.	La pièce de cet autre, est un public larcin.
Vn tel fait vn Roman, parce que l’on l’en preſſe.	Un tel fait Roman, parce que l'on l'en presse.
Les ouurages d’vn tel, ſe mettent ſous la preſſe.	Les ouvrages d'un tel, se mettent sous la presse.
C’eſt là ſans contredit, ce que l’on doit ſçauoir Pour ſe faire connoiſtre, & ſe faire valoir Dedans les lieux connus, & i’oſe dire encore Que quelque eſprit qu’on ait, alors qu’on les ignore Il ne vaut pas vn clou.	C'est là sans contredit, ce que l'on doit savoir Pour se faire connaître, et se faire valoir Dedans les lieux connus, et j'ose dire encore Que quelque esprit qu'on ait, alors qu'on les ignore Il ne vaut pas un clou.
CATHOS.	CATHOS.
Ie trouue qu’en effet;	Je trouve qu'en effet;
Sans cela l’on ne peut auoir l’eſprit bien fait;	Sans cela l'on ne peut avoir l'esprit bien fait;
Ie l’auouëray pour moy, c’eſt la tout mon ſcrupule Ie croy qu’on enrichit deſſus le ridicule De ſe picquer d’eſprit & de ne ſçauoir pàs Iuiqu'au momle quatiai, pour moy i’en fais amas, Et ſi l’on me venoit, demander quelque choſe Que ie n’aurois pas veu, ſoit de vers, ſoit de Proſe I’en aurois de la honte.	Je l'avouerai pour moi, c'est la tout mon scrupule Je crois qu'on enrichit dessus le ridicule De se piquer d'esprit et de ne savoir pays Juiqu'au momle quatiai, pour moi j'en fais amas, Et si l'on me venait, demander quelque chose Que ie n'aurais pas vu, soit de vers, soit de Prose J'en aurais de la honte.
MASCARILLE.	MASCARILLE.
On n’eſtime point ceux Qui n’ont pas des premiers, tous les vers amoureux, Et meſme ce qu’on fait, d’vne plus longue haleine;	On n'estime point ceux Qui n'ont pas des premiers, tous les vers amoureux, Et même ce qu'on fait, d'une plus longue haleine;
Mais fiez-vous ſur moy, n’en ſoyez point en peine.	Mais fiez-vous sur moi, n'en soyez point en peine.
I’aſſembleray chez vous, nombre de beaux eſprits.	J'assemblerai chez vous, nombre de beaux esprits.
Vos mains de leurs trauaux, leurs donneront le prix, Et ie veux qu’à Paris, pas vn vers ne ſe faſſe, Que dans voſtre memoire, il n’occupe vne place Auant qu’aucun l’ait veu.	Vos mains de leurs travaux, leurs donneront le prix, Et grands veux qu'à Paris, pas un vers ne se fasse, Que dans votre mémoire, il n'occupe une place Avant qu'aucun l'ait vu.
Tel que vous me voyez Ie m’en excrime vn peu;	Tel que vous me voyez Je m'en excrime un peu;
ie veux que vous ſçachiez Que vous verrez courir, dans les belles ruelles Plus de deux cens chanſons, preſque toutes nouuelles, Des Sonnets tout autant, ſur de diuers ſujets, Bien mille Madrigaux, pour differens objets, Et ineme fans compter prusde cene mregies Faites, ſur des dédains;	ie veux que vous sachiez Que vous verrez courir, dans les belles ruelles Plus de deux cents chansons, presque toutes nouvelles, Des Sonnets tout autant, sur de divers sujets, Bien mille Madrigaux, pour différents objets, Et inéme fans compter prusde cène giez Faites, sur des dédains;
ſans les Apologies, Enigmes, & Portraits.	sans les Apologies, Enigmes, et Portraits.
MAGDELON An!	MAGDELON An!
rurſeurement Ie ſuis pour les portraits;	rursurement Je suis pour les portraits;
rien n’eſt de plus charmant, noy rien de plus galand.	rien n'est de plus charmant, noi rien de plus galant.
MASCARILLE.	MASCARILLE.
lis fon bieirdifficiles, Et veulent des eſprits profonds, ſçauans, habilles.	lis son biedifficiles, Et veulent des esprits profonds, savants, habilles.
Vous en verrez de moy, qui ne déplaiſent pas.	Vous en verrez de moi, qui ne déplaisent pas.
CATHOS.	CATHOS.
Vne Enigme a pour moy, terriblement d’appas.	Une Enigme a pour moi, terriblement d'appas.
MASCARILLE.	MASCARILLE.
Par là l’eſprit s’exerce, & i’en ay tracé quatre Encore ce matin, qu’afin de vous eſbatre Vous pourez deuiner.	Par là l'esprit s'exerce, et j'en ai tracé quatre Encore ce matin, qu'afin de vous ébattre Vous pourrez deviner.
MAGDELON.	MAGDELON.
I’aime les Madrigaux, Quand ils ſont bien tournez, ils ſont tout à fait beaux.	J'aime les Madrigaux, Quand ils sont bien tournés, ils sont tout à fait beaux.
MASCARILLE.	MASCARILLE.
Iiiine cie la mon taiene;	Jiine cie la mon taiène;
ce le domne mes peines A mettre en Madrigaux les annalles Romaines.	ce le domne mes peines A mettre en Madrigaux les annalles Romaines.
MAGDELON.	MAGDELON.
Ce deſſein eſt illuſtre, autant qu’il eſt nouueau, Cét ouurage, Monſieur, ſera du dernier beau, Et ſi vous l’imprimez, i’en veux vn exen plaire.	Ce dessein est illustre, autant qu'il est nouveau, Cet ouurage, Monsieur, sera du dernier beau, Et si vous l'imprimez, j'en veux un exen plaire.
MASCARILLE.	MASCARILLE.
Ie ſçay trop mon deuoir, pour n’y pas ſatisfaire, Et ie vous en promets au moins à chacune vn, Qui ſeront reliez mieux que ceux du commun, pour ma condition, c’eſt vn bas exercice Ie le fais ſeulement pour rendre vn bon office Et ce matin encor m’en eſt venu parler.	Je sais trop mon devoir, pour n'y pas satisfaire, Et je vous en promets au moins à chacune un, Qui seront reliez mieux que ceux du commun, pour ma condition, c'est un bas exercice Je le fais seulement pour rendre un bon office Et ce matin encor m'en est venu parler.
MAGDELON.	MAGDELON.
Le plaiſir eſt bien grand d’eſtre mis ſous la preſſe.	Le plaisir est bien grand d'être mis sous la presse.
MASCARILLE.	MASCARILLE.
