AVEC PRIVILEGE DV ROY.	AVEC PRIVILÈGE DU ROY.
Cet ouurage au logis eſtoit tout mon objet, L'y voyois deſia craiſtre vne viue peinture Des plus rares beautés que produit la nature:	Cet ouvrage au logis était tout mon objet, L'y voyais déjà craître une vive peinture Des plus rares beautés que produit la nature:
Mille fleurs compoſoient vn gracieux eſmail, On voyoit dans la mer des perles, du Corail, Et l’onſentoit le vent, qui d’vne douce haleine, T ſouſleuoit des flots & de ſoye, & de laine.	Mille fleurs composaient un gracieux émail, On voyait dans la mer des perles, du Corail, Et l'onsentait le vent, qui d'une douce haleine, T sousleuoit des flots et de soie, et de laine.
Iauois veſtu liris de ces eſclats charmans Dont la nature & lart parent les diamans, Et qu’en vn temps ſerain l’œil curieux admire, Dans leur eau precieuſe, ou le ſoleil ſe mire.	Iauois vêtu liris de ces éclats charmants Dont la nature et lart parent les diamants, Et qu'en un temps serain l'œil curieux admire, Dans leur eau précieuse, ou le soleil se mire.
Monaiguille auoit peint ce beau palais des Dieux, Elle auoit attaché deux grands Aſtres aux cieux, Et d’vn azur brillant allumé des eſtoiles;	Monaiguille avait peint ce beau palais des Dieux, Elle avait attaché deux grands Astres aux cieux, Et d'ils as brillant allumé des étoiles;
L’air auoit ſes eſclairs, la nuict auoit ſes voiles:	L'air avait ses éclairs, la nuit avait ses voiles:
Il ne me reſtoit plus qu’a deſcendre aux enfers, Pour y peindre Pluton, ſes manes, & ſes fers.	Il ne me restait plus qu'a descendre aux enfers, Pour y peindre Pluton, ses mânes, et ses fers.
Ie le tirois deſia dans ſon troſne de flame, Quand vne horreur ſubite ayant ſaiſi mon ame, Je n'ay pû retenir vn deluge de pleurs, Dont i’ay penſe noyer & ciel, & mer, & fleurs.	Je le tirais déjà dans son trône de flamme, Quand une horreur subite ayant saisi mon âme, Je n'ai pu retenir un déluge de pleurs, Dont j'ai pense noyer et ciel, et mer, et fleurs.
E S Mais n’eſt-ce point vn ſonge?	ET S Mais n'est-ce point un songe?
PROSERPINE.	PROSERPINE.
Vn ſonge?	Un songe?
l’apparence, I'eſtois trop attentiue à ma triſte nilance.	l'apparence, J'étais trop attentive à ma triste nilance.
2 L’attention ſi forte à des objets puiſſans, Euſfant ainſt ta veut, aſſoupit tous les ſens.	2 L'attention si forte à des objets puissants, Eusfant ainst ta veut, assoupit tous les sens.
Mais de peur qu’en parlant auſſi l’on ne ſe laſſe, Inuentons quelque jeu.	Mais de peur qu'en parlant aussi l'on ne se lasse, Inventons quelque jeu.
DIANE.	DIANE.
Non, allons à la chaſſe.	Non, allons à la chasse.
PROSERPINE.	PROSERPINE.
Ie n’oſerois Deeſſe eſloigner ce Chaſteau.	Je n'oserais Deesse éloigner ce Château.
D ij	D ij
S.	S.
Cueillons pluſtoſt des fleurs ſur vn tapis ſi beau.	Cueillons plutôt des fleurs sur un tapis si beau.
TROSERTINE.	TROSERTINE.
Voſtre auis eſt fort bon, cette Iſle eſt aſſés grande.	Votre avis est fort bon, cette Île est assez grande.
Que chacune de nous en faſſe vne Guirlande, Et nous courronnerons le front victorieux, De celle dont le choix reuſſira le mieux.	Que chacune de nous en fasse un Guirlande, Et nous courronnerons le front victorieux, De celle dont le choix réussira le mieux.
Ie le veux.	Je le veux.
PROSERPINE.	PROSERPINE.
DIANE.	DIANE.
I'y conſens.	J'y consens.
PALLAS.	PALLAS.
Ie l’aprouue auec joye.	Je l'approuve avec joie.
E S.	 E.
Donc ſans perdre le temps ou l’honneur nous employe, Que chacune choiſiſſe vn endroit eſcarté, Pour diſputer le prix entre nous arreſté:	Donc sans perdre le temps ou l'honneur nous emploie, Que chacune choisisse un endroit écarté, Pour disputer le prix entre nous arrêté:
Ie prens deſia pour moy la plus prochaine place.	Je prends déjà pour moi la plus prochaine place.
DIANE.	DIANE.
Dans les grandes chaleurs, mon carquois m’embaſſe, Nous n’auons rien à craindre en vn lieu ſi plaiſant.	Dans les grandes chaleurs, mon carquois m'embasse, Nous n'avons rien à craindre en un lieu si plaisant.
PROSERPINE.	PROSERPINE.
pepnseuumessenere fœur seſe euiſſe bienpeſant.	pepnseuumessenere fœur ses évisse bienpesant.
DIANE.	DIANE.
Je m'en vais tout cacher au pied de ce lierre,	Je m'en vais tout cacher au pied de ce lierre,
PALLAS.	PALLAS.
Et moy planter au pres ma lance dans la terre.	Et moi planter au pres ma lance dans la terre.
E S.	 E.
Que chacune s’eſloigne, & ne regarde pas Ce que fait ſa compagne, elles s’en vont la bas:	Que chacune s'éloigne, et ne regarde pas Ce que fait sa compagne, elles s'en vont la bas:
Mais de peurque Diane aux cris de Proſerpine, A venger cette injure auſſi-toſt ne s’obſtine, Auec ces traits puiſſans qu’on ne peut éuiter, Allons deſtendre l’arc qu'elle vient de quitter.	Mais de peurque Diane aux cris de Proserpine, A venger cette injure aussitôt ne s'obstine, Avec ces traits puissants qu'on ne peut éviter, Allons détendre l'arc qu'elle vient de quitter.
I'obëy, Iupiter, la proye eſt attrapée.	J'obéi, Jupiter, la proie est attrapée.
SCENE DEVXIESME PROSERPINE, PLVTON, VENYS, DIANE, PALLAS.	SCÈNE DEUXIÈME PROSERPINE, PLUTON, VENYS, DIANE, PALLAS.
PROSERPINE.	PROSERPINE.
A ſubtile Venus à ce coup s’eſt trompée, Voic y le bel endroit, tout rit à mon deſſein, Ie ſeray couronnée auiourd’huy de ſa main:	A subtile Venus à ce coup s'est trompée, Voic y le bel endroit, tout rit à mon dessein, Je serai couronnée aujourd'hui de sa main:
Que d’agreables fleurs pres de moy ie deſcouure, Mais quelbruit eſt cecy?	Que d'agréables fleurs pres de moi je découvre, Mais quelbruit est ceci?
bons Dieux!	bons Dieux!
la terre ſouure, Elle s’eſmeut ſous moy d’vn ſoudain tremblement, Les aſtres dans le ciel changent leur mouuement:	la terre souvre, Elle s'émeut sous moi d'un soudain tremblement, Les astres dans le ciel changent leur mouvement:
Dieux!	Dieux!
que vois-ie la bas?	que vois-je la bas?
l’eſpouuentable gouffre, L’inſuportable odeur, tout pûticy le ſouffre!	l'espouuentable gouffre, L'insuportable odeur, tout pûtici le souffre!
Ces eſclairs ſurprenans me donnent de l’effroy, Vn chariot de feus auance deuers moy.	Ces éclairs surprenants me donnent de l'effroi, Un chariot de feus avance devers moi.
Ou m'iray-ie cacher?	Ou m'irai-je cacher?
LVTON.	LUTON.
Rauiſſant Proſerpine.	Ravissant Proserpine.
Ne craignés point ma Reine, PROSERPINE Grandes Diuinitez a mon aide, on m'entraiſne.	Ne craignez point ma Reine, PROSERPINE Grandes Divinités a mon aide, on m'entraîne.
PLVTON.	PLUTON.
Ne vous en troublés pas, c’eſt Pluton, c’eſt vn Dieu, Qui pourvous couronner vous oſtes de ce lieu.	Ne vous en troublez pas, c'est Pluton, c'est un Dieu, Qui pourvous couronner vous ôtes de ce lieu.
PROSERPINE.	PROSERPINE.
Au ſecours, c’eſt Pluton.	Au secours, c'est Pluton.
EN S.	EN S.
Aigroue ivo marmes, Tout va le mieux du monde, elles n’ont pas leurs armes, Et deſia cescpeuaux par des chemins couuerts Gaignent l’antre fumant qui conduit aux enfers.	Aigroue ivo marmes, Tout va le mieux du monde, elles n'ont pas leurs armes, Et déjà cescpeuaux par des chemins couverts Gagnent l'antre fumant qui conduit aux enfers.
DIANE.	DIANE.
Ah!	Ah!
ma ſœurc’en eſt fait.	ma sœurc'en est fait.
PALLAS.	PALLAS.
Il eſt encore proche, Aiuſte viſte vn traits, ma ſœur, & le decoche Vers l’endroit ou ce nom s’eſt ſi fort entendu.	Il est encore proche, Ajuste vite un traits, ma sœur, et le décoche Vers l'endroit ou ce nom s'est si fort entendu.
DIANE.	DIANE.
Ie ne ſçaurois ſi toſt, mon arc eſt deſtendu.	Je ne saurais si tôt, mon arc est détendu.
Courons donc:	Courons donc:
PALLAS.	PALLAS.
DIANE.	DIANE.
Où bons Dieux?	Où bons Dieux?
PALEAS.	PALEAS.
Au haſard, il n’importe, Ie la voy, chere ſœur, vn char de feu l’emporte.	Au hasard, il n'importe, Je la vois, chère sœur, un char de feu l'emporte.
DIANE.	DIANE.
Ah nos cris eſt nos pas ſont icy ſuperflus, Il à fendu la terre, & l’on ne le void plus.	Ah nos cris est nos pas sont ici superflus, Il à fendu la terre, et l'on ne le voit plus.
Ce Monarque inhumain des abiſmes de flame L’entraiſne enſes enfers, il vouloit vne feinme, Proſerpine eſt trahie, & pour mieux s'excuſer, Venus auecques nous à voulu l’abuſer.	Ce Monarque inhumain des abîmes de flamme L'entraîne enses enfers, il voulait une feinme, Proserpine est trahie, et pour mieux s'excuser, Venus après nous à voulu l'abuser.
Voy qu'elle eſt peu ſurpriſe?	Vois qu'elle est peu surprise?
E S.	 E.
Apres ces artifices, Qui ne craira, mes ſœurs, que vous eſtes com plices, Que voſtre intelligence aprouue ces deſſeins, Et que ce coup funeſte eſt vn coup de vos mains?	Après ces artifices, Qui ne craira, mes sœurs, que vous êtes com pliées, Que votre intelligence approuve ces desseins, Et que ce coup funeste est un coup de vos mains?
Par quelle honneſte excuſe eſtiez vous deſarmés, Vous quon voit aux combats ſans relaſche animees?	Par quelle honnête excuse étiez -vous désarmez, Vous quon voit aux combats sans relâche animées?
Par qu’elle honneſte excuſe eſtiez vous ſans carquois, Vous qui chaſſez ſans ceſſe au plus profõd des bois?	Par quelle honnête excuse étiez -vous sans carquois, Vous qui chassez sans cesse au plus profond des bois?
Les traits vous manquent ils, adrette chaſſereſſe, Des qu’il faut d’vne biche arreſter la viteſſe, Et pourſauuer l’honneur d’vne fille des Cieux, Faut il manquer encor de pieds, de voix, & A lcira:	Les traits vous manquent ils, adrette chasseresse, Des qu'il faut d'une biche arrêter la vitesse, Et poursauver l'honneur d'une fille des Cieux, Faut il manquer encor de pieds, de voix, et A lécira:
Peut on plus laſchement ſecourir Proſerpine?	Peut on plus lâchement secourir Proserpine?
Elle eſt, ainſi que vous, de celeſte origine, En cette qualité, que l’on doit reuerer, Vous la deuies deffendre, & la conſiderer.	Elle est, ainsi que vous, de céleste origine, En cette qualité, que l'on doit révérer, Vous la dé fendre, et la considérer.
DIANE.	DIANE.
C’eſt vous, dont l’artifice eſticy manifeſte, Qui deuies reſpecter cette beauté celeſte, Non pas nous attirer en ces funeſtes lieux, Pour mieux executer vos complots odieux:	C'est vous, dont l'artifice étici manifeste, Qui devie respecter cette beauté celeste, Non pas nous attirer en ces funestes lieux, Pour mieux exécuter vos complots odieux:
C’eſt vous qui nous auez toutes deux deſarmées, Dont les fauſſes bontez nous ont ainſi charmées, Et ievay de ce pas m'en plaindre à Iupiter.	C'est vous qui nous avez toutes deux désarmées, Dont les fausses bontés nous ont ainsi charmées, Et Hévai de ce pas m'en plaindre à Jupiter.
E ij	E ij
ENVS.	ENUS.
Prenez de bons teſmoins, faites vous aſſiſter, Et ſi voſtre credit n’appuye aſſes la choſe, I’iray moy-meſme au Ciel y plaider voſtre cauſe.	Prenez de bons témoins, faites vous assister, Et si votre crédit n'appuie asses la chose, J'irai moi-même au Ciel y plaider votre cause.
Cependant mon adreſſe a rompu leurdeſſein, Dnmon pompiguMen pamiut ſouuerain.	Cependant mon adresse a rompu leurdessein, Dnmon pompiguMen pamiut souuerain.
.	.
Fais vœu dors-en auant farouche Proſerpine, De meſpriſer des traits dont la trampe eſt diuine.	Fais vœu dors-en avant farouche Proserpine, De mépriser des traits dont la trampe est divine.
SCENE TROISIESME:	SCÈNE -TROISIÈME:
PLVTON, PRO.	PLUTON, PRO.
SERPINE.	SERPINE.
Et toutela cour infernale.	Et toutelà cour infernale.
PLVTON.	PLUTON.
Races à Iupiter, à Venus, à l’Amour, Tous voila, ma princeſſe, arriuée en ma Cour, Où i’immole à vos piés & mon ſceptre, & ma vie Vous faſchez vous encor d’auoir eſté rauie?	Races à Jupiter, à Venus, à l'Amour, Tous voilà, ma princesse, arrivée en ma Cour, Où j'immole à vos piés et mon sceptre, et ma vie Vous fâchez vous encor d'avoir été ravie?
PROSERPINE.	PROSERPINE.
Si vous auiez deſſein, maiſtre abſolu des Cieux, Que la clarté celeſte abandonnaſt mes yeux, Voſtre bras tout puiſſant porte il pas vn foudre, Qui pouuoit m'en priuer me reduiſant en poudre Auiés vous pù conclure au ſacré tribunal, Qu’on traiſnaſt voſtre fille en labiſme infernal?	Si vous aviez dessein, maître absolu des Cieux, Que la clarté celeste abandonnât mes yeux, Votre bras tout puissant porte il pas un foudre, Qui pouvait m'en priver me réduisant en poudre Auiés vous conclure au sacré tribun, Qu'on traînât votre fille en labîme infernal?
Quel crime ay-ie commis, que vous à fait ma Mere, Pour attirer ſur nous ces eſclats de colere?	Quel crime ai-je commis, que vous à fait ma Mère, Pour attirer sur nous ces éclats de colère?
Qui peut auoir aigry cette extreme bonté, Par qui le plus grãd crime eſt touſiours ſurmonté?	Qui peut avoir aigri cette extrême bonté, Par qui le plus grands crime est toujours surmonté?
Quand la temerité des enfans de la terre Porta leur inſolence à vous liurer la Guerre, Auons nous conſpiré contre vous auec eux, Ay-ie apris à Iunon vos larcins amoureux?	Quand la témérité des enfants de la terre Porta leur insolence à vous livrer la Guerre, Auons nous conspiré contre vous avec eux, Ai-je apris à Junon vos larcins amoureux?
PLVTON.	PLUTON.
Laiſſons aller ſa plainte ou ſon depit -la pouſſe, Elle en ſera tantoſt plus traitable, & plus douce, La plus forte colere en criant s’adoucit.	Laissons aller sa plainte ou son dépit -la pousse, Elle en sera tantôt plus traitable, et plus douce, La plus forte colère en criant s'adoucit.
PROSERPINE.	PROSERPINE.
Ainſi dont, ô Diane, vn ſaint vœu reuſſit, Donc ie ſuis la victime aux enfers deſtinée;	Ainsi dont, ô Diane, un saint vœu reussit, Donc ie suis la victime aux enfers destinée;
Eſt-ce ainſi, Iupiter, que ie ſuis couronnée, Et m’a ton fait ſortir du ſacréſang des Dieux, Pour confiner ma vie en de ſi triſtes lieux?	Est-ce ainsi, Jupiter, que je suis couronnée, Et m'a ton fait sortir du sacrésang des Dieux, Pour confiner ma vie en de si tristes lieux?
E inj En l’eſtat où ie ſuis, que ie te treuue heureuſe, Qui que tu ſois, mortelle, inſenſible, amoureuſe, Qui que ſoit ton amant, ſoit ſeur, ou dangereux L’endroit ou te conduit vn brutal amoureux:	E inj En l'état où je suis, que ie te trouve heureuse, Qui que tu sois, mortelle, insensible, amoureuse, Qui que soit ton amant, soit sûr, ou dangereux L'endroit ou te conduit un brutal amoureux:
Ou t’on conſentement adoucit cette geſne, Ou comme moy par force vn inſolent t’entraiſne, Mais tu jouis touſiours du bien de laclarté;	Ou t'on consentement adoucit cette gêne, Ou comme moi par force un insolent t'entraîne, Mais tu jouis toujours du bien dé clarté;
helas!	hélas!
auec l’honneur ce bon-heur m'eſt odé:	auec l'honneur ce bonheur m'est odé:
Renommé ſeulement pour les maux qu’on y ſoufre.	Renommé seulement pour les maux qu'on y souffre.
Vn affreux rauiſſeur m’entraiſne en ſes enfers, On me couronne Reine, en m'attachant aux fers, O ruſe de L’enus, complice de ma perte, Et trop toſt eſprouuée, & trop tard deſcouuerte, ipro mpertuuce yuctorvo noe auis, Que i’ay ſi bien reçeus, que i'ay ſi mal ſuiuis, Quelque part ou tu ſois chere & pieuſe mere, Regarde auec pitié l’excez de ma miſere, Romp le cruel deſſein d’vn tyran furieux, Et ne me laiſſe point dans ces funeſtes lieux.	Un affreux ravisseur m'entraîne en ses enfers, On me couronne Reine, en m'attachant aux fers, Ô ruse de L'enus, complice de ma perte, Et trop tôt éprouvée, et trop tard découverte, jpro mertuce yuctorvo noe avis, Que j'ai si bien reçus, que j'ai si mal suivis, Quelque part ou tu sois chère et pieuse mere, Regarde avec pitié l'excès de ma misère, Rompt le cruel dessein d'un tyran furieux, Et ne me laisse point dans ces funestes lieux.
PLVTON.	PLUTON.
Chaſſez de voſtre eſprit cette iniuſte triſteſſe, Si vous voulez pleurer, que ce ſoit d’alegreſſe, Vn indigne mary ne profanera pas	Chassez de votre esprit cette injuste tristesse, Si vous voulez pleurer, que ce soit d'allégresse, Un indigne mari ne profanera pas
Ce teint, ou la beauté regne auec tant d’apas:	Ce teint, ou la beauté règne avec tant d'appas:
Ie ſuis Roy des treſors, ie ſuis Roy des Monarques, A moy ſeul, en tout temps, obeiſſent les parques, Bref tout ce qui reſpire eſt ſuiet à ma loy, Et vous partagerez, cet empire auec moy.	Je suis Roi des trésors, votre suis Roi des Monarques, À moi seul, en tout temps, obéissent les parques, Bref tout ce qui respire est sujet à ma loi, Et vous partagerez, cet empire avec moi.
Deſia toute ma cour, de vos beautés rauie, Et bruſlant de leur eſtre a iamais aſſeruie, Vient vous faire agenoux vn ſerment ſolemnel De rendre a ſa Deeſſe vn hommage éternel.	Déjà toute ma cour, de vos beautés ravie, Et brûlant de leur être a jamais asservie, Vient vous faire agenoux un serment solemnel Serment solennel De sa Belle un hommage éternel.
La clarté de vos yeux diſſipe les tenebres, L'on n’entẽd plus l’horeur des vrlemens funebres, Et deſia les damnez ſont ſi reſpectueux, Qu’ils n’oſent murmurer, vous voyant aupres d’eux.	La clarté de vos yeux dissipe les ténèbres, L'on n'entends plus l'horeur des vrlements funèbres, Et déjà les damnés sont si respectueux, Qu'ils n'osent murmurer, vous voyant auprès d'eux.
Des painemie popemuis s ves pouurts ue laguerre, Dont leſclat orgueilleux faiſoit trembler laterre, Deſcheus en'on inſtant ac ieurs tiltres mortels, Viendront parmy le peuple adorer vos autels;	Des painemie popemuis sai ves pouurts ue laguerre, Dont lesclat orgueilleux faisait trembler laterre, Dêcheus en'on instant ac jeurs titres mortels, Viendront parmi le peuple adorer vos autels;
Et vous prendrez plaiſir ſur vn troſne adorable, D'obliger l’innocent, de punir le coupable.	Et vous prendrez plaisir sur un trône adorable, D'obliger l'innocent, de punir le coupable.
PROSERPINE.	PROSERPINE.
Quel plaiſir puis-ie prendre où ma mere n’eſt pas?	Quel plaisir puis-je prendre où ma mère n'est pas?
LVTON.	LUTON.
Ne vous arreſtez point à ces foibles esbas, Voſtre âge vous conuie à de plus hauts myſteres, Vn mary, comme moy, vaut ſeul toutes les meres, Il vaut mieux que vos fleurs, mnieux que tous vos plaiſirs, Et vous condamnerez ces friuoles deſirs, Piuiob comumbiogoufecteux qu'vn Dieu vous reſerue, Vous oublierez bien toſt & Diane, & Minerue.	Ne vous arrêtez point à ces faibles ébas, Votre âge vous convie à de plus hauts mystères, Un mari, comme moi, vaut seul toutes les mères, Il vaut mieux que vos fleurs, ménieux que tous vos plaisirs, Et vous condamnerez ces frivoles désirs, Pivob comumbiogouffecteux qu'un Dieu vous réserve, Vous oublierez bien tôt et Diane, et Minerve.
PROSERPINE.	PROSERPINE.
Le moyen d’eſtre guaye en l’eternelle nuit?	Le moyen d'être guaie en l'éternelle nuit?
PLVTON.	PLUTON.
Icy, belle Princeſſe, vn nouuel aſtre luit, Et pour vous reſiouir, mes Iſles fortunées Sont d’vn eſmail de fleurs en tout temps couronnées, Plus parfume cent fois, plus durable, & plus beau, Que celuy dont Æthna borde voſtre chaſteau.	Ici, belle Princesse, un nouvel astre luit, Et pour vous réjouir, mes Isles fortunées Sont d'un émail de fleurs en tout temps couronnées, Plus parfume cent fois, plus durable, et plus beau, Que celui dont Éthna borde votre château.
C’eſt dans mes champs heureux que flore eſt ſouueraine, Q ue Zephir lacourtiſe auec ſa douce haleine, C’eſt la qu’à commencé de ſeſpandre dans l’air, L’odeur que le iaſmin prend plaiſir d’exhaler:	C'est dans mes champs heureux que flore est souveraine, Q ue Zephir lacourtise auec sa douce haleine, est la commencé de sespandre dans air, odeur que le yasmin prend plaisir exhaler:
C’eſt la qu'ẽ vn clain dœil mille fleurs ſont eſcloſes, Que l’œillet Que l’œillet rend hommage à l’incarnat des roſes, Et qu’on voit le Soleil de ſes pinceaux polis Coucher l’or ſur Clitie, & l’argent ſur le lis.	C'est la qu'en Un clain dœil mille fleurs sont écloses, Que l'œillet Que l'œillet rend hommage à l'incarnat des roses, Et qu'on voit le Soleil de ses pinceaux polis Coucher l'or sur Clitie, et l'argent sur le lis.
Vne nouuelle aurore, au lieu de vos roſées, Baigne d’eau de ſenteurs mes plaines elisées;	Une nouvelle aurore, au lieu de vos rosées, Baigne d'eau de senteurs mes plaines elisées;
C’eſt la qu’à ſon leuer mille petits oiſeaux Meſlent leur douce voix au murmure des eaux:	C'est la qu'à son lever mille petits oiseaux Mêlent leur douce voix au murmure des eaux:
Ceſt la que d’vn beau verd la terre ſe tapiſſe, Qu’vn rayon du Soleil reſſuſcite Narciſſe, Et que ce bel enfant, tué par Apollon, Fait lire ſur ſa fleur deux lettres de ſon nom.	Cest la que d'un beau verd la terre se tapisse, Qu'un rayon du Soleil ressuscite Narcisse, Et que ce bel enfant, tué par Apollon, Fait lire sur sa fleur deux lettres de son nom.
Ceſt la que la Tulipe à des couleurs parfaites, Qu'vn frais azur eſt peint ſur mille violettes;	Cest C' est la Tulipe à des couleurs parfaites, Qu'un frais azur est peint sur mille violettes;
Que pour vous preſenter d’aimables nouueautés La grenade & l’orange enfantent leurs beautés, Et qu’vn vifnacarat brille ſur l’a nemone.	Que pour vous présenter d'aimables nouveautés La grenade et l'orange enfantent leurs beautés, Et qu'un vifacarat brille sur l'a nemone.
C’eſt la, chere beauté, que vertumne & pomone Trauaillent a l’enui, par mille ſoins diuers, A rendre mes iardins touſiours beaux touſiours vers, Qu'vn concours éternel de riches influences Releue ces tapis de fruits & de nuances.	C'est la, chère beauté, que vertumne et pomone Travaillent à l'envi, par mille soins divers, À rendre mes jardins toujours beaux toujours vers, Qu'il concours éternel de riches influences Releue ces tapis de fruits et de nuances.
C’eſt, ma chere princeſſe en ce lieu precieux Que vous aurez vn troſne auſſi beau que les Cieux.	C'est, ma chère princesse en ce lieu précieux Que vous aurez un trône aussi beau que les Cieux.
Sus, que toute ma cour à le parer s’aplique, Et pour vous faire voir que la ioye eſt publique, Que l’horreur de la nuit quitte la place au iour, Qu'on arrache Iitie à ſon gourmand vautour, Qu’on détache Ixion, que l’alteré Tantale S’enyure à la ſanté de la Reine infernale, Que Siſiphe à preſent ne ſe puiſſe faſcher, Ne ſentant plus ſur luy retumber ſon rocher, Que dans ces iours heureux la troupe Danaide Quitte le ſoin d’emplir vn tonneau touſiours vuide, Et que pour eſtre enfin plus contens deſormais Lalegreſſe preſide ou l’on n’en vit iamais:	Sus, que toute ma cour à le parer s'applique, Et pour vous faire voir que la joie est publique, Que l'horreur de la nuit quitte la place au jour, Qu'on arrache Iitie à son gourmand vautour, Qu'on détache Ixion, que l'altéré Tantale S'enivre à la santé de la Reine infernale, Que Sisiphe à présent ne se puisse fâcher, Ne sentant plus sur lui retumber son rocher, Que dans ces jours heureux la troupe Dande Quitte le soin d'emplir un tonneau toujours vide, Et que pour être enfin lui faire voir Plus preside ou l'on n'en vit iamais:
PROSERPINE.	PROSERPINE.
L’innocente victunt ej umiſ vourronnée, Et parmy les honneurs au ſupplice menée.	L'innocente victunt éj umis vourronnée, Et parmi les honneurs au supplice menée.
Ly TON.	Lis TON.
Ce qui peut à preſentexciter vos ſouſpirs, Sera tantoſt l’obiet d’où n’aiſtront vos plaiſirs.	Ce qui peut à présentexciter vos soupirs, Sera tantôt l'objet d'où n'objet vos plaisirs.
SENEVRETRIESME CERES, ELECTRE.	SENEURETRIESME CERES, ÉLECTRE.
CERES.	CERES.
Ernicieuſe Electre, imprudente nourrice, I Eſt-ce ainſi que tu veux courõner ton ſeruice?	Ennicieuse Élèctre, imprudente nourrice, I St-ce ainsi que tu veux courõner ton service?
Pouuois-ie en aſſeurance, abandonnant ces lieux, Commettre à d’autres ſoins vn bien ſi precieux?	Pouvais-je en assurance, abandonnant ces lieux, Commettre à d'autres soins un bien si précieux?
Ne prenois-tu plaiſir d’eſleuer ta maiſtreſſe, Que pour nous donner mieux ces ſuiets de triſteſſe?	Ne prenais-tu plaisir d'élever ta maîtresse, Que pour nous donner mieux ces sujets de tristesse?
L’aimois-tu pour la perdre, & te plaire à ſeruir L’inſolent ſuborneur qui deuoit la rauir?	L'aimais-tu pour la perdre, et te plaire à servir L'insolent suborneur qui devait la ravir?
L’auois-ie en vain du Ciel amenée en Sicile, L’auois-ie envain logéeen vn ſi fort azile;	L'avais-je en vain du Ciel amenée en Sicile, L'avais-je envain logéeen un si fort asile;
Et ne t’auois-ie pas expreſſement enioint, Que iuſqu'à mon retour elle n'en ſortiſt point.	Et ne t'avais-je pas expressément enioint, Que jusqu'à mon retour elle n'en sortît point.
ELECTRE.	ÉLECTRE.
Las!	Las!
il n’eſt que trop vray, Deeſſe incomparable Mais les filles du ciel ſeules m’ont fait coupable, Pouuois-ie honneſtement ne luy permettre pas D’accompagner dans l’Iſle & Diane, & Pallas, Auroit on iamais creu que le noble courage De la Reine des bois eut ſouffert cetoutrage?	il n'est que trop vrai, Deesse incomparable Mais les filles du ciel seules m'ont fait coupable, Pouvais-je honnêtement ne lui permettre pas D'accompagner dans l'Île et Diane, et Pallas, Aurait on jamais cru que le noble courage De la Reine des bois eut souffert cetoutrage?
Ny meſme qu’à l’aſpect de ſa guerriere ſœur Euſt oſe l’aborder ce brutal rauiſſeur?	Ni même qu'à l'aspect de sa guerrière sœur Eut ose l'aborder ce brutal ravisseur?
Ainſi ie l’aypermis, Ciane la ſuiuie.	Ainsi ici l'aipermis, Ciane la suivie.
CERES.	CERES.
Que n’as tu donc ſçeu d’elle au moins qui la rauie?	Que n'as tu donc su d'elle au moins qui la ravie?
ELECTRE.	ÉLECTRE.
A la ſpect eſtonnant d’vne ſuitte d’eſclairs, Que i’ay veu du chaſteau s’eſleuer dans les airs, Au bruit affreux de voix, entre elles confonduës, Que i’ay de ce lieu meſme à l’inſtant entenduës, Tant que mon foible corps ma permis de marcher, Confuſei'ay couru dans l’iſle la chercher.	À la spect étonnant d'une suitte d'éclairs, Que j'ai vu du château s'élever dans les airs, Au bruit affreux de voix, entre elles confondues, Que j'ai de ce lieu même à l'instant entendues, Tant que mon faible corps ma permis de marcher, Confusei'ai couru dans l'Île la chercher.
Alors vn bruit du ciel à frappé mon oreille, Comme ſi Iupiter euſt fait quelque merueille, Vne eſpaiſſe fumée, vn air noir & poudreux, A couuert le ſoleil d’vn voile tenebreux, Dérobant tout d’vn coup les obiets à maveuë, Ce grand bruit à ceſſé, cette Iſle eſt diſparuë, Mais mon mal & ma peur faiſans agir ma voix, M’ont fait trouuer Ciane au dela de ce bois.	Alors un bruit du ciel à frappé mon oreille, Comme si Jupiter eût fait quelque merveille, Une épaisse fumée, un air noir et poudreux, A ouvert le soleil d'un voile ténébreux, Dérobant tout d'un coup les objets à maveue, Ce grand bruit à cessé, cette Isle est disparue, Mais mon mal et ma peur faisant agir ma voix, M'ont fait trouver Ciane au déla de ce bois.
Cette Nymphe adorable, & que voſtre ennuy touPour me conter l’hiſtoire ouuroit deſia la bouche, Le nom du rauiſſeur, à moy-meſme incogneu, Iuſques deſſus ſa leure eſtoit preſque venu.	Cette Nymphe adorable, et que votre ennui touPour me conter l'histoire ouvrait déjà la bouche, Le nom du ravisseur, à moi-même inconnu, Jusques dessus sa lèvre était presque venu.
Quandiay ſentyſes bras, & ſes cheueux humides Samolir a l’inſtant, eſtre auſſi-toſt liquides, Et tout ce corps enfin ſi charmant & ſi beau, Seſcoulant de mes mains deuenir vnruiſſeau, Quand ſesyeux pleins de feux, noyans ainſi leurs charmes, Pour mieux pleurer vos maux, ſe ſont changez en larmes.	Quandiai sentises bras, et ses cheveux humides Samolir à l'instant, été aussitôt liquides, Et tout ce corps enfin si charmant et si beau, Sécoulant de mes mains devenir vnruisseau, Quand ses pleins de feux, noyant ainsi leurs charmes, Pour mieux pleurer vos maux, se sont changez en larmes.
CERES.	CERES.
Ah!	Ah!
