Suivant la Copie imprimée A PARIS,	Suivant la Copie imprimée A PARIS,
Helas!	Hélas!
comme à le voir c’eſt toy ſeul que j’employe, Luy mort, Eucherius, que faut-il que je croye?	comme à le voir c'est toi seul que j'emploie, Lui mort, Eucherius, que faut-il que je croie?
As-tu juré ma perte, & ſon ſang répandu Te rend-il ton ſecret quand le mien eſt perdu?	As-tu juré ma perte, et son sang répandu Te rend-il ton secret quand le mien est perdu?
EUCHERIUS.	EUCHÉRIUS.
Me ſoupçouner, Seigneur, moy?	Me soupçouner, Seigneur, moi?
HONORIUS.	HONORIUS.
Que puis-je donc faire?	Que puis-je donc faire?
Si je veux t’excuſer, je condamne ton pere, Et le fatal ſoupçon qui m’accable aujourd’huy Ne s’éloigne de toy que pour tomber ſur luy;	Si je veux t'excuser, je condamne ton père, Et le fatal soupçon qui m'accable aujourd'hui Ne s'éloigne de toi que pour tomber sur lui;
Du crime dont Zenon m’a donné connoiſſance Seuls vous avez receu tous deux la confidence, Et mon malheur eſt tel, que mon ſort le plus doux Eſt d’avoir quelque lieu de douter entre vous;	Du crime dont Zenon m'a donné connaissance Seuls vous avez reçu tous deux la confidence, Et mon malheur est tel, que mon sort le plus doux Est d'avoir quelque lieu de douter entre vous;
Doutons, puiſque par là du moins en apparence Le criminel encor garde quelque innocence.	Doutons, puisque par là du moins en apparence Le criminel encor garde quelque innocence.
Dures extrémitez ou je me vois reduit!	Dures extrémités ou je me vois réduit!
Ce que je dois à l’un eſt par l’autre détruit, Tous deux contre un ingrat m’ont fait voir meſme zéle, Mais ſi dans mon malheur l’un me reſte fidelle, Mon cœur eſt ſur ce choix contraint de balancer, Il a peür de punir s’il veut recompenſer, Et n’oſe à l’innocent ſe rendre favorable, De crainte en le cherchant de trouver le coupable.	Ce que je dois à l'un est par l'autre détruit, Tous deux contre un ingrat m'ont fait voir même zèle, Mais si dans mon malheur l'un me reste fidèle, Mon cœur est sur ce choix contraint de balancer, Il a puer de punir s'il veut récompenser, Et n'ose à l'innocent se rendre favorable, De crainte en le cherchant de trouver le coupable.
Qui que tu puiſſes eſtre, ô Coupable trop cher, Qui confondant ton crime as l’art de te cacher.	Qui que tu puisses être, ô Coupable trop cher, Qui confondant ton crime as l'art de te cacher.
Dûſt l’erreur où je ſuis me devenir funeſte?	Dût l'erreur où je suis me devenir funeste?
Laiſſe-m’en la douceur, c’eſt tout ce qui me reſte.	Laisse-m'en la douceur, c'est tout ce qui me reste.
Cette incertaine mort dont je ſuis menacé Me plaiſt mieux que la tienne où je ſerois forcé, Et je n’ay point à craindre un deſtin plus contraire Qu’eſtre reduit à perdre une teſte ſi chere, De tous ſes coups pour moy c’eſt là le plus affreux, Pour couvrir le coupable offre-m’en toûjours deux, Empeſche l’Innocent de ſe faire connoiſtre, Et parois-le du moins puiſque tu ne peux l’eſtre.	Cette incertaine mort dont je suis menacé Me plaît mieux que la tienne où je serais forcé, Et je n'ai point à craindre un destin plus contraire Qu'être réduit à perdre une tête si chère, De tous ses coups pour moi c'est là le plus affreux, Pour couvrir le coupable offre-m'en toujours deux, Empêche l'Innocent de se faire connaître, Et parois-le du moins puisque tu ne peux l'être.
TILICON.	TILICON.
Ah, Seigneur!	Ah, Seigneur!
dans l’horreur dont je me ſens frapé, Pardonnez ſi mon trouble eſt ſi tard diſſipé, Et ſi tant de bontez m’arrachent avec peine Le déplorable adveu qui m’acquiert voſtre haine;	dans l'horreur dont je me sens frappé, Pardonnez si mon trouble est si tard dissipé, Et si tant de bontés m'arrachent avec peine Le déplorable aveu qui m'acquiert votre haine;
Je le nierois en vain, le ciime eſt averé, Eucherius ou moy nous avons conſpiré, Le malheur de Zenon en convainc l’un ou l’autre, Et quand ſon ſang verſé marque la ſoif du voſtre, Un ſcrupule douteux retient trop voſtre bras, Si le coupable l’eſt, le crime ne l’eſt pas, Il faut punir, Seigneur, & ſans incertitude Voſtre couroux m’en doit la peine la plus rude, Puis qu’armant contre moy ſa plus fiere rigueur, vous eſtes ſeur d’en perdre ou la cauſe ou l’autheus.	Je le nierais en vain, le ciime est averé, Eucherius ou moi nous avons conspiré, Le malheur de Zenon en convainc l'un ou l'autre, Et quand son sang versé marque la soif du jour, Un scrupule douteux retient trop vôtre bras, Si le coupable l'est, le crime ne l'est pas, Il faut punir, Seigneur, et sans incertitude Votre courroux m'en doit la peine la plus rude, Puis qu'armant contre moi sa plus fière rigueur, vous êtes sûr en perdre ou la cause ou l'auteur.
D’unD’une ou d’autre façon ma mort eſt neceſſaire, Je ſuis par moy coupable, ou le ſuis comme pere, Qui détournant de moy l’attentat entrepris Ne puis eſtre innocent des crimes de mon fils;	D'unD'une ou d'autre façon ma mort est nécessaire, Je suis par moi coupable, ou le suis comme père, Qui détournant de moi l'attentat entrepris Ne puis être innocent des crimes de mon fils;
C’eſt moy qui dans ſon cœur luy donnant la naiſſance En dois avoir jetté l’effroyable ſemence, Enraciné l’inſtinct, & coulé dans ſon ſang L’abominable ardeur de vous percer le flanc.	C'est moi qui dans son cœur lui donnant la naissance En dois avoir jeté l'effroyable semence, Enraciné l'instinct, et coulé dans son sang L'abominable ardeur de vous percer le flanc.
Comme avecque la vie il l’a de moy receuë, De ce ſang malheureux la ſource eſt corrompuë, Et ſi rien juſqu’icy n’en ſemble eſtre connu, C’eſt que de mes forfaits le temps n’eſt pas venu;	Comme avec la vie il l'a de moi reçue, De ce sang malheureux la source est corrompue, Et si rien jusqu'ici n'en semble être connue, C'est que de mes forfaits le temps n'est pas venue;
Que ma mort au pluſtoſt, Seigneur, vous en delivre, Ils pourroient éclater ſi vous me laiſſiez vivre, Et cedant au Deſtin qui nous entraîne tous, Ma main peut-eſtre, helas!	Que ma mort au plustost, Seigneur, vous en délivre, Ils pourraient éclater si vous me laissiez vivre, Et cédant au Destin qui nous entraîne tous, Ma main peut-être, hélas!
attenteroit ſur vous.	attenterait sur vous.
Ainſi puiſque ce ſang me rend de tout capable, Vous pouvez ſans erreur me traiter en coupable, Prononcez, & par là daignez me dérober Au peril des forfaits où je pourrois tomber.	Ainsi puisque ce sang me rend de tout capable, Vous pouvez sans erreur me traiter en coupable, Prononcez, et par là daignez me dérober Au péril des forfaits où je pourrais tomber.
HONORIUS.	HONORIUS.
Qu'en vain en t’accuſant ta tendreſſe de pere Cherche à croiſtre une erreur qui me ſeroit trop chere, Si dans ce qu’à mes yeux ta vertu vient offrir Cent preuves de ta foy me la pouvoient ſouffrir.	Qu'en vain en t'accusant ta tendresse de père Cherche à croître une erreur qui me serait trop chère, Si dans ce qu'à mes yeux ta vertu vient offrir Cent preuves de ta foi me la pouvaient souffrir.
Qui s’eſt dans mon jeune âge empeſché d’entreprenNe me peut envier ce qu’il a ſçeu me rendre, (dre, Et plus à ces clartez je tâche à reſiſter, Moins leur cruel éclat me permet de douter.	Qui s'est dans mon jeune âge empêché d'entreprenNe me peut envier ce qu'il a su me rendre, (dre, Et plus à ces clartés je tâche à résister, Moins leur cruel éclat me permet de douter.
Je vois.	Je vois.
te le diray-je, & ma juſte colere.	te le dirai-je, et ma juste colère.
TILICON.	TILICON.
Ouy, Seigneur, accablez un miſerable pere, Sur ce cœur affligé portez les derniers coups, Tout ce que vous voyez je le vois comme vous.	Oui, Seigneur, accablez un misérable père, Sur ce cœur affligé portez les derniers coups, Tout ce que vous voyez je le vois comme vous.
Helas, où m’emportoit une indigne tendreſſe!	Hélas, où m'emportait une indigne tendresse!
’ay merité l’arreſt dont ma douleur vous preſſe, Mais cette triſte mort dont j’attens le ſecours Sans une autre victime aſſeure mal vos jours;	’ai mérité l'arrêt dont ma douleur vous presse, Mais cette triste mort dont j'attends le secours Sans une autre victime assure mal vos jours;
En vain ſur moy d’aibord la Nature incertaine De l’attentat d’un fils vouloit jetter la peine, Et me perſuader pour luy ſervir d’appuy Qu’il s’expieroit aſſez ſi je mourois pour luy.	En vain sur moi d'aibord la Nature incertaine De 'attentat d'un fils voulait jeter la peine, Et me persuader pour lui servir d'appui Qu'il s'expierait assez si je mourais pour lui.
Je dois mourir ſans doute, & d’un forfait ſi lâche Il faut que tout mon ſang efface enfin la tache, Mais ce fils trop perfide, & toutefois trop cher, A ſa peine par la ne ſe peut arracher:	Je dois mourir sans doute, et d'un forfait si lâche Il faut que tout mon sang efface enfin la tache, Mais ce fils trop perfide, et toutefois trop cher, À sa peine par la ne se peut arracher:
Qu’il periſſe l’ingrat, dont la rage ſecrete Par voſtre ſeule mort ſe peut voir ſatisfaite.	Qu'il périsse l'ingrat, dont la rage secrète Par votre seule mort se peut voir satisfaite.
Voila, voila, Seigneur, où l’Amour l’a reduit, De ſes vœux ſans un Trône il attend peu de fruit, N’abaiſſe qu’à ce prix la fierté de ſon ame;	Voilà, voilà, Seigneur, où l'Amour l'a réduit, De ses vœux sans un Trône il attend peu de fruit, N'abaisse qu'à ce prix la fierté de son âme;
Et le lâche, aux tranſports d’un criminel eſpoir A laiſſé contre vous ſéduire ſon devoir.	Et le lâche, aux transports d'un criminel espoir A laissé contre vous séduire son devoir.
E UCHERIUS.	E ECHÉRIUS.
Et mon pere luy meſme aide au ſort qui m’accable?	Et mon père lui avait aide au sort qui m'accable?
HONORIUS.	HONORIUS.
Pour te faire innocent nomme donc un coupable, Mes ſoupçons deſſus toy s’attachent à regret;	Pour te faire innocent nomme donc un coupable, Mes soupçons dessus toi s'attachent à regret;
Mais qui peur de Zenon avoir ſçeu le ſecret?	Mais qui peur de Zenon avoir su le secret?
EUCHERIUS.	EUCHÉRIUS.
Tantoſt en luy parlant, Seigneur, de l’entrepriſe, ’ay veu ſur ſon viſage une eſtrange ſurpriſe, Et comme cent témoins la pouvoient obſerver, Quelqu’un en le perdant aura crû ſe ſauver;	Tantôt en lui parlant, Seigneur, de l'entreprise, aay vu sur son visage une étrange surprise, Et comme cent témoins la pouvaient observer, Quelqu'un en le perdant aura cru se sauver;
Souvent à prévenir la défiance engage.	Souvent à prévenir la défiance engage.
HONORIUS.	HONORIUS.
Ah, ſi de ta fureur ſa mort n’eſtoit l’ouvrage, C’eſt vers ce rendez-vous l’un à l’autre donné Qu’une barbare main l’auroit aſſaſſiné;	Ah, si de ta fureur sa mort n'était l'ouvrage, C'est vers ce rendez-vous l'un à l'autre donné Qu'une barbare main l'aurait assassiné;
Dans le bois du Jardin loin de t’aller attendre, Icy ſeul en ſecret il cherchoit à ſe rendre, Se défiant des lieux où tu veux l’attirer, Sa ſoy pour m’advertir n’a plus à differer, Et lors que pour me voir à tout il ſe hazarde, Dans un obſcur paſſage un traiſtre le poignarde.	Dans le bois du Jardin loin de t'aller attendre, Ici seul en secret il cherchait à se rendre, Se défiant des lieux où tu veux l'attirer, Sa soi pour m'avertir n'a plus à différer, Et lors que pour me voir à tout il se hasarde, Dans un obscur passage un traître le poignarde.
EUCHERIUS.	EUCHÉRIUS.
Prenant un rendez-vous il a ſçeu m’abuſer, Mais de ſa mort par là me doit-on accuſer?	Prenant un rendez-vous il a su m'abuser, Mais de sa mort par là me doit-on accuser?
HONORIUS.	HONORIUS.
Fay croire, ſi tu peux, ces preuves trop groſſieres, Pour voir ton crime, helas!	Fais croire, si tu peux, ces preuves trop grossières, Pour voir ton crime, hélas!
j’ay bien d’autres lumieres;	j'ai bien d'autres lumières;
Zenon à me parler voit le peril trop grand, Il hazarde un billet qu’en ſecret on me rend, L’Imperatrice en vain de ſe taire eſt capable, De peur qu’elle ne l’ouvre il cache le coupable, Et ne l’auroit pas tû, s’il n’euſt craint qu’en effet La ſœur n’aidaſt du frere à couvrir le forfait.	Zenon à me parler voit le péril trop grand, Il hasarde un billet qu'en secret on me rend, L'Impératrice en vain de se taire est capable, De peur qu'elle ne l'ouvre il cache le coupable, Et ne l'aurait pas tu, s'il n'eût craint qu'en effet La sœur n'aidât du frère à couvrir le forfait.
D’ailleurs lors que j’éleve un ſi rare ſervice, Tu me le fais ſoudain ſoupçonner d’artifice, Si j’accuſe un ingrat qui viole ſa foy, Tu prévois qu’il s’appreſte à parler contre toy;	D'ailleurs lors que j'élève un si rare service, Tu me le fais soudain soupçonner d'artifice, Si j'accuse un ingrat qui viole sa foi, Tu prévois qu'il s'apprête à parler contre toi;
Tant de précaution marque une indigne ruſe, Qui ſe trouve innocẽt ne craint point qu’on l’accuſe, Et ce qui te convaille, tu te vois dédaigner Si tu ne mets ma ſœur en eſtat de regner;	Tant de précaution marque une indigne ruse, Qui se trouve innocent ne craint point qu'on l'accuse, Et ce qui te convaille, tu te vois dédaigner Si tu ne mets ma sœur en état de régner;
Mes jours ſacrifiez flatent ton eſperance, Sans haïr ta perſonne elle hait ta naiſſance, Et ma mort t’aſſeurant le pouvoir ſouverain, Il faut perçer mon cœur pour meriter ſa main.	Mes jours sacrifiez flattent ton espérance, Sans haïr ta personne elle hait ta naissance, Et ma mort t'assurant le pouvoir souverain, Il faut perçer mon cœur pour mériter sa main.
Tu t’y reſous enfin, & l’ardeur qui t’entraîne.	Tu t'y résous enfin, et l'ardeur qui t'entraîne.
LICON.	LICON.
O crime, dont l’horreur ne ſe conçoit qu’à peine!	Ô crime, dont l'horreur ne se conçoit qu'à peine!
M’en as-tu veu capable, & honteux d’obeïr, As-tu receu de moy l’exemple de trahir?	M'en as-tu vu capable, et honteux d'obéir, As-tu reçu de moi l'exemple de trahir?
Quand le lâche Ruſin arma contre ſon Maiſtre, M’éprouva-t’on trop lent à prévenir ce traiſtre, Et d’un peuple depuis enclin aux remuëmens, Quel autre à mieux que moy calmé les mouvemens?	Quand le lâche Rusin arma contre son Maître, M'éprouva-t-on trop lent à prévenir ce traître, Et d'un peuple depuis enclin aux remuëmens, Quel autre à mieux que moi calmé les mouvements?
Que dans le plus beau ſort ſouvent la cheute eſt prompte!	Que dans le plus beau sort souvent la chute est prompte!
’ay veſcu glorieux pour mourir dans la honte, Et voir le Ciel laſſé de me ſervir d’appuy Confondre ma vertu dans le crime d’autruy.	Ç'ai vécu glorieux pour mourir dans la honte, Et voir le Ciel lassé de me servir d'appui Confondre ma vertu dans le crime d'autrui.
HONORIUS.	HONORIUS.
Va, tu le crains en vain;	Va, tu le crains en vain;
mais toy, pour ta deffence.	mais toi, pour ta défense.
Ingrat, dédaignes-tu de rompre le ſileuce?	Ingrat, dédaignes-tu de rompre le sileuce?
EUCHERIUS.	EUCHÉRIUS.
Que vous dirois-je, helas!	Que vous dirais-je, hélas!
qui pûſt me ſecourir?	qui pût me secourir?
Je ſuis né malheureux, & je cherche à mourir.	Je suis né malheureux, et je cherche à mourir.
ILICON.	ILICON.
Quoy, ton malheur, perfide, eſt toute ton excuſe?	Quoi, ton malheur, perfide, est toute ton excuse?
EUCHERIUS.	EUCHÉRIUS.
Un Pere me condamne, & mon Maiſtre m’accuſe, A leurs juſtes ſoupçons que pourrois-je oppoſer?	Un Père me condamne, et mon Maître m'accuse, À leurs justes soupçons que pourrais-je opposer?
Je voy que l’apparence aide à les abuſer, Et que ce cœur ſupris d’un crime abominable, Ne peut eſtre innocent s’ils l’eſtiment coupable.	Je vois que l'apparence aide à les abuser, Et que ce cœur supris d'un crime abominable, Ne peut être innocent s'ils l'estiment coupable.
HONORIUS.	HONORIUS.
Donc ta rage te plaiſt, & pour mieux en joüir Par ces déguiſemens tu me crois ébloüir?	Donc ta rage te plaît, et pour mieux en jouir Par ces déguisements tu me crois éblouir?
Non, non, contre un ſoupçon ſi fort, ſi legitime, Ne te deffendre point, c’eſt redoubler ton crime, Dy qu’en te ſéduiſant, l’Amour t’y ſçeut forcer, Et par ton repentir tâche de l’effacer.	Non, non, contre un soupçon si fort, si légitime, Ne te défendre point, c'est redoubler ton crime, Dis qu'en te séduisant, l'Amour t'y sut forcer, Et par ton repentir tâche de l'effacer.
UCHERIUS.	UCHÉRIUS.
Pour effacer celuy dont voſtre erreur m’accuſe, Il faut du ſang, Seigneur, & non pas une excuſe, Et tout le mien ſuffit à peine à l’expier, Si le Deſtin s’obſtine à ne calomnier;	Pour effacer celui dont votre erreur m'accuse, Il faut du sang, Seigneur, et non pas une excuse, Et tout le mien suffit à peine à l'expier, Si le Destin s'obstine à ne calomnier;
Il a juré ma perte, & de ſa violence Je ne puis appeller qu’à ma ſeule innocence;	Il a juré ma perte, et de sa violence Je ne puis appeler qu'à ma seule innocence;
Qui fuit plus que la mort de telles trahiſons, Jamais à s’en purger ne trouve de raiſons;	Qui fuit plus que la mort de telles trahisons, Jamais à s'en purger ne trouve de raisons;
Surpris d’eſtre accuſé, dans l’abus qui l’opprime Par ſon ſilence ſeul il repouſſe le crime, Et ſtupide & muët en des ſoupçons ſi bas, Prouve ſon innocence à ne la prouver pas.	Surpris d'être accusé, dans l'abus qui l'opprime Par son silence seul il repousse le crime, Et stupide et muet en des soupçons si bas, Prouve son innocence à ne la prouver pas.
HONORIUS.	HONORIUS.
Et bien, ingrat, & bien, ſois ferme à ne rien dire:	Et bien, ingrat, et bien, sois ferme à ne rien dire:
Voudras-tu point encor nier que l’on conſpire, Qu’un traiſtre oſe attenter?	Voudras-tu point encor nier que l'on conspire, Qu'un traître ose attenter?
EUCHER IUS.	EUCHÉR IUS.
On le nieroit en vain, Zenon aſſaſſiné rend ie crime cortain, Mais à quelques ſoupçons qu’il expoſe mon zéle, ignore le coupable, & je vous ſuis fidelle.	On le nierait en vain, Zenon assassiné rend Je crime cortain, Mais à quelques soupçons qu'il expose mon zèle, ignore le coupable, et je vous suis fidèle.
5*1	5*1
CON.	CON.
Quoy, lâche, ſur ton cœur le remords ne peut rien?	Quoi, lâche, sur ton cœur le remords ne peut rien?
HONORIUS.	HONORIUS.
Dérobe le toûjours aux tendreſſes du mien;	Dérobe le toujours aux tendresses du mien;
Voicy par qui ſans toy nous pourrons tout apprendre.	Voici par qui sans toi nous pourrons tout apprendre.
E uCHERIUS.	 EUCHÉRIUS.
Quoy, vous croyez, Seigneur.	Quoi, vous croyez, Seigneur.
HON ORTUS.	HON ORTUS.
Je ne puis plus t'entendre, Qu’on le tienne en lieu ſeur, Marcellin.	Je ne puis plus t'entendre, Qu'on le tienne en lieu sûr, Marcellin.
N’eſt pas.	N'est pas.
EUCHERIUS.	EUCHÉRIUS.
Mon ſoucy	Mon souci
ONORIu S.	ONORIu S.
Suivez voſtre ordre, & l’éloignez d’icy.	Suivez votre ordre, et l'éloignez d'ici.
SCENE IV.	SCÈNE IV.
HONORIUS, THERMANTIE, PLACIDIE, STILICON, MUTIAN, LUCILE.	HONORIUS, THÉRMANTIE, PLACIDIE, STILICON, MUTIAN, LUCILE.
HONORIUS à Thermantie.	HONORIUS à Thermantie.
H, Madame!	H, Madame!
THER MANTIE.	THÉR MANTIE.
Ah, Seigneur!	Ah, Seigneur!
que vient-on de me dire?	que vient-on de me dire?
NORIUS, Ce qui m’arrache l’ame, Eucherius conſpire, Et l’ingrat, qu’au remords en vain j’ay crû forcer, Aime ſon crime aſſez pour ne rien confeſſer;	NORIUS, Ce qui m'arrache l'âme, Eucherius conspire, Et l'ingrat, qu'au remords en vain j'ai cru forcer, Aime son crime assez pour ne rien confesser;
Mais ma ſœur nous en peut éclaircit l’entrepriſe.	Mais ma sœur nous en peut éclaircit l'entreprise.
LACIDIE.	LACIDIE.
Luy, conſpirer, Seigneur?	Lui, conspirer, Seigneur?
HONORIUS.	HONORIUS.
En eſtes vous ſurprile, Et vous eſtonnez-vous que pour vous meriter Au Trône de ſon Maiſtre il aſpire à monter?	En êtes -vous surprile, Et vous étonnez-vous que pour vous mériter Au Trône de son Maître il aspire à monter?
La loy qu’à ſon amour voſtre orgueil en impoſe, Soûtient avec éclat le ſaug de Theodoſe, Et ces dignes complots dont je préviens les coups Rempliſſent la fierté qu’il exige de vous.	La loi qu'à son amour votre orgueil en impose, Soutient avec éclat le saug de Théodose, Et ces dignes complots dont je préviens les coups Remplissent la fierté qu'il exige de vous.
PLACIDIE.	PLACIDIE.
Si j’ay tout le pouvoir qu’en moy vous ſemblez craindre, Cette fierté, Seigneur, m’authoriſe à me plaindre, Et prendre pour affront l’indigne emportement Qui dans un criminel veut trouver mon Amant.	Si j'ai tout le pouvoir qu'en moi vous semblez craindre, Cette fierté, Seigneur, m'autorise à me plaindre, Et prendre pour affront l'indigne emportement Qui dans un criminel veut trouver mon Amant.
L’amour qu’à ſes pareils une Princeſſe imprime, Rend le cœur qu’il occupe incapable de crime, Et pour Eucherius ce droit eſt ſi puiſſant, Que s’il m’aime en effet, il doit eſtre innocent;	L'amour qu'à ses pareils une Princesse imprime, Rend le cœur qu'il occupe incapable de crime, Et pour Eucherius ce droit est si puissant, Que s'il m'aime en effet, il doit être innocent;
Ma vertu fait ſa regle en tout ce qu’il peut faire, D’un peu d’orgueil peut-eſtre elle a le caractere, L’éclat d’un ſang illuſtre eſt ſon plus cher appas;	Ma vertu fait sa règle en tout ce qu'il peut faire, D'un peu d'orgueil peut-être elle a le caractère, L'éclat d'un sang illustre est son plus cher appas;
Mais un ſi noble orgueil n’inſpire rien de bas.	Mais un si noble orgueil n'inspire rien de bas.
S’il tient l’ardeur du Trône & douce & legitime, Il ſçait la dédaigner des qu’il en coûte un crime, Et c’eſt d’Eucherius connoiſtte mal la foy, Que vouloir préſumer qu’il conſpire pour moy.	S'il tient l'ardeur du Trône et douce et légitime, Il sait la dédaigner des qu'il en coûte un crime, Et c'est d'Eucherius connoistte mal la foi, Que vouloir présumer qu'il conspire pour moi.
Qu’on me réponde en luy d’une amour veritable, Je répondray qu’à tort vous le croyez coupable, Et qu’il me connoiſt trop pour s’eſtre enfin flaté De ſurprendre mon cœur par une lâcheté.	Qu'on me réponde en lui d'une amour véritable, Je répondrai qu'à tort vous le croyez coupable, Et qu'il me connaît trop pour s'être enfin flatté De surprendre mon cœur par une lâcheté.
HONORIUS.	HONORIUS.
Juſqu’où l’orgueil du ſang contre moy vous abuſc!	Jusqu'où l'orgueil du sang contre moi vous abusc!
La cauſe de ſon crime en doit eſtre l’excuſe, Et quand à conſpirer pour vous il ſe reſout, D’un ſi lâche forfait voſtre vertu l’abſout?	La cause de son crime en doit être l'excuse, Et quand à conspirer pour vous il se résout, D'un si lâche forfait votre vertu l'absout?
Que le ſçait voſtre Amant l’en doit croire incapable?	Que le sait votre Amant l'en doit croire incapable?
THERMAETIE.	THÉRMAETIE.
Mais ſur quoy s’aſſeurer, Seigneur, qu’il foit coupaple?	Mais sur quoi s'assurer, Seigneur, qu'il soit coupaple?
HONORIUS.	HONORIUS.
Sur cent preuves, helas!	Sur cent preuves, hélas!
qu’il n’a pû démentir, Si Zenon en ſecret tâche de m’avertir, S’il n’oſe me parler de peur qu’on le ſoupçonne, S’il vous donne un billet ſans y nommer perſonas.	qu'il n'a pu démentir, Si Zenon en secret tâche de m'avertir, S'il n'ose me parler de peur qu'on le soupçonne, S'il vous donne un billet sans y nommer personas.
C’eſt C'eſt qu’en m’advertiſſant, s’il fait rien éclater, Il trouve Eucherius par tout à redouter;	C'est C'est qu'en m'avertissant, s'il fait rien éclater, Il trouve Eucherius par tout à redouter;
Il vous craint comme ſœur s’il s’ouvre ſins reſerve, S’il me parle au Palais, Eucherius m’obſerve;	Il vous craint comme sœur s'il s'ouvre sins réserve, S'il me parle au Palais, Eucherius m'observe;
Enfin par ſon amour ſa vertu ſe détruit, Hl aime, il cherche à plaire, & c’en eſt là le fruit.	Enfin par son amour sa vertu se détruit, Hl aime, il cherche à plaire, et c'en est là le fruit.
PLACHDIE.	PLACHDIE.
Et bien, juſques au bout pouſſez voſtre injuſtice, D’un forfait odieux declarez-moy complice, Prenez l’occaſion de vanger ſur mon ſang Le refus d’un hymen qui trahiſſoit mon rang;	Et bien, jusques au bout poussés votre injustice, D'un forfait odieux déclarés-moi complice, Prenez l'occasion de venger sur mon sang Le refus d'un hymen qui trahissait mon rang;
Quand j’auray par ma mort ſaoulé voſtre vangeance, D’Eucherius alors vous croirez l’innocence, Et ferez vanité de ne plus déguiſer, Que pour me perdre ſeule, on voulut l’accuſer.	Quand j'aurai par ma mort saoulé votre vengeance, D'Eucherius alors vous croirez l'innocence, Et ferez vanité de ne plus déguiser, Que pour me perdre seule, on voulut l'accuser.
1 LICON.	1 LICON.
Ah, Madame!	Ah, Madame!
quittez une erreur volontaire, – N’excuſez point un fils que deſadvouë un pere, Le ſang en la faveur auroit ſéduit ma voix, Mais contre mon devoir la Nature eſt ſans droitsVous voyez ſon forfait dans l’ardeur qui l'antme, En vous oſant aimer, il fit un premier crimie, Et ſon reſpect pour vous par ſon feu violé;	quittez une erreur volontaire, ôte N'excusez point un fils que désavoue un père, Le sang en la faveur aurait séduit ma voix, Mais contre mon devoir la Nature est sans droitsVous voyez son forfait dans l'ardeur qui l'ant, En vous osant aimer, il fit un premier crimie, Et son respect pour vous par son feu violé;
N’a pû dans un plus grand voir ſon cœur ébranté.	N'a pu dans un plus grand voir son cœur ébranté.
Hors l’objet qui le charme il n’a rien à connoiſtre, Pour gagner ſa Maiſtreſſe il veut perdre ſon Maiſtre, Et tient ſon attentat facile à pardonner, Si vous demandant grace il peut vous couronner.	Hors l'objet qui le charme il n'a rien à connaître, Pour gagner sa Maîtresse il veut perdre son Maître, Et tient son attentat facile à pardonner, Si vous demandant grâce il peut vous couronner.
THERMANTIE.	THÉRMANTIE.
Mais cependant, Seigneur, d’une lâche entrepriſe On ne peut trop pour vous redouter la ſurpriſe.	Mais cependant, Seigneur, d'une lâche entreprise On ne peut trop pour vous redouter la surprise.
Il faut pourvoir ſur l’heure à voltre ſeureté.	Il faut pourvoir sur l'heure à voltre sûreté.
LACIDIE.	LACIDIE.
Ouy, Madame, & punir qui l’aura merité.	Oui, Madame, et punir qui l'aura mérité.
Attendâut que du crime on ait que que lumiere, Dans mon appartement je me fais priſonniere.	Attendâut que du crime on ait que que lumière, Dans mon appartement je me fais prisonnière.
Preſte à répondre à tout, on m’y peutobſerrer.	Preste à répondre à tout, on m'y peutobserrer.
Elle ſort.	Elle sort.
L.	L.
ICOE.	ICOE.
O Sort, dont le caprice oſs trop m’élever!	Ô Sort, dont le caprice oss trop m'élever!
HONO R Va, ſi de ſa fureur quelque choſe eſt à craindre, Songe à m’en preſerver, & non pas à te plaindre, Donne ordre.	HONO RO Va, si de sa fureur quelque chose est à craindre, Songe à m'en préserver, et non pas à te plaindre, Donne ordre.
LICON.	LICON.
Moy, Seigneur?	Moy, Seigneur?
prendre quelque pouvoir Quand je deviens ſuſpect du crime le plus noir?	prendre quelque pouvoir Quand je deviens suspect du crime le plus noir?
Non, non, pour me cacher l’oprobre de ma race Je demande la mort par juſtice ou par grace, Et que vous m’épargniez la honte où je me voy D'avoir fait naiſtre un fils ſi peu digne de moy;	Non, non, pour me cacher l'oprobre de ma race Je demande la mort par justice ou par grâce, Et que vous m'épargniez la honte où je me vois D'avoir fait naître un fils si peu digne de moi;
Voudroit-on qu’en luy ſeul ſa lâcheté punie M'en laiſſaſt aprés luy traîner l’ignominie?	Voudrait-on qu'en Un seul sa lâcheté punie M'en laissât après lui traîner l'ignominie?
L’horreur m’en fait trembler, & voulant le trépas, Vous me puniriez trop de ne me punir pas.	L'horreur m'en fait trembler, et voulant le trépas, Vous me puniriez trop de ne me punir pas.
HONOIR IUIS.	HONOIR IUIS.
O devoir toûjours ferme, & vertu tropſevere!	Ô devoir toujours ferme, et vertu tropsevère!
Madame, prenez ſoin de conſoler un pere, C’eſt perdre trop de temps au peril où je ſuis.	Madame, prenez soin de consoler un père, C'est perdre trop de temps au péril où je suis.
THERMANTIE.	THÉRMANTIE.
Helas!	Hélas!
que peut une ame où regnent tant d’ennuis?	que peut une âme où règnent tant d'ennuis?
MUTIAN, bas à Stilicon.	MUTIAN, bas à Stilicon.
Seigneur, contre ce fils témoigner tant de haine?	Seigneur, contre ce fils témoigner tant de haine?
ILICON.	ILICON.
