A MONSIEUR DE BVSEROY	À MONSIEUR DE BUSEROY
Choiſiſſez mon amy de meil eures raiſons, Si vous voulez vous faire entendre, Cherchez un giſte ailleurs, & courez vous) rendre Ce se ſont point icy les petites maiſons.	Choisissez mon ami de meil eures raisons, Si vous voulez -vous faire entendre, Cherchez un gîte ailleurs, et courez -vous) rendre Ce se sont point ici les petites maisons.
CRISPIN.	CRISPIN.
Ie ne ſçay pas ſi i’ay quelque grain de folie, Mais vous en avez fait une fort accomplie, Et quiconque chez vous de gẽdre a pris le nom, Eſt un Fourbe, un Soicier, & peut-eſtre un Demon, poſſede à preſent võtre fille Iuute, Es par qui vous verrez un-jour voſtte uas De petits diablorins remplie.	Je ne sais pas si j'ai quelque grain de folie, Mais vous en avez fait une fort accomplie, Et quiconque chez vous de gendre a pris le nom, Est un Fourbe, un Soicier, et peut-être un Démon, possède à présent être fille Jute, Es par qui vous verrez un-jour vostteour De petits diablorins remplie.
GERONTE.	GÉRONTE.
Sçavez-vous bien Cauſeur que ſi ie vais la Ie pourray vous aprendre à parler d’autre ſo	Savez-vous bien Causeur que si tu vais la Je pourrai vous apprendre à parler d'autre so
CRISPIN.	CRISPIN.
Venez je vous attends venez faire fracas Nous verrons quides deux aura la gueule mor	Venez je vous attends venez faire fracas Nous verrons quides deux aura la gueule mór
GERONTE.	GÉRONTE.
Quel peut eſtre cet homme, il ne s’ebrnte La curioſité me porte De I'aller reconnoiſtre & chaſſer de ce pis De devant mon logis & d'aupres de ma pors Mais s’il a du deſſein il peut ayoir eſcorte Mon gendre ſuivez-moy vos chantr s'enu cas S’il veut faire du bruit nous prérerour forte.	Quel peut -être cet homme, il ne s'ebrnte La curiosité me porte De J'aller reconnaître et chasser de ce pis De devant mon logis et d'auprès de ma pors Mais s'il a du dessein il peut ayoir escorte Mon gendre suivez-moi vos chantr s'enu cas S'il veut faire du bruit nous prérerour forte.
CRISPIN.	CRISPIN.
A la fin de ſorcir ie les ay reſolus, Et nous allons dans peu voir des gels bleat mus	À la fin de sorcir ainsi les ai résolus, Et nous allons dans peu voir des gels bleat mus
SCENE XIII.	SCÈNE XIII.
GERONTE, ACASTE.	GÉRONTE, ACASTE.
DORINE CRISPIN, TVRLIN, IVLII Muſieiens.	DORINE CRISPIN, TURLIN, IULI Musiens.
GERONTE.	GÉRONTE.
Ve vois-je, deux Criſpins?	Ve vois-je, deux Crispins?
Que s ame eſt ſurpriſe?	Que s âme est surprise?
N’ay-je point fait une mepriſe?	N'ai-je point fait une méprise?
DORINE.	DORINE.
2 Pour eouoiſtre le vray mon œul n’eſt pas demiſe Mais en voulez-vous bien eroire mon jugement Laiſlez ce choix à voſtre fille.	2 Pour eouoistre le vrai mon œul n'est pas démise Mais en voulez-vous bien eroire mon jugement Laislez ce choix à votre fille.
Son amour en fera mieux le diſcernement.	Son amour en fera mieux le discernement.
GERONTE.	GÉRONTE.
Ie vois qu’on m’a ſurpris & que faire autrement Seroit ne vouloir pas l’honneur de ma famille, Donnez-moy donc le denaüement Dune aventure ſi gentille.	Je vois qu'on m'a surpris et que faire autrement Serait ne vouloir pas l'honneur de ma famille, Donnez-moi donc le denaüement Dune aventure si gentille.
IVLIE.	IVLIE.
Puiſque voſtre bonté ſe declare pour nous, Aucun des deux Criſpins ue reſtera jaloux Ceſt aux mains de Mouſieur à qui ma f'y dounée.	Puisque votre bonté se déclare pour nous, Aucun des deux Crispins ue restera jaloux Cest aux mains de Mousieur à qui ma s'y dounée.
M’enchaine ſous les loix d'un heureux himenée Vous voyant contraire à nos veux Noſtte amour nous a fait tout faire, Iuſqu’à nous gagner le Notaire lui malgre vos refus à ſçeu ſervir nos feux.	M'enchaine sous les lois d'un heureux hyménée Vous voyant contraire à nos veux Nôtte amour nous a fait tout faire, Jusqu'à nous gagner le Notaire lui malgré vos refus à su servir nos feux.
GERONTE.	GÉRONTE.
Comment donc?	Comment donc?
AGASTE.	AGASTE.
Ouy Monſieur tout eſt en bonne forme, Et nous ſommes certains de noſtre heur en ce jour, Contre voſtre deſir cette offenſe eſt énorme, Mais remettez-lá nous en faveur de l’amour, Ious vous en conjurons par toute la tendreſſe	Oui Monsieur tout est en bonne forme, Et nous sommes certains de notre heur en ce jour, Contre votre désir cette offense est énorme, Mais remettez-lore nous en faveur de l'amour, Jous vous en conjurons par toute la tendresse
GERONTE.	GÉRONTE.
evez-vous, j’y conſ ens.	évez-vous, j'y cons ens.
DORINE.	DORINE.
Allegreſſe, Allegreſſe.	Allegresse, Allegresse.
GERONTE.	GÉRONTE.
Mais qu’el eſt dont ecluy	Mais qu'el est dont eclui
CRISPIN C'eſt moy vieul affroutes C’eſt moy de qui le front vient de l'eſ eus, belle, Er qui doit à Vulcant uns belle chaedelle Ielvais m'en acquitier, la belle, ſerviteur Ie viendray vous revoir ſi j’ay beſoin d’une GÉRONTA	CRISPIN C'est moi vieul affroutes C'est moi de qui le front vient de l'es eus, belle, Er qui doit à Vulcant uns belle chaedelle Ielvais m'en acquitier, la belle, serviteur Je viendrai vous revoir si j'ai besoin d'une GÉRONTA
Cet autre quel eſt dit?	Cet autre quel est dit?
ACASTE.	ACACSTE.
Vn valetmis en maſgEt que ſi vous voulez Dorine épouſera	Un valetis en masgEt que si vous voulez Dorine épousera
GERONTE.	GÉRONTE.
Dorine qu'en dis tu ?	Dorine qu'en dis tu ?
DORINE.	DORINE.
Tout ce qu’il vousplan	Tout ce qu'il vousplan
GERONTE.	GÉRONTE.
Soit je veux qu’en ébar cette nuit ſoit fiuie, Et puiſque nous avons encor la ſimphonie, En faveur d'un Himen ſi propice à vos fa Faitennous de quelque air entendre laymontt	Soit je veux qu'en ébar cette nuit soit fivie, Et puisque nous avons encor la symphonie, En faveur d'un Hymen si propice à vos fa Faitennous de quelque air entendre laymont
ACASTE Nous allons reſpondre à vos veu Vn petit Opera ſur un ſujet ſemblable, Et que pat haza.	ACASTE Nous allons répondre à vos veu Un petit Opéra sur un sujet semblable, Et que pat hasa.
d nous ſçavons Et changeans ſeulement les nout Y deviendra fort convenable, Allons Meſſieurs appreſtez vous, Vn Muſieien.	d nous savons Et changeants seulement les nout Y deviendra fort convenable, Allons Messieurs apprêtez vous, Un Musieien.
Qu’allez vous chatet!	Qu'allez -vous chatet!
ACASTE, Qu'il eſt doux Aure que lemceecus	ACASTE, Qu'il est doux Ouvre que lemecus
ACASTE.	ACACSTE.
Quil eſt doux charmante Iulie;	Quil est doux charmante Julie;
De ne devoir qu’a la ſeule indutrie L'heureux ſuecez de ſes amours.	De ne devoir qu'a la seule indutrie L'heureux succès de ses amours.
IVLIE.	IVLIE.
Que noſtre attente Acaſte eſtidignement renlie Par la felicité qui va ſuivre nos jours.	Que notre attente Acaste estidignement renlie Par la félicité qui va suivre nos jours.
ACASTE.	ACACSTE.
Quelle nous a couté de ſoupirs & de pleurs	Quelle nous a couté de soupirs et de pleurs
ACASTE.	ACACSTE.
Ne ſongeons plus à nos maiheurs laniſons de nos cœurs la plainte & las alarmes Nons n’avont tant versé de larmes ne pour mieuz lavourer de ſigrande douceurs	Ne songeons plus à nos maiheurs lanisons de nos cœurs la plainte et las larmes Nons n'avont tant versé de larmes ne pour mieuz lavourer de sigrande douceurs
Abandonnons nous à la ioyeIe refuſons plus rien à nos tendres deſirs.	Abandonnons nous à la joieIe refusons plus rien à nos tendres désirs.
uiſque des maux cruels dont nous eſtions la proye Ious ſommes arriveZ au combles des plaiſins.	uisque des maux cruels dont nous étions la proie Ious sommes arrivés au combles des plaisins.
COEVR.	COUR.
Abandonnez vous à la ioyele refuſoz plus rien à vot tendres doſirs uiſque des maux cruols dont vous eſtiez la proyo.	Abandonnez -vous à la joiele refusoz plus rien à vot tendres dosirs uisque des maux cruols dont vous étiez la proyo.
s eſtes arivez au comble des pleſiri	 estes arivez au comble des plésiri
GERONTE ne peut rien de mieux & mon ame rayie M’euſt rendu de plaiſir muet Se je navois conceu ſeuvie.	GÉRONTE ne peut rien de mieux et mon âme rayie M'eût rendu de plaisir muet Se je navais conçu vie.
De voir ton frere & toy dauſet ce menuer Que chacun trouve ſi parfait	De voir ton frère et toi dauset ce menuer Que chacun trouve si parfait
IVLIE.	IVLIE.
A voſtre volonté la noſtre eſt aſſervie?	À votre volonté la vôtre est asservie?
Allous mon Frere il fant le rendre ſatusfaitt	Allous mon Frère il fant le rendre satusfait
{E1 M’euſt rendu de plaiſir muet Se je navois conceu ſeuvie.	{E1 M'eût rendu de plaisir muet Se je navais conçu vie.
De voir ton frere & toy dauſet ce menuer Que chacun trouve ſi parfait	De voir ton frère et toi dauset ce menuer Que chacun trouve si parfait
IVLIE.	IVLIE.
A voſtre volonté la noſtre eſt aſſervie?	À votre volonté la vôtre est asservie?
Allous mon Frere il fant le rendre ſatusfaitt	Allous mon Frère il fant le rendre satusfait
{E1	§É1
