M IIATERE 196S	M MIATERE 196S
Tirſis.	Tirsis.
Ton eſprit aysément des conſeils ſe propoſe, Pourueu qu'à les chercher ton vouloir te diſeſe	Ton esprit aisément des conseils se propose, Pourvu qu'à les chercher ton vouloir te dises
Daphné.	Daphné.
Or ſus je te diray ſans beaucoup de propos.	Or sus je te dirai sans beaucoup de propos.
Par quel moyen il peut procurer ſon repos, Ie vais auec Syluie à ce bain de Diane, De qui les douces eaux ſont à l’õbre d'vn Plane, Qui conuie à s’aſſeoir ſous ſon feüillage frais Les Nymphes que la Chaſſe a conduites aupres:	Par quel moyen il peut procurer son repos, Je vais avec Syluie à ce bain de Diane, De qui les douces eaux sont à l'onbre d'un Plane, Qui convie à s'asseoir sous son feuillage frais Les Nymphes que la Chasse a conduites auprès:
Elle doit donc bien toſt (c’eſt choſe tres-certaine) Lauer ſes membres nuds dedans cette fontaine.	Elle doit donc bien tôt (c'est chose très -certaine) Laver ses membres nus dedans cette fontaine.
Pour cela?	Pour cela?
Tirſis.	Tirsis.
Daphné.	Daphné.
Ponretta.	Ponretta.
faffer ce que je dy.	sasser ce que je dis.
Tirſis.	Tirsis.
Pentends, mais je ne ſçay s’il ſera ſi hardy.	Pentends, mais je ne sais s'il sera si hardi.
Daphné.	Daphné.
S’il ne l’eſt, qu’il demeure, & dis-luy qu’il attẽde Qu'elle l’aille chercher, ou qu'elle le demande.	S'il ne l'est, qu'il demeure, et dis-lui qu'il attende Qu'elle l'aille chercher, ou qu'elle le demande.
Tirſis.	Tirsis.
Certes Aminte eſt tel, qu’il le merite bien.	Certes Aminte est tel, qu'il le mérite bien.
Daphné.	Daphné.
Mais à ce coup, Tirſis, de toy ne dis tu rien?	Mais à ce coup, Tirsis, de toi ne dis -tu rien?
Ne veux tu point aymer?	Ne veux tu point aimer?
te voila jeune encore, Depuis peu ton menton de ce beau poil ſe dore, Veux-tu donc demeurer dans ce morne loiſir, Sans apprendre en aymant, ce que c'eſt de plaiſir?	te voilà jeune encore, Depuis peu ton menton de ce beau poil se dore, Veux-tu donc demeurer dans ce morne loisir, Sans apprendre en aimant, ce que c'est de plaisir?
Tirſis- Celuy ne quit te pas Venus ny ſes delices, Qui s’affranchit d’Amour, & qui fuit ſes ſupplices, Mais exempt de l’aigreur qu’on eſpreuue en aymant, Jl recueille d’Amour les douceurs ſeulement.	Tirsis- Lui ne quit te pas Venus ni ses délices, Qui s'affranchit d'Amour, et qui fuit ses supplices, Mais exempt de l'aigreur qu'on épreuve en aimant, Il recueille d'Amour les douceurs seulement.
Daphné.	Daphné.
Paues font tes cronceurs quetaigreut n'aſſaisõne, Et ne peuuent long-temps plaire au gouſt de perſonne.	Pavez font tes cronceurs quetaigreut n'assaisemne, Et ne peuvent longtemps plaire au goût de personne.
Tirſis.	Tirsis.
Il vaut mieux ſe ſaouler à la fin, que non pas Touſiours eſtre affamé, meſme apruterepas.	Il vaut mieux se saouler à la fin, que non pas Toujours être affamé, même apruterepas.
Daphné.	Daphné.
Non, ſi ce qu’on poſſede à l’aymer nous conuie, Et que plus on en gouſte, on en ait plus d’enuie.	Non, si ce qu'on possède à l'aimer nous convie, Et que plus on en goûte, on en ait plus d'envie.
Tirſis.	Tirsis.
Mais qui poſſede ainſi l'object de ſon plaiſir, Qu'il en puiſſe à toute heure aſſouuir ſon deſir?	Mais qui possède ainsi l'object de son plaisir, Qu'il en puisse à toute heure assouvir son désir?
Daphné.	Daphné.
Mais qui ſans le chercher d’estre heureux ſepropoſe?	Mais qui sans le chercher d'être heureux sproppose?
Tirſis.	Tirsis.
Il eſt bien dangereux de chercher vné choſe Qui lors qu'elle eſt treuuée, a de vray quelque appas, Mais qui nous geſne auſſi quand elle ne l'eſt pas:	Il est bien dangereux de chercher uné chose Qui lors qu'elle est trouvée, a de vrai quelque appas, Mais qui nous gêne aussi quand elle ne l'est pas:
Lors Amour reprendra Tirſis dedans ſon piege, Qunu le naura ny pieurs, ny fouſpirs en ſonIe n’ay pleure que trop, & que trop ſanglotté.	Lors Amour reprendra Tirsis dedans son piège, Qunu le naura toujours pieurs, ni fouspirs en sonIe n'ai pleure que trop, et que trop sanglotté.
Daphné.	Daphné.
Mais tu n’as pas aſſez de ſes plaiſirs gousté.	Mais tu n'as pas assez de ses plaisirs goûté.
Tirſis.	Tirsis.
Ils ne meritent pas non plus qu’on les ſouhaite, Puis que ſi cherement il faut qu’on les achete.	Ils ne méritent pas non plus qu'on les souhaite, Puis que si chèrement il faut qu'on les achète.
Daphné.	Daphné.
Daphné.	Daphné.
On de force, ou uegre, tu t'y viendras ranger.	On de force, ou égre, tu t'y viendras ranger.
Tirſis.	Tirsis.
Mais celuy qui ſe tient eſloigné du danger, On ne le ſçauroit pas, ce me ſemble, contraindre.	Mais celui qui se tient éloigné du danger, On ne le saurait pas, ce me semble, contraindre.
dapniies Qui ſe tient loin d’Amour?	dapniies Qui se tient loin d'Amour?
THIIS.	THIIS.
Qui peut fuyr & craindre.	Qui peut fuir et craindre.
Daphné.	Daphné.
Et que ſert de fuyr celuy qui ſçait voler?	Et que sert de fuir celui qui sait voler?
irſis.	irsis.
Amour naiſſant ne peut qu’auec peine estaller Son aiſle courte encor, qu’au vol il ne hazarde.	Amour naissant ne peut qu'avec peine étaller Son aisle courte encor, qu'au vol il ne hasarde.
Daphné.	Daphné.
Ouy, mais alors qu’il naiſt perſonne ny prend arde, Et quand on l’apperçoit;	Oui, mais alors qu'il naît personne ni prend arde, Et quand on l'aperçoit;
il eſt grand deſormais, Et ſçait deſia voler.	il est grand désormais, Et sçait déjà voler.
1	1
irſis.	irsis.
Qui ne le veid jamais, pren fant u jon nant de hay, tappreniiſſage.	Qui ne le vit jamais, pren fant u jon nant de haï, tappreniissage.
Daphné.	Daphné.
Nous verrons ſi Tirſis ſera touſiours ſi ſage:	Nous verrons si Tirsis sera toujours si sage:
Pour moy, puis qu’il fait tant du cheual échappé, Ie jure que s’il eſt vne fois attrappé, Ie ne l’ayderay pas pour toute ſa priere, Doupas, u nuurge,u mmot, a vn ſeul clin de paupiere.	Pour moi, puis qu'il fait tant du cheval échappé, Je jure que s'il est une fois attrapé, Je ne l'aiderai pas pour toute sa prière, Doupas, u nuvrge, mémot, a un seul clin de paupière.
Tirſis.	Tirsis.
Cruelle, aurois-tu bien le cœur de me voir mort?	Cruelle, aurais-tu bien le cœur de me voir mort?
Si tu veux donc que j'ayme, & bien j’en ſuis d’accord, Ie t’ayme, aymes-moy donc.	Si tu veux donc que j'aime, et bien j'en suis d'accord, Je t'aime, aime-moi donc.
Daphné.	Daphné.
Tu te gauſſes ſans ceſſe, Tu n'auras pas peut-estre vne telle maistreſſe, Ah!	Tu te gausses sans cesse, Tu n'auras pas peut-être une telle maîtresse, Ah!
ſi tu le ſçauois, combien des plus ruſez, Par l'eſclat d’vn teint vif ſe treuuent abuſeZ	si tu le savais, combien des plus rusez, Par l'éclat d'un teint vif se trouvent abuse
Tirſis.	Tirsis.
Ie ne gauſſe pas, non, mais toy par ces excuſes Ordinaires au ſexe, icy tu me refuſes:	Je ne gausse pas, non, mais toi par ces excuses Ordinaires au sexe, ici tu me refuses:
mui ſin nemt penx, je omray jans amour.	mui sin nemt penx, je omrai jans amour.
Daphné.	Daphné.
Tu fais icy paiſible, vn bienheureux séjour:	Tu fais ici paisible, un bienheureux séjour:
Tu vis, diſ-je, en repos, & l’amour enfant tendre Au milieu du repos, preſque touſiours s’engẽdre.	Tu vis, dis-je, en repos, et l'amour enfant tendre Au milieu du repos, presque toujours s'engendre.
Tirſis.	Tirsis.
O Daphné, c’eſt vn Dieu qui m’a fait ce loiſir, Vn qu’icy nous deuons pour noſtre Dieu choiſir, Dont les troupeaux nombreux couurent toute la plaine, Et tous les gras coſteaux qu’enuironne la Seine:	Ô Daphné, c'est un Dieu qui m'a fait ce loisir, Un qu'ici nous devons pour notre Dieu choisir, Dont les troupeaux nombreux couvrent toute la plaine, Et tous les gras costeaux qu'environne la Seine:
Dont le pouuoir s’eſtend de l'vne à l’autre mer, Et qui fait en tous lieux ſa bonté reclamer:	Dont le pouvoir s'étend de l'une à l'autre mer, Et qui fait en tous lieux sa bonté réclamer:
Ce grand Paſteur me dit, lors que fuyant le vice, Ie luy vins conſacrer mon fidelle ſeruice:	Ce grand Pasteur me dit, lors que fuyant le vice, Je te vins consacrer mon fidèle service:
Tirſis qu’autre que toy recule loin de nous Les importuns aſſauts des larrons & des loups, Qu’autre de mes brebis la maladie écarte, Qu'autre à mes ſeruiteurs les ſalaires départe, Et qu’autre à chacun d’eux aſſigne ſon trauail, Qu'autre ait le ſoin de paiſtre & penſer mon beſtail,	Tirsis qu'autre que toi recule loin de nous Les importuns assauts des larrons et des loups, Qu'autre de mes brebis la maladie écarte, Qu'autre à mes serviteurs les salaires départe, Et qu'autre à chacun d'eux assigne son travail, Qu'autre ait le soin de paître et penser mon bétail,
Qu'autre en prenne le lait, & les laines eh garde, Qu’autre à les meſnager cõme il faudra, regarde, Toy, chante maintenant que tu vis en repos:	Qu'autre en prenne le lait, et les laines eh garde, Qu'autre à les ménager comme il faudra, regarde, Toi, chante maintenant que tu vis en repos:
Ce deſir ſeroit donc conceu mal à propos, Qui viendroit occuper le loiſir qu’on me laiſſe, A me faire languir auprés d'vne maistreſſe, Au lieu de m'employer à chanter les ayeux Iuppiter, qu’Apollon, a tous deux il reſſemble, Et dans luy chacun d’eux également s’aſſemble.	Ce désir serait donc conçu mal à propos, Qui viendrait occuper le loisir qu'on me laisse, À me faire languir auprès d'une maîtresse, Au lieu de m'employer à chanter les aïeux Jupiter, qu'Apollon, a tous deux il ressemble, Et dansfois chacun d'eux également s'assemble.
Ayeux, dis-je, plus grands que Saturne, ou celuy Qui tint dedans le Ciel le ſceptre deuant luy:	Aïeux, dis-je, plus grands que Saturne, ou celui Qui tint dedans le Ciel le sceptre devant Seigneur:
Auſe rude, & champeſtre, & de voix enroüée, Et nonobstant cela de ton maistre loüée.	Ause rude, et champêtre, et de voix enroüée, Et nonobstant cela de ton maître louée.
Bien qu’il te faſſe accueil ſans l’auoir merité, Tu n’as pas toutesfois tant de temerité Que de le chanter luy, luy dõt les hauts miracles, Qu'à ſa natiuité promirent les oracles, Et dont pour la pluſpart ils ſe ſont acquitez, Jamais, comme il le faut, ne ſeront reſpectez Que par l’estonnement, & par la reuerence Qui nous tiennent rauis dans vn ſacré ſilence:	Bien qu'il te fasse accueil sans l'avoir mérité, Tu n'as pas toutefois tant de témérité Que de le chanter lui, lui donner quelque hauts miracles, Qu'à sa nativité promirent les oracles, Et dont pour la plupart ils se sont acquités, Jamais, comme il le faut, ne seront respectez Que par l'étonnement, et par la révérence Qui nous tiennent ravis dans un sacré silence:
Mais que touſiours l’encens qu’on doit aux immortels, Mais que touſiours mes fleurs parfument ſes autels, Et lors que de mon cœur pourront estre effacées, Par vn ingrat oubly ces deuotes pensées, Que le Cerfpaiſſe en l’air, que l’eau change ſoncohis, Et que.	Mais que toujours l'encens qu'on doit aux immortels, Mais que toujours mes fleurs parfument ses autels, Et lors que de mon cœur pourront être effacées, Par un ingrat oubli ces dévotes pensées, Que le Cerfaisse en l'air, que l'eau change soncohis, Et que.
Daphné.	Daphné.
Que tu vas haut, reuiens à nos diſcours.	Que tu vas haut, reviens à nos discours.
Tirſis.	Tirsis.
Le point giſt en cecy, qu’allant à la fontaine, Tu taſches d’attendrir cette belle inhumaine, A nostre poûre Aminte, en cecy ſon deuoir, Et le preſſer ſi fort qu'à la fin il y vienne, Ma peine ne ſera moindre icy que la tienne, Or va-t'en.	Le point gît en ceci, qu'allant à la fontaine, Tu tâches d'attendrir cette belle inhumaine, A te poûre Aminte, en ceci son devoir, Et le presser si fort qu'à la fin il y vienne, Ma peine ne sera moindre ici que la tienne, Or va-t'-en.
Daphné.	Daphné.
Je m’en vay, mais nos derniers diſcours Si tu t’en reſſouuiens, traitoient d’autres amours.	Je m'en vais, mais nos derniers discours Si tu t'en ressouviens, traitaient d'autres amours.
Tirſis.	Tirsis.
Si je diſcerne bien de loing ſa face bleſme, Voicy venir Aminte, il eſt vray, C’eſt luymeſme.	Si je discerne bien de loing sa face blême, Voici venir Aminte, il est vrai, C'est homme.
ACTE SECOND.	ACTE SECOND.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
AMINTE.	AMINTE.
TIRSIS.	TIRSIS.
MINTE.	MINTE.
E veux voir ſi Tirſis n’a pû rien ins uenter  Qui puiſſe aucunement mon deſir contenter, Et ſi mon mauuais ſort n’eſt point las de me ſuiure, Si l'arreſt de ma mort eſt eſorit ſur le cuiure, I'y conſents, & le veux moy-meſme executer:	E veux voir si Tirsis n'a pu rien ins uenter Qui puisse aucunement mon désir contenter, Et si mon mauvais sort n'est point las de me suivre, Si l'arrêt de ma mort est éorit sur le cuivre, J'y consents, et le veux moi-même exécuter:
Ouy, ſi le Ciel n'eſt las de me perſecuter, Ie fay deſſein d'aller treuuer mon inhumaine.	Oui, si le Ciel n'est las de me persécuter, Je fais dessein d'aller trouver mon inhumaine.
Pour ſaouler de mon ſang, & ſes yeux, & ſahayne:	Pour saouler de mon sang, et ses yeux, et sahaine:
Et certes ſi les coups qu’elle fit dans mon cœur Ont bien touſiours esté ſi doux à ſa rigueur, I'eſpere que celuy qui finira ma vie, Ne doit pas plaire moins à ſa cruelle enuie.	Et certes si les coups qu'elle fit dans mon cœur Ont bien toujours été si doux à sa rigueur, J'espère que celui qui finira ma vie, Ne doit pas plaire moins à sa cruelle envie.
Tirſis.	Tirsis.
Aminte prends courage, & rends grace à tonſort.	Aminte prends courage, et rends grâce à tonsort.
Aminte.	Aminte.
Las!	Las!
que m’annonçes-tu, le ſalut, ou la mort?	que m'annonçes-tu, le salut, ou la mort?
EH119.	EH119.
Le ſalut, ſi tu peux auoir tant d’aſſeurance Que d’aller au deuant.	Le salut, si tu peux avoir tant d'assurance Que d'aller au devant.
Aminte.	Aminte.
De quelle reſistance, Ou de quels ennemis faut-il venir à bout?	De quelle résistance, Ou de quels ennemis faut-il venir à bout?
Tirſis.	Tirsis.
Si dans le fonds d'vn bois enuironné par tout, Des ſommets eſleuez de mainte groſſe roche, Dõt cent Tigres affreux deffendißẽt l’approche, OnOnahoircapose tamanhejje, tron-in.	Si dans le fonds d'autre bois environné par tout, Des sommets élevez de mainte grosse roche, Dion cent Tigres affreux deffendissẽt l'approche, OnOnahoircapose tamanhejon, tron-in.
Aminte.	Aminte.
Hé!	Hé!
quel amant auroit le cœur tant abbatu Que de n’oſer aller a de telles conqueſtes?	quel amant aurait le cœur tant abattu Que de n'oser aller a de telles conquêtes?
Ouy j'irois, & plus gay qu’aux dances de nos festes.	Oui j'irais, et plus gai qu'aux dances de nos fêtes.
Tirſis.	Tirsis.
Li ſi queiques priģanus t'entenoient vn matin, Irois-tu de leurs mains arracher ce butin?	Li si queiques prianus t'entenaient un matin, Irais-tu de leurs mains arracher ce butin?
Aminte.	Aminte.
l'irois plus prompt qu'vn Cerf ne court à la fontaine.	l'irais plus prompt qu'un Cerf ne court à la fontaine.
EIELIaS.	EIELIaS.
Cette preuue n’eſt point encore aſſez certaine, Ou l’amour eſt plus grande, il faut bien plus oſer.	Cette preuve n'est point encore assez certaine, Ou l'amour est plus grande, il faut bien plus oser.
Aminte.	Aminte.
Pour elle, je voudrois aux Torrens m’expoſer, Quand la neige fonduë aux ſommets des montagnes, Les roule impetueux au trauers des campagnes:	Pour elle, je voudrais aux Torrents m'exposer, Quand la neige fonduë aux sommets des montagnes, Les roule impétueux au travers des campagnes:
Par le milieu des feux je l’irois ſecourir, Du plus creux des Enfers je l’irois requerir, Au moins ſi l’on pouuoit donner ce nom funeste, Au lieu qui retiendroit cette beauté celeſte, Mais je te prie, amy, parle plus clairement.	Par le milieu des feux je l'irais secourir, Du plus creux des Enfers je l'irais requérir, Au moins si l'on pouvait donner ce nom funeste, Au lieu qui retiendrait cette beauté celeste, Mais je te prie, ami, parle plus clairement.
Tirſis.	Tirsis.
Orſus eſcoute donc.	Orsus écoute donc.
ATEILIICC.	ATEILIICC.
Deſpeſche viſtement.	Despèche vitement.
Tirſis.	Tirsis.
Syluie au bain t’attend, & ſeule, & toute nuë.	Syluie au bond t'attend, et seule, et toute nue.
Seras-tu maintenant d’humeur ſi retenuë Que tu n’oſes aller y noyer tes ſoucis?	Seras-tu maintenant d'humeur si retenue Que tu n'oses aller y noyer tes soucis?
Aminte.	Aminte.
To que me an iu ia, que me an-iu Pirſis?	To que me an ju ja, que me an-ju Pirsis?
Qu'exorable à ce point elle ſoit deuenuë?	Qu'exorable à ce point elle soit devenue?
Syluie attend Aminte, & ſeule, & toute nuë?	Syluie attend Aminte, et seule, et toute nue?
Tirſis.	Tirsis.
Seule, ſi ſa Daphné n’estoit à ſon costé, Qui n'a pour tout deſſein que noſtre volonté.	Seule, si sa Daphné n'était à son côté, Qui n'a pour tout dessein que nôtre volonté.
Aminte.	Aminte.
Toute nuë elle attend Aminte?	Toute nue elle attend Aminte?
Tirſis.	Tirsis.
Toute nuë:	Toute nue:
Mais.	Mais.
Aminte.	Aminte.
Quel mais?	Quel mais?
tu te tais, ne crains point, Ah tu me fais mourir.	tu te tais, ne crains point, Ah tu me fais mourir.
continüe,	continue,
Tirſis.	Tirsis.
Mrai eue ne ſçaut point Que tu doibues aller la treuuer en ce point.	Mrai eue ne saut point Que tu doibues aller la trouver en ce point.
Aminte.	Aminte.
Dure concluſion qui rend toute effacée La premnerouuubun qui flattoit ma pensée:	Dure conclusion qui rend toute effacée La premnerouuubun qui flattait ma pensée:
Mais de quel art, cruel, accrois-tu ma douleur?	Mais de quel art, cruel, accrois-tu ma douleur?
Las ne treuues-tu pas aſſez grand mon malheur?	Las ne trouves-tu pas assez grand mon malheur?
Tirſis.	Tirsis.
Si tu ſuis le conſeil qu’à preſent je te donne, Tu deuiendras bien-toſt plus heureux que perſonne.	Si tu suis le conseil qu'à présent je te donne, Tu bientôt bien-tôt plus heureux que personne.
Et comment?	Et comment?
Aminte.	Aminte.
Tirſis.	Tirsis.
Si tu prends ce que les Cieux amis Aton affection maintenant ont permis.	Si tu prends ce que les Cieux amis Aton affection maintenant ont permis.
Aminte.	Aminte.
Ie me garderay bien durant toute ma vie D'eſtre jamais contraire au vouloir de Syluie, Jamais je ne fey rien que ce qu'elle voulut, Ie n’entrepris jamais choſe qui luy déplût, Si ce n’eſt de l’aymer, & ſi j’eu pour complices Les attraits de ſes yeux, dont les douces malices Iettant dedans mon cœur l’agreable poiſon Qui charma tous mes ſens, & tua ma raiſon Me rendirent auſſi ce peché neceſſaire:	Je me garderai bien durant toute ma vie D'être jamais contraire au vouloir de Syluie, Jamais je ne fey rien que ce qu'elle voulut, Je n'entrepris jamais chose qui lui déplût, Si ce n'est de l'aimer, et si j'eu pour complices Les attraits de ses yeux, dont les douces malices Jettant dedans mon cœur l'agréable poison Qui charma tous mes sens, et tua ma raison Me rendirent aussi ce peché nécessaire:
Du reste, j’ay touſiours taſché de luy complaire.	Du reste, j'ai toujours tâché de notre complaire.
Tirſis.	Tirsis.
mais Or reſponds maintenant, & prends que deſorIl fut en ton pouuoir de ne l’aymer jamais, Lairrois-tu de l’aymer à fin de luy complaire?	mais Or réponds maintenant, et prends que désorIl fut en ton pouvoir de ne l'aimer jamais, Lairrais-tu de l'aimer à fin de deux complaire?
Aminte.	Aminte.
Icy, Tirſis, lAmour me contrainct de me taire, Et ne me permet pas ſeulement de penſer, Quand bien je le pourrois, à jaman ta laiſſer.	Ici, Tirsis, lAmour me contraint de me taire, Et ne me permet pas seulement de penser, Quand bien je le pourrais, à jaman ta laisser.
Tirſis.	Tirsis.
Donc pouuant l’effacer de ce cœur qui l’adore, En deſpit qu’elle en eut, tu l’aymerois encore?	Donc pouvant l'effacer de ce cœur qui l'adore, En dépit qu'elle en eut, tu l'aimerais encore?
Aminte.	Aminte.
En deſpit qu'elle en eut, non, mais je l’aymerois.	En dépit qu'elle en eut, non, mais je l'aimerais.
Tirſis.	Tirsis.
Donc outre ſon vouloir?	Donc outre son vouloir?
Aminte.	Aminte.
Certes je le ferois.	Certes je le ferais.
Tirſis.	Tirsis.
Pourquoy n’oſes-tu donc outre ſon vouloir prendre Ce qui bien que d’abord tu le voyes deffendre, Alors qu'elle verra que tu l’auras rauy De ſon conſentement enfin ſera ſuiuy?	Pourquoi n'oses-tu donc outre son vouloir prendre Ce qui bien que d'abord tu le voies défendre, Alors qu'elle verra que tu l'auras ravi De son consentement enfin sera suivi?
Aminte.	Aminte.
Ha!	Ha!
Tirſis, que l'Amour luy-meſme te reſpõde, Ma ſcience en amour n'eſt pas aſſeZ profonde, Ie ſens bien qu’à preſent cét abſolu vainqueur Murmure quelque choſe au milieu de mon cœur, De vouloir dire quoy, ce me ſeroit folie, Jl me lia le cœur, & la langue il me lie.	Tirs, que l'Amour lui-même te répond, Ma science en amour n'est pas assez profonde, Je sens bien qu'à présent cet absolu vainqueur Murmure quelque chose au milieu de mon cœur, De vouloir dire quoi, ce me serait folie, Ce me lia le cœur, et la langue il me lie.
Tirſis.	Tirsis.
Veux-tu donc pas aller?	Veux-tu donc pas aller?
Aminte.	Aminte.
Je le veux, mais non pas Ou tu crois me conduire.	Je le veux, mais non pas Ou tu crois me conduire.
Tirſis.	Tirsis.
Ou doncques?	Ou donc?
Aminte.	Aminte.
Au treſpas, o'ieſt vray que pour moy tu n’as fait autre, choſe.	Au trépas, o'iest vrai que pour moi tu n'as fait autre, chose.
Tirſis.	Tirsis.
Quoy n’eſtimes-tu rien ce que je te propoſe?	Quoi n'estimes-tu rien ce que je te propose?
Crois-tu donc que Daphné nous voulut deceuoir?	Crois-tu donc que Daphné nous voulut décevoir?
Et que ſans ſoupçonner, ou meſme apperçeuoir Quelque grand changement dans le cœur de tadame, Elle trahit ainſi ſon honneur, & ta flame?	Et que sans soupçonner, ou même apercevoir Quelque grand changement dans le cœur de tadame, Elle trahit ainsi son honneur, et ta flamme?
Et peut-estre Daphné ſçait bien qu’elle t’attend.	Et peut-être Daphné sais bien qu'elle t'attend.
Et ne deſire pas qu’on le ſçache pourtant, Or d’en vouloir tirer vne preuue ſi claire, N'est-ce pas rechercher ce qui luy doit deſplaire.	Et ne désire pas qu'on le sache pourtant, Or d'en vouloir tirer une preuve si claire, N'est-ce pas rechercher ce qui lui doit déplaire.
Ou donc eſt ce deſir de luy plaire touſiours?	Ou donc est ce désir de lui plaire toujours?
Et ſi c’eſt ſon vouloir que tes longues amours, Dans cét heureux larcin treuuent la recompenſe Que d’offrir autrement, la honte la diſpenſe, T'importe-t’il comment t’arriue ce loyer?	Et si c'est son vouloir que tes longues amours, Dans cet heureux larcin trouvent la récompense Que d'offrir autrement, la honte la dispense, T'importe-t-il comment t'arrive ce loyer?
s lilinneee Qui me dit qu'elle veüille ainſi me l’octroyer?	s' lilinneee Qui me dit qu'elle veuille ainsi me l'octroyer?
Tirſis.	Tirsis.
Simple!	Simple!
tu veux ſçauoir ce qui luy doit deſplaire, Mais d’autre part auſſi qui te dit le contraire?	tu veux sçauoir ce qui lui doit déplaire, Mais d'autre part aussi qui te dit le contraire?
Or ſi tu n’y vas pas, cecy n’eſtant point faux, Le doute & le hazard ne ſont-ils pas égaux?	Or si tu n'y vas pas, ceci n'étant point faux, Le doute et le hasard ne sont-ils pas égaux?
Donc puis qu’il faut mourir, vaut-il pas mieux qu’on ſçache Que tu mourus hardy, que comme vn homme lâche?	Donc puis qu'il faut mourir, vaut-il pas mieux qu'on sache Que tu mourus hardi, que comme un homme lâche?
Tu te tais, j’ay vaincu, maintenant dõc permets Que ma victoire ſoit la tienne deſormais, Et te faſſe obtenn quepalme plus grande.	Tu te tais, j'ai vaincu, maintenant do permets Que ma victoire soit la tienne désormais, Et te fasse obtenn quepalme plus grande.
Allons doncques.	Allons donc.
Aminte.	Aminte.
Atten.	Atten.
Tirſis.	Tirsis.
Que veux-tu que j’attende?	Que veux-tu que j'attende?
Vois-tu pas que le temps s’écoule cependant, Et que l’occaſion ſe perd en le perdant?	Vois-tu pas que le temps s'écoule cependant, Et que l'occasion se perd en le perdant?
Aminte.	Aminte.
Penſons premierement ſi cela ſe doit faire, Et comment il faudra conduire cette affaire.	Pensons premièrement si cela se doit faire, Et comment il faudra conduire cette affaire.
Tirſis.	Tirsis.
Nous penſerons aſſez en chemin ſur ce fait, Peſer trop vne choſe, en empeſche l’effect.	Nous penserons assez en chemin sur ce fait, Peser trop chose, en empêche l'effet.
CHOEVR.	CHOEUR.
CHOEVR	CHOEUR
Mee Mour en quelle eſcole apprend-onl’art d’amour?	Me Mour en quelle école apprend-onl'art d'amour?
Quel maistre nous enſeigne à deſployer au jour Les diuines merueilles Que de ſi longues veilles Découurent à nos yeux Lors que nostre eſprit vole auec ton aiſle aux (Cieux?	Quel maître nous enseigne à déployer au jour Les divines merveilles Que de si longues veilles Découvrent à nos yeux Lors que notre esprit vole avec ton aisle aux (Cieux?
Athenes dans cét art n’eſt point aſſez versée Pour en faire leçon dans ſon ſçauant Lycée, Et c’eſt meſme vn abu De croire que Phœbus Ny ſa docte Neufuaine, 8 Poſſedẽt de cét art riẽ plus qu'vne ombre vaine.	Athène dans cet art n'est point assez versée Pour en faire leçon dans son sçauant Lycée, Et c'est même un abu De croire que Phœbus Ni sa docte Neufaine, 8 Possédent de cet art riq plus qu'une ombre vaine.
Si deſſus l'Helicon ils parlent de ce Dieu, Comme en diſcourẽt ceux qui viẽnent de ce lieu, La froideur de leurs ames Ne conçoit point de flames Qui les puiſſent hauſſer A l'égal de tes faits, ſeulement du penſer.	Si dessus l'Hélicon ils parlent de ce Dieu, Comme en discourêt ceux qui viennent de ce lieu, La froideur de leurs âmes Ne conçoit point de flammes Qui les puissent hausser A l'égal de tes faits, seulement du penser.
De ſoy-meſme l'Amour eſt le ſeul digne maiſtre, Par ſoy-meſme luy ſeul ſe peut faire connestre, Par luy ſeul ont appris Les plus rudes eſprits A lire les mysteres Que dans les yeux d’autruy grauẽt ſes characteC’eſt luy dont le pouuoir deſſerre les liens (res.	De soi-même l'Amour est le seul digne maître, Par soi-même était seul se peut faire connaître, Par lui seul ont appris Les plus rudes esprits A lire les mystères Que dans les yeux d'autrui gravent ses charactteC'este luy dont le pouvoir desserre les liens (res.
Qui dõnoient quelque obſtacle à la lãgue des ſiẽs, Afin que la faconde Dont apres elle abonde, Fléchiſſe la fierté Qui refuſe vn loyer à leurfidelité.	Qui dõnoient quelque obstacle à la langue des siẽs, Afin que la faconde Dont après elle abonde, Fléchisse la fierté Qui refuse un loyer à leurfidélité.
Et meſmes bien ſouuent, ô nouuelle éloquence!	Et mêmes bien souvent, ô nouuelle éloquence!
Quand vn parler confus interrompt ſa ſcience, Le cœur qui ſçait aymer Semble mieux s’exprimer Et s’ouurir dauantage Qu'il ne pourroit pas faire auec vn bon langage.	Quand un parler confus interrompt sa science, Le cœur qui crait aimer Semble mieux s'exprimer Et s'ouvrir davantage Qu'il ne pourrait pas faire avec un bon langage.
Et le ſilence encore à bien autant de poids Que ſçauroient en auoir la priere & la voix:	Et le silence encore à bien autant de poids Que sauraient en avoir la prière et la voix:
Qu'vn autre donc ſe flate D’entendre bien Socrate, S’il croit qu’il monſtre mieux, Quãt à moy j’apprendray cét art en deux beaux yeux.	Qu'un autre donc se flatte D'entendre bien Socrate, S'il croit qu'il montre mieux, Quant à moi j'apprendrai cet art en deux beaux yeux.
Et ſi je ne crains point la main la plus ſçauante, Et dont le vers fameux les ſimples eſpouuante, Car je ſuis trop certain Que ſon ſtile hautain Doit ceder à la rime, Que d'vne tude mam ſur l’eſcorce j’imprime.	Et si je ne crains point la main la plus sçauante, Et dont le vers fameux les simples épouvante, Car je suis trop certain Que son style hautain Doit céder à la rime, Que d'une tude mam sur l'écorce j'imprime.
