SUJET GENERAL DES PYGMEES.	SUJET GÉNÉRAL DES PYGMÉS.
Les biens les plus charmãs perdent tous leurs appas, Du moment qu’ils ne plaiſent pas.	Les biens les plus charmands perdent tous leurs appas, Du moment qu'ils ne plaisent pas.
Si le Roy parle d’établir des jeux & des feſtes, c’eſt, ſur tout, pour y honorer le Monarque Dieu des François, & pour luy rendre grace de la glorieuſe protection, dont les Pygmées luy ſont redevables.	Si le Roi parle d'établir des jeux et des fêtes, c'est, sur tout, pour y honorer le Monarque Dieu des Français, et pour lui rendre grâce de la glorieuse protection, dont les Pygmées lui sont redevables.
Les Princes & les Princeſſes applaudiſſent ces nobles ſentimens.	Les Princes et les Princesses applaudissent ces nobles sentiments.
Mercure paroiſt en l’air, & leur témoigne que les Dieux les approuvent.	Mercure paraît en l'air, et leur témoigne que les Dieux les approuvent.
Voicy comme il s’explique.	Voici comme il s'explique.
DISCOURS DE MERCURE.	DISCOURS DE MERCURE.
Les Dieux viennent de tout entendre, Et je vous declare pour eux, Qu'ils ne prendront jamais pour une offence, Que vous inſtituiez, des feſtes & des jeux En l'honneur du Dieu?	Les Dieux viennent de tout entendre, Et je vous déclare pour eux, Qu'ils ne prendront jamais pour une offense, Que vous instituiez, des fêtes et des jeux En l'honneur du Dieu?
de la France;	de la France;
Que vous poußiez vers luy des vœux;	Que vous pouviez vers lui des vœux;
Et que vous l’adorieZ dan uet Fomptes fameux.	Et que vous l'adoriez dan uet Fomptes fameux.
Le Soleil traverſant le Ciel ſur ſon char, qu’il conduit en demi-cercle, le déclare en ſon particulier, avec des termes trés-obligeans.	Le Soleil traversant le Ciel sur son char, qu'il conduit en demi-cercle, le déclare en son particulier, avec des termes très-obligeans.
Ce ſont ceux qui ſuivent.	Ce sont ceux qui suivent.
DISCOURS DU SOLEIL.	DISCOURS DU SOLEIL.
Quant à moy, je luy céde en tout la préference;	Quant à moi, je croit cède en tout la préférence;
Et ſi les nuits, außi-bien que les jours, Ne ſervoient pas à ſon ardeur guerriere,	Et si les nuits, aussi-bien que les jours, Ne servaient pas à son ardeur guerrière,
D ij Dans le milieu de ma carriere, Souvent pour luy j’arreſterois mon cours.	 Déjà le milieu de ma carrière, Souvent pour lui j'arrêterais mon cours.
Le Soleil eſtant diſparu, Mercure recommence à parler de la ſorte.	Le Soleil étant disparu, Mercure recommence à parler de la sorte.
AUTRE DISCOURS DE MERCURE.	AUTRE DISCOURS DE MERCURE.
Quoy que de ma nature, Je ſois un peu fourbe & menteur, Le Soleil qui ne fût jamais un impoſteur, Fait voir que mon diſcours eſt la verité pure.	Quoi que de ma nature, Je sois un peu fourbe et menteur, Le Soleil qui ne fût jamais un imposteur, Fait voir que mon discours est la vérité pure.
Mars croit qu’il eſt de ſon devoir de faire la meſme choſe.	Mars croit qu'il est de son devoir de faire la même chose.
Il ſort du fonds de la Gloire, ſur ſon char, qu’il fait deſcendre à trois pieds de terre, & s’en acquite de fort bonne grace.	Il sort du fonds de la Gloire, sur son char, qu'il fait descendre à trois pieds de terre, et s'en acquite de fort bonne grâce.
Aprés quoy il remonte aux Cieux, vers le cintre, avec une telle rapidité, que la veuë a peine à la diſcerner.	Après quoi il remonte aux Cieux, vers le cintre, avec une telle rapidité, que la vue a peine à la discerner.
Jugez ſi Mars n’eſt pas pour le moins autant éloquent, qu’il eſt brave;	Jugez si Mars n'est pas pour le moins autant éloquent, qu'il est brave;
& conſultez pour cela les termes ſuivans, dont il ſe ſert.	et consultez pour cela les termes suivants, dont il se sert.
DISCOURS DE MARS.	DISCOURS DE MARS.
Moy pareillement je l’aßûre;	Moi pareillement je l'assure;
C’eſt bien à ma confuſion, Et je ſuis garant que Mercure Dit vray dans cette occaſion.	C'est bien à ma confusion, Et je suis garant que Mercure Dit vrai dans cette occasion.
Il peut encor plus dire;	Il peut encor plus dire;
Meſme, il en a permißion.	Même, il en a permission.
La France eſt à préſent un ſi célebre Empire, Que mes Co-éternels, s’il eſtoit queſtion De l'échanger ( par ſuppoſition) Contre leur ſejour qu’on admire, Ils recevroient bien-toſt la propoſition, T ſouſcrivãt, ſans doute, ils n’auroient pas du pire;	La France est à présent un si célèbre Empire, Que mes Co-éternels, s'il était question De l'échanger ( par supposition) Contre leur séjour qu'on admire, Ils recevraient bientôt la proposition, T souscrivãt, sans doute, ils n'auraient pas du pire;
Pour moy, je ne dirois pas non:	Pour moi, je ne dirais pas non:
Je me contenterois à moins ( l’oſay-je dire?	Je me contenterais à moins ( l'osai-je dire?
Je me contenterois de porter le grand nom Du Monarque Divin, qui.	Je me contenterais de porter le grand nom Du Monarque Divin, qui.
mais je me retire.	mais je me retire.
Mercure diſparoiſt au meſme inſtant que Mars, luy coupant chemin, par un vol hemi-ſphérique, tout contraire à celuy du Soleil.	Mercure disparaît au même instant que Mars, lui coupant chemin, par un vol hemi-sphérique, tout contraire à celui du Soleil.
Toute la Cour ſe retire pour aller joüir des plaiſirs qui luy ſont préparez.	Toute la Cour se retire pour aller jouir des plaisirs qui lui sont préparés.
Deux partis, l’un de Vignerons & l’autre de Bergers, font voir la part qu’ils prennent à la joye publique.	Deux partis, l'un de Vignerons et l'autre de Bergers, font voir la part qu'ils prennent à la joie publique.
Un des premiers chante ce qui ſuit.	Un des premiers chante ce qui suit.
CHANSON DES VIGNERONS.	CHANSON DES VIGNERONS.
ompagnons, guerre, guerre, guerre Contre l’amour & le chagrin;	ompagnons, guerre, guerre, guerre Contre l'amour et le chagrin;
Armons-nous du pot & du verre, Bachus conduit nôtre deſtin.	Armons-nous du pot et du verre, Bachus conduit notre destin.
Si quelque ſoin nous preſſe Dans ce combat divin, C’eſt qu’on tire ſans ceſſe Par tout des coups de vin.	Si quelque soin nous presse Dans ce combat divin, C'est qu'on tire sans cesse Par tout des coups de vin.
Les Vignerons dancent enſuite.	Les Vignerons dancent ensuite.
Le meſme chante ce ſecond couplet.	Le même chante ce second couplet.
SECOND GOOIEHI DA HI CHIANSON	SECOND GOIEHI DA HI CHIANSON
DES VIGNERONS.	DES VIGNERONS.
Combattons tous avec audace, Et cédons au nombre des coups;	Combattons tous avec audace, Et cédons au nombre des coups;
Il nous faut reſter ſur la place, Et demain nous revivrons tous:	Il nous faut rester sur la place, Et demain nous revivrons tous:
Quand il s’agit de boire, Les loix du Dieu Bachus Ne donnent la victoire Qu'à ceux qui ſont vaincus.	Quand il s'agit de boire, Les lois du Dieu Bachus Ne donnent la victoire Qu'à ceux qui sont vaincus.
Une lumiere toute ſurprenante, que la veuë ne peut preſque ſupporter, oblige le Roy & toute la Cour d’interrompre cette réjoüiſſance, pour chercher la cauſe de cette merveille.	Une lumière toute surprenante, que la vue ne peut presque supporter, oblige le Roi et toute la Cour d'interrompre cette réjouissance, pour chercher la cause de cette merveille.
Jupiter aſſis ſur ſon Trône, dans un ciel tout brillant de gloire, au milieu de tous les Dieux, la luy fait bien-toſt connoître, & luy confirme ce que Mereure luy a témoigné de leur part.	Jupiter assis sur son Trône, dans un ciel tout brillant de gloire, au milieu de tous les Dieux, la sens fait bientôt connaître, et lui confirme ce que Mère te a témoigné de leur part.
C’eſt ainſi qu’il en parle.	C'est ainsi qu'il en parle.
DISCOURS DE JUPITER.	DISCOURS DE JUPITER.
Tu vois au milieu de ſes Dieux Le Maître du Tonnerre.	Tu vois au milieu de ses Dieux Le Maître du Tonnerre.
Ils te confirment par ma voix, Ce que Mercure a dû te faire entendre Au ſujet du Dieu des François.	Ils te confirment par ma voix, Ce que Mercure a dû te faire entendre Au sujet du Dieu des Français.
Le Ciel prendroit le party qu’il faut prendre S’il ſe ſoûmettotr u jes tort.	Le Ciel prendrait le parti qu'il faut prendre S'il se soumettotr tort.
Ppies, Nous vous ſçaurons bon gré de luy bâtir des TemEt dans nos cœurs, au moins, nous ſuivrons vos exemples.	Ppies, Nous vous saurons bon gré de lui bâtir des TemEt dans nos cœurs, au moins, nous suivrons vos exemples.
N'ayeZ point de plus chers deſirs, Que de ſervir, tantoſt à ſes plaiſirs, Et tantoſt à chanter ſa gloire:	N'ayeZ point de plus chers désirs, Que de servir, tantôt à ses plaisirs, Et tantôt à chanter sa gloire:
Nous en ferons de meſme, & vous le devez croire.	Nous en serons de même, et vous le devez croire.
Que dans tout l’Univers, Et ſur la Terre, & dans les Airs, Cette nouvelle ſoit ſemée Par Mercure & la Renommée.	Que dans tout l'Univers, Et sur la Terre, et dans les Airs, Cette nouvelle soit semée Par Mercure et la Renommée.
Ces deux Divinitez obeïſſent incontinent à ſes ordres.	Ces deux Divinités obéissent incontinent à ses ordres.
Elles s’élancent, pour cét effet, du Ciel en terre;	Elles s'élancent, pour cet effet, du Ciel en terre;
s’élevent enſuite en l’air, formant un demy-rond, à l’oppoſite l’un de l’autre, & prennent enfin leur route, coſte à coſte, vers le Cintre, où elles ſe dérobent aux yeux des Spectateurs.	s'élevent ensuite en l'air, formant un demi-rond, à l'opposite l'un de l'autre, et prennent enfin leur route, côte à côte, vers le Cintre, où elles se dérobent aux yeux des Spectateurs.
Les Vignerons & les Bergers que la preſence du Roy & de la Coul avoit troublez dans leurs plaiſirs, recommencent leurs Jeux & leurs Chanſons, pour achever la réjoüiſſance publique & les divertiſſemens de la Piece.	Les Vignerons et les Bergers que la présence du Roi et de la Coul avait troublés dans leurs plaisirs, recommencent leurs Jeux et leurs Chansons, pour achever la réjouissance publique et les divertissements de la Pièce.
CHANSON DES VIGNERONS.	CHANSON DES VIGNERONS.
Heureux qui peut ſuivre Le Dieu des Tonneaux!	Heureux qui peut suivre Le Dieu des Tonneaux!
Le Vin ſeul nous livre Les biens ſans les maux.	Le Vin seul nous livre Les biens sans les maux.
Le plus doux Empire, Bachus, c’eſt le tien;	Le plus doux Empire, Bachus, c'est le tien;
Si l’on y ſoûpire, C’eſt d’eſtre trop bien.	Si l'on y soupire, C'est d'être trop bien.
Les Bergers jaloux des intereſts de leur Dieu, font chanter ſur le meſme air des Vignerons les paroles luivantes a la gloire de l’Amour.	Les Bergers jaloux des intérêts de leur Dieu, font chanter sur le même air des Vignerons les paroles luivantes à la gloire de l'Amour.
SECOND COUPLET CHANTE' PAR UN des Bergers ſur l’air des Vignerons.	SECOND COUPLET CHANTE PAR UN des Bergers sur l'air des Vignerons.
Soyons ſous les armes Du Dieu des amours;	Soyons sous les armes Du Dieu des amours;
Parlons de ſes charmes, Penſons-y toüjours:	Parlons de ses charmes, Pensons-y tendre:
Ainſi nôtre vie Dans tous ſes momens Se verra remplie De plaiſirs charmans.	Ainsi notre vie Dans tous ses moments Se verra remplie De plaisirs charmants.
Leuis agreables debats le teriiſient enfin par un heureux accord.	Levis agréables débats le teriisient enfin par un heureux accord.
Ces paroles qu’ils chantent d’un & d’autre party, en r’enferment les articles & les raiſons inconteſtables.	Ces paroles qu'ils chantent d'un et d'autre parti, en renferment les articles et les raisons incontestables.
TROISIESME COUPLET CHANTE' PAR LES Bergers & les Vignerons enſemble.	TROISIÈME COUPLET CHANTE PAR LES Bergers et les Vignerons ensemble.
Bachus ſur la terre Fût bien amoureux;	Bachus sur la terre Fût bien amoureux;
L’Amour & ſa Mere Boivent dans les Cieux:	L'Amour et sa Mère Boivent dans les Cieux:
Voulons-nous nous faire Un ſort plus heureux?	Voulons-nous nous faire Un sort plus heureux?
Ceſſons nôtre guerre, Et faiſons comme eux.	Cessons notre guerre, Et faisons comme eux.
L’entrée de Balet qu’ils dancent tous enſemble, eſt l’agrément qu’ils y donnent.	L'entrée de Ballet qu'ils dancent tous ensemble, est l'agrément qu'ils y donnent.
Fin du cinquiéme Acte	Fin du cinquième Acte
