Iouxte la copie Imgrlede	Jette la copie Imgrède
Ie vous dis encoré vne fois que le mariage eſt vne chaiſne à laquelle on doit porter toute ſorte de reſpect, & que c’eſt fort mal fait à vous d’en vſer comme vous faites:	Je vous dis encoré une fois que le mariage est une chaîne à laquelle on doit porter toute sorte de respect, et que c'est fort mal fait à vous d'en user comme vous faites:
Cuy, ouy, mal fait à vous, & vous n’auez que faire de hocher la teſte, & de me faire la grimace.	Cuy, oui, mal fait à vous, et vous n'avez que faire de hocher la tête, et de me faire la grimace.
ANGELIQVE Moy?	ANGELIQUE Moi?
ie ne ſçay ce que vous me voulez dires	Ne ne sais ce que vous me voulez dires
G.	G.
DANDIN Ie le ſçay fort bien moy, & vos mépris me ſont connus:	DANDIN Je le sais fort bien moi, et vos mépris me sont connus:
Si ie ne ſuis pas né noble, au moins ſuis-je d’vne race où il n’y a point de reprocne & la famille des Dandins.	Si ici ne suis pas né noble, au moins suis-je d'une race où il n'y a point de reprocne et la famille des Dandins.
CLITANDRE Derriere Angelique ſans eſtre apperetu de Dandin.	CLITANDRE Derrière Angélique sans être apereu de Dandin.
Vn moment d’entretien.	Un moment d'entretien.
Eh?	Eh?
da Billve lia ANGELIQVE Quoy?	da Billve lia ANGELIQUE Quoi?
ie ne dis mot	On ne dis mot
G.	G.
DANDIN Le voila qui vient roder autour de vous.	DANDIN Le voilà qui vient roder autour de vous.
ANGELIQVE Hé bien, eſt-ce ma faure?	ANGELIQUE Hé bien, est-ce ma faure?
Que voulez-vous qué	Que voulez-vous qué
*y faſſe?	O*i fasse?
G DANDIN Ie veux que vous y faſſiez ce que fait vne femme qui ne veut plaire qu’à ſon mary- Quoy qu’on en puiſſe dire, les Galans n’obſedent jamais que quand on le veut bien, il y a vn certain air doucereux qui les attire ainſi que le miel fait les mouches, & ies homettes lemnes one dommumerte qui les ſçauent	GALANTS DANDIN Je veux que vous y fassiez ce que fait une femme qui ne veut plaire qu'à son mari- Quoi qu'on en puisse dire, les Galants n'obsèdent jamais que quand on le veut bien, il y a un certain air doucereux qui les attire ainsi que le miel fait les mouches, et et jomettes lemnes on dommumerte qui les sçauent
chaſſer d’abord.	chasser d'abord.
ANGELIQVE Moy les chaſſer?	ANGELIQUE Moi les chasser?
& par quelle raiſon?	et par quelle raison?
ie ne ma ſcandaliſe point qu’on me trouue bien faité, & cela me fait du plaiſir.	On ne ma scandalise point qu'on me trouve bien faité, et cela me fait du plaisir.
G.	G.
DANDIN Ouy.	DANDIN Oui.
Mais quel perſonnage voulez-vous que iodle vn mary pendant cette galanterie?	Mais quel personnage voulez-vous que jodle un mari pendant cette galanterie?
ANGELIQVE Le perſonnage dvn honnente homme qui eſt bien	ANGELIQUE Le personnage dvn honnente homme qui est bien
aiſe de voir ſa remme conſluerée.	aise de voir sa ramme consluerée.
G.	G.
DANDIN Ie ſuis voſtre valet.	DANDIN Je suis votre valet.
Ce n’eſt point là mon conte, & les Dandins ne ſont point accouſtumez à cette mo	Ce n'est point là mon compte, et les Dandins ne sont point accoutumés à cette mo
de-là.	de-là.
ANGELIQVE Oh les Dandins s’y accouſtumeront s’ils veulent:	ANGELIQUE Oh les Dandins s'y accoutumeront s'ils veulent:
Our peur moy ie vous declare que mon deſſein n’eſt pas de renoncer au monde, & de m’enterrer toute viue dans un mari, Comment, parce qu’vn homme s’auiſe de nous épouſer, il faut d’abord que toutes choſes ſoient finies pour nous & que nous rompions tout commerce auec les viuans?	Our peur mo ie -vous déclare que mon dessein n'est pas de renoncer au monde, et de m'enterrer toute vive dans un mari, Comment, parce qu'un homme s'avise de nous épouser, il faut d'abord que toutes choses soient finies pour nous et que nous rompions tout commerce avec les vivants?
c’eſt vne choſe merueilleuſe que cette tyrannie de Meſſieurs les maris, & ie les trouue bons de vouloir qu’on ion morte à tous les diuertiſſemens, & qu’on ne viue que pour eux Ie me mocque de cela, & ne veux point mouris ſi jeune.	c'est assez chose merveilleuse que cette tyrannie de Messieurs les maris, et été les trouve bons de vouloir qu'on ion morte à tous les divertissements, et qu'on ne vive que pour eux Je me moque de cela, et ne veux point mouris si jeune.
6.	6.
DANDIN	DANDIN
C’eſt ainſi que vous ſatisfaites aux engagemens de la foy que vous m’auez donnée publiquement.	C'est ainsi que vous satisfaites aux engagements de la foi que vous m'avez donnée publiquement.
ANGELIQVE Moy?	ANGELIQUE Moi?
ie ne vous l’ay point donnée de bon cœur & vous me l'anez atrachée.	Ne ne vous l'ai point donnée de bon cœur et vous me l'anez atrachée.
M’auez-vous auant le mariage demandé mon conſentement, & ſi ie voulois bien de vous?	M'avez-vous avant le mariage demandé mon consentement, et si je voulais bien de vous?
Vous n’auez conſulté pour cela que mon pere & ma mere, ce ſont eux proprement qui vous ont épouſé, & c’eſt pourquoy vous ferez biẽ de vous plaindre touſiours à eux des torts que l’on pourra vous faire.	Vous n'avez consulté pour cela que mon père et ma mère, ce sont eux proprement qui vous ont épousé, et c'est pourquoi vous ferez biẽ de vous plaindre toujours à eux des torts que l'on pourra vous faire.
Pour moy qui ne vous ay point dit de vous marier auec moy, & que vous auez priſe ſans conſulter mes ſentimens ie pretens n’eſtre point obligée à me ſoûmettre en eſclaue à vos volontez & ie veux joüir, s’il vous plaiſt, quelque nombre de beaux iours que m’offre la jeuneſſe, prendre les douces libertez que l’age me permet, voir vn peu le beau monde & gouſter les plaiſirs de m’oüir dire ees douceurs.	Pour moi qui ne vous ai point dit de vous marier avec moi, et que vous avez prise sans consulter mes sentiments ie prétends n'être point obligée à me soumettre en esclave à vos volontés et ainsi veux jeurir, s'il vous plaît, quelque nombre de beaux jours que m'offre la jeunesse, prendre les douces libertés que l'age me permet, voir un peu le beau monde et goûter les plaisirs de m'oumir dire ces douceurs.
Preparez-vous-y pour voſtre punition, &	Préparez-vous-y pour votre punition, et
rendez graces au Ciel de ce quoie ne ſuis pas capable de quelque enoie de plu.	rendez grâces au Ciel de ce quoie ne suis pas capable de quelque enoie de plu.
G.	G.
DANDIN Ouy, c'eſt ainſi que vous le prenez.	DANDIN Oui, c'est ainsi que vous le prenez.
Ie ſuis voſtre mary, & ie vous dis que ie n’entens pas cela.	Je suis votre mari, et ici vous dis que je n'entends pas cela.
Mavounic ſ Et moy ie ſuis voſtre femme, & ie vous dis que ie l'entens.	Mavounic s Et moi je suis votre femme, et je vous dis que tu l'entends.
G.	G.
DANDIN	DANDIN
Il me prend des tentations d’accommoder tout ſon viſage à la compoſte & le mettre en état de ne plaire de ſa vie aux diſeurs de fleurettes.	Il me prend des tentations d'accommoder tout son visage à la compote et le mettre en état de ne plaire de sa vie aux diseurs de fleurettes.
Ah!	Ah!
allons, George Dandin, ie ne pourrois me retenir, & il vaut mieux quitter la place.	allons, George Dandin, Seigneur ne pourrais me retenir, et il vaut mieux quitter la place.
SCENE III.	SCÈNE III.
CLAVDINE, ANGELIQVE.	CLAUDINE, ANGELIQUE.
CLAVDINE ’Auois, Madame, impatience qu’il s'en allaſt pour I vous rendre ce mot de la part que vous ſçauez,	CLAUDINE 'Auais, Madame, impatience qu'il s'en allât pour I vous rendre ce mot de la part que vous savez,
ANOLEIQVE Voyons.	ANOLEIQUE Voyons.
CLAVDINE A ce que ie puis remarquer, ce qu’on luy dit ne luy déplaiſt pas trop.	CLAUDINE A ce que je puis remarquer, ce qu'on avait dit ne porte déplaît pas trop.
ANGELIQVE Ah Claudine, que ce billet s’explique d’vne façon galante!	ANGELIQUE Ah Claudine, que ce billet s'explique d'une façon galante!
que dans tous leurs diſcours, & dans toutes leurs actions les gens de Cour ont vn air agreable;	que dans tous leurs discours, et dans toutes leurs actions les gens de Cour ont un air agréable;
& qu’eſt-ce que c’eſt aupres d’eux que hos gens de Prouince CLAVDINE Ie croy qu’apres les auoir vûs les Dandins ne vous plaiſent gueres.	et qu'est-ce que c'est auprès d'eux que hos gens de Province CLAUDINE Je crois qu'après les avoir vus les Dandins ne vous plaisent guère.
ANGELIQVE Demeure icy, ie m’en vais faire la réponſe.	ANGELIQUE Demeure ici, Elle m'en vais faire la réponse.
CLAVDINE Ie n’ay pas beſoin que ie penſe de luy recommander de la faire agreable, Mais voicy.	CLAUDINE Je n'ai pas besoin que deux pense de notre recommander de la faire agréable, Mais voici.
SCENE IV.	SCÈNE IV.
CLITANDRE, LVBIN, CLAVDINE,	CLITANDRE, LUBIN, CLAUDINE,
CLAVDANE patufamamdunſonmede, poneuuun prre da vn har V bile Meſſager.	CLAUDANE patufamamdunsonmede, ponvuun prère da un har V Vile Messager.
CLITANDRE Ie n’ay pas oſé enuoyer de mes gens maïs ma pauure Claudine, il faut que ie te recompenſe des bons offices que ie ſçay que tu m’as rendus.	CLITANDRE Je n'ai pas osé envoyer de mes gens ma ma pauvre Claudine, il faut que sans te récompense des bons offices que je sais que tu m'as rendus.
CLAVDINE Eh!	CLAUDINE Eh!
Monſieur, il n’eſt pas neceſſaire.	Monsieur, il n'est pas nécessaire.
Non, Monleul, vous n’auez que lanre de vous donner cette peine-là & ie vous rends ſeruice, parce que vous le meritez & que ie me ſens au cœur de l’inclination pour vous CLITANDRE Ie te ſuis obligé	Non, Monleul, vous n'avez que lanre de vous donner cette peine-là et un vous rends service, parce que vous le méritez et que je me sens au cœur de l'inclination pour vous CLITANDRE Je te suis obligé
LVBIN Purs que nous feruns marſes, douno moy cela que ie le mette auec le mien.	LUBIN Purs que nous feruns marses, douno moi cela que je le mette avec le mien.
CLAVDINE Ie te le garde auſſi bien que le baiſet.	CLAUDINE Je te le garde aussi bien que le baiset.
CLITANDRE Dy-moy, as-tu rendu mon billet à ta belle Maiſtrenere « nlav a llei Ouy, elle eſt allée y répondre.	CLITANDRE Dis-moi, as-tu rendu mon billet à ta belle Maistrenere " nlav à léli Oui, elle est allée y répondre.
CL TANDRE.	CL TANDRE.
Mais Claudine, n’y a-t’il pas moyen que ie la puiſſe entretenir?	Mais Claudine, n'y a-t-il pas moyen que je la puisse entretenir?
CLAVDINE Ouy, venez auec moy ie vous feray parler à elle.	CLAUDINE Oui, venez avec mo ie -vous ferai parler à elle.
CLITANDRE Mais le trouuera-t'elle bon & n’y a-t’il rien à riſquer?	CLITANDRE Mais le trouvera-t'-elle bon et n'y a-t-il rien à risquer?
CLAVDINE non, non, ſon Mary n’eſt pas au logis, & puis, ce n’eſt pas luy qu’elle a le plus à menager, c’eſt ſon pere & ſa mere, & pourueu qu’ils ſoient preuenus tout le reſte n’eſt rien à craindre.	CLAUDINE non, non, son Mari n'est pas au logis, et puis, ce n'est pas autre qu'elle a le plus à ménager, c'est son père et sa mère, et pourvu qu'ils soient prévenus tout le reste n'est rien à craindre.
CLITANDRE Ie m’abandonne à ta conduite.	CLITANDRE Je m'abandonne à ta conduite.
LVBIN Teſtiguenne que i'auray là vne habile femme, elle a de Terpile cumine quatie.	LUBIN Testiguenne que j'aurai là une habile femme, elle a de Terpile cumine quatie.
DOENEVa GEORGE DANDIN.	DONENEUa GEORGE DANDIN.
LVBIN.	LUBIN.
GEORGE DANDIN (Olcy mon homme de ſantoit;	GEORGE DANDIN (Olci mon homme de santait;
piuit au Ciel qu’il V puſt ſe reſoudre à vouloir rẽdre témoignage au pere &à la mere de ce qu’ils ne veulent point croire	piuit au Ciel qu'il V pût se résoudre à vouloir rendre témoignage au père età la mère de ce qu'ils ne veulent point croire
LVBIN Imin rous voila, Monfieur le babillard, à qui i’auoit tant recommandé de ne point parler, & qui me l’auiez tant promis.	LUBIN Imin rous voilà, Monfieur le babillard, à qui j'avait tant recommandé de ne point parler, et qui me l'aviez tant promis.
vous eſtes donc vn cauſeur, & vous allez redire ce que l’on vous dit en ſecret.	vous êtes donc un causeur, et vous allez redire ce que l'on vous dit en secret.
Moy :	Moi :
G.	G.
DANDIN LVBIN Ouy.	DANDIN LUBIN Oui.
Vous auez eſté tout rapporter au mary;	Vous avez été tout rapporter au mari;
& vous eſtes cauſe qu’il a fait du vacarme.	et vous êtes cause qu'il a fait du vacarme.
Ie ſuis bien aiſe de ſçauoir que vous auez de la langue, & cela m’apprendra à ne vous plus rien dire.	Je suis bien aise de savoir que vous avez de la langue, et cela m'apprendra à ne vous plus rien dire.
3 DANDINEcoute, mon amy.	3 DANDINÉcoute, mon ami.
LVBIN Si vous n’auiez point babillé, ie vous aurois conté ee qui ſe paſſe à cette heure, mais pour voſtre punition vous ne ſçaurez rien du tout.	LUBIN Si vous n'aviez point babillé, Elle vous aurais conté ce qui se passe à cette heure, mais pour votre punition vous ne saurez rien du tout.
G.	G.
DANDIN Comment, qu’eſt-ce qui ſe paſſe?	DANDIN Comment, qu'est-ce qui se passe?
LVBIN Rien rien:	LUBIN Rien rien:
voila ce que c’eſt d’auoir cauſé vous n'en taſterez plus & ie vous laiſſe ſur la bonne bouche.	voilà ce que c'est d'avoir causé vous n'en tâterez plus et un vous laisse sur la bonne bouche.
G.	G.
DANDIN Arreſte vn peu.	DANDIN Arrête un peu.
LVBIN	LUBIN
LVDIN Nennin, nennin, vous auez enuie de me tirer les vers du nez G DANDIN Non ce n’eſt pas cela.	LUDIN Nennin, nennin, vous avez envie de me tirer les vers du nez G ANDIN Non ce n'est pas cela.
LVBIN .	LUBIN .
G.	G.
DANDIN C’eſt autre choſe.	DANDIN C'est autre chose.
Ecoute.	Écoute.
LVBIN Point d’affaire.	LUBIN Point d'affaire.
Vous voudriez que ie vous diſſe que Monſieur le Vicomte vient de donner de l’argent à Claudine, & qu’elle l’a mené chez ſa Maiſtreſſe.	Vous voudriez que votre vous disse que Monsieur le Vicomte vient de donner de l'argent à Claudine, et qu'elle l'a mené chez sa Maîtresse.
Mais ie ne ſuis pas ſi beſte.	Mais ici ne suis pas si bête.
De grace.	De grâce.
Non.	Non.
G.	G.
DANDIN LVBIN.	DANDIN LUBIN.
G.	G.
DANDIN Ie te donneray.	DANDIN Je te donnerai.
LVBIN Tarare.	LUBIN Tarare.
SCENE VI.	SCÈNE VI.
GEORGE DANDIN.	GEORGE DANDIN.
JE n’ay pû me ſeruir auec cét innocent de la penI ſée que i'auois Mais le nouuel auis qui lui eſt eſchapé feroit la meſme choſe & ſi le galand eſt chez moy ce ſeroit pour auoir raiſon aux yeux du pere & de la mere, & les conuaincre pleinement de l'effronterie de leur fille.	JE n'ai pu me servir avec cet innocent de la penI sée que j'avais Mais le nouvel avis qui lui est échappé ferait la même chose et si le galant est chez moi ce serait pour avoir raison aux yeux du père et de la mère, et les convaincre pleinement de l'effronterie de leur fille.
Le mal de tout cecy c’eſt que ie ne ſçay comment faire pour profiter d’vn tel avis.	Le mal de tout ceci c'est que je ne sais comment faire pour profiter d'un tel avis.
Si ie rentre chez moy, ie feray euader le drôle, & quelque choſe que ie puiſſe voir moy-meſme de mon des-honneur, le n’en ſeray point crû à mon ſerment, & l’on me dira que ie reſue.	Si grande rentre chez moi, je ferai évader le drôle, et quelque chose que sans puisse voir moi-même de mon déshonneur, le n'en serai point crû à mon serment, et l'on me dira que tu rêve.
Si d’autre-part ie vay querir beau-pere & belle-mere ſans eſtre ſeur de trouuer chez moy le Galand, ce ſcra la meſme choſe, & ie retombesay dans l’inconuenient de tantoſt.	Si d'autre-part Ha vay quérir beau-père et belle-mère sans être sûr de trouver chez moi le Galant, ce scra la même chose, et un retombesai dans l'inconvénient de tantôt.
Pourrois-je point m’éclaircir doucement s’il y eſt encore?	Pourrais-je point m'éclaircir doucement s'il y est encore?
Ah Ciell il n’en faut plus douter & ie viens de l’apperceuoir par le trou de la porte.	Ah Ciell il n'en faut plus douter et ton viens de l'apercevoir par le trou de la porte.
Le ſort me uonne iey dequoy confondre ma partie & pour acheuer l’auenture il fait venir à point nommé les juges dont i’auois beſoin.	Le sort me ouvonne raison dequoy confondre ma partie et pour achever l'aventure il fait venir à point nommé les juges dont j'avais besoin.
SCHNE VII.	SCHNE VII.
MONSIEVR & MADAME DE SOTENVILLE, GEORGE DANDIN,	MONSIEUR et MADAME DE SOTENVILLE, GEORGE DANDIN,
L G.	L G.
DANDIN r fin vous ne m’auez pas voulu croire tantoſt & voſtre fille l’a emporte ſur moy.	DANDIN r fin vous ne m'avez pas voulu croire tantôt et votre fille l'a emporte sur moi.
Mais i’ay en main dequoy vous faire voir comme elle m’acçommode & Dieu mercy, mon des-honneur eſt ſi clair maintenant que vous u’en pourrez plus douter.	Mais j'ai en main dequoy vous faire voir comme elle m'acçommode et Dieu merci, mon déshonneur est si clair maintenant que vous ouven pourrez plus douter.
Mr DE SOTENVILLE Couiment, mon genuit, vous en enad encore ladeſſus?	Mr DE SOTENVILLE Couiment, mon génuit, vous en ad encore ladessus?
G.	G.
DANDIN	DANDIN
eſtre.	être.
Me DE SOTENVILLE Vous nous venez encore rompre la teſtet	Me DE SOTENVILLE Vous nous venez encore rompre la testet
G.	G.
DANDIN Cuy, Madame, & l’on fait bien pis à la mienne.	DANDIN Cuy, Madame, et l'on fait bien pis à la mienne.
Mr DE SOTENVILLE Ne vous laſſez-vous point de vous rendre importun?	Mr DE SOTENVILLE Ne vous lassez-vous point de vous rendre importun?
Non	Non
G.	G.
DAN N Non, mais ie me laſſe tort d’eſtre pris pour dupe.	DAN N Non, mais ainsi me lasse tort d'être pris pour dupe.
Me DE SOTENVILLE Ne veulez-vous point vous défaire de vos penſéts extrauagantes?	Me DE SOTENVILLE Ne veulez-vous point vous défaire de vos pensêts extravagantes?
G DANDIN Non, Madame luais le vouurois uien me defaire d’une femme qui me des-honore.	G GANDIN Non, Madame luais le vourais ouvien me défaire d'une femme qui me déshonore.
Me DE DOTENVILLE [Iour de Dien noſtre gendre apprenez à parler.	Me DE DOTENVILLE [Iour de Dien grande gendre apprenez à parler.
Mr.	Mr.
DE SOTENVILLE 1 Corbleu, cherchez des termes moins offenſans que ceux-là.	DE SOTENVILLE 1 Corbleu, cherchez des termes moins offensants que ceux-là.
G.	G.
DANDIN	DANDIN
Marchand qui perd ne peut rire.	Marchand qui perd ne peut rire.
Me DE SOTENVILLE Souuenez vous que vous auez epouſe vne Demoiſelle.	Me DE SOTENVILLE Souuenez vous que vous avez épouse une Demoiselle.
G DANDIN	G GANDIN
trop.	trop.
Mr DE SOT ENVILLE Si vous vous en ſouuenez, ſongez donc à parler d’elle auec plus de reſpect	Mr DE SOT ENVILLE Si vous vous en souvenez, songez donc à parler d'elle avec plus de respect
G DANDIN Mais que ne ſonge-t’elle plûtoſt à me traiter plus honneſtement?	G GANDIN Mais que ne songe-t-elle plutôt à me traiter plus honnêtement?
Quoy, parce qu’elle eſt Demoiſelle, il faut qu’elle ait la liberté de me faire ce qui duy Falrs dna dua yels leunca	Quoi, parce qu'elle est Demoiselle, il faut qu'elle ait la liberté de me faire ce qui dui Falrers dna dua ys leunca
Mr DE SOTENVILLE Qu’auez-vous donc & que pouuez-vous lir ?	Mr DE SOTENVILLE Qu'avez-vous donc et que pouvez-vous lir ?
n’auez vous pas veu ce matin qu’elle s’eſt deffinduëdle de connoiſtre celuy dont vous m’eſtiez venu parler e	n'avez -vous pas vu ce matin qu'elle s'est deffinduëdle de connaître celui dont vous m'étiez venu parler e
G DANDIN Ouy Mais vous, que pourrez-vous dire, ſi je vous fais voir maintenant que le Galand eſt auec elle?	G DANDIN Oui Mais vous, que pourrez-vous dire, si je vous fais voir maintenant que le Galant est avec elle?
Me DE SOTENVILLE Auec elle?	Me DE SOTENVILLÉ Vec elle?
G.	G.
DANDIN Ouy, auec elle, & dans ma maiſon	DANDIN Oui, avec elle, et dans ma maison
4 Mr DE SOTENVILLE Dans voſtre maiſon ?	4 Mr DE SOTENVILE Dans votre maison ?
G.	G.
DANDIN Ouy, dans ma propre maiſon,	DANDIN Oui, dans ma propre maison,
A AU COIENVILLE Si cela eſt, nout ſerons pour vous contr'elle;	A AU COIENVILLE Si cela est, nout serons pour vous contre elle;
4 Mr DE SOTENVILLE Ouy, l’honneur de noſtre famille nous eſt plus chet que toute choſe:	4 Mr DE SOTENVILLE Oui, l'honneur de notre famille nous est plus chet que toute chose:
& ſi vous dites vray, nous la renoncerons pour noſtre ſang, & l’abandonnerono u voltle colcro.	et si vous dites vrai, nous la renoncerons pour notre sang, et l'abandonnerono u voltle colcro.
G.	G.
DANDIN v ousn auta qua melmiarer	DANDIN v ousn auta qua melmiarer
Me DE SOTENVILLE Gardez de vous tromper.	Me DE SOTENVILLE Gardez de vous tromper.
Mr DE SOTENVILLE N’allez pas faire comme tantoſt.	Mr DE SOTENVILLE N'allez pas faire comme tantôt.
G.	G.
DANDIN Mon Dieu vous allez voir.	DANDIN Mon Dieu vous allez voir.
Tenez, ay-je menty?	Tenez, ai-je menti?
GGVIII.	GGUIII.
ANGELIQVE, CLITANDRE, CLAVDINE, Mr & Me DE SOTENVILLE, GEORGE DANDIN.	ANGELIQUE, CLITANDRE, CLAUDINE, Mr et Me DE SOTENVILLE, GEORGE DANDIN.
ANGELIQVE D’eu, i’ay peur qu’on vous ſurprenne icy, & Ni'ay quelques meſures à garder.	ANGELIQUE D'eu, j'ai peur qu'on vous surprenne ici, et Ni'ai quelques mesures à garder.
CLTTANDRE Promettez-moy donc, Madame, que ie pourray vous parler cette nuit.	CLTANDRE Promettez-moi donc, Madame, que j' ai vous parler cette nuit.
ANGELIQVE I'y feray mes efforts.	ANGELIQUE J'y ferai mes efforts.
G.	G.
DANDIN Approchons doucement par derriere, & taſthons de n’eſtre pas veus.	DANDIN Approchons doucement par derrière, et tâthons de n'être pas vus.
CLAVDINE, Ah!	CLAUDINE, Ah!
Madame, tout eſt perdu Voila voſtre pere & voſtre mere accompagnez de voſtre mary.	Madame, tout est perdu Voilà votre père et votre mère accompagnés de votre mari.
CLITANDRE Ah!	CLITANDRE Ah!
Ciel.	Ciel.
ANGELIQVE Ne faites pas ſemblant de rien, & me laiſſez fairé tous deux Quoy vous oſez en vſer de la ſorte apres l'affaire de tantoſt, & c’eſt ainfi que vous diſſimulez vos ſentimens?	ANGELIQUE Ne faites pas semblant de rien, et me laissez fairé tous deux Quoi vous osez en user de la sorte après l'affaire de tantôt, et c'est ainsi que vous dissimulez vos sentiments?
On me vient rapporter que vous auez de l’amour pour moy & que vous faites des deſſeins de me ſoliciter I’en témoigne mon dépit, & m’explique à vous clairement en preſence de tout le monde.	On me vient rapporter que vous avez de l'amour pour moi et que vous faites des desseins de me soliciter J'en témoigne mon dépit, et m'explique à vous clairement en présence de tout le monde.
Vous niez hautement la choſe & me donnez parole de n’auoir ancune penſée de m’offenſer, & cependant le meſme iour vous prenez la hardieſſe de venir chez moy me rendre viſite.	Vous niez hautement la chose et me donnez parole de n'avoir ancune pensée de m'offenser, et cependant le même jour vous prenez la hardiesse de venir chez moi me rendre visite.
De me dire que vous m’aimez & de me faire cent ſots contes pour me perſuader de repondre à vos extrauagances;	De me dire que vous m'aimez et de me faire cent sots contes pour me persuader de répondre à vos extravagances;
comme ſi i'eſtois fmme à violer la foy que i’ay donnée à un mary, & m'éloigner iamais de la vertu que mes parens m’ont enſeignée.	comme si j'étais frême à violer la foi que j'ai donnée à un mari, et m'éloigner jamais de la vertu que mes parents m'ont enseignée.
Si mon pere ſçauoit cela il vous apprendroït bien à tenter de ces entrepriſes.	Si mon père savait cela il vous apprendroït bien à tenter de ces entreprises.
Mais une honneſte femme n’aime point les éclats Ie n’ay garde de luy en rien dire, & ie veux vous montrer que toute femme que ie ſuis, i'ay aſſez de courage pour me vanger moy aucime des offenſes que l’on me fait.	Mais une honnête femme n'aime point les éclats Je n'ai garde de lui en rien dire, et et veux vous montrer que toute femme que je suis, j'ai assez de courage pour me venger moi aucime des offenses que l'on me fait.
L’action que vous auez faite n’eſt pas d’vn Gentilhomme, & ce n’eſt pas en Gentilhomme auſſi que ie veux vous traitter.	L'action que vous avez faite n'est pas d'un Gentilhomme, et ce n'est pas en Gentilhomme aussi que de veux vous traiter.
Alle prend vn baſton & bat ſon mary au lieu de Clitandre qui ſe met entre-deux	Alle prend un bâton et bat son mari au lieu de Clitandre qui se met entre-deux
CLITANDRE Ah ah ah ah, ah.	CLITANDRE Ah ah ah ah, ah.
Deucement.	Devcement.
CLAVDINE Fort, Madame, frapez comme il faue,	CLAUDINE Fort, Madame, frappez comme il fave,
ANGELIQVE S’il vous demeure quelque choſe ſur le cœur, ie ſuis pour vous répondre.	ANGELIQUE S'il vous demeure quelque chose sur le cœur, je suis pour vous répondre.
CLAVDINE Apprenez à qui vous vous jouez.	CLAUDINE Apprenez à qui vous vous jouez.
filtoulld Ah mon pere vous eſtes là !	filtoulld Ah mon père vous êtes là !
Mr DE SOTENVILLE Ouy, ma fille, & ie voy qu.	Mr DE SOTENVILLE Oui, ma fille, et personne vois qu.
en ſageſſe & en courage tu te montre vn digne rejetton de la maiſon de Sotenuille.	en sagesse et en courage tu te montre un digne rejetton de la maison de Sotenville.
Vien-ça approche-toy que ie t’embraſſe.	Viens-ça approche-toi que . J'embrasse.
diu a noerhlavloa.	div a noerhlavloa.
Embraſſ:	Embrass:
moy auſſi ma fille las!	moi aussi ma fille las!
ie pleure de joye & recõnois mon ſang aux choſes que tu viens de faire.	Ne pleure de joie et reconnais mon sang aux choses que tu viens de faire.
Mr DE SOTENVILLE Mon gendre, que vous deuez eſtre rauy, & que cette auenture eſt pour vous pleine de douceurs.	Mr DE SOTENVILLE Mon gendre, que vous devez être ravi, et que cette aventure est pour vous pleine de douceurs.
Vous auiez un juſte ſuiet de vous allarmer, maievos ſoubçons ſe trouuent diſſipez le plus auantag alement du monde.	Vous aviez un juste sujet de vous alarmer, maievos soubçons se trouvent dissipez le plus avantag alément du monde.
Me DE SOTENVILLE.	Me DE SOTENVILLE.
Sans doute noſtre gendre, vous deuez maintenant eſtre le plus content des hommes.	Sans doute notre gendre, vous devez maintenant être le plus content des hommes.
CLAVDINE Aſſurément.	CLAUDINE Assurément.
Voila vne femme celle-là, vous eſtes trop heureux de l’auoir, & vous deuriez baiſer les pas où elle paſſe.	Voilà quelque femme celle-là, vous êtes trop heureux de l'avoir, et vous devriez baiser les pas où elle passe.
GI DANDIN Euh traiſtreſle?	GY DANDIN Euh traîtresle?
Mr DE SOTENVILLE.	Mr DE SOTENVILLE.
Qu'eſt-ce mon gendre, que ne remerciez vous un peu voſtre femm:	Qu'est-ce mon gendre, que ne remerciez -vous un peu votre femm:
, de l’amitié que vous voyoz qu’elle montre pour vous.	, de l'amitié que vous voyez qu'elle montre pour vous.
ANGELIQVE Non non, mon pere il n’eſt pas neceſſaire.	ANGELIQUE Non non, mon père il n'est pas nécessaire.
Il ne m’a aucune obligatiõ de ce qu’il vient de voir, & tout ce 1	Il ne m'a aucune obligation de ce qu'il vient de voir, et tout ce 1
Mr DE SOTENVILLE Où allez-voxs, ma fille.	Mr DE SOTENVILLE Où allez-voxs, ma fille.
ANGELIQVE Ie me retire, mon pere, pour ne me voir point obligée de receuoir ſes complimens.	ANGELIQUE -Je me retire, mon père, pour ne me voir point obligée de recevoir ses compliments.
CLAVDINE Elle a raiſon d’eſtre en colere.	CLAUDINE Elle a raison d'être en colère.
C’eſt vne femme qui merite d’eſtre adorée, & vous ne la traittez pas comme vous deuez.	C'est une femme qui mérite d'être adorée, et vous ne la traitez pas comme vous devez.
G.	G.
DANDIN Scelerate.	DANDIN Scélérate.
Mr.	Mr.
DE SOTENVILLE C'eſt vn petit reſſentiment de l’affaire de tancoſt, & cela ſe paſſera auec un peu de careſſe que vous luy ferez.	DE SOTENVILLE C'est un petit ressentiment de l'affaire de tancôt, et cela se passera avec un peu de caresse que vous lui ferez.
Adieu, mon gendre, vous voila en état de ne vous plus inquieter, allez vous en faire la paix enſemble, & taſchez de l’appaiſer par des excuſes de voſtre emportement.	Adieu, mon gendre, vous voilà en état de ne vous plus inquiéter, allez vous en faire la paix ensemble, et tâchez de l'apaiser par des excuses de votre emportement.
Me.	Me.
