Avec Permiſſion.	Avec Permission.
Je ne le dirois pas ſi l'on nous écoutoit Mais nôtre ſolitude à cela me convie Oüy Dieu je vous cheris cent fois plus que ma vie, jamais je ne vous vois que je ne ſois ravie, de ne vous perus jamnais de veue qu’a regret.	Je ne le dirais pas si l'on nous écoutait Mais notre solitude à cela me convie Oui Dieu je vous chéris cent fois plus que ma vie, jamais je ne vous vois que je ne sois ravie, de ne vous perus jamnais de vue qu'a regret.
MOMUS.	MOMUS.
Voyez la petite friponne, Vous en dites pouttant plus que vous n’en penſez.	Voyez la petite friponne, Vous en dites pouttant plus que vous n'en pensez.
AMARILLE.	AMARILLE.
Non & je crois Dieu me pardonne N’en dire pas encore aſſez.	Non et je crois Dieu me pardonne N'en dire pas encore assez.
MOMUS.	MOMUS.
Mais ſi tu m’aymois tant, petite Bergerote, Di, t’amuſerois tu ſi long-temps à jaſer, Et ſongerois tu pas pluſtôt à me baiſer Qu'à rajuſter ainſi ta cotte.	Mais si tu m'aimais tant, petite Bergerote, Di, t'amuserais tu si longtemps à jaser, Et songerais tu pas plutôt à me baiser Qu'à rajuster ainsi ta cotte.
E ij	E ij
AMARILLE.	AMARILLE.
Seigneur s’il m’eſt permis de m’expliquer un peu, Seroit ce point a vous a faire cette avance;	Seigneur s'il m'est permis de m'expliquer un peu, Serait ce point à vous a faire cette avance;
MOMUS.	MOMUS.
Oüy:	Oui:
ce ſeroit à moy ſi je n’étois pas Dieu, Mais ce haut rang m’en eſt une étroite deffence.	ce serait à moi si je n'étais pas Dieu, Mais ce haut rang m'en est une étroite défense.
AMARILLE.	AMARILLE.
Vôtre haut rang me met dans bien de l’embatras, aais il mimporte:	Votre haut rang me met dans bien de l'embatras, aais il mimporte:
Il taut Saprotnant pour le baiſer Que faire?	Il taut Saprotnant pour le baiser Que faire?
[Ciel voilà Lyſida	[Ciel voilà Lysida
MOMUS.	MOMUS.
Dites-luy que je le conſidere, Et que j’en fetay vôtre époux Du moment qu’il aura ceſſé d’être jaloux, Et qu’il aura ſoin de me plaire.	Dites-lui que je le considère, Et que j'en fêtai votre époux Du moment qu'il aura cessé d'être jaloux, Et qu'il aura soin de me plaire.
Adieu faites ſçavoir au Berget Lyſidas Qu'il a quelque Intereſt a ne m'offenſer pas.	Adieu faites savoir au Berget Lysidas Qu'il a quelque Intérêt à ne m'offenser pas.
CV LYSIDAS, AMARILLE.	CV LYSIDAS, AMARILLE.
LISIDAS.	LISIDAS.
U’ay-je apperçû donc.	OÙ'ai-je aperçu donc.
là;	là;
n’eſt-ce point mo Eſprie jadis en premier neu, fantôme Ombre enſuite dit-ou & puis maintenant Die	n'est-ce point mo Esprie jadis en premier neu, fantôme Ombre ensuite dit-ou et puis maintenant Die
AMARILLE En verité Berger c’eſt êtte un étrange homme, De s’alarmer ainſi pour rien.	AMARILLE En vérité Berger c'est êtte un étrange homme, De s'alarmer ainsi pour rien.
LYSIDAS.	LYSIDAS.
Comment moibleu pour rien :	Comment moibleu pour rien :
Eſt-ce ainſi qu’o m’aſſomme Eſt-ce ainſi qu’on me tuë, eſt ce ainſi que l’on nõme m oubrape quil me ruit de moter tout mon bien?	Est-ce ainsi qu'ô m'assomme Est-ce ainsi qu'on me tue, est ce ainsi que l'on nomme m oubrape quil me ruit de modter tout mon bien?
AMARILLE, Quel bien vous ote-il?	AMARILLE, Quel bien vous ote-il?
LYSIDAS.	LYSIDAS.
C’eſt vous ſeule morbleu.	C'est vous seule morbleu.
AMARILLE.	AMARILLE.
Certes vous vout praigues muttajet de ce Dieu, Et vôtre emportement n’eſt pas trop raiſonnable.	Certes vous vout praigues mutajet de ce Dieu, Et votre emportement n'est pas trop raisonnable.
LTSIDAJ.	LTSIDAJ.
En effet jje luy ſuis encor bien redevable:	En effet jet jet suis encor bien redevable:
A MARILLE.	À MARILLE.
je ne dis pas cela:	je ne dis pas cela:
mais enfin, Lyſidas, Puiſque vous me voyez il ne m’enleve pas:	mais enfin, Lysidas, Puisque vous me voyez il ne m'enlève pas:
Du côté de ce Dieu vous n’avez rien à craindre, Et loin que vous ayez ſujet de vous en plaindre, Il me venoit de propoſer Que ſi vous aviez eu quelque ſoin de luy plaire Il nous auroit ſervy de Pere, Et luy même eut pris ſoin de nous faire épouſer.	Du côté de ce Dieu vous n'avez rien à craindre, Et loin que vous ayez sujet de vous en plaindre, Il me venait de proposer Que si vous aviez eu quelque soin de quoi plaire Il nous aurait servi de Père, Et lui même eut pris soin de nous faire épouser.
LYSIDAS.	LYSIDAS.
Et dans quel temps cela, quand vous l’alliez baiſer:	Et dans quel temps cela, quand vous l'alliez baiser:
AMARILLE.	AMARILLE.
Ciel l'impertinente demande Que de raiſons:	Ciel l'impertinente demande Que de raisons:
Je vois que je ne vous plains pass Il fauts'en conſoler:	Je vois que je ne vous plains pass Il fauts'en consoler:
La perte n’eſt pas grande.	La perte n'est pas grande.
Adieu le Berger Lyſidas.	Adieu le Berger Lysidas.
SCENE VI.	SCÈNE VI.
LYSIDAS.	LYSIDAS.
ũy tout autant vaudroit qu’il voꝰ eut enlevée, O Tygreſſe, que d’oſer yous baiſer à mes yeux:	Oui tout autant vaudrait qu'il voù eut enlevée, Ô Ygresse, que d'oser yous baiser à mes yeux:
E iiij	 iiij
du dula Ceres Pourtant ſi je ne ſuis qu’un pauvre malheureux, Je porte dans mon cœur l’honnêteté gravée, Et j’aimerois mille fois mieux Une Bergere honnête au coin d’un bois trouvée Qu’un reſte du plus grand des Dieux.	du du Ceres Pourtant si je ne suis qu'un pauvre malheureux, Je porte dans mon cœur l'honnêteté gravée, Et j'aimerais mille fois mieux Une Bergère honnête au coin d'un bois trouvée Qu'un reste du plus grand des Dieux.
Quelque ſot.	Quelque sot.
Mais étois-je digne D’un malheur à verſer une Mare de pleurs, Moy des Paſteurs le plus inſigne, Moy la terreur des loups & des voleurs, Et moy qui de Pales ſortant en droite ligne Devrois recevoir cent honneurs.	Mais étais-je digne D'un malheur à verser une Mare de pleurs, Moi des Pasteurs le plus insigne, Moi la terreur des loups et des voleurs, Et moi qui de Pales sortant en droite ligne Devrais recevoir cent honneurs.
Pour uu Eſprit une ingrate me quitte Qui n’eſt peut-être qu’un Lutin Qui n’oſe contre moy hazarder ſon deſtin, Et qui ne me voit point qu’il ne prenne la fuite.	Pour X Esprit une ingrate me quitte Qui n'est peut-être qu'un Lutin Qui n'ose contre moi hasarder son destin, Et qui ne me voit point qu'il ne prenne la fuite.
Auſſi c’eſt ma bêtiſe, il eût bien mieux valu Prendre dés quatorze ans le parti de l’armée Que de laiſſer ainſi prendre un droit abſolu Sur mon ame à l’Amour dont elle eſt alarmée.	Aussi c'est ma bétise, il eût bien mieux valu Prendre dès quatorze ans le parti de l'armée Que de laisser ainsi prendre un droit absolu Sur mon âme à l'Amour dont elle est alarmée.
Que ſçay-je moy peut-être en ce même moment Je ſuis de fatigue & de peine, Je ſerois un grand Capitaine Ou bien j’aurois un Regiment.	Que sais-je moi peut-être en ce même moment Je suis de fatigue et de peine, Je serais un grand Capitaine Ou bien j'aurais un Regiment.
Mais helas je ni ſonge pas, Et quand je me ſouviens de traits de ma cruelle, 'oublie combien elle eſt belle, χgο Et combien j’aurois d’embarras A vivre un ſeul moment loin d’elle, Et toy, cruel Amour, toy qui cauſes les maux Dont mon ame ſe fait une triſte habitude, Enſeignez, moy pour mon repos Quel party je dois prendre en cette incertitude:	Mais hélas je ni songe pas, Et quand je me souviens de traits de ma cruelle, ' oublie combien elle est belle, Et combien aurois embarras A vivre un seul moment loin elle, Et toi, cruel Amour, toi qui causes les maux Dont mon âme se fait une triste habitude, Enseignez, moi pour mon repos Quel party je dois prendre en cette incertitude:
Car quoy!	Car quoi!
que faite en ce malheur, Dois-je rompre avec Amarille, Ou bien l'aimer toûjours avec la même ardeur, Helas l'un des deux n’eſt pas ſeur, Et l'autre eſt encor moins facile.	que faite en ce malheur, Dois-je rompre avec Amarille, Ou bien l'aimer toujours avec la même ardeur, Hélas l'un des deux n'est pas sûr, Et l'autre est encor moins facile.
Si je l’ay déja vûë deux fois entre les bras D’un faquin qui luy fait les yeux doux avec pompe, Peut-être elle voit bien qu’il l’abuſe & la trompe, Et pour cela peut-être elle ne me haït pas.	Si je l'ai déjà vue deux fois entre les bras D'un faquin qui était fait les yeux doux avec pompe, Peut-être elle voit bien qu'il l'abuse et la trompe, Et pour cela peut-être elle ne me hait pas.
Helas, c’eſt ce qu’il fautque j’e tâche d’aprendre, Car auſſi-bien prevois-je avec tout mon cobrroux Que ſi je luy trouvois des ſentimens plus dóux:	Hélas, c'est ce qu'il fautque j'e tâche d'apprendre, Car aussi-bien prévois-je avec tout mon cobroux Que si je lui trouvais des sentiments plus dreux:
je ne pourrois pas ine dencaure .	je ne pourrais pas ine dencaure .
D’être plus Amoureux, que je ne ſuis jaloux.	D'être plus Amoureux, que je ne suis jaloux.
ACTEIII.	ACTEIII.
SCENE I	SCÈNE I
MOMUS.	MOMUS.
Ais quand je ſonge à la conduir?	Ais quand je songe à la conduir?
M Dont ſe gouverne icy l’Amour Qui tantôt m’accompagne & puis tantôt me quitte N’auroit-il point envie en ce mortel ſejout Avec ſon feu de chatemite De me joüer de quelque.	M Mont se gouverne ici l'Amour Qui tantôt m'accompagne et puis tantôt me quitte N'aurait-il point envie en ce mortel séjout Avec son feu de chatemite De me jouer de quelque.
tour.	tour.
Je n'en jurerois pas, car ſur tour l’autre jour, A voir ce que pour moy reſſentoit-Amarille, Mon cœur avoit déja certaine émotion, Et quoy que je ſois peu fragile, Il m’étoit déja di cile D’éviter la tentarton Et doux;	Je n'en jurerais pas, car sur tour l'autre jour, A voir ce que pour moi ressentait-Amarille, Mon cœur avait déjà certaine émotion, Et quoi que je sois peu fragile, Il m'était déjà di île D'éviter la tentarton Et doux;
ſentimens ſi fertile.	sentiments si fertile.
Dés que nous fumes en ces lieux Il fit venir vers moy cette jeune Bergere, Elle vint m’admirer & tãcher de me plaire, Et n’auroit pas demandé mieux De me faire devenir Pere De quelques petits demidieux.	Dès que nous fûmes en ces lieux Il fit venir vers moi cette jeune Bergère, Elle vint m'admirer et tãcher de me plaire, Et n'aurait pas demandé mieux De me faire devenir Père De quelques petits demidieux.
Mais il a ſur ma foy beau faire Qu'il faſſe du pis qu’il pourra, Jamais je n’aimeray de mortelle ſur-terre, Et ce ne ſera point par là Que je perdray le droit de luy faire la guerte, Et de railler le maître du tonnerre Sur les femmes qu’il aimera.	Mais il a sur ma foi beau faire Qu'il fasse du pis qu'il pourra, Jamais je n'aimerai de mortelle sur-terre, Et ce ne sera point par là Que je perdrai le droit de Seigneur faire la guerte, Et de railler le maître du tonnerre Sur les femmes qu'il aimera.
Si pat hazard quelque mottelle A tant ſoit peu l’œil à mon goût, Je badineray bien un quart d’heure avec elle, Mais auſſi ce ſera le tout.	Si pat hasard quelque mottelle À tant soit peu l'œil à mon goût, Je badinerai bien un quart d'heure avec elle, Mais aussi ce sera le tout.
Amarille il eſt vray ne me deplairoit pas, Mais ce que j’en ay fait ce pendant avec elle N’étoit que pour choquer la jalouſe cervelle De ſon Amoureux Lyſidas.	Amarille il est vrai ne me deplairoit pas, Mais ce que j'en ai fait ce pendant avec elle N'était que pour choquer la jalouse cervelle De son Amoureux Lydas.
Comme je ſçais pour moy quelle fut ſa tendreſſe, je ne veux point pouſſer la malice plus loin, Mais il faut que je ſçache auſſi ſi la Prêtreſſe, En luy faiſant quelque carreſſe Ne m’aimeroit pas au beſoin.	Comme je sais pour moi quelle fut sa tendresse, je ne veux point pousser la malice plus loin, Mais il faut que je sache aussi si la Prêtresse, En deux faisant quelque carresse Ne m'aimerait pas au besoin.
SCENE II.	SCÈNE II.
ZELIDE, MOMUS.	ZELIDE, MOMUS.
ZELIDE.	ZELIDE.
U’as-tu dõc fait au Ciel, trop heureuſe Amarille, * Pour meriter qu’un Dieu charmé de tes appas L’abandonne, & vienne icy bas Te donner ſur les miens l’avantage tranquille Que les plus fins des Grecs ne me reffuſent pas.	U’as-tu donner fait au Ciel, trop heureuse Amarille, * Pour mériter qu'un Dieu charmé de tes appas L'abandonne, et vienne ici bas Te donner sur les miens l'avantage tranquille Que les plus fins des Grecs ne me reffusent pas.
Ju ſqu’icy ta beauté m’avoit laiſſé paiſible, Et je m’imaginois que ſans trop me flatter 2 La Bergere la plus ſenſible Neut oſé me le diſputer?	Ju squ'ici ta beauté m'avait laissé paisible, Et je m'imaginais que sans trop me flatter 2 La Bergère la plus sensible Neut osé me le disputer?
Mais enfin s’en eſt fait puiſqu’un Dieu qui t’aime Prononce en ta faveur & te pré fere à moy, Je demeure d’accord que j’eus un tort extrême De m’oſet comparet à toy.	Mais enfin s'en est fait puisqu'un Dieu qui t'aime Prononce en ta faveur et te pré sere à moi, Je demeure d'accord que j'eus un tort extrême De m'oset comparet à toi.
Mais que dis-je ce Dieu ne l’adore peut être.	Mais que dis-je ce Dieu ne l'adore peut être.
Que parce qu’il luy croit une foible vertu, Et qu’à voir celle dont mon cœur eſt revêtu Ce Dieu deſeſperoit de s’en tendre le maître,	Que parce qu'il lui croit une faible vertu, Et qu'à voir celle dont mon cœur est revêtu Ce Dieu désespérait de s'en tendre le maître,
MOMOS.	MOMOS.
Comment oh oüy dea le moyen Que l’Amour vint à bout d’un cœur comme le ſien	Comment oh oui dea le moyen Que l'Amour vint à bout d'un cœur comme le sien
ZELIDE.	ZELIDE.
Mais enfin il l’adore & l'heureuſe Amarille Chere au plus ſouver ain de tous les immortels Va voir en ſon honneur aux champs & dans la ville Allumer de l’encens & fumer des Autels:	Mais enfin il l'adore et l'heureuse Amarille Chère au plus souver ain de tous les immortels Va voir en son honneur aux champs et dans la ville Allumer de l'encens et fumer des Autels:
Elle va de ce Dieu partager la puiſſance, Elle va partager ſon empire & ſes droits, Et nous qu’égaloit autreſois Nôtre rang & nôtre naiſſance, Il nous faudra ſoûmettre & recevoir ſes loix.	Elle va de ce Dieu partager la puissance, Elle va partager son empire et ses droits, Et nous qu'égalait autres Notre rang et notre naissance, Il nous faudra soumettre et recevoir ses lois.
Rieu pour ſubir ſes loix ſi de ſon haut rang fiere Elle ne s’enfloit point de trop de vanité, Et ſi ne ſçochant plus ce qu’elle a tant été, Elle n’inſoltoit point au beau nom de Bergere, Mais qui çroira qu’aimée & maitreſſe d’un Dieu, Elle puiſſe fermer l'entrée de ſon ame A lorgeüil qui toûjouis enflame Ceux qu’un ſort plus heuieux éleve quelque peu.	Rieu pour subir ses lois si de son haut rang fière Elle ne s'enflait point de trop de vanité, Et si ne sachant plus ce qu'elle a tant été, Elle n'insoltait point au beau nom de Bergère, Mais qui çroira qu'aimée et maîtresse d'un Dieu, Elle puisse fermer l'entrée de son âme A lorgeuil qui toûjouis enflamme Ceux qu'un sort plus hévieux élève quelque peu.
Vn Dieu:	Un Dieu:
voir un Dieu pour te plaire Etaler ſa tendreſſe, & vanter ſon ardeur Cieljamais un plus grand bonheur A-til, û contenter une ſimple Beigere:	voir un Dieu pour te plaire Etaler sa tendresse, et vanter son ardeur Cieljamais un plus grand bonheur Atil, û contenter une simple Beigère:
Voir qu’un Dieu s’humaniſe & deſcende icy bas 6a Comme il a fait pour ma rivalle:	Voir qu'un Dieu s'humanise et descende ici bas 6a Comme il a fait pour ma rivale:
icon, n'u eſt point de gione acette gloire égale, Et je l’acheterois au prix de cent trépas	icon, n'u est point de gione acte gloire égale, Et je l'achèterais au prix de cent trépas
MOMUS, Cent trépas:	MOMUS, Cent trépas:
c’eſt trop peus mais ſi tu veux pour milJe ſuis prêt de t’aimer tout autant qu’Amarille.	c'est trop pussy mais si tu veux pour mile suis prêt de t'aimer tout autant qu'Amarille.
[le	[le
ZELIDE, Quoy vous pourriez, Seigneur, vous reſoudre à MOMUS.	ZELIDE, Quoi vous pourriez, Seigneur, vous résoudre à MOMUS.
[m’aimer	[m'aimer
A t'aimer en mourant gaye comme Lucrece Afin de m’aſſeurer de toute ta tendreſſe, Et combienje t’ay ſçû charmer.	A t'-aimer en mourant gaie comme Lucre Afin de m'assurer de toute ta tendresse, Et combienje t'ai su charmer.
3	3
ZELIDE.	ZELIDE.
Quoy, Seigneur pour ſe faite aimer d’une maitreſſe Les Dieux n’ont-ils point donc de plus douce careſParle-ton de mourir au Ciel pour enflamer.	Quoi, Seigneur pour se faite aimer d'une maîtresse Les Dieux n'ont-ils point donc de plus douce caresParle-ton de mourir au Ciel pour enflamer.
I ſe,	I se,
MOMUS.	MOMUS.
Oh oh!	Oh oh!
mon feu je crois te ravit en extafe De l’air dont tu tournes la phraſe, Il n’eſt pas queſtion d’adorer tes appas:	mon feu je crois te ravit en extase De l'air dont tu tournes la phrase, Il n'est pas question d'adorer tes appas:
Je dis que pas mille trépas Tu peux meriter ma tendreſſe, Et que c’eſt ſeulement en ne differant pas Que tu peux t’eſlever au haut rang de Déeſſe	Je dis que pas mille trépas Tu peux mériter ma tendresse, Et que c'est seulement en ne différant pas Que tu peux t'élever au haut rang de Déesse
ZELIDE.	ZELIDE.
Veit-on encor jamais tel galimatias.	Vit-on encor jamais tel galimatias.
Hé quoy!	Hé quoi!
qui peut aimer peut-il vouloir qu’on meure	qui peut aimer peut-il vouloir qu'on meure
MOMUS.	MOMUS.
Sans doute, & tant de jeunes veaux Qu’aux Autels on tuë à toute heure Te ſont une preuve aſſez ſeure Que les meurtres nous ſemblent beaux.	Sans doute, et tant de jeunes veaux Qu'aux Autels on tue à toute heure Te sont une preuve assez sûre Que les meurtres nous semblent beaux.
L’uſage eſt peu commun chez vous autres Mortels D’exprimet vôtre ardeur au prix de vôtre vie, Mais chez nous c’eſt la mode a quoy je te convie:	L'usage est peu commun chez vous autres Mortels D'exprimet votre ardeur au prix de votre vie, Mais chez nous c'est la mode a quoi je te convie:
jatnais on ne nous lacniue Qu'on n’enſanglante nos Autels.	jatnais on ne nous lacnive Qu'on n'ensanglante nos Autels.
ZELIDE.	ZELIDE.
Quelle mode, vray Dieu, quoy pour vous pouvoir Vous me conſeillez de mourir, [ plaire Et quand dans le tombeau j’aurois rejoint ma mere Dequoy vous pourrois-je guerir?	Quelle mode, vrai Dieu, quoi pour vous pouvoir Vous me conseillez de mourir, [ plaire Et quand dans le tombeau j'aurais rejoint ma mère Dequoy vous pourrais-je guérir?
MOMUS.	MOMUS.
Ne t’inquiette point de mon ordre informée Obeïs ſeulement, fais ce que je te dis:	Ne t'inquiette point de mon ordre informée Obéis seulement, fais ce que je te dis:
Hâte-toy de mourir ce ne fut qu’à ce prix Que du grand Jupiter Semelé fut aimée;	Hâte-toi de mourir ce ne fut qu'à ce prix Que du grand Jupiter Semelé fut aimée;
Meurs ferme, & du même œil enviſage la mort Que ſi pour te baiſer je faiſois quelque effort.	Meurs ferme, et du même œil envisage la mort Que si pour te baiser je faisais quelque effort.
Fais luy compliment ſur ſes chatmes D’auſſi loin que tu la verras, Et luy dis, Monſieur le trépas, En verité vous avez tant d’appas & vocit a depraii quejarruslends les aimes:	Fais lui compliment sur ses chatmes D'aussi loin que tu la verras, Et lui dis, Monsieur le trépas, En vérité vous avez tant d'appas et vocit a dépraii quejarrûlends les aimes:
Car ſi tu la voyois d’un œil pec reſolu, Et qu’à tes yeux la mort ne parut pas aimable.	Car si tu la voyais d'un œil pec résolu, Et qu'à tes yeux la mort ne parut pas aimable.
ZELIDE.	ZELIDE.
Ce marché là Seigneur, o’eſt pas encor conclu.	Ce marché là Seigneur, o’est pas encor conclu.
MOMUS.	MOMUS.
Je te laiſſe y penſer, petite Impitoyable, Ah que ſi tu voulois avant qu’il fut deux jouts, Mais quelqu’un vient.	Je te laisse y penser, petite Impitoyable, Ah que si tu voulais avant qu'il fut deux jouts, Mais quelqu'un vient.
Adieu le lieu n’eſt pas tenaEcoute, coin unique à Pyrrha nos Amours, [ble Fais luy de mes ardeurs un recit aſſez ample, Et luy dis que je ſuis allé l’attendre au Temple.	Adieu le lieu n'est pas tenaÉcoute, coin unique à Pyrrha nos Amours, [ble Faisaine de mes ardeurs un récit assez ample, Et lui dis que je suis allé l'attendre au Temple.
SCENE III.	SCÈNE III.
LELIDE, AMARILLE.	LELIDE, AMARILLE.
ZELIDE.	ZELIDE.
Voir quel eſt vorte bonheur A Lois qu’un Dieu s’empreſſe à vous plaïre.	Voir quel est vorte bonheur A Lois qu'un Dieu s'empresse à vous plaïre.
Et qu’il quitte le Ciel ſon ſejour ordinaire Pour vous venir icy témoigner ſon ardeur, Je ne ſçais ſi je dois encor vous nommer ſœur.	Et qu'il quitte le Ciel son séjour ordinaire Pour vous venir ici témoigner son ardeur, Je ne sais si je dois encor vous nommer sœur.
Le ſort eſt ſi remuly de gloire De voir un Dieu b û er pour nous, il eſt bien diffienie a ctoire Qu'au milieu d’un état ſi doux On ne perde pas la memoïre – De ceux même de qur l’on ſe montroit jaloux.	Le sort est si remuli de gloire De voir un Dieu battu er pour nous, il est bien diffienie a ctoire Qu'au milieu d'un état si doux On ne perde pas la memoïre De ceux même de on se montroit jaloux.
AMARILLE.	AMARILLE.
Il eſt certain que c’eſt une douceur extême De voir pour oous gagner le cœur Vn Dieu comime celuy qui m’aime Nous jurer à nos yeux une éternelle atdeur, Ce n’eſt rien que l’Amour que vous portent les hommes, La pluſpart deux ne ſçait ce que c’eſt que d’aimer, Sur taut au pays où nous ſommes e ne ſ ais comme on peut ſe laiſſer eoflamer Ley bergers de ces lieux n’ont oy foy n’y conſtance, Ils ne reſpirent tien que ſang & que trépas, Et dans leur froide ind fference, Outre qu’ils ne vous ayment pas, Ils ont bien ſouvent l’impudence De mettre leurs foib es appas Avec les nôtres en balance.	Il est certain que c'est une douceur extême Dé es pour oût gagner le cœur Un Dieu comime celui qui m'aime Nous jurer à nos yeux une éternelle atdeur, Ce n'est rien que l'Amour que vous portent les hommes, La plupart deux ne sait ce que c'est que d'aimer, Sur taut au pays où nous sommes eût ne n de ce on peut vero laisser Le Beau bergers de ces lieux n'ont oi foi n'y constance, Ils ne respirent tien que sang et que trépas, Et dans leur froide ind fference, Outre qu'ils ne vous aiment pas, Ils ont bien souvent l'impudence De mettre leurs foib es appas Avec les nôtres en balance.
Les Dieux aiment bien autrement, Ils ne cõptent pour rien leurs attraus ni leues chorIls font toute leut gloire & leut contentemeniſme.	Les Dieux aiment bien autrement, Ils ne comptent pour rien leurs attraus ni lèves chorIls font toute lut gloire et lut contentemenisme.
D’avoüer nôſte empire & nous rendre les armes, Er c'eſt a qui pourra par les pleurs & les tarmes Se montret plus ſincere & plus parfait Amant.	D'avouer nôste empire et nous rendre les armes, Er c'est à qui pourra par les pleurs et les tarmes Se montret plus sincère et plus parfait Amant.
ZELIDE.	ZELIDE.
Il n’eſt pas beſoin d'avantage Que vous vous engagiez au long diſcetnement De fait dent ure un bieu qurle neuinre naraut, Et celuy d’un Berger qui tient même langage:	Il n'est pas besoin d'avantage Que vous vous engagiez au long discetnement De fait dent ure un bieu qurle neuinre naraud, Et celui d'un Berger qui tient même langage:
Je ſçais en quels diſcours s’expliqent tous les deux	Je sais en quels discours s'expliqent tous les deux
AMARILLE.	AMARILLE.
Quoy!	Quoi!
tu ſçais comme un Dieu s’exprime quand il ZELIDE.	tu sais comme un Dieu s'exprime quand il ZELIDE.
[aimePeut-être je le ſçais auſſi bien que vous même.	[aimePeut-être je le sais aussi bien que vous -être.
AMARILLE.	AMARILLE.
Je ſuis perduë!	Je suis perdue!
ô Cieux Le eruel me trahit, ô ingratutude extrême.	ô Cieux Le ervel me trahit, ô ingratutude extrême.
Mais depuis quand ſçiis-τ cõme parlent les Dieux	Mais depuis quand sçiis- cible parlent les Dieux
ZELIDE.	ZELIDE.
Depuis que l’immortel à qui vous fûtes chete Trouvant en moy quelques attraits M’aſſura que j’avois le bondeut de luy plaire, Et qu’il me confia quelques ordres ſecrets.	Depuis que l'immortel à qui vous fûtes chète Trouvant en moi quelques attraits M'assura que j'avais le bondeut de Se plaire, Et qu'il me confia quelques ordres secrets.
700	700
AMARILLE.	AMARILLE.
Ciel!	Ciel!
as-tu des carreaux aſſez pour cette tête Qui m’arrache à la fois ma proye & ta conquêtes Va joüis de l'Eſprit autant que tu voudras Ce n'eſt pas mon deſſein que d’y meitie d'obſt acle.	as-tu des carreaux assez pour cette tête Qui m'arrache à la fois ma proie et ta conquêtes Va jouis de l'Esprit autant que tu voudras Ce n'est pas mon dessein que d'y mitie d'obst acle.
ZELIDE.	ZELIDE.
MAMSAVO	MAMSAVO
La foy d’un pareil oracle A je ue me fieray pourtant pas:	La foi d'un pareil oracle À je ue me fierai pourtant pas:
O Ciel!	Ô Ciel!
avec combien de rage Elle à ſçû que j’avois entretenu ce Dieu, Si l’iogtate avoit ſçû que ce n’eſt rien que jeu Que tout ce que j’ay dit à ſon de ſavant age, Qu'elle auroit eſté loin de ce tranſport ſauvage ui faiſoit dans ſes yeux éclater tant de feu.	avec combien de rage Elle à saurait que j'avais entretenu ce Dieu, Si l'iogtate avait su que ce n'est rien que jeu Que tout ce que j'ai dit à son de savant age, Qu'elle aurait été loin de ce transport sauvage ui faisait dans ses yeux éclater tant de feu.
I!	I!
eſt aiſé de voir pour aimer cette impie Qu’il n’a pas exigé pour gage de ſa foy Qu’elle conſentît comme moy A mourir & perdre la vie.	est aisé de voir pour aimer cette impie Qu'il n'a pas exigé pour gage de sa foi Qu'elle consentît comme moi A mourir et perdre la vie.
Quand on aime un amant, quand on le croit parfait, El qu’on biûle pour luy d’une ſincere flâme, Vn mépris ſuppoſé ne peut pas tout-à fait Le faire ainſi ſortir d’une ame.	Quand on aime un amant, quand on le croit parfait, Él qu'on biûle pour lui d'une sincère flamme, Un mépris supposé ne peut pas tout-à fait Le faire ainsi sortir d'une âme.
Je ſçaut ay le faire valoir Ce mepris dont ton cœurs eſt animé trop vîte, Et tu connoîtras par la ſuite je ſçauray m’en prévaloir.	Je sa ay le faire valoir Ce mépris dont ton cœurs est animé trop vite, Et tu connaîtras par la suite je saurai m'en prévaloir.
SCENE V.	SCÈNE V.
ZELIDE, CORIDON.	ZELIDE, CORIDON.
CORIDON.	CORIDON.
E bien eſt-ce aujourd’huy que Madame Zelide A TVa ſouffrir qu’on luy vienne un peu faire la Cour Et luy parler un peu d’Amour Calis que ronta denen mamide.	E bien est-ce aujourd'hui que Madame Zélide A TVa souffrir qu'on lui vienne un peu faire la Cour Et quelque Cour un peu d'Amour Calis que ronta den mamide.
ZELIDE.	ZELIDE.
Mon Dieu, ſi Mor ſieur Coridon N'a point de comphmeat plus honnête à me faire, Il m’obligetoit bien d’aller loin du Strymon Exercer ſa valeus guerriere.	Mon Dieu, si Mor sieur Coridon N'a point de comphommeat plus honnête à me faire, Il m'obligétait bien d'aller loin du Strymon Exercer sa valeus guerrière.
voyez le beau debui de veuir de ſang froid M’inſulter à mon nez,	voyez le beau débui de vuir de sang froid M'insulter à mon nez,
CORIDON.	CORIDON.
Quand on fait ce qu’on doit On ne donne point lieu de ſe faire reprerdre.	Quand on fait ce qu'on doit On ne donne point lieu de se faire réprerdre.
ZELIDE.	ZELIDE.
Mon vray devoit ſeroir de ne vous pas entendre	Mon vrai devait seroir de ne vous pas entendre
CuMls Eh point tant de couroux, tu ſçais bien le penchant Que j’eus de tout temps pour les atmes.	CulMls Eh point tant de courroux, tu sais bien le penchant Que j'eus de tout temps pour les atmes.
ZETIDE Rien ne vous tient:	ZETIDE Rien ne vous tient:
allez vous faire conquerant.	allez -vous faire conquérant.
C’eſt vôtre vray métier que d’arracher des larmes.	C'est votre vrai métier que d'arracher des larmes.
CORIDON.	CORIDON.
Ce ſeroit bien-tôt fait au moins,	Ce serait bientôt fait au moins,
ZELIDE.	ZELIDE.
