MADAME,	MADAME,
Non, non, rien deſormais ne peut ternir ma gloire;	Non, non, rien désormais ne peut ternir ma gloire;
La victoire me ſuit, & tout ſuit la victoire:	La victoire me suit, et tout suit la victoire:
Les ſujets d’Oroſmane, & vaincus, & charmez, neiuent tomne teiy qui ies auon arme(;	Les sujets d'Orômane, et vaincus, et charmés, neivent tomne tei qui ies avon arme ici;
Du debris de ſon camp le mien ſe fortifie.	Du débris de son camp le mien se fortifie.
PHARNABASE.	PHARNABASE.
Le vaincu peut tromper le vainqueur qui s’y fie.	Le vaincu peut tromper le vainqueur qui s'y fie.
TIRIDATE.	TIRIDATE.
Sur le moindre ſoupçon, vne iuſte rigueur Perdra tous les vaincus pour ſauuer le vainqueur.	Sur le moindre soupçon, une juste rigueur Perdra tous les vaincus pour sauver le vainqueur.
PHARNABASE.	PHARNABASE.
Vos gens auec douleur ſemblent porter les armes, Quand ils verſent du ſang, ils reſpandẽt des larmes, Et vous n’eſtes ſerui dans ce mauuais deſſein, que parté qu''on jujet avu lout au Souuerain.	Vos gens auec douleur semblent porter les armes, Quand ils versent du sang, ils respandẽt des larmes, Et vous n'êtes servi dans ce mauvais dessein, que parté qu''on jujet avis lout au Souverain.
TIRIDATE.	TIRIDATE.
Soit qu’on me ſuiue icy, par amour, ou par force, Deſpoir d’vn grand butin, eſt vne belle amorce:	Soit qu'on me suive ici, par amour, ou par force, Despoir d'un grand butin, est une belle amorce:
Et puis, leur volonté ne fait pas mes deſtins, Ie ſuis Maiſtre, & mon bras ſçait punir les mutins,	Et puis, leur volonté ne fait pas mes destins, Je suis Maître, et mon bras sçait punir les mutins,
PHARNABASE.	PHARNABASE.
Eſprit dis grand Hermon, ſi ton œil me regarde;	Esprit dis grand Hermon, si ton œil me regarde;
Si tu vois le depoſt que tu mis en ma garde;	Si tu vois le dépôt que tu mis en ma garde;
Sois teſmoin qu'auiourd huy ma voix a combatu, Les ſentimens d’vn fils qui n'a pas ta vertu;	Sois témoin qu'aujourd' hui ma voix a combattu, Les sentiments d'un fils qui n'a pas ta vertu;
Et ſi l'ire des Dieux dans quelque temps l’accable, Grand Prince, ſouuiens toy qu’il en fut ſeul coupable.	Et si l'ire des Dieux dans quelque temps l'accable, Grand Prince, souviens toi qu'il en fut seul coupable.
TIRIDATE.	TIRIDATE.
Vous meſme, Pharnabaſe, ayeZ le ſouuenir Qu'vn diſcours inſolent ſe peut faire punir.	Vous -même, Pharnabase, ayeZ le souvenir Qu'un discours insolent se peut faire punir.
Chacun vit à ſa mode, & dans l'heur que i'eſpere, Ie ne me regle point au Regne de mon pere:	Chacun vit à sa mode, et dans l'heur que j'espère, Je ne me règle point au Règne de mon père:
Ce qui fut bon pour luy, ſeroit mauuais pour moy;	Ce qui fut bon pour ra, serait mauvais pour moi;
En vn mot il regnoit, & ie penſe eſtre Roy.	En un mot il régnait, et Seigneur pense été Roi.
Mais le faſcheux objet que le Deſtin m'enuoye!	Mais le fâcheux objet que le Destin m'envoie!
Dieux par quelle raiſon ſouffrez-vous qu’il me voye?	Dieux par quelle raison souffrez-vous qu'il me voie?
P TROISIESME.	 TROISIÈME.
T PHRAARTE, OROSMANE, deux GARDES, TIRIDATE, PHARNABASE,	 THRARTE, OROSMANE, deux GARDES, TIRIDATE, PHARNABASE,
PHRAARTE.	PHRARTE.
EIGNEVR, il nous a dit qu’en cette extremité, Il deſiroit parler à voſtre Maieſté.	EIGNEUR, il nous a dit qu'en cette extrémité, Il désirait parler à votre Majesté.
OROSMANE.	OROSMANE.
Impitoyable fils, ta baine eſt aſſouuie;	Impitoyable fils, ta baine est assouuie;
Tu tiens en ton pouuoir, mon Eſtat & ma vie;	Tu tiens en ton pouvoir, mon État et ma vie;
Et le ſort fauorable aux vœux du plus puiſſant, A ſouſtenu ton crime, & perdu l’innocent.	Et le sort favorable aux vœux du plus puissant, A soutenu ton crime, et perdu l'innocent.
Il ſemble que les Dieux ont changé de nature, Ou que tout icy bas n'aille qu’à l’aduenture, Puis qu'on void l'iniuſtice en ce degré qu'elle eſt, Et la vertu ſoumiſe à tout ce qui luy plaiſt.	Il semble que les Dieux ont changé de nature, Ou que tout ici bas n'aille qu'à l'aventure, Puis qu'on voit l'injustice en ce degré qu'elle est, Et la vertu soumise à tout ce qui avait plaît.
Cette main, dont le bruit en ſa gloire naiſſante, Volla des bords du Tybre, aux riuages du Xanthe;	Cette main, dont le bruit en sa gloire naissante, Volla des bords du Tibre, aux rivages du Xanthe;
Qui par tout ſurmonta les obſtacles offerts, A laiſſé choir vn Sceptre, & s’eſt ſoumiſe aux fers:	Qui par tout surmonta les obstacles offerts, À laissé choir un Sceptre, et s'est soumise aux fers:
Ta fraude, ie l’aduouë, a vaincu ma prudence;	Ta fraude, Seigneur l'avoue, a vaincue ma prudence;
I'ay commis vne fauté, & i'en fais penitence;	J'ai commis at fauté, et j'en fais pénitence;
Ie me conſume en vain en regrets ſuperflus;	Je me consume en vain en regrets superflus;
N'es-tu pas ſatisfait?	N'es-tu pas satisfait?
& que cherches-tu plus?	et que cherches-tu plus?
Veux tu bannir du monde vn innocent beau-frere?	Veux tu bannir du monde un innocent beau-frère?
Et parce que tu vois que le ſort m'eſt contraire, Ton iniuſte fureur qui m'a tant outragé, Veut-elle doublement affliger l’affligé?	Et parce que tu vois que le sort m'est contraire, Ton injuste fureur qui m'a tant outragé, Veut-elle doublement affliger l'affligé?
Ne te ſuffit-il pas, inexorable Prince, De m’auoir mis aux fers?	Ne te suffit-il pas, inexorable Prince, De m'avoir mis aux fers?
deſolé la Prouince ?	désolé la Province ?
Et verſé tant de ſang, qui monte iuſqu’aux Cieux, Pour demander vangeance à l’equité des Dieux?	Et versé tant de sang, qui monte jusqu'aux Cieux, Pour demander vengeance à l'équité des Dieux?
Veux-tu donc qu'vn abiſme, apelle vn autre abiſme ?	Veux-tu donc qu'un abîme, apelle un autre abîme ?
Et qu'vn crime en ton ame, apelle vn autre crime?	Et qu'un crime en ton âme, apelle un autre crime?
Ha!	Ha!
pardonne à Tigrane, il a trop enduré;	pardonne à Tigrane, il a trop enduré;
Laiſſe à ce pauure Printe en uqne aſſuré;	Laisse à ce pauvre Printemp en uqne assuré;
Et ſans pourſuiure encor vn deſſein ſi funeſte, Souffre que d’vn Royaume, vne ville luy reſte:	Et sans poursuivre encor un dessein si funeste, Souffre que d'un Royaume, une ville avait reste:
C’est bien la moindre part qu’vn fils y doit auoir:	C'est bien la moindre part qu'un fils y doit avoir:
Ainſi iamais le ſort nesurame ron pouuoir;	Ainsi jamais le sort nesurame ron pouvoir;
Ainſi le Ciel benin puiſſe oublier ta faute, Et ta main conſeruer le Sceptre qu'elle m'oſte.	Ainsi le Ciel bénin puisse oublier ta faute, Et ta main conserver le Sceptre qu'elle m'ôte.
TIRIDATE.	TIRIDATE.
Tiridate veut viure, ainſi qu’il a veſcu;	Tiridate veut vivre, ainsi qu'il a vécu;
Ne vaincre qu'à demy, c'eſt n’auoir pas vaincu:	Ne vaincre qu'à demi, c'est n'avoir pas vaincu:
Pour arrester mon bras, cette feinte eſt großiere:	Pour arrêter mon bras, cette feinte est groùière:
Qrimtmy ſe rende, ou morde la poußiere:	Qrimty se rende, ou morde la pouvière:
Et s’il veut obtenir quelque pitié de nous, Qu'il quitte ſes ramparts, & paroiſſe à genoux.	Et s'il veut obtenir quelque pitié de nous, Qu'il quitte ses remparts, et paraisse à genoux.
ONOOMARE.	ONOMARE.
Soit;	Soit;
pour faire ceder ſa fortune à la tienne, Souffre que ie le voye, & que ie l'entretienne:	pour faire céder sa fortune à la tienne, Souffre que je le voie, et que personne l'entretienne:
TIRIDATE.	TIRIDATE.
Allez faire ranger mes gens de toutes parts, Et qu’on le meine apres au pied de ces ramparts;	Allez faire ranger mes gens de toutes parts, Et qu'on le mène a au pied de ces remparts;
Faites ſommer ce fils de parler à ſon pere:	Faites sommer ce fils de parler à son père:
Mais ſi leur entretien n'eſt tel que ie l’eſpere, Et que cet orgueilleux perſiſte en ſon deſſein, Qu'on luy mette à l’inſtant vn poignard dans le ſein.	Mais si leur entretien n'est tel que pr l’espère, Et que cet orgueilleux persiste en son dessein, Qu'on a mette à l'instant un poignard dans le sein.
Phraarte, il ſuffira d’en faire bien la feinte;	Phraste, il suffira d'en faire bien la feinte;
Car ie veux ſeulement l’eſmouuoir par la crainte;	Car Ne veux seulement l'émouvoir par la crainte;
Si ſon fils ne ſe rend, ſans luy faire aucun mal, Qu'on donne à l'heure meſme vn aſſaut general:	Si son fils ne se rend, sans lui faire aucun mal, Qu'on donne à l'heure même un assaut général:
Il paroiſt ſur la Tour, alleZ en diligence Preparer les moyens d’vne illuſtre vangeance:	Il paraît sur la Tour, allez en diligence Préparer les moyens d'une illustre vengeance:
Le voilà, depeſchez, contenteZ mon eſprit, Et ne manqueZ a rien de ce que i’ay preſcrit.	Le voilà, dépêchez, contentez mon esprit, Et ne manquez a rien de ce que j'ai prescrit.
D 4 LA VIIRIDSME.	DE 4 LA VIRIDSME.
POLIXENE, TIGRANE, P	POLIXENE, TIGRANE, P
POLIXENE.	POLIXENE.
NFIN Seigneur, enfin, l'eſpoir nous abandonne, Et pour me conſeruer, vous perdez la Couronne:	NAFIN Seigneur, enfin, l'espoir nous abandonne, Et pour me conserver, vous perdez la Couronne:
Ha!	Ha!
deſtourneZ ces yeux que ie voy tous en pleurs, Du viſage fatal qui cauſe vos malheurs.	détournez ces yeux que ici vois tous en pleurs, Du visage fatal qui cause vos malheurs.
Priuez-le, priueZ-le de cette grace inſigne;	Privez-le, privez-le de cette grâce insigne;
Ne le regardeZ plus, puis qu'il en eſt indigne;	Ne le regardez plus, puis qu'il en est indigne;
Ie trouue que chacun a droit de me blaſmer;	Je trouve que chacun a droit de me blâmer;
Mes yeux ont fait vn crime, en me faiſant aimer.	Mes yeux ont fait un crime, en me faisant aimer.
Mais Seigneur, dans l'eſtat où le Deſtin nous range, Faites que voſtre main me puniſſe & vous vange.	Mais Seigneur, dans l'état où le Destin nous range, Faites que votre main me punisse et vous venge.
Vous pouuez restablir voſtre premier bon-heur, Et ſauuer voſtre Eſtat, en ſauuant mon honneur.	Vous pouvez rétablir votre premier bonheur, Et sauver votre État, en sauvant mon honneur.
AccordeZ moy la mort, ie n’attens autre choſe:	Accordez -moi la mort, je n'attends autre chose:
L’effet ſera deſtruit, ſi l'on deſtruit la cauſe;	L'effet sera détruit, si l'on détruit la cause;
Et ce cruel Tiran qui ne cherche que moy, Quand ie ne ſeray plus, deliurera le Roy.	Et ce cruel Tyran qui ne cherche que moi, Quand Je ne serai plus, délivrera le Roi.
N'eſcouteZ point, Seigneur, noſtre amour qui vous flatte;	N'écoutez point, Seigneur, notre amour qui vous flatte;
Ne ſongez point à moy, penſeZ à Tiridate;	Ne songez point à moi, pensez à Tiridate;
Et pour vous garantir d’vn monſtre furieux, VeüilleZ hauſſer le bras, & deſtourner les yeux.	Et pour vous garantir d'une monstre furieux, VeüilleZ hausser le bras, et détourner les yeux.
TIGRANE.	TIGRANE.
Ha!	Ha!
changez de diſcours, ma chere Polixene, Vous augmentez mes pleurs, vous irritez ma peine;	changez de discours, ma chère Polixène, Vous augmentez mes pleurs, vous irritez ma peine;
Cedons, cedons pluſtoſt à la fureur du ſort;	Cédons, cédons plutôt à la fureur du sort;
SuiueZ, ie le permets, le party du plus fort;	Suivez, Seigneur le permets, le parti du plus fort;
Separez vos Deſtins de ceux d’vn miſerable;	Séparez vos Destins de ceux d'un misérable;
Eſuités ſagement ſa perte inéuitable;	Ésuitez sagement sa perte inévitable;
Et ſongés que la voſtre eſt le plus grand malheur, Que l'on puiſſe adiouſter à ma iuſte douleur.	Et songez que la vôtre est le plus grand malheur, Que l'on puisse ajouter à ma juste douleur.
Que l'Eſtat ſoit perdu, que ma perte le ſuiue;	Que l'État soit perdu, que ma perte le suive;
Qu'vn autre ſoit heureux, que Polixene viue;	Qu'un autre soit heureux, que Polixène vive;
Que de tous mes trauaux Tiridate ait le fruit;	Que de tous mes travaux Tiridate ait le fruit;
C'eſt ce que ie demande aux Dieux qui m'ont détruit.	C'est ce que ie demande aux Dieux qui m'ont détruit.
POLIXENE.	POLIXENE.
Quoy?	Quoi?
vous croyeZ Seigneur, que ie ſois aſſeZ laſche Pour ſuiure en ce malheur vn conſeil qui me faſche?	vous croyeZ Seigneur, que ainsi sois assez lâche Pour suivre en ce malheur un conseil qui me fâche?
Il ſemble que mon cœur, comme vous le traittez, Ne veüille prendre part qu'à vos felicitez!	Il semble que mon cœur, comme vous le traités, Ne veuille prendre part qu'à vos félicités!
Qu'il ne veut point courir vos diuerſes fortunes, Et ſe donner la couche, & la tombe communes?	Qu'il ne veut point courir vos diverses fortunes, Et se donner la couche, et la tombe communes?
Non, non, croyeZ Seigneur, en cette extremité, Où le bon-heur, le Sceptre, & l’eſpoir m'eſt oſté, que nous ne cedons point a la vertu d'vn autre;	Non, non, croissez Seigneur, en cette extrémité, Où le bonheur, le Sceptre, et l'espoir m'est ôté, que nous ne cédons point à la vertu d'un autre;
Et que voſtre Deſtin ſera touſiours le noſtre.	Et que votre Destin sera toujours le nôtre.
TIGRANE.	TIGRANE.
O cœur vrayment Royal, ſeul bien d’vn affligé!	Ô cœur vraiment Royal, seul bien d'un affligé!
POLIXENE.	POLIXENE.
Vnique objet du mien, cous taut Soutragé:	Unique objet du mien, cous taut Soutragé:
Mais que veulent ces gens?	Mais que veulent ces gens?
S HAV CINQVIESME.	 SAU CINQUIÈME.
H PHRAARTE, OROSMANE, DEVX GARDES, TIGRANE, POLIXENE,	H HHRARTE, OROSMANE, DEUX GARDES, TIGRANE, POLIXENE,
PHRAARTE.	PHRARTE.
E Duancés nore la porte Pendant que ie feray ce que mon ordre porte.	E Duancez nore la porte Pendant que je ferai ce que mon ordre porte.
O contrainte faſcheuſe ou ie ſuis obligé!	Ô contrainte fâcheuse ou ainsi suis obligé!
Ie te plains dans le cœur, pauure Prince affligé;	Je te plains dans le cœur, pauvre Prince affligé;
Mais ſi i'acheue en fin le deſſein que ie trame, Phraarte en te ſauuant, ſe ſauuera de blaſme.	Mais si j'achève en fin le dessein que votre trame, Phraarte en te sauvant, se sauvera de blâme.
C’eſt le Roy mon Seigneur, qui me fait t’aduertir De luy rendre la place, & d’en vouloir ſortir;	C'est le Roi mon Seigneur, qui me fait t'avertir De deux rendre la place, et d'en vouloir sortir;
Car ſi tu ne le fais, conſulte, delibere;	Car si tu ne le fais, consulte, délibère;
I’ay le commandement de poignarder ton pere.	J'ai le commandement de poignarder ton père.
TIGRANE.	TIGRANE.
O Dieux!	Ô Dieux!
en quel eſtat me trouuay-ie en ce iour?	en quel état me trouvai-je en ce jour?
Que dois-ie deuenir?	Que dois-je devenir?
Nature, honneur, Amour, Helas!	Nature, honneur, Amour, Hélas!
qui de vous trois fera pancher mon ame, Sans me combler de peine, außi bien que de blaſme?	qui de vous trois fera pencher mon âme, Sans me combler de peine, aussi bien que de blâme?
O Ciel trop rigoureux contre moy conjuré, Voulez-vous que i'agiſſe en fils deſnaturé?	Ô Ciel trop rigoureux contre moi conjuré, Voulez-vous que j'agisse en fils dénaturé?
Mais auſci vouleZ-vous que ie me rende infame, Et que mes laſchétez abandonnent ma femme?	Mais ausci voulez-vous que Seigneur me rende infâme, Et que mes laschétez abandonnent ma femme?
Et toy puiſſant Amour qui regnes dans mon cœur, Pourras-tu bien te rendre, & ſouffrir vn vainqueur?	Et toi puissant Amour qui régnès dans mon cœur, Pourras-tu bien te rendre, et souffrir un vainqueur?
O Deſtins ennemis dont la rigueur m'opreſſe!	Ô Destins ennemis dont la rigueur m'opresse!
Quoy?	Quoi?
faut-il perdre vn pere, ou bien vne Maiſtreſſe?	faut-il perdre un père, ou bien une Maîtresse?
Et dans le triſte eſtat qui me met aux abois, Croyez-vous qu'vn eſprit puiſſe faire ce choix?	Et dans le triste état qui me met aux abois, Croyez-vous qu'un esprit puisse faire ce choix?
Ouy, malgré mon amour, malgré ma jalouſie, Inuiſible bourreau de noſtre fantaiſie, La Nature l’emporte, & ce premier deuoir Comme eſtant le plus iuſte, a le plus de pouuoir:	Oui, malgré mon amour, malgré ma jalousie, Invisible bourreau de notre fantaisie, La Nature l'emporte, et ce premier devoir Comme étant le plus juste, a le plus de pouvoir:
Arreſte mal-heureux, garde bien d’entreprendre Ce deteſtable coup, puis que ie me veux rendre.	Arrête malheureux, garde bien d'entreprendre Ce détestable coup, puis que ici me veux rendre.
OROSMANE.	OROSMANE.
Tigrane, oſes-tu bien par crainte, ou par pitié, Meſpriſer la vertu, pluſtoſt que l'amitié?	Tigrane, oses-tu bien par crainte, ou par pitié, Mépriser la vertu, plutôt que l'amitié?
T’aurois-ie fait vn cœur capable de foibleſſe?	T'aurais-je fait un cœur capable de faiblesse?
Oſes-tu prononcer ce diſcours qui me bleſſe?	Oses-tu prononcer ce discours qui me blesse?
Sçache que mon eſprit ne peut ſouffrir ta vois, Qui veut faire vne injure au ſang de tant de Rois.	Sache que mon esprit ne peut souffrir ta vois, Qui veut faire une injure au sang de tant de Rois.
Parle, as-tu remarqué que i’aime aſſez la vie, Pour craindre laſchement qu'elle me ſoit rauie?	Parle, as-tu remarqué que j'aime assez la vie, Pour craindre lâchement qu'elle me soit ravie?
Et crois tu dans l’eſtat où ie ſuis deuant toy, Parce que i’ay des fers, que ie ne ſois plus Roy?	Et crois -tu dans l'état où tu suis devant toi, Parce que j'ai des fers, que ie ne sois plus Roi?
Non, des biens ſeulement la fortune ſe joüe;	Non, des biens seulement la fortune se joue;
Si tu n'es genereux, va, ie te deſauoüe.	Si tu n'es généreux, va, on te désavoue.
TIGRANE.	TIGRANE.
Mais vous pouuoir ſauuer, & ne le faire pas!	Mais vous pouvoir sauver, et ne le faire pas!
OROSMANE.	OROSMANE.
Empeſche noſtre honte, & non pas mon treſpas.	Empêche notre honte, et non pas mon trépas.
TIGRANE.	TIGRANE.
Er tueyjrumon le cœur de vous voir rauir l'ame?	Er tueyjrhumon le cœur de vous voir ravir l'âme?
OROSMANE.	OROSMANE.
Regarde ſi ie tremble en voyant cette lame:	Regarde si ici tremble en voyant cette lame:
Ha!	Ha!
c'eſt trop!	c'est trop!
LiiRchaRrE.	LiiRchaRrE.
TIGRANE.	TIGRANE.
Aſſaßin, arreſte ie me rends:	Assassin, arrête ie me rends:
OROSMANE.	OROSMANE.
L’honneur te le deffend, & ie te le deffends:	L'honneur te le défend, et ainsi te le défends:
Va mourir ſur la breſche où l'honneur te demande.	Va mourir sur la brèche où l'honneur te demande.
TIGRANE.	TIGRANE.
Me le commandez-vous?	Me le commandez-vous?
OROSMIINE.	OROSMINE.
Ouy, ie te le commande.	Oui, Seigneur te le commande.
TIGRANE.	TIGRANE.
Il vous faut obeir:	Il vous faut obéir:
OROSMANE.	OROSMANE.
Acheue, acheue moy:	Achève, achève -moi:
PHRAARTE.	PHRARTE.
ii dit ce Le viſage des Rois imprime de l'effroy;	ji dit ce Le visage des Rois imprime de l'effroi;
Aux armes compagnons:	Aux armes compagnons:
TIGRANE.	TIGRANE.
Mes Citoyens aux armes.	Mes Citoyens aux armes.
POLIXENE.	POLIXENE.
Dieux, eſpargnez le ſang, & payez vous de larmes!	Dieux, épargnez le sang, et payez -vous de larmes!
PHRAARTE.	PHRARTE.
duutie le Courage mes amis, aduancez, aduancez;	duutie le Courage mes amis, avancez, avancés;
GARDE.	GARDE.
La premiere Phalange eſt au bord des foſſez.	La première Phalange est au bord des fossés.
A l'aſſaut, PHRAARTE.	À l'assaut, PHRARTE.
TIGRANE.	TIGRANE.
A la mort,	À la mort,
OROSMANE.	OROSMANE.
Meurs en fils d’Oroſmane, Comme ie vay mourir en pere de Tigrane.	Meurs en fils d'Orômane, Comme ici vais mourir en père de Tigrane.
Fin du premier Acte.	Fin du premier Acte.
IY XT TIRIDATE, ORMENE, PHARNABASE, OHSDANDRE, fECVBE, troupe de GARDES, OROSMANE, troupe de CITOYENS, PHRAARTE, TIGRANE, POLIXENE.	IY XT TIRIDATE, ORMENE, PHARNABASE, OHÉDANDRE, fECUBE, troupe de GARDES, OROSMANE, troupe de CITOYENS, PHRARTE, TIGRANE, POLIXENENE.
SENE TREMIERE.	SENE TREMIERE.
TIRIDATE, ORMENE, PHARNABASE, CASSANDRE, HECVBE, troupe de GARDES.	TIRIDATE, ORMENE, PHARNABASE, CASSANDRE, HÉCUBE, troupe de GARDES.
62 TIRIDATE.	62 TIRIDATE.
Entrez, rentrez Madame, & ne m'empeſcheZ pas D'aller voir auiourd'huy la fin de nos combats:	Entrez, rentrez Madame, et ne m'empêchez pas D'aller voir aujourd'hui la fin de nos combats:
Il n'eſt rien de plaiſant pour vne ame offenſée, Comme l’affreux objet d’vne ville forcée:	Il n'est rien de plaisant pour une âme offensée, Comme l'affreux objet d'une ville forcée:
C’eſt là que le deſordre eſt agreable aux yeux;	C'est là que le désordre est agréable aux yeux;
C’eſt là que doit paraiſtre vn cœur victorieux:	C'est là que doit paraître un coeur victorieux:
Car au milieu des morts, du ſang, & de la proye, Le feu qui la deuore, eſt vn beau feu de joye.	Car au milieu des morts, du sang, et de la proie, Le feu qui la dévore, est un beau feu de joie.
ORMENE.	ORMENE.
Seigneur, oyez la voix de ma iuſte amitié;	Seigneur, oyez la voix de ma juste amitié;
En faueur de mon frere, eſcoutez la pitié;	En faveur de mon frère, écoutez la pitié;
Songez, que la rigueur peut obſcurcir la gloire, Et n'enſanglanteZ point vne belle victoire.	Songez, que la rigueur peut obscurcir la gloire, Et n'ensanglantez point une belle victoire.
Certes quand ſon peché ſeroit meſme infini, Confeſſez-moy, Seigneur, qu'il eſt aſſeZ puni:	Certes quand son péché serait même infini, Confessez-moi, Seigneur, qu'il est assez puni:
Sien qu'on te laiſſe viure, & bien qu'on luy pardonne, Vn Prince a tout perdu, quand il perd la couronne;	Sien qu'on te laisse vivre, et bien qu'on lui pardonne, Un Prince a tout perdu, quand il perd la couronne;
Ainſi vous ne prenez que des ſoins ſuperflus, Car Tigrane eſt encor, mais le Prince n'eſt plus.	Ainsi vous ne prenez que des soins superflus, Car Tigrane est encor, mais le Prince n'est plus.
TIRIDATE.	TIRIDATE.
Enfin ie voy voſtre ame, & ie remarque en elle Cette laſche pitié qui la rend criminelle:	Enfin ici vois votre âme, et ie remarque en elle Cette lâche pitié qui la rend criminelle:
L’intereſt d’vn mary qui vous deuroit toucher, Cede à celuy d'vn frere, infidelle, & plus cher:	L'intérêt d'un mari qui vous devrait toucher, Cède à celui d'un frère, infidèle, et plus cher:
Et par cette requeſte, à bon droit rejettée, Vous oublieZ le rang où vous eſtes montée:	Et par cette requête, à bon droit rejettée, Vous oubliés le rang où vous êtes montée:
Mais bien que voſtre eſprit, ſoit pour luy contre moy, Si ſuis-ie voſtre eſpoux, ſi ſuis-ie voſtre Roy.	Mais bien que votre esprit, soit pour lui contre moi, Si suis-je votre époux, si suis-je votre Roi.
ORMENE.	ORMENE.
Seigneur, ces noms ſacreZ ſont graueZ en mon ame;	Seigneur, ces noms sacrés sont gravés en mon âme;
Mais quoy, ie ſuis ſa ſœur:	Mais quoi, Seigneur suis sa sœur:
PIRIDIIE.	PIRIDIE.
Mais vous eſtes ma femme.	Mais vous êtes ma femme.
ORMENE.	ORMENE.
La Nature me parle, elle a bien du pouuoir:	La Nature me parle, elle a bien du pouvoir:
TIRIDATE.	TIRIDATE.
Contre ce que ie ſuis, rien n'en deuroit auoir:	Contre ce que Seigneur suis, rien n'en devrait avoir:
ORMENE.	ORMENE.
Ce n'eſt qu'auec reſpect que ie vous ſolicite:	Ce n'est qu'avec respect que je vous solicite:
TIRIDATE.	TIRIDATE.
La fauſſe humilité vient d'vn cœur hypocrite.	La fausse humilité vient d'un cœur hypocrite.
ORMENE.	ORMENE.
Helas!	Hélas!
dois-ie oublier.	dois-je oublier.
TIRIDATE.	TIRIDATE.
Tout, pour n'oublier pas Que la rebellion merite le treſpas.	Tout, pour n'oublier pas Que la rébellion mérite le trépas.
ORMENE.	ORMENE.
Ha!	Ha!
pleuſt au Ciel, Seigneur, que mon ame affligée Vous paruſt en l’eſtat ou vous l’auez rangée;	plût au Ciel, Seigneur, que mon âme affligée Vous parût en l'état ou vous l'avez rangée;
Vne extrême douleur s’y verroit en ce iour, Auec beaucoup de crainte, & beaucoup plus d’amour.	Une extrême douleur s'y verrait en ce jour, Avec beaucoup de crainte, et beaucoup plus d'amour.
Si vous n’eſtes Seigneur, le ſeul objet que i’aime;	Si vous n'êtes Seigneur, le seul objet que j'aime;
Si ie ne vous theris à l'eſgat de moy-meſme;	Si ici ne vous théris à l'égat de moi-même;
Puiſſay-ie maintenant eſprouuer en ces lieux, Ce que peut la colere, & des Rois, & des Dieux.	Puissé-je maintenant éprouver en ces lieux, Ce que peut la colère, et des Rois, et des Dieux.
TIRIDATE.	TIRIDATE.
Conformez donc en fin voſtre vouloir au noſtre;	Conformez donc en fin votre vouloir au vôtre;
Et ſi vous eſtes ſage eſuitez l'vne & l’autre.	Et si vous êtes sage évitez l'une et l'autre.
ORMENE.	ORMENE.
Il s’en va le volage, il s’en va l’inhumain, Me dérobant ſon cœur, enſanglanter ſa main;	Il s'en va le volage, il s'en va l'inhumain, Me dérobant son cœur, ensanglanter sa main;
Et volant vers l'objet qui captiue ſon ame, Il s’en va le chercher a trauers de la flame:	Et volant vers l'objet qui captive son âme, Il s'en va le chercher a travers de la flamme:
O frere infortuné qu'a perdu le deſtin!	Ô frère infortuné qu'a perdu le destin!
Eſpouuentable objet de ſang & de butin, Terre qui m'as veu naiſtre, accorde moy la tombe.	Espouuentable objet de sang et de butin, Terre qui m'as vu naître, accorde moi la tombe.
CASSANDRE.	CASSANDRE.
Sous les maux de l’eſprit, le corps en fin ſuccombe;	Sous les maux de l'esprit, le corps en fin succombe;
ij Dreer forte oous mumque, ue teint vous paſlit.	ijà Dre forte oous mumque, ue teint vous pâlit.
HECVBE.	HÉCUBE.
Souffrez qu'on vous ſouſtienne, & qu'on vous porte au lit:	Souffrez qu'on vous soutienne, et qu'on vous porte au lit:
Außi bien cet obiet que le ſort vous preſente, Augmenteroit encor cette douleur cuiſante:	Aussi bien cet objet que le sort vous présente, Augmenterait encor cette douleur cuisante:
CASSANDRE.	CASSANDRE.
ouy;	oui;
irluuume, jujons de ces funeſtes lieux:	irlume, jujons de ces funestes lieux:
ORMENE.	ORMENE.
deſon pere Helas!	des père Hélas!
ie porte au cœur ce qu'on oſte à mes yeux!	Elle porte au cœur ce qu'on ôte à mes yeux!
CEENE DEVXIESME.	CÈNE DEUXIÈME.
TROVPE DE CITOYENS, OROSMANE, DEVX GARDES.	TROUPE DE CITOYENS, OROSMANE, DEUX GARDES.
22 S S VN CITOYEN.	22 S V UN CITOYEN.
Eigneur, puis que le fort vous oſte la Couronne, Qu'il abat voſtre Throſne, & qu’il nous abandonne, Accordez-nous vn bien que nous deſirons tous;	Eigneur, puis que le fort vous ôte la Couronne, Qu'il abat votre Thrône, et qu'il nous abandonne, Accordez-nous un bien que nous désirons tous;
Souffrez que vos ſujets expirent deuant vous;	Souffrez que vos sujets expirent devant vous;
Et qu’aux yeuxde celuy dont la main vous oprime, Noſtre ſang reſpandu luy reproche ſon crime.	Et qu'aux yeux celui dont la main vous opprime, Notre sang répandu autre reproche son crime.
Nos courages vnis en cette extremité, Sont tous pleins de conſtance & de fidelité;	Nos courages unis en cette extrémité, Sont tous pleins de constance et de fidélité;
Voſtre main dans les fers eſt autant reſpectée, Comme en tenant vn Sceptre elle eſtoit redoutée:	Votre main dans les fers est autant respectée, Comme en tenant un Sceptre elle était redoutée:
Et quelque indignité qu'on vous faſſe en ces lieux, Nous adorons en vous vne image des Dieux.	Et quelque indignité qu'on vous fasse en ces lieux, Nous adorons en vous une image des Dieux.
