LE TAIIINIL D’ALEXANDRE 22444 A HARDY, PARISIEN.	LE -TAIINIL D'ALEXANDRE 22444 A HARDY, PARISIEN.
l’autre de le rendre jouïſſant de ſes amours, tel deſſein hazardeux outre meſure, leur apporte neantmoins plus de gloire que de difficulté, leur reüſſiſſant ſelon les communs vœux.	l'autre de le rendre jouissant de ses amours, tel dessein hasardeux outre mesure, leur apporte néanmoins plus de gloire que de difficulté, leur réussissant selon les communs vœux.
C’eſt le ſommaire de ce beau ſujet, qui s’accommode des mieux à la Scene Françoiſe, ainſi que la lecture en ſera foy.	C'est le sommaire de ce beau sujet, qui s'accommode des mieux à la Scène Française, ainsi que la lecture en sera foi.
Arſacome.	Arsacome.
Nephelie.	Néphélie.
Leucanor.	Leucanor.
Tigrapate.	Tigrapate.
A dimache.	À dimache.
Maſée.	Masée.
Loncate.	Loncate.
Macente, Meſſager.	Macente, Messager.
Trouppe de Soldats.	Troupe de Soldats.
Sacrificateur.	Sacrificateur.
age.	age.
Trouppe de Scythes.	Troupe de Scythes.
L’ombre de Leucanor.	L'ombre de Leucanor.
Capitaine.	Capitaine.
Meſſages	Messages
LIRDITCOMU L’AMITIE' DES SCYTHES.	LIRDITCOMU L'AMITIÉ DES SCYTHES.
Ta la l SMEBIn.	Ta la l MEBIn.
ACTE I.	ACTE I.
ARSACOME, NEPHELIE, LETCANON, PIONAAMRE, Adimache, Maſée.	ARSACOME, NÉPHÉLIE, LETCANON, PIONAMRE, Adimache, Masée.
SCENE I.	SCÈNE I.
ARSACOME, NEPHELIE.	ARSACOME, NÉPHÉLIE.
Arſacome.	Arsacome.
Aiſtre des Immortels, Paphien .	Aître des Immortels, Paphien .
e redoute  Celuy qui les Tytans reuoltés mit en route;	é redoute Celui qui les Tytans révoltés mit en route;
Amour qu'ay-je commis d’illicite vers toy:	Amour qu'ai-je commis d'illicite vers toi:
ARSACUME, Eſclaue qui iamais ne te manquay de foy Qui chaque iour t'erige vn Autel dans mon ame, Qui la tienne ſans plus des DeiteZ reclame, Helas!	ARSACUME, Esclave qui jamais ne te manquai de foi Qui chaque jour t'erige un Autel dans mon âme, Qui la tienne sans plus des DeiteZ réclame, Hélas!
dequoy peux-tu coupable m'accuſer, Pourſuiuy des rigueurs dõt il te plaiſt m'vſer?	dequoy peux-tu coupable m'accuser, Poursuivi des rigueurs dont il te plaît m'user?
Eſtranger, inconnu, voila qu'vne Orithie M'eſtreint plus que Borée oncques en ma Sçythie, D’Ambaſſadeur qui vient vn tribut demander, Ie deſire celuy de mes vœux hazarder, A toy belle Maſée, à toy chaſte Princeſſe, Qui depuis vn feſtin me tortures ſans ceſſe, Où tes yeux m'élançoient certains dards enflammez, Qui rauirent les miens de merueilles charmez, Depuis ie n'ay d’object que le tien qui me plaiMon cœur vit de ſouſpirs dedans vn ſein de braiſe;	Étranger, inconnu, voilà qu'une Orithie M'être plus que Borée oncques en ma Sçythie, D'Ambassadeur qui vient un tribut demander, Je désire celui de mes vœux hasarder, A toi belle Masée, à toi chaste Princesse, Qui depuis un festin me tortures sans cesse, Où tes yeux m'élançaient certains dards enflammez, Qui ravirent les miens de merveilles charmés, Depuis ie n'ai d'object que le tien qui me plaim cœur vit de soupirs dedans un sein de braise;
Depuis i'ay negligé l’ambaſſade entrepris, Ma vie & mon honneur me tombẽt à mépris, Tous mes penſers reduits a vn ſeul qui me ronge,	Depuis j'ai négligé l'ambassade entrepris, Ma vie et mon honneur me tombẽt à mépris, Tous mes pensers réduits a un seul qui me ronge,
A la lleſcoMe Ia 301 Et dans l’horreur en fin du deſespoir me plonCar deplorable Amant ie voy déja le jour, Qui me priue à la fois de lumiere & d’amour, Demain le Roy ſon pere en publique aſſemblée Donne, ô auare loy d’injuſtice comblée!	À la llescoMe Ia 301 Et dans l'horreur en fin du désespoir me plonCar able Amant ie cy déjà le jour, Qui me prive à la fois de lumière et d'amour, Demain le Roi son père en publique assemblée Donne, ô avare loi d'injustice comblée!
Il expoſe ſa race à l’enchere de ceux, Non point que la vertu de la gloire a conceus, Non de qui l’vniuers connoiſt la renommée, Une cupidité de richeſſe affamée Chez ce Monarque fait de Gendre élection, Quiconque auraplus d’or tient ſon affection;	Il expose sa race à l'enchère de ceux, Non point que la vertu de la gloire a conçus, Non de qui l'Hivers connaît la renommée, Une cupidité de richesse affamée Chez ce Monarque fait de Gendre élection, Quiconque auraplus d'or tient son affection;
Encor ſi l’inhumain permettoit que ma belle Uſaſt d’vn libre chois qui ne pendiſt que d’elle, Magnanime d’humeur, encline à la vertu, O Arſacome!	Encor si l'inhumain permettait que ma belle Usât d'un libre chois qui ne pendît que d'elle, Magnanime d'humeur, encline à la vertu, Ô Arsacome!
alors que n'espererois-tu?	alors que n'espérerais-tu?
Certain par les regards deſa beauté craintiue, Par des mots profereZ d’vne grace naïue, Que les feux apparus de ma feinte amitié Penetrent ſa belle ame atteinte de pitié.	Certain par les regards des beauté craintive, Par des mots proférez d'une grâce naïve, Que les feux apparus de ma feinte amitié Pénètrent sa belle âme atteinte de pitié.
Puiit muirs de dépit d’vne honte coupable, Qui de la ſecourir me declare incapable;	Puiit muirs de dépit d'une honte coupable, Qui de la secourir me déclare incapable;
Perclus d'entendement, de conſeil, de raiſon;	Perclus d'entendement, de conseil, de raison;
Mais quelqu'vn s'achemine icy de ſa maiſon;	Mais quelqu'un s'achemine ici de sa maison;
Ou l’œil me trompe, ou c'eſt vne Nymphe jolie, &ue dejmiietonjuuis lna Beojes aute.	Ou l'œil me trompe, ou c'est une Nymphe jolie, etue dejmiietonjuuis na Beojes aute.
Nephelie.	Néphélie.
Luſtre de ta patrie, ains de tout l’vniuers, Une qui tes deſirs amoureux decouuerts Uoudroit recompenſer, la licence permiſe, Ores vers ta grandeur me depute commiſe, Afin de t'aduertir, afin de te prier, Que ſi ſon Geniteur tu deſires plier, Mis au nombre de ceux qui d’ardeur obſtinée Corriuaux aujourd’huy briguent ſon Hymenée, Elle-meſme conſeille à ta prudence, alors De vanter vn amas infiny de treſors, Dire qu'en la vertu de ta ſeule parole Tu fais plus fluer d’or qu’vn Tage ou vn Pactole;	Lustre de ta patrie, ains de tout l'Hivers, Une qui tes désirs amoureux découverts Uoudrait recompenser, la licence permise, Ores vers ta grandeur me députe commise, Afin de t'avertir, afin de te prier, Que si son Géniteur tu désires plier, Mis au nombre de ceux qui d'ardeur obstinée Corrivaux aujourd'hui briguent son Hyménée, Elle-même conseille à ta prudence, alors De vanter un amas infini de trésors, Dire qu'en la vertu de ta seule parole De ta plus le parole ouTage ou d' Pactole;
Que venal tu pourrois librement acheter L'Empire que là haut gouuerne Iupiter;	Que vénal tu pourrais librement acheter L'Empire que là haut gouverne Jupiter;
Untque inuention, bref les plus fortes armes Qui tes vœux couronnez luy deſſechent les larmes.	Untque invention, bref les plus fortes armes Qui tes vœux couronnés était dessèchent les larmes.
Au refus elle n'a recours que le tombeau, Ses beaux jours te perdant eſteignent leur flambeau.	Au refus elle n'a recours que le tombeau, Ses beaux jours te perdant éteignent leur flambeau.
Reſou toy là deſſus, que reſout ie luy porte Le destin de ſa mort, ou de reuiure morte.	Résou toi là dessus, que résout ie lui porte Le destin de sa mort, ou de revivre morte.
Arſacome.	Arsacome.
O Sacré témoignage, à moy plus glorieux, Que le monde courbé d’vn fer victorieux, O Deeſſe vrayment!	Ô Sacré témoignage, à moi plus glorieux, Que le monde courbé d'une fer victorieux, Ô Deesse vraiment!
qui lis en ma penſée, Encores ma faueur ie tiens recompenſée;	qui lis en ma pensée, Encores ma faveur ici tiens récompensée;
L'oracle ineſperé que ta grace me rend, Le fanal qu'elle donne à mon eſprit errant, M’obligent d’expoſer & l’honneur &t la vie, Pluſtost que ne complaire à ſa benigne enuie, Retourne de ma part luy promettre la foy, Que ie vay de ce pas offrir vn Gendre au Roy, Ma richeſſe pourtant veritable alleguée, Ielle que l'ont les Cieux au partage leguée, Qui ne ſçauroit mentir de bouche, ny d’effet, Ua, tu as la responſe à ton meſſage fait.	L'oracle inespéré que ta grâce me rend, Le fanal qu'elle donne à mon esprit errant, M'obligent d'exposer et l'honneur ett la vie, Plutôt que ne complaire à sa bénigne envie, Retourne de ma part ou promettre la foi, Que je vais de ce pas offrir un Gendre au Roi, Ma richesse pourtant véritable alleguée, Jelle que l'ont les Cieux au partage léguée, Qui ne saurait mentir de bouche, ni d'effet, Ua, tu as a réponse ton message fait.
Nephelie.	Néphélie.
L’heure approche qu’il faut ſe tenir à la ſalle, Où ſuperbe fourmille vne troupe riualle, Où déja tu peux voir aucuns te deuancer, Sage ſelon ton grade auiſe à te placer.	L'heure approche qu'il faut se tenir à la salle, Où superbe fourmille une troupe rivalle, Où déjà tu peux voir aucuns te devancer, Sage selon ton grade avise à te placer.
Quiconque entreprendra deſſur moy temeraire, A ſa confuſion s’aſſeure de le faire, Baiſe les blanches mains de Madame en mon nom.	Quiconque entreprendra dessur moi téméraire, À sa confusion s'assure de le faire, Baise les blanches mains de Madame en mon nom.
Nephelie.	Néphélie.
Ie n'y manqueray pas, Adieu.	Je n'y manquerai pas, Adieu.
Arſacome.	Arsacome.
Grande Iunon!	Grande Iunon!
Toy ſon fils genereux, qui conduis les batailles, Et vous qui rempliſſeZ de ſoulfre mes entrailles, Eſcumiere Cypris, jointe à ta race auſſi Uueillez borner mes jours, ou finir mon ſouQue refuſé-je meure, apres auoir vangée La ſincere candeur de ma flâme outragée.	Toi son fils généreux, qui conduis les batailles, Et vous qui remplissez de soulfre mes entrailles, Escumière Cypris, jointe à ta race aussi Uueillez borner mes jours, ou finir mon souQue réfusé-je meure, après avoir vengée La sincère candeur de ma flamme outragée.
SCENE II.	SCÈNE II.
LEVCANOR, TIGRAPATE ADIMACHE;	LEUCANOR, TIGRAPATE ADIMACHÉ;
ARUR CUHES Maſée.	ARUR CUHÉS Masée.
Leucanor.	Leucanor.
’Importance du cas qui vous aſſemble amis, D'ignorer ſon ſujet au moindre n'a permis, Veu que de ſiecle en ſiecle vne feſte commune, Le tige de nos Rois en la ſorte r'allume, Quand les ſœurs de l’Erebe, ou les Aſtres malins Les font ainſi que moy, de maſles orphelins, Que peu fauoriſeZ de la chaſte Lucine, L'Empire ſous eux tombe en ligne feminine:	Importance du cas qui vous assemble amis, D'ignorer son sujet au moindre n'a permis, Veu que de siècle en siècle un fête commune, Le tige de nos Rois en la sorte me, Quand les sœurs de l'Erebe, ou les Astres malins Les font ainsi que moi, de mâles orphelins, Que peu favorissez de la chaste Lucine, L'Empire sous eux tombe en ligne féminine:
Uous donc qui pretendez à ma ſucceſſion, Maſée mon espoir, & ſa poſſeſſion;	Uous donc qui prétendez à ma succession, Masée mon espoir, et sa possession;
Eſpouſe qui de dot emportera l'Empire, Sans feinte à haute voix ie vous enjoints de Lequel ſur ſon riual en biens & en pouuoir liquinte fijlemin en auaauxe mnn.	Espouse qui de dot emportera l'Empire, Sans feinte à haute voix ion vous enjoints de Lequel sur son rival en biens et en pouvoir liquinte fijlémin en avaauxe minois.
Tigrapate.	Tigrapate.
SIRE, ta Majeſté de ce doute empeſchée Semble perdre au beſoin ſa prudence cachée, Elle m'offence a tort, moy qui des plus puiſſans, Qui d’autre inferieur quelconque ne me ſens, Qui ſouuerain commande à la Gent Bactorenne, Riche en treſors, extrait d’vne race ancienne;	SIRE, ta Majesté de ce doute empêchée Semble perdre au besoin sa prudence cachée, Elle m'offense à tort, moi qui des plus puissants, Qui d'autre inférieur quelconque ne me sens, Qui souuerain commande à la Gent Bactorenne, Riche en trésors, extrait d’vne race ancienne;
Le jour me defaudroit ſi vanteur ie voulois, Inuincible nombrer mes belliqueux exploits, L'vniuers effroyé ne bruit que mes loüanges, aiane daurets erege a emen eco peuptes eſtranges, Et quiconque croira qu'on te puiſſe aſſortir Un Gendre plus puiſſant, ie le feray mentir.	Le jour me défaudrait si vanteur on voulais, Invincible nombrer mes belliqueux exploits, L'univers effroyé ne bruit que mes langes, aianège daurets érège a emen éco peuptes étranges, Et quiconque croira qu'on te puisse assortir Un Gendre plus puissant, Seigneur le ferai mentir.
Adimache.	Adimache.
Impudent, oſes-tu proferer à ma face Un blaſpheme ſi faux, & ſi remply d’audace?	Impudent, oses-tu proférer à ma face Un blâme si faux, et si rempli d'audace?
Qui te puis châtier ſelon ma volonté, Teſmoins les deux combats où tu fus ſurmonte, Où fuitif des premiers, trop lâche Capitaine,	Qui te puis châtier selon ma volonté, Témoins les deux combats où tu fus surmonte, Où fuitif des premiers, trop lâche Capitaine,
IRAGICOMEDIE.	JRAGICOMEDIE.
307 De mille corps des tiens j'enſanglãtay la plaine Où premier ie t'auois, par maniere d’ébat, D’homme à homme en champ clos preſenté le combat.	307 De mille corps des tiens j'ensanglantai la plaine Où premier toujours t'avais, par manière d'ébat, D'homme à homme en champ clos presenté le combat.
Ne te ſouuient-il plus, que depuis cet outrage Tu me preſtes vaſſal vn annuel hommage?	Ne te souvient-il plus, que depuis cet outrage Tu me prêtes vassal un annuel hommage?
Moy qui des Malliens, guerriere nation, Diſpoſe ſeul Seigneur à ma deuotion, Moy qui ſuis de parens nez parauant la Lune, Tiens tout de ma vertu, & rien de la Fortune, Moy que Mars éleua au ſortir du berceau, Moy qui ſers aux guerriers d’exemple & de flambeau;	Moi qui des Maliens, guerrière nation, Dispose seul Seigneur à ma dévotion, Moi qui suis de parents nez paravant la Lune, Tiens tout de ma vertu, et rien de la Fortune, Moi que Mars éleva au sortir du berceau, Moi qui sers aux guerriers d'exemple et de flambeau;
Qui des biens fortuits ne le cede à perſonne, Et ie n'en daignerois excepter ta Couronne, Preſt de montrer de preuue amaſſez en treſor, Dix vaſes de grãdeur monſtrueuſe, & purs d’or, Le moindre d’eux capable, outre ma renommée, De ſouldoyer dix ans vne nombreuſe armée;	Qui des biens fortuits ne le cède à personne, Et ici n'en daignerais excepter ta Couronne, Prêt de montrer de preuve amassez en trésor, Dix vases de grandeur monstrueuse, et purs d'or, Le moindre d'eux capable, outre ma renommée, De souldoyer dix ans vne nombreuse armée;
Uoila, SIRE, voila le Gendre qu'il te faut, Tu n’as en Adimache à plaindre aucun defaut, Tu le dois accepter, deſireux que ta fille Procrée des enfans dignes de ſa famille, Qui l’ayeulle vertu puißent reſſuſciter, Autrt S tiute que moy ne la peut meriter,	Uoilà, SIRE, voilà le Gendre qu'il te faut, Tu n'as en Adimache à plaindre aucun défaut, Tu le dois accepter, désireux que ta fille Procrée des enfants dignes de sa famille, Qui l'aille vertu puivient ressusciter, Autrt S ute que moi ne la peut mériter,
Arſacome.	Arsacome.
Que ces offres, Grand Roy, n’ébloüïſſent ta veue, Comme vne illuſion de charmes impourueuë;	Que ces offres, Grand Roi, n'éblouissent ta vue, Comme une illusion de charmes impourueuë;
Sans me glorifier, ſans vantiſe, & ſans fard, Ie merite en ta fille vne meilleure part, Scythe tu le ſçais bien, qui s’honore du grade Uenerable entre tous, du tiltre d’ambaſſade, Opulent au ſurplus d’vn heritage acquis, Que l’vn et l’autre Indois n'achetteroit ex quis, Digne qu'on le prefere à l’Empire du monde, Et que pouuoir aucun de mortel neſeconde.	Sans me glorifier, sans vantise, et sans fard, Je mérite en ta fille une meilleure part, Scythe tu le sais bien, qui s'honore du grade Uénérable entre tous, du titre d'ambassade, Opulent au surplus d'un héritage acquis, Que l'un et l'autre Indais n'achetterait ex quis, Digne qu'on le préfère à l'Empire du monde, Et que pouvoir aucun de mortel neseconde.
Tu le confeſſeras amy de l’équité, Du deuoir de von Tuge, & de pere acquite, Alors qu'à tel ſecret la carriere donnée, Ta fille me ſera promiſe en l’Hymenée.	Tu le confesseras ami de l'équité, Du devoir de von Tuge, et de père acquite, Alors qu'à tel secret la carrière donnée, Ta fille me sera promise en l'Hyménée.
Leucanor.	Leucanor.
Une telle demande eſtonne mes eſprits, Douteux qui t'enhardit de pourſuiure ce pris, Dequoy ſe préuaudra ſur ces Heros d'élite, Qui de tous les climats le plus ſterile habite?	Une telle demande étonne mes esprits, Douteux qui t'enhardit de poursuivre ce pris, Dequoi se prévaudra sur ces Héros d'élite, Qui de tous les climats le plus stérile habite?
La Scythie en deſerts abonde ſeulement, Où la rigueur du froid campe eternellement, Si les poſſeſſions des peuples tu compares, Uous n'estes que d’vn arc & de fléches auares, TraiſneZ de iour en iour ſur des chars vagabonds, Es quartiers reconnus d’herbages plus feconds, Nulle ville aſſemblée, outre qu’aucun commerce, Fors vn peu de beſtail, entre vous ne s’exerce, Doncques explique toy ſur ce que tu as dit Deux Princes deuancer de biens & de credit.	La Scythie en déserts abonde seulement, Où la rigueur du froid campe éternellement, Si les possessions des peuples tu compares, Uous n'êtes que d'un arc et de flèches avares, Traînés de jour en jour sur des chars vagabonds, Es quartiers reconnus d'herbages plus féconds, Nulle ville assemblée, outre qu'aucun commerce, Fors un peu de bétail, entre vous ne s'exerce, Doncques explique toi sur ce que tu as dit Deux Princes devancer de biens et du créditeur.
Arſacome.	Arsacome.
Nous à la verité que regit la prudence, N'eſtimons pas richeſſe vne large abondance De ce jaune metail qui vous eſt precieux, Le poiſon des mortels le plus pernicieux, N’auienne que jamais noſtre cœur s’y attache, Que le Scythique los en la ſorte ſe tache, Ie n'ay ny chariots, ny villes, ny Palais, Ie ne traine à ma ſuite vn ſcadron de valets, Ma richeſſe du ſort ne craint la violence, Tous les treſors du monde elle emporte en balance, Sans plus de deux amis intimes conſiſtant, A peine en l’vniuers qu'il s'en retrouue autanti Car ce ſont deux Phœnix, SIRE, ce ſont deux hommes, La gloire & l’ornement de ce ſieele où nous ſommes, mmtuiy uileu pude perfection, Ce qui te doit reſoudre à mon élection.	Nous à la vérité que régit la prudence, N'estimons pas richesse une large abondance De ce jaune metail qui vous est précieux, Le poison des mortels le plus pernicieux, N'avienne que jamais notre cœur s'y attache, Que le Scythique los en la sorte se tache, Je n'ai ici chariots, ni villes, ni Palais, Je ne traine à ma suite un scadron de valets, Ma richesse du sort ne craint la violence, Tous les trésors du monde elle emporte en balance, Sans plus de deux amis intimes consistant, A peine en lvniuers 'il s'en retrouue autanti Car ce sont deux Ri, SIRE, ce sont deux hommes, La gloire et ornement de ce sieele qu' enu eos, mmtuiy uileu ' en, Ce qui te doit résoudre mon élection.
Leucanor.	Leucanor.
O la ſimplicité ridicule et groſſiere!	Ô la simplicité ridicule et grossière!
Qui voudroit preferer la nuit à la lumiere?	Qui voudrait préférer la nuit à la lumière?
Qui ſous ombre d’auoir l’appuy de deux amis La fille d’vn Monarque épouſer s'eſt promis?	Qui sous ombre d'avoir l'appui de deux amis La fille d'un Monarque épouser s'est promis?
Combien preſimes-tu que ceux-cyt en oppoſent?	Combien présimes-tu que ceux-cit en opposent?
De combiende ſoldats penſes tu qu'ils diſpoſent, Preſts au moindre ſignal d’expirer à leurs pieds?	De combiende soldats penses tu qu'ils disposent, Prêts au moindre signal d'expirer à leurs pieds?
Les Princes de pareils ſe veulent allieZ, Choſe qui de l’Eſtat aux ſucceſſeurs importe;	Les Princes de pareils se veulent alliés, Chose qui de l'État aux successeurs importe;
Que chacun ſe me ſure, &t ſe prenne à ſa ſorte, S'erue à nos actions turuijon ue compas, Et en ta qualité ne te mécognois pas.	Que chacun se me sûre, ett se prenne à sa sorte, S'erve à nos actions turuijon ue compas, Et en ta qualité ne te méconnais pas.
Arſacome.	Arsacome.
Ma qualité confirme vn, de qui l’industrie,	Ma qualité confirme vn, de qui l'industrie,
IImMsIE 311 De qui la ſuffiſance obtient en ſa patrie Charge d’Ambaßsadeur, tu ne le peux nier, Et qui ſçait vn grand peuple à ſon gré manier, Luy mettre dans le ſein, ou la paix, ou la guerre;	IImeusIE 311 De qui la suffisance obtient en sa patrie Charge d'Ambassadeur, tu ne le peux nier, Et qui sait un grand peuple à son gré manier, Lui mettre dans le sein, ou la paix, ou la guerre;
Ses armes attirer en vne estrange terre.	Ses armes attirer en une étrange terre.
Garde toy parauant que l’on en vienne là, Qu'vn refus vergongneux me contraigne à cela, Tui ſeras aſſeuré que moy receu degendre, Pauure d’or, ie ſuis riche en fer pour te defendre, Que tous ces concurrens de muguets amaſſeZ N'oſeroient s’ébranler de ma voix menaceZ:	Garde toi parauant que l'on en vienne là, Qu'un refus vergongneux me contraigne à cela, Tui servas assuré que moi reçu degendre, Pauvre d'or, je suis riche en fer pouraie défendre, Que tous ces concurrents de muguets amassés N'oseraient s'ébranler de ma voix menacés:
Qu'au reſte ie me fie en noſtre multitude, Rien moins, ie prouueray ma ſainte ſeruitude En chaste affection vers ton ſang exceder, Uueille au victorieux ce beau prix conceder, Le champ, l’heure aſſignée que ce debat on vuide, Une équité royale à tel a-le preſide.	Qu'au reste Seigneur me fie en notre multitude, Rien moins, je prouverai ma sainte servitude En chaste affection vers ton sang excéder, Uueille au victorieux ce beau prix concéder, Le champ, l'heure assignée que ce débat on vide, Une équité royale à tel a-le préside.
Tigrapate.	Tigrapate.
Barbare, enflé d’orgueil & de preſomption, I'accepte du plus pur de mon affection, Le cartel propoſe la paction m'agrée;	Barbare, enflé d'orgueil et de présomption, J'accepte du plus pur de mon affection, Le cartel ose la paction m'agrée;
Car ce bras à punir tes pareils ſe recrée, Et rends grâce au reſpeci du Monurque pre	Car ce bras à punir tes pareils se recrée, Et rends grâce au respeci du Monurque pré
ſent.	sent.
Adimache.	Adimache.
Ne t'accable inſenſé ſous ce fardeau peſant, Il n’appartient qu'à moy de rompre ſon audace;	Ne t'accable insensé sous ce fardeau pesant, Il n'appartient qu'à moi de rompre son audace;
Si tu ne le veux ſuiure estendu ſur la place;	Si tu ne le veux suivre étendu sur la place;
Pourquoy disputez vous en forme de butin, Ce que chacun me ſçait adjugé du deſtin?	Pourquoi disputez -vous en forme de butin, Ce que chacun me sait ajugé du destin?
Pourquoy diſputez-vous de la palme obtenuë, Mienne la volonté paternelle connuë?	Pourquoi disputez-vous de la palme obtenue, Mienne la volonté paternelle connue?
Qui me preferera?	Qui me préférer?
ie n'en fuy doute aucun, A vous, non ſeulement deceus, mais à chacun, Uoiſins appariez d’vn courage vnanime, Et Epon euerent uinſi ſon purcit magnanime;	Ce n'en fui doute aucun, A vous, non seulement déçus, mais à chacun, Uaisins appariez d'H courage unanime, Et Pon euerent vinsi son purcit magnanime;
Plaiſe á ta Majeſté d’aſſeoir vn jugement, Qui le ſilence impoſe à leur enragement.	Plaise „ ta Majesté d'asseoir un jugement, Qui le silence impose à leur enragement.
Arſacome.	Arsacome.
Ha!	Ha!
brauache impudent, ta teſte, vile vſure, Et dedans peu de jours me payera l’injure.	bravache impudent, ta tête, vile usure, Et dedans peu de jours me payera l'injure.
tucanor.	tucanor.
Refrene vn peu ton ire, et n'abuſe outrageux, Te monſtrant temeraire icy, non courageux, N’abuſe du pouuoir que le grade te donne.	Refrène un peu ton ire, et n'abuse outrageux, Te montrant téméraire ici, non courageux, N'abuse du pouvoir que le grade te donne.
Pour ce ſacré reſpect ores ie te pardonne, Ta charge executée auiſe du retour, Chez les tiens pratiquant ce ſurieux amour.	Pour ce sacré respect ores lieux te pardonne, Ta charge executée avise du retour, Chez les tiens pratiquant ce surieux amour.
Arſacome.	Arsacome.
Premier que de l’affront ie coure à la vengeance, Allege ma rancueur de ce peu d’allegeance, Que la Princeſſe meſme éliſe deuant moy Celuy qu'elle prefere en conjugale loy, Nomme, ie ne tiendray tant coupable le Pere, Que mon mauuais deſtin, d’vn honteux vitu	Premier que de l'affront ie coure à la vengeance, Allege ma rancueur de ce peu d'allégeance, Que la Princesse même élise devant moi Celui qu'elle préfère en conjugale loi, Comme, je ne tiendrai tant coupable le Père, Que mon mauvais destin, d'un honteux vitu
pere.	père.
Leucanor.	Leucanor.
L’âge inconſideré, les loix, & le deuoir Ne luy donnent ſur elle vn ſemblable pouuoir, Ce ſexe ſi fragile aiſément ſe ſuborne, Et plante à ſes deſirs vne illicite borne, L’affaire me regarde & me touche de prés, Toy party nous verrons de la pouruoir aprés, Deſiſte à l’auenir d’vne eſperance vaine, Soldats qu'à ſon vaiſſeau promptement on le meine.	L'âge inconsidéré, les lois, et le devoir Ne lui donnent sur elle un semblable pouvoir, Ce sexe si fragile aisément se suborne, Et plante à ses désirs une illicite borne, L'affaire me regarde et me touche de près, Toi parti nous verrons de la pourvoir après, Désiste à l'avenir d'une espérance vaine, Soldats qu'à son vaisseau promptement on le mène.
Arſacome.	Arsacome.
Que l’eſcorne receu deſſur toy ne retombe, Que ta perte ne ſoit ma propice hecatombe, I’ay trop à ton malheur de courage & d’amis, Pour tirer ma raiſon de l'outrage commis.	Que l'écorne reçu dessur toi ne retombe, Que ta perte ne soit ma propice hécatombe, J'ai trop à ton malheur de courage et d'amis, Pour tirer ma raison de l'outrage commis.
Leucanor.	Leucanor.
Ainſi l’Aspic bleßé d’vne mortelle playe Auec ſon ſifflement ſe retire en ſa haye, Maintenant deliuré du bruit de ce freſlon, Cruel de volonté, mais mouſſe d’aiguillon, Adimache tu as la voix de mon ſuffrage, Tu obtiens, ie le veux, Maſee en mariage;	Ainsi l'Aspic blesé d'une mortelle plaie Vec son sifflement se retire en sa haie, Maintenant délivré du bruit de ce frêlon, Cruel de volonté, mais mousse d'aiguillon, Adimache tu asse la voix de mon suffrage, Tu obtiens, était le veux, Mase en mariage;
Sus, touchez en la main tous deux deuant l’Autel, Qu'au premier infracteur ce iour luy ſoit mortel Infracteur de la loy que requieit l’Hymenée;	Sus, touchez en la main tous deux devant l'Autel, Qu'au premier infrateur ce jour lui soit mortel Infracteur de la loi que requiequit l'Hyménée;
Mtà ſué d'on te vient vne faccestonnée:	Mtà sué d'on te vient une faccestonnée:
Quaſi comme en deſdain refuſant ce bon-heur, Te ſemble d’eſpouſer ce Prince peu d’honneur?	Quasi comme en dédain refusant ce bonheur, Te semble d'épouser ce Prince peu d'honneur?
Maſée.	Masée.
SIRE, ie le repute infiny de merite, Au contraire offenſé du ſort de ſon élite, Ma triſteſſe ne ſort que du commun danger, Qu'à mon occaſion braſſeroit l’étranger, Fort en l’appuy d’vn peuple à qui ja trib ut aire Ruons donnons on ſuſet ut guerrt coiontaire.	SIRE, Seigneur le répute infini de mérite, Au contraire offensé du sort de son élite, Ma tristesse ne sort que du commun danger, Qu'à mon occasion brasserait l'étranger, Fort en l'appui d'un peuple à qui ja trib ut aire Ruons donnons on suset ut guerrt coiontaire.
Leucanor.	Leucanor.
Folle ce ſoin te paſſe, & d’autres plus prudens Pouruoiront, ne techaille, à de tels accidens, Ne penſe qu'à te peindre vne face amoureuſe, Ne penſe qu'à tenir vne ame langoureuſe Sur ta léure pâmée, & plaire a la moitié Que ie ſçay reciproque enuers toy d'amitié;	Folle ce soin te passe, et d'autres plus prudents Pourvoiront, ne techaille, à de tels accidents, Ne pense qu'à te peindre une face amoureuse, Ne pense qu'à tenir une âme langoureuse Sur ta lure pâmée, et plaire à la moitié Que Seigneur Seigneur reciproque envers toi d'amitié;
Entrons dans le Palais amis, que noſtre joye Iuſques au Ciel voûté à l’enuy ſe déploye, Qu'vn feſtin ſe celebre, vn feſtin ſolennel, d uuſpteesu nos Anuiis uc von neut cternel.	Entrons dans le Palais amis, que notre joie Jusques au Ciel voûté à l'ennui se déploie, Qu'un festin se célèbre, un festin solennel, d' uuspteesu nos Anuiis uc on neut cernel.
ACTE II.	ACTE II.
ARSACOME, LONCATE, MACENTE, NEPHELIE, MASEE Adimache.	ARSACOME, LONCATE, MACENTE, NÉPHÉLIE, MAZÉ Adimache.
SCENE I.	SCÈNE I.
ARSACOME, LONCATE, Macente.	ARSACOME, LONCATE, Macente.
Arſacome.	Arsacome.
