ARGVMENT.	ARGUMENT.
On ne s’en doit vanter, non plus que d’amoir mis Le pied ſans y penſer ſous vn nid de fourmis:	On ne s'en doit vanter, non plus que d'amoir mis Le pied sans y penser sous un nid de fourmis:
Mais apprendre à marcher à la ſouche d’vn arbre, Donner du ſentiment à la durté du marbre, Faire voir le Soleil à ceux qui ſont ſans yeux, Eſt veritablement vn miracle des Dieux;	Mais apprendre à marcher à la souche d'un arbre, Donner du sentiment à la durté du marbre, Faire voir le Soleil à ceux qui sont sans yeux, Est véritablement un miracle des Dieux;
dInppue mnuoriger à l’amoureuſe peine, Eſt ſans doute vn effect de la beauté d'Heleine.	dInpue mnuoriger à l'amoureuse peine, Est sans doute un effet de la beauté d'Hèleine.
DORIS.	DORIS.
N’eſt beſoin d’vn viſage en ſes traits ſi parfait!	N'est besoin d'H visage en ses traits si parfait!
DAPHNIS.	DAPHNIS.
Et s’il en falloit moins, que ne l’auez vous fait?	Et s'il en fallait moins, que ne l'avez -vous fait?
Ie ne lay pas voulu.	Je ne lai pas voulu.
DORIS.	DORIS.
DAPANIDE.	DAPANIDE.
Dites mieux ma compagne, Vous ne l’auez pas ſceu,	Dites mieux ma compagne, Vous ne l'avez pas su,
DORIS.	DORIS.
tel effect ie dedaigne.	tel effet Seigneur dedaigne.
DAPHNIS.	DAPHNIS.
Un dou parterdenſi lors qu'un ne peut ranger, Par defaut de bon heur, ſous ſes loix vn Berger.	Un dou parterdents lors qu'un ne peut ranger, Par faut de bon heur, sous ses lois un Berger.
DORIS.	DORIS.
Diſcret il n’a voulu parler de mon viſage.	Discret il n'a voulu parler de mon visage.
AarfNIDE.	AarfNIDE.
C’eſt que de vos appas il redoute l’image.	C'est que de vos appas il redoute l'image.
DAPHNIS.	DAPHNIS.
Ouy, ſans doute craignant d’en eſtre vn iour eſpris.	Oui, sans doute craignant d'en être un jour épris.
Et de la voir venger apres vn tel meſpris.	Et de la voir venger après un tel mépris.
DORIS.	DORIS.
Vous pourriez en riant prononcer vn oracles Car quand vous m'aymerez ce n'eſt pas vn miracle.	Vous pourriez en riant prononcer un oracles Car quand vous m'aimerez ce n'est pas un miracle.
DAPHNIDE.	DAPHNIDE.
Dupnins huec le temps vous en pourriez patir, Et de ce vain diſcours trop tard vous repentir.	Dupnins huec le temps vous en pourriez pâtir, Et de ce vain discours trop tard vous repentir.
DAPHNIS.	DAPHNIS.
La froideur de l'Hyuer, fait que deſſus la terre, Le Ciel ne darde point les flames du tonnerre, La miene me deffend de meſme de vos feux, Dvin pour m’engarder ie ne fais point de vœux, Et ſans me ſoucier de vous mettre en colere, Ie dis, quãd vous voudriez vous ne me ſçauriés plaire.	La froideur de l'Hiver, fait que dessus la terre, Le Ciel ne darde point les flammes du tonnerre, La miene me défend de même de vos feux, Dune pour m'engarder ainsi ne fais point de vœux, Et sans me soucier de vous mettre en colère, Je dis, quand vous voudriez vous ne me sçauriés plaire.
DORIS.	DORIS.
Daphnide, mon cher cœur!	Daphnide, mon cher cœur!
helas ſi tu ſçauois!	hélas si tu savais!
Sous quel ſort malheureux auiourd’huy tu me vois, Tu ne rirois pas tant, & ta face abatuë Ot couurtroit ue uuom uu mulheur qui me tuë.	Sous quel sort malheureux aujourd'hui tu me vois, Tu ne rirais pas tant, et ta face abattue Ot couvrait ue uom u mulheur qui me tue.
DAPHNIDE.	DAPHNIDE.
Il ſeroit mal-ayſé de me faire pleurer, Le rire me ſied bien, ſouffre ſans murmurer.	Il serait mal-aysé de me faire pleurer, Le rire me sied bien, souffre sans murmurer.
DORIS.	DORIS.
Quoy ta gentille humeur peut rire de ma peine!	Quoi ta gentille humeur peut rire de ma peine!
Aujourd’huy l’amitié n’eſt rien qu’vne ombre vaine.	Aujourd'hui l'amitié n'est rien qu'une ombre vaine.
DAPHNIDE.	DAPHNIDE.
Ie t’ayme ſans mentir de meſme que ma ſœur.	Je t'aime sans mentir de même que ma sœur.
DORIS.	DORIS.
Ha!	Ha!
que ta bouche dit ce mot auec douceur:	que ta bouche dit ce mot était douceur:
Mais ie crains que ton cœur autre part ne s’attache:	Mais ici crains que ton cœur autre part ne s'attache:
Car tu ne t’enquiers pas du traiſtre qui me fache, Dieux!	Car tu ne t'enquiers pas du traître qui me fache, Dieux!
ce mot eſt trop foible à deſpeindre l’affront, Que cét ingrat m’a mis auiourd'huy ſur le front.	ce mot est trop faible à dépeindre l'affront, Que cet ingrat m'a mis aujourd'hui sur le front.
L’infame me meſpriſe, & ſon ame innocente N'a plus des feux ſinon de ſa nouuelle amante, Il rit de mes douleurs, ſe plaint à ſa raiſon De l’auoir ſi long temps laiſſé dans ma priſon, Ayant de ſon amour l’ancienne flame eſteinte, Fait des contes de moy, ſe moque de ma plainte, Tu l’as veu ce matin n’adorer que mes yeux, Le traiſtre ne l’a fait que pour me pipermieux.	L'infâme me méprise, et son âme innocente N'a plus des feux sinon de sa nouvelle amante, Il rit de mes douleurs, se plaint à sa raison De l'avoir si long temps laissé dans ma prison, Ayant de son amour l'ancienne flamme éteinte, Fait des contes de moi, se moque de ma plainte, Tu inon vu ce matin n'adorer que mes yeux, Le traître ne l'a fait que pour me pipermieux.
DATANIDS.	DATANIDS.
Tout à bon ie te plains, hé!	Tout à bon Seigneur te plains, hé!
ma ſœur ie te prie;	ma sœur Seigneur te prie;
Conte moy par quel tour l’inconſtant t'a trahie!	Conte moi par quel tour l'inconstant t'a trahie!
DORIS.	DORIS.
Ie m’en vay te le dire, encor que le diſcours De mes cruels ennuis en redouble le cours.	Je m'en vais te le dire, encor que le discours De mes cruels ennuis en redouble le cours.
Tantoſt tous deux aſſis au bord de la fontaine, En ioüant nous grauions nos deux noms ſur l'areine, Et du tout empeſchez aux delices d’amour, Nous paſſions à couuert l’ardent midy du iour;	Tantôt tous deux assis au bord de la fontaine, En jouant nous gravions nos deux noms sur l'arine, Et du tout empêchés aux délices d'amour, Nous passions à couvert l'ardent midi du jour;
Là pour nouueaux ſermens nous diſions que la terre Darderoit vers le Ciel les flames du tonnerre, Que l’eſclat des threſors demeureroit ſans pris, Auant que nos deux cœurs peuſſent eſtre deſpris, Qu’il n’eſtoit rien ſi doux que l’amour dans la vie, Lors que s’apperceuant de la belle Syluie, Il m’a laiſſee ſeule entretenir ces bois, Et perdre dedans b'air les accens de ſa voix.	Là pour nouveaux serments nous disions que la terre Darderait vers le Ciel les flammes du tonnerre, Que l'éclat des trésors demeurerait sans pris, Avant que nos deux cœurs pussent être dépris, Qu'il n'était rien si doux que l'amour dans la vie, Lors que s'apercevant de la belle Sylevie, Il m'a laisse seule entretenir ces bois, Et perdre dedans b'air les accents de sa voix.
DAPHNIDE.	DAPHNIDE.
Sans te flatter ma ſœur, ceſte fuite indiſcrete Monſtre qu’il porte au ſein vne flame ſecrette, A u'auls te deſeonura sunefunaramn jas pai, Tuis rompre, s'il eſt vray, qu’il ne t’eſtime pas.	Sans te flatter ma sœur, cette fuite indiscrète Monstre qu'il porte au sein une flamme secrète, A u'auls te déséonura sunefunaramn jas pai, Tuis rompre, s'il est vrai, qu'il ne t'estime pas.
2 Ie ſuiuray ton conſeil, i’y ſuis trop engagée, En ſuitte s’il eſt vray que l’ingrat m’ayt changée, Ie rompray auec luy d’vne bonne façon, Et ce cœur meſpriſe m'en fera la raiſon.	2 Je suivrai ton conseil, j'y suis trop engagée, En suite s'il est vrai que l'ingrat m'ait changée, Je romprai avec lui d'une bonne façon, Et ce cœur méprise m'en fera la raison.
JCETVDIIII.	JCETUDIII.
ALACRIN, THYRSIS PHILANDRE.	ÀLACRIN, THRSIS PHILANDRE.
ALACRIN.	ÀLACRIN.
ARS, àce que ie croi, n’a point meilleure mine;	ARS, àce que ainsi crois, n'a point meilleure mine;
NISyluie à ceſte fois ne ſeroit pas tropfine En refuſant l’amour que ie luy viens offrir, Ce doute me deplaiſt ie ne le puis ſouffrir;	NISyluie à cette fois ne serait pas tropfine En refusant l'amour que ie ans viens offrir, Ce doute me déplaît ion ne le puis souffrir;
Couuert de ce harnois, en ce riche equipage, Les femmes deſormais me rendront vn hommage:	Couvert de ce harnais, en ce riche équipage, Les femmes désormais me rendront un hommage:
Mais elles ne pourront m’eſmouuoir à pitié, Syluie toute ſeule aura mon amitié.	Mais elles ne pourront m'émouvoir à pitié, Syluie toute seule aura mon amitié.
Ie veux me regarder dans ces claires fontaines, Dieux!	Je veux me regarder dans ces claires fontaines, Dieux!
vn charme puiſſant coule dedans mes veines, Le ſommeil me ſaiſit, il me faut repoſer, Et Syluie tantoſt venant pour me baiſer, Gouſtera à longs traits le nectar de ma bouche, Et prendra du plaiſir aux larcins de ma couche.	Un charme puissant coule dedans mes veines, Le sommeil me saisit, il me faut reposer, Et Syluie tantôt venant pour me baiser, Goûtera à longs traits le nectar de ma bouche, Et prendra du plaisir aux larcins de ma couche.
HYRSIS.	HYRSIS.
A la fin i’ay rompu mes fers & mes liens, Par le ſecours des Dieux la liberté ie tiens.	À la fin j'ai rompu mes fers et mes liens, Par le secours des Dieux la liberté quelque tiens.
Quoy?	Quoi?
le Satyre dort auec toutes mes armes, Rencontre bien-heureux, qui finira mes larmes;	le Satire dort était toutes mes armes, Rencontre bienheureux, qui finira mes larmes;
Ie veux premierement reprendre mon harnois, Et puis à ce bouquin faire ce que ie dois, Oeuefue fet uu murneur, donb te regrerme tuel Ie veux faire pleuuoir vne greſle menuë Des coups deſſus ton dos,	Je veux premièrement reprendre mon harnais, Et puis à ce bouquin faire ce que femme dois, Oeuefue set u murneur, donc te régrerme tuel Je veux faire pluoir une grêle menue Des coups dessus ton dos,
ALACRIN.	ÀLACRIN.
Syluie doucement, Eſt-ce ainſi comme il faut careſſer ſon amant?	Syluie doucement, Est-ce ainsi comme il faut caresser son amant?
3.	3.
Ce vilain s’imagine d’eſtre aupres de mon ame.	Ce vilain s'imagine d'être auprès de mon âme.
ALACRIN.	ÀLACRIN.
A la fin en fureur ſe conuertit ma flame;	À la fin en fureur se convertit ma flamme;
Tygreſſe!	Tigresse!
tu viendras nonobſtant ton ponuoir;	tu viendras nonobstant ton ponuoir;
Dunturthé!	Dunturthé!
qu’eſt-ce cy que vous mefaites voir?	qu'est-ce -ceci que vous mefaites voir?
Mon priſonnier qui tient ma vie en ſa puiſſance, Berger!	Mon prisonnier qui tient ma vie en sa puissance, Berger!
ie te ſupplie exerce ta clemence.	Je te supplie exerce ta clémence.
YRSIS.	YRSIS.
Sauue toy promptement, n’arreſte plus icy!	Sauve toi promptement, n'arrête plus ici!
ALACRIN.	ÀLACRIN.
Ce n’eſt pas mon deſſein que de le faire auſſi.	Ce n'est pas mon dessein que de le faire aussi.
SCENE V.	SCÈNE V.
THIRSTS, PIIILANDRE,	THIRÊTS, PIILANDRE,
HYRSIS.	HYRSIS.
A fatigue du corps & la douleur de l’ame, L Fait fortir de mon ſein vne bruſlante flame, Deſeche mon palais, & d’vn charme nouueau, Me force de laiſſer ma ſoif dans ce ruiſſeau, Approchons ce rocher, l’eau de ceſte fontaine Rafraiſchira l’ardeur qui tient mon cœur en peine;	A fatigue du corps et la douleur de l'âme, L Ait sortir de mon sein une brûlante flamme, Desche mon palais, et d'un charme nouveau, Me force de laisser ma soif dans ce ruisseau, Approchons ce rocher, l'eau de cette fontaine Rafraîchira l'ardeur qui tient mon cœur en peine;
Aſſis ſur ces gazons, il me faudra ſaouler De ceſte eau qui me plaiſt lors que ie l’ois couler.	Assis sur ces gazons, il me faudra saouler De cette eau qui me plaît lors que ieclois couler.
Dieux!	Dieux!
Combien i’en ay beu!	Combien j'en ai bu!
ô l’excellent breuuage!	ô l'excellent breuage!
Qui d’vn nouueau deſir allume mon courage.	Qui d'un nouveau désir allume mon courage.
Beuuons encor vn coup!	Buvons encor un coup!
ie penſe que les Dieux N’ont rien de plus plaiſant dans le Palais des Cieux Sus!	Les pense que les Dieux N'ont rien de plus plaisant dans le Palais des Cieux Sus!
leuons-nous debout!	Levons-nous debout!
Acheuons noſtre courſe?	Achevons notre course?
Voicy venir à moy vn ſanglier & vne ourſe, Mon bras offorce-toy, tuë ces animaux;	Voici venir à moi un sanglier et une ourse, Mon bras offorce-toi, tuue ces animaux;
I’entends autour de moy vn nombre de cheuaux:	J'entends autour de moi un nombre de chevaux:
Encor que ie ſoïs ſeul ie les veux tous combatre, Et de mon coutelas ayſement les abatre, Ils s’en ſont tous fuis;	Encor que je soïs seulait les veux tous combattre, Et de mon coutelas aisément les abattre, Ils s'en sont tous fuis;
voicy venir l'Amour!	voici venir l'Amour!
Bon-jour petit garçon, quoy tu viens à ma Cour?	Bonjour petit garçon, quoi tu viens à ma Cour?
La Lune & le Soleil ſont en grande querelle, Iupiter fay bon guet, poſe la Sentinelle, Pareſſeux Mattelots appreſtez les Vaiſſeaux, Il me prend vn deſir de courir ſur les eaux;	La Lune et le Soleil sont en grande querelle, Jupiter fais bon guet, pose la Sentinelle, Paresseux Mattelots apprêtez les Vaisseaux, Il me prend un désir de courir sur les eaux;
Ie ſuis bien allé loing, bon-jourbelle Syluie:	Je suis bien allé loing, bonjourbelle Syluie:
Reſpondez à Thyrſis?	Respondez à Thyrs?
chere ame de ma vie!	chère âme de ma vie!
Vien donc que ie te baiſe, & touche ton beau ſein, Cruelle!	Viens donc que votre te baise, et touche ton beau sein, Cruelle!
ne romps pas mon amoureux deſſein?	ne romps pas mon amoureux dessein?
Quoy?	Quoi?
les Cieux, les Enfers, les Demons de la terre, Se ſont liguez entr’eux pour me faire la guerre!	les Cieux, les Enfers, les Demons de la terre, Se sont liguez entr'eux pour me faire la guerre!
Ie veux deuant leur nez, d’armes me deſpoüiller, Prenez mon coutelas, mon caſque, mon bouclier.	Je veux devant leur nez, d'armes me despoüiller, Prenez mon coutelas, mon casque, mon bouclier.
Qu'eſt-ce cy?	Qu'est-ce cy?
dans mon cœur ie ſens croiſtre la rage, Ie deuien deſireux de faire du carnage.	dans mon cœur ie sens croître la rage, Je devien désireux de faire du carnage.
Traiſtres!	Traîtres!
laiſſez moy donc, & ne m’attachez-pas, Donnez moy liberté de faire encor deux pas, Arriere Palatins, qui m’offrez des Couronnes, Ces folles vanitez ne me ſemblent point bonnes.	laissez moi donc, et ne m'attachez-pas, Donnez moi liberté de faire encor deux pas, Arrière Palatins, qui m'offrez des Couronnes, Ces folles vanités ne me semblent point bonnes.
Roland, Regnaud, Roger, approchez vous de moy, Qui veux le Roy des morts reduire ſous ma loy.	Roland, Regnaud, Roger, approchez -vous de moi, Qui veux le Roi des morts réduire sous ma loi.
HILANDRE.	HILANDRE.
Eſprits, qui cognoiſſez le pouuoir de mes charmes, Deſlogez promptement?	Esprits, qui connaissez le pouvoir de mes charmes, Dêlogez promptement?
allez querir mes armes?	allez quérir mes armes?
CENE AMYNTOR, SYLVIE.	CÈNE AMYNTOR, SYLVIE.
AMYNTOR.	AMYNTOR.
ILVVE me voicy pour implorer ta grace, OVeux-tu donc à mes feux eſtre touſiours de glace?	ILVE me voici pour implorer ta grâce, OUeux-tu donc à mes feux être toujours de glace?
Veux-tu faire mourir qui t’ayme plus que ſoy?	Veux-tu faire mourir qui t'aime plus que soi?
Qui n'a rien qui ne ſoit entier ement à toy,	Qui n'a rien qui ne soit entier ement à toi,
YLVIE.	YLVIE.
Ma volonté deuroit vous eſtre aſſez cogneuë.	Ma volonté devrait vous être assez connue.
AMARIOR.	AMARIOR.
Helas!	Hélas!
de mon coſté tournez vn peu la veuë!	de mon côté tournez un peu la vue!
YLVIE.	YLVIE.
Vous ne deuez iamais vn tel bien eſperer.	Vous ne devez jamais un tel bien espérer.
AMYNTOR.	AMYNTOR.
Ta froideur me contraint de me deſeſperer.	Ta froideur me contraint de me désespérer.
YLVIE.	YLVIE.
Adieu, cerchez ailleurs pour debiter vos feintes.	Adieu, cerchez ailleurs pour débiter vos feintes.
AMYNTOR.	AMYNTOR.
Cruelle!	Cruelle!
à tout le moins eſcoute vn peu mes plaintes!	à tout le moins écoute un peu mes plaintes!
Helas!	Hélas!
elle s’enfuit, il faut, il faut mourir!	elle s'enfuit, il faut, il faut mourir!
La ſeule mort me peut deſormais ſecourir, Oronte & ma Doris ſont à ce coup vangées:	La seule mort me peut désormais secourir, Oronte et ma Doris sont à ce coup vengées:
Car ie meurs du regret de les auoir changées.	Car ici meurs du regret de les avoir changées.
ODIVMMII.	ODIUMII.
AMYNTOR, ANTHONIN.	AMYNTOR, ANTHONIN.
AMYNTOR.	AMYNTOR.
Helas!	Hélas!
ie n’oſe pas vous dire ma douleur!	Elle n'ose pas vous dire ma douleur!
ANTHONIN.	ANTHONIN.
Eſtant de mes amis, à quoy bon ceſilence?	Étant de mes amis, à quoi bon cesilence?
AMYNTOR.	AMYNTOR.
C’eſt pour me conſeruer dans voſtre vien-velllance!	C'est pour me conserver dans votre vien-velllance!
ANTHONIN.	ANTHONIN.
Quoy?	Quoi?
me ſoupçonnez-vous d’vn defaut d’amitié?	me soupçonnez-vous d'une défaut d'amitié?
Ie veux de vos regrets en porter la moitié, Voulez-vous mes moutons?	Je veux de vos regrets en porter la moitié, Voulez-vous mes moutons?
deſirez vous ma vie?	désirez -vous ma vie?
Eſtés-Ouus amourena dt la vent ogtatr.	Estez-Ouus amourena dût la vent ogtatr.
Parlez ?	Parlez ?
elle-eſtà vous!	elle-à vous!
AMYNTOR.	AMYNTOR.
ha?	ha?
qu’il ſuffiroit bien, Berger, qu’elle approuuaſt que ie mé diſſe ſien, Qu'elle exauçaſt mes vœux auec vn doux viſage, Agreant de mes pleurs & l’offrande & l’hommage:	qu'il suffirait bien, Berger, qu'elle approuvât que je mé disse sien, Qu'elle exauçât mes vœux avec un doux visage, Agréant de mes pleurs et l'offrande et l'hommage:
Car l’iniuſte réffus qu’elle fait de me voir, Me reduit iuſtement en vn tel deſeſpoir, Ie l'adore ſans feinte, & mon ame bleſſee, A touſiours ſon portrait graué dans la penſée, I’eſtime ſon threſor, ſon heur, ſon paradis;	Car l'injuste réffus qu'elle fait de me voir, Me réduit justement en un tel désespoir, Je l'adore sans feinte, et mon âme blessée, A toujours son portrait gravé dans la pensée, J'estime son trésor, son heur, son paradis;
Et encores Berger, bien plus que ie ne dis.	Et encore Berger, bien plus que sans ne dis.
Ouy, elle eſt mon ſalut, & loing d’elle ma vie Fait autant de pitié qu’elle donne d’enuie;	Oui, elle est mon salut, et loin d'elle ma vie Fait autant de pitié qu'elle donne d'envie;
Cependant elle croit que ie ſuis vn trompeur, Et ſe garde de moy ainſi que d’vn pipeur, Eſtime que ie fuis le Roy des infidelles, Et de mon inconſtance elle a bruſlé les aiſles.	Cependant elle croit que ainsi suis un trompeur, Et se garde de moi ainsi que d'un pipeur, Estime que personne fuis le Roi des infidèles, Et de mon inconstance elle a brûlé les ailes.
ANTHONIN.	ANTHONIN.
Eſt-ce la le ſujet qui vous trouble ſi fort?	Est-ce la le sujet qui vous trouble si fort?
Aſſeurez-vous de voir vos deſſeins dans le port;	Assurez-vous de voir vos desseins dans le port;
Entrons dans le logis, vous trouuerez que i’ayme L’honneur de vous ſeruir à l’eſgal de moy-meſme.	Entrons dans le logis, vous trouverez que j'aime L'honneur de vous servir à l'égal de moi-même.
ACTE QVATRIESME.	ACTE QUATRIÈME.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ANTTIONTIV, DTEVIE, AMTNTOR.	ANTIONTIV, DTEUIE, AMTNTOR.
ALMENKOR.	ÀLMENOR.
ANTHONIN:	ANTHONIN:
EVX qui loin de la Cour cerchent la ſolitude, CEt ſuiuant le repos fuyent la ſeruitude, Bornent tous leurs deſirs aux ſoins de leurs maiſons, Et n’obſeruent des temps les diuerſes ſaiſons, Que pour l’eſpoir des bleds, & des biens de la terre;	EUX qui loin de la Cour cerchent la solitude, CEt suivant le repos fuient la servitude, Bornent tous leurs désirs aux soins de leurs maisons, Et n'observent des temps les diverses saisons, Que pour l'espoir des bleds, et des biens de la terre;
Sous vn toict abbaiſſé euitent le tonnerre:	Sous un toit abaissé évitent le tonnerre:
La pompe des habits ny l’eſclat des threſors, N’attire des Soldats les impies efforts, Pour venir rauager leur petite famille:	La pompe des habits était l'éclat des thresors, N'attire des Soldats les impies efforts, Pour venir ravager leur petite famille:
Car qui voudroit rauir vn ſoc, vne faucille?	Car qui voudrait ravir un soc, une faucille?
La pauureté les couure & leur ſert de ramparts, Les garantit des coups, des picques & des dards, Et ſous vn toict de chaume, à couuert de l’enuie Ils paſſent doucement le cours de ceſte vie:	La pauvreté les couvre et leur sert de ramparts, Les garantit des coups, des picques et des dards, Et sous un toit de chaume, à couvert de l'envie Ils passent doucement le cours de cette vie:
Leurs plaiſirs toutesfois ne ſont pas accomplis, Que la ſaincte Iunon ne les ayt eſtablis Au ioug perpetuel d’vn lien legitime, Qui leur donne le choix des voluptez ſans crime, Et leur fait eſprouuer le plaiſir que les Dieux Enuient aux mortels dans le Palais des Cieux:	Leurs plaisirs toutefois ne sont pas accomplis, Que la sainte Junon ne les ait établis Au joug perpétuel d'un lien legitime, Qui leur donne le choix des voluptés sans crime, Et leur fait éprouver le plaisir que les Dieux Envient aux mortels dans le Palais des Cieux:
Car rien n’eſt ſi parfait ny ſi exempt de blaſme, Que la ſaincte amitié de l’homme & de la femme.	Car rien n'est si parfait ici si exempt de blâme, Que la sainte amitié de l'homme et de la femme.
L’aage deſ-ja vous preſſe de cercher vn eſpoux Qui ſoulage mes ans & prenne ſoin de vous, Quand on voit griſonner le chef d’vne pucelle, On dit quelque defaut s’eſt rencontré en elle;	L'étage déjà vous presse de cercher un époux Qui soulage mes ans et prenne soin de vous, Quand on voit grisonner le chef d'une pucelle, On dit quelque défaut s'est rencontré en elle;
Il y a quelque tache en ſa race, en ſon ſang:	Il y a quelque tache en sa race, en son sang:
Car tenant parmy nous vn eſtimable rang, Elle auroit rencontré quelque party ſortable, Voylà ce que l’on dit en ce temps miſerable.	Car tenant parmi nous un estimable rang, Elle aurait rencontré quelque parti sortable, Voilà ce que l'on dit en ce temps misérable.
Pour vous mettre à couuert d’vn ſi faſcheux diſcours, Vn Berger des mieux faits bruſle de vos amours, I'allois vous le nommer, mais luy-meſme m’en priue:	Pour vous mettre à couvert d'un si fâcheux discours, Un Berger des mieux faits brûle de vos amours, J'allais vous le nommer, mais lui-même m'en prive:
Car ie voy que penſif dans ce bois ilarriue, De ma volonté donc ne vous eſcartez pas!	Car ici vois que pensif dans ce bois ilarrive, De ma volonté donc ne vous écartez pas!
Bergert quailez-vunss ou yaurepent vos pas ?	Bergert quailez-vunss ou yaurepent vos pas ?
AMYNTOR.	AMYNTOR.
Vers ces affreux rochers, image de ma belle, Qui rit de la douleur que ie ſouffre pour elle.	Vers ces affreux rochers, image de ma belle, Qui rit de la douleur que Seigneur souffre pour elle.
ANTHONIN.	ANTHONIN.
Les diſcours deſormais ne ſont plus de ſaiſon, Pluſtoſt que le Soleil qui luit ſur l’Horiſon, Ait permis à la nuict de couurir toutes choſes, Voſt re chef portera la couronne des roſes, Vos pleurs ſeront d’Amour qu’enfante le plaiſir, Et rien ne choquera voſtre ieune deſir, Dites vos ſentimens, ſans plus longue demeure?	Les discours désormais ne sont plus de saison, Plutôt que le Soleil qui luit sur l'Horison, Ait permis à la nuit de couvrir toutes choses, Vôt re chef portera la couronne des roses, Vos pleurs seront d'Amour qu'enfante le plaisir, Et rien ne choquera votre jeune désir, Dites vos sentiments, sans plus longue demeure?
A Eaaue Pluſtoſt que luy parler fais amour que ie meure!	À Eaaue Plutôt que lu parler fais amour que sans meure!
ANTHONIN.	ANTHONIN.
Quels mots proferez vous ainſi bas à l’eſcart?	Quels mots proférez -vous ainsi bas à l'écart?
Vos deſirs ſeroient-ils logez en autre part?	Vos désirs seraient-ils logez en autre part?
Hauſſez vn peu les yeux, autrement ie vous iure, Que ie ne pourray pas endurer telle iniure.	Haussez un peu les yeux, autrement je vous jure, Que je ne pourrai pas endurer telle injure.
AMINTOR.	AMINTOR.
Berger pour mon ſubjet ne la contraignez pas!	Berger pour mon sujet ne la contraignez pas!
Moins faſcheux que ſon dueil me ſeroit le treſpas.	Moins fâcheux que son deuil me serait le trépas.
YLVIE.	YLVIE.
Si vous auez ſi cher le ſoucy de me plaire, Vous deuez voſtre eſprit de cét amour diſiraire.	Si vous avez si cher le souci de me plaire, Vous devez votre esprit de cet amour disiraire.
Me laiſſer en repos, & non pas recercher Vn cœur aux traits d’amour auſſi dur qu’vn rocher, Qui meſpriſant les biens mortels de ceſte vie, Car mon oncle c’eſt là, que ie veux recercher Le repos de l'eſprit qui doit eſtre ſi cher.	Me laisser en repos, et non pas recercher Un cœur aux traits d'amour aussi dur qu'un rocher, Qui méprisant les biens mortels de cette vie, Car mon oncle c'est là, que je veux recercher Le repos de l'esprit qui doit être si cher.
Le corps en vn inſtant ſe reduit en pouſſiere, L’eſprit n’eſt point ſubiet aux loix du cimetiere.	Le corps en un instant se réduit en poussière, L'esprit n'est point sujet aux lois du cimetière.
Il briſe ſes liens & glorieux il ſort, Pour viure auec les Dieux triomphant de la mort.	Il brise ses liens et glorieux il sort, Pour vivre avec les Dieux triomphant de la mort.
ANTHONIN.	ANTHONIN.
ANTHONIN.	ANTHONIN.
Ie te feray ſubir les loix de la patrie:	Je te ferai subir les lois de la patrie:
LVIE.	LVIE.
Mon eſprit genereux ne craint voſtre furie!	Mon esprit généreux ne craint votre furie!
ANTHONIN.	ANTHONIN.
At ouno monfercatey oren quer penuemi uy ſur vous?	At ouno monfercatey oren quer penuemi sur vous?
Marchez, voſtre lenteur irrite mon courroux.	Marchez, votre lenteur irrite mon courroux.
LVIE.	LVIE.
L’ame ne ſera pas par vos rigueurs contrainte;	L'âme ne sera pas par vos rigueurs contrainte;
AMYNTOR.	AMYNTOR.
Berger conſiderez combien iuſte eſt ſa plainte.	Berger considérez combien juste est sa plainte.
ANTHONIN.	ANTHONIN.
Ne vous reculez pas, il faut, il faut venir!	Ne vous reculez pas, il faut, il faut venir!
Ou dans vne priſon miſerable finir.	Ou dans une prison misérable finir.
AMYNTOR.	AMYNTOR.
Berger pluſtoſt que voir mon vnique Geoliere, D’vne auſtere priſon eſtre la priſonniere, Arrachez-moy le cœur, i’ayme mieux la ſçauoir, caenc enmea lequeauinajasarcaue	Berger plutôt que voir mon unique Geolière, D'une austère prison être la prisonnière, Arrachez-moi le cœur, j'aime mieux la savoir, caenc enmea lequeauinajasarcaue
ANTHONIN.	ANTHONIN.
Marchez donc prõptement que ſert de vous defedre?	Marchez donc promptement que sert de vous défedre?
Il faut à la priſon, ou à l’amour ſe rendre.	Il faut à la prison, ou à l'amour se rendre.
YLVIE.	YLVIE.
Secourez moy bons Dieux!	Secourez -moi bons Dieux!
ce cruel ſans raiſon Me veut faire perir dedans vne priſon, Il veut forcer mon cœur, & contraindre mon ame A ne bruſler pour vous d’vne celeſte flame.	ce cruel sans raison Me veut faire périr dedans une prison, Il veut forcer mon cœur, et contraindre mon âme À ne brûler pour vous d'une celeste flamme.
ALMENKOR.	ÀLMENOR.
Quel bruit eſt celuy-cy?	Quel bruit est celui-cy?
qui dans ces ſacrez lieux Vient troubler ceux qui font le ſeruice des Dieux?	qui dans ces sacrés lieux Vient troubler ceux qui font le service des Dieux?
