A MONSIEUR MONSIEUR HOURLIER.	À MONSIEUR MONSIEUR HOURLIER.
A LBEEE Dieu fait miſericorde au pecheur miſerable.	À LBEE Dieu fait miséricorde au pécheur misérable.
TODIDORE.	TODIDORE.
C’eſt ce qui doit par vous eſtre conſideré.	C'est ce qui doit par vous être considéré.
ALBERT.	ALBERT.
Il faut eſtre Chreſtien.	Il faut être Chrétien.
POLIDORE.	POLIDORE.
Il eſt tres-aſſuré.	Il est très -assuré.
ALBERT.	ALBERT.
Glace;	Glace;
au hont de mieu, glate, ô Seigneur Polidore.	au hont de mieu, glate, ô Seigneur Polidore.
OLIDORE.	OLIDORE.
En!	En!
c’eſt moy qui de vous preſentement l’implore.	c'est moi qui de vous présentement l'implore.
ALBERT.	ALBERT.
Afin de l’obtenir je me jette à genoux.	Afin de l'obtenir je me jette à genoux.
LIDORE.	LIDORE.
Je dois en cét état eſtre pluſtoſt que vous.	Je dois en cet état être plutôt que vous.
ALBERT.	ALBERT.
Prenez quelque pitié de ma triſte avanture.	Prenez quelque pitié de ma triste aventure.
LI DORE.	LI DORE.
Je ſuis le ſuppliant dans une telle injure.	Je suis le suppliant dans une telle injure.
ALBERT.	ALBERT.
Vous me fendez le cœur avec cette bonté.	Vous me fendez le cœur avec cette bonté.
OLIDORE.	OLIDORE.
vous ilie ſenuez comus de tant d’humilité.	vous il senvez comus de tant d'humilité.
ALBERT.	ALBERT.
Pardon, encore un coup.	Pardon, encore un coup.
POLI'DORE.	POLI'DORE.
Helas!	Hélas!
pardon, vous meſme.	pardon, vous -même.
ALBERT.	ALBERT.
J'ay de cette action une douleurextréme.	J'ai de cette action une douleurextrême.
POLIDORE.	POLIDORE.
Et moy,j en luis touene de memé au dernier point.	Et moi,j en luis touène de mémé au dernier point.
ALBERT.	ALBERT.
J’ole vous convier qu’eſle n’éclate point.	J'ole vous convier qu'esle n'éclate point.
OLIDORE.	OLIDORE.
Helas, Seigneur Albert, je ne veux autre choſe.	Hélas, Seigneur Albert, je ne veux autre chose.
ALBERT.	ALBERT.
Conſervons mon honneur.	Conservons mon honneur.
OLIDONE.	OLIDONE.
Hé!	Hé!
oui, je m’y diſpoſe.	oui, je m'y dispose.
ALBERT.	ALBERT.
Quant au bien qu’il faudra, vous meſme en reſoudrez.	Quant au bien qu'il faudra, vous -même en résoudrez.
POLIDORE.	POLIDORE.
june veun de vos biens que ce que vous voudrez:	june veun de vos biens que ce que vous voudrez:
De tous ces intereſts je vous feray le maiſtre, Et je luis trop contencnvous le pouvez eltre.	De tous ces intérêts je vous ferai le maître, Et je luis trop contencnvous le pouvez eltre.
ALBERT.	ALBERT.
Ha!	Ha!
quel homme de Dieu!	quel homme de Dieu!
quel excez de douceur!	quel excès de douceur!
POLIDORE.	POLIDORE.
Quelle douceur, vous-meſme, apres un tel mal-heur!	Quelle douceur, vous-même, après un tel malheur!
AASER L0 Que puiſſiez vous avoir toutes choſes proſperes.	ÀASER L0 Que puissiez -vous avoir toutes choses prospères.
POLIDORE.	POLIDORE.
Le bon Dieu vous maintienne.	Le bon Dieu vous maintienne.
ALBERT.	ALBERT.
Embraſſons nous en freres.	Embrassons nous en frères.
T e n in e a da ’y conſens de grand cœur, & me réjoüis fort Que tout ſoit terminé par un heureux accord.	T eu n ' y a da 'y consens de grand cœur, et me réjouis fort Que tout soit terminé par un heureux accord.
ALBERT.	ALBERT.
J’en rends graces au Ciel.	J'en rends grâces au Ciel.
POLIDORE.	POLIDORE.
Il ne vous faut rien feindre, Voſtre reſſentiment me donnoit lieu de craindre;	Il ne vous faut rien feindre, Votre ressentiment me donnait lieu de craindre;
Et Lucile tombée en faute avec mon fils, commie on vous voit puiſſant & de bienis, et d’amis.	Et Lucile tombée en faute avec mon fils, commie on vous voit puissant et de bienis, et d'amis.
ALBERT.	ALBERT.
rieur que pailez vous la de laute, & de Lucile?	rieur que pailez -vous la de laute, et de Lucile?
POLIDORE.	POLIDORE.
Soit;	Soit;
ne commençons point un diſcours inutile:	ne commençons point un discours inutile:
Je veux bien que mon fils y trempe grandement, Meſme, ſi cela fait à voſtre allegement, I’avoûray qu’à luy ſeul en eſt toute la faute;	Je veux bien que mon fils y trempe grandement, Même, si cela fait à votre allégement, J'avourai qu'à lui seule en est toute la faute;
Que voſtre fille avoit une vertu trop haute, Pour avoir jamais fait ce pas contre l’honneur, Sans l’incitation d’un méchant ſuborneur;	Que votre fille avait une vertu trop haute, Pour avoir jamais fait ce pas contre l'honneur, Sans l'incitation d'un méchant suborneur;
Que le traiſtre a ſeduit ſa pudeur innocente, Et de voſtre conduite ainſi deſtruit l’attente;	Que le traître a séduit sa pudeur innocente, Et de votre conduite ainsi détruit l'attente;
Puiſque la choſe eſt faite, & que ſelon mes veux, Oncipiit de douecurnous met u uecold tous deux, Ne ramentevons rien, & reparons l’offence Par la ſolemnité d’une heureuſe aliance.	Puisque la chose est faite, et que selon mes veux, Oncipiit de douecurnous met u ecold tous deux, Ne ramentevons rien, et réparons l'offense Par la solennité d'une heureuse aliance.
ALBERT.	ALBERT.
O!	Ô!
Dieu, quelle mépriſe!	Dieu, quelle méprise!
& qu’eſt-ce qu’il m’aprend?	et qu'est-ce qu'il m'apprend?
Je rentre icy d’un trouble en un autre auſſi grand:	Je rentre ici d'un trouble en un autre aussi grand:
Dans ces divers tranſports je ne içay que répondre, Et, ſi je dis un mot, j’ay peur de me confondre.	Dans ces divers transports je ne jais que répondre, Et, si je dis un mot, j'ai peur de me confondre.
OLIDORE.	OLIDORE.
A quoy penſez-vous là, Seigneur Albert?	À quoi pensez-vous là, Seigneur Albert?
ALBERT.	ALBERT.
A rien:	À rien:
Remettons, je vous prie, à tantoſt l’entretien:	Remettons, je vous prie, à tantôt l'entretien:
Un mal ſubit me prend qui veut que je vous laiſſe.	Un mal subit me prend qui veut que je vous laisse.
SCENE V.	SCÈNE V.
POLIDORE.	POLIDORE.
IE lis dedans ſon ame, & voy ce qui le preſſe.	JE lis dedans son âme, et vois ce qui le presse.
A quoy que ſa raiſon l’euſt desja diſpoié, Son déplaiſir n’eſt pas encor tout apaiſé.	À quoi que sa raison l'eût déjà dispoyé, Son déplaisir n'est pas encor tout apaisé.
L’image de l’affront luy revient, & ſafuite Taſche Taſche à me déguiſer le trouble qui l’agite.	L'image de l'affront venir revient, et safuite Tâche Tâche à me déguiser le trouble qui l'agite.
Je prens part à ſa honte, & ſon deuil m’attendrit.	Je prends part à sa honte, et son deuil m'attendrit.
Il faut qu’un peu de temps remette ſon eſprit:	Il faut qu'un peu de temps remette son esprit:
La douleur trop contrainte ayſément ſe redouble.	La douleur trop contrainte aisément se redouble.
Voicy mon jeune foû d’où nous vient tout ce trouble.	Voici mon jeune toujours d'où nous vient tout ce trouble.
SCENE VI.	SCÈNE VI.
POLIDORE, VALERE.	POLIDORE, VALÈRE.
POLIDORE.	POLIDORE.
ENfin, le beau mignon, vos bons déportemens Troubleront les vieux jours d’un pere à tous modſienle.	ENfin, le beau mignon, vos bons déportements Troubleront les vieux jours d'un père à tous modsienle.
Tous les jours vous ferez de nouvelles merveilles;	Tous les jours vous ferez de nouvelles merveilles;
Et nous n’aurons jamais autre choſe aux oreilles.	Et nous n'aurons jamais autre chose aux oreilles.
VALERE.	VALÈRE.
Que fais-je tous les jours qui ſoit ſi criminel?	Que fais-je tous les jours qui soit si criminel?
En quoy meriter tant le courroux paternel?	En quoi mériter tant le courroux paternel?
POLIDORE.	POLIDORE.
Je ſuis un eſtrange homme, & d’une humeur terrible, D’accuſer un enfant ſi ſage & ſi paiſible.	Je suis un étrange homme, et d'une humeur terrible, D'accuser un enfant si sage et si paisible.
Las!	Las!
il vit comme un ſaint, & dedans la maiſon Du matin juſqu’au ſoir il eſt en oraiſon.	il vit comme un saint, et dedans la maison Du matin jusqu'au soir il est en oraison.
Dire qu’il pervertit l’ordre de la nature, Et fait du jour la nuit, ô!	Dire qu'il pervertit l'ordre de la nature, Et fait du jour la nuit, ô!
la grande impoſture!	la grande imposture!
Qu’il n’a conſideré pere, ny parenté En vingt occaſions, horrible fauſſeté!	Qu'il n'a considéré père, ni parenté En vingt occasions, horrible fausseté!
Que, de fraiche memoire, un furtif hymenée A la fille d’Albert a joint ſa deſtinée, Sans craindre de la ſuite un deſordre puiſſant, On le prend pour un autre, & le pauvre innocent Ne ſçait pas ſeulement ce que je luy veux dire!	Que, de fraîche mémoire, un furtif hyménée A la fille d'Albert a joint sa destinée, Sans craindre de la suite un désordre puissant, On le prend pour un autre, et le pauvre innocent Ne sait pas seulement ce que je lui veux dire!
Ha!	Ha!
chien, que j’ay receu du ciel pour mon martire, Te croiras tu tousjours?	chien, que j'ai reçu du ciel pour mon martyre, Te croirasût toujours?
& ne pourray-je pas, re von enle une rols lage avune Mon trepas,	et ne pourrai-je pas, ré pon enle une rols lage avune Mon trépas,
VALERE ſeul.	VALÈRE seul.
D'où peut venir ce coup?	D'où peut venir ce coup?
mon ame embaraſſée Ne voit que Maſcarille où jetter ſa penſée:	mon âme embarrassée Ne voit que Mascarille où jeter sa pensée:
Il ne ſera pas homme à m’en faire un aveu;	Il ne sera pas homme à m'en faire un aveu;
ſi faut uſer d’adreſſe, & me contraindre un peu Dals te jante counoua.	si faut user d'adresse, et me contraindre un peu Dals te jante counoua.
SCENE VII.	SCÈNE VII.
MASCARILLE, VALERE.	MASCARILLE, VALÈRE.
VALERE.	VALÈRE.
MAſcarille, mon pere Que je viens de tlouver ſçait toute noſtre affaire.	MAscarille, mon père Que je viens de tlouver sçait toute notre affaire.
Il la ſçait?	Il la sait?
MASCARILLE.	MASCARILLE.
Oui.	Oui.
VALERE.	VALÈRE.
MASCARILLE.	MASCARILLE.
D'où, diantre, a-t-il pû la ſçavoir?	D'où, diantre, a-t-il pu la savoir?
VALERE.	VALÈRE.
Je ne ſçay point ſur qui ma conjecture aſſeoir;	Je ne sais point sur qui ma conjecture asseoir;
Mais enfin d’un ſuccez cette affaire eſt ſuivie Dont j’ay tous les ſujets d’avoir l’ame ravie.	Mais enfin d'un succès cette affaire est suivie Dont j'ai tous les sujets d'avoir l'âme ravie.
Il ne m’en a pas dit un mot qui fuſt faſcheux;	Il ne m'en a pas dit un mot qui fût fâcheux;
Il excuſe ma faute, il approuve mes feux, Et je voudrois ſçavoir qui peut eſtre capable D’avoir pu rendre ainn ſon eſprit n'haitaole.	Il excuse ma faute, il approuve mes feux, Et je voudrais savoir qui peut être capable D'avoir pu rendre ainn son esprit n'haitaole.
Je ne puis t’exprimer l’aiſe que j’en reçoy.	Je ne puis t'exprimer l'aie que j'en reçoi.
MASCARILLE.	MASCARILLE.
Et que me diriez-vous, Monſieur, ſi c’eſtoit moy, Qui vous euſt procuré cette heureuſe fortune?	Et que me diriez-vous, Monsieur, si c'était moi, Qui vous eût procuré cette heureuse fortune?
VALERE.	VALÈRE.
Bon, bon, tu voudrois bien icy m’en donner d’une.	Bon, bon, tu voudrais bien ici m'en donner d'une.
MASCA	MASCA
MASCARILLE.	MASCARILLE.
C’eſt moy, vous dy-je, moy, dont le patron le ſçait, Et qui vous ay prouuit ce Iavorable effet.	C'est moi, vous dis-je, moi, dont le patron le sçait, Et qui vous ai provit ce Javorable effet.
VALERE.	VALÈRE.
Mais, là, ſans te railler ?	Mais, là, sans te railler ?
MASCARILLE.	MASCARILLE.
Que le diable m’emporte, Si je fais raillerie, & s’il n’eſt de la ſorte.	Que le diable m'emporte, Si je fais raillerie, et s'il n'est de la sorte.
ALERE.	ALÈRE.
Et qu'i m’entraine, moy, il totit prelentement Tu n’en vas recevoir le juſte payement.	Et qu'y m'entraine, moi, il totit près Tu n'en vas recevoir le juste paiement.
MASCARILLE.	MASCARILLE.
Ha!	Ha!
Monſieur, qu’eſt-ce cy?	Monsieur, qu'est-ce cy?
je deffends la ſurpriſe.	je défends la surprise.
ALERE.	ALÈRE.
C’eſt la fidelité que tu m’avois promiſe?	C'est la fidélité que tu m'avais promise?
Sans ma feinte jamais tu n’euſſes avoüé Le trait que j’ay bien creu que tu m’avois joüé.	Sans ma feinte jamais tu n'eusses avoué Le trait que j'ai bien cru que tu m'avais joué.
Traiſtre, de qui la langue à cauſer trop habile D’un pere contre moy vient d’eſchaufer la bile, Qui me pers tout à fait, il faut ſans diſcourir Que tu meures.	Traître, de qui la langue à causer trop habile D'un père contre moi vient d'échauffer la bile, Qui me pers tout à fait, il faut sans discourir Que tu meures.
MASCARILLE.	MASCARILLE.
Tout beau;	Tout beau;
mon ame, pour mourir, N’eſt pas en bon état.	mon âme, pour mourir, N'est pas en bon état.
Daignez, je vous conjure, Attendre le ſuccez qu’aura cette avanture.	Daignez, je vous conjure, Attendre le succès qu'aura cette aventure.
J’ay de fortes raiſons qui m’ont fait réveler Un hymen que vous meſme aviez peine à celer;	J'ai de fortes raisons qui m'ont fait réveler Un hymen que vous même aviez peine à celer;
C’eſtoit uir coup detat;	C'était ir coup détat;
ce vous vellez riſſuë Condamner la fureur que vous avez conceuë.	ce vous vêlez rissue Condamner la fureur que vous avez conçue.
Dequoy vous laichez-vons?	Dequoy vous laichez-vons?
pourveu que vos ſouhaits Se trouvent par mes ſoins pleinement ſatisfaits, Et voyënt mettre à fin la contrainte où vous eſtes?	pourvu que vos souhaits Se trouvent par mes soins pleinement satisfaits, Et voyënt mettre à fin la contrainte où vous êtes?
YALERE.	YALERE.
Et ſi tous ces diſcours ne ſont que des ſornetes?	Et si tous ces discours ne sont que des sornetes?
MASCARILLE.	MASCARILLE.
Tousjours ſerez-vous lors à temps pour me tuer.	Toujours serez-vous lors à temps pour me tuer.
C5 Mais Mais enfin mes projets pourront s’effectuer.	C5 Mais Mais enfin mes projets pourront s'effectuer.
Dieu fera pour les ſiens, & contant dans la ſuite Vous me remercirez de ia rare conduite.	Dieu fera pour les siens, et contant dans la suite Vous me remercirez de ja rare conduite.
ALERE.	ALÈRE.
Nous verrons.	Nous verrons.
Mais, Lucile.	Mais, Lucile.
MASCARILLE.	MASCARILLE.
Ilite, ien perc loit.	Ilite, yen perc lait.
SCENE VIII.	SCÈNE VIII.
VALERE, ALBERT, MASCARILLE.	VALÈRE, ALBERT, MASCARILLE.
ALBER.	ÀLBER.
T.	T.
Lus je reviens du trouble où j’ay donné d’abord, Plus je me ſens piqué de ce diſcours eſtrange, Sur qui ma peur prenoit un ſi dangereux change?	Lus je reviens du trouble où j'ai donné d'abord, Plus je me sens piqué de ce discours étrange, Sur qui ma peur prenait un si dangereux change?
Car Lucile ſoutient que c’eſt une chanſon, Et m’a parlé d’un air à m’oſter tout ſoupçon.	Car Lucile soutient que c'est une chanson, Et m'a parlé d'un air à m'ôter tout soupçon.
Ha!	Ha!
Monſieur, eſt-ce vous, de qui l’audacé inſigne Met en jeu mon honneur, & fait ce conte indigne?	Monsieur, est-ce vous, de qui l'audacé insigne Met en jeu mon honneur, et fait ce conte indigne?
MASCARILLE.	MASCARILLE.
Seigneur Albert, prenez un ton un peu plus doux, Et contre voſtre gendre ayez moins de courroux.	Seigneur Albert, prenez un ton un peu plus doux, Et contre votre gendre ayez moins de courroux.
ALBERT.	ALBERT.
Comment gendre, coquin?	Comment gendre, coquin?
tu portes bien la mine De pouſſer les reſſorts d’une telle machine, Et d’en avoir eſté le premier inventeur.	tu portes bien la mine De pousser les ressorts d'une telle machine, Et d'en avoir été le premier inventeur.
MASCARTLI.	MASCARTLI.
E.	E.
Je ne vois icy rien à vous mettre en fureur.	Je ne vois ici rien à vous mettre en fureur.
ALBERT.	ALBERT.
Trouve tu beau, dy-moy, de diffamer ma fille?	Trouve tu beau, dis-moi, de diffamer ma fille?
Et faire un tel ſcandale à toute une famille?	Et faire un tel scandale à toute une famille?
MASCARILLE.	MASCARILLE.
Le voila preſt de faire en tout vos volontez.	Le voilà prêt de faire en tout vos volontés.
ALBERT.	ALBERT.
Que voudrois je, ſinon qu’il dit des veritez?	Que voudrais -je, sinon qu'il dit des vérités?
Si quelque intention le preſſoit pour Lucile, La recherche en pouvoit eſtre honneſte & civile, Il falloit l’attaquer du coſté du devoir, Il falloit de ſon pere implorer le pouvoir, Et non pas recourir à cette laſche feinte, Qui porte à la pudeur une ſenſible atteinte.	Si quelque intention le pressait pour Lucile, La recherche en pouvait être honnête et civile, Il fallait l'attaquer du côté du devoir, Il fallait de son père implorer le pouvoir, Et non pas recourir à cette lâche feinte, Qui porte à la pudeur une sensible atteinte.
MASCARILLE.	MASCARILLE.
Quoy!	Quoi!
Luciie, ir ert pus ious ueo fenis lecrets A mon maiſtre!	Luciie, ir ert pus jous évueo fenis lecrets À mon maître!
ALBERT.	ALBERT.
Non, traiſtre, & n’y ſera jamais.	Non, traître, et n'y sera jamais.
MASCARILLE.	MASCARILLE.
Tout doux:	Tout doux:
&, s’il eſt vray que ce ſoit choſe faite, Voulez-vous l’aprouver cette chaiſne ſecrette?	et, s'il est vrai que ce soit chose faite, Voulez-vous l'approuver cette chaîne secrète?
ATEBENI.	ATEBENI.
Et, s’il eſt conſtant, toy, que cela ne ſoit pas, Veux tu te voir caſſer les jambes & les bras?	Et, s'il est constant, toi, que cela ne soit pas, Veux tu te voir casser les jambes et les bras?
A LERE.	À LERE.
Monſieur, il eſt aiſé de vous faire paroiſtre Qu’il dit vray.	Monsieur, il est aisé de vous faire paraître Qu'il dit vrai.
ALBERT.	ALBERT.
pon, vonla l'autle eneor digne maiſtre D'un ſemblable valet.	pon, vonla l'autle eneor digne maître D'un semblable valet.
O!	Ô!
les menteurs hardis!	les menteurs hardis!
MASCARILLE.	MASCARILLE.
D’homme d’honneur, il eſt ainſi que je le dis.	D'homme d'honneur, il est ainsi que je le dis.
VALERE.	VALÈRE.
Quel ſeroit noſtre but de vous en faire acroire ?	Quel serait notre but de vous en faire acroire ?
AMAART.	AMART.
Ils s’entendent tous deux comme larrons en foire.	Ils s'entendent tous deux comme larrons en foire.
MASCARILLE.	MASCARILLE.
Mais venons à la preuve, & ſans nous quereller:	Mais venons à la preuve, et sans nous quereller:
Faites ſortir Lucile & la laiſſez parler.	Faites sortir Lucile et la laissez parler.
ALBERT.	ALBERT.
Et ſi le dementy par elle vous en reſte?	Et si le démenti par elle vous en reste?
MASCARILLE.	MASCARILLE.
Elle n’en fera rien, Monſieur, je vous proteſte.	Elle n'en fera rien, Monsieur, je vous proteste.
C 4 Promettez à leurs veux voſtre conſentement, Et je veux m’expoſer au plus dur chaſtiment, Si de ſa propre bouche elle ne vous confeſſe, El la foy qui l’engage, & l’ardeur qui la preſſe.	Ç 4 Promettez à leurs veux été consentement, Et je veux m'exposer au plus dur châtiment, Si de sa propre bouche elle ne vous confesse, Él la foi qui l'engage, et l'ardeur qui la presse.
ALBERT.	ALBERT.
Il faut voir cette affaire.	Il faut voir cette affaire.
MASCARILLE.	MASCARILLE.
Allez;	Allez;
tout ira bien.	tout ira bien.
ALBERT.	ALBERT.
Hola, Lucile un mot.	Holà, Lucile un mot.
VALERE.	VALÈRE.
Je crains.	Je crains.
MASCARILLE.	MASCARILLE.
Ne craignez rien.	Ne craignez rien.
SCENE IE.	SCÈNE IE.
VALERE, ALBERT, MASCARILLE' LUCILE.	VALÈRE, ALBERT, MASCARILLÉE' LUCILE.
MASCARILLE.	MASCARILLE.
C Figneur Albert, au moins, ſilence.	Ç Cigneur Albert, au moins, silence.
Enfin, Madame, Toute choſe conſpire au bon-heur de voſtre ame, Et Monſieur voſtre pere averty de vos feux Vous laiſſe voſtre Epoux, & confirme vos veux;	Enfin, Madame, Toute chose conspire au bonheur de votre âme, Et Monsieur vôtre père averti de vos feux Vous laisse votre Époux, et confirme vos veux;
Pourveu que banniſſant toutes craintes frivoles, Deux mots de voſtre avett ceirnient nos paroles.	Pourvu que bannissant toutes craintes frivoles, Deux mots de votre avett ceirnient nos paroles.
LUCILE.	LUCILE.
Que me vient donc conter ce coquin aſſuré?	Que me vient donc conter ce coquin assuré?
MASCARILLE.	MASCARILLE.
Bon, me voila déja d’un beau titre honoré.	Bon, me voilà déjà d'un beau titre honoré.
LUCILE.	LUCILE.
Sçachons un peu, Monſieur, quelle belle ſaillie Fait ce conte galand qu’aujourduy l’on publie.	Sachons un peu, Monsieur, quelle belle saillie Fait ce conte galant qu'aujourd 'on publie.
ALERE.	ALÈRE.
Pardon, charmant objet, un valet a parlé, ni jaj veu maigle moy nontit hymen revelé.	Pardon, charmant objet, un valet a parlé, ni jajàjeu maigle moi nontit hymen revelé.
Noitle nymen;	Noitle immen;
LUCILE.	LUCILE.
VALERE.	VALÈRE.
On ſçait tout, adorable Lucile, Et vouloir déguiſer eſt un ſoin inutile.	On sais tout, adorable Lucile, Et vouloir déguiser est un soin inutile.
LUCILE.	LUCILE.
Quoy!	Quoi!
l’ardeur de mes feux vous a fait mon Epoux?	l'ardeur de mes feux vous a fait mon Époux?
VALERE.	VALÈRE.
C’eſt un bien qui me doit faire mille jaloux;	C'est un bien qui me doit faire mille jaloux;
Mais j’impute bien moins ce bon-heur de ma flame A l’ardeur de vos feux, qu’aux bontez de voſtre ame.	Mais j'impute bien moins ce bonheur de ma flamme A l'ardeur de vos feux, qu'aux bontés de votre âme.
Je ſçay que vous avez ſujet de vous facher;	Je sais que vous avez sujet de vous fâcher;
Que c’eſtoit un ſecret que vous vouliez cacher, Et jay de mes tiamponts Ionce la viorence, A ne point violer voſtre expreſſe deffence:	Que c'était un secret que vous vouliez cacher, Et jay de mes tiamponts Ionce la viorence, À ne point violer votre expresse défense:
Mais.	Mais.
MASCARILLE.	MASCARILLE.
Et bien, oui, c’eſt moy;	Et bien, oui, c'est moi;
le grand mal que voila !	le grand mal que voilà !
LUCILE.	LUCILE.
Eſt-il une impoſture égale à celle-là?	Est-il une imposture égale à celle-là?
Vous l’oſez ſoutenir en ma preſence meſme, Et penſez m’obtenir par ce beau ſtratageme.	Vous l'osez soutenir en ma présence même, Et pensez m'obtenir par ce beau stratagème.
O!	Ô!
le plaiſant amant!	le plaisant amant!
dont la galante ardeur Veut bleſſer mon honneur au défaut de mon cœur, Et que mon pere ému de l’éclat d’un ſot conte, Paye avec mon hymen qui me couvre de honte.	dont la galante ardeur Veut blesser mon honneur au défaut de mon cœur, Et que mon père ému de l'éclat d'un sot compte, Paie avec mon hymen qui me couvre de honte.
Quand tout contribûroit à voſtre paſſion, Mon pere, les deſtins, mon inclination, On me verroit combattre en ma juſte colere Mon inclination, les deſtins, & mon pere;	Quand tout contribuirait à votre passion, Mon père, les destins, mon inclination, On me verrait combattre en ma juste colère Mon inclination, les destins, et mon père;
Perdre meſme le jour avant que de m’unir A qui par ce moyen auroit creu m’obtenir.	Perdre même le jour avant que de m'unir À qui par ce moyen aurait cru m'obtenir.
Allez;	Allez;
& ſi mon ſexe, avecque bienſeance, Se pouvoit emporter à quelque violence, Je vous apprendrois bien à me traiter ainſi.	et si mon sexe, avec bienséance, Se pouvait emporter à quelque violence, Je vous apprendrais bien à me traiter ainsi.
e 1	Je 1
VALERE.	VALÈRE.
Ceneit fait, ron couiqua ne peut eme adoucy,	Cèneit fait, ron couiqua ne peut eme adouci,
MASCARILLE.	MASCARILLE.
Laiſſez-moy luy parler.	Laissez-moi mieux parler.
Eh!	Eh!
Madame, de grace, A quoy bon maintenant toute cette grimace?	Madame, de grâce, A quoi bon maintenant toute cette grimace?
Quelle eſt voſtre penſée?	Quelle est votre pensée?
& quel bouru tranſport Contre vos propres veux vous fait roidir ſi fort?	et quel bouru transport Contre vos propres veux vous fait roidir si fort?
Si Monſieur voſtre pere eſtoit homme farouche, Paſſe:	Si Monsieur votre père était homme farouche, Passe:
mais il permet que la raiſon le touche, Et luy meſme m’a dit qu’une confeſſion Vous va tout obtenir de ſon affection.	mais il permet que la raison le touche, Et lui mesme m'a dit qu'une confession Vous va tout obtenir de son affection.
Vous ſentez, je croy bien, quelque petite honte A faire un libre aveu de l’amour qui vous dompte:	Vous sentez, je crois bien, quelque petite honte À faire un libre aveu de l'amour qui vous dompte:
Mais s’il vous a fait perdre un peu de liberté, Par un bon mariage on voit tout rajuſté;	Mais s'il vous a fait perdre un peu de liberté, Par un bon mariage on voit tout rajusté;
Et, quoy que l’on reproche au feu qui vous conſomme, Le mal n’eſt pas ſi grand que de tuer un homme.	Et, quoi que l'on reproche au feu qui vous consomme, Le mal n'est pas si grand que de tuer un homme.
On ſçait que la chair eſt fragile quelque-fois, Et qu’une fille enfin n’eſt ny caillou ny bois.	On sais que la chair est fragile quelque-fois, Et qu'une fille enfin n'est apprendre cailloueux bois.
Vous n’avez pas eſté ſans doute la premiere, Et tous ne feren pas, quie je cioy, la derniere.	Vous n'avez pas été sans doute la première, Et tous ne seren pas, quie je cioi, la dernière.
LUCILE.	LUCILE.
Quoy!	Quoi!
vous pouvez ouïr ces diſcours effrontez!	vous pouvez ouïr ces discours effrontés!
Et vous ne dites mot à ces indignitez!	Et vous ne dites mot à ces indignités!
ALBERT.	ALBERT.
Que veux-tu que je die!	Que veux-tu que je die!
dne fene utamtule Me met tout hors de moy.	dne fène utamule Me met tout hors de moi.
MASCARILLE.	MASCARILLE.
Madame, je vous jure, Que desja vous devriez avoir tout confeſſé.	Madame, je vous jure, Que déjà vous devriez avoir tout confessé.
L'uCILE.	L'uCILE.
Et quoy donc confeſſer?	Et quoi donc confesser?
MASCARILLE.	MASCARILLE.
Quoy?	Quoi?
ce qui s’eſt paſſé Entre mon maiſtre & vous;	ce qui s'est passé Entre mon maître et vous;
la belle raillerie!	la belle raillerie!
LUCILE.	LUCILE.
Et que s’eſt-il paſſé, monſtre d’effronterie, Entre ton maiſſſe & moy ?	Et que s'est-il passé, montre d'effronterie, Entre ton maissse et moi ?
MASCARILLE.	MASCARILLE.
Vous devez, que je croy, En ſçavoir un peu plus de nouvelles que moy, Et pour vous cette nuit fut trop douce, pour croire Que vous puiſſiez ſi viſte en perdre la memoire.	Vous devez, que je crois, En savoir un peu plus de nouvelles que moi, Et pour vous cette nuit fut trop douce, pour croire Que vous puissiez si vite en perdre la mémoire.
LUCILE.	LUCILE.
C’eſt trop ſouffrir, mon pere, un impudent valet.	C'est trop souffrir, mon père, un impudent valet.
ALBERT.	ALBERT.
Va, coquin ſcelerat, ſa main vient ſur ta jouë boſaire une action dont ſon pere la louë.	Va, coquin scélérat, sa main vient sur ta joue bosaire une action dont son père la loue.
MAS CARILLE.	MAS CARILLE.
Et, non-obſtant cela, qu’un diable en cét inſtant M’empoite, il j ay ciitlien que de nes-conſtant.	Et, non-obstant cela, qu'un diable en cet instant M'empoite, il j ai ciitlien que de néconstant.
ALBERT.	ALBERT.
Et non-obſtant cela qu’on me coupe une oreille, Si tu portes fort loin une audace pareille.	Et non-obstant cela qu'on me coupe une oreille, Si tu portes fort loin une audace pareille.
MASCARILLE.	MASCARILLE.
ouren rouo deun temomo qurine jurtanont ?	ouren rou deun témomo qurine jurtanont ?
ALBERT.	ALBERT.
veuxettr deux de iies gelis qui te baſtonneront.	veuxettr deux de jies gelis qui te bâtonneront.
MASCARILLE.	MASCARILLE.
Leur rapport doit au mien donner toute creance.	Leur rapport doit au mien donner toute créance.
A LBERT.	À LBERT.
Leurs bras peuvent du mien reparer l’impuiſſance.	Leurs bras peuvent du mien réparer l'impuissance.
MASCARILLE.	MASCARILLE.
Je vous dis que Lucile agit par honte ainſi.	Je vous dis que Lucile agit par honte ainsi.
C 6 A L	Ç 6 À L
ALBERT.	ALBERT.
Je te dis quejaulay lalendetoureeey.	Je te dis quejaulai lalendetourey.
MASCARILLE.	MASCARILLE.
Connoiſſez-vous Ormin ce gros Notaire habile?	Connaissez-vous Ormin ce gros Notaire habile?
A LBERT.	À LBERT.
Connois-tu bien Grimpant le bourreau de la ville?	Connais-tu bien Grimpant le bourreau de la ville?
MASCARILLE.	MASCARILLE.
