FAVTES SVRVENVES EN L’IMESSION.	FAUTES SURVENVES EN L'IMESION.
Enfin ie ne dois pas te parler autrement.	Enfin ici ne dois pas te parler autrement.
SOLIMAN.	SOLIMAN.
Quelle obſtination?	Quelle obstination?
ASPASIE.	ASPASIE.
&eles queilt infoiſdice?	eteles queilt indice?
SOLIMAN.	SOLIMAN.
Superbe, c’en eſt trop, ie veux qu’on m’obëiſſe, Et qu’vne eſclaue enfin aprenant mon pouuoir, Ne le mespriſe plus.	Superbe, c'en est trop, je veux qu'on m'obéisse, Et qu'une esclaue enfin apprenant mon pouvoir, Ne le méprise plus.
& faſſe ſon deuoir.	et fasse son devoir.
SCENE III.	SCÈNE III.
ASPASIE SEVLE.	ASPASIE SEULE.
E n’y manqueré point;	E n'y manqueré point;
Tyran, ie veux le faire, I Mais ce ne ſera pas comme ta flame espere, Tu crois que mon deuoir ſoil ue it tomenter, Au contraire ie crois, qu’il te faut reſiſter, Et qu’il faut;	Tyran, Seigneur veux le faire, I Mais ce ne sera pas comme ta flamme espère, Tu crois que mon devoir soil ue tomenter, Au contraire ie crois, il te faut résister, Et il faut;
mais comment te faire reſiſtance?	mais comment te faire résistance?
Pourray-je m’opoſer moy ſeule à ta puiſſance?	Pourrai-je m'opposer moi seule à ta puissance?
O Ciel aßiſte moy dans ce danger preſſant, Et deliure mon cœur des douleurs qu’il reſſent.	Ô Ciel assiste moi dans ce danger pressant, Et délivre mon cœur des douleurs qu'il ressent.
CERREE BAIASET, ASPASIE.	CERRE BAIASET, ASPASIE.
ASPASIE.	ASPASIE.
H Seigneur, qu’aujourd’huy le ſort me perſecute, I LA toute ſa rigueur Aspaſie eſt en bute, Et utpuis onmoment, que d’eſtranges malheurs, Que de peines d’eſprit, & de ſubjets de pleurs.	H Seigneur, qu'aujourd'hui le sort me persécute, I LA toute sa rigueur Aspasie est en bute, Et utpuis onmoment, que d'étranges malheurs, Que de peines d'esprit, et de sujets de pleurs.
BAIASET.	BAIASET.
Et quel tourment nouueau ſouffrés vous donc Madame?	Et quel tourment nouveau souffrez -vous donc Madame?
ASPASIE.	ASPASIE.
Helas!	Hélas!
c’est le plus grand, que peut ſouffrir mon ame Ie n'en excepte aucun, la mort de mon eſpoux, M’est en comparaiſon un ſuplice bien doux;	c'est le plus grand, que peut souffrir mon âme Je n'en excepte aucun, la mort de mon époux, M'est en comparaison un suplice bien doux;
Jugés, ſi ce malheur ne uen punejuututreſme, Eſtant plus grand encor, que mon veufuage meſme.	Jugez, si ce malheur ne veuen punejuututresme, Estant plus grand encor, que mon veuvage même.
BAIASET.	BAIASET.
Ah ie n’en doute point, il doit eſtre infiny, Mais l’autheur n’en doit pas demeurer impuny, Nommés le moy Madame, & ſa mort est certaine.	Ah ie n'en doute point, il doit être infini, Mais l'auteur n'en doit pas demeurer impuni, Nommès le moi Madame, et sa mort est certaine.
PASIE.	PASIE.
Guin me faites Seigneur vne promeſſe vaïne, Quand vous ſçaures ſon nom, ie vous verré ſoudain, Et changer de langage, & changer de deſſein.	Guin me faites Seigneur promesse vaaine, Quand vous sçaures son nom, je vous verré soudain, Et changer de langage, et changer de dessein.
BAIASET.	BAIASET.
Ah ſi vous me voyés manquer à ma parolle.	Ah si vous me voyez manquer à ma parole.
ASPASIE.	ASPASIE.
Je vous le dis encor, ce diſcours est friuolle, Ce que vous promettés paſſe voſtre pouuoir, Et ne s’accorde pas auec voſtre deuoir.	Je vous le dis encor, ce discours est frivolle, Ce que vous prometez passe votre pouvoir, Et ne s'accorde pas auec jours devoir.
Et pour moy quelque mal, que mon Deſtin m’enuoyes Si ie veux en ſortir, c’eſt par vne autre voye.	Et pour moi quelque mal, que mon Destin m'envoies Si tu veux en sortir, c'est par une autre voie.
BAIASET.	BAIASET.
Ie deſire vous rendre vn ſeruice important, Et vous ne croyés pas.	Je désire vous rendre un service important, Et vous ne croyez pas.
ASPASIE.	ASPASIE.
Ne vous haſiés pas tant, Ce ſeruice Seigneur, que vous m’oſés promettre.	Ne vous hasiés pas tant, Ce service Seigneur, que vous m'osez promettre.
Cip onorime vien grana, que vous voulés comettre,	Cip onorime viens grana, que vous voulez comettre,
BAIASET.	BAIASET.
Vn crime dites vous, & comment?	Un crime dites -vous, et comment?
ASPASIE.	ASPASIE.
Eſcoutés, Et ie vous aprendré d’estranges verités.	Écoutés, Et ici vous apprendré d'étranges vérités.
Aprés que mon espoux eust perdu la lumiere, Pertaue ſon vainqueur me fit ſa priſonniere, Et m’enuoya ſoudain en ces funeſtes lieux, Où tout m'eſt deſplaiſant, & le iour ennuyeux, Voſtre pere me void;	Après que mon époux eût perdu la lumière, Pertave son vainqueur me fit sa prisonnière, Et m'envoya soudain en ces funestes lieux, Où tout m'est déplaisant, et le jour ennuyeux, Votre père me void;
d’abord malgré mes larmes, Mes yeux qui m'ont perdüe, ont pour luy quelques charmes, Jl ſe laiſſe piquer de leurs mourans apas, La nature s’opoſe, il ne l’eſcoute pas, Et le grand Soliman que partout on estime, Pour mon dernier malheur veut que ie faſſe vn crime, Et que l’indigne feis, qui bruſle dans ſon cœur, De toute ma vertu demeure le vainqueur.	d'abord malgré mes larmes, Mes yeux qui m'ont perdue, ont pour trouver quelques charmes, Jl se laisse piquer de leurs mourants apas, La nature s'oppose, il ne l'écoute pas, Et le grand Soliman que partout on estime, Pour mon dernier malheur veut que sans fasse un crime, Et que l'indigne feis, qui brûle dans son cœur, De toute ma vertu demeure le vainqueur.
Mais plustoſt dans les Cieux s’eſleuera la terre, Et la mer remplira la place du tonnere, Que ie prenne iamais la reſolution, De faire pour luy plaire vne infame action.	Mais plutôt dans les Cieux s'esleuera la terre, Et la mer remplira la place du tonnere, Que enfin prenne jamais la résolution, De faire pour un plaire une infâme action.
Voyés, Seigneur voyés, ſi i’ay raiſon de dire;	Voyez, Seigneur voyez, si j'ai raison de dire;
Que voicy de mes maux le dernier & le pire, Puiſque de mes refus Soliman irrité Veut ſe ſeruir enfin de ſon authorité;	Que voici de mes maux le dernier et le pire, Puisque de mes refus Soliman irrité Veut se servir enfin de son autorité;
Ayant perdu ſon fils en poſſeder la veufue, Et mettre ma conſtance à ſa derniere espreuue.	Ayant perdu son fils en posséder la veuve, Et mettre ma constance à sa dernière épreuve.
Mais qu'il ne penſe pas quelque pouuoir qu’il ayt, Que ſes honteux deſirs obtiennent leur effet, Il peut mettre s’il veut mon corps à la torture, Mactis le laois ovejr ane lolx de la haidre, La veufue de ſon fils deteſte ſon Amour;	Mais qu'il ne pense pas quelque pouvoir qu'il ait, Que ses honteux des obtiennent leur effet, Il peut mettre s'il veut mon corps à la torture, Mactis le laais ovejr ane lolx de la haidre, La veuve de son fils déteste son Amour;
Pluſtoſt qu'y conſentir elle perdra le iour.	Plutôt qu'y consentir elle perdra le jour.
IASET.	IASET.
Helas ie le vois bien que ma promeſſe eſt vaine, Je ne ſçaurois punir l’autheur de voſtre peine, Le ſang & la raiſon me rotiennent la main, Et ie dois espargner vn pere, vn Souucrain, Mais que dis je espargner?	Hélas ie le vois bien que ma promesse est vaine, Je ne saurais punir l'auteur de votre peine, Le sang et la raison me rotiennent la main, Et ici dois épargner un père, Seigneur Sarde, Mais que dis -je épargner?
vn homme eſt-il coupable, Quand il oſe adorer vn objet adorable?	un homme est-il coupable, Quand il ose adorer un objet adorable?
Helas!	Hélas!
s’il eſt ainſi, cachezvous a nos yeux, Ou l’on ne verra plus d’innocent en ces lieux, Moy meſme franchement ie confeſſe Madame, Que ie me ſens bruſler de ma premiere flame, Et que ie ne puis voir ce que i’ay tant aymé, Sans qu'au meſme moment j’en ſois encor charmé.	s'il est ainsi, cachezvous a nos yeux, Ou l'on ne verra plus d'innocent en ces lieux, Moi -même franchement ie confesse Madame, Que ie me sens brûler de ma première flamme, Et que sans ne puis voir ce que j'ai tant aimé, Sans qu'au même moment j'en sois encor charmé.
ASPASIE.	ASPASIE.
O Ciel qu’ay-je entendu?	Ô Ciel qu'ai-je entendu?
quoy Bajaſet luy meſme Veut encor m’affliger dans mon malheur extreſme, Sa flame oſe renaiſtre, il l’oſe découurir, Et trauaille luy meſme à me faire mourir?	quoique Bajaset Ah même Veut encor m'affliger dans mon malheur extrême, Sa flamme ose renaître, il l'ose découvrir, Et travaille lui avait à me faire mourir?
Mais attendés vn peu, rien encor ne vous preſſe, Remettés de ma mort la charge à ma triſteſſe, Auant que quelques iours Seigneur ſoient eſcoulés, Oous dure Sovreno rejjet que vous voulés, Eſpargnés vous vn crime, & ſouffrés qu’elle agiſſe;	Mais attendez un peu, rien encor ne vous presse, Remettés de ma mort la charge à ma tristesse, Avant que quelques jours Seigneur oient écoulés, Oous dure Sovreno rejjet que vous voulés, Espargnés vous crime, et souffrés elle agisse;
momy gugnés encor la longueur du ſuplice.	momy gugnès encor la longueur du supplice.
BAIASET.	BAIASET.
Dequoy m'accuſes vous?	Dequoy m'accuses -vous?
ASPASIE.	ASPASIE.
Ou trime te plus grart, Qu'on puiſſe imaginer.	Ou trime te plus grart, Qu'on puisse imaginer.
BAIASET.	BAIASET.
Ce diſcours me ſurprend,	Ce discours me surprend,
ASPASIE.	ASPASIE.
L’inceſtueux Amour ou voſtre cœur s’engage, Auec juſte raiſon me ſurprend d’aduantage.	L'incestueux Amour ou votre cœur s'engage, Avec juste raison me surprend d'avantage.
BAIASET.	BAIASET.
muudug muucamanttouete, & ma confuſion.	muudug mucamanttouète, et ma confusion.
ASPASIE.	ASPASIE.
Comme vous ma douleur par voſtre paßion.	Comme vous ma douleur par votre passion.
BAIASET.	BAIASET.
Nommer incestueux vn Amour legitime?	Nommer incestueux un Amour légitime?
ASIE.	ASIE.
C’eſt le nom que l’on doit donner à voſtre crime:	C'est le nom que l'on doit donner à votre crime:
BAIASET.	BAIASET.
Ah tirés moy de peine, & vous expliqués mieux,	Ah tirez -moi de peine, et vous expliquez mieux,
ASPASTE.	ASPASTE.
Mais vous meſme pluſtoſt ouurés, ouurés les yeux, oour cognoiſtres bien-toſt le crime que vous faites, Si vous conſiderés vn peu ce que vous m'eſtes.	Mais vous -même plutôt ouvrés, ouurez les yeux, oour connaîtrez bientôt le crime que vous faites, Si vous considérez un peu ce que vous m'êtes.
BALASET.	BALASET.
Ab ie ſuis voſtre Amant Madame, en doutés-vous?	Ab ici suis votre Amant Madame, en doutez-vous?
ASPASIE.	ASPASIE.
Uous qui fuſtes Seigneur frere de mon espoux, Uous estes mon Amant?	Uous qui fûtes Seigneur frère de mon époux, Uous êtes mon Amant?
il eſt donc veritable, Que pour moy voſtre Amour eſt vn feu deteſtable, H ij Car comment nommés-vous l’Amour pour vne ſœur, Si ce n'eſt pas inceſte au moins dedans le cœur?	il est donc véritable, Que pour moi votre Amour est un feu détestable, HÉ ij Car comment nommez-vous l'Amour pour une sœur, Si ce n'est pas inceste au moins dedans le cœur?
BAIASET.	BAIASET.
Quoy vous eſtes ma ſœur, comment ſe peut-il faire?	Quoi vous êtes ma sœur, comment se peut-il faire?
ASPASIE.	ASPASIE.
Seigneur ayant eſté femme de voſtre frere, Ie crois que ie la ſuis en cette qualité.	Seigneur ayant été femme de votre frère, Je crois que personne la suis en cette qualité.
BAIASET.	BAIASET.
Pulre eapana jai menpreres	Pulre eapana jai menprères
A SPASIE.	À SPASIE.
Oüy c'eſt la verité.	Oui c'est la vérité.
BAIASET.	BAIASET.
Ah Madame quittés cette fauſſe croyance.	Ah Madame quittez cette fausse croyance.
ASPASIE.	ASPASIE.
Mais vous meſme perdés vne vaine esperance, L’artifice est großier, dont ſe ſeruent vos feux, N'en vſez plus Seigneur, il ne peut rien pour eux.	Mais vous -même perdez v aine espérance, L'artifice est grossier, dont se servent vos feux, N'en ussez plus Seigneur, il ne peut rien pour eux.
Malgré les deſplaiſirs, dont mon ame eſt atteinte, Elle peut bien encor diſcerner vne feinte, Et ne ſe laiſſe pas eſbloüir à ce point, Qu'on luy faſſe aiſement croire ce qui n’eſt point.	Malgré les déplaisirs, dont mon âme est atteinte, Elle peut bien encor discerner une feinte, Et ne se laisse pas éblouir à ce point, Qu'on y fasse aisément croire ce qui n'est point.
Vous penſez que vos feux ſeparés de leur crime Sont vn digne ſubjet de toute mon eſtime, Et que ſi vous m’oſtez le nom de voſtre ſœur, Ils ſeront à l’inſtant bien reçeus dans mon cœur;	Vous pensez que vos feux séparés de leur crime Sont un digne sujet de toute mon estime, Et que si vous m'ôtés le nom de votre sœur, Ils seront à l'instant bien reçus dans mon cœur;
Mais inutilement vous pretendés le faire, Muſtapha mon eſpoux, Seigneur, fut voſtre frere.	Mais inutilement vous prétendez le faire, Mustapha mon époux, Seigneur, fut votre frère.
En vain vous me parlés de vos coupables feux, Vous ne m’oſterez pas l’horreur que i’ay pour eux.	En vain vous me parlez de vos coupables feux, Vous ne m'ôterez pas l'horreur que j'ai pour eux.
BATASEI.	BATASEI.
Ie m’en vay vous laiſſer de peur de vous plaire;	Je m'en vais vous laisser de peur de vous plaire;
Peut-eſtre auec le temps ſerés vous moins ſeuere.	Peut-être avec le temps sérez vous moins sévère.
AGIAGIE.	AGIAGIE.
S’il vſe ſur les cœurs d’vn pouuoir abſolu;	S'il use sur les cœurs d'un pouvoir absolu;
Sçachez que ce n'eſt pas ſur vn cœur reſolu.	Sachez que ce n'est pas sur un cœur résolu.
Fin du troiſieſme Acte.	Fin du troisième Acte.
TAEE Ev SCENE I SAIASET, ASPASIE.	TAPE Ev SCÈNE I SAIASET, ASPASIE.
Ra lirotne.	Ra lirotne.
Toy vous voulés encor me parler de vos feux?	Toi vous voulez encor me parler de vos feux?
LO diſcours inutile autant qu’il est facheux!	LO discours inutile autant qu'il est fâcheux!
BAIASET.	BAIASET.
Si j'en crois mon respect, ie ne dois pas le faire, Ce violent Amour ne fait que vous desplaire, Si j’en crois mes deſirs, ie ne le puis cacher, Pour le mettre en priſon Madame, il m’est tropcher, Mais pourquoy voulés vous, qu’il ſe taiſe & ſe cache.	Si j'en crois mon respect, Seigneur ne dois pas le faire, Ce violent Amour ne fait que vous déplaire, Si j'en crois mes désirs, tu ne le puis cacher, Pour le mettre en prison Madame, il m'est tropcher, Mais pourquoi voulez vous, qu'il se taise et se cache.
ASPASIE.	ASPASIE.
Pour garder voſtre nom d’vne eternelle tache, Pour ne vous perdre pas de reputation, Effet triſte, & honteux de voſtre paßion.	Pour garder votre nom d'une éternelle tache, Pour ne vous perdre pas de réputation, Effet triste, et honteux de votre passion.
Oüy maſgré la douleur, que vous m'auez cauſée, Par les feux inſenſez de vostre ame abuſée, Seigneur ie vous eſtime, & vous honore aſſez, Pour ſauuer voſtre honneur, lors que vous m’offenſez, Außi contentés vous de cette ſeule eſtime, C’eſt tout ce que ie puis pour vous ſans faire vn crime, Et ne demandés pas que j’eſcoute vos feux, Vous auez mon eſtime, & ma hayne eſt pour eux.	Oui masgré la douleur, que vous m'avez causée, Par les feux insensé de votre âme abusée, Seigneur ie vous estime, et vous honore assez, Pour sauver votre honneur, lors que vous m'offensez, Aussi contentés vous de cette seule estime, C'est tout ce que tu puis pour vous sans faire un crime, Et ne demandez pas que j'écoute vos feux, Vous avez mon estime, et ma haine est pour eux.
BAIASET.	BAIASET.
dier que me untts vous:	dier que me unts vous:
un fattes mieux Madame, Traités eſgalement Bajaſet, & ſa flame, Et s’el a merité voſtre estime en ce iour, Accordés là de grace encor à ſon Amour.	un fattes mieux Madame, Traités également Bajaset, et sa flamme, Et s'el a mérité vôtre estime en ce jour, Accordez là de grâce encor à son Amour.
ASPASIE.	ASPASIE.
Ah pour agir ainſi, ie ſuis trop equitable, Vous eſtes innocent, voſtre flame eſt coupable, Sans elle ie vous vois digne de vomt honneur, Qu'on rend auec Juſtice à tous les gens de cœur;	Ah pour agir ainsi, je suis trop équitable, Vous êtes innocent, votre flamme est coupable, Sans elle ie vous vois digne de vompt honneur, Qu'on rend esprit Justice à tous les gens de cœur;
Les belles qualitez dont voſtre ame eſt parée, Cette vertu ſi grande, & ſi conſiderée, Ce courage inuincible, & qui braue le ſort, Dans le plus grand peril d’vne prochaine mort, Cet esprit admirable, & ſi plein de lumiere, Ont gaigné de mon cœur l’eſtime toute entiere, Mais comme il ne ſçait pas le meſtier de flatteur, Ne vous eſtonnez point, s’il blaſme vostre ardeur, Il eſt trop genereux, il hayt trop l’injuſtice, Pour mettre en rangeſgal les vertus, & le vice.	Les belles qualités dont votre âme est parée, Cette vertu si grande, et si considérée, Ce courage invincible, et qui brave le sort, Dans le plus grand péril d'une prochaine mort, Cet esprit admirable, et si plein de lumière, Ont gagné de mon cœur l'estime toute entière, Mais comme il ne sait pas le métier de flatteur, Ne vous étonnez point, s'il blâme votre ardeur, Il est trop généreux, il hait trop l'injustice, Pour mettre en rangesgal us vertus, et le vice.
MiilIloE Le Pouuez vous m’eſtimer, & häyr à la fois?	MiilIloE Le Pouvez vous m'estimer, et hyr à la fois?
ASPASIE.	ASPASIE.
L’vn & l’autre ſe peut Seigneur, & ie le dois, Vous ſçauez la raiſon & de l’vn & de l’autre, C’eſt la vertu Seigneur, & la mienne, & la voſtre, La mienne juſtement me fait häyr vos feux, Et la vostre eſtimer vn Prince vertueux.	L'autre et l'autre se peut Seigneur, et ie le dois, Vous savez la raison et de l'un et de l'autre, C'est la vertu Seigneur, et la mienne, et la vôtre, La mienne justement me fait häyr vos feux, Et la vôtre estimer un Prince vertueux.
BAIASET.	BAIASET.
L’infructueuſe eſtime, & la crüelle hayne!	L'infructueuse estime, et la cruelle haine!
L’vne ne me ſert pas, l’autre augmente ma peine, L’vne jette en mon cœur quelque rayon d’espoir, Et l’autre me deffend d’en oſer conceuoir, Esprouués vous par là, ſi mon ardeur est feinte?	L'une ne me sert pas, l'autre augmente ma peine, L'une jette en mon cœur quelque rayon d'espoir, Et l'autre me défend eur est conceuoir, Éprenant vous par là, si mon ardeur est feinte?
Ah vous n’en deuez pas auoir aucune crainte, Mon Amour eſt ſi fort & ſi ferme.	Ah vous n'en devez pas avoir aucune crainte, Mon Amour est si fort et si ferme.
AS PASIE,	AS PASIE,
Seigneur, Seigneur, Je ne puis plus oüir ce diſcours ſuborneur, Ma vertu dés long-temps vous düſt estre cognüe, Mais puiſque voſtre erreur s’augmente par ma veüe, Ie vous la veux oſter pour vous guerir d'vn mal, Qui nuit a voſtre gloire, autant qu'il m'est fatal, Adieu.	Seigneur, Seigneur, Je ne puis plus ouïr ce discours suborneur, Ma vertu dès longtemps vous düst être connue, Mais puisque votre erreur s'augmente par ma vue, Je vous la veux ôter pour vous guérir d'un mal, Qui nuit a votre gloire, autant qu'il m'est fatal, Adieu.
BAIASET.	BAIASET.
Ne m’ostez pas ainſi toute ma joye, Demeurez en ce lieu, ſouffrez que ie vous voye, Et que mes yeux au moins vous puiſſent adorer, Si voſtre vaine erreur me deffend d’eſperer.	Ne m'ôtez pas ainsi toute ma joie, Demeurez en ce lieu, souffrez que ie vous voie, Et que mes yeux au moins vous puissent adorer, Si votre vaine erreur me défend d'espérer.
J'appelle ainſi Madame vne fauſſe croyance, Qui ſe veut apuyer ſur quelque reſſemblance, Et prenant de mon frere, & le nom & le port, Luy redonne le iour vn an aprés ſa mort.	J'appelle ainsi Madame une fausse croyance, Qui se veut apuyer sur quelque ressemblance, Et prenant de mon frère, et le nom et le port, Lui redonne le jour un an après sa mort.
Deſabuſez vous donc, & permettez de grace Que dedans voſtre cœur ie reprenne ma place, Si deuant que d’auoir Muſtapha pour espoux, Comme vous m'aſſeuriez, j’eſtois aymé de vous.	Désabusez -vous donc, et permettez de grâce Que dedans votre cœur était reprenne ma place, Si devant que d'avoir Mustapha pour époux, Comme vous m'assuriez, j'étais aimé de vous.
Ie n'en ay point douté, mais que ne peut l’abſence, Elle esbranle ſouuent la plus forte conſtance, Et l’Amour le plus ferme, & le mieux eſtably, Par elle en voſtre ſexe est bien-toſt affoibly.	Je n'en ai point douté, mais que ne peut l'absence, Elle ébranle souvent la plus forte constance, Et l'Amour le plus ferme, et le mieux établi, Par elle en votre sexe est bientôt affaibli.
On m'ayme en me voyant;	On m'aime en me voyant;
ie change de demeure,	Ne change de demeure,
On m’oublie, on me quitte, on change à la meſme heure, Muſtapha prend ſoudain ma place auprés de vous, Vous l’aymez, il vous ayme, il deuient voſtre espoux;	On m'oublie, on me quitte, on change à la même heure, Mustapha prend soudain ma place auprès de vous, Vous l'aimez, il vous aime, il devient votre époux;
Moy ſans faire paraiſtre aucune impatience, Ie ſouffre cet affront, qu’il fait à ma naiſſance, Ie ſouffre ce larcin, qui le rend bien-heureux, Et ſouffre außi de vous ce mespris de mes feux.	Moi sans faire paraître aucune impatience, Je souffre cet affront, qu'il fait à ma naissance, Je souffre ce larcin, qui le rend bienheureux, Et souffre aussi de vous ce mépris de mes feux.
Peut-eſtre, que quelqu’autre ayant eu mà puiſſance, Eüt puny Muſtapha d’vne telle inſolence, Mais ie n’eſcouté point contre luy mon courroux, Par la ſeule raiſon, qu’il eſtoit vostre espoux, Et pour n’affliger pas l’infidelle Aſpaſie, Mon respect m’obligea de le laiſſer en vie, Mais que vous payez mal le bien que ie luy fis, Pour vn ſi grand reſpect ie reçois des meſpris, Ah recognoiſſez mieux vn ſi rare ſeruice, Receuez mon Amour, c’est me rendre lustice, Ce que i’ay fait pour vous merite aſſeurement, Qu'en fin vous traitiés mieux vostre premier Amant.	Peut-être, que quelqu'autre ayant eu mà puissance, Eut puni Mustapha d'une telle insolence, Mais tu n'écouté point contrefois mon courroux, Par la seule raison, qu'il était votre époux, Et pour n'affliger pas l'infidèle Aspasie, Mon respect m'obligea de le laisser en vie, Mais que vous payez mal le bien que ie A mis, Pour un si grand respect ion reçois des mépris, Ah reconnaissez mieux si rare service, Receuez mon Amour, c'est me rendre lustice, Ce que j'ai fait pour vous mérite ment, Qu'en fin vous traitiez mieux votre premier Amant.
oſe vous en prier par cette belle flame, Qu'vn genereux deuoir estouffa dans mon ame, Par ces rudes combats, que livroient à mon cœur, L’Amour, & le respect, la hayne, & la douleur, Par ces deſirs vaincu a ont fapie oengeunce, Lors que par voſtre hymen ie perdis l’esperance, Et que ſans eſclatter contre ce changement, Je le ſouffris ſans plainte, & ſans emportement, Enfin par mon Amour, & par ſa violence,	ose vous en prier par cette belle flamme, Qu'Han généreux devoir étouffa dans mon âme, Par ces rudes combats, que livraient à mon cœur, L'Amour, et le respect, la haine, et la douleur, Par ces désirs vaincu a ont fapie oengeunce, Lors que par votre hymen ie perdis l'espérance, Et que sans éclater contre ce changement, Je le souffris sans plainte, et sans emportement, Enfin par mon Amour, et par sa violence,
SCENE II.	SCÈNE II.
SOLIMAN, ASPASIE, BAIASET.	SOLIMAN, ASPASIE, BAIASET.
SOLIMAN.	SOLIMAN.
Rince que faites-vous, quelle eſt voſtre inſolence, I Vous portez vos deſirs, ou ſe porte le mien, Vous offrez voſtre Amour, & demandez le ſien, Depuis quand auez vous cette grande puiſſance, Qu'au milieu du Serail vos feux prennent naiſſance?	Rince que faites-vous, quelle est votre insolence, I Vous portez vos désirs, ou se porte le mien, Vous offrez votre Amour, et demandez le sien, Depuis quand avez vous cette grande puissance, Qu'au milieu du Serail vos feux prennent naissance?
C’est porter aſſez haut voſtre temerité, Et faire peu de cas de mon authorité.	C'est porter assez haut votre témérité, Et faire peu de cas de mon autorité.
Mais ie m’estonne fort, qu’en l’eflat où vous eſtes, Vous pretendiez encor de faire des conqueſtes, Uous eſtes accuſé, pouuez vous l’oublier, Eſt-ce la le moyen de vous juſtifier?	Mais Elle m'étonne fort, qu'en l'eflat où vous êtes, Vous prétendiez encor de faire des conquêtes, Uous êtes accusé, pouvez -vous l'oublier, Est-ce la le moyen de vous justifier?
Ah ie puis en voyant vne telle inſolence, Croire ce qu’on m'a dit de voſtre violence, Que vous auez traitté Selin indignement, Y?	Ah beau puis en voyant une telle insolence, Croire ce qu'on m'a dit de votre violence, Que vous avez traité Selin indignement, Y?
Et que vous meritez vn ample chaſtiment.	Et que vous méritez un ample châtiment.
Demain nous le verrons, mais ie vous Veux aprendre, L’honneur, & le respect, que vous me deuez rendre, Quun iuy faje domienuus gardes aſſeurez, Haly prenés en ſoin, car vous m'en respondrez;	Demain nous le verrons, mais ainsi vous Veux apprendre, L'honneur, et le respect, que vous me devez rendre, Quun jus faje domienvus gardes assurés, Haly prendrez en soin, car vous m'en répondrez;
DAPIIOLIE Seigneur puis-je parler?	DAPIIOLIE Seigneur puis-je parler?
SOLIMAN.	SOLIMAN.
Jl n’eſt pas neceſſaire, Allez, voſtre diſcours aigriroit ma colere.	Il n'est pas nécessaire, Allez, votre discours aigrirait ma colère.
SCENE III.	SCÈNE III.
SOLIMAN, ASPASIE.	SOLIMAN, ASPASIE.
SOLIMAN.	SOLIMAN.
E' bien, vous l’eſcoutiez ce temeraire Amant?	E' bien, vous l'écoutiez ce téméraire Amant?
TICertes c’eſt aſſez toſt changer de ſentiment, C’eſt en fort peu de temps vous eſtre detrompée, Ou bien voſtre vertu s’eſt bien-toſt dißipée;	TICertes c'est assez tôt changer de sentiment, C'est en fort peu de temps vous être détrompée, Ou bien votre vertu s'est bientôt dissipée;
Si mon Amour pour vous eſt vn feu criminel, Celuy de Bajaſet ne peut eſtre que tel, Vous manquez aujourd’huy d’adreſſe & de prudence, Mon Amour, & le ſien n’ont point de difference, Si i’ayme en vous ma fille, il ayme en vous ſa ſœur, Et vous ne luy pouuez accorder voſtre cœur.	Si mon Amour pour vous est un feu criminel, Celui de Bajaset ne peut être que tel, Vous manquez aujourd'hui d'adresse et de prudence, Mon Amour, et le sien n'ont point de différence, Si j'aime en vous ma fille, il aime en vous sa sœur, Et vous ne lui pouvez accorder votre cœur.
Mais ſi vous n’eſtes point entrée en ma famille, Et tomme il eſt certain, vous n’estes point ma fille, Pourquoy donc vous montrer ſi contraire à mes feux, Alors que vous ſouffrez, qu’il vous offreſes veuxs	Mais si vous n'êtes point entrée en ma famille, Et tomme il est certain, vous n'êtes point ma fille, Pourquoi donc vous montrer si contraire à mes feux, Alors que vous souffrez, qu'il vous offres veuxs
ASPASIE.	ASPASIE.
Tu ne dois pas Seigneur, entrer en jalouſie, Si tu vois que ton fils oſe aymer Aſpaſie, Et moins encor penſer, que dans cet entretien, Ses feux ſoient eſcoutez, & puiſſent nuire au tien.	Tu ne dois pas Seigneur, entrer en jalousie, Si tu vois que ton fils ose aimer Aspasie, Et moins encor penser, que dans cet entretien, Ses feux soient écoutez, et puissent nuire au tien.
Et ta flame & la ſienne eſgalement traitées, D’vn cœur comme le mien ne ſont point reſpectées, Ie ventendois parter, mais ſans attention, Et ne ſongeois alors qu'à mon affliction.	Et ta flamme et la sienne également traitées, D'un cœur comme le mien ne sont point respectées, Je ventendais parter, mais sans attention, Et ne songeais alors qu'à mon affliction.
SOLIMAN.	SOLIMAN.
Ah reſuer ſi long-temps, c'est luy prester ſilence.	Ah rêver si longtemps, c'est lui prêter silence.
ASPASIE.	ASPASIE.
Ie ne me croyois pas Seigneur, en ſa preſence, La mort de mon espoux occupoit mon esprit, Et ne ſçay pas vn mot de tout ce qu'il a dit.	Je ne me croyais pas Seigneur, en sa présence, La mort de mon époux occupait mon esprit, Et ne sais pas un mot de tout ce qu'il a dit.
SOLIMAN.	SOLIMAN.
Uous voulez vous parer d’vne mauuaiſe excuſe, Mais ce n'eſt pas ainſi pourtant, que l’on m’abuſe, Duunte en nomme nous parte, on entena bien ſa voix, Vous manquez de prudence vne ſeconde fois.	Vous voulez vous parer d'une mauvaise excuse, Mais ce n'est pas ainsi pourtant, que l'on m'abuse, Duunte en nomme nous parte, on entena bien sa voix, Vous manquez de prudence une seconde fois.
ASPASIE.	ASPASIE.
