A MONSIEVR, RVTSTCOIEVT DE BELIN.	À MONSIEUR, RUTSTCOIEUT DE BELIN.
Amour, cruel Archer, dont l’inuiſible fleſche De tout mon ſeinouuert n'en à fait qu'vne breſche, Serpent enuenimé, Qui caches ſous les fleurs l’aiguillon qui nous bleſſes Dy-moy par quel miracle vn cœurbruſle ſans ceſſe, Et n'eſt point conſumé?	Amour, cruel Archer, dont l'invisible flesche De tout mon seinouuert n'en a fait qu'une brèche, Serpent envenimé, Qui caches sous les fleurs l'aiguillon qui nous blesses Dy-moi par quel miracle un cœurbrûle sans cesse, Et n'est point consumé?
Par quelle inuention ou puiſſance de charmes As-tu fait de ma teſte vne ſource de larmes, Qui iamais ne tarit?	Par quelle invention ou puissance de charmes As-tu fait de ma tête une source de larmes, Qui jamais ne tarit?
Dy-moy parquel ſecret ie vy ſans nourriture, Et par quel art en fin tu ſauues la nature Alors qu'elle perit?	Dis-moi parquel secret iemme sans nourriture, Et par quel art en fin tu sauves la nature Alors qu'elle périt?
– – Mais il n’eſt pas beſoin qu'a trauers mille obſtacles Ie cherche en mon deſtin des ſujets de miracles Nouueaux & ſuperflus;	 UL Mais il n'est pas besoin qu'a travers mille obstacles Ie cherche en mon destin des sujets de miracles Nouveaux et superflus;
Non, non, quoy que peut-eſtre à Roland ie reſſemble.	Non, non, quoi que peut-être à Roland der ressemble.
Il eſt plus aparent & plus vray tout enſemble Que Roland' ne vit plus.	Il est plus apparent et plus vrai tout ensemble Que Roland' ne vit plus.
L’inconſtance & la main de l’ingrate Angelique L’ont mis dans le tombeau, ſans le ſecours tragique Du poiſon ny du fer nomofumque pomomune entunit & mulheureuſe, Qui ſouffre en la rigueur de ma peine amoureuſe Toutes celles d’enfer.	L'inconstance et la main de l'ingrate Angélique L'ont mis dans le tombeau, sans le secours tragique Du poison était du fer nomofumque pomune entunit et mulheureuse, Qui souffre en la rigueur de ma peine amoureuse Toutes celles d'enfer.
C’eſt ainſi que mon ſort aprend à tout le monde Que ceux de qui l’eſpoir deſſus l’amour ſe fonde Se tromperont ſouuent:	C'est ainsi que mon sort apprendre à tout le monde Que ceux de qui l'espoir dessus l'amour se fonde Se tromperont souvent:
Et qu’apres vne ardeur en toute choſe extreſme, Ils n'en retireront & ne ſeront eux-meſme Qu'vn peu d’ombre & de vent.	Et qu'après une ardeur en toute chose extrême, Ils n'en retireront et ne seront eux-même Qu'un peu d'ombre et de vent.
Mais inſenſiblement mon deſtin me r’ameine A cette deteſtable & maudite fontainé, Où mon cœur par mes yeux beut le premier poiſon De qui la ialouſie infecta ma raiſon;	Mais insensiblement mon destin me ramène À cette détestable et maudite fontainé, Où mon cœur par mes yeux beut le premier poison De qui la jalousie infecta ma raison;
Ce venimeux aſpic plus froid que de la glace Se coulla dans mon ſein en cette meſme place, Et ie retombe encor deſſus les meſmes pas - -------.	Ce venimeux aspic plus froid que de la glace Se coulla dans mon sein en cette même place, Et ie retombe encor dessus les mêmes pas - --.
1	1
F iij	 Fij
46 Où me fut prononcé l’arreſt de mon treſpas:	46 Où me fut prononcé l'arrêt de mon trépas:
Quand i’appris du vieillard & de ſa ieune famme La fuitte d'Angelique, & ſon amour infame;	Quand j'appris du vieillard et de sa jeune famme La fuite d'Angélique, et son amour infâme;
Icy le bracelet de bleu paſle émaillé, Si riche de matiere & ſi bien trauaillé, Que i’attachay moy-meſme au bras de l’infidele, En cet aymable temps où i’eſperois tout d’elle, Apres cent coups de foüet que l’Amour me donna, Fut en fin le poignard dont il m’aſſaßina:	Ici le bracelet de bleu pas émaillé, Si riche de matière et si bien travaillé, Que j'attachai moi-même au bras de l'infidèle, En cet aimable temps où j'espérais tout d'elle, Après cent coups de fouet que l'Amour me donna, Fut en fin le poignard dont il m'assassina:
O malheureux ioyau!	Ô malheureux joyau!
dont la fatale veuë Alluma dans mon ſein la fureur qui me tuë, Par quel eſtrange effect de l’amour & du ſort Deuiens-tu maintenant l’inſtrument de ma mort?	dont la fatale vue Alluma dans mon sein la fureur qui me tue, Par quel étrange effet de l'amour et du sort Deuiens-tu maintenant l'instrument de ma mort?
Seras-tu donc autheur de mes derniers ſupplices, Toy qui fus autrefois teſmoin de mes delices?	Seras-tu donc auteur de mes derniers supplices, Toi qui fus autrefois témoin de mes délices?
O triſte ſouuenir!	Ô triste souvenir!
ô rapport deſplaiſant De ma gloire paßée à mon eſtat preſent!	ô rapport déplaisant De ma gloire passée à mon état présent!
Ha!	Ha!
trompeuſe, ha!	trompeuse, ha!
perfide & parjure Indienne, De l’infidelité fidelle gardienne, As-tu rompu ſi-toſt, ou ſi-toſt oublié Les ſerments dont ton cœur au mien s’eſtoit lié?	perfide et parjure Indienne, De l'infidélité fidelle gardienne, As-tu rompu sitôt, ou si-tôt oublié Les serments dont ton cœur au mien s'était lié?
Ame ingratte au delà de toute ingratitude, Mon inuincible amour, ma longue ſeruitude, Et tant d’aſſauts donneZ & ſouſtenus pour toy, Auoient-ils merité ce manquement de foy?	Âme ingrate au delà de toute ingratitude, Mon invincible amour, ma longue servitude, Et tant d'assauts donnez et soutenus pour toi, Avaient-ils mérité ce manquement de foi?
Moy de qui les exploicts ont promené ta gloire Des flots de la mer rouge, aux flots de la mer noire, Et comme ta beauté fait coneſtre ton nom –	Moi de qui les exploits ont promené ta gloire Des flots de la mer rouge, aux flots de la mer noire, Et comme ta beauté fait conêtre ton nom 
Du Boſphore de Trace, au riuage Breton;	Du Bosphore de Trace, au rivage Breton;
Moy qui gardant la foy que ie t’auois donnée, Du Leuant au Couchant où ie t’ay r’amenée, Eſpargnay ton honneur à magarde commis, En des temps & des lieux où tout m'eſtoit permis.	Moi qui gardant la foi que je t'avais donnée, Du Leuant au Couchant où ie t'ai ramenée, Épargnai ton honneur à magarde commis, En des temps et des lieux où tout m'était permis.
Sotte diſcretion, nuiſible retenuë, Et trop bien obſeruée, & trop mal reconnuë;	Sotte discrétion, nuisible retenue, Et trop bien observée, et trop mal reconnue;
I'auray donc meſnagé cet amoureux treſor Afin d’en enrichir ton illuſtre Medor;	J'aurai donc ménagé cet amoureux trésor Afin d'en enrichir ton illustre Médor;
Et ce roc où ta main a graué ton parjure, De peur que le ſecret n’amoindrit mon injure, Et cet arbre où ton nom dans le ſien eſt graué, Seront comme vn trophée à ma honte eſleué.	Et ce roc où ta main a gravé ton parjure, De peur que le secret n'amoindrit mon injure, Et cet arbre où ton nom dans le sien est gravé, Seront comme un trophée à ma honte élevé.
O Ciel!	Ô Ciel!
à ce penſer ma triſteſſe redouble, La fureur me ſaiſit, & ma raïſon ſe trouble;	à ce penser ma tristesse redouble, La fureur me saisit, et ma raïson se trouble;
Ouy l’outrage eſt trop grand, & ie dois pour le moins, Au deffaut des autheurs, en perdre les teſmoins, Et garder que cet arbre abbatu ſous ma force Ne nourriſſe ma honte auecque ſon eſcorce;	Oui l'outrage est trop grand, et ie dois pour le moins, Au défaut des auteurs, en perdre les témoins, Et garder que cet arbre abattu sous ma force Ne nourrisse ma honte auecque son écorce;
Que ces noms odïeux que le fer a traceZ Soient außi par le fer & mon bras effacèz:	Que ces noms odïeux que le fer a tracés Soient aussi par le fer et mon bras effacés:
Sus, Roland, par des coups, à tout autre impoſſibles, Fais ſentir ta vengeance aux ſujets inſenſibles;	Sus, Roland, par des coups, à tout autre impossibles, Fais sentir ta vengeance aux sujets insensibles;
Que iamais cet ombrage auparauant ſi beau Ne ſerue dé retraite à Paſteur ny troupeau:	Que jamais cet ombrage auparavant si beau Ne serve dé traite à Pasteurblé troupeau:
Que de mille cailloux cette ſource comblée Cherche vn nouueau paſſage à ſononde troublée;	Que de mille cailloux cette source comblée Cherche un nouveau passage à sononde troublée;
Fauche l’herbe & les fleurs de ces bords empeſtez Qu'ont foulez tant de fois ces Amans deteſtez:	Fauche l'herbe et les fleurs de ces bords empestez Qu'ont foulez tant de fois ces Amants détestez:
Sur tout, que ces rochers au dedans les complices, Au dehors les teſmoins de leurs ſales delices;	Sur tout, que ces rochers au dedans les complices, Au dehors les témoins de leurs sales délices;
Cette voûte où la main d’vn indigne riual A peint vn Epigramme außi vain que brutal.	Cette voûte où la main d'une indigne rival A peint un Épigramme aussi vain que brutal.
Cette odieuſe grotte en mille eſclats coupée, Gemiſſe ſous le poids des coups de ton eſpée.	Cette odieuse grotte en mille éclats coupée, Gémisse sous le poids des coups de ton épée.
Apres ce long effort, ie bruſle, & meurs de chaud, Quand la force me croiſt, l’haleine me defaut:	Après ce long effort, ie brûle, et meurs de chaud, Quand la force me croît, l'haleine me défaut:
furi- Mais iette cette eſpée & ces armes peſantes, Tes mains à tous exploicts ſont aſſez ſuffiſantes, Va chercher dans la plaine vn remede à ta fain, Et pour perdre Medor perd tout le genre humain.	furi- Mais jette cette épée et ces armes pesantes, Tes mains à tous exploits sont assez suffisantes, Va chercher dans la plaine un remède à ta sain, Et pour perdre Médor perd tout le genre humain.
SCENE	SCÈNE
SGENNEIT ZERBIN, ISABELLE.	SGENEIT ZERBIN, ISABELLE.
L ZERBIN.	 LZERBIN.
OMME le buſcheron le marque & le raconté, Il ne faut plus douter que ce ne ſoit le Comte, Et le Comte affligé, puiſque ſa triſte voix Trouble depuis trois iours le ſilence des bbis;	OMME le bûcheron le marque et le raconté, Il ne faut plus douter que ce ne soit le Comte, Et le Comte affligé, puisque sa triste voix Trouble depuis trois jours le silence des bondis;
Ie crains que Mandricart, dont l’orgueilleuſe enuie Eſt d’auoir Durandal, ou de perdre la vie, N'ait eu par ſa fortune aduantage ſur luy, Et que cet accident n'ait cauſé ſon tninuy.	Je crains que Mandricart, dont l'orgueilleuse envie Est d'avoir Durant, ou de perdre la vie, N'ait eu par sa fortune avantage sur lui, Et que cet accident n'ait causé son tinui.
ISABELLE.	ISABELLE.
Roland, comme Iſabelle, a pû ſçauoir des choſes Qui ſont de ſadouleur les veritables cauſes, Vous les ſçaurez vn iour.	Roland, comme Isabelle, a pu savoir des choses Qui sont de sadouleur les véritables causes, Vous les saurez un jour.
ZERBIN.	ZERBIN.
Et bien dites-les-moy;	Et bien dites-moi;
ISABELLE.	ISABELLE.
C’eſt ce que ie ne puis ſans violer ma foy;	C'est ce que Madame ne puis sans violer ma foi;
Apprenez, ſeulement que ſon dueil ne procede Que de ce qu'il deſire, & qu'vn autre poſſede.	Apprenez, seulement que son deuil ne procède Que de ce qu'il désire, et qu'un autre possède.
ZERBIN.	ZERBIN.
Autant vaut me le dire aujourd’huy que demain.	Autant vaut me le dire aujourd'hui que demain.
TSADELLE.	TSADELLE.
Ie ne le diray pas, vous m'en preſſez, en vain.	Je ne le dirai pas, vous m'en pressez, en vain.
ZERBIN.	ZERBIN.
Chacun ſçait qu'Angelique eſt l’objet qu’il adore, Que Renaut, Sacripant, & Feragus encore, Par tant de beaux exploits dont ils ſont renommez, Recherchent comme luy le bien d’en eſtre aymez:	Chacun sais qu'Angélique est l'objet qu'il adore, Que Renaut, Sacripant, et Féragus encore, Par tant de beaux exploits dont ils sont renommés, Recherchent comme tu le bien d'en être aimés:
Eviuis Renaut qu'eut acyma neſt plus en ſapenſee, Touſiours pour Ferragus ſon ame fut glacée, Ainſi donc Sacripant eſt le riual heureux  poſſede tout ſeul ce treſor amoureux;	Évivis Renaut qu'eut acima nest plus en sapensee, Toujours pour Ferragus son âme fut glacée, Ainsi donc Sacripant est le rival heureux possède tout seul ce trésor amoureux;
Et voila le ſecret que vous me voulez taire.	Et voilà le secret que vous me voulez taire.
ISABELLE.	ISABELLE.
Vous auez en effect deuiné le miſtere, Mais non pas penetré;	Vous avez en effet deviné le mystère, Mais non pas pénétré;
puis qu'en fin il eſt ſeur Que pas vn de ces trois n'en eſt le poſſeſſeur.	puis qu'en fin il est sûr Que pas un de ces trois n'en est le possesseur.
Qui donc?	Qui donc?
ZERBIN.	ZERBIN.
ISABELLE.	ISABELLE.
Vn plus heureux, & que Zerbin luy-meſme, A mis encet eſtat de Fortune ſupreme.	Un plus heureux, et que Zerbin sens-même, A mis encet état de Fortune suprême.
ZERBIN.	ZERBIN.
Que i’ay fait vn heureux aux dépens de Roland!	Que j'ai fait un heureux aux dépens de Roland!
Moy qui ſçay les ardeurs de ſon feu violent, Moy qui luy dois la vie & l’honneur d’Iſabelle, C’eſt me traiter d’ingrat, de laſche & d’infidelle.	Moi qui sais les ardeurs de son feu violent, Moi qui vou lais la vie et l'honneur d'Isabelle, C'est me traiter d'ingrat, de lâche et d'infidèle.
ISABELLE.	ISABELLE.
Vous ſçaurez dans ſept iours que c’eſt la verité, Et que vous l’auez fait par generoſité:	Vous saurez dans sept jours que c'est la vérité, Et que vous l'avez fait par générosité:
Non, non, aſſeurez-vous qu’il n’y va rien du voſtre.	Non, non, assurez-vous qu'il n'y va rien du vôtre.
ZERBIN.	ZERBIN.
Vous me ietteZ encord’vn Dedale en vn autre:	Vous me jettez encord'un Dédale en un autre:
Mais ie croy qu’en cecy vous voulez inuenter, Afinde vous esbattre & de m'inquieter, Acheuons cependant noſtre amoureux voyage, Et cherchons le repos au frais de cet ombrage;	Mais le crois qu'en ceci vous voulez inventer, Afinde vous ébattre et de m'inquiéter, Achevons cependant quelque amoureux voyage, Et cherchons le repos au frais de cet ombrage;
Où l’Hermite a promis de nous venir trouuer, Pour choſe ( ce dit-il) qui nous doit arriuer, Et que l’Eſprit de Dieu luy peut faire coneſtre;	Où l'Hermite a promis de nous venir trouver, Pour chose ( ce dit-il) qui nous doit arriver, Et que l'Esprit de Dieu Dieu peut faire conêtre;
Pour moy, quoy que ce ſoit, ou quoy que ce puiſſe eſtre, I'ay l’ame preparée à tous les accidens Qui me peuuent toucher & dehors & dedans.	Pour moi, quoi que ce soit, ou quoi que ce puisse être, J'ai l'âme préparée à tous les accidents Qui me peuvent toucher et dehors et dedans.
ISABELLE.	ISABELLE.
Dieu!	Dieu!
ſi i’auois la mienne ou moins forte ou moins ſaine, Qu'vn ſonge que i’ay fait me donneroit de peine, le ne le atraypas, quoy qu'i vienne apropos, Il a pourtant troublé mon ſomme & mon repos.	si j'avais la mienne ou moins forte ou moins saine, Qu'un songe que j'ai fait me donnerait de peine, le ne le atraipas, quoi qu'y vienne appropos, Il a pourtant troublé mon somme et mon repos.
ZERBIN.	ZERBIN.
C’eſt vn monſtre engendré des vapeurs de la rates Mais i’obſerue vn endroit où quelque choſe eſclate, Voyons-y de plus prés.	C'est un monstre engendré des vapeurs de la rates Mais j'observe un endroit où quelque chose éclate, Voyons-y de plus près.
C’eſt vn plaſtron luiſant, Et d’vn fort bel ouurage;	C'est un plastron luisant, Et d'un fort bel ouvrage;
ô Dieu qu’il eſt peſant, ceujquiu portoit à de fortes eſpaules;	ô Dieu qu'il est pesant, ceujuju portait à de fortes épaules;
Tout proche giſt l’armet, plus loin entre les ſaulles Des cuiſſes & des bras, l’habillement complet, Là la cotte de maille, icy le gantelet, Et ie deſcouure en fin la cuiraſſe & l’eſpée.	Tout proche gît l'armet, plus loin entre les saulles Des cuisses et des bras, l'habillement complet, Là la cotte de maille, ici le gantelet, Et ainsi découvre en fin la cuirasse et l'épée.
ISABELLE.	ISABELLE.
Ha Dieu!	Ha Dieu!
c’eſt Durandal, ou ie ſuis bien trompée;	c'est Durandal, ou tu suis bien trompée;
Mais ie la connois trop pour en pouuoir douter:	Mais ici la connais trop pour en pouvoir douter:
O toy de qui le bras l’a tant fait redouter, Inuincible Roland, pourquoy parmy les herbes As-tu laißé de toy ces dépoüilles ſuperbes?	Ô toi de qui le bras l'a tant fait redouter, Invincible Roland, pourquoi parmi les herbes As-tu laisse de toi ces dépoüilles superbes?
Eſt-ce pour illuſtrer eet ignoble ſejour, LEOu pour en embellir le triomphe d’Amour?	Est-ce pour illustrer cet ignoble séjour, LEu pour en embellir le triomphe d'Amour?
Oüy, Zerbin, vous verrez que c’eſt la jalouſie Qui de noires vapeurs troublant ſa fantaiſie, A fait ſur ſon eſprit des efforts ſi puiſſans, Qu'en fin l’extrauagance a vaincu le bon ſens:	Oui, Zerbin, vous verrez que c'est la jalousie Qui de noires vapeurs troublant sa fantaisie, A fait sur son esprit des efforts si puissants, Qu'en fin l'extravagance a vaincu le bon sens:
Reooinounbono copenauiar (e teiuono une nos iarmes Ces reliques d’honneur, ces precieuſes armes.	Reojoinounbono copenaupar (e teivono une nos jarmes Ces reliques d'honneur, ces précieuses armes.
ZERBIN.	ZERBIN.
Pendons-les maintenant aux branches de ce Pin, Ils les Pour en faire vn trophée au vaillant Palladin:	Pendons-les maintenant aux branches de ce Pin, Ils les Pour en faire un trophée au vaillant Palladin:
Mais vn grand Cheuallier deſcend de la colline, Euitons ſon abort dans la grotte voiſine, Et du bruſlant Midy la croiſſante chaleur;	Mais un grand Chevalier descend de la colline, Euitons son abort dans la grotte voisine, Et du brûlant Midi la croissante chaleur;
O!	Ô!
Comte infortuné que ie plains ton malheur.	Comte infortuné que ici plains ton malheur.
ISABELLE.	ISABELLE.
Zerbin, ce Cheualier vient droit à la fontaine, Entrons ſans eſtre veus dans la grotte prochaine.	Zerbin, ce Chevalier vient droit à la fontaine, Entrons sans être vus dans la grotte prochaine.
LERDIIV.	LERDIV.
Dieu!	Dieu!
d’où vient ce degaſt eſpouuantable aux yeux, Quel homme, ou quel demon ennemy des beaux lieux, A couppé ces rochers, & gaſté ces riuages?	d'où vient ce dégât épouvantable aux yeux, Quel homme, ou quel démon ennemi des beaux lieux, A coupé ces rochers, et gâté ces rivages?
ISABELLE.	ISABELLE.
Roland en ſa fureur aura fait ces rauages.	Roland en sa fureur aura fait ces ravages.
a--7t-- Ca-	a-7t- Ca-moi
3 ii	3 ji
SCSIVE III RODOMONT.	SCIVE III RODOMONT.
2 Ula E ne me repens pas du détour que i’ay fait, Pour voir vn païſage en beauté ſi parfait, Ny ne m'offence plus que ceux de la contrée Aux hommes ſeulement en permettent l’entrée, Et qu'vn foßé ſi large & de ſi long trauail Empeſche nos cheuaux de gaſter cet émail;	2 Ula E ne me repens pas du détour que j'ai fait, Pour voir un paysage en beauté si parfait, Ni ne m'offense plus que ceux de la contrée Aux hommes seulement en permettent l'entrée, Et qu'un fossé si large et de si long travail Empêche nos chevaux de gâter cet émail;
Heureux ſi la douceur de cette ſolitude M'oſtoit le ſouuenir de ton ingratitude, Infame Doralice, inconſtante beauté, Qui n'aymes que le change & la deſloyauté:	Heureux si la douceur de cette solitude M'ôtait le souvenir de ton ingratitude, Infâme Doralice, inconstante beauté, Qui n'aimes que le change et la déloyauté:
Mais plus heureux encor ſi tes actes infames Me rendoient odieux tout le reſte des femmes, Oüy mon cœur indigné hait à cauſe de toy Ce ſexe ou la nature a mis ſi peu de foy, Sexe à qui la beauté ſert d’agreable maſque A déguiſer ſa fraude & ſon humeur fantaſque;	Mais plus heureux encor si tes actes infâmes Me rendaient odieux tout le reste des femmes, Oui mon cœur indigné hait à cause de toi Ce sexe ou la nature a mis si peu de foi, Sexe à qui la beauté sert d'agréable masque A déguiser sa fraude et son humeur fantasque;
Sexe de qui l’eſprit eſt vn ſable mouuant Qui va touſiours au gré de la mer & du vent, En fin:	Sexe de qui l'esprit est un sable mouvant Qui va toujours au gré de la mer et du vent, En fin:
mais depuis quand peut eſtre icy venuë La mode du trophée à la France inconnuë?	mais depuis quand peut être ici venue La mode du trophée à la France inconnue?
Deſt achons cette eſpée, ô Dieux qu’elle me plaiſt, Voyons ſi le trenchant en eſt tel qu’il paraiſt, Il eſt aiſé de voir aux dépens de cet arbre u'elle pourroit couper des coulomnes de marbre.	Dest achons cette épée, ô Dieux qu'elle me plaît, Voyons si le trenchant en est tel qu'il paraît, Il est aisé de voir aux dépens de cet arbre uelle pourrait couper des coulomnes de marbre.
ZERBIN ſortant de la grotte.	ZERBIN sortant de la grotte.
Il faut voir d’où prouient ce bruit & ce fracas:	Il faut voir d'où provient ce bruit et ce fracas:
Dieu!	Dieu!
voila le trophée &a ter imes à bas, DemeureZ à couuert dans cette grotte obſcure, Et me laiſſez le ſoin de venger cette injure,	voilà le trophée eta ter mes à bas, Demeurez à couvert dans cette grotte obscure, Et me laissez le soin de venger cette injure,
ISABELLE.	ISABELLE.
Ol Ciel aßiſtez nous.	Ol Ciel assistez nous.
SCEIVETV ZERBIN, RODOMONT.	SCEIVETU ZERBIN, RODOMONT.
ZERBIN.	ZERBIN.
E Heualier inſolent S Ou releue à genoux les armes de Roland, Ou te mets en eſtat de deffendre les tiennes, Sois-tu du camp d’Affrique, ou des trouppes Chreſtiennes.	E Hvalier insolent S Ou relève à genoux les armes de Roland, Ou te mets en état de défendre les tiennes, Sois-tu du camp d'Afrique, ou des troupes Chrétiennes.
RODOMONT.	RODOMONT.
Tu ne pourrois parler ny plus mal, ny plus haut, Quand tu ſerois Roland, Mlandricart, ou Renaut, De ces trois neantmoins pas vn ne te reſſemble;	Tu ne pourrais parler était plus mal, ni plus haut, Quand tu serais Roland, Mlandricart, ou Renaut, De ces trois néanmoins pas un ne te ressemble;
Mais quand tu pourrois ſeul ce qu’ils peuuent enſemble, Apprens que Rodomont dans Paris ſi vanté N'a iamais rien connu qui l’ait épouuanté;	Mais quand tu pourrais seul ce qu'ils peuvent ensemble, Apprends que Rodomont dans Paris si vanté N'a jamais rien connu qui l'ait épouvanté;
Songe donc que ta mort doit reparer l’outrage Que ta ſotte harangue a fait à mon courage, Ou par ton repentir m'obligeant au pardon Reçoy de moy l’eſpée & la teſte en purdon.	Songe donc que ta mort doit réparer l'outrage Que ta sotte harangue a fait à mon courage, Ou par ton repentir m'obligeant au pardon Reçois de moi l'épée et la tête en purdon.
ZERBIN.	ZERBIN.
ZERBIN.	ZERBIN.
Garde pour des enfans ces menaces friuoles, On ne m'eſtonne pas auecque des paroles, Et pour toute replique à ce langage vain, Ie reparts de l’eſpée, & reſponds de la main.	Garde pour des enfants ces menaces frivoles, On ne m'étonne pas manque des paroles, Et pour toute réplique à ce langage vain, Je réparts de l'épée, et répond de la main.
RODOMONT.	RODOMONT.
Accablé ſous l’effort d'vn bras qui te mépriſe, Tu terepentiras de ta folle entrepriſe.	Accablé sous l'effort d'un bras qui te méprise, Tu èrepentiras de ta folle entreprise.
ZERBIN.	ZERBIN.
Coloſſe audacieux, fanfaron mal apris, Voy ſi cette eſtocade eſt digne de mépris.	Colosse audacieux, fanfaron mal apis, Vois si cette estocade est digne de mépris.
RODOMONT.	RODOMONT.
Et toy par ce reuers appliqué de meſure Qu'en matiere de coups ie paye auec vſure.	Et toi par ce revers appliqué de mesure Qu'en matière de coups apprendre paye avec usure.
ZERBIN.	ZERBIN.
O!	Ô!
Ciel ie n’en puis plus, la force me defaut.	Ciel avait n'en puis plus, la force me défaut.
RODOMONT.	RODOMONT.
Il tombe, s’en eſt fait, il eſt mort autant vaut;	Il tombe, s'en est fait, il est mort autant vaut;
Emporte cependant cette excellente eſpée, Qui de ſon deffenſeur a la trame couppée;	Emporte cependant cette excellente épée, Qui de son défenseur a la trame coupée;
Le Tartare orgueilleux qui bruſle de l’auoir Ne ſçaura pas pluſtoſt qu'elle eſt en ton pouuoir,	Le Tartare orgueilleux qui brûle de l'avoir Ne saura pas plutôt qu'elle est en ton pouvoir,
H Et combien ſa conqueſte eſt fatale à ſa vie, q ucepuaſpameuan porur ai l'enuie.	H Et combien sa conquête est fatale à sa vie, q ucepuaspameuan porur ai l'envie.
ISABELLE.	ISABELLE.
Il faut qu’ils ayent remis ou finy leur duel, Ie n'entends plus de bruict;	Il faut qu'ils aient remis ou fini leur duel, Je n'entends plus de bruit;
ô ſpectacle cruel!	ô spectacle cruel!
Ie vois encor debout ce Cheualier ſuperbe Qui laiſſe mon Eſpoux eſtendu deſſus l’herbe, Accourons à ſon ayde;	Je vois encor debout ce Chevalier superbe Qui laisse mon Époux étendu dessus l'herbe, Accourons à son aide;
ô prompr, ô triſte effait, a tou couurerſſemtent uu fonge que euy fait!	ô prompr, ô triste effait, a tou couvrerssemtent u fonge que eui fait!
Il tourne deuers moy ſa mourante prunelle, Me connoiſt-il encor?	Il tourne devers moi sa mourante prunelle, Me connaît-il encor?
ZERBIN.	ZERBIN.
Ha!	Ha!
ma chere Iſabelle, Ma vie auec mon ſang eſt preſte à me quitter, anmaue poino oumiomom tu bouururent arreſter, Laiſſez-moy donc en paix finir ma deſtinée.	ma chère Isabelle, Ma vie avec mon sang est prête à me quitter, anmène poino oumiom tu bouurent arrêter, Laissez-moi donc en paix finir ma destinée.
ISABELLE.	ISABELLE.
O Fortune!	Ô Fortune!
ô Fortune!	ô Fortune!
à ma perte obſtinée.	à ma perte obstinée.
ZERBIN.	ZERBIN.
Recueillez en faueur de nos chaſtes amours, Et mes derniers ſouſpirs, & mes derniers diſcours:	Recueillez en faveur de nos chastes amours, Et mes derniers soupirs, et mes derniers discours:
La peine de la mort, quoy qu’extremement dure Ne peut eſtre égalée à celle que i’endure, De n'auoir pù deffendre auec plus de bon-heur ----------- I--- -d- -a -- e p-cce 2 -	La peine de la mort, quoi qu'extrêmement dure Ne peut être égalée à celle que j'endure, De n'avoir pù défendre avec plus de bon-heur -- I-à -dire- -a --ce 2-ce 2 -ce
30 Les armes de celuy qui vous ſauua l’honneur:	30 Les armes de celui qui vous sauva l'honneur:
Mais ie ſens bien encore vne plus viue atteinte De voir que ma lumiere eſt ſi prés d’eſtre eſteinte, Et que ce meſme honneur que Roland ſecourut Courra poßible encor les dangers qu’il courut;	Mais petit sens bien encore une plus vive atteinte De voir que ma lumière est si près d'être éteinte, Et que ce même honneur que Roland secourut Courra passible encor les dangers qu'il courut;
Helas!	Hélas!
c’eſt là le glaiue où la playe inuiſible Qui me cauſe vnemort plus prompte & moins pa ſible;	c'est là le glaiue où la plaie invisible Qui me cause vnemort plus prompte et moins pa blé;
I'eſpere neantmoins, & croy pour mon repos Que Dieu ce meſme Dieu qui vous tira des flots, Qui dutraiſtre Odoric arreſta l’inſolence Auant qu’à voſtre honneur il euſt fait violence, Et par qui de Roland les redoutables mains Vous oſterent depuis aux brigans inhumains;	J'espère néanmoins, et crois pour mon repos Que Dieu ce même Dieu qui vous tira des flots, Qui dutraître Odoric arrêta l'insolence Avant qu'à votre honneur il eût fait violence, Et par qui de Roland les redoutables mains Vous ôtèrent depuis aux brigants inhumains;
Dieu de qui les bontez ſont pour nous ſans limite Ne vous quittera point encor que ie vous quitte;	Dieu de qui les bontés sont pour nous sans limite Ne vous quittera point encor que je vous quitte;
Viuez, donc, ie vous prie, autant qu’il luy plaira, Ainſi iamais Zerbin qu’auec vous ne mourra, Ainſi viura touſiours la moitié de moy-meſme, ie Si vous m'aymez touſiours autant que ie vous ayme, En fin ſi voſtre grace, & le tiltre d’Eſpoux Me donnerent iamais quelque pouuoir ſur vous, Quelques rudes aſſauts que la douleur vous liure Ie vous commande encorde m'aymer & de viure.	Vivez, donc, je vous prie, autant qu'il lui plaira, Ainsi jamais Zerbin qu'avec vous ne mourra, Ainsi vivra toujours la moitié de moi-même, ai Si vous m'aimez toujours autant que je vous aime, Autant que je vôtre grâce, et le titre d'Époux Me donnèrent jamais quelque pouvoir sur vous, Quelques rudes assauts que la douleur vous livre Je vous commande encorde m'aimer et de vivre.
ISABELLE.	ISABELLE.
Helas!	Hélas!
comment t’aymer & conſeruer le iour, O!	comment t'aimer et conserver le jour, Ô!
loy, ſeuere loy, contraire à mon amour, ----- 2	loi, sévère loi, contraire à mon amour, -- 2
H	H
60 Et qui viſiblement ſe deſtruit d’elle-meſme Puiſque ie dois mourir s’il eſt vray que ie t’ayme;	60 Et qui visiblement se détruit d'elle-même Puisque j' elle mourir s'il est vrai que ie aime.
