A PHILISTE	À PHILISTE
2	2
PANTALON.	PANTALON.
Eſt ce quelque choſe de bon que cette maiſon.	Est -ce quelque chose de bon que cette maison.
LE DOCTEVR.	LE DOCTEUR.
Monſieur, il faut que vous ſçachiez qu’elle n’a pas eſté baſtie ſelon les regles d’Architecture, ny de ma riere auſſi precieuſe que le marbre & le porphire, toutesfois dans tout le Royaume meſme des Romains, il ne s’en ſçauroit trouüer de plus parfaite ny de plus accomplie, fuſt elle baſtie des propres mains d’Amadis ou de l’Arioſte, c’eſt vn petit canton de terre, où il ne mãque que la ſource de l’or pour y auoir toutes choſes neceſſaires, & vn petit rõd courõné de mõtagnes, ou l’eau & la fraiſcheur ne manquẽt iamais, les arbres y sõt verds en tout tẽps depuis la racine iuſques aux feuilles, & au lieu de fruicts leurs branches ſont chargees de Tourtres & de Faizãs, les bois y ſont ſi touffus, qu’ils ne reçoiuent iamais plus de iour que ce qu’il en faut, pour n’eſtre pas nuict, & pour ne pas offencer les yeux des malades, ou découurir l’artifice des viſages fardez:	Monsieur, il faut que vous sachiez qu'elle n'a pas été bâtie selon les règles d'Architecture, ni de ma rière aussi précieuse que le marbre et le porphyre, toutefois dans tout le Royaume même des Romains, il ne s'en sçauroit toujours de plus parfaite ici de plus accomplie, fût elle bâtie des propres mains d'Aradis ou de l'Arioste, c'est un petit canton de terre, où il ne mãque que la source de l'or pour y avoir toutes choses nécessaires, et un petit rõd âmede mõtagnes, ou l'eau et la fraiser ne manquẽt jamais, les arbres y sõt verds en tout tẽps depuis la racine iusques aux feuilles, et au lieu de fruicts leurs me sont chargées de Tourtres et de Faizãs, les bois y sont si touffus, ils a reçoiuent iamais plus de iour que ce il en faut, pour être pas nuict, et pour ne pas offencer les yeux des malades, ou découurir artifice des visages fardez:
enfin pour empeſcher que toutes couleurs ne ſoient noires:	enfin pour empêcher que toutes couleurs ne soient noires:
dans ce troiſiéme temps, ie me promene tout à mon aiſe dans mes allées, ſans auoir beſoing de me botter & ſans craindre la rencontre des Carroſſes.	dans ce troisième temps, je me promène tout à mon aise dans mes allées, sans avoir besoin de me botter et sans craindre la rencontre des Carrosses.
Ce n’eſt pas tout, les eauës y ſont ſi claires, que les animaux qui y vont boire, ſe trouuent aucir le meſme aduartage que les hommes penſoient auoir ſur eux, c’eſt de voir le Ciel auſſi bien que nous:	Ce n'est pas tout, les eaves y sont si claires, que les animaux qui y vont boire, se trouvent aucir le même aduartage que les hommes pensaient avoir sur eux, c'est de voir le Ciel aussi bien que nous:
& noſtre belle riuiere ayme tellement cette terre, qu’il ſemble qu’elle ne s’en veuille iamais éloigner par tant de petits contours & de branches qu’elle y faict, voire meſme pour s’y amuſer dauantage, elle rend ſes eauës dormantes & ſi calmes, que les batteaux meſmes ne ſçauroient ny s’y ſauuer ny s’y perdre;	et notre belle rivière aime tellement cette terre, qu'il semble qu'elle ne s'en veuille jamais éloigner par tant de petits contours et de branches qu'elle y fait, voire même pour s'y amuser davantage, elle rend ses eaveus dormantes et si calmes, que les batteaux mêmes ne sauraient ici s'y sauver ni y perdre;
les Cignes s’y retirent comme en lieu de ſeureté & les campagnes qu’elle arrouſe y ſont La Commedie ſi vaſtes, qu'elles ſemblent ſe ulement eſtre deſtinées, pour eſtre des champs de bataille:	les Cignes s'y retirent comme en lieu de sûreté et les campagnes qu'elle arrouse y sont La Commedie si vastes, qu'elles semblent se ulement été destinées, pour être des champs de bataille:
En cette demeure tous les biens neceſſaires à la vie de l’homme me ſont auſſi communs que l’air & le feu, & depuis le Ciel iuſques à l’eau des riuieres, toutes les richeſſes de la Nature ſont à moy bref de tous les aduantages dont vn homme de ma qualité ſe peut preualoir en ce monde, ie ſuis (puis qu’il plaiſt à Dieu) aſſez bien partagez, il ne me mãque qu’vn peu de ſanté parmy toutes ces felicitez mais à mon grand regret, c’eſt vn bien qu’il faut que i’enuie à ma grande mere, toutesfois ie me conſerue comme ſi i’eſtois de Criſtal, & ne fais point de deſbauches qui ne ſoient fort innocentes, voire plus auſteres que les jeuſnes des Minimes.	En cette demeure tous les biens nécessaires à la vie de l'homme me sont aussi communs que l'air et le feu, et depuis le Ciel jusqu' à l'eau des rivières, toutes les richesses de la Nature sont à moi bref de tous les avantages dont un homme de ma qualité se peut prévaloir en ce monde, tu suis (puis qu'il plaît à Dieu) assez bien partagez, il ne me manque qu'un peu de santé parmi toutes ces félicités mais à mon grand regret, c'est un bien qu'il faut que j'envie à ma grande mère, toutefois ie me conserve comme si j'étais de Cristal, et ne fais point de débauches il ne soient fort in, voire plus austères que les jeûnes des Minimes.
De plus, ſi vous voulez voir quelque eſchantillon de ma ſcience, & de la cognoiſſance que i’ay des bonnes lettres, ie vous aprens de bonne heure, que i'ay trouué la perfection de l’eloquence, que tout le monde auoit tant cherché iuſques icy, ie perſuade aux malades que la fievre tierce eſt vne eſpece de ſanté, ie trouue des loüanges pour les Buſiris, & des Apologies pour les Nerons:	De plus, si vous voulez voir quelque échantillon de ma science, et de la connaissance que j'ai des bonnes lettres, je vous apprends de bonne heure, que j'ai trouvé la perfection de l'éloquence, que tout le monde avait tant cherché iusques ici, Elle persuade aux malades que la fièvre tierce est toujours espèce de santé, été trouve des louanges pour les Busir, et des Apologies pour les Nérons:
& tout au contraire quand ie veux, il n’y a rien de ſi beau ſoubs le Ciel, où ie ne faſſe remarquer des taches & des defauts.	et tout au contraire quand nous veux, il n'y a rien de si beau sous le Ciel, où ie ne fasse remarquer des taches et des défauts.
Il faut aduoüer que dans cette éloquenceſ qui n’eſt pas moindre que celle qui autrefois portoit desfoudres & des tonnerres) ie ſuis le plus grand tyran qui ſoit auiourd’huy au monde, & que l’authorité de ma voix s’en va eſtre redoutable à toutes les ames:	Il faut aduoüer que dans cette éloquences qui n'est pas moindre que celle qui autrefois portait desfoudres et des tonnerres) tu suis le plus grand tyran qui soit aujourd'hui au monde, et que l'autorité de ma voix s'en va être redoutable à toutes les âmes:
Quand ie parle il eſt impoſſible de cõſeruer ſon opinion, ſi elle n’eſt pas conforme à la mienne, & dernierement i’en reduiſis quelqu’vns à vne telle extremité que ſe ſeparans ſans ſçauoir que reſpondre, ils crioient tous apres moy comme apres quelque voleur inſigne, [Monſieur rendez nous noſtre aduis que vous nous emportez par force, & ne nous enleuez pas la liberté de conſcience que le Roy nous a donnée, ] apres tout cela pourtant ie n’exerce point de violẽce, qui ne ſoit au profit de ceux qui la ſouffrent, ainſi ie regne dans l’eſprit des hommes, par la force de la raiſon, & ie partage le gouuernement du monde auec les Conquerans & les Princes legitimes, ie perſuade les Roys, i’inſtruis les Ambaſſadeurs, & en ma plus tendre ieuneſſe, ie me ſuis fait eſcouter des vieillards de quatre regnes.	Quand ie parle il est impossible de conserver son opinion, si elle n'est pas conforme à la mienne, et dernièrement j'en réduisis quelqu'uns à une telle extrémité que se separans sans savoir que répondre, ils criaient tous après moi comme après quelque voleur insigne, [Monsieur rendez nous nôtre appuis que vous nous emportez par force, et ne nous enlevez pas la liberté de conscience que le Roi nous a donnée, ] après tout cela pourtant quelque n'exerce point de violẽce, qui ne soit au profit de ceux qui la souffrent, ainsi ie regne dans l'esprit des hommes, par la force de la fo, et ie partage le gouuernement du monde auec les a et les Rais legitimes, ie persuade les On, einstruis les Image, et en ma plus tendre y, ie m suis a escouter du vieillards de quatre regnes,
Pour ce qui eſt du fonds de toutes les autres ſciences, les cauſes les plus éloignées me ſont auſſi viſibles que les plus ordinaires effects, & ſi la Nature s’eſtoit faitẽ voir à moy toute nuë, ie n’aurois pas plus receu de communication de ſes ſecrets, que i’en ay de cognoiſſance.	Pour ce qui est du fond de toutes les autres sciences, les causes les plus éloignées me sont aussi visibles que les plus ordinaires effets, et si la Nature s'était fait voir à moi toute nue, je n'aurais pas plus reçu de communication de ses secrets, que j'en ai de connaissance.
Aureſte, tant s’en faut que ie parle comme les artiſans, i’eſcry de la meſme ſorte que l’on baſtit les Temples & les Palais, & les œuures de mes mains, ne reſſemblent pas à ces ſtatuës de bouë & de plaſtre, leſquelles comme elles ne ſont que l, ouurage d’vne iournée, auſſi ne ſont elles de durée, que pour vn iour & pour ſeruir d’ornement à quelque entrée de Gouuerneur en vne ville, & non pas au regne de pluſieurs Roys.	Aurrête, tant s'en faut que je parle comme les artisans, j'écri de la même sorte que l'on bâtit les Temples et les Palais, et les œuvres de mes mains, ne ressemblent pas à ces statues de boue et de plâtre, lesquelles comme elles ne sont que l, ouurage d'une journée, aussi ne sont elles de durée, que pour un jour et pour servir d'ornement à quelque entrée de Gouverneur en une ville, et non pas au règne de plusieurs Rois.
I’eſpere que mes ouurages diſputeront auec le Printemps, aqui produira de plus belles choſes, & i'ay meſmes vne infinité de fleurs deſliées dont il ne faut que faire des bouquets, & il y a ſix ans que ie laiſſe parler les autres,pour mediter ce que ie dois dire.	J'espère que mes ouvrages disputeront avec le Printemps, aqui produira de plus belles choses, et j'ai mêmes une infinité de fleurs déliées dont il ne faut que faire des bouquets, et il y a six ans que sans laisse parler les autres,pour méditer ce que ici dois dire.
En effect ie feray des choſes ſi rares & ſi admirables, que les Roys (qui ne ſont riches que de choſes ſuperfluës ſeront trop pauures pour les payer ſelon leur valeur, & qu’ainſi ne ſoit i’ay parlé en ſi bons termes & en ſi bonne part du Prince d’Orenge & du Marquis de Spinola, qu’il euſt peut eſtre ſemblé à quelques vns que i’euſſe attendu vne Abaye de ceHuguenot, & que pour l’autre i’euſſe eſté penſionnaire d’Eſpaigne & toutes fois ce n’eſt pas mon meſtier de flarer, tout ce qu’il ya, c’eſt que ie ſçay l’art de dire la verite de bonne grace, & Il faudroit que les choſes fuſſent bien releuées, ſi ie ne les égalois, voire meſme ſi ie ne les ſurpaſſois par mes paroles, au reſte ie prens l’art des Anciens, comme ils l’euſſent pris de moy ſi i’euſſe eſté le premier au monde:	En effet beau ferai des choses si rares et si admirables, que les Rois (qui ne sont riches que de choses superflues seront trop pauvres pour les payer selon leur valeur, et qu'ainsi ne soit j'ai parlé en si bons termes et en si bonne part du Prince d'Orenge et du Marquis de Spinola, qu'il eût peut être semblé à quelques uns que j'eusse attendu une Abbaye de ceHuguenot, et que pour l'autre j'eusse esté pensionnaire d'Espaigne et toutes fois ce n'est pas mon métier de flarer, tout ce qu'il y, est que ie sçay art de dire a vérité de bonne a, et Il faudroit que les choses fussent bien releuées, si ie ne ' es, voire même si ie ne les surpassois par mes paroles, au reste ie prens art des Anciens, comme ils que pris de moi si eusse esté le premier au monde:
mais ie ne deſpens pas ſeruilement de leur eſprit, ny ne ſuis pas né leur ſubiet pour ne ſuggerer que leurs loix & leur exemple, aù contraire (ſi ie ne me trompe) i’inuente plus heureuſement que ie n’imite & comme on a trouué de noſtre temps de nouuelles Eſtoiles, qui auoient iuſques icy eſté cachées, ie cherche de meſme en l’Eloquence des beautés qui n’ont eſté coMepa	mais grande ne dépens pas servilement de leur esprit, ni ne suis pas né leur sujet pour ne suggérer que leurs lois et leur exemple, aù contraire (si ie ne me trompe) j'invente plus heureusement que je n'imite et comme on a trouvé de notre temps de nouvelles Étoiles, qui avaient jusques ic y cachées, toujours cherche de même en l'Éloquence des beautés qui n'ont été coMepa
PANTALON.	PANTALON.
Ie voudrois bien auoir veu quelque choſe du voſtre:	Je voudrais bien avoir vu quelque chose du vôtre:
car ie vous apprens que i’ay le meſme gouſt pour les eſcrits que pour les Melons, & ſi les deux ſortes de fruicts ne ſont en vn degré de bonté qui ſoit proche des choſes parfaites, ie ne les loüerois pas meſme ſur la table du Roy, ny dans les œuures d’Homere, & principalement en ce tẽps, oú il court vne certaine maladie cõtagieuſe qui prẽd le mõde par le bout des doigs, & certes il ne ſeroit pas peut-eſtre tant inconuenient qu’il y euſt vneſorte d’Inquiſition pour ce ſujet, c’eſt à dire:	car je vous apprends que j'ai le Seigneur goût pour les écrits que pour les Melons, et si les deux sortes de fruits ne sont en un degré de bonté qui soit proche des choses parfaites, je ne les louerais pas même sur la table du Roi, ni dans les œuvres d'Homère, et principalement en ce temps, oú il court une certaine maladie comptagieuse qui prend le mo par le in des doigs, et certes il ne serait pas peut-être tant inconvénient qu'il y eût vnesorte d'Inquisition pour ce sujet, c'est à dire:
pour empeſcher que les fols ne rẽpliſſent le monde de leurs mauuais liures, & que les fautes des Maiſtres d’eſchole ne fuſſent auſſi publiques que celles des Magiſtrats & des Generaux d’armée.	pour empêcher que les fols ne rẽplissent le monde de leurs mauvais livres, et que les fautes des Maîtres d'échole ne fussent aussi publiques que celles des Magistrats et des Généraux d'armée.
Or.	Or.
pour éprouuer ſi les effects reſpondront à rant de belles promeſſes, ie voudrois bien que vous me fiſſiez vn petit diſcours ſur le malheur du ſiecle d’apreſent, en comparaiſon de ces autres ſiecles d’or, & de nos Peres, qui ne ſçauoient que c’eſtoit ny de rebelli on ny de tyrannie.	pour éprouver si les effets répondront à rant de belles promesses, Seigneur voudrais bien que vous me fissiez un petit discours sur le malheur du siècle d'aprésent, en comparaison de ces autres siècles d'or, et de nos Pères, qui ne savaient que c'était ici de rébelli on cy de tyrannie.
Et me le rendrez dans deux ou trois iours, pendant lequel temps i’auray le loiſir de parler de voſtre recherche à quelques vns de mes plus proches, cependant voyez voſtre maiſtreſſe, auec le plus de ſoin & d’artificequ’il vous ſera poſſible, & reſoluez-vous pluſtoſt d’y faire mille voyages inurils pour en pouuoir faire vn qui reüſſiſſe;	Et me le rendrez dans deux ou trois jours, pendant lequel temps j'aurai le loisir de parler de votre recherche à quelques uns de mes plus proches, cependant voyez vôtre maîtresse, avec le plus de soin et d'artificequ'il vous sera possible, et résolvez-vous plutôt d'y faire mille voyages inurils tôt d' y faire un qui réussisse;
les filles n’ont point continuellement deuant leurs yeux les pourtraicts de ceux qui ſont abſens, l’aſſiduitéprés d’icelles faict quelquefois plus que les ſeruices, & ceux qu’elles n’aime.	les filles n'ont point continuellement devant leurs yeux les portraits de ceux qui sont absens, l'assiduitéprés d'icelles fait quelquefois plus que les services, et ceux qu'elles n'aime.
roient point par raiſon, elles les aiment bien ſouuent par couſtume;	raient point par raison, elles les aiment bien souvent par coutume;
il eſt donc neceſſaire de ſe mõſtrer touſ iours preſt de receuoir la fortune, & veritablement comme la colere ſe fait des armes de tout ce quelle rencontre, il eſt certain que l’oc caſion ſe ſert de tous ceux qui ſe preſentẽt, en fin puis que nous auons à viure parmy des beſtes ſauuages, il eſt beſoin ou de les adoucir ou de les dompter;	il est donc nécessaire de se montrer tous jours prêt de recevoir la fortune, et véritablement comme la colère se fait des armes de tout ce quelle rencontre, il est certain que l'oc casion se sert de tous ceux qui se présentement, en fin puis que nous avons à vivre parmi des bêtes sauvages, il est besoin ou de les adoucir ou de les dompter;
apres cela ſi vous me rapportez, comme ie vous ay prié, vn fidelle teſmoignage de voſtre capacité, ie ſçauray bien trouuer la recompenſe que meritera voſtre vertu.	après cela si vous me rapportez, comme je vous ai prié, un fidèle témoignage de votre capacité, toujours saurai bien trouver la récompense que méritera votre vertu.
LE DOCTEVR.	LE DOCTEUR.
Monſieur, ie feray tout ce que vous voudrez, mais ie vous prie de conſiderer que ie ne puis rien fairé ny trauailler que ſoubs le bon plaiſir du Medecin & de la fievre, & en l’eſtat oú le ſuis, ie ne ſçaurois pasſeulement promettre l’Hiſtoire du Royaume d’Iuetot, ou celle du Pontificat de Campora qui ne dura que demy-quart d’heure, toutesfois ſur l’aſſeurance que i’ay que mon ſtile n’eſtpas éloigné de cetde cette perfection qui iuſques icy, a plus eſté deſirée que veuë, ie veux entreprendre vn deſſein qui eſtonnera l’eſprit de mes aduerſaires, & faire voir à ceux qui croyent ſurmonter les autres, que i’ay trouué ce qu’ils cherchent, au moins quoy que ie faſſe (Seigneur Pantalon) ie vous auray touſiours preſent à l’eſprit, pour m’o bliger de ne faillir point deuant vn ſi grand exemple, & ie n’oubliray pas le ſujet de ce trauail.	Monsieur, Seigneur ferai tout ce que vous voudrez, mais je vous prie de considérer que ie ne puis rien fairé ni travailler que sous le bon plaisir du Médecin et de la fièvre, et en l'état oú le suis, je ne saurais passeulement promettre l'Histoire du Royaume d'Ivetot, ou celle du Pontificat de Campora qui ne dura que demi-quart d'heure, toutefois sur l'assurance que j'ai que mon style n'estpas éloigné de cetde cette perfection qui jusques ici, a plus esté désirée que vue, a veux entreprendre de dessein qui est l'esprit de mes adversaires, et faire voir à ceux qui de surmonter les autres, que ay trouué ce ils cherchent, au moins quoi que ie fasse (Seigneur Pantalon) ie vous auray tousiours présent esprit, pour ô bliger de ne faillir point deuant si grand exemple, et ie oubliray pas le sujet de ce trauail.
afin de ne conceuoir rien qui ne ſoit digne de cette belle fille, il ſeroit impoſſible d’auoir en meſme temps vn ſi grand objet & de petites penſées, & de n’eſtre point échauffé de ce Soleil de la nuict, & des mauuais iours, qui éclaire touſiours monrepos & mes eſtudes.	afin de ne concevoir rien qui ne soit digne de cette belle fille, il serait impossible d'avoir en même temps un si grand objet et de petites pensées, et de n'être point échauffé de ce Soleil de la nuit, et des mauvais jours, qui éclaire toujours monrepos et mes études.
SCENE DEVXIESME Le Paidain & ctoruide	SCÈNE DEUXIÈME Le Paidain et ctoruide
T LE PALADIN.	 TE PALADIN.
TOVSIOVRS belle, touſiours inL comparable.	TOUSIOURS belle, toujours inL comparable.
CLORINDE.	CLORINDE.
B Iencigay pas comme vous oſez di, recela, leluis plus ſleſtrie que les rozes de l’année paſſée.	 Bencigai pas comme vous osez di, recela, leluis plus slêtrie que les rozes de l'année passée.
PALADIN.	PALADIN.
Vous ne le ditez pas comme vous le pemez, d vous auen trop de cognoiſſance de vous meſmes pour croire que ie vous flatte.	Vous ne le ditez pas comme vous le pemez, d vous aven trop de connaissance de vous mêmes pour croire que ie vous flatte.
CLORINDE.	CLORINDE.
Pardonnez moy Monſieut, aſſeurez vous que ſur cette opinion ie caſſe tous les miroüers que ie rencontre, ie trouble l’eau de toutes les riuieres que ie paſſe, & ie fuis toutes les Boutiques des Peintres de ceſte ville, de peur qu’ils ne me repreſentent mon maudals vllage.	Pardonnez -moi Monsieut, assurez -vous que sur cette opinion ie casse tous les mirouers que quelque rencontre, une trouble l'eau de toutes les rivières que Un passe, et Seigneur fuis toutes les Boutiques des Peintres de cette ville, de peur qu'ils ne me représentent mon maudals vllage.
LE PALADIN.	LE PALADIN.
Et où eſt ie vous prie l’Academie, où vous auez appris à ſi bien parler veritablement ſi tout le monde auoit l'eſprit & le naturel auſſi bon que vous l’auez, il ſe perdroit bien dutemps à l’eſcole, les Vniuerſitez deuiendroiẽt la plus inutile partie de la Republique, & le Latin auſſi bien que le paſſement de muin, & autres marchandiſes emrangcres, iercient pruntont vne marque de noſtre luxe, qu’vn effect de noſtre neceſſité	Et où est assez vous prie l'Académie, où vous avez appris à si bien parler véritablement si tout le monde avait l'esprit et le naturel aussi bon que vous l'avez, il se perdrait bien dutemps à l'école, les Vniuersitez deviendraient la plus inutile partie de la République, et le Latin aussi bien que le passement de muin, et autres marchandises emrangerses, jercient pruntont une marque de notre luxe, qu'un effect , qu'unité
CLORINDE.	CLORINDE.
Si eſt-ce que perſonne ne m’a iamais appris à parler que ma mere, & ie luy dois tout ce que i’en ay de bon, Knj pluſtoſt qu'a tous les feſeurs de Liures mais laiſſons tout cela, carie ne ſuis pas reſoluë de conteſter auec vous iuſques à la fin du mõde, ny de me deffendre d’vn ennemy qui ne me iette que des rozes à la teſte, ie croy qu’a l’heure que nous parlons, le Seigneur Docteur aura parlé de moy à mon Pere, de la recherche qu’il pretend faire de moy, tousles iours il eſt apres à m’importuner, & ſi i’oſois pour fuyr des perſonnes de cette ſorte ie prendrois la poſte, ie me mettrois ſur mer, & m’en irois cacher au bout du monde:	Si est-ce que personne ne m'a jamais appris à parler que ma mère, et iemmes dois tout ce que j'en ai de bon, Ônj plustost qu'a tous les feseurs de Livres mais laissons tout cela, carie ne suis pas résolue de conter avec vous jusques à la fin du monde, ni de me défendre d'un ennemi qui ne me jette que des rozes à la tête, ie grands qu'à l'heure que nous parlons, le Seigneur Docteur aura parlé de moi à mon Père, de la recherche qu'il prétend faire de moi, tousles toujours il est après à m'importuner, et si j'y pour de cette personnes de cette sorte ie pers la poste, de ce tt sur mer, et pen irois cacher au bout du monde:
ie crains pourtant que mon Pere n’y prenne gouſt, & qu’il ne luy agrée, où à cauſe de la ſcience dont il ſe vante, où peut eſtre pour ſes moyens.	Ne crains pourtant que mon Père n'y prenne goût, et qu'il ne porte agrée, où à cause de la science dont il se vante, où peut être pour ses moyens.
8 LE PALADIN.	8 LE PALADIN.
Quel homme elt ce Docteur?	Quel homme ellet ce Docteur?
quelles qualitez a il contraires aux mauuaiſes?	quelles qualités a il contraires aux mauvaises?
CLORINDE.	CLORINDE.
Ie ne ſçay, il ſe vante pourtant d’auoir trouué ce que le monde cherche tous les iours auec tant de peine.	Je ne sais, il se vante pourtant d'avoir trouvé ce que le monde cherche tous les jours auec tant de peine.
LE PALADIN Seroit ce la pierre Philoſophale, il l’a toute trouuèe dans ſes reins ou dans la veſſie,	LE PALADIN Serait ce la pierre Philosophale, il l'a toute trouvée dans ses reins ou dans la vessie,
CLORINDE.	CLORINDE.
ax rouyr parſer, ſe croy que cert l’Eloquence.	ax rouir parser, se crois que cert l'Éloquence.
LE PALADIN· Vrayement voila bien dequoy faire tant de bruit, principalement en ce temps & en ces broüilleries de guerre, nous auriõs plus beſoin de force que de raiſon, de Capitaines que de Docteurs, où deux liures de poudre bien meſnagées, feront touſiours plus d’effect que toute la Rethorique de Ciceron:	LE PALADIN Vrayement voilà bien dequoy faire tant de bruit, principalement en ce temps et en ces brouilleries de guerre, nous auriõs plus besoin de force que de raison, de Capitaines que de Docteurs, où deux livres de poudre bien ménagées, feront toujours plus d'effect que toute la Rethorique de Cicéron:
Apres auoir bien veillé ſur leurs eſcrits & paſſé de mauuaiſes nuicts ſur leurs Liures, au partir de là vne miſerable ſentinelle de ma compagnie, qui aura donné l’alarme bien à propos, aura beaucoup plus ſeruy que tous les faiſeurs d’Almanachs:	Après avoir bien veillé sur leurs écrits et passé de mauvaises nuits sur leurs Livres, au partir de là misérable sentinelle de ma compagnie, qui aura donné l'alarme bien à propos, aura beaucoup plus servi que tous les faiseurs d'Almanachs:
il faut auiourd’uy quelque choſe dans l’Eſtat preſant de plus fort & de plus dur contre nos rebelles & nos ennemis que le diſcours, & les plus puiſſantes paroles du monde ne ſcauroiẽt faire fuyr vne femme ou renuerſer vn pan de muraille fans canon, n’ail rien plus à debiter que cela?	il faut aujourd'hui quelque chose dans l'État presant de plus fort et de plus dur contre nos rebelles et nos ennemis que le discours, et les plus puissantes paroles du monde ne sauraient faire fuir une femme ou renverser un pan de muraille sans canon, n'ail rien plus à débiter que cela?
L	L
CLORINDE.	CLORINDE.
On tient qu’il a apres cela quelques moyens.	On tient qu'il a après cela quelques moyens.
le valadin Ouy, mais d’ordinaire les biens & les honneurs de ce monde, ſont ou l’heritage des ſots, ou meſme la recompenſe du vice;	le valadin Oui, mais d'ordinaire les biens et les honneurs de ce monde, sont ou l'héritage des sots, ou même la récompense du vice;
outre que ſi c’eſt celuy que ie veux dire, c’eſt vn homme plus vieil que ſon Pere, tout caſſe & qui ne ſe remuë qu’à force d’Ambre gris & de Medecine:	outre que si c'est celui que je veux dire, c'est un homme plus vieil que son Père, tout casse et qui ne se remue qu'à force d'Ambre gris et de Médecine:
ie le vis dernierement qu’on le portoit dans vne chaire, car ie vous apprẽs que la pluſpart du tempsles iambes ne luy ſeruent que par bienſeance, lors qu’il eſt encét eſtat, il eſt ſi glorieux qu’il ne ſe leueroit point, ou ne feroit pas vn pas pour le Papẽ & ſi vaillant qu’il ne reculeroit pas pour toutes les Armées de France, au reſte il ne faudroit qu’vn iour ſans Soleil, ou vne mauuaiſe nuict dans vne Hoſtellerie pour acheuer de le faire mourir, & aux termes où il en eſt reduit, ſeroit pluſtoſt arriué en l’autremõde qu’a Gentilly, ſon foye eſt cõtinuellemẽt en differend auec ſon eſtomach, & toutes ſes parties inteſtines ſont en perpetuelle guerre Ciuile, que ſçay-ie apres cela s’il a la partie, par laquelle nous ſommes hommes auſſi bien que par la raiſon, encores bien ſine & entiere.	Ce le vis dernièrement qu'on le portait dans une chaire, car je vous apprends que la plupart du tempsles jambes ne le servent que par bienséance, lors qu'il est encét estat, il est si glorieux qu'il ne se lèverait point, ou ne ferait pas un pas ppr le Papẽ et si vaillant qu'il ne reculerait pas pour toutes les Armées de France, au reste il ne faudrait qu'un jour sans Soleil, ou une mauvaise nuit dans une Hôtellerie pour achever de le faire mourir, et aux termes où il en est réduit, ferait plutôt arrivé en l'autre a Gentilly, son foie est ç en différend ne son era, ettoutes ses pas intestines sont en pou guerre Ciuile, que sçay-ie apres cela il a le parti, a laquelle nous tilly m a bien que par à son, fo ie sinest entière.
41	41
CLORINDE Il eſt pourtant en grande eſtime pour ſonſçauoir, à ce que i’en ay ouy dire à nos voiſins.	CLORINDE Il est pourtant en grande estime pour sonsçauoir, à ce que j'en ai ouï dire à nos voisins.
LE PALADIN.	LE PALADIN.
Ie le veux croire, Madamoiſelle, mais quand ie conſidere qu’il n’ya pas eu de beſtes, qui n’ayent eſté autrefois adorées, ny de maladie à qui l’Antiquité n’ayt baſty des Temples ie ne m’eſtonne plus qu’on faſſe eſtat de tant de gens quĩ ñe le meritent pas, & qu’on donne de ſa vogue àbeaucoup de foibles eſprits puis qu’on a fait des vœux, & baillé de l’Encens a de, Crocodiles & a des Cynges, & pour moy ie tiens fermement qu’il eſt tenu à reſtitution de la reputation qu’il à ſi mal acquiſe, toutesfois ſi vous voulliez croire mon Cõſeil nous ne craindrions pas tous les euenemens, & ie vous aſſeure que ie ne vous conſeilleray rien que ie ne vouluſſe faire auec vous.	Je le veux croire, Madamoiselle, mais quand on considère qu'il n'ya pas eu de bêtes, qui n'aient été autrefois adorées, ni de maladie à qui l'Antiquité n'ait bâti des Temples esprits ne m'étonne plus qu'on fasse état de tant de gens quĩ donne de gens qu'on donne de sa donne de faibles vogue àbeaucoup de faibles esprits puis seil a fait des vœux, et baillé de l'Encens a de, Crocodiles et à des Cynges, et pour moi té tiens fermement qu'il est tenu à restitution de la réputation qu'il si na acquise, ty si on voulliez croire ' Il nous ne a pas tous les euenemens, et ie on à que ie ne vous conseilleray rien que ie ne vou dr auec vous.
222	222
2 CLORINDE.	2 CLORINDE.
Vous eſtes trop diſcret, pour me donner vn aduis contraire au bon.	Vous êtes trop discret, pour me donner un avis contraire au bon.
2	2
LE PALADIN.	LE PALADIN.
Ii eſt Il eſt vray pourtãt que ie vous ayme ſi fort, que ie ferois volontiers vn peché pour l’amour de vous.	Ji est Il est vrai pourtant que je vous aime si fort, que je ferais volontiers un péché pour l'amour de vous.
CLORINDE.	CLORINDE.
Ie n’en ſuis pas de meſme, car ie vous iure que ie vous ayme, mais c’eſt en tout bien & en tout honneur.	Je n'en suis pas de même, car je vous jure que je vous aime, mais c'est en tout bien et en tout honneur.
LE PALADIN.	LE PALADIN.
