ALANCuENERe	ALANCuENERée
mes,	mes,
Les pauots du ſommeil ay diſtillez en larmet Et qui m'imaginant ouyr tes doux propos.	Les pauls du sommeil ai distillez en larmet Et qui m'imaginant ouïr tes doux propos.
N’ayſceu prendre en dormant tant ſoit peu de repos.	N'aysceu prendre en dormant tant soit peu de repos.
Ie meriterois bien que toute la iournée, On flataſt la douleur que la nuict m’a donnée Et que Cloris vint faire auec vn doux baiſer, De ſes afflictions mon ame repoſer, 94 On dict que le Soleil ſortant du ſein de l’ode, Pour rẽdre l’exercice & la lumiere au mõde Dißipe à ſon réueil ceſte confuſe erreur, Des ſonges de la nuict qui nous faiſoient horreur:	Je mériterais bien que toute la journée, On flattât la douleur que la nuit m'a donnée Et que Cloris vint faire avec un doux baiser, De ses afflictions mon âme reposer, 94 On dit que le Soleil sortant du sein de l'ode, Pour rendre l'exercice et la lumière au monde Dipe à son réueil cette confuse erreur, Des songes de la nuit qui nous faisaient horreur:
Mais quand nous gueriſſons à l’aſpect de ſa flame, Ces petites frayeurs ne percent point dans l’ame, Ce n’eſt qu’vn peu de bile & de froide vapeur, Qui peint legerement des viſions de peur, Car vne paßion bien auant imprimée, Ne s’eſuanoüit pas ainſi qu’vne fumée, Et ceux qui comme moy ſont trauaillez d’Amour, Gardent leur reſuerie & la nuict & le iour, Cloris eſt le Soleil dont la clarté puiſſante,	Mais quand nous guérissons à l'aspect de sa flamme, Ces petites frayeurs ne percent point dans l'âme, Ce n'est qu'un peu de bile et de froide vapeur, Qui peint légèrement des visions de peur, Car une passion bien avant imprimée, Ne s'évanouit pas ainsi qu'une fumée, Et ceux qui comme moi sont travaillez d'Amour, Gardent leur rêverie et la nuit et le jour, Cloreil est le Soleil dont la clarté puissante,
Conſole à ſon regard mon ame languiſſante, Eſcarte mes ennuis, dißipe à ſon abord Le chagrin de la vie, & la peur de la mort, Mais depuis peu de iours fa flamme eſt ſi tar?	Console à son regard mon âme languissante, Escarte mes ennuis, dissipe à son abord Le chagrin de la vie, et la peur de la mort, Mais depuis peu de jours fa flamme est si tar?
diue, Que l’ingratte me laiſſe à petit feu mourir, Faute d’vn ſeul regard qui me pourroit guerir.	dive, Que l'ingratte me laisse à petit feu mourir, Faute d'un seul regard qui me pourrait guérir.
Donne moy la raiſon d’vne amirié ſi lente, Cloris aurois tu peur que mon ame inſolente, Offrit à ta beauté qu’vn vœu reſpectueux, Mes deſirs ſont ardants, mais ils ſont vertueux, Et ce plaiſir laſcif où le brutal aspire, N'eſt pas le monument du feu que ie ſouspire, I'aime à te regarder, & d’eſtre tout vn iour, Mourant aupres de toy, ſans te parler d’Amour, Sice n’eſt que mes yeux au deſceu de mõ ame, Facent eſtinceler quelque rayon de flame, Et que mon cœur ſurpris de trop de paßion, Laſche quelque ſouſpir ſans mon intention, Mon pauure eſprit captif, craint ſi fort ta cholere, Qu'il n’oſe hazarder meſme de te complaire, I'aime mieux me faſcher de n’auoir point osé, Que mourir dans l’affront de me voir refusé,	Donne -moi la raison d'une amirié si lente, Cloris aurais tu peur que mon âme insolente, Offrit à ta beauté qu'un vœu respectueux, Mes désirs sont ardans, mais ils sont vertueux, Et ce plaisir lascif où le brutal aspire, N'est pas le monument du feu que ie souspire, J'aime à te regarder, et d'être tout un jour, Mourant auprès de toi, sans te parler d'Amour, Siée n'est que mes yeux au déçu de mo âme, Facent étinceler quelque rayon de flamme, Et que mon cœur surpris de trop de paysion, Lasche quelque souspir sans mon intention, Mon pauure et captif, craint si fort ta cholere, Qu'il ose hazarder m de te complaire, Yaime mieux me fâcher de nauoir point osé, Que mourir dans on de me voir refusé,
Car nier quelque choſe à mon deſir fidelle, Ce ſeroit me donner vne douleur mortelle Et de regret contrainct de me deſeſperer.	Car nier quelque chose à mon désir celle, Ce serait me donner vne douleur mortelle Et de regret contraint de me désespérer.
Ie perdrois le plaiſir que i’ay de t’adorer, Il vaut mieux viure encor en ceſte incen» titude, Et quoy que le deſtin garde ma ſeruitude, Cependant cet amour me tiẽt les ſens ouuerts A la facilité de compoſer des vers, I’en tire le plaiſir de prendre en mon ouurage Tous les traicts de mon ame & de ton beaus viſage, Et leurs lineamẽs pourtraicts dãs mes eſcrius M’entretiennent touſiours les yeux & les esprits, Puiſque le Ciel t’a mis dedans la fantaſie, Le bonheur de gouſter vn peu ma poëſie, Tu verras mon genie à tes yeux complaiſant, T’en faire tous les iours quelque nouueau preſent, Ma paßion deſtine vne œuure à ta loüange, Qui te doit plaire mieux que les threſors du Gange, Et lors que mon trauail te fait ſonger à moy Ie m’eſtime außi riche & plus heureur qu'vn Roy.	Je perdrais le plaisir que j'ai de t'adorer, Il vaut mieux vivre encor en cette incen " titude, Et quoi que le destin garde ma servitude, Cependant cet amour me tienne les sens ouverts A la facilité de composer des vers, J'en tire le plaisir de prendre en mon ouvrage Tous les traits de mon âme et de ton beaus visage, Et leurs lineamẽs pourtraicts dãs mes escrius entretiennent tousiours les yeux et les esprits, Puisque le Ciel a mis dedans la fantasie, Le our de goûter peu a y, Tu verras mon genie tes yeux complaisant, en faire tous les iours quelque nouueau présent, Ma passion destine œuure ta on, Qui te doit plaire mieux que les thresors du Né, Et lors que mon trauail te fait songer moi Ie estime aussi riche et plus heureur qu' Roy.
Ce qu’on tient de fortune eſt vne fauſſe pe	Ce qu'on tient de fortune est une fausse pe
Vn iugement bien fain y ſent peu de plaiſir Et n’y ſoubſmet iamais ſon glorieux deſir.	Un jugement bien sain y sent peu de plaisir Et n'y soubsmet jamais son glorieux désir.
Ces metaux qu’vn auare auidement enſerre, Comme indignes du iour ſont cachez ſoubs la terre, Si les threſors eſtoient cõme on dit precieux Cloris, les diamãs nous tõberoient des Cieux.	Ces métaux qu'Hommes avare avidement enserre, Comme indignes du jour sont cachez sous la terre, Si les trésors étaient comme on dit précieux Cloris, les diamants nous tomberaient des Cieux.
La perle deſcendroit auecque la roſée, Elle ne ſeroit point aux ondes expoſée.	La perle descendrait auecque la rosée, Elle ne serait point aux ondes exposée.
La Mer qui la vomit la tiendroit cherement, La Mer dont l’ambre meſme eſt comme vn excrement, Le Soleil qui faict l’or en auroit des courõnes, Ainſi ie ne veux point, Cloris, que tu me donnes, Et tu ſçais bien außi que ie ne penſe pas, Que des riches preſens ſoiẽt pour toy des appas Car vn de mes ſouſpirs que ie te fais entendre, Vne goutte de pleurs que tu me vois respãdre, Peuuët plus ſur ton ame, & te font plus aimer Que ſi ie te donnois & la terre & la mer, Ie te proteſle außi de n’eſtre point auare, De tout ce que la mer & la terre ont de rare, Et qu’vn de tes regards me vaut mille fois mieux Que le gouuernemẽtde l’Empire des Cieux,	La Mer qui la vomit la tiendrait chèrement, La Mer dont l'ambre même est comme un excrément, Le Soleil qui fait l'or en aurait des courennes, Ainsi nous ne veux point, Cloris, que tu me donnes, Et tu sais bien aussi que sans ne pense pas, Que des riches prés soient pour toi des appas Car un de mes soupirs que ie te fais entendre, Une goutte de pleurs que tu me vois endre, Peuuët plusions plus âme, et te donnais et la Terre et la te je te la terre et la mer, Je te protèle aussi de n'être point avare, De tout ce que la mer et la terre ont dé rare, Et la te regards me vaut mille fois mieux Que le ont rAre des Cieux,
AY fait ce que i'ay peu pour m’arracher de l’Ame L'importune fureur de ma naiſſante flame, I’ay leu toute la nuict, i'an ioüé tout le iour, I’ay fait ce que i’ay peu pour me guerir d’A.	AY fait ce que j'ai peu pour m'arracher de l'Ame L'importune fureur de ma naissante flamme, J'ai lu toute la nuit, j'an ioüé j' ai jour, J'ai fait ce que j'ai pu pour me guérir d'A.
mour, I’ay leu deux ou trois fois tous les ſecrets d’Ouide, Et d’vn cruel deſſein à mes Amours perfide, Gouſtant tous les plaiſirs que peut donner Paris, I'ay taſché d’eſtouffer l’amitié de Cloris;	mour, J'ai lu deux ou trois fois tous les secrets d'Ouide, Et d'un cruel dessein à mes Amours perfide, Goûtant tous les plaisirs que peut donner Paris, J'ai tâché d'étouffer l'amitié de Cloris;
I’ay veu cent fois le Bal, cẽt fois la Comedie, I’ay des Luts les plus doux gouſté la melodie, Mais malgré ma raiſon encore Dieu mercy, Ces diuertiſſemens ne m’ont point réüßi, L’Image de Cloris tous mes deſſeins dißipe, Et ſi peu qu’autre part mon ame s’émancipe, Vn ſacré ſouuenir de ſes beaux yeux abſens, A leur premier obiect faict reuenir mes ſens, Lors que plus vn deſir de liberté me preſſe, Amour ce confident rusé de ma Maiſtreſſe,	J'ai vu cent fois le Bal, ciend fois la Comédie, J'ai des Luts les plus doux goûté la mélodie, Mais malgré ma raison encore Dieu merci, Ces divertissements ne m'ont point revis, L'Image de Cloris tous mes desseins dissipe, Et si peu qu'autre part mon âme s'émancipe, Ve sacré souvenir de ses beaux yeux absens, À leur premier objet fait revenir mes sens, Lors que plus un désir de liberté me presse, Amour ce confident rusé de ma Maistresse,
Luy qui n’a point de foy me fait reſſouuenir Que i’ay donné la mienne & qu’il la faut tenir Il me faict vn ſerment qu’il a mis mon Idée Dans le cœur de Madame & qu’elle l’a gardée, Me faict imaginer, mais bien douteuſement Qu'elle aura ſouſpiré de mon eſloignement, Et que bient oſt ſi l'Art peut ſuiure la Nature, Sabeauté me doit faire vn don de ſa peinture, Cela me perce l’ame auec vn traict ſi cher, Qu'il me faict receuoir le feu ſans me faſcher.	Lui qui n'a point de foi me fait ressouvenir Que j'ai donné la mienne et qu'il la faut tenir Il me fait un serment qu'il a mis mon Idée Dans le cœur de Madame et qu'elle l'a gardée, Me fait imaginer, mais bien douteusement Qu'elle aura soupiré de mon éloignement, Et que bient ost si l'Art peut suivre la Nature, Sabeauté me doit faire un don de sa peinture, Cela me perce l'âme le trait si cher, Qu'âme me fait recevoir le feu sans me fâcher.
Cela remet mon cœur ſur ſes premieres traces, Me fait reuoir Cloris auecque tant de graces, Me rengage ſi bien que ie me ſens heureux, Quoy qu’auec tant de mal, d’eſtre encores Amoureux;	Cela remet mon cœur sur ses premières traces, Me fait revoir Cloris avec tant de grâces, Me rengage si bien que je me sens heureux, Quoi qu'avec tant de mal, d'être encor Amoureux;
Ie ſçay bien qu'elle m’aime, & cer Amour fidelle Demande aue c raiſon que ie deſpende d’elle, Et ſi noſtre deſtin par de ſi fermes loix Preſcrit aux plus heureux de mourir vne fois, Qu'vn autre ambitieux ſe confume à la guerre, Et meure dans le ſoin de conquerir la terre, Pour moy quandil faudra prendre cõgé duiour, Puis que Cloris le veut ie veux mourir d’Amour, Qu'on ne me parle point de ſon humeur legere.	Je sais bien qu'elle m'aime, et cer Amour fidèle Demande aue ç raison que ie despende d'elle, Et si quelque destin par de si fermes lois Prescrit aux plus heureux de mourir ainsi fois, Qu'un autre ambitieux se confume à la guerre, Et meure dans le soin de conquérir la terre, Pour moi quandil faudra prendre conté duiour, Puis que Cloris le veut ie veux mourir d'Amour, Qu'on ne me parle point de son humeur légère.
Ie veux que ces deffauts me la rẽdẽt plus chers Ce que fait la raiſon pour empeſcher d’aimer Ne peut que mes deſirs dauantage allumer, Quoy que dans le trauail mon e ſprit diminuë Que ma vie en deuienne vne mort continuë Que mon ſens eſtourdi relaſche ſa vigueur Et des-ia ſur mon frõt imprime ſa langueur (Cependant que Cloris eſt la viue peinture Du plus riche embonpoint que peut donner Nature) (main Que ſon cœur non chalant ou peut eſtre inhuA mon dernier malheur doiue preſter la main, Que ſouuent d’vn baiſer elle me ſoit àuare, C’eſt tout vn, il me plaiſt qu'elle me ſoit barbare, Ie veus pour mon plaiſir aimer ſa cruauté, En faueur de ſes yeux ie hay ma liberté, Ie hay mon iugement, & veux qu'on me reproche, Que i’aime ſans ſuiect vn naturel de roche, Ie me conſole aſſez puis que ie voy les Cieux Endurer comme moy l’Empire deſes yeux, Que le Soleil ialoux de la voir luire au monde, Pasle ou rouge touſiours ſe va cacher ſoubs l’onde, Ie ne ſçaurois penſer que la fierté des ans,	Je veux que ces défauts me la ramèrent plus chers Ce que fait la raison pour empêcher d'aimer Ne peut que mes désirs davantage allumer, Quoi que dans le travail mon e sprit diminue Que ma vie en devienne une mort continue Que mon sens étourdi che sa vigueur Et déjà sur mon fruit imprime sa langueur (Cendant que Cloris est la viue peinture Du plus riche embonpoint que peut donner Nature) (main Que son cœur non chalant ou peut être inhumA mon dernier malheur doive prêter la main, Que souvent d ' elle me soit re, est tout , il a plaît qu'elle me soit barbare, Ie veus pour mon plaisir à sa ra, En faueur de ses yeux ie hai ma liberté, Ie hai mon g, et veux qu'on me reproche, Que yaime sans suiect naturel de roche, Ie me console assez puis que ie les Cieux Endurer comme moi Empire deses yeux, Que 'Es ialoux de la voir luire au monde, Pasle ou rouge tousiours se va cacher soubs onde, Ie ne sçaurois penser que la fierté un ans,
Voyant tant de beautez puiſſe auoir le couragẽ Tout impetueux qu’il eſt, de leur faire vn outrage, Et quoy qu’vn ſiecle entier la conduiſe au trépas, (pas, Pour moy touſiours ſes yeux auront aſſezd’apMon inclination eſt aſſez pure & forte, Contre le changemẽt que la vieilleſſe apporte Quand le Ciel par dépit renuerſeroit le cours, Et l’ordre naturel qu’il a preſcrit aux iours, Et que demain pour voir ſi mes deſirs perfides Se pourroiẽt dementir, il luy donna des rides, Ma flame dans mon ſang en ſes plus chauds boüillons, Adoreroit ſon front tout coupè de ſillons, N’y ſouſteint sõ eſclat ny ſes yeux sãs lumiere Ne pourroient rien changer de mon humeur premiere, Que ſon ame & ſon corps ſoient tous couuers d’horreur, Ie veux ſuiure par tout mõ amoureuſe erreur.	Voyant tant de beautés puisse avoir le couragien Tout impétueux qu'il est, de leur faire un outrage, Et quoi qu'un siècle entier la conduise au trépas, (pas, Pour moi toujours ses yeux auront assezd'apMon inclination est assez pure et forte, Contre le changement que la vieillesse apporte Quand le Ciel par dépit renverserait le cours, Et l'ordre naturel qu'il a prescrit aux jours, Et que demain pour voir si mes désirs perfides Se pourraient démentir, il lui donna des rides, Ma flamme dans mon sang en ses plus chauds ban, Adoreroit son ban tout coupè de sillons, y sousteint éclat ni ses yeux sãs lumière Ne oit rien changer de mon humeur première, Que son A et son dr oit tous couuers horreur, Ie veux y par tout amoureuse erreur.
Toyquelque changemẽt dõt la fortune eſſaye, De voir en m’affligeant ſi tu conjiaute eſt vraye, Cloris vend la pareille à ma ferme amitié, Et ne manque point de foy ny de pitié,	Toyquelque changemẽt dont la fortune essaie, De voir en m'affligeant si tu conjaute est vraie, Cloris vend la pareille à ma ferme amitié, Et ne manque point de foirés de pitié,
Te sçay bien qu’aisement tu te pourrois desdire Sãs qu’il arriue en moy quelque chose de pire Pour ce que mes deffauts ſont des occaſions Pour deſtourner de moy tes inclinations Mais pour diminuer ceſte amitiè sacrée, Etpour rompre la foy que tu m’as tant iurée.	Te sais bien qu'aisément tu te pourrais dédire Sans qu'il arrive en moi quelque chose de pire Pour ce que mes défauts sont des occasions Pour détourner de moi tes inclinations Mais pour diminuer cette amitiè rée, Épour rompre la foi que tu m'as tant jurée.
Mes imperfections ſont vn foible subiect, Car ton Amour n’a point ma vertu pour obiet On dit que les meschans qui d’vne aueugle rage Preſſent ceux qui iamais ne leur ont faict d’outrage, Suiuans vn naturel maling qui les espoint, Persecutans plus fort & ne pardonnans point, Ne demordent iamais de leur fauſſe vengeance, Quand leur courroux n’a point pour obiect vne offence, Ainſi ton amitié qui n’a pour fondement, Que de suiure enuers moy sa bonté seulement, Qui ne sçauroit trouuer par où ie suis capable De la moindre faueur, ny d’où ie suis aimable, Ne peut trouuer außi par où se deſtourner, Ne peut trouuer ainſi de quoy m’abandonner, Et sur ceſte esperance où mon Amour se fonde, Ie croy viure & mourir le plus heureux du monde.	Mes imperfections sont un faible sujet, Car ton Amour n'a point ma vertu pour objet On dit que les méchants qui d'une aveugle rage Pressent ceux qui jamais ne leur ont fait d'outrage, Suivants un naturel maling qui les époint, Persécutants plus fort et ne pardonnants point, Ne démordent jamais de leur fausse vengeance, Quand leur courroux n'a point pour objet offense, Ainsi ton amitié qui n'a pour fondement, Que de suiure envers moi sa bonté seulement, Qui ne saurait trouver par où ils suis capable De a moindre faueur, ni ie suis aimable, De la mo y par se faveur, Ne peut avoir ai de quoi mable, Et sur Ne espérance u mon Au se monde, Ie croy où et mourir se plus heureux du monde.
SVR LE BALET DV ROY.	SUR LE BALET DU ROI.
POVR MONSEIGNEVR LE DVC DE MONTMORENCY.	POUR MONSEIGNEUR LE DUC DE MONTMORENCY.
ELLE pour qui ie veux mourir, Me fait vn mal ſi fauorable, Que ſi lon me venoit guerir, On me rẽdroit bien miſerable.	ELLE pour qui ie veux mourir, Me fait un mal si favorable, Que si lon me venait guérir, On me rẽdroit bien misérable.
Vn Roy pour des tourments ſi doux.	Un Roi pour des tourments si doux.
Quitteroit toutes ſes delices, Et me voyant ſeroit ialoux De mes fers & de mes ſupplices.	Quitterait toutes ses délices, Et me voyant serait jaloux De mes fers et de mes supplices.
Außi pour mieux fauoriſer Le diun jecrer de ma flamine,, Mon front s’eſt voulu deſguiſer, De peur de deſcouurir mon ame.	Aussi pour mieux favoriser Le diun jecrer de ma flamine, Mon front s'est voulu déguiser, De peur de découvrir mon âme.
C'eſt ainſi que le Roy des Dieux, Picqué de quelque beau viſage, Prenoit en deualant des Cieux, Touſiours vn maſque à ſon viſage.	C'est ainsi que le Roi des Dieux, Pigqué de quelque beau visage, Prenait en dévalant des Cieux, Toujours un masque à son visage.
Et deſguiſant ſa maieſté Pour complaire à ſa frene ſie, Il auoit pour chaſque beauté Vne forme à ſa fantaiſie.	Et déguisant sa maiesté Pour complaire à sa frêne , Il avait pour chasque beauté Votre forme à sa fantaisie.
Pour moy ſi mes vœux auoient lieu, On verroit ma figure humaine, numejejuumunger en vn mreu, Non pas pour moins ſouffrir de peine.	Pour moi si mes vœux avaient lieu, On verrait ma figure humaine, numejejuumunger , nume, Non pas our moins souffrir de peine.
Mais pluſtoſt pour ſçauoir ainſi Conſeruer le mal qui me preſſe.	Mais plutôt pour savoir ainsi Conserver le mal qui me presse.
El pour qure pimaigne aujs, De l’amitié d’vne Deeſſe.	Él pour qure pimagne aujs, De l'amitié d'une Déesse.
Pleuſt au Ciel qu’vn iour ſeulement, Iuppiter m’eut donné ſa face, Et qu’il voulut pour vn moment, Me laiſſer regner en ſa place.	Plût au Ciel qu'il iour seulement, Jupiter m'eut donné sa face, Et qu'il voulut pour un moment, Me laisser régner en sa place.
utunpreit que les Autels, Que par tout l’Vniuers on dreſſe, Pour les Dieux ou pour les mortels, Ne ſeroient que pour ma maiſtreſſe.	utunpreit que les Autels, Que par tout l'Univers on dresse, Pour les Dieux ou pour les mortels, Ne seraient que pour ma maîtresse.
Le temps ſerf de ſes volontez 9 Comme moy luy rendant hommas 2	Le temps serf de ses volontés 9 Comme moi lui rendant hommas 2
Laiſſeroit viure ſes beautez Sans leur faire iamais outrage,	Laisserait vivre ses beautés Sans leur faire jamais outrage,
Ie commanderois aux Zephirs, De produire vne fleur nouuelle, Toute de flame & de ſouſpirs, ebtejtrer paat antecare.	Je commanderais aux Zéphirs, De produire une fleur nouvelle, Toute de flamme et de soupirs, ebtejtrer pat antecare.
Quelque ſi cher contentement, Dont Iupiter nous face enuie, La terre ſeroit l’èlement, Où nous voudrions paſſer la vie.	Quelque si cher contentement, Dont Jupiter nous face envie, La terre serait l'élément, Où nous voudrions passer la vie.
Paris ſeroit noſtre ſeiour, Et dans ceſte ioye infinie, Rien que moy, la paix, & l’Amour Ne ſeroit en ſa compagnie.	Paris serait notre séjour, Et dans cette joie infinie, Rien que moi, la paix, et l'Amour Ne serait en sa compagnie.
uij	uij
LE DESGVISE'.	LE DESGVISE'.
POVR MONSIEVR LE PREMIER.	POUR MONSIEUR LE PREMIER.
ANS la felicité des graces de vos yeux, Dont l’eſclat m’eſt ſi cher, alors qu’il me conſomme.	ANS la félicité des grâces de vos yeux, Dont l'éclat m'est si cher, alors qu'il me consomme.
Pouuãt paſſer pour vn des Dieux, de que le fuis meje pous que te fauiolant d'un homme.	Pouuãt passer pour un des Dieux, de que le fuis me pous que te faviolant d'un homme.
Depuis que ie vous vis, les clartez du Soleil Ne furẽt pl9 pour moy qu'vne lumiere peinte.	Depuis que je vous vis, les clartés du Soleil Ne furent pl9 pour moi qu'une lumière peinte.
La faueur du plus doux sommeil, Depuis que ie vous sers, n’eſt pour moy qu'vne feinte.	La faveur du plus doux sommeil, Depuis que je vous sers, n'est pour moi qu'une feinte.
Dans l’eſtroitte prisõ où demeure vn amant, Et dõt ie ne croy pas qu’aucun ſort me deliure, Viure touſiours dans le tourment, Ce n’eſt que propremẽt faire sẽblant de viure.	Dans l'estroitte pris où demeure un amant, Et donnait ne crois pas qu'aucun sort me délivre, Vivre toujours dans le tourment, Ce n'est que proprema faire semant de vivre.
Mes yeux lors que la nuictaueugle l’V niuers	Mes yeux lors que la nuitaveugle l'V nivers
Lors qu'Alcmene eut bleſſé des traicts de ſon Amour, Ce Dieu dont les larcins ont eſté ſi celebres:	Lors qu'Alcmène eut blessé des traits de son Amour, Ce Dieu dont les larcins ont été si célèbres:
Nature deſguiſa le iour, Et couurit tout le Ciel d’vn manteau de tenebres.	Nature déguisa le jour, Et couvrit tout le Ciel d'un manteau de ténèbres.
Si pour vn beau deſſein il faut ſe deguiſer, Si le ſecret d’Amour a beſoin qu’on le couure:	Si pour un beau dessein il faut se déguiser, Si le secret d'Amour a besoin qu'on le couvre:
On ne me ſçauroit accuſer, D'eſtre auiourd’huy le ſeul qui dißimule au Louure.	On ne me saurait accuser, D'être aujourd'hui le seul qui diimule au Louvre.
THISBE' POVR LE PORTRAICT DE AIRMMLI	THISBE' POUR LE PORTRAICT DE AIRMLI
AV PEINTRE.	AU PEINTRE.
AY moy de grace vne peinture Si tu fis iamais rien de beau Toy qui des traits de ton pinceau Surpaſſes l'Art & la Nature Mais ſans prendre plus de loiſir, Que mon impatient deſir, Ne peut accorder à mon ame, Au moins apporte moy aenmin, L'eportraicr det œit de Pirame, Ou celuy de ſa belle main.	AY moi de grâce une peinture Si tu fis jamais rien de beau Toi qui des traits de ton pinceau Surpasses l'Art et la Nature Mais sans prendre plus de loisir, Que mon impatient désir, Ne peut accorder à mon âme, Au moins apporte moi amin, L'éportraicr dét œit de Pame, Ou celui de sa belle main.
N’euſſe-tu tracé que l’ombrage De ſon front ou de ſes cheueux, Ne fais point tant languir mes vœux, En l’attente de ton ouurage, Apporte moy dés auiourd’huy.	N'eusse-tu tracé que l'ombrage De son front ou de ses cheveux, Ne fais point tant languir mes vœux, En l'attente de ton ouvrage, Apporte moi dès aujourd'hui.
Quelque petit ſemblant de luy, Peintre n’as tu rien faict encore, Tu recherches trop de façon, Il ne faut que peindre l’Aurore, Soubs l’habit d’vn ieune garcon.	Quelque petit semblant de Seigneur, Peintre n'as tu rien fait encore, Tu recherches trop de façon, Il ne faut que peindre l'Aurore, Sous l'habit d'un jeune garçon.
Cognois tules lis & les rõſes, En ſçay tu faire les pourtraicts, En vn mot ſçay tu tous les traicts De toutes les plus belles choſes, As tu veu ces tableaux hardis, Qui ſur les Autels de Iadis, Ont porté le pinceau d’Apelle, Sçache que tu m’offen ceras De ne prendre au plus beaumodelle, Vn portraict que tu luy feras.	Cognais tules lis et les rõses, En sais tu faire les pourtraits, En un mot sais tu tous les traits De toutes les plus belles choses, As tu vu ces tableaux hardis, Qui sur les Autels de Jadis, Ont porté le pinceau d'Apelle, Sache que tu m'ossen seras De ne prendre au plus beaumodèle, Un portrait que tu lui feras.
Suy tous les plus fameux exemples Des Peintres morts ou des viuans, Voy tout ce que les plus ſçauans Ont faict pour embellir nos Temples, Voy le teint, les yeux & les mains Dont l’artifice des humains, A voulu figurer les Anges, Leur plus ſuperbe monument Doit quitter toutes ſes loüanges, A l’Image de mon Amant.	Sui tous les plus fameux exemples Des Peintres morts ou des vivants, Vois tout ce que les plus sçauans Ont fait pour embellir nos Temples, Voi le teint, les yeux et les mains Dont l'artifice des humains, A voulu figurer les Anges, Leur plus superbe monument Doit quitter toutes ses louanges, A l'Image de mon Amant.
Si tu voulois peindre Hyacinthe, Pour le faire voir au Soleil, Ou d’vn plus ſuperbe appareil, Vaincre le Taſſe en ſon Arninthe, Tu peindrois Pyrame, ou l'Amour, Ou ce premier eſclat du iour, Lors que ſans ride & ſans nuage, Dans le Ciel comme en vn tableau, Il fait luire ſon beau viſage, Tout fraichement tiré de l’eau.	Si tu voulais peindre Hyacinthe, Pour le faire voir au Soleil, Ou d'un plus superbe appareil, Vaincre le Tasse en son Arnsthe, Tu peindrais Pyrame, ou l'Amour, Ou ce premier éclat du jour, Lors que sans ride et sans nuage, Dans le Ciel comme en un tableau, Il fait luire son beau visage, Tout fraîchement tiré de l'eau.
Sois ie te prie vn peu barbare, Pour bien faire, ouure moy le ſein, Tu dois apprendre le deſſein, D’vne occupation ſirare, Pleuſt au Ciel qu’il te fut permis, De le voir comme Amour l’a mis.	Soisoi te prie un peu barbare, Pour bien faire, ouvre moi le sein, Tu dois apprendre le dessein, D'une occupation sirare, Plût au Ciel qu'il te fut permis, De le voir comme Amour l'a mis.
Au plus profond de mes penſées, Car c’eſt où ſes perfections Faroiſjent vinement ſracees, Außi bien que mes paßions.	Au plus profond de mes pensées, Car c'est où ses perfections Faraisient vinement sracees, Aussi bien que mes passions.
Mais pardonue à ma ialouſie, S’il ſe peut ſans t’iniurier, Laiſſe toy de rechef prier, De le peindre à ma fantaſie, Ne demande point à le voir, Car pour bien faire ton deuoir, Et ne me faire point d’iniure, Tu le peindras comme les Dieux, De qui tu fais bien la figure, Sans qu’ils ſoient preſens à tes yeux.	Mais pardonue à ma jalousie, S'il se peut sans t'injurier, Laisse toi de rêches prier, De le peindre à ma fantaisie, Ne demande point à le voir, Car pour bien faire ton devoir, Et ne me faire point d'injure, Tu le peindras comme les Dieux, De qui tu fais bien la figure, Sans qu'ils soient prés à tes yeux.
ELEGIE.	ÉLÉGIE.
ια Q ROCHE de la saiſon où les plus viues fleurs Laiſſent esuanouïr leur Ame & leurs couleurs, pevNN Vn Amant desolé, melancholique, ſombre, Ialoux de ſon chemin, de ses pas, de son ombre, Baiſoit aux bords de Loire en flattãt sõ ennuy, L’Image de Caliſte errante auecques luy, Reſuant aupres du fleuue il disoit à ſon onde, Si tu vas dans la Mer qui va par tout le monde, Fay la reſouuenir d’apprendre à l’vniuers, Qu'il n’a rien de ſi beau que l’obiect de mes vers, Ces fleurs dont le Printemps faict voir tes riues peintes, Au matin sont en vie & le ſoir ſont eſteintes:	Où Q ROCHÉ de la saison où les plus vives fleurs Laissent évanouir leur Âme et leurs couleurs, pevN Un Amant désolé, mélancolique, sombre, Jaloux de son chemin, de ses pas, de son ombre, Baisait aux bords de Loire en flattãt son ennui, L'Image de Caliste errante avec même, Réswant auprès du fleuve il disait à son onde, Si tu vas dans la Mer qui va par tout le monde, Fais la résouvenir d'apprendre à l'Univers, Qu'il n'a rien de si beau que l'obiect rie mes de, Ces fleurs dont le Printemps faict voir des riues peintes, Au matin sont en vie et le soir sont éteintes:
Mais quelque changement qui te puiſſe arriuer, Caliſte & ſes beautez n’auront iamais d’hyuer, Ces humides baiſers dont tes riues moüillees Seront pour quelques iours encore chatoüillees, Arreſteront en fin leur Amoureuſe erreur,	Mais quelque changement qui te puisse arriver, Caliste et ses beautés n'auront jamais d'hiver, Ces humides baisers dont tes rives mouvillees Seront pour quelques jours encore chatoüillees, Arrêteront en fin leur Amoureuse erreur,
