A PARIS,	À PARIS,
SOSIE.	SOSIE.
Elle a beſoin de ſix grains d’Elebore, Monſieur, ſon Eſprit eſt tourné!	Elle a besoin de six grains d'Élébore, Monsieur, son Esprit est tourné!
AMPHITRYON.	AMPHITRYON.
Alcmene au nom de tous les Dieux, Ce diſcours a d’étranges ſuites, Reprenez vos ſens vn peu mieux;	Alcène au nom de tous les Dieux, Ce discours à d'étranges suites, Reprenez vos sens un peu mieux;
Et penſez à ce que vous dites.	Et pensez à ce que vous dites.
ALCMENE.	ÀLCMENE.
I’y penſe meurement auſſi, Et tous ceux du logis ont veu voſtre arriuée.	J'y pense meurement aussi, Et tous ceux du logis ont vu votre arrivée.
I’ignore quel motif vous fait agir ainſi :	J'ignore quel motif vous fait agir ainsi :
Mais ſi la choſe auoit beſoin d’eſtre prouuée;	Mais si la chose avait besoin d'être prouvée;
S’il eſloit vray qu’on peut ne s’en ſouuenir pas;	S'il esloit vrai qu'on peut ne s'en souvenir pas;
De qui puis je tenir, que de vous la nouuelle, Du dernier de tous vos combats ?	De qui puis je tenir, que de vous la nouvelle, Du dernier de tous vos combats ?
nt les cinq dfamans que portoit Pterelas, Qu’a fait, dans la nuict eternel le, Tomber l’effort de voſtre Bras !	nt les cinq dfamants que portait Prelas, Qu'a fait, dans la nuit éternel le, Tomber l'effort de votre Bras !
En pourroit-on vouloir vn plus ſeur témoignage !	En pourrait-on vouloir un plus sûr témoignage !
AMPHITRYON.	AMPHITRYON.
Quoy!	Quoi!
je vous ay déja donné	je vous ai déjà donné
E ij Le nœud des diamans que j’eux pour mon partage, Lt que je vous ay deſtine.	E ij Le nœud des diamants que j'eux pour mon partage, Lt que je vous ai destine.
ALCMENE.	ÀLCMENE.
Aſſurément.	Assurément.
Il n’eſt pas diffieile De vous en bien conuaincre.	Il n'est pas diffieile De vous en bien convaincre.
SOSIE.	SOSIE.
Elle ſe moque, & je le tiens icy;	Elle se moque, et je le tiens ici;
honneur s ia femte ent fnutile,	honneur s' a femte ent fnutile,
AMPHITRYON.	AMPHITRYON.
Le Cachet eſt entier.	Le Cachet est entier.
ALC MBI HI Eſt-ce vn e viſion?	ÀLC MBI HI Est-ce un vision?
Tenez, trouueren vous cette pieuue aſſez forte.	Tenez, trouveren vous cette pieuve assez forte.
AMPHITRYON.	AMPHITRYON.
Ah Ciel!	Ah Ciel!
ô juſte Ciel !	ô juste Ciel !
ALCMENE.	ÀLCMENE.
Allez Amphitryon, Vous vous moquez d’en vſer de la ſorte;	Allez Amphitryon, Vous vous moquez d'en user de la sorte;
Et vous en devriez auoir confuſion.	Et vous en devriez avoir confusion.
AMPHITRYON.	AMPHITRYON.
Romps vite ce Cachet.	Romps vite ce Cachet.
Ayant ouuert le Coffret.	Ayant ouvert le Coffret.
SOSIE.	SOSIE.
Ma foy la place eſt vuide, Il faut que par magie on ait ſçeu le tirer :	Ma foi la place est vid, Il faut que par magie on ait su le tirer :
Ou bien que de layememme, nl fort venu ſans guide, Vers celle qu’il a ſçeu qu’on en vouloit parer.	Ou bien que de layememme, nl fort venu sans guide, Vers celle qu'il a su qu'on en voulait parer.
AMPHITRYON.	AMPHITRYON.
O Dieux, dont le pouuoir ſur les choſes preſide, Quelle eſt cette auanture!	Ô Dieux, dont le pouvoir sur les choses preside, Quelle est cette aventure!
& qu’en puis-je augurer, Dont mon amour ne s’intimide!	et qu'en puis-je augurer, Dont mon amour ne s'intimide!
SOSIE.	SOSIE.
Si ſa bouche dit vray nous auons meſme ſort;	Si sa bouche dit vrai nous avons même sort;
Et de meime que moy, Monſieur, vous eſtes double,	Et de meime que moi, Monsieur, vous êtes double,
AMPATTAYON.	AMPATTAYON.
Tais-toy.	Tais-toi.
A LCMENE:	À LCMENE:
Surquoy vous étonner ſi fort?	Surquoy vous étonner si fort?
Et d’où peut naiſtre ce grand trouble!	Et d'où peut naître ce grand trouble!
AMPHITRYON.	AMPHITRYON.
O Ciel!	Ô Ciel!
quel étrange embarras !	quel étrange embarras !
Ie voy des incidens qui paſſent la nature, Et mon honneur redoute vne auanture, Que mon Eſprit ne comprend pas !	Je vois des incidents qui passent la nature, Et mon honneur redoute une aventure, Que mon Esprit ne comprend pas !
ALCMENE.	ÀLCMENE.
Songez vous en tenant cette preuue ſenſible Aine Mer encor voltreretour prene.	Songez -vous en tenant cette preuve sensible Aine Mer encor voltreretour prène.
AMPHITRYON.	AMPHITRYON.
Non;	Non;
mais à ce retour, daignez s’il eſt poſſiMe conter ce qui s’eſt paſſé.	mais à ce retour, daignez s'il est possiMe conter ce qui s'est passé.
ble,	blé,
ALCMENE.	ÀLCMENE.
Puiſque vous demandez vn recit de la choſe.	Puisque vous demandez un récit de la chose.
Dua voulel die uout que ce neroit pas vous ?	Dua voule die out que ce nérait pas vous ?
AMPHITRYON.	AMPHITRYON.
Pardonnez-moy, mais j’ay certaine cauſe Qui me fait demander ce recit entre nous.	Pardonnez-moi, mais j'ai certaine cause Qui me fait demander ce récit entre nous.
ALCMENE.	ÀLCMENE.
Les ſoucis importuns qui nous peuuent ſaiſir	Les soucis importuns qui nous peuvent saisir
Vous ont ils rart ir rinte en perure la memoire?	Vous ont ils rart ir rinte en pure la mémoire?
AMPHITRYON.	AMPHITRYON.
Peut-eſtre;	Peut-être;
mais enfin, vous me ferez plaiſir Dem en dire toute l’Hiſtoire.	mais enfin, vous me ferez plaisir Dem en dire toute l'Histoire.
ALCMENE.	ÀLCMENE.
L’Hiſtoire n’eſt pas longue.	L'Histoire n'est pas longue.
A vous ie m’auanY3 Pleine d’vne aimable ſurpriſe:	À vous ie m'avanY3 Pleine d'une aimable surprise:
renutement je vous embrallay ;	renutement je vous embrallai ;
Et témoignay ma joye à plus d’vne repriſe.	Et témoignai ma joie à plus d'une reprise.
AMPHITRYON, en ſoy même.	AMPHITRYON, en soi -même.
Ah!	Ah!
d’vn ſi doux accueil je me ſerois paſſé.	d'un si doux accueil je me serais passé.
ALCMENE.	ÀLCMENE.
Vous me fiſtes d’abord ce preſent d’importance, Que du butin conquis vous m’auiez deſtiné, Voſtre cœur auec vehemence, M’étala de ſes feux toute la violence, Et les ſoius importuns qui l’auoient enchaiſné;	Vous me fîtes d'abord ce présent d'importance, Que du butin conquis vous m'aviez destiné, Votre cœur avec véhémence, M'étala de ses feux toute la violence, Et les soius importuns qui l'avaient enchaîné;
L’aiſe de me reuoir, les tourmens de l’abſence, Pout le luey, que ioilipatience, Pour le retour s’eſtoit donné.	L'aie de me revoir, les tourments de l'absence, Pout le luei, que joilipatience, Pour le retour s'était donné.
Lt jamais voſtre amour en pareille occurrence, Ne me parut ſi tendre, & ſi paſſion né.	Lt jamais votre amour en pareille occurrence, Ne me parut si tendre, et si passion né.
AMPHITRYON.	AMPHITRYON.
en ſoy même.	en soi -même.
Peut-on plus viuement ſe voit aſſaſſiné.	Peut-on plus vivement se voit assassiné.
ALCMENE.	ÀLCMENE.
Tous ces franſports, toute cette tendre ſſe, Cõme vourcroyez bien ne me déplaiſoient pas:	Tous ces fransports, toute cette tendre sse, Comme vourroyez bien ne me déplaisaient pas:
Et s’il faut que je le confeſſe, Mon cœur, Amphitryon, y trouuoit mille ap pas.	Et s'il faut que je le confesse, Mon cœur, Amphitryon, y trouvait mille ap pas.
AMPHITRYON.	AMPHITRYON.
En ſuite s’il vous plaît.	En suite s'il vous plaît.
ALCMENE.	ÀLCMENE.
Nous nous entrecoupâmes De mille queſtions, qui pouuoient nous toucher On ſeruit teſte à teſte, enſemble nous ſoupâiije 3 Et le ſoupé ſiny, nous nous fûmes coucher.	Nous nous entrecoupâmes De mille questions, qui pouvaient nous toucher On servit tête à tête, ensemble nous soupâiije 3 Et le soupé siny, nous nous fûmes coucher.
ei ll enie Nro iv.	ei ll enie Nro yu.
Enſemble!	Ensemble!
ALCMENE.	ÀLCMENE.
Aſſurément, qu’elle eſt cette demande?	Assurément, qu'elle est cette demande?
AMPHITRYON.	AMPHITRYON.
Ah!	Ah!
c’eſt icy le coup le plus cruel de tous!	c'est ici le coup le plus cruel de tous!
Et dont à s’aſſûrer, trembloit mon feu jalous!	Et dont à s'assure, tremblait mon feu jalous!
ALCMENE.	ÀLCMENE.
D'ou vous vient à ce mot vne rougeur igrande ?	D'ou vous vient à ce mot une rougeur ygrande ?
Ay-je fait quelque mal, de coucher auec vous?	Ai-je fait quelque mal, de coucher avec vous?
AMPHITRYON.	AMPHITRYON.
Non, ce n’eſtoit pas moy, pour ma douleur ſenncler.	Non, ce n'était pas moi, pour ma douleur senncler.
Et qui dit qu’hyer icy mes pas ſe ſont portez, Dit de toutes les raunetez, La fauſſeté la plus horrible.	Et qui dit qu'hier ici mes pas se sont portés, Dit de toutes les raunetés, La fausseté la plus horrible.
Amphitryon.	Amphitryon.
ALCMENE.	ÀLCMENE.
AMPHITRYON.	AMPHITRYON.
Perfide!	Perfide!
ALCMENE.	ÀLCMENE.
Ah!	Ah!
quel emportement!	quel emportement!
AMPHITRION.	AMPHITRYON.
Non, non, plus de douceur, & plus defference, Cereuers vient à bout de toute ma conſtance, Et mon cœur ne reſpire en ce fatal moment,	Non, non, plus de douceur, et plus déférence, Cereuers vient à bout de toute ma constance, Et mon cœur ne respire en ce fatal moment,
ALCMENE.	ÀLCMENE.
De qui donc vous venger?	De qui donc vous venger?
Et quel manque de foy, Vous fait icy me traiter de coupable?	Et quel manque de foi, Vous fait ici me traiter de coupable?
AMPHITRYON.	AMPHITRYON.
Ie ne ſçay pas;	Je ne sais pas;
mais ce n’viten pas moy;	mais ce n'éviten pas moi;
Et c’eſt vn deſeſpoir qui de tout rend capable.	Et c'est un désespoir qui de tout rend capable.
ALCMENE.	ÀLCMENE.
Allez indigne Epoux, le fait parle de ſoy;	Allez indigne Époux, le fait parle de soi;
Et l’impoſture eſt effroyable;	Et l'imposture est effroyable;
C’eſt trop me pouſſer la deſſus;	C'est trop me pousser la dessus;
Et d’infidelité me voir trop condamnée.	Et d'infidélité me voir trop condamnée.
Si vous cherchez dans ces tranſports conſus, Vn pretexte à briſer les nœuds d’vn Hymenée, Qui me tient à vous enchaiſnée;	Si vous cherchez dans ces transports consus, Un prétexte à briser les nœuds d' Hyménée, Qui me tient à vous enchaînée;
Tous ces détours ſont ſuperflus:	Tous ces détours sont superflus:
Et me voila déterminée, A ſouffrir qu’en ce jour nos liens ſoient rompus.	Et me voilà déterminée, A souffrir qu'en ce jour nos liens soient rompus.
AMPHITRION.	AMPHITRYON.
Apres l’indigne affront que l’on me fait connoiſtre, C’eſt bien à quoy ſans doute il faut vous preparer.	Après l'indigne affront que l'on me fait connaître, C'est bien à quoi sans doute il faut vous préparer.
C’eſt le moins qu’on doit voir, & les choſes peut-eſtre, Pourront n’en pas là demeurer.	C'est le moins qu'on doit voir, et les choses peut-être, Pourront n'en pas là demeurer.
Le des-honneur eſt ſeur, mon mal-heur m’eſt viſible, Et mon amour en vain voudroit me l’obſcurcir, Mais le détail encor ne m’en eſt pas ſenſible;	Le des-honneur est sûr, mon malheur m'est visible, Et mon amour en vain voudrait me l'obscurcir, Mais le détail encor ne m'en est pas sensible;
Et mon juſte courroux pretend s’en éclaircir.	Et mon juste courroux prétend s'en éclaircir.
Voſtre frere déja, peut hautement répondre Que juſqu’à ce matin je ne l’ay point quitté.	Votre frère déjà, peut hautement répondre Que jusqu'à ce matin je ne l'ai point quitté.
Ie m’en vais le chercher, afin de vous confondre, Sur ce retour qui m’eſt fauſſement imputé.	Je m'en vais le chercher, afin de vous confondre, Sur ce retour qui m'est faussement imputé.
Apres nous percerons juſqu’au fond du myſtere, Iuſques à preſent inouy;	Après nous percerons jusqu'au fond du mystère, Jusques à présent inouï;
ne dans les mouuemens d’vne juſte colere, Malheur à qui m’aura trahy.	ne dans les mouvements d'une juste colère, Malheur à qui m'aura trahi.
Monſieur.	Monsieur.
OOOEE.	OOOOE.
AMPHITRION.	AMPHITRYON.
Ne m’accompagne pas;	Ne m'accompagne pas;
et demeure icy pour m’attendre.	et demeure ici pour m'attendre.
CLEANTHIS.	CLÉANTHIS.
Faut-il.	Faut-il.
ALCMENE.	ÀLCMENE.
Ie ne puis rien entendre, Laiſſe-moy ſeule, & ne ſuy point mes pas.	Je ne puis rien entendre, Laisse-moi seule, et ne suis point mes pas.
OULNNE III.	OÙLNE III.
CLEANTHIS, SOSIE.	CLEANTHIS, SOSIE.
CLEANTHIS.	CLÉANTHIS.
L faut que quelque choſe ait broüillé ſa cera uelle:	L faut que quelque chose ait brouillé sa cera uelle:
Mais le frere ſur le champ, Finira cette querelle.	Mais le frère sur le champ, Finira cette querelle.
SOSIE.	SOSIE.
C’eſt icy, pour mon Maiſtre, vn coup aſſez touchant;	C'est ici, pour mon Maître, un coup assez touchant;
Et ſon auanture eſt eruelle.	Et son aventure est ervelle.
le crains fort pour mon fait quelque choſe aprochant,	le crains fort pour mon fait quelque chose approchant,
CLEANTHIS.	CLÉANTHIS.
Voyez s’il me viendra ſeulement aborder?	Voyez s'il me viendra seulement aborder?
Mais je veux m’empécher de rien fuire paroiſtre.	Mais je veux m'empêcher de rien fuire paraître.
SOSIE.	SOSIE.
La choſe quelquefois eſt fâcheuſe à connoiſtre, Et je tremble, à la demander.	La chose quelquefois est fâcheuse à connaître, Et je tremble, à la demander.
Ne vaudroit-il point mieux, pour ne rien hazarder, Ignorer ce qu’il en peut-eſtre?	Ne vaudrait-il point mieux, pour ne rien hasarder, Ignorer ce qu'il en peut-être?
Allons tout coup vaille, il faut voir Et je ne m’en ſçaurois deffendre.	Allons tout coup vaille, il faut voir Et je ne m'en saurais défendre.
La foibleſſe humaine eſt d’auoir Des curiomez d apprendre, Ce qu’on ne voudroit pas ſçauoir.	La faiblesse humaine est d'avoir Des curiomez dès apprendre, Ce qu'on ne voudrait pas savoir.
Dieu te gard, Cleanthis.	Dieu te gard, Cléanthis.
CLEANTHIS.	CLÉANTHIS.
Ah, ah, tu t’en auiſes, Traiſtre, de t’aprocher de nous!	Ah, ah, tu t'en avises, Traître, de t'approcher de nous!
eaAus.	eaAus.
Mon Dieu, qu’as-tu?	Mon Dieu, qu'as-tu?
toûjours on te voit en couroux, Et ſur rien, tu te formaliſes.	toujours on te voit en courroux, Et sur rien, tu te formalises.
CLEANTHIS.	CLÉANTHIS.
Qu’appelles-tu ſur rien?	Qu'appelles-tu sur rien?
dy?	dis?
SOSIE.	SOSIE.
I’appelle ſur rien, Ce qui ſur rien s’appelle en vers, ainſi qu’en proſe;	J'appelle sur rien, Ce qui sur rien s'appelle en vers, ainsi qu'en prose;
Et rien, comme tu le ſçais bien, Veut dire rien, ou peu de choſe.	Et rien, comme tu le sais bien, Veut dire rien, ou peu de chose.
CLEANTHIS.	CLÉANTHIS.
Ie ne ſçay qui me tient, infame, Que je ne t’arrache les yeux;	Je ne sais qui me tient, infâme, Que je ne t'arrache les yeux;
Et ne t’apprenne où va le courroux d’vne femme.	Et ne t'apprenne où va le courroux d'une femme.
SOSIE.	SOSIE.
Hola.	Holà.
D’où te vient donc ce tranſport furieux?	D'où te vient donc ce transport furieux?
CLEANTHIS.	CLÉANTHIS.
tamappelles donc rien, le proceue, peut-eſtre, Qu’auec moy ton cœur a tenu?	tamappelles donc rien, le proçue, peut-être, Qu'avec moi ton cœur a tenu?
SOSIE.	SOSIE.
Et quel.	Et quel.
CLEANTHIS.	CLÉANTHIS.
Quoy, tu fais l’ingenu !	Quoi, tu fais l'ingénu !
Tu veux dire qu’icy tu nés pas reuenu?	Tu veux dire qu'ici tu nés pas revenu?
SOSIE.	SOSIE.
Non, je ſçay fort bien le contraire, Mals jene ten rais pas le ſin , Nous auons bû de ce ne ſçay quel vin, Qui m'a fait oublier tout ce que j’ay pu faire.	Non, je sais fort bien le contraire, Mals jène ten rais pas le sin , Nous avons bu de ce ne sais quel vin, Qui m'a fait oublier tout ce que j'ai pu faire.
CLEANTHIS.	CLÉANTHIS.
Tu crois peut eſtre excuſer par ce trait.	Tu crois peut être excuser par ce trait.
OSIE.	OSIE.
Ruau stout de bons tu n’en peux croire, l’eſtois dans vn eſtat, où je puis auoir fait Des choſes, dont j’aurois regret, Et dont ie n’ay nulle memoire.	Ruau stout de bons tu n'en peux croire, l'étais dans un état, où je puis avoir fait Des choses, dont j'aurais regret, Et dont je n'ai nulle mémoire.
CLEANTHIS.	CLÉANTHIS.
Tu ne te ſouuiens point du tout de la maniere, Dont tu m’as ſçeu traitter, eſtant venu du Port?	Tu ne te souviens point du tout de la manière, Dont tu m'as su traiter, étant venu du Port?
SOSIE.	SOSIE.
Non plus que rien, tu peux m’en faire le rapport, Ie ſuis equitable, & ſincere;	Non plus que rien, tu peux m'en faire le rapport, Je suis équitable, et sincère;
Et me condemneray moy-meſme, ſi j’ay tort.	Et me condemnerai moi-même, si j'ai tort.
CLEANTHIS.	CLÉANTHIS.
Comment!	Comment!
Amphitryon m’ayant ſçeu diſpoſer, Iuſqu’à ce que tu vins j’auois pouſſé ma veilles Mais je ne vis jamais vne froideur pareille;	Amphitryon m'ayant su disposer, Jusqu'à ce que tu vins j'avais poussé ma veilles Mais je ne vis jamais froideur pareille;
De ta femme, il fallut moy-meſme t’auiſer;	De ta femme, il fallut moi-même t'aviser;
Et lors que je fus te baiſer, Tu détournas le nez, & me donnas l’oreille ?	Et lors que je fus te baiser, Tu détournas le nez, et me donnas l'oreille ?
Bon!	Bon!
SOGIE.	SOGIE.
CLETRITIIJ.	CLETRITII.
Comment bon ?	Comment bon ?
SOSIE.	SOSIE.
Mon Dieu tu ne ſçais pas pourquoy.	Mon Dieu tu ne sais pas pourquoi.
Cleanthis je tiens ce langage.	Cléanthis je tiens ce langage.
I’auois mangé de l’ail, & fis en homme ſage.	J'avais mangé de l'ail, et fis en homme sage.
De détourner vn peu mon haleine de toy.	De détourner un peu mon haleine de toi.
CLEANTHIS.	CLÉANTHIS.
Ie te ſçeus exprimer des tendreſſes de cœur.	Je te sus exprimer des tendresses de cœur.
Mais à tous mes diſcours tu fus comme vne ſouche, Et jamais vn mot de douceur, Ne te peut ſortir de la bouche.	Mais à tous mes discours tu fus comme une souche, Et jamais un mot de douceur, Ne te peut sortir de la bouche.
Courage.	Courage.
SOSIE.	SOSIE.
CLEANTHIS.	CLÉANTHIS.
Enfin ma flame eut beau s’emanciper Sa chaſte ardeur en toy ne trouua rien que glace, Et dans vit ter fétour ie te vis la tromper, Iuſqu’à faire refus de prendre au lit la place, Que les Loix de P'riyuien t’obiigent d’occuOSIE.	Enfin ma flamme eut beau s'émanciper Sa chaste ardeur en toi ne trouva rien que glace, Et dans vit ter fétour On te vis la tromper, Jusqu'à faire refus de prendre au lit la place, Que les Lois de P'riyuien t'obiuent d'occuOSIE.
per.	per.
Quoy!	Quoi!
je ne couchay point.	je ne couchai point.
CLEANTHIS.	CLÉANTHIS.
Non, lacne,	Non, lacne,
SOSIE.	SOSIE.
Eſt-il poſſible!	Est-il possible!
CLEANTHIS,	CLEANTHIS,
CLEANTHIS.	CLÉANTHIS.
Traiſtre, il n’eſt que trop aſſuré, C’eſt de tous les affronts, l’affront le plus ſenſible;	Traître, il n'est que trop assuré, C'est de tous les affronts, l'affront le plus sensible;
Et loin que ce matin, ton cœur l’ait reparé, Tu t’és d’auec moy ſeparé, Par des uircouit elaigees d’vn mépris tout viſible.	Et loin que ce matin, ton cœur l'ait réparé, Tu t'avez d'avec moi séparé, Par des uircouit élaiges d'Han mépris tout visible.
Viuat, Soſie!	Vivat, Sosie!
SOSIE.	SOSIE.
CLEANTHIS.	CLÉANTHIS.
Hé quoy!	Hé quoi!
ma plainte à cét effet, Tu ris apres ce bel Ouurage?	ma plainte à cet effet, Tu ris après ce bel Ouvrage?
SOSIE.	SOSIE.
Que le luis de moy vaereie:	Que le luis de moi vaèreie:
CLEANTHIS.	CLÉANTHIS.
Exprime-t on ainſi le regret a vn outrage?	Exprime-t -on ainsi le regret a un outrage?
SOSIE.	SOSIE.
le n’aurois jamais crû que j’euſſe eſté ſi ſage.	le n'aurais jamais cru que j'eusse été si sage.
CLEANTHIS.	CLÉANTHIS.
Loin de te condamner d’vn ſi perfide trait, Tu m’en fais éclater la joye en ton viſage.	Loin de te condamner d'vn si perfide trait, Tu m'en fais éclater la joie en ton visage.
OSIE.	OSIE.
Mon Dieu, tout doucement, ſi je parois joyeux, Croy que j’en ay dans l’Ame vne raiſon tres forte :	Mon Dieu, tout doucement, si je parais joyeux, Crois que j'en ai dans l'Ame un raison très forte :
Et que, ſans y penſer, je ne fis jamais mieux, Que d’en vſer tantoſt auec toy de la ſorte.	Et que, sans y penser, je ne fis jamais mieux, Que d'en user tantôt apprendre toi de la sorte.
CLEANTHIS.	CLÉANTHIS.
Traiſtre te moques-ru de moy !	Traître te moque-ru de moi !
OSIE.	OSIE.
Non, je te parle auec franchiſe:	Non, je te parle avec franchise:
En l’eſtat où j’eſtois, j’auois certain effroy, Dont, auec ton diſcours, mon ame s’eſt remiſe.	En l'état où j'étais, j'avais certain effroi, Dont, avec ton discours, mon âme s'est remise.
le m’apprehendois foit, & craignois qu’aucc toy Ie nouno miaqueique rottne.	le m'appréhendais soit, et craignais qu'aucc toi Je nouvno miaqueique rottne.
CLEANTHIS.	CLÉANTHIS.
Quelle eſt cette frayeur?	Quelle est cette frayeur?
& ſçachons donc pourquoy ?	et sachons donc pourquoi ?
OSIE.	OSIE.
Les Medecins di ſent quand on eſt yvre Que de ſa femme on ſe doit abſtenir;	Les Médecins di sent quand on est ivre Que de sa femme on se doit abstenir;
Et que dans cét état, il ne peut prouenir Que des enfans peſans, & qui ne ſçauroient viure.	Et que dans cet état, il ne peut provenir Que des enfants pesants, et qui ne sauraient vivre.
Voy, ſi mon cœur n’eût ſçeu de froideur ſe munir, Quels inconueniens auroient pû s’en enſuiure?	Vois, si mon cœur n'eût su de froideur se munir, Quels inconvéniens auraient pu s'en ensuivre?
CLEANTHIS.	CLÉANTHIS.
Ie me moque des Medecins, Auec leurs raiſonnemens fades, Qu’ils reglent ceux qui ſont malades, Sans vouloir gouuerner les gens qui ſont bien ſains.	Je me moque des Médecins, Avec leurs raisonnements fades, Qu'ils règlent ceux qui sont malades, Sans vouloir gouverner les gens qui sont bien sains.
Ils ſe mélent de trop d’affaires, De pretendre tenir nos chaſtes feux geſnez;	Ils se mêlent de trop d'affaires, De prétendre tenir nos chastes feux gênés;
Et tur les jours caniculaires, Ils nous donnent encor, auec leurs loix ſeueres, De cent ſots contes par le nez.	Et tur les jours caniculaires, Ils nous donnent encor, avec leurs lois sévères, De cent sots contes par le nez.
Tout doux.	Tout doux.
SOSIE.	SOSIE.
CLEANTHIS.	CLÉANTHIS.
Non, je ſouſtiens, que cela conelut mal, Ces raiſons ſont raiſons d’extrauagantes Teſtes;	Non, je soutiens, que cela conelut mal, Ces raisons sont raisons d'extravagantes Testes;
Il n’eſt ny vin, ny temps qui puiſſe eſtre fatal, A remplir le deuoir de l’Amour conjugal, Et les Medecins ſont des Beſtes.	Il n'est assez vin, ni temps qui puisse être fatal, A remplir le devoir de l'Amour conjugal, Et les Médecins sont des Bêtes.
SOSIE.	SOSIE.
Contr’eux je t’en ſupplie appaiſe ton courroux, Ce ſont d’honneſtes gens, quoy que le monde en diſe.	Contr'eux je t'en supplie apaise ton courroux, Ce sont d'honnêtes gens, quoi que le monde en dise.
CLEANTHIS.	CLÉANTHIS.
Tu n’es pas où tu crois;	Tu n'es pas où tu crois;
En vain tu files doux.	En vain tu files doux.
Ton excuſe n’eſt pas vne excuſe de miſe:	Ton excuse n'est pas une excuse de mise:
Et je me veux venger, toſt ou tard, entre nous, De l’ait dont chaque jour ie voy qu’on me mépriſe, Des diſcours de tantoſt, ie garde tous les coups, Et tâcheray d’vſer, lâche, & perfide Epoux De cette nounta quauommeeuninue peamle.	Et je me veux venger, tôt ou tard, entre nous, De l'ait dont chaque jour ie vois qu'on me méprise, Des discours de tantôt, ie garde tous les coups, Et tâcherai d'user, lâche, et perfide Époux De cette nouvnta quauommeeuninue peamle.
Quoy.	Quoi.
SOSIE.	SOSIE.
CLEANTHIS.	CLÉANTHIS.
Tu m’as dit tantoſt, que tu conſentois fort.	Tu m'as dit tantôt, que tu consentais fort.
Lâche, que j’en aimaſſe vn autre.	Lâche, que j'en aimasse un autre.
OSIE.	OSIE.
Ah!	Ah!
pour cét article, j’ay tort, Ie m’en dedis, il y va trop du noſtre Oarde toy bien de muiure ce tranſport.	pour cet article, j'ai tort, Je m'en dédis, il y va trop du nôtre Arde toi bien de muire ce transport.
CLEANTHIS.	CLÉANTHIS.
Si je puis vne fois pourtant, Sur mon Eſprit gagner la choſe.	Si je puis quelque fois pourtant, Sur mon Esprit gagner la chose.
OSIE.	OSIE.
Fais à ce diſcours quelque pauſe.	Fais à ce discours quelque pause.
Amphitryon reuient qui me paroît content.	Amphitryon revient qui me paraît content.
SCENE IV.	SCÈNE IV.
APAALC CEDAN MITS, SOSIE.	APALC CÉDAN MITS, SOSIE.
IVPITER.	IUPITER.
E viens prendre le temps de rapaiſer AlcA mene, De bannir les chagrins, que ſon cœur veur garder, Et dõner à mes feux, dans ce ſoin qui m’améne Le doux plaiſir de ſe raccommoder Alcmene eſt là-haut n’eſt-ce pas?	E viens prendre le temps de rapaiser AlcA mène, De bannir les chagrins, que son cœur veur garder, Et donner à mes feux, dans ce soin qui m'amène Le doux plaisir de se raccommoder Alcène est là-haut n'est-ce pas?
CLEANTHIS.	CLÉANTHIS.
Ouy pleine d vne inquietude, Qui cherche de la ſolitude;	Oui pleine d une inquiétude, Qui cherche de la solitude;
Lt qui m’a deffendu d’accompagner ſes pat.	Lt qui m'a défendu d'accompagner ses pat.
PITER.	PITER.
Quelque defenſe qu’elle ait faite Elle ne ſera pas pour moy.	Quelque défense qu'elle ait faite Elle ne sera pas pour moi.
CLEANTHIS.	CLÉANTHIS.
pon -cilagiin, à ce que jo voy A fait vne prompte retraitte.	pon -ilagiin, à ce que jo vois A fait ton prompte retraite.
SCENE V.	SCÈNE V.
CLEANTHIS, SOSIE.	CLEANTHIS, SOSIE.
SOSIE.	SOSIE.
Ve dis-tu Cleanthis, de ce joyeux main ti en Apres ſon fracas effroyable?	Ve dis-tu Cléanthis, de ce joyeux main ty en Après son fracas effroyable?
CLEANTHIS.	CLÉANTHIS.
Que ſi toutes nous faiſions bien, Nous donnerions, tous les Hommes au Diable, Et que le meſſleur n'en vaut rien.	Que si toutes nous faisions bien, Nous donnerions, tous les Hommes au Diable, Et que le messleur n'en vaut rien.
SOSIE.	SOSIE.
Cela ſe dit dans le courrous!	Cela se dit dans le courrous!
Mais aux Hommes, par trop, vous eſtes accrochées, Et vous ſeriez ma Ioy, toutes bien empéchées, Si le Diable les prenoit tous.	Mais aux Hommes, par trop, vous êtes accrochées, Et vous seriez ma Joi, toutes bien empêchées, Si le Diable les prenait tous.
CLEANTHIS.	CLÉANTHIS.
Vrayment.	Vraiment.
SOSIE.	SOSIE.
Les voicy, taiſons-nous.	Les voici, taisons-nous.
SCENE VI.	SCÈNE VI.
IVPITER, ALCMENE, CLEANTHIS, SOSIE.	IUPITER, ALCMENE, CLEANTHIS, SOSIE.
.	.
JVPITER.	JUPITER.
J Oulez-vous me deſeſperer?	J Oulez-vous me désespérer?
* Helas!	* Hélas!
arreſtez belle Alemene.	arrêtez belle Alémène.
ALCMENE.	ÀLCMENE.
Non, auec l’Autheur de ma peine, Ie ne puis du tout demeurer.	Non, avec l'Auteur de ma peine, Je ne puis du tout demeurer.
IVPITER.	IUPITER.
De grace.	De grâce.
A LCMINE.	À LCMINE.
La iſſe 7-moy.	La isse 7-moi.
IVPITER.	IUPITER.
Quoy.	Quoi.
F iij	 Fij
ALCMENE.	ÀLCMENE.
narnel-mdy, vous dis-je	narnel-médi, vous dis-je
VPITER.	VPITER.
