des Aydes.	des Aides.
ISMIN parlant ſeul.	ISMIN parlant seul.
Cela ſeroit plaiſant ſi ſans en ſçauoir rien, Ie pouuois toutus pon cert Iragicien:	Cela serait plaisant si sans en savoir rien, Je pouvais toutus pon cert Ragicien:
Et ſi ce changement qui leur eſt profitable Eſtoit d’vn chacun feint vn effect veritable.	Et si ce changement qui leur est profitable Était d'un chacun feint un effet véritable.
SYLVAIN.	SYLVAIN.
Ie croy ſi ie m'en veux rapporter à mon œil Que l’on a deſrobbé les rayons du Soleil, Et ſans eſtre trompé, le penpe voirtenore Les plus belles couleurs dont ſe farde l’aurore, Et que des petits clouds de perles & rubis Attachent tout cela deſſus ces beaux habits.	Je crois si belle m'en veux rapporter à mon œil Que l'on a dérobé les rayons du Soleil, Et sans être trompé, le penpe voirtenore Les plus belles couleurs dont se farde l'aurore, Et que des petits clouds de perles et rubis Attachent tout cela dessus ces beaux habits.
ISMIN parlant ſeul.	ISMIN parlant seul.
Ie treuue qu'il n'eſt pas à propos que ie monſtre Aucun eſtonnement voyant cette rencontre:	Je trouve qu'il n'est pas à propos que ici montre Aucun étonnement voyant cette rencontre:
.	.
6 Car elle peut ſeruir au deſſein que i'ay pris.	6 Car elle peut servir au dessein que j'ai pris.
Mes enfans vous voyez comme mes noirs Eſprits Vous ont de leurs faueurs donné la cognoiſſance Dedans ce changement admirez leur puiſſance, Et les remerciez du bien qu’il vous ont fait, Prenez donc ces habits, & d’vn cœur ſatisfait Remettez vous bien toſt dans le ſeing du meſnage:	Mes enfants vous voyez comme mes noirs Esprits Vous ont de leurs faveurs donné la connaissance Dedans ce changement admirez leur puissance, Et les remerciez du bien qu'il vous ont fait, Prenez donc ces habits, et d'un cœur satisfait Remettez vous bien tôt dans le seing du ménage:
Viuez tous deux contans & fans tant de langage.	Vivez tous deux contants et fans tant de langage.
Allez, retirez vous, & me laiſſez icy.	Allez, retirez -vous, et me laissez ici.
LVIN.	LVIN.
A tout le moins ie doy vous dire grand mercy.	À tout le moins vertu dois vous dire grand merci.
ISMIN ſeul.	ISMIN seul.
Ils ſeront bien trompez en l’effect du breuuage:	Ils seront bien trompez en l'effet du breuage:
Car inſenſiblement au ſommeil il engage, Ils dormiront tous deux ainſi que ie m'attens Auparauant qu’il ſoit vn quart-d’heure de temps, Et le ſommeil tiendra leurs paupieres fermées Iuſques au temps qu’au Ciel les eſtoilles ſemées, Feront vn peu de iour pour monſtrer qu'il eſt nuict Cette herbe dans ce bois leur ſeruira de lict:	Car insensiblement au sommeil il engage, Ils dormiront tous deux ainsi que sans m'attends Auparavant qu'il soit un quart-d'heure de temps, Et le sommeil tiendra leurs paupières fermées Jusques au temps qu'au Ciel les étoilles semées, Feront un peu de jour pour montrer qu'il est nuit Cette herbe dans ce bois leur servira de lit:
Toutefois à Syluain i'ay redoublé la doſe, E iuj	Toutefois à Syluain j'ai redoublé la dose, E iuj
Afin que plus long temps ce pauure homme repoſe:	Afin que plus long temps ce pauvre homme repose:
Mais ſi toſt que la belle eſueillée à demy Commencera d’ouurir ſon belœil endormy, Auec mille baiſers i'enfonceray ſa bouche, Sans perdre aucun des droicts qui ſont deus à la couche:	Mais si tôt que la belle éveillée à demi Commencera d'ouvrir son belœil endormi, Avec mille baisers j'enfoncerai sa bouche, Sans perdre aucun des droits qui sont deus à la couche:
3 1 Tia dhneouenpon Car elle preſque encore en l’aſſoupiſſement, 21 Iugera que mon charme a fait ce changement, Et croira que Syluain luy donne des espreuues, Cõme il a par mon art des vigueurs toutes neufues:	3 1 Tia dhuneouenpon Car elle presque encore en l'assoupissement, 21 Jugera que mon charme a fait ce changement, Et croira que Sylain lui le urs espreuues, Comme il a par mon art des vigueurs toutes neufues:
Elle ne fit iamais vne ſi douce erreur, Mais ie m'en vais quitter cét habit plain d’horreur.	Elle ne fit jamais une si douce erreur, Mais Elle m'en vais quitter cet habit plain d'horreur.
*CENE IV Les GARDES de l’Empereur.	*CENE IV Les GARDES de l'Empereur.
SYLVAIN & CHARIXENE qui ont changé d’habits, & qu’on trouue dormant, PHILINTE & LYCASTE, Bergers.	SYLVAIN et CHARIXENE qui ont changé d'habits, et qu'on trouve dormant, PHILINTE et LYCASTE, Bergers.
15MIN, qui a repris ſon habit de Berger.	15MIN, qui a repris son habit de Berger.
Premier des GARDES.	Premier des GARDES.
ſont-ils?	sont-ils?
Pourſuiuons ce Lycaſte, ce traiſtre Qui rauiſt auiourd’huy la fille de ſon maiſtre:	Poursuivons ce Lycaste, ce traître Qui ravît aujourd'hui la fille de son maître:
htuis u inFrince de qui le pouuoir infiny Ne laiſſera iamais ce forfait impuny.	htuis u inFrince de qui le pouvoir infini Ne laissera jamais ce forfait impuni.
S' faut-il que nos pas ne ſoient point inutiles.	S' faut-il que nos pas ne soient point inutiles.
	
Second des GARDES.	Second des GARDES.
Quandils ſeroient motez iuſques deſſus les thuilles.	Quandils seraient moltés jusques dessus les truilles.
Qui couurent le dernier & le plus haut des Cieux, Ie m'en iray les prendre à la barbe des Dieux.	Qui couvrent le dernier et le plus haut des Cieux, Je m'en irai les prendre à la barbe des Dieux.
Premier GARDE.	Premier GARDE.
Ils ne ſçauroient ſortir de long-temps du Royaume.	Ils ne sauraient sortir de longtemps du Royaume.
Second GARDE.	Second GARDE.
Quãd ils ſeroient cachez dãs l'ombre d’vn Atome, 2 Quand eux-meſmes pourroient s’eſtre reduits en rien, Sans chercher ſeulement ie les trouuerois bien.	Quand ils seraient cachés dans l'ombre d'un Atome, 2 Quand eux-mêmes pourraient s'être réduits en rien, Sans chercher seulement ie les trouverais bien.
Premier GARDE.	Premier GARDE.
Ie croy que de raiſon voſtre ame eſt depburueuë, Mais diſons que ſur eux ayans ietté la veuë Nous ſerons aſſeurez de les auoir trouuez mfure espnitemporte ſar ces mots retenez Ne peut ſeruir de rien que pour me faire rire.	Je crois que de raison avoir âme est depburueuë, Mais disons que sur eux ayant jeté la vue Nous serons assurés de les avoir trouvés mfure espnitemporte sar ces mots retenez Ne peut servir de rien que pour me faire rire.
Second GARDE.	Second GARDE.
Mais pour faire pleurer ceux à qui ie veux nuire.	Mais pour faire pleurer ceux à qui On veux nuire.
Premier GARDE.	Premier GARDE.
Monſtrons à l’Empereur que ſon commandement N'a peu ſouffrir en nous la perte d’vn moment.	Monstrons à l'Empereur que son commandement N'a pu souffrir en nous la perte d'un moment.
Ghertnemte rauijſeur, taueagièment le guide, Sa faute le condamne & rend ſon pas timide:	Ghertnemte rauijseur, taueagièment le guide, Sa faute le condamne et rend son pas timide:
auom, ou uans ce bois ce ſentier nous conduit.	auom, ou ans ce bois ce sentier nous conduit.
SMIN.	SMIN.
Si ie ne fuis trompé i'entends icy du bruit.	Si ici ne fuis trompé j'entends ici du bruit.
Premier GARDE.	Premier GARDE.
Ce bois est ſi preſſé qu'on y paſſe auec peine.	Ce bois est si pressé qu'on y passe sans peine.
ISMIN.	ISMIN.
Ils trouueront dormars Siluain & Charixene,	Ils trouveront dormars Siluain et Charixène,
Premier GARDE.	Premier GARDE.
Ie penſe voir plus haut deux hommes endormis, Allons voir ce que c'eſt, courage mes amis, Car nous auons trouué Lycaſte auec Philinte, Dans ces lieux ſi cachez ils repoſent ſans crainte:	Je pense voir plus haut deux hommes endormis, Allons voir ce que c'est, courage mes amis, Car nous avons trouvé Lycaste avec Philinte, Dans ces lieux si cachés ils reposent sans crainte:
Ie cognois leur habit, il les fautéueiller, Ie n’ay iamais veu gens ſi long-temps ſommeiller, On diroit qu’ils ſont morts, ie voy dans eux des marques;	Je connais leur habit, il les fautéueiller, Je n'ai jamais vu gens si longtemps sommeiller, On dirait qu'ils sont morts, ienées dans eux des marques;
Ils ne reſpirent plus, ſi ce n'eſt ſeulement Qu'on les voit respirer icy leur monument:	Ils ne respirent plus, si ce n'est seulement Qu'on les voit respirer ici leur monument:
Leur face triſtement vers la terre tournee Nous donne de leur mort la preuue infortunee, Et l’oniuge aisément en touchant à leurs corps quiis ne ſon que d'entrer dans te pays des morts:	Leur face tristement vers la terre tournée Nous donne de leur mort la preuve infortunée, Et l'onive aisément en touchant à leurs corps quiis ne son que d'entrer dans te pays des morts:
Ils ſont encore chauds, & leur poictrine ouuerte Paroiſt prés de leur cœur de ſang toute couuerte.	Ils sont encore chauds, et leur poitrine ouverte Paraît près de leur cœur de sang toute couverte.
Second GARDE.	Second GARDE.
Le trespas de Philinte eſt bien digne de pleurs, npeiotent us ponu mons pau la main des voleurs?	Le trépas de Philinte est bien digne de pleurs, népéiotent us ponu mons pau la main des voleurs?
Qui nous voyant venir, peut-eſtre ont pris la fuite, L'eſpaiſſeur de ce bois aux meurtres les inuite.	Qui nous voyant venir, peut-être ont pris la fuite, L'épaisseur de ce bois aux meurtres les inuite.
*.	*.
.	.
.	.
.	.
tx- Et Philinte n’a pas ſa retraicte entrepris Qu'elle n'ayt emporté quelque choſe de prix.	tx- Et Philinte n'a pas sa retraite entrepris Qu'elle n'ait emporté quelque chose de prix.
Abordons ce berger, ie voy qu'il nous eſcoute, Berger, deliure nous d’vn important ſoucy;	Abordons ce berger, ie vois qu'il nous écoute, Berger, délivre nous d'un important souci;
N'as tu point veu quelqu'vn qui fuyoit par icy?	N'as tu point vu quelqu'un qui fuyait par ici?
MIN.	MIN.
Ten pien ue tronuet vn quis en aitoit bien viſte;	Ten pien ue tronvet un quis en ait bien vite;
Il ſortoit de ce bois, car il y fait ſon giſte.	Il sortait de ce bois, car il y fait son gîte.
Premier GARDE.	Premier GARDE.
Si faut-il l’a trapper, quand nous deurions mourir	Si faut-il l'a trapper, quand nous devrions mourir
ISMIN.	ISMIN.
Croyez que vous auez bon bepautus tourir, Il va ſi viſtement de peur qu'on ne l’acoste, quuepirdes petats tcourt touſiours lapoſte,	Croyez que vous avez bon bépautus tourir, Il va si vitement de peur qu'on ne l'acoste, quuepirdes petats tourt toujours laposte,
Eſtoit-il ſeul?	Était-il seul?
Premier GARDE.	Premier GARDE.
ISMIN.	ISMIN.
Nemy, ucua tmens te pourſuiuoient, Qui toutefois de loin ſeulement le voyoient.	Nemi, ucua tends te poursuivaient, Qui toutefois de loin seulement le voyaient.
Premier GARDE.	Premier GARDE.
Quel âge auoit-il bien?	Quel âge avait-il bien?
ISMIN.	ISMIN.
Ie ne ſçay pas ſon àge, npeutaneu quumen guen quuantage.	Je ne sais pas son âge, nputaneu quumen guen quavantage.
Premier GARDE.	Premier GARDE.
It faut que tu ſois fou de nous dirécetas	It faut que tu sois fou de nous dirécetas
ISMIN.	ISMIN.
Les lieures courent bien ayans cét age là.	Les lièvres courent bien ayants cet age là.
Premier GARDE.	Premier GARDE.
Ie ne ſçay qui me tient qu’enfin ie ne t’aſſomme:	Je ne sais qui me tient qu'enfin apprendre ne t'assomme:
Tu me reſpons d’vn lieure, & ie parle d’vn homme.	Tu me réponds d'un lieu, et a parle d'un homme.
Te pretends-tu mocquer des gens de l'Empereur?	Te prétends-tu moquer des gens de l'Empereur?
Dy moy ?	Dis -moi ?
IV'as-tu point veu paſſer quelque voleur?	JU'as-tu point vu passer quelque voleur?
1	1
ISMIN.	ISMIN.
Quand i’aurois icy veu quelques voleurs paroiſtre, Ie ne ſçay pas à quoy ie les pourrois cognoiſtre;	Quand j'aurais ici vu quelques voleurs paraître, Je ne sais pas à quoi apprendre les pourrais connaître;
at tognois pien tes punſs u anet les peaux, Meſſieurs, Mais apres tout cela ie ne ſçay rien d’ailleurs.	at tognais pien tes punss anet les peaux, Messieurs, Mais après tout cela ie Ne sais rien d'ailleurs.
Premier GARDE.	Premier GARDE.
Auec ſon innocence, il chaſſe ma colere:	Avec son innocence, il chasse ma colère:
C’eſt que l’on a tué vers ce bois ſolitaire La Princeſſe & Lycaſte, on ne ſçait pas comment, N'en as tu rien appris, dis le nous viſtemente 1  ISMIN.	C'est que l'on a tué vers ce bois solitaire La Princesse et Lycaste, on ne sait pas comment, N'en as tu rien appris, dis le nous vitemente 1 ISMIN.
Vne telle Princeſſe en grandeur infinie Senauoit-eue dinſi ſans autre compagnie?	Une telle Princesse en grandeur infinie Senauoit-elle dinsi sans autre compagnie?
Premier GARDE.	Premier GARDE.
Sur le poinct qu'Anaxandre esperoit l'espouſer, Elle ne s’y pouuant ou voulant dispoſer, Du perfide Lycaſte, en ſon deſſein conduite, Nous a fait voir ſa faute außi toſt que ſa fuite:	Sur le point qu'Anfaxandre esperoit l'épouser, Elle ne s'y pouvant ou voulant disposer, Du perfide Lycaste, en son dessein conduite, Nous a fait voir sa faute aussi tôt que sa fuite:
Mais par vn accident que nous ne ſçauons pas Queiqu vn a dans ces bois aduancé leur trespas:	Mais par un accident que nous ne savons pas Queiqu un a dans ces bois avancé leur trépas:
Dy donc ce que tu ſçais?	Dis donc ce que tu sais?
tu nous fais bien attendre.	tu nous fais bien attendre.
ISMIN.	ISMIN.
Ie n’en ſçay rien, ſinon ce que ie viens d’apprendre	Je n'en sais rien, sinon ce que ici viens d'apprendre
Premier GARDE.	Premier GARDE.
Que ces tuſtiques jont a vnentretien faſcheux,	Que ces tustiques jont a unentretien fâcheux,
ISMIN.	ISMIN.
Ils ne cognoiſſent pas que ie me mocque d’eux.	Ils ne connaissent pas que je me moque d'eux.
Premier GARDE.	Premier GARDE.
Rentrons dedans le bois, les voleurs y ſejournent.	Rentrons dedans le bois, les voleurs y séjournent.
Cherchons les lieux cachez qui du chemin détournent.	Cherchons les lieux cachés qui du chemin détournent.
Nous les treuuerons là peut-estre retirez, Mais il faut pour mieux faire estre tous ſeparez – -------J	Nous les trouverons là peut-être retirés, Mais il faut pour mieux faire été tous séparé -S
ISMIN.	ISMIN.
ſeul.	seul.
Ie cognois de long-temps la Princeſſe Philinte, Son humeur ne ſçauroit ſouffrir de la contrainte.	Je connais de longtemps la Princesse Philinte, Son humeur ne saurait souffrir de la contrainte.
Si l’Empereur vſant de ſon authorité A voulu faire effort contre ſa volonté, Außi toſt par ſa fuite elle aura fait cognoistre Tout ce qu’vn deſeſpoir dans vne ame fait naistre;	Si l'Empereur usant de son autorité A voulu faire effort contre sa volonté, Aussi tôt par sa fuite elle aura fait connaître Tout ce qu'à désespoir dans une âme fait naître;
Ie voy bien qu'elle a fait afin de ſe cacher Ce changement d’habit auprés de ce rocher:	Je vois bien qu'elle a fait afin de se cacher Ce changement d'habit auprès de ce rocher:
Ce deguiſement fait d’vne ſubtile ſorte Et ce chiffre de fang l’a font prendre pour morte:	Ce déguisement fait d'une subtile sorte Et ce chiffre de sang l'a font prendre pour morte:
Mais pourtant.	Mais pourtant.
–2-	2-ce
Premier GARDE.	Premier GARDE.
Au ſecours, i'ay trouué l’aſſaßin	Au secours, j'ai trouvé l'assassin
LYCASTE nanme en beiger.	LYCASTE nanme en beiger.
Afin d’auoir vn nom conforme à ton deſſein, Il faut que ie te tue.	Afin d'avoir un nom conforme à ton dessein, Il faut que tu te tue.
Premier GARDE.	Premier GARDE.
Accourez à mon ayde,	Accourez à mon aide,
LYCASTE tuë le premier GARDE.	LYCASTE tue le premier GARDE.
En vain contre la mort tu cherche du remede,	En vain contre la mort tu cherche du remède,
Premier GARDEMes amis ie ſuis mort.	Premier GARDEMes amis votre suis mort.
–4 9 ---	4 9 --
LYCASTE.	LYCASTE.
Il te ſera permis Duuer jairt aux enſers queiques nouneaux amis.	Il te sera permis Duver jairt aux ensers queiques nouvneaux amis.
Second GARDE, qui arriue accompagné.	Second GARDE, qui arrive accompagné.
Demeure, ou tu mourras, que te ſert ta deffence	Demeure, ou tu mourras, que te sert ta défense
LYCASTE.	LYCASTE.
Elle ſert bien ſouuent à garder l’innocence.	Elle sert bien souvent à garder l'innocence.
Second GARDE.	Second GARDE.
Traiſtre, on t’a veu tuer Philinte dans çes bois.	Traître, on t'a vu tuer Philinte dans çes bois.
LYCASTE.	LYCASTE.
Ie te feray mentir & mourir à la fois.	Je te ferai mentir et mourir à la fois.
Second GARDE.	Second GARDE.
Enfin nous t’auons pris?	Enfin nous t'avons pris?
LYCASTELe nombre me ſurmonte.	LYCASTELe nombre me surmonte.
Second GARDE.	Second GARDE.
Certe pergere auſsi qui ſe cache de honte, Eſt peut-eſtre complice, emmenons-les tous deux Et emportons ces corps de ces bois malheureux.	Certe pergère aussi qui se cache de honte, Est peut-être complice, emmenons-les tous deux Et emportons ces corps de ces bois malheureux.
ISMIN.	ISMIN.
Ie n’en puis plus douter, i’ay cogneu la Princeſſe Il faut que mon eſprit faſſe vn tour de ſouppleſſe.	Je n'en puis plus douter, j'ai connu la Princesse Il faut que mon esprit fasse un tour de souplesse.
– - 2-- ACT	 - 2- ACT
ACTE QVATRIESME SCENE I.	ACTE QUATRIÈME SCÈNE I.
EMPEREVR.	EMPEREUR.
DAMIS.	DAMIS.
Les GARDES.	Les GARDES.
ISMINqui a repris ſon habit de Magicien.	ISMINqui a repris son habit de Magicien.
PHILINTE & LYCASTE, ayans les habits de SYLVAIN & de CHARIXENE.	PHILINTE et LYCASTE, ayant les habits de SYLVAIN et de CHARIXENE.
L'E MPEREVR.	L'E MPEREUR.
Eau Soleil, mais pourquoy veux-ie auecque loüange l’appeller à témoing de mon malheur estrange?	Eau Soleil, mais pourquoi veux-je avec louange l'appeler à témoin de mon malheur étrange?
ayme mieux te nommer vn importun flambeau:	aime mieux te nommer un importun flambeau:
Par pour les affligez tu n'as rien qui ſoit beau.	Par pour les affligez tu n'as rien qui soit beau.
des Aſtres dans les Cieux vſurpent la puiſſance De verſer icy bas leur mauuaiſe influence, Puis qu'on te fait leur Roy, pourquoy n’ẽpeſches-tu Que de tant de malheurs on ne ſoit combatu?	des Astres dans les Cieux usurpent la puissance De verser ici bas leur mauvaise influence, Puis qu'on te fait leur Roi, pourquoi n'ẽpesches-tu Que de tant de malheurs on ne soit combattu?
Mais en faiſant les iours, c'eſt toy qui nous consõme;	Mais en faisant les jours, c'est toi qui nous consomme;
1- --- 7 V- 1.	1- -- 7 V- 1.
Sans toy tous les trauaux i'eſloignerois des hõmes Et ſans te reſſentir du mal de ton pareil, Ne vis tu pas hier eclipſer vn ſoleil, Au lieu que ta lumiere en deuoit eſtre esteinte?	Sans toi tous les travaux j'éloignerais des hommes Et sans te ressentir du mal de ton pareil, Ne vis tu pas hier éclipser un soleil, Au lieu que ta lumière en devait être éteinte?
Tu les faiſois ſeruir à voir tuer Philinte:	Tu les faisais servir à voir tuer Philinte:
Eſclairant aux meurtriers qui ce noir crime on fait;	Éclairant aux meurtriers qui ce noir crime on fait;
Ie te puis appeller complice du forfait.	Je te puis appeler complice du forfait.
Fuy donc Aſtre importun, va-t'en ailleurs reluire Ie te veux faire, apres vn ſi triste accident, Außi bien que Philinte, aller en Occident.	Fui donc Astre importun, va-t'-en ailleurs reluire Je te veux faire, après un si triste accident, Aussi bien que Philinte, aller en Occident.
Et ſans que ta chaleur nous faſſe plus de guerre, Prends vn autre chemin que par deſſus mes terre.	Et sans que ta chaleur nous fasse plus de guerre, Prends un autre chemin que par -dessus mes terre.
Außi bien de tes rais mes peuples ſont laſſez:	Aussi bien de tes rais mes peuples sont lassez:
Mes yeux pleins de colere eſclaireront aſſez:	Mes yeux pleins de colère éclaireront assez:
Mais il n'arreſte pas pour eſcouter la plainte Que ie fais du trespas de la pauure Philinte.	Mais il n'arrête pas pour écouter la plainte Que tu fais du trépas de la pauvre Philinte.
A qui dõc me prendray-je en ce mal-heureux ſe Ce perfide Lycaſte außi bien qu'elle eſt mort, Encore ſi mes gens l’euſſent ſurpris en vie, I'euſſe deſſus ſon corps m’a vengeance aſſouuie:	À qui donc me prendrai-je en ce malheureux se Ce perfide Lycaste aussi bien qu'elle est mort, Encore si mes gens l'eussent surpris en vie, J'eusse dessus son corps m'a vengeance assouvie:
Mais m'ayans amené ſeulement vn berger, Sa miſerable mort ne me ſçauroit venger, L T- -------;	Mais m'ayant amené seulement un berger, Sa misérable mort ne me saurait venger, L T-à --;
7	7
Pour effacer l’horreur de cét enorme crime, e ne ſuis pas content d’vne ſeule victime:	Pour effacer l'horreur de cet énorme crime, e ne st pas content d'une seule victime:
Car meſmes ie voudrois que le Ciel euſt permis Que tout le monde enſemble euſt ce nieurtre cõmis;	Car mêmes ici voudrais que le Ciel eût permis Que tout le monde ensemble eût ce naître commis;
Au moins ie vengerois en ma douleur profonde, Le plus beau ſang du monde au ſang de tout le monde.	Au moins ici vengerais en ma douleur profonde, Le plus beau sang du monde au sang de tout le monde.
Et toy, Terre, pourquoy dedans ton large flanc, De Philinte mourante, as tu receu le ſang, it ſans aucun respect t’es tu bien peu reſoudre De ſouffrir ſon meſlange auec ta vile poudre.	Et toi, Terre, pourquoi dedans ton large flanc, De Philinte mourante, as tu reçu le sang, it sans aucun respect t'es tu bien peu résoudre De souffrir son mélange auec ta vile poudre.
u t’en repentiras:	Ju t'en repentiras:
car pour ton chaſtiment, e te veux degrader du tiltre d’element.	car pour ton châtiment, te veux dégrader du titre d'élément.
Et alors qu’à trembler onte verra contrainte.	Et alors qu'à trembler onte verra contrainte.
On croira deſormais que tu trembles de crainte.	On croira désormais que tu trembles de crainte.
Miſerable Philinte, à quoy me reduis-tu, Puis meſmes que ta mort accuſe ta vertu:	Misérable Philinte, à quoi me réduis-tu, Puis mêmes que ta mort accuse ta vertu:
trenant auec le nom d’vne fille aueuglée Su re ſolution d’vne ame deſreglée.	trenant avec le nom d'une fille aveuglée Su re solution d'une âme déréglée.
e ſçay bien que ta fuite obugeois moncomrtoux.	 sçay bien que ta fuite obugeais moncomrtoux.
De n’auoir pour toy des ſentimens ſi doux.	De n'avoir pour toi des sentiments si doux.
Mais dans le ſouuenir des liens de nature Le ſang me fait treuuer l’oubly de cette iniure.	Mais dans le souvenir des liens de nature Le sang me fait trouver l'oubli de cette injure.
– -Et mon reſſentiment vaincu par la pitié S’eſt rangé du party que tient mon amitié:	– Parti que ressentiment vaincu par la pitié S'est rangé du parti que tient mon amitié:
Mais ſans que cela puiſſe amollir mon courage, Exercez ce que peut la vengeance & la rage Deſſus ce villageois que vous auez treuué.	Mais sans que cela puisse amollir mon courage, Exercez ce que peut la vengeance et la rage Dessus ce villageois que vous avez trouvé.
Inuentez vn tourment qu'on n’ait point esprouue Et quelque cruauté qui ne ſoit pas commune:	Inventez un tourment qu'on n'ait point éprouve Et quelque cruauté qui ne soit pas commune:
Car de cent mille morts il n'en faut faire qu’vne.	Car de cent mille morts il n'en faut faire qu'une.
Allez, depeſchez-vous, außi bien c'eſt trop peu Dete jaire mourir par le fer ou le feu, Que la bergere außi luy tienne compdgnie.	Allez, dépêchez-vous, aussi bien c'est trop peu Dete jaire mourir par le fer ou le feu, Que la bergère aussi lui tienne compdgnie.
DAMIS.	DAMIS.
Ie croy que ſans ſujet elle ſera punie, Son ſexe & ſes beautez n’ont point ietté ſon cœu Duns de tonſentement a vn cumt plein d'hor reur.	Je crois que sans sujet elle sera punie, Son sexe et ses beautés n'ont point jeté son cœu Duns de tonsentement a un cumt plein d'hor reur.
otte, u faut ov ſeruer les formes de Iuſtice.	otte, ouv faut ou erver les formes de Justice.
L’EMPEREVR.	L'EMPEREUR.
On les obſerue aſſez pourueu qu'on m’obeiſſe.	On les observe assez pourvu qu'on m'obéisse.
DAMIS.	DAMIS.
Vn ſupplice public ſuppoſe vn iugement.	Un supplice public suppose un jugement.
L’EMPEREVR.	L'EMPEREUR.
Quoy qu'vn Roy puiſſe faire, il le fait iuſtemeut.	Quo qu'un Roi puisse faire, il le fait justemut.
–-	–-
DAMIS.	DAMIS.
Oisiors quunce rasſon tes toix ii fauoriſe.	Oisiors quunce rasson tes toix ji favorise.
L'EMPEREVR.	L'EMPEREUR.
C'eſt luy qui la Iuſtice & les loix authoriſe, lleur donne le poids, leur force vient de luy.	C'est lui qui la Justice et les lois autorise, lleur donne le poids, leur force vient de Seigneur.
DAMIS.	DAMIS.
Mais c’eſt qu'à lauipuuuur pim uuppuy, Lans le maintien d’vn Prince elle ne pourroit eſtre.	Mais c'est qu'à lauipuuuur pim uuppui, Lans le maintien d'un Prince elle ne pourrait être.
L’EMPEREVR.	L'EMPEREUR.
Ien fait ce qu’il veut puis qu’il en eſt le maiſtre, it cette fille en fin n’aura pas le credit De me faire changer ce qu’vne fois i’ay dit.	Jen fait ce qu'il veut puis qu'il en est le maître, it cette fille en fin n'aura pas le crédit De me faire changer ce qu'une fois j'ai dit.
i ſon viſage eſt beau, la Deeſſe Iuſtice Receura du plaiſir d’vn ſi beau ſacrifice.	y son visage est beau, la Deesse Justice Récevra du plaisir d'un si beau sacrifice.
Qu'on ne m'en parle plus.	Qu'on ne m'en parle plus.
Mais qu’eſt-c que ie voy:	Mais qu'est-ce que ie cy:
Eeſt vn nomme incogneu qui vient parler à moy.	Eest un nomme inconnu qui vient parler à moi.
A longueur de ſon poil met ſon viſage à l’ombre, ton pas bat la meſure à ſa grauité ſombre.	À longueur de son poil met son visage à l'ombre, ton pas bat la mesure à sa gravité sombre.
ISMIN qui a repris ſon habit de Magicienire, ſans faire tort à voſtre Maieſté, Elle n'a rien d’égal à mon authorité.	ISMIN qui a repris son habit de Magicienire, sans faire tort à votre Majesté, Elle n'a rien d'égal à mon autorité.
i vous eſtes ſuiuy d’vn nombre de genſdarmes, Vous deuez vos grandeurs à la force des armes.	y vous êtes suivi d'ins nombre de gensdarmes, Vous devez vos grandeurs à la force des armes.
Moy, ſans autre ſecours que celuy de ma voix, I’ay pouuoir de changer les naturelles loix:	Moi, sans autre secours que celui de ma voix, J'ai pouvoir de changer les naturelles lois:
Et de tout l’Vniuers mes parolles cogneuës Cachent ſouuent le iour dans l’espaiſſeur des nuë Ie ne ſuis pas vn Dieu, mais ie commande aus Dieux, Les herbes ont ouuert leurs vertus à mes yeux.	Et de tout l'Univers mes paroles connues Cachent souuent le jour dans l'épaisseur des nue Je ne suis pas un Dieu, mais ie ande aux Dieux, Les herbes ont ouvert leurs vertus à mes yeux.
Pour rendre la hauteur du tonnerre abbaiſſee, Quand ie veux, ie l’enferme en ma chaire perce Ie force les deſtins & les prends au collet, Et me ſers du Soleil comme de mon valet:	Pour rendre la hauteur du tonnerre abaisse, Quand der veux, jusqu'enferme en ma chaire perce Je force les destins et les prends au collet, Et me sers du Soleil comme de mon valet:
Sa chaleur par mon charme icy bas amenée Me vient ſeruir de feu dedans ma cheminée.	Sa chaleur par mon charme ici bas amenée Me vient servir de feu dedans ma cheminée.
Pour aller dans le Ciel ie ne fais rien qu’vn pas;	Pour aller dans le Ciel Dieux ne fais rien qu'un pas;
Ie voy ce qu'on y fait & ce qu'on n’y fait pas, C’eſt moy qui rens la Lune ou tenebreuſe ou bell Ie l’allume & l’eſteins ainſi qu'vne chandelle.	Je vois ce qu'on y fait et ce qu'on n'y fait pas, C'est moi qui rends la Lune ou ténébreuse ou bell Je l'allume et l'éteins ainsi qu'une chandelle.
Ie ſuis le fauory du Monarque des morts S’il me plaiſt, ie remets tsespruisuuris tes corps, Et la Parque auiour dhuy ſera par moy contrain De redonner la vie à la belle Philinte:	Je suis le favori du Monarque des morts S'il me plaît, tu remets tsespruisuuris tes corps, Et la Parque aujour dhuy sera par moi contrain De redonner la vie à la belle Philte:
Carie la forceray de refiler ſes iours, Sire, c’eſt à elle que tend tout cé diſcours, Que voſtre Majeſté commande qu’on me mene A l’endroict où ſon corps ſans poux & ſans halene Deſcouure triſtement la perte des beautez Que la mort luy rauit, & que vous regrettez Mais il faut que Lycaſte außi ie reſſuſcite, Afin qu’il ſoit puny ſelon ſon demerite.	Carie la forcerai de refiler ses jours, Sire, c'est à elle que tend tout cé discours, Que votre Majesté commande qu'on me mène A l'endroit où son corps sans poux et sans halène Découvre tristement la perte des beautés Que la mort lui ravit, et que vous regrettez Mais il faut que Lycaste aussi ie ressuscite, Afin qu'il soit puni selon son démérite.
L’EMPEREVR.	L'EMPEREUR.
