LES ACTEVRS.	LES ACTEURS.
GERONTE.	GÉRONTE.
Vous peut-elle fourber auec cette arrogance?	Vous peut-elle fourber avec cette arrogance?
Elle qui dans Veniſe, vn mois entier, & plus Affligé que i'eſtous d’vn bras queſque perclus Ma ſeruy chez Tyndare.	Elle qui dans Venise, un mois entier, et plus Affligé que j'estousslygé que j' perclus Ma servi chez Tyndare.
Et s'appelloit?	Et s'appelait?
ANSELME.	ANSELME.
GERONTE.	GÉRONTE.
ANSELME.	ANSELME.
Vous vous eftes mépris;	Vous vous esttes mépris;
ſon nom eſt Aurelie;	son nom est Aurelie;
Mais leur rapport peut-eſtre a produit cette erreur.	Mais leur rapport peut-être a produit cette erreur.
AVRELIE, en colere.	AURÉLIE, en colère.
Sumrearmr.	Sumrearmr.
ANSELME.	ANSELME.
Non, contenez vostre ieune fureur.	Non, contenez votre jeune fureur.
AVRELIE.	AURÉLIE.
Puis-ie ſans m’emporter ſouffrir cette impoſture?	Puis-je sans m'emporter souffrir cette imposture?
ANSELME.	ANSELME.
On peut bien impoſer, mais non à la Nature;	On peut bien imposer, mais non à la Nature;
Quelque dol ſpecieux, qui la puiſſe aſſaillir, Le ſang eſt trop bon iuge, & ne ſçauroit faillir.	Quelque dol spécieux, qui la puisse assaillir, Le sang est trop bon juge, et ne saurait faillir.
GERONTE.	GÉRONTE.
Ainſi donc, vous croyez quand on vous dißimule, Et quand on vous dit vray, vous eſtes incredule.	Ainsi donc, vous croyez quand on vous dissimule, Et quand on vous dit vrai, vous êtes incrédule.
ANSTLME.	ANSTLME.
Ie croy mon ſeruiteur, & mon ſang, & monfils,	Je crois mon serviteur, et mon sang, et monfils,
GERONTE.	GÉRONTE.
Ne me reputez plus du rangde vos amis;	Ne me réputez plus du rangde vos amis;
Ou croyez-moy bleßé d’vne folie extréme, Si vous n’eſtes trompé, d’eux, d'elle, & devour imeme;	Ou croyez-moi blesié d'une folie extrême, Si vous n'êtes trompé, d'eux, d'elle, et devour imeme;
Quelque trame s’ourdit, preuenez-en l’effet, Et craignez.	Quelque trame s'ourdit, prévenez-en l'effet, Et craignez.
V yez-veus quel ſigne elle me faits	V yez-vus quel signe elle me faits
AVRFLIE.	AURFLIE.
Moy ſigne, inſame, traiſtre, ha dieu ie deſeſpere De deunir par reſpect contenir ma colere;	Moi signe, insame, traître, ha dieu était désespère De deunir par respect contenir ma colère;
Et n’eſtre pas d’vn ſexe, ou de ta trahiſon, Aux deſpens de mon ſang ie püſſe auoir raiſon	Et n'être pas d'Hommes sexe, ou de ta trahison, Aux dépens de mon sang ie püsse avoir raison
elle l’entre.	elle l'entre.
Faut-il qu’vn ſçelerat impunément m’affronte?	Faut-il qu'un sçelerat ment maffronte?
ANSELME.	ANSELME.
Ne vous emportez point, rentrez & vous Geronte, Laiſſant ce different pour vne autre ſaiſon, Venez vous delaſſer, & prenez ma maiſon;	Ne vous emportez point, rentrez et vous Geronte, Laissant ce différent pour une autre saison, Venez vous délasser, et prenez ma maison;
Attendant.	Attendant.
GERONTE.	GÉRONTE.
Ie ne puis, permettez moy de grace, De voir quelqu’vn des miens.	Je ne puis, permettez -moi de grâce, De voir quelqu'un des miens.
ANSELME.	ANSELME.
Laiſſez nous donc Horace;	Laissez nous donc Horace;
Tant qu’on ſoit preſt chez vous à vous bien receuoir.	Tant qu'on soit prêt chez vous à vous bien recevoir.
Ie le veux.	Je le veux.
GERONTE.	GÉRONTE.
il parle à Horact.	il parle à Horact.
Mem.	Mem.
HORACE.	HORACE.
Bel ſem.	Bel sem.
GERONTE:	GÉRONTE:
Adien, iuſqu’au reuoir.	Adien, jusqu'au revoir.
SCENE IV.	SCÈNE IV.
ANSELME, HORACE.	ANSELME, HORACE.
28 ANSELME.	28 ANSELME.
IRencontre à la ſois, & propice & fatale!	JRencontre à la sois, et propice et fatale!
Quelle confuſion à la mienne eſt égale.	Quelle confusion à la mienne est égale.
Quand ie croy que Conſtance a perdu la clarté, Ie reconnois ſa main qui prit ma liberté;	Quand ie cy que Constance a perdu la clarté, Je reconnais sa main qui prit ma liberté;
Et ſi i’ay d’Aurelie obſerué le viſage, Il ne rend pas pour elle vn heureux témoignage;	Et si j'ai d'Aurelie observé le visage, Il ne rend pas pour elle un heureux témoignage;
Et dans ſes changements a mal dißimulé;	Et dans ses changements a mal dissimulé;
Ioint qu’Ergaſte eſt vn fourbe entre tous ſignalé, Qui peut pour mon argent m’en auoir fait à croires Et qui plus il m’attrappe, & plus il en fait gloïre;	Joint qu'Ergaste est un fourbe entre tous signalé, Qui peut pour mon argent m'en avoir fait à croirez Et qui plus il m'attrape, et plus il en fait gloïre;
En debauche Lelie, & croy bien reüßir;	En débauche Lélie, et crois bien réussir;
Mais s’il faut.	Mais s'il faut.
Les voicy, ie m’en veux éclaircir,	Les voici, Seigneur m'en veux éclaircir,
CENE V.	CÈNE V.
IELIE, ERGASTE, ANSELME, HORACE.	JELIE, ERGASTE, ANSELME, HORACE.
ERGASTE, à Lelie E vous baſtez point tãt, c’eſt pour toute la vie;	ÉRGASTE, à Lélie E vous bâtez point toujours, c'est pour toute la vie;
Et deux nuits vius ferit en paſſer votre enuie.	Et deux nuits vius ferit en passer votre envie.
Qu'eſt-ce?	Qu'est-ce?
ANSELME.	ANSELME.
ERGASTE.	ÉRGASTE.
Il vous veut preſſer, & treuue que ce ſois Eſt vn terme trop long pour vn ſi cher eſpoir.	Il vous veut presser, et trouve que ce sois Est un terme trop long pour un si cher espoir.
ANSELME.	ANSELME.
Peu de temps reglera l’amour qui vous tranſporte.	Peu de temps réglera l'amour qui vous transporte.
Mais viença, qui ta dit que ma femme eſtoit morte?	Mais viença, qui ta dit que ma femme était morte?
Quant à Conſt antinople as-tu porté tes pas?	Quant à Const antinople as-tu porté tes pas?
Tu t’accuſes perfide en ne répondant pas?	Tu t'accuses perfide en ne répondant pas?
Qui heſite eſt ſurpris, & medite vne excuſe.	Qui hésite est surpris, et médite une excuse.
LELIE.	LELIE.
Ergaſte, & viſte, vn mot, vn détour, vne ruſet	Ergaste, et vite, un mot, un détour, une ruset
ERGASTE.	ÉRGASTE.
Adieu mon perſonnage?	Adieu mon personnage?
LELIE.	LELIE.
Et toſti	Et tosti
ERGASTE.	ÉRGASTE.
I'ay beaureſuer, Si vous ne me ſoufflez, ie ne puis l’acheuer.	J'ai beauresuer, Si vous ne me soufflez, je ne puis l'achever.
LELIE.	LELIE.
Dieux!	Dieux!
que feray-ie?	que ferai-je?
Ergaſte à bout de ſon adreſſe?	Ergaste à bout de son adresse?
ERGASTE.	ÉRGASTE.
Source d’infirmitez, déplorable vielleſſe!	Source d'infirmité, déplorable vivellesse!
Plus ie veux penetrer tes abyſmes profonds, Plus ie te conſidere, & plus ie me confonds;	Plus Seigneur veux pénétrer tes abîmes profonds, Plus Seigneur te considère, et plus ie me confonds;
Cemme vn logis tombant accable qui l’habite, Tu faits qu’auec le corps l’eſprit ſe debilite;	Cemme un logis tombant accable qui l'habite, Tu faits qu'avec le corps l'esprit se débilite;
Que le temps auec l’âge emporte la raiſon, At que l’heſte renuerſe auec la maiſon,	Que le temps avec l'âge emporte la raison, At que l'heste renverse avec la maison,
ANSELME.	ANSELME.
Que veux-tu dire enfint	Que veux-tu dire enfin
ERGASTE.	ÉRGASTE.
Que voſtre déſiance, Fait que vous auez trop & trop peu de croyance;	Que votre désiance, Fait que vous avez trop et trop peu de croyance;
Et que cette foibleſſe eſt vn effet du temps, Qui pour noſtre malheur marque vns derniers anst Qui vous fait croirre autruy contre noſtre parolle?	Et que cette faiblesse est un effet du temps, Qui pour notre malheur marque uns derniers anst Qui vous fait croirre autrui contre notre parole?
Qui vous a dans l’eſprit mis ce ſoupçon friuole?	Qui vous a dans l'esprit mis ce soupçon frivole?
ANSELME.	ANSELME.
Geronte, vn mien amy.	Géronte, Un mien ami.
LELIE.	LELIE.
Ne te relâche pas.	Ne te relâche pas.
ANSELME.	ANSELME.
Qui de Conſtantinople arriué de ce pas, Pendant vn tour ou deux qu’il fait pour ſes affaires, M’alaiſſé ce ſien ſils racheté des Corſaires, M’aſſeure d’auoir veu Conſtance à ſon départ;	Qui de Constantinople arrivé de ce pas, Pendant un tour ou deux qu'il fait pour ses affaires, M'alaissé ce sien sils racheté des Corsaires, M'assure d'avoir vu Constance à son départ;
Et deplus m’a rendu, cet écrit de ſa part;	Et déplus m'a rendu, cet écrit de sa part;
Dit qu’il n’arien au vray pu ſçauoir d’Aurelie, Mais qu'elle la croit morte.	Dit qu'il n'arien au vrai pu savoir d'Aurelie, Mais qu'elle la croit morte.
LELIE.	LELIE.
O fortune enemie!	Ô fortune enémie!
Qui iuſques en Turquie as eſté ſuſçiter Des moyens & des gens pour nous perſecuter!	Qui jusques en Turquie as été susaciter Des moyens et des gens pour nous persécuter!
ANSELME.	ANSELME.
Et ſouſtient qu'à Veniſe, en vne boſtellerie,	Et soutient qu'à Venise, en une bôtellerie,
Dieux!	Dieux!
LELIE.	LELIE.
ANSELME.	ANSELME.
Il a veu ſeruir ſous le nom de Sophie, Celle qui d’Aurelie vſurpe icy le nom.	Il a vu servir sous le nom de Sophie, Celle qui d'Ale vusurpe ici le nom.
ERGASTE.	ÉRGASTE.
Il vous en a bien dit?	Il vous en a bien dit?
i’ay tort, s’il a raiſon;	j'ai tort, s'il a raison;
Mais il eſt bien-aisé de vous faire paroiſtre, Que les fourbes ſont ceux qui m’accuſent de l’eſtrez Et ie veux que ſon fils vous demeure d’accord.	Mais il est bienaisé de vous faire paraître, Que les fourbes sont ceux qui m'accusent de l'estrez Et tu veux que son fils vous demeure d'accord.
De quo?	De quo?
ANSELME.	ANSELME.
ERGASTE, à Horace.	ÉRGASTE, à Horace.
Que i’ay raiſon, & que Geronte a tort.	Que j'ai raison, et que Géronte a tort.
Viença, ne nous ments point, ſur quelle coniecture Ton pere auance-t’il cette noire impoſture?	Viens, ne nous ments point, sur quelle conjeture Ton père avance-t-il cette noire imposture?
Voyez-vous qu’il ſe trouble, & dit en ſe taiſant, Que ſm pere eſt vn traiſtre, vn fourbe, vn mediſant,	Voyez-vous qu'il se trouble, et dit en se taisant, Que sm ère est un traître, un fourbe, un médisant,
ANSELME.	ANSELME.
Il n’entend pas la langue, & ne te peut répondre.	Il n'entend pas la langue, et ne te peut répondre.
ERAGSTE.	ERAGSTE.
Et bien luy parlant Turc, ie ſçay bien le confondre;	Et bien était parlant Turc, Seigneur sais bien le confondre;
Cabriſciam ogni Boraf, embuſaim Conſtantir nopola?	Cabrisciam ogni Boraf, embusaim Constantir nopolà?
LELIE.	LELIE.
O rare ôbraue Ergaſte!	Ô rare ôbraue Érgaste!
HORACE.	HORACE.
Ben Belmen.	Ben Belmen.
ne ſenſulez.	ne sensulez.
ANSELME.	ANSELME.
Et bien que veut-il dire?	Et bien que veut-il dire?
ERGASTE.	ÉRGASTE.
Qu'en vous en impoſant, ſon pere a voulu rire;	Qu'en vous en imposant, son père a voulu rire;
Qu’il eſt d’humeur railleuſe, & n’a iamais eſté {1	Qu'il est d'humeur railleuse, et n'a jamais été 
ANSELME.	ANSELME.
En quel lieu l’a-til donc racheté?	En quel lieu l'a-til donc racheté?
ERGASTE, à Horace.	ÉRGASTE, à Horace.
Carigat camboco, ma io oſlanſando?	Carigat camboco, ma jo oslansando?
HORACE.	HORACE.
Benſem Belmen.	Bensem Belmen.
ERGASTE.	ÉRGASTE.
A Lipſe en Negrepont.	À Lipse en Négrepont.
ANSEIME.	ANSEIME.
O teſte vieille & folle:	Ô tête vieille et folle:
Sçache par quel chemin ils ſont venus à Nole.	Sache par quel chemin ils sont venus à Nole.
ERGASTE.	ÉRGASTE.
Oſſaſando, nequei, nequet, poter leuer coſir Nola?	Ossasando, ney, nequet, poter lever côir Nola?
HORACE.	HORACE.
Sachina, Baſumbaſce, agrir ſe.	Sachina, Basumbasce, agrir se.
ERGASTE.	ÉRGASTE.
Il dit qu’on vient parmer, ſans paſſer par Veniſe.	Il dit qu'on vient parmer, sans passer par Venise.
ANSELME.	ANSELME.
La froide raillerie, & la franche ſottiſe!	La froide raillerie, et la franche sottise!
De veuir de ſi loin, & ſi mal à propos, Rire aux dépends des morts, & troubler leur repos.	De vuir de si loin, et si mal à propos, Rire aux dépends des morts, et troubler leur repos.
Quel ſiecle!	Quel siècle!
quelles mœurs, & quelle frencſie?	quelles mœurs, et quelle frencsie?
ERGASTE.	ÉRGASTE.
Il faudroit faire vn monde a voſtre fantaiſies N’eſt-ce pas de tout temps, & non pas d’auiourdhu Que touſiours quelque fou rit aux dépens d’autrun Au reſte en Negrepont, c’eſt vn art ordinaire D’imiter l’écriture, & de la contreſaires Et s’en eſtants inſtruits, ils peuuent ayſement Ou pour en éprouuer le diuertiſſement, Ou pour tirer de vous quelque reconnoiſſance, Auoir falſiſié la lettre de Conſtance.	Il faudrait faire un monde a vôtre fantaisies N'est-ce pas de tout temps, et non pas d'auiourdhu Que toujours quelque fou rit aux dépens d'autrun Au reste en Négrepont, c'est un art ordinaire D'imiter l'écriture, et de la contresaires Et s'en étant instruits, ils peuvent aisément Ou pour en éprouver le divertissement, Ou pour tirer de vous quelque reconnaissance, Avoir fallsisié la lettre de Constance.
ANSELME.	ANSELME.
I'ay creu qu’il auoit beus ſes yeux étincelants.	J'ai cru qu'il avait bus ses yeux étincelants.
Sa face enluminée, & ſes pas chancelants, Sembloient tacitement en rendre témoignage;	Sa face enluminée, et ses pas chancelants, Semblaient tacitement en rendre témoignage;
Le feu ſembloit ſur tout luy ſortir du viſage Et le vin qu’il ſoufloit m’aporté iuſqu’au nez,	Le feu semblait sur tout notre sortir du visage Et le vin qu'il soufflait m'apporté jusqu'au nez,
ERGASTE, à Horace.	ÉRGASTE, à Horace.
Ie le ſçauray bien-toſt.	Je le saurai bientôt.
Vienca.	Vienca.
Siati cacus naincon catalai mulai?	Siati cacus naincon catalai mulai?
Vare hecc.	Vare hecc.
HORACE.	HORACE.
ERGASTE.	ÉRGASTE.
Vous deuinez.	Vous devinez.
Il dit qu’ils ſont entrez dans vne hoflellerie, Où trinquant à l’honneur de leur chere patrie, Et d’vn peu de bon temps regalant leurs eſprits, Son pere en a tant pris, qu’il s’en eſt trouué pris:	Il dit qu'ils sont entrez dans une hoflellerie, Où trinquant à l'honneur de leur chère patrie, Et d'un peu de bon temps régalant leurs esprits, Son père en a tant pris, qu'il s'en est trouvé pris:
E'il n’en a peu ſortir ſans vne peine extreſme, Et ne pouuoit porter, n’y ſon vin n’y ſoy-meſme.	E'il n'en a peu sortir sans une peine extrême, Et ne pouvait porter, n'y son vin n'y soi-même.
ANSELME.	ANSELME.
I'en a-t’il pû tant dire en ſi peu de propos?	J'en a-t-il pu tant dire en si peu de propos?
ERGASTE.	ÉRGASTE.
Oüy, le langage Turc dit beaucoup en deux mots.	Oui, le langage Turc dit beaucoup en deux mots.
LELIE.	LELIE.
O tres illuſtre Ergaſtes eſprit inimitable!	Ô très illustre Ergastes esprit inimitable!
Sans toy noſtre ruine eſtoit ineuitable.	Sans toi notre ruine était inévitable.
ANSELME.	ANSELME.
Il vouloit rire enfin, & i'attends ſon retour, Pour luy rendre la piece, & pour rire à mon tour.	Il voulait rire enfin, et j'attends son retour, Pour lui rendre la pièce, et pour rire à mon tour.
Ameine Eraſte icy, va toſt.	Âmeigne Raste ici, va tôt.
Et vous Lelie, Allez voir Eroxene, & diſpoſez Orgie, A conſentir ce ſoir le ſuccez de vos vœux.	Et vous Lélie, Allez voir Eroxène, et disposez Orgie, A consentir ce soir le succès de vos vœux.
ERGASTE, s’en allant.	ERGASTE, s'en allant.
La defaite eſt plaiſante & la dupe en vaut deux!	La défaite est plaisante et la dupe en vaut deux!
SCENE VI.	SCÈNE VI.
GERONTE, ANSELME, HORACE,	GÉRONTE, ANSELME, HORACE,
Et vilANSELME.	Et vilANSELME.
GERONTE.	GÉRONTE.
Grace au Ciel à mes ſouhaits proſpere, Ayant paſſé chez moy, i’ay rencontré mon frere.	Grâce au Ciel à mes souhaits prospère, Ayant passé chez moi, j'ai rencontré mon frère.
Qui me ſolicitaut d’accepter ſon logis, M’oblige à reuenir, pour reprendre mon fils;	Qui me solicitaut d'accepter son logis, M'oblige à revenir, pour reprendre mon fils;
en vſois librement, excuſez ie vous prie	en usais librement, excusez Dieux vous prie
ANSELME.	ANSELME.
Geronte, vn mot de grace, apprend-on en Turquie Où dans le cabaret, aioüer ſes amys?	Géronte, un mot de grâce, apprend-on en Turquie Où dans le cabaret, aioüer ses amis?
GERONTE.	GÉRONTE.
En l’vn n’y lautre lieu, ie ne l’ay point appris;	En l'un n'y lautre lieu, je ne l'ai point appris;
Ce n’eſt point mon humeur.	Ce n'est point mon humeur.
ANSELME.	ANSELME.
Non;	Non;
ma fille ſeruante, V'n voyage en Turquie, & ma femme viuante, Tout ce conte à plaiſir eſt vne verité.	ma fille servante, V'n voyage en Turquie, et ma femme vivante, Tout ce conte à plaisir est une vérité.
GERONTE.	GÉRONTE.
Ie ne fais point de conte, & n’ay rien inuenté,	Je ne fais point de compte, et n'ai rien inventé,
ANSELME.	ANSELME.
Vous auez dites vous, veu Conſtance en Turquir?	Vous avez dites -vous, vu Constance en Turquir?
Vous oſez ſoûtenir, qu’Aurelie eſt Sophie!	Vous osez soutenir, qu'Aurelie est Sophie!
Vous parlez de Veniſe, & vous auez le front?	Vous parlez de Venise, et vous avez le front?
N’ayant qu’eſté par mer de Nole en Negrepons, De dire.	N'ayant qu'été par mer de Nole en Negrepons, De dire.
GERONTE.	GÉRONTE.
En Negrepont ô Dieu, la vaine fable!	En Négrepont ô Dieu, la vaine fable!
ANSELME.	ANSELME.
Voſtre fils qui la dit n’eſt donc pas veritable?	Votre fils qui la dit n'est donc pas véritable?
GERONTE.	GÉRONTE.
Quoyſans ſçauoir la lague, il peut vous l’auoir dit?	Quoisants Savoir la gué, il peut vous l'avoir dit?
ANSELME.	ANSELME.
Il nous a parlé Ture, que mon valet apprît, Seiournant ſur les lieux pour racheter ma femme.	Il nous a parlé Ture, que mon valet apprît, Séjournant sur les lieux pour racheter ma femme.
GERONTE.	GÉRONTE.
Soler?	Soler?
GERONTE, à Horace.	GÉRONTE, à Horace.
Man.	Man.
HORACE.	HORACE.
ANSELME.	ANSELME.
Et bien plus (choſe à voſtre âge inſame,) Que vous auez tantoſt treuué le vin ſi bon, Que vous n’en auez pas oublié la raiſon;	Et bien plus (chose à votre âge insame,) Que vous avez tantôt trouvé le vin si bon, Que vous n'en avez pas oublié la raison;
Mais en la faiſant trop, l’auez bien égarée, Vos diſcours m'en eſtoient vne marque aſſeurée.	Mais en la faisant trop, l'avez bien égarée, Vos discours m'en étaient une marque assurée.
GERONTE.	GÉRONTE.
à Horace.	à Horace.
Dieu!	Dieu!
qu’entends-ie?	qu'entends-je?
Ieruſalas adhuc moluc atoceras mariſto viſcelei Huni hauete carbulach.	Jérusalas ahuc moluc atocéras maristoût viscelei Huni havette carbulach.
HORACE.	HORACE.
Eracercheter biradam ſuledi, ben belmem, ne ſalodij.	Eracercheter biradam suledi, ben belmem, ne salodij.
GERONTE, à Anſelme.	GÉRONTE, à Anselme.
Croyez que voſtre ſeruiteur Deit eſtre vn maiſtre fourbe, vn inſigne aſſronteur!	Croyez que votre serviteur Déit être maître fourbe, un insigne assronteur!
ANSELME.	ANSELME.
Que vous dit il encor?	Que vous dit -il encor?
GERONTE.	GÉRONTE.
Qu’il n’a peu rien comprendre, A ce qu’vn de vos gens luy vouloit faire entendre,	Qu'il n'a peu rien comprendre, À ce qu'un de vos gens tu voulait faire entendre,
ANSELME.	ANSELME.
M’airoit-il attrapé, le traict ſerois ſubtil!	M'airait-il attrapé, le trait serais subtil!
Mais s’il ne l’entendois, que luy répondroit-ill	Mais s'il ne l'entendais, que lui répondrait-ill
GERONTE, à Horace.	GÉRONTE, à Horace.
Acciam ſembiliir bel mes, mic ſulmes?	Acciam sembiliir bel mes, mic sulâmes?
HORACE.	HORACE.
Acciem bien croch ſoler, ſem belmen, ſen crochſoler.	Acciem bien croch soler, sem belmen, sen crochsoler.
GERONTE.	GÉRONTE.
Qu’il ne l’entendoit point, & croy que ſon langage N’eſtoit qu’vn faux iarģon qui n’eſt point en vſage.	Qu'il ne l'entendait point, et crois que son langage N'était qu'un faux jaron qui n'est point en usage.
Croyez encor vn coup qu’il eſt vn faux vaut-rien, Vn fourbe, vn archi-fourbe, & gardez-vous en biem Ie vous ſuis innutile, & vais trouuer mon frere.	Croyez encor un coup qu'il est un faux vautrien, Un fourbe, un archi-fourbe, et gardez-vous en bièm Je vous suis innutile, et vais trouver mon frère.
Adieu.	Adieu.
AVLEIIE.	AULEIE.
Iuſqu’au reuoir, le Ciel vous ſoit proſpere,,	Jusqu'au revoir, le Ciel vous soit prospère,
SCENE VII.	SCÈNE VII.
ANSELME, ſeul.	ANSELME, seul.
EE leurs filets, enfin, ie n’ay pû m’affranchir, E La prudence n’eſt pas ce qui me ſait blanchir;	CE leurs filets, enfin, je n'ai pu m'affranchir, La prudence n'est pas ce qui me sait blanchir;
Auec mes cheueux gris, auecques ma vieilleſſe, Ie treuue que ie perds & finance & ſineſſe;	Avec mes cheveux gris, était ma vieillesse, Je trouve que personne perds et finance et sinesse;
Et duppé que ie ſuis intordit & conſus, Perdant encor le ſens, ne perdreus gueres plus;	Et dupé que ici suis intordit et consus, Perdant encor le sens, ne perdreus guère plus;
Ils m'ont tous aſfronté, chacun d’eux y conſpire;	Ils m'ont tous asfronté, chacun d'eux y conspire;
Mais ſi ie ne m’en vange, ils auront lieu d’en rire;	Mais si ici ne m'en venge, ils auront lieu d'en rire;
Et ſur tout, on verra rougir de mon affront, Les eſpaules d’Ergaſte, außi bien que mon front.	Et sur tout, on verra rougir de mon affront, Les épaules d'Érgaste, aussi bien que mon front.
AETE I SCENE PREMIERE.	AETE I CÈNE PREMIÈRE.
LELIE, ERGASTE.	LELIE, ERGASTE.
ERGASTE.	ÉRGASTE.
Race au Ciel, la tempeſte enfin s’est appaiſée, N' Ce vent impetueux s’eſt reduit en fumée;	Race au Ciel, la tempête enfin s'est apaisée, N' Est Culent impétueux s'est réduit en fumée;
Et i’ay de voſtre ſort, auec art redreſſé L’edifice penchant, & preſque renuerſé.	Et j'ai de votre sort, avec art redressé L'édifice penchant, et presque renversé.
LELIE.	LELIE.
Ce malheureux vieillard ſãs deſſein de nous nuir:	Ce malheureux vieillard sans dessein de nous nuir:
Et d’vn ame ingenue, a penſe tout détruire;	Et d'autre âme ingénue, a pense tout détruire;
Mais ton langage Turc en a pare le coup.	Mais ton langage Turc en a pare le coup.
ERGASTE.	ÉRGASTE.
Vne faurbe à propos quelquesfois vaut beauceup.	Une faurbe à propos quelquefois vaut beauceup.
Ie ne ſç ay quel genie, en ce beſoin extréme, Me dictoit vn iargon que i’ignore moy meſme;	Je ne s ais quel génie, en ce besoin extrême, Me ditait un jargon que j'ignore moi -même;
Mais ie ſuis aſſeuré que ie ne luy parlois, Perſan, Turc, Eſelauon, Arabe, ny Chinois;	Mais ie suis assuré que ici ne lui parlais, Persan, Turc, Eselavon, Arabe, Seigneur Chinois;
Et que s’il m’eût enquis du chemin de Turquie, I'euſſe eſté bien meſlé dans ma Geographie;	Et que s'il m'eût enquis du chemin de Turquie, J'eusse été bien mêlé dans ma Géographie;
I’euſſe bien veu du monde, & ſans ſçauoir par où, Arpenté le Iappon, l'Egypte, & le Perou.	J'eusse bien vu du monde, et sans savoir par où, Arpenté le Japon, l'Égypte, et le Pérou.
Enfin.	Enfin.
Muis qu’eſt-cecy?	Muis qu'est-ceci?
cette femme à ſa mine, Doit de l’urquie encor eſtre vnc pellerine, Ie croy que le grand Iurc, né pour nous tourmenter, Les enuoye à deſſein pour nous perſecuter.	cette femme à sa mine, Doit de l'urquie encor être unc ellerine, Je crois que le grand Jurc, né pour nous tourmenter, Les envoie à dessein pour nous persécuter.
SCENE II.	SCÈNE II.
CONSTANCE, LELIE, ERGASTE.	CONSTANCE, LELIE, ERGASTE.
CONSTANCE, veſtuë à la Turque.	CONSTANCE, vêtue à la Turque.
&S Bligez-moy, Meßieurs, de me tirer de peine, MAnſelme est-il viuant?	ETS Bligez-moi, Messieurs, de me tirer de peine, MAnselme est-il vivant?
ERGASTE.	ÉRGASTE.
Ma doute n’eſt point vaine;	Ma doute n'est point vaine;
Les Turcs ſont auiourd uy déchainez contre nous.	Les Turcs sont aujourd' hui déchainez contre nous.
LLLIE.	LLLIE.
Il ſe porte fort bien, que luy deſirez vous?	Il se porte fort bien, que mou rirez -vous?
CONSTANCE.	CONSTANCE.
Et Lelie, vn ſien fils?	Et Lélie, un sien fils?
LELIE.	LELIE.
Mieux encor que ſon pere.	Mieux encor que son père.
CONSTANCE.	CONSTANCE.
Qu'auec iuſte raiſon ô Ciel ie te reuere!	Qu'avec juste raison ô Ciel ie te révère!
Et que ie ſuis tenus à ta rare bonté!	Et que ici suis tenus à ta rare bonté!
LELIE.	LELIE.
Quel ſort vous intereſſe encor en leur ſanté?	Quel sort vous intéresse encor en leur santé?
CONSTANCE.	CONSTANCE.
Helait i’ay grand ſuiet d en paroiſlre rauie?	Hélait j'ai grand sujet d en paroisre ravie?
ERGASTE.	ÉRGASTE.
Ne voila pas encor des traits de la Turquie, Ce malheureux pais, ſi fatal aux Chreſtiens, Si fertile en tous maux, ſi ſterile en tous biens!	Ne voilà pas encor des traits de la Turquie, Ce malheureux pais, si fatal aux Chrétiens, Si fertile en tous maux, si stérile en tous biens!
Quel bon office enfin ont-ils lieu de vous rendre?	Quel bon office enfin ont-ils lieu de vous rendre?
Et quel eſt voſtre nom, ne pouuons nousl’apprendre?	Et quel est votre nom, ne pouvons nousl'apprendre?
CONSTANCE.	CONSTANCE.
Ma venuë a tous deux importe au dernier poinct Mais c’eſt vn intereſt, qui ne vous touche point.	Ma venue à tous deux importe au dernier point Mais c'est un intérêt, qui ne vous touche point.
LELIE.	LELIE.
Plus que vous ne penſez, puis-que ie ſuis Lelie.	Plus que vous ne pensez, puis-que sans suis Lélie.
CONSTANCE, l’embraſſant.	CONSTANCE, l'embrassant.
Leliel à qui le ſang d’vn ſi cher nœud me lie, L’heureux fruit de mes vœux, de mon lit, de mon flanc:	Léliel à qui le sang d'un si cher nœud me lie, L'heureux fruit de mes vœux, de mon lit, de mon flanc:
Lelie, enfin mon fils, & le ſang de mon ſang.	Lélie, enfin mon fils, et le sang de mon sang.
ERGASTE.	ÉRGASTE.
Voicy le coup fatal qui nous met hors d’eſcrime!	Voici le coup fatal qui nous met hors d'escrime!
Et nous voila tombez, d'vn gouffre en vu abiſme.	Et nous voilà tombez, d'un gouffre en vu abîme.
LELIE.	LELIE.
Quoy vous eſtes ma mere!	Quoi vous êtes ma mère!
ô dure loy du ſort, Qui meſtez l’amertume à cet beureux tranſport.	ô dure loi du sort, Qui mettez l'amertume à cet beureux transport.
Et dont l’ordre fatal veut que dans la naturé, On ne gouſte iamais de douceur toute pure!	Et dont l'ordre fatal veut que dans la naturé, On ne goûte jamais de douceur toute pure!
En recouurant vn bien, qui m'eſt ſi precieux, Ie perds le plus grand bien que ie tenois des Cieux Pour voir naa mere, belas!	En recouvrant un bien, qui m'est si précieux, Je perds le plus grand bien que ici tenais des Cieux Pour voir na mère, bêlas!
i’euſſe expoſé ma vie, Et voudrois la voyant, qu’elle me fût rauie, Ce m’eſt vn deſeſpoir ſenſible au meſme point, Que l’ennuy de la voir, & de ne la voir point.	j'eusse exposé ma vie, Et voudrais la voyant, qu'elle me fût ravie, Ce m'est un désespoir sensible au même point, Que l'ennui de la voir, et de ne la voir point.
Quoy, vous eſtes Conſtance?	Quoi, vous êtes Constance?
CONSTANCE.	CONSTANCE.
Oüy cette infortunée.	Oui cette infortunée.
