Au Lecteur, ſur l’Argument de la Tragedie.	Au Lecteur, sur l'Argument de la Tragédie.
Ce ſont ceux qui liberaux donnent Le fer contre la cruauté.	Ce sont ceux qui libéraux donnent Le fer contre la cruauté.
Ils arment les mains imbecilles D'vn paſteur, où bien d'vn enfant Pour empeſcher le ſang des villes, Comme par vn miracle grand.	Ils arment les mains imbecilles D'un pasteur, où bien d'un enfant Pour empêcher le sang des villes, Comme par un miracle grand.
Et pour puair la fiere audice, D’vn eſtranger ambitieux, Il excite contre ſa face L'onde, l’air, la terre, & les cieux.	Et pour puair la fière audice, D'un étranger ambitieux, Il excite contre sa face L'onde, l'air, la terre, et les cieux.
ACTE III.	ACTE III.
Le Conte du Saffort.	Le Conte du Saffort.
G’acidas Anglois.	G'acidas Anglais.
La Pucelle.	La Pucelle.
Le Conte du Suffort.	Le Conte du Suffort.
Noeurs laſches, cœurs faillis, ſaineans, odieux U Timides, deſarmiZ ſugitiſs, peu ſoieneux Serfs tout eſpouuẽtez, ſani bras ſans cœur, ſans ame Ennemis des combats, du ſang, du ſer, des ſlammes,	Noeurs lâches, cœurs faillis, saineants, odieux V Timides, désarmise sugitiss, peu soyeneux Serfs tout espouuẽtez, sani bras sans cœur, sans âme Ennemis des combats, du sang, du ser, des slammes,
Qu'eſt-ce que nous penſons, que veut ce changenẽt Ce courage dompté, ce triſte tremblemeni Qui nous paliſt de peur & la main & la ſace?	Qu'est-ce que nous pensons, que veut ce changenêt Ce courage dompté, ce triste tremblemeni Qui nous palist de peur et la main et la sace?
Qui nous gele plus fort que la getique glace?	Qui nous gèle plus fort que la gétique glace?
Auons nous donc plonge dans le ſleuue d’oubly Nos heroiques faits, n’auons nous plus ſoucy De nos belles vertus de nos ſorces premieres, De noſtre Anglique nom, des nos œuures guerrieres;	Avons nous donc plonge dans le sleuue d'oubli Nos héroïques faits, n'avons nous plus souci De nos belles vertus de nos sorces premières, De notre Anglique nom, des nos œuvres guerres;
Quoy, quoy nous aprenons de mon flrer noſtre dos, A l’œil de l’ennemy qui du ſer ſaus repos, Nous ſed l’eſchine en deux qui nous l’ouure d’vlun Pourſuyuant furieux nos troupes cagnardieres.	Quoi, quoi nous apprenons de mon flérer notre dos, À l'œil de l'ennemi qui du serv saus repos, Nous zed l'échine en deux qui nous l'ouvre d'une Poursuivant furieux nos troupes cagnardières.
Et encor, ô malheur, trois ſois malheur, malheur, Vne ſemme de nous ſe vante le vainqueur.	Et encor, ô malheur, trois sois malheur, malheur, Une semme de nous se vante le vainqueur.
Ha pour vaincre l’ardeur d’vne meſchante fille Nous auons eſtonnez la dextre trop debile?	Ha pour vaincre l'ardeur d'une méchante fille Nous avons étonnés la dextre trop débile?
Ou lors qu’il faut mener vne nocturne guerre Ou batre en meſurant d'vn pied leger la terre Nous nous mettons à table & eutre les beaux ieux Couronnons les hanaps du bon pere moiteux, Nous auons quelques ſois quitte noſtre patrie Pour achapter l’honneur aux deſpens de la vie:	Ou lors qu'il faut mener une nocturne guerre Ou battre en mesurant d'un pied léger la terre Nous nous mettons à table et eutre les beaux jeux Couronnons les hanaps du bon père moiteux, Nous avons quelques sois quitte notre patrie Pour achappter l'honneur aux dépens de la vie:
Coupe les ſlots ſalez du vieil pere des eaux, Traine auecques nous à cent cheſnes les naux, Couucrt les champs d’eſcus, de lances & de dardi, Voilé les longs ehemins de rouges eſtendars Porte la teſie au pied des ſuperbes chaſteaux, Fait craqueter les champs ſous les pieds des cheus He, que vaut tout cela ſi nous laiſſons reprendre Le los deſia acquis que chacun doit deſſendre?	Coupe les slots salez du vieil père des eaux, Traine avec nous à cent chaînes les naux, Couvrt les champs d'écus, de lances et de dardi, Voilé les longs ehémins de rouges étendards Porte la témie au pied des superbes chasteaux, Fait craqueter les champs sous les pieds des champs He, que vaut tout cela si nous laissons reprendre Le los déjà acquis que chacun doit dessendre?
Si le ſort eunnemy nous contraint renager Les oudes de rechef pour crainte du danger?	Si le sort eunnemi nous contraint renager Les oudes de rêches pour crainte du danger?
Si laſches nous ſuyous abandonnant la guerre, Teus nudr & tous greſlez au bord de noſtre terre	Si lâches nous suyous abandonnant la guerre, Teus nudr et tous grêlé au bord de notre terre
Ce n'eſt pas ſeulement de ce temps que l'Anglois A taſche ſurmonter le ſceptre du François:	Ce n'est pas seulement de ce temps que l'Anglais A tâche surmonter le sceptre du Français:
Tes murs, ô ſain Paris, tes tours hauts eſleuees Ont eſte maintesſois de nos mains esbranchees:	Tes murs, ô sain Paris, tes tours hauts esleuees Ont este maintessois de nos mains ébranchées:
Vous villes qui lauez veſtre pied ſur le bord Et de Loire & de Saine à l’ondre qui s’endort, Vous auez bien ſouuent ſenty noſtre puiſſance Rangees ſous le ioug de noſtre obeiſſance:	Vous villes qui lavez vêtre pied sur le bord Et de Loire et de Saine à l'ondre qui s'endort, Vous avez bien souvent senti notre puissance Range sous le joug de notre obéissance:
Mais que vaut ce diſcourn?	Mais que vaut ce discourn?
que vaut ſe ſouuenir Si couards maintenant nous n’oſons ſonſtenir Les bras de l’ennempoſi nous perdons courage, Et ſi nous palliſſons deuant ſon ſier viſage?	que vaut se souvenir Si couards maintenant nous n'osons sonstenir Les bras de l'ennemposi nous perdons courage, Et si nous pâlissons devant son sier visage?
Dira l’on que l’Anglois eſt vn peuple orgueilleux Qui ſe promet en ſonge & la mer & les Cieux?	Dira l'on que l'Anglais est un peuple orgueilleux Qui se promet en songe et la mer et les Cieux?
Qut rafne reme per ier tnats politiques, Des Empires puiſſans les belles Republiques?	Quant rafne reme per jer nats politiques, Des Empires puissants les belles Républiques?
Et penſant triompher deſſus le char vainqueur Remporte en ſon pays vn vilain deshonneur.	Et pensant triompher dessus le char vainqueur Remporte en son pays un vilain déshonneur.
Non, non, il ſaut dreſſer plus hautement nos cornes, Il faut planter plus haut que l’Alcide noibornes, Si ce iour l’ennemy nous a contraint courir, Demain il le faudra coñtraindre de mourir.	Non, non, il saut dresser plus hautement nos cornes, Il faut planter plus haut que l'Alcide naibornes, Si ce jour l'ennemi nous a contraint courir, Demain il le faudra coñtraindre de mourir.
Ny tes enchantemens, execrable Medee, » Vy ta Theſſale voix ny ta ſorme empruntee, " Ny ton onde auerualle ou tes Colchiques ſeux », Ne te pourront ſauuer des fleuues ſtigieux.	Ni tes enchantements, exécrable Medee, " Vi ta Thessale voix Seigneur ta sorme emprunte, " Ni ton onde avervalle ou tes Colchiques seux ", Ne te pourront sauver des fleuves stigieux.
, Tu peux bien comme on dit arreſter les riuieres », Appeller les ruiſſeaux, & leurs ſources premieres, » Tirer du ciel la Lune & par ton noir venin, Faire parler l’aurore & noircir l’Appennin Mais tu ne pourras point auecque ta Megere Ton Hœcate, ta nuict, Theſſalique ſorciere Ny auec tus dragons, tes foſſes, tes flambeaux, Tes autels enſouphrez tes roües, tes tombeaux Tec bt bes d’Eridan ou d’Emphriſe ou d'Empie OuuuiIlie ſur Pinde à la cime gelee, D'ſole ueneneuſe, oude ton Ibenie Nous raair par ton charme, & le cœur & la vit Fay ce que tu voudras, inſpire les François Tu ſentirus demain la ſorce des Anglois, Tu deſſeudi as reuoir les trois ſœurs inſernallez Pour eſtre à tout iamais entres les ombres paſlet.	, Tu peux bien comme on dit arrêter les rivières ", Apeler les ruisseaux, et leurs sources premières, " Tirer du ciel la Lune et par ton noir venin, Faire parler l'aurore et noircir l'Apennin Mais tu ne pourras point avec ta Megère Ton Hœcate, ta nuit, Thessalique sorcière Ni avec tus dragons, tes fosses, tes flambeaux, Tes autels ensouphrez tes rés, tes tombeaux Tec s d'Eridan ou d'Emphrise ou d'Emp OuuuiIlie sur Pinde à la cime gelée, D'ô ueneneuse, oude ton Ibenie Nous raair par ton me, et le cœur et la vit Fay ce que tu voudras, inspire les François Tu sentirus demain la sorce de Anglois, Tu desseudi as reuoir les trois sœurs insernallez Pour être tout iamais entres les ombres paslet.
Glacidas Anglois.	Glacidas Anglais.
Monſeigeur, courez toſt be voicy l’ennemy:	Monseigeur, courez tôt be voici l'ennemi:
Il n’eſt pas de beſoin de retarder icy.	Il n'est pas de besoin de retarder ici.
Las il tue, il prend tout, tout ſuit deuant ſa ſace Pluſieurs que pris que morts giſent deſſus la place vne ſemme enragre vne peſte vn degaſt Vn tonnerre, vn malbour ſous les armes abat Des ſoidats plus vaillaus elle eſt preſque maiſtreſſe Armez vous viſſement & courez à la preſſe.	Las il tue, il prend tout, tout suit devant sa sace Plusieurs que pris que morts gisent dessus la place homme semme enragre une peste un dégât Un tonnerre, ain si sous les armes abat Des soidats plus vaillaus elle est presque maîtresse Armez vous vissement et courez à la presse.
Le Conte du Suffort.	Le Conte du Suffort.
Que me racoutez vous ' ba qu'eſt-ce que j’ententt	Que me racoutez -vous ' a qu'est-ce que j'ententt
Glacidas.	Glacidas.
Ce qui eſ uveritable, be Dieux il n'eſt plus teme De vous ſi ber icy, courez ie vous en prie.	Ce qui es ouvéritable, be Dieux il n'est plus teme De vous si ber ici, courez croire vous en prie.
Le Conte du Suffort.	Le Conte du Suffort.
O peſte abominable inſernalle ſurie Tace deſlix ombreux, tu teindras, tu teindras Ce glaiut de ton ſang.	Ô peste abominable insernalle sur Tace délix ombreux, tu teindras, tu teindras Ce glaiut de ton sang.
ce harnois, ce mien bias.	ce harnais, ce mien bias.
La Pucelle.	La Pucelle.
O* c’eſt aſſez inos champs ſemez de bras de teſues Teſmoignent les honneurs de nos ſaintes conqueſte.	O* c'est assez inos champs semés de bras de tesues Témoignent les honneurs de nos saintes conquête.
L’eſt aſlez:	L'est aslez:
l’eunemy ne ſe pourra vanter Enſouyr ſous les banquets, qu’il a peu remporter Les lauriers arrachez de nos terres ſertilles, A yenot ſors rempats, nos citez, & nos villes, lleng eſſe la pleine, & ſes pariures os Rochers d'Eucaliens enſtent ores les corps Des vautours aſſamez les oiſeaux de rapine Le loup contre le loup pour ſon ſang ſe mutine:	l'eunemi ne se pourra vanter Ensouir sous les banquets, qu'il a pu remporter Les lauriers arrachés de nos terres sertilles, À yenot sors rempats, nos citez, et nos villes, lleng esse la pleine, et ses parjures os Rochers d'Eucaliens enstent ores les corps Des vautours assamés les oiseaux de rapine Le loup contre le loup pour son sang se mutine:
Et rompant en morceaux ſes membres ſerpentins Enrougiſſent les dents & l’ongle des maſtins:	Et rompant en morceaux ses membres serpentins Enrougissent les dents et l'ongle des mâtins:
Ceux qui taſchoyẽt d’ouurir les tõbeaux de nos peres Donner la cendre au vent, nous combler de miſeres, Nous arracher la vie, & nos propres maiſons, Nous ietter pour paſture au ventre des poiſſons, Teindre nos fleuues ſaints de nos liquides ames, Nous ſaire deuorer à la bouche des ſlammes, Nous porter ſur les yeux le fer enſanglanté, Nous rauir en mourant l’honneur de chaſteté.	Ceux qui tâchaient d'ouvrir les tombeaux de nos pères Donner la cendre au vent, nous combler de misères, Nous arracher la vie, et nos propres maisons, Nous jeter pour pâture au ventre des poissons, Teindre nos fleuves saints de nos liquides âmes, Nous zaïre dévorer à la bouche des slammes, Nous porter sur les yeux le fer ensanglanté, Nous ravir en mourant l'honneur de chasteté.
Ceux ceux, ont endure les tourmés, & les peints Q’ils ourdiſſoyẽt deſia de leurs mains inhumaines.	Ceux ceux, ont endure les tourmés, et les peints Qils ourdissoyẽt déjà de leurs mains inhumaines.
S’en eſt fait auiourd’huy ce glaiue martial Ce heaume, ce harnois d’Acbate treſloyal De mon corps, de mes doigts, de mon fõt de ma teſte Seignent de ſa rougeur leur peril, leur deffaite Orleans qui es ceint d’un mur Dardanien Ouurage me ueilleux du blond Lathonien Qui te laue les pieds dans le ſleuue de Loire Nourriſſe de Bacbus, de Parnaſſe la gloire Mere alme de Ceres & ſille de Iuppin, Ne crains doreſnauant que le ſoldat mutin, Eibranche ce tien front & que l’Angloiſe audace D’vn canon enſouſſit tanne deuant ia ſace.	S'en est fait aujourd'hui ce glaive martial Ce heaume, ce harnois d'Acbate trèsloyal De mon corps, de mes doigts, de mon front de ma tête Seignent de sa rougeur leur péril, leur défaite Orleans qui es te d'un mur Dardanien Ouvrage me ueilleux du blond Lathonien Qui te laue les pieds dans le sleuue de Loire Nourrisse de Bacbus, de Parnasse la gloire Mère alême de Ceres et sille de Jupin, Ne crains dorénavant que le soldat mutin, Eibranche ce tien front et que l'Angloisera canon ensoussit tanne au sace.
Et vous mes cheres ſœurs dont la ſaiute beauté Couronne les honneurs de voſtre chaſteté Qui viuez comme moy ſous les loix de Lucine, Qui portez le bandeau deuant voſtre poitrine, Ne redoutez l’effort du peuple cauteleux, Les ruiſſeaux de vos yeux ne decouleront plus De trainte qu’vn auy ne tombe ſur la b'ecbe	Et vous mes chères sœurs dont la saiute beauté Couronne les honneurs de votre chasteté Qui vivez comme moi sous les lois de Lucine, Qui portez le bandeau devant votre poitrine, Ne redoutez l'effort du peuple cauteleux, Les ruisseaux de vos yeux ne découleront plus De trainte qu'un avi ne tombe sur la b'ecbe
Ouuert de part en part d’vnc mortelle ſlecbe.	Ouvert de part en part d'vnc mortelle slecbe.
Toy ſleuue roul’argent, aym-or, porte bateaux Tu n’abreueras plus l’eſtranger de tes eaux:	Toi sue roul'argent, aim-or, porte bateaux Tu n'abreveras plus l'étranger de tes eaux:
Tu ne ſeras contraint le trainer ſur l’eſchine, Ils habite la bas auecque Proſerpine.	Tu ne seras contraint le trainer sur l'échine, Ils habite la bas avec Proserpine.
Et plonge dans les eaux du Cocyte puant De ſa deſloyauté rend conte maintenant.	Et plonge dans les eaux du Cocyte puant De sa déloyauté rend compte maintenant.
Et que reſte il donc plus?	Et que reste il donc plus?
pour ceux-cy s’en eſt ſait ceux qui ſont eſchapez deteſtent leur uecheſ, Maudiſſans leur eſpoir, accuſans leur ſolie Et baignans de leur ſang le bord de leur patrie.	pour ceux-cy s'en est sait ceux qui sont échappez détestent leur ueches, Maudissants leur espoir, accusans leur solie Et baignants de leur sang le bord de leur patrie.
Le François e monſtré qu’il auoit meſme cœur, Meſme bras, meſme acier pour ſe rendre vainqueur Du peuple fils de l’eau, de Gnyde, de (ythere coüard, effemine, remply de vitupere.	Le Français é monstré qu'il avait même cœur, Même bras, même acier pour se rendre vainqueur Du peuple fils de l'eau, de Gnyde, de (ythere couvard, effemine, rempli de vitupère.
Or leur race aoprendra au ſunebre danger, Que c’eſt que s’attaquer à vn peuple eſtranger, Et ſou mettant du tout ſon orgueilleux courage Au peril enduré des ſiens deuiendra ſage.	Or leur race aprendra au sunebre danger, Que c'est que s'attaquer à un peuple étranger, Et sou mettant du tout son orgueilleux courage Au péril enduré des siens deviendra sage.
Ses voiſins trembleront au ſeul nom du Françoü:	Ses voisins trembleront au seul nom du Françoü:
Neptune n’oſera ſur ſoy trainer l’Anglois:	Neptune n'osera sur soi trainer l'Anglais:
Les peres effroyez peſcheront d’heure en heure Leurs enfans de gar der le lieu de leur demeure:	Les pères effroyés pêcheront d'heure en heure Leurs enfants de gar der le lieu de leur demeure:
I a meurtriere Erymis leur paſlira le front, Ieur laſthera les nerfi, & pour tout iſs n’auront Que ſes mols odieux, & leur liquide terre François, Loire, Orleans, eſcus, armes, & guerre.	I a meurtrière Erymis leur pâlira le front, Jeur lasthera les nerfi, et pour tout iss n'auront Que ses mols odieux, et leur liquide terre Français, Loire, Orleans, écus, armes, et guerre.
LE CHOEVR.	LE CHOEUR.
Vi a-il plus inconſtant 2Que le cours de noſtre vie, Qui va touſiours combatant Contre la peur & l’enuie?	Vi a-il plus inconstant 2Que le cours de notre vie, Qui va toujours combattant Contre la peur et l'envie?
Comme les eaux des riuieres, Ore douces, dre fieres, Sans meſure & ſans çompas.	Comme les eaux des rivières, Ore douces, dre fières, Sans mesure et sans çompas.
Et lon voit tout ſe changer Dans vn rien, & d’heure en heure:	Et lon voit tout se changer Dans un rien, et d'heure en heure:
Le vent n’eſt pas ſi leger Que le ſort de la nature:	Le vent n'est pas si léger Que le sort de la nature:
Celuy qui tant bien portoit La palme en rond ſur ſa teſte, Et qui par elle domptoit D’Hernion la froide peſte.	Celui qui tant bien portait La palme en rond sur sa tête, Et qui par elle domptait D'Hernion la froide peste.
Qui chantoit enuironnee Des honneurs de ſa victoire, en drea iliorcanea sans los.	Qui chantait environnée Des honneurs de sa victoire, en drea iliorcanea sans los.
ſans nom & ſans gloire.	sans nom et sans gloire.
Ainſi le Romain vainqueur Deuant les forces d’actie, Fut contraint perdant le cœur En fin ſe couper la vie:	Ainsi le Romain vainqueur Deuant les forces d'actie, Fut contraint perdant le cœur En fin se couper la vie:
Le gendarme Tyrien, La Princeſſe Egiptienne, L’armé poiſſon Cytien La race Dardanienne.	Le gendarme Tyrien, La Princesse Égiptienne, L'armé poisson Cytien La race Dardanienne.
Rien ne ſe tourne ſi toſt, Que le globe de noſtre eſtre:	Rien ne se tourne si tôt, Que le globe de notre être:
Celuy qui eſtoir tantoſt Foible ſerf deuiendra maiſtre.	Celui qui estoir tantôt Faible serf deviendra maître.
La fortune dans les mains Souſtient la corne Amathee, Et fiche ſes pieds ſoudains Sur vne rouë geſnee.	La fortune dans les mains Soustient la corne Amathée, Et fiche ses pieds soudains Sur une rouée gênée.
Si elle ſoulage l’vn Al’inſtant elie l’abaiſſe:	Si elle soulage l'un Al'instant elie l'abaisse:
Et par ſon change commun, Elle tourne tour ſans ceſſe.	Et par son change commun, Elle tourne tour sans cesse.
Mais les Dieux iuges égaux Qui dardent leurs yeux en terre, Apres vn gouffre de maux De peſte, de faim, de guerre.	Mais les Dieux juges égaux Qui dardent leurs yeux en terre, Apres un gouffre de maux De peste, de faim, de guerre.
Ne quittent iamais leur ſanc Qui palliſt par la triſteſſe, Ils changent ſoudainement La perte de tour en lieſſe.	Ne quittent jamais leur sanc Qui pallît par la tristesse, Ils changent soudainement La perte de tour en liesse.
ACTE IIII.	ACTE IIII.
Le Seigneur Talbot Anglois.	Le Seigneur Talbot Anglais.
Allide.	Allide.
Le Seigneur Talbot.	Le Seigneur Talbot.
Ieu!	Jeu!
qu’eſt-ce cy quelle triſte fortune?	qu'est-ce cy quelle triste fortune?
munt I vuel malheur?	munt I Juel malheur?
quel danger?	quel danger?
quelle perte tom Quelle fin miſerable ?	quelle perte tom Quelle fin misérable ?
& quel rouge courroux Des immortels ça bas ſe tourne contre nous?	et quel rouge courroux Des immortels ça bas se tourne contre nous?
Las que dis-ie, que ſis-ie, & que veux ie à cet heurci Helas ie ne ſuis plus qu’vne morte ſlature?	Las que dis-je, que sis-je, et que veux ici à cet heurci Hélas ie ne suis plus qu'une morte slature?
Ie ne ſuis qu’vn Idole ou qu’vn cheſne Indien A qui les aquilons inſpirent le moyen De pa ler en ſa mort, ie ne me ſens moy-meſme Paſte defigure plus que la Parque bleſme.	Je ne suis qu'un Idole ou qu'un chaîne Indien À qui les aquilons inspirent le moyen De pay ler en sa mort, je ne me sens moi-même Pâte défigure plus que la Parque blême.
Le ſang gelle en mes nerſs:	Le sang gelle en mes nerss:
la ſorce me deſfaut:	la sorce me défaut:
Je ſuis cil que mourant, de mourir ne ſe chaut.	Je suis cil que mourant, de mourir ne se chaut.
Doncques, ô ſier malheur, nos armees Aagloiſes Empourprent de leur ſaug les capaignes Fraçoiſts, Les ſleuues agitez lrainent deſſus les eaux Nos harnois, nos boucliers, nos aßerez couſleaux,	Donc, ô sier malheur, nos armées Aagloises Empourprent de leur saug les capagnes Fraçoists, Les sues agités lrainent dessus les eaux Nos harnais, nos boucliers, nos agréés couleaux,
Et mille corps vaillans giſans deſſus leurs targes, Bordent de tous coſiez d’eſcume les riuages.	Et mille corps vaillants gisants dessus leurs targes, Bordent de tous cosiés d'écume les rivages.
Nos amis ont vomy entre vn eſſein de dards.	Nos amis ont vomi entre un essein de dards.
Leurs eſprits genereux balus de toutes parts;	Leurs esprits généreux balus de toutes parts;
O triſte ſouuenir, oextreme miſere:	Ô triste souvenir, oextrême misère:
O comble de malheur, ô perte iournaliere Pourquoy reſpiray-ie or pourquoy mes paſles yeux Regardent ils ſ’azur de la voute des Cieux?	Ô comble de malheur, ô perte journalière Pourquoi respirai-je or pourquoi mes pâles yeux Regardent ils s'azur de la voute des Cieux?
