CLIMENE.	CLIMENE.
LE MAGICIEN.	LE MAGICIEN.
Aeeme jaepa momin.	Aeme jappa momin.
Arreſte ie te prie,	Arrête Seigneur te prie,
LIRIDAS.	LIRIDAS.
Me la feras tu voir?	Me la feras -tu voir?
LE MAGICIEN.	LE MAGICIEN.
Tu t’en puis aſſeurer s’il eſt en mon pouuoir, Mais que demande-tu?	Tu t'en puis assurer s'il est en mon pouvoir, Mais que demande-tu?
LIRIDAS Retire de la preſſe De tant d’eſprits errans, celuy de ma maiſtreſſe, Et fais qu’ayant quitté le Royaume des morts, Il remonte là haut pour r’animer ſon corps, Afin qu’apres ie puiſſe eſpouſer ma Climene.	LIRIDAS Retire de la presse De tant d'esprits errants, celui de ma maîtresse, Et fais qu'ayant quitté le Royaume des morts, Il remonte là haut pour ranimer son corps, Afin qu'après ie puisse épouser ma Climène.
LE MAGICIEN.	LE MAGICIEN.
Helas!	Hélas!
on ne le peut, cette demande eſt vaine, Les Dieus n’ont pas permis à noſtre humanité De produire vn effet de la diuinité, Vn mortel ne ſçauroit reſtituer la vie, Lors que noſtre deſtin vne fois l’a rauie.	on ne le peut, cette demande est vaine, Les Dieus n'ont pas permis à notre humanité De produire un effet de la divinité, Un mortel ne saurait restituer la vie, Lors que notre destin vne fois a rauie.
LIRIDAS.	LIRIDAS.
Ces becits mots plains de feird que tu tends comme appas, En ton diſcours trompeur, ne m’abuſeront pas, Fais reuiure Climene, ou ſinon pour ſupplice Ie veus preſentement que ta vie finiſſe.	Ces becits mots plains de feird que tu tends comme appas, En ton discours trompeur, ne m'abuseront pas, Fais revivre Climène, ou sinon pour supplice Je veux présentement que ta vie finisse.
LE MAGICIEN.	LE MAGICIEN.
Comment pourray-ie faire afin de le tromper?	Comment pourrai-je faire afin de le tromper?
Quel moyen trouueray-ie afin de meſchapper?	Quel moyen trouverai-je afin de méchapper?
I'ay l'eſprit ſi troublé, que tant plus ie m'efforce Ame pomtori ſtrtmer, mointe me pens de force.	J'ai l'esprit si troublé, que tant plus Princes m'efforce Âme pomptori strtmer, mointe me pens de force.
LIRIDAS.	LIRIDAS.
Aquoy reſues-tu tant?	Aquoi rêves-tu tant?
à quelque inuention Qui face reußir ma iuſte intention?	à quelque invention Qui face revenir ma juste intention?
LE MAGICIEN.	LE MAGICIEN.
Iuſtement, il eſt vray, Berger, que ie commande Comme tu le penſois, à l’infernale bande, Mais pour mieus eſprouuer ton courage indõpté Ie t’ay iuſques icy celé la verité, Retourne promptement, i’accorde ta priere, Ta Climene s’en va pour reuoir la lumiere, On la conduit là haut, remonte de ce lieu, Et te vante d’auoir fait trembler vn grand’Diess.	Justement, il est vrai, Berger, que sans commande Comme tu le pensais, à l'infernale bande, Mais pour mieus éprouver ton courage indõpté Je t'ai jusques ici celé la vérité, Retourne promptement, j'accorde ta prière, Ta Climene s'en va pour revoir la lumière, On la conduit là haut, remonte de ce lieu, Et te vante d'avoir fait trembler une grandDiess.
LIRIDAS.	LIRIDAS.
Grãd mercy puißãt Roy, pardõne moy de grace, Et né m’impute point ma temerdire audace, Adieu Prince des morts.	Grand merci puissãt Roi, pardonne moi de grâce, Et né m'impute point ma témerdire audace, Adieu Prince des morts.
LE MAGICIEN.	LE MAGICIEN.
Va t’enen paix Berger, Ha!	Va t'en paix Berger, Ha!
que ie ſuis heureus de le voir deſloger, Ie penſe qu’on void bien à mon viſage bleſme, Combien i’ay eu de peur:	que ici suis heureus de le voir déloger, Je pense qu'on voit bien à mon visage blême, Combien j'ai eu de peur:
hal ſans mõ ſtratageme C’estoit fait de mes iours, mais ie ne ſçay pourMes demõs familiers ne sõt venus à moy [ quoy Pour me donner ſecours, peut eſtre que leur maiLeur auoit defendu de ne point apparoiſtre [ſtre Pour ſe donner plaiſir & rire de cecy:	hal sans mon stratagème C'était fait de mes jours, mais je ne sais pourMes demõs familiers ne sont venus à moi [ quoi Pour me donner secours, peut être que leur maiLeur avait défendu de ne point apparaître [stre Pour se donner plaisir et rire de ceci:
Mais de peur que ce fol ne vienne encore icy, Ie me veus retirer, car ie n’ay point enuie Que cemalade eſprit me vienne oſter la vie.	Mais de peur que ce fol ne vienne encore ici, Je me veux retirer, car personne n'ai point envie Que cemalade esprit me vienne ôter la vie.
SCENBII.	SCENBII.
SILANDRE en habit d’Hermite.	SILANDRE en habit d'Hermite.
Ilandre que fais-tu?	Ilandre que fais-tu?
as tu l’eſprit bien-ſain?	as tu l'esprit bien-sain?
SEſt-ce bien tout de von que tu as le deſſein De viure deſormais en vn lieu ſolitaire?	SEst-ce bien tout de von que tu as le dessein De vivre désormais en un lieu solitaire?
Cominent ne rougis-tu de ce que tu vas faire!	Cominent ne rougis-tu de ce que tu vas faire!
Si tu es fils d’vn Roy pourquoy te cache-tu?	Si tu es fils d'un Roi pourquoi te cache-tu?
Si tu as tant ſoit peu d’amour pour la vertu Qui te peut empeſcher de te vaincre toy meſme?	Si tu as tant soit peu d'amour pour la vertu Qui te peut empêcher de te vaincre toi même?
Fais-tu ſi peu d’eſtat d’vn riche Diademe?	Fais-tu si peu d'état d'un riche Diade?
Et faut il que l’Amour l’autheur de ton ennuy, Te puiſſe auiourd’huy rendre aueugle cõme luy?	Et faut -il que l'Amour l'auteur de ton ennui, Te puisse aujourd'hui rendre aveugle commê me?
Que ſi tu prens plaiſir d’eſtre dans ce martyre Qui noꝰ fait plaindre vn mal qu’õ ne peut pas biẽ Dedãs tous tes païs ne peus tu pas choiſir ſdire, Des beautez qui pourront contenter ton deſir?	Que si tu prends plaisir d'être dans ce martyre Qui noù fait plaindre un mal qu'on ne peut pas bien Dedãs tous tes pays ne pays tu pas choisir sédire, Des beautés qui pourront contenter ton désir?
Qui n'aimãt rié que toy, pour eſtre mieus venuës Se mettront ſi tu veus dans tes bras toutes nuës, Rien ne peut t’empeſcher d’auoirtes paſſetemps, Qui tiendrõt tous tes ſens heureuſement contẽts, Aulieu que maintenant en oubliant ton pere, Si ſceptre & ſon honneur, vne pauure Bergere,	Qui n'aimant rié que toi, pour être mieus venues Se mettront si tu veux dans tes bras toutes nues, Rien ne peut t'empêcher d'avoirtes passetemps, Qui tiendront tous tes sens heureusement contents, Aulieu que maintenant en oubliant ton père, Si sceptre et son honneur, une pauvre Bergère,
Pour t’auoir regardé d’vn œil preſomptueus A pu par ſes meſpris te rendre malheureus, Importunes raiſons vous offencez Silandre, Ie ſuis trop amoureus pour vous vouloir entẽdre, Raiſons, nõ, mais demons, qui pour me tourmẽter Viennent incefſamment mon cœur ſolliciter, Croyez vous que ce fuſt me deliurer de peine, Que d’oſter à mon cœur l’objet de ſa Climene?	Pour t'avoir regardé d'Hommes œil présomptueus A pu par ses mépris te rendre malheureus, Importunes raisons vous offensez Solandre, Je suis trop amoureus pour vous vouloir entendre, Raisons, notre, mais démons, qui pour me tourmenter Viennent incessamment mon cœur solliciter, Croyez vous que ce fût me délivrer de peine, Que d'ôter à mon cœur l'objet de sa Climène?
Non, car en m’eſloignant de ce diuin ſoleil, Auparauant ma mort ie ſerois au cercueil:	Non, car en m'éloignant de ce divin soleil, Auparavant ma mort après serais au cercueil:
Au moins ſi ie pouuois ne l’ayant plus en l’ame Me dire plain de vie, ha!	Au moins si ici pouvais ne l'ayant plus en l'âme Me dire plain de vie, ha!
ce penſer r’enflame Et redonne à mes ſens ie ne ſçay quel plaiſir Qui me confirme encore en mon premier deſir:	ce penser renflamme Et redonne à mes sens ie ne sais quel plaisir Qui me confirme encore en mon premier désir:
Mon pere, ſon-païs, ſon ſceptre, & ſa couronne, Ne valent pas le bien que Climene me donne;	Mon père, son-pays, son sceptre, et sa couronne, Ne valent pas le bien que Climène me donne;
Mais appelles-tu bien que de te voir banny, Et d’eſtre ſans faillir ſi rudement puny?	Mais appelles-tu bien que de te voir banni, Et d'être sans faillir si rudement puni?
Ouy le malheur qui vient d’vne telle maiſtreſſe, Vaut mieus que le böheur de toute autre richefſe:	Oui le malheur qui vient d'une telle maîtresse, Vaut mieus que le bheur de toute autre richesse:
Außi rien ne ne peut deſormais diuertir De parfaire mon vœu, ie ſuis preſt de partir, Car puiſqne mon amour meſme m'y ſollicite, Que puis-ie faire mieus que de me rẽdre hermite?	Aussi rien ne ne peut désormais divertir De parfaire mon vœu, ie suis prêt de partir, Car puisque mon amour même m'y sollicite, Que puis-je faire mieus que de me ramdre hermite?
Ie m'en vais recercher vn de ſert incogni,	Je m'en vais recercher un de sert inconni,
Où pas vn des mortels ne ſoit iamais venis, Où de grandes foreſts nées auec le monde, M'offrent pour mõPalais quelque roche profode;	Où pas un des mortels ne soit jamais venis, Où de grandes forêts nées avec le monde, M'offrent pour monPalais quelque roche profode;
Dans ces lieus pleins d’horreur où le iour qui no?	Dans ces lieus pleins d'horreur où le jour qui nô?
Ne partagea tamais le tẽps auecla nuit, Iluit Ie veus haſtir vn temple ou mon amour ie pleure, Qui ſera tout auprés de ma triſte demeure, Attendant que le ciel eſmeu de mes tourmens, Me loge au ſaint ſejour des fidelles amans, Les pleurs que i’eſpandray ſeront le ſacrifice Parou commencera mon funebre ſeruice, Le portrait de Climene appendu deuant moy, Ieluy feray sãs ceſſe hõmage de ma foy I ſteindre Mon cœur bruſlant d'vn feis qui ne pourra s’ePar les eaus de mes yeus ne ſe feraque plaindre, Offrant inceſſamment pour parfun de tels vous Que poßible mon ſort deuiendra plus heureus, Que ſi la ſeule mort finiſt mon aduanture, Et doit ſuire ceſſer les douleurs que i'endure, Si iamais quelque Amant accablé de ſoucy, Vient viſiter ma grotte, il y verra cecy.	Ne partagea tamais le temps auecla nuit, Iluit Ie veux hâtir un temple ou mon amour Seigneur pleure, Qui sera tout auprès de ma triste demeure, Attendant que le ciel ému de mes tourments, Me loge au saint séjour des fidèles amants, Les pleurs que j'épandra seront le sacrifice Parra commencera mon funèbre service, Le portrait de Climène appendu deuant moi, Ieluy ferai sãs cesse hõmage de ma fo I steindre Mon cœur brûlant d'une fi qui ne pourra s'ePar les eaus de mes yeus ne se feraque Par, Offrant les pour parfun de tels us De possible m sort deuiendra plus heureus, Que si la seule mortfinît monaduanture, Et doit suire mes les douleurs que endure, Si iamais quelque Amant accablé de soucy, Vient visiter ma grotte, il y verra ceci.
Cy giſt vn pauure amant qui pour aimer Climene [ne.	Chi gît un pauvre amant qui pour aimer Climène .
A ſouffert en ces lieus vne mort inhumai	A souffert en ces lieus une mort inhumai
SCENE III.	SCÈNE III.
CALIANTE.	CALIANTE.
SILANDRE.	SILANDRE.
ALCIDOR eri Prlilee.	ÀLCIDOR eri Prlilee.
OEIMERE er Princeſſe.	ÔEIMERE er Princesse.
CLORIFEE.	CLORIFE.
SEMIRE.	SEMIRE.
CALIANTE.	CALIANTE.
Vpourray-ie trouuer ce Berger malheureus?	Vourrai-je trouver ce Berger malheureus?
Sera-t’il point deſia caché dans quelque creus?	Sera-t-il point déjà caché dans quelque crût?
Ie l’apperçois encore, il faut que ie l’appelle, Silandre ie t'apporte vne eſtrange nouuelle, Ie te cerche par tout, pour te faire ſçauoir, Auant ton partement, ce que ie viens de voir, Vn fait que tu prẽdras sãs doute pour vn ſonge, Ettequetoten que bruy tie nara tita de meſonge, Qui pourra t’arracher l’enuie de mourir Et forcer ton eſprit à ſe vouloir guarir.	Je l'aperçois encore, il faut que ainsi l'appelle, Silandre ici t'apporte une étrange nouvelle, Je te cerche par tout, pour te faire savoir, Avant ton partement, ce que ainsi viens de voir, Un fait que tu prendas sans doute pour pour songe, Ettequetoten que brui tye nara tita de mesonge, Qui pourra t'arracher l'envie de mourir Et forcer ton esprit à se vouloir garir.
SILANDRE.	SILANDRE.
Tume tiens en ſuſpens.	Tume tiens en suspens.
CALIANTE.	CALIANTE.
Sçaches que ta Bergert N’a pas comme tu crois Semire pour ſon pere, Ains vn Prince puiſſant, qui pour certain ſujet, Afin de diuertir l’ambitieus projet D’vn grand Roy ſon voiſin, voulut oſter ſa fille Et la faire eſleuer dans vne autre famille, Elle n’auoit trois ans qu’il ſe mit tout en dueil, Pour faire croire aus ſiẽs qu'elle eſtoit au cercueil, Et tout ſeul, deſguisé, & maſqué de viſage, Vint commettre à Semire vn ſi precieus gage, Et luy donne vne Eſcharpe où des chiffrescognus Ont pũ ſeuls deſcouurir d’ou ils eſtoient venus.	Saches que ta Bergert N'a pas comme tu crois Semire pour son père, Ains un Prince puissant, qui pour certain sujet, Afin de divertir l'ambitieus projet D'un grand Roi son voisin, voulut ôter sa fille Et la faire élever dans une autre famille, Elle n'avait trois ans qu'il se mit tout en dueil, Pour faire croire aux siẽs qu'elle était au cercueil, Et tout seul, déguisé, et masqué de visage, Vint commettre à Sémire un si précieus gage, Et lui donne une Écharpe où des chiffrescognus Dans aux seuls punir d'oureux découvrir venus.
Alcidor ſans changer pour cela de maiſtreſſe, Amant & bien aymé d’vne telle Princeſſe, Deniſſant te faeces at ſonmurcus amour, Se prepare à quitter ce ruſtique ſejour, Et laiſſant ſes habits pour prendre ceus de Prince S’en va pourcommander vne grande Prouince.	Alcidor sans changer pour cela de maîtresse, Amant et bien aimé d'une telle Princesse, Denissant te faeces at sonmurcus amour, Se prépare à quitter ce rustique séjour, Et laissant ses habits pour prendre ceus de Prince S'en va pourcommander une grande Province.
SILANDRE.	SILANDRE.
Eſtranges accidens, que de ſimple Berger On puiſſe en vn moment tellement ſe changer!	Étranges accidents, que de simple Berger On puisse en un moment tellement se changer!
Bien-heurẽus Alcidor d’eſtre aimé de Climene.	Bien-heurẽus Alcidor d'être aimé de Climène.
CALIANTE.	CALIANTE.
Ie pourrois bien encor t’oſter de cette peine, Te contant le ſurplus, mais les voicy venir, Ie t’en pourray tantoſt à l’aiſe entretenir.	Je pourrais bien encor t'ôter de cette peine, Te contant le surplus, mais les voici venir, Je t'en pourrai tantôt à l'aise entretenir.
ALCIDOR.	ÀLCIDOR.
Berger que penſes-tu de ma bonne fortune?	Berger que penses-tu de ma bonne fortune?
SILANDRE.	SILANDRE.
Qu’elle n’eſt pas à tous egalement commune, Et que la qualité de Prince ey Potentat, Ne peut faire oublier voſtre premier eſtat.	Qu'elle n'est pas à tous également commune, Et que la qualité de Prince ei Potentat, Ne peut faire oublier votre premier état.
CLIMENE.	CLIMENE.
Monſieur, il ne ſçait pas quelle eſt voſtre naiſſan	Monsieur, il ne sait pas quelle est votre naissan
ALCIDOR.	ÀLCIDOR.
Pce:	Pce:
Ie veus luy en donner l’entiere cognoiſſance, Silandre apprens de moy que ſi cette beauté Par le droit de nature attend la Royauté, Qu'vn titre tout pareil meſme degré me donne, Que ma main porte vn ſceptre, & mõ chef la coutMõ habit de Berger n’eſtoit que fiction, ſronne, Ie nele fus iamais de mon extraction, Cette Deeſſe icyque i’eſtimois Bergere, M'auoit fait oublier l empire de mon pere, Et pour luy plaire mieus ie m’eſtois fait Berger:	Je veux seul en donner l'entière connaissance, Silandre apprends de moi que si cette beauté Par le droit de nature attend la Royauté, Qu'un titre tout pareil même degré me donne, Que ma main porte un sceptre, et mon chef la coutMion habit de Berger n'était que fiction, sronne, Je nele fus jamais de mon extraction, Cette Déesse icique j'estimais Bergère, M'avait fait oublier l' eau de mon père, Et pour lui plaire mieus sans m'étais fait Berger:
Cependant te te pri' me vouloirobliger De venir auec moy, le Louure de Phalante Poßible te pouerra rendre l’ame contente.	Cependant te te âme me vouloirobliger De venir avec moi, le Louvre de Phalante Posible te pouerra rendre l'âme contente.
SILANDRE.	SILANDRE.
Phalante eſt voſtre pere?	Phalante est votre père?
eſtes vous Florimant?	êtes -vous Florimant?
Car ie ſuis Lidias.	Car ici suis Lidias.
ALCIDOR.	ÀLCIDOR.
Ha mon frerel comment?	Ha mon frèrel comment?
Ie penſe que le Ciel qui ce bonheur m’enuoye, Me veut faire mourir dans l'excés de ma ioye, Dis moy quel bon demon te fait voir à mes yeus?	Je pense que le Ciel qui ce bonheur m'envoie, Me veut faire mourir dans l'excès de ma joie, Dis moi quel bon démon te fait voir à mes yeus?
SILANDRE.	SILANDRE.
Les Dieus m’ont adreßé pour te voir en ces lieus.	Les Dieus m'ont adressé pour te voir en ces lieus.
ALCIDOR.	ÀLCIDOR.
Sçais-tu bien que voila la Princeſſe Marie, Fille du Roy Syphax?	Sais-tu bien que voilà la Princesse Marie, Fille du Roi Syphax?
SILANDRE.	SILANDRE.
C’eſt vne tromperie, Son pere trop cruel ſoupçonnant que ie croy Que Phalante euſt deſſein de la rauir pour toy, Pour auoir le ſujet de luy faire la guerre, Et de le deſpouiller puis apres de ſa terre, La fit-il pas mourir?	C'est assez tromperie, Son père trop cruel soupçonnant que je crois Que Phalante eût dessein de la ravir pour toi, Pour avoir le sujet de lui faire la guerre, Et de le dépouiller puis après de sa terre, La fit-il pas mourir?
ALCIDOR.	ÀLCIDOR.
Nenny, mais ſeulement Mit vn corps ſupposé dedans le monument, Et la vint apporter au bon homme Semire, L’eſcharpe que voyla te le peut aſſezdire.	Nenni, mais seulement Mit un corps supposé dedans le monument, Et la vint apporter au bon homme Sémire, L'écharpe que voilà te le peut assezdire.
SILANDRE.	SILANDRE.
O Dieux qu’il eſt bien vray que les lois du deſtin Font le commencement, le progrés, & la fin, Phalante s’ennuyant de voſtre longue abſence, Et le voyant quaſi perdre toute eſperance De vous reuoir iamais, ie ne püs luy cacher L’enuie qui me prit de vous aller cercher:	Ô Dieux qu'il est bien vrai que les lois du destin Font le commencement, le progrès, et la fin, Phalante s'ennuyant de votre longue absence, Et le voyant quasi perdre toute espérance De vous revoir jamais, je ne puis un cacher L'envie qui me prit de vous aller cercher:
Cela me fut permis, depuis en mon voyage, I’ay viſité par tout iuſqu’au moindre village, Tant que paſſant icy, cette rare beauté Arreſta mon deſſein auec ma liberté.	Cela me fut permis, depuis en mon voyage, J'ai visité par tout jusqu'au moindre village, Tant que passant ici, cette rare beauté Arrêta mon dessein armes ma liberté.
Si bien que ſon amour changeant mon entrepriſe Sous l’habit d’vn Berger mon eſtat ie deſguiſe, Ie prens vnautre nom, mon deſſein ie pourſuis, Mais en fin ne voyãt qu’augmenter mes ennuis, N’ayant pû la fleſchir, i’auois veſtu la haire Pour m’en aller mourir en vn lieu ſolitaire.	Si bien que son amour changeant mon entreprise Sous l'habit d'un Berger mon état désirs déguise, Je prends un nom, mon dessein ie poursuis, Mais en fin ne voyãt qu'augmenter mes ennuis, N'ayant pu la fléchir, j'avais vêtu la haire Pour m'en aller mourir en un lieu solitaire.
Or puis que le Ciel veut eſloignãt mon malheur, Dedans voſtre rencontre eſtouffer ma douleur, Ie n’ay dans mon eſprit maintenãt d’autre enuie, Que de rendre à Phalante vne ſeconde vie, Car ce pauure vieillard en voyant ſes enfans, Sans doute ſentira renouueller ſes ans.	Or puis que le Ciel veut éloignant mon malheur, Dedans votre rencontre étouffer ma douleur, Je n'ai dans mon esprit maintenãt d'autre envie, Que de rendre à Phalante été seconde vie, Car ce pauvre vieillard en voyant ses enfants, Sans doute sentira renouveler ses ans.
ALCIDOR.	ÀLCIDOR.
Mõ frere il faut partir, auecques nous i’emmeine Semire, & Caliante, auquel ta ſœur Climene Donnera Clorifee, afin qu’vn meſme iour Finiſſe tout le mal que nous a fait l’amour.	Momme frère il faut partir, avec nous j'emmezine Sémire, et Caliante, auquel ta sœur Climène Donnera Clorifée, afin qu'H même jour Finisse tout le mal que nous a fait l'amour.
ODORTFEE.	ODORTFE.
Puiſque tant d’accidens ont changé monattẽte, Ie ne puis faire mieus que d'aymer Caliante.	Puisque tant d'accidents ont changé monattête, Je ne puis faire mieus que d'aimer Caliante.
Allons Semire.	Allons Semire.
ALCIDOR.	ÀLCIDOR.
SEMIRE.	SEMIRE.
Auant que partir de ces lieus, Où i’ay tãt eu de mal, ie vous rẽds grace, ô Dieus Dece qu’il vous a pleu beniſſant ma vieilleſſe, Faire voir que Climene eſt vne grand’Princeſſe, Et de ce qu’il vous plaiſt luydonner vn eſpous, Qui ne peut deſirer que d’eſtre autant que vous.	Avant que partir de ces lieus, Où j'ai tant eu de mal, je vous rẽds grâce, ô Dieus Déce qu'il vous a pleu bénissant ma vieillesse, Faire voir que Climène est une grand'Princesse, Et de ce qu'il vous plaît toujours un épous, Qui ne peut désirer que d'être autant que vous.
IN.	IN.
L AVTRES POËTI RES R ES DE LA CROIX.	 AUTRES POUTI RÉS R ES DE LA CROIX.
Chez IEAN CORROZET, au Palais, ſur le perron de la Saincte Chappelle.	Chez JÉAN CORROZET, au Palais, sur le perron de la Sainte Chapelle.
M.	M.
DC.	DC.
XXIX.	XXIX.
AVEC PRIVILEGE DV ROT.	AVEC PRIVILÈGE DU ROT.
ICLIMENE.	ICLIMENE.
Mpitoyables Cieus, voſtre iniuſte cholere IVeut-elle que ma fin finiſſe ma miſere?	Mpitoyables Cieus, votre injuste cholère IVut-elle que ma fin isse ma misère?
Que iamais mõ ſoleil pour deſſeicher mes pleurs Ne dißipe la nuit de mes triſtes malheurs?	Que jamais mon soleil pour desseicher mes pleurs Ne dissipe la nuit de mes tristes malheurs?
Et vous aſtres malins, maiſtres de ma naiſſance, Voulez vous eſprouuer ce que voſtre influence Me peut cauſer de mal, afin de faire voir Iuſques à quel degré s’eſtend voſtre pouuoir?	Et vous astres malins, ma de ma naissance, Voulez -vous éprouver ce que votre influence Me peut causer de mal, afin de faire voir Jusques à quel degré s'étend votre pouvoir?
Et bien ie n’en puis plus, & ſoulé d’amertume, Mes plus douloureus maus me tournẽt en couſtuVous m’auez affligé d’vn ſi critel tourmét, [me;	Et bien apprendre n'en puis plus, et soulé d'amertume, Mes plus douloureus ma me tournent en coutubous m'avez affligé d'un si critel tourmet, [me;
Que pour le ſentir trop, i’en perds le ſentimentEt ſi vous regrettez quoy que mon cœurvous cede Que voſtre cruauté me ſerue de remede, le vous pri dites moy que puis-ie auoir commis Depuis que ie ſuis né pour vous rendre ennemis?	Que pour le sentir trop, j'en perds le sentimentEt si vous regrettez quoi que mon cœurvous cede Que votre cruauté me serve de remède, le vous pri dites moi que puis-je avoir commis Depuis que je suis né pour vous rendre ennemis?
Pour me faire fentir vn iniuſte ſupplicé Vous auez attitré pour vous eſtre complice Vn meurtrier vagabõd, qui n'euſt iamais de foy,	Pour me faire sentir un injuste supplicé Vous avez attitré pour vous être complice Un meurtrier vagabond, qui n'eût jamais de foi,
Vn traiſtre, vn apoſtat, vn rebelle à ſon Roy, Et auquel il faudroit pour luy rendre iuſtice, Faire ſentir l’horreur du plus honteus ſupplice, N’a t’il pas eſſayé de me faire mourir?	Un traître, un apostat, Elle rebelle à son Roi, Et auquel il faudrait pour lui rendre justice, Faire sentir l'horreur du plus honteus supplice, N'a t'il pas essayé de me faire mourir?
Ne permetteZ vous pas qu’il me face ſouffrir, Ayant receu de vous vne entiere licence Et les inſtructions d’opprimer l’innocence, Sans en eſtre puny, comme il faut auiourd’huy?	Ne permettez -vous pas qu'il me face souffrir, Ayant reçu de vous une entière licence Et les instructions d'opprimer l'innocence, Sans en être puni, comme il faut aujourd'hui?
Encore ſi ce mal bornoit là mon ennuy.	Encore si ce mal bornait là mon ennui.
Mais abſent du ſoleil qui penetre mon ame, Et duquel ſans le voir ie reſſens bien la flame, Comme agiſt deſſus nous vne diuinité, Sans qu’elle ſoit viſible à noſtre humanité, Que puis-ie auoir de pis?	Mais absent du soleil qui pénètre mon âme, Et duquel sans le voir ie ressens bien la flamme, Comme agît dessus nous une divinité, Sans qu'elle soit visible à notre humanité, Que puis-je avoir de pis?
vne peine plus dure Se peut elle adiouſter à celle que i’endure?	Un peine plus dure Se peut -elle ajouter à celle que j'endure?
Grands Dieus, vous ſçaueZ bien que tous les faus teſmoins De mon accuſateurs, me tourment bien moins Que ne fait ma Climene, & que ſes diuins charmes Donnent bien à mes ſens de plus rudes allarmes.	Grands Dieus, vous savez bien que tous les faus témoins De mon accusateurs, me tourment bien moins Que ne fait ma Climène, et que ses divins charmes Donnent bien à mes sens de plus rudes alarmes.
Puiſſante deïté, de qui l’œil ſans pareil Me donne pour riuaus l’amour & le ſoleil, Ayespitié de moy, finis par ta preſence	Puissante deïté, de qui l'œil sans pareil Me donne pour rivaus l'amour et le soleil, Ayespitié de moi, finis par ta présence
Les cruelles douleurs qu’apporte tonabſence, Tucognois mon angoiſſe, & que peu iuſtement Pour auoir fait du bien ie reçois du tourment.	Les cruelles douleurs qu'apporte tonabsence, Tuconnais mon angoisse, et que peu justement Pour avoir fait du bien apprendre reçois du tourment.
Außi parmy mon dueil tout l’eſpoir qui me flatte C’eſt que ie ſiis certain que ton eſprit eſclatte Et fait luire ſon feu dedans l’obſcurité, Pour chaſſer le menſonge & voir la verité, Si bien que s’il te plaiſt ta prudence infinie Sçaura bien diſcerner où eſt la calomnie, Meſme quãd contre moy l’enfer entreprendroit Auec tous ſes demons d’obſcurcir mon bondroit, Ton iugement plus fort me ſeruant de deffence, Il ne pourroit iamais nuire à mon innocence, Car pourueu que mon mal te face vn peu pitié, Et ne puiſſe esbranler noſtre ſaincte amitié, Pourueu qu’en mon amour tu demeures conſtãte, Mon ame en ſa douleur ſe treuue aſſez contente;	Aussi parmi mon deuil tout l'espoir qui me flatte C'est que Un peu certain que ton esprit éclatte Et fait luire son feu dedans l'obscurité, Pour chasser le mensonge et voir la vérité, Si bien que s'il te plaît a prudence infinie Saurait bien discerner où est la calomnie, Même quãd contre moi 'enfer entreprendrait Auec l' enfer entreprendrait d'obscurcir mon bondrait, Ton jugement plus fort me servant dé sensé, Il ne pourrait jamais nuire à mon innocence, Car pourvu que mon mal te face , pleins pitié, Et ne puisse branler toujours sainte amitié, Pour en mon amour tu demeures constãte, Mon âme en sa douleur se treuue assez contente;
Et pourroit meſpriſer la cholere d’vn Roy, S'il m'eſtoit defendu de m’eſloigner de toy.	Et pourrait mépriser la colère d'un Roi, S'il m'était défendu de m'éloigner de toi.
Mais ie iure tes yeus, que ce traiſtre aduerſaire Qui m’eſloigne ta veuë, & m’en a fait diſtraire, Sentira quelque iour qu’il me doit les despens De ton eſloignement & des pleurs que i’eſpans Aumoins ſi le bonheur faiſant queie te voye,	Mais était jure tes yeus, que ce traître adversaire Qui m'éloigne ta vuë, et m'en a fait distraire, Sentira quelque jour qu'il me doit les dépens De ton éloignement et des pleurs que j'espants Aumoins si le bonheur faisant queie te voie,
Ne me fais point mourir en l’excés de ma ioye, Helas!	Ne me fais point mourir en l'excès de ma joie, Hélas!
ce ſeul penſer enchante ma douleur, Et faiſant eſcarter pour vn temps mon malheur La force de l’amour dont mon ame eſt ſaiſie, D’vn tel rauiſſement flatte ma fantaiſie, Que mon eſprit content ſe trouue auprés de toy, Et s’oublieroit en fin de reuenir à moy, S'il n’eſtoit obligé par la loy de nature D’accompagner mon corps iuſqu’à la ſepulture:	ce seul penser enchante ma douleur, Et faisant écarter pour un temps mon malheur La force de l'amour dont mon âme est saisie, D'un tel ravissement flatte ma fantaisie, Que mon esprit content se trouve auprès de toi, Et s'oublierait en fin de revenir à moi, S'il n'était obligé par la loi de nature D'accompagner mon corps jusqu'à la sépulture:
