A PARIS, FRANÇOIS POMERAY.	À PARIS, FRANÇOIS POMERAY.
Quand il s’eſt veu preßé, Redoutant de mon dard l’atteinte couſtumiere, Il amis la ceinture, & la crainte en arriere.	Quand il s'est vu pressé, Redoutant de mon dard l'atteinte coutumière, Il amis la ceinture, et la crainte en arrière.
La ceinture a ſeruy de charmes a mes pas;	La ceinture a servi de charmes a mes pas;
Et ie la pouuois perdre, en ne m’arreſtant pas.	Et ici la pouvais perdre, en ne m'arrêtant pas.
I’ay grãd peur qu’Amaranthe en ſouſpire la perte.	J'ai grande peur qu'Amaranthe en soupire la perte.
PALEMON.	PALÉMON.
Non, non, elle ſçait bien que tu l’as recouuerte.	Non, non, elle sait bien que tu l'as recouverte.
Mais c'eſt vne faueur qu'elle te veut laiſſer Pour le deſſein qu'elle a de te recompenſer.	Mais c'est une faveur qu'elle te veut laisser Pour le dessein qu'elle a de te récompenser.
Elle en feindra pourtant vne douleur extréme, Et la rachetera du ſeul prix de ſoy-meſme.	Elle en feindra pourtant une douleur extrême, Et la rachètera du seul prix de soi-même.
Chacun ſçait les reſpects que les Bergeres ont ,Elles oſtent l’eſclat au bien qu'elles nous font, ,Et veulent par la feinte a leur ſexe commune, , Qu'on l’impute à la force ou bien à la fortune.	Chacun sait les respects que les Bergères ont ,Elles ôtent l'éclat au bien qu'elles nous font, aIt veulent par la feinte à leur sexe commune, , Qu'on l'impute à la force ou bien à la fortune.
ATLEAIO.	ATLEAIO.
Tu m'en promets beaucoup.	Tu m'en promets beaucoup.
PALEMON.	PALÉMON.
Ie te veux reſiouyr.	Je te veux réjouir.
Des propos que mon ſort m'a voulu faire ouyr.	Des propos que mon sort m'a voulu faire ouïr.
En quels lieux?	En quels lieux?
ALEXIS.	ALEXIS.
TMEEMON.	TMEMON.
En ces lieux, ou t’ayant veu, ſans doute, Amdranthe, et Melite, ont ſuiuy cent route.	En ces lieux, ou t'ayant vu, sans doute, Amdranthe, et Melite, ont suivi cent route.
ALEXIS.	ALEXIS.
Elle me fuit touſiours.	Elle me fuit toujours.
PALEMON.	PALÉMON.
Teemte auoit acham.	Teemte avait acham.
Amaranthe eſcoutoit;	Amaranthe écoutait;
& m'en apperceuant, Ie me ſuis retiré dans ceſte roche creuſe, Qui m’a permis d’oüyr ceſte voix amoureuſe.	et m'en apercevant, Je me suis retiré dans cette roche creuse, Qui m'a permis d’ mourir cette voix amoureuse.
O mon cher Alexis le plus beau des humains?	Ô mon cher Alexis le plus beau des humains?
De qui les pieds legers ſurpaſſent les Syluains:	De qui les pieds légers surpassent les Syluains:
Ie te doibs mon honneur, ma vie, & ma perſonne.	Je te dois mon honneur, ma vie, et ma personne.
Eeque le pha domrintin, isil ie demt.	Eeque le pha domrintin, isil apprendre demt.
ALEXIS.	ALEXIS.
Emenmau otencenmott, o queec tuiſespelas M’en oſte beaucoup plus qu’il ne m'en donne pas!	Emenmau otencenmott, ô que tuisespélas M'en ôte beaucoup plus qu'il ne m'en donne pas!
TALEMON.	TALEMON.
Amaranthe elle meſme eſt digne de croyance.	Amaranthe elle -même est digne de croyance.
ALEXIS.	ALEXIS.
Rien ne peut aſſeurer ma iuste meffiance.	Rien ne peut assurer ma juste méfiance.
,Les Nymphes, Palemon, d’vn change irreſolu, Ceſſent tost de vouloir ce qu’elles ont voulu.	,Les Nymphes, Palemon, d'un change irrésolu, Cessent tôt de vouloir ce qu'elles ont voulu.
Mille conſeils diuers leurs courages estonnent, Et leur font plaindre en vain ceux qu'elles abandonnent.	Mille conseils divers leurs courages étonnent, Et leur font plaindre en vain ceux qu'elles abandonnent.
Leur foy s’eſuanouïſt dans les difficultez;	Leur foi s'évanouit dans les difficultés;
,Ou leurs foibles efforts ſont bien toſt ſurmontez Et la neceßite qui ſuit la deſtinee, ,Accorde leur amour auec leur Hymenée.	,Ou sont boibles efforts sont bien tôt surmontés Et la nécessite qui suit la destinée, ACcorde leur amour avec leur Hyménée.
PALEMON.	PALÉMON.
dhintodomdtemspuu pecueuton ponſoir,	dhintodomdtemspu pécueuton ponsoir,
ALEXIS.	ALEXIS.
Mais le pouuoir pourtant veut ceder au deuoir, Qui luy fait reſpecter les volontez d’vnpere.	Mais le pouvoir pourtant veut céder au devoir, Qui lui fait respecter les volontés d'vnpere.
Et le ſeul deſeſpoir eſt tout ce que i'eſpere.	Et le seul désespoir est tout ce que j'espère.
Melite, Palemon, loyoit-elle parler?	Mélite, Palemon, loyait-elle parler?
PALEMON.	PALÉMON.
,Les Nymphes mieux que nous ſçauent dißimuler;	,Les Nymphes mieux que nous savent diamuler;
Amaranthe s'y plaiſt, & ſon humeur diſcrete Ne veut point de teſmoins de ſa flame ſecrete.	Amaranthe s'y plaît, et son humeur discrète Ne veut point de témoins de sa flamme secrète.
Dieux!	Dieux!
que pour ſe cacher elle apporte de ſoin!	que pour se cacher elle apporte de soin!
Melite entre tes mains n'a point veu la ceinture.	Mélite entre tes mains n'a point vu la ceinture.
Melite ne ſçait rien, ſinon par coniecture.	Mélite ne sait rien, sinon par conjeture.
Melite comme nous, iuſqu'à l’extrémité, Sçaura la vray-ſembiance, & non la verité.	Mélite comme nous, jusqu'à l'extrémité, Saura la vraiisembiance, et non la vérité.
Mais tu ne me dis point l’accident ny l’outrage, Qu'Amaranthe à ſouffert de ce monſtre ſauuage.	Mais tu ne me dis point l'accident ni l'outrage, Qu'Amaranthe à souffert de ce montre sauvage.
ALEXIS.	ALEXIS.
Ie ne puis ny parler, ny me tenir debout.	Je ne puis seulement parler, ni me tenir debout.
Laiſſe moyrepoſer;	Laisse -moireposer;
te te conteray tout.	te te conterai tout.
PALEMOX.	PALEMOX.
PALEMON.	PALÉMON.
C’eſt à toy d’y pouruoir.	C'est à toi d'y pourvoir.
La nuict d’vn Hymenée 11peinſuejans dinc an lepos denme.	La nuit d'être Hyménée 11peinséjans dinc an lepos denme.
ALEXIS.	ALEXIS.
Au lieu d’vn lict d’amour, il me faut vn cercueil.	Au lieu d'un lit d'amour, il me faut un cercueil.
I’ay paßé, Palemon, la nuict ſans fermer l'œil	J'ai passé, Palemon, la nuit sans fermer l'œil
PALEMON.	PALÉMON.
Voicy de tes riuaux le rendez-vous, & l’heure.	Voici de tes rivaux le rendez-vous, et l'heure.
1e punt qu'Hſeainnies &povout autre meure, Que deuiendra le Cerf que tu veux ſurmonter?	1e punt qu'Hseainnies etpovout autre meure, Que deviendra le Cerf que tu veux surmonter?
ALEXIS.	ALEXIS.
Vnmoment de repos me peut reſſuſciter.	Unmoment de repos me peut ressusciter.
Atten moy Palemon.	Atten moi Palemon.
PALEMON.	PALÉMON.
O loy trop inhumaine!	Ô loi trop inhumaine!
,Qui n’offre le repos qu’en l’exces de la peine, Ie plains ce pature amãt qui ſuccombe aux ennuis:	,Qui n'offre le repos qu'en l'excès de la peine, Je plains ce pature amant qui succombe aux ennuis:
Qui ſans clorre les yeux paſſe ioutes les nuicts.	Qui sans clore les yeux passe joutes les nuits.
Il tombe;	Il tombe;
il n’en peut plus, le voila qui ſommeille.	il n'en peut plus, le voilà qui sommeille.
Ie ſeray de retour deuant qu’il ſe reſueille.	Je serai de retour devant qu'il se réveille.
Il me veut retenir:	Il me veut retenir:
mais quoy, Daphnis m'attend.	mais quoi, Daphnis m'attend.
Ie rendrãy, ſi ie puis, l’vn, & l’autre content.	Je rendranti, si ici puis, l'un, et l'autre content.
ACTE TROISIESME.	ACTE -TROISIÈME.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
J Oilà cét ennemy dont la beauté m’offenſe;	 Jilà cet ennemi dont la beauté m'offense;
V Qui nteſme ne peut pas dormir eninnocece.	V Qui ntesme ne peut pas dormir eninnocece.
Des charmes du ſommeil ce barbare ſurpris M’offre l’ocaſion de venger ſon mespris.	Des charmes du sommeil ce barbare surpris M'offre l'ocasion de venger son mépris.
D’vn repos fauorable il gouſte les delices, Cependant que pour luy i'endure des ſupplices.	D'un repos favorable il goûte les délices, Cependant que pour venir j'endure des supplices.
Donneray-ie la vie, au fort de ma langueur, A celuy qui me l’oſte auec tant derigueur?	Donnerai-je la vie, au fort de ma langueur, A celui qui me l'ôte avec tant derigueur?
Il n'a point espargné mon cœur ſon tributaire.	Il n'a point épargné mon cœur son tributaire.
Deis-ie espargner le ſien, qui m'eſt touſiours contraire?	Deis-je épargner le sien, qui m'est toujours contraire?
Tous ſes traits m’õt bleßee, & d’vn pareil deſſein, Luy dois-ie pas donner de ce dard dans le ſein?	Tous ses traits m'on blessee, et d'un pareil dessein, Lui dois-je pas donner de ce dard dans le sein?
C’eſt le ſeul des humains punpeut nuire à na gloire.	C'est le seul des humains punpeut nuire à na gloire.
Et mon ſort auiourd’huy m'en offre la victoire.	Et mon sort aujourd'hui m'en offre la victoire.
Que tarde ma vengeance?	Que tarde ma vengeance?
Oronte auance toy, Siie le manque außsi, que dira-t'on de moy;	Oronte avance toi, Siie le manque aussi, que dira-t'-on de moi;
On me dira meſchante, inhumaine, etragée.	On me dira méchante, inhumaine, etragée.
Et ma iuſte douleur ne ſera point vengée.	Et ma juste douleur ne sera point vengée.
Non pas nieſme au ſucces d’vn violent effort Qui le ſeroit paſſer du ſommeil a la mert.	Non pas encore au succès d’ au violent effort Qui le serait passer du sommeil a la mert.
Mais quel eſt ce lien meſlé d’or & de ſoye, Qui ſort de ſes habits?	Mais quel est ce lien mêlé d'or et de soie, Qui sort de ses habits?
Il faut que ie le voye.	Il faut que personne le voie.
Qui l’euſt iamais pensc?	Qui l'eût jamais pensc?
Ie ne m'eſtonne pas St les autres ſujets pour luy n’ont point d’appas:	Je ne m'étonne pas St les autres sujets pour lui n'ont point d'appas:
La cauſe deſormais en eſt toute apparente.	La cause désormais en est toute apparente.
33 Le voyla triomphant des faueurs d’Amaranthe.	33 Le voilà triomphant des faveurs d'Amaranthe.
C’eſt luy qu’elle regarde, & qu'elle veut choiſir.	C'est assez qu'elle regarde, et qu'elle veut choisir.
Il a des qualiteZ dignes de ſon deſir.	Il a des qualités dignes de son désir.
O l’excellent mozen de me voir ſatisfaite!	Ô l'excellent molen de me voir satisfaite!
Mes veux ſont exauceZ;	Mes veux sont exaucés;
i’ayce que ie ſouhaite:	j'aice que Seigneur souhaite:
Et pour me venger mieux de ce traiſtre inhumain, Quelque Dieu fauorable a retenu ma main.	Et pour me venger mieux de ce traître inhumain, Quelque Dieu favorable a retenu ma main.
Afin de m'eſclaircir d’vne choſe incertaine;	Afin de m'éclaircir d'une chose incertaine;
Ie m’en vay me cacher dans ceſte ombre prochaine.	Je m'en vais me cacher dans cette ombre prochaine.
Si quelqu’vn m’y ſurprend, ie feindray de dormir.	Si quelqu'un m'y surprend, Elle feindrai de dormir.
Ie verray ſon reſueil, ie l’entendray gemir.	Je verrai son réveil, Seigneur l'entendrai gémir.
S’en prendre aux innocens, & deſplorer ſa perte.	S'en prendre aux innocents, et déplorer sa perte.
Ie verray de Bergers ceſte place couuerte.	Je verrai de Bergers cette place couverte.
Qui plaindront comme moy leurs trauaux, & leurs iours.	Qui plaindront comme moi leurs travaux, et leurs jours.
I'apprendray par Daphnis la fin de leurs amours.	J'apprendrai par Daphnis la fin de leurs amours.
En fin tous leurs propos me tiẽdrõt lieu d’Oracles Ie m'en ſçauray ſeruir, ie feray des miracles.	En fin tous leurs propos me tiendront lieu d'Oracles Je m'en sçauray servir, une ferai des miracles.
Quotu enuuion deuoit eſtre plus fin.	Quotu envion devait avoir plus fin.
Si la Lune le void, il dormira ſans fin.	Si la Lune le voit, il dormira sans fin.
ACTE TROISIESME, SCENT L XL.	ACTE -TROISIÈME, SCENT L XL.
AIIRCIEGAE.	AIIRCIEGAE.
ALEXIS.	ALEXIS.
Alemon.	Alémon.
Palemon.	Palemon.
Mais en vain ie l’appelle.	Mais en vain ici l'appelle.
1 Iaſſeurois mon repos en ſa garde fidelle.	1 Iasseurois mon repos en sa garde fidèle.
Quii a pris ma ceinture?	Quii a pris ma ceinture?
ô malheur de mon ſort!	ô malheur de mon sort!
Impatient amy, que tu me fais de tort!	Impatient ami, que tu me fais de tort!
Si c'eſt quelque Berger qui m'ait fait ceſte iniure, En deuſſe-ie mourir, il mourra ie le iure.	Si c'est quelque Berger qui m'ait fait cette injure, En deusse-je mourir, il mourra que le jure.
Te fuiray-ie Amaranthe?	Te fuirai-je Amaranthe?
e m'iray-ie cacher?	Je m'irai-je cacher?
Ay-ie ſi peu de ſoin d’vn bien qui t’eſt ſi cher?	Ai-je si peu de soin d'un bien qui t'est si cher?
M'en deuois-ie fier a d’autres qu’à moy-meſme?	M'en devais-je fier a d'autres qu'à moi-même?
Et rends-ie ceſte preuue a mon amour extreme:	Et rends-je cette preuve a mon amour extrême:
Tout le bien que i’ay fait aura perdu ſon prix:	Tout le bien que j'ai fait aura perdu son prix:
Et ie ſuis deſormais digne de ton meſpris.	Et ici suis désormais digne de ton mépris.
A qui m'en dois-ie prendre?	À qui m'en dois-je prendre?
en vain ie me trauaille:	en vain ie me travaille:
Ie ſuis le ſeul coulpable.	Je suis le seul coulpable.
Il faut que ie m'en aille;	Il faut que personne m'en aille;
Et de tant de chemins qui menent au trespas, Que i'en trouue quelqu vn ou j’adreſſe mes pas.	Et de tant de chemins qui mènent au trépas, Que j'en trouve quelqu vn ou j'adresse mes pas.
Rien ne peut retarder mon ame infortunee, Que le deſir de voir a quel doux Hymenec Ce chef d’œuure du Ciel deſtine ſes beautez Qui meritent le choix parmy les Deitez.	Rien ne peut retarder mon âme infortunée, Que le désir de voir à quel doux Hyménec Ce chef d'œuvre du Ciel destine ses beautés Qui méritent le choix parmi les Ditez.
Veritables teſmoins de ma douleur cruelle, Beaux lieux, en ma faueur apprenez la nouuelle, Dont auiourd’huy chacun deſire eſtre eſclaircy:	Véritables témoins de ma douleur cruelle, Beaux lieux, en ma faveur apprenez la nouvelle, Dont aujourd'hui chacun désire être éclairci:
Puis qu’il m'eſt deffendu de me trouuer icy.	Puis qu'il m'est défendu de me trouver ici.
ACTE TROISIESME.	ACTE -TROISIÈME.
SCENE CINQKIESME.	SCÈNE CINQUIÈME.
TYRSIS, PHILIDOR, LYCANDRE, CH.	TYRSIS, PHILIDOR, LYCANDRE, CH.
DE BERGERS, DAPHNIS, LDEMDRJIO AMON.	DE BERGERS, DAPHNIS, LDEMDRIO AMON.
TYRSIS.	TYRSIS.
Es Bergers deſormais, & les Nymphes ſans 2 nombre, Cherchent de toutes pars & la verdure, & l’ombre.	Es Bergers désormais, et les Nymphes sans 2 nombre, Cherchent de toutes pars et la verdure, et l'ombre.
Vn ſeul Tyrſis, helas!	Un seul Tyrsis, hélas!
endure chaque iour, Les ardeurs du Soleil, & celles de l'Amour.	endure chaque jour, Les ardeurs du Soleil, et celles de l'Amour.
Combien de fois en vain, pour ſoulager mes peines, Et pour voir Amaranthe, ay-ie paßé les plaines?	Combien de fois en vain, pour soulager mes peines, Et pour voir Amaranthe, ai-je passé les plaines?
Mais l’ingrate qu'elle eſt, ne s'en apperçoit pas, Etme force à la ſin d’implorer le treſpas.	Mais l'ingrate qu'elle est, ne s'en aperçoit pas, Âme force à la sin d'implorer le trépas.
PHILIDOR.	PHILIDOR.
Amaranthe, Amaranthe, inſenſible, & cruelle;	Amaranthe, Amaranthe, insensible, et cruelle;
Tu ne veux point ouyr Philidor qui t’appelle.	Tu ne veux point ouïr Philidor qui t'appelle.
Tit le vois, ſans pitié, d’amour ſe conſommer.	Tit le vois, sans pitié, d'amour se consommer.
Nielqu'autre l’aymeroit, s’il auoit peu l’aymer.	Nielqu'autre l'aimerait, s'il avait peu l'aimer.
I' eut moins enduré ſous l'Empire d’Orome.	J' est moins enduré sous l'Empire d'Orome.
Car, apres tabeaute, quelle autre la ſurmonte?	Car, après tabeaute, quelle autre la surmonte?
Il euſt eſté charme des douceurs de Phyllis:	Il eût été charme des douceurs de Phyllis:
Bien que ſon teint n'ait pas tes roſes, et tes lys.	Bien que son teint n'ait pas tes roses, et tes lys.
LYCANDRE.	LYCANDRE.
Beauté, l’vnique honneur des Nymphes les plus belles, Que tout le monde eſtime egale aux immortelles;	Beauté, l'unique honneur des Nymphes les plus belles, Que tout le monde estime égale aux immortelles;
Regarde ma fortune, il ne luy manque rien:	Regarde ma fortune, il ne Seigneur manque rien:
Et tu net enquiers pas de moy, ny de mon bien.	Et tu net enquiers pas de moi, ni de mon bien.
I'ay perdu tout a coup, par ta rigueur extreme, Le ſoin de mes troupeaux, &t celui de moymeſme.	J'ai perdu tout a coup, par ta rigueur extrême, Le soin de mes troupeaux, ett celui de moymesme.
Mais quoy, pour Amaranthe, il feut viure oit niourir:	Mais quoi, pour Amaranthe, il feut vivre oit niourir:
Lycandre veut tout perdre, ou bien tout acquerir.	Lycandre veut tout perdre, ou bien tout acquérir.
CHOEVR.	CHOEUR.
Voila deſia Tyrſis, Philidor, & Lycandre.	Voilà déjà Tyrs, Philidor, et Lycandre.
D'Amarãthe, Bergers, que pouitõs nous apprẽdre?	D'Amaranthe, Bergers, que pouitõs nous apprendre?
B	B
TYRSIS.	TYRSIS.
«vex teuttamt, pantesen vom epine plni,	«vex tutamt, pantesen vom epine plu,
CHOEVR.	CHOEUR.
faites place, Dergers, voucy venir Daphnis,	faites place, Dergers, vouci venir Daphannis,
DAPHNIS.	DAPHNIS.
Que d’Amans Palemon!	Que d'Amand Palemon!
PALEMON.	PALÉMON.
O pauure troupe errante!	Ô pauvre troupe errante!
DAMON.	DAMON.
Tous ceux-là veulent ils espouſer Amaranthe?	Tous ceux-là veulent ils épouser Amaranthe?
TALEMON.	TALEMON.
Chacun d’eux y pretend.	Chacun d'eux y prétend.
DAMON.	DAMON.
Voyla bien des espoux.	Voilà bien des époux.
Il faudroit vn grand lit pour les contenir tous.	Il faudrait un grand lit pour les contenir tous.
DAIIMYO.	DAIIMYO.
Bergers, mes chers amis, les Dieux vous ſoyent propices.	Bergers, mes chers amis, les Dieux vous soient propices.
CHOEVR.	CHOEUR.
u’ils reçoiuẽt nos veux, et Daphnis nos ſeruices;	Ju'ils reçoivent nos veux, et Daphnis nos services;
t qu’ils nous comblent tous de leurs feliciteZ B	 t'ils nous comblent tous de leurs félicitez B
DAPHNIS.	DAPHNIS.
Ils ſont le plus ſouuent en vain ſolicitez.	Ils sont le plus souvent en vain solicités.
Les aueugles humains vers l’Olympe ſoupirent;	Les aveugles humains vers l'Olympe soupirent;
,Pour n’en obtenir pas tout ce qu’ils en deſirent.	,Pour n'en obtenir pas tout ce qu'ils en désirent.
L exemple en eſt preſent, vous le voyez en vous:	L exemple en est présent, vous le voyez en vous:
Mui fille vous amene, & vous la voulez tous.	Mui fille vous amène, et vous la voulez tous.
Chacun de vous s’obſtine a la perſeuerance;	Chacun de vous s'obstine a la persévérance;
Mais vn ſeul de pluſieurs doit fruſtrer l’eſperance.	Mais un seul de plusieurs doit frustrer l'espérance.
,O trop heureux celuy qui respecte les Cieux, Et ſouſmet ſes deſirs aux volontez des Dieux:	ÇO trop heureux celui qui respecte les Cieux, Et soumet ses désirs aux volontés des Dieux:
CHOEVR.	CHOEUR.
Quel eſt celuy, Daphnis, que d’vn choix fauorable, Amaranthe, e les Dieux, vont rendre leur ſemblable?	Quel est celui, Daphnis, que d'un choix favorable, Amaranthe, e les Dieux, vont rendre leur semblable?
DAMON.	DAMON.
Eehistouigtes vu giamtentu ſaeetea mes fouhaits.	Eehistouigtes vu giamtentu saeetea mes souhaits.
Et ie verray bien toſt comme les Dieux ſont faits.	Et ici verrai bien tôt comme les Dieux sont faits.
DAPHNIS.	DAPHNIS.
Vous dites beaucoup mieux que vous ne penſez dire.	Vous dites beaucoup mieux que vous ne pensez dire.
Car Amaranthe eſlit, ſans toutesfois eſlire;	Car Amaranthe élit, sans toutefois élire;
Et remet à leur ſoin tout ce qu’elle en pretent.	Et remet à leur soin tout ce qu'elle en prêtent.
Chacun de vous, Bergers, en doit eſtre content.	Chacun de vous, Bergers, en doit être content.
CHOEVR.	CHOEUR.
Quoy, Daphnis, verrons nous, pour nous le faire entendre, Queleil vndes Immortens qui la nr sedeſcenare;	Quoi, Daphnis, verrons nous, pour nous le faire entendre, Queleil undes Imortens qui la nr sedescenare;
DAPHNIS.	DAPHNIS.
Sans qu’ils partent du Ciel, ils ont hien le pouuoir D'entendre vos ſoupirs, & de vous faire veir, Que leur ſoin paiternel eſl grand en toute ſorte.	Sans qu'ils partent du Ciel, ils ont hien le pouvoir D'entendre vos soupirs, et de vous faire vir, Que leur soin paiternel él grand en toute sorte.
EAMo Ie.	EAMo Ie.
S’ils ont l’oreille bonne, ils ont la voix bien forte.	S'ils ont l'oreille bonne, ils ont la voix bien forte.
CHOEVR.	CHOEUR.
De grace, tire nous de peine, & de ſoucy;	De grâce, tire nous de peine, et de souci;
Et fay que noſtre esprit ſoit bien toſt eſclaircy;	Et fais que notre esprit soit bien tôt éclairci;
Sans nous abuſer plus d’eternelle remiſe.	Sans nous abuser plus d'éternelle remise.
DAPHNIS.	DAPHNIS.
Ie vous tiendray la foy que ie vous ay promiſe.	Je vous tiendrai la foi que je vous ai promise.
Mais ce n'eſt pas aſſeZ d’eſtre fort amoureux, Ny d'auoir la valeur, ſi vous n'estes heureux.	Mais ce n'est pas assez d'être fort amoureux, Ni d'avoir la valeur, si vous n'êtes heureux.
Amaranthe aurourd’huy, par vne loy commune, S’expoſe auecques vous au ſoin de la Fortune.	Amaranthe aurourd'hui, par une loi commune, S'expose avec vous au soin de la Fortune.
CHOEVR.	CHOEUR.
Nos vœux irreſolus qui nous donnent la mort, S’abandonnent comme elle, à la mercy du ſort.	Nos vœux irrésolus qui nous donnent la mort, S'abandonnent comme elle, à la merci du sort.
DAPHNIS.	DAPHNIS.
Pour moy, ie n'entens point ſa raiſon, ny ſa tufe Si de franchiſe, ou d’art;	Pour moi, notre n'entends point sa raison, ni sa tufe Si de franchise, ou d'art;
ou de prudence, elle vſe Pas-vn, de vous, Bergers, n'eſt refusé, ny pris;	ou de prudence, elle use Pas-même, de vous, Bergers, n'est refusé, quelque pris;
Et cõme les plus grands, les moindres ontieur tosElle eſt eſgale a tous;	Et comme les plus grands, les moindres ontieur tosÉlle est égale à tous;
ne vous plaignez point abus Et ne l’appelleZ point ny douce, ny crucẽ	ne vous plaignez point abus Et ne l'appelez point ni douce, tu crucien
CHOEVR.	CHOEUR.
Parle nous clairement.	Parle nous clairement.
DAMON.	DAMON.
Daphnis, expiique uen Mais il faut auouër que ie n'y comprens rien.	Daphnis, expiique uen Mais il faut avouer que je n'y comprends rien.
DAPHNIS.	DAPHNIS.
Sachez donc qu'elle pleure vn preſent de ſa mere, Dont la perte luy cauſe vne douleur amere.	Sachez donc qu'elle pleure un présent de sa mère, Dont la perte lui cause une douleur âme.
Elle pleure vn chef-d’œuure, ou l’Art veut ſurmonter Tout ce que la Nature à iamais ſçeu vanter.	Elle pleure un chef-d'œuvre, ou l'Art veut surmonter Tout ce que la Nature à jamais su vanter.
On y void la verdure, & des bois, & des plaines;	On y voit la verdure, et des bois, et des plaines;
L’eſmail des belies fleurs, le criſtal des Fontaines, L’or des Aſtres brillans uejſus t'az ar uts Cieux;	L'émail des bêliez fleurs, le cristal des Fontaines, L'or des Astres brillants us t'as ar utz Cieux;
En fin les antmaux, les hommes, & les Dieux.	En fin les antmaux, les hommes, et les Dieux.
Ainſi tout l’Vniuers luit dans vne ceinture;	Ainsi tout l'Univers luit dans une ceinture;
Que pour ſigne euident d’vne heureuſe auenture, Le ſort a conſacrée au milieu de ces bois, Vrais Temples ou Diane authoriſe ſes loix:	Que pour signe évident d'une heureuse aventure, Le sort a consacrée au milieu de ces bois, Vrais Temples ou Diane autorise ses lois:
I eſmoignage certaind vn futur Hymenée.	I émoignage certaind un futur Hyménée.
DAMON.	DAMON.
Adieu Virginite, voicy ta deſtinee.	Adieu Virginite, voici ta destinée.
DAPHNIS.	DAPHNIS.
C’eſt vn des ornemens qu’elle tient le plus cher.	C'est un des ornements qu'elle tient le plus cher.
Deſia deſſus ſes pas elle l’a fait chercher.	Déjà dessus ses pas elle l'a fait chercher.
Et c’eſt l’vnique ſoin dont ſon ame eſt touchée.	Et c'est l'unique soin dont son âme est touchée.
Si donc quelqu'vn de ceux dont elle eſt recherchée, Luy peut repreſenter ſon treſor le plus doux, C’eſt luy, mes chers amis, qu’elle prẽd pour eſpoux.	Si donc quelqu'un de ceux dont elle est recherchée, Lui peut représenter son trésor le plus doux, C'est venir, mes chers amis, qu'elle prend pour époux.
DAMON.	DAMON.
Voyla nos amoureux muëts comme des ſouches.	Voilà nos amoureux mues comme des souches.
TALEMUN.	TALEMUN.
L’amour est dans leurs cœurs, & non pas dans leurs bouches.	L'amour est dans leurs cœurs, et non pas dans leurs bouches.
DAMON.	DAMON.
Ils auroient, Palemon, beſoin d’vn reſpondant.	Ils auraient, Palemon, besoin d'Han répondant.
DAPHNIS.	DAPHNIS.
Voilà tout ſon deſir, voilà ſon accident.	Voilà tout son désir, voilà son accident.
Source g M iij ffr nc C’eſt en vain que pour elle vnaniant ſe conſomme, Elle aime beaucoup mieux ſa ceinture qu’vn hõme Son cœur exempt d'amour, en vain ſolicité, Nainuerd ſamais rien que par necofsite.	Source g M ij our n 'est en vain que pour elle unaniant se consomme, Elle aime beaucoup mieux sa ceinture qu'un homme Son cœur exempt d'amour, en vain solicité, Nainuerd amais rien que par necofsite.
CHOEVR.	CHOEUR.
Tit voids que nul ne parle, & jue nul ne la mõſtre, Et qu’ainſi nul de nous n'en a fait la rencontre.	Tit voids que nul ne parle, et jue nul ne la montre, Et qu'ainsi nul de nous n'en a fait la rencontre.
2vedotire, (ef Miatns sle Jy qouaeinpas.	2vedotire, (ef Miatns sle Jy qouaeinpas.
Et ſi nous la cherchons, nous y perdrons nos pas.	Et si nous la cherchons, nous y perdrons nos pas.
DAPHNIS.	DAPHNIS.
C’eſt la premiere loy qu'Amaranthe vous donne, Qui demeure touſiours, & qui ſeule couronne Le bien heureux amant qui la pourra trouuer.	C'est la première loi qu'Amaranthe vous donne, Qui demeure toujours, et qui seule couronne Le bien heureux amant qui la pourra trouver.
Toutesfois ſi tant d’heur ne pouuoit arriuer;	Toutefois si tant d'heur ne pouvait arriver;
Vne ſeconde loy donne la meſme gloire A celui qui du Cerf gaignera la victoire.	Une seconde loi donne la même gloire A celui qui du Cerf gagnera la victoire.
Et ſi tous ces effets manquent à voſtre amour.	Et si tous ces effets manquent à votre amour.
Elle vous reſoudra deuant la fin du iour.	Elle vous résoudra devant la fin du jour.
ACTE TROISIESME.	ACTE -TROISIÈME.
SCENE SIXIESME.	SCÈNE SIXIÈME.
DADINIS, CALYDON, C SEVR, TALEMON, DAMON.	DADINIS, CALYDON, Ç EUR, TALEMON, DAMON.
DAPHNIS.	DAPHNIS.
Ais que dit Calydon?	Ais que dit Calydon?
que nous veut-il T apprendre?	que nous veut-il T apprendre?
CALYDON.	CALYDON.
Ie vien de voir le Cerf dans le bois de Syluandre, Qu'vne large campag ne enceint de toutes parts.	Je viens de voir le Cerf dans le bois de Syluandre, Qu'une large campag ne enceint de toutes parts.
aent peut tuter ny vospitus, ny vos dards.	aent peut tuter ni vospitus, Seigneur vos dards.
Que tandez-vous Bergers?	Que tandez-vous Bergers?
lui-meſme vous inuite.	lui-même vous inuite.
I’ay promis d'aduertir Amaranthe, & Melite.	J'ai promis d'avertir Amaranthe, et Melite.
Và donc toſt.	Và donc tôt.
CHOEVR.	CHOEUR.
DAPHNIS.	DAPHNIS.
Calydon, ſt tay piace en ton tteur, Ie ſçauray des premiers qui ſera le vainqueur.	Calydon, st tai piace en ton teur, Je saurai des premiers qui sera le vainqueur.
U CALYDON.	V CALYDON.
Aanportoſt queſts Ditux, & n'ẽ ſois point en peine.	Aanportôt quests Ditux, et n'en sois point en peine.
Aſſons.	Assons.
