LRAREE C2 DEGVISE TRAGI-COMEDIE.	LRARE C2 DÉGUISÉ -THRAGI-COMÉDIE.
Vn ſeul de tes regards vaut mieux que tout ſon or:	Un seul de tes regards vaut mieux que tout son or:
Et c’eſt d’eux ſeulement que ie fais monthreſor.	Et c'est d'eux seulement que tu fais monthresor.
Ouy, bien que ſans deſſein ton belœil les enuoye, Ils font mourir ma peine, & r'animent maioye;	Oui, bien que sans dessein ton belœil les envoie, Ils font mourir ma peine, et raniment maie;
Et maiſtres abſolus, qui forcent mon humeur, C’eſt par eux ſeulement que ie te croy charmeur.	Et maîtres absolus, qui forcent mon humeur, C'est par eux seulement que ie te crois charmeur.
Mais que n’vſes-tu mieux de leur puiſſance extreme?	Mais que n'uses-tu mieux de leur puissance extrême?
En donnant de l’amour, que n'en prens tu toymeſme?	En donnant de l'amour, que n'en prends tu toymesme?
Sois iuſte, autant que beau, pitoyable, & charmant;	Sois juste, autant que beau, pitoyable, et charmant;
Voy que ie ſuis amante, & te fais voiramant:	Vois que ici suis amante, et te fais voiramant:
Appreuue les ardeurs de mon ame inſenſée;	Apreuve les ardeurs de mon âme insensée;
Espargne mon diſcours, & lis dans ma penſée;	Épargne mon discours, et lis dans ma pensée;
Oy parler mes ſouspirs;	Oi parler mes soupirs;
eſcoute leur propos;	écoute leur propos;
Sorcier qui me rauis, & l’ame, & le repos.	Sorcier qui me ravis, et l'âme, et le repos.
Mais il n’en fera rien, ſa froideur continué:	Mais il n'en fera rien, sa froideur continué:
Il faut perdre le iour, ou noſtre retenué:	Il faut perdre le jour, ou notre retenué:
l- 2 Respect, crainte, pudeur, eſloignez vous d’icy:	l' 2 Respect, crainte, pudeur, éloignez -vous d'ici:
Il faut parler en fin, Amour l’ordonne ainſi:	Il faut parler en fin, Amour l'ordonne ainsi:
Et monſtrer franchement, la douleur qui nous touche:	Et montrer franchement, la douleur qui nous touche:
Qui nous ouure le cœur, nous doit ouurir la bouche;	Qui nous ouvre le cœur, nous doit ouvrir la bouche;
Trouuons-le ce cruel, & ſans plus differer, Sçachons s’il aimera qui le veut adorer.	Trouvons-le ce cruel, et sans plus différer, Sachons s'il aimera qui le veut adorer.
.	.
2.	2.
:	:
	
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
CLEARQVE, RVTILE.	CLÉARQUE, RUTILE.
CLEARQVE.	CLÉARQUE.
.	.
26 .	26 .
.	.
*2:	*2:
2.	2.
3A Lune fauorable en ceſte nuict derniere, A ſouffert que ma voix la retint priſonniere:	3A Lune favorable en cette nuit dernière, A souffert que ma voix la retint prisonnière:
Mes charmes ontterny ſon bel eſclat d’argent:	Mes charmes ontterni son bel éclat d'argent:
Et l’ombre qui couuroit mon trauail diligent, Apermis que ma main plus forte que les autres, Ait receu des demons ce que ie mets aux voſtres:	Et l'ombre qui couvrait mon travail diligent, Apermis que ma main plus forte que les autres, Ait reçu des démons ce que je mets aux vôtres:
Voyez ſi ceſte couppe eſt agreable aux yeux;	Voyez si cette couppe est agréable aux yeux;
Autant que le metal, l’ouurage est precieux.	Autant que le métal, l'ouvrage est précieux.
.	.
1	1
RVTILE.	RUTILE.
O pore uoioemt tonnemeuſe venuel	Ô pore uoioemt tonnemeuse venuel
CLEARQVE.	CLÉARQUE.
Ma bonne volonté ne vous est pas connuë:	Ma bonne volonté ne vous est pas connue:
Ll2S22 Mais le temps fera voir quelle eſt mon amitié,	Ll2S2 Mais le temps fera voir quelle est mon amitié,
RVTILE.	RUTILE.
Ie vaycdononmupum, e guruiltumome	Je vaycdononmupum, e uruiltumome
CLEARQVE.	CLÉARQUE.
dauez, reurtz cons, queuſu on pien de deſcendre:	davez, reurtz cons, queusu on pien de descendre:
	
RVTLLE.	RUTLE.
Ma main dépite Argus de la pouuoir ſurprendre:	Ma main dépite Argus de la pouvoir surprendre:
	
CLEARQVE.	CLÉARQUE.
Si ſeras tu ſurpris, ou ie perdray le iour:	Si seras tu surpris, ou ainsi perdrai le jour:
.	.
Trauaillons, i apperçois l’object de monamour.	Travaillons, y apperçois l'object de monamour.
SCENE CINQVIESME.	SCÈNE CINQUIÈME.
deneouirs y Mntnton, OnnnqvE.	deneouirs y Mnton, OnnqvE.
ARGENIE.	ARGENIE.
q̃ Ois auec quelle grace est ſa main occupée;	Oq Ois Dieux quelle grâce est sa main occupée;
Moins propre à ce mestier, qu’à celuy d’vne eſpee:	Moins propre à ce métier, qu'à celui d'une épée:
Que fais tu mon amy?	Que fais tu mon ami?
CLEARQVE.	CLÉARQUE.
Ie cultiut ues fleurs, Dont la diuerſité n'estale ſes couleurs, Qu'à deſſein d’agreer au plus bel œil du monde:	Je cultiut ues fleurs, Dont la diversité n'étale ses couleurs, Qu'à dessein d'agréer au plus bel œil du monde:
ARGENIE.	ARGENIE.
Tu parles du Soleil, il faut qu’il te reſponde.	Tu parles du Soleil, il faut qu'il te réponde.
CLEARQVE.	CLÉARQUE.
o puporuvojfence, on ne le peut ſouffrir:	ô puporuvojfence, on ne le peut souffrir:
Pour ſe iustifier, elles viennent s’offrir:	Pour se justifier, elles viennent s'offrir:
Trop heureuſes pourtant ſi vous daignez connoistre, Qu'elles meurent pour yous, qui ies autz faitt naistre.	Trop heureuses pourtant si vous daignez connaître, Qu'elles meurent pour yous, qui jes auts fait naître.
	
ARGE	ARGE
ARGENIE.	ARGENIE.
O Diina quuest emtt:	Ô Diina quuêt emt:
CLEARQVE.	CLÉARQUE.
qui me l’auroit appris?	qui me l'aurait appris?
Ce n’est pas dans les bois qu’on forme les esprits:	Ce n'est pas dans les bois qu'on forme les esprits:
Et dedans ce ſeiour (priuez de connoiſſance) Nous auons fort peu d’art, & beaucoup d’innocence.	Et dedans ce séjour (privez de connaissance) Nous avons fort peu d'art, et beaucoup d'innocence.
AAADEV P2V Mais tu iuges pourtant des obiects de ces lieux:	ÀADEU P2 Mais tu juges pourtant des objets de ces lieux:
CLEARQVE.	CLÉARQUE.
Nous n'auons point d'eſprit, mais nous auons des yeux.	Nous n'avons point d'esprit, mais nous avons des yeux.
ARGENIE.	ARGENIE.
Qu'inferes tu de là?	Qu'infères -tu de là?
CLEARQVE.	CLÉARQUE.
Qu'il faut eſtre ſans veuë, Aupres de la beauté dont vous eſtes pourueuë, Pour reſter ſans merueille;	Qu'il faut été sans vue, Auprès de la beauté dont vous êtes pourvue, Pour rester sans merveille;
& ne connoiſtre pas, Que rien dans l’Vniuers n'eſgale vos appas:	et ne connaître pas, Que rien dans l'Univers n'égale vos appas:
L’ame la plus großiere en eſtant bien capable, En paroiſtre ignorumunueſ puroqueconpuole.	L'âme la plus grossière en étant bien capable, En paroistre ignorumunues puroqueconpuole.
PHILISE.	PHILISE.
Quoy nourry dans les bois, & raiſonner ainſi!	Quoi nourri dans les bois, et raisonner ainsi!
C’eſt vn ſorcier, Madame, eſloignons nous d’icy.	C'est un sorcier, Madame, éloignons -nous d'ici.
ARGENIE.	ARGENIE.
Ton diſcours me rauit, & me donne l’enuie, De jzaholr dhcertamn le phetra de la ne.	Ton discours me ravit, et me donne l'envie, De jaholr dhcertamn le phetra de la ne.
CLEARQVE.	CLÉARQUE.
Ha Madame perdez ce deſir curieux!	Ha Madame perdez ce désir curieux!
L’aſtre qui me gouuerne eſt trop capricieux;	L'astre qui me gouverne est trop capricieux;
Le recit des malheurs n'a rien qui n’importune, Et ie vous desplairois autant que ma fortune:	Le récit des malheurs n'a rien qui n'importune, Et je vous déplairais autant que ma fortune:
Cex ae caenc mon depeus, Q es le juua vei;	Cex ae caenc mon dépus, Q es le juua vu;
vn dou- Meſtant aduantageux de n'eſtre pas connil.	Ah dou- Métant avantageux de n'être pas connil.
ARGENIE.	ARGENIE.
N’importe Policandre à qui tu dois ton eſtre:	N'importe Policandre à qui tu dois ton être:
Ie ne m’informe point de ceux qui t'ont faict naiſtre:	Je ne m'informe point de ceux qui t'ont fait naître:
Leur deffaut ſert de luſtre à ta perfection, ttime ceſte fontaine auecque paßion:	Leur défaut sert de lustre à ta perfection, ttime cette fontaine auecque passion:
Son onde prend du marbre vne couleur d’iuoire, Qui ie ſueile ma ſoiſ, mabsie nay menpour boire.	Son onde prend du marbre une couleur d'ivoire, Qui m sueile ma sois, mabsie n' enpour boire.
CLEARQVE.	CLÉARQUE.
Voſtre Alteſſe ſe donne vn moment de loiſir.	Votre Altesse se donne un moment de loisir.
ARGENIE.	ARGENIE.
muemt put jouunretienm'a causé de plaiſir?	muemt put jouunretienm'a causé de plaisir?
Ie ne voy qu'à regret finir ceſte iournée:	Je ne vois qu'à regret finir cette journée:
PHILISE.	PHILISE.
Madame, en verité i’en demeure eſtonnée:	Madame, en vérité j'en demeure étonnée:
DEGVISE.	DÉGUISE.
Le voicy de retour, qu'est-ce qu’il a treuué?	Le voici de retour, qu'est-ce qu'il a trouvé?
CLEARQVE.	CLÉARQUE.
e vaſe n’est pas beau, mais il eſt bien laué:	Je vase n'est pas beau, mais il est bien laué:
i cinc alnſeypinieore,	y jinc alânseypinieore,
ABGENIE.	ÀBGENIE.
Ha tu luy fais outrage!	Ha tu lui fais outrage!
Etie ne veis iamais vn ſi parfaictouurage.	Etie ne vit jamais un si parfaitourage.
CLEARQVE.	CLÉARQUE.
4 mus Oumte (mon puy, pumiſle ieux diuers, Où ie gaignay ce prix, àreciter des vers.	4 mus Oumte (mon puis, pumisle jeux divers, Où g gaignay ce prix, àreciter des vers.
ARGENTEa).	ARGENTEa).
* Né ten ſouuient-il point?	Ne Né ten souvient-il point?
n	n
CLEARQVE.	CLÉARQUE.
T'en garde la memoire:	T'en garde la mémoire:
ARGENIE.	ARGENIE.
Me les voudroit tu dire?	Me les voudrait -tu dire?
CLEARQVE.	CLÉARQUE.
Ha cè m’est trop de gloire!	Ha cène m'est trop de gloire!
Courage heureux amant, tout va bien iuſqu’icy Et pour vous obeïr (Madame) les voicy,	Courage heureux amant, tout va bien jusqu'ici Et pour vous obéir (Madame) les voici,
E ii	E ji
V doux climat de la Grece, IAVn ieunerince amoureux, Qui n’oſoit vor ſa Maistreſſe, Prit vn deſſein dangereux:	V doux climat de la Grèce, IAUn jeunerince amoureux, Qui n'osait vor sa Maîtresse, Prit un dessein dangereux:
Pour approcher de la Belle, Qu'vn malheur faiſoit rébelle.	Pour approcher de la Belle, Qu'un malheur faisait rébelle.
A tant de fidelité;	À tant de fidélité;
Preſſé du traict qui le picque, Deſſous vn habit rustique, Il couurit ſa qualité.	Pressé du trait qui le pique, Dessous un habit rustique, Il couvrit sa qualité.
La fortune fauorable, Pour teſmoigner ſon pouuoir, A ceste Nimphe adorable L’offrit, & fit receuoir:	La fortune favorable, Pour témoigner son pouvoir, A cette Nymphe adorable L'offrit, et fit recevoir:
à Ainſi ſouz l’habit champestre, D'vn troupeau qu’is meine paist L.	à Ainsi souz l'habit champêtre, D'un troupeau qu'is mène paît L.
3 32e.	3 32e.
Prenant le ſoin chaque iour;	Prenant le soin chaque jour;
Il foule aux pieds la Couronne, Que ſa naiſſanceluy conne, Pour auoircelle d’amour.	Il foule aux pieds la Couronne, Que sa naissancelui conne, Pour avoircelle d'amour.
s4b.	s4b.
.	.
.	.
.	.
Nymphe, prenez connoiſſance D'vn ſort qui mi’eſtaſſez doux;	Nymphe, prenez connaissance D'H sort qui mimestassez doux;
vus Pueſque ie tiens la naiſſance, Du ſang des Dieux comme vous:	vus Puesque ici tiens la naissance, Du sang des Dieux comme vous:
Mais ſi la metamorphoſe, Que fait celuy qui diſpoſe D’vn cœur qui vous eſt donné, Desplaiſtà l’œil de Siluie:	Mais si la métamorphose, Que fait celui qui dispose D'un cœur qui vous est donné, Desplaistà l'œil de Silvie:
Ce chur va perdre la vie, Dés qu'il T’aura condamné, 2 1217 l2 23	Ce chur va perdre la vie, Dès qu'il T'aura condamné, 2 1217 l2 23
Il viuoit de ceste ſorte, Pleinde gloire & de-plaiſir;	Il vivait de cette sorte, Pleinde gloire et deplaisir;
Mais d’vne esperance morte, Il fit renaiſtre vndeſir;	Mais d'une espérance morte, Il fit renaître vndesir;
Qui ſollicitaſon ame, De faire eſclatter la flame, Qui le priuoit de repos:	Qui sollicitason âme, De faire éclater la flamme, Qui le privait de repos:
Il crũt ce conſeil fidelle;	Il crît ce conseil fidèle;
Si bien que s’approchant d’elle, .	Si bien que s'approchant d'elle, .
Son cœur luy tint ces propos.	Son cœur Seigneur tint ces propos.
Ie ſuis.	Je suis.
il ferme la bouche, Sur le point de ſe nommer:	il ferme la bouche, Sur le point de se nommer:
O quelle crainte le couche!	Ô quelle crainte le couche!
Et qu'on la doit eſtimer!	Et qu'on la doit estimer!
Il ſouffre la violence t Du reſpect & du ſilence, Il paroiſt paſle, & tranſi:	Il souffre la violence t Du respect et du silence, Il paraît pâle, et transi:
Et ſans dire ſi la Belle, Fut pitoyable, ou rebelle, L’hiſtoire finit ainſi.	Et sans dire si la Belle, Fut pitoyable, ou rebelle, L'histoire finit ainsi.
	
ARGENIE.	ARGENIE.
Ha qu’il recite bien!	Ha qu'il récite bien!
qu’il entend bien la rime!	qu'il entend bien la rime!
Etqu'vn vers à de force, a dinſtant qu'il l'unimes Adieu, la nuict s’approche, il ſe faut retirer:	Etqu'un vers à de force, a dinstant qu'il l'unîmes Adieu, la nuit s'approche, il se faut retirer:
CLEARQVE.	CLÉARQUE.
Tout plaiſir violent ne peut long temps durer.	Tout plaisir violent ne peut long temps durer.
A mour, que de douceur i’espreuue en ton Empire!	À mour, que de douceur j'épreuve en ton Empire!
Sans doute elle a compris ce que ie voulois dire:	Sans doute elle a compris ce que ici voulais dire:
Mais tre fue d’allegreſſe, où cachons la ſi bien, Que celle qui me ſuit n'en apperçoiue rien.	Mais tr ouve d'allégresse, où cachons la si bien, Que celle qui me suit n'en aperçoive rien.
SCENE SIXTESME.	SCÈNE SIXTESME.
MELANIE,	MELANIE,
MELANIRE.	MELANIRE.
SArlons, il en eſt temps;	SArlons, il en est temps;
honneur c'eſt tropme eesxees taire:	honneur c'est tropme ces taire:
Et quoy, touſiours penſif, reſueur, & ſolitaire?	Et quoi, toujours pensif, rêveur, et solitaire?
Touſiours dans les threſors y borner ſes deſirs, Et mespriſer pour eux tous les autres plaiſirs?	Toujours dans les trésors y borner ses désirs, Et mépriser pour eux tous les autres plaisirs?
Ne regarder de ſein, que celuy de la terre?	Ne regarder de sein, que celui de la terre?
Pardonnez, beau Sorcier, ſi ie vous fais la guerre;	Pardonnez, beau Sorcier, si je vous fais la guerre;
Mais cette humeur ſauuage eſt autant à blaſmer, omme celle qui parle eſt capable d’aimer.	Mais cette humeur sauvage est autant à blâmer, omme celle qui parle est capable d'aimer.
CLEARQVE.	CLÉARQUE.
Quelque ſoin que ie donne à ce metal ſi rare, Vous me connoiſſez mal, en me croyant auare:	Quelque soin que personne donne à ce métal si rare, Vous me connaissez mal, en me croyant avare:
Puiſque ie ſuis content, ce quei ayme ſuffit:	Puisque ie suis content, ce quei aime suffit:
Si ie cherche de l’or, c’eſt pour voſtre profit.	Si ici cherche de l'or, c'est pour votre profit.
MELANIRE.	MELANIRE.
Que mon mary brutal en ſoule ſon enuie, Mais il ne ſert de rien au repos de ma vie;	Que mon mari brutal en soule son envie, Mais il ne sert de rien au repos de ma vie;
Et ſi vous ne donnez que cela ſeulement, Ie netenfayde vom pen de contememem.	Et si vous ne donnez que cela seulement, Je netenfaide vom pen de contemèmem.
CLEARQVE.	CLÉARQUE.
Que peut vn malheureux, que la fortune afflige?	Que peut un malheureux, que la fortune afflige?
MELANIRE.	MELANIRE.
Mlais que ne peut-il point, ſi ſa faueurm'oblige?	Mlais que ne peut-il point, si sa faveurm'oblige?
CLEARQVE.	CLÉARQUE.
Que voulez-vous de moy, qui n'ay rien à donner?	Que voulez-vous de moi, qui n'ai rien à donner?
MELANIRE.	MELANIRE.
Es-tu ſi peu ſçauant en l’art de deuiner?	Es-tu si peu savant en l'art de deviner?
Remarque mes ſouſpirs, & ſans que ie le die, Affin de me guarir, connois ma maladie.	Remarque mes soupirs, et sans que deux le die, Affin de me garir, connais ma maladie.
Mies yeux parlent aſſez;	Mies yeux parlent assez;
mon cœur te dit par eux, Puis que tu n’aimes point, qu'il'eſt trop amoureux.	mon cœur te dit par eux, Puis que tu n'aimes point, qu'il'est trop amoureux.
Connois-tu ma douleur?	Connais-tu ma douleur?
vois-tu mon ame ouuerte?	vois-tu mon âme ouverte?
Es-tu ſourd comme aueugie:	Es-tu sourd comme aveugie:
in-tuiuit ma perte?	intuivit ma perte?
Et conſeruant ta glace aupres de mon ardeur, Seras-tu ſans courage, où ie ſuis ſans pudeur?	Et conservant ta glace auprès de mon ardeur, Seras-tu sans courage, où ton suis sans pudeur?
CLEARQVE.	CLÉARQUE.
Ie commence à ſentir ma raiſon endormie:	Je commence à sentir ma raison endormie:
Il faut paincre en fuyantcenle veue ememie.	Il faut painre en fuyantcenle vue ememie.
MELANIRE.	MELANIRE.
Tu fuis donc inſenſible, & ſuperbe vainqueur, Au lieu de receuoir les offres de mon cœur?	Tu fuis donc insensible, et superbe vainqueur, Au lieu de recevoir les offres de mon cœur?
Ton meſpris inſolent fait gloire de ma honte?	Ton mépris insolent fait gloire de ma honte?
Tum'entens ſouſpirer, tu n'en fais point de conte?	Tum'entends soupirer, tu n'en fais point de compte?
Tu reſtes ſans pitié?	Tu restes sans pitié?
tu ris de mon tourment?	tu ris de mon tourment?
Et ne m’aßiſtes pas d’vn regard ſeulement?	Et ne m'assistes pas d'une regard seulement?
Et myy i'adorerois vn tygre, vne ſtatuë?	Et mi j'adorerais un tigre, une statue?
Non, deſpit, oſte-moy le venin qui me tuë:	Non, dépit, ôte-moi le venin qui me tue:
C’en eſt fait, fuy demon, qui m'as voulu trahir;	C'en est fait, fui demon, qui m'as voulu trahir;
Ie ne veux plus aimer, ce que ie dois haïr.	Je ne veux plus aimer, ce que ici dois haïr.
A.	A.
	
Il t’en va.	Il t'en va.
ACTE TROISIESME.	ACTE -TROISIÈME.
CLEARQVE, MELANIRE, LISANDRE, FLORESTOR, RVTILE, ARGENIE, PHILISE.	CLEARQUE, MELANIRE, LISANDRE, FLORÉTOR, RUTILE, ARGENIE, PHILISE.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
CLEARQVE, LISANDRE, FLORESTOR,	CLÉARQUE, LISANDRE, FLORÉTOR,
CLEARQVE.	CLÉARQUE.
E ſignal eſt donné, reſpondons-y;	E signal est donné, répondons-y;
Liſandre, Floreſtor,	Lisandre, Florêtor,
LI SANDRE.	LI SANDRE.
Monſeigneur,	Monseigneur,
CLEARQVE.	CLÉARQUE.
Ie yous ay faict attendre;	Je yous ai fait attendre;
Mais il falloit vſer des faueurs de la nuict Et ſemer à deſſein d’enrecu, mun iejruict.	Mais il fallait user des faveurs de la nuit Et semer à dessein d'enrecu, mun iejruict.
LISANDRE.	LISANDRE.
Le peril eminent où l’amour vous expoſe, Ne veut (non plus que moy) que Floreſtor repoſe, Et nous venons tous deux (eſgaux en ſentimens) Prendre vn ordre nouueau de vos commandemens.	Le péril éminent où l'amour vous expose, Ne veut (non plus que moi) que Florêtor repose, Et nous venons tous deux (égaux en sentiments) Prendre un ordre nouveau de vos commandements.
CLEARQVE.	CLÉARQUE.
Vos ſoins ſont obligeans, mais non pas neceſſaires:	Vos soins sont obligeants, mais non pas nécessaires:
Quiconque a du bon-heur, ne craint point d’aduerſaires;	Quiconque a du bonheur, ne craint point d'adversaires;
Tont jaetrar a jongre, raune pent, MIpejer, Et pour eſtre content, il ne luy faut qu’oſer.	Tont jaetrar a jongre, raune pent, MIpéjer, Et pour être content, il ne lui faut qu'oser.
LISANDRE.	LISANDRE.
Voſtre Alteſſe ſçauante aux coups de la fortune, Trouuera-t'elle bonque ie l’en importune?	Votre Altesse savante aux coups de la fortune, Trouvera-t'-elle bonque éclair l'en importune?
Et qu’vne fois encore ie l’oblige à ſonger, Qu'elle eſt touſiours fortune, & ſubiecte à changer.	Et qu'une fois encore rien l'oblige à songer, Qu'elle est toujours fortune, et sujet à changer.
CLEARQVE.	CLÉARQUE.
Quand on eſt embarqué, toutdepend du courage:	Quand on est embarqué, toutdepend du courage:
Il faut aller au port, ou perir dans l’orage;	Il faut aller au port, ou périr dans l'orage;
y.	y.
T.	T.
.	.
C-1 Retourner ſur ſes pas, eſt trop de laſcheté;	Ç-1 Retourner sur ses pas, est trop de lâcheté;
Et le iour à ce prix, ſeroit trop achepté.	Et le jour à ce prix, serait trop acheté.
LISANDRE.	LISANDRE.
Penſez que les deſſeins qu’executent les Princes, Font touſiours de l’eſclat en toutes les Prouinces, Et que vostre depart que l’on ſçait en ces lieux, De tant de gens deçeus, peut deßiller les yeux.	Pensez que les desseins qu'exécutent les Princes, Font toujours de l'éclat en toutes les Provinces, Et que votre départ que l'on sait en ces lieux, De tant de gens déçus, peut deviller les yeux.
CLEARQVE.	CLÉARQUE.
Liſandre, ie rirois ſi i’eſtois ſans contrainte:	Lisandre, ie rirais si j'étais sans contrainte:
On ne m’esbranſle point par l’obiect de la crainte;	On ne m'ébranle point par l'objet de la crainte;
Mlemonſtrer un peri, c'eſt y porter mes pas, Quandce chemin d’honneur, le ſeroit du treſpas.	Mlemontrer un péri, c'est y porter mes pas, Quandce chemin d'honneur, le serait du trépas.
LISANDRE.	LISANDRE.
Ie ſçay que le reſpect m'impoſe le ſilence, Mais mon mal pour ſe taire a trop de violence;	Je sais que le respect m'impose le silence, Mais mon mal pour se taire a trop de violence;
Souffrez donc (Monſeigneur) que ie vous diſe encor, Qu’il faut viure en Achille, & mourir en Hector:	Souffrez donc (Monseigneur) que je vous dise encor, Qu'il faut vivre en Achille, et mourir en Hector:
Eſtonner de nos coups l’ennemy qui nous tue;	Étonner de nos coups l'ennemi qui nous tue;
S’enterrer ſouz vn pan de muraille abatue;	S'enterrer souz un pan de muraille abatue;
Arrouſer ſon ſepulcre, & de ſang, & de pleurs;	Arrouser son sépulcre, et de sang, et de pleurs;
C’eſt là qu’il faut mourir, & non parmy des fleurs.	C'est là qu'il faut mourir, et non parmi des fleurs.
Iugez lequel vaut mieux pour voſtre renommée, De dreſſer vn parterre, ou ranger vne Armée;	Jugez lequel vaut mieux pour votre renommée, De dresser un parterre, ou ranger une Armée;
De paroiſtre en Monarque, à qui tout eſt ſoubmis, Ou d’eſtre ſans deffence aux mains des ennenuis:	De paraître en Monarque, à qui tout est soumis, Ou d'être sans défense aux mains des ennuis:
Mon zele eſt indiſcret;	Mon zèle est indiscret;
mais ce qui me le donne, Mon deuoir, mon amour, valent qu’on luy parAonne.	mais ce qui me le donne, Mon devoir, mon amour, valent qu'on tu parAonne.
CLEARQVE.	CLÉARQUE.
O que cette colere eſt d’vn amy parfaict!	Ô que cette colère est d'une ami parfait!
En connoiſſant la cauſe, on excuſe l’effect:	En connaissant la cause, on excuse l'effet:
I'aime cette franchiſe, elle eſt extr'ordinaire;	J'aime cette franchise, elle est extr'ordinaire;
Elle part d’vn eſprit qui n'eſt point mercenaire;	Elle part d'une esprit qui n'est point mercenaire;
Qui ne ſçait point flatter, ny deſguiſer ſa voix, Pour chatoüiller le cœur, & l’oreille des Rois.	Qui ne sait point flatter, ni déguiser sa voix, Pour chatoüiller le cœur, et l'oreille des Rois.
Certes la verité que mon ame reuere, Se peut bien appeller vne beauté ſeuere:	Certes la vérité que mon âme révère, Se peut bien appeler une beauté sévère:
Ie la connois, Liſandre, elle eſt de ton coſté;	Je la connais, Lisandre, elle est de ton côté;
Mais de l’eſcouter plus, tout moyen m'eſt oſté:	Mais de l'écouter plus, tout moyen m'est ôté:
Auecque la raiſon, vn tiran l’a bannie:	Avec la raison, un tyran l'a bannie:
Ie les aime beaucoup, mais bien plus Argenie:	Je les aime beaucoup, mais bien plus Argénie:
Et malgré leurs diſcours, & leur ſeuerité, Ie quitte pour ſes yeux, raiſon, & verité.	Et malgré leurs discours, et leur sévérité, Je quitte pour ses yeux, raison, et vérité.
F iij	 Fij
LISANDRE.	LISANDRE.
Pour guerir voſtre mal, enleuez qui le donne:	Pour guérir votre mal, enlevez qui le donne:
CLEARQVE.	CLÉARQUE.
Ie veux auoir ſon cœur, & non pas ſa Couronne:	Je veux avoir son cœur, et non pas sa Couronne:
e conſeil violent ne plaiſt point à ma foy:	 conseil violent ne plaît point à ma foi:
Il faut qu'Amour la prenne, & la force pour moy:	Il faut qu'Amour la prenne, et la force pour moi:
Et ie l’oſe eſperer;	Et ici l'ose espérer;
retirez vous Liſandre, Ne me reſpondez point, quelqu’vn nous vient ſurplanare!	retirez -vous Lisandre, Ne me répondez point, quelqu'un nous vient surplanare!
Adieu, ſeparons nous:	Adieu, séparons -nous:
LISANDRE.	LISANDRE.
Faſcheux commandement, Ie le laiſſe en danger, & m'en vay laſchement.	Fâcheux commandement, Je le laisse en danger, et m'en vais lâchement.
SCENE SECONDE.	SCÈNE SECONDE.
ALIILESCEENNCE,	ALIILESCEENNCE,
9ES RVTILE.	O9ES RVTILE.
T bien cher Policandre, aurons nous ces merueilles, Dont vous m’auez rauy le cœur par les oreilles?	T bien cher Policandre, aurons nous ces merveilles, Dont vous m'avez rauy le cœur par les oreilles?
Le demon fauorable, ou vaincu par vos vers, L’ame par ce que i’ay loing d’eſtre contentée, Voit ſon deſir plus grand, & ſa ſoif augmentée:	Le démon favorable, ou vaincu par vos vers, L'âme par ce que j'ai loin d'être contentée, Voit son désir plus grand, et sa soif augmentée:
L’or ce metal ſorcier, d’vn merueilleux pouuoir, A faict que plus i'en ay, plus i’en voudrois auoir.	L'or ce métal sorcier, d'un merveilleux pouvoir, A fait que plus j'en ai, plus j'en voudrais avoir.
CLEARQVE.	CLÉARQUE.
on maiſtre, aſſeurez vous que dans peu l’energie, e tant de mots ſacrez, qu’enſeigne la magie, Forcera les demons de remettre en vos mains, Plus de bien, qu’on n'en voit au reſte des humains.	on maître, assurez -vous que dans peu l'énergie, eu tant de mots sacrés, qu'enseigne la magie, Forcera les démons de remettre en vos mains, Plus de bien, qu'on n'en voit au reste des humains.
.	.
.	.
Des tables d’or maßif, des vaſes, des ſtatuës, De perles, de rubis, ſuperbement veſtuës;	Des tables d'or massif, des vases, des statues, De perles, de rubis, superbement vestuës;
Des Throſnes d’emeraude, & des montagnes d’or:	Des Thrônes d'émeraude, et des montagnes d'or:
RVTILE.	RUTILE.
Peneies auons nous, que tardeZ vous encoy?	Pénies avons -nous, que tardez vous encoi?
CLEARQVE.	CLÉARQUE.
Sçachez qu’il nous faut ioindre auecque ma ſcience, Le ſecours du loiſir, & de la patience:	Sachez qu'il nous faut joindre auecque ma science, Le secours du loisir, et de la patience:
Tout aſpect n'eſt pas bon pour ce miſtere icy;	Tout aspect n'est pas bon pour ce mystère ici;
Le Ciel eſt trop ſerein, par fois trop obſcurcy;	Le Ciel est trop serein, par fois trop obscurci;
La Lune en ſon decours, fera mal ſon office;	La Lune en son décours, fera mal son office;
L’enfer ſourd à ma voix, deniande vn ſacrifice;	L'enfer sourd à ma voix, deniande un sacrifice;
Vne herbe, vne racine, vne fleur, vnmetal, En ne ſe trouitant point, me rendent tout fatal:	Une herbe, une racine, une fleur, vnmetal, En ne se trouitant point, me rendent tout fatal:
Il faut recommencer l’œuure preſqu'acheuée;	Il faut recommencer l'œuvre presqu'achevée;
Et i’en connois la peine, elle m’eſt arriuée.	Et j'en connais la peine, elle m'est arrivée.
Mais voyez cependant vn ſimple coup d’eſſay Du pouuoir de mon art, & de ce que i’y ſçay:	Mais voyez cependant un simple coup d'essai Du pouvoir de mon art, et de ce que j'y sais:
Mettez vous dans ce cerne:	Mettez -vous dans ce cerne:
RVTILE.	RUTILE.
RVTILE.	RUTILE.
Ha bons Dieux ie friſſonne!	Ha bons Dieux Dieux frissonne!
CLEARQVE.	CLÉARQUE.
