A MONSEIGNEUR MONSEIGNEUR LE CARDINAL DUC DE NICIELIEC.	À MONSEIGNEUR MONSEIGNEUR LE CARDINAL DE NE NICIELIC.
A BINE.	À BINE.
Comme vous ie l'elpere.	Comme vous ie l'elpère.
CAMILLE.	CAMILLE.
Et ie n’oſe y ſonger.	Et ici n'ose y songer.
Ai BIEo.	Ai BYE.
L’effet nous fera voir qui ſçait mieux en iuger.	L'effet nous fera voir qui sait mieux en juger.
CENE IV.	CÈNE IV.
SABINE, CAMILLE,	SABINE, CAMILLE,
SABINE.	SABINE.
D'Army nos deſplaiſirs ſouffrés que ie vous blaſme.	D'Armi nos déplaisirs souffrez que je vous blâme.
Ie ne puis approuuer tãt de trouble en voſtre ame, Que feriez vouz, ma ſœur, au point où ie me voy Si vous auiez à craindre autant que ie le doy, Et ſi vous attendiez de leurs armes fatales (les?	Je ne puis approuver tant de trouble en votre âme, Que feriez voulez, ma sœur, au point où on me vois Si vous aviez à craindre autant que personne le dois, Et si vous attendiez de leurs armes fatales (les?
Des maux pareils aux miens, & des pertes eſga	Des maux pareils aux miens, et des pertes éga
CAMILLE.	CAMILLE.
Parlez plus ſainement de vos maux & des miens, Chacun voit ceux d’autruy d’vn autre œil que les ſiens, Mais à bien regarder ceux où le Ciel me plonge, Les voſtres apres d’eux vous ſembleront vn ſonge.	Parlez plus sainement de vos maux et des miens, Chacun voit ceux d'autrui d'un autre œil que les siens, Mais à bien regarder ceux où le Ciel me plonge, Les vôtres après d'eux vous sembleront un songe.
La ſeule mort d’Horace eſt à craindre pour vous, Des freres ue ſontrien à l’égal d’vn eſpoux, L’Hymen qui nous attache en vn autre famille, Nous détache de celle où l’on a veſcu fille, On ne compare point des nœuds ſi differens, Et pour ſuiure vn mary l’on quitte ſes parens:	La seule mort d'Horace est à craindre pour vous, Des frères ue si d ifségal ren ts, L'Hymen qui nous attache en un autre famille, Nous détache de celle où l'on a vécu fille, On ne compare point des nœuds si différents, Et pour suivre un mari l'on quitte ses parents:
pere Mais ſi prés d’vn Hymen l’amant que donne vn Nous eſt moins qu’vn eſpoux & non pas moins qu’vn frere, Nos ſentimens entre eux demeurent ſuſpendus, Noſtre choix impoſſible, & nos vœux confondus, Ainſi, ma ſœur, du moins vous auez dans vos plaintes, Où porter vos ſouhaits, & terminer vos craintes, Mais ſi le Ciel s’obſtine à nous perſecuter, Pour moy i’ay tout à craindre & rien à ſouhaiter,	père Mais si prés d' Hymen l'amant que donne un Nous est moins qu'un époux et non pas moins qu'un frère, Nos sentiments entre eux demeurent suspendus, Notre choix impossible, et nos vœux confondus, Ainsi, ma sœur, du moins vous avez dans vos plaintes, Où porter vos souhaits, et terminer vos craintes, Mais si le Ciel s'obstine à nous persécuter, Pour moi j'ai tout à craindre et rien à souhaiter,
SABINE.	SABINE.
Quand il faut que l’vn meure, & par les mains de l’autre.	Quand il faut que l'un meure, et par les mains de l'autre.
ſtre.	stre.
C’eſt vn raiſonnement bien mauuais que le voQuoy que ce ſoient, ma ſœur, des nœuds bien differens, C’eſt ſans les oublier qu’on quitte ſes parens;	C'est un raisonnement bien mauvais que le voQuoi que ce soient, ma sœur, des nœuds bien différents, C'est sans les oublier qu'on quitte ses parents;
L’Hymen n’efface point ces profonds caracteres, Pour aimer vn mary l’on ne haït pas ſes freres, La nature en tout temps garde ſes premiers droits, Aux deſpens de leur vie on ne fait point de choix, Auſſi bien qu’vn eſpoux, ils ſont d’autres nous meſmes, (mes:	L'Hymen n'efface point ces profonds caractères, Pour aimer un mari l'on ne hait pas ses frères, La nature en tout temps garde ses premiers droits, Aux dépens de leur vie on ne fait point de choix, Aussi bien qu' Houx, ils sont d'autres nous mêmes, (mes:
Et tous maux ſont pareils alors qu’ils ſont extréMais l’amant qui vous charme, & pour qui vous bruſlés Ne vous eſt apres tout que vous voulez, Vne mauuaiſe humeur, vn peu de jalouſie, Le peuuent mettre hors de voſtre fantaiſie, Ce quelles font ſouuent, faites le par raiſon, Et laiſſés voſtre ſang hors de comparaiſon, C’eſt crime qu’oppoſer des liens volontaires A ceux que la naiſſance a rendus neceſſaires ordone le ciers obitine a ſous pelceuter, Seule i’ay tout à craindre & rien à ſouhaiter, mais pour vous, le devoir vous donne dans vos plaintes Où porter vos ſouhaits & terminer vos craintes.	Et tous maux sont pareils alors qu'ils sont extréMais l'amant qui vous charme, et pour qui vous brûlez Ne vous est encore tout que vous voulez, Vaine mauvaise humeur, vn eur de jalousie, Le peuvent mettre hors de votre fantaisie, Ce quelles font souvent, faites le par raison, Et laissez votre sang hors de comparaison, C'est crime qu'opposer des liens volontaires À ceux que la naissance a rendus nécessaires ordone le ciers obitine a sous pelcuter, Seule i’, mais pour craindre et rien à souhaiter, mais pour vous, le devoir vous donne dans vos plaintes porter vos souhaits et terminer vos craintes.
CAMILLE.	CAMILLE.
Ie le voy bien, ma ſœur, vous n’aymaſtes iamais, vous Vous ne cognoiſſez point ny l’Amour ny ſes traits:	Je le vois bien, ma sœur, vous n'aimâtes jamais, vous Vous ne connaissez point ainsi l'Amour On ses traits:
4 On peut luy reſiſter quand il commence à naiſtre, Mais non pas le bannir quand il s’eſt rendu maiſtre, Et que l’adueu d’vn pere engageant noſtre foy A faict de ce Tyran vn legitime Roy.	4 On peut lui résister quand il commence à naître, Mais non pas le bannir quand il s'est rendu maître, Et que l'aveu gère engageant notre foi A fait de ce Tyran un légitime Roi.
Il entre auec douceur, mais il regne par force, Et quand l’ame vne fois a gouſté ſon amorce, Vouloit ne plus aymer c’eſt ce qu’elle ne peut, Puiſqu’elle ne peut plus vouloir que ce qu’il veut;	Il entre avec douceur, mais il règne par force, Et quand l'âme une fois a goûté son amorce, Voulait ne plus aimer c'est ce qu'elle ne peut, Puisqu'elle ne peut plus vouloir que ce qu'il veut;
Ses chaines ſont pour nous auſſi fortes que belles.	Ses chaines sont pour nous aussi fortes que belles.
BCENEV.	BCENEU.
Le vieil HORACE, SABINE, CAMILLE.	Le vieil HORACE, SABINE, CAMILLE.
Le vieil HORA CE.	Le vieil HORA CE.
IE viens vous apporter de faſcheuſes novelles;	JE viens vous apporter de fâcheuses novelles;
Mes filles, mais en vain ie voudrois vous celer Ce qu’on ne vous ſçautoit long temps diſſimuler.	Mes filles, mais en vain ie voudrais vous celer Ce qu'on ne vous sautait long temps dissimuler.
Vos freres ſont aux mains, les Dieux ainſi l’otdonnent.	Vos frères sont aux mains, les Dieux ainsi l'otdonnent.
SABINEE.	SABINE.
Ie veux bien l’aduouër, ces nouuelles m’eſtõnent, Et je me m’imaginois dans la divinité Beaucoup moins d’injuſtice, & bien plus de bonté.	Je veux bien l'avouer, ces nouvelles m'estõnent, Et je me m'imaginais dans la divinité Beaucoup moins d'injustice, et bien plus de bonté.
Ne nous conſolez point, la raiſon importune Quand elle oſe combatre vne telle infortune, Nous auons en nos mains la fin de nos douleurs, Qui peut vouloir mourir, peut braver les malheurs.	Ne nous consolez point, la raison importune Quand elle ose combattre un telle infortune, Nous avons en nos mains la fin de nos douleurs, Qui peut vouloir mourir, peut braver les malheurs.
Nous pourrions aiſément faire en voſtre preſence De noſtre deſeſpoir vne fauſſe conſtance, Mais quand ou peut ſans honte eſtre ſans fermeté La vouloir contre-faire eſt vne laſcheté, L’vſage d’vn tel art nous le laiſſons aux hommes, Et ne voulons paſſer que pour ce que nous ſommes.	Nous pourrions aisément faire en votre présence De notre désespoir vne fausse constance, Mais quand ou peut sans honte été sans fermeté La vouloir contrefaire est une lâcheté, L'usage d'un tel art nous le laissons aux hommes, Et ne voulons passer que pour ce que nous sommes.
Nous ne demandons point qu’vn courage ſi fort S’abaiſſe à noſtre exemple à ſe plaindre du ſort;	Nous ne demandons point qu’vn courage si fort S'abaisse à notre exemple à se plaindre du sort;
Receuez ſans fremir ces mortelles alarmes, Voyes couler nos pleurs ſans y meſſer vos larmes.	Recevez sans frémir ces mortelles alarmes, Voies couler nos pleurs sans y messer vos larmes.
en Ml peur toute gaass en as dea depuiais, Gardés voſtre conſtance & ſouffrez nos ſouſpirs.	en Ml peur toute gass en as dea dépuiais, Gardezez votre constance et souffrez nos soupirs.
Le vieil HORACE.	Le vieil HORACE.
Loin de blaſmer les pleurs que ie vous voy reſpandre, Ie croy faire beaucoup de m’en pouuoir defendre, Et cêderois peut-eſtre à de ſi rudes coups Si ie prenois icy meſme intereſt que vous.	Loin de blâmer les pleurs que je vous vois répandre, Je cro faire beaucoup de m'en pouvoir défendre, Et céderais peut-être à de si rudes coups Si tu prenais ici même intérêt que vous.
freres.	frères.
Non qu’Albe par ſon choix m’ait fait hayr vos Tous trois me ſont encor des perſonnes bien cheres, Mais en fin l’amitié n’eſt pas du meſme rang Et n’a point les effets de l’amour ny du ſang.	Non qu'Albe par son choix m'ait fait haïr vos Tous trois me sont encor des personnes bien chères, Mais en fin l'amitié n'est pas du même rang Et n'a point les effets de l'amour ni du sang.
Ie ne ſens point pour eux la douleur qui tourmẽte Sabine comme ſœur, Camille comme amante, Ie puis les regarder comme nos ennemis, Et donne ſans regret mes ſouhaits à mes fils.	Je ne sens point pour eux la douleur qui tourment Sabine comme sœur, Camille comme amante, Je puis les regarder comme nos ennemis, Et donne sans regret mes souhaits à mes fils.
Ils ſont, grace, aux Dieux, dignes de leur patrie.	Ils sont, grâce, aux Dieux, dignes de leur patrie.
Aucun eſtonnement n’a leur gloire fleſtrie, Et i’ay veu leur honneur croiſtre de la moitié, Quandils ont des deux camps refuſé la pitié, Si par quelque fo bleſſe ils l’auoient mandiée, Si leur haute vertu ne l’euſt repudiée, Ma main bien toſt ſur eux m’eſt vangé hautement De l’affront que m’euſt fait ce mol conſentement.	Aucun étonnement n'a leur gloire flétrie, Et j'ai vu leur honneur croître de la moitié, Quandils ont des deux camps refusé la pitié, Si par quelque fo lesse ils l'avaient mandiée, Si leur haute vertu ne l'eût répudiée, Ma main bien tôt sur eux m'est vengé hautement De l'affront que m'eût fait ce mol consentement.
Mais lors qu’en deſpir d’eux on en a voulu d’autres, Ie ne le cele point, i’ay joint mes vœux aux voſtres Si le ciel pitoyable euſt eſcouté ma voix, Albe ſeroit reduite à faire vn autre choix, Nous pourrions voir tantoſt triompher les Horaces, Sans voir leurs bras ſoüillés du ſang des Curiaces Et de l’euenement d’vn combat plus humain Dependroit maintenant l’honneur du nom Romain.	Mais lors qu'en dépir d'eux on en a voulu d'autres, Je ne le cèle point, j'ai joint mes vœux aux vôtres Si le ciel pitoyable eût écouté ma voix, Albe serait réduite à faire un autre choix, Nous ions voir tantôt triompher les Horaces, Sans voir leurs bras soüillés du sang des Curiaces Et de l'événement d'un combat plus humain Dependroit maintenant l'honneur du nom Romain.
La prudence des Dieux autrement en diſpoſe, Sur leur ordre eternel mon eſprit ſe repoſe, Il s’arme en ce beſoin de generoſité, Et du bon-heur public fait ſa felicité.	La prudence des Dieux autrement en dispose, Sur leur ordre éternel mon esprit se repose, Il s'arme en ce besoin de générosité, Et du bonheur public fait sa félicité.
nes Taſchés d’en faire autant pour ſoulager vos peiEt ſongez toutes deux que vous eſtes Romaines, Vous l’eſtes deuenuë, & vous l’eſtes encor:	nés Tâchés d'en faire autant pour soulager vos péiEt songez toutes deux que vous êtes Romaines, Vous l'êtes devenue, et vous l'êtes encor:
Vn ſi glorieux tiltre eſt vn digne treſor, Vn jour, vn iour viendra que par toute la terre, Rome ſe fera craindre à l’eſgal du tonnetre, Et que tout l’Vniuers tremblant deſſous ſes loix, Ce grand nom deuiendra l’ambition des Rois;	Un si glorieux titre est un digne trésor, Un jour, un iour viendra que par toute la terre, Rome se fera craindre à l'égal du tonnetre, Et que tout l'Univers tremblant dessous ses lois, Ce grand nom deviendra l'ambition des Rois;
Les Dieux à noſtre Ænée ont promis cette gloire	Les Dieux à notre Ænée ont promis cette gloire
OCENE VI.	OCE VI.
Le vieil HORACE, SABINE, CAMILLE, IVLIE.	Le vieil HORACE, SABINE, CAMILLE, IVLIE.
Le vieil HORACE.	Le vieil HORACE.
Ous venez vous, Iulie, apprendre la victoire?	Ous venez -vous, Julie, apprendre la victoire?
4V.	4V.
, 11E.	, 11E.
2) Mais pluſtoſt du combat les funeſtes effets, Rome eſt ſuiette d’Albe, & vos fils ſont deffaits, Des trois les deux ſont morts, ſon eſpoux ſeul vous reſte.	2) Mais plutôt du combat les funestes effets, Rome est suite d'Albe, et vos fils sont défaits, Des trois les deux sont morts, son époux seul vous reste.
Le vieil HORACE.	Le vieil HORACE.
O d’vn triſte combat effet vrayement funeſte?	Ô d'un triste combat effet vraiment funeste?
Rome eſt ſuiette d’Albe, & pour l’en garantir Il n’a pas employé iuſqu’au dernier ſoupir!	Rome est suite d'Albe, et pour l'en garantir Il n'a pas employé jusqu'au dernier soupir!
Non, non, cela n'eſt point, on vous trompe, luſies Rome Rome n’eſt point ſuiette, ou mon fils eſt ſans vie, Ie cognois mieux mon ſang, il ſçait mieux ſon devofr	Non, non, cela n'est point, on vous trompe, lusies Rome Rome n'est point suite, ou mon fils est sans vie, Je connais mieux mon sang, il sait mieux son dévofr
IVLIE.	IVLIE.
Mille de nos ramparts comme moy l’ont peu voir.	Mille de nos remparts comme moi l'ont pu voir.
Il s’eſt fait admirer tant qu’ont duré ſes freres, Mais comme il s’eſt veu ſeul contre trois adverlaltes, Preſt d’eſtre enfermé d’eux ſa fuite l’a ſauué,	Il s'est fait admirer tant qu'ont duré ses frères, Mais comme il s'est vu seul contre trois adverlaltes, Prêt d'être enfermé d'eux sa fuite l'a sauvé,
Le vieil HORACE.	Le vieil HORACE.
Et nos ſoldats trahis ne l’ont pas achevé!	Et nos soldats trahis ne l'ont pas achevé!
traite?	traite?
Dans leurs rangs à ce laſche ils ont donné re	Dans leurs rangs à ce lâche ils ont donné re
IVLIE.	IVLIE.
Ie i'ay fien rountt voir apres cette defaite.	Je j'ai sien rount voir après cette défaite.
O mes freres!	Ô mes frères!
CAMILLE.	CAMILLE.
Le vieil HORACE.	Le vieil HORACE.
Tout beau ne les pleurés pas tous, Deux iouyſſent d’vn ſort dont leur pere eſt ialoux, Que des plus nobles fleurs leur tombe ſoit couuerte, La gloite de leur mort m’a payé de leur perte, Ce bon-heur a ſuiuy leur courage inuaincu Qu’ils ont veu Rome libre autant qu’ils ont veſcu, Et ne l’auront point veuë obeyr qu’a ſon Prince, Ny d’vn eſtat voiſin deuenir la Prouince.	Tout beau ne les pleurés pas tous, Deux jouissent d'un sort dont leur père est jaloux, Que des plus nobles fleurs leur tombe soit couverte, La gloite de leur mort m'a payé de leur perte, Ce bonheur a suivi leur courage invaincu Qu'ils ont vu Rome libre autant qu'ils ont vécu, Et ne l'auront point vue obéir qu'a son Prince, Ni d'un état voisin devenir la Province.
Pleurez l’autre, pleurez l’itreparable affront Quie lafunte nonteure mpimle dhente lront, Pleurez le deshonneur de toute noſtre race, Et l’opprobre eternel qu’il laiſſe au nom d’Horace.	Pleurez l'autre, pleurez l'itréparable affront Quie lafunte nonteure mpimle denté lront, Pleurez le déshonneur de toute notre race, Et l'opprobre éternel qu'il laisse au nom d'Horace.
IVLIE.	IVLIE.
Que vouliez vous qu’il fiſt contre trois?	Que vouliez -vous qu'il fît contre trois?
Le vieil HORACE.	Le vieil HORACE.
Qu’il mouruſt.	Qu'il mourût.
On qu’vn beau deſeſpoir alors le ſecouruſt N’euſt-il que d’vn moment reculé ſa deffaite, Roine Rome euſt eſté du moins vn peu trop tard ſuiette, Il euſt auec honneur laiſſée mes cheueux gris, Et c’eſtoit de ſa vie vn aſſez dignez prix, Il eſt de tout ſon ſang comptable à ſa patrie, Chaque goute eſpargnée a ſa gloite fleſtrie, Chaque inſtant de ſa vie apres ce laſche tour, Met d’autant plus ma honte auec la ſienne au iour.	On qu'un beau désespoir alors le secourût N'eût-il que d'un moment réculé sa défaite, Roine Rome eût été du moins un peu trop tard suite, Il eût avec honneur laissée mes cheveux gris, Et c'était de sa vie un assez dignez prix, Il est de tout son sang comptable à sa patrie, Chaque goute épargnée à sa gloite flétrie, Chaque instant de sa vie après ce lâche tour, Met d'autant plus ma honte avec la sienne au jour.
I’en rompray bien le cours, & ma iuſte colere Contre vn indigne fils vſant des droits d’vn pere Sȩaura bienralre voir daiis la puſsition L’eſclatant deſadueu d’vne telle action.	J'en romprai bien le cours, et ma juste colère Contre un indigne fils usant des droits d'un père Sacaura bienralère voir daiis la pussition L'éclatant désaveu ne telle action.
SABINE.	SABINE.
Eſcoutez vn peu moins ces ardeurs genereuſes, Et ne nous rendez point tout à fait mal heureuſes,	Écoutez un peu moins ces ardeurs généreuses, Et ne nous rendez point tout à fait mal heureuses,
Le vieil HORACE.	Le vieil HORACE.
Sabine, voſtre cœur ſe conſole aiſément, (ment, Nos malheurs iuſqu’icy vous touchent foibleVous n’auez point encor de part à nos miſeres, Le Cieil vous à ſauué voſtre eſpoux & vos freres, Si nous ſommes ſuiets, c’eſt de voſtre pays, (trahis, Vos fietes ſont vainqueurs quand nous ſommes Et voyant le haut point où leur gloire ſe monte (æe:	Sabine, votre cœur se console aisément, (ment, Nos malheurs jusqu'ici vous touchent foibleVous n'avez point encor de part à nos misères, Le Cieil vous à sauvé votre époux et vos frères, Si nous sommes sujets, c'est de votre pays, (trahis, Vos fiètes sont vainqueurs quand nous sommes Et voyant le haut point où leur gloire se monte (æe:
Vous regardez fort peu ce qui nous vient de honMais voſtre trop d’amour pour cét infame eſpoux, Vous donnera bien toſt à plaindre comme à nous.	Vous regardez fort peu ce qui nous vient de honMais votre trop d'amour pour cet infâme époux, Vous donnera bien tôt à plaindre comme à nous.
Vos pleurs en ſa faueur ſont de foibles defenſes, l’atteſte des grands Dieux les ſuprémes puiſſances Qu’autant ce iour finy ces mains, ces propres mains, Laueront dans ſon ſang la honte des Romains.	Vos pleurs en sa faveur sont de faibles défenses, l'atteste des grands Dieux les suprémes puissances Qu'autant ce jour fini ces mains, ces propres mains, Laveront dans son sang la honte des Romains.
SABINE.	SABINE.
Suiuons-le promptement, la colere l’emporte.	Suivons-le promptement, la colère l'emporte.
Dieux!	Dieux!
verrons nous touſiours des malheurs de la 4 ſorte?	verrons nous toujours des malheurs de la 4 sorte?
grands, Nous faudra- t’il touſiours en craindre de plus Et touſiours redouter la main de nos parents?	grands, Nous faudra- t-il toujours en craindre de plus Et toujours redouter la main de nos parents?
Mn du troiſieſme Acte.	Mn du troisième Acte.
ACTE	ACTE
TRAGEDIE.	TRAGÉDIE.
ACTE IV.	ACTE IV.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
Le vieil HORACE, CAMILLE.	Le vieil HORACE, CAMILLE.
Le vieil HORACE.	Le vieil HORACE.
E me parlez iamais en faueur d’vn infame, (femme, Qu’il me fuye à l’eſgal des freres de ſa Pour conſeruer vn ſang qu’il tient ſi precieux Il n’a rien fait encoi s’il n’éuite mes yeux.	E me parlez jamais en faveur d'un infâme, (femme, Qu'il me fuie à l'égal des frères de sa Pour conserver un sang qu'il tient si précieux Il n'a rien fait encoi s'il n'évite mes yeux.
Sabine y peut mettre ordre, ou derechef i’atteſte, Le ſouuerain pouuoir de la troupe celeſte.	Sabine y peut mettre ordre, ou derechef j'atteste, Le souverain pouvoir de la troupe céleste.
CAMILLE.	CAMILLE.
Hé!	Hé!
mon pere, prenez vn plus doux ſentiment, Vous verrez Rome meſmé en vſet autrement.	mon père, prenez un plus doux sentiment, Vous verrez Rome mémé en uset autrement.
Et de quelque malheur que le Ciel l’ait comblée, Excuſer la vertu ſoubs le nombre accablée.	Et de quelque malheur que le Ciel l'ait comblée, Excuser la vertu sous le nombre accablée.
Le vieil HORACE.	Le vieil HORACE.
Le iugement de Rome eſt peu pour mon regard, Camille, ie ſuis pere, & i’ay mes droits à part.	Le jugement de Rome est peu pour mon regard, Camille, Elle suis père, et j'ai mes droits à part.
Ie ſçay trop comme agit la vertu veritable, C'eſt fans en triompher que le homore i'accable, Et ſa maſle vigueur touſiours en meſme point Sueconibe ioubs ia lorce & ne luy cede point.	Je sais trop comme agit la vertu véritable, C'est sans en triompher que le honore j'accable, Et sa mâle vigueur toujours en même point Sueuonibe joubs ja lorce et ne lui cede point.
Taiſez-vous, & ſçachons ce que nous veut Valere.	Taisez-vous, et sachons ce que nous veut Valère.
SCENE II.	SCÈNE II.
Le vieil HORACE, VALERE, CAMILLE.	Le vieil HORACE, VALÈRE, CAMILLE.
2 VALERE.	2 VALÈRE.
G Nuoyé par le Roy pour conſoler vn pere, LEt pour luy teſmoigner.	G Nuoyé par le Roi pour consoler un père, LEt pour lui témoigner.
Le vieil HORACE.	Le vieil HORACE.
N’en prenez aucun ſoin, Cet C’eſt vn ſoulagement dont ie n’ay pas beſoin, Et i’ayme mieux voir morts que couuerts d’infamie Ceux que vient de m’oſter vne main ennemie;	N'en prenez aucun soin, Cet C'est un soulagement dont ie j'ai pas besoin, Et j'aime mieux voir morts que couverts d'infamie Ceux que vient de m'ôter une main ennemie;
Tous deux pour leur pays ſont mors en gens d’honneur, Il me ſuffit,	Tous deux pour leur pays sont mors en gens d'honneur, Il me suffit,
VALERE.	VALÈRE.
mais l'auitre eit vn tare bonheur, De tous les trois chez vous il doit tenir la place.	mais l'avitre eit un tare bonheur, De tous les trois chez vous il doit tenir la place.
Le vieil HORACE.	Le vieil HORACE.
Euſt-il fait auec luy perir le nom d’Horace,	Eût-il fait avec lui périr le nom d'Horace,
VALERE.	VALÈRE.
Seul vous le mal traités apres ce qu’il a fait.	Seul -vous le mal traitez après ce qu'il a fait.
Le vieil HORACE.	Le vieil HORACE.
C eit a moy teur aum de pumt ion rorfaite	C' it a moi teur aum de pumt ion rorfaite
VALERE.	VALÈRE.
Quel forfait trouuez vous en ſa bonne conduite?	Quel forfait trouvez -vous en sa bonne conduite?
Le vieil HORACE.	Le vieil HORACE.
Quel eſclat de vertu trouuez vous en ſa fuite?	Quel éclat de vertu trouvez -vous en sa fuite?
VALERE.	VALÈRE.
La fuite eſt glorieuſe en ceſte occaſion.	La fuite est glorieuse en cette occasion.
Levien ΠORACE.	Levien ORACE.
Vous tedoublez ma honte & ma confuſion, Certes l’exemple eſt rare & digne de memoire De trouuer dans la fuite vn chemin à la gloire.	Vous tedoublez ma honte et ma confusion, Certes l'exemple est rare et digne de mémoire De trouver dans la fuite un chemin à la gloire.
VALERE.	VALÈRE.
Quelle comunon, ce quene nonte a vous.	Quelle comunon, ce quène nonte a vous.
D’auoir produit vn fils qui nous conſerve tous, Qui fait triompher Rome, & luy gaigne vn empire?	D'avoir produit un fils qui nous conserve tous, Qui fait triompher Rome, et ton gagne un empire?
aſpire?	aspire?
A quels plus grands honneurs faut-il qu’vn pere	À quels plus grands honneurs faut-il qu'un père
Le vieil HORACE.	Le vieil HORACE.
Quels honneurs, quel triomphe, & quel empire enfin Lors qu’Albe ſoubs ſes loix range noſtre deſtin:	Quels honneurs, quel triomphe, et quel empire enfin Lors qu'Albe sous ses lois range notre destin:
VA	VA
VALERE.	VALÈRE.
Que parlez vous icy d’Albe, & de ſa victoire?	Que parlez -vous ici d'Albe, et de sa victoire?
lgnorez vous encor la moitie de l'hiſtoire?	Lgnorez -vous encor la moitie de l'histoire?
Le vieil HORACE.	Le vieil HORACE.
Le combat par ſa fuité eſt-il pas terminé?	Le combat par sa fuité est-il pas terminé?
VALERE.	VALÈRE.
Albe ainſi quelque temps ſe l’eſt imaginé, (me Mais ene a bient tort veu que e eitoit fuir en homQui ſçauoit meſnager l’auantage de Rome.	Albe ainsi quelque temps se l'est imaginé, (me Mais ene a bient tort vu que e itait fuir en homQui savait ménager l'avantage de Rome.
Le vien HORACE.	Le viens HORACE.
Quoy, Rome donc triomphe?	Quoi, Rome donc triomphe?
VALERE.	VALÈRE.
Apprenez, apprenez La valeur de ce fils qu’à tort vous condemnez Reſté ſeul contre trois, mais en ceſte auanture Tous trois eſtans bleſſez & luy ſeul ſans bleſſure, Trop foible pour eux tous, trop fort pour chacun d’eux.	Apprenez, apprenez La valeur de ce fils qu'à tort vous condamnez Resté seul contre trois, mais en cette aventure Tous trois étants blessés et un seul sans blessure, Trop faible pour eux tous, trop fort pour chacun d'eux.
Il ſçait bien ſe retirer d’vn pas ſi hazardeux, (ruſe Il fuit pour mieux combatre, & cette prompte Diuiſe adroitement trois freres qu’elle abuſe, Chacun le ſuit d’vn pas ou plus ou moins preſſé, Selon qu’il ſe rencontre ou plus ou moins bleſſé, Leur ardeur eſt eſgale à pour ſuiure ſa fuite, Mais leurs coups inégaux ſeparent leur pourſuite, Horace les voyant l'vn de l’autre eſcartez, Se retourne, & deſia les croit demy domprez, Il attend le premier & c’eſtoit voſtre gendre:	Il sçait bien se retirer d'Hôn pas si hazardeux, (roise Il fuit pour mieux combattre, et cette prompte Divise adroitement trois frères qu'elle abuse, Chacun le suit d'un pas ou plus ou moins pressé, Selon qu'il se rencontre ou plus ou moins blessé, Leur ardeur est égale à pour suivre sa fuite, Mais leurs coups inégaux séparent leur poursuite, Horace les voyant l'un de l'autre écartés, Se retourne, et déjà les croit demi iomprez, Il attend le premier et c'était votre gendre:
L’autre tout indigné qu’il ait oſé l’attendre, En vain en l’attaquant fait paroiſtre vn grand cœur, 11.	L'autre tout indigné qu'il ait osé l'attendre, En vain en l'attaquant fait paraître un grand cœur, 11.
10( Le ſang qu’il a perdu rallentit ſa vigueur.	10( Le sang qu'il a perdu ralentit sa vigueur.
Albe à ſon tour commence à craindre vn ſort contraire, Elle crie au ſecond qu’il ſecoure ſon frere, Il ſe haſte & s’eſpuiſe en efforts ſuperflns.	Albe à son tour commence à craindre un sort contraire, Elle crie au second qu'il secoure son frère, Il se hâte et s'épuise en efforts superfls.
arttouue enles joiguant que ſon frereur eſt plus,	artoue enles joiguant que son frèreur est plus,
Helase CAMILLE.	Hélase CAMILLE.
VALERE.	VALÈRE.
Tout hors d’haleine il prend pourtant ſa place, Et redouble bien toſt la victoire d’Horace, Son courage ſans force eſt vn debile appuy, Voulant vanger ſon frere il tombe aupres de luy.	Tout hors d'haleine il prend pourtant sa place, Et redouble bien tôt la victoire d'Horace, Son courage sans force est un débile appui, Voulant venger son frère il tombe auprès de Seigneur.
L’air reſonne des cris qu’au Ciel chacun enuoye, Albe en iette d’angoiſſe & les Romains de ioye.	L'air résonne des cris qu'au Ciel chacun envoie, Albe en jette d'angoisse et les Romains de joie.
Comme noſtre Heros ſe voit prés d’acheuer, C’eſt peu pour luy de vaincre, il veut encor brauer:	Comme notre Héros se voit près d'achever, C'est peu pour lui de vaincre, il veut encor braver:
I’en viens d’immoler deux aux Manes de mes freres, Rome aura le dernier de mes trois aduerſaires, C’eſt à ſes intereſts que ie vay l’immoler, (Dit-il) & tout d’vn temps on le voit y voler, La victoire entr’eux deux n’eſtoit pas incertaine, L’Albain percé de coups ne ſe traiſnoit qu’à peine, la Et comme vne victime aux marches de l’Autel, Il ſembloit preſenter ſa gorge au coup mortel;	J'en viens d'immoler deux aux Manes de mes frères, Rome aura le dernier de mes trois adversaires, C'est à ses intérêts que sans vais l'immoler, (Dit-il) et tout d'un temps on le voit y voler, La victoire entr'eux deux n'était pas incertaine, L'Albain percé de coups ne se traînait qu'à peine, la Et comme une victime aux marches de l'Autel, Il semblait présenter sa gorge au coup mortel;
Auſſi le reçoit-il, peu s’en faut, ſans deffence, Et ſon treſpas de Rome eſtablit la puiſſance.	Aussi le reçoit-il, peu s'en faut, sans défense, Et son trépas de Rome établit la puissance.
Le vieil HORACE.	Le vieil HORACE.
O mon fils, ô ma ioye, ô l’honneur de nos iours!	Ô mon fils, ô ma joie, ô l'honneur de nos jours!
O d’vn eſtat panchant l’ineſperé ſecours!	Ô d'un état penchant l'inespéré secours!
Vertu digne de Rome, & ſang digne d’Horace, Appuy de ton pays & gloire de ta race!	Vertu digne de Rome, et sang digne d'Horace, Apui de ton pays et gloire de ta race!
