MONSIEVR	MONSIEUR
Ie ne fçay pas pourquoy tu me donnes ce blâme.	Je ne fais pas pourquoi tu me donnes ce blâme.
GVILLOT.	GUILOT.
Si Polixene n’eſt dans fort peu voſtre femme, Qu’elle ne faſſe pas tréue à tous vos diſcours, Pour peu qu’elle ſe plaiſe à ſouffrir vos amours, Ne ſe mariant pas auecque vous en haſte, Ie ſuis tres aſſeuré qu’il faudra qu’elle en taſte;	Si Polixène n'est dans fort peu votre femme, Qu'elle ne fasse pas trêve à tous vos discours, Pour peu qu'elle se plaise à souffrir vos amours, Ne se mariant pas auecque jours en hâte, Je suis très assuré qu'il faudra qu'elle en tâte;
De ſorte qu’vne fille auec vn peu d’honneur, Vous deuroit épouſer à voſtre abord, Monſieur:	De sorte qu'une fille auecait peu d'honneur, Vous devrait épouser à votre abord, Monsieur:
Car dés qu’elle vous parle, elle eſt d’amour émeuë, ville qui parlemente eſt à demy renduë;	Car dès qu'elle vous parle, elle est d'amour émue, ville qui parlement est à demi rendue;
Et pour peu que la belle entende le iargon, On voit ſon pauure honneur faire bientoſt faux-bon.	Et pour peu que la belle entende le jargon, On voit son pauvre honneur faire bientôt faux-bon.
Monſieur, cela ma foy, n’eſt point du tout honneſte, Mais quoy?	Monsieur, cela ma foi, n'est point du tout honnête, Mais quoi?
vous n’en ferez iamais qu’à voſtre teſte;	vous n'en ferez jamais qu'à votre tête;
I’ay beau ſur ce ſuiet vous donner des leçons, Tous ce que ie vous dis, ce vous ſont des chanſons, Vous vous mocquez de tout.	J'ai beau sur ce sujet vous donner des leçons, Tous ce que je vous dis, ce vous sont des chansons, Vous vous moquez de tout.
CLIDAMANT.	CLIDAMANT.
Ce faquin me fait rire.	Ce faquin me fait rire.
Mais il faut demander l’obiet de mon martire, Ie vay reuenir;	Mais il faut demander l'objet de mon martyre, Je vais revenir;
voy ſi ſon pere eſt icy.	vois si son père est ici.
GVILLOT.	GUILOT.
Ne parlez plus au mien, au moins.	Ne parlez plus au mien, au moins.
Boniface eſt-il là?	Boniface est-il là?
SCENE V.	SCÈNE V.
SCENE V.	SCÈNE V.
GVILLOT, BEATRIX.	GUILOT, BEATRIX.
BEATRIX.	BEATRIX.
GVILLOT.	GUILOT.
Bonne mijorée?	Bonne mijorée?
Auez vous eſté bien muguetée & fleurée?	Avez -vous été bien muguetée et fleurée?
Mon Maiſtre vous a-t'il debité le fleuron?	Mon Maître vous a-t'-il débité le fleuron?
Eſt-il dans voſtre cœur cét Amant fanfaron?	Est-il dans votre cœur cet Amant fanfaron?
Ce charmant Damoiſeau?	Ce charmant Damoiseau?
ce Dameret ſuperbe?	ce Dameret superbe?
Qui pretend ſous le pied me couper bientoſt l'herbes Coquine, vous ſçauez fort bien l’art d’écouter, Quand le Godelureau vient pour vous en conter;	Qui prétend sous le pied me couper bientôt l'herbes Coquine, vous savez fort bien l'art d'écouter, Quand le Godelureau vient pour vous en conter;
Mais alors que Guillot vous dit qu’il vous adore, Vous le dédaignez Caigne, & faites la Pecore;	Mais alors que Guillot vous dit qu'il vous adore, Vous le dédaignez Caigne, et faites la Pécore;
On voit paroiſtre en vous vn certain air honteux, Vous faites la fâchée, & vous baiſſez les yeux, Comme ſi ie n’eſtois pas de voſtre calibre;	On voit paraître en vous un certain air honteux, Vous faites la fâchée, et vous baissez les yeux, Comme si grande n'étais pas de votre calibre;
Courtiſez vos Coquets, cela vous eſt fort libre:	Courtisez vos Coquets, cela vous est fort libre:
le vous diray pourtant ſans me mettre en courroux, Qu’vn homme comme moy, vaut vn peu mieux que vous, Madame la friponne, ou pour mieux dire gueuſe;	le vous dirai pourtant sans me mettre en courroux, Qu'un homme comme moi, vaut un peu mieux que vous, Madame la friponne, ou pour mieux dire gueuse;
vous me portez bien l’air d’vne franche coureuſe, Et d’aller bien ſouuent en Caroſſe à cinq ſols, Pour tâcher d’attirer quelques Muguets à vous?	vous me portez bien l'air d'une franche coureuse, Et d'aller bien souvent en Carosse à cinq sols, Pour tâcher d'attirer quelques Muguets à vous?
Pour peu que vous alliez en ces lieux en voyage, Dieu ſçait ſi mon honneur fera bientoſt naufrage.	Pour peu que vous alliez en ces lieux en voyage, Dieu sait si mon honneur fera bientôt naufrage.
BEATRIX.	BEATRIX.
Ah!	Ah!
ah, Monſieur Guillot, vous eſtes donc ialoux?	ah, Monsieur Guillot, vous êtes donc jaloux?
Vrayment i’en ſuis fâchée, & pour l’amour de vous;	Vraiment j'en suis fâchée, et pour l'amour de vous;
Et ie ne croyois pas que voſtre humeur ialouſe, M’oſaſt traitter ainſi ſans eſtre voſtre épouſe.	Et ici ne croyais pas que votre humeur jalouse, M'osât traiter ainsi sans être votre épouse.
Si i’eſtois mariée auec vous, le beau fils, Ayant pouuoir ſur moy vous feriez donc bien pis?	Si j'étais mariée après vous, le beau fils, Ayant pouuoir sur moi vous feriez donc bien pis?
Certes le beau garçon, vous eſtes admirable!	Certes le beau garçon, vous êtes admirable!
Vous vous fâchez Amant;	Vous vous fâchez Amant;
mary, vous ſeriez diable.	mari, vous seriez diable.
Vous deuiez mieux cacher voſtre méchante humeur, Vn Amant ne plaiſt pas quand il fait le Cenſeur;	Vous deviez mieux cacher votre méchante humeur, Un Amant ne plaît pas quand il fait le Censeur;
Lors qu’il ſe voit entrer la ialouſie en l’ame, Il ne ſe doit iamais charger d’aucune femme;	Lors qu'il se voit entrer la jalousie en l'âme, Il ne se doit jamais charger d'aucune femme;
Gardez donc bien d’en prendre, afin d’eſtre content;	Gardez donc bien d'en prendre, afin d'être content;
Car vous pourriez porter ce que vous craignez tant.	Car vous pourriez porter ce que vous craignez tant.
Quand vous penſez tenir vne femme captiue, Tout ce que vous craignez bien ſouuent vous arriue, Vous auez beau veiller deſſus ſes actions, On appelle cela, vaines precautions.	Quand vous pensez tenir une femme captive, Tout ce que vous craignez bien souvent vous arrive, Vous avez beau veiller dessus ses actions, On appelle cela, vaines précautions.
Vous ſçauez que ie ſuis de maniere Coquette?	Vous savez que personne suis de manière Coquette?
Que ie prens grand plaiſir alors que ie caquette;	Que ici prends grand plaisir alors que tu caquette;
Que i’ayme le Galant quand il caiolle bien;	Que j'aime le Galant quand il caiolle bien;
Vous ſçauez bien auſſi que ie ne permets rien, Et que il le voulois ccouter leur freuane, Ie croy ſans vanité, que i’en vaux bien la peine.	Vous savez bien aussi que ici ne permets rien, Et que il le voulais coûter leur frévane, Je crois sans vanité, que j'en vaux bien la peine.
Mais puiſque ſans ſuiet vous eſtes ſi ialoux, Vous ne me ſeruirez ny d’Amant ny d’Eſpoux.	Mais puisque sans sujet vous êtes si jaloux, Vous ne me servirez ni d'Amant ici d'Époux.
GVILLOT.	GUILOT.
Non, mon petit Tendron, ma Pouponne, ma Belle, Tu dois peu te fâcher lors que ie te querelle;	Non, mon petit Tendron, ma Pouponne, ma Belle, Tu dois pu te fâcher lors que ie te querelle.
Si i’ays paru ialoux, c’eſt par trop d’amitié;	Si j'ai paru jaloux, c'est par trop d'amitié;
Mon Fanfan, voy Guillot, il te fera pitié.	Mon Fanfan, vois Guillot, il te fera pitié.
Va, raccommodons nous, ne ſoyons plus en grongne, Ne ſuis-je pas bien fait, conſidere ma trogne?	Va, raccommodons nous, ne soyons plus en grongne, Ne suis-je pas bien fait, considère ma trogne?
Ayme moy, me voyant pour toy bouffi d’amour, Tandis que ie ſuis ieune, & beau comme vn beau iour, Comme ie ſuis gaillart, que tu parois gaillarde,	Aime moi, me voyant pour toi bouffi d'amour, Tandis que je suis jeune, et beau comme un beau jour, Comme ie suis gaillard, que tu parais gaillarde,
2 Nous ferons des enfans d’vne humeur égrillarde;	2 Nous ferons des enfants d'une humeur égrillarde;
Tu me diras mon cœur, ie te diray m’amour;	Tu me diras mon cœur, ie te dirai m'amour;
Nous nous en conterons & la nuit & le iour;	Nous nous en conterons et la nuit et le jour;
Nous chercherons aux champs quelque place deſerte, Où nous nous donnerons tous deux la cotte-verte;	Nous chercherons aux champs quelque place déserte, Où nous nous donnerons tous deux la cotte-verte;
Que nous prendrons ſouuent d’agreables ébats!	Que nous prendrons souvent d'agréables ébats!
Que de Guillots viendront qui ne s’en doutent pas!	Que de Guillots viendront qui ne s'en doutent pas!
Ma petite Dondon, que ie te croy feconde!	Ma petite Dondon, que ie te crois féconde!
Que ie te croy ſçauante à bien peupler le monde!	Que quelque te crois savez à bien peupler le monde!
Et que ie me ſens homme à m’en acquitter bien, Pour peu que ton amour veüille répondre au mien!	Et que personne me sens homme à m'en acquitter bien, Pour peu que ton amour veuille répondre au mien!
Tu ne me réponds rien, dis moy donc que t’en sẽble, N’eſt-ce pas le ſecret d’eſtre fort bien ememble?	Tu ne me réponds rien, dis -m donc que t'en semble, N'est-ce pas le secret d'être fort bien ememble?
BEATRIX.	BEATRIX.
Tu n’es qu’vn diſcoureur, adieu ie vais chez nous.	Tu n'es qu'un discoureur, adieu je vais chez nous.
GVILLOT.	GUILOT.
Voilà mon pauure taprre toue rans dentis denous, Au diable ſoit l’amour, & la chienne de Fille, Mais ie voy Ragotin, que cherche icy ce drille?	Voilà mon pauvre taprre toue rans dentis denous, Au diable soit l'amour, et la chienne de Fille, Mais On vois Ragotin, que cherche ici ce drille?
SCENE VT.	SCÈNE VT.
GVILLOT, RAGOTIN.	GUILOT, RAGOTIN.
RAGOTIN.	RAGOTIN.
H!	H!
ton valet, Guillot.	ton valet, Guillot.
A GVILLOT.	À GUILOT.
Seruiteur, Ragotin.	Serviteur, Ragotin.
Pourray-ie ſçauoir où te meine ton deſtin?	Pourrai-je savoir où te mène ton destin?
RAGOTIN.	RAGOTIN.
Ie vais chercher chez toy le Pere de ton Maiſtre.	Je vais chercher chez toi le Père de ton Maître.
GVILLOT apperceuant les Vieillarils.	GUILOT apercevant les Vieillarils.
Où ie me trompe fort, ou ie le voy paroiſtre, Et Monſieur Boniface, oyons ce qu’ils diront, Cachons nous, & voyons ce qu’apres ils feront.	Où ie me trompe fort, ou ainsi le vois paraître, Et Monsieur Boniface, oyons ce qu'ils diront, Cachons nous, et voyons ce qu'après ils feront.
Les Je cacnen.	Les Je cacnen.
SCLINEVII POLICARPE, BONTFACE.	SCLINEVII POLICARPE, BONTFACE.
4 POLICARPE.	4 POLICARPE.
11;	11;
que l’autay de ſoye epuurane tortre Fille, AIEt que nos deux maiſons ne ſoient qu’vne Famille.	que l'autai de soie épurane tortre Fille, AIEt que nos deux maisons ne soient qu'une Famille.
BONIFACE.	BONIFACE.
I'en auray Policarpe, autant & plus que vous, En me voyant auſſi de voſtre Fille Eſpoux!	J'en aurai Policarpe, autant et plus que vous, En me voyant aussi de votre Fille Espoux!
GVILLOT, de l’endroit ou il eſt caché.	GUILOT, de l'endroit ou il est caché.
Que diable dilentenls:	Que diable dilentenls:
an.	an.
Rieneigneurs nos Maiſtres, Ma foy vous en tenez.	Rieneigneurs nos Maîtres, Ma foi vous en tenez.
RAGOTIN de l'endroit ou il eſt caché.	RAGOTIN de l'endroit ou il est caché.
Voyez-donc les vieils traiſtres,	Voyez-donc les vieils traîtres,
BONIFACE.	BONIFACE.
rolcuipe mon cher, que ie ſuis amoureux!	rolcuipe mon cher, que je suis amoureux!
POLICARPE.	POLICARPE.
Taſions Icy veuil les obrets de nos vœux.	Tasions Ici veuil les obrets de nos vœux.
BONIFACE.	BONIFACE.
C’eſt bien dit, voyons les, i’en meurs d’impatience.	C'est bien dit, voyons -les, j'en meurs d'impatience.
TOETCARPE.	TOTCARPE.
Ie ſuis pour Polixene en égalle ſouffrance.	Je suis pour Polixène en égale souffrance.
BONIFACE.	BONIFACE.
Ie la vais appeller, Polixene, venez.	Je la vais appeler, Polixène, venez.
Ie vous veux marier.	Je vous veux marier.
SCENE VIII.	SCÈNE VIII.
POLIXENE.	POLIXENE.
POLICARPE, BONIFACE, GVILLOT & RAGOTIN cachez.	POLICARPE, BONIFACE, GUILOT et RAGOTIN cachez.
O momens rortunez, Quoy vous me maririez!	Ô moments rortunez, Quoi vous me maririez!
mais auec qui mon Pere?	mais avec qui mon Père?
RONIFACE.	RONIFACE.
luct vir homine enfn capable de te plaire, De conduite, de cœur, d’eſprit fort enioüé, Aimable, liberal, digne d'eitre loue.	luct vir homine enfn capable de te plaire, De conduite, de cœur, d'esprit fort enioué, Aimable, libéral, digne d'éitre loue.
POLIXENE.	POLIXENE.
Si c’eſtoit Clidamant que le ſerois ſeureuſe!	Si c'était Clidamant que le serais seureuse!
BONIFACE.	BONIFACE.
Enfin, ie n’ay point veu d’Ame ſi genereuſe.	Enfin, Seigneur n'ai point vu d'Ame si généreuse.
DQI IYENE A hart, apperceuant le Pere 1C .	DAGI IYENE A hart, apercevant le Père 1C .
A- - I - nd 20 de Clidamant.	A-m - I - néd 20 de Clidamant.
Sans doute que c’eſt luy, que mes ſens ſont rauis!	Sans doute que c'est lui, que mes sens sont ravis!
Le Pere vient expres me parler pour ſon Fils.	Le Père vient exprès me parler pour son Fils.
POLICARPE.	POLICARPE.
Auec permiſſion de Monſieur voſtre Pere, Vn Amant pourroit-il auoir l’heur de vous plaire, Eſtant de iugement & d’eſprit bien muny, Et le gouſſet d’argent paſſablement garny, Pour ſaire comme il faut aller voſtre cuiſine?	Avec permission de Monsieur votre Père, Un Amant pourrait-il avoir l'heur de vous plaire, Étant de jugement et d'esprit bien muni, Et le gousset d'argent passablement garni, Pour zaïre comme il faut aller votre cuisine?
Bienfait de ſa perſonne, homme de bonne mine, Qui vous fera paſſer d’ageables momens, Qui ſçait fort bien ioüer de tous les inſtrumens;	Bienfait de sa personne, homme de bonne mine, Qui vous fera passer d'ageables moments, Qui sait fort bien jouer de tous les instruments;
L'entretien merueilleux, qui dance comme vn drolle, Et qui ſçait à rauir paſſer la capriolle?	L'entretien merveilleux, qui dance comme un drolle, Et qui sait à ravir passer la capriolle?
Homme digne, en vn mot, d’eſtre ſous voſtre loy.	Homme digne, en un mot, d'être sous votre loi.
POLIXENE impatiente de ſçauoir qui c'eſt.	POLIXENE impatiente de Savoir qui c'est.
Mais Monſieur, quer eit-il?	Mais Monsieur, quer eit-il?
POLICARPE.	POLICARPE.
Vous ſçaurez que c’eſt moy.	Vous saurez que c'est moi.
POLIXENE ſurpriſe.	POLIXENE surprise.
Iuſtes Dieux!	Justes Dieux!
BONIFACE.	BONIFACE.
Ah!	Ah!
ma Fille, eſt-tu pas trop heureuſe?	ma Fille, est-tu pas trop heureuse?
POLIXENE s’en allant froidement.	POLIXENE s'en allant froidement.
Mon Pere, i’ay fait Vœu d’eſtre Religieuſe.	Mon Père, j'ai fait Vœu d'être Religieuse.
BONIFACE.	BONIFACE.
Quoy friponne!	Quoi friponne!
eſt-ce ainſi qu’on reçoit vn Amant, Et que l’on obeït à mon commandement?	est-ce ainsi qu'on reçoit un Amant, Et que l'on obéit à mon commandement?
Eſt-ce là profiter ainſi que tu dois faire, De tous les bons conſeils qui te viennent d’vn Pere?	Est-ce là profiter ainsi que tu dois faire, De tous les bons conseils qui te viennent d'a Pere?
Mais m’ayant Iceu déplaire, & l’ayant bien voulu, Tu t’eu repentiras, apres m’auoir dépleu.	Mais m'ayant Içu déplaire, et l'ayant bien voulu, Tu t'eu repentiras, après m'avoir déplu.
Ie ſçay bien les moyens dont il te faut reduire.	Je sais bien les moyens dont il te faut réduire.
POLICARPE.	POLICARPE.
Ne vous emportez pas, ceia pourroit vous nuire, Vous la prenez peut-eſtre en de mauuais momens;	Ne vous emportez pas, cia pourrait vous nuire, Vous la prenez peut-être en de mauvais momens;
Qui font qu’elle ne peut ſuiure vos ſentimens;	Qui font qu'elle ne peut suivre vos sentiments;
Mais appellons Aminte, elle eſt obeïſſante, Humble, ſouple, & ne fait que ce qui me contente;	Mais appelons Aminte, elle est obéissante, Humble, souple, et ne fait que ce qui me contente;
Et n’a point tant de ioye & de felicitez, Qu’au moment qu’elle peut ſuiure mes volontez;	Et n'a point tant de joie et de félicités, Qu'au moment qu'elle peut suivre mes volontés;
Et vous l’allez bien voir;	Et vous l'allez bien voir;
Aminte!	Aminte!
hola!	holà!
ma Fille.	ma Fille.
SCENEIA.	SCENEIA.
AMIITETOLICARPE', BONIFACE.	AMIITETOLICARPE', BONIFACE.
GVILLOT & RAGOTIN cachez.	GUILOT et RAGOTIN cachez.
A MIINIE.	À MIINIE.
JLaiſt-il, mon Pere?	JLaist-il, mon Père?
POLICARPE.	POLICARPE.
Il faut croiſtre noſtre Famille, Ie te donne vn mary qui vaut ſon peſant d’or.	Il faut croître notre Famille, Je te donne un mari qui vaut son pesant d'or.
Voy-tu cét homme là?	Vois-tu cet homme là?
AITNV TM.	AITNU TM.
Ce ſera Lucidor, Il n’eſt plus rien certain, car i’apperçoy ſon Pere.	Ce sera Lucidor, Il n'est plus rien certain, car j'aperçois son Père.
BONIFACE.	BONIFACE.
Beauté dont le merite eſt extraordinaire, Ie viens pour vous offrir vn homme merueilleux, Vn homme digne enfin de paroiſtie à vos yeux;	Beauté dont le mérite est extraordinaire, Je viens pour vous offrir un homme merveilleux, Un homme digne enfin de paroistie à vos yeux;
Vn homme qui ſçait bien comme il faut que l’on ayme, Et de qui la richeſſe eſt tout à fait extrême;	Un homme qui sait bien comme il faut que l'on aime, Et de qui la richesse est tout à fait extrême;
Vn homme qui n’eſt point vn batteur de paué;	Un homme qui n'est point un batteur de pavé;
Vn homme qu’on peut dire, eſtre vn homme acheué;	Un homme qu'on peut dire, une homme achevé;
Adroit, gaillart, diſpos;	Adroit, gaillart, dispos;
enſin c’eſt vn tel homme, ſiil a pomtron paren d iej larques à Rome.	ensin c'est un tel homme, siil a pomptron paren d îj larques à Rome.
AMINTE impattante de ſçauoir qui c’eſt.	AMINTE impattante de savoir qui c'est.
Quel peut-eſtre, Monſieur, cét homme ſi parfait?	Quel peut-être, Monsieur, cet homme si parfait?
BONIFACE.	BONIFACE.
C'eſt moy-meſme, voyez, ne ſuis-je pas bien fait?	C'est moi-même, voyez, ne suis-je pas bien fait?
Dieux !	Dieux !
AMINTE ſurpriſe.	AMINTE surprise.
POLICARPE à Aminte.	POLICARPE à Aminte.
Que vous allez faire enſemble vn bon ménage!	Que vous allez faire ensemble un bon ménage!
AMINTE s’en allant froidement.	AMINTE s'en allant froidement.
mhoirere, cacutez moy, ie ne luis pas en âge.	mhoire, cacutez -moi, on ne luis pas en âge.
POLICARPE Eſt-ce la m’obeir?	POLICARPE Est-ce la m'obéir?
ò cerueau démonté!	„ cerveau démonté!
BONIFACE en dériſion.	BONIFACE en dérision.
Elle n’eſt pas encore en ſa maturité.	Elle n'est pas encore en sa maturité.
TOEDARPE.	TODARPE.
Ah Ciel!	Ah Ciel!
quelle inſenſée!	quelle insensée!
BONIFACE en dériſion.	BONIFACE en dérision.
Elle eſt obeïſſante, Humble, ſouple, & ne fait que ce qui vous contente, Et n’a point tant de ioye & de felicitez, Qu’au moment qu’elle peut ſuiure vos volontez;	Elle est obéissante, Humble, souple, et ne fait que ce qui vous contente, Et n'a point tant de joie et de félicitez, Qu'au moment qu'elle peut suivre vos volontés;
Ne nous reprochõs rien, s’il vous plaiſt, l’vn à l’autre, Cux ilaat rhle oneit aui Dlel ejue ra joitle;	Ne nous reprochons rien, s'il vous plaît, l'un à l'autre, Cux il la oneit au Dlel jue ra joitle;
Mais cependant amy, nous ſommes amoureux, Que diable ferons nous pour contenter nos feux?	Mais cependant ami, nous sommes amoureux, Que diable ferons nous pour contenter nos feux?
POLICARPE.	POLICARPE.
Ce qu’il faut faire, il faut, ſans nul autre miſtere, Aller chez les Contracts pour paſſer le Notaire;	Ce qu'il faut faire, il faut, sans nul autre mystère, Aller chez les Contrats pour passer le Notaire;
Ces movens nous mettront bientoſt hore d’embaras.	Ces mouvens nous mettront bientôt hore d'embarras.
BONIFACE.	BONIFACE.
Dites chez le Notaire, & non chez les Contracts.	Dites chez le Notaire, et non chez les Contrats.
Ie croy que vous auez la ceruelle en écharpe.	Je crois que vous avez la cervelle en écharpe.
POLICARPE.	POLICARPE.
Il eſt vray, i’extrauague, ô pauure Policarpe!	Il est vrai, j'extravague, ô pauvre Policarpe!
L’amour a tellement mes eſprits eſtourdis, Que la raiſon n’eſt plus en tout ce que ie dis.	L'amour a tellement mes esprits étourdis, Que la raison n'est plus en tout ce que ie dis.
Enfin, c’eſt le plus court d’aller chez le Notaire.	Enfin, c'est le plus court d'aller chez le Notaire.
BONIFACE.	BONIFACE.
Allons donc promptement terminer cét affaire, Mais auant que partir enfermons les ſi bien, Qu’elles ne ſortent point que par noſtre moyen.	Allons donc promptement terminer cet affaire, Mais avant que partir enfermons les si bien, Qu'elles ne sortent point que par notre moyen.
Ils s’en vont.	Ils s'en vont.
SCENE DERNIERE.	SCÈNE DERNIÈRE.
GVILLOT, RAGOTIN ſortans d’ou ils eſtoient canez.	GUILOT, RAGOTIN sortants d'ou ils étaient canés.
GVILLLOT.	GUILLOT.
Ouuoit-il arriuer vn plus fâcheux deſaſtre?	Ouvait-il arriver un plus fâcheux désastre?
RAGOTIN.	RAGOTIN.
Nos deux Maiſtres ſont nez ſous vn malheureux ARtic :	Nos deux Maîtres sont nés sous un malheureux ARtic :
GVILLOT.	GUILOT.
Qui l’auroit iamais creu!	Qui l'aurait jamais cru!
voyez les viens sorcieſs.	voyez les viens sorciess.
RAGOTIN.	RAGOTIN.
Les traiſtres ſont brûlans ainſi que des braſiers.	Les traîtres sont brûlants ainsi que des brasiers.
LLOT.	LLOT.
Mais ſans nous amuſer à blâmer ces vieils Reſtres, Allons tout de ce pas en auertir nos Maiſtres.	Mais sans nous amuser à blâmer ces vieils Rêtres, Allons tout de ce pas en avertir nos Maîtres.
Fin du ſecond Acte.	Fin du second Acte.
AYOIE III SCENE PREMIERE.	AYOIE III SCÈNE PREMIÈRE.
CLIDAMANTICC GVILEOT, ſortent chacun d’vn coſté du Theatre.	CLIDAMANTICC GUILEOT, sortent chacun d' Hôte du Théâtre.
GVILLOT rencontrant Clidamant.	GUILOT rencontrant Clidamant.
E vous ay tant cherché que ie vous voy paraiſtre.	E vous ai tant cherché que ici vous vois paraître.
CLIDAMANT.	CLIDAMANT.
Et bien, que me veux-tu?	Et bien, que me veux-tu?
OVTBEOT.	OUTBEOT.
Tout eſt perdu, mon Maiſtre.	Tout est perdu, mon Maître.
CLIDAMANT.	CLIDAMANT.
Tout eſt perdu!	Tout est perdu!
d’où vient?	d'où vient?
mon amour va-t’il mal?	mon amour va-t-il mal?
GVILLOT.	GUILOT.
Que trop, Monſieur.	Que trop, Monsieur.
CLIDAMANT.	CLIDAMANT.
Coimiane.	Coimiane.
GVILLOT.	GUILOT.
Vous auez vn Riual.	Vous avez un Rival.
CLIDAMANT.	CLIDAMANT.
Vn Riual!	Un Rival!
GVILLOT.	GUILOT.
Vn Riual;	Un Rival;
& qui ne vous craint guere.	et qui ne vous craint guère.
Et ſi vous m’en croyez, loſt à en eitre en chorere.	Et si vous m'en croyez, lôt à en eitre en chore.
Vous chercherez ailleurs à pouſſer voſtre amour,	Vous chercherez ailleurs à pousser votre amour,
CLIDAMANT.	CLIDAMANT.
Il n’eſt point de Riual dans mon amour extrême, Qui puiſſe m’arracher le digne Obiet que i’aime.	Il n'est point de Rival dans mon amour extrême, Qui puisse m'arracher le digne Biet que j'aime.
Ie m’en vais le chercher ce Riual dangereux, Et nous verrons apres qui l’aura de nous deux:	Je m'en vais le chercher ce Rival dangereux, Et nous verrons après qui l'aura de nous deux:
Il ſçaura ce que c’eſt qu’irriter ma cholere.	Il sçaura ce que c'est qu'irriter ma cholère.
GUIEEOI.	GUIEOI.
O le ioly Garçon qui veut tuer ſon Pere!	Ô le joli Garçon qui veut tuer son Père!
CLIDAMANT.	CLIDAMANT.
Mon Pere!	Mon Père!
que dis-tu?	que dis-tu?
quel maheur eſt le mien!	quel maheur est le mien!
GVILLOT.	GUILOT.
Ce que ie dis?	Ce que ici dis?
ie dis que cela ne vaut rien.	Ne dis que cela ne vaut rien.
CLIDAMANT.	CLIDAMANT.
Mon Pere lion feidar:	Mon Père lion fidar:
an.	an.
quer coup at tonnerre!	quer coup at tonnerre!
GVILLOT.	GUILOT.
A la paternité liurerez-vous la guerre :	À la paternité livrez-vous la guerre :
CLIDAMANT.	CLIDAMANT.
Que le Ciel ne m’a-t’il pluſtoſt priué du iouf.	Que le Ciel ne m'a-t-il plutôt privé du jouf.
GVILLOT.	GUILOT.
Sans ſouhaitter la mort, renuoyez voſtre amour, Et fans faire en ces lieux, tant de cris ramſentables, Enuoyez la Maiſtreſſe à tous les mille diables.	Sans souhaiter la mort, renvoyez votre amour, Et fans faire en ces lieux, tant de cris ramsentables, Envoyez la Maîtresse à tous les mille diables.
CLIDAMANT.	CLIDAMANT.
Peut-on voir dans le monde vn plus fâcheux ſuccez?	Peut-on voir dans le monde un plus fâcheux succès?
GVILLOT.	GUILOT.
On permet de crier à qui perd ſon procez.	On permet de crier à qui perd son procès.
Mais eſtes-vous le ſeul où le malheur abonde, Et voſtre affliction eſt-elle fans ſeconde?	Mais êtes-vous le seul où le malheur abonde, Et votre affliction est-elle sans seconde?
Sçachez que Lucidor voſtre meilleur amy, N’eſt pas non plus que vous malheureux à demy;	Sachez que Lucidor votre meilleur ami, N'est pas non plus que vous malheureux à demi;
Son ſort eſtant pour luy deuenu ſi contraire, Que comme vous il eſt le Riual de ſon Pere.	Son sort étant pour lors devenu si contraire, Que comme vous il est le Rival de son Père.
CLIDAMANT, Son Pere, me dis-tu, recherche auſſi ma ſœura B vi	CLIDAMANT, Son Père, me dis-tu, recherche aussi ma sœura B vi
GVILLOT.	GUILOT.
Monſieur, ce vieil Barbon luy conte auſſi douceur al tousces embairas, que pretendez-vous faire?	Monsieur, ce vieil Barbon lui conte aussi douceur al tousces embairas, que prétendez-vous faire?
CLIDAMANT.	CLIDAMANT.
Mourir, ſi ie n’ay pas l’obiet qui m’a ſceu plaire.	Mourir, si ici n'ai pas l'objet qui m'a su plaire.
GVILLOT.	GUILOT.
Si c’eſt-là voſtre but, tenez vous donc pour mort:	Si c'est-là votre but, tenez vous donc pour mort:
Mais la mort, eſt, Monſieur, vn chetif reconfort,, Et quand tous les malheurs s’entendroient pour nous IaiulC , Il eſt beaucoup moins doux de mourir que de viure.	Mais la mort, est, Monsieur, un chétif réconfort, Et quand tous les malheurs s'entendraient pour nous JaiulC , Il est beaucoup moins doux de mourir que de vivre.
CLIDAMANT.	CLIDAMANT.
Il eſt vray, mais eſt-il vn remede en cecy?	Il est vrai, mais est-il un remède en ceci?
GVILLOT.	GUILOT.
11 Vouo aurlon grau deronr qu'vil diabie en priſt ſoucy, Que ne ſuis-ie Sorcier?	11 Vo aurlon grau deronr qu'il diabie en prît souci, Que ne suis-je Sorcier?
mais las, ie ſuis bien traiſtre.	mais las, Seigneur suis bien traître.
De faire vn tel ſouhait pour obliger mon Maiſtre.	De faire un tel souhait pour obliger mon Maître.
CLIDAMANT.	CLIDAMANT.
Ah!	Ah!
ie ne voudrois pas ton ſeruice à ce prix, Mais ton eſprit paſſant tous les autres eſprits, Tu peux bien empeſcher auecque ton adreſſe, Que mon Pere auiourd’huy n’épouſe ma Maiſtreſſe.	On ne voudrais pas ton service à ce prix, Mais ton esprit passant tous les autres esprits, Tu peux bien empêcher avec ton adresse, Que mon Père aujourd'hui n'épouse ma Maîtresse.
GVILLOT.	GUILOT.
Et s’il ſçait qu’anec vous ie me ſois concerté, Et qu’il tombe ſur moy quelque incommodité, Pour ſalaire, i’auray, Ie plains ton infortune.	Et s'il sait qu'anec vous Seigneur me sois concerté, Et qu'il tombe sur moi quelque incommodité, Pour salaire, j'aurai, Je plains ton infortune.
Il t’en deuoit de deux, il t’en a donne te rne;	Il t'en devait de deux, il t'en a donne te rène;
