ADONIS TRAGEDIE FRANCOYSE DE GABRIEL LE BRETON Niuernois, Seigneur de la Fon.	ADONIS TRAGÉDIE FRANÇOISE DE GABRIEL LE BRETON Nivernais, Seigneur de la Fon.
Que ie plonge mon vol deſſous les riues mortes.	Que quelque plonge mon vol dessous les rives mortes.
Hé que fera bluton qui m’a veu triompher Tenaillant ſa poictrine és tenebres d’enſer?	Hé que fera bluton qui m'a vu triompher Tenaillant sa poitrine ès ténèbres d'enser?
Que me dira Minos :	Que me dira Minos :
he que feront les ymbres Entre les mirthes vers deſplorant mes encombres Qui pour ſe deſister d’vne triſte priſon Ont ſouffert le couſteau, la corde, au la poiſon?	hé que feront les ymbres Entre les mirthes vers déplorant mes encombres Qui pour se désister d'une triste prison Ont souffert le coûteau, la corde, au la poison?
Or bien tout eſt bandé.	Or bien tout est bandé.
Tout m’annonce la guerre, I'homme, les dieux, les cieux, les enfers, & laterre Surprendront vn aueugle en miſere reduit, Qui par le vueil d’vn autre incenſé ſe conduit.	Tout m'annonce la guerre, J'homme, les dieux, les cieux, les enfers, et laterre Surprendront un aveugle en misère réduit, Qui par le veuil d'un autre incensé se conduit.
O mere ſauue moy, tu ſçais que mon eſſence Naſquiſi de toy Diane, & lant toy n'apuiſſance.	Ô mère sauve moi, tu sais que mon essence Nasquisi de toi Diane, et lant toi n'appuissance.
ACTE QVATRIES, SILVIN, MONTAN,	ACTE QUATRIES, SILVIN, MONTAN,
S1L.	S1L.
Predges certains â vengeance duixe, Vne vague froideur par le corpi i chemine, Maperruque ſe dreſſe en la meſme fuQue le dos irrité d’vn ſauuage heriſſon.	Predges certains â vengeance duixe, Une vague froideur par le corpi y chemine, Maperruque se dresse en la même fuQue le dos irrité d'un sauvage hérisson.
Mon œil eſt eiblouy, le courage me flotte, Ie n’ay vaine ny necf qui de peur ne tremblottt, Comme le flot eſmu, iappe ſe courtouſſant Bien que l’air appaiſé ſoit demy languiſſaut, Et que le nort oyſif repoſe ſes querelles:	Mon œil est eiblouy, le courage me flotte, Je n'ai vaine ni necf qui de peur ne tremblott, Comme le flot ému, jappe se courtoussant Bien que l'air apaisé soit demi languissaut, Et que le nort oysif repose ses querelles:
Amſi ie ſens encor les aitaintes bourrelles D’vne peur vehemente en mes os ſe renger, Orque ie ſous abſent du perilleux danger.	Amsi grands sens encor les aitaintes bourrelles D'une peur véhémente en mes os se renger, Orque de sous absent du périlleux danger.
MONT.	MONT.
Nenten-ie pas syluin?	Nent-je pas siluin?
S1L.	S1L.
O mort eſpouuentable.	Ô mort espouuentable.
MONT.	MONT.
Qui le fait retourner!	Qui le fait retourner!
Opauure miſerable!	Opauvre misérable!
81L.	81L.
MONT.	MONT.
D'eù procede syluin tel ſoucieux eſmoy, Pæle ſoudainement quel mal quel deſaroy.	D'éù procède syluin tel soucieux émoi, Pæle soudainement quel mal quel désaroi.
Eſt aduenu depuis qu’en ces plaines couchees Nous trauaillons en vain les mutes repenchees?	Est avenu depuis qu'en ces plaines couches Nous travaillons en vain les mutes répenchées?
Iaima me cele rien.	Iaima me cèle rien.
Toaſiours le malhereux S1L.	Toasjours le malhéreux S1L.
Se haſte de ſtauoir ſon ennuy rigoureux Montan ne t’enquiers plus, & lis en mon viſage Sans plus m'interreguer le ſurplus du dommage.	Se hâte de stavoir son ennui rigoureux Montan ne t'enquiers plus, et lis en mon visage Sans plus m'interréguer le surplus du dommage.
MONT.	MONT.
Coute moy ce hazard.	Coute moi ce hasard.
Ton propos attendu Iat que plus ie ſoupronne & me rend eſperda.	Ton propos attendu Iat que plus grands soupronne et me rend éperda.
811.	811.
Nouauions ià deſia la campagne ſuiuie, Vulieure deuant nous recommandoit ſa vie Aſon pied tournoy ant au miliç des abois, Ions dit le Paphien, Aſſaillons les grandi bois, Iconde moy Syluin il y a plus de grace De rompre l'ennomy qui plus fort nous menaſſe:	Novions jà déjà la campagne suivie, Vulieure devant nous recommandait sa vie Ason pied tournoi ant au miliç des abois, Ions dit le Paphien, Assaillons les grandi bois, Iconde moi Syluin il y a plus de grâce De rompre l'ennomi qui plus fort nous menasse:
A gens effeminez ceste chaſſe appartient, Cherchons autre gibier, quelle crainte nous tient, L nſi prompt & hardi par la ſorest prochaine compagnon de ſes pas à l’inſtant il me maine E ne ceſſe iamais qu’il ne ſoit paruenu Lapart ou s’embuchoit le danger incognu.	À gens efféminez cette chasse appartient, Cherchons autre gibier, quelle crainte nous tient, L ' prompt et hardi par la sotest prochaine compagnon de ses pas à l'instant il me maine E ne cesse jamais qu'il ne soit parvenu Lapart ou s'embûchait le danger inconnu.
O des pauures humains eſperance peu cauté Entore de frayeur mon ſain paſte treſſante.	Ô des pauvres humains espérance peu cauté Entore de frayeur mon sainte pas très.
Eien auant dans le bois vn vallon eſcarté Solitaire, muſſard, remply d’obſcurité, Où des mou refr oidis les rauines s’eſtanchent Nourrit de ſon limon les ſaulles qui ſe penchen uit	Eien avant dans le bois un vallon écarté Solitaire, mussard, rempli d'obscurité, Où des mou refr oidis les ravines s'étanchent Nourrit de son limon les saulles qui se penchen uit
Le puplier herculin les cannes, &roſiaux Et couue pareſſeux la ſange de ces eaux De là ſort vn ſanglier, vn ſanglier qui demeure Romflant dedans mes yeux iuſque à tempi que ie Le rocher Garamant ny le ſablon mortel (mord Des Arabes deſerts n’enfante rien de tel.	Le puplier herculin les cannes, etrosiaux Et couve paresseux la sanglier de ces eaux De là sort un sanglier, un sanglier qui demeure Romflant dedans mes yeux jusqu' à tempi que tu Le rocher Garamantagez le sablon mortel (mord Des Arabe déserts n'enfante rien de tel.
Il diſupe les chiens, il tempeſte, il les roue Il rondles cheſnes vieux & ſemble qu’il ſeioce, De ſes naſeaux ouuerts ſort vn rouge tiſon, Qui bruſle les rameaux la terre & le gaſon.	Il disupe les chiens, il tempête, il les roue Il rondles chaînes vieux et semble qu'il seioce, De ses naseaux ouverts sort un rouge tison, Qui brûle les rameaux la terre et le gazon.
Si la ce fat trouué le fameux pegaſee.	Si la ce fat trouvé le fameux pégase.
Il n’eut onques tenu la Iainetant priſee.	Il n'eut onques tenu la Jainétant prisée.
Et le beau Cropien pour iamais endormi Fut alle rencontrer Pyrithoys ſon amy Adonis qui de loin voit apprecher la beſte Aduance le pied gauche & ſur l’autre i’areſte, Il ſe plante debont, & brandit aſſeuré Contre le porc fameux, ſon trenchant aceré, Lequel exempt du coup à costé ſe deuoye Et naurant Adonis mort à terre l’onuoye.	Et le beau Cropien pour jamais endormi Fut allé rencontrer Pyrithoys son ami Adonis qui de loin voit apprêcher la bête Aduance le pied gauche et sur l'autre j'arête,Il se plante debont, et brandit assuré Contre le porc fameux, son trenchant aceré, Lequel exempt du coup à côté se dévoie Et naurant Adonis se à terre l'onvoie.
Ie pourſuis le meurtrier, mais de moy ſe mocquaut Plus viste qu’vn eſcair, il ſe pert quant & quan O ciel tout eft mortel, & la ſœur filandiere Faittreibucher nos iours en l’eternelle biere.	Je poursuis le meurtrier, mais de moi se moquaut Plus vite qu'un écair, il se pert quant et quan Ô ciel tout est mortel, et la sœur filandière Faittreibucher nos jours en l'éternelle bière.
Tout ce qu’on voit icyquelque fois perira, Et cela qui naſquit à la parfinmourra, Comme iadus ſonnoit la guiterre d’Orſec.	Tout ce qu'on voit iciquelque fois périra, Et cela qui nasquit à la parfinmourra, Comme jadus sonnait la guiterre d'Orsec.
Voyez que ſert humains l’amitié d’vne fee, Voyez quel infortune, Apprenez apprenez, Et d’amour ineſgal vos cœurs n’eſpoiconnez.	Voyez que sert humains l'amitié d'une fée, Voyez quel infortune, Apprenez apprenez, Et d'amour inégal vos cœurs n'espoiconnez.
Autre qu'vn dieu marry tranſporté de firie.	Autre qu'un dieu marri transporté de syrie.
N’acauſé ceſte mort, ô cheſte, ô venerie, O rhets eutrenouez, ô temeraire ardeur.	N'acausé cette mort, ô chête, ô vénerie, Ô rhets eutrenouez, ô téméraire ardeur.
O duſens aueuglé charmereſſe grandeur.	Ô dus aveuglé charmeresse grandeur.
Las qu’il euſt mieux vals ſeuz la verte foigere	Las qu'il eût mieux vals seuz la verte faigère
Tourtiſer & ſeruir vue belle Bergere, Que mettre en ſi haut lieu ſon deſir impuiſſant.	Tourtiser et servir vue belle Bergère, Que mettre en si haut lieu son désir impuissant.
Phaëton heritier du char reſplendiſſant En ce point abuſa de la torche Febee, Ieciel en ſut trouble, & la terre enſlambee.	Phaéton héritier du char resplendissant En ce point abusa de la torche Febe, Jéciel en sut trouble, et la terre enslambe.
Dueillement außi du plus haut de Iunon Irare cheut en l’eau qui porte encore ſon nom.	Dueillement aussi du plus haut de Junon Irare chut en l'eau qui porte encore son nom.
Il n’eſt que de raſer de ſes ailes la terre, Craignant des immortels les dards & le tonnerre, Souuent ces feux diuins par la mort ſont finus, Iaqnihęle ſcait, & toypauure Adonis.	Il n'est que de raser de ses ailes la terre, Craignant des immortels les dards et le tonnerre, Souvent ces feux divins par la mort sont sinus, Iaqnihęle sait, et toipauvre Adonis.
Enſez vous mes paneaux, & vous limiers & dogues Rempliſſez vos foreſts de vos hurlemens rogues, Abbayez, lamentez & d'vn cry plus trenchans Tacontez aux taillis cest eſclandre meſchant.	Ensez vous mes peneaux, et vous limiers et dogues Remplissez vos forêts de vos hurlements rogues, Abayez, lamentez et d'autre cri plus trenchants Tacontés aux taillis cet esclandre méchant.
Heriſſez vous le poil, rompez vos aiſles doubles.	Hérissez -vous le poil, rompez vos ailes doubles.
Pmez l’eſcume aux dents, & le ſang aux yeux troubles Toas petits Amoureaux, vous eſquadrons guerriers Au peignãt vn cœur faint en la peas des lauriers Pour mieux viſer apres la poictrine mortelle, Exercοz iour & nuict voſtre pointe fidelle:	Pllez l'écume aux dents, et le sang aux yeux troubles Toeus petits Amoureaux, vous équadrons guerriers Au peignant un cœur saint en la peas des lauriers Pour mieux viser après la poitrine mortelle, Exercés jour et nuit votre pointe fidèle:
Quide fruict, & de ſleurs comblez vn beau conſin Vos bustes, vos moiſſons maintenant prennent fin.	Quide fruit, et de sleurs comblés un beau consin Vos bûtes, vos moissons maintenant prennent fin.
Auallez en criant voſtre plume accroupie Comme vn poucinet d'Aouſt qui de chaleur pepie.	Avallez en criant votre plume accroupie Comme un poucinet d'Août qui de chaleur pépie.
Oa ſi vous aymez mieux vanger vn iouuenceau Ameureux de Cyprine accablez ce pourceau.	Ôa si vous aimez mieux venger un iouuenceau Ameureux de Cyprine accablez ce pourceau.
Plui il eſt furieux, plus aurez vous de gloire plus aura de credit voſtre fleche notoire, Velez porte-carquou, & par l’air ſouſtenus.	Plui il est furieux, plus aurez -vous de gloire plus aura de crédit votre flèche notoire, Velez porte-carquou, et par l'air soutenus.
Alez à tire d’aiſle annoncer à Venus Qu'auecque ſon Adon morte eſt ſon eſperanes:	Alez à tire d'aisle annoncer à Venus Qu'avec son Adon morte est son espéranes:
Tandu nous gemirons c'eſte truelle oſfente.	Tandu nous gémirons c'este truelle ôfente.
ACTE CIN 'IES VENVS, L'OMBRE D’ADONIS.	ACTE CIN 'IES VENUS, L'OMBRE D'ADONIS.
A Donis és tu mort?	À Donis ès tu mort?
helas cher Adore M’as-tu donc aux regrets & plearis bandonnee Ou es-tu mon Adon?	hélas cher Adore M'as-tu donc aux regrets et plearis bandonnée Ou es-tu mon Adon?
out’irayieδæAdouis, Adonis reſpons mon amy cher (da Teſpons s’il te ſouuient de nostre douce ſlams Iaitu ne me dis mot, & ces roches ſans ame Ces antres & ces bous ont quelque impreſſion Redoublant les accens de mon affliction.	out'iraiieæAdouis, Adonis réponds mon ami cher (da Tespons s'il te souvient de notre douce slams Jaitu ne me dis mot, et ces roches sans âme Ces antres et ces bous ont quelque impression Redoublant les accents de mon affliction.
Ha pauure ie te vois, ie vois ton beau corſege, Paſle mort & tranſi qui meſure l’herbage, Sans honneur & vigueur de ſon long eſtendu.	Ha pauvre ici te vois, une vois ton beau corse, Pâle mort et transi qui mesure l'herbage, Sans honneur et vigueur de son long étendu.
Ie voi le ſanz pourpré ſur l’areſne eſpandu.	Je vois le sanz pourpré sur l'arène épandu.
Ciel ingrat, oel ialonx, indigue de lamiere, Maiſon de cruauté, deſloyale tenniere De monstres, de br gans, aſſaßins, & voleurs, Et magavin farcy de cent m'lle malheurs.	Ciel ingrat, oel jalonx, indigue de lamière, Maison de cruauté, déloyale tennière De monstres, de br gans, assassins, et voleurs, Et magavin farci de cent m'lle malheurs.
Tu ai doncques vecſe ceste maudite peste Pour me donner eunuy.	Tu ai donc vecse cette maudite peste Pour me donner eunui.
I’inuoque, ie t’atteste O riuiere de Stix & ton Roy ſouterra n, Qui garrote Saturne en ceut chaines d’airain, Dieux mutins qui trompez des hommes le couragt Lequel est-ce de vous qui u’a fait cest outrage?	J'invoque, Seigneur t'atteste Ô riuiere de Stix et ton Roi souterra nôtre, Qui garrote Saturne en cut chaines d'airain, Dieux mutins qui trompez des hommes le couragt Lequel est-ce de vous qui u’ de vous cest outrage?
O combien à grand tort ſur vos diuins autels Fume iourn ellement l'effrande des mortels.	Ô combien à grand tort sur vos divins autels Fume journ ellement l'effrande des mortels.
Qui meſpriſe le Ciel pour aimer en la terre?	Qui méprise le Ciel pour aimer en la terre?
Eſt-ce toy babillard ſerf de tes appetits, Qui menas paſſager les Iheſſales brebis?	Est-ce toi babillard serf de tes appétits, Qui menas passager les Ihessales brebis?
Ou toy larvon vollant à la plante legere, Ailanthude courrier maquereau de ton pere?	Ou toi larvon vollant à la plante légère, Ailanthude courrier maquereau de ton père?
O toy Dieu carnaſiier de courroux allumé, Que i’uy d’vn ſeul clin d’œil ſi ſounent deſarmé?	Ô toi Dieu carnasiier de courroux allumé, Que j'hui d'un seul clin d'œil si sounent désarmé?
Mau eſt-ce toy Minerue est-ce toy Proſerpine.	Mau est-ce toi Minerve est-ce toi Proserpine.
Qui repaiſt ton ardeur d’innocente rapine, Qui vierge te faignant aunes pourtant lelit Du ſecret Orion & du ieune H ypolu?	Qui repaît ton ardeur d'innocente rapine, Qui vierge te faignant aunes pourtant lelit Du secret Orion et du jeune H ypolu?
Dites qui c’eſt de vous, que rien on ne me celle, De peur que ma ſureur iuſtement criminelle Nuijfametauyquimramue.	Dites qui c'est de vous, que rien on ne me celle, De peur que ma fureur justement criminelle Nuijfametauyquimramue.
Cſſe ceſſe Venus ta grand temerité, Vou-tupas ce chartier phœbus par le nuage Ioyeux de ton eſmoy reluire dauantage Vois-tu la trahiſonna ſens iu mamtenant!	Censse cesse Venus ta grand témérité, Vou-tupas ce chartier phœbus par le nuage Joyeux de ton émoi reluire davantage Vois-tu la trahisonna sens ju mamtenant!
Oregret ô douleur, mon cœur empoiſonnan.	Oregret ô douleur, mon cœur empoisonnan.
Approche toy du corps miſerable derſſe, Approche toy de luy & lamante ſans ceſſe Ce deſaſtre malin couppe toyler cheueux, Et rienſinon la mort ne reprennent tes yeux, Iſchauſſe en ton giron amante malheureuſe De ſouſpirs redoublez ceſte image amoureuſe Dayſe la pour iamais, & ce corps treſpaſsé Soit pitoyiblement de tes bras enlaßé Si quelque eſprit erraut ſur les leures habite, Si quelque viſbuſer en ſa bouche palpite Ite le fait cueillir.	Approche toi du corps misérable dersse, Approche toi de même et lamante sans cesse Ce désastre malin couppe toiler cheveux, Et riensinon la mort ne reprennent tes yeux, Ischausse en ton giron amante malheureuse De soupirs redoublés cette image amoureuse Dayse la pour jamais, et ce corps trespassé Soit pitoyiblement de tes bras enlassé Si quelque esprit erraut sur les esprit habite, Si quelque visbuser en sa bouche palpite Ite le fait cueillir.
Helas mon cherAdon Qù ſont de tes beaux yux l’ra & l’autre brandon Ou ſont ces mots dorez ou ſont ses cheueux creſpes M auou ſont maint enant mille amou reuſes gueſpes, Où ſont mille beautez, où ſout ccs doux aitraiſts Que mon fils de ſa main auout meſme pourtraict Si auant que partir à Dieu ien'ay peu dire Au corail rougiſſant cauſe de ſon martire, Cent ſois apreita mortie le rebaiſeray, Ceut fois & cent encor ie te racolleray.	Hélas mon cherAdon Qù sont de tes beaux yux l'rats l'autre brandon Ou sont ces mots dorés ou sont ses cheveux crêpes M avou sont maint enant mille amou reuses guêpes, sont mille beautés, où sout s doux aitraists Que mon fils de sa main aut même pourtraict Si avant que partir à Dieu yen à peu dire Au corail rougissant cause de son martyre, Ita sois Cent soi le apaiserai, Ceut fois et cent encor ie te racolerai.
Ie preſſeray tes yeux ie baiſeray ta bouche.	Je presserai tes yeux On baiserai ta bouche.
Adonis tu me fuis, & me ſembles farouche plus que deuant tamort, cruelle qu’ay-ie faict?	Adonis tu me fuis, et me sembles farouche plus que devant tort, cruelle qu'ai-je fait?
Trop tardie recognois ma coulpe & mon forfait.	Trop tardie reconnais ma coulpe et mon forfait.
C’est moy qui t’ay perdu.	C'est moi qui t'ai perdu.
C’eſt moyie le confeſſe, Q'apuny te tuant la fiere chaſſereſſe.	C'est moiie le confesse, QU'apuni te tuant la fière chasseresse.
L’OMBRE D'ADONIS.	L'OMBRE D'ADONIS.
Mon ame, mes amours, mon cœur & mou ſony.	Mon âme, mes amours, mon cœur et mou sony.
Ie vieus pour vous reuoir du manoir obſeurc).	Je vieus pour vous revoir du manoir obseurc).
Ne gemiſſez, point tant, appaiſez ie vous prie Ceſle plainte & ces pleurs, appaiſez vous ma vie.	Ne gémissez, point tant, apaisez ie vousprie Cesle plainte et ces pleurs, appaisez vous ma vie.
D’vn ſeul point ie vous veux ſeulement requerir.	D'un seul point Dieux vous veux seulement requérir.
Ne me faictes Venus, encor vn coup mourir.	Ne me faites Venus, encor un coup mourir.
La parque a retrenché ma ieuneſſe prem ere Et au creux Auernal ma peine priſonniere Boit les flots Letheens, mau vos tristes clameurs Fout que mort vne fou vne autre ſois ie meurs, Pardonuez ma deeſſe à ces dures complaites, Et ne terniſſez plus ces deux lumieres ſaintes A force de pleurer.	La parque a retrenché ma jeunesse première ère Et au ciel Auernal ma peine prisonnière Boit les flots Letheens, mau vos tristes clameurs Fout que mort fou vne autre sois ainsi mûres, Pardonuez ma déesse à ces dures complaites, Et ne ternissez plus ces deux lumières saintes A force de pleurer.
Car ie ſuis trop heureux Puiſque vous daignez bien me nommer l’amoureux De vos perfections nyles tardes anuces, Ny du ſort inconſtant lesmains plus fortunees Ne me pouuoient offrir plus de coutentement, Puis que ie meurs pour vous ie meurs heureuſemeni.	Car ie suis trop heureux Puisque vous daignez bien me nommer l'amoureux De vos perfections niles tardes anuces, Ni du sort inconstant lesmains plus fortunes Ne me pouvaient offrir plus de coutentement, Puis que sans meurs pour vousie urs heureusement.
cependant n’oubliez la terre Paphienne, Seiour de mes ayeulx.	cependant n'oubliez la terre Paphienne, Séjour de mes aieulx.
Et touſiours vous ſouaienne Du mont Idalien & de ſes prez ſleuris, Qui paiſible michoyent nos amours & nos ritt.	Et toujours vous soujenne Du mont Idalien et de ses près sleuris, Qui paisible michaient nos amours et nos ritt.
Quend à moyie m'eu-vou en la nuiet eternelle, Où le nocher Caron tous les hommes appelle.	Quend à moiie m'eu-vou en la nuiet éternelle, Où le nocher Caron tous les hommes appelle.
V ENVS.	V VNUS.
Iu amy tu t’en vas.	Ju ami tu t'en vas.
Ias il eſt ià part,:	Jas il est jà part,:
Etce ſon doucereux, s’eſt en rien conuerty.	Etce son doucereux, s'est en rien converti.
Eftrange & dure loy que les hommes deſcendeus Si toſt dans le ſepulchre, & leur aage deſpendent Saus eſpoir de retour, ô fanebre destin On couppe tous les ans les mauues & le thin, Ies mauues & le thin leur verdure reprennent Maus les hommes s’en vont, & iamais ne reuiennent.	Étrange et dure loi que les hommes descendeus Si tôt dans le sépulcre, et leur âge dépendent Saus espoir de retour, ô fanebre destin On couppe tous les ans les mauves et le trin, Jes mauves et le thin leur verdure reprennent Maus les hommes s'en vont, et jamais ne reviennent.
Maudit ſoit le ſerpent, que l’aſne ſoit maudit Qui au ſerpent ruſé la iouuence vendit, Ie vou bien que c’eſt faicl Adieu bouche vermeille Adieu front delicat de blancheur nompareille, Ade eleueux creſpez.	Maudit soit le serpent, que l'âne soit maudit Qui au serpent rusé la iouuence vendit, Je vou bien que c'est faicl Adieu bouche vermeille Adieu front délicat de blancheur nompareille, Ade leveux crêpez.
Adieu flãbeaux germains Adieu ſourcils voutez, Adieu bras, Adieu mains, Hen que voſtre vigueur deſia ſoit effaces Lounez moybelles mains entore vne embraſſee.	Adieu flambeaux germains Adieu sourcils voûtez, Adieu bras, Adieu mains, Hen que votre vigueur déjà soit effaces Lougnez moibelles mains entore une embrassée.
Adieu bel eſtomach dont l'amoureux pouuoir Afut en mon eſprit ſes ardeurs conceuoir, Adieu pieds ad eu pas, adieu iambe longuette Adien plaiſir.	Adieu bel estomacach dont l'amoureux pouvoir Afut en mon esprit ses ardeurs concevoir, Adieu pieds ad eu pas, adieu jambe longuette Adien plaisir.
paſſé que triſte ie regrette.	passé que triste ici regrette.
Heureuſe fat Hero qui tomba du chaſteau Lur Ieander noyé & el qui d'vn couſteau Ilatant fin à ſon mal mourut auec Pirame:	Heureuse fat Hero qui tomba du château Lur Jeander noyé et el qui d'un couteau Ilatant fin à son mal mourut avec Pyrame:
Iau pour ne mourir poine te ſons au font de l’ame I'ne dernelle mort & la diuinité Us ſoiure mon amy m’oſle la liberté.	Jau pour ne mourir poine te sons au font de l'âme J'ne dernelle mort et la divinité Us soivre mon ami m'ôle la liberté.
Loyent tant qu'elles voudront les portes Tenarees.	Loient tant qu'elles voudront les portes Ténarées.
II mes piedi à mes pleurs eſtroitement ſerrees Puſiours, touſiour, Veuus en miſere viura I quelque part qu’elle aille vn enfer la ſuiura.	II mes piedi à mes pleurs étroitement serrées Pusiours, toujours, Toujours en misère vivra I quelque part qu'elle aille un enfer la suivrez.
es yeux distilleront vn oudeyant Cocite,	es yeux distilleront un oudeyant Cocite,
Acheron ſlotiera dins mon ame deſpite Et en mon cœur eſpru bouillera Phlege on.	Acheron slotiera dins mon âme dépite Et en mon cœur épru bouillera Phlège on.
Sonme ie porteray les enfers de Pluton, Sus douc arrachez moy ces ſleurettes pendantes Fichez moy des chardons, & des ronces mordames Tout à l'entour du chef faites moy tout expres En beu de ma couronne vn chapeau de Cyprez?	Sonme ici porterai les enfers de Pluton, Sus douc arrachés moi ces sleurettes pendantes Fichez moi des chardons, et des ronces mordames Tout à l'entour du chef faites moi tout exprès En bu de ma couronne un chapeau de Cyprès?
Mes plaiſirs ſont fanez ainſi comme la branhe De Bacchus ſans appuy contre terre ſe penche.	Mes plaisirs sont fanez ainsi comme la branhe De Bacchus sans appui contre terre se penche.
Ie veux que deſormau, mes cygnes blancluſiaus Veſtent lenoir babit des oyſeaux croasans.	Je veux que désormau, mes connes blanclusiaus Vent lenoir babit des oiseaux croasants.
Ie veux que mes pigeons ſe tramſorment en pies Et mes petits anours en ſanglantes Harpies, Mes graces deſormais ſans graces deuiendront, Et comme trois ſureurs aux hommes epprendruu Ia rage, les forſaus, les deteſtables œuures Semant de tous coslez milles noires couleumren Deſſous mon pred naistra en lieu de blons eſpu Vne fiere moiſſon de crappaux, & d’aſps Et moy qu’on vanommnant mere de tout le monde Seray de l’vmuers la pernice feconde:	Je veux que mes pigeons se tramsorment en pies Et mes petits anours en sanglantes Harpies, Mes grâces désormais sans grâces deviendront, Et comme trois fureurs aux hommes épprendru Ia rage, les forsaus, les détestables œuvres Semant de tous côlez milles noires couleumren Dessous mon préd naîtra en lieu de blons espuLons fière moisson de crois, et d'asps Et moi qu'on vanonnant mère de tout le monde Va de nmuers la pernice féconde:
Hymen le doux Hymen plus ne m acostera Cerbere deuant moy cruel deuoreraTous aumaux viuans, & ma belle ceinture Qui ſouloit aquoiſer desondes le murmure Sus donc ie veux moy meſme aitainte de ſureul Rompre l’iuoire blanc de mon viſage tendre, Ie te veux Adonis derechef faire entendre Mou ſoucy violent E ſi tu ne me vois Eſ.	Hymen le doux Hymen plus ne m acôtera Cerbère devant moi cruel dévoreraTous auma viuans, et ma belle ceinture Qui soûlait aquoiser désondes le murmure Sus donc tu ne me même aitainte de sûreul Rompre l'yvoire blanc de mon visage tendre, Je te veux Adonis derechef faire entendre Mou soucy violent E si tu ne me vois Es.
utetous au moins ma gemniſſmme voix.	utetous au moins ma gémnissamme voix.
Apollon & Diane out ceste mort braſſee, Mauie leur garderay vne ſourde penſee Tamort ſe ven cera, Ie le iure & promets, Adieu man Adonis, adieu denc à tamaus.	Apollon et Diane out cette mort brassée, Mavie leur garderai toujours sourde pensée Tamort se ven cera, Je le jure et promets, Adieu man Adonis, adieu denc à tamaus.
FIN.	FIN.
PARADOXE DV MESME AVTHEVR.	PARADOXE DU MÊME AUTHÉVR.
Que les Dames doyuent marcher le ſein deſcouuert.	Que les Dames doivent marcher le sein découvert.
E ne ſcaypar quelle malice, On dit auiourd huy que c’et vice De menstrer le ſe nrondilet.	E ne scaypar quelle malice, On dit aujourd' hui que c'et vice De menstrer le se nrondilet.
Veu qu’au premier tempi d'innocére RdIa ſenme n’euſi onc congnoiſſance Ni de robbe, ni de collet.	Veu qu'au premier tempi d'innocère RédIa senme n'eusi onc connaissance Ni de obe, ni de collet.
Elle cheminoit toute nue Dans les prez ſur l’herbe menue.	Elle cheminait toute nue Dans les prez sur l'herbe menue.
Partant auec ſon amoureux:	Partant avec son amoureux:
blaſmerons nous les Damoiſelles, Qui commencent par les mammelles A ramener le temps heureux?	blâmerons nous les Damoiselles, Qui commencent par les mammelles A ramener le temps heureux?
Il faut çacher la main ſauuage Tainte de ſang & de carnage, It couurir la bouche qui ment:	Il faut çacher la main sauvage Tainte de sang et de carnage, It couvrir la bouche qui ment:
Mais vne poitrine gentille, Et le blanc tetin d’vne fille Ne ſe dont chacher nullement.	Mais une poitrine gentille, Et le blanc tétin d'une fille Ne se dont chacher nullement.
Il faut captiuer ſan, lumiere	Il faut captiver san, lumière
Au noir cachot d'vne taniere Ie ſerpent & l'ours affamé:	Au noir cachot d'une tanière Je serpent et l'ours affamé:
Mais vu beau ſem qui ſe deſcouure N’a le venin de la couleuure Tour eſtre prus ou renſerme.	Mais vu beau sem qui se découvre N'a le venin de la couleuvre Tour être prus ou renserme.
Fol eft l'vſurier qui reſerre Ses facultez deſſous la terre Et tient ſon or enſeueli:	Fol eut l'usurier qui réserre Ses facultés dessous la terre Et tient son or enseveli:
Mais les pucelles liberales Euentent deux pommes eſgales, Al iuoire le mieux poli.	Mais les pucelles libérales Évent deux pommes égales, Al yvoire le mieux poli.
Tout auſi toſt que nos decſſes Voulurent monſtrer les richeſſes De leur estomac precieux, Amour aueugle de nature Ne volla plus à l’auanture Et ſe debenda les deux yeux.	Tout aussi tôt que nos décès Voulurent montrer les richesses De leur estomac précieux, Amour aveugle de nature Ne volla plus à l'aventure Et se débenda les deux yeux.
Il rougit ceste double fraize Comme charbons de ſa fournaiſe, Deux ſoufflets furent les tetons, Qui de chaude vapeur s'enflerent Et dedans nos ames ſouſſlerent Le feu miguard que nous ſentons.	Il rougit cette double fraise Comme charbons de sa fournaise, Deux soufflets furent les tétons, Qui de chaude vapeur s'enflèrent Et dedans nos âmes soûlèrent Le feu miguard que nous sentons.
Dhæbus de beautéſeolexemple Aſin que mieux on le contemple En tourneyant fait ſon deuoir.	Dhæbus de beautéseolexemple Asin que mieux on le contemple En tourneyant fait son devoir.
Et puis apres la nuit farouche Bien quelle ſoit à demi louche Se veut encore faire voir.	Et puis après la nuit farouche Bien quelle soit à demi louche Se veut encore faire voir.
Qααnd Aquιlonpar l'argallepe	Qααnd Aqulonpar l'argalepe
Et qu'en Ianuier il enueloppe Fhiiiieu inpaſie bandeau, Tous ſes plaiſirs elle abandonne, Ele gemit pleure, & friſſonns Comme vnpriſonnier au cordeau.	Et qu'en Janvier il enveloppe Fhiiiieu inpasie bandeau, Tous ses plaisirs elle abandonne, Éle gémit pleure, et frissonns Comme imprisonnier au cordeau.
