SL T ND LI MONSIEVR D.	SL T ND LI MONSIEUR D.
Ie crains que l’air ialoux des voluptez ſans nombre Empeſche mes regards d’vn corps ſolide & ſombre;	Je crains que l'air jaloux des voluptés sans nombre Empêche mes regards d'un corps solide et sombre;
Ie crains qu'en m'eſueillant plein de confuſion, Sçachant que tu mets l’ame en douce viſion Außi bien que les yeux, entre nous deux ie treuue Vne plaine, vn valon, vne montagne, vn fleuue.	Je crains qu'en m'éveillant plein de confusion, Sachant que tu mets l'âme en douce vision Aussi bien que les yeux, entre nous deux ie trouve Une plaine, un valon, une montagne, un fleuve.
CYDIPPE.	CYDIPE.
O mon cher Melindor vn autre empeſchement Nous oſtera bien-toſt ce doux contentement.	Ô mon cher Melindor un autre empêchement Nous ôtera bientôt ce doux contentement.
MELINDOR.	MELINDOR.
Ne ſçaurois-ie esperer, cruelle violence!	Ne sçaurois-je espérer, cruelle violence!
De paſſer ſans contrainte vne peure en tà preſence:	De passer sans contrainte une peure en ta présence:
CYDIPPE.	CYDIPE.
Mes parẽs ſont d’accord que i’eſpouſe auiourd’huy Ce faſcheux Palemon, dequoy ie meurs d'ennuy.	Mes parêts sont d'accord que j'épouse aujourd'hui Ce fâcheux Palemon, de ie meurs d'ennui.
MELINDCR.	MELINDCR.
Quoy?	Quoi?
Cydippe aujourd’huy tu me ſeras rauie?	Chydippe aujourd'hui tu me seras ravie?
Que dans les flots marins n'ay-ie perdu la vie!	Que dans les flots marins n'ai-je perdu la vie!
	
Mll a,	Mll a,
CYDIPPE.	CYDIPE.
Sçache mon cher amant que ſi leur volonté De viure où tu ſeras m'oſte la volupté, Tonuuray point l’ennuy de viure en ton abſence, La mort à leurs efforts ſera ma reſiſtence.	Sache mon cher amant que si leur volonté De vivre où tu seras m'ôte la volupté, Tonvrai point l'ennui de vivre en ton absence, La mort à leurs efforts sera ma résistence.
MELINDOR.	MELINDOR.
Las!	Las!
i’ayme bien mieux voir vn viſage ſi beau Dans le ſein d’vn riual qu'au profond du tombeau.	j'aime bien mieux voir un visage si beau Dans le sein d'un rival qu'au profond du tombeau.
Ne pouuez-vous, doux yeux, calmer leur tyrãnie?	Ne pouvez-vous, doux yeux, calmer leur tyrannie?
CTDIPPE.	CTDIPE.
IVon, que de mnon pays me juſſe-ſeoanme;	IVon, que de mnon pays me jusse-seoanme;
Quand mes regards mourãs te ſuiuoiẽt ſur les flots, Et qu'a ma triſte voix reſpondoient les écots.	Quand mes regards mourants te suivaient sur les flots, Et qu'a ma triste voix répondaient les écots.
MELINDOR.	MELINDOR.
Cydippe qu'auiourd’huy ce depart eſt facile:	Chydippe qu'aujourd'hui ce départ est facile:
Car vn vaiſſeau m'attend deſſus la mer tranquile, Pour voir ſi dans ces lieux ie voudray ſeiourner;	Car un vaisseau m'attend dessus la mer tranquille, Pour voir si dans ces lieux ie voudrai seiourner;
Ou ſi quelque accident m'en fera retourner.	Ou si quelque accident m'en fera retourner.
SATTRE.	SATTRE.
Si des charmes ſecrets n’abuſent mes prunelles, Melindor entretient la merueille des belles.	Si des charmes secrets n'abusent mes prunelles, Melindor entretient la merveille des belles.
Que de ſubtils deſſeins le meſchant tramera!	Que de subtils desseins le méchant tramera!
Que de troubles nouueaux ſon retour cauſera!	Que de troubles nouveaux son retour causera!
Voyez, dés maintenant ce trompeur flatte & pippe Ceſte credule, ſimple, innocente Cydippe;	Voyez, dès maintenant ce trompeur flatte et pipe Ceste crédule, simple, innocente Cydipe;
Ie m'en vay proche d’eux d’vn pas lent & craintif, A leurs ſecrets d’amour ie veux eſtre attentif.	Je m'en vais proche d'eux d'un pas lent et craintif, À leurs secrets d'amour Ne veux être attentif.
AlEAIADOR Doux obiect de mon cœur Melindor t’en coniure.	AlEAIADOR Doux objet de mon cœur Melindor t'en conjure.
CTDIPPE.	CTDIPE.
Berger, quand tu voudras ſuiuons ceſte auanture.	Berger, quand tu voudras suivons cette aventure.
MELINDOR.	MELINDOR.
nieux!	nieux!
mõ ame auiourd’huy, que ma Cydippe viẽt, Sent plus de voluptez que le Ciel n’en contient.	mon âme aujourd'hui, que ma Cydipe vien, Sent plus de voluptés que le Ciel n'en contient.
La mer en ta faueur eſt ſi calme qu’il ſemble que dans ſon onde claire on void nager enſemble Los grands poiſſons marins, & les petits oyſeaux, qui chantans doucement volent deſſus les eaux.	La mer en ta faveur est si calme qu'il semble que dans son onde claire on void nager ensemble Los grands poissons marins, et les petits oiseaux, qui chant doucement volent dessus les eaux.
CIDIEPL.	CIDIEPL.
Mais quoy?	Mais quoi?
i’entẽds du bruit à trauers ce fueillage;	j'entends du bruit à travers ce fueillage;
MELINDOR.	MELINDOR.
C’eſt peut eſtre vn oyſeau qui va cherchãt l’õbrage:	C'est peut être un oiseau qui va cherchant l'ombrage:
CYDIPPE.	CYDIPE.
Oupluſtoſt vn Berger qui nous veut écouter;	Ouplustost un Berger qui nous veut écouter;
MELINDOR.	MELINDOR.
Vn pareil accident ſeroit à redouter:	Un pareil accident serait à redouter:
CYDIPPE.	CYDIPE.
Ie crains, cher Melindor, qu’vn malheur nous retarde.	Je crains, cher Melindor, qu'un malheur nous retarde.
MELINDOR.	MELINDOR.
Que ferons-nous, Cydippe?	Que ferons-nous, Cydipe?
CYDIPPE.	CYDIPE.
Il y faut prendre garde, Trouuons-nous mon Berger dans vn lieu limité Si toſt que nous verrons l’épaiſſe obſcurité Des animaux du iour aſſoupir la paupiere, AeEcitonsenom ueſſus t'unde à ja faueur premiere.	Il y faut prendre garde, Trouvons-nous mon Berger dans un lieu limité Si tôt que nous verrons l'épaisse obscurité Des animaux du jour assoupir la paupière, Aecitonsenom ussus t'unde à ja faveur première.
MELINDOR.	MELINDOR.
Douce concluſion, mais en quel heureux lieu?	Douce conclusion, mais en quel heureux lieu?
CYDIPPE.	CYDIPE.
Celuy uom uu pauuu fuum iume un nadieu.	Celui om u pauuu fum jume un nadieu.
MELINPOR.	MELINPOR.
L’endroit eſt fort commode, & proche du nauire, Et de ce bord ſur l’onde vn petit vent ſouſpire.	L'endroit est fort commode, et proche du navire, Et de ce bord sur l'onde un petit vent soupire.
YDIPPE.	YDIPE.
Mais attendant que l’ombre eſteigne la clarté, Si quelqu'vn te rencontre en ce bord écarté, Feints de ne penſer plus qu'à porter ta houlette;	Mais attendant que l'ombre éteigne -la clarté, Si quelqu'elle te rencontre en ce bord écarté, Feints de ne penser plus qu'à porter ta houlette;
Prens-là, car l’entrepriſe en ſera plus ſecrette.	Prends-là, car l'entreprise en sera plus secrète.
MELINDOR.	MELINDOR.
Adieu donc ma Cydippe,	Adieu donc ma Cydipe,
CYDIPPE.	CYDIPE.
Adieu mon cher Amant.	Adieu mon cher Amant.
SATTRE.	SATTRE.
O Dieux, fut-il iamais vn trompeur ſi charmant?	Ô Dieux, fut-il jamais un trompeur si charmant?
Voyez qu’en tous eſprits l’Amour cauſe d’audace, L’obiect de leur deſſein remplit mon cœur de glace, Vne ieune beauté plus tendre qu’vn roſeau, Qui ne paſſa iamais ſur le bord d’vn ruiſſeau, Que de quelque amoureux elle ne fut conduite, Sur le perfide monſtre oſe prendre la fuite, Sur le fier Ocean, ce prodige d’horreur, Où les plus durs Nochers ſont comblez de terreur:	Voyez qu'en tous esprits l'Amour cause d'audace, L'object de leur dessein remplit mon cœur de glace, Œune jeune beauté plus tendre qu'un roseau, Qui ne passa jamais sur le bord d' ruisseau, Que de quelque amoureux elle ne fut conduite, Sur le perfide montre ose prendre la fuite, Sur le fier Océan, ce prodige d'horreur, Où les plus durs Nochers sont comblez de terreur:
Mais Satyre auiourd’huy trouble leur entrepriſe, Monſtre l’eſprit ſubtil que ce Berger mépriſe.	Mais Satire aujourd'hui trouble leur entreprise, Monsieur l'esprit subtil que ce Berger méprise.
Vn iour dans ces foreſts le deſtin tout puiſſant Me fit ſentir l’ardeur d’vn bel aſtre naiſſant, Melibe Aſtre nouueau la cauſe du martyre Qu'a ſi long temps ſouffert ce malheureux Satyre.	Un jour dans ces forêts le destin tout -puissant Me fit sentir l'ardeur d'un bel astre naissant, Mélibe Astre nouveau la cause du martyre Qu'a si long temps souffert ce malheureux Satire.
Ses beaux yeux que les miens auoient rendu contẽts Sembloient vne roſee aux Soleils du Prin-temps, Quand ie la faiſois rire en ſa bouche vermeille, Ie penſois qu’vn œillet branlaſt ſous vne abeille, Et ſa voix me charmoit d’vn doux accent plus doux Qu'vn ruiſſeau murmurant ſur les menus cailloux, Cette Nymphe à mes vœux n’eſtoit pas obſtinee, Mais vn iour m’emporta le trauail d’vne annee, Non iour, mais nuict d’enfer que ſon cœur abuſé S’enflama du diſcours d’vn Paſteur ſi rusé.	Ses beaux yeux que les miens avaient rendu contẽts Semblaient une rose aux Soleils du Printemps, Quand Je la faisais rire en sa bouche vermeille, Je pensais qu'un œillet branlât sous une abeille, Et sa voix me charmait d'un doux accent plus doux Qu'un ruisseau murmurant sur les menus cailloux, Cette Nymphe à mes vœux n'était pas obstine, Mais un jour m'emporta le travail d'une ane, Nuit iour, mais nuits d'enfer que son cœur abusé S'enflama du discours d'vn Pasteur si rusé.
Troublons pour nous venger, troublons en diligence Les deſſeins effrontez de leur intelligence.	Troublons pour nous venger, troublons en diligence Les desseins effrontés de leur intelligence.
Il n'en faut qu'auertir ſon riual genereux Par luy comme ie fus pauure amant malheureux;	Il n'en faut qu'avertir son rival généreux Par lui comme tu fus pauvre amant malheureux;
que s’il manque d’audace à vaincre ce perfide, Le Satyre en courroux luy ſeruira de guide.	que s'il manque d'audace à vaincre ce perfide, Le Satyre en courroux lui servira de guide.
SCEIETI.	SCIETI.
CTTHERE.	CTTHÉRE.
THERMODON.	THÉRMODON.
CYTHERE.	CYTHÉRE.
Tyran des amans, ô trop ſeuere honneur, nes plus diuins appas tu rauis le bon-heur, Ton	Tyran des amants, ô trop zé honneur, nés plus divins appas tu ravis le bonheur, Ton
Ton vain eſclat nous chãge en rigoureux ſupplices, De nos plus heureux iours les plus cheres delices.	Ton vain éclat nous changge en rigoureux supplices, De nos plus heureux jours les plus chères délices.
Dans les fleuues, dans l’onde, où tombe le Soleil, Dans les flots d’où l’Aurore eſtẽd ſon teint vermeil, Les poiſſons dans l’ardeur que l’amour leur inspire, Ne ſont point trauerſez par ce faſcheux martire.	Dans les fleuves, dans l'onde, où tombe le Soleil, Dans les flots d'où l'Aurore estẽd son teint vermeil, Les poissons dans l'ardeur que l'amour leur inspire, Ne sont point traversez par ce fâcheux martyre.
Sur le panchant des monts, dans les antres ſecrets, Dans les valons obſcurs, dans les ſombres foreſts, Tant d’animaux bruſlans d’vne amoureuſe flame Contentent leurs deſirs ſans la crainte du blame.	Sur le penchant des monts, dans les antres secrets, Dans les valons obscurs, dans les sombres forêts, Tant d'animaux brûlants d'une amoureuse flamme Content leurs désirs sans la crainte du blâme.
Ton erreur dont l’eſclat force nos volontez, N’oſte pont aux oiſeaux leurs douces voluptez, Leurs deſirs ſont contens, & l’Amour dont les charmes Nous causẽt des ſouſpirs, des regrets & des larmes, D’vne plus douce ardeur leur cauſent des concerts, Qui rendent le Ciel calme aux ſauuages deſerts.	Ton erreur dont l'éclat force nos volontés, N'ôte pont aux oiseaux leurs douces voluptés, Leurs désirs sont contents, et l'Amour dont les charmes Nous causaient des soupirs, des regrets et des larmes, D'une plus douce ardeur leur causent des concerts, Qui rendent le Ciel calme aux sauvages déserts.
Les Zephirs amoureux des campagnes fleuries Souſpirent ſans contrainte en leurs douces furies, Le paiſible ſilence, amoureux de la nuit, La careſſe aux rayons dont la Lune reluit.	Les Zéphirs amoureux des campagnes fleuries Souspirent sans contrainte en leurs douces furies, Le paisible silence, amoureux de la nuit, La caresse aux rayons dont la Lune reluit.
Le verdiſſant lierre amoureux d’vne plante, Conſomme tout ſon âge embraſſant ſon Amante	Le verdissant lierre amoureux d'une plante, Consomme tout son âge embrassant son Amante
D’vn bon-heur ſi conſtant que rien ne les déjoint, Car meſme leur trespas ne les ſepare point.	D'un bonheur si constant que rien ne les déjoint, Car même leur trépas ne les sépare point.
Pour les plus durs rochers les fontaines ſouspirent, En reſpandant leur onde où leurs Amans ſe mirent, Et gliſſant dans leur ſein les careſſent touſiours D'vn murmure amoureux témoignãt leurs amours.	Pour les plus durs rochers les fontaines soupirent, En répandant leur onde où leurs Amants se mirent, Et glissant dans leur sein les caressent toujours D'un murmure amoureux témoignant leurs amoureux.
Et le Ciel au Printemps ſans greſle & ſans orages Pour regarder la terre écarte les nuages;	Et le Ciel au Printemps sans grêle et sans orages Pour regarder la terre écarte les nuages;
Il s’allume d’amour admirant ſes beautez, Et verſe dans ſon ſein les douces nouueautez.	Il s'allume d'amour admirant ses beautés, Et verse dans son sein les douces nouveautés.
Le grand nombre de fleurs dont la terre ſe pare Pour plaire à ſes regards d’vne grace plus rare Ne me viens plus contraindre à feindre inceſſamment, Pour trouuer les moyens d’accroiſtre mon tourment.	Le grand nombre de fleurs dont la terre se pare Pour plaire à ses regards d'une grâce plus rare Ne me viens plus contraindre à feindre incessamment, Pour trouver les moyens d'accroître mon tourment.
Ne me viens plus contraindre à deſguiſer l’vſage Des mouuemens qu'Amour cõduit ſur mon viſage.	Ne me viens plus contraindre à déguiser l'usage Des mouvements qu'Amour connuit sur mon visage.
Tes ſeueres conſeils ne ſont plus de ſaiſon, Amour gaignant mon cœur, gaigne außi ma raiſon:	Tes sévères conseils ne sont plus de saison, Amour gagnant mon cœur, gagne aussi ma raison:
Ne me conſole plus d’vne vaine esperance, Tu rends quiconque t’aime heureux en apparence.	Ne me console plus d'une vaine espérance, Tu rends quiconque t'aime heureux en apparence.
Que mes parens cruels ſoupçonnent tellement, Qu'vne plainte, vn ſouſpir, vn regard ſeulement, Tant leur rigueur paroiſt de raiſon dépourueuë, Leur figure ce Dieu qu'on nous dépeint ſans veuë;	Que mes parents cruels soupçonnent tellement, Qu'une plainte, un soupir, un regard seulement, Tant leur rigueur paraît de raison dépourvue, Leur figure ce Dieu qu'on nous dépeint sans vue;
Que leur commandement à mes vœux rigoureux M’empeſche de reſpondre aux diſcours amoureux, Dont mon fidele Amant deſſus ma bouche attire Mon ame qui s’embraſe & ne l’oſe pas dire, Ie luy veux découurir qu'vn ſemblant de froideur Me déguiſe dans l’ame vne exceßiue ardeur;	Que leur commandement à mes vœux rigoureux M'empêche de répondre aux discours amoureux, Dont mon fidèle Amant dessus ma bouche attire Mon âme qui s'embrase et ne l'ose pas dire, Je lui veux découvrir qu'un semblant de froideur Me déguise dans l'âme une excessiue ardeur;
Que ie l’ay tant aimé ſans luy faire paroiſtre, Afin que mes parens n'en peuſſent rien connoiſtre, Qu'ils m'ont meſme contrainte à m'eſtoigner de luy Par vn faſcheux diſcours qui me comble d’ennuy.	Que quelque l'ai tant aimé sans mours faire paraître, Afin que mes parents n'en pussent rien connaître, Qu'ils m'ont assez contrainte à m'étoigner de deux Par un fâcheux discours qui me comble d'ennui.
Ie luy veux témoigner vne amour mutuelle.	Je te veux témoigner une amour mutuelle.
THERMODON.	THÉRMODON.
O malheureux Berger!	Ô malheureux Berger!
ô Nymphe plus cruelle!	ô Nymphe plus cruelle!
Pauure Amant Lucilys, que d’vn triſte accident in mon Tes beaux iours ſont tombez dans leur ſombre OcCTTHERE.	Pauvre Amant Lucilys, que d'un triste accident in mon Tes beaux jours sont tombez dans leur sombre OcCTTHERE.
cident!	cident!
Mais i’entends vne voix dont ce valon reſonne, erauut.	Mais j'entends une voix dont ce valon résonne, erauut.
Quelqu’vn plaint Lucilys, cette plainte m'eſtonne.	Quelqu'un plaint Lucilys, cette plainte m'étonne.
THERMODON.	THÉRMODON.
eleauVous qui viuez ſi vieux, grands arbres qui verrez ſol Esbattre les Bergers ſur nos corps enterre?	éleauUous qui vivez si vieux, grands arbres qui verrez sol Ébattre les Bergers sur nos corps enterre?
E ij Qui paroiſtra iamais deſſous voſtre verdure Si parfait que l’Amant d’vne Nymphe ſi dure?	 Ej Qui paraîtra jamais dessous votre verdure Si parfait que l'Amant d'une Nymphe si dure?
Vous Nerine & Syluain, triſtes corps languiſſans, Quand les Dieux vous rendroient vos ages fleuriſſans, ( fable, Dont t'amour aujoura nuy pous femvle eſtre vne Pourriez-voꝰ esperer d’en produire vn ſemblable.	Vous Nerine et Syluain, tristes corps languissants, Quand les Dieux vous rendraient vos ages fleurissants, ( fable, Dont t'amour aujoura nui pous femvre que vne Pourriez-vo espérer d'en produire un semblable.
CYTHERE.	CYTHÉRE.
Helas!	Hélas!
qu'ay-ie entendu?	qu'ai-je entendu?
Lucilys eſt donc mort, Apprends-moy le ſuccés de ſon malheureux ſort, Berger ie t'en conjure.	Lucilys est donc mort, Apprends-moi le succès de son malheureux sort, Berger Berger t'en conjure.
THERMODON.	THÉRMODON.
O Dieux, voila Cythere, Ce n’eſt pas ſans ſujet, inhumaine Bergere, Que vous auez deſſein de ſçauoir ſon trespas, Puis qu’il a rendu l’ame adorant vos appas, Bien que de ſon malheur ce pauure Amãt peu ſage N’euſt raïſon d’accuſer que voſtre humeur ſauuage.	Ô Dieux, voilà Cynthère, Ce n'est pas sans sujet, inhumaine Bergère, Que vous avez dessein de savoir son trépas, Puis qu'il a rendu l'âme adorant vos appas, Bien que de son malheur ce pauvre Amant peu sage N'eut raïson d'accuser que votre humeur sauvage.
Sçachez qu'en vn couſtau compoſant des chãçons Pour plaire à ma Philis en diuerſes façons, I’ay trouué ce Berger melancolique & bleſme, De viſage & d’humeur different de luy-meſme,	Sachez qu'en un coustau composant des chãçons Pour plaire à ma Philis en diverses façons, J'ai trouvé ce Berger mélancolique et blême, De visage et d'humeur différent de Sumême,
Qui m'ayant apperceu s’eſt auancé vers moy, M’obligeant par priere à luy donner ma foy, De n’empeſcher en rien ce qu’il voudroit reſoudre, Il m'en fait proteſter le grand moteur du foudre, Car iurer Pan cent fois le plus horriblement Sembloit à ſa triſteſſe vn foible iurement.	Qui m'ayant aperçu s'est avancé vers moi, M'obligeant par prière à lui donner ma foi, De n'empêcher en rien ce qu'il voudrait résoudre, Il m'en fait protester le grand moteur du foudre, Car jurer Pan cent fois le plus horriblement Semblait à sa tristesse un faible jurement.
Tant de ſermens receus ce pauure Amãt s’approche Du bord vn peu panchant d’vne effroyable roche, Que l’onde a miſe en voûte à force de combas, Et d’où meſme vn oiſeau ne ſçauroit voir embas Sans mouuement de peur, tant la ſurface nuë De ce rocher affreux s’eſleue dans la nuë:	Tant de serments reçus ce pauvre Amant s'approche Du bord un peu penchant d'une effroyable roche, Que l'onde à mise en voûte à force de combas, Et d'où autre oiseau ne saurait voir embas Sans mouvement de peur, tant la surface nue De ce rocher affreux s'élevée dans la nue:
Me diſant, Thermodon, raconte à nos Bergers, Aux Nymphes des foreſts, aux Paſteurs eſtrãgers, Aux écots, aux rochers, aux ruiſſeaux, aux fontaiLe funeſte accident qui termine mes peines.	Me disant, Thermodon, raconte à nos Bergers, Aux Nymphes des forêts, aux Pasteurs étrangers, Aux écots, aux rochers, aux ruisseaux, aux fontaiLe funeste accident qui termine mes peines.
nes, Et preſt a s’eſlancer en ce valon ſi creux, Il dit en regardant le precipice affreux;	nés, Et prêt a s'élancer en ce valon si creux, Il dit en regardant le précipice affreux;
O Cythere, ô beaux yeux, qu'en cette violence Mon treſpas montre peu l’ennuy de voſtre abſence!	Ô Cynthère, ô beaux yeux, qu'en cette violence Mon trépas montre peu l'ennui de votre absence!
Ainſi donc Lucilys, acheuant ſon diſcours, Sur le nom de Cythere a terminé ſes iours, Et de chercher ſon corps, c'eſt bien choſe impoßible Dans le fonds du rocher qui ſemble inacceßible.	Ainsi donc Lucilys, achevant son discours, Sur le nom de Cythère a terminé ses jours, Et de chercher son corps, c'est bien chose impossible Dans le fonds du rocher qui semble inaccevible.
Quel ſubit changement luy cauſe la douleur?	Quel subit changement homme cause la douleur?
Son beau corps eſt ſans force & ſon teint ſans couElle s'eſuanoüit, mais elle eſt reuenue, (leur:	Son beau corps est sans force et son teint sans couElle s'évanouit, mais elle est revenue, (leur:
Cythere alloit tomber quand ie l’ay retenué.	Chythère allait tomber quand on l'ai retenué.
Sans plainte elle s’en va, c’eſt pour dißimuler, Ou l’excés de l’ennuy l’empeſche de parler, Car iamais nul malheur ne luy fut plus ſenſible, Le mal qu’elle en reſſent luy peut eſtre nuiſible, N’eſtant pas vn effect d’vne tendre pitié, Mais pluſtoſt ſentiment d’amour & d’amitié:	Sans plainte elle s'en va, c'est pour dissimuler, Ou l'excès de l'ennui l'empêche de parler, Car jamais nul malheur ne lui fut plus sensible, Le mal qu'elle en ressent a peut être nuisible, N'étant pas un effet d'une tendre pitié, Mais plutôt sentiment d'amour et d'amitié:
L’affaire a du danger, ſans que rien me retarde Ie la veux viſte ſuiure à fin d’y prendre garde.	L'affaire à du danger, sans que rien me retarde Je la veux vite suivre à fin d'y prendre garde.
O que de mon conſeil l’heureux euenement Doit rendre à Lucilys vn grand contentement.	Ô que de mon conseil l'heureux événement Doit rendre à Lucilys un grand contentement.
CHOEVR.	CHOEUR.
Ve ces vains noms d’honneur, de respect & de gloire Sont pleins de faux appas, Et que c'eſt follement qu'on ſonge à ſa memoire Au delà du trespas.	Ve ces vains noms d'honneur, de respect et de gloire Sont pleins de faux appas, Et que c'est follement qu'on songe à sa mémoire Au delà du trépas.
Que produit aujourd’huy le bruit du Mauſolée Deſſus le triſte ſort De celle qui iamais ne parut conſolée Quand ſon mary fut mort.	Que produit aujourd'hui le bruit du Mausolée Dessus le triste sort De celle qui jamais ne parut consolée Quand son mari fut mort.
La beauté que Venus donna pour recômpenſe D’vn fameux iugement, Veſcut dans les plaiſirs, quoy que l’hõneur en pẽſe, Bien plus heureuſement.	La beauté que Venus donna pour recômpense D'un fameux jugement, Vécut dans les plaisirs, quoi que l'honneur en pẽse, Bien plus heureusement.
Vain phantoſme d’honneur demeure dans la Aux Palais des grands Rois, ( pompe Helas ne ſouffre plus que ton eſclat nous trompe Les Nymphes de nos bois.	Vain phantôme d'honneur demeure dans la Aux Palais des grands Rois, ( pompe Hélas ne souffre plus que ton éclat nous trompe Les Nymphes de nos bois.
Permets nous les douceurs que permet la nature Aux deſirs de nos ſens, Et nous laiſſe gouſter iuſqu'à la ſepulture Nos plaiſirs innocens.	Permets nous les douceurs que permet la nature Aux désirs de nos sens, Et nous laisse goûter jusqu'à la sépulture Nos plaisirs innocents.
ACTE QVATRIESME.	ACTE QUATRIÈME.
SCENE I.	SCÈNE I.
LrCIIYS.	LrCIIIS.
THERMOPON.	THÉRMOPON.
LVCILYS.	LUCILYS.
V’vn different combat d’eſperance & de crainte Me donne dans le cœur vne ſenſible atteinte!	V'un différent combat d'espérance et de crainte Me donne dans le cœur une sensible atteinte!
Que i'endure d’ennuis!	Que j'endure d'ennuis!
que i’ay l’ame en langueur D’eſtre encore incertain, ſi l’injuſte rigueur Qui m'emmene au trépas loin des yeux de ma belle, Aura demeuré ferme à la triſte nouuelle, Dont ce Berger en vain pretend me ſecourir, Diſant que mesregrets mont deſia fait mourir.	que j'ai l'âme en langueur D'être encore incertain, si l'injuste rigueur Qui m'emmène au trépas loin des yeux de ma belle, Aura demeuré ferme à la triste nouvelle, Dont ce Berger en vain prétend me secourir, Disant que mesregrets mont déjà fait mourir.
En ſouspirant i'artiue a l'antre de l'Aurore,	En soupirant j'artive a l'antre de l'Aurore,
Où dans vn vieux portrait ſon beau Chaſſeur l’adore.	Où dans un vieux portrait son beau Chasseur l'adore.
C’eſt l’antre où Thermodon maintenant ſe rendra, C’eſt l’antre où ce Berger aujourd’huy m'apprẽdra, Si m’eſtant conſommé d’ardeur continuelle Ma mort adoucira cette Nymphe cruelle.	C'est l'antre où Thermodon maintenant se rendra, C'est l'antre où ce Berger aujourd'hui m'apprendra, Si m'étant consommé d'ardeur continuelle Ma mort adoucira cette Nymphe cruelle.
Ce deſſein curieux differe mon trespas, I’ay ſuiui trop long temps ſes rigoureux appas.	Ce dessein curieux diffère mon trépas, J'ai suivi trop long temps ses rigoureux appas.
I’ay ſouuent veu le iour prendre & finir ſa courſe, Pour l’attendre en reſuant au doux bruit d’vne ſourſe;	J'ai souvent vu le jour prendre et finir sa course, Pour l'attendre en rêvant au doux bruit d'une sourse;
Que i’ay ſouuent laißé mon trouppeau gemiſſant Aux hurlemens d’vn loup qui l’alloit rauiſſant, Pour ſuiure la cruelle au trauers des bocages, A la pluye, au Soleil, par les antres ſauuages:	Que j'ai souvent laisse mon troupeau gémissant Aux hurlements d'un loup qui l'allait ravissant, Pour suivre la cruelle au travers des bocages, À la pluie, au Soleil, par les antres sauvages:
En fin combien de fois ay-ie paßé les nuis Sans employer mes yeux qu'à plaindre mes ennuis, Et deſſus nos rochers durant ſes mornes voiles De regrets ſuperflus attriſté les eſtoiles.	En fin combien de fois ai-je passé les nuis Sans employer mes yeux qu'à plaindre mes ennuis, Et dessus nos rochers durant ses mornes voiles De regrets superflus attristé les étoiles.
Heureuſe eſt ta fortune, agreable Chaſſeur, L’Aurore à tes regards éclatte en ſa douceur.	Heureuse est ta fortune, agréable Chasseur, L'Aurore à tes regards éclatte en sa douceur.
Mais voila Thermodon qui conduit l’entrepriſe De cognoiſtre l’object dont ma flame eſt épriſe.	Mais voilà Thermodon qui conduit l'entreprise De connaître l'object dont ma flamme est éprise.
D'vn ſi douteux ſuccés mon ame diſcourant Figure en ſes transports l’ame d’vn corps mourant, Qui ſe trouue incertaine où ſon deſtin l’enuoye, Pour voir le triſte Erebe, ou le Ciel plein de ioye, Et tous mes ſens confus d’vn ſombre eſtonnement, Sont flots qu'vn tourbillon frappe ſubitement.	D'un si douteux succès mon âme discourant Figure en ses transports l'âme d'un corps mourant, Qui se trouve incertaine où son destin l'envoie, Pour voir le triste Erebe, ou le Ciel plein de joie, Et tous mes sens confus d'un sombre étonnement, Sont flots qu'un tourbillon frappe subitement.
Mais qu’il ſemble affligé, mõ cœur n'eſt plꝰ que glaEt la crainte aux ennuis y va cedãt la place.	Mais qu'il semble affligé, momme cœur n'est place que glaét la crainte aux ennuis y va cédant la place.
ce, Dieux!	ce, Dieux!
qu’attens-tu Berger, parle dõc promtemêt, Chaque enfeantmmefain jicen ouce retardement?	qu'attends-tu Berger, parle dont promtemêt, Chaque enfeantmèmefain jicen ouce retardement?
Conte mon infortune;	Conte mon infortune;
ha!	ha!
ton regret m'exprime Quelque nouueau malheur dõt la frayeur m'oprime.	ton regret m'exprime Quelque nouveau malheur dont la frayeur m'oprime.
THERMODON.	THÉRMODON.
Te voyant, Lucilys, mes pleurs ſont redoublez, De regrets & d’ennuy i’ay tous les ſens troubleZ Rencontrant tetit Ivympne a t'eſcart ſolitaire, I’ay triſtement dépeint ton trépas volontaire, Auec vn tel ennuy, qu'elle a creu deſormais Que les yeux des mortels ne te verroient iamais.	Te voyant, Lucilys, mes pleurs sont redoublés, De regrets et d'ennui j'ai tous les sens troublés Rencontrant tetit Ivympne a t'écart solitaire, J'ai tristement dépeint ton trépas volontaire, Avec un tel ennui, qu'elle a cru désormais Que les yeux des mortels ne te verraient jamais.
?	?
LVCILYS.	LUCILYS.
Eſcoutant ce diſcours qu'eſt elle deuenuë?	Écoutant ce discours qu'est elle devenue?
THERMODON.	THÉRMODON.
Sans aucun mouuement ces bras l’ont ſoi ſtenuë,	Sans aucun mouvement ces bras l'ont soi stenue,
