Couvertures supérieure et inférieure on couleus	Couvertures supérieure et inférieure on coulus
NOVRRICE.	NOURRICE.
Mais bien ne craignez rien, penſez vous contẽter Ces ſales paßions qu’on ne ſçauroit dompter?	Mais bien ne craignez rien, pensez vous conter Ces sales passions qu'on ne saurait dompter?
Fléchirez vous celuy qui vous tient aſſeruie, Qui fils d’vne Amazone en imite la vie, Qui n’a dedans l’esprit que la Chaſſe & les Bois, A qui iamais l’Amour n'a pû donner de loix, Et qui pour noſre jexe ent tonionts dc ia naine, Brülez, mais pour vn autre, ou voſtre amour eſt vaine.	Fléchirez -vous celui qui vous tient asservie, Qui fils d'une Amazone en imite la vie, Qui n'a dedans l'esprit que la Chasse et les Bois, A qui jamais l'Amour n'a pu donner de lois, Et qui pour nosre jexe ent tonionts d' a naine, Bruilez, mais pour un autre, ou votre amour est vaine.
PHEDRE.	PHÉDRE.
» L’amour ſçait bien fléchir les Tygres & les Ours, » Le repos de la nuict ſuit le trauail des iours, --- .	" L'amour ait bien fléchir les Tigres et les Ours, " Le repos de la nuit suit le travail des jours, -- .
5, La vertu bien ſouuent ſe relâche elle-meſme, » Apres beaucoup d'effects ou quelque effort extreme.	5, La vertu bien souvent se relâche elle-même, " Apres beaucoup d'effets ou quelque effort extrême.
NOVRRICE.	NOURRICE.
Non n’eſperez iamais qu'Amour puiſſe toucher Ce cœur plus froid que glace & plus dur qu’vn rocher.	Non n'espérez jamais qu'Amour puisse toucher Ce cœur plus froid que glace et plus dur qu'Hommes rocher.
Quittez, quittez Madame vn Amour ſi funeſte, Songez à cét honneur, ce threſor qui vous reſte;	Quittez, quittez Madame un Amour si funeste, Songez à cet honneur, ce trésor qui vous reste;
PenſeZ bien que ce throſne où vous mirent les Cieux Voꝰ expoſe aux regards des hõmes & des Dieux, Que ce haut lieu vous met en bute à la tempeſte, Vne et peupis avuiſſe dom pom ſontz la teſte Auec mill' yeux ouuerts veille à vos actions, Et qu’on ne luy ſçauroit cacher vos paßions.	Pensez bien que ce trône où vous mirent les Cieux Voù expose aux regards des hommes et des Dieux, Que ce haut lieu vous met en bute à la tempête, et peupis avuisse dom sontz la teste Auec mill' yeux ouuerts veille vos actions, Et on ne lui sçauroit cacher vos passions.
PHEDRE.	PHÉDRE.
Ie me rends à là fin, toute ma honte encore N’a pas cedé la place au feu qui me deuore, Ie vais vaincre l'Amour que ie ne puis regir, Et l’honneur eſt mon port ie m'en vais y ſurgir, Ie veux ſacrifier mes deſirs à ma gloire,	Je me rends à là fin, toute ma honte encore N'a pas cédé la place au feu qui me dévore, Je vais vaincre l'Amour que je ne puis régir, Et l'honneur est mon port après m'en vais y surgir, Je veux sacrifier mes désirs à ma gloire,
D i Que la Mort ſur l'Amour emporte la victoire;	 y Que la Mort sur l'Amour emporte la victoire;
I'ẽprunteray ſes dards pour vaincre ce vainqueur, Teſteinar ay de mon ſang te braſier de moncœur.	J'enprunterai ses dards pour vaincre ce vainqueur, Têteinar ai de mon sang te brasier de moncœur.
NOVRRIGE.	NOURIGE.
Ha!	Ha!
Madame domptez cette rage puiſſante, Coupable vous viuieZ, mourrez vous innocente:	Madame domptez cette rage puissante, Coupable vous viviez, mourez -vous innocente:
Vous meritez de viure en deſirant perit,	Vous méritez de vivre en désirant périt,
PHEDRE, M’arreſtant tu me fais plus lentement mourir,  Et te br quiretient le poignara qui nous iue » En empeſchant le coup luy-meſme l'effectué.	PHÉDRE, M'arrêtant tu me fais plus lentement mourir, Et te br quiretient le poignara qui nous jue " En empêchant le coup lui-même l'effectué.
NOVRRICE.	NOURRICE.
Ne vous preparez point vn ſi funeſte cout, SongeZ qu'en vous tuant vous en tuez beaucoup.	Ne vous préparez point un si funeste coût, Songez qu'en vous tuant vous en tuez beaucoup.
PHEDRE.	PHÉDRE.
Tout le monde à chacun peut bien oſter la vie, 5 Ian ta mort ne noux pent iamab eſtre raute;	Tout le monde à chacun peut bien ôter la vie, 5 Jan ta mort ne noux pent jamab être raute;
Souffre que ie finiſſe vn ſi malheureux ſort, ,Vne ſi triſte vie eſt vne longue mort.	Souffre que enfin finisse un si malheureux sort, UNe si triste vie est une longue mort.
NOVRRICE.	NOURRICE.
Domptez cette fureur dont vostre ame eſt ſaiſie, Oſtez ce vain honneur de voſtre fantaiſie;	Domptez cette fureur dont votre âme est saisie, Usés ce vain honneur de votre fantaisie;
,Souuent la Renommée attaque les Vertus, ,,Et flatte des esprits ſous le vice abatus;	,Souuent les Renommée attaque les Vertus, ,,Et flatte des esprits sous le vice abattus;
, Elle ne conte rien bien fouuent que des ſonges, » Et cette babillarde eſt ſujete aux menſonges.	, Elle ne compte rien bien fassent que des songes, " Et cette babillarde est sujet aux mensonges.
Repoſez-vous ſur moy de ce nouueau deſſein, C'eſt à moy de fléchir cét eſprit inhumain:	Reposez-vous sur moi de ce nouveau dessein, C'est à moi de fléchir cet esprit inhumain:
Adieu ie vais flatter voſtre amour indomptable, Et vous rendre aujourd’huy ce Chaſſeur plus trai table.	Adieu ie vais flatter votre amour indomptable, Et vous rendre aujourd'hui ce Chasseur plus trai table.
AOIE II.	ÀOIE II.
SCENE II.	SCÈNE II.
NOVRRICE.	NOURRICE.
HIPPOLYTE.	HIPPOLYTE.
NOVRRICE.	NOURRICE.
Eureuſement pour moy ce Prince vient icy, Allons, allons fléchir cét esprit endurcy.	Eureusement pour moi ce Prince vient ici, Allons, allons fléchir cet esprit endurci.
Mais quoy, ie tremble, ô Dieux!	Mais quoi, Seigneur tremble, ô Dieux!
ah quittons cette crainte, Il faut guerir le coup dont la Reyne eſt atteinte, Qu'vne telle action ſuiue ou chocque les Loix;	ah quittons cette crainte, Il faut guérir le coup dont la Reine est atteinte, Qu'une telle action suive ou chocque les Lois;
» La honte n'eſt pas bonne au ſeruice des Roys.	" La honte n'est pas bonne au service des Rois.
HIPPOLYTE.	HIPPOLYTE.
Qui t'afflige Nourrice?	Qui t'afflige Nourrice?
& quel malheur extréme Rend ton humeur ſi ſombre, & ton viſage bleſmes Il n’eſt rien arriué de funeſte à la Cour, La Ne Mne vost encor dtianſere d jobi.	et quel malheur extrême Rend ton humeur si sombre, et ton visage blêmes Il n'est rien arrivé de funeste à la Cour, La Ne Mne vost encor dtianse d obi.
P	P
NOVRRICE.	NOURRICE.
Tout va bien graces aux Dieux vous ne deuez rien craindre, On n’a point à la Cour de ſujet de ſe plaindre, L’eſtat ne fut jamais plus ferme & plus puiſſant, La Reyne vit bien ſaine, & tout eſt floriſſant:	Tout va bien grâces aux Dieux vous ne devez rien craindre, On n'a point à la Cour de sujet de se plaindre, L'état ne fut jamais plus ferme et plus puissant, La Reine vit bien saine, et tout est florissant:
Mais le regret que j’ay de voir l’auſtere vie Qui parmy ces foreſts limite voſtre enuie, Eſt l’vnique ſuject qui cauſe mon ſouçy, Qui pâlit mon viſage, & qui m'afflige ainſi.	Mais le regret que j'ai de voir l'austère vie Qui parmi ces forêts limite votre envie, Est l' opject qui cause mon souçi, Qui pâlit mon visage, et qui m'afflige ainsi.
„ Ces mal-heureux mortels qui dans la mer du monde „ N’eſprouuerẽt iamais que les rigueurs de l’onde, » Qui ne peuuent treuuer ny riuage ny port, » Que touſiours mille eſcueils menaſſent de la mort, Que Thetys ne voit point qu’e eſcumãt de rage, , Dont les vents irritez conspirent le naufrage  A qui le Ciel ne luit qu’auecque des éclairs, .	„ Ces malheureux mortels qui dans la mer du monde „ N'esprouuerẽt jamais que les rigueurs de l'onde, " Qui ne peuuent trouver ni rivage était port, " Que toujours mille écueils menacent de la mort, Que Thétis ne voit point qu'e écumant de rage, , Dont les vents irrités conspirent le naufrage À qui le Ciel ne luit qu'avec des éclairs, .
.	.
».	".
Et qu’il fait estre en bute à la fureur des airs;	Et qu'il fait être en bute à la fureur des airs;
,Ces mortels, diſ-je donc, meritent des louanges ,De ceder doucement à ces malheurs eſtranges, .	,Ces mortels, dis-je donc, méritent des louanges ,De céder doucement à ces malheurs étranges, .
Et chercher du plaiſir au milieu de leurs maux 5.	Et chercher du plaisir au milieu de leurs maux 5.
Si le ſort les oblige à ces rudes trauaux:	Si le sort les oblige à ces rudes travaux:
Mais ceux dont vn bon vent enfle touſiours les voiles, ,Qui ne voyent iamais de malignes Eſtoilles, » Pour qui l’air & les eaux n’ont point de paßiõs;	Mais ceux dont un bon vent enfle toujours les voiles, QUi ne voient jamais de malignes Étoilles, » " qui l'air et les eaux n'ont point de passion;
», Et qui voyent les flots tous couuerts d'Alcyons, , Sont indignes du bien que le Ciel leur procure, , Et ne meritent pas que ce bon-heur leur dure;	", Et qui voient les flots tous couverts d'Alcyons, , Sont indignes du bien que le Ciel leur procure, , Et ne méritent pas que ce bonheur leur dure;
9.	9.
Quãd fachez de treuuer tous les objets ſi beaux Aadvencut enevoitouten quelocaeuccule a , Et jettant dans la mer la bouſſole & la charte, ,Vont de force aux rochers dont l’onde les écarte.	Quand fâchez de trouver tous les objets si beaux Avencut enevoitouten quelocaeuccule à , Et jetant dans la mer la boussole et la charte, VOnt de force aux rochers dont l'onde les écarte.
TIPPOLYIE Mon eſprit juſqu’icy s’eſt touſiours mieux reglé, Et cét erreur encor ne l’a point aueuglé.	TIPOLYIE Mon esprit jusqu'ici s'est toujours mieux règlé, Et cet erreur encor ne l'a point aveuglé.
NOVRRICE.	NOURRICE.
Vous mépriſez la Cour, vous quittez ſes delices, Pour ſuiure dans ces lieux de fâcheux exercises Qui	Vous méprisez la Cour, vous quittez ses délices, Pour suivre dans ces lieux de fâcheux exercises Qui
Qui payent à la fin la courſe de deux iours 33 De la teſte d’vn Cerf ou de la peau d’vn Ours:	Qui paient à la fin la course de deux jours 33 De la tête d'un Cerf ou de la peau d'être Ours:
N’eſt-ce pas là choiſir la plus mauuaiſe voye, N'est-ce pas fuïr le bien que le Ciel vous enuoye?	N'est-ce pas là choisir la plus mauvaise voie, N'est-ce pas fuir le bien que le Ciel vous envoie?
Hé quittez ces trauaux & ſuiuez les plaiſirs, Que voſtre jeune cœur forme d’autres deſirs:	Hé quittez ces travaux et suivez les plaisirs, Que votre jeune cœur forme d'autres désirs:
» Là jeuneſſe ſoudain comme vn torrent s’écoule » Qui du haut d’vn rocher dans la cãpagne roule Seruez vous de voſtre ãge & de vos ieunes ans, Ne meſlez pas l’Hyuer auecque le Printemps, Ne vous faites pas vieux durant voſtre jeuneſſe.	> Là jeunesse soudain comme un torrent s'écoule " Qui du haut d'un rocher dans la cãpagne roule Servez -vous de votre ange et de vos jeunes ans, Ne mêlez pas l'Hiver avec le Printemps, Ne vous faites pas vieux durant votre jeunesse.
Et transformez en ris cette ſombre triſteſſe, Vn Prince comme vous fils d’vn ſi puiſſant Roy Dont le nom aux plus grãds dõne encor de l’effroy Ainſi qu’vn Païſan viure entre ces montagnes, Auoir ſous ces rochers des beſtes pour compagnes, Quittex, quittez bien-toſt vn ſi triſte ſejour, DemeureZ chez la Reyne & viueZ à la Cour, Elle vous plaira bien autant que ces boccages, Les hommes valent bien des animaux ſauuages, », Et le repos qu’on prend ſous de ſuperbes toicts » Vaut biẽ celuy qu’on treuue à l’õbre de ces bois.	Et transformés en ris cette sombre tristesse, V Prince comme vous fils d'un si puissant Roi Dont le nom aux plus grands don encor de l'effroi Ainsi qu'un Paysan vivre entre ces montagnes, Avoir sous ces rochers des bêtes pour compagnes, Quittex, quittez bientôt vn si triste séjour, Demeurez chez la Reine et vivez à la Cour, Elle vous plaira bien autant que ces bocages, Les hommes valent bien des animaux sauvages, ", Et le repos on prend sous de superbes toicts » Vaut biẽ celui on treuue õbre de ces bois.
IPPOLYTE.	IPPOLYTE.
Prend pour toy ce conſeil que tu crois ſalutaire, Ie prefere ce dard au Sceptre de mon pere, I'ayme mieux que sõ throſne vn gazõ de ces lieux, Et ſa couronne d’or n’ébloutt point mes yeux.	Prend pour toi ce conseil que tu crois salutaire, Je préfère ce dard au Sceptre de mon père, J'aime mieux que son trône un gazõ de ces lieux, Et sa couronne d'or n'ébloutt point mes yeux.
,Ces marbres arracheZ du centre de la terre ,, Et que le luxe eſloue où ſe fait le tonnerre, » Sont touſiours dãs l’orage & parmy les éclairs, ,, Et ſentent les premiers la cholere des airs;	,Ces marbres arrachez du centre de la terre ,, Et que le lux éloue où se fait le tonnerre, " Sont toujours dans l'orage et parmi les éclairs, ,, Et sentent les premiers la cholere des airs;
, Ces magnifiques tours ſont en bute aux tẽpeſtes, , Le foudre abat ſouuẽt leurs orgueilleuſes teſtes, , Et tel en eſleuant vn ouurage ſi beau, ,, Croit baſtir vn Palais qu’il bâtit vn tombeau, » Le vice ayme à loger où l’or par tout éclate, » En ces lieux ameubleZ de ſoye & d’écarlate, » Les ſoings volent autour de ces lambris dorez, » Et bourellent des gens qu'on y voit adorez:	, Ces magnifiques tours sont en bute aux tẽpestes, , Le foudre abat souuẽt leurs orgueilleuses testes, , Et tel en esleuant ouurage si beau, ,, Croit bâtir Palais il bâtit tombeau, » Le vice aime loger or par tout éclate, » En ces lieux ameubleZ de soye et écarlate, » Les soings volent autour de ces tours dorez, » En bute aux temps qu'on y voit es,
,Tel ne s’oſe ſier en pas vn de ſes gardes, „ Il craint autãt de morts qu’il voit de halebardes, » A tel ce riche throſne eſt vn peſant cercueil, „, Et tel deſſous ſa pourpre en fin porte le dueil.	,Tel ne s'ose sier en pas un de ses gardes, „ Il craint autant de morts qu'il voit de halebardes, " A tel ce riche trône est un pesant cercueil, „, Et tel dessous sa pourpre en fin porte le deuil.
» On poſſede ences bous vne plus douce vie,	" On possède ences bous une plus douce vie,
Nos eſprits ſont exẽpts & de crainte & d’ẽuie, ,Ny le deſir des biens ny celuy de l’honneur, , Ne viennent point icy troubler noſtre bõ heur, ,, L’innocence nous ſuit:	Nos esprits sont exẽpts et de crainte et d'envie, NI le désir des biensrit celui de l'honneur, , Ne viennent point ici troubler notre bien heur, ,, L'innocence nous suit:
mais il n’eſt point de vice ,,Que n’ẽgẽdre la Cour, que la Cour ne nourriſſe, » Tont regorge du ſang des meurtres qu'on y fait, ,,Elle fournit d’exemple au plus cruel forfait, , Riẽ n’eſt plus doux enfin que les beſtes ſauuages, Et j’ay fort bien choiſi de choiſir ces boccages.	mais il n'est point de vice , ,Que n'engendre la Cour, que la Cour ne nourrisse, " Tont regorge du sang des meurtres qu'on y fait, ,,Elle fournit exemple au plus cruel forfait, , Riẽ est plus doux enfin que les bêtes sauuages, Et ay fort bien choisi de choisir ces boccages.
,, Comme on boit du poiſon dedás des coupes d’or, ,Quand on y boit au ſoir la nuit on tremble encor, Auec là main icy dédans vne fontaine, ( ſaine Nous puiſons de belle eau, claire, nette, & bien Sans craindre ces venins qui font trẽbler les Rois, Quand la nuict noùs endort à l’ombre de ces bois, Elle veille pour nous & nous auons pour garde, Châque ceil dont cette brune en ces lieux nous regarde Les campagnes pour nous ſont de vaſtes maiſons, Et le Ciel eſt teſmoin de ce que nous faiſons.	, Comme on boit du poison deds des coupes d'or, QUand on y boit au soir la nuit on tremble encor, Avec là main ici dédans quelque fontaine, ( saine Nous puisons de belle eau, claire, nette, et bien Sans craindre ces venins qui font trambler les Rois, Quand la nuit noùs endort à l'ombre de ces bois, Elle veille pour nous et nous avons pour garde, Châque ceil dont cette brune en ces lieux nous regarde Les campagnes pour nous sont de vastes maisons, Et le Ciel est témoin de ce que nous faisons.
NOVRRICE.	NOURRICE.
Si ces deſers pour vous ſont de belles demeures,	Si ces désers pour vous sont de belles demeures,
E Si vous paſſez icy tant d’agreables heures, Et ſi vous y treuuez des charmes ſi puiſſans, Qu'vn plaiſir veritable enchanteroit vos ſens, Qu'Amour auroit pour vous de ſenſibles delices, Que vous gouſterez bien ces charmans exercices Que les baiſers mignards d’vne jeune beauté, Pour vos ſens amoureux auroient de volupté, 13 Qu'ils feroient bien treuuer à voſtre ame amou.	E Si vous passez ici tant d'agréables heures, Et si vous y trouvez des charmes si puissants, Qu'un plaisir véritable enchanterait vos sens, Qu'Amour aurait pour vous de sensibles délices, Que vous goûterez bien ces charmands exercices Que les baisers mignards d'une jeune beauté, Pour vos sens amoureux auraient de volupté, 13 Qu'ils feraient bien treuuer à vôtre âme amou au
denſt, e Le iour plus agreable & la nuict plus heureuſe.	dends, e Le jour plus agréable et la nuit plus heureuse.
HIPPOLYTE.	HIPPOLYTE.
Tu ne ſemes pour moy que de foibles appai, Par ces foibles filets on ne m'attrape pas, Et bien loin qu'vne femme à la Cour me conuie, Ie fuirois pour la fuir & le iour & la vie, » L’Enfer n’a point de monſtre à ce mõſtre parell,  Et c’eſt le pire object qu’éclaire le Soleil, , La peſte, les poiſons, les geſnes, & la flame, „Sõt à craindre biẽ moins que l’esprit d’vne fẽme, „ Elles ont dans le ſang noyé mille Citez, 3 Et pires que les flots quand ils-ſont irriteZ Elles ont en vn iour dißipé des Prouinces,	Tu ne semes pour moi que de faibles appai, Par ces faibles filets on ne m'attrape pas, Et bien loin qu'une femme à la Cour me convie, Je fuirais pour la fuir et le jour et la vie, " L'Enfer n'a point de montre à ce mõstre parell, Et c'est le pire object qu'éclaire le Soleil, , La peste, les poisons, les gênes, et la flamme, „Sõt à craindre bien moins que l'esprit d'une fumme, „ Elles ont dans le sang noyé mille Citez, 3 Et pires que les flots quand ils-sont serez Es onten d ils se des m'
Et mis à la cadene & des Roys & des Princes.	Et mis à la cadène et des Rois et des Princes.
» Ces monſtres furieux rauagent l’Eniuers, Il n'eſt crime ſi poir nydeſſein fi peruers t» Que ces ames de fer tous les iours ne meditent, », Et ny loix ny reſpects lleurs forfaits he limitent.	" Ces monstres furieux ravagent l'Enivers, Il n'est crime si poir nydessein fi vers t " Que ces âmes de fer tous les jours ne méditent, ", Et ainsi lois Seigneur respects lleurs forfaits hé limitent.
Ie hay, ie fuy ce ſexe, & le funeſte ſort Qui m’arracha ma mere & luy donna la mort, Me conſole en ce point qu'il n'eſt pas vne femme Qu'aujourd’huy mõ humeur ne deteſte sãs blafme:	Je hais, Madame fui ce sexe, et le funeste sort Qui m'arracha ma mère et été donna la mort, Me console en ce point qu'il n'est pas une femme Qu'aujourd'hui mon humeur ne deteste sont blâme:
Conſeilta deſprman anx rochers dalentour Qu’ils cheriſſent ce ſexe & qu’ils ſuiuent la Cour.	Conseilta desprman anx rochers dalentour Qu'ils chérissent ce sexe et qu'ils suivent la Cour.
NOVRRICEQue ces heureux ſuccez võt bien flatter la Reyne Et que ces heaux diſcours allegeront ſa peine,	NOURICEQue ces heureux succès vont bien flatter la Reine Et que ces heaux discours allégeront sa peine,
1.	1.
AII.	AII.
DTEI TRAGEDIE.	DTEI TRAGÉDIE.
2B63.	2B63.
?	?
25 E III.	25 E III.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
1 PHEDRE:	1 PHÉRE:
NOVRRICE.	NOURRICE.
HESIONE.	HÉSIONE.
PROCRIS, dans le cabinet de la Reine qui ſe met en habit de Chaſſe.	PROCRIS, dans le cabinet de la Reine qui se met en habit de Chasse.
Et le flneſte ennuy qui trouble ſa pensée Dpiapererfiant algiate qaaee.	Et le flneste ennui qui trouble sa pensée Dépiapérerfiant algiate qae.
PHEDRE.	PHÉDRE.
Qu'on oſte de mes yeux tous ces habits Royaux?	Qu'on ôte de mes yeux tous ces habits Royaux?
Serrez ces cheſnes d’or, cachez tous ces joyaux, Que ie ne voye plus ces riches broderies, Ces perles du Leuant, toutes ces pierreries;	Serrez ces chaînes d'or, cachés tous ces joyaux, Que je ne voie plus ces riches broderies, Ces perles du Levant, toutes ces pierreries;
Non, ne me poudrez point deſormais les cheueux, Arrachez ces rubans, faites ce que ie veux, Et qu’au gré du Zephyre ils volẽt ſans cõtrainte:	Non, ne me poudrez point désormais les cheveux, Arrachez ces rubans, faites ce que On veux, Et qu'au gré du Zéphyre ils volt sans cõtrainte:
Mettez moy ce carquois que ſans honte & ſans crainte Ie ſuiue mon Chãſſeur à trauers ces foreſts?	Mettez -moi ce carquois que sans honte et sans crainte Je suive mon Chausseur à travers ces forêts?
Promptement qu’on me donne & cét arc, & ces traicts.	Promptement qu'on me donne et cet arc, et ces traits.
HESIONE à l'eſcart.	HÉSIONE à l'écart.
Iuſtes Dieux quel énnuy trauaille ainſi la Reyne?	Justes Dieux quel énnuy travaille ainsi la Reine?
Qui produit dans ſon cœur vne ſi dure peine:	Qui produit dans son cœur une si dure peine:
Veut-elle en cét habit ſortir de la maiſon?	Veut-elle en cet habit sortir de la maison?
On dira que la Reyne a perdu la raiſon?	On dira que la Reine a perdu la raison?
PHEDRE à l’eſcart.	PHÉDRE à l'écart,
La mere d’Hippolyte eſtoit de cette ſorte.	La mère d'Hippolyte était de cette sorte.
NOVRRICE.	NOURRICE.
Grande Reyne, hé dompteZ l’ardeur qui votls emporte.	Grande Reine, hé domptez l'ardeur qui vots emporte.
PHEDRE.	PHÉDRE.
Non ne t’oppoſe point à mes intentions Ignorante à flatter mes triſtes paßions;	Non ne t'oppose point à mes intentions Ignorante à flatter mes tristes passions;
Et puis que tu ne peux contenter mon enulé Souffre que ie finiſſe ou mon mal ou ma vie, Souffre que j'aille ſuiure vn ingrat qui me fuit, Et que ie ſois aymée ou morte auant la nuit.	Et puis que tu ne peux contenter mon enulé Souffre que ie finisse ou mon mal ou ma vie, Souffre que j'aille suivre un ingrat qui me fuit, Et que ne sois aimée ou morte avant la nuit.
AGTE III.	AGTE III.
SCENE II.	SCÈNE II.
HESIONE, PROCRIS, reſtees ſeules dans le Cabinet de la Reyne.	HÉSIONE, PROCRIS, restées seules dans le Cabinet de la Reine.
HESIONE.	HÉSIONE.
V'a la Reyne Procris?	V'a la Reine Procris?
quel mal incomparable Defigure ſi fort ſon viſage adorable?	quel mal incomparable Défigure si fort son visage adorable?
Cõme la pluye offuſque & noircit l’œil des Cieux Ses larmes ont eſteint les flammes de ſes yeux, Et comme des charbons dans leur ardeur derniere Ils ſont rouges & noirs & n'ont plus de lumieré, Cette viue douleur dont ſon cœur eſt atteint Arroſe inceſſamment les beaux lys de ſon teint;	Comme la pluie offusque et noircit l'œil des Cieux Ses larmes ont éteint les flammes de ses yeux, Et comme des charbons dans leur ardeur dernière Ils sont rouges et noirs et n'ont plus de lumier, Cette vive douleur dont son cœur est atteint Arrose incessamment les beaux lys de son teint;
Et ſa paſleur reſſemble à des neiges ſoüillées Qu’vne legere pluye a doucement moüillées.	Et sa pâleur ressemble à des neiges soüillées Qu'une légère pluie a doucement mouillées.
Que d’helas, de ſanglots, de plaintes & de pleurs, Que d’inſolẽts tranſports luy dõnent ſes douleurs?	Que d'hélas, de sanglots, de plaintes et de pleurs, Que d'insolêts transports lui dõnent ses douleurs?
Elle quitte vn diſcours, & puis elle l’acheue, Tantoſt elle s’aßiet, tantoſt elle ſe leue.	Elle quitte un discours, et puis elle l'achève, Tantôt elle s'assiet, tantôt elle se lève.
Tout plaist, & tout déplaiſt à ſes eſprits confus, Elle veut vne choſe, & puis ne la veut plus, Tede enuic atinfant & typrena, & tuy paſſe:	Tout plaît, et tout déplaît à ses esprits confus, Elle veut un chose, et puis ne la veut plus, Tède envic atinfant et typrena, et tui passe:
Où va-elle Procris en ces habits de Chaſſe?	Où va-elle Procris en ces habits de Chasse?
PROCRIS.	PROCRIS.
Heſione, Procris ne te peut rien celer, C’eſt trop, c’eſt trop enfin te le dißimuler, I'ay découuert le mal qui trauaille la Reyne, Et l’amour dans ſon cœur a fait naiſtre ſa peine:	Hésione, Procris ne te peut rien celer, C'est trop, c'est trop enfin te le dissimuler, J'ai découvert le mal qui travaille la Reine, Et l'amour dans son cœur a fait naître sa peine:
Mais las!	Mais las!
c'eſt vn amour que tu ne croyrois pas De ſon fils Hippolyte elle aymeles appas:	c'est un amour que tu ne crois pas De son fils Hippolyte elle aimeles appas:
Elle-meſme a trahy ce ſecret qui la touche, Et le nom d Hippolyte échappé de ſa bouche Auec des mots d’amour meſlez confuſement M’ont fait ſçauoir en fin cét amoureux tourment.	Elle-même a trahi ce secret qui la touche, Et le nom d' Hippolyte échappé de sa bouche Vec des mots d'amour mêlez confusément M'ont fait savoir en fin cet amoureux tourment.
HESIONE.	HÉSIONE.
Hippolyte, Procris?	Hippolyte, Procris?
elle adore Hippolyte?	elle adore Hippolyte?
Et ſa chaste vertu juſqu’à ce point la quitte?	Et sa chaste vertu jusqu'à ce point la quitte?
O deteſtables feux & pires que l’amour De celle dont jadis elle recût le iour Elle ſuit donc ſa mere, & leur race future N’aymera point non plus ſans forcer la Nature?	Ô détestables feux et pires que l'amour De celle dont jadis elle reçut le jour Elle suit donc sa mère, et leur race future N'aimera point non plus sans forcer la Nature?
Mais nos ſoins en cecy ſeroient tous ſuperflus Retirons nous Procris, allons n’en parlons plus;	Mais nos soins en ceci seraient tous superflus Retirons nous Procris, allons n'en parlons plus;
Et ie te veux donner vn conſeil ſalutaire:	Et ici te veux donner un conseil salutaire:
» C’eſt vn grãd art en Cour que de ſe ſçauoir taire „ Il faut tout ignorer, ou le feindre du moins;	" C'est un grand art en Cour que de se savoir taire „ Il faut tout ignorer, ou le feindre du moins;
Les paßions des Roys n'ayment pas les témoins, Feinde ne ſçauoir point ce que tu viens d’entẽdre.	Les passions des Rois n'aiment pas les témoins, Feinde ne savoir point ce que tu viens d'entendre.
PROCRIS.	PROCRIS.
Ie ſçay l’art Heſione, il ne faut rien m’apprendre, Ie croy que tu n'as eu ces leçons que de moy, I'ay plus d’experience & plus d’âge que toy.	Je sais l'art Hésione, il ne faut rien m'apprendre, Je crois que tu n'as eu ces leçons que de moi, J'ai plus d'expérience et plus d'âge que toi.
ASIE III.	ASIE III.
SCENE III.	SCÈNE III.
NOVRRICE.	NOURRICE.
T HEDRE.	 TÉDRE.
TTIPPOLYTE.	TTIPOLYTE.
PHEDRE.	PHÉDRE.
A laiſſe moy ſortir que ie ſuiue Hippolyte.	À laisse -moi sortir que ie suive Hippolyte.
NOVRRICE.	NOURRICE.
Qne voſtit amont, vrauame, en te point ſe limite, Que voſtre peuple ignore vn deſir ſi nouueau, Ne ſortez point ainſi hors de voſtre chaſteau.	Qne vostit amont, vravame, en te point se limite, Que était peuple ignore un désir si nouveau, Ne sortez point ainsi hors de votre château.
PHEDRE.	PHÉDRE.
Mais Dieux!	Mais Dieux!
il vient icy;	il vient ici;
ie me pâme, ie tombe, Et mon ame affoiblie à ſes tranſports ſuccombe.	Ne me pâme, Seigneur tombe, Et mon âme affaiblie à ses transports succombe.
d .	d .
HIPPOLYTE.	HIPPOLYTE.
Nourrice qu’ala Reyne?	Nourrice qu'ala Reine?
& quels effets puiſſans Suspendent en ce lieu l’vſage de ſes ſens?	et quels effets puissants Suspendent en ce lieu l'usage de ses sens?
Quel mall abatainſi, quelle douleur la preſſes	Quel mall abatainsi, quelle douleur la presses
NOVRRIGE.	NOURIGE.
Vous voyez les effects d’vne extréme foibleſſe:	Vous voyez les effets d'une extrême faiblesse:
Madame répondez, ouurez vn peu les yeux, y queenr TIppoipie eſt pemduns ces nehx, Il vous tient, il vous touche.	Madame répondez, ouurez un peu les yeux, y queenr TIpoipie est pemduns ces nehx, Il vous tient, il vous touche.
PHEDRE.	PHÉDRE.
Ha qui me liure encore Aux funeſtes ſoucis dont l’ennuy me deuore?	Ha qui me livre encore Aux funestes soucis dont l'ennui me dévore?
Qu'à propos mes douleurs & mes ſoins m’abatoient, Qu'à propos mes esprits & mes ſens me quittoiẽt.	Qu'à propos mes douleurs et mes soins m'abattaient, Qu'à propos mes esprits et mes sens me quittaient.
Que tenle coute monneſt-ede madeiſtie.	Que tenle coute monnêt-ede madeistie.
HIPPOLYTE.	HIPPOLYTE.
Pourquoy mépriſeZ vous le bien de la lumiere:	Pourquoi méprisez -vous le bien de la lumière:
PHEDRE à l’eſcart.	PHÉDRE à l'écart,
