A MADEMOISELLE	À MADEMOISELLE
Que ie ſuis ſimple encot, & pourquoy n’ay-je pai, Et ſuiuy Clidamant, & marché ſur ſes pas:	Que ie suis simple encot, et pourquoi n'ai-je pai, Et suivi Clidamant, et marché sur ses pas:
Mais peut eſtte à ce bruit eſt-ce luy qui s’auance.	Mais peut estte à ce bruit est-ce vertu qui s'avance.
Eſcoutons bien.	Écoutons bien.
SCENE IV.	SCÈNE IV.
CLIDAMANT.	CLIDAMANT.
PHILINTE.	PHILINTE.
CLIDAMANT, ſans voir Philinte.	CLIDAMANT, sans voir Philinte.
R.	R.
O nuict!	Ô nuit!
preſte moy ton ſilence, Fais taire tous ces bois en l’abſence du iour, Et ne laiſſe parler icy que mon amour.	prête -moi ton silence, Fais taire tous ces bois en l'absence du jour, Et ne laisse parler ici que mon amour.
numit ie luis défait d’vne troupe importune Qui vouloit faite obſtacle à ma bonne foriune.	numitaires luis défait d'une troupe importune Qui voulait faite obstacle à ma bonne foriune.
De ce Berget jaloux ſans reſpect & ſans foy.	De ce Berget jaloux sans respect et sans foi.
PHILINTE.	PHILINTE.
Iu me fais grand hobneur parlant ainſi de moy, Oüy, malgré tous mes ſoins, & toute mon adreſſe, Tu viens de voir ſans moy ton aymable maiſtreſſe.	Ju me fais grand hobneur parlant ainsi de moi, Oui, malgré tous mes soins, et toute mon adresse, Tu viens de voir sans moi ton aimable maîtresse.
CLIDAMAN I.	CLIDAMAN I.
Moy, ie viens de parler à quelqu’vn en ces lieux?	Moi, Seigneur viens de parler à quelqu'un en ces lieux?
Moy, i’ay veu ma maiſtreſſe?	Moi, j'ai vu ma maîtresse?
PHILINTE.	PHILINTE.
Ol'y, ſi i’ay de bons yeux, Tu parlois à Diane, & vo yant ma pourſuitte nous dcun numemue ceups voubuues pris la fuſtte, Ces bois vous ont cachez.	Ol'y, si j'ai de bons yeux, Tu parlais à Diane, et vo yant ma poursuite nous dcun numemue ceups voubues pris la fûtte, Ces bois vous ont cachez.
OETAEnaina P.	OETAEnaina P.
Que me dit-tu, bous Dieux!	Que me dit-tu, bous Dieux!
PHILINTE.	PHILINTE.
Mais ie ſeray plus fin, & ie vous ſuiuray mieux.	Mais ici serai plus fin, et ainsi vous suivrai mieux.
CLIDAMANT.	CLIDAMANT.
Ie ne puis rien du tout comprendre en ce langage, Mais cette deffiance chun me fait outrage, Pourquoy ſouhaittes-tu d’accompagner mes pas, si l’object qui m’attend ne me le permet pas;	Je ne puis rien du tout comprendre en ce langage, Mais cette défiance chun me fait outrage, Pourquoi souhaites-tu d'accompagner mes pas, si l'object qui m'attend ne me le permet pas;
Veux-tu produite au iour des paſſions ſecrettes, Iſmene, toy preſent m’a donné ces tablettes, C’eſt elle qui m’attend à l’aſſignation, Diane ne ſçait rien de cette inuention:	Veux-tu produite au jour des passions secrètes, Ismene, toi présent m'a donné ces tablettes, C'est elle qui m'attend à l'assignation, Diane ne sait rien de cette invention:
Poſſede ſi tu peux cette Bergere aymable, Et de ces trahiſons ne me croy pas capable, Ie cherche Iſmene, & ſuy les teſmoins & le iour;	Possède si tu peux cette Bergère aimable, Et de ces trahisons ne me crois pas capable, Je cherche Ismene, et suiv les témoins et le jour;
Deſes setne toy;	Des setne toi;
Iaille en pais Monamour;	Jaille en pais Monamour;
Pourquoy veux-tu me rendre vn ſi mauuais office?	Pourquoi veux-tu me rendre un si mauvais office?
PHILINTE.	PHILINTE.
Cette aſſignation marque quelque artifice, I'ay rematqué tantoſt au ſpectacle des jeux de Biult se de or le commert lells Tant d’accuells, de ſouſtis, tant de mots à l’oreille Me forment vn ſoubçon qui touſiours me réueille,	Cette assignation marque quelque artifice, J'ai rematqué tantôt au spectacle des jeux de Biult se de or le commert lells à l'accuels, Tant soustis, tant de mots à l'oreille Me forment un soubon qui toujours me réveille,
CLIDAMANT.	CLIDAMANT.
Ceſſe pour mon repos d’en eſtre inquieté, Ce n’eſtoit vn effet que de ciuilité;	Cesse pour mon repos d'en être inquiété, Ce n'était un effet que de civilité;
Ie te le dis encor, ie te laiſſe Diane, Que ie hay tes ſoubçons, & que ie les condamne.	Je te le dis encor, ie te laisse Diane, Que Elle hai tes soubçons, et que sans les condamne.
PHILINTE.	PHILINTE.
ilmene eu anez nole, ene autont pu le tout, si c’eſt elle en effet, t’expliquer ſon amour, Pourquoy chercher la nuit afin de te le dire?	ilmène eu anez nole, ene autont pu le tout, si c'est elle en effet, t'expliquer son amour, Pourquoi chercher la nuit afin de te le dire?
Pourquoy n’oſer parler?	Pourquoi n'oser parler?
& pourquoy te l’eſcrite?	et pourquoi te l'écrite?
CLIDAMANT.	CLIDAMANT.
En vain, jaloux Berger, tu me l'as demandé, Ce que ie te puis dite, eſt que ie ſuis mandé, Ie ne puis au ſurplus te rien dire de reſte, si c’eſt occaſion fauorable ou funeſte, Et quand ie te pourtois eſclaircir ſut ce point, le te le dis encor tu ne le ſçaurois point.	En vain, jaloux Berger, tu me l'as demandé, Ce que tu te puis dite, est que sans suis mandé, Je ne puis au surplus te rien dire de reste, si c'est occasion favorable ou funeste, Et quand tu te pourtais éclaircir sut ce point, le te le dis encor tu ne le saurais point.
E ij	E ij
PHILINTE.	PHILINTE.
le telamiay par tout	le telamiai par tout
Laiſſe moy.	Laisse -moi.
CLIDAMANT.	CLIDAMANT.
Hà Dieux!	Hà Dieux!
la peine extrême,	la peine extrême,
PHILINTE.	PHILINTE.
Ie te ſuy.	Je te suis.
CLIDAMANT.	CLIDAMANT.
Demeure donc toy meſine, Ie te quitte la place, adieu, perds ton ſoucy.	Demeure donc toi mine, Je te quitte la place, adieu, perds ton souci.
Ie feins de m’eſloigner, pour l’eſloigner auſſi	Je feins de m'éloigner, pour l'éloigner aussi
PHILINTE.	PHILINTE.
Quoy tu me laiſſe ſeul, & ta ruſe me cache Ces ſecrets qu’apres tout il faut bien que ie ſçache?	Quoi tu me laisse seul, et ta ruse me cache Ces secrets qu'après tout il faut bien que ie éclache?
Peins tant que tu voudras, ie ſçauray malgré toy A qui des deux objects tu donneras ta foy, Ie ferois bien teſmoin de ton amour ſecrette, Mais vn autre rendra mon ame ſatisfaite, Thimante m’apprendra toute l'inuention, Ie m'enuais l'aduertir de l’aſſignation, Si Diane y paroiſt, il viendra m'en inſtruireSi c’eſt Iſmene auſſi, ie le fais pour luy nuire:	Peins tant que tu voudras, Seigneur saurai malgré toi À qui des deux objects tu donneras ta foi, Je ferais bien témoin de ton amour secrète, Mais un autre rendra mon âme satisfaite, Thymante m'apprendra toute l'invention, Je m'envais l'avertir de l'assignation, Si Diane y paraît, il viendra m'en instruireSi c'est Ismene aussi, An le fais pour avoir nuire:
Quand Thimante verra ſa maiſtreſſę au jourd’huy Donner des rendez vous à d’auttes comme à luy, Et qu’à l’heure qu’il eſt l’inconſtante s’eugage, s’il ne ceſſe d’aymet il n’a point de courage, Ainſi l'auray plaiſir dans mon reſſentiment D’affoiblir la fierté d’Iſmene, d’vn amant, Allons donc l'auertir.	Quand Thymante verra sa maistressę au jourd'hui Donner des rendez vous à d'autes comme à quelque, Et qu'à l'heure qu'heure qu'inconstante s'eugage, s'il ne cesse d'aimet il n'a point de courage, Ainsi l'aurai plaisir dans mon ressentiment D'affaiblir la fierté d'Ismene, d' Heur, Allons donc l'avertir.
ISMENE.	ISMENE.
N’en ſoyez point en peine, Nous le ſçaurons bien toſt.	N'en soyez point en peine, Nous le saurons bien tôt.
PARTHENIE.	PARTHENIE.
Ie n’entens plus de bruit, Et voy regner par tout le ſilence, & la nuit.	Je n'entends plus de bruit, Et voi régner par tout le silence, et la nuit.
ISMENE.	ISMENE.
Ace coup i’oy quelqu’vn, meſnageons bien la feinte	Ace coup j'oi quelqu'Han, nageons bien la feinte
PARTHENIE.	PARTHENIE.
que de peur & d’amour, ie ſens mon ame atteinte:	que de peur et d'amour, je sens mon âme atteinte:
SCENE VI.	SCÈNE VI.
CLIDAMANT.	CLIDAMANT.
ISMENE.	ISMENE.
PARTHENIE.	PARTHENIE.
CLIDAMANT.	CLIDAMANT.
Erſonne ne me ſuit, ie ſuis en liberté, TEt mon jaloux enfin n’eſt plus Icy poſté:	Ersonne ne me suit, ie suis en liberté, TEt mon jaloux enfin n'est plus Ici posté:
ISMENE.	ISMENE.
Madame, c’eſt luy meſme.	Madame, c'est au mesme.
CLIDAMANT.	CLIDAMANT.
Auançons pour m'inſtruire De ce qu’en ces jardins Iſmene iut mat dire;	Avançons pour m'instruire De ce qu'en ces jardins Ismene jut mat dire;
Iſmene.	Ismene.
ISMENE, bas.	ISMENE, bas.
Clidamant.	Clidamant.
CLIDAMANT.	CLIDAMANT.
Eſt-ce toy?	Est-ce toi?
1SMEME.	1SMEME.
Ie t’attens.	Je t'attends.
CLIPAMANT.	CLIPAMANT.
Tu pourras m’accuſer d’auoir tardé long-temps, Mais vn jaloux.	Tu pourras m'accuser d'avoir tardé longtemps, Mais un jaloux.
ISMENE.	ISMENE.
On t'ayme, & n’en ſois point en doute, Approche, parlons bas, i’ay peur qu'on nous écoute, Mettez vous en ma place, & prenez ce moment.	On t'aime, et n'en sois point en doute, Approche, parlons bas, j'ai peur qu'on nous écoute, Mettez -vous en ma place, et prenez ce moment.
SCEND VII.	SCEND VII.
THIMANTE.	THIMANTE.
CLIDAMANT.	CLIDAMANT.
PARTHENIE ISMENE.	PARTHENIE ISMENE.
THIMANTE, parlant à Pbiliute derriere Ie Theatre.	THIMANTE, parlant à Pbilivte derrière Je Théâtre.
E te ſuis obligé de l'aduertiſſement, Tsi ie trouue à l'écho Diane, où bien Iſmene, Mon ſidele rapport te tirera de peine.	E te suis obligé de l'avertissement, Tsi ie trouue à l'écho Diane, où bien Ismene, Mon sièle rapport te tirera de peine.
, Ie le prumots, Philinte, & ie le veux tenir, Iſmene fort ſouuent me fait icy venir, Où ſa bouche en ſecret malgré ſon inconſtance, D'vne conſtante amour me donne l’eſperance, Et perſonne en ces lieux pour gage de ſa foy.	, Je le prots, Philète, et notre le veux tenir, Ismene fort souvent me fait ici venir, Où sa bouche en secret malgré son inconstance, D'une constante amour me donne l'espérance, Et personne en ces lieux pour gage de sa foi.
A ces heures iamais ne l’entretient que moy:	À ces heures jamais ne l'entretient que moi:
Ie luy vais maintenant reprocher de s’y rendre, sans qu’vn mot de ſa part ſoit venu me l’apprendre;	Je te vais maintenant reprocher de s'y rendre, sans qu'un mot de sa part soit venu me l'apprendre;
Approchons doucement, & ſans faire de bruit, Et gardons de luy faite vn ſcandale la nuit, Iſmene	Approchons doucement, et sans faire de bruit, Et gardons de moi faite un scandale la nuit, Ismene
CLIDAMANT, quittant Parthenie.	CLIDAMANT, quittant Parthénie.
Ie reuiens.	Je reviens.
Quelque bruit a frappé mon oreille;	Quelque bruit a frappé mon oreille;
PAR THENIE.	PAR THÉNIE.
Quelle peur à lla mienne eſt pareille, Iſmene, apptoche toy.	Quelle peur à lla mienne est pareille, Ismene, apptoche toi.
CLIDAMANT, parlant à Thimaute qu’il prend pour Philinte.	CLIDAMANT, parlant à Thymaute qu'il prend pour Philinte.
Philinte, en verité, Ie ne puis plus ſouffrir voſtre importunité, Pourquoy s’imaginer que ie fais xoſtre peine?	Philinte, en vérité, Je ne puis plus souffrir votre importunité, Pourquoi s'imaginer que ici fais xotre peine?
Ie ne parle en ces lieux qu’à la lletgere Iſmene;	Je ne parle en ces lieux qu'à la lletgère Ismene;
Ie vous le dis encor, ie viens mai dé, cettain Que le mot eſt éſcrit, & ſigat de !	Je vous le dis encor, ie viens mai dé, cettain Que le mot est èscrit, et sigat de !
main:	main:
Oüy, d'amour pour moy ſeul cetes belle ſoûpire, Sa bouche vient encor icy de me le dire, Ie reſponds à ſes ſeux, & vous pins:	Oui, d'amour pour moi seul cetes belle soupire, Sa bouche vient encor ici de me le dire, Je réponds à ses seux, et vous pins:
aſeuter Que Diane iamais ne m’a fait ſoûpirer.	ajeuter Que Diane jamais ne m'a fait soupirer.
Hà!	Hà!
perfide.	perfide.
THIMANTE, bas;	THIMANTE, bas;
CLIDAMANE, Voyez le mal que vous mesfaites, Pour vous en eſclaitcir voulez vous ces tailettes;	CLIDAMANE, Voyez le mal que vous mesfaites, Pour vous en esclaitcir voulez -vous ces tailettes;
Tenez, voyez ſon nom, examinez-le biecs Et preuez du repos, ſans plus troubler le m’an.	Tenez, voyez son nom, examinez-le biècs Et prévez du repos, sans plus troubler le m'an.
A me perſecuter, mettez vous voſtre gloire?	À me persécuter, mettez -vous votre gloire?
THIMANTE, 6at.	THIMANTE, 6at.
Honte de mes amours, va ſots de ma memoire, I’ay dequoy te conuaincre, & quand ie l’auray fait le te quitte eiphie tourbe, & ſetay ſatisfait.	Honte de mes amours, va sots de ma mémoire, J'ai dequoy te convaincre, et quand grande l'aurai fait le te quitte éjphie tourbe, et setay satisfait.
CLIDAMANT.	CLIDAMANT.
Philinte, qu’eſt-ce encor que voſtre cœur murmure, Il faut rompre auec vous ſi cette humeur vous dure, Vous n’autez plus d’amis en agiſſant ainſi, Et voſte aplit jaloux.	Philinte, qu'est-ce encor que votre cœur murmure, Il faut rompre après vous si cette humeur vous dure, Vous n'autez plus d'amis en agissant ainsi, Et voste applit jaloux.
, mait il n’eſt plus icy, Ie vais reuoir l’obiect qui me chatme & qui m’ayme.	, mait -il n'est plus ici, Je vais revoir l'object qui me chatme et qui m'aime.
PARTHENTE ,UIſmene.	PARTHENTE ,UIsmène.
Voila noſtre diſcours, acheue-le toy-meſme.	Voilà votre discours, achève-le toi-même.
Ouibn Mniess.	Ouibn Iess.
Enfin ie ſuis deffait des yeux de mon jaloux, I’ay fait ſortir Philinte.	Enfin ici suis défait des yeux de mon jaloux, J'ai fait sortir Philinte.
ISMENE.	ISMENE.
taquiod tequon hous;	taquiod tequon hous;
Ie te le dis encor, ie ſuis bien auertie que ton ambition aſpire à Parthenie, At qu’ainſi tu me tiens d’inutiles propos.	Je te le dis encor, ie suis bien avertie que ton ambition aspire à Parthénie, At qu'ainsi tu me tiens d'inutiles propos.
CLIDAMANT.	CLIDAMANT.
Et bien ie veux encor te le dire en deux mots, Du nauelung de vne neueruy doy a connoiſſance Pour oſer éleuer ſi haut mon eſperance:	Et bien ie veux encor te le dire en deux mots, Du navelung de une neuerui dois a connaissance Pour oser élever si haut mon espérance:
Hà!	Hà!
ſi i'oſois l’aymer.	si j'osais l'aimer.
, mais moins ambitieux, I'eſcoute mon deuoir, & ie me connois mieux, Adieu iuſqu’à demain.	, mais moins ambitieux, J'écoute mon devoir, et tu me connais mieux, Adieu jusqu'à demain.
PARTHENIE, à Iſmene.	PARTHENIE, à Ismene.
Que i'ay l’ame contente, Iſmene;	Que j'ai l'âme contente, Ismene;
& qu’en amour ie te trouue ſçauante, l'admire ton eſprit, & ton inuention, Et la choſe reſpond à mon intention,	et qu'en amour rien te trouve savante, l'admire ton esprit, et ton invention, Et la chose répond à mon intention,
ISMENE.	ISMENE.
Voyez par ce diſcours qu’il nous a fait enrendre L’amout ſous ce reſpect, comme vn feu ſous ſa cendre Ot n’eſt pas d’aujourd’huy, que vos charmes l’ont pris.	Voyez par ce discours qu'il nous a fait enrendre L'amout sous ce respect, comme un feu sous sa cendre Ot n'est pas d'aujourd'hui, que vos charmes l'ont pris.
Cependant.	Cependant.
PARTHENIE.	PARTHENIE.
ISMENE.	ISMENE.
Cependant viue les beaux eſprits, Sans moy vous eſtiez mal.	Cependant vive les beaux esprits, Sans moi vous étiez mal.
& reduite au martyre, De moutir de douleur, & d’amour ſaus le dite,	et réduite au martyre, De moutir de douleur, et d'amour sus le dite,
PARTHENIE.	PARTHENIE.
Il eſt tard, allons voir en l'abſence du jour si le ſommeil viendra ſur les pas de l’amour.	Il est tard, allons voir en l'absence du jour si le sommeil viendra sur les pas de l'amour.
ACTE IV.	ACTE IV.
SCENE I.	SCÈNE I.
THIMANTE.	THIMANTE.
ISMENE.	ISMENE.
THIMANTE.	THIMANTE.
Voy?	Vois?
perfide, de nuit, pour aigrir mon courroux, A quelque autre qu'à moy donner des  rendez vous:	perfide, de nuit, pour aigrir mon courroux, A quelque autre qu'à moi donner des rendez vous:
Oüy, de nuit au iardin, ſans lumiere, & ſans ſuitte, Du Berget Clidamant receuoir la viſite.	Oui, de nuit au jardin, sans lumière, et sans suitte, Du Berget Clidamant recevoir la visite.
ISMENE.	ISMENE.
Quoy?	Quoi?
Thimante en coutroux, ô Dieux qui l’eut pente.	Thymante en coutroux, ô Dieux qui l'eut pente.
THIMANTE.	THIMANTE.
Ie me plains ſans raiſon, & i’ay l’eſprit bleſſé, I’ay de ſort mauuais yeux, ie n’ay rien veu paroiſtre, Et iamais ce Berger ne m’a peu reconnoiſtre:	Je me plains sans raison, et j'ai l'esprit blessé, J'ai de sort mauvais yeux, une n'ai rien vu paraître, Et jamais ce Berger ne m'a pu reconnaître:
C’eſt trop long temps, volage, arteſter tes eſprits, Regarde ce teſmoin luy ſeul m’a tout appris, Ie douterois encor que tu fuſſes coupable, Si ce teſmoin ſi ſort n’eſtoit irreprochable;	C'est trop long temps, volage, artester tes esprits, Regarde ce témoin quelque seul m'a tout appris, Je douterais encor que tu fusses coupable, Si ce témoin si sort n'était irréprochable;
Mais puis qu’en ce moment ie dégage ma ſoy, Ie te rends tes papiers, & ne veux rien de toy.	Mais puis qu'en ce moment ainsi dégage ma soi, Je te rends tes papiers, et ne veux rien de toi.
ISMENE.	ISMENE.
Et bien ſi ie n'auois ſçeu pouruoir de bonne heute, Quand l’vn me quitte, au moins que l’autre me demeure, Dans ce moment fatal qui fait ton changement, l'aurois le deſplaiſir de n’auoit plus d’amant;	Et bien si ici n'avais su pourvoir de bonne hute, Quand l'un me quitte, au moins que l'autre me demeure, Dans ce moment fatal qui fait ton changement, l'aurais le déplaisir de n'avait plus d'amant;
Mais graces aux Dieux, plus d’vn m’appelle ſa maiſtreſſe, Et ie n’en auray pas moins de cour, moins de preſſe, Ces tablettes font foy de ceux que i’ay ſoûmis, Quitte pour te rayer du toolle où ie t’ay mis.	Mais grâces aux Dieux, plus d'autre m'appelle sa maîtresse, Et je n'en aurai pas moins de cour, moins de presse, Ces tablettes font foi de ceux que j'a soûmis, Quitte pour te rayer du tolle où ils t'ai mis.
Volage.	Volage.
THIMANTE.	THIMANTE.
ISMENE.	ISMENE.
Toutesfois mon ame en eſt atteinte, Thimante, ta douleur eſt l'effet d’vne ſeinte, Ie t'en vais eſclaircir, donne toy ſeulement Le temps d’attendre icy le Berger Clldamant, I'ay l'ordre deuant luy de deſcouurir la ruſe, Et le ſçay qu’auſſi-toſt tu me feras excuſe;	Toutefois mon âme en est atteinte, Thymante, ta douleur est l'effet d'une seinte, Je t'en vais éclaircir, donne toi seulement Le temps d'attendre ici le Berger Cllamant, J'ai l'ordre devant lui de découvrir la ruse, Et le sais qu'aussitôt tu me feras excuse;
Mais le voicy venir.	Mais le voici venir.
SCENE II.	SCÈNE II.
CLIDAMANT, ISMENE.	CLIDAMANT, ISMENE.
THIMANTE	THIMANTE
CLIDAMANT.	CLIDAMANT.
N’ay je point trop tardé, ne me louoçonne pomt, Ammante, on ma mandé, Et bien que me veux-tu?	N'ai je point trop tardé, ne me louoçonne pompt, Ammante, on ma mandé, Et bien que me veux-tu?
ISMENE.	ISMENE.
Ton mal-heur eſt extrême.	Ton malheur est extrême.
l mimaiſse ne lxaurois louueis qu tas dutte m'ayme, Et pretend aujourd’huy dans le ſort des combats Meſurer auec toy ſon eſpée & ſon bras.	 limaisse ne lxaurois louvis qu' as dutte m'aime, Et prétend aujourd'hui dans le sort des combats Mesurer avec toi son épée et son bras.
LEIDEAANT.	LEIDEANT.
Choiſis qui de nous deux tu crois le plus fidelle, Et par ce choix enun accorde la quetelſe.	Choisis qui de nous deux tu crois le plus fidèle, Et par ce choix enun accorde la quetelse.
ISMENE, à Thimante.	ISMENE, à Thymante.
En eſtes vous d’accord.	En êtes -vous d'accord.
THIMANTE.	THIMANTE.
Oüy, mon cœur s’y reſout.	Oui, mon cœur s'y résout.
ASMENE, a Chdamant.	ASMENE, à Chdamant.
Pour luy ie l'ayme vn peu, mais pour toy, point du tout, Ma bouche eſt de mon cœur le fidelle interprete.	Pour ycy l'aime un peu, mais pour toi, point du tout, Ma bouche est de mon cœur le fidèle interprète.
CLIDAMANT.	CLIDAMANT.
O du lere inconſtant!	Ô du re inconstant!
fille la plus cocquette, Tu n’aymes qu’vn moment, i’ayme vn moment auſſi,	fille la plus cocette, Tu n'aimes qu'un moment, j'aime un moment aussi,
ISMENE.	ISMENE.
D'vn ſecrẽt toutesfois tu dois eſtre eſclaircy.	D'un secrẽt toutefois tu dois être éclairci.
CLIDAMANT.	CLIDAMANT.
Tiricelet cu toncœus nuis uoute ele bien en veuë.	Tiricelet cv toncœus nuis oute éle bien en vue.
ISMENE.	ISMENE.
nuecoil oteu met uu tor mruuvn vatretenuë A d’écho du jardin.	nuecl oteu met u tor mruuvn vatretenue A d'écho du jardin.
CDIDAMARI.	CDIDAMARI.
ISMENE.	ISMENE.
Si tu te trompois, Et qu’vne autre en ma place eut contreſait ma voix.	Si tu te trompais, Et qu'une autre en ma place eut contresait ma voix.
CLIBAMARI.	CLIBAMARI.
Que me viens tu contet?	Que me viens tu contet?
ISMENE.	ISMENE.
Cela pourroit bien eſtre.	Cela pourrait bien être.
CLIDAMANT.	CLIDAMANT.
deuy eompeuue pluotuunvouole paisconnoiſtre, Tu ne fais que tromper, en tout temps, en tous lieux, Tu tournes en tout ſens, & ton cœur, & tes yeux, Quoy?	deuy ève pluvotuunévouole paisconnoistre, Tu ne fais que tromper, en tout temps, en tous lieux, Tu tournes en tout sens, et ton cœur, et tes yeux, Quoi?
quelqu’autre en ta place?	quelqu'autre en ta place?
ISMENE.	ISMENE.
Et ſi par cette adreſſe Ie t'auois ſçeu gagner le cœur d’vne maiſtreſſe;	Et si par cette adresse Je t'avais su gagner le cœur d'une maîtresse;
Mais belle, mais illuſtre, & d’vn ſi noble ſang, Quames ja Iymphe camn ene a le premier rang.	Mais belle, mais illustre, et d'un si noble sang, Quames ja Iymphe camn ée à le premier rang.
CLIDAMANT.	CLIDAMANT.
Et bien ments à loiſir, parle, tu peux tout dire, Ie ne ſuis deſormais en humeur que de rire,	Et bien mens à loisir, parle, tu peux tout dire, Je ne suis désormais en humeur que de rire,
ISMENE.	ISMENE.
Si ie ne te dis vray, ſi quelqu’autre que moy Ne receut hier au ſoir tes ſermens, & tafoy;	Si ici ne te dis vrai, si quelqu'autre que moi Ne reçut hier au soir té moi, et tafoi;
Pour Pour le plus grand ſerment où mon honueur m'enSer ivuvttmdottoiadevay volage.	Pour Pour le plus grand serment où mon honveur m'enSer ivuvttmdottoiadevay volage.
CLIDAMANT.	CLIDAMANT.
Aples in tel ſetment, if faut bien teſcouter.	Aples in tel setment, j' est bien tescouter.
ISMENE.	ISMENE.
Non, ce n’eſt point à moy que tu viens en contor, Paçeueme cpippauecre mon uola, e ma figute, Et tes yeux ont ſouffert cette douce impoſture.	Non, ce n'est point à moi que tu viens en contor, Paçeueme cpipavecre mon olà, ma figute, Et tes yeux ont souffert cette douce imposture.
CLIDAMANT.	CLIDAMANT.
Ne t’ay-je pas connuë au ſeul ton de ta voix	Ne t'ai-je pas connue au seul ton de ta voix
ISMENE.	ISMENE.
Quand on t’a parlé haut, c’eſtoit moy qui patloie Puis ſoudain Parthenié en ma place auancée Te deſcouuroit tout bas ſen ame, & ſa penſée:	Quand on t'a parlé haut, c'était moi qui patloie Puis soudain Parthenié en ma place avancée Té couvrait tout bas sen âme, et sa pensée:
Apres vn tel object que i’ay ſçeu t’aſſeruir, Iuge ſi ie l'entens, & ſi ie ſçay ſeruit.	Après un tel object que j'ai su t'asservir, Juge si ici l'entends, et si ici sais servit.
CLIDAMANT.	CLIDAMANT.
Quoy?	Quoi?
celle où ſon haut rang me deſfendoit d’atteindre celle dont ie n’oſoit, ny parler, ny me plaindre, Celle à qui mon reſpect cachoit mon amitié, Auroit eſté pour moy ſenſible à la pitié:	celle où son haut rang me défendait d'atteindre celle dont je n'osait, ni parler, sans me plaindre, Celle à qui mon respect cachait mon amitié, Aurait été pour moi sensible à la pitié:
Hà!	Hà!
cela ne ſe peut, y penſer eſt vn crime.	cela ne se peut, y penser est un crime.
ISMENE.	ISMENE.
Tu verras ſi ie ments, & comme elle t’eſtime, Ie l’attens en ces lieux.	Tu verras si belle mens, et comme elle t'estime, Je l'attends en ces lieux.
CLIDAMANT.	CLIDAMANT.
I'obtiendrois mon deſit, Que le baiſe tes mains, & meure de plaiſir.	J'obtiendrais mon désit, Que le baise tes mains, et meure de plaisir.
SCENE III.	SCÈNE III.
PARTHENIE.	PARTHENIE.
ISMENE.	ISMENE.
CLIDAMANT.	CLIDAMANT.
THIMANTE.	THIMANTE.
PARTHENIE, voyant Clidamant baiſer les mains d’Iſmene.	PARTHENIE, voyant Clidamant baiser les mains d'Ismene.
Ve vois-je?	Ve vois-je?
Iſmene icy joüit de ma fertune, ( Ie me tetiteray ſi ie vous importune, Continuez touſiours, rare eſt cette faueur, Et qui donne les mains, peut bien donner le cœur.	Ismene ici joüit de ma fertune, ( Je me tetiterai si ici vous importune, Continuez toujours, rare est cette faveur, Et qui donne les mains, peut bien donner le cœur.
ISMENE.	ISMENE.
Hà!	Hà!
certes en amour vous eſtes bien nouice, Ie viens de l'inſormer de tout noſtre artificeEt la joye où d’abord mon diſcours la porté, A demandé de moy cette ciuilité;	certes en amour vous êtes bien nouice, Je viens de l'insormer de tout notre artificeEt la joie où d'abord mon discours la porté, À demandé de moi cette civilité;
A quels ſoubçons jaloux cet object vous emporte, Il m'a penſé baiſer, & vous en ſeriez morte:	À quels soubçons jaloux cet object vous emporte, Il m'a pensé baiser, et vous en seriez morte:
Ne vous troublez donc plus ainſi mal à propos.	Ne vous troublez donc plus ainsi mal à propos.
IehENIE.	JehENIE.
Iſmene, tu me rends la vie, & le repos.	Ismene, tu me rends la vie, et le repos.
On t’ayme, Clidamant, & ce jaloux martyfe Me deuroit épargner la honte de le dite.	On t'aime, Clidamant, et ce jaloux martie Me devrait épargner la honte de le dite.
CLIDAMANT.	CLIDAMANT.
Belle Nymphe, croyez.	Belle Nymphe, croyez.
PARTHENIE.	PARTHENIE.
Enttons dedans ce boit,	Entons dedans ce boit,
CLIDAMANT.	CLIDAMANT.
LA je veux que l’écho vous redouble ma voix.	LA je veux que l'écho vous redouble ma voix.
Et vous diſant que i'ayme, & d'vne amour parfaite, Qu’il reſponde que i’ayme, & qu’il vous le repete.	Et vous disant que j'aime, et d'une amour parfaite, Qu'il réponde que j'aime, et qu'il vous le répète.
PARTHENICE.	PARTHENICE.
Iſmene, ſois teſmoin de nos chaſtes amours, Et viens auecques nous entendre nos diſcours;	Ismene, sois témoin de nos chastes amours, Et viens avec nous entendre nos discours;
Thimante, ſois diſcret, & garde de rien dire.	Thymante, sois discret, et garde de rien dire.
THIMANTE.	THIMANTE.
Que le mal d’vn jaloux eſt vn cruel martyre, Que Philinte ſe trompe, & croit ſans fondement, Que Diane eſt l'object des feux de Clidamant;	Que le mal d'un jaloux est un cruel martyre, Que Philinte se trompe, et croit sans fondement, Que Diane est l'object des feux de Clidamant;
Midisic la voy parontte, cle eutscsſent ſoufere;	Midic la vois parontte, clé eutscssent souffère;
Laiſſons les en repos.	Laissons -les en repos.
SCEAH EVO DIANE.	SCE EVO DIANE.
THERSANDRE.	THÉRSANDRE.
DIANE.	DIANE.
Voyons ce qu'il faut faire, Car enfin elle t’ayme, & t’ayme infiniment, Et ie t’en parle encor par ſon commandement.	Voyons ce qu'il faut faire, Car enfin elle t'aime, et t'aime infiniment, Et ton t'en parle encor par son commandement.
THERSANDRE.	THÉRSANDRE.
Donne moy le conſeil que tu veux que ie prenne.	Donne -moi le conseil que tu veux que je prenne.
