Avmndremire o	Avmndremire ô
ais pourquoy, la raiſon.	ais pourquoi, la raison.
	
GUSMAN.	GUSMAN.
20 2  Eh Monſieur la raiſon!	20 2 Eh Monsieur la raison!
vous donnerois bien des raiſons de ſaiſon, je pouvois douter qu’il faudra que je creve, ie dis un ſeul mot9	vous donnerais bien des raisons de saison, je pouvais douter qu'il faudra que je crève, On dis un seul mot9
DOM CARLOS.	DOM CARLOS.
Vas ne crains rien, acheve.	Vas ne crains rien, achève.
GUSMANn’acheveray point, cela m’eſt deffendu, Et je ne diray rien deuner le eſtre pendu.	GUSMANn'achèverai point, cela m'est défendu, Et je ne dirai rien deuner le Seigneur pendu.
DOM FERNAND.	DOM FERNAND.
Voſtre valet eſt fou :	Votre valet est fou :
GUSMAN.	GUSMAN.
Pas ſi fou que l’on pen	Pas si fou que l'on pen
DOM FERNAND.	DOM FERNAND.
Vous devez demeurer dans la perſeverance.	Vous devez demeurer dans la persévérance.
Raſſûrez voſtre eſprit avec un peu d’eſpoir.	Rassûrez votre esprit avec un peu d'espoir.
J’entre chez Leonor un moment pour la voir.	J'entre chez Leonor un moment pour la voir.
Adieu.	Adieu.
BEATRIX.	BEATRIX.
à part.	à part.
Je puis ſortir.	Je puis sortir.
GUSMAN.	GUSMAN.
On vous va tout promet La ſuivante qui vient, ſans doute, a quelque lettre.	On vous va tout promet La suivante qui vient, sans doute, à quelque lettre.
SCENE CINQUIEME.	SCÈNE CINQUIÈME.
DOM CARLOS, BEATRIX, GUSMAN,	DOM CARLOS, BEATRIX, GUSMAN,
MID LETTRE.	MID LETTRE.
Je voudrois vous parler ce ſoir.	Je voudrais vous parler ce soir.
Venez á la méme feneſtre, Et ſi vous me voulez connoitre, C’eſt lá que vous me pourrez voir.	Venez me la même fenêtre, Et si vous me voulez connaître, C'est lá que vous me pourrez voir.
DOM CARLOS.	DOM CARLOS.
que ne te dois ie point apres cette eſperance!	que ne te dois ie point après cette espérance!
Ce que tu fais pour moy merite recompenſe, Reçoy ce diamant.	Ce que tu fais pour moi mérite récompense, Reçois ce diamant.
BEATRIX.	BEATRIX.
Puisque vous le voulez.	Puisque vous le voulez.
Monſieur ie le reçoy,	Monsieur ie le reçois,
DOM CARLOS.	DOM CARLOS.
e vay faire reſponſe.	Je vais faire réponse.
Je reviens, attens moy:	Je reviens, attends moi:
CCLNNE DIALIENIE GUSMAN.	CCLNE DIALIENIE GUSMAN.
BEATRIX.	BEATRIX.
la fin, c’en eſt fait.	la fin, c'en est fait.
auamae Il ſçaura le miſtere:	avamae Il saura le mystère:
BEATRIX.	BEATRIX.
Tu n’as donc pû te taire:	Tu n'as donc pu te taire:
u’as tu dit à ton maitre?	Ju'as tu dit à ton maître?
il ne faut rien celer.	il ne faut rien celer.
l’eſt en vain, qu’avec moy tu veux diſſimuler.	l'est en vain, qu'avec moi tu veux dissimuler.
GUSMAN.	GUSMAN.
uimoy!	uimoy!
je n’ay rien dit.	je n'ai rien dit.
BEATRIX.	BEATRIX.
Tu me dements done traitre.	Tu me déments done traître.
la ſcience apreſent il eſt temps de paroitre:	la science après il est temps de paraître:
iuſman vient de parler contre la verité:	iusman vient de parler contre la vérité:
ſaut qu’il meure enfin, le ſort en eſt ietté,	saut qu'il meure enfin, le sort en est jeté,
GUSMANlelas!	GUSMANlelas!
pardonne moy, ie te demande excuſe?	pardonne -moi, ie te demande excuse?
u ſçais que fort ſouvent le plus iuſte s’abuſe:	 sçais que fort souvent le plus juste s'abuse:
eſt vray, i’ay parlé, mais ie ne penſois pas, ue ce peu que i’ay dit pût cauſer mon trépas.	est vrai, j'ai parlé, mais ainsi ne pensais pas, ue ce peu que j'ai dit pût causer mon trépas.
Je me ſuis expliqué de confuſe maniere:	Je me suis expliqué de confuse manière:
Je ne t’ay point nommèe autrement que ſorciere:	Je ne t'ai point nommée autrement que sorcière:
Bref on ne m’a point crû:	Bref on ne m'a point cru:
tu le ſçais comme moy:	tu le sais comme moi:
Et puiſque tu le ſçais, i’eſpere encor en toy.	Et puisque tu le sais, j'espère encor en toi.
BEATRIX C’eſt aſſez, leve toy!	BEATRIX C'est assez, lève toi!
mais ſi iamais ta langue Laſche ſur ce ſuiet quelque iotte laralgue, Tu mourras auſſi toſt:	mais si jamais ta langue Lâche sur ce sujet quelque jotte laralgue, Tu mourras aussi tôt:
prens garde à toy.	prends garde à toi.
GUSMAN.	GUSMAN.
Fort bien	Fort bien
Ton maiſtre vient.	Ton maître vient.
BEATRIX.	BEATRIX.
duſanno Ma foy je ne luy diray rien.	dusanno Ma foi je ne lui dirai rien.
SCENE SEPTIEME DOM CARLOS.	SCÈNE SEPTIÈME DOM CARLOS.
BEATRIX.	BEATRIX.
GUSMAN.	GUSMAN.
DOM CARLOS.	DOM CARLOS.
Tureiſdrasce omet à ta benc Mancrene.	Tureisdrasce omet à ta benc Mancrène.
Peins luy bien mon amour, marque luy ma tendreſſe, Dis ſuy que je l’adore, & qu’au ſortir du bal, Je ne manqueray pas de me rendre au ſignal.	Peins était bien mon amour, marque Seigneur ma tendresse, Dis suis que je l'adore, et qu'au sortir du bal, Je ne manquerai pas de me rendre au signal.
BEATRIX.	BEATRIX.
Elle vous attendra, Monſieur avecque ioye.	Elle vous attendra, Monsieur avec joie.
DOM CARLOS.	DOM CARLOS.
Mais ne verray ie point celle qu'elle m’envoye.	Mais ne verra ie point celle qu'elle m'envoie.
Pourquoy te caches tu?	Pourquoi te caches -tu?
que ie te voye un peu.	que ici te voie un peu.
BEATRIX.	BEATRIX.
Ah ſi je me montrois, vous ſeriez tout en feu:	Ah si je me montrais, vous seriez tout en feu:
Je vous eſtime trop pour vous mettre en pouſſiere, Et le veux, par amour vous laiſſer la lumiere.	Je vous estime trop pour vous mettre en poussière, Et le veux, par amour vous laisser la lumière.
DOM CARLOS.	DOM CARLOS.
Oſtes ton maſque.	Ostes ton masque.
BEATRIX.	BEATRIX.
Non, Monſieur, c’eſt temps perdu Et vous aurez tantoſt ce moment attendu, Vous verrez ma maiſtreſſe, adieu ie me retire.	Non, Monsieur, c'est temps perdu Et vous aurez tantôt ce moment attendu, Vous verrez ma maîtresse, adieu ie me retire.
Bon ſoir Monſieur Guſman ſource de moh martire.	Bon soir Monsieur Gusman source de moh martyre.
DCENL IACIIIENIE DOM CARLOS.	DCENL IACIIENIE DOM CARLOS.
GUSMAN.	GUSMAN.
DOM CARLOS.	DOM CARLOS.
Te voila bien chagrin, Guſman, eſt ce d’amour?	Te voilà bien chagrin, Gusman, est -ce d'amour?
dola d aloco e te donne apreſent liberté de le faire, alle, GUSMAN.	dola d aloco e te donne après liberté de le faire, allé, GUSMAN.
Je n’oſerois:	Je n'oserais:
2	2
GUSMAN.	GUSMAN.
Vous ſçavez que chacun dans ce monde a ſontour:	Vous savez que chacun dans ce monde a sont:
’enrage de parler, & ſi ie me dois taire.	’enrage de parler, & si ie me dois taire.
DOM CARLOS.	DOM CARLOS.
Pourquoy n’oſerois tu?	Pourquoi n'oserais tu?
GUSMAN.	GUSMAN.
l'y va de la vie, ou d’eſtre bien battu, Ou courrir à l’honneur d’auoir voſtre diſgrace, et ie ne penſe pas, Monſieur, que ie le faſſe.	l'y va de la vie, ou d'être bien battu, Ou courrir à l'honneur d'avoir votre disgrâce, et un ne pense pas, Monsieur, que je le fasse.
DOM CARLOS.	DOM CARLOS.
Vas banny ton chagrin, puisque ie ſuis heureux.	Vas banni ton chagrin, puisque sans suis heureux.
e ſuis aimé-.	Je suis aimé-.
GUSMAN.	GUSMAN.
Ma foy i’eſtois bien amoureux:	Ma foi j'étais bien amoureux:
Mais ie ſuis bien changé:	Mais ici suis bien changé:
je n’en ay plus dans l’aile, Et ſi c’eſtoit l’amour qui broüilla ma cervelle, je me conſolerois avec un grand ſoúpir:	je n'en ai plus dans l'aile, Et si c'était l'amour qui brouilla ma cervelle, je me consolerais avec un grand soùpir:
Mais ce n’eſt point cela, qui m’oſte le plaiſir:	Mais ce n'est point cela, qui m'ôte le plaisir:
le crains à tout moment* emii le ſoupire.	le crains à tout moment emi le soupire.
en ſçay trop le ſuiet, & ie noſe le dire,	en sais trop le sujet, et Seigneur nose le dire,
DOM CARLOS.	DOM CARLOS.
Tu ne me voudrois pas faire ton confident?	Tu ne me voudrais pas faire ton confident?
GUSMAN.	GUSMAN.
Non par ma foy Monſieur:	Non par ma foi Monsieur:
ce ſeroit á mon dam, le ne puis pas le faire.	ce serait > mon dam, le ne puis pas le faire.
DOM CARLOS.	DOM CARLOS.
Il faut que je confeſſe, Que ta folie eſt grande ainſi que ta triſteſſe.	Il faut que je confesse, Que ta folie est grande ainsi que ta tristesse.
GUSMAN.	GUSMAN.
meit niuy :	meit niui :
mais chacun ſent ſon mal icy bas, Souvent on eſt malade, & l’on ne le croit pas.	mais chacun sent son mal ici bas, Souvent on est malade, et l'on ne le croit pas.
Touchant un accident plus grand qu’à l’ordinaire ſlfaut--permettez moy, s’il vous plait de me taire,	Touchant un accident plus grand qu'à l'ordinaire slfaut-permettez moi, s'il vous plaît de me taire,
DOM CARLOS.	DOM CARLOS.
y conſens:	y consens:
mais parlons de l’objet de mes voeux, 1lii Duſman	mais parlons de l'objet de mes voeux, 1li Dusmand
GUSMAN.	GUSMAN.
Ah Monſieur que vous eſtes heureu De parier votre ioar de ne rendre point conte, Et de ne craindre pas que quelqu’un vous affronte.	Ah Monsieur que vous êtes heureu De parier votre joar de ne rendre point conte, Et de ne craindre pas que quelqu'un vous affronte.
DOM CARLOS.	DOM CARLOS.
Que veut dire cela?	Que veut dire cela?
qui voudroit t’affronter?	qui voudrait t'affronter?
Oúje ſuis, que crains tu?	Oúje suis, que crains tu?
qui voudroit m’irriter?	qui voudrait m'irriter?
Tout Naples m’eſt amy, decouvres moy ta peine.	Tout Naples m'est ami, découvres moi ta peine.
GUSMAN.	GUSMAN.
à part.	à part.
Ah ſans les trois ducats mais ma raiſon eſt vaine,	Ah sans les trois ducats mais ma raison est vaine,
Que dis tu?	Que dis tu?
DOM CARLOS.	DOM CARLOS.
GUSMAN.	GUSMAN.
Je feray tout ce qu’il vous plair.	Je ferai tout ce qu'il vous plai.
Cuvouler vousuners	Cuvouler -vousuners
DOM CARLOS.	DOM CARLOS.
Au bal Guſman	Au bal Gusman
GUSMAN.	GUSMAN.
Je meur Vous avez le loiſir d’eſtre chez vous une heure.	Je meur Vous avez le loisir d'être chez vous une heure.
Qoiunciutoueſeul?	Qoiunciutoueseul?
DOM CARLOS.	DOM CARLOS.
Il eſt vray:	Il est vrai:
mais ſuis mo Peuteſtre au rendés vous j’auray beſoin de toy	mais suis mo Peutêtre au rendez -vous j'aurai besoin de toi
GUSMAN.	GUSMAN.
Helas qu’apparemerie, e eit eſtre miſerable, Que d’aller malgré ſoy rendre viſite au diable.	Hélas qu'apparemerie, e it être misérable, Que d'aller malgré soi rendre visite au diable.
Fin du ſecond Acte.	Fin du second Acte.
ACTE TROISIEME SCENE PREMIERE LA PRINCESSE PORCIE.	ACTE -TROISIÈME CÈNE PREMIÈRE LA PRINCESSE PORCIE.
LEONOR.	LEONOR.
BEAIRIX.	BEAIRIX.
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
Omme de mon ſecret vous ſçaurez bien uſer, Je vous eſtime trop pour vous le refuſer:	Omme de mon secret vous saurez bien user, Je vous estime trop pour vous le refuser:
Je veux de mon amour vous faire confidence:	Je veux de mon amour vous faire confidence:
Au milieu du tournoy ma flame prit naiſſance:	Au milieu du tournoi ma flamme prit naissance:
Ouy, ce fut dans ce lieu, que ce tiran vainqueur Voulut ſans mon aveu s’empar er de mon cœur:	Oui, ce fut dans ce lieu, que ce tyran vainqueur Voulut sans mon aveu s'empar er de mon cœur:
D’abort il me fit voir, que ſa puiſſance eſt grande, Qu’il ſe fait obeïr auſſi toſt qu’il commande, Que de cet univers il eſt maiſtre abſolu, Et que l’on doit vouloir ce qu’il a reſolu:	D'abort il me fit voir, que sa puissance est grande, Qu'il se fait obéir aussi tôt qu'il commande, Que de cet univers il est maître absolu, Et que l'on doit vouloir ce qu'il a résolu:
ou pour capnquer neux,donrourios me ſeeut plaire:	ou pour capnquer neux,donrourios me sut plaire:
Il apprit le ſecret que je de vois luy taire, Et malgré la fierté qui venoit m’animer, J’oubliày ma raiſon, & ne ſceus plus qu’aimer.	Il apprit le secret que je de vois lui taire, Et malgré la fierté qui venait m'animer, J'oublià ma raison, et ne sus plus qu'aimer.
LEONOR.	LEONOR.
Le choix des deux coſtés eſt fort conſiderable.	Le choix des deux côtés est fort considérable.
Dom Carlos auroit peine a trouver ſon ſemblable, Son air eſt ſi galant, qu’on a peine a juger, S’il eſt de Naples méme, ou s’il eſt eſtranger:	Dom Carlos aurait peine a trouver son semblable, Son air est si galant, qu'on a peine a juger, S'il est de Naples même, ou s'il est étranger:
Il a dubien, dit on, & beaucoup de naiſſance, Et ce que je vous dis n’eſt pas ſans aſſurance:	Il a dubien, dit on, et beaucoup de naissance, Et ce que je vous dis n'est pas sans assurance:
Dom Fernand l’aime en frere, & l’autre ſet les ſoins A luy prouver auſſi qu’il ne l’aime pas moins, Ils ne ſe cachent rien, & je vous plains Madame:	Dom Fernand l'aime en frère, et l'autre set les soins A luy prouver aussi qu'il ne l'aime pas moins, Ils ne se cachent rien, et je vous plains Madame:
Puisqu’il ne peut enfin repondre a votre flame.	Puisqu'il ne peut enfin répondre à votre flamme.
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
bitet mo y tout, de grace, eſt ce que mon amant En aimeroit quelque autre?	bitet mo y tout, de grâce, est ce que mon amant En aimerait quelque autre?
LEONOR.	LEONOR.
Et ſi ſecretement:	Et si secrètement:
Que la choſe, en effet eſt a peine poſſible.	Que la chose, en effet est a peine possible.
Il ne ſoupire plus, que pour une Inviſible, Il l’aime ſans lá voir, & ie neſçay comment Il a pû s’engager, & ſi legerement.	Il ne soupire plus, que pour une Invisible, Il l'aime sans l voir, et toujours nesçai comment Il a pu s'engager, et si légèrement.
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
Il doit bientoſt venir, & je pourray connoiſtre L’amour que dans ſon cœur l’Inviſible á fait naiſtre.	Il doit bientôt venir, et je pourrai connaître L'amour que dans son cœur l'Invisible fait naître.
’y feray mes efforts!	O'y ferai mes efforts!
pour ne douter de rien, Je le fais enlever durant noſtre entretien:	pour ne douter de rien, Je le fais enlever durant notre entretien:
l’ay deſia donné l’ordre.	l'ai déjà donné l'ordre.
Il m’eſt aſſez facille De le faire enlever chez moy hors de la ville:	Il m'est assez facille De le faire enlever chez moi hors de la ville:
jedecouvmay la quericia inon comtioure S’il á pour l’Inviſible une conſtante ardeur:	jedecouvmay la quéricia inon comtioure S'il âme pour l'Invisible une constante ardeur:
La flame qu’il reſſent ne peut m’eſtre nuiſible:	La flamme qu'il ressent ne peut m'être nuisible:
Puiſque ie ſuis enfin ſon Amante Inviſible.	Puisque ie suis enfin son Amante Invisible.
BEATRIX.	BEATRIX.
Vous perdez des momens en diſcours ſuperflusoonigcoris à hortie ahaire, & ne diſcourons plus.	Vous perdez des moments en discours superflusoigcoris à hortie ahaire, et ne discourons plus.
Madame eſt neceſſaire à noſtre ſtratageme:	Madame est nécessaire à notre stratagème:
Nous en aurons beſoin, vous le ſçavez vous meſme.	Nous en aurons besoin, vous le savez -vous même.
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
Voulez vous m’obliger.	Voulez -vous m'obliger.
LEONOR.	LEONOR.
Volontiers.	Volontiers.
40 Songe bien-Comedie.	40 Songe bien-Comédie.
LAPRINCESSE PORCIE Beatrix	LAPRINCESSE PORCIE Beatrix
BEATRIX.	BEATRIX.
Laiſſez moy, noſtre Galant eſt prit Ea rhineEdon ronalo Que ne vous dois ie point?	Laissez -moi, notre Galant est prit Ea rhineÉdon ronalo Que ne vous dois ie point?
BEATRIX.	BEATRIX.
Laiſſez là la fleurette, Allez ie vous reſpons que l’affaire vaut faitte	Laissez là la fleurette, Allez ie -vous réponds que l'affaire vaut faitte
LEONOR.	LEONOR.
Dom Fernand doit venir du bal á mon balcon;	Dom Fernand doit venir du bal mon balcon;
Je voudrois l’avertir qu’il n'y vint point-	Je voudrais l'avertir qu'il n'y vint point-
BEATRIX.	BEATRIX.
Bon, bor Mocquez vous de cela, comment voulez vous faire?	Bon, bor Moquez -vous de cela, comment voulez -vous faire?
Elt-ce que vous craignez encor de luy deplaire?	Elt-ce que vous craignez encor de lui déplaire?
La PRINCESSE PORCIE.	La PRINCESSE PORCIE.
Beatrix aura ſoin de le faire avertir.	Beatrix aura soin de le faire avertir.
BEATRIX Ablienma auuigdespeme de vougen repentne l’ay des Galants tous preſts pour me rendre ſervice:	BEATRIX Ablienma auuigdespème de vougen repentne l'ai des Galants tous prêts pour me rendre service:
Je trouveray quelqu’vn qui fera cet office:	Je trouverai quelqu'un qui fera cet office:
Je feray voſtre affaire, adieu rentrez chez nous.	Je ferai votre affaire, adieu rentrez chez nous.
La PRINCESSE PORCIE.	La PRINCESSE PORCIE.
Entrons en attendant l’heure du rendé-vous.	Entrons en attendant l'heure du rendé-vous.
Tandis que Beatrix fera voſtre meſſage:	Tandis que Beatrix fera votre message:
vous pourrez dans ma chambre en ſçavoir davantas SCE	vous pourrez dans ma chambre en savoir davantas SCE
SCENE SECONDE.	SCÈNE SECONDE.
BEATRIX ſeule.	BEATRIX seule.
ui pourray ie envoyer pour avoir Dom Fernand.	Oui pourrai ici envoyer pour avoir Dom Fernand.
je pouvois trouver ce traiſtre de Guſman, e ſeroit bien mon fait, mais oú le pouvoir prendre?	je pouvais trouver ce traître de Gusman, e serait bien mon fait, mais où le pouvoir prendre?
eut eſtre viendta t’il, ie veux un peu l’attendre.	eut être viendta -t-il, je veux un peu l'attendre.
l’envoirois chercher Dom Fernand juſqn’au bal.	l'envoirais chercher Dom Fernand jusquen'au bal.
la foy pour un valet c’eſt un grand animal!	la foi pour un valet c'est un grand animal!
e ne vis de ma vie un garçon ſi credule:	Je ne vis de ma vie un garçon si crédule:
our m’aimer, comme il dit, il eſt bien ridicule-.	our m'aimer, comme il dit, il est bien ridicule-.
ais c’elt ce qu'ime lauey ce liina pamion--- e voicy, donnons luy noſtre commiſſion.	ais c'elt ce qu'ime lavei ce liina pamion- cy, donnons lui nôtre commission.
DCEND TROIMIENIE GUSMAN.	DCEND TROIMIENIE GUSMAN.
BEATRIX.	BEATRIX.
GUSMAN.	GUSMAN.
qui va la.	qui va la.
Il vous planle ;	Il vous planle ;
ee n'elp rien;	Je n'elp rien;
laismon maiſtre ourroit bien oublier ou ie ſeray peut eſtre.	laismon maître ourrait bien oublier ou tu serai peut être.
Ne crains rien.	Ne crains rien.
BEATRIX.	BEATRIX.
GUSMAN.	GUSMAN.
Ah!	Ah!
c’eſt toy ma foy mal á propos, orremiioie de peur, & eraignois pour mes os:	c'est toi ma foi mal âme propos, orremioie de peur, et eraignais pour mes os:
Mais puiſque te voila, i’incague toute crainte, et je puis raiſonner auec toy ſans contrainte.	Mais puisque te voilà, j'incague toute crainte, et je puis raisonner avec toi sans contrainte.
Ton diable familier empéchera les coups, Qu’on pourroit par hazard faire pleuvoir ſur nous.	Ton diable familier empêchera les coups, Qu'on pourrait par hasard faire pleuvoir sur nous.
BEATRIX.	BEATRIX.
lu me crois donc sorciere?	Lu me crois donc sorcière?
GUSMAN.	GUSMAN.
Et des plus rafinées.	Et des plus rafinées.
Combien chez le demon dois tu ſervir d’années?	Combien chez le démon dois tu servir d'années?
Combien aſtu par an?	Combien astu par an?
quel profit tire-tu?	quel profit tire-tu?
Car ce n’eſt pas aſſez que d’éſtre bien veſtu, Que de manger ſon ſoù -	Car ce n'est pas assez que d'éstre bien vêtu, Que de manger son soù -
BEATRIX.	BEATRIX.
je te tiouve admirable J’ay de tres bon argent -.	je te tiouve admirable J'ai de très bon argent -.
GUSMAN.	GUSMAN.
De l’argent chez le diable!	De l'argent chez le diable!
Cela ſeroit nouveau:	Cela serait nouveau:
monſtre m’en s’il te plaiſt?	montre m'en s'il te plaît?
Je voudrois bien ſça voir ſeulement comme il eſt.	Je voudrais bien sça voir seulement comme il est.
Teuen paner par toue lau enpa jerie change:	Teuen paner par toue lau enpa jérie change:
BEATRIX.	BEATRIX.
Il eſt aliez connu, puis qu’on en boit, & mange.	Il est aliez connu, puis qu'on en boit, et mange.
GUSMAN.	GUSMAN.
Quelle couleur a t’il?	Quelle couleur a -t-il?
ie voudrois bien en voir.	Elle voudrais bien en voir.
Tu ne le connois pas?	Tu ne le connais pas?
BEATRIX.	BEATRIX.
Ouonine Non, eſt-il blanc, ou noir?	Ouonine Non, est-il blanc, ou noir?
BEATRIX.	BEATRIX.
Tous les marchands en ont.	Tous les marchands en ont.
GUSMAN.	GUSMAN.
Puis qu’il ſert au comme Je ne m’eſtonne p.	Puis qu'il sert au comme Je ne m'étonne p.
as ſi le diable les berce.	as si le diable les berce.
BEAIRIX.	BEAIRIX.
C'eſt pendant leur repos-	C'est pendant leur repos-
GUSMAN.	GUSMAN.
Le pioveibe icut.	Le pioveibe icut.
ailon eſt fort bonnez & rien n’y contredit.	ailon est fort bonnez et rien n'y contredit.
BEATRIX.	BEATRIX.
udrois tu m’obliger:	udrois tu m’obliger:
GUSMAN.	GUSMAN.
Parle avec aſſeurance.	Parle avec assurance.
meſme lá deſſus tu ſçais ce que ie penſe.	rendre l dessus tu sais ce que je pense.
BEATRIX.	BEATRIX.
chercher Dom Fernand, tu le verras au bals luy que Leonor ſe vient de trouver mal, u’elle ne peut point accomplir ſa promeſſe.	chercher Dom Fernand, tu le verras au balsprit que Leonor se vient de trouver mal, elle ne peut point accomplir sa promesse.
eſche.	esche.
Cucullle, Il va venir;	Cucullle, Il va venir;
tu ſçais que rien ne preſſe;	tu sais que rien ne presse;
t avec mon malltle.	t avec mon malltle.
BEATRIX Adieu, iuſqu’au revoir.	BEATRIX Adieu, jusqu'au revoir.
GUSMAN.	GUSMAN.
voulois m’eſprouver, ie le vois bien:	voulais m'éprouver, Elle le vois bien:
bon ſoir.	bon soir.
SCENE QUATRIEME GUSMAN Seul.	SCÈNE QUATRIÈME GUSMAN Seul.
tte fille me plaiſt:	tte fille me plaît:
Ah!	Ah!
la belle ſçience pouvoir de viner ce que ſon voiſin penſe!	la belle sçience pouvoir de viner ce que son voisin pense!
eſt iamais ſurpris quoy qu’il puiſſe arriver, le faut point chercher ce que l’on veut trouver:	est jamais surpris quoi qu'il puisse arriver, le faut point chercher ce que l'on veut trouver:
ut ſe preſente á nous, & n’eſtoit que le diable ſeigne cemeſtier, il ſeroit agreable.	ut se présente Çà nous, et n'était que le diable seigne cemétier, il serait agréable.
tre le grand plaiſir de ſçavoir ce qu’on fait, gent qu’on en reçoit, peut rendre ſatisfait-i’entẽs quelque bruit:	tre le grand plaisir de savoir ce qu'on fait, gent qu'on en reçoit, peut rendre satisfait-j'entends quelque bruit:
qui diantre pourrois ce eſtre?	qui diantre pourrais ce rendre?
Fort	Fort
SCENE CINQUIEME.	SCÈNE CINQUIÈME.
DOM CARLOS, DOM TERNAND.	DOM CARLOS, DOM TERNAND.
GUSM	GUSM
GUSMAN.	GUSMAN.
Un ordre m’eſt venu de vous faireſçavoir, Que Leonor ne peut á ſon balcon vous voir, Elle eſt indiſpoſée, & ne ſçauroit s’y rendre, Et pour vous eſpargner la peine de l’attendre:	Un ordre m'est venu de vous fairesçavoir, Que Leonor ne peut âme son balcon vous voir, Elle est indisposée, et ne saurait s'y rendre, Et pour vous épargner la peine de l'attendre:
Une Nymphe aux yeux doux vous cherchoit de ſa Et m’a dit, me voyant, que comme il eſtoit tart, Elle me coniuroit de faire ſon meſſage.	Une Nymphe aux yeux doux vous cherchait de sa Et m'a dit, me voyant, que comme il était tart, Elle me conjurait de faire son message.
Ne me demandez rien lá deſſus da vantage, Ie ne ſçay rien de plus.	Ne me demandez rien liel dessus da vantage, Je ne sais rien de plus.
Touchant cette maiſon, Je me ſuis informé, mais pour toute raiſon:	Touchant cette maison, Je me suis informé, mais pour toute raison:
Vous ſçavrez qu’il y loge une vefve pleureuſe, Sans fille, ny valets, & qui vit malheureuſe, Depuio que lonmpocta louuerere treſpas, Qui fuit tousiours le monde & que l’on ne voit pas!	Vous savez qu'il y loge une veue pleureuse, Sans fille, ni valets, et qui vit malheureuse, Dépui que lonmpocta louuerere trépas, Qui fuit toujours le monde et que l'on ne voit pas!
Voila ce que i’ay pû ſçavoir de cette affaire.	Voilà ce que j'ai pu sçavoir de cette affaire.
C’eſt á vous a juger du reſte du myſtere.	C'est âme vous a juger du reste du mystère.
DOM FERNAND.	DOM FERNAND.
N’ay-ie pas du malheur autant qu’on puiſſe avoir Je cherche ma maiſtreſſe, & ne ſçaurois la voir;	N'ai-je pas du malheur autant qu'on puisse avoir Je cherche ma maîtresse, et ne saurais la voir;
J’eſpere luy parler, ie viens en diligence, Pour ioüir un moment de ſa chere preſence:	J'espère lui parler, ie viens en diligence, Pour jouir un moment de sa chère présence:
Elle eſt indiſpoſée.	Elle est indisposée.
Ah!	Ah!
ce ſont de tes coups, Amour, & mon, bonheur feroit trop de jaloux:	ce sont de tes coups, Amour, et mon, bonheur ferait trop de jaloux:
Si tu ne meslois pas, comme c’eſt ta couſtume, Avec un peu d’eſpoir quantite d’amertume:	Si tu ne mêlais pas, comme c'est ta coutume, Avec un peu d'espoir quantité d'amertume:
ne m’a rien dit du rendé-vous au bal, ſi ſecretement j’avois quelque rival!	ne m'a rien dit du rendé-vous au bal, si secrètement j'avais quelque rival!
en veux éclaircir, & connoiſtre moy-meſme, ſt un rendé-vous de quelque autre qu’elle aime:	en veux éclaircir, et connaître moi-même, st un rendé-vous de quelque autre qu'elle aime:
ais iuſqu’au balcon:	ais jusqu'au balcon:
c’eſt l’unique moyen, ça von lon iccret lalis docoutiir le mien.	c'est l'unique moyen, ça von lon iccret lalis docoutiir le mien.
viendray bientoſt.	viendrai bientôt.
DOM CARLOS.	DOM CARLOS.
Devant cette feneſtre IInviſible á moy ſe doit faire connoiſtre.	Devant cette fenêtre IInvisible moi se doit faire connoistre.
SCENE SIXIEME M CARLOS.	SCÈNE SIXIÈME M ARLOS.
DOM FERNAND.	DOM FERNAND.
GUSMAN.	GUSMAN.
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
LEONOR.	LEONOR.
BEATRIX à la feneſtre grillée.	BEATRIX à la fenêtre grillée.
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
t temps de parler, Leonor, ſongez bien le rien oublſer dedans cet entrecien.	t temps de parler, Leonor, songez bien le rien oublser dedans cet entrecien.
BEATRIX.	BEATRIX.
n Fernand eſt lá bas, s’il faut qu’il vous entende, eviendra ialoux.	 Fernand est lá bas, s'il faut qu'il vous entende, éviendra jaloux.
om Carlos?	om Carlos?
LEONOR.	LEONOR.
C’eſt ce que ie demande.	C'est ce que Seigneur demande.
DOM FERNAND.	DOM FERNAND.
N’eſt-ce pas la voix de Leonor!	N'est-ce pas la voix de Leonor!
ur ne nous point tromper, preſtons l’oreille encor.	ur ne nous point tromper, prêtons l'oreille encor.
DOM CARLOS.	DOM CARLOS.
ui m’appelle?	Oui m'appelle?
Eſt-ce vous?	Est-ce vous?
trop aimable In viſible, !	trop aimable In visible, !
que vous n’eſtes guere á ma peine ſenſible.	que vous n'êtes guère „ ma peine sensible.
Et que ſi vous m’aimez ie le découvre peu.	Et que si vous m'aimez ici le découvre peu.
A peine ſeulement faiſtes vous voir ce feu, Que ie ſuis enflammé ſans ſçavoir qui vous eſtes:	À peine seulement faîtes vous voir ce feu, Que on suis enflammé sans savoir qui vous êtes:
