De Voſtre Majeſté,	De Votre Majesté,
Ie ne changeray point, ie mourray vostre eſclaue.	Je ne changerai point, Seigneur mourrai votre esclave.
ROSELIE.	ROSELIE.
ROSELIE.	ROSELIE.
Mon cœur, rends là deſſus mon eſprit eſclaircy!	Mon cœur, rends là dessus mon esprit éclairci!
Pourquoy me laiſſes tu ſi long temps en ſoucy?	Pourquoi me laisses -tu si long temps en souci?
ALCANDRE.	ÀLCANDRE.
Las!	Las!
ſans vous affliger vous puis-ie oster de peine?	sans vous affliger vous puis-je ôter de peine?
Le Roy me ſacrifie au courroux d’vne Reine;	Le Roi me sacrifie au courroux d'une Reine;
Il veut pour appaiſer ſon animoſité Que iaille poſſeder ce qu'il a rebute:	Il veut pour apaiser son animosité Que jaille posséder ce qu'il a rebute:
Il faut ſans differer me rendre en Dalmatie;	Il faut sans différer me rendre en Dalmatie;
Eſtes vous là deſſus maintenant eſclaircie.	Êtes -vous là -dessus maintenant éclaircie.
ROSELIE.	ROSELIE.
Les effects ſont en fin conformes à ma peur, Ie n'attendois pas mieux de ſa ialouſe humeur.	Les effets sont en fin conformes à ma peur, Je n'attendais pas mieux de sa jalouse humeur.
Parts;	Parts;
Adieu, laiſſe moy, mal-gré ſa tyrannie, Tu verras en mon ſexe vne force infinie;	Adieu, laisse -moi, mal-gré sa tyrannie, Tu verras en mon sexe une force infinie;
Puiſſay-ie eſtre l’horreur des hommes & des Dieux, Si ie le voy iamais que d’vn œil furieux.	Puissé-je être l'horreur des hommes et des Dieux, Si tu le vois jamais que d'un œil furieux.
Toy, iouis en repos des faueurs de la Reine, Contente ce riual, n'irrite point ſa haine;	Toi, jouis en repos des faveurs de la Reine, Contente ce rival, n'irrite point sa haine;
Prenant le nom de Roy, ſouuiens toy ſeulement D’auoir pris autre-fois celuy de mon amant;	Prenant le nom de Roi, souviens toi seulement D'avoir pris autre-fois celui de mon amant;
Et quelques nouueaux nœuds dont ta main ſoit liee, Fais que ie ne ſois pas tout à fait oubliee.	Et quelques nouveaux nœuds dont ta main soit lie, Fais que personne ne sois pas tout à fait oublie.
Adieu, ſeparons nous, modere tes douleurs, Et ne ine reuuy point atamonte des pleurs.	Adieu, séparons -nous, modère tes douleurs, Et ne iné revi point atamonte des pleurs.
ALCANDRE, luy tenant la main.	ÀLCANDRE, Seigneur tenant la main.
Aviontœur, on nous fepart, & te puis viure encore, Reine de mes deſirs, ſeul obiect que i’adore.	Aviontœur, on nous fépart, et te puis vivre encore, Reine de mes désirs, seul objet que j'adore.
Elle s'en veut aller.	Elle s'en veut aller.
Eſcoute, mon ſoucy, les ſermens que ie fais, Entens ce mot encore, & ne m'entens iamais:	Écoute, mon souci, les serments que sans fais, Entends ce mot encore, et ne m'entends jamais:
Ie iure par la main qui lance le tonnerre, Qui ſoustient le Soleil, & qui forma la terre;	Je jure par la main qui lance le tonnerre, Qui soutient le Soleil, et qui forma la terre;
Par noſtre affection, par nos vœus innocens, Et par le doux eſclat de tes Aſtres naiſſans, Que ie parts ſans deſſein de poſſeder la Reine, Que ce Tyran m’enioint vne inutile peine.	Par notre affection, par nos vœus innocents, Et par le doux éclat de tes Astres naissants, Que ie mmes sans dessein de posséder la Reine, Que ce Tyran m'enioint une inutile peine.
Eſperons, mon ſoucy, conſerue ton amour:	Espérons, mon souci, conserve ton amour:
Adieu;	Adieu;
qu'ente perdant, ne perds-ie außile iour?	qu'ente perdant, ne perds-je aussi jour?
ACTE QVATRIESME.	ACTE QUATRIÈME.
DEDTDA REMHIERE, LE ROY, PARIS, ARGANT.	DÉDTDA REMHIERE, LE ROY, PARIS, ARGANT.
LE ROY.	LE ROY.
Velque orage ſi grand, dont elle nous menace, I'enuoye vn Alcion conſeruer la bonace.	Velque orage si grand, dont elle nous menace, J'envoie un Alcion conserver la bonace.
Mon frere, en l’eſpouſant, calmera ſes tranſports;	Mon frère, en l'épousant, calmera ses transports;
Mais encore, que dit-elle en des accés ſi forts?	Mais encore, que dit-elle en des accès si forts?
ARIS.	ARIS.
Sire, imaginez vous tout ce que fait la rage, Quand elle eſt abſoluë en vn ieune courage;	Sire, imaginez -vous tout ce que fait la rage, Quand elle est absolue en un jeune courage;
Les deſſeins qu'elle cauſe en de hautains eſprits, Et combien vne femme eſt ſenſible au mespris:	Les desseins qu'elle cause en de hautains esprits, Et combien une femme est sensible au mépris:
Il n’eſt mal ſi faſcheux qu'vn bon eſprit n'endure, La femme peut ſouffrir la plus cruelle iniure, Perdre ſa liberté, voir piller ſes threſors, Aualer de la flame, endurer mille morts;	Il n'est mal si fâcheux qu'un bon esprit n'endure, La femme peut souffrir la plus cruelle injure, Perdre sa liberté, voir piller ses trésors, Aualer de la flamme, endurer mille morts;
Mais depuis qu'vne fois elle croit eſtre belle, Elle ne peut ſouffrir le meſpris qu'on fait d’elle;	Mais depuis qu'une fois elle croit être belle, Elle ne peut souffrir le mépris qu'on fait d'elle;
Le temps & la raiſon ſont alors ſuperflus, Cét affront eſt celuy qui la touche le plus;	Le temps et la raison sont alors superflus, Cet affront est celui qui la touche le plus;
Außi la Reine meurt, enrage, deſeſpere, Le temps qu'on croit tout vaincre, augmente ſa cholere, Elle renuerſeroit, & la terre & les Cieux, Afin de ſoulager ſon eſprit furieux:	Aussi la Reine meurt, enrage, désespère, Le temps qu'on croit tout vaincre, augmente sa colère, Elle renverserait, et la terre et les Cieux, Afin de soulager son esprit furieux:
Y Croy que de quelque ardeur qu'elle ſoit embrazee, Mon frere aura bien toſt ſa cholere appaiſee, Que le voyant pourueu de ſi charmans appas, Vn pareil changement ne luy deſplaira pas.	Y Crois que de quelque ardeur qu'elle soit embrasée, Mon frère aura bien tôt sa cholère apaise, Que le voyant pourvu de si charmands appas, Un pareil changement ne lui déplaira pas.
LTE II En Dalmatie.	LTE II En Dalmatie.
ALCANDRE, & autres ſeruiteurs, OGIER en habits de Prince.	ÀLCANDRE, et autres serviteurs, OGIER en habits de Prince.
IER.	JER.
T bien, trouueZ vous pas mon eſprit adorable?	T bien, trouvez -vous pas mon esprit adorable?
Ce moyen ſera-t'il à vos vœus fauorable?	Ce moyen sera-t'-il à vos vœus favorable?
La Reine aura l’amour bien auant dans le ſein, Si ceſte inuention n’altere ſon deſſein;	La Reine aura l'amour bien avant dans le sein, Si cette invention n'alte son dessein;
Ie priſerois beaucoup, & ma voix & ma mine, Si i’en pouuois toucher ceſte beauté diuine.	Je priserais beaucoup, et ma voix et ma mine, Si j'en pouvais toucher cette beauté divine.
ALCANDRE.	ÀLCANDRE.
Quoy?	Quoi?
n’eſtime tu pas auoir de doux attraits?	n'estime tu pas avoir de doux attraits?
Eſt-il quelque beauté qui ne cede à leurs traits?	Est-il quelque beauté qui ne cède à leurs traits?
Croy que le plus parfaict n'a rien de beau qui vaille, Cét agreable port, & cette heureuſe taille:	Crois que le plus parfait n'a rien de beau qui vaille, Cro agreable port, et cette heureuse taille:
S’il est certain qu’Orphee ait attiré les bois, Ces arbres vont danſer aux accens de ta voix, I iij N’approche pas ſi prés de leurs eſcorces tendres, Les flames de tes yeux les reduiroient en cendres.	S'il est certain qu'Orphée ait attiré les bois, Ces arbres vont danser aux accends de ta voix, I ij ouche pas si près de leurs écorces tendres, Les flammes de tes yeux les réduiraient en cendres.
Qu'en ces lieux eſtrangers tu vas bleſſer de cœurs!	Qu'en ces lieux étrangers tu vas blesser de cœurs!
Il faudra que tout cede à tes charmes vainqueurs;	Il faudra que tout cède à tes charmes vainqueurs;
Tu vas faire bruſler toute la Dalmatie:	Tu vas faire brûler toute la Dalmatie:
Mais ſi l’on t’enleuoit, rette peur me ſoucie.	Mais si l'on t'enleuoit, rette peur me soucie.
Dieux!	Dieux!
ſi l’on m'enleuoit:	si l'on m'enlevait:
ô le ſoucy plaiſant!	ô le souci plaisant!
Qui ſe voudroit charger d’vn fardeau ſi peſant?	Qui se voudrait charger d'une fardeau si pesant?
ALCANDRE.	ÀLCANDRE.
Ogier, tors que t'amour irouue on eſpri jenſible, Ce Dieu luy rend leger le faiz le plus penible, Et voulant acquerir vn obiect ſi charmant, Nous ne conſiderons ny danger ny tourment.	Ogier, tors que t'amour irouve on épri vensible, Ce Dieu lui rend léger le faitz le plus pénible, Et voulant acquérir un objet si charmant, Nous ne considérons ainsi danger ainsi tourment.
IER.	JER.
Il est vray que mon corps a des charmes estranges, Et que toute la Cour me donne des loüanges, On admire mon port, ſi plein de Maiesté, Peu d’enfans de mon aage ont ſi bien profité:	Il est vrai que mon corps a des charmes étranges, Et que toute la Cour me donne des louanges, On admire mon port, si plein de Maiesté, Peu d'enfants de mon âge ont si bien profité:
Pour moy, ie priſe peu tous ces petits Narciſſes, Dont le fard & le feu ſont tous les exercices:	Pour moi, je prise peu tous ces petits Narcisses, Dont le fard et le feu sont tous les exercices:
Le Ciel en les formant fit de foibles efforts, Ce corps ſeul qu’il m'a faict vaüt quatre de leurs corps.	Le Ciel en les formant fit de faibles efforts, Ce corps seul qu'il m'a fait vauit quatre de leurs corps.
Mais que feray-ie donc poſſedant tant de charmes?	Mais que ferai-je donc possédant tant de charmes?
La Reine en ſera priſe, elle rendra les armes;	La Reine en sera prise, elle rendra les armes;
Aura pour mon ſujet beaucoup de paßion:	Aura pour mon sujet beaucoup de passion:
Et ce n’est pas le but de nostre inuention;	Et ce n'est pas le but de notre invention;
Au lieu que nous voulons emplir ſon cœur de glace, Ie l’empliray de feux ſi ie tiens voſtre place, Elle agreeral Hymen qu'a le Roy proietté, Et vous auez deſſein d’en estre reietté.	Au lieu que nous voulons emplir son cœur de glace, Je l'emplirai de feux si ie tiens te place, Elle agreeral Hymen qu'a le Roi proyetté, Et vous avez dessein d'en être rejetté.
ALGANDRE.	ÀLGANDRE.
Cache ces qualitez, qu'en ton ame on admire, Par là nous obtiendrons l’effect que ie deſire;	Cache ces qualités, qu'en ton âme on admire, Par là nous obtiendrons l'effet que Seigneur désire;
Ne luy teſmoigne pas vn eſprit ſi charmant, Et fay luy dés l’abord vn mauuais compliment, Taſche à ne pas monstrer vne humeur ſi polie, Teimis ut tenir beunconp ec mmncitinenouile;	Ne lui témoigne pas un esprit si charmant, Et fais-même dès l'abord un mauvais compliment, Tâche à ne pas montrer une humeur si polie, Teimis ut tenir beunconpon ec mmncitinenouile;
Employe à ſembler fol, ta ſageſſe & ton ſoing, C’eſt eſtre ſage Ogier, qu'estre fol au beſoing:	Emploie à sembler fol, ta sagesse et ton soins, C'est être sage Ogier, qu'être fol au besoing:
Mais que tu feras mal vne ſemblable feinte!	Mais que tu feras mal une semblable feinte!
Et que ton naturel ſouffrira de contrainte!	Et que ton naturel souffrira de contrainte!
GIER.	GIER.
O ie n'en doute plus, ie voy trop clairement Qu'il me tient ces propos contre ſon ſentiment;	Ô Où n'en doute plus, je vois trop clairement Qu'il me tient ces propos contre son sentiment;
Ne craignez, point, Monſieur, cette loüange est vaine, Ie ſçay faire le fol auecques peu de peine;	Ne craignez, point, Monsieur, cette louange est vaine, Je sais faire le fol avec peu de peine;
Il ne faut point beaucoup contraindre mon eſprit:	Il ne faut point beaucoup contraindre mon esprit:
Car c'est vne leçon que nature m'apprit,	Car c'est une leçon que nature m'apprit,
ALCANDRE.	ÀLCANDRE.
Si contre mon riual tu m’obtiens la victoire, Ie tiendray toute choſe au deſſous de ta gloire, Et verray par mespris toute l’Antiquité, Qu'elque ſi ſage eſprit qu'elle nous ait vanté.	Si contre mon rival tu m'obtiens la victoire, Je tiendrai toute chose au dessous de ta gloire, Et verrai par mépris toute l'Antiquité, Qu'elle si sage esprit qu'elle nous ait vanté.
Fay ſi bien, cher Ogier, qu’elle nous congedie;	Fais si bien, cher Ogier, qu'elle nous congédie;
C’est de toy que dé pend toute la Comedie.	C'est de toi que de pend toute la Comédie.
Mais voicy Lyſimant, i’attendois ton retour;	Mais voici Lymant, j'attendais ton retour;
Et bien, que dit la Reine, irons nous à la Cour.	Et bien, que dit la Reine, irons nous à la Cour.
LYSIMANT.	LYSIMANT.
Elé ieſmoigne deſire à vosteaem janorable, Et receuoir de vous vn bien incomparable;	Élé iesmoigne désire à vostema janorable, Et recevoir de vous un bien incomparable;
On vous attend, Monſieur, auecques paßion, Elle a fait preparer voſtre reception.	On vous attend, Monsieur, auecques passion, Elle a fait préparer votre réception.
OGIER, à Lyſimant.	OGIER, à Lysimant.
As-tu perdu le ſens dedans ceſte prouince?	As-tu perdu le sens dedans cette province?
Ne me cognois-tu pas en ces habits de Prince?	Ne me connais-tu pas en ces habits de Prince?
Adreſſe moy ta voix, ſans me regarder tant;	Adresse moi ta voix, sans me regarder tant;
C'eſt moy qui ſuis Alcandre, & que la Reine attend;	C'est moi qui suis Alcandre, et que la Reine attend;
Que la gloire eſt occulte en ce ſiecle où nous ſommes?	Que la gloire est occulte en ce siècle où nous sommes?
Ce maraut prend pour moy l’vn de mes Gentils-hommes:	Ce maraut prend pour moi l'Hommes de mes Gentilshommes:
Ie dois à ſon offenſe vn ſupplice infiny:	Je dois à son offense un supplice infini:
Mais eſtant ignorant il est aſſez, puny.	Mais étant ignorant il est assez, puni.
ALCANDRE.	ÀLCANDRE.
Tu vois d’vn œil ſurpris ce changement des choſes, N'accuſe que l’amour de ces metamorphoſes.	Tu vois d'un œil surpris ce changement des choses, N'accuse que l'amour de ces métamorphoses.
IIER.	IIER.
Neus ennuyons la Reine, allons voir ſes appas, Qu'on ne diſcoure plus, & qu'on ſuiue mes pas.	Nus ennuyons la Reine, allons voir ses appas, Qu'on ne discoure plus, et qu'on suive mes pas.
SOENT III LA REINE, Vn Conſeiller, FLORINEE.	SONT III LA REINE, Un Conseiller, FLORINE.
L LA REINE.	 LA REINE.
E ſort, pour m’appaiſer alentit ſa cholere;	E sort, pour m'apaiser alentit sa cholère;
Ce Tyran deſormais est las de me deſplaire;	Ce Tyran désormais est las de me déplaire;
Mon esprit irrité doit estre ſatisfaict, Et ie dois receuoir les offres qu’on me faict.	Mon esprit irrité doit être satisfait, Et ici dois recevoir les offres qu'on me fait.
S’il eſt vray que ce Prince ait des charmes ſi rares, Qu'il donne de l’amour aux cœurs les plus barbares, Et que le Roy ſon frere ait des traicts moins puiſſans, Ie ne puis reſiſter à ſes vœus innocens.	S'il est vrai que ce Prince ait des charmes si rares, Qu'il donne de l'amour aux cœurs les plus barbares, Et que le Roi son frère ait des traits moins puissants, Je ne puis résister à ses vœus innocents.
Le Roy meſme ayant ioint à ſagrace infinie Le Sceptre glorieux de la Trans-Syluanie.	Le Roi même ayant joint à sagrace infinie Le Sceptre glorieux de la Trans-Syluanie.
Dieux!	Dieux!
comme la cholere abaiſſoit ma grandeur, Quand ie m'offrois pour femme à ſon Ambaſſadeur!	comme la colère abaissait ma grandeur, Quand autre m'offrais pour femme à son Ambassadeur!
uit a fgeu maituger de cer nonneur inſigne, Et que le refuſant il en parut indigne?	uit a feu maituger de cer nonneur insigne, Et que le refusant il en parut indigne?
CONSEILLER.	CONSEILLER.
Madame, on ſuit l’inſtinct qu’on a receu des Cieux, Luy ſeul rend nostre ſort, ou vil, ou glorieux, Quand vn mortel eſt né pour regir vn Empire, Son inclination vers cét obiect aspire;	Madame, on suit l'instinct qu'on a reçu des Cieux, Lui seul rend notre sort, ou vil, ou glorieux, Quand un mortel est né pour régir un Empire, Son inclination vers cet objet aspire;
Il viole ſouuent pour ſuiure ſes deſſeins, Et les humaines loix, & les droits les plus ſaincts;	Il viole souvent pour suivre ses desseins, Et les humaines lois, et les droits les plus saints;
D'autres ſouhaitent peu ces grandeurs ſouueraines:	D'autres souhaitent peu ces grandeurs souveraines:
Car ils ne ſont pas nés pour en tenir les reſnes;	Car ils ne sont pas nés pour en tenir les rênes;
Ils ne ſont point touchez de ceſte ambition, Vn mediocre ſort borne leur paßion.	Ils ne sont point touchés de cette ambition, Un médiocre sort borne leur passion.
416.	416.
Mais ce grand Prince arriue:	Mais ce grand Prince arrive:
Agreable iournee!	Agréable journée!
ment De toy depend tout l’heur de noſtre deſtinee.	ment De toi dépend tout l'heur de notre destinée.
SSLIYT IV LA REINE, LE CONSEILLER, FLORINEE, SERVITEVRS, OGIER, ALCANDRE, LYSIMANT.	SSLIIT IV LA REINE, LE CONSEILLER, FLORINE, SERVITEURS, OGIER, ALCANDRE, LYSIMANT.
OGIER.	OGIER.
Galimathias.	Galimathias.
Loire de l'Vniuers, miracle de ces lieux, Qui meritez vn rang entre les demyDieux;	Loire de l'Univers, miracle de ces lieux, Qui mérités un rang entre les demiDieux;
Diuin obiect des cœurs, adorable homicide!	Divin objet des cœurs, adorable homicide!
Plus ſage que Neſtor, plus vaillante qu'Alcide, Tout cede à vostre bras, & iamais les mortels Neureſſerent anx Dienx de ſiaignes autels.	Plus sage que Nestor, plus vaillante qu'Alcide, Tout cède à votre bras, et jamais les mortels Neuressèrent anx Dienx de siagnes autels.
LA REINE.	LA REINE.
Ie demeure muette, & ne le puis entendre, A qui dois-ie parler?	Je demeure muette, et ne le puis entendre, À qui dois-je parler?
paru couoip Alcandre?	par coupaip Alcandre?
OGIER.	OGIER.
Que les rares vertus esbloüiſſent les ſens?	Que les rares vertus éblouissent les sens?
Elle reſſent l’effect de mes charmes puiſſans;	Elle ressent l'effet de mes charmes puissants;
Ses yeux ſont esbloüis:	Ses yeux sont éblouis:
Mais tireZ moy de peine;	Mais tirez moi de peine;
A qui dois-ie parler?	À qui dois-je parler?
qui de vous est la Reine?	qui de vous est la Reine?
LA REINE.	LA REINE.
Les gens que vous voyez dépendent de ma loy.	Les gens que vous croyez dépendent de ma loi.
E R.	E R.
Et ceux-cy n'ont point veu d’autre Alcandre que moy;	Et ceux-cy n'ont point vu d'autre Alcandre que moi;
La fatigue & les ſoings en vn ſi long voyage Ont peut-eſtre amaigry mon corps & mon viſage;	La fatigue et les soings en un si long voyage Ont peut-être amaigri mon corps et mon visage;
Ie ſuis d’vn naturel qui s’altere aisément:	Je suis d'un naturel qui s'altère aisément:
Mais ie reprens außi l’embonpoinct promptement;	Mais ici reprends aussi l'embonpoint promptement;
Le vermeil reuient toſt, comme tost il s’efface;	Le vermeil revient tôt, comme tôt il s'efface;
Vn repas me rendra la moitié de ma grace.	Un repas me rendra la moitié de ma grâce.
Puis-ie me declarer ai voſtre Maieſté, Et dire que i’ay faim, ſans inciuilité, La fatigue des champs m’a preſque osté l'haleine, Du vin me plairoit fort, excuſez Grande Reine.	Puis-je me déclarer ai vôtre Majesté, Et dire que j'ai faim, sans incivilité, La fatigue des champs m'a presque ôté l'haleine, Du vin me plairait fort, excusez Grande Reine.
FLORINEE.	FLORINE.
Amant le plus plaiſant, qui reſpire le iour;	Amant le plus plaisant, qui respire le jour;
La ſoif le preſſe plus que ne fait ſonamour.	La soif le presse plus que ne fait sonamour.
LA REINE.	LA REINE.
Commandez là dedans qu’on ſerue ſon Alteſſe.	Commandez là -dedans qu'on serve son Altesse.
ER.	ER.
Entrons, obligez moy;	Entrons, obligez -moi;
Dieux que la faim me preſſe!	Dieux que la faim me presse!
GONSEILLER.	GONSEILLER.
Il luy faut preparer de l’aueine & du foing, ouuupay fue puituuaut le plus de beſoing.	Il a faut préparer de l'aveine et du foing, ouuupai se puituaut le plus de besoing.
OGIER en entrant, taſte le menton à Florinee	OGIER en entrant, tâte le menton à Florinée
deuant la Reinc.	devant la Reinc.
Ie veux beaucoup de bien à ceſte belle fille;	Je veux beaucoup de bien à cette belle fille;
Son port est gracieux, & ſa taille gentille.	Son port est gracieux, et sa taille gentille.
FLORINEE.	FLORINE.
Si de ſon corps au mien on fait comparaiſon, I'auoüeray franchement qu'il a quelque raiſon.	Si de son corps au mien on fait comparaison, J'auoüeray franchement qu'il a quelque raison.
Tous entrent, excepté LA REINE, & ALCANDRE.	Tous entrent, excepté LA REINE, et ALCANDRE.
LA REINE.	LA REINE.
Est-ce-là ce Phœnix, cét obiect de loüanges, Dont on m'a figuré des merueilles eſtranges?	Est-ce-là ce Phœnix, cet objet de louanges, Dont on m'a figuré des merveilles étranges?
Ce miroir de beautez, ce charme des eſprits, Qui ſur tous les obiects doit emporter le prix.	Ce miroir de beautés, ce charme des esprits, Qui sur tous les objets doit emporter le prix.
ALCANDRE.	ÀLCANDRE.
Madame, en nos païs ſa gloire est ſans ſeconde, Il a des ornemens priſez, de tout le monde, Et mille obiects d’amour ſe rangeans ſous ſa loy, Preferoient ſes vertus aux merites du Roy.	Madame, en nos pays sa gloire est sans seconde, Il a des ornements prisez, de tout le monde, Et mille objets d'amour se rangeants sous sa loi, Préferaient ses vertus aux mérites du Roi.
LA REINE.	LA REINE.
On a de mauuais yeux de le treuuer aimable.	On a de mauvais yeux de le trouver aimable.
Et ſa ſeule laideur me ſemble incomparable;	Et sa seule laideur me semble incomparable;
De Reo ſuont tout ue mnonue eſetme tes vertus En poſſede bien peu s’il n’en poſſede plus.	De Reo suont tout ue mnonue esétme tes vertus En possède bien peu s'il n'en possède plus.
ALCANDRE.	ÀLCANDRE.
Vos regards amoureux ont vne force exquiſe, Autant ſur la raiſon, comme ſur la franchiſe;	Vos regards amoureux ont une force exquise, Autant sur la raison, comme sur la franchise;
S’il n’a fait admirer ſon esprit en ces lieux, Blaſmez de ce défaut la grace de vos yeux.	S'il n'a fait admirer son esprit en ces lieux, Blâmez de ce défaut la grâce de vos yeux.
LA REINE.	LA REINE.
Si contre mes regards ſon ame eſt ſans deffence, Que n’ont-ils ſur la tienne vne égale puiſſance?	Si contre mes regards son âme est sans défense, Que n'ont-ils sur la tienne une égale puissance?
Et s’ils ont le pouuoir d’oſter le iugement, Comment le puis-ie ouir parler ſi ſainement?	Et s'ils ont le pouvoir d'ôter le jugement, Comment le puis-je ouïr parler si sainement?
An Ilu la De Les diſcours estouffez me mourroient dans la bouche, Vous me verriez muet comme l’est vne ſouche, Si ie vous regardois d’vn œil de paßion Si i'oſois eſperer vostre poſſeßion.	An Ilu la De Les discours étouffés me mourraient dans la bouche, Vous me verriez muet comme l'est une souche, Si je vous regardais d'un œil de passion Si j'osais espérer votre passion.
LA REINE.	LA REINE.
Que ton maiſtre n'eſt-il d’vn merite ſi rare?	Que ton maître n'est-il d'un mérite si rare?
Que le Ciel t'eſt prodigue, & la fortune auare?	Que le Ciel t'est prodigue, et la fortune avare?
Auec ſa dignité, que n'a-t’il ta vertu?	Avec sa dignité, que n'a-t-il ta vertu?
Ou que la meritant ne la poſſedes-tu?	Ou que la méritant ne la possèdes-tu?
BNVE En Hongrie.	BNVE En Hongrie.
LE ROY, Vn Page.	LE ROY, Un Page.
S M LE ROY.	SU M LE ROY.
Estache ton bandeau, fier Tyran de nos ames;	Étache ton bandeau, fier Tyran de nos âmes;
Peſe ma qualité, conſidere mes flames, Uoy qu'entre tes ſubiects vn Roy ſouffre le plus, Que i’ay cent fois receu la honte d’vn refus;	Pese ma qualité, considère mes flammes, Uoi qu'entre tes sujets un Roi souffre le plus, Que j'ai cent fois reçu la honte d'un refus;
Eſclaue infortuné d’vne de mes ſubjettes, I'ay cent fois découuert mes paſsions diſcrettes;	Esclaue infortuné d'une de mes sujettes, J'ai cent fois découvert mes passions discrettes;
I'ay pouſsé des ſouſpirs, i’ay languy, i'ay pleure;	J'ai poussé des soupirs, j'ai langui, j'ai pleure;
I'ay ſes yeux inhumains à genoux adoré, Et ie treuue touſiours ſon cœur inexorable:	J'ai ses yeux inhumains à genoux adoré, Et tu trouve toujours son cœur inexorable:
N'es-tu pas ſatisfaict, tyran impitoyable!	N'es-tu pas satisfait, tyran impitoyable!
Si tu n’as reſolu de me priuer du iour, Change bien tost cruel, ſa haine ou mon amour;	Si tu n'as résolu de me priver du jour, Change bien tôt cruel, sa haine ou mon amour;
Apres auoir poußé tant d’inutiles plaintes, Ie tente vne autre voye, & i’ay recours aux feintes;	Après avoir pouvé tant d'inutiles plaintes, Je tente une autre voie, et j'ai recours aux feintes;
Ie ſçay qu'Alcandre ſeul rend mon ſort mal-heureux.	Je sais qu'Alcandre seul rend mon sort malheureux.
Et qu'autant qu'elle l’aime, il en eſt amoureux.	Et qu'autant qu'elle l'aime, il en est amoureux.
S’ils s’aimoient vn peu moins, deux lettres ſuppoees Rendroient facilement leurs ames diuiſees, L’vn l’autre ſe croyans ſous l’Hymen aſſeruis, Ie verrois mes deſſeins d’vn doux effect ſuiuis:	S'ils s'aimaient un peu moins, deux lettres suppoees Rendraient facilement leurs âmes divises, L'vn l'autre se croyant sous l'Hymen asservis, Je verrais mes desseins d'un doux effet suivis:
Quoy qu’il doiue arriuer, ie ſonde ceſte voye, Alcandre aura dans peu la lettre que i'enuoye, Il reſte de porter à cét obiect charmant, Celle-cy que ie viens de tracer fraiſchement;	Quoi qu'il doive arriver, on sonde cette voie, Alcandre aura dans peu la lettre que j'envoie, Il reste de porter à cet objet charmant, Celle-cy que ainsi viens de tracer fraîchement;
L’ingrate, la iugeant de la main de mon frere, Croira que ſon Hymen ne ſe peut plus diſtraire;	L'ingrate, la jugeant de la main de mon frère, Croira que son Hymen ne se peut plus distraire;
Qu'elle doit eſtouffer des inutiles feux;	Qu'elle doit étouffer des inutiles feux;
Et ſe monstrer en fin plus ſenſible à mes vœux.	Et se montrer en fin plus sensible à mes vœux.
Comme luy, receuant l’autre eſcrit qu'on y porte, Et croyant qu’il vient d’elle, & que ſa flamme est morte, Que le nœud de l’Hymen l’a ſoubmis à monſort, Oublira ſes appas qu’il a cheris ſi fort.	Comme autre, recevant l'autre écrit qu'on y porte, Et croyant qu'il vient d'elle, et que sa flamme est morte, Que le nœud de l'Hymen l'a soumis à monsort, Oublira ses appas qu'il a chéris si fort.
Cours, porte ceste lettre à ceste ame cruelle, Et feints d'estre enuoyé de mon frere vers elle;	Cours, porte cette lettre à cette âme cruelle, Et feints d'être envoyé de mon frère vers elle;
Iure Ture de l’auoir veu ſous ce ioug ſe ranger, Et fonut ſe fon cumr ne pomiu pount changer.	Jure Ture de l'avoir vu sous ce joug se ranger, Et fonut se son cumr ne pomy pount changer.
Le Page prend la lettre, & va trouuer Roſelie.	Le Page prend la lettre, et va trouver Roselie.
n Ad ARIS, ARGANT.	n Ad ARIS, ARGANT.
ARIS.	ARIS.
Rgant, quelle infortune à la mienne eſt pareille?	Rgant, quelle infortune à la mienne est pareille?
Le Roy veut eſpouſer ceste ieunc merueille, Prés de la Reine außi tout eſpoir m'eſt oſté, Alcandre va ioüir de ſa rare beauté.	Le Roi veut épouser cette jeunc merveille, Près de la Reine aussi tout espoir m'est ôté, Alcandre va jouir de sa rare beauté.
ARGANT.	ARGANT.
Ie ſuis aiſe de voir voſtre eſperance vaine;	Je suis aise de voir votre espérance vaine;
Ie veux perdre le iour ſi ie plains voſtre peine, Le ſort vous fait encor vn traictement trop doux, Et iamais le mal-heur ne fut mieux deu qu’à vous;	Je veux perdre le jour si ici plains votre peine, Le sort vous fait encor un traitement trop doux, Et jamais le malheur ne fut mieux dev qu'à vous;
Ha!	Ha!
que vous ſçaueZ mal cognoiſtre la fortune, Son humeur d’obliger n'eſt pas trop importune, Ce qu'elle offre vne fois, elle ne l’offre plus, Lue n'à point ueux jois ia nonte u en refus.	que vous savez mal connaître la fortune, Son humeur d'obliger n'est pas trop importune, Ce qu'elle offrevne me, elle ne l'offre plus, Lue n'à point eux jois ia nonte en refus.
IS.	IS.
Ie voy les yeux vainqueurs qui m'ont l’ame rauie.	Je vois les yeux vainqueurs qui m'ont l'âme ravie.
ROSELIE, penſant eſtre ſeule.	ROSELIE, pensant être seule.
Quel deſaſtre ne cede à celuy de ma vie?	Quel désastre ne cède à celui de ma vie?
Alcandre, aimable obiect, tu n'es plus en ces lieux, El ialumiere encore eſt permiſe à mes yeux.	Alcandre, aimable objet, tu n'es plus en ces lieux, Él jalumière encore est permise à mes yeux.
Helas!	Hélas!
que me ſert-il d’en conſeruer l’vſage?	que me sert-il d'en conserver l'usage?
