LES AGTEVRS.	LES AGTEURS.
Ie viens de voir au Port & au bord de la Mer, S’il y à des Vaiſſeaux qui ſoient preſts à voguer, J'en ay rencontré vn, qui paſſe en Normandie Au Port de Cherebourg ſans nulle compagnie, Il part ſur la minuit, il ne faut pas tarder, Dans ſix heures d’icy, il faut l’aller trouuer.	Je viens de voir au Port et au bord de la Mer, S'il y a des Vaisseaux qui soient prêts à voguer, J'en ai rencontré un, qui passe en Normandie Au Port de Cherebourg sans nulle compagnie, Il part sur la minuit, il ne faut pas tarder, Dans six heures d'ici, il faut l'aller trouver.
CLAIR.	CLAIR.
Dieu!	Dieu!
que ie ſuis content, quels plaiſirs, quelle ioye Ie reſſens dans mon cœur de ſuiure ainſi la voye Que le Seigneur m'enſeigne:	que je suis content, quels plaisirs, quelle joie Je ressens dans mon cœur de suivre ainsi la voie Que le Seigneur m'enseigne:
hé quel pluſgrãd bonheur Que de ſeruir à Dieu, que de plaire au Seigneur, Attendons, cher amy, que la nuit auancée Nous conuie de partir a l’heure deſtinée,	hé quel plusgrãd bonheur Que de servir à Dieu, que de plaire au Seigneur, Attendons, cher ami, que la nuit avancée Nous convie de partir a l'heure destinée,
L’ANGE.	L'ANGE.
Clair, Clair, l’heure eſt venuë, il est temps de ſortir, Le vaiſſeau eſt tout preſt qui t’attent pour partir, Dieu veut pour le ſeruir que tu paſſe en Neuſtrie Pays de pieté, pour acheuer ta vie, Jl guidera tes pas, il ſera ton ſecours, Jl ne te faut auoir ailleurs d’autre recours:	Clair, Clair, l'heure est venue, il est temps de sortir, Le vaisseau est tout prêt qui t'attent pour partir, Dieu veut pour le servir que tu passe en Neustrie Pays de piété, pour achever ta vie, Il guidera tes pas, il sera ton secours, Jl ne te faut avoir ailleurs d'autre recours:
Jl ne permet iamais que les ſiens on offence, Il eſt leur bouclier, il leur ſert de deffence, Puiſque tu mets en luy ton ſalut, ton eſpoir, Ne crains de l’Ennemy aucun mal receuoir:	Il ne permet jamais que les siens on offense, Il est leur bouclier, il leur sert dé sensé, Puisque tu mets en lui ton salut, ton espoir, Ne crains de l'Ennemi aucun mal recevoir:
Les filets des veneurs ſous ſa garde fidelle, N e t’atraperont point tu feras ſous ſon aiſte, Le Diable du midy qui fait trembler le cœur, Paſſera prés de toy ſans te donner de peur, Sans aprocher de toy ſa volante ſagette En fera mourir mille & dix mille de peſte;	Les filets des veneurs sous sa garde fidèle, N atraperont point tu feras sous son aite, Le Diable du midi qui fait trembler le cœur, Passera près de toi sans te donner de peur, Sans approcher de toi sa volante sagette En fera mourir mille et dix mille de peste;
Tous ces maux ſont pour ceux qui l’auront offencé, Non pour torauiiamais u	Tous ces maux sont pour ceux qui l'auront offensé, Non pour torauiiamais 
Pour te mieux conſeruer il commande à ſes Anges Quelque part que tu ſois par leurs effets estranges, Qu'ils te gardent touſiours, te portans en leurs mains.	Pour te mieux conserver il commande à ses Anges Quelque part que tu sois par leurs effets étranges, Qu'ils te gardent toujours, te portant en leurs mains.
Pour viure en ſeureté parmy tous les humains, Tu marcheras hardy, & ſans peur ſur la teste Du ſerpent, de l’aspic, & deſſus ceſte beſte Qui tuë l’homme de l’œil, & de crainte & d’effroy.	Pour vivre en sûreté parmi tous les humains, Tu marcheras hardi, et sans peur sur la tête Du serpent, de l'aspic, et dessus cette bête Qui tue l'homme de l'œil, et de crainte et d'effroi.
Les Lyons, les Dragons, s’enfuiront deuant toy, Puiſque tu ayme Dieu & ſuis ſes ordonnances, Et qu’en luy ſeul tu mets toutes tes esperances, Il ſera auec toy, dans ton affliction, Et te retirera de tribulation;	Les Lyons, les Dragons, s'enfuiront devant toi, Puisque tu aime Dieu et suis ses ordonnances, Et qu'en Elle seul tu mets toutes tes espérances, Il sera avec toi, dans ton affliction, Et te retirera de tribulation;
Opresauoir rempiy de piuſtur siours ta vie, Et que tu n’auras plus de viure aucune enuie, Jl te glorifiera & mettra dans les Cieux, Pour eſtre à tout iamais auec les bien-heureux.	Oprésavoir rempii de piustur siours ta vie, Et que tu n'auras plus de vivre aucune envie, Jl te glorifiera et mettra dans les Cieux, Pour chang à tout jamais auec les bienheureux.
CLAIR.	CLAIR.
Ie t’entends, mon Seigneur, tu frapes à ma porte, J'obeis à ta voix & par tout où me porte.	Je t'entends, mon Seigneur, tu frappes à ma porte, J'obéis à ta voix et par tout où me porte.
Ton ſaint Eſprit ie vay:	Ton saint Esprit On vay:
Allons cher compagnon, Obeïſſons à Dieu, mourrons pour ſon ſaint Nom, Laiſſons la part de Marthe -faiuone laugueteine, C’est le chemin du Ciel, le trauaille & la peine, Ayant Dieu pour objet de nos affections, Il nous conſolera dans nos aſſlictions.	Allons cher compagnon, Obeissons à Dieu, mourrons pour son saint Nom, Laissons la part de Marthe -faiuone laugueteine, C'est le chemin du Ciel, le travaille et la peine, Ayant Dieu pour objet de nos affections, Il nous consolera dans nos asslictions.
L'AFFIDE’E ſcule.	L'AFFIDÉ scule.
Vous m'auez donc laißée, chere ame de mon ame Seule ſans reconfort, embrazée de la flamme De nos chaſtes amours;	Vous m'avez donc laisse, chère âme de mon âme Seule sans réconfort, embrasée de la flamme De nos chastes amours;
quoy la belle amitié Que vous m’auieZ promiſe, eſt-elle ſans pitié?	quoi la belle amitié Que vous m'aviez promise, est-elle sans pitié?
M’abandonnereZ-vous au printemps de mon aage, Sans auoir conſommé nostre ſainct mariage?	M'abandonnerez-vous au printemps de mon âge, Sans avoir consommé notre saint mariage?
Que ne me diſieZ-vous en partant le deſſein Que vous auiez, d’aller viure en pais loingtain, Ie vous euſſe ſuiuie pour acheuer ma vie Chaſtement auec vous ainſi que fit Tobie Les trois premieres nuits que l’Ange commanda De n’aprocher iamais de la belle Sara.	Que ne me disiez-vous en partant le dessein Que vous aviez, d'aller vivre en pais loin, Je vous eusse suivie pour achever ma vie Chastement avec vous ainsi que fit Tobie Les trois premières nuits que l'Ange commanda De n'aprocher jamais de la belle Sara.
Ie viurois comme vous dans la pudicité.	Je vivrais comme vous dans la pudicité.
Gardant inceſſamment le vœu de chaſteté, 4 Jl s’eſt veu deuant nous pluſieurs grands perſonnages Garder le celibat dans leurs ſaints mariages.	Gardant incessamment le vœu de chasteté, 4 Il s'est vu devant nous plusieurs grands personnages Garder le célibat dans leurs saints mariages.
Mais en vain ces regrets, en vain tous ces ſouſpirs Qui s’enuolent en l’air ſur l’aisle des Zephirs, Mon eſpoux ne peut plus entendre ces complaintes, Quitons-là les ſanglots, les regrets & les plaintes, Mourons, où le trouuons, & qu'vn meſme cercueïl Nous enſerre tous deux pour y finir mon deüil.	Mais en vain ces regrets, en vain tous ces soupirs Qui s'envolent en l'air sur l'Île des Zéphirs, Mon époux ne peut plus entendre ces complaintes, Quitons-là les sanglots, les regrets et les plaintes, Mourons, où le trouvons, et qu'un même cercueil Nous enserre tous deux pour y finir mon deüil.
Hé!	Hé!
que dis-ie grand Dieu, & quelle eſt ma pensée De vouloir reſister par vne ame inſensée, A tes ſacreZ decrets:	que dis-je grand Dieu, et quelle est ma pensée De vouloir résister par une âme insensée, À tes sacrés décrets:
Quoy mes folles amours T’importunerout-ils de profa nes diſcours:	Quoi mes folles amours T'importunérout-ils de profa nés discours:
Mon Espoux m'a quittée, ſon pays & ſon pere, Pour viure auecque toy en vn lieu ſolitaire, Et ie plaindray mon ſort, & ie plaindray le ſien:	Mon Époux m'a quittée, son pays et son père, Pour vivre auecque toi en un lieu solitaire, Et apprendre plaindrai mon sort, et et pleindrai le sien:
Ne le permets Seigneur, ains faits que ce lien Qui nous ioignit tous deux par vn ſaint Hymenée, Inuiolable ſoit malgré la deſtinée, Qu’il viue chaſtement le reſte de ſes iours, Que ma dolente vie acheue außi le cours, (S’ans autre Espoux que luy) de ſes triſtes années, Et quand viendra la fin des heures deſtinées Qu’il nous faudra partir, nous puißions glorieux Morts en vn meſme iour, nous reuoir dans les Cieux:	Ne le permets Seigneur, ains faits que ce lien Qui nous joignit tous deux par un saint Hyménée, Inuiolable soit malgré la destinée, Qu'il vive chastement le reste de ses jours, Que ma dolente vie achève aussi le cours, (S ans autre Époux que lui) de ses tristes années, Et quand viendra la fin des heures destinées Qu'il nous faudra partir, nous puissions glorieux Morts en un même jour, nous revoir dans les Cieux:
Cependant ie m'en vay, comme luy ſolitaire Pour acheuer mes ans dedans vn Monaſtere.	Cependant mille m'en vay, comme lui solitaire Pour achever mes ans dedans un Monastere.
S J L TV SECONDE.	 SON LU SECONDE.
CLAIR, CIRIN.	CLAIR, CIRIN.
H	H
CLAIR.	CLAIR.
E ne fut pas aſſez, iadis au peuple Hebrieu.	E ne fut pas assez, jadis au peuple Hebrieu.
De quitter Pharaon pour aller ſeruir Dieu Dedans la Paleſtine, & dans les Jdumées, Fallut franchir la mer, & par quarante années, Viure dans les deſerts de la manne du Ciel, Pain acouis par priere, & plus doux que le miel.	De quitter Pharaon pour aller servir Dieu Dedans la Palestine, et dans les Jdumées, Fallut franchir la mer, et par quarante années, Vivre dans les déserts de la manne du Ciel, Pain yrouis par prière, et plus doux que le miel.
Jl ne ſuffiſoit pas que Dauid priſt la fonde Pour vaincre Goliat, & qu’vne playe profonde Le renuerſaſt par terre, il fallut que ſon bras Vaillant trenchaſt la teſte auec ſon coutelas.	Il ne suffisait pas que David prît la fonde Pour vaincre Goliat, et qu'une plaie profonde Le renversât par terre, il fallut que son bras Vaillant trenchât la tête avec son coutelas.
eſte ſaincte iadis pour deliurer ſa ville, N’auoit pas aſſeZ fait de pareſtre gentille Aux yeux du Vice-Roy, il fallut que ſa main D'vn coup hardy tuaſt ceTyran inhumain, Et qu’elle remportaſt dans ſa ville aßiegée La teste qu’elle auoit tranchée de ſon eſpée.	este sainte jadis pour délivrer sa ville, N'avait pas assez fait de paraître gentille Aux yeux du Vice-Rois, il fallut que sa main D'un coup hardi tuât ceTyran inhumain, Et qu'elle remportât dans sa ville assiegée La tête qu'elle avait tranchée de son épée.
Jl ne nous ſuffit pas fidelle compagnon, D’eſtre dans ces deſerts hors de noſtre maiſon Pour obtenir de Dieu ſa grace ſuffiſante Si courageuſement d’vne ame obeyſſante Nous ne cooperons à ſa vocation Par peine, par trauaux, par tribulation, Pour acquerir enfin cette vie eternelle, Qu’il promet à celuy qui luy reſte fidelle.	Il ne nous suffit pas fidèle compagnon, D'être dans ces déserts hors de notre maison Pour obtenir de Dieu sa grâce suffisante Si courageusement d'une âme obéissante Nous ne coopérons à sa vocation Par peine, par travaux, par tribulation, Pour acquérir enfin cette vie éternelle, Qu'il promet à celui qui te reste fidèle.
Pourquey cisees jorejii O ceuuymable lieu Ie ſuis tout reſolu de ſeruir à mon Dieu, Exempt des vanitez ie n’ay plus nulle enuie De voir iamais le monde, ains de paſſer ma vie Content dans ces deſerts:	Pourquei cize jorejà-JOUR ceuvimable lieu Je suis tout résolu de servir à mon Dieu, Exempt des vanités femme n'ai plus nulle envie De voir jamais le monde, ains de passer ma vie Content dans ces déserts:
& toy ſi tu me croy, Tu feras le ſemblable, & viuras comme moy,	et toi si tu me crois, Tu feras le semblable, et vivras comme moi,
CIRIN.	CIRIN.
C’eſt ce que ie pretends, ie vay dans ce boccage De ce pas, pour baſtir mon petit hermitage,	C'est ce que ici prétends, on vais dans ce bocage De ce pas, pour bâtir mon petit hermitage,
CLAIR.	CLAIR.
Le Seigneur ſoit loüé, ie vay prendre le ſoin D’en faire un comme toy, qui ſoit vn peu plus loin, Afin que ſeparez dans ces lieux ſolitaires T uis libres nous puißions vaquer à nos prieres, Adieu donc pour vn temps, car il faut chaque mou Nous voir & conſoler vne fois dans ce bois.	Le Seigneur soit loué, votre vais prendre le soin D'en faire un comme toi, qui soit un peu plus loin, Afin que séparés dans ces lieux solitaires T uis libres nous puissions vaquer à nos prières, Adieu donc pour un temps, car il faut chaque mou Nous voir et consoler une fois dans ce bois.
S D T TROISIESME.	S DE -T TROISIÈME.
CLAIR, & le Seruiteur des Hermites.	CLAIR, et le Serviteur des Hermites.
CLAIR ſeul.	CLAIR seul.
Aint Esprit monstre-moy le lieu où tu deſire teſtre-OQue ie paſſe mes tours, & ſeul ie me retire.	Aint Esprit montre-moi le lieu où tu désire testre-OQue femme passe mes tours, et seul homme me retire.
Le Seruiteur des Hermites.	Le Serviteur des Hermites.
inemẽt.	inement.
Grand amy de mon Dieu, qui par icy paſſez, AyeZpitié de moy, venez, & guariſſeZ Ce pauure ſeruiteur qu’vne troupe inſensée A voulu aſſommer a grands couns de coignée.	Grand ami de mon Dieu, qui par ici passez, Ayezpitié de moi, venez, et garissez Ce pauvre serviteur qu'une troupe insensée A voulu assommer à grands couns de coignée.
CLAIR.	CLAIR.
Qu'eſpere-tu de moy, ie ſuis pauure pecheur, Qui n’ay d’autre pouuoir que plaindre le malheur Qui te vient d’arriuer:	Qu'espère-tu de moi, je suis pauvre pécheur, Qui n'ai d'autre pouvoir que plaindre le malheur Qui te vient d'arriver:
Si tu veux deliurance De tes maux, c'eſt Dieu ſeul par ſà toute-Puiſſance Qui te peut garantir,	Si tu veux délivrance De tes maux, c'est Dieu seul par sà toute-Puissance Qui te peut garantir,
Le Seruiteur.	Le Serviteur.
J'espere tant en vous, Si voulez à l’inſtant vous guarireZ mes coups.	J'espère tant en vous, Si voulez à l'instant vous garirez mes coups.
CLAIR.	CLAIR.
Puiſque tu as en moy quelque peu d'esperance, Il faut, s’il plaiſt à Dieu, te donner allegeance.	Puisque tu as en moi quelque peu d'espérance, Il faut, s'il plaît à Dieu, te donner allégeance.
Au Nom du Pere, ſois, du Fils, du Sainct Eſprit quary preſentement:	Au Nom du Père, sois, du Fils, du Saint Esprit quari présentement:
mais n'en fais point de bruit, fe ſuis vn penitent, qui ne veut pas qu’on ſçache ue ie ſuis en ce lieu, du peuple ie me cache, Retire-toy en paix, & loüe le tout-Puiſſant, Qui s’eſt ſeruy de moy pour ton contentement,	mais n'en fais point de bruit, se suis un pénitent, qui ne veut pas qu'on sçache ue ie suis en ce lieu, du peuple enfin me cache, Retire-toi en paix, et loue le tout-Puissant, Qui s'est servi de moi pour ton contentement,
Le Seruiteur guary.	Le Serviteur gary.
Beniſt ſoit le Seigueur, & ſa miſericorde, Dieu de benignité, de paix, & de concorde.	Bénist soit le Seigueur, et sa miséricorde, Dieu de bénignité, de paix, et de concorde.
12 4 * N TROISPESME.	12 4 * N ROISPESME.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
CLAIR, &ODEBERT Abbé.	CLAIR, ETODEBERT Abé.
CLAIR parlant à Odebert.	CLAIR parlant à Odebert.
E m’estois retiré à l’eſcart dans ce lieu, LEſloigne de tout bruit pour ſeruir à mon Dieu, L’agreable douceur de ceſte vie plaiſante Eſtoit à mon esprit ſi chere & rauiſſante, Que i’euſſe preferé cet aymable ſeiour A tous les vains plaiſirs qu’on reçoit à la Cour.	EST m'étais retiré à l'écart dans ce lieu, LÉloigne de tout bruit pour servir à mon Dieu, L'agréable douceur de cette vie plaisante Était à mon esprit si chère et ravissante, Que j'eusse préféré cet aimable séjour A tous les vains plaisirs qu'on reçoit à la Cour.
Depuis peu l’ennemy commun de tous les hommes Quopramues parens ſeduit auec des pommes, Enuieux de mon bien, jaloux de mon repos, M’enuoye à tous moments quelqu’vn de ſes ſupoſts, Pour me perſuader & pour me faire croire Que i’ay quelque merite, & d’vne vaine gloire Charmer mon iugement, & me faire pecheur Tomber dans les filets de ce ruse trompeur:	Depuis peu l'ennemi commun de tous les hommes Quopramues parents séduit avec des pommes, Enveux de mon bien, jaloux de mon repos, M'envoie à tous moments quelqu'un de ses supôts, Pour me persuader et pour me faire croire Que j'ai quelque mérite, et d'une vaine gloire Charmer mon jugement, et me faire pécheur Tomber dans les filets de ce ruse trompeur:
Ce qu’ayant recognu, pour éuiter ce piege, Ie voudrois grand Abbé viure dans ton College:	Ce qu'ayant reconnu, pour éviter ce piège, Je voudrais grand Abé vivre dans ton Collège:
Que ie ſerois content, que ie ſerois heureux Si tu me receuois comme vn Religieux, Ou plutoſt incognu, comme vn pauure Nouice, Pour ta regle obſeruer, & faire l’exercice D'vn ſimple frere lay, helas i'éuiterois Ses importans cajols, que i’ay dedans ces bois.	Que était serais content, que ainsi serais heureux Si tu me receuois comme un Religieux, Ou plutôt inconnu, comme un pauvre Novice, Pour ta règle observer, et faire l'exercice D'un simple frère lay, hélas j'éviterais Ses importants cajols, que j'ai dedans ces bois.
ODEBERT.	ODEBERT.
Ton diſcours, ton maintien, me fait aſſez paroiſtre, Et ton humilité aſſeZ bien recognoiſtre, Que tes œuures vn iour dans ce petit Conuent Feront voir le pouuoir du grand Dieu Tout-puiſſant, Et que ce ſeducteur qui te fait tant la guerre, Par toy ſera vaincu & renuersé par terre, Il faut preſentement puis qu’ainſi tu le veux, Que tu prennes l’habit & ſois Religieux:	Ton discours, ton maintien, me fait assez paraître, Et ton humilité assez bien reconnaître, Que tes œuvres un jour dans ce petit Convent Feront voir le pouvoir du grand Dieu Tout-puissant, Et que ce séducteur qui te fait tant la guerre, Par toi sera vaincu et renversé par terre, Il faut présentement puis qu'ainsi tu le veux, Que tu prennes l'habit et sois Religieux:
Reçois donc, moncher fils, ceſte riche veſture Qui plaiſt à l’Eternel bien plus que la dorure De tous les courtiſans;	Reçois donc, moncher fils, cette riche vêture Qui plaît à l'Éternel bien plus que la dorure De tous les courtisans;
dedans ceſte maiſon Ie ſouhaite qu’en pleurs, qu’en ieuſne, en oraiſon Tu finiſſe tes iours, & qu’apres mainte année Ton esprit bien-heureux volle au Ciel empirée:	dedans cette maison Je souhaite qu'en pleurs, qu'en jeûne, en oraison Tu finisse tes jours, et qu'après mainte année Ton esprit bienheureux volle au Ciel empirée:
Voila tous mes deſirs, ſont icy tous les vœux 8 e i’addreſſe au grand Dieu pour mes Religieux.	Voilà tous mes désirs, sont ici tous les vœux 8 eu j'adresse au grand Dieu pour mes Religieux.
C	Ç
CLAIR.	CLAIR.
Je le prens de bon cœur & vous en remercie, Ie veux dans ce Conuent paracheuer ma vie, Dieu veüille que iamais ie ne mette en oubly Tes preceptes ſi ſaints;	Je le prends de bon cœur et vous en remercie, Je veux dans ce Convent parachever ma vie, Dieu veuille que jamais grande ne mette en oubli Tes préceptes si saints;
& ſois enſeuely Auec ce chaste habit, que touſiours ie demeure Dans la Religion;	et sois enseveli Avec ce chaste habit, que toujours avoir demeure Dans la Religion;
& que i’y viue & meure.	et que j'y vive et meure.
SCENESECONDE.	SCENESECONDE.
Le Gentilhomme poſſedé & ſes Amis.	Le Gentilhomme possédé et ses Amis.
Afin que le Demon le quitte, & qu’en l’Enfer Il ſe reiire pontenx auecque Lucijer.	Afin que le Démon le quitte, et qu'en l'Enfer Il se rejire pontenx auecque Lucijer.
ODERERT.	ODERT.
Pntrt Ctatrt eſt u vous que cet nomme s’addreſſe, Chaſſez, preſentement cét esprit qui l’oppreſſe.	Pntrât Ctatrt est u vous que cet nomme s'adresse, Chassez, présentement cet esprit qui l'oppresse.
CLAIR.	CLAIR.
Voulez-vous que pecheur, ie face deuant vous, Le Paſteur & l’Abbé, que ie chaſſe les Loups Du troupeau de Jeſus, & qu’en voſtre preſence Je fauſſe inſolemment le vœu d’obedience:	Voulez-vous que pécheur, ie face devant vous, Le Pasteur et l'Abé, que ici chasse les Loups Du troupeau de Jésus, et qu'en votre présence Je fausse insolemment le vœu d'obédience:
Cilſee tamais anee Helle ne ſh Miracle, ny vertus, pendant qu’il le ſuiuit, C’eſt à vous mon Abbé, par vos ſainctes prieres A deliurer ce corps de toûtes ſes miſerès.	Cilée tamais ane Helle ne souh Miracle, ni vertus, pendant qu'il le suivit, C'est à vous mon Abbé, par vos sainte prières A délivrer ce corps de toûtes ses misères.
ODEBERT.	ODEBERT.
Dieu veut que ſes Eſleus marchent ſur les ſerpens, Et que s’ils ſont attaints du venin de leurs dents, Ils n'en ſoient point bleſſeZ:	Dieu veut que ses Élus marchent sur les serpens, Et que s'ils sont attaints du venin de leurs dents, Ils n'en soient point blessés:
s’ils poſent ſur la teſte Des malades leurs mains, quand ce ſeroit de peſte Ils en ſoient deliurez?	s'ils posent sur la tête Des malades leurs mains, quand ce serait de peste Ils en soient deliurez?
qu’ils chaſſent le Demon Des corps des poſſedez en inuoquant ſon Nom, Il leur donne pouuoir d’obtenir la victoire Sur le monde & l’Enfer pour faire voir ſa gloire, En ſa preſence il veut, ſans flette & ſans batteaux S Que ſainct Pierre hardy, marche deſſus les ȩaux, Qu'Helisée redonne à l’orphelin la vie Que l’impiteuſe mort luy a trop toſt rauie;	qu'ils chassent le Démon Des corps des possédés en invoquant son Nom, Il leur donne pouvoir d'obtenir la victoire Sur le monde et l'Enfer pour faire voir sa gloire, En sa présence il veut, sans flette et sans batteaux S Que aint Pierre hardi, marche dessus les ȩaux, Qu'Helisée redonne orphelin la vie Que impiteuse mort lui a trop tôt rauie;
Et vous ne vouleZ pas obeir à ſa voix Et le glorifier:	Et vous ne voulez pas obéir à sa voix Et le glorifier:
Non c’eſt à ceſte fois Mon frere qu’il eſt temps que vous faßieZ paroiſtre Le pouuoir abſolu qu'à noſtre puiſſant maiſtre Sur ces malins eſprits qui oſent aprocher De l’homme redimé par vn rachapt ſi cher, Que le Sang du Sauueur, qui pour ſauuer les hommes, Mourut en la Croix!	Non c'est à cette fois Mon frère qu'il est temps que vous fassiez paraître Le pouvoir absolu qu'à notre puissant maître Sur ces malins esprits qui osent approcher De l'homme redimé par un rachappt si cher, Que le Sang du Sauveur, qui pour sauver les hommes, Mourut en la Croix!
ô chetifs que nous ſommes, Utuouecogmgon paus biens qu’il nous a faits, Nous le payons ingrats de crimes, de forfaits:	ô chétifs que nous sommes, Utuouecogmgon pays bien qu'il nous a faits, Nous le payons ingrats de crimes, de forfaits:
Non, non, ne craignez, point ayez en Dieu fiance, Car ce que vous ferez eſt par obedience.	Non, non, ne craignez, point ayez en Dieu fiance, Car ce que vous ferez est par obédience.
CLAIR.	CLAIR.
Puis que le deſirez ie veux vous obeïr, Nous ne deuons iamais à Dieu deſobeir, Soit-il glorifié!	Puis que le désirez rien veux vous obéir, Nous ne devons jamais à Dieu désobéir, Soit-il glorifié!
ô bonté infinie, Qui as de Daniel ſceu conſeruer la vie Au milieu des Lyons qui n’oſerent toucher A ce Prophete Sainct, ny meſme l’aprocher, Seigneur qui as tiré ſans douceur & ſans peine Le Prophete Ionas du corps de la baleine:	ô bonté infinie, Qui as de Daniel su conserver la vie Au milieu des Lyons qui n'osèrent toucher À ce Prophète Saint, ni Seigneur l'approcher, Seigneur qui as tiré sans douceur et sans peine Le Prophète Ionas du corps de la baleine:
Du peuple, & des vieillards pleins de lubricité De Suſanne as gardé la vie, la chaſteté:	Du peuple, et des vieillards pleins de lubricité De Susanne as gardé la vie, la chasteté:
Ces Anges orgueilleux, ces ingrats ces rebelles, Pour punir à iamais de peines eternelles, 4 Leur viue ambition, les as precipités Dans le fonds des Enfers qu’ils auoient meritès:	Ces Anges orgueilleux, ces ingrats ces rebelles, Pour punir à jamais de peines éternelles, 4 Leur vive ambition, les as précipités Dans le fonds des Enfers qu'ils avaient mérités:
Exauce ma priere, oy les pleurs & la plainte De ce pauure inſensé de qui l’ame eſt attainte Du Diable & du peché, renuoye ce Demon Enuieux de ta gloire, & ialoux de ton Nom, Et que ce poſſedé en paix & en concorde S tis reroninle runpey de lamejerleorde Et qu’außi deliuré, par vn ſi grand bien-fait Jl recognoiſſe enfin ſon crime & ſon forſait.	Exauce ma prière, oi les pleurs et la plainte De ce pauvre insensé de qui l'âme est attainte Du Diable et du péché, renvoie ce Démon Enveux de ta gloire, et jaloux de ton Nom, Et que ce possédé en paix et en concorde SO tis reroninle runpei de lamejerleorde Et qu'avez délivré, par un si grand bien-fait Jl reconnaisse enfin son crime et son forsait.
Le Poſſedé.	Le Possédé.
Je vous renes grace, o Dieu, mon ame eſt deliurée De ce malin esprit qui l’auoit poſſedée Quel miracle est-ce icy!	Je vous renes grâce, ô Dieu, mon âme est délivrée De ce malin esprit qui l'avait possédée Quel miracle est-ce ici!
ô bon Religieux Ie ſuis par vos vertus tres-content, tres-heureux.	ô bon Religieux Je suis par vos vertus très-content, très-heureux.
CLAIR.	CLAIR.
Mon fils retirez-vous & faites penitence, Ayez, toûjours de Dieu vne ferme croyance.	Mon fils retirez-vous et faites pénitence, Ayez, toujours de Dieu une ferme croyance.
– 3	 3
R R2 TROISIESME.	 R2 TROISIÈME.
Les deux Hermites, & leur Seruiteur guary, CLAIR, & ODEBERT Abbé.	Les deux Hermites, et leur Serviteur gary, CLAIR, et ODEBERT Abé.
Les deux Hermites.	Les deux Hermites.
I Ous ne voulons ingrats reſſembler aux Lepreux N Qui de dix qu’ils eſtoient, il n’en reuint qu’vn Aimereler lejas detn umernnes.	I Jus ne voulons ingrats ressembler aux Lépreux N Qui de dix qu'ils étaient, il n'en revint qu'un Aimèreler léjas détn es.
d'eux Nous y venons tous trois rendre honneur de la vie Que vous aueZ donnée à noſtre ſeruiteur Qui eſtoit accablé d’vn funeſte malheur.	d'eux Nous y venons tous trois rendre honneur de la vie Que vous avez donnée à notre serviteur Qui était accablé d'un este malheur.
CLAIR.	CLAIR.
Jl a fait comme fit le ſourd de l'Euangile Qui alla publier & dire par la ville Ieſus-Chriſt m’a guari, qui n’auoit pas voulu Que ce rare miracle euſt eſté d’aucun ſçeu, Il m’auoit bien promis de ne dire à perſonne t Ce que Dieu luy a fait;	Il a fait comme fit le sourd de l'Euangile Qui alla publier et dire par la ville Jésus-Christ m'a gary, qui n'avait pas voulu Que ce rare miracle eût été d'aucun su, Il m'avait bien promis de ne dire à personne t Ce que Dieu y a fait;
mais ce qui plus m’eſtonne Eſt que vous le ſçaueZ, & que venez, pieux, En rendre les honneurs à vn Religieux, Ces honneurs ne ſont deubs, ny à nous, nyaux Anges, A Dieu ſeul apartient ce los & ces louanges.	mais ce qui plus m'étonne Est que vous le savez, et que venez, pieux, En rendre les honneurs à un Religieux, Ces honneurs ne sont devbs, ni à nous, niaux Anges, À Dieu seul appartient ce los et ces louanges.
Colloque des Hermites auec Clair & Odebert.	Colloque des Hermites avec Clair et Odebert.
Les Hermites.	Les Hermites.
Le fauory du Ciel qui viuez parmy nous Dans ces ſombres forests, faites que comme vous, Par vos ſages conſeils nous paßions nostre vie En la grace de Dieu exempts de toute enuie Que le Diable iamais à nul de nous, pecheur, Ne faſſe tranſgreſſer la loy du Createur.	Le favori du Ciel qui vivez parmi nous Dans ces sombres forêts, faites que comme vous, Par vos sages conseils nous passions nôtre vie En la grâce de Dieu exempts de toute envie Que le Diable jamais à nul de nous, pécheur, Ne fasse transgresser la loi du Createur.
CLAIR.	CLAIR.
Vn goujat ne peut pas à degrands Cnpitaines (Qui ont vaillans vieilly ſouz le faix & les peines De Bellonne & de Mars) leur dire la façon De viure dans laguerre, & leurfaire leçon:	Un goujat ne peut pas à degrands Cnpitaines (Qui ont vaillants vieillis sous le faix et les peines De Bellonne et de Mars) leur dire la façon De vivre dans laguerre, et leurfaire leçon:
Ie ne peux pas nouice à des experts Gendarmes Enſeigner comme il faut reſiſter aux alarmes Et aux tentations que nous liure l’Enfer, Satan & les ſupoſts du ſubtil Lucifer:	Je ne peux pas nouvice à des experts Gendarmes Enseigner comme il faut résister aux alarmes Et aux tentations que nous livre l'Enfer, Satan et les supôts du subtil Lucifer:
Vous qui dans ces deſerts, dans ces bois, dans ces landes Eſtes bien recognus pour les antiques bandes De l’armée du Sauueur, & qui deſia griſons, Auez cent fois vaincu daus vos pauures maiſons Noſtre ennemy cõmun:	Vous qui dans ces déserts, dans ces bois, dans ces landes Estes bien reconnus pour les antiques bandes De l'armée du Sauveur, et qui déjà grisons, Avez cent fois vaincu daus vos pauvres maisons Notre ennemi cõmun:
