E neldotte pocolter :	E neldotte pocolter :
Allons, belle allons voir, ce Phenix des Guerriers, Qui a le chef orné dt cent mitit, Lauriers.	Allons, belle allons voir, ce Phénix des Guerriers, Qui a le chef orné d cent mitit, Lauriers.
VCIE.	VCIE.
Ne vous eſtonneZ pas adorable Pucelle, Si nous vous conduiſons à nôtre cheffidelle.	Ne vous étonnez pas adorable Pucelle, Si nous vous conduisons à notre cheffidèle.
Car ſi toſt qu’il aura contemplé vos beaux yeux, Plus clairs que le Soleil, qui brille dans les cieux, Et l’eſclat rauiſſant de voſtre belle face, Vous treuuereZ en luy honneur, faueur, & grace, Son cœur d’vn ſi beau feu ſera toſt enflanmé, Ce Prince aime beaucoup, mais il veut eſtre aimé.	Car si tôt qu'il aura contempé vos beaux yeux, Plus clairs que le Soleil, qui brille dans les cieux, Et l'éclat ravissant de votre belle face, Vous treuuereZ en avait honneur, faveur, et grâce, Son cœur d'un si beau feu sera tôt enflanmé, Ce Prince aime beaucoup, mais il veut être aimé.
SAINCTE REYNE.	SAINCTE REINE.
Si le grand Dieu me ſert de phâre & de guide, Il ne me laiſſera de ſon ſainct ſecours vuide, Et les grands de la terre auec tout le pounoir, Sont de toibles moyens pour mon cœur eſmouuoir.	Si le grand Dieu me sert de phâtre et de guide, Il ne me laissera de son saint secours vide, Et les grands de la terre avec tout le pounoir, Sont de toibles moyens pour mon cœur émouvoir.
CEREV, LVCIE, OLIBRE, FVLCE, ETIE, LVCIE preſentant Ste.	CEREU, LUCIE, OLIBRE, FULCE, ETIE, LUCIE présentant Ste.
Reyne à OLIBRE.	Reine à OLIBRE.
JOicy braue Seigneur, le Soleil radieux, Tout brillãt de clarté, le paradis des yeux, La lumiere des cœurs en merueilles jetende, Qui par ſes chauds regards ẽbraZe tout le mõde, Voicy celle qui peut par ſes diuins attraits, Trãſpercer voſtre eſprit de mille & mille traits.	JOici brave Seigneur, le Soleil radieux, Tout brillãt de clarté, le paradis des yeux, La lumière des cœurs en merveilles jetende, Qui par ses chauds regards ẽbraZe tout le monde, Voici celle qui peut par ses divins attraits, Transpercer votre esprit de mille et mille traits.
OLIBRE.	OLIBRE.
Pais moy donc approcher cette belle Pucelle, Ie la veux contempler & voir ſi elle eſt telle, Comme tu la dêpeint, Soldats approchez vous, Eſt-ce là cét objet ſi charmant, & ſi doux.	Pais -moi donc approcher cette belle Pucelle, Je la veux contempler et voir si elle est telle, Comme tu la dépeint, Soldats approchez vous, Est-ce là cet objet si charmant, et si doux.
VLCE.	VLCE.
ReceueZ brane Chef, receueZ puiſſant Prince, Ce Phenix des beautez, l’honneur de ſa Prouince, Le ſiege de l’amour, & des perfections, Pour le gage aſſeuré de nos affections, Nous disje qui n’auons de plus cheres enuies, Que d’employer pour vous noſtre sãg, & nos vies.	Recevez brane Chef, receueZ puissant Prince, Ce Phénix des beautés, l'honneur de sa Province, Le siège de l'amour, et des perfections, Pour le gage assuré de nos affections, Nous disje qui n'avons de plus chères envies, Que d'employer pour vous notre sièg, et nos vies.
OLIBRE.	OLIBRE.
Ie vons en remercie, & vous promets Meſſieurs, Que de deux Regiments vous ſereZ poceſſeurs.	Je vonds en remercie, et vous promets Messieurs, Que de deux Régiments vous serez pocesseurs.
SCENE VI.	SCÈNE VI.
OLIBRE parlant à Ste.	OLIBRE parlant à Ste.
Reyne, FVLCE.	Reine, FULCE.
OLIBRE.	OLIBRE.
Elle dont la beauté entre les filles luit, D Comme l’aſtre du iour, ſur les feux de la nuit Dites moy(s il vons plaiſi jà ou Vous eſtes fortie, Quel eſt le Dieu qui tient voſtre ame aſſujettie, Et que vous adoreZ?	Elle dont la beauté entre les filles luit, D Comme l'astre du jour, sur les feux de la nuit Dites moi assez il vons plaisi jà ou Vous êtes sortie, Quel est le Dieu qui tient votre âme assujettie, Et que vous adorez?
STE.	SITE.
REYNE, I'adore mon facteur, Le puiſſant Dieu du Ciel, le grand diſtributeur, Et parfaict donateur de toutes les richeſſes, L’Autheur qui a baſty par ſubtiles adreſſes, Le doré Firmament ce grand & vaſte rond, Fondant ſes piloris ſur l’abiſme profond, Qui d’vn ſeul mot crea ſans trauail & ſans peine la terre porte fruicts, la Mer porte Baleine, Qui rẽplit l’air d Oyſenax, at atuerjestouleurs, La Terre de moiſſons, & d’odorantes fleurs, La peuple d’animaux de diuerſes eſpeces, Parlant dedans les eaux les fourmillãtes preſſes;	REINE, J'adore mon facteur, Le puissant Dieu du Ciel, le grand distributeur, Et parfait donateur de toutes les richesses, L'Auteur qui a bâti par subtiles adresses, Le doré Firmament ce grand et vaste rond, Fondant ses piloris sur l'abîme profond, Qui d'un seul mot créa sans travail et sans peine la terre porte fruits, la Mer porte Baleine, Qui rẽplit l'air d Oisenax, at atuerjestouleurs, La Terre de moissons, et d'odorantes fleurs, La peuple d'animaux de dierses espèces, Parlant dedans les eaux les fourmillãtes Par;
Des Bourgeois eſcaillez, puis d’vn limon fangeux Fit noſtre premier Pere, & riche& tres-heureux, S’il n’eût pas offencé ſa bonté Souueraine, Mangeãt du fruit fatal qui cauſa tant de peine, A tous ſes deſcendans qu'à la fin ſon cher Fils, Pour payer leur rançon ſe rendit Crucifix, Lauant dans ſon pur ſang, cette tache ſi noire, Pour rendre les mortels capable de ſa gloire.	Des Bourgeois écaillez, puis d'un limon fangeux Fit notre premier Père, et richeet très-heureux, S'il n'eût pas offensé sa bonté Souveraine, Mangeant du fruit fatal qui causa tant de peine, À tous ses descends qu'à la fin son cher Fils, Pour payer leur rançon se rendit Crucifix, Lavant dans son pur sang, cette tache si noire, Pour rendre les mortels capable de sa gloire.
Ainſi quoy que ie ſois de tres nobles parans, Que mon Pere Clement, ſoit l’vn des plus puißãs De ce fertile Auxois, qu'Alize Ville altiere, Soit le lieu où premier i'apperceut la lumière, Si eſt-ce toute-fois que ie m'eſtime mieux, De ce que la bonte du Formateur des Cieux, De ſa diuine Loy m'a donné cognoiſſance, Que des veines grãdeurs la trompeuſe apparẽce.	Ainsi quoi que je sois de très nobles parans, Que mon Père Clément, soit l'un des plus puissãs De ce fertile Auxais, qu'Alise Ville altière, Soit le lieu où premier j'aperçut la lumière, Si est-ce toutefois que pr m'estime mieux, De ce que la bonté du Formateur des Cieux, De sa divine Lois m'a donné connaissance, Que des veines grande la trompeuse apparence.
OLIBRE.	OLIBRE.
Quoy?	Quoi?
Pucelle, eſtes vous ſi ſimp le en bonne foy, De ſuiure follement ceſte nouuelle Loy, De ce Galiléen, qui n'eſt qu'vne impoſture, Loy rigoureuſe Loy, que toute creature, Deteſte auec raiſon, Loy le dur fleau des corps, Qui rend ſes profeſſeurs cõme s’ils eſtoient morts Loy pleine de ſoûpirs, de ſanglots, de miſeres, De chagrins ſoucieux, & de douleurs ameres.	Pucelle, êtes -vous si mp le en bonne foi, De suivre follement cette nouvelle Loi, De ce Galiléen, qui n'est qu'une imposture, Loi rigoureuse Loi, que toute créature, Dettes avec raison, Lois le dur fléau des corps, Qui rend ses professeurs comme s'ils étaient morts Loi pleine de soupirs, de sanglots, de misères, De chagrins soucieux, et de douleurs amères.
Se paſſe en lõngs trauaux, ſe termine en tourmẽt C2	Se passe en lõngs travaux, se termine en tourment C2
Sans eſpoir de ſecours, & de ſoulagement, Quittez belle quittez cet Loy miſerable.	Sans espoir de secours, et de soulagement, Quittez belle quittez cet Loi misérable.
Loy ſuperſtitieuſe & plus vituperable, AdoreZnos grãds dieux, tres-haut & tres-puiſãs Et leur faiſãt fumer deux ou trois grains d’encẽs, Si vous faictes cela ie jure ma mignonne, Que jamais vous n'aureZ faute de ma perſonne, Vous ſerez la plus grande & premiere à ma Cour Les delices, les jeux, les dances, & l’amour, Seront vos entretiens, les beaux habits de ſoye, Au lieu de ces haillons vous combleront de joye, Les Perles, les Rubis, les brillants Diamans, Seront de voſtre corps les riches ornements, Tous les peuples Gaulois, que ma dextre commãde Vous viendront reuerer d’vne affection grande, Les Chefs de mon Armée, & les nobles Seigneurs, Es feſtins ſomptueux vous feront mille honneurs, Mais ſi vous meſpriſez leur diuine puiſſance, Si vous ne leur rendeZ parfaicte obeïſſance, Et ſi vous encourez mon ſeuere courroux, Vous ſeruirez de fable & d’exemplaire à tous, Sçauez vous pas combien i'a y gagné de victoires, Combien mon bras ſanglãs, a fait es ondes noires, Deſcendre les Gaulois, qui trop fiers & hautains, Se vouloient appoſer à l’Aigle des Romains?	Loy superstitieuse et plus vitupérable, AdoreZnos grãds dieux, très-haut et très-puisãs Et leur faisant fumer deux ou trois grains d'encẽs, Si vous faites cela ie jure ma mignonne, Que jamais vous n'aurez faute de ma personne, Vous serez la plus grande et première à ma Cour Les délices, les jeux, les dances, et l'amour, Seront vos entretiens, les beaux habits de soie, Au lieu de ces haillons vous combleront de joie, Les Perles, les Rubis, les brillants Diamans, Seront de vôtre corps les riches ornements, Et les peuples a, que ma dextre commãde Vous viendront révérer affection grande, Les Chefs té mo Armée, et les nobles Seigneurs, Es festins somptueux vous feront mille honneurs, a si vous méprisez leur diuine puissance, Si vous ne leur rendeZ parfaicte obeïssance, Et si vous encourez mon sévère courroux, Vous servirez de fable et exemplaire tous, Sçauez vous pas combien a y gagné de victoires, Combien m a sanglãs, a fait es ondes noires, Descendre les Gaulois, qui trop fiers et hautains, Se vouloient apposer Aigle des Romains?
Le Roſne furieux, & la Saone dormaute, Sont pourprez de leur jiangio ie bonfendamãthe A peine de nombrer les ondes des Chreſtiens, Q iuyjont compagnie es champs Eliziens.	Le Rône furieux, et la Saone dormaute, Sont pourprez de leur jiangio ie bonfendamantshe À peine de nombrer les ondes des Chrétiens, Q uijont compagnie ès champs Élisiens.
STE.	SITE.
REYNE, Prince ne penſez pas, que vos feint es promeſſes, Vos appas deceuans ny toutes vos richeſſes, Me faſſent delaiſſer mon Dieu, mon cher confort, Et bien moins les frayeurs d’vne cruelle mort, Comment i'adorerois des hommes les ouurages, Pour celuy qui cõmande au foudre, & aux orages, Quoy i’abandonnerois mon immortel Eſpoux, A qui i'ay conſacré mon pucelage doux, Mon bien, mon tout, mon Roy, mon Sauueur & mon Peré, Pour reſpect d’vn mortel!	REINE, Prince ne pensez pas, que vos feint es promesses, Vos appas décevants ni toutes vos richesses, Me fassent délaisser mon Dieu, mon cher confort, Et bien moins les frayeurs d'une cruelle mort, Comment j'adorerais des hommes les ouvrages, Pour celui qui commande au foudre, et aux orages, Quoi j'abandonnerais mon immortel Époux, À qui j'ai consacré mon pucelage doux, Mon bien, mon tout, mon Roi, mon Sauveur et mon Peré, Pour respect d'une mortel!
ie craindrois la colere, D'vn qui me peut cauſer vn tourment de deux Pour brûler à jamais és infernals ſejours, (jours, Non, non, plûtoſt le Ciel brillera ſans Eſtoilles, Plûtoſt la Mer ſera ſans Vaiſſeaux, & ſans voile, Le gay Printẽps ſans fleurs, & l’Eſté ſans moiſſon Plûtoſt dedans les eaux brûleroient les Poiſſons, Que ie viole ainſi la Foy que i’ay promiſe, Amon doux Ieſus-Chriſt & à ſa ſaincte Egliſe, I'ayme mieux de gros drap vir mes membres couuerts, Que de pourpre parer ceſte paſture aux vers, Les brillans diamans, la ſoye & l’eſcarlatte, N'empeſchent de pourrir vne chair delicate, Dites moy de quoy ſert vn grand tas d’affiquets, Sinon pour attizer la flamme des muguets ?	Les craindrois la colère, D'un qui me peut causer un tourment de deux Pour brûler à jamais é fernals séjours, (jours, Non, non, plutôt le Ciel brillera sans Étoilles, Plutôt la Mer sera sans Vaisseaux, et sans voile, Le gagnais Printẽps sans fleurs, et l'Esté sans moisson Plutôt dedans les eaux brûleraient les Poissons, Que ie viole ainsi la Foi que j'ai promise, Amon doux Jésus-Christ et de Sa saincte Eglise, aime et à sa sa y mes membres couuerts, Que J' aime mie ceste pâture aux de, Les gros drap, la me et mescarlatte, N'empêchent de cou ve chair ts, Que moi dé quoisert grand tas pas, Sinon pour attizer la flamme des muguets ?
Les poudres de ſenteurs, le Cale, & la Teruſe, Rendent que trop de fois la pureté percluſe, Les bals, & les feſtins, perdent le plus ſouuent, Vne fille credule, & la paiſſent de vent, Dedans les cours des grands, s’eſleuẽt des orages, Où les plus chaſtes cœurs, (ô mal-heur ( font n’auffrages, O qu’il me plaiſt bien mieux de paiſtre mes brebis Es autres reculez, où dans les champs fleuris, Tmanger du pain bis, boire de l’eau criſtaline, Que de humer l’odeur d’vne grace cuiſine, En ces lieux eſcartez, i’admire mon Eſpoux, Plus beau que le Soleil, plus brillant & plus doux, Mon amoureux Ieſus, qui des cordelles teintes, De ſon ſang purpurin, dedãs mõ ame empreintes, Me fait des lacs d’amour.	Les poudres de senteurs, le Cale, et la Teruse, Rendent que trop de fois la pureté percluse, Les bals, et les festins, perdent le plus souvent, Âme fille crédule, et la paissent de vent, Dedans les cours des grands, s'esleuẽt des orages, Où les plus chastes cœurs, (ô malheur ( font n'auffrages, Ô il me plaît bien mieux de paître mes brebis Es autres reculez, dans les champs fleuris, Tmanger du pain bis, boire de eau cristaline, Que de humer odeur grace cuisine, En ces lieux écartez, admire mon Espoux, Plus beau que le Soleil, plus brillant et plus doux, Mon amoureux Iesus, qui des cordelles teintes, De son sang purpurin, dedãs âme empreintes, Me fait des lacs amour.
le fer de ſon coſté, Me découurant ſon cœur, fait que i’ay proteſté, Qu'autre amour que le ſien n’ẽtrera dãs mõ ame, Ce bel Amant pour rendre eternelle ma flamme, Enpounmnadefmoigner qu tbeje mon vner Eſpoux, M'âtache à ſon amour des pointes de ſes cloux, Son chapeau eſpineux m'âquiert vne Couronne, Qui d’immortalité rayonnante fleuronne.	le fer de son côté, Me découvrant son cœur, fait que j'ai protesté, Qu'autre amour que le sien n'entrera dans mon âme, Ce bel Amant pour rendre éternelle ma flamme, Enpounmnadefmoigner qu' je mon vner Ispoux, M'âtache à son amour des pointes de ses cloux, Son chapeau épineux m'âquiert une Couronne, Qui d'immortalité rayonnante fleuronné.
DLIBRE.	DLIBRE.
De vray ie ne ſçaurois aſſez m’eſmerueiller?	De vrai ie ne saurais assez m'émerveiller?
Comme vous oſeriez ſeulement me parler, Et priſer deuant moy ui Ditiamginaire, Meſpriſant mes aduis pour vous ſi ſalutaires, Mais pour moy ie pardonne à voſtre ieune erreur, Si de tant de beautez ie ſuis le poſſeſſeur, Ne perdeZ à credit voſtre ieuneſſe, Et ſuiuez de nos Dieux l’adorable ſageſſe, Mille biens à la fois vous ſeront appreſtez, Rien ne pourra manquer à vos felicitez, Vous benirez cent fois cette heure fortunée, Qui aurajoint nos cœurs ſous les loix d’Hymenée, Vous aurez le plaiſir, les biens, & les douceurs, Vos glorieux enfans ſeront mes ſucceſſeurs, Voila l’heur qui ſuiura le cours de voſtre vie, er cojrrt estonté s’accorde à mon enuie, Sinõ outre ces biens (mon cœur) que vous perdrez, Mille & mille tourments encor vous ſouffrirez.	Comme vous oseriez seulement me parler, Et priser devant mo ui Ditiamginaire, Mesprisant mes avis pour vous si salutaires, Mais pour mo ie pardonne à votre jeune erreur, Si de tant de beautés Cour suis le possesseur, Ne perdez crédit votre jeunesse, Et suivez de nos Dieux l'adorable sagesse, Mille biens à la fois vous seront apprêtez, Rien ne pourra manquer à vos félicités, Vous bénirez cent fois cette heure fortunée, Qui aurajoint nos cœurs sous les lois d'Hyménée, Vous aurez le plaisir, les biens, et les douceurs, Vos glorieux enfans seront les douceurs, Voila heur qui g le or de vôtre ie, cojrrt en fa mon envie, Sinõ outre ces biens (mon cœur) que vous perdrez, Mille et mille tourments encor vous souffrirez.
Ste REYNE.	Ste REINE.
Monſieur quoy que mon ſexe inconſtãs & fragile, De l’inſtabilité ſoit le premier mobile, Si eſt ce que jamais vos pipeurs diſcours, Ne me feront quitter le Dieu de mes Amours;	Monsieur quoi que mon sexe inconstants et fragile, De l'instabilité soit le premier mobile, Si est ce que jamais vos pipeurs discours, Ne me feront quitter le Dieu de mes Amours;
Quoy?	Quoi?
que pour des plaiſirs, à l’Enfer ie m'ẽgage, Pour vn bien qui perit ie perdray le cher gage, De ma pudicité?	que pour des plaisirs, à l'Enfer Seigneur m'engage, Pour un bien qui périt ie perdrai le cher gage, De ma pudicité?
ah plutoſt mille morts, Plûtoſt mille Bourreaux, dechireront mon corps?	ah plutôt mille morts, Plutôt mille Bourreaux, déchireront mon corps?
Seulement d’y penſer d’horreur mon poil ſe dreſſe PouruoyeZ vous ailleurs d’vne infame maiſtreſſe, Car touſiours de mon Dieu, l’Eſpouſe ie ſeray, Et iamais d’autre Hymen ie ne contracteray:	Seulement d'y penser d'horreur mon poil se dresse Pourvoie vous ailleurs d'une infâme maîtresse, Car toujours de mon Dieu, l'Espouse Seigneur serai, Et jamais d'autre Hymen ie ne contracterai:
Mais ſçaués voꝰ (Mõſieur) ſi vous mevoulés croire Quittez ce feu brûtal qui rend voſtre ame noire.	Mais sçaués voù (Monssieur) si vous mèvoulez croire Quittez ce feu brutal qui rend votre âme noire.
Et toꝰ ces dieux de bois, d’or, de pierre, & d’arain Adorez ſeulement le grand Dieu Souuerain, Dieu trine en verité, deuant que les Archanges, Les brûlans Cherubins, les Seraphins, les Anges, Tremblent en l’adorant de ſon Amour épris, Et milles millions de bien-heureux eſprits, Qui des pieds foulent l’Or des voûtes aZurées, Celebrãs ſes grandeurs par leurs Chansõs ſacrée Faites, faites bien plus, commandez aux Gaulois, Et à tout vôtre Camp, qu'ils viuent ſous ſes Loix Ainſi vous aquerrez vne immortelle gloire, Dont la poſterité aura touſiours memoire.	Et toù ces dieux de bois, d'or, de pierre, et d'arrain Adorez seulement le grand Dieu Souverain, Dieu trine en vérité, devant que les Archanges, Les brûlants Chervins, les Seraphins, les Anges, Tremblent en l'adorant de son Amour épris, Et milles millions de bienheureux esprits, Qui des pieds foulent l'Or des voûtes aZurées, Celebrãs ses grandeurs par leurs Chansõs sacrée Faites, faites bien plus, commandez aux Gaulois, Et à tout vôtre Camp, qu'ils vivent sous ses Loix Ainsi qu' ils v immortelle sou, Ses Lois posterité sous ses Loi.
DLIBRE.	DLIBRE.
2 Puis que tu ne veux pas reuerer les Autels, Que deuots ie conſacre à nos Dieux immor:	2 Puis que tu ne veux pas révérer les Autels, Que dévots était consacre à nos Dieux immor:
els, Que ta bouche cõtre eux vomißãt des blâphemes Tranſporte mon eſprit dãs des fureurs extrémes, Iamais les froids Hyuers n'eurent tant de glaçons Ny la Mer tant de flots ſur ſes moites ſilions, Il ne tomba jamais tant de fueille en Automne, Que ie feray pleuuoir des coups ſur ta perſonne, Buſſire n’eſt qu'vn ſot, à l’égal des tourments, Que ie ſçais inuenter, les feüets, les brûlemens, Les crochets, acereZ, & les flammes ardentes, Te feront reſſentir des douleurs violentes, Et dans l’eau froide apres ſeray plonger t' on corps Ainſi tu ſouffriras pluſieurs ſortes de morts, I’ay cent bourreaux tout preſts nourrir dans le carnage, Pour exercer ſur toy leur fureur & leur rage.	Aels, Que ta bouche comptre eux vomissãt des blâphemes Transporte mon esprit dãs des fureurs extrêmes, Jamais les froids Hivers n'eurent tant de glaçons Ni la Mer tant de flots sur ses moites silions, Il ne tomba jamais tant de fueille en Automne, Que était ferai pluvoir des coups sur ta personne, Bussire n'est qu'un sot, à l'égal des tourments, Que Seigneur forçais inventer, les feuets, les brûlements, Les crochets, acereZ, et les flammes ardes, Te feront ressentir des ur violentes, Et dans eau froide apres serai plonger t' on corps Ainsi tu souffriras leurs sortes de morts, ay cent a tout prêts nourrir dans l' carnage, Pour exercer sur toi leur fureur et leur rage.
STE.	SITE.
REYNE.	REINE.
Faittes venir encor tous les Tigres affreux, Les Ours, & les Lyons, du chaorſe pierreux, Pour demembrer ce corps d’vne rage plus forte, Ie ne les craindray point, le Dieu qui me conforte Ne me refufera la force & le pouuoir, Pour toutes leurs fureurs de bon cœur receuoir.	Faites venir encor tous les Tigres affreux, Les Ours, et les Lyons, du chaorse pierreux, Pour démembrer ce corps d'une rage plus forte, Je ne les craindrai point, le Dieu qui me conforte Ne me refusera la force et le pouvoir, Pour toutes leurs fureurs de bon cœur recevoir.
OLIBRE.	OLIBRE.
Soldats attachez moy cette fille obſtinée, Et que dans la priſon elle ſoit emmenée, Viſtes dépeſcheZ vous traineZ la promptement, Et que le Geolier la garde ſeurement, Iuſqu'a ce que ie ſois venu de Germanie, Et lors ſi à nos Dieux elle ſacrifie, Ie la feray mourir.	Soldats attachez -moi cette fille obstinée, Et que dans la prison elle soit emmenée, Vîtes dépêchez vous traîtez la promptement, Et que le Géollier la garde sûrement, Jusqu'a ce que je sois venu de Germanie, Et lors si à nos Dieux elle sacrifie, Je la ferai mourir.
VLCE.	VLCE.
Sire n’en doutez pas, Etie empoigne-la, & la tient par les bras, Tandis i’âtacheray ſon corps à cette chaiſne, Baille moy les deux bouts, afin que ie l’entraine, Hola!	Sire n'en doutez pas, Etie empoigne-la, et la tient par les bras, Tandis j'âtacherai son corps à cette chaîne, Baille moi les deux bouts, afin que ainsi l'entraine, Holà!
hau!	hau!
Geolier ouure nous la priſon, Mets cette fille icy dans vn profond grotton, Ne la laiſſe parler à perſonne du monde, En tout cas il faudra que ta teſte en reſponde.	Geolier ouvre nous la prison, Mets cette fille ici dans un profond groton, Ne la laisse parler à personne du monde, En tout cas il faudra que ta tête en réponde.
Fin du ſecond Acte.	Fin du second Acte.
IOIE III.	JOIE III.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
Saincte Reine en Priſon, PHILOMENE.	Sainte Reine en Prison, PHILOMENE.
STE.	SITE.
REYNE.	REINE.
ON aymable Sauueur, ô mon Dieu, mon bon Dieu, (lieu, Aqui les noirs Cachots de ce funeſte Sont auſſi tranſparans que la belle l'umiere, Du rayonnant Phebus, en l’ardeur coûtumiere, De ſon Midy plus chaud, voyeZ ou l’on m'à mis, Et me donnez pouuoir contre mes ennemis, Ie vous demãde helas!	ON aimable Sauveur, ô mon Dieu, mon bon Dieu, (lieu, Aqui les noirs Cachots de ce funeste Sont aussi transparants que la belle l'umière, Du rayonnant Phebus, en l'ardeur coutumière, De son Midi plus chaud, voyez ou l'on m'à mis, Et me donnez pouvoir contre mes ennemis, Je vous demande hélas!
les yeux bâgneZ de larmes, Et les genoux courbeZ en ces triſtes allarmes Que ma conſtance puiſſe au milieu des douleurs, Par voſtre alme conduite émouſſer les rigueurs:	les yeux bâgnez de larmes, Et les genoux courbés en ces tristes alarmes Que ma constance puisse au milieu des douleurs, Par ole alême conduite émousser les rigueurs:
DõneZ moy Monſeigneur dõnez-moy la puißãce, Parmy ces durs cõbats, de vaincre leur ſouffrãce, Vous qui d’vn ſeul clin d’œil faites de ce grãd tout Croûler les fondements de l’vn à l’autre bout, Des monts plus ſourcilleux les crouppes cheueluës Qui d’vn port orgueilleux s’eſleuent ſur les nuës, Se detournent deuant ves ſuprémes grandeurs, Et humbles s'abaiſſans adorent vos hauteurs, Neptun vous obeït, voſtre ſaincte parole,	Donnez -moi Monseigneur dõnezsion la passion, Parmi ces durs cõbats, de vaincre leur souffrance, Vous qui d'un seul clin d'œil faites de ce grãd tout Crouler les fondements de l'un à l'autre bout, Des monts plus sourcilleux les croupes cheueluës Elle d'un port orgueilleux s'esleuent sur les nues, Se détournent deuant vez de grandeurs, Et humbles s'abaissants adorent vos hauteurs, Neptun vous obeït, vôtre sainte parole,
Commande abſolument aux poſtillons d’Eole, Vous meſmes auez dit dans le mortel effort, Que le corps eſt foiblet;	Commande absolument aux postillons d'Éole, Vous mêmes avez dit dans le mortel effort, Que le corps est faiblet;
mais l’eſprit eſt bien fort, Dõnez-moy cét eſprit Seigneur doux benin Pere, Et ne me delaiſſez és remplis de miſere, Vous cognoiſſez mon cœur, & ſçaueZ que ie ſuis, Doncques ſecourez-moy au fort de mes ennuis, Plûtoſt en mille éclats me partiſſe le foudre, Qu'à vous abandonner on me voye reſoudre, Vn tourment de cent ans ſeroit bien peu au prix, Des plaiſirs eternels du celeſte pourpris, Quit ter pour vn momẽt de peine en ce bas monde, Le Royaume du Ciel:	mais l'esprit est bien fort, Dominés-moi cet esprit Seigneur doux bénin Père, Et ne me délaissez ès remplis de misère, Vous connaissez mon cœur, et savez que je suis, Doncques secourez-moi au fort de mes ennuis, Plutôt en mille éclats me partisse le foudre, Qu'à vous abandonner on me voie résoudre, Un tourment de cent ans serait bien peu au prix, Des plaisirs éternels du ciel pourpris, Quit ter pour un moment de peine en ce bas monde, Le Royaume du Ciel:
où toute choſe abonde, On doit iuger celuy priué de iugement, Qui prend le fer pour l’or, le roch pour diamant, Mon amour mon ſoucy, mon cœur ma douce flame, Qui ne voudroit pour vous ſacrifier ſon ame?	où toute chose abonde, On doit juger celui privé de jugement, Qui prend le fer pour l'or, le roch pour diamant, Mon amour mon souci, mon cœur ma douce flamme, Qui ne voudrait pour vous sacrifier son âme?
Qui ne vous aymeroit Souuerain Roy des Roys, Qui ne voudroit pour vous mourir dix milles fois, En vous conſiderant deſſus les bois funebres, Le corps couuert de playe, & les yeux de tenebres, Et quel trãſport d’amour (mõ Sauueur) eſtieZvous Quãd pour vos ẽnemis qui vous rõpoiẽt de coups, Priaſtes voſtre Pere, au fort de vos ſouffrances, Pour obtenir pardon de leurs griefues offences, Qui ſera donc veluy qui pour l’amour de vous, Souffrira des tourmẽts ſans les trouuer biẽ doux?	Qui ne vous aimerait Souuerain Roi des Rois, Qui ne voudrait pour vous mourir dix milles fois, En vous considérant dessus les bois funèbres, Le corps couvert de plaie, et les yeux de ténèbres, Et quel transport d'amour (ma Trouveur) estieZvous Quand pour vos ẽnemis qui vous rõpoiẽt de coups, Priâtes votre Père, au fort de vos souffrances, Pour obtenir pardon de leurs griefues offences, Qui sera donc velui qui pour l'amour de vous, Souffrira des tourments sans les trouver biẽ doux?
Ainſi ce lieu puant, baueux, & effroyable, M’eſt pour voſtre ſujet plaiſant & agreable, Mais i’ent ens vne voix aupres de ce carneau, C eſt pour vray Philomene auecq;	Ainsi ce lieu puant, baveux, et effroyable, M'est pour notre sujet plaisant et agréable, Mais j'ent ens sez voix auprès de ce carneau, Ç est pour vrai Philomène avec;
ſon flambeau.	son flambeau.
PHILOMENE.	PHILOMENE.
Helas!	Hélas!
Reine i’eſtois en vne extréme peine, Quand i’ay veu reuenir nos brebis porte laine, Toutes ſeules des chãps, i’ay creu à meſme inſtãt, Que vous auieZ receu quelque eſtrange accident, Et courãt vous cherches i'ay veu des Paſtourelles.	Reine j'étais en une extrême peine, Quand j'ai vu revenir nos brebis porte laine, Toutes seules des chans, j'ai cru à même instant, Que vous aviez reçu quelque étrange accident, Et courant vous cherches j'ai vu des Pastourelles.
Qui m'ont faict le narré de ces triſtes nouuelles, Et q;	Qui m'ont fait le narré de ces tristes nouvelles, Et ;
deux fiers Soldats, vous menoiẽt au cartier, D’Olibre:	deux fiers Soldats, vous menaient au quartier, D'Olibre:
ſans tenir ny voix n'y ſentier, Ie vay tant que ie puis droict la où l’on m’aſſeure, Qu'on vous auoit i'à miſe, en la Spelõgne obſcure, Sans doubte iuſqu'icy i'ay donc voulu venir, Affin de vous prier de vous bien ſouuenir, De mes preceptes chers, & ne croire aux paroles, D’Olibre le Tyran, qui ne ſont que friuoles.	sans tenir Seigneur voix n'y sentier, Je vais tant que je puis droit la où l'on m'assure, Qu'on vous avait j'à mise, en la Spelonsgne obscure, Sans doute jusqu'ici jusqu'ai donc voulu venir, Affin de vous prier de vous bien souvenir, De mes préceptes chers, et ne croire aux paroles, D'Olibre le Tyran, qui ne sont que frivoles.
STE.	SITE.
REYNE.	REINE.
