ha ESEN ſ PRE'MIERE.	ha ESEN s PRE'MIERE.
C’eſt ſigne qual a retrouvé l’eſprit qual avoit pardu.	C'est signe qual a retrouvé l'esprit qual avait pardu.
AGATHE.	AGATHE.
Que je ſuis honteuſe, Nanette d’avoir eſté trompée par unshomme.	Que je suis honteuse, Nanette d'avoir été trompée par unshomme.
112 2bi)	112 2bi)
NANETTE.	NANETTE.
X.	X.
Helas, a qui eſt-ce de nous autres que cela n’arrive point!	Hélas, à qui est-ce de nous autres que cela n'arrive point!
mais nous allons faire voir à ce petit coquet de Dorante, qu’il ne ſçait pas ſon méties, puiſqu’il donne le temps à une fille de faire des reflections.	mais nous allons faire voir à ce petit coquet de Dorante, qu'il ne sait pas son méties, puisqu'il donne le temps à une fille de faire des réflections.
2	2
L'ISETTE.	L'ISETTE.
Tous vos petits rolez de raillerie ſontils preſts.	Tous vos petits rolés de raillerie sontils prêts.
NANETTE.	NANETTE.
Bon, noſtre Licas & noſtre Pierrot feroient un Opera en deux heures.	Bon, notre Licas et notre Pierrot feraient un Opera en deux heures.
LISETTE.	LISETTE.
Ouy je vay vous donner voſtre role.	Oui je vais vous donner votre rôle.
NANETTE.	NANETTE.
Voicy Dorante, retirez-vous, c’eſt à inoy à coimnencer.	Voici Dorante, retirez-vous, c'est à inoi à coimnencer.
Ils ſe retiront, Dorante vient au rendez-vous que la veuve luy a domé.	Ils se retiront, Dorante vient au rendez-vous que la veuve lui a domé.
SCENE XV.	SCÈNE XV.
DORANTE, NANETTE, LICAS, &c.	DORANTE, NANETTE, LICAS, etc.
DORANTE.	DORANTE.
JOicy à peue prés l’heure du rendez- Y vous;	JOici à peu près l'heure du rendez- Y vous;
J’ay bien fait de ne point voir ny le pere ny la fille, ſi la veuve m’alloit manquer, je ſerois bien aiſe de retrouver Agathe.	J'ai bien fait de ne point voir ni le père ni la fille, si la veuve m'allait manquer, je serais bien aise de retrouver Agathe.
J’entens des Villageois qui chantent, laiſſons-les paſſer.	J'entends des Villageois qui chantent, laissons-les passer.
NICAISE finiſſant une Chanſon à une Paiſane quille fuit.	NICAISE finissant une Chanson à une Payane quille fuit.
NANETTE.	NANETTE.
Mon pauvre Nicaiſe tu perd ton-temps & ta Chanſon.	Mon pauvre Nicaise tu perds tontemps et ta Chanson.
Il eſt vrayque je t’ay aimé, mais c’eſt juſtement pour cela que je ne t’aime plus.	Il est vraique je t'ai aimé, mais c'est justement pour cela que je ne t'aime plus.
Ce ſont là nos regles.	Ce sont là nos règles.
A NICAISE chante.	À NICAISE chante.
22 Lors que tu mẽ promis ſoü cot Orme fatal, Que je triompherois bien-toſt de mon Rival, Tu m’en voulus donner une preuve certaine.	22 Lors que tu me promis sot cot Orme fatal, Que je triompherais bientôt de mon Rival, Tu m'en voulus donner une preuve certaine.
Ah que n’en ay-je profité, Je ne ſerois plus à la peine De te reprocher ton infidelité.	Ah que n'en ai-je profité, Je ne serais plus à la peine De te reprocher ton infidélité.
NANETTE.	NANETTE.
Il eſt vray que ma franchiſe Fut ſurpriſe Par tes diſcours trompeurs, & par ton air charmant;	Il est vrai que ma franchise Fut surprise Par tes discours trompeurs, et par ton air charmant;
Mais j’ay paſſé l’écueil du dangereux moment.	Mais j'ai passé l'écueil du dangereux moment.
TPEJENe JeRII2.	TPENe JeRI2.
Tu ne m’as pas priſe au mot, Tu ſeras le ſot, tu ſeras le ſot, tu ſerat le ſot.	Tu ne m'as pas prise au mot, Tu seras le sot, tu seras le sot, tu serat le sot.
DORANTE.	DORANTE.
Ces Poitevines ſont galantes naturellement;	Ces Poitevines sont galantes naturellement;
mais la veuve tarde beaucoup.	mais la veuve tarde beaucoup.
SCENE XVI.	SCÈNE XVI.
DORANTE, PASQUIN.	DORANTE, PASQUIN.
PASQUIN.	PASQUIN.
H, Monſieur, nous joüons de malAheur.	H, Monsieur, nous jouons de malheur.
* DORANTE.	* DORANTE.
Qu’y a-t’il donc?	Qu'y a-t-il donc?
PASQUIN.	PASQUIN.
La veuve eſt partie, Monſieur, une de ſes tentes eſt venuë l’enleuer à ma barbe.	La veuve est partie, Monsieur, une de ses tentes est venue l'enlever à ma barbe.
Tout ce que la pauvrette a pû faire, c’eſt de ſortir la teſte par la portiere du caroſſe, & de me faire ſigne de loin qu’elle ne laiſſeroit pas de vous aimer toujours.	Tout ce que la pauvrette a pu faire, c'est de sortir la tête par la portière du carosse, et de me faire signe de loin qu'elle ne laisserait pas de vous aimer toujours.
DORANTE.	DORANTE.
Se ſeroit-elle moquée de moy.	Se serait-elle moquée de moi.
PASQUIN.	PASQUIN.
Monſieur j’ay ſcellé voſtre Anglois, le voila attaché à la porte, ſi vous voulez ſuivre le caroſſe, il n’eſt pas encore bien foma	Monsieur j'ai scellé votre Anglais, le voilà attaché à la porte, si vous voulez suivre le carosse, il n'est pas encore bien foma
DORANTE.	DORANTE.
Paſquin il faut aller au plus certain.	Pasquin il faut aller au plus certain.
Je vay trouver Agathe, & conclure avec elle La voicy juſtement.	Je vais trouver Agathe, et conclure avec elle La voici justement.
SCENE XVII.	SCÈNE XVII.
DORANTE, AGATHE, PASQUIN.	DORANTE, AGATHE, PASQUIN.
AGATHE à part.	AGATHE à part.
E vais bien me moquer de luy.	E vais bien me moquer de Seigneur.
Ha Jvous voila, Monſieur, il faudra donc que je vous cherche toute la journée.	Ha Jvous voila, Monsieur, il faudra donc que je vous cherche toute la journée.
D i	D y
DORANTE.	DORANTE.
Ah pardon, ma charmante, j’ay-eu une affaire indiſpenſable.	Ah pardon, ma charmante, j'ai-lev une affaire indispensable.
Tn.	Tn.
2	2
d AGGATHE.	d AGGATHÉ.
*.	*.
N’eſt-ce point plutôt que vous m’auriez fait quelque infidelité.	N'est-ce point plutôt que vous m'auriez fait quelque infidélité.
26	26
LOL DORANTES ( M.	LOL DORANTES ( M.
TES Que dites vous la cruelle, injuſte, ingrate, j’ateſte le Ciel.	TÉS Que dites -vous la cruelle, injuste, ingrate, j'atteste le Ciel.
*ni rint es	Uni rint es
AGATHE.	AGATHE.
Hé la, la, ne jurez point.	Hé la, la, ne jurez point.
Je ſçay bien comme vous m’aimez.	Je sais bien comme vous m'aimez.
1.	1.
D'ORANTE.	D'ORANTE.
Mais vous qui parlez, eſt-ce aimer que de pouvoir attendre juſqu’à demain.	Mais vous qui parlez, est-ce aimer que de pouvoir attendre jusqu'à demain.
AGATHE.	AGATHE.
Hé bien marions-nous tout à l’heure.	Hé bien marions-nous tout à l'heure.
DORANTE.	DORANTE.
Dites donc au papa qu’il abrege les formalirez;	Dites donc au papa qu'il abrège les formalirés;
ces articles, ce contract, me deſeſperent.	ces articles, ce contrat, me désespèrent.
PASQUIN.	PASQUIN.
La ſotte coutume pour les Amans qui ſont bien preſſez.	La sotte coutume pour les Amants qui sont bien pressez.
.	.
.	.
.	.
AGATHE.	AGATHE.
Nous irons dans un moment trouver mon pere, & s’il nous fait trop, attendre, nous-nous marierons tous deux tous ſeuls.	Nous irons dans un moment trouver mon père, et s'il nous fait trop, attendre, nous-nous marierons tous deux tous seuls.
LE CHOEUR chante devers le Theatre.	LE CHOEUR chante devers le Théâtre.
Attendez-moy ſous l’Orme, Vous m’attendrez long-temps.	Attendez-moi sous l'Orme, Vous m'attendrez longtemps.
DORANTE.	DORANTE.
Qu'entens je?	Qu'entends je?
AGATHE.	AGATHE.
C’eſt la noce d’un nommé Colin.	C'est la noce d'un nommé Colin.
Vous:	Vous:
ne le connoiſſez pas.	ne le connaissez pas.
7	7
SCENE XVII.	SCÈNE XVII.
DORANTE, AGATHE.	DORANTE, AGATHE.
D'ORANTE.	D'ORANTE.
ILs s'avancent, cedons-leur la place.	ILs s'avancent, cédons-leur la place.
AGATHE.	AGATHE.
O il faut que je ſois de cette noce-là	Ô il faut que je sois de cette noce-là
DORANTE.	DORANTE.
Quoy vous pouvez differer un moment.	Quoi vous pouvez différer un moment.
AGATHE.	AGATHE.
Si-toſt que la noce ſera faite nous nous marierons.	Si-tôt que la noce sera faite nous nous marierons.
D iij	 Dijà
LE CHOEUR chante.	LE CHOEUR chante.
Attendez-moy ſous l’Orme, Vous m'attendrez long-temps.	Attendez-moi sous l'Orme, Vous m'attendrez longtemps.
DORANTE.	DORANTE.
Paſquin voicy bien des circonſtances.	Pasquin voici bien des circonstances.
PASQUIN.	PASQUIN.
C’eſt le hazard, Monſieur.	C'est le hasard, Monsieur.
DORANTE.	DORANTE.
En tout cas il faut faire bonne contenanDorante ſe mêle avec les Villageois.	En tout cas il faut faire bonne contenanDorante se mêle avec les Villageois.
ce, fort bien mes ehfalis.	ce, fort bien mes éhalis.
Vive la Poitevine, Menuet de Poitou.	Vive la Poitevine, Menuet de Poitou.
Courage Paſquin.	Courage Pasquin.
On ch'inte.	On ch'inte.
Prenez la fillette Au premier mouvement, Car elle eſt ſujette Au changement:	Prenez la fillette Au premier mouvement, Car elle est sujet Au changement:
Souvent la plus tendre N ſal lren ailcut s Se mocque de vous Au rendez-vous.	Souvent la plus tendre N al lren ailcut s Se mocque de vous Au rendez-vous.
PASQUIN ſe mocquant de Dorante.	PASQUIN se moquant de Dorante.
Nous ſommes trahis, on nous berne:	Nous sommes trahis, on nous berne:
Monſieur.	Monsieur.
D'ORANTE.	D'ORANTE.
Cecy me confond.	Ceci me confond.
LISETTE chante à Dorante.	LISETTE chante à Dorante.
Vous qui pour heritage N’avez que vos appas, L’argent, ny l’équipage Ne vous manquerons pas;	Vous qui pour héritage N'avez que vos appas, L'argent, ni l'équipage Ne vous manquerons pas;
Malgré voſtre reforme La veuve y pourvoira, Attendez-là ſous l’Orme, Peut-eſtre elle viendra.	Malgré votre réforme La veuve y pourvoira, Attendez-là sous l'Orme, Peut-être elle viendra.
AGATHE chante à Dorante:	AGATHE chante à Dorante:
La fille de Village Ne donne à l’Officier Qu’un amour de paſſage» C’eſt le droit du Guerrier, Mais le Contract en ferme C’eſt le lot du Fermier, Monſieur l’Avanturier.	La fille de Village Ne donne à l'Officier Qu'un amour de passage " C'est le droit du Guerrier, Mais le Contrat en ferme C'est le lot du Fermier, Monsieur l'Aventurier.
COLIN.	COLIN.
chante.	chante.
On jour noſtre goulu de Char Tenoit la ſoury ſous la pate, Mais alestoit pour ly tro delicate, Il l’a lâchy pour prendre un rat.	On jour notre goulu de Char Tenait la souri sous la patte, Mais alestait pour li tro délicate, Il l'a lâchi pour prendre un rat.
ATTENDEZ-MOY	ATTENDEZ-MOI
PASQUIN.	PASQUIN.
Voila de mauvais plaiſans.	Voilà de mauvais plaisants.
Monſieur voſtre cheval eſt ſcellé.	Monsieur votre cheval est scellé.
Dorante veut tirer l’épée.	Dorante veut tirer l'épée.
PIERROT l'arreſtant.	PIERROT l'arrêtant.
Tout bellement, où nous ferons ſonner le toxin ſur vous.	Tout bellement, où nous ferons sonner le toxin sur vous.
DORANTE.	DORANTE.
Je viendray ſaccager ce Village-cy avec un Regiment que j’achetteray exprés.	Je viendrai saccager ce Village-cy avec un Regiment que j'achetterai exprès.
LISETTE.	LISETTE.
Ce ſera des denier de la veuye.	Ce sera des dénier de la vie.
Le Village le pourſuit en dançant & chantant,	Le Village le poursuit en dançant et chant,
Attendez-moy ſous l’Orme, Vous m’attendrez long-temps.	Attendez-moi sous l'Orme, Vous m'attendrez longtemps.
