ARGVMENT DE LITAIEOM	ARGUMENT DE LITAIEOM
Vn Chevreau ſoûpirer d’vne voix tremblotante, Et mugir vn Taureau d’vne voix effrayante?	Un Chevreau soupirer d'une voix tremblotante, Et mugir un Taureau d'une voix effrayante?
Tout cela n’eſt qu’amour, & ces puiſſans efforts Sont les effets du Dieu qui ſe meut dans leurs corps:	Tout cela n'est qu'amour, et ces puissants efforts Sont les effets du Dieu qui se meut dans leurs corps:
Ce Cheval indompté qui bondit & qui ruë, Et qui ne connoiſt point le joug ni la charruë, Il eſt déja ſenſible aux amoureux plaiſirs, Et va chercher bien loin l’objet de ſes deſirs.	Ce Cheval indompté qui bondit et qui rue, Et qui ne connaît point le joug ni la charrue, Il est déjà sensible aux amoureux plaisirs, Et va chercher bien loin l'objet de ses désirs.
Entre dans tes foreſts, & tes retraittes noires, L’Amour juſqu’en ces lieux va porter ſes victoires.	Entre dans tes forêts, et tes retraites noires, L'Amour jusqu'en ces lieux va porter ses victoires.
D i	D y
Ce Tyran Neméen autheur de mille maux, Ce Lion furieux, l’horreur des animaux, Il aime toutefois, & luy-meſme s’eſtonne, Que ſa fureur ſe calme auprés de ſa Lionne.	Ce Tyran Neméen auteur de mille maux, Ce Lion furieux, l'horreur des animaux, Il aime toutefois, et lui-même s'étonne, Que sa fureur se calme auprès de sa Lionne.
Ce Loup fin & ruſé, que travaille la faim, Ce Renard deffiant, ce Sanglier inhumain, Ce Tigre parſemé, cét Elephant enorme, Ce Leopard cruel, cét Ours laid & difforme, Cette Biche, & ce Cerf que l’on entend bramer, Se laiſſent adoucir par le plaifir d’aimer.	Ce Loup fin et rusé, que travaille la faim, Ce Renard défiant, ce Sanglier inhumain, Ce Tigre parsemé, cet Élephant énorme, Ce Lopard cruel, cet Ours laid et difforme, Cette Biche, et ce Cerf que l'on entend bramer, Se laissent adoucir par le plaisir le aimer.
Les Poiſſons dans les eaux, ſous leurs écailles dures, Reſſentent de l’amour les ſecrettes bleſſures;	Les Poissons dans les eaux, sous leurs écailles dures, Ressent de l'amour les secrètes blessures;
Et ces Dauphins qu’on voit ſe joüer ſur les flots, Nous monſtrent que l’Amour les rend ainſi diſpos.	Et ces Dauphins qu'on voit se jouer sur les flots, Nous montrent que l'Amour les rend ainsi dispos.
Avec moy maintenant vien dans ce verd boccage Entendue des oiſeaux l’agreable ramage;	Avec moi maintenant vien dans ce verd bocage Entendue des oiseaux l'agréable ramage;
Ils chantent les plaiſirs que leur donne l’amour, Et commencent par là, par là ferment le jour.	Ils chantent les plaisirs que leur donne l'amour, Et commencent par là, par là ferment le jour.
Ce charmant Roſſignol, qui d’arbre en arbre vole, Et qui fait cent fredons ſans art & ſans échole, I’aime, j’aime, dit-il, & mes plus doux accens Sont les heureux effets de l’amour que je ſens.	Ce charmant Rossignol, qui d'arbre en arbre vole, Et qui fait cent rédons sans art et sans échole, J'aime, j'aime, dit-il, et mes plus doux accends Sont les heureux effets de l'amour que je sens.
Entends les ſons plaintifs de cette Tourterelle?	Entends les sons plaintifs de cette Tourterelle?
Elle plaint de ſon Pair l’infortune cruelle, Et dans le triſte eſtat de ſa viduité, Regrette le plaiſir qu’elle a jadis gouſté.	Elle plaint de son Pair l'infortune cruelle, Et dans le triste état de sa viduité, Regrette le plaisir qu'elle a jadis goûté.
Ce Cygne au blanc plumage, à qui la mort prochaine Fait pouſſer de doux chants, & renforce l’haleine;	Ce Cygne au blanc plumage, à qui la mort prochaine Fait pousser de doux chants, et renforce l'haleine;
Ce Paon ſuperbe, & vain de ſes belles couleurs, Qui terniſſent l’eſclat des plus brillantes fleurs, [nes Tous deux ont de l’amour, & tous deux dans leurs veiReſſentent de ce feu les atteintes ſoudaines.	Ce Paon superbe, et vain de ses belles couleurs, Qui ternissent l'éclat des plus brillantes fleurs, [nes Tous deux ont de l'amour, et tous deux dans leurs veiRessentent de ce feu les atteintes soudaines.
Aime donc, Alexis, puiſque le meſme jour Qui nous a donné l’eſtre, a cauſé noſtre amour.	Aime donc, Alexis, puisque le même jour Qui nous a donné l'être, a causé notre amour.
ALEXIS.	ALEXIS.
Prens pour m’aſſujettir des raiſons plus ſolides, Que ce que lon voit raire aux animaux ſtupides,	Prends pour m'assujettir des raisons plus solides, Que ce que lon voit raire aux animaux stupides,
ORANTE.	ORANTE.
Pauvre inſenſé, qui crois qu’en vn meſme ſejour Ne peuvent compatir la raiſon & l’amour.	Pauvre insensé, qui crois qu'en un même séjour Ne peuvent compatir la raison et l'amour.
Qui ſçait mieux que les Dieux ſes regles plus ſeveres, Ses obligations, ſes maximes auſteres?	Qui était mieux que les Dieux ses règles plus sévères, Ses obligations, ses maximes au?
Leur amour cependant éclatte en tant de lieux, Qu’il eſt autant connû dans la Terre qu’aux Cieux.	Leur amour cependant éclatte en tant de lieux, Qu'il est autant connu dans la Terre qu'aux Cieux.
Iupiter, le plus grand de la troupe divine, Reſſent de cette ardeur échauffer ſa poitrine, Et pour mieux reüſſir en ſes larcins ſecrets, Il cache ſon tonnerre & l’éclat de ſes traits.	Jupiter, le plus grand de la troupe divine, Ressent de cette ardeur échauffer sa poitrine, Et pour mieux réussir en ses larcins secrets, Il cache son tonnerre et l'éclat de ses traits.
Tantoſt en vn beau Cygne on voit qu’il ſe trãsforme, Pour ſurprẽdre vne Nymphe affiſe au pied d’vn Orme:	Tantôt en un beau Cygne on voit qu'il se transforme, Pour surprendre une Nymphe assise au pied d'une Orme:
Tantoſt en gouttes d’or on le voit diſtiller, Pour dans vn noir cachot aiſément ſe couler.	Tantôt en gouttes d'or on le voit distiller, Pour dans un noir cachot aisément se couler.
Qui ne ſçait pas comment fut Europe abuſée?	Qui ne sait pas comment fut Europe abusée?
Quand preſſant d’vn Taureau la croupe déguiſée, Elle fendit les flots, ſans voiles, ſans timon, Vint ſurgir en nos ports, & nous laiſſa ſon nom?	Quand pressant d'Han Taureau la croupe déguisée, Elle fendit les flots, sans voiles, sans timon, Vint surgir en nos ports, et nous laissa son nom?
Apollon a jadis eſprouvé que ſon ame N’eſtoit point invincible aux traits de cette flamme, Et quoy que tous les maux cedent à ſon pouvoir, Pour luy-meſme il n’a ſceû s’aider de ſon ſçavoir;	Apollon a jadis éprouvé que son âme N'était point invincible aux traits de cette flamme, Et quoi que tous les maux cèdent à son pouvoir, Pour lui-même il n'a su s'aider de son savoir;
Daphné l’a fait ſouvent errer ſur cette rive, De turrle tand erpon la venclaglrer Enfin ce Dieu ſi fier qui preſide aux combats, S’adoucit pour Venus, & met les armes bas;	Daphné l'a fait souvent errer sur cette rive, De turrle tand erpon la venclaglérer Enfin ce Dieu si fier qui préside aux combats, S'adoucit pour Venus, et met les armes bas;
Rends-toy donc, Alexis, & ne ſois pas plus ſage	Rends-toi donc, Alexis, et ne sois pas plus sage
A LDATS.	À LDATS.
Orante, il ne faut pas ſi fort nous aveuglet, Que toûjours ſur les Dieux pretendre nous regler.	Orante, il ne faut pas si fort nous aveuglet, Que toujours sur les Dieux prétendre nous régler.
Ce qui leur eſt permis ne nous l’eſt pas de meſme, Nous ſervons, & leur front porte le Diadéme:	Ce qui leur est permis ne nous l'est pas de même, Nous servons, et leur front porte le Diadème:
Eſtant nos Souverains, & les Autheurs des Loix, Ils s’en peuvent auſſi diſpenſer quelques fois:	Étant nos Souverains, et les Auteurs des Lois, Ils s'en peuvent aussi dispenser quelques fois:
Et puis de leur amour la nature eſt bien autre, Et n’a rien que le nom qui ſoit ſemblable au noſtre:	Et puis de leur amour la nature est bien autre, Et n'a rien que le nom qui soit semblable au vôtre:
Le leur eſt clair & beau ſans trouble, ſans dégouſts, Le noſtre eſt inquiet, furieux & jaloux;	Le leur est clair et beau sans trouble, sans dégoûts, Le vôtre est inquiet, furieux et jaloux;
Ce qui fait leurs plaiſirs, fait ici bas nos crimes, Et le Ciel & la Terre ont diverſes maximes.	Ce qui fait leurs plaisirs, fait ici bas nos crimes, Et le Ciel et la Terre ont diverses maximes.
ORANTE.	ORANTE.
Si tu ne te rends pas à l’exemple des Dieux, Laiſſe-toy donc convaincre aux Heros glorieux.	Si tu ne te rends pas à l'exemple des Dieux, Laisse-toi donc convaincre aux Héros glorieux.
En eſt-il de ſi fier qui n’ait poſé les armes, Quand contre luy l’Amour a deſployé ſes charmes?	En est-il de si fier qui n'ait posé les armes, Quand contre cela l'Amour a déployé ses charmes?
Hercule ſi fameux par ſes travaux divers, Qui de Monſtres cruels affranchit l’Vnivers, Et couvert de la peau d’vn Lion de Libye, Parcourut & l’Europe, & l’Afrique, & l’Aſie;	Hercule si fameux par ses travaux divers, Qui de Monstres cruels affranchit l'Univers, Et couvert de la peau d'Han Lion de Libye, Parcourut et l'Europe, et l'Afrique, et l'Asie;
Luy qui du Ciel tombant le fardeau ſupporta, Et ſur les derniers bords ſes Colomnes planta;	Lui qui du Ciel tombant le fardeau supporta, Et sur les derniers bords ses Colomnes planta;
Ce fils de Iupiter tout genereux, tout brave, Prit les chaiſnes d’Omphale, & ſe fit ſon eſclave, Et pour luy reſſembler, par vn employ nouveau, Il quitta la maſſuë, & tourna le fuſeau.	Ce fils de Jupiter tout généreux, tout brave, Prit les chaînes d'Omphale, et se fit son esclave, Et pour lui ressembler, par un emploi eau, Il quitta la massue, et tourna le fuseau.
Theſée aima de meſme, & ſon amour bizarte Luy fit paſſer le Styx & le ſombre Tenare, Pirithois le ſuivit, & la Reine des morts Ne reſiſta qu’à-peine à leurs hardis efforts.	Thesée aima de même, et son amour bizarte Lui fit passer le Styx et le sombre Ténare, Pirithais le suivit, et la Reine des morts Ne résista qu'à-peine à leurs hardis efforts.
is-tu plus grand qu’Achille, as-tu l’ame plus forte?	is-tu plus grand qu'Achille, as-tu l'âme plus forte?
Idmire cependant juſqu’où l’amour le porte?	Idmire cependant jusqu'où l'amour le porte?
I aime ſa captive, & ce cœur indompté Quand il a tout ſoûmis, ſe trouve ſurmonté;	I aime sa captive, et ce cœur indompté Quand il a tout soumis, se trouve surmonté;
La ſeule Briſeïs eſt le prix de ſes peines, Et ſeule luy tient lieu des dépoüilles Troyennes, Ce chantre Thracien, qui par ſes doux fredons Eſbranſla les foreſts, & fit mouvoir les monts, Sentit bruſler ſon cœur de l’amoureuſe flamme, Et vint juſqu’aux Enfers redemander ſa femme.	La seule Bris est le prix de ses peines, Et seule lui tient lieu des dépouilles Troyennes, Ce chantre Thracien, qui par ses doux frédons Esbrandla les forêts, et fit mouvoir les monts, Sentit brûler son cœur de l'amoureuse flamme, Et vint jusqu'aux Enfers redemander sa femme.
ohoquul punque doue couou lamoureuxfouci, Aimons, aimons, Berger, & luy cedons auſſi.	ohoquul punque doue couou lamoureuxfouci, Aimons, aimons, Berger, et lui cédons aussi.
ALEXIS.	ALEXIS.
Ce que de ces Heros ta bouche me raconte, Eſt ce qui les ternit, & ce qui fait leur honte:	Ce que de ces Héros ta bouche me raconte, Est ce qui les ternit, et ce qui fait leur honte:
Hercule au rang des Dieux ne fuſt jamais monté, S’il euſt eſté toûjours prés d’Omphale arreſté.	Hercule au rang des Dieux ne fût jamais monté, S'il eût été toujours prés d'Omphale arrêté.
e la ll la l dc N’aime donc point brutal, & te prives toy-meſme Des plaiſirs innocens, qu’on reſſent quand on aime.	Je la l' la l a L'aime donc point brutal, et te prives toi-même Des plaisirs innocents, qu'on ressent quand on aime.
ALEXIS.	ALEXIS.
Quels plaiſirs a l’amour, qu’on puiſſe comparer Aux ſupplices cruels, qu’il nous fait endurer?	Quels plaisirs à l'amour, qu'on puisse comparer Aux supplices cruels, qu'il nous fait endurer?
Voit-on pas les Amans ſoûpirer & ſe plaindre, Eſtre bleſmes, chagrins, & preſque toûjours craindre, N’eſtre jamais contens, & maudire le jour, Que leur cœur s’eſt laiſſé ſurprendre par l’amour.	Voit-on pas les Amants soupirer et se plaindre, Estre blesmes, chagrins, et presque toujours craindre, N'être jamais contents, et maudire le jour, Que leur cœur s'est laissé surprendre par l'amour.
ORANTE.	ORANTE.
Tu changerois bien-toſt tes noires calomnies, Si tu connoiſſois mieux les douceurs infinies, Les delices, la joye, & les plaiſirs charmans, Que l’amour fait gouſter aux fidelles Amans.	Tu changerais bientôt tes noires calomnies, Si tu connaissais mieux les douceurs infinies, Les délices, la joie, et les plaisirs charmands, Que l'amour fait goûter aux fidèles Amants.
De l’objet qu’on cherit vn regard favorable, Vn ſoûpir languiſſant, vn ſouris agreable, Vn entretien ſecret, vn ſervice accepté, Valent tout le plaiſir qui peut eſtre gouſté.	De l'objet qu'on chérit un regard favorable, Un soupir languissant, un souris agréable, Un entretien secret, service accepté, Valent tout le plaisir qui peut avoir goûté.
Ie ne te diray point quelle eſt de l’Hymenée L’entiere liberté, l’eſtrainte fortunée,	Je ne te dirai point quelle est de l'Hyménée L'entière liberté, l'estrainte fortunée,
D iiij Penſe-la ſi tu peux, & ſonge comme alors L’vnion eſt parfaite, & d’eſprit, & de corps:	 Dijà Pense-la si tu peux, et songe comme alors L'union est parfaite, et d'esprit, et de corps:
Combien de paſmoiſons, d’extaſes, de foibleſſes, De doux embraſſemens, & de tendres careſſes:	Combien de pâmoisons, d'extases, de faiblesses, De doux embrassements, et de tendres caresses:
En cét, eſtat plaiſant que les momens ſont courts?	En cet, état plaisant que les moments sont courts?
Bergers, pour eſtre heureux il faut aimer toûjours.	Bergers, pour être heureux il faut aimer toujours.
ALEXIS.	ALEXIS.
Orallte y qui vour a leveleceomynerce;	Orallte y qui vour a leveleceomynerce;
Que doivent ignorer les modeſtes Bergeres?	Que doivent ignorer les modestes Bergères?
ORANTE.	ORANTE.
Trop curieux Berger, pourquoy vien-tu r’ouvrir Vne vieille douleur, que le temps deut guerir?	Trop curieux Berger, pourquoi viens-tu rouvrir Une vieille douleur, que le temps de guérir?
Sçache donc qu’autrefois je ſuivis ta maniere, Que, comme toy, je fus impitoyable & fiere, Et qu’vn jeune Berger m’ayant offert ſes vœux, I’affectay tes meſpris & ton air dédaigneux.	Sache donc qu'autrefois je suivis ta manière, Que, comme toi, je fus impitoyable et fière, Et qu'H jeune Berger m'ayant offert ses vœux, J'affectai té mépris et ton air dédaigneux.
Helas!	Hélas!
il m’en ſouvient, ah cruelle journée, Lors que mon Corydon, ſur le bord du Penée, Se jettant à mes pieds, me preſſa doucement, De vouloir conſentir qu’il m’aimaſt ſeulement.	il m'en souvient, ah cruelle journée, Lors que mon Corydon, sur le bord du Penée, Se jetant à mes pieds, me pressa doucement, De vouloir consentir qu'il m'aimât seulement.
Quoy qu’en ſecret pour luy mon ame fuſt atteinte, Ie voulus juſqu’au bout pouſſer exprés la feinte;	Quo qu’en secret pour avoir mon âme fût atteinte, Je voulus jusqu'au bout pousser exprès la feinte;
Non, non, n’eſpere point, réponds-je avec aigreur, Que j’accepte jamais le preſent de ton cœur;	Non, non, n'espère point, réponds-je avec aigreur, Que j'accepte jamais le présent de ton cœur;
Ie m’enfuis auſſi-toſt, & lors que je m’arreſte, Ie voy pancher ſon corps, & s’abbaiſſer ſa teſte;	Je m'enfuis aussitôt, et lors que je m'arrête, Je vois pancher son aussi, et s'abaisser sa tête;
Ie reviens ſur mes pas, & d’vn lugubre ton, Arreſte, luy criay-je, arreſte Cory don:	Je reviens sur mes pas, et d'une lugubre ton, Arrête, tu criai-je, arrête Cory don:
Mais il eſt ſous les flots, & ma pitié tardive Ne le rencontre plus quand je ſuis ſur la rive.	Mais il est sous les flots, et ma pitié tardive Ne le rencontre plus quand je suis sur la rive.
Combien depuis ce jour ay-je verſé de pleurs?	Combien depuis ce jour ai-je versé de pleurs?
Combien ay-je accuſé mes injuſtes rigueurs?	Combien ai-je accusé mes injustes rigueurs?
Combien, me promenant prés ce meſme boccage, Me ſuis-je rappellé ſon air & ſon langage?	Combien, me promenant près ce même bocage, Me suis-je rappelé son air et son langage?
Il m’a dit mille fois ce qu’ici je te dis, Mais il le diſoit mieux, il m’aimoit, Alexis.	Il m'a dit mille fois ce qu'ici je te dis, Mais il le disait mieux, il m'aimait, Alexis.
Quelquefois dans le fort de ſa douleur mortelle, Orante, ajouſtoit-il, vous eſtes jeune & belle, Vous avez mille attraits, vous avez mille appas, Mais, Orante, aprés tout, ne vous y fiez pas;	Quelquefois dans le fort de sa douleur mortelle, Orante, ajoutait-il, vous êtes jeune et belle, Vous avez mille attraits, vous avez mille appas, Mais, Orante, après tout, ne vous y fiez pas;
Les Lys ſont grands & beaux, les Rozes ſont divines Et cependant tous deux ſechent ſur leurs racines;	Les Lys sont grands et beaux, les Rozes sont divines Et cependant tous deux sèchent sur leurs racines;
De meſme la beauté ne dure qu’vn matin, Elle eſt fleur, & des fleurs elle ſuit le deſtin.	De même la beauté ne dure qu'autre matin, Elle est fleur, et des fleurs elle suit le destin.
Ainſi pour eſtre beau, n’en ſois pas plus ſauvage, La fierté ne ſied pas aux Bergers de ton âge, Laiſſe donc tes foreſts, & te rends à l’amour, Le temps paſſe, Alexis, & n’a point de retour.	Ainsi pour être beau, n'en sois pas plus sauvage, La fierté ne sied pas aux Bergers de ton âge, Laisse donc tes forêts, et te rends à l'amour, Le temps passe, Alexis, et n'a point de retour.
ALEXIS.	ALEXIS.
Adieu, qu’en ſon erreur chacun de nous demeure, Vous, ſi l’amour vous plaiit, aimez à la bonne heure.	Adieu, qu'en son erreur chacun de nous demeure, Vous, si l'amour vous plaiit, aimez à la bonne heure.
SCENE IV.	SCÈNE IV.
ORANTE.	ORANTE.
YA cruel, va Barbare, entre en ces bois prochains, VEt ne reviens jamais frequenter les humains.	YA cruel, va Barbare, entre en ces bois prochains, VEt ne reviens jamais fréquenter les humains.
Helas, que vais-je dire à la pauvre Meliſſe, Ie crains qu’à ce recit ſa douleur ne s’aigriſſe;	Hélas, que vais-je dire à la pauvre Mélisse, Je crains qu'à ce récit sa douleur ne s'aigrisse;
Cachons-luy la moitié de ce.	Cachons-lui la moitié de ce.
mais la voici.	mais la voici.
SCENE V.	SCÈNE V.
ORANTE, MELISSE.	ORANTE, MÉLISSE.
Il ne fait que partil, & hous lortons d’ememole:	Il ne fait que partil, et hous lortons d'ememole:
Ie m’eſtonne comment.	Je m'étonne comment.
MELISSE.	MÉLISSE.
Ah', chere ſœur, je tremble.	Ah', chère sœur, je tremble.
6tit Ià tes raiſons laiſſé perſuader?	6tit Ià tes raisons laissé persuader?
ORANTE.	ORANTE.
Il s’obſtine toujots, d ne veur point ceuti	Il s'obstine toujots, d ne veut point ceuti
MELISSE.	MÉLISSE.
A-t-il pris monpreſent?	A-t-il pris monprésent?
ORANTE.	ORANTE.
Non, je vous le rapporte.	Non, je vous le rapporte.
MELISSE.	MÉLISSE.
Avecque moy l’ingrat agir de cette ſorte;	Avec moi l'ingrat agir de cette sorte;
Hé bien, puiſqu’il perſiſte à nous haïr toûjours, La mort ſeule nous peut accorder du ſecours.	Hé bien, puisqu'il persiste à nous haïr toujours, La mort seule nous peut accorder du secours.
Adieu ſombres foreſts, adieu charmant boccage, Adieu ruiſſeau d’argent, adieu plaiſant rivage, Lieux que j’ay tant de fois arroſez de mes pleurs, Lieux à qui tant de ſois j’ay conté mes douleurs, Confidens de mes feux, témoins de mon martyre, Ie ne l’ay dit qu’à vous, bois, fontaines, Zephyre, Et c’eſt vous ſeuls auſſi, qui ſçaurez qu’Alexis Me cauſe le trépas, par ſes cruels mépris.	Adieu sombres forêts, adieu charmant boccage, Adieu ruisseau d'argent, adieu plaisant rivage, Lieux que j'ai tant de fois arrosez de mes pleurs, Lieux à qui tant de sois j'ai conté mes douleurs, Confidents de mes feux, témoins de mon martyre, Je ne l'ai dit qu'à vous, bois, fontaines, Zéphyre, Et c'est vous seuls aussi, qui saurez qu'Alexis Me cause le trépas, par ses cruels mépris.
Ne luy parlez donc point de ſon ingratitude, S’il addreſſe ſes pas par voſtre ſolitude, Preſtez-luy voſtre ombrage, offrez-luy voſtre frais, Maisne r'actubler pomembutlages mdiſcrets.	Ne lui parlez donc point de son ingratitude, S'il adresse ses pas par votre solitude, Prés-lui votre ombrage, offrez-lui votre frais, Maîne ractubler pomembutlages médiscréts.
ORANTE.	ORANTE.
Meliſſe, mõderez l'ardeur qui vous poiſede.	Mélisse, modérez l'ardeur qui vous poisède.
MELISSE.	MÉLISSE.
Dans les extrémes maux la mort eſt vn remede.	Dans les extrêmes maux la mort est un remède.
SCENE VI.	SCÈNE VI.
MELISSE, ORANTE, TIRCIS.	MÉLISSE, ORANTE, TIRCIS.
ORANTE.	ORANTE.
PTIRCIS, que cherchez-vous?	PTIRCIS, que cherchez-vous?
6 mullOed.	6 mullOed.
Ie m’eſtois eſgaré, Mais je Iuis maitenant du chemin aſſuré.	Je m'étais égaré, Mais je Juis maitenant du chemin assuré.
ORANTE.	ORANTE.
N’eſtiez-vous pas allé pour conſulter l’Oracle?	N'étiez-vous pas allé pour consulter l'Oracle?
I’en reviens.	J'en reviens.
TIRCIS.	TIRCIS.
ORANTE.	ORANTE.
Les grands Dieux ſans doute ont fait miracle.	Les grands Dieux sans doute ont fait miracle.
TIRCIS.	TIRCIS.
Ie ſuis vn peu prente, je ne puis in arreſter, Venez dans le hameau, vous pourrez l’écouter.	Je suis un peu prente, je ne puis in arrêter, Venez dans le hameau, vous pourrez l'écouter.
SCENE VII.	SCÈNE VII.
MELISSE, ORANTE,	MÉLISSE, ORANTE,
ORANTE.	ORANTE.
ELISSE, allons des Dieux entendre la réM ponſe.	ELISSE, allons des Dieux entendre la réM ponse.
MELISSE.	MÉLISSE.
Tout INelt mndicrent, Orante, jj rehonece	Tout INelt mendicrent, Orante, j' rehonece
ORANTE.	ORANTE.
Venez, le cœur me dit que vous rencontrerez Dans l’Oracle des Dieux, plus que vous n’eſperez.	Venez, le cœur me dit que vous rencontrerez Dans l'Oracle des Dieux, plus que vous n'espérez.
MELISSE.	MÉLISSE.
Ie ne veux que la mort, c’eſt le bien où j’aſpire;	Je ne veux que la mort, c'est le bien où j'aspire;
ORANTE.	ORANTE.
Ne determinez rien & vous laiſſez conduire.	Ne déterminez rien et vous laissez conduire.
ACTE IV.	ACTE IV.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ALCANDRE, TIRCIS, DAMON, ALEXIS, PHILENE, TROVPE DE BERGERS ET BERGERES.	ÀLCANDRE, TIRCIS, DAMON, ALEXIS, PHILENE, TROUPE DE BERGERS ET BERGÈRES.
ALCANDRE.	ÀLCANDRE.
’EST en des lieux ſecrets, & du bruit écartez, Que les divins Arreſts doivent eſtre écoutez:	EST en des lieux secrets, et du bruit écartés, Que les divins Arrêts doivent être écoutez:
Les Dieux en l’âge d’or dans les champs habiterent, Se plûrent aux foreſts, & les bois frequenterent;	Les Dieux en l'âge d'or dans les champs habitèrent, Se plurent aux forêts, et les bois fréquentèrent;
Apollon fut Berger, & prés des claires eaux, Il porta la houlette, & mena les troupeaux.	Apollon fut Berger, et près des claires eaux, Il porta la houlette, et mena les troupeaux.
Depuis pour accomplir leurs ſublimes myſteres, Ils ont ſouvent choiſi les foreſts ſolitaires, Dodone en eſt témoin, dont il n’eſt aux mortels D’Oracle D’Oracle moins obſcur que ſes bois immortels.	Depuis pour accomplir leurs sublimes mystères, Ils ont souvent choisi les forêts solitaires, Dodone en est témoin, dont il n'est aux mortels D'Oracle D'Oracle moins obscur que ses bois immortels.
Dites-nous donc, Tircis, qu’a reſpondu l’Oracle?	Dites-nous donc, Tircis, qu'a répondu l'Oracle?
Quelque crime a noſtre neur rormeroſt-Iobſtacle?	Quelque crime a notre neur rormerôt-Iobstacle?
TIRCIS.	TIRCIS.
Par voſtre ordre, Seigneur, au Temple eſtant rendu, Voici ce qu’a l’Oracle à ma voix répondu.	Par votre ordre, Seigneur, au Temple étant rendu, Voici ce qu'a l'Oracle à ma voix répondu.
ORACLE.	ORACLE.
N’eſperez point, Bergers, que la peſte finiſſe, Qu’vn inſenſible cœur ne bruſle en ſacrifice;	N'espérez point, Bergers, que la peste finisse, Qu'un insensible cœur ne brûle en sacrifice;
119 Vous aurez lors l’Amour favorable à vos vœux, Et verrez vos troupeaux, plus gras, & plus nombreux.	119 Vous aurez lors l'Amour favorable à vos vœux, Et verrez vos troupeaux, plus gras, et plus nombreux.
ALCANDRE.	ÀLCANDRE.
Il relit l’Oracle.	Il relit l'Oracle.
On n’entend pas d’abord les reſponſes celeſtes, Et c’eſt en meditant qu’elles ſont manifeſtes.	On n'entend pas d'abord les réponses célestes, Et c'est en méditant qu'elles sont manifestes.
Comiprenez-vous, Daion, ce que l’Oracle enjoint e	Comiprenez-vous, Daion, ce que l'Oracle enjoint é
DAMON.	DAMON.
Il me paroiſt obicur, & je ne l’entends poiſſt.	Il me paraît obicur, et je ne l'entends poiss.
ALCANDRE.	ÀLCANDRE.
Et vous, Tircis?	Et vous, Tircis?
TIRCIS.	TIRCIS.
Pour moy, je croy le mieux comprendre, Quelque cœur veut ici de l’Amour ſe deffendre;	Pour moi, je crois le mieux comprendre, Quelque cœur veut ici de l'Amour se défendre;
Les Dieux pour expier vi crime ſr'nonteux, Qui choque leur pouvoir, & rejallit ſur eux, Veulent, que par vn prompt & juſte ſacrifice, Sur vn ardent bucher le coupable on puniſſe.	Les Dieux pour expier vi crime sr'nonteux, Qui choque leur pouvoir, et rejaillit sur eux, Veulent, que par un prompt et juste sacrifice, Sur un ardent bûcher le coupable on punisse.
ALCANDRE.	ÀLCANDRE.
Quoy!	Quoi!
ſeroit-il bien vray qu’vne ſi folle erreur Eut de quelque Bergere empoiſonné le cœur?	serait-il bien vrai qu'une si folle erreur Eut de quelque Bergère empoisonné le cœur?
Qu’elle ſe deffendit d’vne honneſte tendreſſe, Et tiraſt vanité de ſa propre foibleſſe?	Qu'elle se défendit d'une honnête tendresse, Et tirât vanité de sa propre faiblesse?
Ah, s’il s’en peut trouver, il eſt juſte, grands Dieux, Qu’on venge par ſa mort ce deſſein furieux.	Ah, s'il s'en peut trouver, il est juste, grands Dieux, Qu'on venge par sa mort ce dessein furieux.
Ce n’eſt pas d’aujourd’huy qu’ona puni-ce crimo L’Hiſtoire en a rendu la peine legitime, Et les Fleurs des jardins, & les Arbres des Bois, Sont les reſtes honteux des fieres d’autrefois.	Ce n'est pas d'aujourd'hui qu'on puni-ce crimo L'Histoire en a rendu la peine légitime, Et les Fleurs des jardins, et les Arbres des Bois, Sont les restes honteux des fières d'autrefois.
En effet c’eſt aux Dieux faire vne inſigne injure, Qu’eſtouffer vn inſtinct qu’imprime la Nature;	En effet c'est aux Dieux faire une insigne injure, Qu'étouffer un instinct qu'imprime la Nature;
Et qui ſouſtrait ſon cœur à ce charme ſi doux, Rompt les liens ſacrez qui nous vniſſent tous.	Et qui soustrait son cœur à ce charme si doux, Rompt les liens sacrés qui nous unissent tous.
Nvonmiez-nous done, Pireis, ia Dergere arrogante, Qui détruit nos troupeaux, & trompe noſtre attente?	Névonmiez-nous donce, Pireis, ja Dergère arrogante, Qui détruit nos troupeaux, et trompe notre attente?
TIRCIS.	TIRCIS.
Seigneur, je ne ſçay point de Bergere en ces lieux, A qui ſoit imputé ce forfait odieux;	Seigneur, je ne sais point de Bergère en ces lieux, À qui soit imputé ce forfait odieux;
Mais pluſtoſt vn Berger, dont l’aveugle inſolence.	Mais plutôt un Berger, dont l'aveugle insolence.
Puit la guerle aPiimour, ce brave ſa puiſſance.	Puit la guerle aPiimour, ce brave sa puissance.
ALCANDRE.	ÀLCANDRE.
Quel eſt cét inſenie, noinmez-ſe nous, Tircis?	Quel est cet insénie, noinmez-se nous, Tircis?
TIRCIS.	TIRCIS.
Le voilà devant vous,	Le voilà devant vous,
ALCANDRE.	ÀLCANDRE.
Qui donc?	Qui donc?
TIRCIS.	TIRCIS.
C’eſt Alexis.	C'est Alexis.
ALCANDRE.	ÀLCANDRE.
