M BimN	M MimN
Qu’il poſſede en un degré loüable la vertu prolifique, & qu’il eſt du temperament qu’il faut pour engendrer & procréer des Enfans bien conditionnez.	Qu'il possède en un degré louable la vertu prolifique, et qu'il est du tempérament qu'il faut pour engendrer et procréer des Enfants bien conditionnez.
ARGAN.	ARGAN.
N’eſt-ce pas voſtre intention, Monſieur, de le pouſſer à la Cour, & d’y ménager pour luy une Charge de Medecin.	N'est-ce pas votre intention, Monsieur, de le pousser à la Cour, et d'y ménager pour venir une Charge de Médecin.
M.	M.
DYAFOIRUS.	DYAFOIRUS.
A vous en parler franchement, noſtre meſtier auprés des Grands ne m’a jamais paru agreable, & j’ay toûjours trouvé qu’il valoit mieux, pour nous autres, demeurer au public.	À vous en parler franchement, notre métier auprès des Grands ne m'a jamais paru agréable, et j'ai toujours trouvé qu'il valait mieux, pour nous autres, demeurer au public.
Le public eſt commode;	Le public est commode;
vous n’avez à répondre de vos actions à perſonne, & pourveu que l’on ſuive le courant des regles de l’Art, on ne ſe met point en peine de tout ce qui peut arriver.	vous n'avez à répondre de vos actions à personne, et pourvu que l'on suive le courant des règles de l'Art, on ne se met point en peine de tout ce qui peut arriver.
Mars te qu’il y a de fâcheux auprés des Grands, c’eſt que quand ils viennent à eſtre malades, ils veulent abſolument que leurs Medecins les gueriſſent.	Mars te qu'il y a de fâcheux auprès des Grands, c'est que quand ils viennent à être malades, ils veulent absolument que leurs Médecins les guérissent.
TOINETTE.	TOINETTE.
Cela eſt plaiſant, & ils ſont bien impertinens de vouloir que vous autres Meſſieurs vous les gueriſſiez.	Cela est plaisant, et ils sont bien impertinents de vouloir que vous autres Messieurs vous les guérissiez.
Vous n’eſtes point auprés d’eux pour cela.	Vous n'êtes point auprès d'eux pour cela.
Vous n’y eſtes que pour recevoir vos penſions, & leur ordonner des Remedes, c’eſt à eux a guerir s’ils peuvent.	Vous n'y êtes que pour recevoir vos pensions, et leur ordonner des Remèdes, c'est à eux a guérir s'ils peuvent.
M.	M.
DYAFOIRUS.	DYAFOIRUS.
Cela eſt vray;	Cela est vrai;
On n’eſt obligé qu’à traiter les gens dans les formes.	On n'est obligé qu'à traiter les gens dans les formes.
ARGAN.	ARGAN.
Heohheur juuices un peu enanter ma Iille devant la Compagnie.	Héoheur juices un peu enanter ma Jille devant la Compagnie.
CLEANTE.	CLÉANTE.
J’attendois vos ordres, Monſieur, & il m’eſt venu en penſée, pour divertir la Compagnie, de chanter avec Mademoiſelle une Scene d’un petit Opera qu’on a fait depuis peu.	J'attendais vos ordres, Monsieur, et il m'est venu en pensée, pour divertir la Compagnie, de chanter avec Mademoiselle une Scène d'un petit Opera qu'on a fait depuis peu.
Tenez, voils voſtre partie.	Tenez, voilà votre partie.
Moy?	Moi?
ANGELIQUE.	ANGELIQUE.
CLEANTE.	CLÉANTE.
Ne vous deffendez point, s’il vous plaiſt, & me laiſſez vous faire comprendre ce que c’eſt que la Scene que nous devons chanter.	Ne vous défendez point, s'il vous plaît, et me laissez -vous faire comprendre ce que c'est que la Scène que nous devons chanter.
Je n’ay pas une voix a chanter;	Je n'ai pas une voix a chanter;
mhais il ſuffit que je me faſſe entendre, & l’on aura la bonté de m’exculer par la neceſſité où je me trouve de faire chans ter Mademoiſelle.	mhais il suffit que je me fasse entendre, et l'on aura la bonté de m'exculer par la nécessité où je me trouve de faire chans ter Mademoiselle.
ARGAN.	ARGAN.
Les Vers en ſont-ils beaux?	Les Vers en sont-ils beaux?
CLEANTE.	CLÉANTE.
C’eſt proprement icy un petit Opera improm:	C'est proprement ici un petit Opéra improm:
ptu, & vous n’allez entendre chanter, que de la Proſe cadencée, ou des manieres de Vers libres, tels que la paſſion & la neceſſité peuvent faire trouver à deux perſonnes qui diſent les choſes d’eux-meſmes, & parlent ſur le champ.	ptu, et vous n'allez entendre chanter, que de la Prose cadencée, ou des manières de Vers libres, tels que la passion et la nécessité peuvent faire trouver à deux personnes qui disent les choses d'eux-mêmes, et parlent sur le champ.
ARGAN.	ARGAN.
Fort bien.	Fort bien.
Ecoutons.	Écoutons.
CLEANTE.	CLÉANTE.
Voicy le ſujet de la Scene.	Voici le sujet de la Scène.
Un Berger eſtoit attentif aux beautez d’un Spectacle qui ne faiſoit que de commencer, lors qu’il fut tiré de ſon attention par un bruit qu’il entendit à ſes côtez.	Un Berger était attentif aux beautés d'un Spectacle qui ne faisait que de commencer, lors qu'il fut tiré de son attention par un bruit qu'il entendit à ses côtés.
Il ſe retourne, & voit un brutal, qui de paroles inſolentes mal-traitoit une Bergere.	Il se retourne, et voit un brutal, qui de paroles insolentes maltrait une Bergère.
D’abord il prend les intereſts d’un ſexe à qui tous les hommes doivent hommage;	D'abord il prend les intérêts d'un sexe à qui tous les hommes doivent hommage;
& apres avoir donné au brutal le chaſtiment de ſon inſolence, il vient à la Bergere, & voit une jeune perſonne qui des deux plus beaux yeux qu’il euſt jamais veus, verſoit des larmes, qu’il trouva les plus belles du monde.	et après avoir donné au brutal le châtiment de son insolence, il vient à la Bergère, et voit une jeune personne qui des deux plus beaux yeux qu'il eût jamais vus, versait des larmes, qu'il trouva les plus belles du monde.
Helas!	Hélas!
dit-il en luy-meſme, eſt-on capable d’outrager une perſonne ſi aimable!	dit-il en Roy-même, est-on capable d'outrager une personne si aimable!
Et quel inhumain, quel barbare ne ſerost touché par de telles larmes?	Et quel inhumain, quel barbare ne serôt touché par de telles larmes?
Il prend ſoin de les arreſter, ces larmes qu’il trouve ſi belles, & l’aimable Bergere prend ſoin en meſme ten pe de le remercier de ſon leger ſervice;	Il prend soin de les arrêter, ces larmes qu'il trouve si belles, et l'aimable Bergère prend soin en même ten pe de le remercier de son léger service;
mais d’une maniere ſi charmante, ſi tendre, & ſi paſſionnée, que le Berger n’y peut reſiſter, & chaque mot, chaque regard, eſt un trait plain de flâme, dont ſon cœur ſe ſent penetré.	mais d'une manière si charmante, si tendre, et si passionnée, que le Berger n'y peut résister, et chaque mot, chaque regard, est un trait plain de flamme, dont son cœur se sent pénétré.
Eſt-il, diſoit-il, quelque choſe qui puiſſe meriter les aimables paroIes d’un tel remerciment?	Est-il, disait-il, quelque chose qui puisse mériter les aimables paroIes d'un tel remerciment?
Et que ne voudroiton pas faire;	Et que ne voudrait pas faire;
à quels ſervices, à quels dangers ne ſeroit-on pas ravy de courir pour s’attirer un feul moment des touchantes douceurs d’une ame ſi reconnoiſſante?	à quels services, à quels dangers ne serait-on pas ravi de courir pour s'attirer un seul moment des touchantes douceurs d'une âme si reconnaissante?
Tout le Spectacle paſſe ſans qu’il y donne aucune attention;	Tout le Spectacle passe sans qu'il y donne aucune attention;
mais il ſe plaint qu’il eſt trop court, parce qu’en finiſſant il le ſepare de ſon adorable Bergere, & de cette premiere veuë, de ce premier moment il emporte chez luy tout ce qu’un amour de pluſieurs anhées peut avoir de plus violent.	mais il se plaint et de cette première plut, parce qu'en finissant il le sépare de son adorable Bergère, et de cette première vue, de ce premier moment il emporte chez avoir tout ce qu'un amour de plusieurs anhées peut avoir de plus violent.
Le voila auſſitoſt à ſentir tous les maux de l’abſence, & il eſt tourmenté de ne plus voir ce qu’il a ſi peu veu.	Le voilà aussitôt à sentir tous les maux de l'absence, et il est tourmenté de ne plus voir ce qu'il a si peu .
Il fait tout ce qu’il peut pour ſe redonner cette veuë, dont il conſerve nuit & jour une ſi chere idée, mais la grande contrainte où l’on tient ſa Bergerè luy en oſte tous les moyens.	Il fait tout ce qu'il peut pour se redonner cette vue, dont il conserve nuit et jour une si chère idée, mais la grande contrainte où l'on tient sa Bergerge lui en ôte tous les moyens.
La violence de ſa paſſion le fait reſoudre à demander en mariage l’adorable Beauté ſans laquelle il ne peut plus vivre, & il en obtient d’elle la permiſſion par un Billet qu’il a l’adreſſe de luy faire tenir.	La violence de sa passion le fait résoudre à demander en mariage l'adorable Beauté sans laquelle il ne peut plus vivre, et il en obtient d'elle la permission par un Billet qu'il a l'adresse de lui faire tenir.
Mais dans le meſme temps on l’avertit que le Pere de cette Belle a conclu ſon mariage avec un autre, & que tout ſe diſpoſe pour en celebrer la Ceremonie.	Mais dans le même temps on l'avertit que le Père de cette Belle a conclu son mariage avec un autre, et que tout se dispose pour en célébrer la Ceremonie.
Jugez quelle atteinte cruelle au cœur de ce triſte Berger.	Jugez quelle atteinte cruelle au cœur de ce triste Berger.
Le voila accablé d’une mortelle douleur.	Le voilà accablé d'une mortelle douleur.
Il ne peut ſouffrir l’effroyable Idée de voir tout ce qu’il aime entre les bras d’un autre, & ſon amour au deſeſpoir luy fait trouver moyen de s’introduire dans la maiſon de ſa Bergere, pour apprendre ſes ſentimens, & ſçavoir d’elle la Deſtinée à laquelle il doit ſe reſoudre.	Il ne peut souffrir l'effroyable Idée de voir tout ce qu'il aime entre les bras d'un autre, et son amour au désespoir sens fait trouver moyen de s'introduire dans la maison de sa Bergère, pour apprendre ses sentiments, et savoir d'elle la Destinée à laquelle il doit se résoudre.
Il y rencontre les appreſts de tout ce qu’il craint.	Il y rencontre les apprêts de tout ce qu'il craint.
Il y voit venir l’indigne Rival que le caprice d’un Pere oppoſe aux tendreſſes de ſon amour.	Il y voit venir l'indigne Rival que le caprice d'un Père oppose aux tendresses de son amour.
Il le voit Triomphant, ce Rival ridicule, auprés de l’aimable Bergere, ainſi qu’auprés d’une Conqueſte qui luy eſt aſſeurée, & cette veuë le remplit d’une colere dont il a peine à ſe rendre le maiſtre.	Il le voit Triomphant, ce Rival ridicule, auprès de l'aimable Bergère, ainsi qu'auprès d'une Conquête qui a est assurée, et cette vue le remplit d'une colère dont il a peine à se rendre le maître.
Il jette de douloureux regards ſur celle qu’il adore, & ſon reſpect & la preſence de ſon Pere, l’empeſchent de luy rien dire que des yeux;	Il jette de douloureux regards sur celle qu'il adore, et son respect et la présence de son Père, l'empêchent deeyne rien dire que des yeux;
mais enfin il force toute contrainte, & le tranſport de ſon amour l’obli	mais enfin il force toute contrainte, et le transport de son amour l'obli
Elle Philis;	Elle Philis;
c’eſt trop, c'eſt trop ſouffrir, DRompons ce dur ſilence, & m’ouvrez vgt penſées;	c'est trop, c'est trop souffrir, DRompons ce dur silence, et m'ouvrez végt pensées;
Apprenez-moy ma Deſtinée, Faut-il vivre?	Apprenez-moi ma Destinée, Faut-il vivre?
faut-il mourir?	faut-il mourir?
ANGELIQUE.	ANGELIQUE.
Vous me voyez, Tircis, triſte & melancolique Aux aprets de l’Hymen dont vous vous allarmez, Ie leve au Ciel les yeux, je vous regarde, je ſoûpire C’eſt vous en dire aſſez.	Vous me voyez, Tircis, triste et mélancolique Aux aprets de l'Hymen dont vous vous alarmez, Je lève au Ciel les yeux, je vous regarde, je soupire C'est vous en dire assez.
ARGAN.	ARGAN.
Ouais, je ne croyois pas que ma Fille fuſt ſi habile que de chanter ainſi à Livre ouvert ſans heſiter.	Ouais, je ne croyais pas que ma Fille fût si habile que de chanter ainsi à Livre ouvert sans hésiter.
CLEANTE.	CLÉANTE.
Helas, belle Philis, Se pourroit-il que l’amoureux Tircis Euſt aſſez de bon-heur Comt uuour iqueiqut pruce uuns voſtre cœur.	Hélas, belle Philis, Se pourrait-il que l'amoureux Tircis Eut assez de bonheur Compt uour iqueiqut pruce uuns vôtre cœur.
ANGELIQUE.	ANGELIQUE.
Ie ne m’en deffends point dans cette peine extréme;	Je ne m'en défends point dans cette peine extrême;
Oüy, Tircis, je vous ayme.	Oui, Tircis, je vous aime.
CLEANTE.	CLÉANTE.
O parole pleine d’appas Ay-je bien entendu, helas!	Ô parole pleine d'appas Ai-je bien entendu, hélas!
Rauiteseta, Tmtus, que je n’en doute pas.	Raviteseta, Tmtus, que je n'en doute pas.
ANGELIQUE.	ANGELIQUE.
Ouy, Tircis, je vous aime.	Oui, Tircis, je vous aime.
CLEANTE.	CLÉANTE.
De grace encor Philis.	De grâce encor Philis.
ANGELIQUE.	ANGELIQUE.
Ie vous ayme.	Je vous aime.
CLEANTE.	CLÉANTE.
Recomencez cent fois, ne vous en laſſez pat.	Recomencez cent fois, ne vous en lassez pat.
Ie vous ayme, je vous ayme, Oüy, Tircis, je vous aime.	Je vous aime, je vous aime, Oui, Tircis, je vous aime.
CLEANTE.	CLÉANTE.
Dieux, Rois, qui ſous vos pieds regardez tout le mõde.	Dieux, Rois, qui sous vos pieds regardez tout le monde.
Pouvez-vous comparer voſtre bon-heur au mien;	Pouvez-vous comparer votre bonheur au mien;
Mais, Philis, une penſée vient trouvier te uoux tranſport, Vn Rival, un Rival.	Mais, Philis, une pensée vient trouvier te uoux transport, Un Rival, un Rival.
ANGELIQUE.	ANGELIQUE.
Ah!	Ah!
je le hay plus que la mort, Et ſa preſence ainſi qu’à vous na eji mo emouſupplice.	je le hais plus que la mort, Et sa présence ainsi qu'à vous na éj ou emousupplice.
CLEANTE.	CLÉANTE.
Mais un Pere a ſes vœux vous veut aſſujettir.	Mais un Père a ses vœux vous veut assujettir.
ANGELIQUE.	ANGELIQUE.
Pluſtoſt pluſtoſt mourir Que de jamais y conſentir, Pluſtoſt, pluſtoſt mourir, pluſtoſt mourir.	Plutôt plutôt mourir Que de jamais y consentir, Plutôt, plutôt mourir, plutôt mourir.
al le e n la Et que dit le Pere a tout cela?	al le eu n la Et que dit le Père a tout cela?
CLEANTE.	CLÉANTE.
Il ne dit rien.	Il ne dit rien.
ARGAN.	ARGAN.
Voilà un ſot Pere que ce Pere-là, de ſouffrir toutes ces ſottiſes-là, ſans rien dire.	Voilà un sot Père que ce Père-là, de souffrir toutes ces sottises-là, sans rien dire.
CLEANTE.	CLÉANTE.
Ah uνon amour.	Ah uon amour.
ARGAN.	ARGAN.
Non, non, en voila aſſez, cette Comedie-la eſt de fort mauvais excmple.	Non, non, en voilà assez, cette Comédie-la est de fort mauvais excmple.
Le Berger Tircis eſt un impertinent, & la Bergere Philis une impudente de parler de la ſorte devant ſon Pere.	Le Berger Tircis est un impertinent, et la Bergère Philis une impudente de parler de la sorte devant son Père.
Montrez-moy ce papier.	Montrez-moi ce papier.
Ha ha.	Ha ha.
Où ſont donc les paroles que vous avez dites?	Où sont donc les paroles que vous avez dites?
Il n’y a là que de la Muſique écrite.	Il n'y a là que de la Musique écrite.
CLEANTE.	CLÉANTE.
Eſt-ce que vous ne ſçavez pas, Monſieur, qu’on a trouvé depuis peu l’invention d’écrire les paroles avec les notes-meſmes?	Est-ce que vous ne savez pas, Monsieur, qu'on a trouvé depuis peu l'invention d'écrire les paroles avec les notes-mêmes?
ARGAN.	ARGAN.
Fort bien.	Fort bien.
Je ſuis voſtre ſerviteur, Monſieur;	Je suis votre serviteur, Monsieur;
quiqu'au fevonr.	quiqu'au févonr.
Rous lous ſerions bien paſſez de voſtre impertinent d’Opera.	Rous lous serions bien passez de votre impertinent d'Opera.
CLLANIE.	CLLANIE.
J’ay ereu vous divertir.	J'ai eu vous divertir.
ARGAN.	ARGAN.
nes fotthes ne urvertient pomt.	nés fothes ne urvertient pompt.
Ah voicy ma Femme.	Ah voici ma Femme.
SCENE VI.	SCÈNE VI.
BELINE, ARGAN, TOINETTE, ANGELIQUE, M.	BÉLINE, ARGAN, TOINETTE, ANGELIQUE, M.
DYAFOIRUS, T.	DYAFOIRUS, T.
DYAFOIRUS.	DYAFOIRUS.
ARGAN.	ARGAN.
A Mour, voila le Fils de M.	À Mour, voilà le Fils de M.
Dyafoi	Disafoi
T.	T.
DYAFOIRUS.	DYAFOIRUS.
Madame, c’eſt avec juſtite que le Ciel vous a concede le nom de Belle-mere, puiique l’on voit ſur voſtre viſage.	Madame, c'est avec justite que le Ciel vous a concède le nom de Bellere, pviique l'on voit sur votre visage.
BELINE.	BÉLINE.
Monſieur, je ſuis ravie d’eſtre venuë icy à propos pour avoir l’honneur de vous voir.	Monsieur, je suis ravie d'être venue ici à propos pour avoir l'honneur de vous voir.
T.	T.
DYAFOIRUS.	DYAFOIRUS.
Puiſque l’on voit ſur voſtre viſage.	Puisque l'on voit sur votre visage.
Madame, vous m’avez interrompu dans le milieu de ina perioue, & cela ſii à trouuie la memoire.	Madame, vous m'avez interrompu dans le milieu de ina périoue, et cela sii à trouvie la mémoire.
M.	M.
DYAFOIRUS.	DYAFOIRUS.
Thomas, reſervez cela pour une autrefois.	Thomas, réservez cela pour une autrefois.
ARGAN.	ARGAN.
je roumonjuu Mie, que vous euſſiez eſté icy tantoſt.	je roumonju Mie, que vous eussiez esté ici tantôt.
TOINETTE.	TOINETTE.
Ah, Madame, vous avez bien perdu de n’avoir point eſte au ſecond Pere, à la Stâtuë de Memnon, & à la Fleur nommée Heliotrope.	Ah, Madame, vous avez bien perdu de n'avoir point este au second Père, à la Stâtuë de Mémnon, et à la Fleur nommée Héliotrope.
ARGAN.	ARGAN.
Allons, ma Fille, touchez dans la main de Monſieur, & luy donnez voſtre Foy comme à voldle Mary.	Allons, ma Fille, touchez dans la main de Monsieur, et et donnez votre Foi comme à voldle Mari.
ANGELIQUE.	ANGELIQUE.
Mon Pere.	Mon Père.
ARGAN.	ARGAN.
Hé bien, mon Pere.	Hé bien, mon Père.
Qu’eſt-ce que cela veſr dire?	Qu'est-ce que cela vér dire?
ANGELIQUE.	ANGELIQUE.
De grace ne precipitez pas les choſes.	De grâce ne précipitez pas les choses.
Donneznous au moins le temps de nous comnontre, & de voïr naiſtre en nous l’un pour l’autre cette inclination ſi neceſſaire a compoſer une union parfaite.	Donneznous au moins le temps de nous comnontre, et de voïr naître en nous l'un pour l'autre cette inclination si nécessaire à composer une union parfaite.
T.	T.
DYAFOIRUS.	DYAFOIRUS.
Quant à moy, Mademoiſelle, elle eſt déja toute née en moy, & je n’ay pas beſoin d’attendre davantage.	Quant à moi, Mademoiselle, elle est déjà toute née en moi, et je n'ai pas besoin d'attendre davantage.
ANGELIQUE.	ANGELIQUE.
Si vous eſtes ſi prompt, Monſieur, il n’en eſt pas de meſme de moy, & je vous avouë que vôtre merite n’a pas encore fait aſſez d’impreſſion fans mon ame.	Si vous êtes si prompt, Monsieur, il n'en est pas de même de moi, et je vous avoue que votre mérite n'a pas encore fait assez d'impression sans mon âme.
ARGAN.	ARGAN.
Ho bien, bien, cela aura tout le loiſir de ſe faire quand vous ſerez mariez enſemble.	Ho bien, bien, cela aura tout le loisir de se faire quand vous serez mariez ensemble.
ANGELIQUE.	ANGELIQUE.
Eh mon pere, donnez-moy du temps, je vous prie, le Mariage eſt une chaîne, où l’on ne doit jamais ſoûmettre un cœur parforce;	Eh mon père, donnez-moi du temps, je vous prie, le Mariage est une chaîne, où l'on ne doit jamais soumettre un cœur parforce;
& ſi Monſieur eſt honneſte homme, il ne doit point vouloit accepter une periohne, qui ieroit à luy par contrainte.	et si Monsieur est honnête homme, il ne doit point voulait accepter une périohne, qui jerait à lui Ma contrainte.
CLEANTE.	CLÉANTE.
Nego conſequentiam, Mademoiſelle;	Négo conséquentiam, Mademoiselle;
& je puis eſtre honneſte homme, & vouloir bien vous accepter des mains de Monſieur voſtre Pere.	et je puis être honnête homme, et vouloir bien vous accepter des mains de Monsieur votre Père.
ANOELIQOL.	ANOELIQOL.
C’eſt un méchant moyen de ſe faire aimer de quelqu’un, que de luy faire violence.	C'est un méchant moyen de se faire aimer de quelqu'un, que de peine faire violence.
CLEANTE.	CLÉANTE.
Nous liſons des Anciens, Mademoiſelle, que Ieur couſtume eſtoit d’enlever par force de la analion des Peres ſes Pirſes qu'on Menort marier, afin qu’il ne ſemblaſt pas que ce fuſt de leur conſentement qu’elles convoiloient dans les bras d’un homme.	Nous lisons des Anciens, Mademoiselle, que Jeur coutume était d'enlever par force de la analion des Pères ses Pirses qu'on Ménort marier, afin qu'il ne semblât pas que ce fût de leur consentement qu'elles convoilaient dans les bras d'un homme.
ANGELIQUE.	ANGELIQUE.
Les Anciens, Monſieur, ſont les Anciens, & mous ſommes les gens de maintenant.	Les Anciens, Monsieur, sont les Anciens, et mous sommes les gens de maintenant.
Les grimaces ne font point necenarres dans fonſt Siecle;	Les grimaces ne font point nécénarres dans font Siècle;
& quand un mariage nous plaiſt, nous ſçavons fort bien y aller, ſans qu’on nous y traiſne.	et quand un mariage nous plaît, nous savons fort bien y aller, sans qu'on nous y traîne.
Donnez-vous patience;	Donnez-vous patience;
ſi vous m’aimez, Monſieur, vous devez vouloir tout ce que je veux.	si vous m'aimez, Monsieur, vous devez vouloir tout ce que je veux.
E T.	E T.
DYAFOIRUS.	DYAFOIRUS.
Oüy, Mademoiſelle, juſques aux intereſts de mon amour excluſivement.	Oui, Mademoiselle, jusques aux intérêts de mon amour exclusivement.
ANGE	ANGE
Mais la grande marque d’amour, c’eſt d’eſtre ſoûmis aux volontez de celle qu’on aimne.	Mais la grande marque d'amour, c'est d'être soumis aux volontés de celle qu'on aimne.
T.	T.
DYAFOIRUS.	DYAFOIRUS.
Diſtinguo, Mademoiſelle, dans ce qui ne regarde point ſa poſſeſſion, Concedo, mais dans ce qui la regarde Nego.	Distinguo, Mademoiselle, dans ce qui ne regarde point sa possession, Concedo, mais dans ce qui la regarde Négo.
TOINETTE.	TOINETTE.
Vous avez beau raiſonner;	Vous avez beau raisonner;
Monſieur eſt frais émoulu du College, & il vous donner a toûjours voſtre reſte.	Monsieur est frais émoulu du Collège, et il vous donner a toujours votre reste.
Pourquoy tant reſiſter, & refuſer la gloire d’eſtre attachée au Corps de la Faculte s	Pourquoi tant résister, et refuser la gloire d'être attachée au Corps de la Faculte s
BELINE.	BÉLINE.
Elle a peut-eſtre quelque inclination en teſte.	Elle a peut-être quelque inclination en tête.
ANGELIQUE.	ANGELIQUE.
Si j’en avois, Madame, elle ſeroit telle que la raiſon & l’honneſteté pourroient me la permettre.	Si j'en avais, Madame, elle serait telle que la raison et l'honnêteté pourraient me la permettre.
ARGAN.	ARGAN.
Oüais, je jouë icy un plaiſant perſonnage.	Ouais, je joue ici un plaisant personnage.
BELINE.	BÉLINE.
Si j’eſtois que de vous, mon Fils, je ne la forcerois point à ſe marier, & je ſçay bien ce que je ferois.	Si j'étais que de vous, mon Fils, je ne la forcerais point à se marier, et je sais bien ce que je ferais.
INGELIQUE.	INGELIQUE.
Je ſçay, Madame, ce que vous voulez dire, & les bontez que vous avez pour moy, mais peuteſtre que vos conſeils ne ſeront pas aſſez heureux pour eſtre executez.	Je sais, Madame, ce que vous voulez dire, et les bontés que vous avez pour moi, mais peutestre que vos conseils ne seront pas assez heureux pour être exécutez.
BELINE.	BÉLINE.
C’eſt que les Filles bien ſages & bien honneſtes comme vous ſe moquent d’eſtre obeïſſantes, & ſoûmiſes aux volontez de leurs Peres.	C'est que les Filles bien sages et bien honnêtes comme vous se moquent d'être obéissantes, et soumises aux volontés de leurs Pères.
Cela eſtoit bon autrefois.	Cela était bon fois.
Le devoir d’une Fille a des bornes, Madame;	Le devoir d'une Fille a des bornes, Madame;
& la raiſon & les loix ne l’étendent point à toutes ſortes de choſes.	et la raison et les lois ne l'étendent point à toutes sortes de choses.
BELINE.	BÉLINE.
C’eſt à dire que vos penſées ne ſont que pous de lllarlage;	C'est à dire que vos pensées ne sont que pous de lllarlage;
lais vous vouien cenomhi dn Epoux à voſtre fantaiſie.	lais -vous vou cenomhi dîn Époux à votre fantaisie.
ANGELIQUE.	ANGELIQUE.
Si mon Pere ne veut pas me donner un Mary qui me plaiſe, je le conjureray, au moins, de ne me point forcer a en épouſer un que je ne puiſſe pas aimer?	Si mon Père ne veut pas me donner un Mari qui me plaise, je le conjurerai, au moins, de ne me point forcer à en épouser un que je ne puisse pas aimer?
ANONN.	ANONN.
Meſſieurs, je vous demande pardon de tous cecy.	Messieurs, je vous demande pardon de tous ceci.
ANGELIQUE.	ANGELIQUE.
Chacun a ſon but en ſe mariant;	Chacun a son but en se mariant;
pour moy qui ne veux un Mary que pour l’aimer veritablement, & qui pretends en faire tout l’attachement de ma vie, je vous avouë que j’y cherche quelque precaution;	pour moi qui ne veux un Mari que pour l'aimer véritablement, et qui prétends en faire tout l'attachement de ma vie, je vous avoue que j'y cherche quelque précaution;
Il y en a d’aucunes qui prennent des Maris ſeulement pour ſe tirer de la contrainte de leurs parens, & ſe mettre en eſtat de faire tout ce qu’elles voudront.	Il y en a d'aucunes qui prennent des Maris seulement pour se tirer de la contrainte de leurs parents, et se mettre en état de faire tout ce qu'elles voudront.
Il y en a d’autres, Madame, qui font du mariage un commerce de pur intereſt;	Il y en a d'autres, Madame, qui font du mariage un commerce de pur intérêt;
Qui ne ſe marient que pour gagner des doüaires;	Qui ne se marient que pour gagner des douaires;
Que pour s’enrichir par la mort de ceux qu’elles epouſent, & courent ſans ſcrupule de Mary en Mary pour s’approprier leurs dépoüilles.	Que pour s'enrichir par la mort de ceux qu'elles épousent, et courent sans scrupule de Mari en Mari pour s'approprier leurs dépouilles.
Ces perſonnes-là à la verité n’y cherchent pas tant de façons, & regardent peu la perſonne.	Ces personnes-là à la vérité n'y cherchent pas tant de façons, et regardent peu la personne.
BELINE.	BÉLINE.
Je vous trouve aujourd’huy bien raiſonnante;	Je vous trouve aujourd'hui bien raisonnante;
& je voudrois bien ſçavoir ce que vous voulez dire par ſà.	et je voudrais bien savoir ce que vous voulez dire par sà.
ANGELIQUE.	ANGELIQUE.
Moy, Madame;	Moi, Madame;
Que voudrois-je dire que ce que je dis.	Que voudrais-je dire que ce que je dis.
BELINE.	BÉLINE.
vous enes Mrecte, ha Mie, qu’on le ſçaxroit plus vous ſouffrir.	vous enes Mrecte, ha Mie, qu'on le saurait plus vous souffrir.
ANGELIQUE.	ANGELIQUE.
Vous voudriez bien, Madame, m’obliger à vous répondre quelque impertinence;	Vous voudriez bien, Madame, m'obliger à vous répondre quelque impertinence;
mais je vousureltie que tous n’aurez pas cêt avantage.	mais je vousureltie que tous n'aurez pas cet avantage.
BELINE.	BÉLINE.
In eit fien degar à voitle IMolciee,	In eit sien dégar à voitle IMolciee,
ANGELIQUE.	ANGELIQUE.
Non, Madame, vous avez beau dire.	Non, Madame, vous avez beau dire.
BELINE.	BÉLINE.
Et vous avez un ridicule orgueil, une impertinente preſomption qui fait hauſſer les épaules à tout le monde.	Et vous avez un ridicule orgueil, une impertinente présomption qui fait hausser les épaules à tout le monde.
ANGELIQUE.	ANGELIQUE.
Tout cela, Mauame que rervira de rien, je ſeray ſage en depit de vous;	Tout cela, Maume que revira de rien, je serai sage en dépit de vous;
& pour vous oſter l’eſperance de pouvoir réüſſir dans ce que vous voulez, je vais m’oſter de voſtre veuë.	et pour vous ôter l'espérance de pouvoir réussir dans ce que vous voulez, je vais m'ôter de votre vue.
ARGAN.	ARGAN.
Ecoute, il n’y a point de milieu à cela, choiſi d’épouſer dans quatre jours, ou Monſieur, ou un Couvent.	Écoute, il n'y a point de milieu à cela, choisi d'épouser dans quatre jours, ou Monsieur, ou un Couvent.
Ne vous mettez pas en peine, je la rangeray bien.	Ne vous mettez pas en peine, je la rangerai bien.
BELINE.	BÉLINE.
Je ſuis fâchée de vous quitter, mon Fils;	Je suis fâchée de vous quitter, mon Fils;
mais j’ay une affaire en Ville dont je ne puis me diſpenſer.	mais j'ai une affaire en Ville dont je ne puis me dispenser.
Je reviendray bien-toſt.	Je reviendrai bientôt.
ARGAN.	ARGAN.
Allez, ma Mour, & paſſez chez voſtre Notaire, afin qu’il ex pedie ce que vous ſçavez.	Allez, ma Mour, et passez chez votre Notaire, afin qu'il ex édie ce que vous savez.
BELINE.	BÉLINE.
Adieu, mon petit Amy.	Adieu, mon petit Ami.
ARGAN.	ARGAN.
Adien ma Mle.	Adien ma Mle.
vona une remme qdi m’aime.	vona une remème qdi m'aime.
cela n’eſt pas croyable.	cela n'est pas croyable.
M.	M.
DYAFOIRUS.	DYAFOIRUS.
Nous allons, Monſieur, prendre congé de vous.	Nous allons, Monsieur, prendre congé de vous.
