LES PARFAITS DENGERS, THIRSIS ET VRANIE.	LES PARFAITS DENGERS, THIRSIS ET VRANIE.
Pour l’aſſeurer dauantage ie luy ay dit que Menalque ſoit preſent lors que i’agiray, & que Chorilas ne quitte point Vranie de veuë, afin de nous venir aduertir de pourſuiure ou de ceſſer, ſelon qu’elle s’en trouuera bien ou mal;	Pour l'assurer davantage ie luy ai dit que Ménalque soit présent lors que j'agirai, et que Chorilas ne quitte point Vranie de vue, afin de nous venir avertir de poursuiure ou de cesser, selon qu'elle s'en trouvera bien ou mal;
Cependant de crainte qu’elle ne ſe doute de quelque choſe voyãt aller & venir les vns & les autres, Chorilas ſi luy plaiſt luy dira que ie trauaille à la compoſition d’vn parfun dont les ingrediens ſont autant deſplaiſans que l’effet en eſt agreable, à cauſe que ſi on en bruſle ſa vapeur chaſſe les importuns.	Cependant de crainte qu'elle ne se doute de quelque chose voyant aller et venir les uns et les autres, Chorilas si deux plaît ion dira que personne travaille à la composition d'un parfun dont les ingrédients sont autant déplaisants que l'effet en est agréable, à cause que si on en brûle sa vapeur chasse les importuns.
CHORILAS, I’aurois tort de l’oublier.	CHORILAS, J'aurais tort de l'oublier.
SIREINE, On tient que c’eſt vne maxime infaillible que ton art a moins de pouuoir en preſence des incredules;	SIREINE, On tient que c'est une maxime infaillible que ton art a moins de pouvoir en présence des incrédules;
or ie confeſſe ma foibleſſe, bien que ie ſois d’vn pays où l’on ne parle que des merueilles de magie, i’aurois beſoin d’eſtre vn peu Mhalendie lu dendoi Eindeux inots tu me peus reſoudre, ie ſuis moins incredule qu’ignorant.	or ici confesse ma faiblesse, bien que Dieu sois d'un pays où l'on ne parle que des merveilles de magie, j'aurais besoin d'être peu Mhalendie lu dendoi Eindeux inots tu me pus résoudre, je suis moins incrédule qu'ignorant.
LICANDRE, Te ſouuient il de l’entrepriſe des Geans, lors qu’ils eſchelerent les Cieux?	LICANDRE, Te souvient -il de l'entreprise des Géants, lors qu'ils eschelerent les Cieux?
Ce fut par noſtre moyen.	Ce fut par notre moyen.
Sur la querelle de Iupiter & de Pluton, touchant la grandeur de leurs Empires, la magie amie de Pluton & Deeſſede noſtre art, anima les Geans contre Iupiter.	Sur la querelle de Jupiter et de Pluton, touchant la grandeur de leurs Empires, la magie amie de Pluton et Deessede notre art, anima les Géants contre Jupiter.
Pour cét effet elle mit nos montagnes les vnes ſur les autres, & porta les Geans ſur la plus haute de toutes.	Pour cet effet elle mit nos montagnes les unes sur les autres, et porta les Géants sur la plus haute de toutes.
Ce fut alors que les Dieux eſpouuantez, & ſe croyans perdus s’enfuirent en Egypte, où depuis noſtre meſtier a eſté en ſinguliere veneration.	Ce fut alors que les Dieux épouvantez, et se croyant perdus s'enfuirent en Égypte, où depuis notre métier a été en singulière vénération.
En ce temps-là, ceſte Deeſſe conuerſoit auec nos ayeuls de meſme qu’Aſtrée conuerſoit au commencement auec les premiers hommes:	En ce temps-là, cette Déesse conversait avec nos aïeuls de même qu'Astrée conversait au commencement avec les premiers hommes:
peu à peu le meſpris & l’ignorance l’ont bannie tellement qu'elle s’eſt contentée de nous laiſſer quelques ſecrets, toutesfois les ſçauants de la profeſſion l’aperçoiuent quelquefois qui monte & deſcend le long de cette pyramide que la nuict pouſſe de la terre au Ciel.	peu à peu le mépris et l'ignorance l'ont bannie tellement qu'elle s'est contentée de nous laisser quelques secrets, toutefois les savants de la profession l'aperçoivent quelquefois qui monte et descend le long de cette pyramide que la nuit pousse de la terre au Ciel.
A peine auois-je atteint la vingtieſme année de mon exercice, la premiere fois qu’elle m’apparut.	À peine avais-je atteint la vingtième année de mon exercice, la première fois qu'elle m'apparut.
De fortune ie m’amuſois à cueillir de la verueine auec les ceremonies qui nous ſont preſcrites, lors que ie la veis toute telle que nos maiſtres me l’auoient depeinte, vn bruit ſourd & friſſonnant me faiſant hauſſer la veuë, ie la deſcouure qui eſtoit portée dans vn Chariot traiſné par des Orfrayes & des Hibous volãts à l’enuers;	De fortune femme m'amusais à cueillir de la verveine avec les cérémonies qui nous sont prescrites, lors que je la veis toute telle que nos maîtres me l'avaient dépeinte, un bruit sourd ' en me faisant hausser la vue, sans la découvre qui était portée dans un Chariot traîné par des Orfrayes et des Hibous volonts à l'envers;
quantité de Dragons & de Chauueſouris l'entouroient, auec des ſiflements qui eſpouuentoient meſme les tenebres, d’vne main elle tenoit des os de mort, du bois de ſupplice, & du fer de meurtre trempé dans le Stix, dans l’autre de la pierre de foudre quelque reſte de licol, & des deſbris de l’orage.	quantité de Dragons et de Chavesouris l'entouraient, avec des siflements qui espouuentoient même les ténèbres, d'une main elle tenait des os de mort, du bois de supplice, et du fer de meurtre trempé dans le Stix, dans l'autre de la pierre de foudre quelque reste de licol, et dé bris de l'orage.
En paſſant elle cracha ſur certains endroit s où naſquirent auſſi-toſt des poiſons & des venins, de ſon haleine ſortoit la ſterilité, la famine & la peſte.	En passant elle cracha sur certains endroit s où nasquirent aussitôt des poisons et des venins, de son haleine sortait la stérilité, la famine et la peste.
De maniere que ie failly a mourir de peur, neantmoins ie ne me repentiray iamais de l’auoir veuë:	De manière que personne failly a mourir de peur, néanmoins tu ne me repentirai jamais de l'avoir vue:
car elle m’appriſt mille choſes qui vallent bien la peine de les retenir.	car elle m'apprît mille choses qui valent bien la peine de les retenir.
Pour abreger ton inſtruction, que veux tu Sireine que ie faſle tout a cette neure deuaiſt toy?	Pour abréger ton instruction, que veux tu Sireine que ici fâle tout à cette neure deuaist toi?
tu n’as qu’à ſouhaitter.	tu n'as qu'à souhaiter.
DRIOPE, Comment la voyois tu de nuict?	DRIOPE, Comment la voyais -tu de nuit?
LICANDRE, Pour cela il faut auoir les veux du Ilelcler	LICANDRE, Pour cela il faut avoir les veux du Ilelcler
DRIOPE, Et pour le croire il en faudroit auoir les oreilles.	DRIOPE, Et pour le croire il en faudrait avoir les oreilles.
LICANDRE, Veux tu que ie faſſe deſcendre d’Oſſa & de Pelion les Aunes & les Pins, & puis ie les feray danſer en raſe campagne?	LICANDRE, Veux -tu que deux fasse descendre d'Ossa et de Pélion les Aunes et les Pins, et puisque les ferai danser en rase campagne?
DRIOPE, Les coups de hache les font deſcendre tous les iours & les ourc onf fr (Bibliothe flots les font danſer quand ils ſeruent de maſts de Nauire.	DRIOPE, Les coups de hache les font descendre tous les jours et les ourc onf fr (Bibliothe flots les font danser quand ils servent de mâts de Navire.
LICANDRE, Veux tu que ie faſſe venir les tenebres en plein midy?	LICANDRE, Veux -tu que Seigneur fasse venir les ténèbres en plein midi?
DRIOPE, Vne tonne, vn berceau, vn bois fort eſpais feront tout le meſme.	DRIOPE, Votre tonne, un berceau, un bois fort épais feront tout le même.
LICANDRE, Veux tu que ie faſſe marcher les ombres?	LICANDRE, Veux -tu que Rome fasse marcher les ombres?
DRIOPE, Chacun faict mar cher la ſienne, pourueu qu’il ſe pourmeine au Soleil.	DRIOPE, Chacun fait mar cher la sienne, pourvu qu'il se pourmeine au Soleil.
LICANDRE, Veux tu que ie faſſe Rueneleos,Einto.	LICANDRE, Veux -tu que Seigneur fasse Ruènelos,Éinto.
LICANDRE, Veux tu que ie faſſe parler les rochers & les arbres?	LICANDRE, Veux -tu que Rome fasse parler les rochers et les arbres?
DRIOPE, Thirſis le faict en y grauant ſes vers & auec tant de perfection que c’eſt vn vray miracle.	DRIOPE, Tircis le fait en y gravant ses vers et auec tant de perfection que c'est un vrai miracle.
LICANDRE, Veux tu que ie faſſe.	LICANDRE, Veux -tu que Seigneur fasse.
ſoupirer	soupirer
DRIOPE, L’eau jettée ſur le viſage n’y manque point.	DRIOPE, L'eau jetée sur le visage n'y manque point.
SIREINE, Driope laiſſe moy parler à mon tour.	SIREINE, Driope laisse -moi parler à mon tour.
Licandre tu m'offres de faire ſoupiren le marbre, ie l’accepte, fais ſeulement que Vranie ſoupire pour Thirſis?	Licandre tu m'offres de faire soupiren le marbre, Elle l'accepte, fais seulement que Vranie soupire pour Thyris?
tu m'offres de reſuſciter les morts?	tu m'offres de ressusciter les morts?
faits que Thirſis ſoit aymé d’Vranie, apres ces deux miracles la ie croiray tous les autres.	faits que Thyris soit aimé d'Unanie, après ces deux miracles la vôtre croirai tous les autres.
V	V
LICANDRE, Commençons donc à celebrer les myſteres:	LICANDRE, Commençons donc à célébrer les mystères:
Sireine tiens cette figure, Driope pren ces eſguilles,vous me les rendrez quand ie les demanderay.	Sireine tiens cette figure, Driope pren ces éguilles,vous me les rendrez quand que les demanderai.
L’adiuration doit preceder l’inuocation, par l’adiuration nous conjurons les Deitez malignes de nous laiſſer en repos;	L'adjuration doit précéder l'invocation, par l'avivration nous conjurons les Ditez malignes de nous laisser en repos;
par l’inuos cation nous implorons l’aſſiſtance des bons Demons.	par l'invos cation nous implorons l'assistance des bons Demons.
PREMIERE ADIVRATION.	PREMIÈRE ADIVRATION.
2914 Oir chaos, paſles Deeſſes, N'Haines, enuies, triſteſſes, Ennemies du iour, Eloignez vous d’icy, faictes place à el'amour.	2914 Oir chaos, pâles Déesses, N'Haines, envies, tristesses, Ennemies du jour, Éloignez -vous d'ici, faites place à elle.
SECONDE ADIVRATION.	SECONDE ADIURATION.
TROISIES.	TROISIES.
ADIVRATION.	ADIVRATION.
Appaiſons Proſerpine en la loüant, Loüons-la en la redoutant;	Apaisons Proserpine en la louant, Louons-la en la redoutant;
Cent couleuvres formans vn venimeux ombrage, Grouilent ſur l’affreux cuir de ſon ſombre viſage Toute pleine d’horreur, poil infect & baueux, Qui faict tous ces cheueux	Cent couleuvres formant un venimeux ombrage, Grouilent sur l'affreux cuir de son sombre visage Toute pleine d'horreur, poil infect et baveux, Qui fait tous ces cheveux
Fermez cette foſſe, oſtez ce ſerpent, ployez ce voile, deſcouurez l’Autel, couronnez moy de laurier & de palme, que ma baguette change de main, apportez la figure & les eſguilles, implorons à haute voix les bons Demons.	Fermez cette fosse, ôtez ce serpent, ployez ce voile, découvrez l'Autel, couronnés moi de laurier et de palme, que ma baguette change de main, apportez la figure et les éguilles, implorons à haute voix les bons Démons.
INVOCATION.	INVOCATION.
Bon-heur preſide à cét Augure, Ce que ie fais ſur la figure Amour fais le ſur le vray cœur, Graue Thirſis dans celuy d’Vranie, De ſon eſclaue il ſera ſon vainqueur, Si iuſques au treſpas tu leur tiens compagnie.	Bon-heur préside à cet Augure, Ce que je fais sur la figure Amour fais le sur le vrai cœur, Grave Thyris dans celui d'Unanie, De son esclave il sera son vainqueur, Si jusques au trépas tu leur tiens compagnie.
Mon eſguille eſt tombée.	Mon éguille est tombée.
DRIOPE, La voyla.	DRIOPE, La voilà.
Bon-heur preſide a cét Augure, Ce que ie fais ſur la figure Amour fais le ſur le vray cœur, Graue Thirſis dans celuy d’Vranie, De ſon eſclaue il ſera ſon vainqueur Si iuſques au treſpas tu leur tiens compagnie.	Bon-heur preside a cet Augure, Ce que sans fais sur la figure Amour fais le sur le vrai cœur, Grave Thyris dans celui d'Vranie, De son esclave il sera son vainqueur Si jusques au trépas tu leur tiens compagnie.
CHORILAS, Arreſte Licandre, arreſte, Thirſis t’en coniure?	CHORILAS, Arrête Licandre, arrête, Thirsis t'en conjure?
Vranie vient d’auoir deux ſortes d’accidẽts fort diſſemblables.	Vranie vient d'avoir deux sortes d'accidents fort dissemblables.
Le premier n’eſtoit qu’vn ſommeil accompagné de reſueries fauorables à Thirſis, qu’elle combatoit neantmoins en s’accuſant de changement & de foibleſſe.	Le premier n'était qu'une sommeil accompagné de rêveries favorables à Thyris, qu'elle combattait néanmoins en s'accusant de changement et de faiblesse.
Le ſecond a eſté tout cõtraire au premier:	Le second a été tout cõtraire au premier:
car en s’eſueillant elle a ſenti vne ſi forte auerſion de ſon ſeruiteur, qu’elle nous a coniurez d’aller effacer ſon nom de tous les endroits où il eſt graué.	car en s'éveillant elle a senti une si forte aversion de son serviteur, qu'elle nous a conjurés d'aller effacer son nom de tous les endroits où il est gravé.
trompez, il faut donc qu’à la ſeconde fois on nous ait changé l’eſguille, voyons:	trompez, il faut donc qu'à la seconde fois on nous ait changé l'éguille, voyons:
Hal il n’eſt que trop vray.	Hal il n'est que trop vrai.
DRIOPE, Me ferois-je meſpriſe?	DRIOPE, Me ferais-je méprise?
SIREINE, Point du tout.	SIREINE, Point du tout.
LICANDRE, Afin que lemal ne paſſe pas plus outre, mettons l’image d’Vranie ſur l’Autel, deſſoubs les pieds d’amour, a l’heure que ie te parle tu trouueras qu’elle eſt deliurée de ſon emotion & remiſe en ſon premier eſtat.	LICANDRE, Afin que lemal ne passe pas plus outre, mettons l'image d'Unie sur l'Autel, dessoubs les pieds d'amour, a l'heure que mille te parle tu trouveras qu'elle est délivrée de son émotion et remise en son premier état.
ARISTEE, Thirſis m’enuoye deuers toy pour te ſupplier de luy rendre vne autre ſorte de bon office.	ARISTE, Tircis m'envoie devers toi pour te supplier de lui rendre une autre sorte de bon office.
Vranie luy a deffendu abſolument de ſe rencontrer où elle ſera, & il prefere le trépas à la deſobeyſſances doncques afin qu’il euite d’en eſtre abſent ou de luy deſplaire, accorde luy la faueur qu’il te demande par ma bouche, fais en ſorte qu’il la voyetouſiours en veillant de meſme qu’il la voit quelquefois en ſonge;	Vranie lui a défendu absolument de se rencontrer où elle sera, et il préfère le trépas à la désobéissances donc afin qu'il évite d'en être absent ou de ton déplaire, accorde lui a faveur qu'il te demande par ma bouche, fais en sorte qu'il la voyetousiours en veillant de même qu'il la voit quelquefois en songe;
la magie a biẽ peu de pouuoir ſi elle n’en a autãt que le ſommeil :	la magie a bien peu de pouvoir si elle n'en a autant que le sommeil :
ou biẽ trouue moyen de ficher sõ image en quelque lieu de la riuiere où il la puiſſe contẽpler, ſans eſtre diuerti.	ou bien trouve moyen de ficher son image en quelque lieu de la rivière où il la puisse contẽpler, sans être diverti.
LICANDRE, Ce deſir eſt auſſi funeſte qu’il te ſemble ſpecieux, comme les corps cherchent les corps, les eſprits cherchent les eſprits.	LICANDRE, Cette désir est aussi funeste qu'il te semble spécieux, comme les corps cherchent les corps, les esprits cherchent les esprits.
C’eſt pourquoy nous croyos parmi nous qu’vne ame ſe veut ſeparer, du ſien toutes les fois qu’elle s’emportea ſouhaiter des viſions De fait elles n’arriuent guere qué de nuict, & la nuict eſt mere de la mort;	C'est pourquoi nous croyos parmi nous qu'une âme se veut séparer, du sien toutes les fois qu'elle s'emportea souhaiter des visions De fait elles n'arrivent guère qué de nuit, et la nuit est mère de la mort;
ou durant le ſommeil qui en eſt frere, ou dans le chagrin & la maladie qui conduiſent au tombeau.	ou durant le sommeil qui en est frère, ou dans le chagrin et la maladie qui conduisent au tombeau.
CHORILAS, Ainſi noſtre amy ne ſera point ſecouru & nous reſterons inconſolables.	CHORILAS, Ainsi notre ami ne sera point secouru et nous resterons inconsolables.
Hé!	Hé!
Licandre où en ſommes nous?	Licandre où en sommes nous?
H LICANDRE, Ariſtée & Chorilas rapportez luy que la fin couronne l’œuure, pourueu qu’il ſçache eſpeeoireine me veux tu iurer la foy du lecret .	H LICANDRE, Aristée et Chorilas rapportez parler que la fin couronne l'œuvre, pourvu qu'il sache espeeoireine me veux tu jurer la foi du cret .
SIREINE, Si ie te la iure.	SIREINE, Si ici te la jure.
LICANDRE, Bouche vne oreille & approche l’autre.	LICANDRE, Bouche une oreille et approche l'autre.
SIREINE, Il n’eſt pas poſſible, & quelle cautiõ aurois-je de sõ retour?	SIREINE, Il n'est pas possible, et quelle caution aurais-je de son retour?
nronl(iia, Poucce quemnay en ce monde:	nronl toujours, Poucce quenai en ce monde:
car ie ne te quitteray point que cela ne ſoit.	car ici ne te quitterai point que cela ne soit.
SIREINE, Et la mort eſt-ce autre choſe que la ſeparation de l’ame & du corps?	SIREINE, Et la mort est-ce autre chose que la séparation de l'âme et du corps?
LICANDRE, La mort rompt leur lien & la magie l’alonge, il en eſt de meſme que de ces fiſcelles qu’on attache aux pieds des oiſeaux, ils n’eſchappẽt pas, biẽ qu’ils ſe promenent, SIREINE, Non non, cela eſt impoſſible.	LICANDRE, La mort rompt leur lien et la magie l'allonge, il en est de même que de ces fiscelles qu'on attache aux pieds des oiseaux, ils n'échappent pas, biè ils se promènent, SIREINE, Non non, cela est impossible.
LICANDRE, Les termes de noſtre meſtier ſont hyperboliques, c’eſt pourquoy ils t’eſtonnent.	LICANDRE, Les termes de notre métier sont hyperboliques, c'est pourquoi ils t'étonnent.
Vien auec moy & ie te feray voir tout à cette heure ſur mon ſeruiteur l’effet de laplante dont nous auons beſoin, ſuy moy ſeulement.	Viens avec moi et se te ferai voir tout à cette heure sur mon serviteur l'effet de laplante dont nous avons besoin, suis -moi seulement.
ς9α99αγαφQ LHOEVR.	ς9α99αγαφQ LHOUR.
Inquietude 1.	Inquiétude 1.
ou mauuaiſe nuict.	ou mauvaise nuit.
Ourquoy ne puis-ie repoſer?	Ourquoy ne puis-je reposer?
I Ne dois-ie pas t’en accuſer?	I Ne dois-je pas t'en accuser?
Reſpõs cruelle nuict, reſpõs ſombre furie, I'y donne mon conſentement;	Respons cruelle nuit, réponds sombre furie, J'y donne mon consentement;
Si quelque Loy m’ordonne abſolument, Ou cette inquietude, ou cette reſuerie:	Si quelque Loi m'ordonne absolument, Ou cette inquiétude, ou cette rêverie:
Quand les Hiboux & les Corbeaux, Sortant d’Enfer par les tombeaux, Hauſſent ton char volant faict delais & d’Ebene, Les ombres me ſont tour a touri Iuſqu’a tant que l’aurore, ait ramené le iour Ce que l'ombre d’Achille eſtoit à Polyxene.	Quand les Hiboux et les Corbeaux, Sortant d'Enfer par les tombeaux, Haussent ton char volant fait délais et d'Ebène, Les ombres me sont tour à toury Jusqu'a tant que l'aurore, ait ramené le jour Ce que l'ombre d'Achille était à Polyxène.
Si le iour m'apprend mes mal-heurs, Tu m’en fais ſentir les douleurs, Durant que nul object ne m'en ſçauroit diſtraire, Mon eſprit a cela des Cieux, Que lors qu’il eſt plus nuict c'eſt lors qu'il à plus d’yeux, Mais ce n'eſt que pour voir tout ce qui m'eſt contraire.	Si le jour m'apprend mes malheurs, Tu m'en fais sentir les douleurs, Durant que nul object ne m'en saurait distraire, Mon esprit a cela des Cieux, Que lors qu'il est plus nuit c'est lors qu'il à plus d'yeux, Mais ce n'est que pour voir tout ce qui m'est contraire.
Qui ne ſçait compter les moments, Ne ſçait pas compter mes tourments;	Qui ne sais compter les moments, Ne sait pas compter mes tourments;
C’eſt toy cruelle nuict, c’eſt toy qui m’aſſaſine, Ie ne fais que m’inquieter;	C'est toi cruelle nuit, c'est toi qui m'assasine, Je ne fais que m'inquiéter;
Et pour le peu de temps que ie puis m'arreſter, Ie ſuis ſur les charbons, ie ſuis ſur les eſPintz.	Et pour le peu de temps que ici puis m'arrêter, Je suis sur les charbons, Elle suis sur les éPints.
Quel lieu regarde le Soleil Où ne puiſſe entrer le ſommeil, Excepté dans l’Enfer, excepté dans ma Chambre Au meſme temps que chacun dort, Ie fais ce que faiſoient, en attendant leur mort, Les ſœurs de Phaëton lors qu'elles faiſoient l’ambre.	Quel lieu regarde le Soleil Où ne puisse entrer le sommeil, Excepté dans l'Enfer, excepté dans ma Chambre Au même temps que chacun dort, Je fais ce que faisaient, en attendant leur mort, Les sœurs de Phaéton lors qu'elles faisaient l'ambre.
S’enfler de plus de flots, cauſer plus de treſpas, Qu'en verſe dans mon ſein ma mauDuiſe forinne,	S'enfler de plus de flots, causer plus de trépas, Qu'en verse dans mon sein ma mauDuise forinne,
Tout ce que i’ay de ſens raſsis Parmy tant de cuiſants ſoucis, Parmy tant d’amertumes & de pointes, & de rage, Ne me ſert que pour m'afliger, Et ſi mon iugement me vouloit obliger, Il abãdonneroit mà vie à mõ courage.	Tout ce que j'ai de sens rassis Parmi tant de cuisants soucis, Parmi tant d'amertumes et de pointes, et de rage, Ne me sert que pour m'afliger, Et si mon jugement me voulait obliger, Il abãdonneroit mà vie à mon courage.
Ne ſuis-jepas infortuné?	Ne suis-jepas infortuné?
Ie ne dors non plus qu'vn damné;	Je ne dors non plus qu'vn damné;
O nuict!	Ô nuit!
que t’ay-je fait que tu me veux defaire?	que t'ai-je fait que tu me veux défaire?
Doncques les Dieux auront permis Qu’on traitte leurs enfans comme leurs cennemis, Puis que ie ſuis priué d'vn bien ſi neceſſaire.	Donc les Dieux auront permis Qu'on traite leurs enfants comme leurs cennemis, Puis que quelque suis privé d'un bien si nécessaire.
Ny tes mignons, ny tes deuots Ne conſomment point tes pauots, Dont la vertu s’eſpand ſur l’onde, Ie meurs à force de veiller, Il n'y a que moy ſeul qui puiſſe ſommeiller, Cependant que leur charme aſſoupit tout le monde.	Ni tes mignons, ni tes dévots Ne consomment point tes pauots, Dont la vertu s'épand sur l'onde, Je meurs à force de veiller, Il n'y a que moi seul qui puisse sommeiller, Cependant que leur charme assoupit tout le monde.
Lors que les Titans furieux Meirent en fuitte tous les Dieux, La mer qui te cacha, fuſt ditte la mer noire:	Lors que les Titans furieux Méirent en fuite tous les Dieux, La mer qui te cacha, fût ditte la mer noire:
N’oublie iamais ce bien-faict, Et rendant à chacun le plaiſir qu’on te faict Sçache que mon ſalut eſt l’objet de ta gloire.	N'oublie jamais ce bienfait, Et rendant à chacun le plaisir qu'on te fait Sache que mon salut est l'objet de ta gloire.
Que le deſſein de t’adoucir, Eſt bien loing de te reuſsir;	Que le dessein de t'adoucir, Est bien loing de te réussir;
Implorertõ ſecours c’eſt perdre ſa prieres Qu'aurois tu d’eſtablir de doux Le chagrin de ton fils, l'Enfer de ton eſpoux, Et que peux tu cherir hayſſant la lumiere?	Implorertion secours c'est perdre sa prières Qu'aurais tu d'établir de doux Le chagrin de ton fils, l'Enfer de ton époux, Et que peux tu chérir haïssant la lumière?
Mais i'extrauague à tous propos, Trop d’ennuis, trop peu de repos Accablent ma raiſon tant de fois combattuë, O nuict pardonnez moy, ie me trompois bien fort, tatias:	Mais j'extravague à tous propos, Trop d'ennuis, trop peu de repos Accablent ma raison tant de fois combattue, Ô nuit pardonnez moi, ieait trompais bien fort, tatias:
te neſt pas toysc eſt cumour qui me tuë.	te nest pas tois est cumour qui me tue.
Si l’amour y meſle ſa nuict, Ce n'eſt pas celle qui conduit Les heures du ſommeil, les heu res du ſilence;	Si l'amour y mêle sa nuit, Ce n'est pas celle qui conduit Les heures du sommeil, les heu rés du silence;
Phantoſmes ne confondez rien, Le monde a ſon ſoleil, Vranie eſt le mien, Qui m'oſte mon vray iour en m'oſtant ſa preſence.	Phantômes ne confondez rien, Le monde a son soleil, Vranie est le mien, Qui m'ôte mon vrai jour en m'ôtant sa présence.
Amour penſe a me ſecourir, Mon ſouhait n'eſt pas de guarir, Car bleſsé d'vn bel œil, ie veux eſtre incurable;	Amour pense à me secourir, Mon souhait n'est pas de garir, Car blessé d'un bel œil, ie veux être incurable;
Ie te demande ſeulement, Vn peu plus de repos, conſerue mon tourment, Tropheureux de pouuoir eſtre ainſi miſerable.	Je te demande seulement, Un peu plus de repos, conserve mon tourment, Tropheureux de pouvoir être ainsi misérable.
ACTE QVATRIESME.	ACTE QUATRIÈME.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
THNONTOLE.	THNONTOLE.
L2el	L2el
7 HAON, Y ole rauy toy d’vne merueille que ie te diray, i'ay deſcouuert vne Chapelle auſſi petite que ta bouche & auſſi animée;	7 HAN, Y ole ravi toi d'une merveille que ie te dirai, j'ai découvert une Chapelle aussi petite que ta bouche et aussi animée;
il y loge vn Deïté qui rend ſes Oracles au milieu de deux rãgs de perles, & d’vne ouale de corail.	il y loge un Deïté qui rend ses Oracles au milieu de deux régs de perles, et d'une ouale de corail.
I’entends, dit elle, que mes ſujettes ne ſe frequentent qu’à heures reiglées, qu’il y ait quelque diſtance entr elles pendant leur conuerſation, & qu’au lieu des ieux demain	J'entends, dit elle, que mes sujettes ne se fréquent qu'à heures reiglées, qu'il y ait quelque distance entr elles pendant leur conversation, et qu'au lieu des jeux demain
bmain qui ſont cauſe que l’on s’entretouche, on recitera tantoſt des Hiſtoires, & tantoſt on propoſera des demandes propres à recréer & entretenir l’eſprit.	bmain qui sont cause que l'on s'entretouche, on récitera tantôt des Histoires, et tantôt on proposera des demandes propres à recréer et entretenir l'esprit.
Sur tout i'entẽds qu’elles ne ſe laiſſent pas ſeulement aborder à l’ombre d’vn homme, ſi ce n’eſt en cas de neceſſité & en preſence de teſmoings ſans reproche:	Sur tout j'entends qu'elles ne se laissent pas seulement aborder à l'ombre d'un homme, si ce n'est en cas de nécessité et en présence de témoins sans reproche:
à quiconque y manquera i'ordonne pour peine qu’elle aura ſoin de prendre garde à qui luy deura ſucceder.	à quiconque y manquera j'ordonne pour peine qu'elle aura soin de prendre garde à qui mou deura succéder.
Ainſi reſpondit Vranie à ſes cheres compagnes qui viennent de luy deſerer la qualſte de Reyne, afin de viure ſous ſes loix durant qu’elles ſeront Bergeres.	Ainsi répondit Vranie à ses chères compagnes qui viennent de même deserer la qualstte de Reine, afin de vivre sous ses lois durant qu'elles seront Bergères.
PHAON, A ton amy.	PHAN, À ton ami.
YOLE, l'eſtois de cœur auec toy & de corps auec Olympe;	YOLE, l'étais de cœur avec toi et de corps avec Olympe;
elle & moy nous eſtions allez au degaſt des vio	elle et moi nous étions allés au dégât des vio
YOLE, Et où eſtois-je?	YOLE, Et où étais-je?
lettes, mille zephirs en mouroient qui de chagrin, qui de ialouſie.	lettes, mille zéphyrs en mouraient qui de chagrin, qui de jalousie.
De chagrin, les voyant cueillir, & de ialouſie, les voyat baiſer, mais ie couppe ton recit, acheue.	De chagrin, les voyant cueillir, et de jalousie, les voyat baiser, mais quelque couppe ton récit, achève.
PHAON, Sur vn leger rapport qu’Vranie s’eſtoit trouuée vn peu mal, Dictine & Calirée l’ont eſté viſiter, & ayans iugé que ſa ſanté ne luy laiſſoit point d’excuſe, l'ont inuitée à la collation qui les attendoit ſous l’ormeau d’Admette.	PHAN, Sur un léger rapport qu'Unanie s'était trouvée un peu mal, Dictine et Calirée l'ont été visiter, et ayant jugé que sa santé ne lui aissait point d'excuse, l'ont invitée à la collation qui les attendait sous l'ormeau d'Admette.
Apres la collation ç’a eſté à qui inuenteroit de plus iolies choſes à la loüange d’Vranie, notamment pour exprimer qu’elle eſt vnique en ſon eſpece:	Après la collation ç'a été à qui inventerait de plus jolies choses à la louange d'Unanie, notamment pour exprimer qu'elle est unique en son espèce:
De fortune, Dorinde qui les eſcoutoit à la faueur d’vn arbouſier aſſez voiſin, les a portées a tourner les paroles en effets:	De fortune, Dorinde qui les écoutait à la faveur d'un arbousier assez voisin, les a portées à tourner les paroles en effets:
Voyez vous,leur dit elle, cõme vn throſne.	Voyez -vous,leur dit -elle, comme un trône.
de gazons à vingt pas de nous au bas de ce tertre?	de gazons à vingt pas de nous au bas de ce tertre?
le deſſus paroiſt enrichi d’opales fleuries, le deſſous eſt frãgé d’eſmail & de goutes de roſée, à cauſe desarbresqui en deffendẽt l’entrée meſme au iour.	le dessus paraît enrichi d'opales fleuries, le dessous est frangé d'esmail et de goutes de rosée, à cause désarbresqui en deffendẽt entrée même au jour.
Ie me figüre que c’eſt le ſiege où la fraiſcheur s’aſſied lors qu’elle aſſemble ſes Nymphes pour en eſtre adorée.	Je me siguer que c'est le siège où la fraîcheur s'assied lors qu'elle assemble ses Nymphes pour en rendre adorée.
Supplions ou contraignons Vranie de s’y mettre durant que nous luy preſenterons nos ſerments de fidelité;	Supplions ou contraignons Vranie de s'y mettre durant que nous nous présenterons nos serments de fidélité;
le vray moyen de reconnoiſtre qu’elle eſt incomparable c’eſt de la créer noſtre ſouueraine & de luy vouer noſtre ſeruitude.	le vrai moyen de reconnaître qu'elle est incomparable c'est de la créer notre souveraine et de Seigneur vouer notre servitude.
