TIISCIIDVII COMEDIE.	TIISCIIDVI COMÉDIE.
Cette beauté de ſa part vous fait dire.	Cette beauté de sa part vous fait dire.
Quoy?	Quoi?
ERASTE.	ERASTE.
LA MONTAGNE.	LA MONTAGNE.
Devinez.	Devinez.
ERASTE.	ERASTE.
Sçais-tu que ie ne veux pas rire?	Sais-tu que Madame ne veux pas rire?
LA MONTAGNE sz̃ ordre eſt qu’en ce lieu vous devez vous tenir Aſſeuré que dans peu vous l’y verrez venir, Lors qu’elle aura quitte queiques provnciales, Aux perſonnes de Cour fâcheuſes animales.	LA MONTAGNE scès ordre est qu'en ce lieu vous devez vous tenir Assuré que dans peu vous l'y verrez venir, Lors qu'elle aura quitte queiques proPciales, Aux personnes de Cour fâcheuses animales.
ERASTE.	ERASTE.
Tenõs-nous dõc au lieu qu’elle a voulu choiſir;	Tenons-nous dont au lieu qu'elle a voulu choisir;
Mais puiſque l’ordre ly uonit quorque loiſir, Laiſſe-moy mediter, i’ay deſſein de luy faire Quelques vers ſur vn air ou ie la voy ſe plaire.	Mais puisque l'ordre li uonit quorque loisir, Laisse-moi méditer, j'ai dessein de lui même Quelques vers sur un air ou ainsi la voy se plaire.
Il ſe promene en rêvant.	Il se promène en rêvant.
SCENE IV.	SCÈNE IV.
ORANTE, CLIMENE, ERASTE.	ORANTE, CLIMENE, ERASTE.
URARIL.	URARIL.
I Out le monde ſera de mon opinion.	I Out le monde sera de mon opinion.
CLIMENL.	CLIMENL.
Croyez-vous l’emporter par obſtination?	Croyez-vous l'emporter par obstination?
ORANIE.	ORANIE.
Ie penſe mes raiſons meilleures que les voſtres.	Je pense mes raisons meilleures que les vôtres.
CLIMENE.	CLIMENE.
Ie voudrois qu’on oüiſt les vnes & les autres.	Je voudrais qu'on oüist les unes et les autres.
ORANTE, I’aviſe vn homme icy qui n’eſt pas ignorant, Il pourra nous iuger ſur noſtre different.	ORANTE, J'avise un homme ici qui n'est pas ignorant, Il pourra nous juger sur notre différent.
Marquis, Marquis, de grace, vn mot:	Marquis, Marquis, de grâce, un mot:
souffrez qu’on vous appelle, Pour eſtre entre nous deux iuge d’vne querelle, D’vn debat, qu’ont émeu nos divers ſentimens, Sur ce qui peut marquer les plus parfaits Amans.	souffrez qu'on vous appelle, Pour être entre nous deux juge d'une querelle, D'un débat, qu'ont ému nos divers sentiments, Sur ce qui peut marquer les plus parfaits Amants.
ERASTE.	ERASTE.
c eſt vne queition a vulder dimene, Et vous devez chercher vn iuge plus habile.	ç est une queition a vulder dimène, Et vous devez chercher un juge plus habile.
ORANTE.	ORANTE.
Non, vous nous dites-là d’inutiles chanſons:	Non, vous nous dites-là d'inutiles chansons:
Voſtre eſprit fait du bruit, & nous vous connoiſſons;	Votre esprit fait du bruit, et nous vous connaissons;
Ititre.	Ititre.
Nous ſçavons que chacun vous donne à iuſte	Nous sçavons que chacun vous donne à juste
ERASIE.	ERASIE.
Hé de grace.	Hé de grâce.
Vous retenez icy qui vous doit condamner?	Vous retenez ici qui vous doit condamner?
Car enfin, s’il eſt vray, ce que i’en oſe croire,	Car enfin, s'il est vrai, ce que j'en ose croire,
ORANTE.	ORANTE.
En vn mot vous ſerez noſtre arbitre, Et ce ſont des momens qu’il vous faut uous dõCEIMENE.	En un mot vous serez notre arbitre, Et ce sont des moments qu'il vous faut -vous dontCEIMENE.
ner.	ner.
ERASTE.	ERASTE.
Que ne puis-ie à mon traître inſpirer le ſoucy, D’inventer quelque choſe à me tirer d’icy!	Que ne puis-je à mon traître inspirer le souci, D'inventer quelque chose à me tirer d'ici!
e Mlllvl dl Pourmoy de ſon eſprit i’ay trop bõ témoignage Pour craindre qu’il pronõce à mon deſavantage.	 Élllèvl d' Pourmoi de son esprit j'ai trop bonne témoignage Pour craindre qu'il prononce à mon désavantage.
Enfin ce grand debat qui s’allume entre nous, Eſt de ſçavoir s’il faut qu’vn Amant ſoit jaloux.	Enfin ce grand débat qui s'allume entre nous, Est de savoir s'il faut qu'un Amant soit jaloux.
CLIMENE.	CLIMENE.
Ou, pour mieux expliquer ma pẽſée & la voſtre, Eequer doit plane plus d'in jaroux ou d’vn au	Ou, pour mieux expliquer ma passée et la vôtre, Éequer doit plane plus d'in jarroux ou d'vn au
ORANTE.	ORANTE.
tre.	tre.
Pour moy, ſans contredit, ie ſuis pour le dernier,	Pour moi, sans contredit, ie suis pour le dernier,
CLIMENE.	CLIMENE.
Et dans mon ſentiment ie tiens pour le premier.	Et dans mon sentiment belle tiens pour le premier.
ORANTE.	ORANTE.
le cropque nonts euur dont donerion ſuffrage A qui fait éclatter du reſpect davantage.	le cropque nonts euur dont donerion suffrage À qui fait éclater du respect davantage.
CLIMENE.	CLIMENE.
jour, Et moy, que ſi nos vœux doivent paroſſtre au C’eſt pour celuy qui fait éclater plus d’amour.	jour, Et moi, que si nos vœux doivent parotre au C'est pour celui qui fait éclater plus d'amour.
ORANTE.	ORANTE.
Ouy, mais on voit l’ardeur dõt vne ame eſt ſaiſie, Miem ime ux dundiudpnuiiqui dans ia jalouſie.	Oui, mais on voit l'ardeur dont une âme est saisie, Mie , Mième ux dundiudpnuiqui dans jalousie.
CLIMENE.	CLIMENE.
nous, Et c’eſt mon ſentiment, que qui s’attache à	nous, Et c'est mon sentiment, que qui s'attache à
Nous aime d’autant plus, qu’il ſe montte jalous.	Nous aime d'autant plus, qu'il se montte jalous.
ORANTE.	ORANTE.
Fi, ne me parlez point pour eſtre Amãs, Climene, De ces gens dont l’amour eſt fait cõme la haine, Et qui pour tous reſpects, &toute offre de vœux Ne s’appliquent iamais, qu’à ſe rendre Fâcheux;	Fi, ne me parlez point pour être Amants, Climène, De ces gens dont l'amour est fait comme la haine, Et qui pour tous respects, ettoute offre de vœux Ne s'appliquent jamais, qu'à se rendre Fâcheux;
Dont l’ame, que ſans ceſſe vn noir tranſport anime, Des moindres actions cherche à nous faire vn crime;	Dont l'âme, que sans cesse un noir transport anime, Des moindres actions cherche à nous faire un crime;
En ſoûmet l’innocence à ſon aveuglement, Et veut, ſur vn coup d’œil, vn éclairciſſement:	En soumet l'innocence à son aveuglement, Et veut, sur un coup d'œil, un éclaircissement:
Qui de quelque chagrin nous voyant l’apparẽce Se plaignent auſſi-toſt, qu’il n’aiſt de leur preſence;	Qui de quelque chagrin nous voyant l'apparence Se plaignent aussitôt, qu'il n'ait de leur présence;
Et lors que dans nos yeux brille vn peu d’enjoûment, Veulent que leurs rivaux en ſoient le fondemẽt:	Et lors que dans nos yeux brille un peu d'enjoument, Veulent que leurs rivaux en soient le fondement:
Enfin, Enfin, qui prenant droit des fureurs de leur zele, Ne vous parlent iamais que pour faire querelle;	Enfin, Enfin, qui prenant droit des fureurs de leur zèle, Ne vous parlent jamais que pour faire querelle;
Oſent deffendre à tous l’aproche de nos cœurs, Et ſe font les tyrãs de leurs propres vainqueurs.	Osent défendre à tous l'approche de nos cœurs, Et se font les tyrans de leurs propres vainqueurs.
Moy ie veun des iimans quure reipeet fſpire;	Mo ie veun des jimants quure rejet fspire;
Et leur ſoûmiſſiõ marque mieux noſtre empire,	Et leur soumissions marque mieux notre empire,
CLIMENE.	CLIMENE.
Fi, ne me parlez-point pour eſtre vrais Amans, De ces gens, qui pour nous nont nul emportements;	Fi, ne me parlez-point pour être vrais Amants, De ces gens, qui pour nous nont nul emportements;
De ces tiedes galans, de qui les cœurs paiſibles Tiennent déja pour eux les choſes infaillibles;	De ces tièdes galants, de qui les cœurs paisibles Tiennent déjà pour eux les choses infaillibles;
N’ont point peur de nous perdre, & laiſſent chaque iour, Sur trop de confiance endormir leur amour;	N'ont point peur de nous perdre, et laissent chaque jour, Sur trop de confiance endormir leur amour;
Sont avec leurs Rivaux en bonne intelligence, Et laiſſent vn champ libre en leur perſeuerance.	Sont avec leurs Rivaux en bonne intelligence, Et laissent un champ libre en leur persévérance.
Vn amour ſi tranquille excite mon courroux, C’eſt aimer froidemẽt que n’eſtre point jaloux;	Un amour si tranquille excite mon courroux, C'est aimer froidement que n'être point jaloux;
Et ie veux qu’vn Amant pour me prouver ſa flâme, Sut d’eternels ſoupçons laiſſe flotter ſon ame, Et par de prompts tranſports, donne vn ſigne éclatant De l’eſtime qu’il fait de celle qu’il pretend.	Et grande veux qu'un Amant pour me prouver sa flamme, Sut d'éternels soupçons laisse flotter son âme, Et par de prompts transports, donne signe éclatant De l'estime qu'il fait de celle qu'il prétend.
On s’applaudit alors de ſon inquietude, Et girmous fait par fois virtrartemer tiop rude.	On s'applaudit alors de son inquiétude, Et girmous fait par fois virtrartemer tiop rude.
Le plaiſir de le voir ſoûmis à nos genoux, S’excuſer de l’éclat qu’il a fait contre nous, Ses pleurs, sõ deſeſpoir d’avoir pû nous déplaire, Eſt vn charme à calmer toute noſtre colere.	Le plaisir de le voir soumis à nos genoux, S'excuser de l'éclat qu'il a fait contre nous, Ses pleurs, son désespoir d'avoir pu nous déplaire, Est un charme à calmer toute notre colère.
ORANTE.	ORANTE.
2 (ment, Si pour vous plaire il faut beaucoup d’emporteIe ſçay qui vous pourroit donner contentemẽt;	2 (ment, Si pour vous plaire il faut beaucoup d'emporteIe sais qui vous pourrait donner contentement;
Et ie cõnois des gens dans Paris plus de quatre, Qui, comme ils le font volr aiment iulques à baCLIMENE.	Et grands cõnois des gens dans Paris plus de quatre, Qui, comme ils le font volr aiment julques à baCLIMENE.
tre.	tre.
Si pour vous plaire il faut n’eſtre iamais jaloux, Ie ſçay certaines gens fort cõmodes pour vous;	Si pour vous plaire il faut n'être jamais jaloux, Je sais certaines gens fort commodes pour vous;
Des hommes en amour d’vne humeur ſi ſouffrante, vu jis vous verroient lans peme entte les bras de trente.	Des hommes en amour d'une humeur si souffrante, vu jis vous verraient lans péme entte les bras de trente.
ORANTE.	ORANTE.
Enfin, par voſtre arreſt vous devez declarer, Celuy de qui l’amour vous ſemble à preferer.	Enfin, par votre arrêt vous devez déclarer, Celui de qui l'amour vous semble à préférer.
ERASTE.	ERASTE.
Puiſqu’à moins d’vn arreſt ie ne m’en puis deffaire, Toutes deux à la fois ie veux vous ſatisfaire;	Puisqu'à moins d'vn arrêt ainsi ne m'en puis défaire, Toutes deux à la fois ie veux vous satisfaire;
Et pour ne point blâmer ce qui plait à vos yeux, Le jaloux aime plus, & l’autre aime bien mieux.	Et pour ne point blâmer ce qui plaît à vos yeux, Le jaloux aime plus, et l'autre aime bien mieux.
CLIMENE.	CLIMENE.
L’arreſt eſt plein d’eſprit;	L'arrêt est plein d'esprit;
mais.	mais.
ERAJIE.	ERAJIE.
Suffit, i’en ſuis quitte, Apres ce que i’ay dit, ſouffrez que ie vous quite.	Suffit, j'en suis quitte, Après ce que j'ai dit, souffrez que ie vous quite.
SCENE V.	SCÈNE V.
ORPHISE, ERASTE.	ORPHISE, ERASTE.
ERASTE.	ERASTE.
Ve vous tardez, Madame, & que i’êprouve bien.	Ve vous tardez, Madame, et que j'éprouve bien.
ORPHI	ORPHI
ORPHISE.	ORPHISE.
Non, non, ne quittez pas vn ſi doux entretien, A tort vous m’accuſez d’eſtre trop tard venuë, Et vous avez de quoy vous paſſer de ma veuë,	Non, non, ne quittez pas un si doux entretien, A tort vous m'accusez d'être trop tard venue, Et vous avez de quoi vous passer de ma vue,
ERASTE.	ERASTE.
Sans ſujet contre moy voulez-vous vous aigrir, Leme leproenez-vous ce qu'on me rait fouffrir:	Sans sujet contre moi voulez-vous vous aigrir, Leme leproenez-vous ce qu'on me rait souffrir:
Ha!	Ha!
de grace, attendez.	de grâce, attendez.
ORPHISE.	ORPHISE.
Laiſſez-moy, ie vous prie, Et courez vous rejoindre à voſtre compagnie.	Laissez-moi, votre vous prie, Et courez -vous rejoindre à votre compagnie.
Elle ſort.	Elle sort.
ERACTE.	ERACTE.
Ciel, faut-il qu’aujourd’huy Fâcheuſes, & Facheux, Gompineud moron lea prue encio dumsvœux!	Ciel, faut-il qu'aujourd'hui Fâcheuses, et Facheux, Gompineud moron le prue encio dumsvœux!
Mais allons ſur ſes pas, malgré ſa reſiſtance, Et faiſons à les yeux briller noſtre innocence.	Mais allons sur ses pas, malgré sa résistance, Et faisons à les yeux briller notre innocence.
e e nla d l l DORANTE, ERASTE.	 eu nla dès l ' ORANTE, ERASTE.
DORANTE.	DORANTE.
A Marquis, que l’on voit de Fâcheux tous H les iours, Venir de nos plaiſirs interrompre le cours!	À Marquis, que l'on voit de Fâcheux tous H les ours, Venir de nos plaisirs interrompre le cours!
Tu me vois enragé d’vne aſſez belle chaſſe Qu’vn fat.	Tu me vois enragé d'une assez belle chasse Qu'un fat.
C’eſt vn recit qu’il faut que ie te faſſe	C'est un récit qu'il faut que Ne te fasse
ERAS	ERAS
ERASTE.	ERASTE.
Ie cherche icy quelqu’vn, & ne puis m’arreſter.	Je cherche ici quelqu'vn, et ne puis m'arrêter.
DORANTE le retenant.	DORANTE le retenant.
Parbleu, chemin faiſant ie te le veux conter;	Parbleu, chemin faisant ici te le veux conter;
Nous eſtions vne troupe aſſez bien aſſortie, Qui pour courir vn Cerf avions hier fait partie;	Nous étions un troupe assez bien assortie, Qui pour courir un Cerf avions hier fait partie;
Et nous fûmes coucher ſur le païs exprès, C’eſt à dire, mon cher, en fin fond de foreſts.	Et nous fûmes coucher sur le pays exprès, C'est à dire, mon cher, en fin fond de forêts.
Comme cét exercice eſt mon plaiſir ſupréme, Ie voulus pour bien faire, aller au bois moy2 meſme;	Comme cet exercice est mon plaisir suprême, Je voulus pour bien faire, aller au bois moi2 même;
Et nous conclûmes tous d’attacher nos efforts Sur vn Cerf, qu’vn chacun nous drſoit Cerfdix-cors;	Et nous conclûmes tous d'attacher nos efforts Sur un Cerf, qu'un chacun nous drsait Cerfix-cors;
Mais moy, mon iugement, ſans qu’aux marques i’arreſte, Fut qu’il n’eſtoit que Cerf à ſa ſeconde teſte.	Mais moi, mon jugement, sans qu'aux marques j'arrête, Fut qu'il n'était que Cerf à sa seconde tête.
Nous avions, comme il faut ſeparé nos relais, Et déjûnions en haſte, avec quelques œufs frais;	Nous avions, comme il faut séparé nos relais, Et déjûnions en hâte, avec quelques œufs frais;
Lors qu’vn franc Campagnard, avec longue rapiere, Montant ſuperbement ſa jument pouliniere, Qu’il honoroit du nom de ſa bonne jument, S’en eſt venu nous faire vn mauvais cõpliment, Nous preſentant auſſi, pour ſurcroiſt de colere, Vn grand beneſt de fils, auſſi ſot que ſon pere.	Lors qu'un franc Campagnard, avec longue rapière, Montant superbement sa jument poulinière, Qu'il honorait du nom de sa bonne jument, S'en est venu nous faire un mauvais commliment, Nous présentant aussi, pour surcroît de colère, Un grand benest de fils, aussi sot que son père.
Il s’eſt dit grand Chaſſeur, & nous a priez tous, Qu’il pût avoir le bien de courir avec nous.	Il s'est dit grand Chasseur, et nous a priez tous, Qu'il pût avoir le bien de courir avec nous.
Dieu preſerve, en chaſſant, toute ſage perſonne, D’vn porteur de huchet, qui mal à propos ſonne;	Dieu preserve, en chassant, toute sage personne, D'un porteur de huchet, qui mal à propos sonne;
De ces gens qui ſuivis de dix Hourets galeux Diſent ma meute, & font les Chaſſeurs merveilSa demande receuë, & ſes vertus priſées, Nous avons eſté tous frapper à nos briſées.	De ces gens qui suivis de dix Hourets galeux Disent ma meute, et font les Chasseurs merveilSa demande reçue, et ses vertus prisées, Nous avons été tous frapper à nos brisées.
A trois longueurs de trait, tayaut;	À trois longueurs de trait, taiaut;
voila d’abord Le Cerf donné aux chiens, i’appuye & ſonne fort.	voilà d'abord Le Cerf donné aux chiens, j'appuie et son fort.
Mon Cerf débuche, & paſſe vne aſſez longue plaine, Et mes chiens apres luy;	Mon Cerf débuche, et passe une assez longue plaine, Et mes chiens après avoir;
mais ſi bien en haleine, Qu’on les auroit couverts tous d’vn ſeul iuſteau-corps.	mais si bien en haleine, Qu'on les aurait couverts tous d'un seul justeau-corps.
Il vient à la foreſt;	Il vient à la forêt;
nous luy donnons alors La vieille meute;	nous avait donnons alors La vieille meute;
& moy, ie prens en diligence Me ea l	et moi, je prends en diligence Me ea l
ERASTE.	ERASTE.
Non, ie penſe.	Non, Seigneur pense.
DORANTE.	DORANTE.
beau, Comment?	beau, Comment?
c’eſt vn cheval auſſi bon qu’il eſt Et que ces iours paſſez i’achetay de Gaveau.	c'est un cheval aussi bon qu'il est Et que ces jours passés j'achetai de Gaveau.
Marchand de chevaux celebre à la Cour.	Marchand de chevaux célèbre à la Cour.
Ie te laiſſe à penſer, ſi, ſur cette matiére, Il voudroit me tromper, luy qui me conſidere:	Je te laisse à penser, si, sur cette matièvre, Il voudrait me tromper, Seigneur qui me considère:
Auſſi ie m’en contente, & iamais, en effet, Il n’a vendu cheval, ny meilleur, ny mieux fait.	Aussi ici m'en contente, et jamais, en effet, Il n'a vendu cheval, Seigneur meilleur, notre mieux fait.
Vne teſte de Barbe, avec l’eſtoile nette, L’encolure d’vn cigne, effilée, & bien droite;	Une tête de Barbe, avec l'étoile nette, L'encolure d'un cigne, effilée, et bien droite;
Point d’épaules non plus qu’vn liévre;	Point d'épaules non plus qu'un lièvre;
courtjointé, Et qui fait dans ſon port voir ſa vivacité.	courtjointé, Et qui fait dans son port voir sa vivacité.
Des piez, morbleu, des piez!	Des pieds, morbleu, des pieds!
le rein double:	le rein double:
à vray dire, I’ay trouvé le moyen, moy ſeul, de le reduire, Et ſur luy, quoy qu’aux yeux il montraſt beau ſemblant, Petit Iean de Gaveau ne montoit qu’en tremblant.	à vrai dire, J'ai trouvé le moyen, moi seul, de le réduire, Et sur notre, quoi qu’aux yeux il montrât beau semblant, Petit Iean de Gaveau ne montait qu'en tremblant.
Vne croupe, en largeur, à nulle autre pareille, Et des gigots, Dieu ſçait!	Une croupe, en largeur, à nulle autre pareille, Et des gigots, Dieu sait!
bref, c’eſt vne merveille;	bref, c'est une merveille;
Et i’en ay refusé cent piſtoles, croy-moy, Au retour d’vn cheval amené pour le Roy.	Et j'en ai refusé cent pistoles, cro-moi, Au retour d'un cheval amené pour le Roi.
Ie monte donc deſſus, & ma joye eſtoit pleine, De voir filer de loin les coupeurs dans la plaine;	Je monte donc dessus, et ma joie était pleine, De voir filer de loin les coupeurs dans la plaine;
Ie pouſſé, & ie me trouve en vn fort à l’écart, A la queuë de nos chiens moy ſeul avec Drecar.	Je poussé, et ainsi me trouve en un fort à l'écart, A la queue de nos chiens moi seul avec Décar.
Piqueur renommé.	Piqueur renommé.
Vne heure là dedans noſtre Cerf ſe fait batre, I’appuye alors mes chiens, & fais le diable à quatre:	Une heure là dedans notre Cerf se fait battre, J'appuie alors mes chiens, et fais le diable à quatre:
Enfin iamais Chaſſeur ne ſe vit plus joyeux, Ie le relance ſeul, & tout alloit des mieux;	Enfin jamais Chasseur ne se vit plus joyeux, Je le relance seul, et tout allait des mieux;
Lors que d’vn ieune Cerf s’accompagne le nôtre, Vne part de mes chiens ſe ſepare de l’autre, Et ie les voy, Marquis, comme tu peux penſer, Chaſſer tout avec crainte, & finaut balancer.	Lors que d'un jeune Cerf s'accompagne le nôtre, Une part de mes chiens se sépare de l'autre, Et ainsi les vois, Marquis, comme tu peux penser, Chasser tout avec crainte, et fin balancer.
Il ſe rabat ſoudain, dont i’eus l’ame ravie;	Il se rabat soudain, dont j'eus l'âme ravie;
Il empaume la voye, & moy ie ſonne & crie, A finaut, à finaut:	Il empaume la voie, et moi -même sonne et crie, A finaut, à finaut:
i’en revois à plaiſir, Sur vne taupiniere, & reſſonne à loiſir.	j'en revois à plaisir, Sur une taupinière, et résonne à loisir.
Quelques chiens revenoient à moy, quand pour diſgrace, Le ieune Cerf, Marquis, à mon Cãpagnard paſſe.	Quelques chiens revenaient à moi, quand pour disgrâce, Le jeune Cerf, Marquis, à mon Cépagnard passe.
Mon étourdy ſe met à ſonner comme il faut, Et crie à pleine voix, tayaut, tayaut, tayaut.	Mon étourdi se met à sonner comme il faut, Et crie à pleine voix, taiaut, taiaut, taiaut.
Mes chiens me quittet tous, & vont à ma pecore, I’y pouſſe, & i’en revois dans le chemin encores Mais à terre, mon cher, ie n’eus pas ietté l’œil,	Mes chiens me quittet tous, et vont à ma pécore, J'y pousse, et j'en revois dans le chemin encore Mais à terre, mon cher, je n'eus pas jeté l'œil,
COMEDIE.	COMÉDIE.
Que ie connus le change, & ſentis vn grand dueil.	Que était connus le change, et sentis un grand deuil.
I’ay beau luy faire voir toutes les differences Des pinces de mon Cerf & de ſes connoiſſances, Il me ſoûtient toûjours, en Chaſſeur ignorant, Que c’eſt le Cerf de meute, & par ce different Il donne temps aux Chiens d’aller loin:	J'ai beau lui faire voir toutes les différences Des pinces de mon Cerf et de ses connaissances, Il me soutient toujours, en Chasseur ignorant, Que c'est le Cerf de meute, et par ce différent Il donne temps aux Chiens d'aller loin:
i’en enrage, .	j'en enrage, .
1177 112 Et peſtant de bon cœur contre le perſonnage, Ie pouſſe mon cheval, & par haut & par bas, Qui plioit des gaulis auſſi gros que les bras:	1177 112 Et pestant de bon cœur contre le personnage, Je pousse mon cheval, et par haut et par bas, Qui pliait des gaulis aussi gros que les bras:
Ie ramene les chiens à ma premiere voye, Qui vont en me donnant vne exceſſive joye, Requerir noſtre Cerf, comme s’ils l’euſſent veu :	Je ramène les chiens à ma première voie, Qui vont en me donnant une excessive joie, Requérir notre Cerf, comme s'ils l'eussent vu :
Ils le relancent;	Ils le relancent;
mais, ce coup eſt-il preveu?	mais, ce coup est-il prévu?
A te dire le vray, cher Marquis, il m’aſſomme, Noſtre Cerf relancé va paſſer à noſtre homme, Qui croyant faire vn trait de Chaſſeur fort vanté, D'vn piſtolet d’arçon qu’il avoit apporté, Luy donne iuſtement au milieu de la teſte;	À te dire le vrai, cher Marquis, il m'assomme, Notre Cerf lancé va passer à notre homme, Qui croyant faire un trait de Chasseur fort vanté, D'un pistolet d'arçon qu'il avait apporté, Lui donne justement au milieu de la tête;
Et de fort loin me crie, ah!	Et de fort loin me crie, ah!
i’ay mis bas la beſte.	j'ai mis bas la bête.
A-t’on iamais parlé de piſtolets, bon Dieu!	A-t-on jamais parlé de pistolets, bon Dieu!
Pour courre vn Cerf?	Pour courre un Cerf?
pour moy venant deſſus le lieu, I’ay trouvé l’action tellement hors d’vſage, Que i’ay donné des deux à mon cheval de rage, Et m’en ſuis revenu chez moy toûjours courant, Sans vouloir dire vn mot à ce ſot ignorant.	pour moi venant dessus le lieu, J'ai trouvé l'action tellement hors d'usage, Que j'ai donné des deux à mon cheval de rage, Et m'en suis revenu chez moi toujours courant, Sans vouloir dire un mot à ce sot ignorant.
ERASTE.	ERASTE.
Tu ne pouvois mieux faire, & ta prudence eſt rare:	Tu ne pouvais mieux faire, et ta prudence est rare:
C’eſt ainſi, des Fâcheux qu’il faut qu’on ſe ſepare;	C'est ainsi, des Fâcheux qu'il faut qu'on se sépare;
Adieu.	Adieu.
DORANTE.	DORANTE.
Quand tu voudras, nous irons quelque part, Oũ nous ne craindrons point de Cnaneur Campagnard.	Quand tu voudras, nous irons quelque part, Oũ nous ne craindrons point de Cnaneur Campagnard.
ERASTE.	ERASTE.
Fort bien.	Fort bien.
Ie croy qu’enfin ie perdray patience;	Je crois qu'enfin rien perdrai patience;
Cherchons a m'excuier avecque diligence.	Cherchons à m'excuier avec diligence.
Fin du deuxiéme Acte.	Fin du deuxième Acte.
BAL	BAL
BALLET En jetona Micle.	BALLET En jetona Micle.
PREMIERE ENTRE’E.	PREMIÈRE ENTRE'E.
Es Poüeurs de Boule l’arreſtent pour Imeſurer vn coup, dõt ils ſont en diſpute.	Es Poüeurs de Boule l'arrêtent pour Imesurer un coup, dont ils sont en dispute.
Il ſe défait d’eux avec peine, & leur laiſſe dancer vn pas, compoſé de toutes les poſtures qui ſont ordinaires à ce Ieu.	Il se défait d'eux avec peine, et leur laisse dancer un pas, composé de toutes les postures qui sont ordinaires à ce Jeu.
DEVXIESME ENTREE.	DEUXIÈME ENTRE.
De petits Frondeurs les viennent interrompre, qui ſont chaſſez en ſuite.	De petits Frondeurs les viennent interrompre, qui sont chassés en suite.
TROISIESME ENTRE’E.	TROISIÈME ENTRE'E.
Pur uts Saveliers, & des Savtuieres, leurs peres, & autres, qui ſont auſſi chaſſez à leur tour.	Pur utz Saveliers, et des Savtuieres, leurs pères, et autres, qui sont aussi chassés à leur tour.
VATRIESME ENTRE'E.	VATRIESME ENTRE'E.
Par vn Iardinier, qui dance ſeul, & ſe retire pour faire place au troiſieſme Acte.	Par un Jardinier, qui dance seul, et se retire pour faire place au troisième Acte.
ACTE III.	ACTE III.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ERASTE, LA MONTTAGNE.	ERASTE, LA MONTAGNE.
A ERASTE.	A ERASTE.
L eſt vray, d’vn coſté mes ſoins ont re üſſy, Cét adorable objet enfin s’eſt adoucy:	L est vrai, d' Hôte mes soins ont ré ussui, Cet adorable objet enfin s'est adouci:
Mais d’vn autre on m’accable, & les Aſtres ſeveres Ont, contre mon amour, redoublé leurs coleres.	Mais d'un autre on m'accable, et les Astres sévères Ont, contre mon amour, redoublé leurs colères.
Ouy, Damis ſon tuteur, mon plus rude fâcheux, Tout de nouveau s’oppose aux plus doux de mes vœux, A ſon aimable niece a deffendu ma veuë, Et veut d’vn autre époux la voir demain pourveuë.	Oui, Damis son tuteur, mon plus rude fâcheux, Tout de nouveau s'oppose aux plus doux de mes vœux, À son aimable nièce a défendu ma vue, Et veut d'un autre époux la voir demain pourvue.
Orphiſe, toutefois, malgré ſon deſaveu, Daigne accorder ce ſoir vne grace à mon feu;	Orphise, toutefois, malgré son désaveu, Daigne accorder ce soir une grâce à mon feu;
Et i’ay fait conſentir l’eſprit de cette belle, A ſouffrir qu’en ſecret ie la viſſe chez elle.	Et j'ai fait consentir l'esprit de cette belle, A souffrir qu'en secret apprendre la visse chez elle.
L’amour aime ſur tout les ſecrettes faveurs, Dans l’obſtacle qu’on force, il trouve des douceurs;	L'amour aime sur tout les secrètes faveurs, Dans l'obstacle qu'on force, il trouve des douceurs;
Et le moindre entretien de la beauté qu’on ayme.	Et le moindre entretien de la beauté qu'on aime.
Lors qu’il eſt deffendu devient grace ſuprême.	Lors qu'il est défendu devient grâce suprême.
Ie vais au rendez-vous, c’en eſt l’heure, à peu près;	Je vais au rendez-vous, c'en est l'heure, à peu près;
Pais, ie veux my trouver piuton avant qu’après.	Pais, Seigneur veux mi trouver piuton avant qu'après.
LA MONTAONE.	LA MONTAONE.
Suivray-je vos pas?	Suivrai-je vos pas?
ERASTE.	ERASTE.
Non, e crainureis que peut-eſtre A quelques yeux ſuſpects tu me fiſſes connoiſtre.	Non, e crainureis que peut-être À quelques yeux suspects tu me fisses connaître.
LA MONTAGNE.	LA MONTAGNE.
Mais.	Mais.
.	.
ERASTE.	ERASTE.
Ie ne le veux pas.	Je ne le veux pas.
LA MONTAGNE.	LA MONTAGNE.
Ie dois ſuivre vos loix:	Je dois suivre vos lois:
Mais au moins ſi de loin.	Mais au moins si de loin.
ERASTE.	ERASTE.
Te tairas-tu vingt-fois?	Te tairas-tu vingt-fois?
Et ne veux-tu iamais quitter cette methode, De te rendre à toute heure vn Valet incommode?	Et ne veux-tu jamais quitter cette méthode, De te rendre à toute heure un Valet incommode?
SCENE II.	SCÈNE II.
CARITIDESERASTE,	CARITIDESERASTE,
CARITIDES.	CARITIDES.
Onſieur, le temps repugne à l’honneur de M vous voir, Le matin eſt plus propre à tendre vn tel devoir:	Onsieur, le temps répugne à l'honneur de M vous voir, Le matin est plus propre à tendre un tel devoir:
Mais de vous rencontrer il n’eſt pas bien facile, Carvous dormez toûjours, ou vous eſtes en ville;	Mais de vous rencontrer il n'est pas bien facile, Carvous dormez toujours, ou vous êtes en ville;
