TIMOCLEE, Y5707.	TIMOCLE, Y570.
Oûy, oeigneur, ie l’auoüe & fans me faite effort.	Oui, oueigneur, ie l'auoüe et sans me faite effort.
ALEXANDRE.	ALEXANDRE.
Cette confeſſion ne vous fait point de tort, Amiute, & votre faute eſt déja pardonnée, Si c’eſt de preferet l’honneur a l’hymenée, Puus que c’eſt coluy la qui nous rend glorieux, Eschetix pout iamais des hommes & des pieux:	Cette confession ne vous fait point de tort, Amivte, et votre faute est déjà pardonnée, Si c'est de préfèret l'honneur à l'hyménée, Puus que c'est colui la qui nous rend glorieux, Échetix pout jamais des hommes et des pieux:
Auameuqque celuvſcy, moirqu'mpmanegmuiiire, Ne nou, peutacquenr qu'vne groſliere eſtime, Mais donnc a nos corps ſeuls quelque cõtentemant qu’vn grand cœur, ſans l’honneur, trouue bien peu charma at.	Avameuque celuvscy, moirqu'mpmanegmuiiire, Ne nouv, peutacquenr qu'une groslière estime, Mais donnc à nos corps seuls quelque commentemant qu'un grand cœur, sans l'honneur, trouve bien peu charma at.
Oüy, vous étes, Aminte, au Temple de la Gloire, Il luy piut conſacrer les fruits d vne victoire:	Oui, vous êtes, Aminte, au Temple de la Gloire, Il était piut consacrer les fruits d' une victoire:
Mais pour rẽdre ces fruits pius cha mis &plobeaux Qu’ils ne ſoiẽt point iettez dans des afreux tõbeaux, Eleuez les plútot dans les filets de ſoye, Qu’en les portãt tout verds de leur ſang on nevoye Lois étans par vos maius nſeruez tous entiers Ils éterniſeront auez eux vos lauriers.	Mais pour rendre ces fruits pius cha mis etplobeaux Qu'ils ne soient point jetés dans des afreux tombeaux, Élevez les plaindre dans les filets de soie, Qu'en les portant tout verts de leur sang on nevoie Lois étans par vos maids nservez tous entiers Ils éterniseront avez eux vos lauriers.
AMINTE.	AMINTE.
Ie le feray, Seigneur, c’eſt mon ſeul auantage, C’eſt, ô coble de biens pour vous en faire homage.	Je le ferai, Seigneur, c'est mon seul avantage, C'est, ô coble de biens pour vous en faire hommage.
Non point pour augmenter la gloire de ce nom que le Monde reuere ainſi que d’Apollon.	Non point pour augmenter la gloire de ce nom que le Monde révère ainsi que d'Apollon.
Ie vais donc enuoyer vn Soldat vers Perdique, Pour luy faire ſçauoir ce decret authentique;	Je vais donc envoyer un Soldat vers Perdique, Pour lui faire sçauoir ce décret authentique;
Et ſi des nieux benins ſecondent nos projets, Seigneur, nous les prendrõs tous viuãs dãs vos rets.	Et si des nieux bénins secondent nos projets, Seigneur, nous les prendrons tous vivants dans vos rets.
ALEXANDRE.	ALEXANDRE.
nieux!	nieux!
faites le de grace.	faites le de grâce.
O miſerable Ville, Crois-tu rendre auiourd huy mon armée inutile?	Ô misérable Ville, Crois-tu rendre aujourd' hui mon armée inutile?
Apres tant de combats, preſomptueux Thebains, Tout vaincus penſez-vous échapper de mes mains?	Après tant de combats, présomptueux Thebains, Tout vaincus pensez-vous échapper de mes mains?
Croyez-vous éuiter ſeuls de toute la Grece, Et méme de l’Aſie, vne main vengereſſe?	Croyez-vous éviter seuls de toute la Grèce, Et même de l'Âme, une main vengeresse?
péja la Perſe tremble au bruit de mes ſoldats, Et me voyant preſeut tu n’apprehendes pas.	péjà la Perse tremble au bruit de mes soldats, Et me voyant preseut tu n'appréhendes pas.
Orgueilleuſe Cité, i’ay pitié de la peine Que tu vas endurer, pour étre ſi hautaine.	Orgueilleuse Cité, j'ai pitié de la peine Que tu vas endurer, pour être si hautaine.
SCENE III.	SCÈNE III.
TRASILE, RASE',	TRASILE, RASE,
TRASILE.	TRASILE.
Rreſte vn peu, Raſé, laiſſons partir le Roy.	Rreste un peu, Rasé, laissons partir le Roi.
ANous réiouiron.	ANous réiouiron.
ne uu ne cien quen dis t quoy?	ne ne cien quen dis quoi?
En toy i’eſpere tout.	En toi j'espère tout.
XASR.	XASR.
Mais quel eſpoir de ioye, p’aller à l’ennemy donner ſon cœur en proye?	Mais quel espoir de joie, p'aller à l'ennemi donner son cœur en proie?
TRASILE I’y ſens auec plaiſir le mien tout diſpoſé, Le cronay, ie peidant, auon beaucoup ole.	TRASILE I'y sens avec plaisir le mien tout disposé, Le cronai, toujours pédant, avon beaucoup ole.
RASE'.	RASE.
Ietiens plus genereux de baiſer ma Carite, Et de garder mon cœur à ſon puiſlant merite.	Jetiens plus généreux de baiser ma Carite, Et de garder mon cœur à son puislant mérite.
TRASILE.	TRASILE.
C’eſt de cette façon que ie perdray le mien:	C'est de cette façon que je perdrai le mien:
Mais le gardant ainſi, demeurera-t’il tien?	Mais le gardant ainsi, demeurera-t-il tien?
Non, non, le partager, c’eſt perdre ſa franchiſe.	Non, non, le partager, c'est perdre sa franchise.
ASE Comme aupres de Venus fit le Paſteur Anchiſe, Qui lui fit part d’vn cœur, bien qu’au corps attaché Et que de ſes ſermens il eút fort relâché;	AZE Comme auprès de Venus fit le Pasteur Anchise, Qui lui fit part d'un cœur, bien qu'au corps attaché Et que de ses serments il eût fort relâché;
C’eſt ce que vous peruer, & miby ce que le prête.	C'est ce que vous perver, et mibi ce que le prête.
Mais quel obiet ſi fort ce grand courage artê te?	Mais quel objet si fort ce grand courage artêmes te?
Sans doute c’eſt vn traitre, ou quelque obiet aimé	Sans doute c'est un traître, ou quelque objet aimé
TRASILE.	TRASILE.
aſé, tu le connais, tantót tu b'as nommé.	asé, tu le connais, tant tu b'as nommé.
ute ſouuiens auſli du procedé d’Aminte:	ôte souviens aûli du procédé d'Aminte:
h!	h!
ce ſont les diſcours qui font toute ma plainte:	ce sont les discours qui font toute ma plainte:
Car dés le meme temps qu’il eſt venu parler 'ay ſenty mon coeur batre, & mes ſens ſe troubler u nous auois fait voir cette beauté voilée;	Car dès le même temps qu'il est venu parler ' ais senti mon coeur battre, et mes sens se troubler nous auois fait voir cette beauté voilée;
lais il l’a deuant nous clairement étalée nues termes ſi hauts & ſi myſterieux, que l’on counait aſſez qu’il en tait tous ſes pieux c'eſt toy qui le premier en mon cœut as fait naitre Le deſir violent que mes veux fout paraitre.	lais il l'a devant nous clairement étalée nues termes si hauts et si mystérieux, que l'on counait assez qu'il en taît tous ses pieux c'est toi qui le premier en mon cœut as fait naître Le désir violent que mes veux fout paraître.
t d’vn bien que i’auois ſeulement eſtimé, eſpoir de l'acquerit en a fait vn aimé.	 t'un bien que j'avais seulement estimé, espoir de l'acquérit en a fait un aimé.
Mlais helus!	Mlais hélus!
ce penſer me met tout hors d’haleine, et ie crains iuſtement que ma plainte ſoit vaine.	ce penser me met tout hors d'haleine, et grands crains justement que ma plainte soit vaine.
aminte eſt.	aminte est.
ASE Reeuem aterourate en Srmy.	AZE Revem aterourate en Srmi.
Etfondez vos proiets ſurleſptit d’vn amy pe qui vous vouliez bien u er de l’aſſiſtance.	Etfondez vos proisets surlesptit d'un ami pe qui vous vouliez bien de assistance.
Auant que de vos maux il eút eu connaiſſancs.	Avant que de vos maux il eût eu connaissancs.
RASILE.	RASILE.
Amy, que pourious nous contre vn audacieux ai croit au prix de nous érre vn des deuyy pieux.	Ami, que pourjous nous contre un audacieux ai croit au prix de nous érre un des deui pieux.
Umat le pouvon peus prai queceiuv de rortune teur peut ſeuls acquenit la beauté moins cõmune, t qui peut en eff tobtenir beaucoup plus Que ne ſont les treſors qu’on rauit aux vaineus, Qui poſſede en vn mot la faueur d’Alexandre	Umat le pouvon pus pray queceive de rortune teur peut seuls acquenit la beauté moins commune, t qui peut en eff obtenir beaucoup plus Que ne sont les trésors qu'on ravit aux vaineus, Qui possède en un mot la faveur d'Alexandre
ASE'.	AZE.
C’eſt par vn autre ſens que ie le voudrois prendre.	C'est par un autre sens que Je le voudrais prendre.
le ne voudrois l’auoir que de ma propre main.	le ne voudrais l'avoir que de ma propre main.
TRASILE.	TRASILE.
Que ie combate, Aminte, ah!	Que ici combatte, Aminte, ah!
ie ſerois trop vain.	Il serais trop vain.
Oüy, ſi i’en auois eu ſeulement la penſée, Ie verrois ma Fortune auſſi-tot renuorſée;	Oui, si j'en avais eu seulement la pensée, Je verrais ma Fortune aussitôt renuorsée;
Et loin de voir a moy ce bien ſi ſouhaité, Sans doute que du iour ie perdrois la clarté.	Et loin de voir à moi ce bien si souhaité, Sans doute que du iour de perdrais la clarté.
RASE'.	RASE.
eſt vray, vous n’auriez qu’à prendre vne houlette Et dire à baſſe voix, ah!	est vrai, vous n'auriez qu'à prendre une houlette Et dire à basse voix, ah!
ma fortune eſt faite, (Encor ſi vous pouuiez vous ſauuer du trépas) Auſſi le vois ie bien, vous ne m’entendez pas:	ma fortune est faite, (Encor si vous pouviez vous sauver du trépas) Aussi le vois ie bien, vous ne m'entendez pas:
Mais ie connais par là que vous craignez l’épée.	Mais ici connais par là que vous craignez l'épée.
TRASILE.	TRASILE.
Oüy, celle qui ſait voir vne teſte coupée.	Oui, celle qui sait voir une tête coupée.
I’en ay peur ſeulement en la main d’vn Bourreau, Non qu’ailleurs ie refuſe à ioüer du couſteau.	J'en ai peur seulement en la main d'un Bourreau, Non qu'ailleurs était refuse à jouer du couteau.
Ne penſe pas de la que i'eſtime la vie, Autant que d’vn Bourreau i’abhore l’infamie, S’il ſe pouuoit qu’Aminte à mes vœux moins crue Eut le ceul de le batle.	Ne pense pas de la que j'estime la vie, Autant que d'un Bourreau j'abhore l'infamie, S'il se pouvait qu'Aminte à mes vœux moins crue Eut le ceul de le batle.
RASE' Auec vous en duel?	RASE' Avec vous en duel?
Ie ne le voudrois pas, quand il ſe pouroit faire.	Je ne le voudrais pas, quand il se pourrait faire.
TRASILE.	TRASILE.
Quoy donc?	Quoi donc?
que ie luy ſois vn ſecret aduerſaire, Que i’arme contre luy le bras des affaſſins?	que ie cy sois un secret adversaire, Que j'arme contre nô le bras des affassins?
ASE’.	AZE.
Non ſans verſer de ſang, ſans en venir aux mains, Et ſans que vous ayez auec luy nulle priſe, Ou contre ſa faueur qu’vn crime s’authoriſe (Bien qu’vn crime en amouris excuſe quelquefois Ie croy pour le plus ſeur que ie le preuiendrois.	Non sans verser de sang, sans en venir aux mains, Et sans que vous ayez avec tu nulle prise, Ou contre sa faveur qu'un crime s'autorise (Bien qu'un crime en amour excuse quelquefois Je crois pour le plus sûr que je le préviendrais.
TRASILE.	TRASILE.
Voila de mon eſprit la premiere penſée, Mais y reflechiſſant, ie l’auois effacée, Et ſa difficulté dans l’execution, Iointe auec vos diſcours, brauoit ma paſſion:	Voilà de mon esprit la première pensée, Mais y réfléchissant, Seigneur l'avais effacée, Et sa difficulté dans l'exécution, Jointe avec vos discours, bravait ma passion:
Ie la reſſens encor de ces traits pourſuiuié, Bien que vôtre diſcours me rende vn peu de vie, Fvie n uie cipcid (eie pallant Miaiyi Qu'Aminte ſoit alors plus que nous endormy.	Je la ressens encor de ces traits poursuivié, Bien que votre discours me rende un peu de vie, Févie n uie cipcid (eie pallant Miai Qu'Minte soit alors plus que nous endormi.
RASE’.	RASE.
Mais pourquoy vous forger cette nouuelle crainte, Comme ſi vótre amour étoit connu d’Aminte?	Mais pourquoi vous forger cette nouvelle crainte, Comme si votre amour était connu d'Aminte?
Et puis que parmy nous il ſe croit ſans Riual, Pourquoy de ſon cóté redouter tant de mal?	Et puis que parmi nous il se croit sans Rival, Pourquoi de son cóté redouter tant de mal?
Il ne preſſera rien, croyez moy, cher Traſile, Car ſçachant que le Roy veut conſeruer la Ville, Et voyant qu’en effet on n’y pillera rien, Il croira par loiſir aller chercher ſon bien, It ne manquera pas de conduire Alexandre Dans tous les baſtions qu’ils auront veu deſendre.	Il ne pressera rien, croyez moi, cher Trâile, Car sçachant que le Roi veut conserver la Ville, Et voyant qu'en effet on n'y pillera rien, Il croira par loisir aller chercher son bien, It ne manquera pas de conduire Alexandre Dans tous les bâtions qu'ils auront vu désendre.
pans tous les Arſenaux, & tous les autres lieux Où le pourra porter ſon eſprit curieux.	pans tous les Arsenaux, et tous les autres lieux Où le pourra porter son esprit curieux.
Cependant nous fçaurõs prendre l’heure oportune.	Cependant nous saurait prendre l'heure oportune.
RASILE.	RASILE.
Amy, tu me vaua mieux qu’vnc bonne fortune.	Ami, tu me vava mieux qu'unc bonne fortune.
PASE' Ne perdous point de temps en de legers diſcours néja peut eſtre Aminte eſt au pied de ces Tours, Et ie n’aſſeure pas, s’il les alloit ſurprendre, Qu’il ne dút voir ſa Belle, attendant Alexandre.	PASE' Ne perdais point de temps en de légers discours néjà peut été Aminte est au pied de ces Tours, Et a pprassure pas, s'il les allait surprendre, Qu'il ne droit voir sa Belle, attendant Alexandre.
Tachons donc que d’abord nous ſoyons cõmandePuis ie vous conduiray ulqu’ou vous pretendez	Tachons donc que d'abord nous soyons commandePuis ie vous conduirai ulqu'ou vous prétendez
TRASILE.	TRASILE.
C'eſt là tout mon e.	C'est là tout mon é.
poir, car ſans t’auoir pour guieLe moyen de ſeruir ma paſſiou auide?	poir, car sans t'avoir pour guieLe moyen de servir ma passiou aujde?
Et comiment rencontrer dans vne obſcute nuit, Et parmy tant de trouble, vn objet qui nous fuit!	Et comiment rencontrer dans une obscute nuit, Et parmi tant de trouble, un objet qui nous fuit!
Allons donc de ce pas, & ſans reprendre haleine, Allons, mon cher Raſé.	Allons donc de ce pas, et sans reprendre haleine, Allons, mon cher Rasé.
Que ie te fais de peine!	Que ici te fais de peine!
Mtars croy pour an-dre, qu’apres tous nos trauaux, Tu ſentitas mes biens de méme que mes maux.	Mtars crois pour an-dre, qu'après tous nos travaux, Tu sentitas mes biens de même que mes maux.
RASE' Ie ne ſouhaite rien que de vous ſatisfaire.	RASE' Je ne souhaite rien que de vous satisfaire.
SCEAETV.	SCETU.
PHENIX, PROTHITE.	PHÉNIX, PROTHITE.
PHENIX.	PHÉNIX.
Out vous rit donc, Prothite, & tout vous eſt E proſpere?	Out vous rit donc, Prothite, et tout vous est E prospère?
vous elperez demain de reduire ce Fort, Et d muſtrer par la votre bienheureux ſott, Qui vi vous acquerir vn treſor d’importauce?	vous élpérez demain de réduire ce Fort, Et d' mustrer par la votre bienheureux sott, Qui vi vous acquérir un trésor d'importauce?
1 en lia le fia.	1 en lia le fia.
PROTHITE.	PROTHITE.
Autre que l’ou ne penſe;	Autre que l'ou ne pense;
Et ie n’en aurois rien qui ne me ſoit acquis, Si ce n’eſtoit l’honneut de nous l’auoir conquis,	Et ici n'en aurais rien qui ne me soit acquis, Si ce n'était l'honnut de nous l'avoir conquis,
PHENIX.	PHÉNIX.
Cette acquiſition, comme cette conquête, Ne ſont peut- eſtie pas vne choſe bien prête.	Cette acquisition, comme cette conquête, Ne sont peut- étie pas un chose bien prête.
PROTHITE.	PROTHITE.
Ie les feray pourtant, malgré les enuieux Ie vous le feray voir.	Je les ferai pourtant, malgré les envieux -Je vous le ferai voir.
PHENIX.	PHÉNIX.
I'en ſerois curieux:	J'en serais curieux:
Mais ie vous veux montrer ce qui vous ſait mémhelilre, Et qu’icy vous deuez craindre plus qu’Alexandre.	Mais ici vous veux montrer ce qui vous sait mémhelilre, Et qu'ici vous devez craindre plus qu'Alexandre.
ROTHITE.	ROTHITE.
Me croyez vous, Phenix, d’vn eſprit ſi ſoûmis, Que de quitter mes biens, de peur des ennemis:	Me croyez -vous, Phénix, d'un esprit si soumis, Que de quitter mes biens, de peur des ennemis:
Mais pouuez-vous douter de ce cœur magnanime?	Mais pouvez-vous douter de ce cœur magnanime?
PHENIX Poui la tememt le neuv ianiais deitime.	PHÉNIX Poui la tememt le neuv janiais deitime.
Quand vous auriez vaincu noſtre ennemy cõmun, Sçauez-vous pas qu’en moy vous en conſeruez vn?	Quand vous auriez vaincu notre ennemi commun, Savez-vous pas qu'en moi vous en conservez un?
PROTHIIE.	PROTHIE.
Ie le tûrois apres;	Je le tuerais après;
d’vne mauuaiſe bête Vn Alcide à la fois ne coupoit qu’vne tête.	d'une mauvaise bête Un Alcide à la fois ne coupait qu'une tête.
PHENIX.	PHÉNIX.
Que tu montres d’orgueil pour vn peu de bonheur!	Que tu montres d'orgueil pour un peu de bonheur!
frlaut que lelepreuue.	frlaut que lelepreuue.
PROTHITE.	PROTHITE.
Ou plútot ma valeur, Si ie ne me voyois au logis de ma Reine.	Ou plaît ma valeur, Si tu ne me voyais au logis de ma Reine.
,	,
PHENIX.	PHÉNIX.
De ta tencine ta pelſelens lapene.	De ta tencine ta pelsels lapène.
PROTHITE.	PROTHITE.
Mais ſortons.	Mais sortons.
PHENIX bas s’en allant.	PHÉNIX bas s'en allant.
Elle vient.	Elle vient.
PROTHITE.	PROTHITE.
Abord neureua pour toys Ie te vois à ce coup plus de bonheur qu’a moy.	Abord neureua pour tois Je te vois à ce coup plus de bonheur qu'a moi.
C.	Ç.
i	y
PHENIX.	PHÉNIX.
Nous connaiſtrons vn iour celuy qu’il fauoriſe.	Nous connaîtrons un jour celui qu'il favorise.
SCENE V.	SCÈNE V.
TIMOCLEE, PROTHITE, PHENIX.	TIMOCLE, PROTHITE, PHÉNIX.
TIMOCLEE.	TIMOCLE.
Ous parlez haut, Meſſieurs, auriez-vous quelque priſe?	Ous parlez haut, Messieurs, auriez-vous quelque prise?
Et dans ce temps fâcheux, & plein d’aduerſité, Où vous n’auez fait voir que generoſité, Verrois ie ſur vos fronts quelque trait de colere Qui me fit redouter ceux en qui ſeuls i’eſpere?	Et dans ce temps fâcheux, et plein d'aduersité, Où vous n'avez fait voir que générosité, Verrais ie sur vos fronts quelque trait de colère Qui me fit redouter ceux en qui seuls j'espère?
Ou, ſi ie veux iuger de ce feu de vos yeux, Comme l’on doit iuger de deux cœurs glorieux, Ouy, ie doy faire ainſi, vôtre gloire ofenſée Ne me permettroit pas de changer de penſée, Toute autre paſſion eſt indigne de vous, Que celle qui vous meut par vn iuſte courroux A venger vótre ſang que dans cette iournée Vous auez veu verſer.	Ou, si grands veux juger de ce feu de vos yeux, Comme l'on doit juger de deux cœurs glorieux, Oui, ainsi dois faire ainsi, votre gloire offensée Ne me permettrait pas de changer de pensée, Toute autre passion est indigne de vous, Que celle qui vous meut par un juste courroux A venger votre sang que dans cette journée Vous avez vu verser.
O veuë infortunée, Et qui trop iuſtement fait ſoufrir aux grands cœurs Des malheurs de leurs gens les ſenſiblés douleurs, Quand au fort du combat leurs mains toutes briſées Du ſang des ennemis ne ſont pas arroſées.	Ô vue infortunée, Et qui trop justement fait souffrir aux grands cœurs Des malheurs de leurs gens les sensiblés douleurs, Quand au fort du combat leurs mains toutes brisées Du sang des ennemis ne sont pas arrosées.
Ie ne puis toutefols affirmer ſans pecher, Que vous n’ayez vendu ce peu de lang bien cher:	Je ne puis toutefols affirmer sans pécher, Que vous n'ayez vendu ce peu de lang bien cher:
Mais vous allez bientôt effacer cette pette Par cette occaſion qui va vous eſtre oferte, Et qui vous doit tous deux auſſi fort obliger Que le commun malheur a ſceu vous afliger.	Mais vous allez bientôt effacer cette pette Par cette occasion qui va vous être offerte, Et qui vous doit tous deux aussi fort obliger Que le commun malheur a su vous affliger.
Allez donc, vous Prothite, acheuer l’entrepriſe, Et vous, Phenix, aux murs aſſeurer la franchiſe, Faites pour ſon ſuccés des vœux continuels, Moy i’en vas pour tous deux poufler ſur nos Autels	Allez donc, vous Prothite, achever l'entreprise, Et vous, Phénix, aux murs assurer la franchise, Faites pour son succès des vœux continuels, Moi j'en vas pour tous deux pouffler sur nos Autels
PHENIX bas.	PHÉNIX bas.
Que doy-ie deuenir?	Que dois-je devenir?
que reſous-tu, mon ame.	que résous-tu, mon âme.
Sur les cruels auis de cette ingrate femme Qui me veut obliger a ſeruir mon Riual, Et ne me veut du bien que pour guenr ſon mal.	Sur les cruels avis de cette ingrate femme Qui me veut obliger a servir mon Rival, Et ne me veut du bien que pour guenr son mal.
N’importe, s’il ſe peut, ſans faire rien de lâche, Tjoinieur, amour, eport, craigriez qu’elle ſe fache.	N'importe, s'il se peut, sans faire rien de lâche, Tjoinieur, amour, euport, craigriez qu'elle se fâche.
Madame, ie feray tout pour vous obeir, Ie me vaincray moy méme, & ſçauray me trahit.	Madame, Seigneur ferai tout pour vous obéir, Je me vaincrai moi -même, et Saurai me trahit.
TTMOCLEE.	TTMOCLE.
Vous aurez aiſément ſur vous cette victoire, Puis que ſortant d’icy vous allez a la gloire.	Vous aurez aisément sur vous cette victoire, Puis que sortant d'ici vous allez a la gloire.
PHENIX bas.	PHÉNIX bas.
Tu diſſimules bien mon vif reſſentiment.	Tu dissimules bien mon vif ressentiment.
PROTHIT E bas.	PROTHIT E bas.
Il eſt piqué d’honneur aſſez adroitement.	Il est piqué d'honneur assez adroitement.
Ne le rebutons point d’vne nouuelle grace;	Ne le rebutons point d'une nouvelle grâce;
Mais a luy comme à nous tâchons qu’elle la faſle Auant qu’executer vótre illuſtre deſſein.	Mais a été comme à nous tâchons qu'elle la fâle Avant qu'exécuter votre illustre dessein.
Madame, permettez qu’on vous donne la main Iuſqu’en votre Palais nous irons vous conduire, Et pres de vos beaux yeux auec ſoin nous inſtruire.	Madame, permettez qu'on vous donne la main Jusqu'en votre Palais nous irons vous conduire, Et pres de vos beaux yeux avec soin nous instruire.
TIMOCLEE.	TIMOCLE.
Non, ie vas faire vn tour dedans ce promenoir Où ie doy rencontrer ma Mere ſur ce ſoir, Nous ſortirons apres afin d’aller au Temple.	Non, Seigneur vas faire un tour dedans ce promenoir Où je dois rencontrer ma Mère sur ce soir, Nous sortirons après afin d'aller au Temple.
Allez de vos vertus nous mõtrer quelque exemple.	Allez de vos vertus nous montrer quelque exemple.
C ii Et pour m’en faire voir au ſottir de ce lieu, Par des embraſſemens faites-vous vn adisu, Et vous appaiſerez le trouble de mon ame.	Ç Et -vous m'en faire voir au sottir de ce lieu, Par des embrassements faites-vous un avisu, Et vous apaiserez le trouble de mon âme.
PHENIX.	PHÉNIX.
Il eſt iuſte, & ie iure a vos genoux, Madame, Que tant qu’auec vn Roy nous en ſerõs aux mains, Ie n’ay point d’ennemis entre tous les Thebains.	Il est juste, et ie jure a vos genoux, Madame, Que tant qu'avec un Roi nous en serons aux mains, Je n'ai point d'ennemis entre tous les Thébains.
AROSIHITO.	AROSIHITO.
Iuſque là donc, Amis, nous nous tiendrons parole.	Jusque là donc, Amis, nous nous tiendrons parole.
PHENIX.	PHÉNIX.
Mais ce temps expiré, toute amitié friuole, Si.	Mais ce temps expiré, toute amitié frivole, Si.
L ela n lin.	 Lela n in.
D’accord.	D'accord.
SCENNEVI.	SCENEVI.
TIMOCLEE, DORITE.	TIMOCLE, DORITE.
TIMOCLEE.	TIMOCLE.
SOrtez ſeuls, vous étes vertueux.	SOrtez seuls, vous êtes vertueux.
Que pourez-vous, Guerriers?	Que pourrez-vous, Guerriers?
que pourez-vous, mes vœux?	que pourrez-vous, mes vœux?
Que me ſeruirez-vous, de conſpirer enſemble Lors qu’vn Mars contre moy ſes legions aſſemble?	Que me servirez-vous, de conspirer ensemble Lors qu'un Mars contre moi ses légions assemble?
Que ſert à nos Soldats la garde du matin, Contre vn des fils d’Hercule auecque le Deſtin?	Que sert à nos Soldats la garde du matin, Contre un des fils d'Hercule avec le Destin?
Quel profit, ſi des Dieux ont icy pris naiſſance, quand d’vn Heros preſent ie reſſens la puiſſance?	Quel profit, si des Dieux ont ici pris naissance, quand d'un Héros présent appris ressens la puissance?
Qu’impoite que ces murs ſe ſoient dreſſez au ſon Du luth harmonieux du diuin Amphion,	Qu'impoite que ces murs se soient dressez au son Du lut harmonieux du divin Amphion,
Si d’vn triſte reuers ie les vois mis en cendre, Ou renuerſez au bruit des tambours d’Alexandre:	Si d'un triste revers on les vois mis en cendre, Ou renversez au bruit des tambours d'Alexandre:
Que me ſert d’éleuer noſtre bonheut paſſé, Si iuſques dans les fers ie le ſens abaiſſé?	Que me sert d'élever notre bonheut passé, Si jusques dans les fers ie le sens abaissé?
Qu’importe que d’vn Frere on vente la memoire, Si noſtre ſort funeſte eſt commun dans l’Hiſtoire, Si ie vois ſon image au fort de mon ennuy Qui me vient prélager méme malheur qu’à luy?	Qu'importe que d'un Frère on vente la mémoire, Si notre sort funeste est commun dans l'Histoire, Si grande vois son image au fort de mon ennui Qui me vient prélager même malheur qu'à lui?
Ha!	Ha!
que dis-ie, melheur, ou que dis -ie, le méme, Son malheur n’étoit pas ſans vn bõheur extréme:	que dis-je, melheur, ou que dis -je, le même, Son malheur n'était pas sans un bonheur extrême:
Lors qu’il perdit le iour, il étoit glonieux, Mais mon malheur eſt ſeul en ſon ſpectre odieux, Qui venant nuit & iour frapper ma ſantaiſie, Semble me oire plus que de perdre la vie.	Lors qu'il perdit le jour, il était glonieux, Mais mon malheur est seul en son spectre odieux, Qui venant nuit et jour frapper ma santaisie, Semble me oyre plus que de perdre la vie.
O Dieux!	Ô Dieux!
en quel état nótre ſexe eſt reduit!	en quel état nôtre sexe est réduit!
Il ne peut perdre ſeul vn bien que chacun ſuit.	Il ne peut perdre seul bien que chacun suit.
Et comme il me le peut perdre pout ſa Patrie, Il doit méme ſuruiure à ſa gloire perie, Au lieu que celle-cy chez les hommes d’honneut Encore apres leut mort acheue leur bonheur.	Et comme il me le peut perdre pout sa Patrie, Il doit même survivre à sa gloire périe, Au lieu que celle-cy chez les hommes d'honnut Encore après lut mort achève leur bonheur.
HORTIE.	HORTIE.
Vous verrez que les Dieux aimeront vôtre gloire, Et que ſur ſes Tyrans vous aurez la victoire.	Vous verrez que les Dieux aimeront votre gloire, Et que sur ses Tyrans vous aurez la victoire.
Nous trouuerons au moins les péeſſes pour nous	Nous trouverons au moins les péesses pour nous
TIMOCLEE.	TIMOCLE.
Allons, quoy qu’il arriue, embraſſer leurs genoux.	Allons, quoi qu'il arrive, embrasser leurs genoux.
Fin du ſecond Acte.	Fin du second Acte.
ACTE III SCENE PREMIERE.	ACTE III SCÈNE PREMIÈRE.
TRASILE, RASE'.	TRASILE, RASE'.
TRASILE.	TRASILE.
Il ſe heurte en entrant.	Il se heurte en entrant.
V tõmes-nous, Raſé?	V Vîmes-nous, Rasé?
quelle eſt cette auenuë?	quelle est cette avenue?
O Ne conduit-elle point en l’agreable rue Ou imapnas celaner par cct imtrs qui idit, Beaucoup plus clairement que ces ſeux dans la nuit, Ne le neurteront plus comme ls viennent de faire, Mais trouueront en luy leur but plus ſalutaire.	Ô Ne conduit-elle point en l'agréable rue Ou imapnas celaner par cct imtrs qui idit, Beaucoup plus clairement que ces seux dans la nuit, Ne le neurteront plus comme lus viennent de faire, Mais trouveront en même leur but plus salutaire.
RASE'.	RASE.
Amy, nous n’auons plus qu’à faire cinq cens pas.	Ami, nous n'avons plus qu'à faire cinq cens pas.
TRASILE.	TRASILE.
I'en vais déja plus droit que ie ne faiſois pas:	J'en vais déjà plus droit que je ne faisais pas:
Mais, pieux!	Mais, pieux!
tout au rebours ie me pâme de ioye, Ie ne ſçay quoy m’émeut auant que ie la voye.	tout au rebours belle me pâme de joie, Je ne sais quoi m'émeut avant que ie la voie.
RASE'.	RASE.
Vos ſens ſurpris d vn bien ſi grand & ſi prochain, Laiſſent couler d’abord la peur en vôtre ſain:	Vos sens surpris dommes bien si grand et si prochain, Laissent couler d'abord la peur en votre sain:
Mais il eſt temps icy de reprendre vos forces, Nous tournons dans la ruë.	Mais il est temps ici de reprendre vos forces, Nous tournons dans la rue.
TRASILE Aiſément tu m’amorces De l’eſpoir qu’au logis nous ſerons les premiers.	TRASILE Aisément tu m'amorces De l'espoir qu'au logis nous serons les premiers.
SCENE II.	SCÈNE II.
ALEXANDRE, AMINTE.	ALEXANDRE, AMINTE.
ALEXANDRE.	ALEXANDRE.
E les vois ſur vos fronts, ces inſignes lauriers.	E les vois sur vos fronts, ces insignes lauriers.
IEt ie ne penſe pas obtenir peu de gloire, que ſans beaucoup tuer vous ayez la victoire.	IEt ici ne pense pas obtenir peu de gloire, que sans beaucoup tuer vous ayez la victoire.
