LES SECONDES OEVVRES POETITES ET TRAGIQVES de Iehan Preuoſt Aduocat en la baſſe Marche.	LES SECONDES OEUVRES POTITES ET TRAGIQUES de Jehan Preuost Aduocat en la basse Marque.
Meſchant qu’elle iuecence en femuit ſi meſdhame Ele m’a preuenu la ſerpent qui debueit, Treſpaſſer de mes mains tandis qu’ele viuoit, Ie veux hacher ſon corps eſte vous é Megare, QIa ſemme ſeulement quand mon bon ſaux s’eſgare.	Mêchant qu'elle iuecence en fuit si médhame Éle m'a prévenu la serpent qui débuit, Trépasser de mes mains tandis qu'elle vivait, Je veux hacher son corps este vous é Gare, QIa semme seulement quand mon bon saux s'égare.
Hy.	Hi.
S’il vous plaiſt de m’ouyr ſçachant que l’aminé, A cauſe ſon malheur, vous en aureZ pitié.	S'il vous plaît de m'ouïr sçachant que l'aminé, À cause son malheur, vous en aurez pitié.
He.	He.
Qu’elle eſtrãge nouuelle, Hy.	Qu'elle étrange nouvelle, Hy.
Et peurtaut veritable, Her.	Et peurtaut véritable, Her.
Ouure moy ce diſcours.	Ouvre moi ce discours.
Hyl, Ia pouure miſerable.	Hyl, Ia pouvre misérable.
Iaillit cuidant bien ſaire.	Jaillit cuidant bien zaïre.
Her.	Her.
Et pouuoit faire bio Celle qui pourchaſſoit la mort du pere tien.	Et pouvait faire bio Celle qui pourchassait la mort du père tien.
Hyl.	Hyl.
Elle en a bion pati la pauure infortunes, Quand elle vit l’apreſt d’vn ſecond Hymnee, Ele que voſtre amour ardemmant embraſoit, Iit pour vous retenir tout ce qu’elle en faiſoit:	Elle en a bion pâti la pauvre infortunes, Quand elle vit l'aprêt d'un second Hymée, Éle que votre amour ardemmant embrasait, Iit pour vous retenir tout ce qu'elle en faisait:
Pour vn philtre amoureux traiſtrement abuſec, Vous enuoya de ſang cetie robe arrouſee:	Pour un philtre amoureux traîtrement abusec, Vous envoya de sang cet robe arrouse:
Atais voyant ſon deſſein tourner à ſon malheur, Elle meurt par ſa dextre, & par veſtre douleur.	Atais voyant son dessein tourner à son malheur, Elle meurt par sa dextre, et par vêtre douleur.
Her.	Her.
Raconte moy ſa mort.	Raconte moi sa mort.
Hy.	Hi.
Ma langue pitoyable Ne la peut raconter tant elle eſt larmoyable.	Ma langue pitoyable Ne la peut raconter tant elle est larmoyable.
2nſi He.	2nsi He.
I’en veus ſçauoir la forme, Hyl.	J'en veux sçauoir la forme, Hyl.
Et moy ie veus Vous faire ce diſcours quand il vous plaiſt aiſi.	Et moi ici vus Vous faire ce discours quand il vous plaît aisy.
Comme elle ouit conter l’eſpouſe mal heureuſe Que ſon preſent n’eſtoit vne drogue amoureuſe, aiaιs va triſte poiſon dont lei effects ſegretx I'ous conſommvteni le corprele foudienregretz.	Comme elle ouit conter l'épouse mal heureuse Que son présent n'était une drogue amoureuse, ayaïs va triste poison dont lei effets ségretx J'ous consommuteni le corpre foudienregrets.
Se reure à l’eſcart de cramte que perſoune La voye ſoupirer, l'ennuy qui la poinçonne:	Se revre à l'écart de cramte que persoune La voie soupirer, l'ennui qui la poinçonne:
Se tourmense, ſe p’aint, embraſſeles autels Peuc voſtre guariſon prie aux Dieux immortels, Pa, coust, ceuient, i’amreſie, & tonte forcente, Hule, pleure gemit, blaſme ſa deſtinee.	Se tourment, se p'aint, embrasseles autels Peuc notre garison prie aux Dieux immortels, Pa, coût, ceuient, j'amresie, et tonte forcente, Hule, pleure gémit, blâme sa destinée.
S’aradie les cheueux, le ſein ſe va plombant, Eu fn ſur veſtre lict elle ſe va courbant.	S'aradie les cheveux, le sein se va plombant, Eu fond sur vêtre lit elle se va courbant.
Rompans ſu veſtements, de ſa longeur s'y couche.	Rompants su vêtements, de sa longeur s'y couche.
It pouſſe cusregreti de ſa delente boucheA duu loux lict nopcier, à dieu lict deſormais, Duanie ſus toy ne dormiraiamais.	It pousse cusregreti de sa délente boucheA du loux lit nopcier, à dieu lit désormais, Duanie sus toi ne dormiraiamais.
Commende aux ſeruiteurs qui pleuroient autour d'elle Vous dure qu’elle meurt, pour vous eſtre fidelle;	Commende aux serviteurs qui pleuraient autour d'elle Vous dure qu'elle meurt, pour vous être fidèle;
Qu’elle eſtoit innocente, & qu’vne traluſon Loy fit doleuſement preſenter ce poiſon, s ins qu’elle y conſentiſt, qu’elle i’eſtoit meſpriſe, Puu peur executer ſa mortelle entrepniſe Et vous payer ſa peine, elle deça delà, Ieur donne quelque charge où chacuns'en alla, Ouurs ſon eſtomac qu’vne boude doree A greſſoit au collet, & t'eſt deſeinturee, La mammelle & le flant paroiſt à deſcouuert.	Qu'elle était innocente, et qu'une traluson Loi fit doleusement présenter ce poison, s ins qu'elle y consentît, qu'elle j'était méprise, Pu peur exécuter sa mortelle entrepnise Et vous payer sa peine, elle deça delà, Jeur donne quelque charge où chacuns'en alla, Ouvres son estomac qu'une boude dorée A grésait au collet, et t'est deseinture, La mamelle et le flant paraît à découverte.
Lors comme ſa noumice a ven ſon ſein ouuert, Et qu’elle a ven flamber dans ſa dextre vne lame, Soudain elle s’eſcrie, accourez à madame, Elle ſe rent meffaire, elle ſe yeut ſenr:	Lors comme sa nouvmice a ven son sein ouvert, Et qu'elle a ven ber dans sa dextre une lame, Soudain elle s'écrie, accourez à madame, Elle se rent meffaire, elle se reût senr:
Touſ atcourent au cry preſt, de la ſecourir, Mais las!	Tous atcourent au cri prêt, de la secourir, Mais las!
nous luy trouuons ſous la gauche mammelle Ce poignard enſonce ruſques à la pommelle.	nous nous trouvons sous la gauche mamelle Ce poignard ensonce rusques à la pommelle.
Her.	Her.
D’où venoit ce poiſon, Hyle, qui la deceus?	D'où venait ce poison, Hyle, qui la déçus?
Hy.	Hi.
La pauurette auireſois de Neſſe le receut.	La pauvrette auiresois de Nesse le reçut.
Her.	Her.
C’eſt faict, e’eſtfaict de moy, ores ma deſtinee Conduitte vers ſa fin s’en ira tormisee.	C'est fait, éfait de moi, ores ma destine Conduite vers sa fin s'en ira tormisée.
Voiy mon dernier iour, la prophete Foreſt Me prononçaiadis en tels mots ſon arreſt.	Voisi mon dernier jour, la prophète Forêt Me prononçaiadis en tels mots son arrêt.
Alade que le Ciel a faict au monde naiſtre :	Alade que le Ciel a fait au monde naître :
Pour eſtre des Tyrans & des maiſtres le maiſtre, Quand il aura ſon terme en la terre veſcu Perira par vn mort que luy meſme a vaincu.	Pour ici des Tyrans et des maîtres le maître, Quand il aura son terme en la terre vécu Périra par un mort que luiace a vaincu.
nuuuinuudup toutes choſes parfaictes Comme le prediſoient ſes vieux cheſnes prophetes Ie t’abſous ma compaigneen c malheur icy, Car ma trame deuoit ſe deuider ainſi, Telle ſin m'iſtoil diut, afin qu’il ue me reſte De vainqueur qui ſaruiue à mon heure ſuneſte.	nuuuinuudup toutes choses parfaites Comme le prédisaient ses vieux chaînes prophètes Ie t'absous ma compagne à malheur ici, Car ma trame devait se dévider ainsi, Telle sin m'istoil diut, afin qu'il ève me reste De vainqueur qui saruive à mon heure suneste.
Sus mourous, mais mourons d’vn treſpas valeureux, Car la vie & la mort en vn eœur genereux Doiuent ſe conformer, cherehe Hercule mourable Vue fameuſe mort, vne mort honorable, Atort digne de ta vie.	Sus mourous, mais mourons d'une trépas valeureux, Car la vie et la mort en un eœur généreux Doivent se conformer, chèrehe Hercule mourable Vue fameuse mort, une mort honorable, Atort digne de ta vie.
& quoy ne doy tu pas D’vn bel acte ennoblir le iour de ton treſpas?	et quoi ne dois -tu pas D'autre bel acte ennoblir le jour de ton trépas?
Sus donc fils de Paan, fais ce que ie demande.	Sus donc fils de Payan, fais ce que Rome demande.
Ph.	Ph.
I’obeis volontiers quand Hereule commende.	J'obéis volontiers quand Hèreule commende.
Her Eſtens moy ta main droute & meiureta foy, Phil.	Her Étends moi ta main droute et mivreta foi, Phil.
Pourquoy requerez vous vu tel ſerment de moy?	Pourquoi requérez -vous vu tel serment de moi?
Her.	Her.
Iure ſans t’enquenir de ce que ie veux faue.	Jure sans t'enquenir de ce que tu veux fave.
Ph.	Ph.
Ie ne reſuſe rien où ie vous puiſſe plaire.	Je ne résuse rien où ie vous puisse plaire.
Her Iure par Iupiter mon pere foudroyant;	Her Jure par Jupiter mon père foudroyant;
Ph.	Ph.
I’appelle pour teſmoing ſon grand œil tout voyans.	J'appelle pour témoing son grand œil tout voyant.
Hẽr.	Hẽr.
D’auancer ſur le champ le bien que ie deſire.	D'avancer sur le champ le bien que ie désire.
Ph.	Ph.
Ie ſuis preſt d'obeir s’il vous plaiſt de li dire.	Je suis prêt d'obéir s'il vous plaît de li dire.
Her.	Her.
Sçais tu l'endroict où Gte au Ciel ſe va leuant?	Sais -tu l'endrait où Garde au Ciel se va levant?
Phil ouy pour yauoir faict ſacnfices ſouuent Her.	Phil oui pour yavoir fait sacnfices souvent Her.
Il me faut là porter auplus haut de ia croupe.	Il me faut là porter auplus haut de ja croupe.
Ph.	Ph.
Il faut à ce ſeruice auoir plus grande troupe.	Il faut à ce service avoir plus grande troupe.
He.	He.
Que chaſcun vienne icy.	Que chascun vienne ici.
Ph.	Ph.
Quãd vous ſerex porté Her Qu'vn buſchor eſleué ſoit au faiſte apreſté, (bruſte.	Quand vous serex porté Her Qu'un bûchor élevé soit au fête apprêté, (bruste.
Ph.	Ph.
Mais a quoy ce buſcher, Her C’eſt a fin qu'on m'y ph.	Mais a quoi ce bûcher, Her C'est a fin qu'on m'y ph.
Treſpaßé?	Trespassé?
He, Plutoſt vif Ph.	He, Plutôt vif Ph.
oùpẽſez voꝰ Hercule.	oùpẽsez voù Hercule.
Het.	Het.
Tn dois en ma faueur de cela te ſoigner, Ph.	Tann dois en ma faveur de cela te soigner, Ph.
A Jael ouurage Ô Dieul veut il m’embeſongner?	À Jael ouvrage Ô Dieul veut il m'embesongner?
Las!	Las!
me commandez vous d’eſtre veſtre homicide, Her.	me commandez vous d'être vestre homicide, Her.
Mais bien d'eſtre pluſtoſt le medecin d’Alcide, Ph.	Mais bien d'être plutôt le médecin d'Alcide, Ph.
Comment en vous bruſlant, vous pourroy-je garin Her.	Comment en vous brûlant, vous pourrai-je garin Her.
Au mal deſeſperé, le remede eſt mourir Ph Ie ſuis preſt d’oboir bien que l’æuure me faſche.	Au mal désespéré, le remède est mourir Ph Je suis prêt d'oboir bien que l'æuvre me fâche.
Her, A ce dernier deuoir tu me ſembles trop laſche.	Her, À ce dernier devoir tu me sembles trop lâche.
Ph Honteux de condeſcendre à telle cruauté.	Ph Honteux de condescendre à telle cruauté.
Her.	Her.
Cruauté n’eſt ce point faire ma volonté Phi- Voſtre commandement preſſe ma foy forcee.	Cruauté n'est ce point faire ma volonté Phi- Votre commandement presse ma fo ie.
Her.	Her.
La mort eſt le repos de la douleur paſſee.	La mort est le repos de la douleur passe.
Ph.	Ph.
Nous voicy preſt d’aller.	Nous voici prêt d'aller.
He.	He.
Allez & deſpeſchet Auantex, leuez moy, ſouſtenez moy, marchez.	Allez et despeschet Avantex, levez moi, soutenez -moi, marchez.
CHŒVR.	CHŒUR.
Onneur du Cielnadieux H Odieux, Que ta lampe iournalitre ate ſe pert elle de voir.	Onneur du Cielnadieux H Odieux, Que ta lampe journalitre ate se pert elle de voir.
Receuoir Vue mort dure à ton frere.	Recvoir Vue mort dure à ton frère.
Que ton chef d’or creſpelé Soit voilé Sous l’eſpaiſſeur d'vn nuage, Que ton vil palle & deſteint,	Que ton chef d'or crespelé Soit voilé Sous l'épaisseur d'un nuage, Que ton vil pale et déteint,
Soit eſteint	Soit éteint
Dans l'horeur de ſon ombrage.	Dans l'horeur de son ombrage.
Ou ſi ton char flamboyans, Tournoyant Percette machine ronde, Honteux ne ſe peut caches, Va preſcher Son treſpas à tout le monde.	Ou si ton char flamboyants, Tournoyant Percette machine ronde, Honteux ne se peut caches, Va prêcher Son trépas à tout le monde.
Dis-le auxpeuples couſtumicſt Les premiers D'ouyr le vent des narines, Quaud refaits de leuri trauaux Tes cheuaux, Te tirent des eaux marines.	Dis-le auxpeuples coutumicst Les premiers D'ouïr le vent des narines, Quaud refaits de leury travaux Tes chevaux, Te tirent des eaux marines.
Conte l’aux peuples noireg Qui ſont ſiz Où tu vas finir ta courſe, Du le ou le foid parejſene.	Conte l'aux peuples noireg Qui sont siz Où tu vas finir ta course, Du le ou le said parejsene.
Loge ceux Qui ſont trop voiſins de l'ourſe.	Loge ceux Qui sont trop voisins de l'ourse.
Dis leur qu'Hercule puiſſaut Redeſcend Dans la nacelle infernale, Dont iamais ne recula Cetuyla Qui vne fous y deuale.	Dis leur qu'Hercule puissaut Redescend Dans la nacelle infernale, Dont jamais ne recula Cetuyla Qui une fous y devale.
Peuple quelle autre vene Pourras tu Reclamer à ta deffenſe?	Peuple quelle autre vene Pourras tu Reclamer à ta défense?
Qui chaſſepar ſa valeur Ton malheur Si quelque menſtre t’offence?	Qui chassepar sa valeur Ton malheur Si quelque menstre t'offense?
Si quelque Roy violant Va ſoulant Les genis de ſa ſegneurie,	Si quelque Roy violant Va soûlant Les genis de sa segneurie,
s'il verſe le ſanghumain De ſa main Pour paiſtre ſon eſcuyrie?	s'il verse le sanghumain De sa main Pour paître son escuyrie?
Puis que ton Aleide fort S’en va mort Celuy qui leur ſit la guerre, Et que les deſtins amis Auoient mis Pour ſa deffente en la terre.	Puis que ton Alide fort S'en va mort Celui qui leur sit la guerre, Et que les destins amis Avaient mis Pour sa défente en la terre.
Celuy qui quand il vouloit S’eſgaloit A la grandeur de ſon pere, Des Dieux le prince tonnant.	Celui qui quand il voulait S'égalait À la grandeur de son père, Des Dieux le prince tonnant.
Maintenant S'eſgale à noſtre miſere.	Maintenant S'égale à notre misère.
Ils'en va deſſu les bords où les morts Tieunent leurs royaumes ſomlres, Sant eſpoir de retourner Pour trainer Le chien qui garde les ombres.	Ils'en va dessu les bords où les morts Tieunent leurs royaumes somlres, Sant espoir de retourner Pour trainer Le chien qui garde les ombres.
Celuy quiput triompher De l’Enfer, Va dans la nacelle courbe Les yeux bas, le ſein tremblant, S’aſſemblaut Aux plus humbles de la tosrbe.	Celui quiput triompher De l'Enfer, Va dans la nacelle courbe Les yeux bas, le sein tremblant, S'assemblaut Aux plus humbles de la tosrbe.
1 Mais la vertu ne choit pas » Au treſpas, Car franc des humains deſaſtre;	1 Mais la vertu ne choit pas " Au trépas, Car franc des humains désastre;
aLe vertueux comme vn Dien » Trouue lieu, » Et ſe place entre les Aſtrns.	aLe vertueux comme un Dien " Trouve lieu, " Et se place entre les Astrns.
Tu ſerai eßus la-ſus, Ou receus Flambent les monſtres enormes, Qui vaιncuς voyent aux Cieux Tous les Dieux Eſponnentezde llors formes.	Tu serai essus la-sus, Ou reçus Flambent les monstres énormes, Qui vancu voient aux Cieux Tous les Dieux Éponnentezde lors formes.
Ton pere honorant tes faicti, Lesa faicts Luire en la voute eſtoillee, Iourmupuuper leur ardeur Sa grandeur H la puiſſance Hertulee.	Ton père honorant tes faicti, Lesa faits Luire en la voute étoilée, Jourmupuuper leur ardeur Sa grandeur H la puissance Hertule.
Si les exploicti renommez Sont ſemez Autour de ce grand eſpace, Leur vainqueur qui les ſuiura Y deura Occuper meilleure place.	Si les exploicti renommés Sont semés Autour de ce grand espace, Leur vainqueur qui les suivra Y devra Occuper meilleure place.
Mais va loi d’eux te ranger Sans danger, De peur que ton bras funeſte Ne les aille en te voyant, Effroyant, Et trouble l’ordre celeſte.	Mais va loi d'eux te ranger Sans danger, De peur que ton bras funeste Ne les aille en te voyant, Effroyant, Et trouble l'ordre celeste.
ACTE V	ACTE V
CHGVR PHILOCTETE.	CHGUR PHILOCTETE.
Ace du vieil Paan raconte ie te prie NQuel viſage ent Hercule à la fn de ſaxie Et s’il porta la mort d’vn courage indomte.	Ace du vieil Payan raconte te prie prie NQuel visage ent Hercule à la fn de saxie Et s'il porta la mort d'un courage indomte.
Ph.	Ph.
Homme oncques ne veſquit de telle volenté.	Homme onc ne véquit de telle volenté.
Ch.	Ch.
Raroiſſoit tant la ioye en ſon front engranes Quand il s’alloit ietterſur la pyre eſleues?	Raraissait tant la joie en son front engranes Quand il s'allait iettersur la pire esleues?
Ph, il a ſi bien la mort & le feu tombatu,	Ph, il a si bien la mort et le feu tombattu,
Qu'il faict xeoir que tout eſt facile à la vertu Ch Que luy ſeruoit la force encontre la ſumee?	Qu'il fait xeoir que tout est facile à la vertu Ch Que tu devait la force encontre la sumée?
Ph.	Ph.
Elle a vaincul effort de la flamme allumee, Inuincible deuant les feux ſont adiouſtez, Pour vn dernier labeur, auæ mouſtres ſurmontez.	Elle a vaincul effort de la flamme allumée, Invincible devant les feux sont ajoutés, Pour un dernier labeur, auæ moustres surmontés.
Ch.	Ch.
Qu’elle ſorce a vaincu la ſlame eſtincellante?	Qu'elle sorce a vaincu la slamme estincellante?
Ph.	Ph.
Comme au faiſte du mont fut la troupe dolento On abat force bou, icy s’eſtant de long.	Comme au faîte du mont fut la troupe dolento On abat force bou, ici s'étant de long.
Vn ombrageux fouteau coupe deſſus le tronc.	Un ombrageux fouteau coupe dessus le tronc.
Icy bronche vn ſapin qui ſa teſte inconnue Auançoit dans le Ciel du milieu de la nue.	Ici bronche un sapin qui sa tête inconnue Avançait dans le Ciel du milieu de la nue.
Les rochers à ſa cheute eſcroulleZ i’arrathoient, Il renuerſe en tombant les bous qui l’approchoient, Vn cheſue y verdoyoit dons les branches Prophete A l’ennuy de Dodone ont leurs reſponſes faictes, Ses longs rameaux eſpariſur les bois s’eſtendoient, Et l’entre aux vayons de Soleil deſſendoient.	Les rochers à sa chute écroullez j'arrathaient, Il renverse en tombant les bous qui l'approchaient, Un chesue y verdoyait dons les branches Prophète A l'ennui de Dodone ont leurs réponses faites, Ses longs rameaux esparisur les bois s'étendaient, Et l'entre aux vaisons de Soleil dessendaient.
On l’attaque de coups, la foreſtenfermee, Sous ſon ombre gemiſt, quand la ſouche entamee Sem le playes du ſer qui bondit vebouché, Il menace, il chancelle, en fn tombe couché, Et ruine en tombant le bois qu’il enuironne, Le Soleil inconnu dans la foreſt rayonne, Les oiſeaux deſnichez en plainies vont cherher, De leurs plumages las autres bois à percher.	On l'attaque de coups, la forestenfermee, Sous son ombre gémît, quand la souche entamée Sem le plaies du ser qui bondit vebouché, Il menace, il chancelle, en fût tombe couché, Et ruine en tombant le bois qu'il environne, Le Soleil inconnue dans la forêt rayonne, Les oiseaux dénichez en plain vont cherher, De leurs plumages las autres bois à percher.
A chaſque pied de cheſne on pone la coignee, Et nul arbre ſacré n’a ſa ſouche eſparguse, Le fer ſonne par tout le bois eſt entaſté, Vn auguſte buſcher à Hercule eſt dreßé;	À chasque pied de chaîne on pone la coigne, Et nul arbre sacré n'a sa souche éparguse, Le fer ne par tout le bois est entassté, Un auguste bûcher à Hercule est dressé;
De peuplier Herculin, la pyre eſt compoſee, Le ſapin ard icy Cyeuſe eſt embraſee;	De peuplier Herculin, la pire est compose, Le sapin ard ici Cyeuse est embrase;
Luy commie vn grand lon qu langnit quelque fois, Voneſur la poitnne, & mugit daus vn beu, Eſt porte de façon qu’on diroit à ſa mine, Qe c'eſt pluſteſt au Cuel, qu’au ſen qu’il s’achemine.	Lui commie un grand lon qu' langnit quelque fois, Vonesur la poitnne, et mugit daus un bu, Est porte de façon qu'on dirait à sa mine, Qe c'est plûtest au Cuel, qu'au sen qu'il s'achemine.
Comme il eſt ſur le mont, & qu’ila meſuré, Le grandeur du buſcher;	Comme il est sur le mont, et qu'ila mesuré, Le grandeur du bûcher;
d'vn regard aſſeuré Ils eſt rue deſſus, la pyre droute & large.	d'autre regard assuré Ils est rue dessus, la pire droute et large.
Se diſſoult ſous le faia de ſi peſante charge, Ilrecheνche ſon arc, & en le demandant Recoyſili de paan (dict-il) me le tendant, Ce preſent de mamain, & ces traits dont Alcide Acquit en mille lieux le nom de monſtricide L’Hydre ſentit leurs coups, & les monſtreux oiſeaux Qui de plumes couuroient les Stymphalides eaux, Tour ce que ue vainquis quandie ne le pus ioindre Sentit de loing leur forte, & comme il ſçauent poindre Bien heureux ſi tu ſçais en vſer dextrement, Leurs coups ne ſont iamais deſcochez vainement, Ils atteignent au but, en quelque part qu’on viſe, Siiu quieri vne proye au plus haut air acquiſe, Atteinte au plus haut air, les oiſeaux deſcendront, Enſcei traits aſſeureZ, iamais ne te faudront, Ny cet arc encorné, qui, lors que tu les iettes, Compaſſe le chemin des fuyantes ſagettes, Et les conduit au but, entretiens ſeulemext Lesfeux dont ie te prie à mon treſpaſſement, Et faus ardre auec moy ma peſante maſſue, Qui dans vne aatre mamnepeut eſtre receue, Que cet arme me ſuiue, & ſi ſon faix peſant, Eſtoit propre à ton bras ie t’en ſerois preſent, Ie ne veux que ce nœud ce bois lourd pour accroiſtre Le braſier petillant où doit ardre ſon maiſtre.	Se dissoulés sous le faime de si pesante charge, Ilrecheνche son arc, et en le demandant Recoysili de pay (dit-il) me le tendant, Ce présent de mamain, et ces traits dont Alcide Acquit en mille lieux le nom de montricide L'Hydre sentit leurs coups, et les monstreux oiseaux Qui de plumes cou les Stymphalides eaux, Tour ce que ue vainquis quandie ne le pus ioindre Sentit de loing leur forte, et comme il a ie Bien heureux si tu sçais en vser dextrement, Les coups ne St iamais décochez vainement, Ils atteignent au but, en quelque part on vise, Siiu quieri proie au plus ha air acquise, Atteinte au plus haut air, es oiseaux descendront, Enscei traits asseureZ, iamais ne te faudront, cet arc encorné, qui, lors que tu les iettes, Compasse le chemin des fuyantes sagettes, Et les conduit au but, entretiens seulemext Lesfeux dont ie te prie mon trépassement, Et faus ardre auec moi ma pesante massue, Qui dans aatre mamnepeut être receue, Que ce arme me suiue, et si son faix pesant, Estoit propre ton bras ie en serois présent, Ie ne veux que ce nœud ce bois lourd pour accroître Le brasier pétillant doit ardre son maître.
Puus il demande apres la peau dont il s’armois, La deſpouille à couuert le bois qui s’allumoit, On ſe prend agemir.	Puus il demande après la peau dont il s'armais, La dépouille à couvert le bois qui s'allumait, On se prend agémir.
& la douleur amere, Tire des pleurs de tous, meſme ſa triſte mere.	et la douleur âme, Tire des pleurs de tous, même sa triste mère.
De deuil eutre en fureur, & en ſe tormentant.	De deuil eutre en fureur, et en se tormentant.
Deſchue ſon collet, le ſein ſe va baitant, Hetuſe Iupuer, toute la tour diume,	Deschue son collet, le sein se va baitant, Hétuse Jupuer, toute la tour divme,
Et aſſourdit le mont de plainte feminine.	Et assourdit le mont de plainte féminine.
Tu diffames ma mort, ô mere (ce dit-il) A paiſe cesregrets, & ce deuëil inutil:	Tu diffames ma mort, ô mère (ce dit-il) A aise cesregrets, et ce deuil inutil:
Ne rends point à Iunon les ioyes attanduës De voir pour ton enfant tes larmes reſpenduës.	Ne rends point à Junon les joies attandues De voir pour ton enfant tes larmes respenduës.
C’eſt vne impieté de deſchirer ainſi, Ce flanc qui me conceut & ces tettes außi.	C'est assez impiété de déchirer ainsi, Ce flanc qui me conçut et ces tettes aussi.
Comme il ſiniſt ces mots d’vne voix animée Il ſe verſe au milieu de la Pyre enſlamee, Horrible enfremiſſant, tel qu’on le void alors, Qu’il reuenoit vainqueur du royaume des morti, Attrainant de Pluton les deſpouilles captiues, Et pourmenant ſont chien par les villes Argiues.	Comme il sinist ces mots d'une voix animée Il se verse au milieu de la Pyre enslamène, Horrible enfremissant, tel qu'on le void alors, Qu'il revenait vainqueur du royaume des morty, Attrainant de Pluton les dépouilles captives, Et pourmenant sont chien par les villes Argives.
Quel vamqueur triomphant d’vn front tant aſſeuré S’eſt jamais veu monter ſon charriot doré?	Quel vamqueur triomphant d'un front tant assuré S'est jamais vu monter son charriot doré?
Quel ſuperbe tyran onq a ſes loix dictees D’vn ſi calme viſage aux nations domptées?	Quel superbe tyran onq a ses lois dictées D'un si calme visage aux nations domptées?
Noslarmes qui rouloient au deuil de ſes mal-heurs, Ont arreſte leur cours, nous ceſſons nos douleurs.	Noslarmes qui roulaient au deuil de ses malheurs, Ont arrête leur cours, nous cessons nos douleurs.
Enle voyant ſi gay, perſoune plus nejette Vne larme de l’œil, meſme Alemene, ſubiette Comme femme à pleurer, ſe tient ſans lamenter, Et ſemble à ſa façon le vouloir mmiter.	Enle voyant si gai, persoune plus nejette Une larme de l'œil, même Alémène, sujet Comme femme à pleurer, se tient sans lamenter, Et semble à sa façon le vouloir mériter.
Chœ.	Chœ.
Appelloit il ſonpere, & d’vne humble priere Luy faiſoit il des vœux à ſon heure derniere?	Appelloit -il sonpère, et d'une humble prière Lui faisait -il des vœux à son heure dernière?
Phil.	Phil.
Il gifont ſans frayeur.	Il gifont sans frayeur.
& recherchoit des yeux S’il ne l’attendoit point en quelque part des Cieux:	et recherchait des yeux S'il ne l'attendait point en quelque part des Cieux:
Puu luytendant les mains, luy crie en cette ſorte.	Pu luytendant les mains, lui crie en cette sorte.
Quelque part que du Ciel tu me vois de la porte, Pere, ie ſuis celuy, eet enfant que la nuict Qui veid a due vn iour feconde te produit Si le riuage Indois où le Soleil ſe leue, Si lariue Heſperie ous ſa carriere acheue, St les Scytes poſex ſous vn ais refroidy, Si les peuples recuits des chaleuri du midy.	Quelque part que du Ciel tu me vois de la porte, Père, je suis celui, cet enfant que la nuit Qui veid a due un jour féconde te produit Si le rivage Indais où le Soleil se lève, Si lariue Hesperie ous sa carrière achève, St les Sectes posex sous un ais refraoidi, Si les peuples recuits des chaleuri du midi.
Si i’ay ſeme la paix aux prouinces eſtranges, Et de tontes cilez les peuples reſpirants Ne ployent plus le col ſous le toug des tyrans, Si plus de ſang humain les auiels ne i’abreuent, Siles monſtres affreux plus le monde ne greuent, Il eſt temps mainienant, pere de me pouruoir.	Si j'ai semme la paix aux provinces étranges, Et de têtes cilez les peuples respirants Ne ploient plus le col sous le toug des tyrans, Si plus de sang humain les aviels ne j'abrevent, Siles monstres affreux plus le monde ne grèvent, Il est temps mainienant, père de me pourvoir.
Et cet eſprit celeſte en ton Cielreceuoir, Non point que i’aye homeur de la mort infernale, Ny des antres obſcurs de ſon royame palle, Man mon ombre refuſe, & ie ſerou bonteux De deſcendre A bas ſous l’Acheron nuiteux:	Et cet esprit celeste en ton Cielreceuoir, Non point que j'aie homeur de la mort infernale, Ni des antres obscurs de son royame palle, Man mon ombre refuse, et ainsi sérou bonteux De descendre A bas sous l'Acheron nuiteux:
Aux Ouux que i’ay voineus chaſſe la nue, & ouure Ie tour aux immortels que leur œi' ne deſcouure, Et quil me voye ardant tu ne peus refuſer Les aſtres à ton ſils que tu vous s’embraſer.	Aux Ou que j'ai vues chasse la nue, et ouvre Je tour aux immortels que leur œux ne découvre, Et quil me voie ardant tu ne pus refuser Les astres à ton sils que tu vous s'embraser.
Que ſi l'aſpre doulcur dont ma chair eſt atainte A pouuoir d’amacher de ma bouche vne plainte, A l’heure ouure l’enfer & me verſe dedans.	Que si l'âpre doulcur dont ma chair est atainte A pendant d'amacher de ma bouche une plainte, A l'heure ouure l'enfer et me verse dedans.
Eſpreuue ton enfant parmy ces ſeux ardants, Et reconnoy ton ſang ce iour ce iour inſigne De mon pere & du ciel me fera trouuer digne.	Espreuve ton enfant parmi ces seux ardans, Et reconnais ton sang ce jour ce iour insigne De mon père et du ciel me fera trouver digne.
Ce que i’ay faict eſt peu:	Ce que j'ai fait est peu:
que lunon maintenant Me voye les fureurs des flanes ſorſtenant.	que lunon maintenant Me voie les fureurs des flanes sottenant.
R’allume ces ſlambeaux, ô compaiguon d'Hercule, Pourquoy tremble ta main, d’ous vient qu’elle recule, Ha!	R'allume ces slambeaux, ô compaiguon d'Hercule, Pourquoi tremble a main, d'ous vient qu'elle recule, Ha!
poltron as Iu peur, ſus rends mey ce carquois, Ceſt arc pour ton bras foible eſtoit de trop grand poids.	poltron as Ju peur, sus rends mey ce carquois, Cest arc pour ton bras faible était de trop grand poids.
