Par J.	Par Y.
Que no manquariet-to?	Que nô manquariet-to?
toûjour noſtron dina Sariet preſt auſſi-toſt aprés lo deyjuna.	toujours nostron dina Sariet prêt aussitôt après lo deyjuna.
No ne pidanſirion que de bona volailli, De builli, de ruti, de chappon, de palalli.	No ne pidansirion que de bona volailli, De builli, de ruti, de chapon, de pâli.
Dieu ſçat, ſi lou patié, & ſi la veneiſon Manque jamey dedin celle bonne meiſon.	Dieu sat, si lou patié, et si la vénéison Manque jami dedin celle bonne meison.
La bon’eiga toujour ſe trouve ver la ſourſa) No ne metrrion jamey la man dedin la bourſa, Comme font en tou tem lou pouro meinagié, Qyand faudriet achita quoque ren per migié.	La bon eiga toujour se trouve ver la soursa) No ne mettrion jamey la man dedin la boursa, Comme font en tou tém in pour meinagié, Qyand faudriét achita quoque ren per migié.
E noz entrairiet ben, mais ceu fou ad verſeiro Ne ſe vou pa ſervi du bonheur neceſſeiro.	E noz entrairiet ben, mais ceu fou ad verseiro Ne se vou pa servi du bonheur necesseiro.
IAPPETTA.	IAPPETTA.
Ne faut pa endura tella fantaſquari, E ſariet à noz autre una vray mocquari.	Ne faut pa endura tela fantasquari, E sariét à noz autre unac vrai moquari.
E lo faut chapitra, & fare de la ſorta Qu'u l’entende reiſon, ou qu’u paſſe la porta.	E lo faut chapitra, et sare de la sorta Qu' entende reçon, ou qu'u passe la porta.
No lo faron virié noudieu comm’un tortel, Laiſſié no ſolamen gouverna lo batel.	No lo faron virié nouvdieu comm'un tortel, Laissié nô solen gouverna lo batel.
PERNETTA.	PERNETTA.
V l’aurat lo cervel auſſi dur que la teſta, Si u ne compren to qu’un peiſſon ſen areſta Que vin de bon endret, ét un frian morcel Per una filli qu’at beſoin du couverſel.	V l'aurat lo cervel aussi dur que la testa, Si u ne compren to qu'un péisson sen arta Que vin de bon endret, est un frian morcel Per una filli qu'at besoin du couverts.
2	2
THIEVENA.	THIEUENA.
Si vo faites ſi ben que noſtron Piero voillie Fare ce que j’ai pou que la foli deibollie, Ie m’en rivengiray (ſi Dieu plaiſt) à mon tour, Tour ainſi que gnat point de feyri ſen retour.	Si vo faites si ben que nostron Piero voillie Fare ce que j'ai pou que la soli deibollie, Je m'en rivengirai (si Dieu plaît) à mon tour, Tour ainsi que gagnât point de féiri sen retour.
PERNETTA.	PERNETTA.
Ne vo eichaufa donq quand faut qu’on ſe refteiche, Qu’ei-to ce que maintin toute le flou ſi freiche?	Ne vo eichauffa donc quand faut qu'on se réfteiche, Qu'ei-to ce que maintinte toute le flou si fréiche?
IAPPETTA.	IAPPETTA.
Quoque pleivi ben douci, ou pluto la roſa,	Quoque pleivi ben douci, ou pluto la rosa,
PERNET PI.	PERNET PI.
Di pou de flappi donq é no faut arroſa,	Dis pou de flapi donc é nô faut arrosa,
THTEVENA.	THTENA.
Ie voey queri de vin du meillou de la cava,	Ie quoi quéri de vin du meillou de la cava,
PERNETTA.	PERNETTA.
I ſçat ce que nofaut, que cela fena ét brava, Vna couva n’a pa ſi ſoin de ſou puzin, Que cella bonna fena at de tou ſou veizin, I ne regarde ren una perſonna dorchí, quand imge lon ben, perce qui n’et ren porchi, I n’at ren que ſet ſeu, comme noſtron garçon, Sa filli la tertat en toute ſe façon.	I sçat ce que nofaut, que cela fena est brava, Una couva n'a pa si soin de sou puzin, Que cela bonna fena at de tou sou veisein, I ne regarde ren un personna dorchí, quand imge lon ben, perce qui n'et ren porchi, I J'at ren que set , comme nostron garçon, Sa filli la tertat en toute se façon.
8	8
IAPPETTA.	IAPPETTA.
E't ben vray ce qu’on dit, du pied, ou de l'eipalaOu du groin, lo pollien reſſemble la cavala.	Et ben vrai ce qu'on dit, du pied, ou de l'éjpalaOu du groin, lo pollien ressemble la cavala.
daniii ne latat jamey lalra patat, La mare de chacun a toûjour fat eitat.	dani ne latat jamey lalra pat, La mare a toujours toujours toûjour fat eitat.
La filli fat a voey à chacun bonna mina, Ma fey fat bon avey nna tala veiſina.	La filli fat a voei à chacun bonna mina, Ma fey fat bon aveceina tala veina.
4	4
THIEVENA.	THIEUENA.
Aſſeton-no Comare, & beuvon entretan Que lo bon eſperit no vindrat u mitan	Asseton-nô Comare, et buvon entretan Que lo bon espérit nô vindrat mitan
IAPPETTA.	IAPPETTA.
Veyci noſtron vray ca per fare de chicole.	Veyci nostron vrai ca pu sare de chicole.
PERNETTA.	PERNETTA.
Je voy prendre cetteu, de pou qu’u ne s’envole:	Je vois prendre cetteu, de pou qu ne 'envole:
IAPPETTA.	IAPPETTA.
Non, vo ne mourri pa eujourdeu ni deman, Car voz aves lo loufſo auſſi bon que la man.	Non, vo ne mourri pa eujourdeu ni déman, Car voz aves lo loufso aussi bon que la man.
PERNETTA.	PERNETTA.
Per vivre plu long-tem faut que dinſi je paſſo Toute ma fachari, & que ce que j’amaſſo Per ala verchié no, paſſe per avalon.	Per vivre plu long-tem faut que dinsi je passo Toute ma fachari, et que ce que j'amasso Per ala verchié nô, passe per avalon.
Lo bon vin fat teni chacun ſur ſou talon.	Lo bon vin fat teni chacun sur sou talon.
V revicolariet una perſonna morta.	V révicolariet una personna morta.
Ie trovo qu’u me rend de jour en jour plu forta.	Je trovo qu'u me rend de jour en jour plu forta.
V me fat eicrachié, u fat mouri lou ver Que me piquon lo cour, & jamey à rever V ne me fat tomba, incora que jen bevo Mey que fena que ſet d’icy à Saint-Eygrevo.	V me fat eicrachié, u fat mouri lou ver Que me piquon lo cour, et jamey à rêver V ne me fat tomba, incora que jen bévo Mey que fena que set d'ici à Saint-Eygrévo.
Et je creyo que quand j’en chicholarin mey Qu’un portafey ne fat, je ne charrin jamey.	Et je créio que quand j'en chicholarin me Qu'un portaféi ne fat, je ne charrin jamey.
Comare vo ſçavé que je ne migeo gueiro, Mais à chaque bocon é men faut un plen veiro.	Comare vo sçavé que je ne migeo guériro, Mais à chaque bocon é men faut un pl iro.
I’amo mey migié po, & bere plu ſoven, Maque ne ler palen d eiga nue coten.	J'amo me migié pô, et bère plu soven, Maque ne ler palen d eiga nue coten.
THIEVENA.	THIEUENA.
En bevan, ucvlon (vovene de la villaj Que dion ti de nouvel chié la dana Sibilla?	En bevan, uclon (vovène de la villajà Que dion ty de nouvel chié la dana Sibilla?
TAPPETTA.	TAPPETTA.
Que noz avon la pey pot-eſtre per cent an.	Que nous avon la pey pot-être per cent an.
THIEVENA.	THIEUENA.
Tant mieu, eyet tanto prou brut du patantan.	Tant mieu, euiet tanto prou brut du patantan.
IAPPETTA.	IAPPETTA.
Lez arme ſont u crot, lou ſoudar ont la caſſi, Et le gen en repo, voyanton la cocaſſi, Chacun ſe regaudit, gnat petit meinagié Qui din lo paſſatem ne voleize nagié, Lon n’y ot que chanſon, que violon, que ſonnette, Lo mondo ne s’y plait qu’à conta de ſornetté, Et lou gallabontem n’y font que lenterna.	Lez arme sont u crot, lou soudar ont la cassi, Et le gen en repo, voyanton la cocassi, Chacun se régaudit, gagnât petit meinagié Qui dinon lo passatem ne volize nagié, Lon n'y ot que chanson, que violon, que sonnette, Lo mondo ne s'y plaît qu'à conta de sornetté, Et lou gallabontem n'y font que lenterna.
Gnat catro ni canton que ſur la verpeina Ne ſet plen de le gen qui ſont de trop de reſta.	Génat cattro ni canton que sur la verpeina Ne set plen de le gen qui sont de trop de resta.
Et ſe cogneu entant que parren de la peſta, Ilico qu'ein four ue laeia a ena millié, Car ley boulique tout ainſi qu’un firmioulié.	Et se connu entant que parren de la pesta, Ilico qu'ein four ue laélia a ena millié, Car lei boulique tout ainsi qu'un firmioulié.
PERNETTA.	PERNETTA.
A mon avi le gen i fon pro de fanfare.	À mon avi le gen y son pro de fanfare.
IARPETTA.	JARPETTA.
Iamcy u grand jamcy ne s’en ét veu tant fare.	Iamc y grand jamci ne s'en est vu tant sare.
Per place ion ue vee lenque de Datelou, Qui farceyon ſi ben, que gnat nengun qui poeiſſe s engarda de pime qde mey lur lecoene.	Per place ion ue vee lenque de Datelou, Qui farceyon si ben, que génat nengun qui poéisse s engarda de pimè de me lur lecoène.
THIEVENA.	THIEUENA.
Celley me fat gro ben du entendre conta.	Cellei me fat gro ben du entendre conta.
IAPPETTA.	IAPPETTA.
Le grand Dame ſe font jour & not charronta A la charreiri nova en tirant vers Traclourra.	Le grand Dame se font jour et not charronta À la charreiri nova en tirant vers Traclourra.
PERNETTA.	PERNETTA.
Celle Dame parey ſinton-ti ben la pourra?	Celle Dame parei sinton-ty ben la pourra?
IAPPETTA.	IAPPETTA.
Si lour habillimen n’aviet bonna cintouLour eſtafeire qu’ont ſouven u cu la tou, Et qui de pou de brut eitranglon le vicine, Pendrion tout auſſi-to le gen per le narrine,	Si lour habillimen n'aviét bonna cintouLour estafeire qu'ont souven u cv la tou, Et qui de pou de brut eitranglon le vicine, Pendrion tout aussi-to le gen per le narrine,
THIEVENA.	THIEUENA.
Ie creyo quand i ſont enſen que tout tralut.	Je créio quand y sont ensen que tout tralut.
IARPETTA.	JARPETTA.
Tala porte ſur ley mey de mille culut.	Tala porte sur lei mei de mille culut.
Ea.	Éa.
Et s’eiparpallié tant, per montra qu’eillét blanchi Que la bouchi du cour et defour touta franchi.	Et s'eiparpallié tant, per montra qu'eillet blanchi Que la bouchi du cour et défour tout franchi.
THIEVENA.	THIEUENA.
Le mouche & lou tavan le debvon ben piqua.	Le mouche et lou tavan le débon ben piqua.
PERNETTA.	PERNETTA.
V ſont deſſu lour pel jour & not appliqua.	V sont dessu lour pel jour et not appliqua.
TAlev Enn.	TAlev Enn.
Ne ſe parle plu ren de quoque biau mariageo?	Ne se parle plu ren de quoque biau mariageo?
IAPPETTA.	IAPPETTA.
Faut ben que lou Monſieu ſe marieiſon un viageo Mais de prou egnat qu’un que poiſſeiz emporta La Dameiſella qu’at lo groin ben chapota.	Faut ben que lou Monsieu se marison un viageo Mais de prou gnat qu'un que poisseiz emporta La Dameisela qu'at lo groin ben chapota.
Ceu iqui que l’aurat chantarat ben goguette, Veyant u prés de leu ſe bellez amouretre.	Ceu iqui que l'aurat chantarat ben goguette, Veyant ès de leu se bellez amouretre.
Louz autro jitarion (comme fille attrapey!	Louz autro jitarion (comme fille attrapei!
De latima duz eyu groſſe comme de pey.	De latima duz eiv grosse comme de pey.
Ie voudrin de bon cour per lou tirié de pena, Que gnoſſe (comme ley) una demi douzena.	Je voudrin de bon cour per lou tirié de péna, Que gnosse (comme lei) una demi douzena.
PERNETTA.	PERNETTA.
Den la villa gnat prou per lou défeceyou.	Den la villa gnat prou per lou défeceyou.
IAPPETTA.	IAPPETTA.
Prou d’autre belle flou contenon lou ſeyou, Aprés qu’on a cuſli u mey de May la roſa:	Prou d'autre belle flou contenon lou seyou, Après qu'on a cûli mey de May la rosa:
Mais talou amoirou ne pouvon avey poſa, Aprés qu’u l’ont perdu una ſi bella flou;	Mais talou amoir ne pouvon avi posa, Après qu'hu l'ont perdu una si bella flou;
Car u ne trovon ren de biau ni de meillou.	Car u ne trovon ren de biau ni de meillou.
THIEVENA.	THIEUENA.
Qui fa-to mieu chanta lo cocu din la Villa?	Qui fa-to mieu chanta lo cocu din la Villa?
IAPPETTA.	IAPPETTA.
Tala qu’on cret que ſet la fena plu abila, Qui s’en vat u Sermon, ou ben à l’Hoſpita, Aprés qu'à ſon honou eill’at prou repita.	Tala qu'on cret que set la fena plu abila, Qui s'en vat Sermon, ou ben Hospita, Aprés qu' son honou eill’ prou repita.
Tala cuvre ſon ſen d’una tela d’Holanda, Qu’at de gran chapelet plu long qu’una gailanda, N’et pa defour du lieu où lon ſe pot meila, Qu’avet ſouz amoirou, y vire la peila.	Tala cuvre son sen d'una tela d'Holanda, Qu'at de gran chapelet plu long qu'una gailanda, N'et pa défour du lieu où lon se pot meila, Qu'avet souz amoirou, y vire la peila.
Tala devan le gen fa la ſaincta cifogni, Qu’engreiſſe ſon archet de bona galafogni.	Tala devan le gen fa la sainta cifogni, Qu'engisse son archet de bon galafogni.
Et tala cret avoey d’eſtre ben à cachon, Que tout lo mondo montre u dey ſon banichon.	Et tala cet avoey d'être ben à cachon, Que tout lo mon montre u de son banichon.
Ie vo dio ben que gnat qui ſauton ſur le couche, Qui ſont eicerveley comm’un patié de mouche, Qu’on cret que lour trafit ne va pa ſagimen, Et ſon ſage pamoin, ſelon mon jugimen.	Je vo dyo ben que génat qui sauton sur le couche, Qui sont eicervelei comm'un patié de mouche, Qu'on cret que lour trafit ne va pa sagimen, Et son sage pamoin, selon mon jugen.
Ie penſarin pluro ma de lez eigue-morte, Qde de cene qui vont courant defour le porte.	Je pensarin pleuro ma de lez éigue-morte, Qde de cène qui vont courant défour le porte.
Toutefey je me penſo un ca que ſe verrat, Qui ben farat u mondo un jour u tou varat	Toutefi je me penso un ca que se verrat, Qui ben farat mondo un jour varat
PERNETTA.	PERNETTA.
Perque de Ridelet parlon-ti à Grenoblo?	Perque de Ridèlet parlon-ty à Grenoblo?
IAPPETTA.	IAPPETTA.
Perce qu’u l’ét en tout vilain comme Deunoblo.	Perce qu'u l'est en tout vil comme Deunoblo.
THIEVENA.	THIEUENA.
Eyet un Procurou je n’u oſſo pa dit.	Eiet un Procurou je n'u osso pa dit.
IAPPETTA.	IAPPETTA.
Per ne payé jamey u pren tout à credit, Egnat pa cabatet qu’u n’y ſet à la tailli:	Per ne payé jamey û pren tout à crédit, Egnat paya cabatet qu'u n'y set à la tailly:
Son nom & ſon renom ſont per tout en batailli.	Son nom et son renom sont per tout en batailli.
Vcyé chié Perit qu’at bonna mina bon jeu.	Vcié chié Périt qu'at bonna mina bon jeu.
Chié la Clochi qui met ſa fena tout’en feu.	Chié la Clochi qui met sa fena tout'en feu.
Chié lo petit Bonnet que vou fare lo Coſſio, Qui fat toute ſe ſauſſe amare comme toſſio.	Chié lo petit Bonnet que vou sare lo Cossio, Qui fat toute se sauce amare comme tossio.
Chié la Grilhada qu’ét un recagni meyjour, Qui rechagne che leu tout lo ſen cor du jour.	Chié la Grilhada qu'est un recagni meyjour, Qui rechagne che lever tout lo sen cor du jour.
E iiij	 iiij
Chié Lhaudo lo Vilain, où ſon nevou qu’icoute Le chanſon, quand ché leu l’argen plot ou deigoute, Chié maiſtre Barſelet rey du petit patié.	Chié Lhaudo lo Vilain, où son nevou qu'icoute Le chanson, quand ché leu l'argen plot ou deigoute, Chié maître Barselet rei du petit patié.
Chié Piſtolet qui ét bon drollo en ſon meitié.	Chié Pistolet qui est bon drollo en son meitié.
Chié la Gueinà, à qui una gandola raza Vin mieu qu’un abit de cadit ou de raza.	Chié la Gueinà, à qui una gandola rasa Vin mieu qu'un abit de cadit ou de raza.
Chié René, qui n’at pou de mouri de ſey, Inſi que font trey fille u ban de mauconſey.	Chié René, qui n'at pou de mouri de sey, Insi que font trey fille an de mauconsei.
Et chié la Tiri-vin qui per creitre ſe vente Tin u gra du meyna le plu jouillié ſervente.	Et chié la Tiri-vin qui per critre se vente Tin du meyna le plu jouillié servente.
Chié Payerna qui fat à la tabla ronfla Tou cellou qui Tané volon écornifla.	Chié Payerna qui fat à la tabla ronfla Touloulou qui Tané volon écornifla.
Chié Lhaudo de Pari qui tin defour ſon vaudo L’eipeya deigueina per menaſſié lean Lhaudo.	Chié Lhaudo de Pari qui tin défour son vaudo L'éipéya deigueina per menassié léan Haudo.
Chié Giraud qui n’ét pa à la tabla gauchié.	Chié Giraud qui n'est pa à la tabla gauchié.
Chié Rivet qui ne pot avala ſen machié.	Chié Rivet qui ne pot avala sen machié.
Chié Eſtienne qui ét u jeu de l’arc lo maiſtre.	Chié Étienne qui est ju jeu de l'arc lo maître.
Chié Sainctonge qu’at pou de l’aſpergci du Preſtre.	Chié Saintonge qu'at pour de l'aspergci du Prêtre.
Chié Na de Piſtolet, qui s’ét brula lo na, Et qui contra le gen ne fat ren que rena.	Chié Na de Pistolet, qui s'est brûla lo na, Et qui contra le gen ne fat ren que rena.
Chié maiſtr’Ambroy qui tin lo pogeo à la centuri, Tandi que l’apprentif pique de la larduri.	Chié maîtr'Ambroi qui tin lo pogeo à la centuri, Tandi que l'apprentis pique de la larduri.
Chié lo Richo, qui fat un dieu de ſou eicu.	Chié lo Richo, qui fat un dieu de sou eicu.
Chié Gabriel qui tin lo poignard ſur lo cu.	Chié Gabriel qui tin lo poignard sur lo cv.
Chié Iaque du Feſſou, qui voudriet vey ſa toſſi Dedin quoque pertu, où dedin quoque boſſiChié Guillet qu’at tou jour l’appetit ben euver.	Chié Iaque du Fessou, qui voudriét vei sa tossi Dédin quoque pertu, où dédin quoque bossiChié Guillet qu'at tou jour l'appétit ben euver.
Chié Molard, qui n’at pa beſoin de malhiver.	Chié Molard, qui n'at pa besoin de malhiver.
Chié Abran l’eiguenau, qui voide ben la taſſaEt qui fat de Careyma una Dimenchi graſſa, Chié l’Hoſto du Murié, qui avec grand honou Retire lou juyou berlandié chicanou.	Chié Abran l'eiguenau, qui voide ben la tassât qui fat de Carema un Dimenchi grassa, Chié l'Hosto du Murié, qui avec grand honou Retire lou jou berlandié chicanou.
Chié l’Hoſto de la Vachi, à qui la Peyronnella Chante qu’u l’at ben fat, de not en ſentinella.	Chié l'Hosto de la Vachi, à qui la Peyronnella Chante qu'u l'at ben fat, de not en sentinela.
Chié Saumur, qui la not dedin un tombaſel Fat charunta ſouz hoſto u fond de Merdarel, Chié Cormié qui ſouven s’endor ſur ſa chichola.	Chié Saumur, qui la not dédin un tombasel Fat charunta souz hosto u fond de Merdarel, Chié Ormié qui souven s'endor sur sa chicholà.
Et chié Deſchans qui ét duz hoſto la pichola.	Et chié Deschans qui éto duz hosto la picholà.
Eumir eeu feideiet y ceu maleytru gonel E't machura per tout comm’un raclafornel.	Eumir eue feideiét y ceu maleytru gonel Et mâchura per tout comm'un raclafornel.
THIEVENA.	THIEUENA.
E ſon dam perqu’eytes toujour din le taverne.	E son dam perqu'eintes toujour din le taverne.
IAPPETTA.	IAPPETTA.
viriou qu'et eibruda ſe cache din le verne, De meſme leu, à qui chacun fat la bayar, Caclla u caburety beuootui dd Savoyar.	viriou qu'et eibruda se cache din le verne, De même lu, à qui chacun fat la bayar, Caclla u cabureti beuootui daud Savar.
PERNETTA.	PERNETTA.
v fat ben inco pi quand u let à Valanci.	vite fat ben inco pi quand u let à Valanci.
THIEVENA.	THIEUENA.
Laiſſon-lo donq alla à quatro pied ſen lanci.	Laisson-lo donc alla à quatro pied sen lanci.
PERNETTA.	PERNETTA.
A perpo, gnat-to poin inco d’auliamen.	À perpo, gnat-to poin inco d'auliamen.
IAPPETTA.	IAPPETTA.
Tout at eita ſi chier, qu’on n’aviet ſolamen Per cinquante-cinq ſou la quarta de la ſegla.	Tout at eita si chier, qu'on n'aviet solen Per cinquante-cinq sou la quarta de la ségla.
En ceu tem malheirou falliet vivre de regla.	En ceu tém malhéirou falliet vivre de régla.
Mais lo tem ét venu que no faut jour & not Fare lou plen peyret de crozet & de gnot, Et per de gro torteyu aiflora la farina.	Mais lo tem ét venu que nô faut jour et not Fare lou plen péiret de crozet et de gnot, Et per de gro torteiu aifflora la farina.
Ne faut pa l’eitarba comme la Catharina, Puiſque la flou du bla ne coute que vingt ſou, Banquetton ſouqua ben, briffon à noſtron ſou.	Ne faut pa l'éitarba comme la Catharina, Puisque la flou du bla ne coute que vingt sou, Banquetton souqua ben, bryson à nostron sou.
Laiſſon à noſtron chin reſte de noſtre groute, Quand u vin ne faut pa regarda ce qu’u coute.	Laisson à nostron chin reste de notre groute, Quand vin ne faut regarda ce coute.
PERNETTA.	PERNETTA.
Quand lo pot du meillou contatiet un florin, Per en bere à mon ſou-je me deichauſſarin, I'engagirin mon pia, mon fouda, & ma cotâ.	Quand lo pot du meillou contatiet un florin, Per en bère à mon souje me deichaussarin, J'engagirin mon pia, mon souda, et ma cotâta.
IAPPETTA.	IAPPETTA.
I’en aurin à cachon toûjour quoque picota.	J'en aurin à cachon toujours quoque picota.
THIEVENA.	THIEUENA.
naa que lo mauvey ten ne lane piu de ma, Per quoque po d’a gen ſe porrat pro chima.	na que lo mauvei ten ne lane pive de ma, Per quoque pô d'a gen se porrat pro chima.
ERNETTA.	ERNETTA.
Que qu’u coutei faudrat que dinſi je m’eichaudo, Lon trove per d’argen de ſiblet à ſaint Lhaudo.	Que qu'u coutei faudrat que dinsi je m'eichaudo, Lon troue per d'argen de siblet à saint Laudo.
Laiſſon lo penſamen u dattié que mourrat, Et bevon ſolamen tandi qu’u durarat.	Laisson lo pensamen u dattié que mourrat, Et bévon solamen tandi qu'u durarat.
TAIEVINA.	TAIEVINA.
Allon-noz-en enſen, levon ben lo cu, hauta, Faſſon toute ſi ben que gnaye point de fauta.	Allon-noz-en ens, levon ben lo cv, hauta, Fasson toute si ben que gnaye point de fauta.
PERNETTA.	PERNETTA.
Comare quiat-to?	Comare quiat-to?
vo ne ditte plu ren,	vo ne ditte plu ren,
IAPPETTA.	IAPPETTA.
Comare ét prou parla, faut pa tant de parole, quand faut laſc d’eiponge ou pluto de chicole.	Comare est prou parla, faut pay tant de parole, quand faut lasc d'eiponge ou pluto de chicole.
THIEVENA.	THIEUENA.
Chicola ben comare, afin que vo diſi Son ca à ceu tuppin, qui me fat deipleiſi.	Chicola ben comare, afin que vo dizy Son ca à cv tupin, qui me fat deipleisi.
APPETTA.	APPPETA.
Deipachon, avalon iec cetta piroula, Per no chaſſié du eyu tout à fat la nievola.	Dipachon, avalon iec cetta piroula, Per nô chassié du eu tout à fat la nievolà.
PERNETTA.	PERNETTA.
Allon ore ſçavey que dirat ceu veillar, Tandi que noz avon l’eſperit ben gaillar.	Allon ore sçavey que dirat ceu eillar, Tandi que nous avon l'espérit ben gaillar.
ACTE TROISIEME.	ACTE -TROISIÈME.
SCENE TROISIEME.	SCÈNE -TROISIÈME.
AMTDOR.	AMTDOR.
LHAODA.	LHAODA.
JANIN.	JANIN.
AMIDOR.	AMIDOR.
Vel triſte changement vois-je ſur voſtre face?	Vel triste changement vois-je sur votre face?
OD’eù vient que ſous les pleurs vôtre clarté s’efface?	OD'eù vient que sous les pleurs votre clarté s'efface?
De grace, dites-moy (Bergere) d’où ces pleurs Procedent, pour ternir de vos jouës les fleurs.	De grâce, dites-moi (Bergère) d'où ces pleurs Procedent, pour ternir de vos joues les fleurs.
Vous ne répondez rien:	Vous ne répondez rien:
Quel accident s’oppoſe A la felicité que l’amour nous propoſe?	Quel accident s'oppose A la félicité que l'amour nous propose?
LHAUDA.	LHAUDA.
Me fache ben, Monſieu, mon Pare at reſolu De ine donna a ceu ramd io ucinoiu.	Me fache ben, Monsieu, mon Pare at résolu De ine donna a ceu ramd jo ucinoiv.
Mais autant que toutou, j’amarin mey per home Iean de Lali qui preſche u four ont’u s’eytrome.	Mais autant que toutou, j'amarin me per home Jean de Lali qui prêche u four ont'u s'étrome.
AMIDOR.	AMIDOR.
La navire où je ſuis flotte bien loin du port, O Dieux!	La navire où je suis flotte bien loin du port, Ô Dieux!
que je reſſens de maux par ce rapport, Voſtre Pere veut donc qu’un malheur nous ſepare, Cela ſe pourra-t’il çontr’un amour ſi rare?	que je ressens de maux par ce rapport, Votre Père veut donc qu'un malheur nous sépare, Cela se pourra-t-il çontr'un amour si rare?
Non, je ne le crois pas;	Non, je ne le crois pas;
car nous lerons plus forts Que luy, pour repouſſer ſes injuſtes efforts:	car nous lerons plus forts Que ainsi, pour repousser ses injustes efforts:
Si voſtre foy ſe rend un rocher auſſi ferme, Que mon amour conſtant qui n’aura point de terme.	Si votre foi se rend un rocher aussi ferme, Que mon amour constant qui n'aura point de terme.
ui A a lds Teniſſe-to qu’à mi, ce que voz ay promey Sariet tot, mais (laſſet) je n’en povo pa mey, Mon Pare ne vou pa que vo ſeye tout mieno, V ne ſçat ce qu’u vou per leu, ni per lou ſieno.	Oui A a léds Ténisse-to qu'à mi, ce que voz ai promi Sariét tôt, mais (lasset) je n'en pouvais pa mey ne Vou Pare ne vou pa que vo seye tout miends, V ne sat ce qu'u vou rien leu, ni per lou sieno.
AMIDOR.	AMIDOR.
Voſtre Pere ne peut bannir mon amitié, Car vous tenez mon cœur, mais pourquoi ſans pitié Défend-il à vos yeux de m’eſtre favorables?	Votre Père ne peut bannir mon amitié, Car vous tenez mon cœur, mais pourquoi sans pitié Défend-il à vos yeux de m'être favorables?
Si les maux que je ſens, ſans vous ſont incurables?	Si les maux que je sens, sans vous sont incurables?
Pourquoy ne veut-il pas que je ſois voſtre époux?	Pourquoi ne veut-il pas que je sois votre époux?
Doute-t’il que je n’aye aſlez dequoy pour vous?	Doute-t-il que je n'aie aslez dequoy pour vous?
LHAUDA.	LHAUDA.
No ten, mais je ne ſçay ce que ce l’home broge, D’un ſoufflet u ma fat veni le jaute roge, Comme ſi j’avin fat quoque foli du corp, Perce qu’on lui a dit que noz eſtion d’accord.	No tout, mais je ne sais ce que ce l'home broge, D'un soufflet u ma fat veni le jaute roge, Comme si j'avin fat quoque soli du corp, Perce qu'on lui a dit que noz estion d'accord.
V me fat mey pati qu’un forſat de gallera, Ma mare contra leu s’en confle de collera, Et per l’amour de no le fene d’ici prés, Tout lo ſen cor du jour lui ont eita aprés.	V me fat me pâti qu'un fors de gallera, Ma mare contra lu s'en confle de collera, Et per l'amour de nô le fène d'ici prés, Tout ô sen cor du jour lui ont éita après.
Mais dedin ſon cervel teitu & opiniatro, On ne pot imprima un Monſieu per filliatro.	Mais dédin son cervel teitu et opiniatro, On ne pot imprima un Monsieu per filliatro.
V l’ame mei quoqu’un qui ſçache de l’euillon Ben piqua lo grivel, lo jay, lo parpaillon, Et champeyé lou lou ben loin de noſtre feye, Monſieu, j’ay grand doulou que tout lo mõdo veye La foli de mon Pare, & que per vo quitta Ma faille (maugra mi) eſtr’à ſa volonta.	V l'âme mei quoqu'un qui sache de l'euillon Ben piqua lo grivel, lo jai, lo parpaillon, Et champeyé lou lou ben loin de notre feye, Monsieu, j'ai grand doulou que tout loja mando ve La soli de mon Pare, et que per vo quitta Ma faille (maugra mi) estr’à sa volonta.
AMIDOR.	AMIDOR.
O malheur ſans pareil, faut-il que d’un tel Pere I’épreuve le mépris ſur le point que j’eſpere D’eſtre felicité de quelque bon accueil?	Ô malheur sans pareil, faut-il que d'un tel Père J'épreuve le mépris sur le point que j'espère D'être félicité de quelque bon accueil?
Faut-il qu’un deſeſpoir me tenii ut cercueil.	Faut-il qu'un désespoir me teni ut cercueil.
Belle, voulez-vous bien m’abandonner aux larmes, Aux ſanglots, aux regrets, & aux dures alarmes De la mort, pour ſouffrir tel injuſte courroux D'un Pere, qui pour nous n’exerce rien de doux.	Belle, voulez-vous bien m'abandonner aux larmes, Aux sanglots, aux regrets, et aux dures alarmes De la mort, pour souffrir tel injuste courroux D'un Père, qui pour nous n'exerce rien de doux.
LHAUDA.	LHAUDA.
Ie ne voudrin pa ſou que la moindra larima Vo tombiſſe duz cyu, je chayo de la cima De quoqu’abro pluto, que ſi lo moindre ma Vo veniet ſolamen per m’avey trop ama.	Je ne voudrin pa sou que la moindra larima Vo tombisse duz civ, je chai de la cima De quoqu'abro pluto, que si lo moindre ma Vo veniet solamen per m'avei trop ama.
Me fache mey qu’à vo de perdre ceque j’amo, Mais vo ſçavez( Mon ſieu) qu’aprés celeu qu’ét l’amo, Mon pare et lo premié que je debvo ſervi.	Me fache mei qu'à vo de perdre ceque j'amo, Mais vo sçavez( Mon sieu) qu'après celeu qu'est l'amo, Mon pare et lo premié que je débo servi.
Je ne povo donq ren fare ſen ſon advi, M'ét forci quand u criet de jugne lez eipale.	Je ne pouvo donq ren sare sen son avi, M'est forci quand u criet de jugne lez éjpale.
