A PARIS, Chez PIERRE DAVID, ſur le Perron en entrant dans la grande Salle du Palais.	À PARIS, Chez PIERRE DAVID, sur le Perron en entrant dans la grande Salle du Palais.
PARIS.	PARIS.
Dieux!	Dieux!
quelle inquietude agite mon courage * Que la ſage Dettinde eſt tong temps a venir,	quelle inquiétude agite mon courage * Que la sage Dettinde est tong temps a venir,
BELLINDE.	BÉLINDE.
Voy ie pas vn berger tout ſeul s’entretenir?	Vois -je pas un berger tout seul s'entretenir?
C’eſt le ieune Paris, qui bien ſouuent s’habille De meſme qu’vn berger pour mieux plaire à ma fille.	C'est le jeune Paris, qui bien souvent s'habille De même qu'un berger pour mieux plaire à ma fille.
Tout ſeul, Monſieur, tout ſeul?	Tout seul, Monsieur, tout seul?
PARIS.	PARIS.
Madame, les ennuis, Me tiennent compagnie en l’estat oùie ſuis.	Madame, les ennuis, Me tiennent compagnie en l'état oùie suis.
BELLINDE.	BÉLINDE.
D’où vient donc le ſubiect de l’ennuy qui vous Ta 9.	D'où vient donc le sujet de l'ennui qui vous Ta 9.
PARIS.	PARIS.
Des froideurs que me vient de montrer ma maiſtreſſe.	Des froideurs que me vient de montrer ma maîtresse.
BELLINDE.	BÉLINDE.
manudinune paui jroide auiourd’huy qu'autrefois?	manudinune paui jroide aujourd'hui qu'autrefois?
PARIS.	PARIS.
Ell'a changé pour moy de viſage & de voix, Depuis que de ma bouche ell'a ſceu que l’afaire, ---V doneaue muriage eptou ſi prete a faire.	Ell'a changé pour moi de visage et de voix, Depuis que de ma bouche ella sceu que afaire, a su que eptou si l' a faire,
BELLINDE.	BÉLINDE.
Ne vous eſtonnés pas elle s’adoucira, Et ſelon vos deſirs il vous reußira, 5 La honte en ce ſubiect l’empeſche de vous dire nn po ueuaus fon taeur fans uoute elle deſire, I'en prens ſur moy le ſoin allons,	Ne vous étonnez pas elle s'adoucira, Et selon vos désirs il vous reussira, 5 La honte en ce sujet l'empêche de vous dire nn pô œuaus son taus ans ouvte elle désire, J'en prends sur moi le soin allons,
PARIS.	PARIS.
L'ay mis außt Deſſus vous tout l’eſpoir de cette affaire icy.	L'ai mis ausst Dessus vous tout l'espoir de cette affaire ici.
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
ASTREE, ALEXIS, HILAS.	ASTRE, ALEXIS, HILAS.
ASTREE.	ASTRE.
Vis que vous me donnez, Madame, la liT cence.	Vis que vous me donnez, Madame, la liT cence.
De vous offrir icy mon humble obeyſſance, Ie vous prie acceptez le ſeruice eternel, Que ie vous iure icy d’vn ſerment ſolemnel, --- Et ie rẽds grace aux Dieux de la faueur receué, En me faiſant iouyr dubien de vostre veue.	De vous offrir ici mon humble obéissance, Je vous prie acceptez le service éternel, Que ie vous jure ici d'un serment solennel, --être Rendre rendre rèds grâce aux Dieux de la faveur recevé, En me faisant jouir dubien de votre vue.
ALEXIS.	ALEXIS.
Bergere laiſſons là ces compliments d’honneur, C’eſt moy qui dois pluſtost les benir du bonheur De m’eſtre icy trouuee au temps du grand myſtere, Qu'on obſerue en cueillant vostre guy ſalutaire:	Bergère laissons là ces compliments d'honneur, C'est moi qui dois plutôt les bénir du bonheur De m'être ici trouvée au temps du grand mystère, Qu'on observe en cueillant votre guy salutaire:
Car autrement i’eſtoy tout à fait hors d’espoir D’obtenir la faueur, bergere, de vous voir.	Car autrement j'étais tout à fait hors d'espoir D'obtenir la faveur, bergère, de vous voir.
ASTREE.	ASTRE.
Madame, voudriez vous me faire cette iniure, Qu'on m'eſtime touſiours vninfame pariure, Otie ne piens icy pour pous poit ſentement, Et vous offrir par tout ma vie abſolument.	Madame, voudriez -vous me faire cette injure, Qu'on m'estime toujours uninfâme parjure, Otie ne piens ici pour pous poit sentement, Et vous offrir par tout ma vie absolument.
ALEXIS.	ALEXIS.
Si cela vient du cœur i’ay ce que ie ſouhéte.	Si cela vient du cœur j'ai ce que ici souhte.
ASTREE.	ASTRE.
Si ie mẽts que la foudre ait pour obiect ma teſte.	Si ici mêts que la foudre ait pour objet ma tête.
ALEXIS.	ALEXIS.
Ie le croy, mais ſçachons de grace en quel endroit L’on a trouuué le guy.	Je le crois, mais sachons de grâce en quel endroit L'on a trouvé le gui.
ASTREE.	ASTRE.
Vous voyeZ icy droit Vn petit bois, c’eſt là que deſſus vn grand chéne Nos bergers l’on trouué.	Vous voyeZ ici droit Un petit bois, c'est là que dessus un grand chaîne Nos bergers l'on trouvé.
ALEXIS.	ALEXIS.
Ty est-te pas dans la plaine Pres des bords de Lignon?	Ty est-te pas dans la plaine Pres des bords de Lignon?
ASTREE.	ASTRE.
C’eſt au meſme coſté,	C'est au même côté,
Ie le voy.	Je le vois.
ALEXIS.	ALEXIS.
ASTREE.	ASTRE.
L’on y trouue vn' autre rareté, Vn Temple, où l’artifice aydant à la nature, A des arbres courbez fait vn' architecture, Où tout eſt ſi bien mis, qu’il faut croire qu’vn Dieu, Et non pas vn mortel a basty ce ſainct lieu:	L'on y trou ve ainsi rareté, Un Temple, où l'artifice aidant à la nature, À des arbres courbez fait une architecture, Où tout est si bien mis, qu'il faut croire qu'un Dieu, Et non pas un mortel a bâti ce saint lieu:
Là ſe voit vn autel, où d’vne main legere La grãde & ſaincte Aſtree eſt portraite en berere.	Là se voit un autel, où d'une main légère La grande et sainte Astrée est portraite en berere.
La houlette en la main, pres d’elle des troupeaux Qui ſemblent en paiſſant deſcendre des coſtaux, Et ceux qui comme moy l’ont admirée enſemble, M’aſſeurent que ſa face à la mienne reſſemble.	La houlette en la main, pres d'elle des troupeaux Qui semblent en paissant descendre des costaux, Et ceux qui comme moi l'ont admirée ensemble, M'assurent que sa face à la mienne ressemble.
ALEXIS.	ALEXIS.
On l’a peinte en bergere, afin de faire voir Que la iuſtice aux champs fait luire ſon pouuoir, Ou que deſſous ſon regne on peut voir toutes choſes Par tout eſgalement en abondance eſcloſes, Mais le peintre a monſtré d’eſtre iudicieux, Et d’auoir recogneu la volonté des Dieux, Lors qu’il a pour tirer cette belle peinture Pris le plus beau patron de toute la nature:	On l'a peinte en bergère, afin de faire voir Que la justice aux champs fait luire son pouvoir, Ou que dessous son règne on peut voir toutes choses Par tout également en abondance écloses, Mais le peintre a montré d'être judicieux, Et d'avoir reconnu la volonté des Dieux, Lors qu'il a pour tirer cette belle peinture Pris le plus beau patron de toute la nature:
Car à bon droit ie croy que la diuinité Reçoit de l’aduantage ayant voſtre beauté, Et lors qu'elle verra deſſus ce bel ouurage Parêtre au lieu du ſien voſtre diuin viſage, Fiere de l’auantage, ell’aymera bien mieux Vos attraits icy bas que les ſiens dãs les Cieux.	Car à bon droit h croy que la divinité Reçoit de l'avantage ayant votre beauté, Et lors qu'elle verra dessus ce bel ouvrage Paraître au lieu du sien ce divin visage, Fière de l'avantage, elle était bien mieux Vos attraits ici bas que les siens dans les Cieux.
ASTREE.	ASTRE.
Madame ie voudroy que ces belles parties, Comme vous l’aueZ dit me fuſſent departies, Pour vous obliger mieux à ne refuſer pas Le donque ie vous fay ue ce que i'ay d’apas.	Madame je voudrais que ces belles parties, Comme vous l'avez dit me fussent départies, Pour vous obliger mieux à ne refuser pas Le don ie vous fais ais ce que j'ai d'appas.
ALEXIS.	ALEXIS.
Dois-ie croire mõ heur ſi grãd que vous le dites?	Dois-je croire Mon heur si grand que vous le dites?
ASTREE.	ASTRE.
Ie vous en prie au moins par vos propres meTites, Et par ceux de l’obiect le plus aymé de vous.	Je vous en prie au moins par vos propres meTites, Et par ceux de l'object le plus aimé de vous.
ALEXIS.	ALEXIS.
Bergere vous priez auec des mots ſi doux, Quc tetroyue reenerttiuy qui vous refuſe.	Bergère vous priez ici des mots si doux, Quel tetroyue reenerttiuy qui vous refuse.
ASTREE.	ASTRE.
Cette obligation me rend toute confuſe.	Cette obligation me rend toute confuse.
ALEXIS.	ALEXIS.
Belle bergere außi c’eſt à condition De ne vous repemiut voſtre cicchone	Belle bergère aussi c'est à condition De ne vous répémiut votre cicchone
ASTREE.	ASTRE.
Si iamais à l’aymer autre que vous m’attache, Que la terres’ouurant dãs ſon goufre me cache.	Si jamais à l'aimer autre que vous m'attache, Que la terres'ouvrant dans son gouffre me cache.
ALEXIS.	ALEXIS.
Et moy d’vn cœur ſans faru vofert oſpre te reçoy, Et pour vn meſme amour vous engage ma foy.	Et moi d'une cœur sans faru vofert ospre te reçois, Et pour un même amour vous engage ma foi.
ASTREE.	ASTRE.
ASTREE.	ASTRE.
Voicy venir Hilas dont l’approche importune M'empeſche de iouyr de ma bonne fortune.	Voici venir Hilas dont l'approche importune M'empêche de jouir de ma bonne fortune.
HILAS.	HILAS.
Ma maiſtreſſe il vous faut conſeruer ſagement, Ces bergeres icy ſlaitent ſt doncement, Qu'on ne peut euiter la force de leurs charmes.	Ma maîtresse il vous faut conserver sagement, Ces bergères ici slaitent st doncement, Qu'on ne peut éviter la force de leurs charmes.
ALEXIS.	ALEXIS.
Vous parlez en ſçauant du pouuoir de leurs armes.	Vous parlez en savant du pouvoir de leurs armes.
HILAS.	HILAS.
Elles ne m’ont pourtant en cela rien appris, Car premier que Philis Madõthe m'auoit pris, Entifaiat, Cincent, & ta geue Pioricee.	Elles ne m'ont pourtant en cela rien appris, Car premier que Philis Madonthe m'avait pris, Entifaiat, Cincent, et ta guie Pioricee.
M’auoient appris deſia l’amoureuſe malice, Sans conter Polinice, & Daphnide & Carlis, Dont les enſeignemens ſont preſque enſeuelis.	M'avaient appris déjà l'amoureuse malice, Sans conter Polinice, et Daphnide et Carlis, Dont les enseignements sont presque ensevelis.
ALEXIS.	ALEXIS.
Hilas, vn de ces iours i’en accroiſtray le nombre.	Hilas, un de ces jours j'en accroîtrai le nombre.
HILAS.	HILAS.
Ouy lors que du Soleil vous verrez naiſtre l’ombre.	Oui lors que du Soleil vous verrez naître l'ombre.
ASTREE.	ASTRE.
v'ous endiſieZ autant à trois en meſme temps.	v'ous endisiez autant à trois en même temps.
HILAS.	HILAS.
Il eſt vray, mais c’eſtoient de foibles combatans.	Il est vrai, mais c'étaient de faibles combattants.
Contre qui i’employois en paſſant mon courage;	Contre qui j'employais en passant mon courage;
Mais contr'elle il me faut mettre tout en vſage, Et croy que t'onpent moims teſtſer à ſes yeux, Qu'au tonnerre eſlãcé par le maiſtre des Dieux.	Mais contr'elle il me faut mettre tout en usage, Et crois que t'onpent moimais têtser à ses yeux, Qu'au tonnerre eslãcé par le maître des Dieux.
ASTREE.	ASTRE.
un pous faſchez donc point ſi ie m'eſtime heuQue ſes diuins appas m’ait renduë amoureuſe.	un pous fâchez donc point si On m'estime heuQue ses diuins appas m'ait renduë amoureuse.
ALEXIS.	ALEXIS.
Si vous m’aymez, bergere, aſſeurez vous auſsi Qu'à vous plaire touſiours ie mettray mõ ſoucy.	Si vous m'aimez, bergère, assurez -vous aussi Qu'à vous plaire toujours toujours mettrai mon souci.
HILAS.	HILAS.
Ie vous le diſoy bien que cette caioleuſe Vous gaigneroit en fin par ſa langue flateuſe.	Je vous le disais bien que cette coleuse Vous gagnerait en fin par sa langue flatteuse.
ALEXIS.	ALEXIS.
Vous n’auez rien à craindre Hilas de ce costé, Mais le Soleil deſia nous cache ſa clairté, Il ſe faut retirer.	Vous n'avez rien à craindre Hilas de ce côté, Mais le Soleil déjà nous cache sa clairté, Il se faut retirer.
A:	A:
TREE.	TRE.
Quand vous voudrez, Madame,	Quand vous voudrez, Madame,
HILAS.	HILAS.
Tous ces petits debuoirs deſplaiſent à ma flame	Tous ces petits debuoirs déplaisent à ma flamme
ACTE QVATRIESME.	ACTE QUATRIÈME.
DIANE, SILVANDRE, ASTREE, ALEXIS, LEONIDE, DELLINDE, ADAMAS, PARIS,	DIANE, SILUANDRE, ASTREE, ALEXIS, LENIDE, DELINDE, ADAMAS, PARIS,
SCENE PREMIERE.	SCÈNE PREMIÈRE.
DIANE, SILVANDRE.	DIANE, SILUANDRE.
M DIANE.	M DIANE.
ſeule.	seule.
Leurez mes triſtes yeux, & noyeZ dans vos pleurs Tout ce que mon viſage à iamais eu de fleurs, Ruines de mon teint & la nege & la grace Eſteig nez tous vos feux, ne diſtilles que glace.	Leurez mes tristes yeux, et noyez dans vos pleurs Tout ce que mon visage à jamais eu de fleurs, Ruines de mon teint et la nége et la grâce Éteig nez tous vos feux, ne distilles que glace.
Dieux qui m'aueZ donné ce que i’ay de beauté, En peut-on dispoſer contre ma volonté?	Dieux qui m'avez donné ce que j'ai de beauté, En peut-on disposer contre ma volonté?
Faut-il pour obeir aute ruijonsu int mereQue i'attache à ma vie vne longue miſere?	Faut-il pour obéir aute ruijonsu int mèreQue j'attache à ma vie une longue misère?
Nõ, nõ, foibles respects eſloigneZ vous de moy, I'ay trop long temps veſcu ſous vostre dure loy, Vous ne retiẽdrez plus mes larmes en cõtrainte, Puis que vous me dõnez tãt de ſubiet de plainte, Ie veux, ie veux franchir ces obſtacles honteux, Et donner l’aſſeurance à mes eſprits douteux:	Notre, non, faibles respects éloignez -vous de moi, J'ai trop long temps vécu sous votre dureclés, Vous ne retiẽdrez plus mes larmes en comtrainte, Puis que vous me dõnez toujours de sujet de plaindre, Je veux, ils veux franchir ces obstacles honteux, Et donner l'assurance à mes esprits douteux:
Folle à quoy penſes-tu?	Folle à quoi penses-tu?
prens garde miſerable Que tu te rends des Dieux & des hommes la fable, Ta mere & les deſtins, te donnent à Paris, Ses deſſeins ſont des dieux iuſques là fauoris, Qu'ils ont à ſon deſir faict parler leur Oracle, Et mis à mõ bõ-heur leur vouloir pour obſtacle.	prends garde misérable Que tu te rends des Dieux et des hommes la fable, Ta Mère et les destins, te donnent à Paris, Ses desseins sont des dieux jusques là favoris, Qu'ils ont à son désir fait parler leur Oracle, Et mis à mon bõ-heur leur vouloir pour obstacle.
O malheureux Siluandre!	Ô malheureux Silvandre!
helas voicy le iour Qu'on doit finir ma ioye auecques ton amour, Mais le voicy venir portant en ſon viſage De ſon mal & du mien vn aſſeuré preſage.	hélas voici le jour Qu'on doit finir ma joie avec ton amour, Mais le voici venir portant en son visage De son mal et du mien un assuré présage.
STAPINDRE.	STAPINDRE.
Et bien, belle maiſtreſſe, à la fin vos deſirs Sont auiourd’huy d’accord auecques vos plaiſirs, Paris aura Diane, & le pauure Siluandre Ne doit que de ſa mort aucun ſecours attendre.	Et bien, belle maîtresse, à la fin vos désirs Sont aujourd'hui d'accord toujours vos plaisirs, Paris aura Diane, et le pauvre Siluandre Ne doit que de sa mort aucun secours attendre.
DIANE.	DIANE.
Que vous eſtes cruel, berger, de rebleſſer Avi on ame, d'vn ſoupçon ſi loin de mon penſer.	Que vous êtes cruel, berger, de reblesser Avi on âme, d'un soupçon si loin de mon penser.
SILVANDRE.	SILVANDRE.
Mon ſoubçon eſt changé tantoſt en certitude.	Mon soubçon est chargé tantôt en certitude.
Puis qu'vn riual iouït de ma beatitude.	Puis qu'un rival jouit de ma béatitude.
DIANE.	DIANE.
Ie ne puis reſister aux volonteZ des Dieux	Je ne puis résister aux volontés des Dieux
SILVANDRE.	SILVANDRE.
Voſtre peu d’amitié ne ſe peut montrer mieux:	Votre peu d'amitié ne se peut montrer mieux:
Mais viuez bien heureuſe, il n’eſt pas raiſonnable, Que vous ſoyez le pris d’vne homme miſerable, Incognu, vagabond, à qui l’iniuſte ciel N'a point encore cffert qu'eſpines & que fiel.	Mais vivez bien heureuse, il n'est pas raisonnable, Que vous soyez le pris d'une homme misérable, Inconnu, vagabond, à qui l'injuste ciel N'a point encore cffert qu'épines et que fiel.
DIANE.	DIANE.
Ah!	Ah!
Berger voſtre plainte iniuſtement me blaſme, Ma volonté touſiours cherira voſtre flame, Et les Dieux ſoient teſmoins, eux qui l’ont ordonné, que mon corps a Parts eſtpar force demne, Et que ſi ie pouuoy ſans encourir diffame, Ie mourroy mille fois pluſtoſt qu’eſtre ſa femme, Et que Siluandre ſeul n’euſt le cantentement, Que doit de l’Himenee eſperer vn Amant.	Berger votre plainte injustement me blâme, Ma volonté toujours chérira votre flamme, Et les Dieux soient témoins, eux qui l'ont ordonné, que mon corps à Parts estpar force aine, Et que si personne pouvais sans encourir diffame, Je mourroy mille fois plutôt qu'être sa femme, Et que Silvandre seul n'eût le cantentement, Que doit de l'Himenee espérer un Amant.
avrau pun que leucoun ee uun meur me denie, Souffrez ainſi que moy ſa dure tyrannie.	avrau pun que leucoun ce uun meur me denie, Souffrez ainsi que moi sa dure tyrannie.
SILVANDRE.	SILVANDRE.
En fin tous vos diſcours ne font que m'aſſeurer, Que ie ne dois en vous iamais rien esperer:	En fin tous vos discours ne font que m'assurer, Que je ne dois en vous jamais rien espérer:
Il eſt vray que i’ay tort, & que mon imprudence M’a fait trop obſtiner contre leur ordonnance, Ils veulent que Diane ait Paris pour eſpoux, Et que bien toſt ma mort appaiſe leur courroux, Il les faut contenter, & finir par ma vie Les maux continueis dont ene eſt pourſuiuie,	Il est vrai que j'ai tort, et que mon imprudence M'a fait trop obstiner contre leur ordonnance, Ils veulent que Diane ait Paris pour époux, Et que bien tôt ma mort apaise leur courroux, Il les faut contenter, et finir par ma vie Les maux continueis dont ene est poursuivie,
DIANE.	DIANE.
Arreſtez-vous, berger, les loix de noſtre amour Ne vous diſpenſent pas de vous priuer du iour.	Arrêtez-vous, berger, les lois de notre amour Ne vous dispensent pas de vous priver du jour.
SILVANDRE.	SILVANDRE.
Les oracles des Dieux preſcriuent immuables, A mon prompt deſespoir des loix inuiolables, Puis que vous n'eſtes plus dãs le mõde pour moy, F iiij Y viuray-ie teſmoin de vostre peu de foy?	Les oracles des Dieux prescrivent immuables, À mon prompt désespoir des lois inviolables, Puis que vous n'êtes plus dans le monde pour moi, F iiij MER viurai-je témoin de votre peu de foi?
Non, non, ie ne veux pas vous faire cette iniure, Que ma vie vous puiſſe accuſer de pariure, Les Dieux veulent ma mort, mon treſpas reſoluIe vay monſtrer l’effect de ce qu’ils ont voulu.	Non, non, je ne veux pas vous faire cette injure, Que ma vie vous puisse accuser de parjure, Les Dieux veulent ma mort, mon trépas résoluIe vais montrer l'effet de ce qu'ils ont voulu.
DIANE.	DIANE.
Tu vas doncques mourir, & ie m’amuſe aux larmes?	Tu vas donc mourir, et Seigneur m'amuse aux larmes?
Non, non, pour te venger i’ay de meilleures armes, L’eau, le feu, le poiſon, ou la corde, oule fer Feront de ces tyrans ma flamme triompher, Si Paris & les Dieux m’empeſchent d’eſtre tienne, La mort m’empeſchera d’eſtre außi iamais ſiẽne.	Non, non, pour te venger j'ai de meilleures armes, L'eau, le feu, le poison, ou la corde, oule fer Ont de ces tyrans ma flamme triompher, Si Paris et les Dieux m'empêchent d'être tienne, La mort m'empêchera d'être aussi jamais siẽne.
SCENE SECONDE.	SCÈNE SECONDE.
ASIREE,HLEAIS,ELONIDE, DIANE.	ASIRE,HLÉAIS,ELONIDE, DIANE.
ASTREE.	ASTRE.
Ruel oſes-tu biẽ apres vn tel affront CFaire voir à mes yeux ton detestable front?	Ruel oses-tu bien apres un tel affront CFaire voir à mes yeux ton détestable front?
Oſes-tu bien apres vne telle impudence, La mettre effrontément encore en euidence?	Oses-tu bien après une telle impudence, La mettre effrontément encore en évidence?
Va perfide Alexis, & meurs ſi tù ne veux Viure auecques toncrime, & contré tous mes vœux Et puis que ta malice a bien ſceu me deplaire Cherche dedans ta mort dequoy me ſatisfaire.	Va perfide Alexis, et meurs si tù ne veux Vivre avec toncrime, et contré tous mes vœux Et puis que ta malice a bien su me déplaire Cherche dedans ta mort dequoy me satisfaire.
ALEXIS.	ALEXIS.
Ie n’ay point eſperé de traittement plus doux, Mais quelle mort Aſtree en fin m’ordõnez-voꝰ?	Je n'ai point espéré de traitement plus doux, Mais quelle mort Astre en fin m'ordonnez-vo?
ASTREE.	ASTRE.
Meurs comme tu voudras, pourueu que ceßant d'étre Ouncle voyt pius a ma nonte pareire.	Meurs comme tu voudras, pourvu que cessant d'être Ouncle oit pius à ma nonte pare.
ALEXIS.	ALEXIS.
Ie vous vay contenter & vaincre par ma mort, Vostre iniuſte r'gueur, & celle de mon ſort.	Je vous vais contenter et vaincre par ma mort, Votre injuste rueur, et celle de mon sort.
4 LEONIDE.	4 LEONIDE.
Qu’auez-vous fait Aſtree?	Qu'avez-vous fait Astre?
ô triſte Leonidet O prudence inutile!	ô triste Léonidet Ô prudence inutile!
ô malheureuſe Druide!	ô malheureuse Druide!
Laijſons la pour aller arreſter le berger, Et donner du remede au plus prochain danger.	Laiisons la pour aller arrêter le berger, Et donner du remède au plus prochain danger.
are ineE ua.	are inéE ua.
Si l’honneur trouue bon ce que ie viens de faire, L’amour & la pitié trouuent bon le contraire.	Si l'honneur trouve bon ce que tu viens de faire, L'amour et la pitié trouvent bon le contraire.
LEONIDE.	LEONIDE.
Arrestez vous berger, Aſtree ne veut pas Qu'vn violent effort vous donne le treſpas, Vn iuſte repentir d’auoir eſté cruelle L’oblige à recognoistre vn amour ſi fidelle.	Arrêtez vous berger, Astre ne veut pas Qu'un violent effort vous donne le trépas, Vn juste repentir d'avoir été cruelle L'oblige à reconnaître un amour si fidèle.
ALEXIS.	ALEXIS.
Astree obtient de moy toutes choſes, horſmis De ne tuër point ceux qu’elle croit ennemis, Elle m'eſtime tel encor que ma penſee Ne l'ait pas ſeulement que ie ſçache offencee.	Astre obtient de moi toutes choses, hormis De ne tuer point ceux qu'elle croit ennemis, Elle m'estime tel encor que ma pensée Ne l'ait pas seulement que Elle secache offensée.
Mais comme tel pourtant ie m'en vay la venger, Out moy d'vn innocent & malheureux berger.	Mais comme tel pourtant ici m'en vais la venger, Ut moi d'un innocent et malheureux berger.
ASTREE à part ſoy.	ASTRE à part soi.
Dieux que ie ſens deſia mon ame inquietee, De combiende transports me trouuay-ie agitee, Sans doute Celadon trop prompt à m’obeyr Perdra cette Alexis que ie ne puis hayr:	Dieux que ici sens déjà mon âme inquiète, De combiende transports me trouvai-je agitée, Sans doute Céladon trop prompt à m'obéir Perdra cette Alexis que tu ne puis haïr:
S’il faut que cela ſoit i’en feray la vengeance Cherchant dedans ma mort vne prompte allegeance.	S'il faut que cela soit j'en ferai la vengeance Cherchant dedans ma mort une prompte allégeance.
LEONIDE.	LEONIDE.
Contre ce mandement ne vous obſtinez pas Ie veux mourir pluſtost que vous quitter d’vn T	Contre que mandement que vous obstinez pas Je veux mourir plustost que vous quitter d'un T
ASTREE.	ASTRE.
Mais le traiſtre abuſant de ma ſimple innocence, A contre moycommis vne trop grande offence.	Mais le traître abusant de ma simple innocence, A contre moicommis une trop grande offense.
ALEXIS.	ALEXIS.
Tout le monde n'a pas dequoy me detourner Du trespas que ſa bouche a voulu m’ordonner:	Tout le monde n'a pas dequoy me détourner Du trépas que sa bouche a voulu m'ordonner:
Non, ne m’en parleZ plus, elle eſt toute concluë, Aſtree la demande, & ie l'ay reſolue.	Non, ne m'en parlez plus, elle est toute conclue, Astre la demande, et ie l'ay et.
ASTREE.	ASTRE.
De ſon mal toutesfois i’ay du reſſentiment, Dieux qu’il est malaiſé de hayr vn amant.	De son mal toutefois j'ai du ressentiment, Dieux qu'il est malaisé de haïr un amant.
ALEXIS.	ALEXIS.
1 Jiupue ſouſprez que it uonne à ſa haine, Ce que m’a commandé cette bellę inhumaine.	1 Jiupue souprez que it uonne à sa haine, Ce que m'a commandé cette bell inhumaine.
LEONIDE.	LEONIDE.
Lors qu'Aſtree a laſché ce funeſte decret, C’eſtoit contre Alexis qu’elle a donné l’arreſt, Non cõtre Celadõ que ie ſçay bien qu’elle ayme.	Lors qu'Astre a lasché ce funeste décret, C'était contre Alexis qu'elle a donné l'arrêt, Non cõtre Celadõ que tu sais bien qu'elle aime.
ALEXIS.	ALEXIS.
Sous quel nom que ce ſoit c’eſt parler à moy meſme, C eſt pourquoy c'eſt en vain qu'on me veut ſecourir, Elle ordonne ma mort, il me faut donc mourir.	Sous quel nom que ce soit c'est parler à moi -même, Ç est pourquoi c'est en vain qu'on me veut secourir, Elle ordonne ma mort, il me faut donc mourir.
LEONIDE.	LEONIDE.
Le deſespoir l’emporte, ô Nymphe infortunee!	Le désespoir l'emporte, ô Nymphe infortunée!
Deplorable berger, cruelle deſtinee, Il en faut promptement le Druide aduertir Pour aller s’il ſe peut ſon deſſein diuertir.	Déplorable berger, cruelle destine, Il en faut promptement le Druide avertir Pour aller s'il se peut son dessein divertir.
DIANE.	DIANE.
C’eſt maintenant qu’il faut tout à fait ſe reſoudre De mourir ou ſouffrir le dernier coup de foudre, Qui me doit pour iamais oſter tous mes plaiſirs, Et ruyner du tout mes plus chaſtes deſirs, Mais quel bruit de ſouſpirs vient iuſqu’à mes oreilles?	C'est maintenant qu'il faut tout à fait se résoudre De mourir ou souffrir le dernier coup de foudre, Qui me doit pour jamais ôter tous mes plaisirs, Et ruiner du tout mes plus chastes désirs, Mais quel bruit de soupirs vient jusqu'à mes oreilles?
ASTREE.	ASTRE.
Quelles peines vou on a mes peines pareilles, I’ay deſiré ſa mort, & pourtant ie ne puis Y penſer ſeulement ſans ſouffrir mille ennuis.	Quelles peines vou on a mes peines pareilles, J'ai désiré sa mort, et pourtant quelque ne puis Y penser seulement sans souffrir mille ennuis.
DIANE.	DIANE.
2 C eſt ma copagne netas:	2 Ç est ma copagne netas:
quel ſubiect de triſteſſe De nouueau dãs ces lieux ſa pauure ame rebleſſe, Il l'en faus diuertir, ma ſœur quelles douleurs Font tomber de vos yeux cet orage de pleurs.	quel sujet de tristesse De nouveau dans ces lieux sa pauvre âme reblesse, Il l'en faus divertir, ma sœur quelles douleurs Font tomber de vos yeux cet orage de pleurs.
ASTREE.	ASTRE.
Celles que Celadon me cauſe,	Celles que Céladon me cause,
DIANE.	DIANE.
Chere Aſtree, Voſtre plainte eſt commune à toute la contree, L’excez dedans le dueil eſt touſiours condamné, Et vofurt es prit en eſt trop longuement geſné.	Chère Astre, Votre plainte est commune à toute la contrée, L'excès dedans le deuil est toujours condamné, Et vofurt es prit en est trop longuement gêné.
ASTREB Ah!	ÀSTREB Ah!
vous ne ſçauez pas la ſubtile impoſture Dont on vient d’abuſer ma credule nature, Et qu’à matin la Nymphe ayãt fait le diſcours, De ce qui s’eſt paßé dans toutes nos amours.	vous ne savez pas la subtile imposture Dont on vient d'abuser ma crédule nature, Et qu'à matin la Nymphe ayant fait le discours, De ce qui s'est passé dans toutes nos amours.
Laruſe du berger, ſon abſence, les peines Que nous donna ſon pere en ſes trauerſes vaines, Les lettres, les Sonnets, en fin le plus ſecret Des moindres actions de noſtre amour diſcret.	Laruse du berger, son absence, les peines Que nous donna son père en ses traverses vaines, Les lettres, les Sonnets, en fin le plus secret Des moindres actions de notre amour discret.
Depuis qu’au temple il eut ſa premiere neſſance, I'ay ſoupçonné qu'ell’eut quelqu'autre cogneſJuritt.	Depuis qu'au temple il eut sa première naissance, J'ai soupçonné qu'ell’ eut quelqu'autre connesuritt.
Et qu'elle me pourroit faire obtenir ce don De voir encor vn coup mon deffunct Celadon.	Et qu'elle me pourrait faire obtenir ce don De voir encor un coup mon défunt Céladon.
DIANE.	DIANE.
Les mortels ne ſçauroient, nyles Demons enſemble Rappeler l’ame aux torpu fue ta mort acfaſſemble.	Les mortels ne sauraient, niles Demons ensemble Rappeler l'âme aux torpu fue ta mort acfassemble.
ASTREE.	ASTRE.
Dieux elle a trop eſté puiſſante pour ce point, Et c'eſt le ſeul regret qui maintenant m'eſpoint.	Dieux elle a trop été puissante pour ce point, Et c'est le seul regret qui maintenant m'époint.
Il eſt vray ie l’ay veu, mais helas!	Il est vrai assez l'ai vu, mais hélas!
le perfide Portoit le traiſtre habit d’vne fille Druide, Sous lequel abuſant de ma credulité Il a faict vne embuſche à mon honneſteté.	le perfide Portait le traître habit d'une fille Druide, Sous lequel abusant de ma crédulité Il a fait une embûche à mon honnêteté.
