1 ONSEIGNEUR,	1 1NSEIGNEUR,
Mais aimez vous auſſi ces belles Comedies.	Mais aimez -vous aussi ces belles Comédies.
ANGELIQUE Je prens à les entendre un extréme plaiſir.	ANGELIQUE Je prends à les entendre un extrême plaisir.
A DILLE.	À DILLE.
Tant mieux;	Tant mieux;
j’en ay fait une.	j'en ai fait une.
avez vous le loiſit Que dedans un moment on vous la repreſente	avez vous le loisit Que dedans un moment on vous la représente
ANGELIQUE Dittes m’en le ſujes;	ANGELIQUE Dittes m'en le sujès;
eſt elle bien plaiſante?	est elle bien plaisante?
PADILLE.	PADILE.
On va vous la joüer, les tolles ſont appris.	On va vous la jouer, les tollés sont appris.
Sept ou huit bons Acteurs depuis peu les ont pris	Sept ou huit bons Acteurs depuis peu les ont pris
ANGELIQUE.	ANGELIQUE.
Iy voudrois bien auſſi faire mon perſonnage	Ii voudrais bien aussi faire mon personnage
PADILLE, Cerfoncieneisteas ?	PADILE, Cerfoncieneisteas ?
ANGELIQUE.	ANGELIQUE.
Fait ou un mariage.	Fait ou un mariage.
PADILLE, Ie m’en ſouviens, Madame, un rolle eſt à donner.	PADILE, Je m'en souviens, Madame, un rolle est à donner.
Une fille au contrat vient ſimplement ſigner, Vous la ferez, il faut paroître, & ne rien dire.	Une fille au contrat vient simplement signer, Vous la ferez, il faut paraître, et ne rien dire.
A tout ce qu’on dira vous n’avez qu’à ſouſcrire, Vous ferez vôtre rolle aſſez facilement.	À tout ce qu'on dira vous n'avez qu'à souscrire, Vous ferez votre rolle assez facilement.
Vous n’avez, s’il vous plaiſt qu’à ſonger ſeulemẽt, Que vous ne paroiſſez qu’en la Scene derniere,	Vous n'avez, s'il vous plaît qu'à songer seulement, Que vous ne paraissez qu'en la Scène dernière,
ANGELIQUE.	ANGELIQUE.
Je vais me réjoüir de la bonne maniere Mais de tous les Acteurs qui eſt le favory	Je vais me réjouir de la bonne manière Mais de tous les Acteurs qui est le favori
PADILLE.	PADILE.
Je fais celuy qui doit être vôtre mary.	Je fais celui qui doit être votre mari.
Vous ſignez ce contract que je viens de vousdire,	Vous signez ce contrat que je viens de vousdire,
ANGELIQUE Je ſigneray fort bien;	ANGELIQUE Je signerai fort bien;
Ciel!	Ciel!
que nous allons rite	que nous allons rite
PADILLE.	PADILE.
Je vois tout à propos venir tous mes amis.	Je vois tout à propos venir tous mes amis.
SCENE III.	SCÈNE III.
ANGELIQUE, PHILINTE.	ANGELIQUE, PHILINTE.
ORONTE VALERE, DAMON.	ORONTE VALÈRE, DAMON.
PADILLE	PADILE
ANGELIQUE.	ANGELIQUE.
E vois déja l’effet que l’on m’avoit promis, I Meſſieurs, & me faiſant l’honneur que vous mi faites Il faut que vous ſoyez extrémement honnêtes C’eſt à vous ſeul que j’ay certe obligation	E vois déjà l'effet que l'on m'avait promis, I Messieurs, et me faisant l'honneur que vous mi faites Il faut que vous soyez extrêmement honnêtes C'est à vous seul que j'ai certe obligation
PADILLE.	PADILE.
Ces Meffieurs n’ont pas moins pour vous de paſſion	Ces Meffieurs n'ont pas moins pour vous de passion
ANGELIQUE.	ANGELIQUE.
Vous venez tout à temps pour nôtre Comedie.	Vous venez tout à temps pour notre Comédie.
PHILINTE, Madame il faut qu’icy, Monſieur, vous la dedie Vôtre eſprit, & vos yeux font par tout biend bruit, Mais je vois qu’il en eſt bien plus qu’on n’ent dit.	PHILINTE, Madame il faut qu'ici, Monsieur, vous la dédie Votre esprit, et vos yeux font par tout biend bruit, Mais je vois qu'il en est bien plus qu'on n'ent dit.
ANGELIQUE.	ANGELIQUE.
Monſieur, vous avez trop pour moy de complat ſance	Monsieur, vous avez trop pour moi de complat sance
PADILLE, Meſſieurs, ſi vous voulez que la piece commenc Ie Il eſt tems, s’il vous plaiſt, de s’aller traveſtirq elqu’un de ces Meſſieurs reſte à vous divertir Je n’emmene avec moy que philinte & Valere.	PADILE, Messieurs, si vous voulez que la pièce commenc Ère Il est temps, s'il vous plaît, de s'aller travestirq elle afin de ces Messieurs reste à vous divertir Je n'emmène avec moi que philinte et Valère.
ANGELIQUE.	ANGELIQUE.
Revenez donc bien-toſt.	Revenez donc bientôt.
PADILLE.	PADILE.
Nous ne tarderons guere.	Nous ne tarderons guère.
SCENE IV.	SCÈNE IV.
ANGELIQUE, ORONTE, DAMON.	ANGELIQUE, ORONTE, DAMON.
ANGELIQUE.	ANGELIQUE.
Ans la piece, Meſſieurs, quels rolles faites D vous.	Ans la pièce, Messieurs, quels rolles faites D vous.
RONTE.	RONTE.
A vos charmans appas nous ferons les yeux doux Mais vous aimerez mieux un amant ridicule.	À vos charmants appas nous ferons les yeux doux Mais vous aimerez mieux un amant ridicule.
ANGELIQUE.	ANGELIQUE.
Il faut donc la deſſus que je me diſſimule, Car je ne puis ſouffrir que de rares eſprits.	Il faut donc la dessus que je me dissimule, Car je ne puis souffrir que de rares esprits.
ORONTE.	ORONTE.
Mais vous vous trõperiez, ſi vous nous aviez pris.	Mais vous vous trôperiez, si vous nous aviez pris.
ANGELIQUE.	ANGELIQUE.
Je parle, en bonne foy du profond de mon ame.	Je parle, en bonne foi du profond de mon âme.
RONTE, Vous avez mille fois trop de bontez, Madame,	RONTE, Vous avez mille fois trop de bontés, Madame,
ANGELIQUE.	ANGELIQUE.
Iaiſſons les complimens, je n’ay que le deſir De connoitre la piece,	Jaissons les compliments, je n'ai que le désir De connaître la pièce,
ORONTE.	ORONTE.
A ce leger pla iſic.	À ce léger pla isic.
M adame, preferez celuy de la ſurpriſe.	M adame, préférez celui de la surprise.
ANGELIQUE.	ANGELIQUE.
De ſçavoir ce que c’eſt mon ame eſt toute épuiſe Mais d’une Comedie on fait peu de façon, Avant que la joüer d’en annoncer le nom, Dites le moy!	De savoir ce que c'est mon âme est toute épuise Mais d'une Comédie on fait peu de façon, Avant que la jouer d'en annoncer le nom, Dites le moi!
Monſieus,	Monsieus,
RONTE.	RONTE.
Je veux bien vous le dire.	Je veux bien vous le dire.
qvand on m’a lû la piece, enfin je l’ay pû lite Le iître eſt.	Oqvand on m'a lu la pièce, enfin je l'ai pu lite Le jittre est.
Vous ſçavez que ce tître eſt nouveau, La ſuppoſition veritable.	Vous savez que ce tître est nouveau, La supposition véritable.
ANGELIQUE.	ANGELIQUE.
Il eſt beau.	Il est beau.
On nomme ces rcrits, poëmes Dramatiques;	On nomme ces rits, poèmes Dramatiques;
Dont les uns ſont plaiſans, & les autres tragiques J’entens du bruit, nos gens vont bien-toſt reveH113 antrez tous deux icy moy je vais m’y tenir.	Dont les uns sont plaisants, et les autres tragiques J'entends du bruit, nos gens vont bientôt réveH13 antrez tous deux ici moi je vais m'y tenir.
Je parois ſeulement dans la ſcene derniere.	Je parais seulement dans la scène dernière.
RONTE à Angelique.	RONTE à Angélique.
quond on vous le dira, vous viendrez la derniere.	quond on vous le dira, vous viendrez la dernière.
Ils entrent tous deux, & Angelique prend un ſiege au coté du Theatre pour entendre la Comedie, & les Violons jouent uue ouverture.	Ils entrent tous deux, et Angélique prend un siège au coté du Théâtre pour entendre la Comédie, et les Violons jouent ouve ouverture.
PERSONNAGES.	PERSONNAGES.
DOM PEDRE de Stambole.	DOM PÉDRE de Stambole.
ANGELIQUE Maiſtreſſe de Dom Pedre.	ANGELIQUE Maîtresse de Dom Pèdre.
DOM ALVARE LOM SANCHE Rivaux de Dom Pedre.	DOM ALVARE LOM SANCHE Rivaux de Dom Pédre.
La Scene eſt dans une Ville de l’Eſpagne.	La Scène est dans une Ville de l'Espagne.
LA SUPPOSITION VERITABLE OMEDIE EN UN ACTE.	LA SUPPOSITION VÉRITABLE OMEDIE EN UN ACTE.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
DOM ALVARE, DOM SANCHE.	DOM ALVARE, DOM SANCHÉ.
DOM SANCHE.	DOM SANCHÉE.
Nge ique, Mouſieur, qui vous cher ſloit tant, Vous prefere aujourd’huy ce ridicule Amant ?	Ne ique, Mousieur, qui vous cher slait tant, Vous préfère aujourd'hui ce ridicule Amant ?
Ce Iot original Dom Pedre de ftambole?	Ce Jot original Dom Pèdre de ftambole?
DOM ALVARE Ouy;	DOM ALVARE Oui;
j’ay dans mon chagrin beſoin qu’on me conſole.	j'ai dans mon chagrin besoin qu'on me console.
DOM SANCHE.	DOM SANCHÉE.
Vous fûtes monrival, je fus le vôtre auſſi, Conſolons-nous tous deux, ſoyons amis ainſi	Vous fûtes monrival, je fus le vôtre aussi, Consolons-nous tous deux, soyons amis ainsi
DOM ALVARE.	DOM ALVARE.
Je le veux;	Je le veux;
toutefois mon cœur ſe deſeſpere.	toutefois mon cœur se désespère.
DOM SANCHE.	DOM SANCHÉE.
Mais puiſque ſa folie à ce fou vous préfere, Le bon ſens dans ce choix n’eſt pas fort reche ché Et vous ne devez pas en être trop fâché.	Mais puisque sa folie à ce fou vous préfère, Le bon sens dans ce choix n'est pas fort rêche ché Et vous ne devez pas en être trop fâché.
DOM ALVARE, Je ne puis aisément delaiſſer ce que j’aime.	DOM ALUARE, Je ne puis aisément délaisser ce que j'aime.
DOM SANCHE.	DOM SANCHÉE.
Avec moins de raiſon on vous quitte vous mé me.	Avec moins de raison on vous quitte vous mé me.
DOM ALVARE.	DOM ALVARE.
Comme elle, je ne puis la quitter tout d’un couf Que cela ne m’étonne & m’afflige beaucoup.	Comme elle, je ne puis la quitter tout d'un cous Que cela ne m'étonne et m'afflige beaucoup.
DOM SANCHE, Il faut vaincre ce foible, & s’en rendre le maiſtre	DOM SANCHÉ, Il faut vaincre ce faible, et s'en rendre le maître
DOM ALVARE.	DOM ALVARE.
nans le trouble ou je ſuisje ne me puis connois tre, Le ſouvenir charmant de ſes divins appas Fait qu’en un même temps je veux, & ne veu pas, Malgré moy, dans mon cœur je ſens regnert tendre, que je voudrois chaſſer, & ne puis m’en défen dre;	nans le trouble ou je suisje ne me puis connais tre, Le souvenir charmant de ses divins appas Fait qu'en un même temps je veux, et ne veu pas, Malgré moi, dans mon cœur je sens régnert tendre, que je voudrais chasser, et ne puis m'en défens dre;
Et je mourray, Monſieur, ſi ſa charmante main pour ce fol que vous dites a changé ſon de ſen.	Et je mourrai, Monsieur, si sa charmante main pour ce fol que vous dites a changé son de sen.
DOM SANCHE.	DOM SANCHÉE.
Ce que je vous ay dit, Monſieur;	Ce que je vous ai dit, Monsieur;
eſt veritable;	est véritable;
ẽt me rend auſſi bien que vous fort miſerable.	ẽt me rend aussi bien que vous fort miserable.
lais, ſans nous chagriner tous deux que n’aldo112 H0u3 arler un peu de prés à ce maiſtre des fous?	lais, sans nous chagriner tous deux que n'aldo12 H0u3 arler un peu de près à ce maître des fous?
e luy ferois lentir ma valeur offenſée.	 eût ferais lentir ma valeur offensée.
DOM ALVARE.	DOM ALVARE.
ne faut pas, Monſieur, avoir cette penſée.	ne faut pas, Monsieur, avoir cette pensée.
faut qu’un Gentilhomme obeiſſe à ſon Roy, it ſi vous m’encroyez, vous ferez comme moy, uis qu’enfin pour nous deux Angelique eſt contraite, le la contraignons point, Monſieur, laiſſons la one.	faut qu'un Gentilhomme obéisse à son Roi, it si vous m'encroyez, vous ferez comme moi, uis qu'enfin pour nous deux Angélique est contraite, le la contraignons point, Monsieur, laissons la one.
ce choix ridicule on ne peut s’oppoſer.	ce choix ridicule on ne peut s'opposer.
DOM SANCHE.	DOM SANCHÉE.
lais ce fol doit venir aujourd’huy l’épouſer.	lais ce fol doit venir aujourd'hui l'épouser.
SCENE II.	SCÈNE II.
OM PEDRE, DOM DIEGUE, DOM ALVARE, DOM SANCHE.	OM PEDRE, DOM DIEGUE, DOM ALVARE, DOM SANCHÉE.
DOM PEDRE.	DOM PÉDRE.
E quelfo!	E quelfo!
veut parler ce couple de pecores?	veut parler ce couple de pécores?
IJe vous l’ay dit, beau-pere, & vous le dis encores à Dom Alvare.	JJe vous l'ai dit, beau-père, et vous le dis encor à Dom Alvare.
Dom Sanche qui i’arrétent à le regarder.	Dom Sanche qui j'arrêtent à le regarder.
M’avez vous aſſez vû?	M'avez -vous assez vu?
ſuis je bien fait?	suis -je bien fait?
badauts Hé morbleu décampez, peſte ſoit des nigauts Avez-vous jamais vû deux plus ſottes figures.	badauts Hé morbleu décampés, peste soit des nigauts Avez-vous jamais vu deux plus sottes figures.
DOM ALVARE.	DOM ALVARE.
Nous ſortirons aſſez, ſans toutes vos injures.	Nous sortirons assez, sans toutes vos injures.
DOM PEDRE.	DOM PÉDRE.
Mais vous ne branlez point !	Mais vous ne branlez point !
les avez vous mans dez, Beau-pere?	les avez vous mans dé, Beau-père?
dites donc.	dites donc.
Il eſt ſourd répondez.	Il est sourd répondez.
DOM DIEGUE.	DOM DIÉGUE.
Mey dlaue,	Mei dlave,
DOM PEDRE.	DOM PÉDRE.
Moy?	Moi?
non qui donc?	non qui donc?
ce ſtupide beaupeit eſt comme une ſtarue à les cegarder faire.	ce stupide beaupit est comme une starue à les cégarder faire.
DOM DIEGUE.	DOM DIÉGUE.
Croyez-vous voir ma fille, ètant ſi mal appris!	Croyez-vous voir ma fille, ètant si mal appris!
DOM PEDRE.	DOM PÉDRE.
Vous êtes par ma foy le plus ſot des eſprits Faites les donc ſortir.	Vous êtes par ma foi le plus sot des esprits Faites les donc sortir.
DOM DIEGUE, Voulez-vous que je faſſe.	DOM DIEGUE, Voulez-vous que je fasse.
DOM PEDRE.	DOM PÉDRE.
Hé, radoteur vieillard' faites leur la grimace.	Hé, radoteur vieillard' faites leur la grimace.
DOM ALVARE.	DOM ALVARE.
Sur le pavé du Roy pouvez vous nous gêner?	Sur le pavé du Roi pouvez vous nous gêner?
DOM PEDRE mettant la main à l'éptt Vous voulez donc, marauts, me faire dégainer?	DOM PEDRE mettant la main à l'éptt Vous voulez donc, marauts, me faire dégainer?
Il donne pluſieurs coups de plat d’épíe Dom Diegue,	Il donne plusieurs coups de plat d'épée Dom Diègue,
DOM ALVARE t'en allant.	DOM ALVARE t'en allant.
Vous m’avez maltraité, de vôtre violence Je m’en vais informer les Maréchaux France.	Vous m'avez maltraité, de votre violence Je m'en vais informer les Maréchaux France.
SCENE III.	SCÈNE III.
DOM PEDRE, DOM DIEGUE.	DOM PEDRE, DOM DIEGUE.
DOM DIEGUE.	DOM DIÉGUE.
NIel!	NIel!
comme vous frapez!	comme vous frappez!
je ſuis preſque A	je suis presque A
DOM PEDRE.	DOM PÉDRE.
Ces deux petits cadets ſentoient le vieux battu.	Ces deux petits cadets sentaient le vieux battu.
Mlais ſans tant reculer montrez moy vôtre fille;	Mlais sans tant reculer montrez -moi votre fille;
afin que pour la nopce au piûtoſt je m’habille.	afin que pour la nopce au piûtost je m'habille.
je brerens toureron von Gevant ſon muſeau, Sil eſt laid, je la laiſſe, & la prens s’il eſt beau, Au diable, s’il répond Quelle peſte de mine.	je brers toureron von Gevant son museau, Sil est laid, je la laisse, et la prends s'il est beau, Au diable, s'il répond Quelle peste de mine.
fait ce vieux fou !	fait ce vieux fou !
je croy que toûjouis il rechine, Il eſt muet & ſourd, ou je parle trop bas Beau-pere extravagant ne m’entendez vous pas y perdray mon latin, vieillard, que Dieu confonde, Répõs, on fais pour toy que quelqu’un me répõde, Veux tu bailler ta fille, ou ne la pas bailler!	je crois que toûjouis il rechine, Il est muet et sourd, ou je parle trop bas Beau-père extravagant ne m'entendez vous pas y perdrai mon latin, vieillard, que Dieu confonde, Réponde, on fais pour toi que quelqu'un me répõde, Veux -tu bailler ta fille, ou ne la pas bailler!
DOM DIEGUE.	DOM DIÉGUE.
Pour la prendre, Monſieur, vous n’avez qu’à parler.	Pour la prendre, Monsieur, vous n'avez qu'à parler.
DOM PEDRE Allez, ſi ma moitié vous reſſemble, beau-pere, Et que tout comme vous elle ne parle guere, Les cornes ſur ma tête auront peine à ſortir, Qu'elle vienne donc vite ou je m’en vais partir,	DOM PEDRE Allez, si ma moitié vous ressemble, beau-père, Et que tout comme vous elle ne parle guère, Les cornes sur ma tête auront peine à sortir, Qu'elle vienne donc vite ou je m'en vais partir,
PHILINTE a Aagelique dant une aîle du Theaire dit ce ven & ſe retire.	PHILINTE a Aagelique dant une aîle du Théaire dit ce ven et se retire.
Venez vite, Madame, il eſt tems de paroître.	Venez vite, Madame, il est temps de paraître.
Angelique i’avance ſur la Seene.	Angélique j'avance sur la Seène.
SCENE IV.	SCÈNE IV.
ANGELIQUE, DOM PEDRE.	ANGELIQUE, DOM PEDRE.
DOM DIEGUE.	DOM DIÉGUE.
DOM DIEGUEa Angilique, A fille, pour époux vous pouvez recon noître, Monſieur, le voulez voue?	DOM DIEGUEa Angilique, A fille, pour époux vous pouvez répon naître, Monsieur, le voulez voue?
DOM PEDRE.	DOM PÉDRE.
Elle ne tépoud rien,	Elle ne tépoud rien,
DOM DIEGUE Je croy pourtant, Moi ſieur, qu’elle vous voudr ibien.	DOM DIEGUE Je crois pourtant, Moi sieur, qu'elle vous voudr ibien.
Acceptez vous Monſieur?	Acceptez -vous Monsieur?
ANGELIQUE à qui on ſouſſe de derriere le Theatre.	ANGELIQUE à qui on sousse de derrière le Théâtre.
Je le veux bien mon pert	Je le veux bien mon pert
DOM PEDRE.	DOM PÉDRE.
Pour de l’eſprit, je voy que vous n’en avez guer La belle;	Pour de l'esprit, je vois que vous n'en avez guer La belle;
mais enfin j’en ſuis peu ſoucieux, Et je croy que mon front s’en portera bie mieux.	mais enfin j'en suis peu soucieux, Et je crois que mon front s'en portera bye mieux.
Mais ne parlez jamais quoy qu’un homme v  die.	Mais ne parlez jamais quoi qu'un homme v die.
Quels ſont donc vos plaiſits?	Quels sont donc vos plaisits?
le bal?	le bal?
la Comedie?	la Comédie?
Aimez vous bien les Vers?	Aimez -vous bien les Vers?
ou ces Ecrits galans?	ou ces Écrits galants?
A quoy ſongez vous dõc?	À quoi songez -vous donner?
faites vous des Romãs?	faites -vous des Romans?
ji vous ne répondez, je ne parle plus guere Mais quand donc proceder à nôtre hymen, beaupere?	ji vous ne répondez, je ne parle plus guère Mais quand donc procéder à notre hymen, beaupère?
DOM DIEGUE.	DOM DIÉGUE.
Le Notaire venu, vous n’avez qu’à finir.	Le Notaire venu, vous n'avez qu'à finir.
DOM PEDRE.	DOM PÉDRE.
Qui vous empêche donc de le faire venir.	Qui vous empêche donc de le faire venir.
DOM DIEGUE Je ne ſçay pas pourquoy ſi long-tems il demeure?	DOM DIEGUE Je ne sais pas pourquoi si longtemps il demeure?
Mais le voicy, M ſieur, qui vient à la bõne heure	Mais le voici, M eur, qui vient à la bõne heure
SCENE DERNIERE.	SCÈNE DERNIÈRE.
DOM PEDRE, DOM DIEGUE, ANGELIQUE, LE NOTAIRE.	DOM PEDRE, DOM DIEGUE, ANGELIQUE, LE NOTAIRE.
LE NOTAIRE tenant un Contrat dans Iſes mains.	LE NOTAIRE tenant un Contrat dans Ises mains.
E viens tard, mais auſſi le Contrat eſt écrit.	E viens tard, mais aussi le Contrat est écrit.
DOM PEDRE bai au Notaire.	DOM PEDRE bai au Notaire.
Avez vous mis les nome comme je vous ay dit,	Avez -vous mis les nome comme je vous ai dit,
LE NOTAIRE.	LE NOTAIRE.
Le Contrat eſt en forme, & de bonne mauiere.	Le Contrat est en forme, et de bonne mavière.
DOM PEDRE à Angelique La belle il faur pour moy, quittervôtre humeur fiere, .	DOM PEDRE à Angélique La belle il saur pour moi, quittervôtre humeur fière, .
Car le Contrat ſigné, dans une heure d’icy Je diſpoſe de vous comme vôtre mary.	Car le Contrat signé, dans une heure d'ici Je dispose de vous comme votre mari.
Nous allons par les Loix du Ciel, & de Nature.	Nous allons par les Lois du Ciel, et de Nature.
Proceder, comme il faut, à la progeniture.	Procéder, comme il faut, à la progéniture.
Et comme au mariage il faut bien des appreſts, Voyons, ſi pour cela tous nos meubles ſont preſts Pour le ménage il faut quantité d’uſtenciles.	Et comme au mariage il faut bien des apprêts, Voyons, si pour cela tous nos meubles sont prêts Pour le ménage il faut quantité d'ustenciles.
DOM DIEGUE.	DOM DIÉGUE.
Monſieur, j’en ay fait faire à des Maîtres habiles,	Monsieur, j'en ai fait faire à des Maîtres habiles,
DOM PEDREa Dom Dugue.	DOM PEDREa Dom Dugue.
Que faut-il faire plus?	Que faut-il faire plus?
donnez donc vôtre ſeing,	donnez donc votre seing,
LE NOTAIREà Uom Pedre.	LE NOTAIREà Uom Pedre.
Vous devez cõmencer comme Auteur du deſſein,	Vous devez commencer comme Auteur du dessein,
DOM PEDRE.	DOM PÉDRE.
Signõs dõc, je le veux.	Signons dont, je le veux.
C’eſt ainſi qu’on s’explique	C'est ainsi qu'on s'explique
LE NOTAIRE à Angelique.	LE NOTAIRE à Angélique.
Madanse, vôtre nom.	Madanse, votre nom.
ANGELIQUE à qui on ſoufle totijours:	ANGELIQUE à qui on souffle totijours:
Je me nomme Angelique.	Je me nomme Angélique.
Signez.	Signez.
LE NOTAIRE.	LE NOTAIRE.
ANGELIQUE à qui on ſouſle toûjours.	ANGELIQUE à qui on soûle toujours.
, Je le veux bien elle ſigne.	, Je le veux bien elle signe.
DOM PEDREàPU.	DOM PEDREàPU.
Je vous tiens, par ma foy.	Je vous tiens, par ma foi.
Me voila maintenant plus content que le Roy.	Me voilà maintenant plus content que le Roi.
Allons donc conſommer vite le mariage.	Allons donc consommer vite le mariage.
LE NOTAIRE.	LE NOTAIRE.
Icvje n’ay plus rien à faire davantage.	Icvje n'ai plus rien à faire davantage.
Jeſors.	Jésors.
1 Il ſort aves lerautret.	1 Il sort aves lerautret.
DOM PEDRE.	DOM PÉDRE.
Adieu Meſſieurs.	Adieu Messieurs.
DOM ALVARE.	DOM ALVARE.
Adieu:	Adieu:
ſoyez contens Ein de la petite Comedie.	soyez contents Ein de la petite Comédie.
SCENE V.	SCÈNE V.
ANGELIQUE, (PADILLE qui joüoit le volle de Dom Pedre.	ANGELIQUE, (PADILE qui jouait le volle de Dom Pèdre.
ANGELIQUE.	ANGELIQUE.
Ourquoy nous quittent-ils?	Ourquoy nous quittent-ils?
Se mocquent.	Se moquent.
I ils des gens?	I ils des gens?
Ne me direz-vous point quel eſt tout ce myſtere?	Ne me direz-vous point quel est tout ce mystère?
PADILLE luy montrant le Contract quelle viens de ſigner.	PADILE belle montrant le Contrat quelle viens de signer.
Ouy:	Oui:
Madame;	Madame;
il eſt temps de ne vous plus rien tane , Il n’eſt plus de dedit, le Contract eſt ſigné.	il est temps de ne vous plus rien tane , Il n'est plus dé dit, le Contrat est signé.
ANGELIQUE.	ANGELIQUE.
quoy le même Contract que vous m’avez donné	quoi le même Contrat que vous m'avez donné
ADILLE.	ADILE.
Ouy, vous acheverez avec moy, ſur mon ame, La ſuppoſition veritable, Madame.	Oui, vous achèverez avec moi, sur mon âme, La supposition véritable, Madame.
ANGELIQUE.	ANGELIQUE.
De tout ce qu’il me dit déja le cœur me bat.	De tout ce qu'il me dit déjà le cœur me bat.
A DILLE.	À DILLE.
Vous avez crû jouer en ſignant ce Contract;	Vous avez cru jouer en signant ce Contrat;
Mais ſçachez qu’il eſt fait de la bonne maniere;	Mais sachez qu'il est fait de la bonne manière;
Et que ſous nos deux noms la clauſe eſt toute entiere, Il eſt en bonne forme, & prétens aujourd’huy En qualité d’époux terminer mon ennuy.	Et que sous nos deux noms la clause est toute entière, Il est en bonne forme, et prétends aujourd'hui En qualité d'époux terminer mon ennui.
Vous avez refusé, dans le Siecle où nous ſommes, Des Nobles, des Sçavans, & toutes ſortes d’hommes, Moy, plus ſubtil que ceux qui vous venoien chercher, ’ay ſçû qu’un bel eſprit pouvoit ſeul vous touche Dont la gentille humeur fut ſemblable a Mer cure:	Vous avez refusé, dans le Siècle où nous sommes, Des Nobles, des Savants, et toutes sortes d'hommes, Moi, plus subtil que ceux qui vous venoyen chercher, 'ai su qu'un bel esprit pouvait seul vous touche Dont la gentille humeur fut semblable a Mer cure:
I'ay du mieux que j’ay pû contrefait ſa figure:	J'ai du mieux que j'ai pu contrefait sa figure:
Et dedans cette piece attitrant des amis, J’ay dreſſé le beau piege, où je vous ay, bier mis.	Et dedans cette pièce attitrant des amis, J'ai dressé le beau piège, où je vous ai, bier mis.
ANGELIQUE.	ANGELIQUE.
Je feray tout caſſer par les loix de Juſtice, Diſant que le Contract eſt fait par artifice.	Je ferai tout casser par les lois de Justice, Disant que le Contrat est fait par artifice.
PADILLE.	PADILE.
Je vais chez un Sergeant pour vous faire aſsignet Sur le Conttact qu’icy vous venez de ſigner.	Je vais chez un Sergeant pour vous faire assignet Sur le Contact qu'ici vous venez de signer.
On n’entend point de jeu ſur de telle matiere, Et quand vous y ſerez ce n’eſt pas la premiere,	On n'entend point de jeu sur de telle matière, Et quand vous y serez ce n'est pas la première,
ANGELIQUE.	ANGELIQUE.
Je periray plûtoſt que tu ſois mon époux.	Je périrai plutôt que tu sois mon époux.
A DILLE, I’eſpere toutefois cét honneur malgré vous.	À DILE, J'espère toutefois cet honneur malgré vous.
ANGETIQUE.	ANGETIQUE.
Un fourbe !	Un fourbe !
PADILLE.	PADILE.
Vous feriez vĩngt fois mieux de vous tairé Le Juge ordonnera de toute notre affaire.	Vous feriez vintngt fois mieux de vous tairé Le Juge ordonnera de toute notre affaire.
ANGELIQU E bas.	ANGELIQU E bas.
Juſte Ciel!	Juste Ciel!
que je ſuis mal’heureuſe en Amans!	que je suis mal'heureuse en Amants!
Embroüillant mon eſprit avec tous ces ſçavans;	Embrouillant mon esprit avec tous ces Savants;
Mais que faite aprés tout, ſi je ſuis condamnée!	Mais que faite après tout, si je suis condamnée!
Si je pers mon proceds qu’elle eſt ma deſtinée.	Si je perds mon procéds qu'elle est ma destinée.
Il faut aller bientôt me rendre à la maiſon.	Il faut aller bientôt me rendre à la maison.
Afin d’y recevoir cetteaſ ſsignation.	Afin d'y recevoir cetteas signation.
elle ſon	elle son
PADILLE.	PADILE.
Allons, devant qu’enfin la cauſe aille paroître, De tout ce qu’il faut faire avertir notre maître.	Allons, devant qu'enfin la cause aille paraître, De tout ce qu'il faut faire avertir notre maître.
Fin du ſecond Acte.	Fin du second Acte.
AC TE III SCENE PREMIERE.	AC TE III SCÈNE PREMIÈRE.
Le Theaire repreſenie un Parquet.	Le Théaire représénie un Parquet.
POLIDORE, LYSANDRE,	POLIDORE, LYSANDRE,
POLI DORE.	POLI DORE.
Uoy?	Uoi?
ton valet tout ſeul auroit joüé ce tour,	ton valet tout seul aurait joué ce tour,
LYSANDRE.	LYSANDRE.
Il a fait tout cela pour ſervir mon amour.	Il a fait tout cela pour servir mon amour.
POLIDORE.	POLIDORE.
Tu railles un peu bien fort cette belle maîtreſſe.	Tu railles un peu bien fort cette belle maîtresse.
LYSANDRE.	LYSANDRE.
Je ne puis autrement m’acquerir ſa tendreſte,	Je ne puis autrement m'acquérir sa tendreste,
POLIDORE.	POLIDORE.
Fort bien;	Fort bien;
mais puis-je enfin ſoulager ton ſoucy	mais puis-je enfin soulager ton souci
LYSANDRE.	LYSANDRE.
On t’a fait depuis peu juge de ce lieu-cy, Et comme devant toy nôtre affaire eſt remiſe, Je ſouhaiterois fort pour la rendre ſurpriſe Qu’avec tes Conſeillers, prenant ta place, moi Je decide l’affaire, & juge au lieu de toy.	On t'a fait depuis peu juge de ce lieu-cy, Et comme devant toi notre affaire est remise, Je souhaiterais fort pour la rendre surprise Qu'avec tes Conseillers, prenant ta place, moi Je décide l'affaire, et juge au lieu de toi.
La robbe & le bonnet, & l’air que je vais prendre A ſes yeux aisément déguiſeront Lyſandre.	La robe et le bonnet, et l'air que je vais prendre A ses yeux aisément déguiseront Lysandre.
Ainſi je la gueris de ſes entétemens.	Ainsi je la guéris de ses entêtements.
Et parviens au bon-heur des plus heureux amans	Et parviens au bonheur des plus heureux amants
OLIDORE.	OLIDORE.
