TRAGICOMEDIE PASTORALLE,	TRAGICOMEDIE PASTORALLLE,
Le ciel ſemble pourtant me vouloir decharger De ce ſoin inportun dont ie me ſens ronger.	Le ciel semble pourtant me vouloir décharger De ce soin inportun dont ie me sens ronger.
Paris fils d’Adamas pour femme la demande, Et de la luy donner l’Oracle me commande, or oin qu’à ce ſubiet ie m'en vay de ce pas Trouuer dans ſa maiſon le Druide AAdamas, Pour reſoudre auec luy le iour du mariage.	Paris fils d'Adamas pour femme la demande, Et de la gloire donner l'Oracle me commande, or oin qu'à ce sujet ie m'en vais de ce pas Trouver dans sa maison le Druide ADamas, Pour résoudre avec avec le jour du mariage.
Talis.	Talis.
Dieux!	Dieux!
quelle inquietude agite mon courage, Que la ſage Bellinde eſt long temps à venir.	quelle inquiétude agite mon courage, Que la sage Bellinde est long temps à venir.
Bellinde.	Bellinde.
Voy ie pur vn berger tout ſeul s’entretenir?	Vois votre pur un berger tout seul s'entretenir?
C’eſt le ieune Paris, qui bien ſouuent s’habille De meſme qu'vn berger pour mieux plaire à ma fille Tout ſeul, Monſieur, tout ſeut:	C'est le jeune Paris, qui bien souvent s'habille De même qu'un berger pour mieux plaire à ma fille Tout seul, Monsieur, tout seut:
Paris.	Paris.
Madame, les ennuis, Me tiennent compagnie en l’eſtat où ie ſuis.	Madame, les ennuis, Me tiennent compagnie en l'état où je suis.
Bellinde.	Bellinde.
D'où vient dons le ſubiect de l’ennuy qui vous preſſe Paris	D'où vient dons le sujet de l'ennui qui vous presse Paris
Paris.	Paris.
Des froideursque me viẽt de montrer ma maiſtreſſe,	Des froideursque me vient de montrer ma maîtresse,
Bellinde.	Bellinde.
Vous eſt-elle plus froide auiourd’huy qu’autrefois?	Vous est-elle plus froide aujourd'hui qu'autrefois?
Paris.	Paris.
Ell'a changé pour moy de viſage & de voix, Deputs que de ma bouche elt a ſçeu que l’afaire, De nostre mariage eſtoit ſi préte à faire.	Elle a changé pour moi de visage et de voix, Députs que de ma bouche élût a su que l'afaire, De notre mariage était si préte à faire.
Bellinde.	Bellinde.
Ne vous eſtonnés pas elle s’adoucira, Et ſelon vos deſirs il vous reußira, La honte en ce ſubiect l’empeſche de vous dire Ce que dedans ſon cœur ſans doute elle deſire, I'en prens ſur moy le ſoin allons, Paris.	Ne vous étonnez pas elle s'adoucira, Et selon vos désirs il vous reussira, La honte en ce sujet l'empêche de vous dire Ce que dedans son cœur sans doute elle désire, J'en prends sur moi le soin allons, Paris.
i’ay mis außi Deſſus vous tout l’espoir de cette affaire icy.	j'ai mis aussi Dessus vous tout l'espoir de cette affaire ici.
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
Aſtree, Alexis, Hil as.	Astre, Alexis, Hil as.
Aſtree.	Astreée.
Vis que vous me donnez, Madamt, la licence?	Vis que vous me donnez, Madamt, la licence?
I De vous offrir icy mon humble obeyſſance, Ie vous prie acceptez le ſeruice eternel, Que ie vous iure icy d’vn ferment ſolemnel, Et ie rends grace aux Ditux de la faueur receuë, En me faiſant iouyr au bien de voſtre veuë.	I De vous offrir ici mon humble obéissance, Je vous prie acceptez le service éternel, Que ie vous jure ici d'un ferment solennel, Et votre rends grâce aux Ditux de la faveur reçue, En me faisant jouir au bien de votre vue.
Alexis.	Alexis.
Bergere laiſſons là ces compliments d’honneur, C’eſt moy qui dois pluſtoſt les benir du bonheur De m’eſtre icy trouuee au temps du grand myſtere.	Bergère laissons là ces compliments d'honneur, C'est moi qui dois plutôt les bénir du bonheur De m'être ici trouvée au temps du grand mystère.
Qu'on obſerue en cueillant voſtre guy ſalutaire:	Qu'on observe en cueillant votre gui salutaire:
Carautrement teſtey tout u ſuir nors u eſpoir D’obtenir la faueur, bergere, de vous voir.	Carautrement têtei tout u suir nors u espoir D'obtenir la faveur, bergère, de vous voir.
Aſtree.	Astreée.
Madame, voudriez vous me faire cette iniure.	Madame, voudriez -vous me faire cette injure.
Qu'on m'eſtime touſiours vn infame pariure, Si ie ne viens icy pour vous voir ſeulement, Et vonsoſſnii par tont ma lle deſoinment.	Qu'on m'estime toujours un infâme parjure, Si tu ne viens ici pour vous voir seulement, Et vonsossnii par tont ma l desoinment.
Alexis.	Alexis.
Si cela vient du cœur i'ay ce que ie ſounête.	Si cela vient du cœur j'ai ce que ici sounête.
Aſtrée.	Astrée.
Si ie ments que la foudre ait pour obiect ma teſte.	Si ici mens que la foudre ait pour objet ma tête.
Alexis.	Alexis.
Ie le croy, mais ſçachons de grace en quel endroit L’on a trouué le guy.	Je le crois, mais sachons de grâce en quel endroit L'on a trouvé le gui.
Altiee.	Altie.
Vous voyez icy droit Vn petit bois, c’eſt là que deſſus vn grand chéne Nos bergers l’ont trouué.	Vous voyez ici droit Un petit bois, c'est là que dessus un grand chaîne Nos bergers l'ont trouvé.
Alexis.	Alexis.
N’est-ce pas dans la plaine Pres des bords de Lignon?	N'est-ce pas dans la plaine Pres des bords de Lignon?
Aſtree.	Astreée.
C’eſt du meſme coſté,	C'est du même côté,
Alexis.	Alexis.
Ie le voy.	Je le vois.
Aſtree.	Astreée.
L’on y trouue vn' autre rareté, Vn Temple, où l’art ifice aydant à la nature, A des arbres courbez fait vn architecture, Où tout eſt ſi bien mis, qu’il faut croire qu'vn Dieu, Et non pas vn mortel a basty ce ſainct lieu:	L'on y trouve ainsi autre misé, Un Temple, où l'art ifice aidant à la nature, À des arbres courbez fait un architecture, Où tout est si bien mis, qu'il faut croire qu'un Dieu, Et non pas un mortel a bâti ce saint lieu:
Là ſe voit vn autel, où d’vne main legere La grãde & faincte Aſtree eſt portraite en bergere, La houlette en la main, pres d’elle des troupeaux A fouimnen paiſfauna faaaue ues ceſteuux, Et ceux qui comme moy l’ont admirée enſemble, M'aſſeurent que fa face à la mienne reſſemble.	Là se voit un autel, où d'une main légère La grande et sainte Astrée est portraite en bergère, La houlette en la main, pres d'elle des troupeaux A ouimen paisfauna faaaue ues céteuux, Et ceux qui comme moi l'ont admirée ensemble, M'assurent que fa face à la mienne ressemble.
Alexis.	Alexis.
On l’a peinte en bergere, afin de faire voir Que la iuſtice aux champs fait luire ſon pouuoir, Ou que deſſous ſon regne on peut voir toutes choſes Par tout eſgalement en abondance eſcloſes, Mais le peintre a monſtré d’eſtre iudicieux, Et d’auoir recogneu la volonté des Dieux, Lors qu’il a pour tirer cette belle peinture Pris le plus beau patron de toute la nature:	On l'a peinte en bergère, afin de faire voir Que la justice aux champs fait luire son pouvoir, Ou que dessous son règne on peut voir toutes choses Par tout également en abondance écloses, Mais le peintre a montré d'être judicieux, Et d'avoir reconnu la volonté des Dieux, Lors qu'il a pour tirer cette belle peinture Pris le plus beau patron de toute la nature:
Car à bon droit ie croy que la diuinité Reçoit de l’aduantage ayant voſtre beauté, Et lors qu'elle verra deſſus ce bel ouurage Parétre au lieu du ſien voſtre diuin viſage, Fiere de l’auantage, ell' aymera bien mieux Vos attraits icy bas que les ſiens dans les Cieux.	Car à bon droit h croy que la divinité Reçoit de l'avantage ayant votre beauté, Et lors qu'elle verra dessus ce bel ouvrage Paraître au lieu du sien vôtre divin visage, Fière de l'avantage, elle aimera bien mieux Vos attraits ici bas que les siens dans les Cieux.
H 2	H 2
Aſtree.	Astreée.
Madame ie voudroy que ces belles parties, Comme vous l’auez dit, me fuſſent départies, Pour vous obliger mieux à ne refuſer pas Le don que ie vous fay de ce que i'ay d’apas.	Madame je voudrais que ces belles parties, Comme vous l'avez dit, me fussent départies, Pour vous obliger mieux à ne refuser pas Le don que je vous fais de ce que j'ai d'apas.
Aaa.	Aa.
Dois-ie croire mon heur ſi grand que vous le dites?	Dois-je croire mon heur si grand que vous le dites?
Aſtree.	Astreée.
Ie vous en prie au moins par vos propres merites Et par ceux de l’obiect le plus aymé de vous.	Je vous en prie au moins par vos propres mérites Et par ceux de l'object le plus aimé de vous.
Alexis.	Alexis.
Bergere vous priez auec des mots ſi doux, Que te croyut roener cetuy qui vous refuſe.	Bergère vous priez ici des mots si doux, Que te crois roener celui qui vous refuse.
Aſtrec.	Astrec.
Cette obligation me rend toute confuſe.	Cette obligation me rend toute confuse.
Alexis.	Alexis.
Belle bergere außi c'eſt à condition DUne vous repentir de voſtre election.	Belle bergère aussi c'est à condition DUne vous repentir de votre élection.
Aſtree.	Astreée.
Si iamais à l’aymer autre que vous m’attache, Que la terre souurant uans jon goupre me cache.	Si jamais à l'aimer autre que vous m'attache, Que la terre souvrant ans jon goupre me cache.
Alexis.	Alexis.
Et moy d'vn cœur ſans fard voſtre offre ie reçoy, Et pour vn meſme amour vous engage ma foy.	Et moi d'une cœur sans fard votre offre ie reçois, Et pour un même amour vous engage ma foi.
Aſtree.	Astreée.
Voicy vtnir Hilas dont l’approche importune M’empeſche de iouyr de ma bonne fortune.	Voici aînir Hilas dont l'approche importune M'empêche de jouir de ma bonne fortune.
Hilas.	Hilas.
Ma maiſtreſſe il vous faut conſeruer ſagement, Ces bergeres icy flattent ſi doucement, Qu'on ne peut euiter la force de leurs charmes.	Ma maîtresse il vous faut conserver sagement, Ces bergères ici flattent si doucement, Qu'on ne peut éviter la force de leurs charmes.
Alexis.	Alexis.
Vous parlez en ſçauant du pouuoir de leurs armes.	Vous parlez en savant du pouvoir de leurs armes.
Hilas.	Hilas.
Elles ne m’ont pourtant en cela rien appris, Car premier que Philis Madonthe m’auoit pris, Chriſdide, Circene, & la belle Florice mrunoient appris deſia l’amoureuſe malice.	Elles ne m'ont pourtant en cela rien appris, Car premier que Philis Madonthe m'avait pris, Chridide, Circène, et la belle Florice mrunoient appris déjà l'amoureuse malice.
Sans conter Polinice, & Daphnide & Carlis, Dont les enjeignemens jout preque enjeneus.	Sans conter Polinice, et Daphnide et Carlis, Dont les enjeignements jout préque enjéneus.
Alexis.	Alexis.
Hilas, vn de ces tours i'en accroiſtray le nombre.	Hilas, un de ces tours j'en accroîtrai le nombre.
Hilas.	Hilas.
Ouy lors que du Soleil vous verrez naiſtre l’ombre.	Oui lors que du Soleil vous verrez naître l'ombre.
Aſtree.	Astreée.
Vous en diſiez autant à trois en meſme temps.	Vous en disiez autant à trois en même temps.
Hilas.	Hilas.
Il eſt vray, mais c’eſtoient de foibles combatans, Contre qui i'employois en paſſant mon courage, Mais contr' elle il me faut mettre tout en vſaye, Et croy que l'on peut moins reſiſter à ſes yeux, Qu'au tonnerre eſlancé par le maistre des Dieux.	Il est vrai, mais c'étaient de faibles combattants, Contre qui j'employais en passant mon courage, Mais contr' elle il me faut mettre tout en usaie, Et crois que l'on peut moins résister à ses yeux, Qu'au tonnerre élancé par le maître des Dieux.
Aſtree.	Astreée.
Ne vous faſchez donc point ſi ie m’estime heureuſe, Que ſes diuins appas m'ait renduë amoureuſe.	Ne vous fâchez donc point si ici m'estime heureuse, Que ses divins appas m'ait rendue amoureuse.
Alexis.	Alexis.
Si vous m’aymez, bergere, aſſeurez vous außi Qu'à vous plaire touſiours ie mettray mon ſoucy.	Si vous m'aimez, bergère, assurez -vous aussi Qu'à vous plaire toujours ie mettrai mon souci.
Hilas.	Hilas.
Ie vous le diſoy bien que cette caioleuſe Vous gaigneroit en fin par ſa langue flateuſe.	Je vous le disais bien que cette coleuse Vous gagnerait en fin par sa langue flatteuse.
Alexis.	Alexis.
Vous n'auez rien a crainare Hilas de ce coſte, Mais le Soleil deſia nous cache ſa clairté, Il ſe faut retirer.	Vous n'avez rien a crainare Hilas de ce côte, Mais le Soleil déjà nous cache sa clairté, Il se faut retirer.
Aſtree.	Astreée.
quand vous voudrez, Madame	quand vous voudrez, Madame
Hilas.	Hilas.
Tous ces petits debuoirs deſplaiſent à ma flame.	Tous ces petits debuoirs déplaisent à ma flamme.
ACTE QVATRIESME.	ACTE QUATRIÈME.
Diane, Siluandre, Aſtree, Illexis, Leonide, Bellinde, Adamas, Paris.	Diane, Silvandre, Astre, Illexis, Léonide, Bellinde, Adamas, Paris.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
Diane, Siluandre.	Diane, Silvandre.
Diane ſeule.	Diane seule.
Leurez mes triſtes yeux, & noyez dans vos pleurs out ce que mon viſage à iamais eu de fleurs, Ruines de mon teint & la nege & la grace Eſteignez tous vos feux, ne diſtilles que glace.	Leurez mes tristes yeux, et noyez dans vos pleurs out ce que mon visage à jamais eu de fleurs, Ruines de mon teint et la nége et la grâce Éteignez tous vos feux, ne distilles que glace.
Dieux qui m’auez donné ce que i’ay de beauté, En peut-on dispoſer contre ma volonté?	Dieux qui m'avez donné ce que j'ai de beauté, En peut-on disposer contre ma volonté?
Faut-il pour obeir aux raiſons d’vne mere Que i’attache à ma vie vne longue miſere?	Faut-il pour obéir aux raisons d'une mère Que j'attache à ma vie une longue misère?
Von, non, foibles respects esloignez vous de moy, 'ay trop long temps veſcu ſous voſtre dure loy, ous ne retiendrez plus mes larmes en contrainte, uis que vous me donnez tant de ſubiet de plainte, Ie veux, ie veux franchir ces obſtacles honteux.	Von, non, faibles respects éloignez -vous de moi, ' ais trop long temps écu sous votre dure loi, ous ne retiendrez plus mes larmes en contrainte, uis que vous me donnez tant de sujet de plainte, Ie veux, je veux franchir ces obstacles honteux.
Et donner l’aſſeurance à mes eſprits douteux:	Et donner l'assurance à mes esprits douteux:
Folle à quoy penſes-tu?	Folle à quoi penses-tu?
prens garde miſerable Que tu te rends des Dieux & des hommes la fable Tamere & les deſtins, te donnent à Paris.	prends garde misérable Que tu te rends des Dieux et des hommes la fable Tamère et les destins, te donnent à Paris.
Ses deſſeins ſont des dieux iuſques là fauoris, Qu’ils ont à ſon deſir faict parler leur Oracle, Et mis à mon bon heur leur vouloir pour obſtacle O malheureux Siluandre!	Ses desseins sont des dieux jusques -là favoris, Qu'ils ont à son désir fait parler leur Oracle, Et mis à mon bon heur leur vouloir pour obstacle Ô malheureux Silvandre!
helas voicy le iour Qu'on doit finir ma ioye auecques ton amour, Mais le voicy venir portant en ſon viſage De ſon mal & du mien vn aſſeuré preſage.	hélas voici le jour Qu'on doit finir ma joie avec ton amour, Mais le voici venir portant en son visage De son mal et du mien un assuré présage.
Siluandre.	Silvandre.
Et bien, belle maiſtreſſe, à la fin vos deſirs Sont auiourd huy d'accora auecques vos plaiſirs, Paris aura Diane, & le pauure Siluandre Ne doit que de ſa mort aucun ſecours attendre.	Et bien, belle maîtresse, à la fin vos désirs Sont aujourd 'accora toujours vos plaisirs, Paris aura Diane, et le pauvre Siluandre Ne doit que de sa mort aucun secours attendre.
Diane.	Diane.
Que vous eſtes cruel, berger, de rebleſſer Mon ame, a in foupçon ſt toin de mon penſer.	Que vous êtes cruel, berger, de reblesser Mon âme, a in soupçon st toin de mon penser.
Siluandre.	Silvandre.
Mon ſoubçon eſt change tantoſt en certitude, Puis qu’vn riual iouït de ma beatitude,	Mon soubçon est change tantôt en certitude, Puis qu'un rival iouït de ma béatitude,
Diane.	Diane.
ſene pau refjienuun volontez des Dieux.	sene pau refjienvun volontés des Dieux.
Siluandre.	Silvandre.
Voſtre peu d’amitié ne ſe peut montrer mieux:	Votre peu d'amitié ne se peut montrer mieux:
Mais viuez bien heureuſe, il n’eſt pas raiſonnable, Qu Que vous ſoyez le pris d’vne homme miſerable, Incognu, vagabond, à qui l’iniuſte ciel N’a point encore offert qu'eſpines & que fiel.	Mais vivez bien heureuse, il n'est pas raisonnable, Qu' Que vous soyez le pris d'une homme misérable, Inconnu, vagabond, à qui l'injuste ciel N'a point encore offert qu'épines et que fiel.
Diane.	Diane.
Ah!	Ah!
Berger voſtre plainte iniuſtement me blaſme, Ma volonté touſiours cherira voſtre flame, Et les Dieux ſoient teſmoins, eux qui l’ont ordotné, Que mon corps à Paris est par force donné, Et que ſi ie pouuoy ſans encourir diffame, Ie mourroy mille fois pluſtoſt qu’estre ſa femme, Et que Siluandre ſeul n’euſt le contentement, {all da vramener ejperer ll gamune.	Berger votre plainte injustement me blâme, Ma volonté toujours chérira votre flamme, Et les Dieux soient témoins, eux qui l'ont ordotné, Que mon corps à Paris est par force donné, Et que si bon pouvais sans encourir diffame, Je mourrois mille fois plutôt qu'être sa femme, Et que Silvandre seul n'eût le contentement, {all a vrener éjpérer l' elle.
Mais puis que le deſtin ce bon-heur me denie, Souffrez ainſi que moy ſa dure tyrannie.	Mais puis que le destin ce bonheur me denie, Souffrez ainsi que moi sa dure tyrannie.
Siluandre.	Silvandre.
En fin tous vos diſcours ne font que m’aſſeurer, Que ie ne dois en vous tamais rien esperer:	En fin tous vos discours ne font que m'assurer, Que je ne dois en vous tamais rien espérer:
M’a fait trop obſtiner contre leur ordonnance, 1ls penitmi que Mane dit Paris pour espoux, Et que bien toſt ma mort appaiſe leur courroux, Il les faut contenter, & finir par ma vie Les maux continuels dont elle eſt pourſuiuie.	M'a fait trop obstiner contre leur ordonnance, 1ls pénitmi que Mane dit Paris pour époux, Et que bien tôt ma mort apaise leur courroux, Il les faut contenter, et finir par ma vie Les maux continuels dont elle est poursuivie.
Diane.	Diane.
Arreſtez-vous, berger, les loix de noſtre amour Ne vous diſpenſent pas de vous priuer du iour.	Arrêtez-vous, berger, les lois de notre amour Ne vous dispensent pas de vous priver du jour.
Siluandre.	Silvandre.
Les oracles des Dieux preſcriuent immuables, A mon prompt deſeſpoir des loix inuiolables, Puis que vous n’eſtes plus dans le monde pour moy, Y viuray-ie teſmoin de voſtre peu de foy?	Les oracles des Dieux prescrivent immuables, À mon prompt désespoir des lois inviolables, Puis que vous n'êtes plus dans le monde pour moi, Y vivrai-je témoin de votre peu de foi?
Non, non, ie ne veux pas vous faire cette iniure Que ma vie vous puiſſe accuſer de pariure, Les Dieux reutent ni morejmomerejpus reſolu:	Non, non, Madame ne veux pas vous faire cette injure Que ma vie vous puisse accuser de parjure, Les Dieux réputent ni morejmomerejpus résolu:
Ie vay monſtrer l’effect de ce qu’ils ont voulu.	Je vais montrer l'effet de ce qu'ils ont voulu.
8 Diane.	8 Diane.
Tu vas doncques mourir, & ie m’amuſe aux larmes?	Tu vas donc mourir, et Seigneur m'amuse aux larmes?
Non, non, pour te venger i’ay de meilleures armes.	Non, non, pour te venger j'ai de meilleures armes.
L’eau, le feu, le poiſon, ou la corde, ou le fer Iersue ces tyrans ma flamme triompher, Si Paris & les Dieux m’empeſchent d’eſtre tienne, La mort m'empeſchera d'eſtre außriamais ſienne.	L'eau, le feu, le poison, ou la corde, ou le fer Jersue ces tyrans ma flamme triompher, Si Paris et les Dieux m'empêchent d'être tienne, La mort m'empêchera d'être aussi sienne.
SCENE SECONDE.	SCÈNE SECONDE.
Aſtree, Alexis, Leonide, Diane.	Astre, Alexis, Léonide, Diane.
Aſtree.	Astreée.
IRuel oſes-tu bien apres vn tel affront CFaire voir à mes yeux ton deteſtable front?	JRuel oses-tu bien après un tel affront CFaire voir à mes yeux ton détestable front?
Oſes-tu bien apres vne telle impudence, La mettre effrontément encore en euidence?	Oses-tu bien après une telle impudence, La mettre effrontément encore en évidence?
Vaperfide Alexis, & meurs ſi tu ne veux Viure auecques ton crimte, E contrt tous mes vœur Et puis que ta malice a bien ſceu me deplaire Cherche dedans ta mort dequoy me ſatisfaire.	Vaperfide Alexis, et meurs si tu ne veux Vivre avec ton crimte, E contrt tous mes vœur Et puis que ta malice a bien su me déplaire Cherche dedans ta mort dequoy me satisfaire.
Alexis.	Alexis.
Ie n’ay point esperé de traittement plus doux, Mais quelle mort Aſtree en fin m’ordonnez-vous?	Je n'ai point espéré de traitement plus doux, Mais quelle mort Astre en fin m'ordonnez-vous?
Aſtree.	Astreée.
meurs comme in pondras, pournen que ceſſant d’étre On ne te voye plus à ma honte parétre.	meurs comme in pondras, pournen que cessant d'être On ne te voie plus à ma honte paraître.
Alexis.	Alexis.
Ie vous vay contenter & vaincre par ma mort, Voſtre iniuſte rigueur, & celle de mon ſort.	Je vous vais contenter et vaincre par ma mort, Votre injuste rigueur, et celle de mon sort.
Leonide.	Léonide.
Qu'auez-vous fait Aſtree?	Qu'avez-vous fait Astre?
ô triſte Leonide!	ô triste Léonide!
O prudence inmiler omalneureuſe Druide.	Ô prudence inmiler omalneureuse Druide.
Laiſſons la pour aller arreſter le berger, Et donner du remede au plus prochain danger.	Laissons la pour aller arrêter le berger, Et donner du remède au plus prochain danger.
Aſtrée.	Astrée.
Si l’honneur trouue bon ce que ie viens de faire, L’amour & la pitié trouuent bon le contraire.	Si l'honneur trouve bon ce que tu viens de faire, L'amour et la pitié trouvent bon le contraire.
Leonide.	Léonide.
Arreftez vous perger, Aſtree ne veut pas Qu'vn violent effort vous donne le trespas, Vn iuſte repentir d’auoir esté cruelle L’oblige à recognoiſtre vn amour ſi fidelle.	Arrêtez vous perger, Astre ne veut pas Qu'un violent effort vous donne le trépas, Vn juste repentir d'avoir été cruelle L'oblige à reconnaître un amour si fidèle.
Alexis.	Alexis.
Astree obtient de moy toutes choſes, horſmis De ne tuër point ceux qu’elle croit ennemis, Elle m'eſtime tel encor que ma penſee	Astre obtient de moi toutes choses, hormis De ne tuer point ceux qu'elle croit ennemis, Elle m'estime tel encor que ma pensée
I Ne l’ait pas ſeulement, que ie ſçache offencee.	I Ne l'ait pas seulement, que ie sçache offencee.
Mais comme tel pourtant ie m'en vay la venger, Sur moy d’vn innocent et malheureux berger.	Mais comme tel pourtant ici m'en vais la venger, Sur moi d'un innocent et malheureux berger.
Aſtree à part ſoy.	Astre à part soi.
Dieux que ie ſens deſia mon ame inquietee, De combien de transports me trouuay-ie agitee, Sans doute Celadon trop prompt à m'obeyr Perdra cette Alexis que ie ne puis hayr:	Dieux que ici sens déjà mon âme inquiète, De combien de transports me trouvai-je agitée, Sans doute Céladon trop prompt à m'obéir Perdra cette Alexis que tu ne puis haïr:
S’il faut que cela ſoit i’en feray la vengeance Cherchant dedans ma mort vne prompte allegeance	S'il faut que cela soit j'en ferai la vengeance Cherchant dedans ma mort une prompte allégeance
Leonide.	Léonide.
Cotre ce mandement ne vous obſtinez pas, Ie veux mourir pluſtoſt que vous quitter d’vn pus	Cotre ce mandement ne vous obstinez pas, Je veux mourir plutôt que vous quitter d'un pus
AItICC.	AItIC.
Mais le traiſtre abuſant de ma ſimple innocence, A contre moy commis vne trop grande offence.	Mais le traître abusant de ma simple innocence, A contre moi commis trop grande offense.
Alexis.	Alexis.
Tom le monde n’a pas dequoy me detourner Du treſpas que ſa bouche a voulu m’ordonner:	Tom le monde n'a pas dequoy me détourner Du trépas que sa bouche a voulu m'ordonner:
Non, ne m'en parlez plus, elle eſt toute concluë, Aſtree la demande, & ie l'ay réjotut.	Non, ne m'en parlez plus, elle est toute conclue, Astre la demande, et toujours l'ai réjotut.
Aſtree.	Astreée.
De ſon mal toutesfois i’ay du reſſentiment, Dieux qu’il eſt malaiſé de hayr vn amant.	De son mal toutefois j'ai du ressentiment, Dieux qu'il est malaisé de haïr un amant.
Alexis.	Alexis.
Belle Nymphe ſouffrez que ie donne à fa haine, Ce que m'a commandé cette belle inhumaine.	Belle Nymphe souffrez que Seigneur donne à fa haine, Ce que m'a commandé cette belle inhumaine.
Leonide.	Léonide.
Lors qu'Aſtree a laſché ce funeste decret, C’estoit contre Alexis qu’elle a donné l’arreſt, Non contre Celadon que ie ſçay bien qu’elle ayme.	Lors qu'Astre a lasché ce funeste décret, C'était contre Alexis qu'elle a donné l'arrêt, Non contre Céladon que de sçay bien qu'elle aime.
Alexis.	Alexis.
Sous quel nom que ce ſoit c’eſt parler à moy meſme, Ceſt pourquoy c'eſt en pain qu'on me veut ſecourir, Elle ordonne ma mort, il me faut donc mourir.	Sous quel nom que ce soit c'est parler à moi -même, Cest pourquoi c'est en pain qu'on me veut secourir, Elle ordonne ma mort, il me faut donc mourir.
Leonide.	Léonide.
Le deſeſpoir l’emporte, ô Nymphe infortunee!	Le désespoir l'emporte, ô Nymphe infortunée!
Dopioruuio berger, cruelle deſtinee, Il en faut promptement le Druide aduertir Pour aller s’il ſe peut ſon deſſein diuertir.	Dopiorvio berger, cruelle destine, Il en faut promptement le Druide avertir Pour aller s'il se peut son dessein divertir.
Diane.	Diane.
C’eſt maintenant qu’il faut tout à fait ſe reſoudre De mourir ou ſouffrir le dernier coup de foudre, Qui me doit pour iamais oſter tous mes plaiſirs, Et ruyner du tout mes plus chaſtes deſirs, Mais quel bruit de ſouſpirs viẽt iuſqu’à mes oreilles?	C'est maintenant qu'il faut tout à fait se résoudre De mourir ou souffrir le dernier coup de foudre, Qui me doit pour jamais ôter tous mes plaisirs, Et ruiner du tout mes plus chastes désirs, Mais quel bruit de soupirs viẽt jusqu'à mes oreilles?
Alllee.	Alllée.
Quelles peines voit on à mes peines pareilles, I ay deſiré ſa mort, & pourtant ie ne puis Y penſer ſeulement ſans ſouffrir mille ennuis.	Quelles peines voit on à mes peines pareilles, I ai désiré sa mort, et pourtant grande ne puis Y penser seulement sans souffrir mille ennuis.
Diane.	Diane.
C’eſt ma compagne helas!	C'est ma compagne hélas!
quel ſubiect de triſteſſe De nouueau dans ces lieux ſa pauure ame rebleſſe, Il l’en faut diuertir, ma ſœur quelles douleurs Font tomber de vos yeux cet orage de pleurs.	quel sujet de tristesse De nouveau dans ces lieux sa pauvre âme reblesse, Il l'en faut divertir, ma sœur quelles douleurs Font tomber de vos yeux cet orage de pleurs.
I iu	I Ju
Aſtree.	Astreée.
Celles que Celadon me cauſe, Diane.	Celles que Céladon me cause, Diane.
chere Aſtree, Voſtre plainte eſt commune à toute la contree, L’axcez dedans le dueil eſt touſiours condamné Et voſtre eſprit en eſt trop longuement geſné.	chère Astre, Votre plainte est commune à toute la contrée, L'axcès dedans le deuil est toujours condamné Et votre esprit en est trop longuement gêné.
Aſtree.	Astreée.
Ah!	Ah!
vous ne ſçauez pas la ſubtile impoſture Dont on vient d’abuſer ma credule nature, Et qu’à matin la Nymphe ayant fait le diſcours De ce qui s’eſt paßé dans toutes nos amours.	vous ne savez pas la subtile imposture Dont on vient d'abuser ma crédule nature, Et qu'à matin la Nymphe ayant fait le discours De ce qui s'est passé dans toutes nos amours.
La ruſe du berger, ſon abſence, les peines Que nous donna ſon pere en ſes trauerſes vaines, Les lettres, les Sonnets, en fin le plus ſecret Des moindres actions de noſtre amour diſcret.	La ruse du berger, son absence, les peines Que nous donna son père en ses traverses vaines, Les lettres, les Sonnets, en fin le plus secret Des moindres actions de notre amour discret.
Depuis qu'au temple il eut ſa premiere neſſance, I'ay ſoupçonné qu’ell’eut quelqu’autre cogneßãce.	Depuis qu'au temple il eut sa première nessance, J'ai soupçonné qu'ell’ eut quelqu'autre cognessãce.
Et qu'elle me pourroit faire obtenir ce don De voir eneure ineuup monueffunes Celadon.	Et qu'elle me pourrait faire obtenir ce don De voir enure invup monueffunes Céladon.
Diane.	Diane.
Les mortels ne ſçauroient, ny les Demons enſemble Rappeler l’ame aux corps que la mort deſaſſemble.	Les mortels ne sauraient, Seigneur les Demble ensemble Rappeler l'âme aux corps que la mort désassemble.
Aſtree.	Astreée.
Dieux elle a trop eſté puiſſante pour ce point, Et c’eſt le ſeul regret qui maintenant m'eſpoint.	Dieux elle a trop été puissante pour ce point, Et c'est le seul regret qui maintenant m'époint.
Il eſt vray ie l’ay veu, mais helas:	Il est vrai assez l'ai vu, mais hélas:
le perfide Portoit le traiſtre habit d’vne fille Druide, Sous lequel abuſant de ma credulité Il a faict vne embuſche à mon honneſteté.	le perfide Portait le traître habit d'une fille Druide, Sous lequel abusant de ma crédulité Il a fait une embûche à mon honnêteté.
Mais ſa mort & la mienne en vengeant ſon offence Contre les mediſans ſeront à ma deffence.	Mais sa mort et la mienne en vengeant son offense Contre les médisants seront à ma défense.
Diane.	Diane.
Ma ſœur que dites vous?	Ma sœur que dites -vous?
Aſtree.	Astreée.
la pure verité.	la pure vérité.
Diane.	Diane.
Celadon iouït donc encor de la elarté.	Céladon jouit donc encor de la élarté.
Aſtree.	Astreée.
