JULIE, Fille d’Oronte.	JULIE, Fille d'Oronte.
Un peu de patience, nous allons raiſonner ſur voſtre affaire devant tous;	Un peu de patience, nous allons raisonner sur votre affaire devant tous;
ce nous le rerons e François, pour eſtre plus intelligibles.	ce nous le rerons e Français, pour être plus intelligibles.
M.	M.
PouR	PouR
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Quel grand raiſonnement faut-il pour manger un morceau?	Quel grand raisonnement faut-il pour manger un morceau?
1.	1.
MEDECIN.	MÉDECIN.
Comme ainſi ſoit qu’on ne puiſſe guerir une maladie, qu’on ne la connoiſſe parfaitement, & qu’on ne la puiſſe parfaitement connoiſtre, ſans en bien établir l’idée particuliere & la veritable eſpece, par ſes ſignes diagnoſtiques & prognoſtiques;	Comme ainsi soit qu'on ne puisse guérir une maladie, qu'on ne la connaisse parfaitement, et qu'on ne la puisse parfaitement connaître, sans en bien établir l'idée particulière et la véritable espèce, par ses signes diagnostiques et prognostiques;
vous me permettrez, Monſieur noſtre Ancien, d’entrer en conſideration de la maladie dont il s’agit, avant que de toucher à la therapeutique & aux remedes qu’il nous conviendra faire pour la parfaite curation d’icelle.	vous me permettrez, Monsieur notre Ancien, d'entrer en considération de la maladie dont il s'agit, avant que de toucher à la thérapeutique et aux remèdes qu'il nous conviendra faire pour la parfaite curation d'icelle.
Je dis donc, Monſieur, avec voſtre permiſſion, que noſtre Malade icy preſent, eſt malheureuſement attaqué, affecté, poſſedé, travaillé de cette ſorte de folie que nous nommons fort bien, mélancolie hypocondriaque, eſpece de folie tres- fâcheuſe, & qui ne demande pas moins qu’un Eſculape comme vous, conſommé dans noſtre Art;	Je dis donc, Monsieur, avec votre permission, que notre Malade ici présent, est malheureusement attaqué, affecté, possédé, travaillé de cette sorte de folie que nous nommons fort bien, mélancolie hypocondriaque, espèce de folie très- fâcheuse, et qui ne demande pas moins qu'un Écule comme vous, consommé dans notre Art;
vous, dis-je, qui avez blanchy, comme on dit, ſous le harnois, & auquel il en a tant paſſé par les mains de toutes les façons.	vous, dis-je, qui avez blanchi, comme on dit, sous le harnais, et auquel il en a tant passé par les mains de toutes les façons.
Je l’appelle mélancolie hypocondriaque, pour la diſtinguer des deux autres;	Je l'appelle mêlancolie hypocondriaque, pour la distinguer des deux autres;
car le celebre Galien établit doctement à ſon ordinaire trois eſpeces de cette maladie que nous nommons mélancolie, ainſi appellée non ſeulement par les Latins, mais encor par les Grecs;	car le célèbre Galien établit doctement à son ordinaire trois espèces de cette maladie que nous nommons mélancolie, ainsi appelée non seulement par les Latins, mais encor par les Grecs;
ce qui eſt bien à remarquer pour noſtre affaire:	ce qui est bien à remarquer pour notre affaire:
La premiere, qui vient du propre vice du cerveau;	La première, qui vient du propre vice du cerveau;
la ſeconde, qui vient de tout le ſang, fait & rendu atrabilaire;	la seconde, qui vient de tout le sang, fait et rendu atrabilaire;
la troiſiéme, appellée hipocondriaque, qui eſt la noſtre, laquelle procede du vice de quelque partie du bas ventre, & de la region inferieure, mais particulierement de la ratte, dont la chaleur & l’inflammation porte au cerveau de noſtre Malade beaucoup de fuligines épaiſſes & craſſes, dont la vapeur noire & maligne, cauſe dépravation aux fonctions de la faculté princeſſe, & fait la maladie dont par noſtre raiſonnement il eſt manifeſtement atteint & convaincu.	la troisième, appelée hypocondriaque, qui est la nôtre, laquelle procède du vice de quelque partie du bas ventre, et de la région inférieure, mais particulièrement de la rate, dont la chaleur et l'inflammation porte au cerveau de notre Malade beaucoup de figines ès et crasses, dont la vapeur noire et maligne, cause dépravation aux fonctions de la faculté princesse, et fait la maladie dont par notre raisonnement il est manifestement atteint et convaincu.
Qu’ainſi ne ſoit, pour diagnoſtique inconteſtable de ce que je dis, vous n’avez qu’à conſiderer ce grand ſerieux que vous voyez;	Qu'ainsi ne soit, pour diagnostique incontestable de ce que je dis, vous n'avez qu'à considérer ce grand sérieux que vous voyez;
cette triſteſſe accompagnée de crainte & de défiance, ſignes pathognomiques & individuels de cette maladie, ſi bien marquée chez le Divin vieillard Hipocrate;	cette tristesse accompagnée de crainte et de défiance, signes pathognomiques et individuels de cette maladie, si bien marquée chez le Divin vieillard Hipocrate;
cette phiſionomie, ces yeux rouges & hagards, cette grande barbe, cette habitude du corps menuë, greſle, noire & veluë, leſquels ſignes le dénotent tres-affecté de cette maladie, procedante du vice des hipocondres;	cette physionomie, ces yeux rouges et hagards, cette grande barbe, cette habitude du corps menue, grêle, noire et vue, lesquels signes le dénotent très-affecté de cette maladie, procédante du vice des hypocondres;
laquelle maladie par laps de temps naturaliſée, envieillie, habituée, & ayant pris droit de bourgeoiſie chez luy, pourroit bien dégenerer, ou en manie, ou en phtiſie, ou en apoplexie, ou meſme en fine phreneſie & fureur.	laquelle maladie par laps de temps naturalisée, envieillie, habituée, et ayant pris droit de bourgeoisie chezîle, pourrait bien dégénérer, ou en manie, ou en phtisie, ou en apoplexie, ou même en fine phrénésie et fureur.
Tout cecy ſupoſé, puis qu’une maladie bien connuë eſt à demy guerie, car ignoti nulla eſt curatio morbi, il ne vous ſera pas difficile de convenir des remedes que nous devons faire à Monſieur.	Tout ceci suposé, puis qu'une maladie bien connue est à demi guérie, car ignoti nulla est curatio morbi, il ne vous sera pas difficile de convenir des remèdes que nous devons faire à Monsieur.
Premierement, pour remedier à cette pletore obturante, & à cette cacochimie luxuriante par tout le corps, je ſuis d’avis qu’il ſoit phlebotomiſé liberalement;	Premièrement, pour remédier à cette pletore obturante, et à cette cacochimie luxuriante par tout le corps, je suis d'avis qu'il soit phlebotomisé libéralement;
c’eſt à dire que les ſaignées ſoient frequentes & plantureuſes:	c'est -à -dire que les saignées soient fréquentes et plantureuses:
En premier lieu de la baſilique, puis de la cephalique;	En premier lieu de la basilique, puis de la céphalique;
& meſme ſi le mal eſt opinaſtre, de luy ouvrir la veine du front, & que l’ouverture ſoit large, afin que le gros ſang puiſſe ſortir;	et même si le mal est opinastre, de lui ouvrir la veine du front, et que l'ouverture soit large, afin que le gros sang puisse sortir;
& en meſme temps, de le purger, deſopiler, & évacüer par purgatifs propres & convenables;	et en même temps, de le purger, désopiler, et évacuer par purgatifs propres et convenables;
c’eſt à dire par cholaçogues, melanogogues, & cætera;	c'est -à -dire par cholaçogues, melanogogues, et cætera;
& comme la veritable ſource de tout le mal, eſt ou une humeur craſſe & feculente, ou une vapeur noire & groſſiere qui obſcurcit, infecte & ſalit les eſprits animaux, il eſt à propos en ſuite qu’il prenne un bain d’eau pure & nette, avec force petit lait clair, pour purifier par l’eau la feculence de l’humeur craſſe, & éclaircir par le lait clair la noirceur de cette vapeur;	et comme la véritable source de tout le mal, est ou une humeur crasse et féculente, ou une vapeur noire et grossière qui obscurcit, infecte et salit les esprits animaux, il est à propos en suite qu'il prenne un bain d'eau pure et nette, avec force petit lait clair, pour purifier par l'eau la féculence de l'humeur crasse, et éclaircir par le l' eau la noirceur de cette vapeur;
mais avant toute choſe, je trouve qu’il eſt bon de le réjouir par agreables Converſations, Chants & Inſtrumens de Muſique, à quoy il n’y a pas d’inconvenient de joindre des Danſeurs, afin que leurs mouvemens, diſpoſition & agilité puiſſent exciter & réveiller la pareſſe de ſes eſprits engourdis, qui occaſionne l’épaiſſeur de ſon ſang, d’ou procede la maladie.	mais avant toute chose, je trouve qu'il est bon de le réjouir par agréables Conversations, Chants et Instruments de Musique, à quoi il n'y a pas d'inconvénient de joindre des Danseurs, afin que leurs mouvements, disposition et agilité puissent exciter et réveiller la paresse de ses esprits engourdis, qui occasionne l'épaisseur de son sang, d'ou cède la maladie.
Voila les remedes que j’imagine, auxquels pourront eſtre ajoutez beaucoup d’autres meilleurs par Monſieur noſtre Maiſtre & Ancien, Iuſvant l’expenence, jugement, lumiere & ſuffiſance qu’il s’eſt acquiſe dans noſtre Art.	Voilà les remèdes que j'imagine, auxquels pourront être ajoutez beaucoup d'autres meilleurs par Monsieur notre Maître et Ancien, Jusvant l'expensence, jugement, lumière et suffisance qu'il s'est acquise dans notre Art.
Dixi.	Dixi.
2.	2.
MEDECIN.	MÉDECIN.
A Dieu ne plaiſe, Monſieur, qu’il me tombe en penſée d’ajouter rien à ce que vous venez de dire:	À Dieu ne plaise, Monsieur, qu'il me tombe en pensée d'ajouter rien à ce que vous venez de dire:
vous avez ſi bien diſcouru ſur tous les ſignes, les ſimptomes & les cauſes de la maladie de Monſieur;	vous avez si bien discouru sur tous les signes, les symptômes et les causes de la maladie de Monsieur;
Ie raiſonnement que vous en avez fait eſt ſi docte & ſi beau, qu’il eſt impoſſible qu’il ne ſoit pas fou, & mélancolique hypocondriaque;	Je raisonnement que vous en avez fait est si docte et si beau, qu'il est impossible qu'il ne soit pas fou, et mélancolique hypocondriaque;
& quand il ne le ſeroit pas, il faudroit qu’il le devinſt, pour la beauté des choſes que vous avez dites, & la juſteſſe du raiſonnement que vous avez fait.	et quand il ne le serait pas, il faudrait qu'il le devinst, pour la beauté des choses que vous avez dites, et la justesse du raisonnement que vous avez fait.
Ouy, Monſieur, vous avez dépeint fort graphiquement, graphice depinxiſti, tout ce qui appartient à cette maladie;	Oui, Monsieur, vous avez dépeint fort graphiquement, graphice dépinxisti, tout ce qui appartient à cette maladie;
il ne ſe peut rien de plus doctement, ſagement, ingenieuſement conceu, penſé, imaginé, que ce que vous avez prononcé au ſujet de ce mal, ſoit pour la diagnoſe, ou la prognoſe, ou la therapie;	il ne se peut rien de plus doctement, sagement, ingénieusement conçu, pensé, imaginé, que ce que vous avez prononcé au sujet de ce mal, soit pour la diagnose, ou la prognose, ou la thérapie;
& il ne me reſte rien icy, que de feliciter Monſieur, d’eſtre tombé entre vos mains, & de luy dire qu’il eſt trop heureux d’eſtre fou, pour éprouéprouver l’efficace & la douceur des remedes que vous avez ſi judicieuſement propoſez:	et il ne me reste rien ici, que de féliciter Monsieur, d'être tombé entre vos mains, et de lui dire qu'il est trop heureux d'être fou, pour éprouéprouver l'efficace et la douceur des remèdes que vous avez si judicieusement proposez:
Je les approuve tous, manibus & pedibus deſcendo in tuam ſententiam.	Je les approuve tous, manibus et pédibus descendo in tuam sententiam.
Tout ce que j’y voudrois, c’eſt de faire les ſaignées & les purgations en nombre impair, Numero Deus impare gaudet:	Tout ce que j'y voudrais, c'est de faire les saignées et les purgations en nombre impair, Numero Deus impare gaudet:
de prendre le lait clair avant le bain;	de prendre le lait clair avant le bain;
de luy compoſer un fronteau où il entre du ſel;	de grands composer un fronteau où il entre du sel;
le ſel eſt ſimbole de la ſageſſe:	le sel est symbole de la sagesse:
de faire blanchir les murailles de ſa chambre, pour diſſiper les tenebres de ſes eſprits, Album eſt diſgregativum viſus, & de luy donner tout à l’heure un petit Lavement, pour ſervir de prélude & d’introduction à ces judicieux remedes, dont s’il a à guerir, il doit lecevoi du loulagement.	de faire blanchir les murailles de sa chambre, pour dissiper les ténèbres de ses esprits, Album est disgrégativum visus, et de lui donner tout à l'heure un petit Lavement, pour servir de prude et d'introduction à ces judicieux remèdes, dont s'il a à guérir, il doit le du loulagement.
Panle le Cierj que ces remedes, Monſieur, qui ſont les voſtres, réüſſiſſent au Malade ſelon noſtre intention.	Panle le Cierj que ces remèdes, Monsieur, qui sont les vôtres, réussissent au Malade selon notre intention.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Meſſieurs, il y a une heure que je vous écoute.	Messieurs, il y a une heure que je vous écoute.
Eſt-ce que nous joüons icy une Comedie?	Est-ce que nous jouons ici une Comédie?
I.	I.
MEDECIN.	MÉDECIN.
Non, Moment, hous ne jouono ponme	Non, Moment, hous ne jouono ponme
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Qu’eſt-ce que tout cecy?	Qu'est-ce que tout ceci?
& que voulez-vous dire avec voſtre galimathias & vos ſottiſes?	et que voulez-vous dire avec votre galimathias et vos sottises?
I.	I.
MEDECIN.	MÉDECIN.
Bon, dire des injures.	Bon, dire des injures.
Voila un diagnoſtique qui nous manquoit pour la confirmation de ſon mal, & cécy pourroit bien tourner en manie.	Voilà un diagnostique qui nous manquait pour la confirmation de son mal, et céci pourrait bien tourner en manie.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Avec qui m’a-t-on mis icy?	Avec qui m'a-t-on mis ici?
Il crache deux ou trois fois.	Il crache deux ou trois fois.
IHHLECIN.	JHLECIN.
Autre diagnoſtique:	Autre diagnostique:
La ſputation frequente.	La sputation fréquente.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Laiſſons cela, & ſortons d’icy.	Laissons cela, et sortons d'ici.
1.	1.
MEDECIN.	MÉDECIN.
Autre encor:	Autre encor:
L’inquietude de changer de place.	L'inquiétude de changer de place.
B 4 M.	B 4 M.
Poux	Poux
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Qu’eſt-ce donc que toute cette affaire?	Qu'est-ce donc que toute cette affaire?
& que me voulez-vous?	et que me voulez-vous?
1.	1.
MEDECIN.	MÉDECIN.
rous guerir, ſelon l’ordre qui nous a eſté donné.	rous guérir, selon l'ordre qui nous a été donné.
Mi AOuRCEHAUNAC.	Mi AOuCEHAUNAC.
Me guerir?	Me guérir?
Ouy.	Oui.
I.	I.
MEDECIN.	MÉDECIN.
M.	M.
POURCEAuGNAC.	POURCEAuGNAC.
Parbleu je ne ſuis pas malade.	Parbleu je ne suis pas malade.
1.	1.
MEDECIN.	MÉDECIN.
Mauvais ſigne, lors qu’un Malade ne ſent pas ſon maſ	Mauvais signe, lors qu'un Malade ne sent pas son mas
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Je vous dis que je me porte bien.	Je vous dis que je me porte bien.
1.	1.
MEDECIN.	MÉDECIN.
Nous ſçavons mieux que vous comment vous vous portez, & nous ſommes Medecins, qui voyons clall dans voitle coimitution.	Nous Savons mieux que vous comment vous vous portez, et nous sommes Médecins, qui voyons clall dans voitle coimitution.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Si vous eſtes Medecins, je n’ay que faire de vous;	Si vous êtes Médecins, je n'ai que faire de vous;
& je me moque de la Medecine.	et je me moque de la Médecine.
I.	I.
MEDECIN.	MÉDECIN.
Hon, hon;	Hon, hon;
voicy un Homme plus fou que nous ne pemens.	voici un Homme plus fou que nous ne pements.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Mon Pere & ma Mere n’ont jamais voulu de remedes, & ils ſont morts tous deux ſans l’aſſiſtance des Medecins.	Mon Père et ma Mère n'ont jamais voulu de remèdes, et ils sont morts tous deux sans l'assistance des Médecins.
I.	I.
MEDECIN.	MÉDECIN.
Je ne m’étonne pas s’ils ont engendré un Fils qui eſt inſenſé.	Je ne m'étonne pas s'ils ont engendré un Fils qui est insensé.
Allons, procedons à la curation, & par la douceur exhilarante de l’harmonie, adouciſſons, lenifions & accoiſons l’aigreur de les elpnis, qde je voy preſts à s’enffammer.	Allons, procédons à la curation, et par la douceur exhilarante de l'harmonie, adoucissons, lénifions et accoisons l'aigreur de les élpînis, qde je vo prêts à s'enffammer.
SCE	SCE
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Ue Diable eſt-ce là?	Que Diable est-ce là?
Les Gens de ce Païs-cy ciont lis ihienien:	Les Gens de ce Pays-cy ciont lis ihienien:
je n’ay jamais rien veu du lel, & jeny coipiens fendulout.	je n'ai jamais rien vu du lel, et jeni coipiens fendulout.
SCENE X.	SCÈNE X.
DEUX MUSICIENS Italiens, en Medecins croteſques, ſuivis de HUIT MATASSINS, chanten ces Parotes, ſoutemnes de la Symphonie d’un melange d’Inſtrumens.	DEUX MUSICIENS Italiens, en Médecins crotesques, suivis de HUIT MATASSINS, chanten ces Parotes, soutemnes de la Symphonie d'un mélange d'Instruments.
Les deux Muſiciens, (On di, bon di, bon di, Non vi laſciate uccidere Dal dolor malinconico, Noi vi faremo ridere Col noſtro santo harmonics, Sol' per guarirvi Siamo venuti qui Bon di, bon di, bon di.	Les deux Musiciens, (On di, bon di, bon di, Non vi lasciate uccière Dal dolor malinconico, Noi vi faremo ride Col ontro santo harmonics, Sol' per guarirvi Siamo venut qui Bon di, bon di, bon di.
1.	1.
Muſicien.	Musicien.
Altro non è la pazzia Che malinconia.	Altro non la pazzia Che malinconia.
Il malato Non e diſperate, Se vol pigliar un poeo d’allegria Altro non è la pazzia Che malinconia.	Il malato Non est dispérate, Se vol igliar un poeo d'allegria Altro non ète la passia Che malinconia.
2.	2.
Muſicien.	Musicien.
Sù, cantate, ballate, ridete, Et ſe far meglio volete, Quando ſentite il deliro vicino, Pigliate del vino, E qualche volta un po po di tabac Alégramente Monſu Pourceaugnae.	Sù, cantate, ballate, ridète, Et se far meglio vole, Quando sentite il déliro vicino, Pigliate del vino, É qualche volta un pô pô di tabac Alégramente Monsieur Pourceaugnae.
LAP SCENE XI.	LAP SCÈNE XI.
AIRE, M.	AIRE, M.
POURCEAUGNAC.	POURCEAUGNAC.
L’APOTIQUAIRE.	L'APOTIQUAIRE.
Onſieur, voicy un petit ſeméde, un petit reV mede, qu’il vous faut prendre, s’il vous plaiſt, s’il vous plaiſt.	Onsieur, voici un petit seméde, un petit reV mède, qu'il vous faut prendre, s'il vous plaît, il vous plaît.
M.	M.
POURCEAHGNAC.	POURCEAHGNAC.
Comment?	Comment?
Je n’ay que faire de cela.	Je n'ai que faire de cela.
L’APOTIQUAIRE.	L'APOTIQUAIRE.
Il a eſté ordonné, Monſieur, il a eſté ordonné.	Il a été ordonné, Monsieur, il a été ordonné.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Ah, que de bruit.	Ah, que de bruit.
L’APOTIQUAIRE.	L'APOTIQUAIRE.
Prenez-le, Monſieur, prenez le:	Prenez-le, Monsieur, prenez le:
Il ne vous fera point de mal, il ne vous ſera point de mal.	Il ne vous fera point de mal, il ne vous sera point de mal.
Ah.	Ah.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
L’APOTIQUAIRE.	L'APOTIQUAIRE.
C’eſt un petit Cliſtere, un petit Cliſtere, benin, benin;	C'est un petit Cliste, un petit Clistère, bénin, bénin;
il eſt benin, benin:	il est bénin, bénin:
là, prenez, prenez, prenez, Monſieur;	là, prenez, prenez, prenez, Monsieur;
c’eſt pour déterger, pour déterger, deterger.	c'est pour déterger, pour déterger, déterger.
Les deux Muſiciens accompagnez des Mataſſins & des Inſtrumens, dancent à l’entour de M.	Les deux Musiciens accompagnés des Matassins et des Instruments, dancent à l'entour de M.
de Pourceaugnas, & s’arreſtant devant luy, chantent, Piglia lo ſù Signor Monſu, Piglia-lo, piglia-lo, piglia-lo ſu, Che non ti fara male, Piglia-lo ſu queſto ſervitiale, Piglia-lo ſu Signor Monſu, Piglia-lo, piglia-lo, piglia-lo ſù.	de Pourceaugnas, et s'arrêtant devant lui, chantent, Piglia lo sù Signor Monsu, Piglia-lo, pliglia-lo, piglia-lo su, Che non ty fara male, Piglia-lo qu' questo servitale, Piglia-lo , Pignor Monsu, Piglia-lo, Piglia-lo, piglia-lo sù.
M.	M.
POURCEAUGNAC fuyant.	POURCEAUGNAC fuyant.
Allez-vous-en au Diable.	Allez-vous-en au Diable.
L’Apotiquaire, les deux Muſiciens, & les Mataſſins le ſuivent, tous une Seringue a la main.	L'Apotiquaire, les deux Musiciens, et les Matassins le suivent, tous une Seringue a la main.
Fin du Premier Acte.	Fin du Premier Acte.
6	6
M.	M.
DE FOURCEAUGNAC, ACTE II.	DE FOURCEAUGNAC, ACTE II.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
SBETGANT, I.	SBETGANT, I.
MEDECIN.	MÉDECIN.
1.	1.
MEDECIN.	MÉDECIN.
L a forcé tous les obſtacles que j’avois friis;	L a forcé tous les obstacles que j'avais friis;
ce sert derobe aux femedes que je commençois de luy faire.	ce sert derobe aux femedes que je commençais de lui faire.
BRIGANI.	BRIGANI.
C’eſt eſtre bien ennemy de ſoymeſme, que de fuir des remedes auſſi ſalutaires que les voſtres.	C'est être bien ennemi de soymesme, que de fuir des remèdes aussi salutaires que les vôtres.
IMAHDECIN.	JMAHDECIN.
Marque d’un cerveau démonté, & d’une raiſon depravée, que de lle voulon pas gueii.	Marque d'un cerveau démonté, et d'une raison dépravée, que de lèle voulon pas guéri.
BRIGANI.	BRIGANI.
Vous l’auriez gueri haut la main.	Vous l'auriez guéri haut la main.
I.	I.
ME DECIN.	ME DECIN.
Sans doute, quand il y auroit eu complication de doule iuidenleos	Sans doute, quand il y aurait eu complication de doule iuidenleos
SBRIGANI.	SBRIGANI.
Cependant voila cinquante Piſtoles bien acquiſes, qu’il vous fait perdre.	Cependant voilà cinquante Pistoles bien acquises, qu'il vous fait perdre.
1.	1.
MEDECIN.	MÉDECIN.
Moy, je n’entens point les perdre, & pretens le guerir en dépit qu’il en ait.	Moi, je n'entends point les perdre, et prétends le guérir en dépit qu'il en ait.
Il eſt lié & engagé à mes remedes, & je veux le faire ſaiſir où je le trouveray, comme Delerteur de la Medecie, & Infracteur de mes Ordonnances.	Il est lié et engagé à mes remèdes, et je veux le faire saisir où je le trouverai, comme Délerteur de la Médecie, et Infracteur de mes Ordonnances.
SBRIGANI.	SBRIGANI.
Vous avez raiſon, vos remedes eſtoient un coup ſeur, & c’eſt de l’argent qu’il vous vole.	Vous avez raison, vos remèdes étaient un coup sûr, et c'est de l'argent qu'il vous vole.
I.	I.
MEDECIN.	MÉDECIN.
Où puis-je en avoir des nouvelles?	Où puis-je en avoir des nouvelles?
BRIGANI.	BRIGANI.
Chez le bon Homme Oronte, aſſurement, dont il vient épouſer la Fille, & qui ne ſçachant rien de l’infirmité de ſon Gendre futur, voudra peut-eſtre ſe haſter de conclure le Marfage.	Chez le bon Homme Oronte, assurément, dont il vient épouser la Fille, et qui ne sachant rien de l'infirmité de son Gendre futur, voudra peut-être se hâter de conclure le Marfage.
1.	1.
MEDECIN.	MÉDECIN.
Je vais luy parler tout à l’heure.	Je vais lui parler tout à l'heure.
DIIGANI.	DIIGANI.
Vous ne ferez point mal.	Vous ne ferez point mal.
1.	1.
MEDECIN.	MÉDECIN.
Il eit nypotneque à ies Comuſtations;	Il eit nypotneque que à Comustations;
& un Malade ne ſe moquera pas d’un Medecin.	et un Malade ne se moquera pas d'un Médecin.
BRIGANI.	BRIGANI.
C’eſt fort bien dit à vous;	C'est fort bien dit à vous;
& ſi vous m’en croyez, vous ne ſouffrirez point qu’il ſe marie, que vous ne Pujen pume todt vonre lou.	et si vous m'en croyez, vous ne souffrirez point qu'il se marie, que vous ne Pujen pume todt vonre lou.
1.	1.
MEDECIN.	MÉDECIN.
Laiſſez-moy faire.	Laissez-moi faire.
SBRIGANI.	SBRIGANI.
Je vais de mon coſté dreſſer une autre batterie, & le Beau-pere eſt auſſi dupe que le Gendre.	Je vais de mon côté dresser une autre batterie, et le Beau-père est aussi dupe que le Gendre.
SCENE II.	SCÈNE II.
ORONTE, IMEDECIN.	ORONTE, IMEDECIN.
1.	1.
MEDECIN.	MÉDECIN.
Ij Ous avez, Monſieur, un certain Monſieur de Pourceaugnac, qui doit épouſer voſtre Fille?	Ij Us avez, Monsieur, un certain Monsieur de Pourceaugnac, qui doit épouser votre Fille?
DRONTE.	DRONTE.
Ouy, je l’attens de Limoges, & il devroit eſtre arrivé.	Oui, je l'attends de Limoges, et il devrait être arrivé.
1.	1.
MEDECIN.	MÉDECIN.
Auſſi l'eſt-il, & il s’en eſt fuy de chez moy, aprés y avoir eſté mis;	Aussi l'est-il, et il s'en est fui de chez moi, après y avoir été mis;
mais je vous defens de la part de la Medecine, de proceder au mariage que vous avez conclu, que je ne l’aye deuëment preparé pour cela, & mis en eſtat de procréer des Enfans bien conditionnez & de corps & d’eſprit.	mais je vous défends de la part de la Médecine, de procéder au mariage que vous avez conclu, que je ne l'aie deuëment préparé pour cela, et mis en état de procréer des Enfants bien conditionnés et de corps et d'esprit.
ORONTE.	ORONTE.
comient dont?	comient dont?
1.	1.
MEDECIN.	MÉDECIN.
Voſtre pretendu Gendre a eſté conſtitué mon Malade:	Votre prétendu Gendre a été constitué mon Malade:
Sa Maladie qu’on m’a donné à guerir, eſt un meuble qui m’appartient, & que je compte entre mes effets;	Sa Maladie qu'on m'a donné à guérir, est un meuble qui m'appartient, et que je compte entre mes effets;
& je vous declare que je ne pretens point qu’il ſe marie, qu’au prealable il n’ait ſatisfait à la Medecie, & iuor les remedes que je luy ay ordonnez.	et je vous déclare que je ne prétends point qu'il se marie, qu'au préalable il n'ait satisfait à la Médecie, et juor les remèdes que je lui ai ordonnez.
ORONTE.	ORONTE.
Il a quelque mal?	Il a quelque mal?
AJe.	AJe.
1.	1.
MEDECIN.	MÉDECIN.
ORONTE.	ORONTE.
Et quel mal, s’il vous plaſſt?	Et quel mal, s'il vous plast?
1.	1.
MEDECIN.	MÉDECIN.
Ne vous en mettez pas en peine.	Ne vous en mettez pas en peine.
RONTE.	RONTE.
Eſt-ce quelque mal.	Est-ce quelque mal.
1.	1.
MEDECIN.	MÉDECIN.
Les Medecins ſont obligez au ſecret:	Les Médecins sont obligés au secret:
Il ſuffit que je vous ordonne, à vous & à voſtre Fille, de ne point celebrer, ſans mon conſentement, vos Nopces avec luy, ſur peine d’encourir la diſgrace de la Faculté, & d’eſtre accablez de toutes les Maladies qu’il nous plaira.	Il suffit que je vous ordonne, à vous et à votre Fille, de ne point célébrer, sans mon consentement, vos Noces avec mieux, sur peine d'encourir la disgrâce de la Faculté, et d'être accablez de toutes les Maladies qu'il nous plaira.
JRONTE.	JRONTE.
Je n’ay garde, ſi cela eſt, de faire le Mariage.	Je n'ai garde, si cela est, de faire le Mariage.
I.	I.
MEDECIN.	MÉDECIN.
On me l’a mis entre les mains, & il eſt obligé d’eſtre mon Malade.	On me l'a mis entre les mains, et il est obligé d'être mon Malade.
ORONTE.	ORONTE.
A la bonne heure.	À la bonne heure.
1.	1.
MEDECIN.	MÉDECIN.
Il a beau fuïr, je le feray condamner par Arreſt à ſe faire guerir par moy.	Il a beau fuir, je le ferai condamner par Arrêt à se faire guérir par moi.
OROR	OROR
J'y comens.	J'y comens.
ORONTE.	ORONTE.
I' MEDECIN.	J' MÉDECIN.
Ouy, il faut qu’il creve, où que je le gueriſſe.	Oui, il faut qu'il crève, où que je le guérisse.
DRONTE.	DRONTE.
Je le veux bien.	Je le veux bien.
1.	1.
MEDECIN.	MÉDECIN.
Et ii je ne le trouve, je mren prendray à vous, & je vous gueriray au lieu de luy.	Et ji je ne le trouve, je mren prendrai à vous, et je vous guérirai au lieu de jours.
ORONTE.	ORONTE.
Je me porte bien.	Je me porte bien.
1.	1.
MEDECIN.	MÉDECIN.
Il n’importe, il me faut un Malade, & je prendray qui je pouray.	Il n'importe, il me faut un Malade, et je prendrai qui je pourrai.
DRONTE.	DRONTE.
Prenez qui vous voudrez, mais ce ne ſera pas moy.	Prenez qui vous voudrez, mais ce ne sera pas moi.
Voyez un peu la belle raiſon.	Voyez un peu la belle raison.
SCENE III.	SCÈNE III.
SBRIGANI en Marchand Flaman,	SBRIGANI en Marchand Flaman,
BRIGANI.	BRIGANI.
Ontſir, avec le voſtre permiſſione, je ſuiſſe un Trancher Marchant Flamane, qui voudroit bienne vous temandair un petit nouvel.	Ontsir, avec le vôtre permissione, je suisse un Trancher Marchant Flamane, qui voudrait bien vous témandair un petit nouvel.
ORONTE.	ORONTE.
Quoy, Monſieur?	Quoi, Monsieur?
BRIGANT.	BRIGANT.
Mettez le voſtre chapeau ſur le teſte, Montſir, ſi ve plaiſt.	Mettez le vôtre chapeau sur le tête, Montsir, si ve plaît.
ORONTE.	ORONTE.
Dites-moy, Monſieur, ce que vous voulez.	Dites-moi, Monsieur, ce que vous voulez.
BRIGANI.	BRIGANI.
Moy le dire rien, Montſir, ſi vous le mettre pas le chapeau ſur le teſte.	Moi le dire rien, Montsir, si vous le mettre pas le chapeau sur le tête.
