A MONSEIGNEVR DE MONTMORENCY, Duc, Pair, & prallu frullhrar de France, &c.	À MONSEIGNEUR DE MONTMORENCY, Duc, Pair, et prallu frullhrar de France, etc.
THELAME.	THÉLAME.
Ce petit moucheron m’a long temps retenu, La diuine Beauté pour qui i’eſtois venu Accuſant iuſtement mon amour de pareſſe M'en receura peut eſtre auec moins de careſſe La voila qui languit ſans doute en m’attendan Au pied de ce rocher ſur la plaine pendant:	Ce petit moucheron m'a long temps retenu, La divine Beauté pour qui j'étais venu Accusant justement mon amour de paresse M'en recevra peut être auec moins de caresse La voilà qui languit sans doute en m'attendan Au pied de ce rocher sur la plaine pendant:
Amour vole deuant, & meſſager fidelle De mon retardement excuſe moy vers elle:	Amour vole devant, et messager fidèle De mon retardement excuse moi vers elle:
Toutesfois n’y vas pas, car ie puis m’aſſeurer Qu’auprés d’elle außi toſt tu voudrois demeure Et puis ſi la mauuaiſe eſt en humeur de rire Lors que ie l’iray voir elle me pourra dire - Que ie ſuis vn trompeur, vnamoureux de Cour, Et que ie l’irois voir en vn mot ſans amour.	Toutefois n'y vas pas, car je puis m'assurer Qu'auprès d'elle aussi tôt tu voudrais demeure Et puis si la mauvaise est en humeur de rire Lors que je l'irai voir elle me pourra dire - Que ie suis trompeur, vnamoureux de Cour, Et que ie irois voir en mot sans amour.
Il me faut dextrement preuenir ſon reproche:	Il me faut dextrement prévenir son reproche:
O mon Ange oſte toy de deſſous cette roche, Ton cœur qui n’a deſia que trop de dureté Pourroit facilement prendre ſa qualité, Tu pourrois endurcir, voire parauanture As-tu deſia perdu ta premiere nature.	Ô mon Ange ôte toi de déjà cette roche, Ton cœur qui n'a déjà que trop de dureté Pourrait facilement prendre sa qualité, Tu pourrais endurcir, voire paraventure As-tu déjà perdu ta première nature.
Tu ne me reſponds mot, ie croy naïfuement Que tu n’as plus de voix ny plus de mouuement:	Tu ne me réponds mot, je crois naïfuement Que tu n'as plus de voix ni plus de mouvement:
S’il eſt vray que tu ſois en roche conuertie Dis moy comme vn Echo deux mots de repartie.	S'il est vrai que tu sois en roche convertie Dis moi comme un Écho deux mots de répartie.
Ie voy bien que c'en eſt, il me faut approcher, Et baiſer mille fois cet aimable rocher.	Je vois bien que c'en est, il me faut approcher, Et baiser mille fois cet aimable rocher.
SYLVIE, Non, non, vous ne deueZ de moy rien plus attendre Que ce qu’vne ſubiette à ſon Prince doit rendre, Reduite par vous meſme aux termes du deuoir, Ie n’ay plus cet’amour que ie ſoulois auoir, Amour, funeſte amour imprudemment conceue Dans le credule eſprit d’vne fille deceue.	SYLVIE, Non, non, vous ne devez de moi rien plus attendre Que ce qu'une sujet à son Prince doit rendre, Réduite par vous même aux termes du devoir, Je n'ai plus cet amour que je soulois avoir, Amour, funeste amour imprudemment conceue Dans le crédule esprit d'une fille décevue.
THELAME.	THÉLAME.
Adorable Beauté, qui ne t’aimeroit pas, Puiſque tescrhautez ont meſme des appai.	Adorable Beauté, qui ne t'aimerait pas, Puisque tescrhautés ont même des appai.
YLVIE.	YLVIE.
Ie ne me repais plus de ces belles paroles Que l’artifice enſeigne en ſes noires eſcoles.	Je ne me repais plus de ces belles paroles Que l'artifice enseigne en ses noires écoles.
THELAME.	THÉLAME.
Mon cœur, ſi tu me veux pouſſer dans le cercueil Lun a qu'am aſſuigerd' vn ſi mannaus accueil, D'où viennent ces froideurs?	Mon cœur, si tu me veux pousser dans le cercueil Lun a qu'am assuigerd' si mannaus accueil, D'où viennent ces froideurs?
t	t
YLVIE.	YLVIE.
Vous le deuez cognêſtre.	Vous le devez connaître.
Trompeur, puiſque c’eſt vous qui les auez faié Sa l lluaa Mne	Trompeur, puisque c'est vous qui les avez faié Sa l lluaa Maine
Ie meure ſur le champ ſi mes ſens interdis Comprennent rien du tout de ce que tu me dis.	Je meure sur le champ si mes sens interdis Comprennent rien du tout de ce que tu me dis.
LVIE.	LVIE.
Ne cognoiſſant que trople ſujet de ma plainte C’eſt en vain qu'au forfaict vous adiouſteZ la feinte.	Ne connaissant que trople sujet de ma plainte C'est en vain qu'au forfait vous ajoutez la feinte.
THELAME.	THÉLAME.
Tous ces diſcours au lieu de me faire ſçauant Me rendent plus confus que ie n'eſtais deuant,	Tous ces discours au lieu de me faire savant Me rendent plus confus que je n'étais devant,
SYLYIE.	SYLYIE.
Dittes que mon amour plein d’honneſte licence Pour la voſtre profane auoit trop d’innocence, Dittes qu’il vous falloit vn eſpeit reſolu Qui bruſlaſt comme vous d'vn flambeau diſſolu?	Dittes que mon amour plein d'honnête licence Pour la vôtre profane avait trop d'innocence, Dittes qu'il vous fallait un espéit résolu Qui brûlât comme vous d'un flambeau dissolu?
DRRAEEMI Va reprendre le train de ſa premiere vie.	DRAEMI Va reprendre le train de sa première vie.
THELAME.	THÉLAME.
O Dieux!	Ô Dieux!
c’eſt tout de bõ, l’inhumaine s’enfuit, Helas!	c'est tout de bon, l'inhumaine s'enfuit, Hélas!
en quel eſtat me treuue-ie reduit, A quelle extremité cet accident me range, Que nos proſperitez ſont ſubiettes au change, Et ſur tout & ſur tout que du ſoir au matin On voit bien toſt changer vn amoureux deſtin:	en quel état me trouve-je réduit, À quelle extrémité cet accident me range, Que nos prospérités sont sujettes au change, Et sur tout et sur tout que du soir au matin On voit bien tôt changer un amoureux destin:
Tantoſt dans vn bonheur ſeul à moy meſurable, Si le Ciel ſeulement me l’euſt fait plus durable, Ie beuuois à longs traicts des plaiſirs inoüys Qui comme vne vapeur ſe ſont eſuanoüys;	Tantôt dans un bonheur seul à moi mesurable, Si le Ciel seulement me l'eût fait plus durable, Je buvais à longs traits des plaisirs inoüys Qui comme une vapeur se sont évanouis;
Maintenant tout me nuit, où tout m’eſtoit propice, Ie tombe en vn moment du faiſte au precipice, Et du plus fortuné de tous les amoureux	Maintenant tout me nuit, où tout m'était propice, Je tombe en un moment du faîte au précipice, Et du plus fortuné de tous les amoureux
73 Afin qu'elle cognoiſſe & meſme au fond de l'eau D'vn amant tout de feu le merueilleux tableau;	73 Afin qu'elle connaisse et même au fond de l'eau D'un amant tout de feu le merveilleux tableau;
Ainſi iamais les ans ne tariſſent ta ſource, Iamais rien que l’amour n’interrompe ta courſe, Que la robe des fleurs dont ton riuage eſt peint Ne change deſormais ny d’eſclat ny de teint, Que la Naiade en fin qui cauſe ton martyre De ton Palais d’argent iamais ne ſe retire.	Ainsi jamais les ans ne tarissent ta source, Jamais rien que l'amour n'interrompe ta course, Que la robe des fleurs dont ton rivage est peint Ne change désormais ainsi d'éclat ainsi de teint, Que la Naide en fin qui cause ton martyre De ton Palais d'argent jamais ne se retire.
Qu'elle ſeiche touſiours ſes cheueux ſur tes bords, Et que touſiours tõ onde embraſſe sõ beau corps:	Qu'elle seiche toujours ses cheveux sur tes bords, Et que toujours tendre onde embrasse sont beau corps:
Mais l’ombre qui des monts embas ſe precipite D’vn retour importun deſia me ſollicite, Faut-il auec le iour ſi toſt me retirer?	Mais l'ombre qui des monts embas se précipite D'amour si importun déjà me sollicite, Faut-il avait le jour si tôt me retirer?
Que me ſert de vouloir plus tong temps differer?	Que me sert de vouloir plus tong temps différer?
La Cour, quoi que ie vueille, & quoi que ie cõſulD’vn paiſible repos me rappelle au tumulte.	La Cour, quoi que je veuille, et quoi que sans consulD'un paisible repos me rappelle au tumulte.
[te Beaux lieux vous me deuez à bõ droit pardõner La faute que ie fais de vous abandonner, Vous recognoiſſez bien en mon viſage bleſme Que m’arracher de vous c’eſt m’oſter à moy meſ, me.	[te Beaux lieux vous me devez à bonne droit pardõner La faute que sans fais de vous abandonner, Vous reconnaissez bien en mon visage blême Que m'arracher de vous c'est m'ôter à moi mes, me.
Et toy qui dans ces bois & parmi ces buiſſons Fais durer nuict & iour tes piteuſes chanſons, Roßignol va treuuer l’Amante de Cephale, Et luy dis de ma part que demain elle eſtale Les plus belles couleurs qu’elle pourra treuuer, Puis qu’elle doit auoir vn Prince à ſon leuer.	Et toi qui dans ces bois et parmi ces buissons Fais durer nuit et jour tes piteuses chansons, Rognol va trouver l'Amante de Céphale, Et lui dis de ma part que demain elle étale Les plus belles couleurs qu'elle pourra trouver, Puis qu’elle doit avoir un Prince à son lever.
SCENE III.	SCÈNE III.
SYLVIE.	SYLVIE.
DORISE.	DORISE.
SYLVIE.	SYLVIE.
Himeriques diſcours, amoureuſes penſees, ONe me rallumez pas ces flames inſenſees, Ne m’entretenez point deſſus l’eſtat paßé, Et ne retraceZ plus ce portraict effacé, Sur qui dés à preſent ie veuxpaſſer l’eſponge, Et dont le ſouuenir me ſera moins qu’vn ſonge.	Hyderiques discours, amoureuses pensées, ONe me rallumez pas ces flammes insensées, Ne m'entretenez point dessus l'état passé, Et ne retracés plus ce portrait effacé, Sur qui dès à présent une veuxpasser l'éponge, Et dont le souvenir me sera moins qu'un songe.
Infidele Thelame, impoſteur deſloyal, Que tu fais mal paroiſtre vn courage Royal, Et qu’en cette action d’vn glorieux lignage Tu te donne vn hõteux & laſche teſmoignage, Que le Demon eſt grand qui t’a ſollicité De triompher ainſi de ma ſimplicité:	Infidèle Thélame, imposteur déloyal, Que tu fais mal paraître un courage Royal, Et qu'en cette action d'une glorieux lignage Tu te donne un honteux et lâche témoignage, Que le Démon est grand qui t'a sollicité De triompher ainsi de ma simplicité:
H -V- - 122––-	H -V- - 1221-
Pour vne ſi fameuſe & ſi belle victoire [ſtoire?	Pour une si fameuse et si belle victoire [stoire?
Faut-il point que ton nom treuue place en l’hiHa Prince indigne objet d’vn vertueux amour, Eſclaue corrompu des vices de la Cour, Ame dans la molleſſe & la fraude trempee, Que tu m’as bien, helas, que tu m’as biẽ trompee:	Faut-il point que ton nom trouve place en l'hiHa Prince indigne objet d'un vertueux amour, Esclave corrompu des vices de la Cour, Âme dans la mollesse et la fraude trouve, Que tu m'as bien, hélas, que tu m'as bien trompe:
Mais, ô penſers ingrats autant que ſuperflus, Ie vous auois prié de ne me parler plus De ce perfide Amãt qui cherchoit mon dõmage, Pourquoy donc venez vous m'en rapporter l’image?	Mais, ô pensers ingrats autant que superflus, Je vous avais prié de ne me parler plus De ce perfide Amants qui cherchait mon donnage, Pourquoi donc venez vous m'en rapporter l'image?
Enfans deſnaturez voulez vous aujourd’huy Par vn commun accord me trahir comme luy?	Enfants dénaturez voulez -vous aujourd'hui Par un commun accord me trahir comme ton?
Non nõ, ſi vous aimez mon repos & ma gloire Vous deuez tout à faict en perdre la memoire, Dt mendire du vien ny du mal deſormais, En vn mot vous deuez ne m’en parler iamais.	Non nõ, si vous aimez mon repos et ma gloire Vous devez tout à fait en perdre la mémoire, Dt mendire du vien ni du mal désormais, En un mot vous devez ne m'en parler jamais.
Voici venir quelqu’vn, il eſt temps de ſe taire.	Voici venir quelqu'vn, il est temps de se taire.
DORISE.	DORISE.
Que faittes vous Bergere en ce lieu ſolitaire?	Que faites vous Bergère en ce lieu solitaire?
Voulez vous pas tenir le chemin du hameau?	Voulez -vous pas tenir le chemin du hameau?
Deſia tous nos Bergers au ſon du chalumeau Quittent de tous coſtez les mõts & la cãpagne Allons ma ſœur, allons, que ie vous accompagne A vous voir ſeule icy, meſme à l’heure qu’il eſt, Quelque choſe ie croy vous trouble & vous deſ Contez moy le ſujet de voſtre faſcherie.	Déjà tous nos Bergers au son du chalumeau Quittent de tous côtés les monts et la cãpagne Allons ma sœur, allons, que je vous accompagne À vous voir seule ici, même à l'heure qu'il est, Quelque chose ie croire vous trouble et vous des Comptez moi le sujet de votre fâcherie.
ſplaiſi	splaisi
LVIE.	LVIE.
Vne brebis que i’ay touſiours la plus cherie Contit jon vramnairt a quuiic ie tranpeau, Ainſi que ie prenois le frais ſur vn coupeau.	Une brebis que j'ai toujours la plus chérie Contit jon vramnairt a quui ie tranpeau, Ainsi que sans prenais le frais sur un coupeau.
DORISE.	DORISE.
L’auez vous bien cherchee?	L'avez -vous bien cherchée?
YLVIE.	YLVIE.
Il n’eſt mont ny valle En tout ce paſturage où ie ne ſois allee.	Il n'est mont a pale En tout ce pâturage où tu ne sois allée.
DORISE.	DORISE.
A ce conte il faudroit beaucoup moins s’affliger Veu qu’infailliblement quelque ieune Berger Comme il auient ſouuent, te l’aura voulu prẽdre Pour ſe donner apres le bien de te la rendre, En t’obligeant par là de le recompenſer Au moins d’vn grand mercy, comme tu peux penſer.	À ce conte il faudrait beaucoup moins s'affliger Vu qu'infailliblement quelque jeune Berger Comme il avient souvent, te l'aura voulu prendre Pour se donner après le bien de te la rendre, En t'obligeant par là de le récompenser Au moins d'un grand merci, comme tu peux penser.
SYLVIE.	SYLVIE.
Si quelqu’vn m’auoit fait la fourbe, ie te iure Qu’au lieu de compliments ie luy dirois iniure, Semblable priuauté ne m’obligeroit pas Quim auroit tant touſie de joncyes de pas	Si quelqu'un m'avait fait la fourbe, Elle te jure Qu'au lieu de compliments ie luy dirais injure, Semblable privauté ne m'obligerait pas Qui auroit tant vousie de joncies de pas
DORISE.	DORISE.
La ruſe en cas d’amour ne peut eſtre blaſmable A qui n’en veut vſer que pour ſe rẽdre aimable, On peut ſe preualoir de jes inuentions Pour paruenir au but de ſes intentions.	La ruse en cas d'amour ne peut être blâmable À qui n'en veut user que pour se rendre aimable, On peut se prévaloir de jes inventions Pour parvenir au but de ses intentions.
Or à propos d’amour & des ruſes ſubtiles, Dont nos Bergers par fois ne ſont que tropfer.	Or à propos d'amour et des ruses subtiles, Dont nos Bergers par fois ne sont que tropfer.
tiles, Pour te deſennuyer en ton chemin faiſant Il faut que ie ie face vn conte aſſez plaiſant, D’vn Paſteur qui n’eſt pas de noſtre voiſinage, A qui i'ay fait ioüer vn tres bon perſonnage, Et d’vn qui ſe preſente à tes yeux chaque iour, Et pour qui ſans mentir ie ſouſpire d’amour, D’vn qui du reuenu de cent troupeaux à laine Enrichit ſa maiſon, en vn mot c’eſt Philene.	tiles, Pour te désennuyer en ton chemin faisant Il faut que iecy face un conte assez plaisant, D'un Pasteur qui n'est pas de notre voisinage, À qui j'ai fait jouer un très bon personnage, Et d'un qui se présente à tes yeux chaque jour, Et pour qui sans mentir nous soupire d'amour, D'un qui du revenu de cent troupeaux à laine Enrichit sa maison, en un mot c'est Philène.
Il eſt tard, commençons d’aller tout doucement, Ie t’en diray la fin & le commencement, Pourueu que puis apres tu n’en aille rien dire, d.	Il est tard, commençons d'aller tout doucement, Je t'en dirai la fin et le commencement, Pourvu que puis après tu n'en aille rien dire, d.
comamdamenpourrouerepire.	comamdamenpourrouerepire.
LVIE.	LVIE.
Ce diſcours embroüillé me tient en grand ſout Philene auroit il point fait eſclatter icy Vn trait de ſa malice & de ſa ialouſie?	Ce discours embrouillé me tient en grand sout Philène aurait il point fait éclater ici Un trait de sa malice et de sa jalousie?
Deſia de peur mon ame en eſt toute ſaiſie.	Déjà de peur mon âme en est toute saisie.
CTE QVATRIESME.	CTE QUATRIÈME.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
LE ROY.	LE ROY.
CHANCELIER.	CHANCELIER.
TIMAPHERE	TIMAPHÉRE
LE ROY.	LE ROY.
Viſque par vn arreſt egalement fata.	Visque par un arrêt également fata.
On gliſſe au monument depuis le iou natal Que l’abſolu pouuoir de ceux qui nous fon viure Nous oblige aux aſſauts que la tombe nou liure, Ieſmes qu'à la faueur des naturelles loix a mort porte ſon dard à la gorge des Roys Ioy qui voy que ſuiuant le cours de la natadois biẽ toſt paſſer dedãs la ſepulture, [re Aes eſprits dißipez, peſans & refroidis I’agiſſant plus en moi cõme ils ſouloiẽt iadis, uant que de mes iours la ſuitte ſoit bornee, veux mettre mõ fils dans le lit d’Hymenee, int Tendre immortetenmapoſerite, u moins ſi i’ay ce biẽ vers les Dieux merité.	On glisse au monument depuis le jou natal Que l'absolu pouvoir de ceux qui nous son vivre Nous oblige aux assauts que la tombe nou livre, Iesmes qu'à la faveur des naturelles lois a mort porte son dard à la gorge des Ro Is qui vois que suivant le cours de la natadais bye tost passer dedans la sépulture, [re Aes esprits dissipez, pô et refroidis J'agissant plus en moi com ils souloiẽt mandis, ant plu de mes y la suitte soit bornée, veux mettre fils a le lit En, t Que de, m si ay ce biẽ vers lesAdi merité,
CHANCELIER.	CHANCELIER.
ire tout voſtre peuple apres ce bien ſouſpire, it certes le Demon qui regit voſtre Empire Ve pouuoit inſpirer à voſtre ſacré ſein 'n plus conſiderable & plus iuſte deſſein, Car outre le deſir qui ſans doute vous touche De voir des rejettons ſortir de voſtre ſouche, L’eſt que dans l’intereſt d’vn voiſin allié, amrenuer rojere Eſtat plus ferme & plus lié, Souuent entre deux Roys vn ſortable Hy menec – Tient vne Monarchie auec l’autre enchaint Dißipe les projets que forme l’eſtranger, Et rompt ceux qu’au dedans le mutin pe forger;	ire tout votre peuple après ce bien soupire, it certes le Demon qui régit votre Empire Ve pouvait inspirer à votre sacré sein 'en plus considérable et plus juste dessein, Car outre le désir qui sans doute vous touche De voir des rejettons sortir de votre souche, L'est que dans l'intérêt d'un voisin allié, amrenuer rojère État plus ferme et plus lié, Souvent entre deux Rois un sortable Hy menec un Tient une Monarchie avec l'autre enchaint Dipe les projets que forme l'étranger, Et rompt ceux qu'au dedans le mutin pe forger;
Rendez en ce bonheur la Sicile contente, Et ne l’affligez pas d’vne ſi longue attente, Tant de riches pays qu’enuironne Thetis Nous fourniront aſſez d’auantageux parti Entre autres nous auons la Cypre qui ſan ceſſe Par ſes Ambaſſadeurs nous offre ſa Prince Et c’eſt à mon aduis de tout autre party Le plus conſiderable & le mieux aſſorty.	Rendez -en ce bonheur la Sicile contente, Et ne l'affligez pas d'une si longue attente, Tant de riches pays qu'environne Thétis Nous fourniront assez d'avantageux parti Entre autres nous avons la Cypre qui san cesse Par ses Ambassadeurs nous offre sa Prince Et c'est à mon avis de tout autre parti Le plus considérable et le mieux assorti.
LE ROY.	LE ROY.
C’eſt où ma volonté dauantage ſe porte.	C'est où ma volonté davantage se porte.
CHANCELIER.	CHANCELIER.
Sire quand on verra d'vne chaine ſi forte Deux Sceptres ſi puiſſans eſtroittement vnis Alors l’on pourra voir nos bon-heurs infinu	Sire quand on verra d'une chaine si forte Deux Sceptres si puissants estroittement unis Alors l'on pourra voir nos bonheurs infinu
LE ROY.	LE ROY.
Vn ſcrupule eſpineux me demeure dãs l’ame Tantoſt i’ay proposé la matiere à Thelame, Ie l’a Ie l’ay ſur ce ſujet diuerſement tenté, Mais ſes lentes froideurs ne m’ont point contenté, Ie crains auec raiſon qu’vne amitié furtiue Ne tienne ſon eſprit en cette humeur retiue, Et que la liberté d’vn amour inegal Ne luy cauſe vn dégouſt du lien coniugal:	Un scrupule épineux me demeure dans l'âme Tantôt j'ai proposé la matière à Thelame, Je l'a Je l'ai sur ce sujet diversement tenté, Mais ses lentes froideurs ne m'ont point contenté, Je crains avec raison qu'une amitié furtive Ne tienne son esprit en cette humeur rétive, Et que la liberté d'un amour inégal Ne lu cause y dégoust du lien conjugal:
Toutesfois nous ſçaurons du ſage Timaphere S’il me veut plaire ou nõ en ce dernier affaire, Le voicy de retour.	Toutefois nous saurons du sage Timaphère S'il me veut plaire ou nomme en ce dernier affaire, Le voici de retour.
Et bien eſt-il rendu.	Et bien est-il rendu.
Gouſte-t’il maintenant cet Hymen pretendu?	Goûte-t-il maintenant cet Hymen prétendu?
THIMAPHERE.	THIMAPHÉRE.
Ie n’y voy nullement ſa volonté portee, Au contrairbeuuenejarounujuienejaurtee, l’ay fait ce que i’ay peu pour en venir à bout, avlais innitiemente 4	Je n'y vois nullement sa volonté portée, Au contrairbeuuenejarounujuienejaurtee, l'ai fait ce que j'ai peu pour en venir à bout, avais innitiemente 4
LE ROY.	LE ROY.
Que veut-t’il apres tout?	Que veut-t-il après tout?
THIMAPHERE.	THIMAPHÉRE.
Que voſtre Majeste le ſouffre auec licence Encor vn ou deux ans viure dans l’innõcence, Et ſuiure les plaiſirs auſquels les ieunes gens ouits crtme O faus eſfey peuuent eſere indul	Que votre Majeste le souffre avec licence Encor un ou deux ans vivre dans l'innõcence, Et suivre les plaisirs auxquels les jeunes gens ouits crétme ÈS faus essey peuvent ès indul
gens.	gens.
LE ROY.	LE ROY.
Ouy, ſi bien qu’il voudroit qu’au gré de ſon caprice Ma raiſon ſe rengeaſt, & que ie le ſouffriſſe L’affaire aſſeurément tout autrement ira, Ie ne dis autre choſe, il s’en repentira, Auant que le Soleil ſa clarté nous ramene Ie iny jeray cognobire & ja jaule e ma haine.	Oui, si bien qu'il voudrait qu'au gré de son caprice Ma raison se rengeât, et que sans le souffrisse L'affaire assurément tout autrement ira, Je ne dis autre chose, il s'en repentira, Avant que le Soleil sa clarté nous ramène Je in jerai cognobire et ja eaule e ma haine.
CHANCELIER.	CHANCELIER.
Sire ie crois pour moy le Prince ſi bien né, Que quelque empeſchement dont il ſoit deJeourne S’il cognoist que l’affaire importe à la Sicile, On ne le treuuera nullement difficile.	Sire ie crois pour moi le Prince si bien né, Que quelque empêchement dont il soit deJeourne S'il connaît que l'affaire importe à la Sicile, On ne le trouvera nullement difficile.
LE ROY.	LE ROY.
Ce deſordre eſt pour vous vn myſtere caché.	Ce désordre est pour vous un mystère caché.
Seul ie ſçay le ſujet qui me l’a desbauché:	Seul apprendre sais le sujet qui me l'a débauché:
Non non, ie veux ſonder le mal en ſa racine, Et d’où vient le poiſon tirer la medecine.	Non non, Seigneur veux sonder le mal en sa racine, Et d'où vient le poison tirer la médecine.
Thimaphere eſcoutez, außi loing de mon parc EA C AC 4 Comme en deux ou trois fois pourroit porter vn arc Vous deuez rencontrer la Bergere Syluie, Amenez la demain ſur peine de la vie, Et tenez le ſecret außi cher que le iour.	Thymaphère écoutez, aussi loin , de mon parc EA Ç Ç 4 Comme en deux ou trois fois pourrait porter un arc Vous devez rencontrer la Bergère Syluie, Amenez la demain sur peine de la vie, Et tenez le secret aussi cher que le jour.
THIMAPHERE.	THIMAPHÉRE.
Sire du grand matin ie ſeray de retour.	Sire du grand matin ie serai de retour.
LE ROY.	LE ROY.
Mutin ie t’apprendray que ie ſuis en puißãce De punir toſt ou tard ta deſobeyſſance, Que i'ay de ta folie vn vif reſſentiment, Et que ie luy prepare vn nouueau chaſtiment.	Mutin ie t'apprendrai que je suis en puissãce De punir tôt ou tard ta désobéissance, Que j'ai de ta folie un vif ressentiment, Et que ie ans prépare un nouveau châtiment.
CHANCELIER.	CHANCELIER.
Si vostre Majesté ſuiuant la violence Cette faute du Prince à la rigueur balance En quaille de luge, eue s'oſjencera, Mais en celle de pere elle s’appaiſera, Et puis de ſon erreur la ieuneſſe eſt complice.	Si votre Majesté suivant la violence Cette faute du Prince à la rigueur balance En quaille de luge, eue s'osjencera, Mais en celle de père elle s'apaisera, Et puis de son erreur la jeunesse est complice.
LE ROY.	LE ROY.
C’eſt excuſer la faute, & non pas le ſupplice, C’eſt par ſes ieunes ans ſon crime authoriſer, Et ſa rebellion außi fauoriſer.	C'est excuser la faute, et non pas le supplice, C'est par ses jeunes ans son crime autoriser, Et sa rébellion aussi favoriser.
Celuy qui ſans le coup d’vn eſclat de tonnerre Allumoit vn braſier außi grand que la terre Tout ieune qu’il eſtoit laiſſa-t’il pour cela De ſentir la rigueur du feu qui le bruſla?	Celui qui sans le coup d'une éclat de tonnerre Allumait un brasier aussi grand que la terre Tout jeune qu'il était laissa-t-il pour cela De sentir la rigueur du feu qui le brûla?
CHANCELIER.	CHANCELIER.
Amour eſt vn torrent dans vn ieune courage Que les empajuntmun famrenjanuauatage Qui veut en voir la fin le doit laiſſer courir.	Amour est un torrent dans un jeune courage Que les empajuntmun famrenjanuavatage Qui veut en voir la fin le doit laisser courir.
LE ROY.	LE ROY.
Doncques les bras croiſez & ſans le ſecourin Il faut voir les dãgers où cet amour le pouſſe	Donc les bras croisez et sans le secourin Il faut voir les dansgers où cet amour le pousse
CHANCELIER.	CHANCELIER.
Non, mais l’en retirer d’vne façon plus douce La force ne peut rien ſur vn cœur genereux.	Non, mais l'en retirer d'une façon plus douce La force ne peut rien sur un cœur généreux.
LE ROY.	LE ROY.
Si le ſien estoit tel il ſeroit amoureux D’vn ſujet à ſon rang aucunement ſortable, Qui rendroit pour le moins ſa faute ſupporta ble, Mais le laſche qu’il eſt, eſt pris dans vn lien Qui ternit la ſplendeur du nom Sicilien, Au lieu d’vne Princeſſe il aime vne Bergere, pahejue deranmtar	Si le sien était tel il serait amoureux D'Hôn jet à son rang aucunement sortable, Qui rendrait pour le moins sa faute supporta blé, Mais le lâche qu'il est, est pris dans un lien Qui ternit la splendeur du nom Sicilien, Au lieu d'une Princesse il aime une Bergère, phéjue deranmar
CHANCELIER.	CHANCELIER.
Cet' amour paſſagere N'eſtant pas de nature à longuement durer Finira pour ſi peu qu'on la vueille endurer.	Cet amour passagère N'étant pas de nature à longuement durer Finira pour si peu qu'on la veuille endurer.
LE ROY.	LE ROY.
L’endurer, ma bonté ne l’a que trop ſoufferte, C’eſt dont i'ay plus à craindre à ma honte & ma perte, Ie deuois eſtouffer ce monſtre en ſon berceau, Et tarir ce torrent quand il eſtoit ruiſſeau.	L'endurer, ma bonté ne l'a que trop soufferte, C'est dont j'ai plus à craindre à ma honte et ma perte, Je devais étouffer ce monstre en son berceau, Et tarir ce torrent quand il était ruisseau.
Dittes moy que ſçait-on à quel poinct de folie Le peut vn iour porter cette melancholie, Aujourd’huy moy defunt poßible que demain Cent vrut dortiert auroit te dcepine en main, Et l’Europe verroit vne ieune effrontee Sur les ailes d'Amour dans mon Troſne mõtee.	Dites -moi que sait-on à quel point de folie Le peut un jour porter cette mélancolie, Aujourd'hui moi défunt passible que demain Cent vrut dortiert aurait te dcepine en main, Et l'Europe verrait une jeune effrontée Sur les ailes d'Amour dans mon Trône moûte.
CHANCELIER.	CHANCELIER.
Nous ne verrons iamais vn ſi grand chãgement	Nous ne verrons jamais un si grand chamégement
LE ROY.	LE ROY.
Non, car ie ſçauray bien y mettre empeſchemẽt, L'enuoyant premener ſur le riuage bleſme.	Non, car ie sçauray bien y mettre empêchement, L'envoyant premener sur le rivage blême.
LIAOIIC.	LIAOIC.
CHANCELIER.	CHANCELIER.
LE ROY.	LE ROY.
Elle fera perir mon Eſtat & moy meſme Sil Eſtat ne la fait elle meſme perir.	Elle fera périr mon État et moi -même Sil État ne la fait elle même périr.
CHANCELIER.	CHANCELIER.
C’eſt empirer le mal & non pas le guerir, Ouic perrnet upour eut vnt umitie ſi forte, Que ne fera-t’il point quand il la verra morte?	C'est empirer le mal et non pas le guérir, Ouic pernet upour eut unt umitie si forte, Que ne fera-t-il point quand il la verra morte?
E NOY.	E NOY.
Auecque l’eſperance il en perdra l’amour.	Avec l'espérance il en perdra l'amour.
CHANCELIER.	CHANCELIER.
Il perdraplus encor, car il perdra le iour.	Il perdrapplus encor, car il perdra le jour.
LE ROY.	LE ROY.
L’object mort, leſoucy n’en trauaille plus guere.	L'object mort, lesouci n'en travaille plus guère.
CHANCELIER.	CHANCELIER.
Il eſt vray quand on aime à la façon vulgaire, Mais lors qu’on eſt bruſlé d’vn flãbeau violent L’obiect eſteint, le feu n’en deuient pas plus lent, La cendre du tombeau le cõſerue & l’augmenté Pour la perſonne aimee en la perſonne amante:	Il est vrai quand on aime à la façon vulgaire, Mais lors qu'on est brûlé d'un flambeau violent L'objet éteint, le feu n'en devient pas plus lent, La cendre du tombeau le cõserue et l'augmenté Pour la personne aimée en la personne amante:
Mais l’on n’en viendra pas à ces extremitez, Ceux dont les actions çà bas vous imitez Les Dieux vous ont appris que c’eſt par la clemence Que le premier degré de leur gloire commence.	Mais l'on n'en viendra pas à ces extrémités, Ceux dont les actions çà bas vous imitez Les Dieux vous ont appris que c'est par la clémence Que le premier degré de leur gloire commence.
LE ROY.	LE ROY.
