A.	A.
Panſatonde,) Voila à mon aduis la plus folle volupté de toutes celles qui ont eſté alleguees, ie vous vay dire la mienne, c’eſt de mager & boire non pas comme vne inhinite d’igno rans qui ne ſçauent gouſter ny le vin ny les viandes, ny diſceiner leuis analDeſejpere.	Pansatonde,) Voilà à mon avis la plus folle volupté de toutes celles qui ont été alléguées, je vous vais dire la mienne, c'est de mager et boire non pas comme une inhinite d'igno rans qui ne savent goûter ni le vin ny les viandes, ni disceiner leuis analDesjpère.
ſonnemens & facultés:	sonnements et facultés:
pour moy qui ſuis vn Ariſtote, i’ay grandemét a me plaindre des Dieux qu’ils ne m’ont faict l'eſtomac & le col d’vne Auſtruche, affin de pouuoir par le long & ſinueux canal de ma gorge couler le vin auec plus de delices, & les morceaux delicats, & auec la chaleur naturelle de ceſt oyſeau, que l'on dit digerer le fer;	pour moi qui suis un Aristote, j'ai grandemét à me plaindre des Dieux qu'ils ne m'ont fait l'estomac et le col d'une Autruche, afin de pouvoir par le long et sinueux canal de ma gorge couler le vin avec plus dé lices, et les morceaux délicats, et avec la chaleur naturelle de cette oiseau, que l'on dit digérer le fer;
faire vne coction prompte des viãdes, & auoir touſiours l’appetif aiguiſe.	faire une coction prompte des viendes, et avoir toujours l'appétif aiguise.
Cloridan, & auoir dequoy, puis apres mettre cuiſtniers en beſongne, car autre.	Cloridan, et avoir dequoy, puis après mettre cuistniers en besongne, car autre.
ment tu ſerois vn Tantale.	ment tu serais un Tantale.
Panſatonde) Ie me ſçay tou- ſiours pourueoir, & veux prouuer que ma volupté enueloppe non ſeulement toutes celles que vous aues mentionneés, fors la tienne Cloridan, qui eſt vraiement digne d’vn deſeſpere, comme tu t’es confeſſè eſtre en premier lieu, i'ay pour concert & muſique l’armonie des broches, dont les vnes tournantes par certains contrepoids & piuois, me font reſſouuenir du concert des cieux que ie ne ſçay quel ſçauant homme dit auoirouy, les autres par des chiens enfenmes en certaines rouës, de l’vre my fa, dela roue d’vne charlete margrente;	Pansatonde) Je me sais touca- siours pourueoir, et veux prouver que ma volupté enveloppe non seulement toutes celles que vous avez mentionnez, fors la tienne Cloridan, qui est vraiment digne 'un désespère, comme tu t'es confessé entre en premier lieu, j'ai pour concert et musique l'armonie des broches, dont les êtes tournantes par certains contrepoids et pivais, me font ressouvenir du concert des cieux que sans ne sais quel appuyant homme dit auoirouy, les autres par des chiens enfenmes en certaines rouës, résouevre mi fa, de roue chargle charlete margrente;
& Heſepere.	et Hesepere.
celles qui ſont tournees de certains hommes ou garçons inſtruits à ce diuin office plus neceſſaires en vne republique que la compagnie delal’eſine tant celebre, dont les obſeruantins qui ſont dieux aux bons viures & loups aux bons homes, i’entés s’il leur couſte quelque choſe ayant le tic tac du compas d’vne horloge me font conter leur minutes auec impatience devoir ſoner parla ſin de leur tours l’heure du repas oubien le plaiſir que ie reçoy d’entendre ces tournebro ches heroiques entonnants quelque fois des airs & des vers que Eutrepe de Canope meſme auroyent ſubiect d’admirer ayans la meſme reſiouiſſance, mais plus aſſeurée que les alchemiſtes reçoiuent lors qu’ils voyent quelque fumée de celles qu’ils ſe perſuadent deuoir preceder leur diuin elexir:	celles qui sont tournées de certains hommes ou garçons instruits à ce divin office plus nécessaires en une république que la compagnie délalaleyne tant célèbre, dont les observantins qui sont dieux aux bons vivres et loups aux bons homes, j'entés s'il leur coûte quelque chose ayant le tic tac du compas d'une horloge me font conter leur minutes auec impatience devoir soner parla sin de leur tours l'heure du repas oubien le plaisir ces tourne reçoi d'entendre ces tournebro chez héroïques entonnants quelque fois des ai et des vers queEutrepe de Fo même auroyent subiect dadmirer ayans la même resiouissance, mais plus a que les y reçoiuent lors ils voient quelque fumée de Cane ûils se persuadent deuoir précéder leur diuin elexir:
venons à la volupté de celuy qui a parlé le ſecõd toute ſpirituelle & par cõſequent ſe ſemble eſloigné de la mienne, ie maintiens que parfait friand & gourmand authentique mo naturel diuin m'enſeigne la vertu & proprieté des choſes.	venons à la volupté de celui qui a parlé le second toute spirituelle et par conséquent se semble éloigné de la mienne, ie maintiens que parfait friand et gourmand authentique mo naturel divin m'enseigne la vertu et propriété des choses.
Combien de ſortes de uguue pemles vous qui entrent en vn ſaupiquet, de ſimples aux poragce de lamades, a qui mieux que moy apartiẽt la cognoiſſace des odeurs & ſaueurs, qui a proprie tout ce que la nature ad’excelantà mõ ventre, a qui comme à vn dieu, ie ſacrifie, non ſeulement des hecatonbes debœuf & autres groſſes viandes, ains encore vn nombre infiny d’oiſeaux, d’herbes & de plantes ſeruent à ceſt office, ie meſſe l'or & les perles en ces ſacrifices, & meſpriſe les autres metaux, & pierres precieuſes cõme indignes de mes myſteres, & pour l’amour, quels plus ardens deſirs peut auoir vn amant, quelles ideés plus douces, ou quelles imaginations  -- - - V.	Combien de sortes de uguve pemles vous qui entrent en un saupiquet, de simples aux poragce de lamades, à qui mieux que moi apartiẽt la connaissace des odeurs et savoir, qui a proprie tout ce que la nature ad’ excelantà mon ventre, à qui comme à un dieu, une sacrifie, non seulement des hécatonbes debœuf et autres grosses viandes, ains encore un nombre infini d'oiseaux, d'herbes et de plantes servent à cest office, une messe l'or et les perles en ces perles, et et les autres méta, et pierres précieuses ô indignes de mes mystères, et et lamour, es au très désirs peut auoir on amant, les ideés au douces, ou quelles ma -- - - V,
plus agreables que moy qui regarde d’vn œil l’anguide ce qui me plaiſt ſur vne table auec vn deſir violãt de le poſſeder:	plus agréables que moi qui regarde d'un œil l'anguide ce qui me plaît sur une table avec un désir violant de le posséder:
l’on me dira peut eſtre que mon obiect n’a rien de vif, auſſi ie n’en reçoy ny deſdaing ny meſpris, il ſe trasforme en moy & moy en luy auec des contentemens que ie puis pluſtoſt imaginer qu’exprimer, & perſonne de bon ſens ne me peutnier que mon plaiſir ne ſoit plus durable, moins penible & haſardeux, plus ciuil ou du moins tel que ſans luy l’on ne ſçauroit viure, ou ſansles autres l’on peut agir & patir, ielſemſe cache O ----- ---- ----- Deſejpere 109 point en laperception de mes delices, ie les prens dãs les lieux publics, à la veue d’vn cha cun où vous meſſieurs les a mas ne trouuez pas les nuicts aſſez obſcurces, les antres aſſez recelez ny les bois aſſez eſpais pour y desrober les voſ tres voix de paſteur qui ſe doit faire derriere le theatre Gareloup, gare loup gare loup, Doraline.	l'on me dira peut votre que mon objet n'a rien de vif, aussi femme n'en reçois encore des vain mépris, il se trasforme en moi et moi et en avait des contentements que je puis plutôt imaginer qu'exprimer, et personne de bon sens ne me peutnier que mon plaisir ne soit plus durable, moins pénible et hasardeux, plus civil ou du moins tel que sans lui m'on ne saurait vivre, ou sansles autres l'on peut agir et pâtir, ielsemse cache Ô -- -- -- Desejpere 109 point en laperception de mes délices, ie les prens a les lieux publics, la veue vous messieurs les a mas ne trouuez pas les y assez obscurces, je antres assez recelez ni les bois assez épais pour y dérober le vos très voix de pasteur qui se doit faire derrière le théâtre Gareloup, gare loup gare loup, Doraline.
Voila où l’on crie au loup vers le lieu où eſt noſtre troupeau, ceux que nous y auons laiſſé ſont incapables de leſecourir, alons nousy en.	Voilà où l'on crie au loup vers le lieu où est notre troupeau, ceux que nous y avons laissé sont incapables de lesecourir, alons nous en.
Thiphis, allonspromptement.	Thyphis, allonspromptement.
Nicandre, Ie m’en vay aumien.	Nicandre, Je m'en vais aumien.
Floridor, ie n’e aypoint icypres, - – c’eſt pourquoy ie ne bouge, Cloridan quel deſplaiſir, voila mon chien qui a rompu ſon trait, & court à ce bruit, ie ſuis en danger de le perdre, Panſatonde, viens m’aider à lé reprendre.	Floridor, ie aypoint icypres, - est pourquoi ie ne bouge, Cloridan quel déplaisir, voila mon chien qui a rompu son trait, et court ce bruit, ie suis en danger de le perdre, Pansatonde, viens n'aider aipoint reprendre,
Panſatonde, Tu me prens pour vn autre, ie voudrois que le loup euſt fait vne bõne curée & auoir fait vn bõ repas;	Pansatonde, Tu me prends pour un autre, où voudrais que le loup eût fait une bonne curée et avoir fait un beau repas;
va au diable auec ton chié.	va au diable auec ton chié.
Floridor, laiſſõs les coure &nous en allons à la fontaine O de l’Echo chercher compas 2 nie.	Floridor, laissons les coure etnous en allons à la fontaine Ô de l'Écho chercher compas 2 nie.
Panſatonde, Trouuera on moyen de diſner là, n’y a il ny tauerne ny rotiſſerie?	Pansatonde, Trouvera on moyen de dîner là, n'y a il cy taverne ni rotisserie?
Floridor.	Floridor.
Tout s’y trouue en abõdance n’aye peur d y mouln de rai  -2 encor moins de ſoif Panſatõde, Ie ne boy iamais d’eau depeur d’ẽgendrer des grenouilles en mon eſtomac,ou de me pourir le foye, Floridor.	Tout s'y trouve en abondance n'aie peur d ' Houl de raie 2 encor moins de soif Pansatõde, Je ne boy jamais d'eau dépeur d'engendrer des grenouilles en mon estomac, de me pourrir le foie, Floridor.
Ne crains point, tu trouuerras dequoy appaiſer ta faim, Panſatonde.	Ne crains point, tu trouverras dequoy apaiser ta faim, Pansatonde.
Allons donc.	Allons donc.
NERINE ETPHALERINE, CONVLTANS LECHO D'ARMIDONPOVE Angeralde.	NERINE ETPHALERINE, CONULTANS LECHON D'ARMIDONPOUE Angeralde.
Phalerine.	Phalerine.
ACTE.	ACTE.
III.	III.
V deſires ſçauoir ſi l’Oracle que l’on dict eſtre enclos aux pa–- ---  roles redites de l’Echo d’Ar midon ſe confirmera à ce que le t’ay dict auoit appris parde plus certains preſages de la fortune d’Angeralde, je veux cõtenter ta curioſité.	V Vires savoir si l'Oracle que l'on dit être enclos aux païra-moi -dites de rôles redites de lEcho 'Ar midon se confirmera à ce que le t'ai dit avait appris parde plus certains présages de la fortune d'Angeralde, je veux cõtenter ta curiosité.
Nerine.	Nerine.
Ie vous en ſupplie.	Je vous en supplie.
Phalerine.	Phalerine.
Nous ne nous deſtourner ons que fort peu;	Nous ne nous détourner ons que fort peu;
i’ay mandé aux paſteurs a qui ie l’ay laiſſé en charge, qu’ils l’amenaſſent ſe promener vers ce lieu la, & eſpere que nous le luy trouuerons Nerine, nous y voicy, Ie m’en vay m’approcher, ma ſœur, eſcoute ententiuemẽt la reſponce qu’il me fera.	j'ai mandé aux pasteurs a qui ren l'ai laissé en charge, qu'ils l'amenassent se promener vers ce lieu la, et espère que nous le même trouverons Nerine, nous y voici, Je m'en vais m'approcher, ma sœur, écoute ententivement la réponse qu'il me fera.
Cho, de qui l'on croitque le 2 Deſespere.	Cho, de qui l'on croitque le 2 Désespère.
Loge vn fidelle eſprit qui a quittè le tour, Pour auoir trop aymè vne beauté exquiſe, Qui le ſort des amans declare e prophetiſe:	Loge un fidèle esprit qui a quittète le tour, Pour avoir trop aime tte beauté exquise, Qui le sort des amants déclare est prophétise:
Dy nous ce qu'Angeralde vn fidelle pasteur, Doit eſperer vn iour de ſon preſent mal’heur?	Dis nous ce qu'Angeralde un fidèle pasteur, Doit espérer un jour de son présent mal'heur?
heur.	heur.
De la vie il ne doit auoir aucun ſoucy?	De la vie il ne doit avoir aucun souci?
841 2 ſi.	841 2 si.
Quel eſpoir deſormais de viure le dispenſe?	Quel espoir désormais de vivre le dispense?
penſe.	pense.
Rien ne peut augmenter le mal qui le remord?	Rien ne peut augmenter le mal qui le remord?
4 mord.	4 mord.
Que deuiendroit apres la douleur qu’il ſouſpire?	Que deviendrait après la douleur qu'il soupire?
pire.	pire.
Son mal n'a nul remede en ceste v-- vm-e -e-m meme daA vie icy?	Son mal n'a nul remède en cette vite-m' elle -mène âme da vie ici?
Quel remede veux tu que le ciel y emplae, playe Quoy d’vn ſecond amour ſera il eſiouy?	Quel remède veux -tu que le ciel y emplae, plaie Quoi d'un second amour sera il esiouy?
oüy.	oui.
Mais qui va m'aſſeurant vn effect ſi eſtrange?	Mais qui va m'assurant un effet si étrange?
ange.	ange.
Quel obiect tirera ſa flamme du tombeau?	Quel objet tirera sa flamme du tombeau?
beau.	beau.
Pour Phenice eſgaler faut qu'el foit immortelle, telle.	Pour Phénice égaler faut qu'elle soit immortelle, telle.
I'attẽdray leffectde ce que tu predis Et s’il auiẽtecho, deſormais ie te dis  Grãcle certain plus clair & plus fidelle Que celuy de Iuppin ou du beſſon Deſeſpere.	J'attendai leffectde ce que tu prédis Et s'il auiẽtecho, désormais ie te dis Grangle certain plus clair et plus fidèle Que celui de Juppin ou du besson Désespère.
Oicy la fontaine dont ie t’auois parlé de deſſus ce brod Ton entend vn Echo merueilleux, qui reſpond à tout ce que l’on luy demande, l’on tient que c’eſt l’eſprit d’vn apellé Armidon, qui finit ſes iours dedans l’antre que tu vois proche d’icy, attaint d’vn extreme deſeſpoir de ſe voir priué des bonnes graces d’vne bergere qu’il aymoit, ( Panſatonde, Et luy ſot.	Oici la fontaine dont quelque t'avais parlé de dessus ce brod On entend un Écho merveilleux, qui répond à tout ce que l'on lui demande, l'on tient que c'est l'esprit d'un apelé Armidon, qui finit ses jours dedans l'antre que tu vois proche d'ici, attaint d'un extrême désespoir de se voir privé des bonnes grâces d'une bergère qu'il aimait, ( Ansatonde, Et lui sot.
Mais la queſtion n’eſt pas de ceſt Echo, ie ne voy icy ny maiſon, ny tauerne, ny bouchon, (Floridor, I’ay dedans ma panetiere dequoy repaiſtre, interro110 E tICMICA.	Mais la question n'est pas de cet Écho, Elle ne vois ici , maison, ni taverne, ni bouchon, (Floridor, J'ai dedans ma panetière dequoy repaître, interro10 E CICAICA.
ge ſeulement ceſt Echo & ne te ſouuiens d’autre choſeſ Panſatonde) Ie le veux Qui est ce que i’ayme plus & qui plus me d’iſpanſe?	ge seulement cet Écho et ne te souviens d'autre choses Pansatonde) Je le veux Qui est ce que j'aime plus et qui plus me d'ispanse?
panſe.	panse.
Qui rend mon cœur alegre & mon ceſprit diuin?	Qui rend mon cœur alègre et mon cesprit divin?
vin.	vin.
Quel lieu m'est le plus doux & le plus delectable?	Quel lieu m'est le plus doux et le plus délectable?
le table, 1e1 1 Panſatonde.	le table, 1e1 1 Pansatonde.
Ceſt Echo me cognoiſt, ie ne vis iamais rien de ſi iudicieux & veritable que ſes paroles, parle à luy Berger.	Cest Écho me connaît, on ne vis jamais rien de si judicieux et véritable que ses paroles, parle à notre Berger.
Etoriaors Qui dict en ces deſerts que i'aime constamment?	Étoriaors Qui dit en ces déserts que j'aime constamment?
ment.	ment.
Panſatonde.	Pansatonde.
Il dit tes verites auſſibié que les miennes, ie vay luy en demander d’vn autre.	Il dit tes vérités aussibié que les miennes, ie vay lui en demander d'un autre.
2 Qu'estimois tu viuant le haut gouſt v oydu Iambon?	2 Qu'estimais tu vivant le haut goût v oidu Iambon?
bon.	bon.
Quel dommage que ceſt homme ſoit deuenu amoureux, & que le deſeſpoir l’aye porte à ſe tuer, comme tu m'as dit en celieus, autour duquel ſon eſprit errant reſpond les Oracles?	Quel dommage que cette homme soit devenu amoureux, et que le désespoir l'aie porte à se tuer, comme tu m'as dit en celieus, autour duquel son esprit errant répond les Oracles?
Il ſe cognoiſſoit à tout, & voy bien qu’il, eſtoit verſé, en mon rart.	Il se connaissait à tout, et vois bien qu'il, était versé, en mon rart.
Mats ce n’eſt pas aſſés, ie ne meſuis que trop promené pour acquerir de l’apetit:	Mats ce n'est pas assez, Seigneur ne mesuis que trop promené pour acquérir de l'apétit:
la table de ces bergers n’eſt ordinairement ny bien couuerte, ny fraiande, leurs metz ſont legers, mon eſtomac chaut, qui aura auſſi toſtpaſſé ſa gorge.	la table de ces bergers n'est ordinairement ni bien couverte, ni fraiande, leurs metz sont légers, mon estomac chaut, qui aura aussi tostpassé sa gorge.
Allõs diſ.	Allõs dis.
ner galant homme, Floridor Mon amy, ceux de noſtre profeſſion, diſnent dés le matin.	ner galant homme, Floridor Mon ami, ceux de notre profession, dînent dès le matin.
Mais ſi tu veux quelque peu de fromage, que i’ay en ma panetiere, & du pain, ie t’en donneray volontiers du reſte, te voicy prés d’vne des meilleures fõtaines de ce pais, Panſatonde.	Mais si tu veux quelque peu de fromage, que j'ai en ma panetière, du du toujours, toujours t'en donnerai volontiers du reste, te voic y d'une des meilleures fontaines de ce pais, Pansatonde.
Me voila bien arriué, eſt celà le feſtin que tu me prometois, en l’eſperance duquel ie t’ay patiemment entendu diſcourir des bonnes fortunes que tu dis auoir que tout mal’heur arriue à celuy qui malgré moy mnatraindumana ſſe dedans ces deſerts, où il ſéble que la ſubtilité de l’air, aiguiſe mon apetit enragé:	Me voilà bien arrivé, est celui qui festin que tu me prometais, en l'espérance duquel ie t'ai patiemment entendu discourir des bonnes fortunes que tu dis avoir que tout malheur arrive à celui qui malgré moi ménatraindumana sse dedans ces déserts, où il séble que la subtilité de l'air, aiguise mon apétit enragé:
eſt ce ainſi que tu traictes tes hoſtes ie ne ſuis point de tõ eſcot;	est ce ainsi que tu traites tes hôtes te ne suis point de tendre écot;
mais que feray ie, ie ne trouueraipas mieux, dõnc, dõne ie ſerois mort auant d’arriueraulogis que ce paineſt noir & ce fromage ſec & aſpre à la bouche:	mais que ferai assez, je ne trouveraipas mieux, dõnc, dõne donne serais mort avant d'arriveraulogis que ce painest noir et ce fromage sec et âpre à la bouche:
il m’alterera, & de boire de l’eau, pluſtoſt mourir, ſFloridor, l quel aualleur de pilules il videroit toutes les panetieres du pais, Dieu me garde d’vn tel hoſte, ſi mon pere l’auoit veu manger, il mourroit de peur de la famine, [ Panſatonde, ]'eſt ce tout?	il m'altéra, et de boire de l'eau, plutôt mourir, sFloridor, l ' aualleur de pilules il viderait toutes les panetières du pais, Dieu me garde d'un tel hôte, si mon père l'avait vu manger, il mourrait de peur de la famine, [ Pansatonde, ]'est ce tout?
2 Floridor,) Ie vous en reſpons, c’eſt ainſi que vous viués aux grandes maiſons, manger, ainçois deuorer ma collation ſans m'en offrir;	2 Floridor,) Je vous en répons, c'est ainsi que vous vivez aux grandes maisons, manger, ainçois dévorer ma collation sans m'en offrir;
à Dieu vous dy, gros ventre, cherchés qui vous rempliſſe vne autre fois.	à Dieu vous dis, gros ventre, cherchez qui vous remplisse une autre fois.
omaIo m on Ion Ilan Angeralde.	omaIo m on Ion Ilan Angeralde.
qolu t iM Ie ne me puis aſſés eſtonner, comme vous me voulés empeſcher de la choſe qui m’eſt la plus libre, & de laquelle la diſpoſition!	Oqolu t oMb Je ne me puis assez étonner, comme vous me voulez empêcher de la chose qui m'est la plus libre, et de laquelle la disposition!
m’eſt plus particuliere quede toutes les choſes queie poſſede:	m'est plus particulière quede toutes les choses que possède:
d’ailleurs quelle erreur, s’oppoſer à la mort d’vn qui hait & detente la vie qui a en horreur autruy & ſoy meſme, qui ne void qu’à contre cœur le ſoleil & luy vouloir faire accroire que c’eſt par pitié, & pour l’empeſcher d’auoir mal:	d'ailleurs quelle erreur, s'opposer à la mort d'un qui hait et détente la vie qui a en horreur autrui et soi -même, qui ne voit qu'à contre cœur le soleil et ainsi vouloir faire accroire que c'est par pitié, et pour l'empêcher d'avoir mal:
la moindre de mes douleurs, eſt plus dure que la mort meſme, ce n’eſt qu’vn ſouſpir & mon ſein en exhale mille chaque heure plus douloureux qu’vne priuation de l’eſtre, vne ſeparation du corps & de l’ame!	la moindre de mes douleurs, est plus dure que la mort même, ce n'est qu'un soupir et mon sein en exhale mille chaque heure plus douloureux qu'une privation de l'être, une séparation du corps et de l'âme!
iuges ſila perſonne que l’on tire de la gehëne pour le remettre en liberté ne ſe doit pas eſtimer plus heureux que ce luy aqui l’on l’a continuee, & ſi la leparatio d’vn corps n’eſt pas agreable a vne ame à qui il ſert de priſon de ceps & de torture, d’enfer & de tombeau;	juges sila personne que l'on tire de la gehëne pour le remettre en liberté ne se doit pas estimer plus heureux que ce Ne aqui l'on l'a continuée, et si la leparatio d'un corps n'est pas agréable a une âme à qui il sert de prison de ceps et de torture, d'enfer et de tombeau;
ceſte cruautè de laquelle vous muſés contre les droit de l’affection promiſe, ne ſera pas longue;	cette cruauté de laquelle vous musez contre les droit de l'affection promise, ne sera pas longue;
vous ſerés mes tirans, & les effects de vos cruautés, me ſeront plus douloureux que durables, car quelle garde ferez vous ſi exacte, qui m'empeſche de mourir?	vous serez mes tyrans, et les effets de vos cruautés, me seront plus douloureux que durables, car quelle garde ferez vous si exacte, qui m'empêche de mourir?
le feu, l’onde, le fer, les cordeaux, les venins, me peuuent ils touſiours manquer?	le feu, l'onde, le fer, les cordeaux, les venins, me peuvent ils toujours manquer?
Ne puis ie cõme Porcie m’eſtouffer auec des charbons, come Arcanée ſuffoquerauec vn cordeau;	Ne puis notre cõme Porcie m'étouffer avec des charbons, come Arcanée suffoqueravec un cordeau;
ou m'ecraſer la teſte contre la paroy?	ou m'écraser la tête contre la paroi?
mais que me ſeruent ces exemples pour me reſoudre, eſtãt reſolupour m'enſeigner ayant des moyés plus faciles d’executer mon deſſein?	mais que me servent ces exemples pour me résoudre, étant résolupour m'enseigner ayant des moyés plus faciles d'exécuter mon dessein?
la nature nous inſtruit auſſi bien à mourir qua viure, laiſſans les actions neceſſaires à la vie nous trouuons infalliblement la mort, ie me puis eſteindre ſupprimant mon haleine, & l’on ne me peut empeſcher de me laiſſer perir de faim.	la nature nous instruit aussi bien à mourir qua vivre, laissant les actions nécessaires à la vie nous trouvons infalliblement la mort, ils me puis éteindre supprimant mon haleine, et l'on ne me peut empêcher de me laisser périr de faim.
Philine, Satire, Angeralde, Philandre, Panſatonde Floridor Phalerine.	Philine, Satire, Angeralde, Philandre, Pansatonde Floridor Phalerine.
Laide, alaide, au ſecours X ATaſteurs, ayez pitié de moy, ce Satire me rauit à l’aide ſe courés moy, (Satire, 2 Vous viendrez la belle, ces cris ne vous garantiront pas.	Laide, alaide, au secours X ATasteurs, ayez pitié de moi, ce Satire me ravit à l'aide se courez moi, (Satire, 2 Vous viendrez la belle, ces cris ne vous garantiront pas.
Philine Que veux tu de moy miſerable?	Philine Que veux tu de moi misérable?
Satire.	Satire.
Ie vous le diray, dans mon antre, alons.	Je vous le dirai, dans mon antre, alons.
Philine.	Philine.
Tu me tueras pluſtoſt icy, a l’aide àl’aide, Ang.	Tu me tueras plutôt ici, à l'aide àl’aide, Ang.
i'entẽs vne Nimphe à qui l’on faict violance, il la faut ſecourit:	j'entends assez Nymphe à qui l'on fait violance, il la faut secourit:
vn bon courage ne ſçauroit ſoufrir de voir outrager vne femme, i’en ay trop aymé vne pour que ce ſexe patiſſe où ie ſeray, Philandre, Voyons que c’eſt, Phalerine, voules vor que ie face vn charme pour nous faire paroiſtre le centuple de noſtre nombre, affin d’effrayer ceux vers qui nous allons, qui peut eſtre ſont plus grande quantité, & mieux ar( mez que nous qui n’auos que les mains?	un bon courage ne saurait souffrir de voir outrager une femme, j'en ai trop aimé une pour que ce sexe patisse où tu serai, Philandre, Voyons que c'est, Phalerine, voulez vor que je face un charme pour nous faire paraître le centuple de notre nombre, afin d'effrayer ceux vers qui nous allons, qui peut être sont plus grande quantité, et mieux arme( mez que nous qui n'avos que les mains?
Angeralde,) C’eſt aſſés pour vaincre ceux qui ſont effrayés par leur propre crime, les ames violantes, ne ſçauent que c’eſt de reſiſter à la iuſte force, & les victoires ne ſont point victoires qui s’obtiennent par les illuſions dont tu nous parle, ſuiuons les ſeulement, & me laiſſés faire du reſte, (Panſatonde,) l’entens du bruict, ce ſont voleurs, fuions, fuions, pau--- 3ER7CC E teeoren- ure;	Angeralde,) C'est assez pour vaincre ceux qui sont effrayés par leur propre crime, les âmes violantes, ne savent que c'est de résister à la juste force, et les victoires ne sont point victoires qui s'obtiennent par les illusions dont tu nous parle, suivons les seulement, et me laissez faire du reste, (Pansatonde,) l'entends du bruit, ce sont voleurs, fuyons, fuyons, pau, 3ER7CC E teeoren-Ture;
Panſatonde, le mal’heur t’a bien guidé en ce lieu, (Floridor,) Voions que ceſt (Panſatonde,) Nullement, ie ne deſire courit aucune riſque, le ſuis nay pour moy, & croy aſſès faire sy ie hafarde la vie pour conſeruer ma vvie, les voicy, les voicy, fuyons), fuyons.	Pansatonde, le malheur t'a bien guidé en ce lieu, (Floridor,) Voyons que cet (Pansatonde,) Nullement, pleine ne désire courit aucune risque, le suis né pour moi, et croy assès faire sy été hafarde la vie pour conserver ma vien, les voici, les voici, fuyons), fuyons.
Angeralde,) Voila des gens qui fuyent:	Angeralde,) Voila des gens qui fuient:
Mais ie ne voy poinct de fẽme, & c’eſt la voix d’vne femme d’ont nous auõs entendu la plainte.	Mais personne ne vois point de fomme, et c'est la voix d'une femme d'ont nous avons entendu la plainte.
Philandre,) Sera il dict que ce maudict bouc m’entraine ainſi cruellement, que les paſteurs ſenfuient aulieu de me ſecourir?	Philandre,) Sera il dit que ce maudict bouc m'entraine ainsi cruellement, que les pasteurs senfuient aulieu de me secourir?
olrere la prere ce na mour, perfides hommes vous eſtes vuides de l’vn & de lautre, puis que vous permettés que l’on viole ainſi vne nimphe ſans vous eſmouuoir, & vous genereux Angeralde, l’hõneur de ces deſerts, ainçois de l’vniuers, qui aués rendu tant de fois l’impoſſible, poſſible, par l’excés de voſtre affection, ſouffrirez vous que celle qui fut vne autre ſoy meſme à la belle que vous aimez plus que vous meſme, ſoit le butind’vn ſatire bouquin?	olèvre la prévre ce na mour, perfides hommes vous êtes vides de l'un et de lautre, puis que vous permette que on viole ainsi une nymphe sans vous esmouuoir, et vous généreux Angalde, l'honneur de ces déserts, ainois de l'univers, qui avez rendu tant de fois l'impossible, possible, par l'excès de votre affection, souffrirez vous que celle qui fut une autre soi mesme à la belle que vous aimez plus que vous rendre, soit le butind'un satire bouquin?
Satire Tu ne veux donc pas marcher & m’iniuries, pour ce que ie te ſuis trop indulgent, ie te porteray par Pan, (Philandre;	Satire Tu ne veux donc pas marcher et m'injuries, pour ce que je te suis trop indulgent, Seigneur te porterai par Pan, (Philandre;
à l’aide, à l’aide, Angeralde le voy le rauiſſeur, c’eſt vn Satire artebouquin, & laiſſe ceſte Nimphe, ſi tu ne veux eſprouuer la fureur de mõ bras, Satire, Berger ſuy ton chemin de peur de ſentir la durceur de mes ergots, qui te pourroyét bien danſer ſus le ventre.	à l'aide, à l'aide, Angeralde le vois le ravisseur, c'est un Satire artebouquin, et laisse cette Nymphe, si tu ne veux éprouver la fureur de mon bras, Satire, Berger suis ton chemin de peur de sentir la durceur de mes ergots, qui te pourrai bien danser sus le ventre.
Angeralde, Tu mentiras perfide, laiſſe ceſte Nimphe, (Satire) Ie la laiſſeray, mais aſſeure toy de payer le retardement du plaiſir que i’eſperois d’elle, où eſt ma maſſuë!	Angeralde, Tu iras perfide, laisse cette Nymphe, (Satire) Je la laisserai, mais assure toi de payer le retardement du plaisir que j'espérais d'elle, où est ma massue!
il s’en eſt ſaiſy.	il s'en est saisi.
Angeralde) Voicy que ie te preſente to to to [ Satire ] Ho ho ho hola;	Angeralde) Voici que après te présente to to to [ Satire ] Ho ho ho holà;
Angeralde y nrola raarneur tu n’enſeras quitea ſi bon prix ie t’apprendray à enleuer les Nimphes [Phalerine!	Angeralde y nrolà raarneur tu n'enseras quitea si bon prix ton t'apprendrai à enlever les Nymphes [Phalerine!
Il l'enfuit, appelons ceſte Nimphe, ie peſe l’auoir recogneue voicy ie ne ſçay quoyqu’elle por toit, Philandre.	Il l'enfuit, appelons cette Nymphe, tu pèse l'avoir reconnue voicy un ne sais quoiqu'elle por toit, Philandre.
La peur fuy aura chauſſé des aiſles aux tallons, difficilement la pour rons nous icy toſt reuoir;	La peur fuis aura chaussé des ailes aux tallons, difficilement la pour rons nous ici tôt revoir;
