Voſtre tres-humble & tres.	Votre très-humble et très.
Quoy que d’eux on ſe forme vne excellente idée, Cétéclat s’obſcurcit, quand on l’a regardée:	Quoi que d'eux on se forme une excellente idée, Cétéclat s'obscurcit, quand on l'a regardée:
L’imagination en ſes puiſſans efforts, Ne peut ſe figurer vn plus merueilleux corps.	L'imagination en ses puissants efforts, Ne peut se figurer un plus merveilleux corps.
Ce prince de nos ſens, qui iuge & qui diſcerne, Par qui la volonté ſe regle & ſe gouuerne, Conclut, dans la vigueur de ſon raiſonnement Qu’il ne ſe peut iamais rien voir de plus charmant.	Ce prince de nos sens, qui juge et qui discerne, Par qui la volonté se règle et se gouverne, Conclut, dans la vigueur de son raisonnement Qu'il ne se peut jamais rien voir de plus charmant.
La memoire, en offrant ſa plus parfaite image, Ne repreſente rien qui ne luy doiue homage.	La mémoire, en offrant sa plus parfaite image, Ne représente rien qui ne lui doive hommage.
La Puiſſance, laquelle a le droit de choiſir, Où ſe forme toûjours la fuite, ou le deſir, Par vne violence auſſi douce que forte, Quite tout autre objet, vers celuy-cy s’emporté;	La Puissance, laquelle a le droit de choisir, Où se forme toujours la fuite, ou le désir, Par une violence aussi douce que forte, Quite tout autre objet, vers celui-cy s'emporté;
Et croid, en l’embraſſant comme vn ſouuerain bien;	Et croid, en l'embrassant comme un souverain bien;
Qu’auoir tout, l’exceptant, c’eſt ne poſſeder rien.	Qu'avoir tout, l'exceptant, c'est ne posséder rien.
Mais ce n’eſt que parler de la moindre partie, Examinons l’eſprit, dont elle eſt aſſortie;	Mais ce n'est que parler de la moindre partie, Examinons l'esprit, dont elle est assortie;
Mais non, l’on ne ſçauroit en parler dignement :	Mais non, l'on ne saurait en parler dignement :
Laparole, pour luy, cede à l’eſtonnement.	Lapparole, pour lui, cède à l'étonnement.
Quoy que l’on en conçoiue, & qu’on ait d’eloquence, Il faut ſur ce ſujet obſeruer le ſilence :	Quoi que l'on en conçoive, et qu'on ait d'éloquence, Il faut sur ce sujet observer le silence :
Le plus preſſant diſcours ne peut aller ſi haut, Et ſa perfection cauſeroit vn defaut.	Le plus pressant discours ne peut aller si haut, Et sa perfection causerait un défaut.
Iuges ſi mon amour n’eſt donc pas legitime.	Juges si mon amour n'est donc pas légitime.
CVRCE Seigneur, me croiriez-vous capable de ce crime, B iiij D’oſer inſolemment condamner voſtre chois?	CURÉE Seigneur, me croiriez-vous capable de ce crime, B ijà D'oser insolemment condamner votre chois?
Ie ſçay ce que ie luis, & ce que ie vous dois.	Je sais ce que ici luis, et ce que je vous dois.
MAXIMIAN.	MAXIMIAN.
Non, ie la veux nommer, & t’obliger à dire onoentroude curiore prus digne de l’Empire:	Non, Seigneur la veux nommer, et t'obliger à dire onoentroude curiore prus digne de l'Empire:
C’eſt Suſanne.	C'est Susanne.
CVRCE.	CURÉE.
Ha!	Ha!
Seigneur, ie denieure interdit;	Seigneur, ie dénieure interdit;
En elle ſeule on void ce que vous auez dit.	En elle seule on voit ce que vous avez dit.
MAXTMIAN.	MAXTMIAN.
Nous ſerons bien-toſt ioins, du nœud de Mariage,	Nous serons bientôt joins, du nœud de Mariage,
SINeEs Veüillenties pieur naſter cét illuſtre aſſemblage.	SINeEs Veüillenties pieur naster cet illustre assemblage.
SOLILOQVE de	SOLILOQUE de
CLAVDE.	CLAUDE.
Imperceptible attrait des rebelles eſprits, Qui ſçaués conuertir en reſpects nos mépris!	Imperceptible attrait des rebelles esprits, Qui savez convertir en respects nos mépris!
I’admire les effets de vôtre prouidence, C’eſt inutilement qu’on luy fait reſiſtance, Son coup eſt infaillible;	J'admire les effets de votre providence, C'est inutilement qu'on toujours fait résistance, Son coup est infaillible;
& dans meſme chemin, Qui léuite auiourd’huy, le receura demain.	et dans même chemin, Qui léuite aujourd'hui, le recevra demain.
Par quelle voye en moy ſon ordre s’execute!	Par quelle voie en moi son ordre s'exécute!
Vous aimés tendrement ceux que ie perſecute;	Vous aimez tendrement ceux que je persécute;
Et le plus foible ſexe, en cet heureux party Mépriſe mon attaque, & i’en ſuis conuerti, Mais quelqu’vn vient.	Et le plus faible sexe, en cet heureux parti Méprise mon attaque, et j'en suis converti, Mais quelqu'un vient.
1	1
QVATRIESME ENTRETIEN.	QUATRIÈME ENTRETIEN.
MAAIME, CLAVDES	MAYME, CLAUDES
MAXIME.	MAXIME.
momieur, encures, ie vous prie, Si ie vous interromps en voſtre réuerie.	moment, encures, Seigneur vous prie, Si je vous interromps en votre réuerie.
CLAVDE Mon eſprit, qui ne peut rien de grand conceuoir Ne la préfére pas à l’honneur de vous voir.	CLAUDE Mon esprit, qui ne peut rien de grand concevoir Ne la préfére pas à l'honneur de vous voir.
MAXIME.	MAXIME.
Ce meſme honneur, Monſieur, m'eit e tout préférable.	Ce même honneur, Monsieur, m'éit e tout préférable.
CLAVDE Qui ſe tait par foibleſſe en eſt bien excuſable.	CLAUDE Qui se taît par faiblesse en est bien excusable.
MAXIME.	MAXIME.
Vous ex cellés entout, & les plus grands eſprits, Vous eſtans comparés, ſont dignes de mépris.	Vous ex celez entout, et les plus grands esprits, Vous étant comparés, sont dignes de mépris.
L’Empereur nous en donne vne preuue aſſés claire, Vous faiſant conducteur d’vne importante affaire.	L'Empereur nous en donne une preuve assez claire, Vous faisant conducteur d'une importante affaire.
CLAVDE L’Empereur conſidere en cette élection, Moins ma capacité que mon affection.	CLAUDE L'Empereur considère en cette élection, Moins ma capacité que mon affection.
MAXIME.	MAXIME.
ie lçay qu’il a des deux parfaite conoiſſance, Qu’il eſt de vous reuoir en grande impatience;	Ce lçai qu'il a des deux parfaite conaissance, Qu'il est de vous revoir en grande impatience;
Et ſuis venu, Monſieur, vous le faire ſçauoir, Par l’ordre que deluy ie viens de receuoir.	Et suis venu, Monsieur, vous le faire savoir, Par l'ordre que délui notre viens de recevoir.
CLAVDE En ce retardement mes ſoins luy ſont fidelles;	CLAUDE En ce retardement mes soins lui sont fidèles;
Ie ſçay qu’on doit celer les mauuaiſes nouuelles:	Je sais qu'on doit celer les mauvaises nouvelles:
Son intereſt, Monſieur, m’oblige à differer, Enfin, Suſanne eſt vierge, & le veut demeurer.	Son intérêt, Monsieur, m'oblige à différer, Enfin, Susanne est vierge, et le veut demeurer.
MAXIME.	MAXIME.
P'eut elle refuſer vn ſi grand auantage?	P'eût elle refuser un si grand avantage?
CLAVDE Elle fremit d’horreur, au nom de mariage.	CLAUDE Elle frémit d'horreur, au nom de mariage.
MAXIME Mais ne craint elle point le ſouuerain pouuoir?	MAXIME Mais ne craint -elle point le souverain pouvoir?
CEAVDE Ie n’ay rien oublie, qui la puſt émouuoir.	CEAUDE Je n'ai rien oublie, qui la pût émouuoir.
MAXIME L’on ne parla jamais d’vne pareille audace.	MAXIME L'on ne parla jamais d'une pareille audace.
CLAVDE Ei tedl ron y pruaquu de palla ce manace.	CLAUDE Ei tedl on y pruaquu de palla ce manace.
MAXIME Qu'entreprend l'Emmpereur, dont ir ne vienne à bout?	MAXIME Qu'entreprend l'Emmpereur, dont ir ne vienne à bout?
CLAVDE Ce deſſein excepté, i’eſtime qu’il peut tout.	CLAUDE Ce dessein excepté, j'estime qu'il peut tout.
MAXIME Peut eſtre que le temps vaincra ſa réſiſtance.	MAXIME Peut être que le temps vaincra sa résistance.
CLAVDE Vous croirés le contraire, apres l’experience.	CLAUDE Vous croirez le contraire, après l'expérience.
Cen eit pas que le lois incapable d’erreur.	Cen eit pas que le lois incapable d'erreur.
MAXIME Toûjours en deués vous reſoudre l’Empereur.	MAXIME Toujours en devez vous résoudre l'Empereur.
Que luy diray-ie donc?	Que sent dirai-je donc?
CLAVDE Il eſt bon ce me ſemble, Que nous allions plutoſt la viſiter enſemble;	CLAUDE Il est bon ce me semble, Que nous allions plutôt la visiter ensemble;
Peut eſtre voſtre eſprit, qui fait tout reüſſit, Pourra-t’il la changer, ou du moins l’adoucir:	Peut être votre esprit, qui fait tout réussit, Pourra-t-il la changer, ou du moins l'adoucir:
Et nous irons apres, en plaine certitude Rerirer l'Empereur de ſon inquiétude.	Et nous irons après, en plaine certitude Rérirer l'Empereur de son inquiétude.
Faire cette entrepriſe, apres vos vains efforts, Seroit employer l’ombre, où n’a rien pũ le corps.	Faire cette entreprise, après vos vains efforts, Serait employer l'ombre, où n'a rien pun le corps.
CLAVDE Mais pluſtoſt le contraire, & par experience, Nous voyons que ſouuent l’ombre le corps deuance.	CLAUDE Mais plutôt le contraire, et par expérience, Nous voyons que souvent l'ombre le corps devance.
MAXIME Suſanne eſt vn Soleil, nous l’allons pourſuiuant;	MAXIME Susanne est un Soleil, nous l'allons poursuivant;
Il s’infere de là que le corps va deuant.	Il s'infère de là que le corps va devant.
Et pour dire en vn mot à quoy ie me diſpoſe, C’eſt la voir pour vous plaire, & non pour autre choſes	Et pour dire en un mot à quoi je me dispose, C'est la voir pour vous plaire, et non pour autre choses
CLIIVDE le votls iuſs feſteuable, & louidicte didaimnens Voir en cette viſite vn heureux changement.	CLIIVDE le vots jusqu' festeuable, et louidicte didaiments Voir en cette visite un heureux changement.
TROISIESME PARTIE.	TROISIÈME PARTIE.
PREMIER ENTRETIEN.	PREMIER ENTRETIEN.
SVSANNE, CLAVDE, MAXIME.	SUSANE, CLAUDE, MAXIME.
SVSANNE Puis que par vn bon-heur, qui tout autre ſurpaſſe, Ce Dieu, plein de bonté, vous a fait cette grace, D’ouurir à ſes clartés les yeux de vos Eſprirs, Afin qu’en les voyant ils en fuſſent épris;	SUSANNE Puis que par un bonheur, qui tout autre surpasse, Ce Dieu, plein de bonté, vous a fait cette grâce, D'ouvrir à ses clartés les yeux de vos Éprirs, Afin qu'en les voyant ils en fussent épris;
Aprenés comme il faut receuoir ces lumieres, Pour ne retomber pas dans vos erreurs premieres.	Aprenez comme il faut recevoir ces lumières, Pour ne retomber pas dans vos erreurs premières.
CLAVDE Nous attendons, Madame, auec docilité Les vtiles effets de voſtre charité.	CLAUDE Nous attendons, Madame, avec docilité Les vtiles effets de votre charité.
Dans la ſecte idolâtre, ignorante & groſſiere, Où l’eſprit eſt toûjours ſoumis à la matiere, L’on aſſuiettit tout à l’Empire des ſens;	Dans la secte idolâtre, ignorante et grossière, Où l'esprit est toujours soumis à la matière, L'on assuiettit tout à l'Empire des sens;
De leurs diuinités on les fait comiſſans:	De leurs divinités on les fait comissants:
Comme ce ſont des Dieux formés dans la Nature, Ils n’ont rien, qui des ſens excede la meſure:	Comme ce sont des Dieux formés dans la Nature, Ils n'ont rien, qui des sens excede la mesure:
Et les hommes ſouuent ont oſté ſi brutaux, D’admettre pour leurs Dieux des plus vils animaux.	Et les hommes souvent ont ôté si bruts, D'admettre pour leurs Dieux des plus vils animaux.
De ces Diuinités, l’humaine connoiſſance Comprend facilement la grandeur & l’eſſence;	De ces Divinités, l'humaine connaissance Comprend facilement la grandeur et l'essence;
Et l’adoré ne peut, de ſon adorateur Comprendre, ou conceuoir l’eſſence & la grandeur.	Et l'adoré ne peut, de son adorateur Comprendre, ou concevoir l'essence et la grandeur.
Noſtre Religion, & ſaincte & ſalutaire En ces cultes ſacrés obſerue le contraire;	Notre Religion, et sainte et salutaire En ces cultes sacrés observe le contraire;
Nous ne ſoûmettons pas à l’Empire des ſens L’office de l’eſprit dont ils ſont impuiſſans:	Nous ne soumettons pas à l'Empire des sens L'office de l'esprit dont ils sont impuissants:
Et meſme cet eſprit,libre de la matire, Ne peut connoiſtre Diet, par la propre famiere.	Et même cet esprit,libre de la matire, Ne peut connaître Diet, par la propre famière.
MAXIME.	MAXIME.
Mais, Madame, comment nous pourroit il blamer Ne le connoiſſant pas, du defaut de l’aimer?	Mais, Madame, comment nous pourrait -il blâmer Ne le connaissant pas, du défaut de l'aimer?
SVSANNE.	SUSANE.
Nous adorons vn Dieu que de ſa propre eſſence, Eſt puiſſant, ſage, bon, iuſte, éternel, immenſe, Sainct, ou pour mieux parler la meſme ſaincteté, Dont tous leo uceribues lonit daiis r'iifimte:	Nous adorons un Dieu que de sa propre essence, Est puissant, sage, bon, iuste, éternel, immense, Saint, ou pour mieux parler la même sainteté, Dont tous leo uceribues lit daiis riifimette:
Comment donc noſtre eſprit dont la foible portée, A des termes finis ſe trouué limitée, Le pourroit il comprendre en ſon plus grandeffort?	Comment donc notre esprit dont la faible portée, À des termes finis se trouvé limitée, Le pourrait il comprendre en son plus grandeffort?
La puiſſance à l’objet n’ayant aucun raport.	La puissance à l'objet n'ayant aucun rapport.
Puis qu’il eſt infini, c’eſt bien noſtre croyance Qu’on ne peut en auoir parfaite connoiſſance;	Puis qu'il est infini, c'est bien notre croyance Qu'on ne peut en avoir parfaite connaissance;
Mais nous nous éleuons à ſa diuinité Autant que noſtre eſprit a de capacité.	Mais nous nous élevons à sa divinité Autant que notre esprit a de capacité.
SVSANNE.	SUSANE.
Quand d’vn œil trop hardi le vif regard s’obſtine Achercher la clarté iuſqu’en ſon origine;	Quand d'un œil trop hardi le vif regard s'obstine Achercher la clarté jusqu'en son origine;
Que d’vn deſſein nuiſible, autant qu’audacieux, Pour iuger du Soleil il veut percer les Cieux;	Que d'un dessein nuisible, autant qu'audacieux, Pour juger du Soleil il veut percer les Cieux;
Il en perd la clarté ſitoſt qu’il là receüe:	Il en perd la clarté sitôt qu'il là reçue:
Ces eſprits delicats, qui forment noſtre veüe, D’en ſoûtenir l’éclat ne ſont pas en pouuoir, Et nous n’en voyons rien pour en vouloir trop voir.	Ces esprits délicats, qui forment notre vue, D'en soutenir l'éclat ne sont pas en pouvoir, Et nous n'en voyons rien pour en vouloir trop voir.
Il faut de ſa bonté receuoir la pratique;	Il faut de sa bonté recevoir la pratique;
Ce que nous en ſçauons, il nous le communique, Mais en ge raualant;	Ce que nous en savons, il nous le communique, Mais en ge ravalant;
& ſi nous le voyons, Ce n’eſt qu’au doux enuoy qu’il fait de ſes rayons;	et si nous le voyons, Ce n'est qu'au doux envoi qu'il fait de ses rayons;
Par le moindre deſquels l’on raiſonne du reſte, Et comprend, à peuprés, tout ce grand corps celeſte.	Par le moindre desquels l'on raisonne du reste, Et comprend, à peuprès, tout ce grand corps celeste.
Noſtre foible eſprit eſt enuers ce Dieu des Dieux, Ce qu’enuers le Soleil ſont nos debiles yeux:	Notre faible esprit est envers ce Dieu des Dieux, Ce qu'envers le Soleil sont nos débiles yeux:
Il va communiquant la bonté de ſon eſtre, Mais c’eſt l’abaiſſement qui nous le fait connoitre:	Il va communiquant la bonté de son être, Mais c'est l'abaissement qui nous le fait connaître:
Son exceds de ſplendeur nous pourroit ébloüir, Ce n’eſt que de bien loin que l’on en peut ioüir.	Son excéds de splendeur nous pourrait éblouir, Ce n'est que de bien loin que l'on en peut jouir.
Croyons ces verités, dont la raiſon s’étonne, Par vne foy ſoûmiſe, & c’eſt luy qui la donne.	Croyons ces vérités, dont la raison s'étonne, Par une foi soumise, et c'est quequi la donne.
Pour le bientoſt conoiſtre, il faut dés auiord’huy Renoncer à ſoy meſme, & recourir à luy.	Pour le bientôt conoistre, il faut dès aujord'hui Renoncer à soi même, et recourir à lui.
MAXIME.	MAXIME.
Madame, nous voulons ſuiure cette doctrine;	Madame, nous voulons suivre cette doctrine;
Mais nos indignes vœux, de ſa bonté diuine N’oſeroir eſperer dey e voir exauces.	Mais nos indignes vœux, de sa bonté divine N'oseroir espérer dey e voir exauces.
4071	4071
SVSANNE Ouurés luy voſtre cœur, mes freres, c’eſt aſſés.	SUSANE Ouvrés était vôtre cœur, mes frères, c'est assez.
Tenebres lumineux!	Ténèbres lumineux!
lumiere tenebreuſe!	lumière ténébreuse!
à part ſoy O foy!	à part soi Ô foi!
qui r’afermis l’ame foible & douteuſe, Qui noüs fais trouuer iour aux miſteres obſcurs, Et qui nous rends preſens les biens qui ſont futurs;	qui ressermis l'âme faible et douteuse, Qui noüs fais trouver jour aux misères obscurs, Et qui nous rends presens les biens qui sont futurs;
Diuine qualité, qui nos ſens illumines!	Divine qualité, qui nos sens illumines!
Imprimeen leurs eſprits tes qualités diuines:	Imprimeen leurs esprits tes qualités divines:
Etcomme le Soleil naiſt dans l’obſcurité, Au milieu de l’erreur produis la verité.	Etcomme le Soleil naît dans l'obscurité, Au milieu de l'erreur produis la vérité.
SECOND ENTRETIEN.	SECOND ENTRETIEN.
DIOCLETIAN, MACE DIONE ARTISE, LE PREVOST,	DIOCLETIAN, MACE DIONE ARTISE, LE PRÉVÔT,
DIOCLETIAN Adorables obiects de nos ſaincts ſacrifices!	DIOCLETIAN Adorables objets de nos saints sacrifices!
Immortels ennemis des crimes & des vices!	Immortels ennemis des crimes et des vices!
Puiſſans & ſages Dieux!	Puissants et sages Dieux!
de qui la volonté, A pour objet le bien, pour regle l’equité;	de qui la volonté, A pour objet le bien, pour règle l'équité;
Puis-je pas vous blâmer de trop de négligence, Vous voyans ſi tardifs à punir cette offence?	Puis-je pas vous blâmer de trop de négligence, Vous voyant si tardifs à punir cette offense?
Ie crains, auec raiſon, que bientoſt les humains, Croyant que vous ſoyés ou ſans cœur, ou ſans mains, Non contents d’abolir vos droits deſſus la terre, Voudront iuſques au Ciel vous declarer la guerre;	Je crains, avec raison, que bientôt les humains, Croyant que vous soyez ou sans cœur, ou sans mains, Non contents d'abolir vos droits dessus la terre, Voudront jusques au Ciel vous déclarer la guerre;
Et par l’ambition, d’où naiſt vn attentat, Gouuerner à leur tour le ſouuerain Etat.	Et par l'ambition, d'où naît un attentat, Gouverner à leur tour le souuerain Etat.
lamais auéun mortel fut il ſi temeraire, D’oſer ce que ces deux ont l’audace de faire?	lamais auéun mortel fut -il si téméraire, D'oser ce que ces deux ont l'audace de faire?
Dans l’empire Romain comettre vne action Dont la tâche noircit toute la nation.	Dans l'empire Romain comettre une action Dont la tâche noircit toute la nation.
Eux, en qui mes bontés grauoient toutes les marques, Capables d’acquerir des ſuiets aux Monarques, Dont i’eſtimois l’eſprit, demandois les Conſeils, Et qui dans mes faueurs n’auoient point de pareils, Changent, par vne erreur abſurde & volontaire, Le nom de confident en celuy d’aduerſaire;	Eux, en qui mes bontés gravaient toutes les marques, Capables d'acquérir des sujets aux Monarques, Dont j'estimais l'esprit, demandais les Conseils, Et qui dans mes faveurs n'avaient point de pareils, Changent, par une erreur absurde et volontaire, Le nom de confident en celui d'adversaire;
Et par le changement de contraires partis, Rendent le droit diuin & l’humain peruertis.	Et par le changement de contraires partis, Rendent le droit divin et l'humain pervertis.
Mais quoy qu’aparẽment leurs crimes ſoiẽt ſemblables, Et qu’on iuge les deux également coupables, Claude l’eſt plus que l’autre, & par ſa traliſon, Il a voulu ſe mettre hors de comparaiſon.	Mais quoi qu'aparẽment leurs crimes soient semblables, Et qu'on juge les deux également coupables, Claude l'est plus que l'autre, et par sa tralison, Il a voulu se mettre hors de comparaison.
Pouragir en vn fait de telle conſequence, Le chois que ie faiſois marquoit ma confiances le le crus le dernier qui me voudroit trahir, Ie ne commandai pas, bien qu’il deût m’obeir;	Pourquir en un fait de telle conséquence, Le chois que tu faisais marquait ma confiances le le crus le dernier qui me voudrait trahir, Je ne commandai pas, bien qu'il dût m'obéir;
Mais dans mon cabinet, où ie l’auois fais rendre, Ie luy fis le diſcours que vous allés entendre.	Mais dans mon cabinet, où ici l'avais fais rendre, Je lui fis le discours que vous allez entendre.
le ſçay l’affection que vous aués pour moy, Et conois voſtre adreſſe égale à voſtre foy:	le sais l'affection que vous avez pour moi, Et conais votre adresse égale à votre foi:
Auiſi dans vn deſſein, d’vne importante ſuite, Ie veux vous demander voſtre lage conduite;	Ajuis que un dessein, d'une importante suite, Je veux vous demander votre lage conduite;
Et pour la recompenſe, il faut s’imaginer, lout ce qu’vn Empereur peur iuſtement donner.	Et pour la récompense, il faut s'imaginer, lout ce qu'un Empereur peur justement donner.
MACEDONE Ces termes ſont preſſans.	MACEDONE Ces termes sont pressants.
DIOCLETIAN Ie fis bien dauentage,	DIOCLETIAN Je fis bien daventage,
Ie l'ambraſſai, ioignant l’action au langage;	Je l'ambrassai, joignant l'action au langage;
Ie crus l’obliger plus en le traitant ainſi:	Je crus l'obliger plus en le traitant ainsi:
Et luy, me répondit aux termes que voicy.	Et Elle, me répondit aux termes que voici.
Que voſtre majeſté m’excuſe & mediſpenſe, D’attendre de ſes mains aucune recompenſe, Mon cœur, pour la ſeruir, conforme à mon deuoir, N’aſpire qu’à l’honneur qu’il en peut receuoir.	Que votre majesté m'excuse et médispense, D'attendre de ses mains aucune récompense, Mon cœur, pour la servir, conforme à mon devoir, N'aspire qu'à l'honneur qu'il en peut recevoir.
Ie répris, que ſon cœur eſtant ſi magnanime, Qu’il iugeoit l’honneur ſeul digne de ſon eſtime, Il ne ſe trouuoit rien que l’on luy deût offrir, En poſſedant autant qu’il s’en peut acquerir.	Je répris, que son cœur étant si magnanime, Qu'il jugeait l'honneur seul digne de son estime, Il ne se trouvait rien que l'on lui deût offrir, En possédant autant qu'il s'en peut acquérir.
Il repartit, Seigneur, ce diſcours me ſurpaſſe;	Il répartit, Seigneur, ce discours me surpasse;
Mais à tant de faueurs ioignés vne autre grace;	Mais à tant de faveurs ioignés une autre grâce;
Sans me preoccuper d’vn ſentiment ſi vain, Vſés en Empereur, enuers vn vray Romain.	Sans me préoccuper d'une sentiment si vain, Usez en Empereur, envers un vrai Romain.
Rien ne touche mon cœur comme la modeſtie;	Rien ne touche mon cœur comme la modestie;
Et ie dis, pour loüer en luy cette partie, C'eſt le temperament des belles qualités, C’eſt vn petit ombrage, à de grandes clartés, En l’abſence duquel leur pointe trop aigüe, Ne peut ſe faire voir ſans bleſſer noſtre veüe.	Et petit dis, pour louer en même cette partie, C'est le tempérament des belles qualités, C'est un petit ombrage, à de grandes clartés, En l'absence duquel leur pointe trop aigue, Ne peut se faire voir sans blesser notre vue.
Enfin, ayant receu cet honorable employ, Il iura d’y prouuer & ſon zele, & ſa foy.	Enfin, ayant reçu cet honorable emploi, Il jura d'y prover et son zèle, et sa foi.
Voylà du procedé toutes les circonſtances.	Voilà du procédé toutes les circonstances.
Quel crime, de trahir apres tant d’aſſeurances!	Quel crime, de trahir après tant d'assurances!
Ie blame neantmoins ce qui m’eſt glorieux, Et me plains, de me voir traité comme les Dieux, Mais, Artiſe, comment ſçais tu cette nouuelle?	Je blâme néanmoins ce qui m'est glorieux, Et me plains, de me voir traité comme les Dieux, Mais, Artise, comment sais tu cette nouvelle?
ARTISE Si jamais vn raport peut eſtre crû fidelle, Celuy-cy doit paſſer pour vne verité, Puis que ſon autheur eſt de grande probité;	ARTISE Si jamais un rapport peut être cru fidèle, Celui-cy doit passer pour une vérité, Puis que son auteur est de grande probité;
Et poſſede nt poneue r'homieur d’ertre dans voitre eitimes	Et possède nt ponève rhomieur d'ertre dans voitre eitimes
DIOCLETIAN oçais tu ce que fit Claude, auant qu’il viſt Maxime?	DIOCLETIAN oçais -tu ce que fit Claude, avant qu'il vit Maxime?
ARTISE Si nous iugeons, Seigneur, ſur ce que l’on en dit, Sans doute, de luy ſeul l’affaire dépendit.	ARTISE Si nous jugeons, Seigneur, sur ce que l'on en dit, Sans doute, de notre seul l'affaire dépendit.
Incontinent qu’il eut à Gabin fait entendre, Que vous luy deſtiniés Maximian pour gendre;	Incontinent qu'il eut à Gabin fait entendre, Que vous avez destiniez Maximian pour gendre;
Ce diſcours le ſurprit auec tant d’agrément, Que ſon cœur, y donnant vn prompt conſentement, Veut deuancer ſa bouche, & paroît au viſage, Pour en aſſeurer Claude, en ſon muet langage.	Ce discours le surprit avec tant d'agrément, Que son cœur, y donnant un prompt consentement, Veut devancer sa bouche, et paraît au visage, Pour en assurer Claude, en son muet langage.
Vnrayon de couleur, le ris, la gayeté, Sont produis pour témoins de cette verité:	Unrayon de couleur, le ris, la gaieté, Sont produis pour témoins de cette vérité:
Son regard vif & doux hautement la publie;	Son regard vif et doux hautement la publie;
Et ſa voix, que le temps ſemble auoir affoiblie, Par imitation des mouuemens du cœur, Reprend, pour l’exprimer, vne ieune vigueur.	Et sa voix, que le temps semble avoir affaiblie, Par imitation des mouvements du cœur, Reprend, pour l'exprimer, une jeune vigueur.
Illuy répond d’vn ton enſemble graue & ferme;	Illui répond d'un ton ensemble grave et ferme;
Et dans cette réponce, il n’oublie aucun terme, Dont il ſe peût ſeruir, au deſſein qu’il auoit, De traiter dignement l’honneur qu’il receuoit.	Et dans cette réponse, il n'oublie aucun terme, Dont il se put servir, au dessein qu'il avait, De traiter dignement l'honneur qu'il recevait.
Il paroît tres ſoûmis, quoy que tres vénérable:	Il paraît très soumis, quoi que très vénérable:
Il confeſſe, Seigneur, vous eſtre redeuable, Non comme vn ſeul ſujet enuers ſon ſouuerain, Mais plus que ne vous l’eſt tout le peuple Romain.	Il confesse, Seigneur, vous être redevable, Non comme un seul sujet envers son souverain, Mais plus que ne vous l'est tout le peuple Romain.
A ce que vous voulés, Seigneur, il ſe diſpoſe, D'vn tel air, qu’on ne ſçait s’il accepte ou propoſe:	À ce que vous voulez, Seigneur, il se dispose, D'un tel air, qu'on ne sait s'il accepte ou propose:
L’on croid, ſi le reſpect ne l’auoit retenu, Qu’il eût paru fâché, de ſe voir preuenu.	L'on croid, si le respect ne l'avait retenu, Qu'il eût paru fâché, de se voir prévenu.
Mais à ne pas conclure vne choſe l’oblige;	Mais à ne pas conclure une chose l'oblige;
Ce que la bienſéance en pareil cas exige:	Ce que la bienséance en pareil cas exige:
Il veut à ſes parents faire ciuilité, Non pour délibérer, mais par formalité.	Il veut à ses parents faire civilité, Non pour délibérer, mais par formalité.
Peu de temps luy ſuffit, pour faire qu’il s’acquite, L’écoulement d’vn iour eſt celuy qu’il limite;	Peu de temps Seigneur suffit, pour faire qu'il s'acquite, L'écoulement d'un jour est celui qu'il limite;
Apres lequel il veut ſuiure de poinct en poinct, Ce qui de voſtre part luy pourroit eſtre enjoinct.	Après lequel il veut suivre de point en point, Ce qui de votre part lui pourrait être enjoint.
Il détermine tout, ne met rien en balance, N’oppoſe de ſa fille aucune repugnance;	Il détermine tout, ne met rien en balance, N'oppose de sa fille aucune répugnance;
Elle eſt obéiſſante, & luy pere abſolu:	Elle est obéissante, et lui père absolu:
Si bien que ſans conclure, il ſemble auoir conclu.	Si bien que sans conclure, il semble avoir conclu.
Mais pour le confirmer auec cérémonie;	Mais pour le confirmer avec cérémonie;
Inſpiré, diroit-on, d’vn tres mauuais Génie, Ennemy denos Dieux & de nos ſainctes loix, Il ſounaitté voir Cſaude, vile ſeconde lois.	Inspiré, dirait-on, d'un très mauvais Génie, Ennemi denos Dieux et de nos sainte lois, Il sounaité voir Csaude, vile seconde lois.
Le temps & le lieu pris, châcun d’eux ſe retire.	Le temps et le lieu pris, châcun d'eux se retire.
Pour le reſte, Seigneur, vous l’aués oüy dire.	Pour le reste, Seigneur, vous l'avez oui dire.
DIOCLETIAN lo ſçay bien que Suſanne, au premier entretien, Porta l’eſprit de Claude à ſe faire Chreſtien:	DIOCLETIAN lo semai bien que Susanne, au premier entretien, Porta l'esprit de Claude à se faire Chrétien:
Mais ie demande auſſi, ſçais tu comment Maxime, Par l’eſpnit de Suſaiiſe à coiimis inemſe cimez	Mais était demande aussi, sais tu comment Maxime, Par l'épnit de Susayise à coiimis inemise cimez
ARTISE Seigneur, Claude obligea Maxime à l’aller voir, Qui par elle auſſitoſt ſe laiſſa déceuoir.	ARTISE Seigneur, Claude obligea Maxime à l'aller voir, Qui par elle aussitôt se laissa décevoir.
DIOCLETIAN C’eſt aſſés, mon courroux à ce récit s’augmente:	DIOCLETIAN C'est assez, mon courroux à ce récit s'augmente:
Excuſés, puiſſans Dieux, vne ardeur violente, Oui cauſant vn grand trouble en mon entendement, Vous a fait imputer mon propre manquement.	Excusez, puissants Dieux, une ardeur violente, Oui causant un grand trouble en mon entendement, Vous a fait imputer mon propre manquement.
