LA DRIADE AMOVREVSE, PASTORALLE.	LA DRYADE AMOUREUSE, PASTORALLE.
Et puis pour faire voir leur naturel volage.	Et puis pour faire voir leur naturel volage.
De l’amant non aymé, tiennent mauuais langage, Diſant qu’l n’eſt pas beau qu’il a quelque deffaut, Qu’il ne diſcourt pas bien, & qu’il n’a le cœur haut, Ce qui va teſmorgnant leur ſote nourriture, Et leur eStre yenu de quelque race dure.	De l'amant non aimé, tiennent mauvais langage, Disant qu'l n'est pas beau qu'il a quelque défaut, Qu'il ne discourt pas bien, et qu'il n'a le cœur haut, Ce qui va témorgnant leur soute nourriture, Et leur eÛtre yenu de quelque race dure.
Car vne ſage flle, apriſe à la nertu, De que le bel eſprit d’honneur, et reuestu, Piuti que de tia mer, tnamera in tonunge, De cil, qui plain d’amour à la ſeruir ſe rahge.	Car une sage flle, apprise à la nertu, De que le bel esprit d'honneur, et revêtu, Piuti que de tia mer, tamnera in tonunge, De cil, qui plain d'amour à la servir se rahge.
Y damie.	Y damie.
O le brauecenſeur des actions d’autruy Et ne peut corriger celles qui ſont en luy.	Ô le bravecenseur des actions d'autrui Et ne peut corriger celles qui sont en lui.
Tu es trop tard venu pour des loix nous preſerire, Tan-toy, ſi tu ne veux de toy te fairerire,	Tu es trop tard venu pour des lois nous preserire, Tan-toi, si tu ne veux de toi te fairerire,
Norcen.	Norcen.
Ma foyie gaigne mieux, puis que mon oraiſon Ne vous peut amener au lieu de la raiſon.	Ma foiie gagne mieux, puis que mon oraison Ne vous peut amener au lieu de la raison.
Voſtre ſexe en deux points touſiours nous veut debatre, Aux diſcours plus polis & au lit a combatre.	Votre sexe en deux points toujours nous veut débattre, Aux discours plus polis et au lit à combattre.
Or puis que vostre cœur va reſſemblant au ſer, Qu'vn Cyclope boiteux dans le feu fait chaufer, Qui plus le va batant deſſus la groſſe enclume, D’vn marteau qui, peſant, fait que ſon corps en fum De ſueur & d’enhan, plus le va durciſſant, Et contre tout effort le rend ferme & puiſſant Ie veux me deporter de veus faire careſſe Puis que ne prend point fin voſtre fiere mutye.	Or puis que votre cœur va ressemblant au ser, Qu'un Cyclope boiteux dans le feu fait chauffer, Qui plus le va bâtant dessus la grosse enclume, D'elle marteau qui, pesant, fait que son corps en fum De sueur et d'enhan, plus le va durcissant, Et contre tout effort le rend ferme et puissant Je veux me déporter de veux faire caresse Puis que ne prend point fin votre fière mutye.
Vous auez trop long-temps mon eſprit abuſé, Ie veux à l’auenir me faire plus ruſé, Sans plus paſſer ainſi le plus beau de mon aage, Mieux vaut tard, que iamais, encor deuenir ſage.	Vous avez trop longtemps mon esprit abusé, Je veux à l'avenir me faire plus rusé, Sans plus passer ainsi le plus beau de mon âge, Mieux vaut tard, que jamais, encor devenir sage.
Y damie.	Y damie.
Du depuis qu’a m’aymer amour vous eut eſleu, Vous n’auez encor fait nul acte qui m'urpren,	Du depuis qu'a m'aimer amour vous eut élev, Vous n'avez encor fait nul acte qui m'urpren,
Que cettuy que vous dite, en rompant le cordage Qui vous detient captif a me faire l’homage:	Que celui que vous dite, en rompant le cordage Qui vous détient captif a me faire l'homage:
Vous me rendrez contente en me quitant ainſi, Ce que n’auez-peu faire en l’amoureux ſoucy, Et vous exent du ſoin de mettre vostre eſtude A me faire agreer voſtre humble ſeruitude, Ie vous rends grace ô Dieux, d’auoir fait en aller Cet homme qui de dueil me faiſoit affoler Restant auprez de moy, que i’estois affligee, Dieux que me voila bien d’en eſtre dezagee.	Vous me rendrez contente en me quitant ainsi, Ce que n'avez-peu faire en l'amoureux souci, Et vous exent du soin de mettre votre étude À me faire agréer votre humble servitude, Je vous rends grâce ô Dieux, d'avoir fait en aller Cet homme qui de deuil me faisait affoler Restant auprez de moi, que j'étais afflige, Dieux que me voilà bien d'en être dezage.
Que ne vient à cet heur mon gentil Celidin, Qui me bruſle le cœur d’vn amoureux brandon, Pour m’eſtre, celà qu’eſt du Soleil le viſage Au monde, aprez le cours d'vn tonnerreux brage, Pour m’eſtre, ce que ſont les deux freres iumeaux, A ceux qui vont ſiotant ſur l’eſcume des eaux.	Que ne vient à cet heur mon gentil Celidin, Qui me brûle le cœur d'un amoureux brandon, Pour m'être, celà qu'est du Soleil le visage Au monde, aprez le cours d'un tonnerreux brage, Pour m'être, ce que sont les deux frères jumeaux, À ceux qui vont siotant sur l'écume des eaux.
Sei l but de mes deſirs, doux Soleil de mon ame, Qui te tient ſi long-temps eſtoigné de ta dame, Que tu ne viens la voir, la baiſer, la cherir, Et de ta paßion vn peu luy diſcourir.	Si l' ut de mes désirs, doux Soleil de mon âme, Qui te tient si longtemps estoigné de ta dame, Que tu ne viens la voir, la baiser, la chérir, Et de ta passion un peu sens discourir.
Quoy?	Quoi?
peux-tu tant de iours d’vn obiet diſparoiſtre, De qui ton bel amour iadis a pris ſon eſtre?	peux-tu tant de jours d'un objet disparaître, De qui ton bel amour jadis a pris son être?
Qui premier t’a ſouſlé le feu d’amour au cœur, Et qui c’eſt fait de toy ſi doucement vainqueur, L’eſclair que te lança mon œil dans ta poictrine, Tient-il la qualité d’vne force diuine, Qu’il puiſſe ſubſister ſeullement de par ſoy.	Qui premier t'a souplé le feu d'amour au cœur, Et qui c'est fait de toi si doucement vainqueur, L'éclair que te lança mon œil dans ta poitrine, Tient-il la qualité d'une force divine, Qu'il puisse subsister seullement de par soi.
Et la part où tu ſois te ſouuenir de moy?	Et la part où tu sois te souvenir de moi?
Que celà ſoit ainſi & que iamais l’abſence, Ny le temps hiſfe-tout, ny puiſſe faire offence, Ains ſoit teuſiours viuant, iuſqu’à tant qu’Atropos Nous fate deualer là-bas deuant Minos.	Que celà soit ainsi et que jamais l'absence, Ni le temps hisfe-tout, toujours puisse faire offense, Ains soit teusiours vivant, jusqu'à tant qu'Atropos Nous fate dévaler là-bas devant Minos.
SCENE VI.	SCÈNE VI.
Cendon.	Cendon.
Y Damie.	Y Damie.
Et le Tombean des hucies rimants.	Et le Tombean des hucies rimants.
Celidon.	Celidon.
Ien iey ne nous est de plus inſuportable, N Qu'eſtre abſent d'vn obiet qui nous eſt agreable, Lequel en nostre cœur tient lieu de bien aymé, Ayant touſiours en ſoy ſon portrait imprimé, Rafreſchy fort ſouuent du pinceau de l’idee, Qui d’vn prompt mouuement vers luy ſe roit guide.	Jen gri ne nous est de plus insuportable, N 'être absent d'un objet qui nous est agréable, Lequel en notre cœur tient lieu de bien aimé, Ayant toujours en soi son portrait imprimé, Rafraîchi fort souvent du pinceau de l'ide, Qui d'un prompt mouvement vers lui se roit guide.
Pour voir ſi ce tableau par elle compoſé, Comme l’original est encor d'ſpoſé:	Pour voir si ce tableau par elle composé, Comme l'original est encor d'sposé:
Imitant en celà cil qui ſuit la peinture Apres qu’il a tiré quelque belle figure, Soit d’homme, ou de cheual, aprez vn temps paße, Va voir ſi quelque trait en eſt-point effacé, Et pource il a recours au patron exemplaire, Afin qu’à ſon retour l’autre il puiſſe refaire:	Imitant en cela cil qui suit la peinture Après qu'il a tiré quelque belle figure, Soit d'homme, ou de cheval, apprès un temps passe, Va voir si quelque trait en est-point effacé, Et pource il a recours au patron exemplaire, Afin qu'à son retour l'autre il puisse refaire:
Mais ſelon nos obiets nos amours ſont diuers, Et ne peut-on trouuer parmy cet Vniuers Vingt eſprits dont le vueil à meſme but aſpire, L’vn ayme la beauté, l’autre le bien deſire, I’autre l’honneur eſpoint, l’autre l’ambition, L’autre au Dieu Thracien met ſon affection, 111 Q Et quelqu’vn d’vn cœur haut n’ayme rien que la gloire, Ayant pour ſon obiet les filles de memoire.	Mais selon nos objets nos amours sont divers, Et ne peut-on trouver parmi cet Univers Vingt esprits dont le veuil à même but aspire, L'à aime la beauté, l'autre le bien désire, J'autre l'honneur époint, l'autre l'ambition, L'autre au Dieu Thracien met son affection, 111 Q Et quelqu'un d ' âme d'aime rien que la gloire, Ayant pour son objet les filles de mémoire.
Mais de tous ces amours, le plus noble & plus beau, C’eſt cil qui de beauté allume ſon flambeau, Et dont nous re nons ſouuentle ceciproque:	Mais de tous ces amours, le plus noble et plus beau, C'est cil qui de beauté allume son flambeau, Et dont nous nous nons souventle ceciproque:
Mais non d’autres ſuſdits, qui ſon amoureux mocque.	Mais non d'autres susdits, qui son amoureux moque.
Et pource moy, ie tiens tout eſprit malheureux, Qui ſe fait d autre obiet ardamment deſireux.	Et pource moi, rien tiens tout esprit malheureux, Qui se fait d autre objet ardamment désireux.
Cars’il prend pour obiet la mondaine richeſſe, Et que pour l’acquerir tout plaiſir il delaiſſe, Il ſe meurt doublement, en ſoy & en autruy.	Cars'il prend pour objet la mondaine richesse, Et que pour l'acquérir tout plaisir il délaisse, Il se meurt doublement, en soi et en autrui.
Parce que ſon obiet n’eſt viuant comme luy Et n’eſtant animé il ne ſçauroit luy rendre Nul eſprit pour le ſi en qui dans luy va deſcendrę.	Parce que son objet n'est vivant comme lui Et n'étant animé il ne saurait lui rendre Nul esprit pour le si en qui dans beau va descendr.
Triſte condition de l’auaricieux, Qui pour vn vent, vn rien, pert ſon plus precieux!	Triste condition de l'avaricieux, Qui pour un vent, un rien, pert son plus précieux!
De moy, touſiours mon cœur pour but de ſon enuie, L’amour de la beauté a (braue) pourſuyuie:	De moi, toujours mon cœur pour but de son envie, L'amour de la beauté a (brave) poursuivie:
Et court encor aprez, & tant qu’il boira l’air, Son deſir vers le beau on cognoiſtra voler.	Et court encor apprès, et tant qu'il boira l'air, Son désir vers le beau on connaîtra voler.
Et de ce pas ie vay chercher dans ce boccage Vne douce beauté qui dompte mon courage, Pour luy perſuader qu’ains la fin de ce iour Deſſous la loy d’hymen nous lions noſtre amour:	Et de ce pas toujours vais chercher dans ce bocage Une douce beauté qui dompte mon courage, Pour lui persuader qu'ains la fin de ce jour Dessous la loi d'hymen nous lions notre amour:
Allant le contracter deſſus la ſepulture Des fidelles Amauts, liſant leur auanture, O puiſſance d’Amour!	Allant le contracter dessus la sépulture Des fidèles Amauts, lisant leur aventure, Ô puissance Amour!
la voy-ie pas ſortir Seulette de ce bois?	la vois-je pas sortir Seulette de ce bois?
c’eſt elle ſans mentir.	c'est elle sans mentir.
Amant le plus heureux qui iamais ſeruit Dame, Et que Venus bruſla d’vne amoureuſe flame:	Amant le plus heureux qui jamais servit Dame, Et que Venus brûla d'une amoureuse flamme:
Dieu vous gard mes amours, où ſe tracent vos pas, Allant ſi doucement, & comme par compas.	Dieu vous gard mes amours, où se tracent vos pas, Allant si doucement, et comme par compas.
Y damiie.	Y damiie.
Ils ſe guident à vous, puis que ie vous rencontre, Et que vostre beauté à mes regards ſe monstre.	Ils se guident à vous, puis que je vous rencontre, Et que votre beauté à mes regards se montre.
Celidon.	Celidon.
Or cà donc pour teſmoin de mon contentement, Que de vostre beau corps i’aye vn embraſſement, Payez-moy l'inthereſt d’vneſt longue abſence, etpendant ſuc leuens vosinc enert prejence.	Or cet donc pour témoin de mon contentement, Que de votre beau corps j'aie un embrassement, Payez-moi l'intherest d'un longue absence, etpendant su leuens vosinc ert préjence.
Y damie.	Y damie.
Mon cœur c’eſt bien raiſon, i’ay le meſme deſir De iouyr à mon tour de ce mignard plaiſir.	Mon cœur c'est bien raison, j'ai le Seigneur désir De jouir à mon tour de ce mignard plaisir.
Or il est bien vray dit, aprez vne triſteſſe L’on reçoit volontiers vne grande lieſſe:	Or il est bien vrai dit, aprez une tristesse L'on reçoit volontiers une grande liesse:
Encor d’vn grief ennuy la douleur ie reſſen, Pour eſtre icy venu cet importun Norcen, Qui m’alloit affligeant de ſon großier langage, Afin de luy iurer la foy de mariage:	Encor d'un grief ennui la douleur Dieux ressen, Pour être ici venu cet importun Norcen, Qui m'allait affligeant de son grognier langage, Afin de lui iurer la foiait mariage:
Mais voyant qu’il n’a peu celà gaigner ſur moy, Il s’en eſt en allé plaintif, & plein d’eſmoy.	Mais voyant qu'il n'a peu celà gagner sur moi, Il s'en est en allé plaintif, et plein d'émoi.
Celidon.	Celidon.
Mon tout, que ie t’honore ayant tant de puiſſance De faire à tout amour, fors au mien reſiſtance, Hé que ie ſuis faſché que ie n’ay le pouuoir, Comme la volonte de te le faire voir:	Mon tout, que personne t'honore ayant tant de puissance De faire à tout amour, fors au mien résistance, Hé que tu suis fâché que sans n'ai le pouvoir, Comme la volonté de te le faire voir:
Celà trouble mon heur en ce plaiſir extreſme, Et pour ne pouuoir-pas, ie veux mal à moy-mefme.	Celà trouble mon heur en ce plaisir extrême, Et pour ne pouvoir-pas, toujours veux mal à moi-même.
Ydamie.	Ydamie.
ener colerdemes rena,netedome dejei De produire vn effet de ton amour teſmoin:	ener colerdemes rena,nètedome dejei De produire un effet de ton amour témoin:
moignage Hé, bons Dieux, que veux-tu?	moignage Hé, bons Dieux, que veux-tu?
quel plus grand teſM’en ſçaurois-tu donner, que de ton cœur legage?	quel plus grand tesM'en saurais-tu donner, que de ton cœur légage?
Celidon.	Celidon.
Ha, mon cœur fut à toy, dés le iour bien-heureux Que ie vis les rayons de ton œil amoureux:	Ha, mon cœur fut à toi, dès le jour bienheureux Que tu vis les rayons de ton œil amoureux:
Lranuepun mon torps jans taur m'et jubſiſte, Si ce n’eſt que le tien quelquefois le viſite.	Lranuepun mon torps jans taur m'et jubsiste, Si ce n'est que le tien quelquefois le visite.
Y damie.	Y damie.
De colà, tu te peux, cher amant, aſſeurer, Et de voir cet eſchange à tout iamais durer.	De colà, tu te peux, cher amant, assurer, Et de voir cet échange à tout jamais durer.
Celidon.	Celidon.
Ce n’est encor aſſez:	Ce n'est encor assez:
il nous faut ma chert ane, Des fidelles Amants aller lire la lame, Et là d'vn ſaint hymen nous promettre la foy Puis que de nos amours c’eſt maintenant la loy:	il nous faut ma chert ane, Des fidèles Amants aller lire la me, Et là d'un saint hymen nous promettre la foi Puis que de nos amours c'est maintenant la loi:
Pource qu’au parauant vostre vieillard de pere Vous donnoit à Norcen, & non dame Cithere:	Pource qu'au paravant votre vieillard de père Vous donnait à Norcen, et non dame Cithère:
Il ne faut perdre temps puis que l’occaſion S’en preſente à nos yeux, car ſa poſſeßion Iamais n’a de retour ainſi qu’on le deſire:	Il ne faut perdre temps puis que l'occasion S'en présente à nos yeux, car sa possesiion Jamais n'a de retour ainsi qu'on le désire:
Nous eſchapant, aprez noſtre cœur en ſouſpire,	Nous échappant, apprès notre cœur en soupire,
Y damie.	Y damie.
Puis que vous le voulez, i’ay le meſme vouloir, Encor que de ce fait ie cauſeray douloir.	Puis que vous le voulez, j'ai le même vouloir, Encor que de ce fait appris causerai douloir.
Mon pere Tityron, dont la bruſlante enuie Est qu’à ce ſot Norcen, ie fuſſes aſſeruie.	Mon père Tityron, dont la brûlante envie Est qu'à ce sot Norcen, avait fusses asservie.
Celidon.	Celidon.
De celà n’ayez peur, nous tuerons ſon courroux, Alors qu’il entendra que nous ſerons eſpoux:	De celà n'ayez peur, nous tuerons son courroux, Alors qu'il entendra que nous serons époux:
Nous irons le trouuer, & d’vne bonne grace Nous le prirons tous deux que pardon il nous face:	Nous irons le trouver, et d'une bonne grâce Nous le prirons tous deux que pardon il nous face:
Il pourra s’amolir, ſon cœur n’eſt-pas de fer, Que le feu de pitié ne le puiſſeeſchaufer.	Il pourra s'amolir, son cœur n'est-pas de fer, Que le feu de pitié ne le puisseeschaufer.
Mais ſans plus noun batuer, martnons vire à la tombe Suſdite, qu'vn mal-heur ſur noſtre chef ne tombe Pour trop long-temps atendre:	Mais sans plus nouvn batuer, martnons vire à la tombe Susdite, qu'un malheur sur notre chef ne tombe Pour trop longtemps atendre:
il nous est euident & uuæ ueſfeins tanguiſſans, il ſuruient accident.	il nous est évident et uæ uesfins tanguissants, il survient accident.
Ydamie.	Ydamie.
C’eſt bien la verité, mais ſeruez-moy de guide, Car ie ne ſçay le lieu où ce tombeau reſide.	C'est bien la vérité, mais servez-moi de guide, Car ie ne sais le lieu où ce tombeau réside.
Cendolle Inclinons les genoux, nous voicy paruenus Au lieu tant deſiré, des deux Amants cognus Pour leur fidelité, qui n’eut onc de pareille, Qui furent de leur ſiecle, eſtimez la merueille,	Cendole Inclinons les genoux, nous voici parvenus Au lieu tant désiré, des deux Amants connus Pour leur fidélité, qui n'eut onc de pareille, Qui furent de leur siècle, estimez la merveille,
Ydamie.	Ydamie.
Ainſi mon Celidon, puißions nous eſtre vuis, Iuſqu’à tant que nos iours par Cloton ſoyent finis, Que neſtre fermeté obſcurciſſe la gloire	Ainsi mon Celidon, puissions nous être vis, Jusqu'à tant que nos jours par Cloton soient finis, Que nêtre fermeté obscurcisse la gloire
De ces gentils amants ſacrez a la memonc.	De ces gentils amants sacrés a la mémonc.
Celidon.	Celidon.
I'en coniures Amour, par le chainon plus fort Dont iadis il ſerra les cœurs iuſqu’à la mort De ces parfaits amants, & dont la renommee Ne ſe verra iamais par les ans conſumee:	J'en conjures Amour, par le chaînon plus fort Dont jadis il sera les cœurs jusqu'à la mort De ces parfaits amants, et dont la renommée Ne se verra jamais par les ans consumée:
Or ſus releuons-nous pour lire les diſcours Qui racontent au vray leurs fidelles amours.	Or sus relevons-nous pour lire les discours Qui racontent au vrai leurs fidèles amours.
Vents qui battez les airs de vos fortes alaines Les rochers & les bois, les hauts monts & les plaines, Qui les faites ſonner d’vn bruit haut eſclatant, Alors qu’oppoſitez vous allez combatant, Accoiſez-vous vn peu, & ſurſoyez vos armes, Afinque le lecteur entende mieux ces carmes Qui traittent d’vn amour qui fleurit autrefois Entre deux beaux amants au centre de ces bois.	Vents qui battez les airs de vos fortes alaines Les rochers et les bois, les hauts monts et les plaines, Qui les faites sonner d'un bruit haut éclatant, Alors qu'opposités vous allez combattant, Accoisez-vous un peu, et sursoyez vos armes, Afinque le lecteur entende mieux ces carmes Qui traitent d'être amour qui fleurit autrefois Entre deux beaux amants au centre de ces bois.
Et vous mignards oyſeaux qui d’vn plaiſant ramage Vos plaiſirs amoureux chantez en ce boccage, Faites alte à vos plains & cet endant baiſez Vos plus cheres moitiez de baiſers embraſez, Vous teurtres qui paſſez toute amour oyſeliere En grand fidelité, gardez ce cimetiere:	Et vous mignards oiseaux qui d'un plaisant ramage Vos plaisirs amoureux chantez en ce bocage, Faites alte à vos plains et cet endant baisez Vos plus chères moitiés de baisers embrasés, Vous teurtres qui passez toute amour oiselière En grand fidélité, gardez ce cimetière:
Et vous palmes loyaux qui n’auez le pouuoir De viure & porter fruit ſans l’vn l’autre vous voir, Encernez ce ton beau, & luy portez ombrage De vos fermes rameaux, vous estes teſmoignage Tous deux de fermeté, & de l'amour parfait, Qui aſſez rarement de ce regne ſe fait En ce pays d’Arcade, ou Pan tient ſon empire Au prez du mont Phellon qui aux astres aſpire, Iadis furent viuants deux amans dont le nom	Et vous pâmes loyaux qui n'avez le pouvoir De vivre et porter fruit sans l'un l'autre vous voir, Encernez ce ton beau, et et portez ombrage De vos fermes rameaux, vous êtes témoignage Tous deux de fermeté, et de l'amour parfait, Qui assez rarement de ce règne se fait En ce pays d'Arcade, ou Pan tient son empire Au prez du mont Phelon qui aux astres aspire, Jadis furent viuants deux amants dont le nom
Acquit	Acquit
Aequit pour bien aymer vn immortel renom.	Aéquit pour bien aimer un immortel renom.
Car pour touſiours reſter l’vn à l’autre fidelles N’eurent-pas crainte d’eſtre à leurs parens rebelles.	Car pour toujours rester l'amour à l'autre fidèles N'eurent-pas crainte d'être à leurs parents rebelles.
L’amante eut nom Raſane, & ſon amant MedonChery parfaitement de l’archer Cupidon, Pour estre beau, gentil, accord, & bien honneſte, Qui des cœurs des beautez (braue) faiſoit conqueste.	L'amante eut nom Rasane, et son amant MédonCheri parfaitement de l'archer Cupidon, Pour être beau, gentil, accord, et bien honnête, Qui des cœurs des beautés (brave) faisait conquête.
Sans que nulle iamais peust du ſien triompher Fors Rafane, dont l’œil ſçeut vn iour l’echauffer:	Sans que nulle jamais pût du sien triompher Fors Rafane, dont l'œil sçeut un jour l'échauffer:
Rafane dont le ciel prit ſi grand ſoin & cure, Qu’il la fit naistre icy miracle de nature.	Rafane dont le ciel prit si grand soin et cure, Qu'il la fit naître ici miracle de nature.
Nul ne la pouuoit voir ſans en estre amoureux Encor qu’aprez celà il veſcut malheureux, Pour ne ſçauoir trouuer le moyen de l’atraire A le vouloir aymer, ne ſçachant ſe destraire Non plus de ſon amour, parquoy le deſeſpoir En fit tomber plus d’vn au fond de l’orque noir:	Nul ne la pouvait voir sans en être amoureux Encor qu'aprez celà il vécut malheureux, Pour ne savoir trouver le moyen de l'atraire À le vouloir aimer, ne sachant se détraire Non plus de son amour, parquoi le désespoir En fit tomber plus d'un au fond de l'orque noir:
Ie pere de Medon ſouhaitoit en ſon ame Que ſon fils fust l’amant de l’auoir d’vne fame.	Je père de Médon souhaitait en son âme Que son fils fût l'amant de l'avoir d'une famé.
Et non de ſon merite, & pour celà l’auoit Dedié le mary pour vne qu’il ſçauoit Poſſeder force bien & grande bergerie, Mais ſur toutes außi fort laide, & mal nourrie.	Et non de son mérite, et pour celà l'avait Dédié le mari pour une qu'il savait Posséder force bien et grande bergerie, Mais sur toutes aussi fort laide, et mal nourrie.
Le pere de Rafane auoit meſme deſir, De marier ſa fille au bien non au plaiſir, Et pour-ce la faiſoit (tant il estoit auare) Eſpouze d’vn villain, bien riche, mais ignare.	Le père de Rafane avait même désir, De marier sa fille au bien non au plaisir, Et pour-ce la faisait (tant il était avare) Épouze d'un villain, bien riche, mais ignare.
Mais comme le vouloir du grand Dieu ſouuerais Diſpoſe comme il veut, du fait du genre humain, Thœbus fit naistre vn iour reluiſant & ſans nuë, Auquel ces deux amans eurent leur prime veuë:	Mais comme le vouloir du grand Dieu souverais Dispose comme il veut, du fait du genre humain, Thœbus fit naître un jour reluisant et sans nue, Auquel ces deux amants eurent leur prime vue:
Rafane estrit aux champs gardant le gras troupcan Des brebis de ſon pere, aux riues d’vn ruiſſeau Qui de ces claires eaux arrouſoit vne pres,	Rafane étrit aux champs gardant le gras troupcan Des brebis de son père, aux rives d'un ruisseau Qui de ces claires eaux arrousait une pres,
Des couleurs du Printemps diuerſement pourpree.	Des couleurs du Printemps diversement pourprée.
Medon eſtant Chaſſeur par l’arreſt du deſtin, En ce lieu (ſus nommé) fut conduit vn matin, Où voyant la beauté de Rafane reluire, Il ſentit en ſon cœur vn amoureux martire:	Medon étant Chasseur par l'arrêt du destin, En ce lieu (sus nommé) fut conduit un matin, Où voyant la beauté de Rafane reluire, Il sentit en son cœur un amoureux martyre:
Mais luy qui d’vn eſprit gentil eſtoit pouruen, Sentant ſon cœur bleßé d’amour à l’impourueu, Ainſi que le meurtry va tournant ſa paupiere Contre le maſſacreur qui le met en la biere, Eſtançant contre luy de ſon ſang vn ruiſſeau, Qui demande a venger ſon iniuste tombeau, Medon tourne les yeux vers ſa douce meurtriere, Et tout tremblant d’amour lay fait cette priere, Beaute, pardonnez-moy ſi i’oſe librement Me preſenter à vous:	Mais mille qui d'y fait gentil était pourven, Sentant son cœur blevé d'amour à l'impourvu, Ainsi que le meurtri va tournant sa paupière Contre le massacreur qui le met en la bête, Estançant contre nô de son sang un ruisseau, Qui demande a venger son injuste tombeau, Médon tourne les yeux vers sa douce meurtrière, Et tout tremblant d'amour lay fait cette prière, Beaute, pardonnez-moi si j'ose librement Me présenter à vous:
c’eſt vn plaiſant tourment, Cauſé de vos vertus, qui me pouſſe à ce faire, Et me fait vous prier de ne m’eſtre contraire, L’amour de vos beautez vient mon cœur enflamer, Et le va contraignant à les bien-fort aymer, Bien que ne ſoit icy que pour la fois ſeconde Que ie voy vos beautez les merueilles du monde:	c'est un plaisant tourment, Causé de vos vertus, qui me pousse à ce faire, Et me fait vous prier de ne m'être contraire, L'amour de vos beautés vient mon cœur enflamer, Et le va contraignant à les bienfort aimer, Bien que ne soit ici que pour la fois seconde Que je vois vos beautés les merveilles du monde:
Mais pource n’ayez peur qu’vne inconſtante humeur tit eſmeu mes deſirs aprez cette faueur u’elle ſe joit en moy ſi ſoudain imprimee, mour s’en voler au ciel ainſi qu’vne fumee:	Mais pource n'ayez peur qu'une inconstante humeur tit ému mes désirs aprez cette faveur u'elle se jait en moi si soudain imprimée, mour s'en voler au ciel ainsi qu'une fumée:
Celà n’aduiendra pas, ſon but n’est limité, S’il vous plaist l’agreer, que de l’eternité:	Celà n'adviendra pas, son but n'est limité, S'il vous plaît l'agréer, que de l'éternité:
Cognoiſſant à cela mon humeur inclinee, Qui ne va ſouhaitant que les nœuds d’hymenee.	Connaissant à cela mon humeur incline, Qui ne va souhait que les nœuds d'hyménée.
La belle ayant ouy le diſcours de Medon, Elle ſe ſent bruſter d’vn Paphien brandon.	La belle ayant oui le discours de Médon, Elle se sent brûter d'un Paphien brandon.
Mais elle dißimule, & ne veut qu’il cognoiſſe A ce commencement ſon amoureuſe angoiſſe, Pourelle luy repart ce morties cemmenn,	Mais elle dissimule, et ne veut qu'il connaisse À ce commencement son amoureuse angoisse, Pourelle avait repart ce morties cémenn,
Que l’on deuoit cognoiſtre ains que d’aymer quelqu’vn, Aprez elle ſçauoit ſa flame eſtre certaine, Qu'elle ſe monſtreroit en ſon amour humaine:	Que l'on devait connaître ains que d'aimer quelqu'un, Aprez elle savait sa flamme être certaine, Qu'elle se montrerait en son amour humaine:
Titan fist eſcouler quelque nombre de tours, Où la perfection ſe fit de leurs amours:	Titan fit écouler quelque nombre de tours, Où la perfection se fit de leurs amours:
Auſquels ceux qui parfois ont gousté ces delices, Peuuent s’imaginer leurs ieux, à leurs blandices:	Ausquels ceux qui parfois ont goûté ces délices, Peuvent s'imaginer leurs jeux, à leurs blandices:
Mais de ces deux amants les destins reſistans, Ne firent à leur vueil, leurs peres conſentans, A cauſe qu’ils eſtoyent tous deux pleins d’auarice, (Entre tous les pechez le plus enorme vice) Qui fit que ces amans par le conſeil d’amour, Vindrent dedans ces bois arrester leur ſeiour, Y viuant iuſqu’au bout de cinquante ans le terme, Ou touſiours en amour chacun demeura ferme.	Mais de ces deux amants les destins résistants, Ne firent à leur veuil, leurs pères consentants, A cause qu'ils étaient tous deux pleins d'avarice, (Entre tous les péchés le plus énorme vice) Qui fit que ces amants par le conseil d'amour, Vindrent dedans ces bois arrêter leur seiour, Y vivant jusqu'au bout de cinquante ans le terme, Ou toujours en amour chacun demeura ferme.
Mais aprez que Cloton eut terminé leurs ans, Pan le Dieu des Bergers, des t'ymphes, & des Fans, Voulut qu'à l’auenir, ceux que l’amour enflame, Vinſent ſe marier auprez leur dure lame, Et principalement ceux dont la parenté Les voudroit marter contre teur votonte, D’autãt qu’il cognoiſt bien qu’amour ne ſe doit feindre Et qu’il n’y faut iamai ny forcer ny contraindre.	Mais apprès que Cloton eut terminé leurs ans, Pan le Dieu des Bergers, des t'ymphes, et des Fans, Voulut qu'à l'avenir, ceux que l'amour enflamme, Vinsent se marier auprez leur dure lame, Et principalement ceux dont la parenté Les voudrait marter contre teur votonte, D'autant qu’il connaît bien qu'amour ne se doit feindre Et qu'il n'y faut jamai ni forcer y contraindre.
Aprez ces vers paroiſſent eſcrits ſur le tompeuu, arfait qu'irqauofene uecuuſtume, aux autres qui y venoyent pour la confirmation de leur mariage s’ils s’aymoyent fidellemẽt ainſi qu’il a eſté dit cy deſsus.	Aprez ces vers paraissent écrits sur le tompu, arfait qu'irqavofène uecuustume, aux autres qui y venaient pour la confirmation de leur mariage s'ils s'aimaient fidèlement ainsi qu'il a été dit cy dessus.
O fidelles amants, que le Dieu de Paphos D’vne parfaite amour tient fermement enclos, Nous allons acceptant qu’en cette meſme place, Où repoſent nos corps voſtre hymené ſe face.	Ô fidèles amants, que le Dieu de Paphos D'une parfaite amour tient fermement enclos, Nous allons acceptant qu'en cette même place, Où reposent nos corps votre hymené se face.
Celidon.	Celidon.
