NLELEEION DE LA FESTE DE VERSAILLES.	NLÉLEION DE LA FÊTE DE VERSAILLES.
Ces canaux eſtoient reveſtus de carreaux de porcelaine & de mouſſe, au bord deſquels il y avoit de grands vaſes à l’antique émaillez d’or & d’azur, qui jettant l’eau par trois differens endroits rempliſſoient trois grandes coupes de cryſtal qui ſe dégorgeoient encore dans ces meſmes canaux.	Ces canaux étaient revêtus de carreaux de porcelaine et de mousse, au bord desquels il y avait de grands vases à l'antique émaillez d'or et d'azur, qui jetant l'eau par trois différents endroits remplissaient trois grandes coupes de crystal qui se dégorgeaient encore dans ces mêmes canaux.
Au deſſous du cheval Pegaſe, & vis-àvis la porte par où l’on entroit, on voyoit la figure d’Apollon aſſiſe, tenant dans ſa main vne lyre;	Au dessous du cheval Pégase, et vis-àvis la porte par où l'on entroit, on voyait la figure d'Apollon assise, tenant dans sa main une lyre;
les neuf Muſes eſtoient au deſſous de luy qui tenoient auſſi divers inſtrumens.	les neuf Muses étaient au dessous de Seigneur qui tenaient aussi divers instruments.
Dans les quatre coins du Rocher & au deſſous de la chûte de ces fleuves, il y avoit quatre figures couchées qui en repreſentoient les Divinitez.	Dans les quatre coins du Rocher et au dessous de la chute de ces fleuves, il y avait quatre figures couchées qui en représentaient les Divinités.
De quelque coſté qu’on regardaſt ce Rocher, l’on y voyoit toûjours differens effets d’eau, & les lumieres dont il eſtoit éclairé eſtoient ſi bien diſpoſées, qu’il n’y en avoit point qui ne contribuaſſent à faire paroiſtre toutes les figures qui eſtoient d’argent, & à faire briller davantage les divers éclats de l’eau & les differentes couleurs des pierres & des cryſtaux dont il eſtoit compoſé.	De quelque côté qu'on regardât ce Rocher, l'on y voyait toujours différents effets d'eau, et les lumières dont il était éclairé étaient si bien disposées, qu'il n'y en avait point qui ne contribuassent à faire paraître toutes les figures qui étaient d'argent, et à faire briller davantage les divers éclats de l'eau et les différentes couleurs des pierres et des cristaux dont il était composé.
Il y avoit meſme des lumieres ſi induſtrieuſement cachées dans les cavitez de ce Rocher, qu’elles n’eſtoient point apperceuës, mais qui cependant le faiſoient voir par tout, & donnoient vn luſtre & vn éclat merveilleux à toutes les gouttes d’eau qui tomboient.	Il y avait même des lumières si industrieusement cachées dans les cavités de ce Rocher, qu'elles n'étaient point aperçues, mais qui cependant le faisaient voir par tout, et donnaient vn lustre et un éclat merveilleux à toutes les gouttes d'eau qui tombaient.
Des huit Portes dont ce Salon eſtoit percé, il y en avoit quatre au droit des quatre grandes allées, & quatre autres qui eſtoient vis-àvis des petites allées, qui ſont dans les angles de cette place.	Des huit Portes dont ce Salon était percé, il y en avait quatre au droit des quatre grandes allées, et quatre autres qui étaient vis-àvis des petites allées, qui sont dans les angles de cette place.
A coſté de chaque porte il y avoit quatre grandes niches percées à jour, & remplies d’vn grand pied d’argent;	À côté de chaque porte il y avait quatre grandes niches percées à jour, et remplies d'un grand pied d'argent;
Au deſſus eſtoit vn grand vaze de meſme matiere, qui portoit vne girandolle de cryſtal, allumée de dix bougies de cire blanche.	Au dessus était un grand vaze de même matière, qui portait une girandole de crystal, allumée de dix bougies de cire blanche.
Dans les huit angles qui forment la figure de ce lieu, il y avoit vn corps ſolide taillé ruſtiquement, & dont le fond verdâtre brilloit en façon de cryſtal ou d’eau congelée.	Dans les huit angles qui forment la figure de ce lieu, il y avait un corps solide taillé rustiquement, et dont le fond verdâtre brillait en façon de crystal ou d'eau congelée.
Contre ce corps eſtoient quatre Coquilles de marbre les vnes au deſſous des autres, & dans des diſtances fort proportionnées;	Contre ce corps étaient quatre Coquilles de marbre les unes au dessous des autres, et dans des distances fort proportionnées;
la plus haute eſtoit la moins grande, & celles de deſſous augmentoient toûjours en grandeur pour mieux recevoir l’eau qui tomboit des vnes dans les autres.	la plus haute était la moins grande, et celles de dessous augmentaient toujours en grandeur pour mieux recevoir l'eau qui tombait des unes dans les autres.
On ayoit mis ſur la Coquille la plus élevée vne girandolle de cryſtal allumée de dix bougies, & de cette Coquille ſortoit de l’eau en forme de nape, qui tombant dans la ſeconde Coquille ſe répandoit dans vne troiſiéme où l’eau d’vn maſque poſé au deſſus, venant à ſe rendre la rempliſſoit encore davantage.	On ayait mis sur la Coquille la plus élevée une girolle de crystal allumée de dix bougies, et de cette Coquille sortait de l'eau en forme de nape, qui tombant dans la seconde Coquille se répandait dans une troisième où l'eau d'un masque posé au dessus, venant à se rendre la remplissait encore davantage.
Cette troiſiéme Coquille eſtoit portée par deux Dauphins, dont les écailles eſtoient de couleur de nacre:	Cette troisième Coquille était portée par deux Dauphins, dont les écailles étaient de Couleur de nacre:
Ces deux Dauphins jettoient de l’eau dans la quatriéme Coquille, où tomboit auſſi en nape l’eau de la Coquille qui eſtont au denus;	Ces deux Dauphins jetaient de l'eau dans la quatrième Coquille, où tombait aussi en nape l'eau de la Coquille qui est au denus;
& toutes ces caux venoient enfin à ſe rendre dans vn Baſſin de marbre, aux deux extremitez duquel eſtoient deux grands vazes remplis d’orangers.	et toutes ces caux venaient enfin à se rendre dans un Bassin de marbre, aux deux extrémités duquel étaient deux grands vazes remplis d'orangers.
E ij	E ij
Le Platfond de ce lieu n’eſtoit pas ceintré en forme de voûte;	Le Platfond de ce lieu n'était pas ceintré en forme de voûte;
Il s’élevoit juſques à l’ouverture du petit Dôme par huit pans qui repreſentoient vn compartiment de menuiſerie artiſtement taillé de feüillages dorez.	Il s'élevoit jusques à l'ouverture du petit Dôme par huit pans qui représentaient un compartiment de menuiserie artistement taillé de feuillages dorés.
Dans ces compartimens qui paroiſſoient percez, l’on avoit peint des branches d’arbres au naturel pour avoir plus d’vnion avec la feüillée, dont le corps de cet édifice eſtoit compoſé;	Dans ces compartiments qui paraissaient percez, l'on avait peint des branches d'arbres au naturel pour avoir plus d'vnion avec la feuillée, dont le corps de cet édifice était composé;
Le haut du petit dôme eſtoit aurii vil comparchnene ervne niele brocerie d’or & d’argent ſur vn fond vert.	Le haut du petit dôme était auri vil comparchène erviène nièle brocerie d'or et d'argent sur un fond vert.
Outre vingt-cinq luſtres de cryſtal chacun de dix bougies, qui éclairoient ce lieu, & qui tomboient du haut de la voûte;	Outre vingt-cinq lustres de crystal chacun de dix bougies, qui éclairaient ce lieu, et qui tombaient du haut de la voûte;
il y en avoit encore d’autres au milieu des huit portes qui eſtoient attachez avec de grandes écharpes de iugone encre des reictons de neurs noüen avec de pareilles écharpes enrichies d’vne frange de meſme.	il y en avait encore d'autres au milieu des huit portes qui étaient attachés avec de grandes écharpes de jugone encre des reictons de neurs nuen avec de pareilles écharpes enrichies d'une frange de même.
Sur la grande corniche qui regnoit tout autour de ce Salon, eſtoient rangez ſoixante-quatre vaſes de Porcelaine remplis de diverſes fleurs;	Sur la grande corniche qui régnait tout autour de ce Salon, étaient rangés soixante-quatre vases de Porcelaine remplis de diverses fleurs;
& entre ces vaſes on avoit mis 64.	et entre ces vases on avait mis 64.
boules de cryſtal de diverſes couleurs & d’vn pied de diametre, ſouſtenuës ſur des pieds d’argent:	boules de crystal de diverses couleurs et d'un pied de diamètre, soutenues sur des pieds d'argent:
Elles paroiſſoient comme autant de pierres precieu ſes, & eſtoient éclairées d’vne maniere ſi ingenieuſe que la lumiere paſſant au travers, & ſe trouvant chargée des differentes couleurs de ces cryſtaux, ſe répandoit par tout le haut du Platfonc, où elle faiſoit des effets ſi admirables qu’il ſembloit que ce fuſſent les couleurs meſme d’vn veritable Arc-en-Ciel.	Elles paraissaient comme autant de pierres précieu ses, et étaient éclairées d'une manière si ingénieuse que la lumière passant au travers, et se trouvant chargée des différentes couleurs de ces cristaux, se répandait par tout le haut du Platfonc, où elle faisait des effets si admirables qu'il semblait que ce fussent les couleurs même d'un véritable Arc-en-Ciel.
De cette corniche & du tour que formoit l’ouverture du petit dôme, pendoient pluſieurs feſtons de toutes ſortes de fleurs attachez avec de grandes écharpes de gaze d’argent, dont les bouts tombant entre chaque feſton, paroiſſoient avec beaucoup d’éclat & de grace ſur tout le corps de cette Architecture qui eſtoit de feüillages, & dont l’on avoit ſi bien ſceu former differentes ſortes de verdure, que la diverſité des arbres qu’on y avoit employez & que l’on avoit ſceu accommoder les vns auprés des autres, ne faiſoit pas vne des moindres beautez de la compoſition de cet agreable édifice.	De cette corniche et du tour que formait l'ouverture du petit dôme, pendaient plusieurs festons de toutes sortes de fleurs attachés avec de grandes écharpes de gaze d'argent, dont les bouts tombant entre chaque feston, paraissaient avec beaucoup d'éclat et de grâce sur tout le corps de cette Architecture qui était de feuillages, et dont l'on avait si bien su former différentes sortes de verdure, que la diversité des arbres qu'on y avait employés et que l'on avait su accommoder les uns auprés des autres, ne faisait pas été dé moindres beauté de la composition de cet agréable édifice.
Au delà du Portique, qui eſtoit vis-à-vis de celuy par où l’on entroit, on avoit dreſſé vn Bufet d’vne beauté & d’vne richeſſe toute extraordinaire.	Au delà du Portique, qui était vis-à-vis de celui par où l'on entroit, on avait dressé un Bufet d'une beauté et d'une richesse toute extraordinaire.
Il eſtoit enfoncé de dix-huit pieds dans l’allée, & l’on y montoit par trois grands degrez en forme d’eſtrade:	Il était enfoncé de dix-huit pieds dans l'allée, et l'on y montait par trois grands degré en forme d'estrade:
Il y avoit des deux coſtez de ce Buſet deux manieres d’aîles élevées d’environ dix pieds de haut, dont le deſſous ſervoit pour paſſer ceux qui portoient les viandes;	Il y avait des deux côtés de ce Buset deux manières d'aîles élevées d'environ dix pieds de haut, dont le dessous servait pour passer ceux qui portaient les viandes;
Sur le milieu de chacune de ces aîles eſtoit vn Socle de verdure qui portoit vn grand gueridon d’argent chargé d’vne girandolle auſſi d’argent allumée de bougies de onamumonoycouicone do oos gueriuonis pluſieurs grands vazes d’argent.	Sur le milieu de chacune de ces aîles était un Socle de verdure qui portait un grand guéridon d'argent chargé d'une girandole aussi d'argent allumée de bougies de onamumonoicouicone do oos gueriuonis plusieurs grands vazes d'argent.
Contre ce Socle eſtoit attachée vne grãde plaque d’argent a trois branches portant chacune vn flambeau de cire blanche.	Contre ce Socle était attachée une grand plaque d'argent à trois branches portant chacune un flambeau de cire blanche.
Sur la table du Bufet il y avoit quatre degrez de deux pieds de large, & de trois à quatre pieds de haut, qui s’élevoient juſques a vn Platfond de feüillée de vingt-cinq pieds d’exhauſſement;	Sur la table du Buffet il y avait quatre degré de deux pieds de large, et de trois à quatre pieds de haut, qui s'élevaient jusques a un Platfond de feuillée de vingt-cinq pieds d'exhaussement;
Sur ce Bufet & ſur ces degrez l’on voyoit dans vne diſpoſition agreable vingt-quatre baſſins d’argent d’vne grandeur extréme & d’vn ouvrage merveilleux;	Sur ce Buffet et sur ces degré l'on voyait dans une disposition agréable vingt-quatre bassins d'argent d'une grandeur extrême et d'une ouvrage merveilleux;
Ils eſtoient ſeparez les vns des autres par autant de grands vazes, de caſolettes & de girandolles d’argent d’vne pareille beauté;	Ils étaient séparés les uns des autres par autant de grands vazes, de casolettes et de girandoles d'argent d'une pareille beauté;
Il y avoit ſur la table vingt-quatre grands pots d’argent remplis de toutes ſortes de fleurs.	Il y avait sur la table vingt-quatre grands pots d'argent remplis de toutes sortes de fleurs.
avec la nef du Roy, la vaiſſelle & les verres deſtinez pour ſon ſervice.	avec la nef du Roi, la vaisselle et les verres destinez pour son service.
Au devant de la table on voyoit vne grande cuvette d’argent en forme de coquille, & aux deux bouts du Bufet quatre gueridons d’argent de ſix pieds de haut, ſur.	Au devant de la table on voyait une grande cuvette d'argent en forme de coquille, et aux deux bouts du Bufet quatre guéridons d'argent de six pieds de haut, sur.
leſquels eſtoient des girandolles d’argent allumées de dix bougies de cire blanche.	lesquels étaient des girandolles d'argent allumées de dix bougies de cire blanche.
Dans les deux autres arcades qui eſtoient à coſté de celle-cy, eſtoient deux autres Bufets moins hauts & moins larges que celuy du milieu:	Dans les deux autres arcades qui étaient à côté de celle-cy, étaient deux autres Bufets moins hauts et moins larges que celui du milieu:
Chaque table avoit deux degrez, ſur leſquels eſtoient dreſſez quatre grands baſſins d’argent, qui accompagnoient vn grand vaze chargé d’vne girandolle allumée de dix bougies, & entre ces baſſins & ce vaze il y avoit pluſieurs figures d’argent.	Chaque table avait deux degré, sur lesquels étaient dressez quatre grands bassins d'argent, qui accompagnaient un grand vaze chargé d'une girandole allumée de dix bougies, et entre ces bassins et ce vaze il y avait plusieurs figures d'argent.
Aux deux bouts du Bufet l’on voyoit deux grandes placques portant chacune trois flambeaux de cire blanche, au deſſus du doſſier vn gueridon d’argent chargé de pluſieurs bougies, & à coſté pluſieurs grands vazes d’vn prix & d’vne peſanteur extraordinaire;	Aux deux bouts du Buffet l'on voyait deux grandes placques portant chacune trois flambeaux de cire blanche, au dessus du dossier un guéridon d'argent chargé de plusieurs bougies, et à côté plusieurs grands vazes d'un prix et d'une pesanteur extraordinaire;
outre ſix grands baſſins qui ſervoient de fond.	outre six grands bassins qui servaient de fond.
Devant chaque table il y avoit vne grande cuvette d’argent peſant mille marcs, & ces tables qui eſtoient comme deux credences pour accompagner le grand bufet du Roy, eſtoient deſtinées pour le ſervice des Dames.	Devant chaque table il y avait été grande cuvette d'argent pesant mille marcs, et ces tables qui étaient comme deux crédences pour accompagner le grand buffet du Roi, étaient destinées pour le service des Dames.
Au delà de l’arcade, qui ſervoit d’entrée du corte de rance qui deſcend veis les giilles du grand parc, eſtoit vn enfoncement de dix-huit toiſes de long, qui formoit comme vn avantSalon.	Au delà de l'arcade, qui servait d'entrée du corte de rance qui descend veis les giilles du grand parc, était un enfoncement de dix-huit toises de long, qui formait comme un avantSalon.
Ce lieu eſtoit terminé d’vn grand portique de verdure, au delà duquel il y avoit vne grande Sale bornée par les deux coſtez des paliſſades de l’allée, & par l’autre bout d’vn autre portique de feüillages.	Ce lieu était terminé d'une grand portique de verdure, au delà duquel il y avait une grande Sale bornée par les deux côtés des palissades de l'allée, et par l'autre bout d'un autre portique de feuillages.
Dans cette Sale l’on avoit dreſſé quatre grandes tentes tres-magnifiques, ſous leſquelles étoient huit tables accompagnées de leurs bufets, chargez de baſſins, de verres & de lumieres, diſpoſées dans vn ordre tout a fait ſingulier.	Dans cette Sale l'on avait dressé quatre grandes tentes très -magnifiques, sous lesquelles étaient huit tables accompagnées de leurs bufets, chargés de bassins, de verres et de lumières, disposées dans un ordre tout a fait singulier.
Lors que le Roy fut entré dans le Salon octogone, & que toute la Cour ſurpriſe de la beauté & de la diſpoſition ſi extraordinaire de ce lieu, en eut bien conſideré toutes les parties, ſa Majeſté ſe mit à table, le dos tourné du coſté par où elle avoit entré, & lors que Monſieur eut auſſi pris ſa place.	Lors que le Roi fut entré dans le Salon octogone, et que toute la Cour surprise de la beauté et de la disposition si extraordinaire de ce lieu, en eut bien considéré toutes les parties, sa Majesté se mit à table, le dos tourné du côté par où elle avait entré, et lors que Monsieur eut aussi pris sa place.
les Dames qui eſtoient nommées par ſa Majeſté pour y ſouper, prirent les leurs ſelon qu’elles ſe rencontrerent ſans garder aucun rang:	les Dames qui étaient nommées par sa Majesté pour y souper, prirent les leurs selon qu'elles se rencontrèrent sans garder aucun rang:
Celles qui eurent cet honneur furent, Meſdemoiſelles d’An- Me la Mareſchale de gouleſmes.	Celles qui eurent cet honneur furent, Mesdemoiselles d'An- Me la Maréchale de goulèmes.
Caſtelnau.	Castelau.
Me Aubry de Courcy.	Me Aubri de Courcy.
Me de Comminge.	Me de Comminge.
Me de Saint Arbre.	Me de Saint Arbre.
Me de Broglio.	Me de Broglio.
Me de Bailleul.	Me de Bailleul.
Me de Bonnelle.	Me de Bonnelle.
Me Bignon.	Me Bignon.
Me de Bordeaux.	Me de Bordeaux.
Mlle Borelle.	Mlle Borelle.
Me de Briſſac.	Me de Brissac.
2 Me la Marquiſe de Caſtelnau.	2 Me la Marquise de Castelnau.
Mlle d’Elbeuf.	Mlle d'Elbeuf.
Me la Mareſchale d'Albret & Mlle ſa fille.	Me la Maréchale d'Albret et Mlle sa fille.
Me la Mareſchale d’Estrée.	Me la Maréchale d'Estrée.
Me la Mareſchale de la Me de Coulange.	Me la Maréchale de la Me de Coulange.
Ferté.	Ferté.
Me la Mareſchale de Me de la Fayette.	Me la Maréchale de Me de la Fayette.
Clerembaut.	Clerembaut.
Me la Cõteſſe de Fieſque.	Me la Comtesse de Fièque.
Me de Richelieu.	Me de Richelieu.
Me la Ducheſſe de RicheMe Tambonneau.	Me la Duchesse de RicheMe Tambonneau.
Me la Ducheſſe de la Valliere.	Me la Duchesse de la Vallière.
Me de Valavoire.	Me de Valavoire.
& de fruits ſucrez, qui ſembloient eſtre crûs parmy les pierres & en faire partie.	et de fruits succès, qui semblaient être crus parmi les pierres et en faire partie.
Il y avoit ſur les huit angles qui marquent la figure du Rocher & de la table huit pyramides de fleurs, dont chacune eſtoit compoſée de treize porcelaines remplies de differens mez;	Il y avait sur les huit angles qui marquent la figure du Rocher et de la table huit pyramides de fleurs, dont chacune était composée de treize porcelaines remplies de différents méz;
Il y eut cinq ſervices chacun de cinquante-ſix grands plats;	Il y eut cinq services chacun de cinquante-six grands plats;
les plats du deſert eſtoient chargez de ſeize porcelaines en pyramides, où tout ce qu’il y a de plus exquis & de plus rare dans la ſaiſon y paroiſſoit à l’œil & au gouſt, d’vne maniere qui ſecondoit bien ce que l’on avoit fait dans cet agreable lieu pour charmer la veuë.	les plats du désert étaient chargés de seize porcelaines en pyramides, où tout ce qu'il y a de plus exquis et de plus rare dans la saison y paraissait à l'œil et au goût, d'une manière qui secondait bien ce que l'on avait fait dans cet agréable lieu pour charmer la vue.
Dans vne allée aſſez proche delà, & ſous vne tente eſtoit la table de la Reine où mangeoit Madame, Mademoiſeille, Madame la Princeſſe, Madame la Princeſſe de Carignan;	Dans une allée assez proche delà, et sous un tente était la table de la Reine où mangeait Madame, Mademoiseille, Madame la Princesse, Madame la Princesse de Carignan;
Monſeigneur le Dauphin ſoupa au Chaſteau dans ſon appartement.	Monseigneur le Dauphin soupa au Château dans son appartement.
Le Roy eſtoit ſervy par Monſieur le Duc, & Monſieur par le Sieur de Valentiné;	Le Roi était servi par Monsieur le Duc, et Monsieur par le Sieur de Valentiné;
Les Sieurs Grotteau Controlleur de la bouche, Gaut & Chamois Controlleurs d’Offices, mettoient les viandes ſur la table.	Les Sieurs Grotteau Controlleur de la bouche, Gaut et Chamois Controlleurs d'Offices, mettaient les viandes sur la table.
Le Mareſchal de Bellefond ſervoit la Reine;	Le Maréchal de Bellefond servait la Reine;
le Sieur Courtet Controlleur d’Office ſervoit Madame;	le Sieur Courtet Controlleur d'Office servait Madame;
le Sieur de la Grange auſſi Controlleur d’Office mettoit ſur table;	le Sieur de la Grange aussi Controleur d'Office mettait sur table;
Les cent Suiſſes de la	Les cent Suisses de la
Garde portoient les viandes, & les Pages & Va	Garde portaient les viandes, et les Pages et Va
lets de Pied du Roy, de la Reine, de Monſieur & de Madame ſervoient les tables de leurs Majeſtez.	lets de Pied du Roi, de la Reine, de Monsieur et de Madame servaient les tables de leurs Majestés.
Dans le meſme temps que l’on portoit ſur ces deux tables, il y en avoit huit autres que l’on ſervoit de la meſme maniere, qui eſtoient dreſſées ſous les quatre tentes, dont j’ay parlé, & ces tables avoient leurs Maiſtres d’Hoſtel, qui faiſoient porter les viandes par les Gardes Suiſſes.	Dans le même temps que l'on portait sur ces deux tables, il y en avait huit autres que l'on servait de la même manière, qui étaient dressées sous les quatre tentes, dont j'ai parlé, et ces tables avaient leurs Maîtres d'Hôtel, qui faisaient porter les viandes par les Gardes Suisses.
La premiere eſtoit celle, De Mad.	La première était celle, De Mad.
la Comteſſe de Soiſſons de 20.	la Comtesse de Soissons de 20.
couverts.	couverts.
De Mad.	De Mad.
la Princeſſe de Bade de 20.	la Princesse de Bade de 20.
couverts.	couverts.
De Mad.	De Mad.
la Ducheſſe de Crequy de 20.	la Duchesse de Crequy de 20.
couverts, De Mad.	couverts, De Mad.
la Marêchalle de la Mothe de 20.	la Maréchalle de la Mothe de 20.
cou.	cou.
De Mad.	De Mad.
de Montauſier de 40.	de Montausier de 40.
couverts.	couverts.
De Mad.	De Mad.
la Mareſchalle de Bellefond de 65.	la Maréchalle de Bellefond de 65.
cou.	cou.
De Mad.	De Mad.
la Marêchalle d’Humieres de 20.	la Maréchalle d'Humieres de 20.
cou.	cou.
De Madame de Bethune de 20.	De Madame de Bethune de 20.
couverts.	couverts.
Il y en avoit encore trois autres dans vne petite allée à coſté de celle que tenoit Madame la Mareſchalle de Bellefond, de quinze à ſeize couverts chacune, dont les Maiſtres d’Hoſtel du Roy avoient le ſoin.	Il y en avait encore trois autres dans une petite allée à côté de celle que tenait Madame la Maréchalle de Bellefond, de quinze à seize couverts chacune, dont les Maîtres d'Hôtel du Roy aient le soin.
Quantité d’autres tables ſe ſervoient de la deſſerte de la Reine, & des autres, pour les femmes de la Reine & pour d’autres perſonnes.	Quantité d'autres tables se servaient de la desserte de la Reine, et des autres, pour les femmes de la Reine et pour d'autres personnes.
Dans la Grotte proche du Chaſteau, il y eut trois tables pour les Ambaſſadeurs, qui furentfervies en mefme temps de 22.	Dans la Grotte proche du Château, il y eut trois tables pour les Ambassadeurs, qui furentfervies en même temps de 22.
couverts chacune.	couverts chacune.
Il y avoit encore en pluſieurs endroits des tables dreſſées où l’on donnoit à manger à tout le monde, & l’on peut dire que l’abondance des viandes, des vins & des liqueurs;	Il y avait encore en plusieurs endroits des tables dressées où l'on donnait à manger à tout le monde, et l'on peut dire que l'abondance des viandes, des vins et des liqueurs;
la beauté & l’excellence des fruits & des confitures, & vne infinité d’autres choſes delicatement appreſtées faſſoit bien voir que la magnificence du Roy ſe répandoit de tous coſtez.	la beauté et l'excellence des fruits et des confitures, et une infinité d'autres choses délicatement apprêtées sassait bien voir que la magnificence du Roi se répandait de tous côtés.
Le Roy s’eſtant levé de table pour donner vn not veau divertiſſement aux Dames, & paſſant par le Portique, où l’allée monte vers le Chaſteau les conduiſit dans la Sale du Bal.	Le Roi s'étant levé de table pour donner un not veau divertissement aux Dames, et passant par le Portique, où l'allée monte vers le Château les conduisit dans la Sale du Bal.
dhr, faboiers Ce Baſtiment n’eſtoit pas tout de feüillages comme celuy où l’on avoit ſoupé;	dhr, faboiers Ce Bâtiment n'était pas tout de feuillages comme celui où l'on avait soupé;
Il repreſentoit vne ſuperbe Salle reveſtuë de marbre & de porphire, & ornée ſeulement en quelques endroits de verdure & de feſtons.	Il représentait une superbe Salle revestuë de marbre et de porphyre, et ornée seulement en quelques endroits de verdure et de festons.
Vn grand portique de ſeize pieds de large & de trente-deux de haut ſervoit d’entrée à ce riche Salon;	Un grand portique de seize pieds de large et de trente-deux de haut servait d'entrée à ce riche Salon;
Il avançoit environ trois toiſes dans l’allée, & cette avance ſervoit encorede veſtibule, & faiſoit ſymetrie aux autres enfoncemens qui ſe rencontroient dans les huict coſtez.	Il avançait environ trois toises dans l'allée, et cette avance servait encore vestibule, et faisait symétrie aux autres enfoncements qui se rencontraient dans les huit côtés.
Du milieu du portique pendoient de grands feſtons de fleurs attachez de part & d’autre.	Du milieu du portique pendaient de grands festons de fleurs attachés de part et d'autre.
Aux deux coſtez de l’entrée & ſur deux pieds d’eſtaux on voyoit des thermes repreſentant des Satyres, qui eſtoient là comme les gardes de ce beau lieu.	Aux deux côtés de l'entrée et sur deux pieds d'étaux on voyait des thermes représentant des Satyres, qui étaient là comme les gardes de ce beau lieu.
A la hauteur de huict pieds ce Salon eſtoit ouvert par les ſix coſtez entre la porte par où l’on entroit & l’allée du milieu:	À la hauteur de huit pieds ce Salon était ouvert par les six côtés entre la porte par où l'on entroit et l'allée du milieu:
Ces ouvertures formoient ſix grandes arcades qui ſervoient de tribunes, où l’on avoit dreſſé pluſieurs ſieges en forme d’amphitheatres, pour aſſeoir plus de ſix-vingts perſonnes dans chacune.	Ces ouvertures formaient six grandes arcades qui servaient de tribunes, où l'on avait dressé plusieurs sièges en forme d'amphithéâtres, pour asseoir plus de six-vingts personnes dans chacune.
Ces enfoncemens eſtoient ornez de feüillages qui venant à ſe terminer contre les pilaſtres & le haut dades y montroient âſſez que ce bel endroit el.	Ces enfoncements étaient ornés de feuillages qui venant à se terminer contre les pilastres et le haut dades y montraient âssez que ce bel endroit elle.
paré comme à vn jour de Feſte, puis que l’on y meſloit des feüilles & des fleurs pour l’orner;	paré comme à un jour de Fête, puis que l'on y mêlait des feuilles et des fleurs pour l'orner;
car les impoſtes & les clefs des arcades eſtoient marquez par des feſtons & des ceintures de fleurs.	car les impostes et les clefs des arcades étaient marqués par des festons et des ceintures de fleurs.
Du coſté droit dans l’arcade du milieu & au haut de l’enfoncement eſtoit vne grotte de rocaille, où dans vn large baſſin travaillé ruſtiquement l’on voyoit Arion porté ſur vn Dauphin, & tenant vne lyre:	Du côté droit dans l'arcade du milieu et au haut de l'enfoncement était grotte de rocaille, où dans un large bassin travaillé rustiquement l'on voyait Arion porté sur un Dauphin, et tenant une lyre:
Il avoit à coſté de luy deux Tritons;	Il avait à côté de lui deux Tritons;
C’eſtoit dans ce lieu que les Muſiciens eſtoient placez.	C'était dans ce lieu que les Musiciens étaient placés.
A l’oppoſite l’on avoit mis tous les joüeurs d’Inſtrumens:	À l'opposite l'on avait mis tous les joüeurs d'Instruments:
L’enfoncement de l’arcade où ils eſtoient formoit auſſi vne grotte où l’on voyoit Orphée ſur vn rocher, qui ſembloit joindre ſa voix à celle de deux Nymphes aſſiſes auprés de luy.	L'enfoncement de l'arcade où ils étaient formait aussi une grotte où l'on voyait Orphée sur un rocher, qui semblait joindre sa voix à celle de deux Nymphes assises auprès de Seigneur.
Dans le fond des quatre autres arcades il y avoit d’autres grotes, où par la gueule de certains monſtres ſortoit de l’eau qui tomboit dans des baſſins ruſtiques d’où elle s’échappoit entre des pierres, & degouttoit lentement parmy la mouſſe & les rocailles.	Dans le fond des quatre autres arcades il y avait d'autres grotes, où par la gueule de certains monstres sortait de l'eau qui tombait dans des bassins rustiques d'où elle s'échappait entre des pierres, et degouttoit lentement parmi la mousse et les rocailles.
Dans le milieu des pieds-d’eſtaux il y avoit des maſques de bronze doré, qui jettoient de l’eau dans vn baſſin.	Dans le milieu des pieds-d'étaux il y avait des masques de bronze doré, qui jetaient de l'eau dans un bassin.
Au bas de chaque pied-d’eſtail, & des deux coſtez du meſme baſſin s’élevoient deux jets d’eau qui formoient deux chandeliers.	Au bas de chaque pied-d’étail, et des deux côtés du même bassin s'élevoient deux jets d'eau qui formaient deux chandeliers.
Tout autour de ce Salon regnoit vn ſiege de marbre ſur lequer derpace en eipace citolent pluneurs vaſes remplis d’Orangers.	Tout autour de ce Salon régnait un siège de marbre sur lequer derpace en éjpace citolent pluneurs vases remplis d'Orangers.
Dans l’arcade qui eſtoit vis-à-vis de l’entrée, & qui ſervoit d’ouverture à une grande allée de verdure l’on voyoit encore ſur deux pieds d’eſtaux deux figures, qui repreſentoient Flore & Pomone:	Dans l'arcade qui était vis-à-vis de l'entrée, et qui servait d'ouverture à une grande allée de verdure l'on voyait encore sur deux pieds d'étaux deux figures, qui représentaient Flore et Pomone:
De ces pieds d’eſtaux il en ſortoit de l’eau comme de ceux du Salon.	De ces pieds d'étaux il en sortait de l'eau comme de ceux du Salon.
Le haut de ce Salon s’élevoit au deſſus de la corniche par huit pans juſques à la hauteur de douze pieds;	Le haut de ce Salon s'élevoit au dessus de la corniche par huit pans jusques à la hauteur de douze pieds;
puis formant un plat-fond de figure octogone, laiſſoit dans le milieu une ouverture de pareille forme, dont l’enfoncement eſtoit de cinq à ſix pieds.	puis formant un plat-fond de figure octogone, laissait dans le milieu une ouverture de pareille forme, dont l'enfoncement était de cinq à six pieds.
