LE DICTATEVR ROMAIN.	LE DICTATEUR ROMAIN.
& quelle eſt ce audace, Qui te fait demander & ſa vie, & ma grace?	et quelle est ce audace, Qui te fait demander et sa vie, et ma grâce?
Quoy!	Quoi!
pour mon Ennemy, qu’vn crime re Vainqueur, Ta bouche oſe s’ouurir auſſi bien que ton cœu Quelle indiſcretion!	pour mon Ennemi, qu'un crime re Vainqueur, Ta bouche ose s'ouvrir aussi bien que ton cœu Quelle indiscrétion!
où va cette imprudence Madame, & l’on trahit ainſi ma confidence?	où va cette imprudence Madame, et l'on trahit ainsi ma confidence?
Vous eſtes femme enfin, & vous auez parlé.	Vous êtes femme enfin, et vous avez parlé.
LVCILLE.	LUCILE.
Ie ſuis Mere de plus, & i’ay tout reuelé:	Je suis Mère de plus, et j'ai tout reuelé:
Mais quand bien i’aurois tû ce qu’il falloit apprendre, La parole vous lie, eſt-il moins voſtre Gendre!	Mais quand bien j'aurais tu ce qu'il fallait apprendre, La parole vous lie, est-il moins votre Gendre!
PAPYRE.	PAPYRE.
Le ſecret n’eſtoit pas ſi preſt à publier:	Le secret n'était pas si prêt à publier:
Ma parole eſt ſacrée, elle me doit lier;	Ma parole est sacrée, elle me doit lier;
Ouy, ouy, nous la tiendrons.	Oui, oui, nous la tiendrons.
Vous n’auez ſçeu vous taire;	Vous n'avez su vous taire;
Ma Fille a trop appris, & n’oſe que trop faire:	Ma Fille a trop appris, et n'ose que trop faire:
Mais vn moyen me reſte en le faiſant punir, D’acquitter ma parole, & ne la pas tenir, Ie la dégageray, ſans que ie la viole, Et rompray ce lien ſans rompre ma parole:	Mais un moyen me reste en le faisant punir, D'acquitter ma parole, et ne la pas tenir, Je la dégagerai, sans que je la viole, Et romprai ce lien sans rompre ma parole:
Fabie eſt donc mon Gendre:	Fabie est donc mon Gendre:
& pour ne l’eſtre pas, Ie me puis dégager bien-toſt par ſon trépas;	et pour ne l'être pas, Je me puis dégager bientôt par son trépas;
Ie puniray ſon crime.	Je punirai son crime.
PAPYRIE.	PAPYRIE.
Ah!	Ah!
mon Pere?	mon Père?
PAPYRE.	PAPYRE.
Et le voitre.	Et le voitre.
PAPYRIE.	PAPYRIE.
Sçachez que ſon trépas ſera ſuiuy d'vn autre:	Sachez que son trépas sera suivi d'un autre:
Regardez voſtre foy, ma douleur & ſon rang;	Regardez votre foi, ma douleur et son rang;
Epargnez voſtre Gendre, épargnez voſtre ſang.	Épargnez votre Gendre, épargnez votre sang.
Nous auons merité tous deux voſtre colere;	Nous avons mérité tous deux vôtre colère;
Mais il eſt voſtre Gendre, & vous eſtes mon Pere.	Mais il est votre Gendre, et vous êtes mon Père.
PAPYRE.	PAPYRE.
Mais il eſt criminel, & vous, bien plus que luy.	Mais il est criminel, et vous, bien plus que Rome.
Mais.	Mais.
LVCILLE.	LUCILE.
rerer-vous perii voitre face aujourd’huy?	rerer-vous péri voitre face aujourd'hui?
Croyez que ie ſuiuray le deſtin de ma Fille:	Croyez que Seigneur suivrai le destin de ma Fille:
ioy!	joi!
pour vn poinct d’honneur perdre voſtre Famille?	pour un point d'honneur perdre votre Famille?
PAPYRIE.	PAPYRIE.
Ce point va conſeruer le pouuoir ſouverain, H 1 Qui m’anime à ce coup & me hauſſe la main;	Ce point va conserver le pouvoir souverain, H 1 Qui m'anime à ce coup et me hausse la main;
Ma main luy va donner ce que Rome demandes Si Fabie eſt trop peu, ma Famille en offrande Si ma Famille encore eſt peu pour ſon beſoin;	Ma main y va donner ce que Rome demandes Si Fabie est trop peu, ma Famille en offrande Si ma Famille encore est peu pour son besoin;
Tout mon ſang coulera dans vn ſi noble ſoin;	Tout mon sang coulera dans un si noble soin;
Ma Dictateure attend vn exemple ſi rare;	Ma Dictateure attend un exemple si rare;
Elle, ou Ivy, doit perir.	Elle, ou Ivy, doit périr.
PAPYRE.	PAPYRE.
Quel exemple barbare!	Quel exemple barbare!
Repondons-luy de cœur, sil faut mourir, mourons.	Répondons-lui de cœur, sil faut mourir, mourons.
LVCILLE S’en allant auec ſa Fille.	LUCILE S'en allant apprendre sa Fille.
Cruel, va l’immoler:	Cruel, va l'immoler:
dans peu nous le ſuiurons.	dans peu nous le suivrons.
CAMILLE.	CAMILLE.
Voyez ce qu’en ces cœurs produit voſtre colere.	Voyez ce qu'en ces cœurs produit votre colère.
PAPYRE.	PAPYRE.
Quelle fureur?	Quelle fureur?
ô Dieux!	ô Dieux!
retenez-les, mon Frere:	retenez-les, mon Frère:
I’en demeure interdit.	J'en demeure interdit.
SCENE III.	SCÈNE III.
FLAVIE, CAMILLE, FABIE, PAPYRE, COMINE.	FLAVIE, CAMILLE, FABIE, PAPYRE, COMINE.
SEigneur, n’auancez pas:	SEigneur, n'avancez pas:
eſt courir à la mort;	est courir à la mort;
elle eſt deſſus vos pas;	elle est dessus vos pas;
Ayez plus de reſpect, ou de ſoin pour la vie.	Ayez plus de respect, ou de soin pour la vie.
CAMILLE.	CAMILLE.
Elles ſont deſia loin:	Elles sont déjà loin:
va, cours aprés Flauie.	va, cours après Flavie.
Auançons.	Avançons.
FABIE,	FABIE,
PAPYRE.	PAPYRE.
Ah?	Ah?
c’eſt trop balancer mon courroux:	c'est trop balancer mon courroux:
Il tombera.	Il tombera.
Que voy-je?	Que vois-je?
il tombera ſur vous:	il tombera sur vous:
– oy !	– oy !
tous deux, à mes yeux, dedans ce trouble extréme, Vous venez me brauer iuſqu’en ce Palais meſme?	tous deux, à mes yeux, dedans ce trouble extrême, Vous venez me braver jusqu'en ce Palais même?
FABIE.	FABIE.
Nous venons au deuant d’vn foudre en ſa fe Teul.	Nous venons au devant d'œux foudre en sa se Teul.
COMINE.	COMINE.
Contenter le courroux d’vn puiſſant Empereur.	Contenter le courroux d'une puissant Empereur.
FABIE.	FABIE.
Tous deux en vrais Romains, luy de mon ſort complice, Moy, n’ayant pû ſouffrir la honte d’vn ſupplice.	Tous deux en vrais Romains, lui de mon sort complice, Moi, n'ayant pu souffrir la honte d'un supplice.
Nous venons genereux à vos pieds apporter Deux teſtes, qu’on pouuoit contre vous diſputer.	Nous venons généreux à vos pieds apporter Deux têtes, qu'on pouvait contre vous disputer.
PAPYRE.	PAPYRE.
Quoy!	Quoi!
ces cœurs ſont rendus, ces ardens à combattre?	ces cœurs sont rendus, ces ardents à combattre?
Ces courages plieront, quand ie croy les abbattre?	Ces courages plieront, quand ie cy les abattre?
Releuez-les;	Relevez-les;
i’ay honte à vous voir relaſcher;	j'ai honte à vous voir relâcher;
Soyez, en reſiſtant, dignes de me fâcher:	Soyez, en résistant, dignes de me fâcher:
Donc Fabie eſt rebelle aux loix dans mon Atmée;	Donc Fabie est rebelle aux lois dans mon Atmée;
Et dans Rome, ſes feux ne ſont plus que fumée?	Et dans Rome, ses feux ne sont plus que fumée?
Le Senat le ſoûtient, il peut faire vn party, Et deuant ſon combat ſon cœur s’eſt dement	Le Sénat le soutient, il peut faire un parti, Et devant son combat son cœur sest dément
FABIE.	FABIE.
Mon cœur ne le ſçouroit, il eſt le meſme encorez Mais plus il eſt puiſſant, & plus il vous honore:	Mon cœur ne le sçouroit, il est le reste encore Mais plus il est puissant, et plus il vous honore:
Sans liguer le Senat, ſans armer nos Maiſons, Mon reſpect ſera ſeul ma force, & mes raiſons.	Sans liguer le Sénat, sans armer nos Maisons, Mon respect sera seul ma force, et mes raisons.
Mon courage oſa trop, il ſe laiſſa ſurprendre, Il deroba la gloire, & ie vous la viens rendre;	Mon courage osa trop, il se laissa surprendre, Il déroba la gloire, et personne vous la viens rendre;
Je vous rends mes honneurs, ma dignité, mon ulg;	Je vous rends mes honneurs, ma dignité, mon ulg;
Acceptez ma victoire, & prenez tout mon ſang.	Acceptez ma victoire, et prenez tout mon sang.
PAPYRE.	PAPYRE.
Ie veux tirer ce ſang, non pas qu’on me le donne;	Je veux tirer ce sang, non pas qu'on me le donne;
Ennemy me déplaiſt alors qu’il s’abandonne, vonle miccono nele que dun cime celattant Le fruict qu’vn Criminel doit au ſort qui l’attend.	Ennemi me déplaît alors qu'il s'abandonne, vonle miccono nele que dun cime celattant Le fruit qu'un Criminel doit au sort qui l'attend.
FABIE.	FABIE.
Auancez donc ce lort, cranenen ma deſtinée.	Avancez donc ce lort, cranen ma destinée.
PAPYRE.	PAPYRE.
Le Senat le doit faire, & dans cette iournée.	Le Sénat le doit faire, et dans cette journée.
FABIE.	FABIE.
Daignez auec Camille icy la terminer;	Daignez auec Camille ici la terminer;
E iiij Il m’eſt tout vn Senat, & me peut condamner.	 iiij Ou m’est tout un Sénat, et me peut condamner.
Vous connoiſtrez tous deux combien ie, vous reſpecte:	Vous connaîtrez tous deux combien ici, vous respecte:
Sa vertu moins qu’à moy vous doit eſtre ſuſpecte, men peue cccider deuanſt vous, ce chez luy.	Sa vertu moins qu'à moi vous doit être suspecte, men peue ccider devant vous, ce chez jour.
PAPYRE.	PAPYRE.
Loin d’eſtre voſtre Iuge, il s’eſt fait voſtre appuy.	Loin d'être votre Juge, il s'est fait votre appui.
CAMILLE.	CAMILLE.
Ie le ſuis de ſa gloire, & de ſon innocence, Qui fait vne vertu d’vn crime de licence;	Je le suis de sa gloire, et de son innocence, Qui fait une vertu d'un crime de licence;
Son cœur par vn remords & noble & genereux Deſauouë à ſes bras ce qu’il a fait par eux, ar renonce ula grone, de ſeur en lait Ieproche:	Son cœur par un remords et noble et généreux Désavoue à ses bras ce qu'il a fait par eux, renonce ula grone, de sûr en lait Jeproche:
Et ce cœur ne ſçauroit toucher vn cœur de roche.	Et ce cœur ne saurait toucher un cœur de roche.
PAPYRE.	PAPYRE.
Il le touche, il le perce, & ne l’ébranle point, Ce rocher s’affermit, & demeure en vn poinct.	Il le touche, il le perce, et ne l'ébranle point, Ce rocher s'affermit, et demeure en un point.
FABIE.	FABIE.
Ie voy qu’en luy l’amour a fait place à la haine, Ce poinct me l’a fermé, ce poinct ſeul fait ma peine;	Je vois qu'en avait l'amour a fait place à la haine, Ce point me l'a fermé, ce point seul fait ma peine;
Ce poinct détruit la grace, où i’allois recouri,	Ce point détruit la grâce, où j'allais recouri,
Et plus fort que mon crime il me fera mourir;	Et plus fort que mon crime il me fera mourir;
Il endurcit ce cœur qui fut pour moy ſi tendre, Et vous fait oublier que ie ſuis voſtre Gendre.	Il endurcit ce cœur qui fut pour moi si tendre, Et vous fait oublier que personne suis votre Gendre.
PAPYRE.	PAPYRE.
Mon Gendre!	Mon Gendre!
vn criminel!	Hé criminel!
Non, vous ne l’eſtes plus:	Non, vous ne l'êtes plus:
Ne cherchez point ce titre & des noms ſuperflus, C’eſt en m’obeyſſant qu’il falloit le paroître.	Ne cherchez point ce titre et des noms superflus, C'est en m'obéissant qu'il fallait le paraître.
FABIE.	FABIE.
Les combats m’ont fait voir bien plus digne de l’eſtre;	Les combats m'ont fait voir bien plus digne de l'être;
Et ie n’ay recherché d’eſtre victorieux, Que pour rendre encor plus voſtre choix glorieux, Que pour iuſtifier vne ſi haute place, Acquiſe en voſtre Armée, ainſi qu’en voſtre grace;	Et ici n'ai recherché d'être victorieux, Que pour rendre encor plus votre choix glorieux, Que pour justifier une si haute place, Acquise en votre Armée, ainsi qu'en votre grâce;
Et par vne victoire entrer plus dignement Dedans voſtre Maiſon en Vainqueur, en Amant;	Et par une victoire entrer plus dignement Dedans votre Maison en Vainqueur, en Amant;
Mais par cette Victoire, à ma premiere entrée, Mon amour pour triomphe a la mort rencontrée.	Mais par cette Victoire, à ma première entrée, Mon amour pour triomphe a la mort rencontrée.
Ie l’attens, mais plus noble, & digne de mon cœur:	Je l'attends, mais plus noble, et digne de mon cœur:
Que le bras de l’Amant puniſſe le Vainqueur;	Que le bras de l'Amant punisse le Vainqueur;
Souffrez que mes lauriers s’immolent à ma flame, Que ce fer à vos pieds luy conſacre mon ame;	Souffrez que mes lauriers s'immolent à ma flamme, Que ce fer à vos pieds était consacre mon âme;
Pour ſauuer mon honneur permettez que mon bras, Ce fameux Criminel qui donna ces combats, Sans attendre vn Bourreau qui ſouïlleroit ma gloire, Verſe icy tout mon ſang, pour lauer ma victoire.	Pour sauver mon honneur permettez que mon bras, Ce fameux Criminel qui donna ces combats, Sans attendre un Bourreau qui souïlleroit ma gloire, Verse ici tout mon sang, pour laver ma victoire.
SCENE IV.	SCÈNE IV.
PAPYRE, FABIE Pere, CAMILLE, FABIE Fils, C’OMINE.	PAPYRE, FABIE Père, CAMILLE, FABIE Fils, C'OMINE.
PATTRE.	PATTRE.
Ieux!	Jeux!
que ſents-je?	que sents-je?
eſt-ce moy?	est-ce moi?
FABIE Pere, Voyant ſon Fils à genoux.	FABIE Père, Voyant son Fils à genoux.
Dieux.	Dieux.
que voy-je ?	que vois-je ?
eit-ce luy?	eit-ce Prince?
Quel ſpectacle!	Quel spectacle!
ô mes yeux!	ô mes yeux!
ô mon cœur!	ô mon cœur!
quel ennuy!	quel ennui!
GOMINE.	GOMINE.
Quel furieux tranſport!	Quel furieux transport!
& que vouliez-vous faire?	et que vouliez-vous faire?
FABIE Fils.	FABIE Fils.
Trop peu pour mon amour.	Trop peu pour mon amour.
FABIE Pere.	FABIE Père.
Mais bien trop pour ton Pere:	Mais bien trop pour ton Père:
Qu’ay-je dit?	Qu'ai-je dit?
ie me trompe;	Il me trompe;
& tu n’es pas mon Fils;	et tu n'es pas mon Fils;
Lâche, ce que tu fais détruit ce que tu fis:	Lâche, ce que tu fais détruit ce que tu fis:
Quoy!	Quoi!
pour vne victoire & ſi grande & ſi pleine Implorer ce Cruel?	pour une victoire et si grande et si pleine Implorer ce Cruel?
t’expoſer à ſa haine?	t'exposer à sa haine?
Luy demander la vie?	Lui demander la vie?
ô honte!	ô honte!
ô lâcheté ?	ô lâcheté ?
FABIE Fils.	FABIE Fils.
Moy!	Moi!
mon Pere.	mon Père.
FABIE Pere.	FABIE Père.
Tay-toy:	Tais-toi:
puis-je l’auoir eſté?	puis-je l'avoir été?
Ce cœur remporta-t’il vne double victoire?	Ce cœur remporta-t-il une double victoire?
Ce cœur pourroit-il bien ternir ainſi ſa gloire?	Ce cœur pourrait-il bien ternir ainsi sa gloire?
A-t’il tant de foibleſſe?	A-t-il tant de faiblesse?
eut-il tant de vigueur?	eut-il tant de vigueur?
Infame, répons-moy;	Infâme, réponds-moi;
répons-moy, noble cœur:	réponds-moi, noble cœur:
Mais lâche & genereux, que me peux-tu reſpondre?	Mais lâche et généreux, que me peux-tu répondre?
On voit vne action dans l’autre ſe confondre:	On voit une action dans l'autre se confondre:
L’vne me fait horreur, & l’autre a des appas;	L'une me fait horreur, et l'autre a des appas;
Par elles c’eſt mon Fils, & ſi ce ne l’eſt pas:	Par elles c'est mon Fils, et si ce ne l'est pas:
Parle, fils genereux;	Parle, fils généreux;
mais plutoſt parle, infame;	mais plutôt parle, infâme;
As-tu doublé ton cœur?	As-tu doublé ton cœur?
as-tu doublé ton ame?	as-tu doublé ton âme?
Mais quel aueuglement à ma colere eſt joinr?	Mais quel aveuglément à ma colère est jointr?
Ie t’impute deux cœurs, lâche, tu n’en as point, Aprés vne victoire & ſi belle & ſi rare, Tu viens de le laiſſer aux pieds de ce Barbare?	Je t'impute deux cœurs, lâche, tu n'en as point, Après une victoire et si belle et si rare, Tu viens de le laisser aux pieds de ce Barbare?
L Peux-tu bien racheter vne vie à ce prix, Digne de ſes rigueurs, digne de ſes mépris?	 Peux-tu bien racheter une vie à ce prix, Digne de ses rigueurs, digne de ses mépris?
Ta victoire peut-elle eſtre encore enuiée?	Ta victoire peut-elle être encore enviée?
Il te la doit ceder;	Il te la doit céder;
ah!	ah!
tu l’as bien payée:	tu l'as bien payée:
Quoy:	Quoi:
demander la vie:	demander la vie:
vn Fabie, vn Romain?	un Fabie, un Romain?
As-tu perdu ton cœur?	As-tu perdu ton cœur?
qu’as-tu fait de ta main?	qu'as-tu fait de ta main?
Pour effacer ta honte, & pour finir ma peine, Viens emprunter la mienne, elle eſt toute Romaine;	Pour effacer ta honte, et pour finir ma peine, Viens emprunter la mienne, elle est toute Romaine;
Ie t’ay donné le iour, ie puis te l’arracher, L’auoir en don d’vn autre, ah!	Je t'ai donné le jour, je puis te l'arracher, L'avoir en don d'un autre, ah!
c’eſt vn don trop cher, Quoy!	c'est un don trop cher, Quoi!
demander la vie?	demander la vie?
ô l’indigne foibleſſe?	ô l'indigne faiblesse?
FABIE Fils.	FABIE Fils.
Que ce reproche iniuſte & m’anime & me bleſſe:	Que ce reproche injuste et m'anime et me blesse:
Moy, demander la vie?	Moi, demander la vie?
vn bien plus noble effort Me tenoit à ſes pieds pour implorer la mort:	un bien plus noble effort Me tenait à ses pieds pour implorer la mort:
Mais puis qu’il eſt encore appreuué de mon Pere:	Mais puis qu'il est encore approuvé de mon Père:
Ie puis le contenter, ie dois vous ſatisfaire, Et vay dans mes tranſports de mon cœur amoureux, Si ie doy Criminel, payer en genereux:	Je puis le contenter, je dois vous satisfaire, Et vais dans mes transports de mon cœur amoureux, Si grande dois Criminel, payer en généreux:
Ie preuiendray du moins le ſupplice & ma honte:	Je préviendrai du moins le supplice et ma honte:
Mon ſang, de mes deſirs à tous va rendre conte:	Mon sang, de mes désirs à tous va rendre conte:
Vous liſez dans mon cœnr, vous verrez iuſqu’au fond;	Vous lisez dans mon cœur, vous verrez jusqu'au fond;
Vous mon Pere, voicy comme ie vous répons.	Vous mon Père, voici comme ie vous réponds.
PAPYRE.	PAPYRE.
Arreſtez ſa fureur.	Arrêtez sa fureur.
FABIE Pere.	FABIE Père.
Ou plutoſt ſon courage;	Ou plutôt son courage;
Par luy ie voy!	Par notre grande vois!
mon Fils, & combien ie l’oitrage:	mon Fils, et combien ce l'aitrage:
C’eſt comme mon ſang parle, & repare vn lane y Ie parlois en Fabie, en Fabie il répond.	C'est comme mon sang parle, et répare int lane y Ie parlais en Fabie, en Fabie il répond.
COMINE.	COMINE.
Ie ne vous quitte point.	Je ne vous quitte point.
FABIE Fils.	FABIE Fils.
Faut-il qu'on me contonde?	Faut-il qu'on me contonde?
Souffre que de mon cœur mon propre bras reſponde.	Souffre que de mon cœur mon propre bras réponde.
COMINE.	COMINE.
On connoiſt voſtre cœur digne d’vn autre ſort.	On connaît votre cœur digne d'un autre sort.
FABIE Fils.	FABIE Fils.
On le connoîtra mieux encore par ma mort.	On le connaîtra mieux encore par ma mort.
PAPYRE.	PAPYRE.
La preuenir ainſi, c’eſt la craindre, & ſe rendreIl faut la diſputer:	La prévenir ainsi, c'est la craindre, et se rendreIl faut la disputer:
la force eſt à l’attendre.	la force est à l'attendre.
FABIE Fils.	FABIE Fils.
Ouy, quand auec éclat on la peut diſputer.	Oui, quand auec éclat on la peut disputer.
Mais attendre vn ſupplice?	Mais attendre un supplice?
ah!	ah!
c’eſt le meriter.	c'est le mériter.
CAMILLE.	CAMILLE.
Noſtre vie eſt aux Dieux;	Notre vie est aux Dieux;
le deſtin en diſpoſe!	le destin en dispose!
Le ſupplice eſt honteux ſeulement par la cauſe;	Le supplice est honteux seulement par la cause;
D’vn ſupplice on peut faire vn trépas glorieux, Il fant viure pour nous & mourir pour les Dieux.	D'un supplice on peut faire un trépas glorieux, Il fant vivre pour nous et mourir pour les Dieux.
FABIE Fils.	FABIE Fils.
I’ay vécu pour l’honneur;	J'ai vécu pour l'honneur;
ie veux mourir de meſme.	On veux mourir de même.
PAPYRE.	PAPYRE.
Mourir par deſeſpoir eſt vne erreur extréme.	Mourir par désespoir est une erreur extrême.
FABIE Pere.	FABIE Père.
Ouy, cruel, mais icy rien n’eſt deſeſperé:	Oui, cruel, mais ici rien n'est désespéré:
A t’ouïr, on croiroit ſon trépas preparé;	A -t-ouïr, on croirait son trépas préparé;
Tu crois que le Senat ſelon tes vœux l’appréte;	Tu crois que le Sénat selon tes vœux l'apprête;
Tragedie.	Tragédie.
Tu refuſes ſa main, pour mieux auoir ſa teſte;	Tu refuses sa main, pour mieux avoir sa tête;
Ce n’eſt pas de ſon bras que tu veux obtenir Vne mort qui te vange & le puiſſe punir:	Ce n'est pas de son bras que tu veux obtenir Une mort qui te venge et le puisse punir:
Ta douceur n’eſt que feinte, & ie xoy ta malice;	Ta douceur n'est que feinte, et notre xoi ta malice;
Tu regardes ſa mort, pour hâter ſon ſupplice, C’eſt deſſus ſon honneur que tu veux te vanger?	Tu regardes sa mort, pour hâter son supplice, C'est dessus son honneur que tu veux te venger?
Mais le Senat eſt iuſte, & doit le Proteger:	Mais le Sénat est juste, et doit le Proteger:
Tu n’en veux qu’à ſon nom, tu n’en veux qu’à ſa gloire:	Tu n'en veux qu'à son nom, tu n'en veux qu'à sa gloire:
Ta jalouſie eſt claire, & ta malice eſt noire;	Ta jalousie est claire, et ta malice est noire;
Ton lâche procedé, violent, factieux Met ſon crime ſi haut qu’il t’en montre enuieux;	Ton lâche procédé, violent, factieux Met son crime si haut qu'il t'en montre envieux;
Son crime, qui t’offenſe, eſt ſi beau qu’il nous flatte;	Son crime, qui t'offense, est si beau qu'il nous flatte;
Nous euſſions tû ſa gloire, & tu fais qu’elle éclatte:	Nous eussions tu sa gloire, et tu fais qu'elle éclatte:
Rome qu’elle enrichit, porte au deſſous des loix Ce crime, qui n’eſt plus crime que dans ta voix;	Rome qu'elle enrichit, porte au dessous des lois Ce crime, qui n'est plus crime que dans ta voix;
Que ta voix annoblit, que ta rigueur illuſtre, Qu’elle fera paſſer de l’vn à l’autre luſtre, Ce crime, honneur de Rome, & dont l’accuſateur, Ou plutoſt l’enuieux, eſt vn grand Dictateur, Ce crime, qui la ſauue, & que le Camp renomme, Pour qui l’on dûſt ouurir tous les Temples de Rome, Pour faire ſacrifice, & rendre grace aux Dieux Des victoires qui vont perdre un Victorieux:	Que ta voix annoblit, que ta rigueur illustre, Qu'elle fera passer de l'un à l'autre lustre, Ce crime, honneur de Rome, et dont l'accusateur, Ou plutôt l'envieux, est un grand Dictateur, Ce crime, qui la sauve, et que le Camp renomme, Pour qui l'on dût ouvrir tous les Temples de Rome, Pour faire sacrifice, et rendre grâce aux Dieux Des victoires qui vont perdre un Victorieux:
Ie ne le nomme point ton ilnij iij ton Gendre:	Je ne le nomme point ton ilnij ton Ur:
Ie retire mon ſang quand tu le veux répandre, Veux-tu pour confirmer l’alliance & l’accord Le ſigner par ſon ſang, l’arreſter par ſa mort?	Je retire mon sang quand tu le veux répandre, Veux-tu pour confirmer l'alliance et l'accord Le signer par son sang, l'arrêter par sa mort?
Tygre, va le répandre, & Tygre, va le boire:	Tigre, va le répandre, et Tigre, va le boire:
Mais reuere ſon nom, puniſſant ſa victoire;	Mais révère son nom, punissant sa victoire;
Songe au ſang precieux, qu’elle meſme épargna, Que tu la pouuois perdre, & qu’il te la gagnaa 7Ves	Songe au sang précieux, qu'elle même épargna, Que tu la pouvais perdre, et qu'il te la gagna 7Ves
PAPYRE.	PAPYRE.
Quoy voir?	Quoi voir?
i’ay trop veu ſa deſobeyſſance, Delt dey meme loj trop brauer ma pumance Que l’inſolent orgueil?	j'ai trop vu sa désobéissance, Delt dey -même loj trop braver ma pumance Que l'insolent orgueil?
craignez.	craignez.
FABIE Pere.	FABIE Père.
Ie ne crains rien:	Je ne crains rien:
La crainte eſt aux méchans, nous en differons bien :	La crainte est aux méchants, nous en différons bien :
Connoy mieux ton pouuoir, & les Ames Romaines;	Connoi mieux ton pouvoir, et les Ames Romaines;
Nous auons eu l’éclat des marques ſouueraines:	Nous avons eu l'éclat des marques souveraines:
Ie craindrois, moy !	Je craindrais, moi !
Conſul, trois fois, & Dictateur:	Consul, trois fois, et Dictateur:
Les Romains m’ont veu Maître, & non perſecuteur:	Les Romains m'ont vu Maître, et non persécuteur:
Sans perdre les vainqueurs i’emportois la victoire.	Sans perdre les vainqueurs j'emportais la victoire.
PAPYRE.	PAPYRE.
Ah!	Ah!
c’eſt trop offencer & ma charge & ma gloire, Nous verrons au Senat quel pouuoir nous auons, s attendray-là.	c'est trop offenser et ma charge et ma gloire, Nous verrons au Sénat quel pouvoir nous avons, s' attendrai-là.
FABIE Pere.	FABIE Père.
Fort peu, nous vous ſuiuons.	Fort peu, nous vous suivons.
Allons, mon Fils, allons diſputer de ta vie.	Allons, mon Fils, allons disputer de ta vie.
LVCILLE.	LUCILE.
l'en deſeſpere, & plains l’vn & l’autre Fabie.	l'en désespère, et plains l'un et l'autre Fabie.
Fin du Troiſieſme Acte.	Fin du Troisième Acte.
NCTE EV SCENE PREMIERE.	NCTE EU SCÈNE PREMIÈRE.
LVCILLE, PAPYRIE.	LUCILE, PAPYRIE.
LVCILLE.	LUCILE.
VIS qu’ils ſont au Senat, i’oſe uicole elperers Et ce moment fatal nous donne à reſpirer.	VIS qu'ils sont au Sénat, j'ose Ecole elpérer Et ce moment fatal nous donne à respirer.
PAPYRIE.	PAPYRIE.
Mais à pleurer plutoſt, que dy-je?	Mais à pleurer plutôt, que dis-je?
en ces allarmes?	en ces alarmes?
p'our le ſang de Fabie eſt-ce aſſez que de larmes ?	p'our le sang de Fabie est-ce assez que de larmes ?
Son trépas eſt certain, mon Pere l’y conduit:	Son trépas est certain, mon Père l'y conduit:
Vovez voyez l’eſtat où mon cœur eſt reduit:	Vovez voyez l'état où mon cœur est réduit:
Quoy!	Quoi!
ce Victorieux, que toute Rome admire, Au milieu de ſa gloire en triomphant reſpire?	ce Victorieux, que toute Rome admire, Au milieu de sa gloire en triomphant respire?
Et ce qui dans mes ſens fait naiſtre plus d’horreur, Mon Pereimpetueux l’immole à ſa fureur.	Et ce qui dans mes sens fait naître plus d'horreur, Mon Pèreimpétueux l'immole à sa fureur.
Eſt-ce vn Gendre?	Est-ce un Gendre?
eſt-ce vn Pere?	est-ce un Père?
& ſuis-je encor ſa Fille?	et suis-je encor sa Fille?
Ne conſiderer point ſont rang ny ſa famille?	Ne considérer point sont ranggez sa famille?
Sa foy, leur amitié, ma ſainte affection, Vous meſme, Rome entiere, & ſa protection?	Sa foi, leur amitié, ma sainte affection, Vous -même, Rome entière, et sa protection?
Malgré tout le Senat, qui reſpecte ſa gloire, Accabler ce Vainqueur ſous ſa propre victoire?	Malgré tout le Sénat, qui respecte sa gloire, Accabler ce Vainqueur sous sa propre victoire?
Suiure contre nos vœux ſon violent tranſport?	Suivre contre nos vœux son violent transport?
Oſter à ſa Maiſon vn ſi noble ſupport?	Oster à sa Maison un si noble support?
Vn Gendre, dont la gloire honoroit ſa famille?	Un Gendre, dont la gloire honorait sa famille?
Elt-ce Mrere en enect?	Elt-ce Mre en enect?
& ldis-je encor ſa Fille?	et lédis-je encor sa Fille?
LVCILLE.	LUCILE.
Vous l’eſtes, Papyrie, & dans ce ſentiment Vous témoignez aſſez de l’eſtre noblement:	Vous l'êtes, Papyrie, et dans ce sentiment Vous témoignez assez de l'être noblement:
Fidelle Amante autant que Fille genereuſe Vous blamez iuſtement la loy trop rigoureuſe:	Fidèle Amante autant que Fille généreuse Vous blâmez justement la loi trop rigoureuse:
Comme vous ie la blâme, & ſuis pour voſtre Amant:	Comme vous me la blâme, et suis pour votre Amant:
Mais.	Mais.
PAPYRIE.	PAPYRIE.
Veut-on que i’eſtouffe vn iuſte mouuement?	Veut-on que j'étouffe un juste mouvement?
Donc apres ſa parole & donnée & receuë Son Gendre par ſa mort verra ſa foy deceuë?	Donc après sa parole et donnée et reçue Son Gendre par sa mort verra sa foi déçue?
Eſt-ce comme il la donne?	Est-ce comme il la donne?
eſt-ce comme il la tient?	est-ce comme il la tient?
Ie me treuue engagée, à peine il s’en ſouuient:	Je me trouve engagée, à peine il s'en souvient:
C’eſt mon Epoux enfin, & quoy qu’il en aduienne:	C'est mon Époux enfin, et quoi qu'il en advienne:
