ACTEVRS.	ACTEURS.
auſſi voit-on contre la Tour la figure de Romulus ſous celle d’vne Louue comme il en a eſté allaicté.	aussi voit-on contre la Tour la figure de Romulus sous celle d'une Louve comme il en a été allaicté.
Cette figure ne tient rien de noſtre hiſtoire, mais bien de l’antiquité & choſe remarquable ſeulement.	Cette figure ne tient rien de notre histoire, mais bien de l'antiquité et chose remarquable seulement.
Sur la ſuite de noſtre diſcours Theophile feignant ſa religion, ſe preſenta deuant Olibrius pour eſtre Geolier, s’imaginant que ce ſeroit vne belle inuention pour la ſauuer.	Sur la suite de notre discours Théophile feignant sa religion, se présenta devant Olibrius pour être Geolier, s'imaginant que ce serait une belle invention pour la sauver.
Olibrius fut contraint de quitter Aliſe, & de ſurſeoir cette tyrannique entrepriſe pour s’en aller promptement aux hautes Allemagnes, à cauſe des guerres qui ſe ralumoient en ces pays-là, comme General d’armée ſous l’Empereur Diocletian.	Olibrius fut contraint de quitter Alise, et de surseoir cette tyrannique entreprise pour s'en aller promptement aux hautes Allemagnes, à cause des guerres qui se ralumaient en ces pays-là, comme Général d'armée sous l'Empereur Diocletan.
Clement à l’inſtant le depart d’Olibrius de la cité d’Aliſe, aduetty de l’empriſonnement de ſa fille, l’a voulut faire retirer des priſons de Flauiguy pour la faire conduire dans ſon chaſteau de Griguont, mais auce ce baſbare deſſein de la fai e mourir ſur les chemins, s’il n'en euſt eſté retenu & empeſchépar les Gardes.	Clément à l'instant le départ d'Olibrius de la cité d'Alise, avetti de l'emprisonnement de sa fille, l'a voulut faire retirer des prisons de Flavigu pour la ire conduire dans son château de Griguont, mais auce ce basbare dessein de la fay e mourir sur les chemins, s'il n'en eût été retenu et empeschépar les Gardes.
Eſtant donc emprilonnée dans la tour de Grignon, où elle fut viſitée des Anges, & réjoüie par des lumieres du Paradis, juſques au retour du Prefect, Olibre qui l’a fit venir deuant ſoy, & l’ayant interrogée il l’a trouua auſſi contante qu'auparauant:	Étant donc emprilonnée dans la tour de Grignon, où elle fut visitée des Anges, et réjouie par des lumières du Paradis, jusques au retour du Préfect, Olibre qui l'a fit venir devant soi, et l'ayant interrogée il l'a trouva aussi contante qu'auparavant:
ſi bien que pour la reduire à ſa volonté, il la fit cruellement fouëtter du conſentement de ſon pere & de toute l’aſſemblée de ſes parens.	si bien que pour la réduire à sa volonté, il la fit cruellement fouëtter du consentement de son père et de toute l'assemblée de ses parents.
On l'écorcha auec des pignes de fer, on luy fit bruſler les coſtez auec des torches & des flambeaux ardans, & n’y ayant quaſi plus de peau ſur ce corps innocent il le fit plonger dans vne cuue d’eau pour la ſuffoquer.	On l'écorcha avec des pignes de fer, on lui fit brûler les côtés avec des torches et des flambeaux ardans, et n'y ayant quasi plus de peau sur ce corps innocent il le fit plonger dans une cuve d'eau pour la suffoquer.
La voix du ciel la conſole par ces paroles, Veni ſponſa Ont aſii aboipe coronam quam tivi Dominus praparauit in æternum.	La voix du ciel la console par ces paroles, Veni spons Ont asii aboipe coronam quam tivi Dominus prapparavit in æternum.
Viens mon Eſpouſe bien-aymée receuoir la couronne de gloire, qui t’eſt preparée pour l’Eternité.	Viens mon Épouse bien-aimée recevoir la couronne de gloire, qui t'est préparée pour l'Éternité.
Incontinant on entend grand bruit, & vn tumulte effroyable parmy le peuple, auec vn tremblement de terre qui menace de tout abiſmir, ce qu’il fut la cauſe de la conuerſion de huict cens perſonnes.	Incontinant on entend grand bruit, et un tumulte effroyable parmi le peuple, avec tremblement de terre qui menace de tout abîmir, ce qu'il fut la cause de la conversion de huit cens personnes.
Noſtre illuſtre Bergere triomphe ſur l’eau comme parmy les flammes & les diuers tourmens que l’on luy venoit de faire ſouffrir, pendant leſquels elle ne ceſſoit de confeſſer le ſainct Nom de Dieu, & de chanter d’vn ton tout à fait melodieux, ce beau verſet du Pſalmiſte royal Dauid, Domine in voluntate tua præſtitiſti decori meo virtem.	Notre illustre Bergère triomphe sur l'eau comme parmi les flammes et les divers tourments que l'on ces venait de faire souffrir, pendant lesquels elle ne cessait de confesser le saint Nom de Dieu, et de chanter d'à ton tout à fait mélodieux, ce beau verset du Psalmiste royal David, Domine in voluntate tua præstitisti de meo virtem.
Pſal.	Psal.
29.	29.
Seigneur comme toute reſignée à ta vos ionté ſouueraine, tu m’as parée des forces ſur-humaiafin de vaincre les tourmens, & ſur la blancheur de ma pureté & la beauté de ihon ame, tu as verte les ar mes indomptables de la foy, ce qui m’a fait meſpriſe les ſupplices imaginaires des puiſſances terreſtré Reine ſe ſantant en ces paroles ſouſtenuë par la vertu d’en haut, s’abandonne plus librement entre les mains des bourreaux, & ſe montrant de plus en plus d’vn viſage coſtant & inalterable à la pourſuite du couſteau qui luy deuoit trancher la teſte, demanda quelque petit moment pour donner le dernier adieu, Olibrius donne la charge de cette fin à Dalazan, afin d’en expedier promptement l’execution ſanguinaire.	Seigneur comme toute résignée à ta vos jonté souveraine, tu m'as parée des forces surhumaifin de vaincre les tourments, et sur la blancheur de ma pureté et la beauté de ihon âme, tu as verte les ar mes domptables de la foi, ce qui m'a fait méprise les supplices imaginaires des puissances terrestré Reine se santant en ces paroles soustenuë par la vertu d'en haut, s'abandonne plus librement entre les mains des bourreaux, et se montrant de plus en plus d'un visage côtant et inaltérable à la passion du ca quinées du trancher la teste, demanda quelque petit moment pour donner le dernier au, Olibrius donne la charge de te fin a Dalazan, afin en expédier promptement ut sanguinaire,
Ainſi fut conduit en la place publique & accouſtumée.	Ainsi fut conduit en la place publique et accoutumée.
Cette innocente victime, qui à l’inſtant ſe iettant les genoux en terre, cette voix du ciel fut ent enduë, & on vit fondre vne colombe tenant vne couronne precieuſe, en luy disãt, OReine voicy ton iour!	Cette innocente victime, qui à l'instant se jetant les genoux en terre, cette voix du ciel fut ent ue, et on vit fondre un colombe tenant notre couronne précieuse, en même disa, OReine voicy ton iour,
voicy ton chariot de triomphe, ton nom proprement de Reine te fournit vne couronne incorruptible, & qui ne flétrira iamais à la veuë de tous ceux de ta patrie, ou pour mieux dire du lieu de ta naiſſance, puis que tu quitte Aliſe pour la plus noble portion de tout le monde.	voici ton chariot de triomphe, ton nom proprement de Reine te fournit une couronne incorruptible, et qui ne flétrira jamais à la vue de tous ceux de ta patrie, ou pour mieux dire du lieu de ta naissance, puis que tu quitte Alise pour la plus noble portion de tout le monde.
Tu fais icy voir des veritables effets de ta generoſité viens monte, voilà ton chariot de parade tiré par 2.	Tu fais ici voir des véritables effets de ta générosité viens monte, voilà ton chariot de parade tiré par 2.
Aigles, pour entrer victorieuſe en la cité de la celeſte rneturaſem, & puis que tu quitte Alile pour t’éleuet plus haut en la gloire du Paradis, tu laiſſeras ton ſang pour arreſt des miracles que Dieu operera cy-apres par tes merites.	Aigles, pour entrer victorieuse en la cité de la céleste réturasem, et puis que tu quitte Alile pour t'éleuet plus haut en la gloire du Paradis, tu laisseras ton sang pour arrêt des miracles que Dieu opérera cy-cyprès par tes mérites.
Le peuple eſtonné d’vne ſi grande conſtance en la ieuneſſe de ſon âge, ſe print à s’écrier, Vox turturis audita eſt in terra noſtra.	Le peuple étonné d'une si grande constance en la jeunesse de son âge, se print à s'écrier, Vox turturis audita est in terra nostra.
La voix de la Tourterelle a eſté ouye en noſtre terre.	La voix de la Tourterelle a été ouïe en notre terre.
Noſtre illuſtre Begere ayant fait ſes prieres, & recommandé ſon ame à leſus-Chriſt ſon Eſpoux, tendit le col au bourreau, & de ſon ſang verſé où ſa teſte tomba, on vit ſortir cette ſource mifaculeuſe, où Dien opere tous les iours ſes merueilles.	Notre illustre Bégère ayant fait ses prières, et recommandé son âme à lesus-Christ son Époux, tendit le col au bourreau, et de son sang versé où sa teste tomba, on vit sortir cette source mifaculeuse, où Dien opère tous les jours ses merveilles.
ACTE III.	ACTE III.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
CEEMENT, ASTHERE, AMELIN	CÉMENT, ASTHÉRE, AMELIN
CLEMENT.	CLEMENT.
Rodige de Nature, ha!	Rodige de Nature, ha!
que tu me tourmente, I En iettant ſur vn arbre vn ſort qui m’epouuante, A ſeruir de refuge à l’ennemie des Dieux, L'échappant de mes feux iuſtes & ſoucieux, Voulez-vous immortels vous vanger d’vne fille, Puis que ſur les humains tout vous eſt bien facile, Pouuant bien empeſcher les demons de ce ſort, Comme vos deïteZ commandent à la mort, Et pour voſtre party ie deſire l’office, De briſer le ſerpent cauſant ce malefice.	que tu me tourmente, IOur jetant sur un arbre un sort qui m'épouvante, A servir de refuge à l'ennemie des Dieux, L'échappant de mes feux justes et soucieux, Voulez-vous immortels vous venger d'une fille, Puis que sur les humains tout vous est bien facile, Pouvant bien empêcher les démons de ce sort, Comme vos deïteZ commandent à la mort, Et pour votre part ie désire l'office, De briser le serpent causant ce malice.
Qu'vn Ormeau ſous vos loix ſe voulut eſclater, Par vn maudit reſſort, que luy fournit l’Enfer, Où trouuer maintenant, au gouſt de ma colere, Vn remede à vaumir le poiſon qui m'altere, Et me rendant enfin vn terme glorieux, Propre à ne plus ſonger à ce ſort mal-heureux.	Qu'un Ormeau sous vos lois se voulut éclater, Par un maudit ressort, que lui fournit l'Enfer, Où trouver maintenant, au goût de ma colère, Un remède à vaumir le poison qui m'altère, Et me rendant enfin un terme glorieux, Propre à ne plus songer à ce sort malheureux.
O terre!	Ô terre!
la tiens-tu dedans tes flancs humides, Rend-là que ie la tuë en preſence des Druydes, Faiſant voir deuant tous, que ie n’ay point de tort, Pour la Loy de nos Dieux de deſirer ſa mort, Vn furieux combat s’en redreſſe en moy-meſme, Me perce de douleur, & de remord extréme, Si l’on peut l’attraper, que ie meure content, Ce ſera vne fin es maux que ie reſſens Or qu'on la cherche donc auec vn ſoin poſſible,	la tiens-tu dedans tes flancs humides, Rend-là que je la tue en présence des Druides, Faisant voir devant tous, que je n'ai point de tort, Pour la Loi de nos Dieux de désirer sa mort, Un furieux combat s'en redresse en moi-même, Me perce de douleur, et de remord extrême, Si l'on peut l'attraper, que ie jure content, Ce sera une fin es maux que je ressens Or qu'on la cherche donc avec un soin possible,
ASTHERE.	ASTHÉRE.
Tout doux frere tout doux, en feu vous paroiſſez, Si vous continueZ, mal vous en trouuerez, Prenez-mieux voſtre temps à ſoulager vos peines, Nous en pourrons ſçauoir des nouuelles certaines, Uous flattant à loiſir, & vous ſatisfaiſans, Trouuera-t’on moyen d’alleger vos tourmens, Et ie oroy par les Dieux de la reuoir captiue.	Tout doux frère tout doux, en feu vous paraissez, Si vous continueZ, mal vous en trouverez, Prenez-mieux votre temps à soulager vos peines, Nous en pourrons savoir des nouvelles certaines, Uous flattant à loisir, et vous satisfaisants, Trouvera-t-on moyen d'alléger vos tourments, Et ici orai par les Dieux de la revoir captive.
CLEMENE Que le ſort eſt maudit d’où mon mal-heur deriuë.	CLEMENE Que le sort est maudit d'où mon malheur derive.
ASTHERE.	ASTHÉRE.
Les Dieux permettent vn mal quelque fois plas grãds biente Que vous peuuent ſeruir de ſi triſte entretiens:	Les Dieux permettent un mal quelque fois plas grands biente Que vous peuvent servir de si triste entretiens:
Si vn Orme ſe fend & ſon ſuiet vous frappe, Et emene cojtre ſiue ajiit qu'on ne t attrappe , CroyeZ que les diuins permettront que la mort, Luy ſouffle la clarté comme elle vous fait tort.	Si un Orme se fend et son sujet vous frappe, Et emène cojaître siue ajit qu'on ne t attrape , CroyeZ que les divins permettront que la mort, Lui souffle la clarté comme elle vous fait tort.
2	2
CLEMENT.	CLEMENT.
Pour auancer qu'on cherche, & qu’auſſi-toſt trouuée, Ie la borne d’vn coup au tranchant de l’eſpée, Ce ſera le remede infaillible à mes maux, Quand i’executeray l’office des bourreaux.	Pour avancer qu'on cherche, et qu'aussitôt trouvée, Je la borne d'un coup au tranchant de l'épée, Ce sera le remède infaillible à mes maux, Quand j'exécuterai l'office des bourreaux.
AM'ELIN.	AM'ELIN.
I'ay deſia parcouru tous ces prochains villages, Et de ces bois fueillus les plus triſtes ombrages Sans en ſçauoir nouuelles, & l’apprehenſion, Me fait douter des eaux pour ſa punition, Et aux fonds ſablonnene pouteeſire eneuelie;	J'ai déjà parcouru tous ces prochains villages, Et de ces bois fueillus les plus tristes ombrages Sans en savoir nouvelles, et l'appréhension, Me fait douter des eaux pour sa punition, Et aux fond de pouteesire envelie;
Et ie m'arreſte plus à ſa mort qu’a ſa vie.	Et grande m'arrête plus à sa mort qu'a sa vie.
CLEMENT.	CLEMENT.
O deſaſtre cruel!	Ô désastre cruel!
ô Forgeron d'Athna!	ô Forgeron d'Athna!
Qui me peut deliurer d’un demon qui me bas.	Qui me peut délivrer d'un démon qui me bas.
C'eſt trop vous ſtomaquer, & vous eſtre contraire, Modorez-vous vn peu de cette aſpre colere, Tout vous louë & vous rit en vn tel poïnt d’honneur, Que vostre nom Clement prononce ſans fureur, Et les autres reſpects que requiert voſtre gloire, Voſtre renom eſcrit au Temple de memoire:	C'est trop vous stomacquer, et vous être contraire, Modorez-vous un peu de cette âpre colère, Tout vous loue et vous rit en un tel poïnt d'honneur, Que votre nom Clément prononce sans fureur, Et les autres respects que requiert votre gloire, Votre renom écrit au Temple de mémoire:
Relaſchez ſeulement de ce puiſſant transport, Ce que vous haïſſez plus pire que la mort, Qui vous porte à courroux, vous enſle en courage, Comme vn trop furieux enuoiſiné de rage, Mais d’vn accent plus doux rabaiſſant voſtre voix, Vous ſerez auſſi bien à deffendre nos Loix, Par vn temperamment que ie croy neceſſaire, Al vous mettre en repos, or donc laiſſez-moy faïre.	Relâchez seulement de ce puissant transport, Ce que vous haïssez plus pire que la mort, Qui vous porte à courroux, vous ensle en courage, Comme sont trop furieux enuoisiné de rage, Mais d'un accent plus doux rabaissant votre vôtre, Vous serez aussi bien à défendre nos Lois, Par un tempéramment que ie ç laire, Al vous Alaire en repos, or donc laissez-moi faïre.
CLEMENT.	CLEMENT.
De la pourſuiure auſſi moy-meſme à la tuër, C’eſt mon contentement, & c’eſt m’y aſſeurer, Car vne autre que moy n’avroit tant d’efficace, I'en obtiendray des Dieux facilement la grace, Lim iijice l’ordonne, & Reine ayant le tort, C’eſt vn exemple ſainct de luy ſommer la mort.	De la poursuivre aussi moi-même à la tort, C'est un contentement, et c'est m'y assurer, Car une autre que moi n'aurait tant d'efficace, J'en obtiendrai des Dieux facilement la grâce, Lim jijice l'ordonne, et Reine ayant le tort, C'est un exemple saint de lui sommer la mort.
AS IIIERE.	AS IIIERE.
Il n’y a nœud ſi fort enfin qu’on ne dénouë.	Il n'y a nœud si fort enfin qu'on ne dénoue.
CLEMENT.	CLEMENT.
Ie ſens où vous touchez, ie vous y deſaucuë,	Je sens où vous touchez, Seigneur vous y désaucue,
Mais encore.	Mais encore.
ASTHERE.	ASTHÉRE.
Ha!	Ha!
mon frere, entendeZ pour la fin Je touche ainſi que vous ſur cèt esprit malin, Et poſons entre-nous qu’il ny a rien à faire, Quand les Chreſtiens ſur nous iettent leur magie noire.	mon frère, entendez pour la fin Je touche ainsi que vous sur cet esprit malin, Et posons entrenous qu'il apprêt à rien à faire, Quand les Chrétiens sur nous jetant leur magie noire.
CLEheLRCI.	CLÉheLRCI.
Ie n’en doute pas moins, ie le croy comme vous.	Je n'en doute pas moins, ie le crois comme vous.
Le croyans comme moy, appaiſez vos courroux, Et plus humainement pourrez vous reconnoiſtre, Si la mort ne la mord, elle pourra paroiſtre, Qui la peut receler & ſe mettre en danger, Aux enuirons d’icy, & vous la receler:	Le croyant comme moi, apaisez vos courroux, Et plus humainement pourrez -vous reconnaître, Si la mort ne la mord, elle pourra paraître, Qui la peut receler et se mettre en danger, Aux environs d'ici, et vous la receler:
Reuenez donc vn peu & quittez la penſée, Qui attiſe les feux dont voſtre ame embrazée:	Revenez donc un peu et quittez la pensée, Qui attise les feux dont votre âme embrasée:
Tranchons ſur ce diſcours, vn Druyele nous ſuruient, Qui vous pourra refonurt en pun doux entretien	Tranchons sur ce discours, un Druièle nous survient, Qui vous pourra refonurt en pun doux entretien
SCENE II.	SCÈNE II.
ARTHOCLE’S, CLEMENT, ASTHERE.	ARTHOCLÉS, CLEMENT, ASTHÉRE.
PROTINE, PAVLIAS, AMELIN, vn Hleros d’Olibrius entre apres, THEOPHILE aux eſcoutes ſans rien dire.	PROTINE, PAULIAS, AMELIN, un Héros d'Olibrius entre après, THÉOPHILE aux écoutes sans rien dire.
ART.	ART.
HOCLE’S.	HOCLÉE'S.
Euenons au ſentier, où les Dieux nous appellent, A Dans les lieux dediez à leurs gloires immortelles, Sans diſcontinuër nos deuoirs importans, Afin d’eſtre connus comme leur propre enfant, Et nous verrons finir des Chreſtiens l’impoſture, Eſtans trop imparfaicts pour fils de la Nature:	Euenons au sentier, où les Dieux nous appellent, À Dans les lieux dédiez à leurs gloires immortelles, Sans discontinuer nos devoirs importants, Afin d'être connus comme leur propre enfant, Et nous verrons finir des Chrétiens l'imposture, Étant trop imparfaits pour fils de la Nature:
Leur ſang s’épanchera, l’Oracle vous le dit, Et toſt Olibrius en rendra quelque Edict, Il nous doit arriuer, i’en ay vent à l’oreille, Eſtant deſia party de la grande Marſeille, Au ſuiet de ranger ces fourbes inuenteurs, Et ſepurer bien-toſt leurs vies de teis paurs, Ce ſera vn bon-heur de voir ce redoutable, Ordonner quel que Atreſt qui nous ſoit fauorable.	Leur sang s'épanchera, l'Oracle vous le dit, Et tôt Olibrius en rendra quelque Édit, Il nous doit arriver, j'en ai vent à l'oreille, Étant déjà parti de la grande Marseille, Au sujet de ranger ces fourbes inventeurs, Et sépurer bientôt leurs vies de teis paurs, Ce sera un bonheur de voir ce redoutable, Ordonner quel que Atrêt qui nous soit favorable.
CLEMENT.	CLEMENT.
M Iuſtes Cieux vueilleZ le, & rangeZtæls troupeaux,	M Mustes Cieux veuillez le, et rangeinZtæls troupeaux,
E 2 Deſſous vos ſainctes loix, où bien dans les tombeaux.	 2 Dessous vos sainte lois, où bien dans les tombeaux.
ARTHOCIE’S.	ARTHOCIE'S.
Clement par vos diſcours, ſçait-on bien que vos peines Meritent mille fois des trophées plus qu’humaines, Et ne ſçauons-nous pas que pour vanger nos Dieux, Nous auons veu couler deux ſources de vos jeux.	Clément par vos discours, sait-on bien que vos peines Méritent mille fois des trophées plus qu'humaines, Et ne savons-nous pas que pour venger nos Dieux, Nous avons vu couler deux sources de vos jeux.
CLEMENT.	CLEMENT.
Milles regrets encore oppreſſe icy mon ame, Que ma fille en naiſſant n’ait eſſayé ma lame, Ne ſçauroit-on ſçauoir où ce cœur obſliné, S’échappant de mes feux s’eſt donc reſugié.	Milles regrets encore oppresse ici mon âme, Que ma fille en naissant n'ait essayé ma âme, Ne saurait-on savoir où ce cœur obsliné, S'échappant de mes feux s'est donc résugié.
Ie ne vis deſormais qu’en grande impatience, Vn Garde nous ſurprend.	Je ne vis désormais qu'en grande impatience, Un Garde nous surprend.
HEROS des gardes Redoutables Seigneurs, Urais portraiôts des vertus & de nos Empereurs, Ie ſuis icy venu à celle fin de vous dire, Qu'Olibre vient icy Lieutenant de l’Empire.	HÉROS des gardes Redoutables Seigneurs, Urais portraiôts des vertus et de nos Empereurs, Je suis ici venu à celle fin de vous dire, Qu'Olibre vient ici Lieutenant de l'Empire.
ARTHOCLE’S.	ARTHOCLÉSS.
Dispoſons de Senat de le bien receuoir, Et que tous Citoyens ſe rangent à leur deuoir:	Disposons de Sénat de le bien recevoir, Et que tous Citoyens se rangent à leur devoir:
Tantoſt fur les Chreſtiens ſe fera-il connoiſtre, Cemme ſur les Romains il eſt le ſecond maiſtre, Qui ſçait conſiderer toutes les Nations, Et dompter les mutins en leurs rebellions.	Tantôt fur les Chrétiens se fera-il connaître, Cemme sur les Romains il est le second maître, Qui secait considérer toutes les Nations, Et dompter les mutins en leurs rébellions.
CLEMENT.	CLEMENT.
Sainct Pere faudra-il pour excuſer ma race, Faudra-il cy apres que ie quitte la place, Et qu’ou gouuernemert d’Aliſe où ie ſuis, Je ſi ccombe au mal-heur deux ſois qui me pourſuit:	Saint Père faudra-il pour excuser ma race, Faudra-il cy après que ie quitte la place, Et qu'ou gouuernemert d'Alise où on suis, Je si ccombe au malheur deux sois qui me poursuit:
Tqne pedl de monn de' l y ve de me ſanté.	Tqne pédl de monn de l ' e de me santé.
Et ſi ie contre-point ſa puiſſance ſi haute, Rien plus ne nte retient, i’engage mon honneur, Et ma vie promptement conſeruant ſa faueur:	Et si ici contrepoint sa puissance si haute, Rien plus ne nette retient, j'engage mon honneur, Et ma vie promptement conservant sa faveur:
Surquoy donc eſt l’appuy de toute la Nobleſſe, Et la captiuité du genre qui me bleſſe:	Surquoy donc est l'appui de toute la Noblesse, Et la captivité du genre qui me blesse:
Ie me fourre à la mort encore mille fois, Pluſtost que de deſcendre vn degré de nos Loix:	Je me fourre à la mort encore mille fois, Plutôt que de descendre un degré de nos Lois:
Mais comme reparer vne cõulpe paſſée, Non commiſe par moy, mais c’eſt par ma lignée, Et ta tige en ſuſpend peut-eſtre du Seigneur, Ne peut-il reprocher s’il m'en croit ſeducteur.	Mais comme réparer une commulpe passée, Non commise par moi, mais c'est par ma lignée, Et ta tige en suspend peut-être du Seigneur, Ne peut-il reprocher s'il m'en croit séducteur.
ASTHERE.	ASTHÉRE.
Mon frere le Senat ſçait aſſez bien paroiſtre, Et l’innocence en fin s’en fera reconnoiſtre.	Mon frère le Sénat sait assez bien paraître, Et l'innocence en fin s'en fera reconnaître.
CEEMEN I.	CEMEN I.
Et le Senat auſſi ne m’en peut dispenſer, Ny abſoudre d’vn cas qu’on ne doit propoſer.	Et le Sénat aussi ne m'en peut dispenser, Ni absoudre d'un cas qu'on ne doit proposer.
ASTHERE.	ASTHÉRE.
Et ſans difficulté vn ample témoignage, Vous peut bien deliurer d’vn ſi faſcheux paſſage, Le peuple vous a veu preſque deſſus le pas, Par vne émotion courbé ſur le trépas.	Et sans difficulté un ample témoignage, Vous peut bien délivrer d'un si fâcheux passage, Le peuple vous a vu presque dessus le pas, Par une émotion courbé sur le trépas.
He bien puis que te temps s'en monſtre faurable, Que du moindre au plus grand an vous ſçait veritable:	He bien puis que te temps s'en montre faurable, Que du moindre au plus grand an vous sait véritable:
Les honneurs ſont touſiours luyſans ſur voſtre front, Auſſi n’astendez-pas du peuple aucun affront.	Les honneurs sont tousiours suivants sur votre front, Aussi n'âtendez-pas du peuple aucun affront.
CLEMENT.	CLEMENT.
N’eſt-ce pas tout manqué que Reine ait pris la fuite, Eſtre à trois pas de moy, à courſe & à pourſuitte, Sans pouuoir affranchir de pleine liberté, A coupper le filet de ſa fatalité.	N'est-ce pas tout manqué que Reine ait pris la fuite, Être à trois pas de moi, à course et à poursuite, Sans pouvoir affranchir de pleine liberté, A coupper le filet de sa fatalité.
PAVLIAS.	PAULIAS.
Flit ost enore plûtent, ſan d ſebciſenca,	Flit ost enore plutent, san d sebcisenca,
So Ny contredits des loix de ſes hautes puiſſances umaruque ut tu voir en eminent peril.	So Ni contredits des lois de ses hautes puissances umaruque ut tu voir en éminent péril.
CLEMENT.	CLEMENT.
De v'huuvuer au mal qu'en arriuera-il.	De v'huuvuer au mal auen arriuera-il.
PAVLIAS.	PAULIAS.
De ſaine opinion, iamais ie ne l'auouë, Que ie fuſſent pluſtoſt deſtiné à la rouë, mullos cie tuy dejirer one conerſion y C’eſt tont ce que ie puis par obligation.	De saine opinion, jamais rien ne l'avoue, Que tu fussent plutôt destiné à la roue, mullos cie tui déjirer one conersion y C'est tont ce que je puis par obligation.
ARTHOCIE’S.	ARTHOCIE'S.
Seigneurs puis qu'à bon droict ie connois vos ſentences, Teſmoin de vos Eſtats, veu de vos bien-veillances, Laiſſons tout à venir, oublians pur piire, Oublions voſtre fille & non voſtre amitié, d eije que vous & moy, nous ne deuons la ſuiuxe	Seigneurs puis qu'à bon droit ie connois vos sentences, Témoin de vos États, vu de vos bienveillances, Laissons tout à venir, oubliants pur piire, Oublions votre fille et non seulement amitié, d' eije que vous et moi, nous ne devons la sujet
CLEMENT.	CLEMENT.
Pour l'oublier, à mort ie taſche à la pourſuiure.	Pour l'oublier, à mort ie tâche à la poursuivre.
PROTINE.	PROTINE.
Ces mots ſont trop communs à vous in quieter, Mon frere oublieZ tout, & venez ſup poſer Ne l’auoir iamis veu en repoſant voſtre ame, Uous eſteindrez ainſi le braiſier qui l’enflamme.	Ces mots sont trop communs à vous in quiéter, Mon frère oubliés tout, et venez svp oser Ne l'avoir jamis vu en reposant votre âme, Uous éteindrez ainsi le braisier qui l'enflamme.
ARTHOCLE’S.	ARTHOCLÉSS.
Allons ſur ce ret ard taſchans à nos deuoirs, Et reiglons nous auſſi aux ſupremes vouloirs.	Allons sur ce ret ard taschans à nos devoirs, Et règlons nous aussi aux suprêmes vouloirs.
SCENE V.	SCÈNE V.
THEOPHILE, ALICHRISTE, REINE ALGERIDE.	THÉOPHILE, ALICHRISTE, REINE ALGERIDE.
THEOPHILE.	THÉOPHILE.
Ay que trop retenu d’aſſeZ trisles nouuelles, Et 'apprelerde ſor porr ine ien et pucelé?	Ai que trop retenu d'asseZ trisles nouvelles, Et 'apprelerde sor porr yen et pucelé?
Sçachans que nos Chreſtiens écouleront leur ſang, Et que les tombeaux noirs en rempliront leurs flancs.	Sachant que nos Chrétiens écouleront leur sang, Et que les tombeaux noirs en rempliront leurs flancs.
Helas!	Hélas!
helas!	hélas!
pourueu qu'vn mal-heureux rencontre, Au dommage de Reine à mes yeux ne ſe montre, Ainſi qu'Olibrius le Prefect des Romains, Des larmes des Chreſtiens ſe veut lauer les mains.	pourvu qu'un malheureux rencontre, Au dommage de Reine à mes yeux ne se montre, Ainsi qu'Olibrius le Préfect des Romains, Des larmes des Chrétiens se veut lauer les mains.
Hé donc ma chere Reine!	Hé donc ma chère Reine!
hé ma chere Algeride, Que ie crains bien pour vous la cruauté auide, Uous eſtes auec moy trop preſt de la Cité, Vous verray-ie affrachir cette inhumanité:	hé ma chère Algeride, Que on crains bien pour vous la cruauté ajde, Uous êtes avec moi trop prêt de la Cité, Vous verrai-je affrachir cette inhumanité:
Que vos pieux regards ſont bien mal en addreſſe;	Que vos pieux regards sont bien mal en adresse;
Ce qui peut accuſer vostre ſage ieuneſſe.	Ce qui peut accuser votre sage jeunesse.
ALICHISTE, REINE & ALGERIDE entrent.	ÀLICHISTE, REINE et ALGERIDE entrent.
AAPOIAILE pourtic.	AAPOIAILE pourtic.
Venez donc maintenant mes filles à moy, venez, Si vos cœurs enfantins ſont touſiours embraſez.	Venez donc maintenant mes filles à moi, venez, Si vos cœurs enfantins sont toujours embrasés.
ALICHRITE.	ÀLICHRITE.
Qui a-t’il mon Espoux, quelle triſte nouuelle, Par vn ſi foible accent deuant vous nous appelle, Quelle peur vous ſaiſit, de quel lieu venez vous, Vous pâliſſez helas!	Qui a-t-il mon Époux, quelle triste nouvelle, Par un si faible accent devant vous nous appelle, Quelle peur vous saisit, de quel lieu venez -vous, Vous pâlissez hélas!
courage parlez-nous.	courage parlez-nous.
THEOPHILE.	THÉOPHILE.
Ie viens, ie viens d'Alize, où i’eſtois aux écoutes, Et là les Citoyens ſe preparent à des ioutes, Dreſſans des écbaffauts tres-richement parez, Pour receuoir Olibre en leurs chariots dorez:	Je viens, Seigneur viens d'Alise, où j'étais aux écoutes, Et là les Citoyens se préparent à des joutes, Dressants des écbaffauts très -richement parez, Pour recevoir Olibre en leurs chariots dorés:
Tout triomphe là haut, & nous en ce village, Durerons-nous tong temps fans en mauuais partage, Ie me ſens bien ſaiſi d’vne froide vapeur, La moitié de mon cœur rend l’autre ſans vigueur:	Tout triomphe là haut, et nous en ce village, Durerons-nous tong temps sans en mauvais partage, Je me sens bien saisi d'une froide vapeur, La moitié de mon cœur rend l'autre sans vigueur:
Helas!	Hélas!
