A LA REYNE ANNE DAVSTRICHE	À LA REINE ANNE DAUSTRICHE
Ie penſe toutefois qu'vne fuitte ſoudaine Seroit vn prompt moyen de vous tirer de peyne.	Je pense toutefois qu'une fuite soudaine Serait un prompt moyen de vous tirer de peine.
Ie ſuis prest de vous ſuiure, & de verſer mon ſang Pourrendre a Clarimonde & ſa gloire & ſonrang, Confondant ſa iuſtice auecque mon courage, L’a niuers ſubiugué ſera noſtre partage, Dans la flame & le fer onme verra courit, Eſgalement heureux de vaincre ou de mourir.	Je suis prêt de vous suivre, et de verser mon sang Pourrendre a Clarimonde et sa gloire et sonrang, Confondant sa justice avec mon courage, L'a nivers sujet sera nôtre partage, Dans la flamme et le fer me verra courit, Esgalement heureux de vaincre ou de mourir.
CLARIMONDE.	CLARIMONDE.
Cher Alcandre vn mal’heur troprude & tropſenſible Oppoſe à ce conſeil vn obſtacle inuincible, Quel moyen de laiſſer mon pere dans les fers?	Cher Alcandre un malheur troprude et tropsensible Oppose à ce conseil quelque obstacle invincible, Quel moyen de laisser mon père dans les fers?
Almaz an plus demon, que tous ceux des Enfers, Exerceroit ſur luy pour aſſouuir ſonire, Tout ce que peut la hayne & que la rage inſpire:	Almaz an plus démon, que tous ceux des Enfers, Exercerait sur lui pour assouvir sonire, Tout ce que peut la haine et que la rage inspire:
Ie voydeſia ſon corps percé de mille coups, Ie voy ce ſier tyran enflamme de courroux, Qui veut qu’en cent morceaux ſes membres on decouppe;	Je voydesia son corps percé de mille coups, Je vois ce sier tyran enflamme de courroux, Qui veut qu'en cent morceaux ses membres on decouppe;
Des bourreaux preparez ie voy l’infame trouppe, Qui le fer ala main, & le bras retroußé, Foulant d'vn pied ſanerbe vn vieillard terraßé, Va, par vne fureur de mille autres ſuiuie, Tirer le meſme ſanga qui ie doibs la vie.	Des bourreaux préparez ainsi vois l'infâme troupe, Qui le fer ala main, et le bras retroussé, Foulant d'Han pied sanerbe un vieillard terrasié, Va, par une fureur de mille autres suivie, Tirer le même sanga qui qui doibs la vie.
Parmy tant de tourments, & de morts a la fois, Ce Prince mal’ heureux hauſſe ſa foible voix, Et touché de mon crime autant que de ſa peyne, Me nomme courageuſe, helas!	Parmi tant de tourments, et de morts à la fois, Ce Prince mal heureux hausse sa faible voix, Et touché de mon crime autant que de sa peine, Me nomme courageuse, hélas!
mais inhumaine.	mais inhumaine.
ALCANDRE.	ÀLCANDRE.
Ce funeſte penſer vous deſrobe des pleurs, Mais c’eſt trop accorder a de fauſſes douleurs Le corps de Solimont ne baiſe point la poudre, Dofie eſtoiquement eſe entort aiejoudre.	Ce funeste penser vous dérobe des pleurs, Mais c'est trop accorder a de fausses douleurs Le corps de Solimont ne baise point la poudre, Dofie étoiquement eze entort aijoudre.
CLARIMONDE.	CLARIMONDE.
Cette crainte à mon ſexe eſtvn vice fatal, Ie ſuis ingenieuſe à me faire du mal, Mais de quelque douleur que la mienne te bleſſe, Ton amour doit ſouffrir ou vaincre ma foibleſſe.	Cette crainte à mon sexe estime vice fatal, Je suis ingénieuse à me faire du mal, Mais de quelque douleur que la mienne te blesse, Ton amour doit souffrir ou vaincre ma faiblesse.
Quittons mon cher Alcandre vnſi faſcheux diſcours, Dans quelque autre proiect cherchons noſtre ſecours, Il faut executer en faueur de mon pere, Celuy qu’vn deſeſpoir auiourd’huy me ſuggere:	Quittons mon cher Alcandre unsi fâcheux discours, Dans quelque autre prois cherchons notre secours, Il faut exécuter en faveur de mon père, Celui qu'un désespoir aujourd'hui me sugère:
Mais pour ce qu'Almaz an pourroit bien ſuruenir, Et qu’il me faut du temps pourt'en entretenir, Piiſie quer faſunine s C ceme en relle ſorte Que le Roy ſans ton ſçeu ne puiſſe ouurir la porte.	Mais pour ce qu'Almaz an pourrait bien survenir, Et qu'il me faut du temps pourt'en entretenir, Piisie quer fasunine s Ç ceme en relle sorte Que le Roi sans ton su ne puisse ouvrir la porte.
Et s’il vient ?	Et s'il vient ?
LYDIANE	LYDIANE
CLARIMONDE.	CLARIMONDE.
Haſte toy de nous en aduertir.	Hâte toi de nous en avertir.
A fin qu’au moins Alcandre ait le temps de ſortir.	A Afin qu'au moins Alcandre ait le temps de sortir.
LYDIANE.	LYDIANE.
Repoſez vous ſur moy i’y veilleray ſans ceſſe.	Reposez -vous sur moi j'y veillerai sans cesse.
ALCANDRE.	ÀLCANDRE.
Qu auez vous reſolu belle & ſage Princeſſe:	Qu ez -vous résolu belle et sage Princesse:
CLARIMONDE.	CLARIMONDE.
De perdre le coupable & ſauuer linnocent, Ton amour le commande, & la mienne y conſent En vn mot, d’Almazanl iniuſte violence Merite vn chaſtiment eſgal a ſon offenſe, ouepruntomte nous n'a que trop entrepris, I ay cogneu ſa fureur, comme toy ſon meſpris Et i’appelle ton bras pour ſeconder l’enuie, Qui veut qu’ama vengeance on immole ſavie.	De perdre le coupable et sauver linnocent, Ton amour le commande, et la mienne y consent En un mot, d'Almazanl injuste violence Mérite un châtiment égal à son offense, ouepruntomte nous n'a que trop entrepris, I ai connu sa fureur, comme toi son mépris Et j'appelle ton bras pour seconder l'envie, Qui veut qu'ama vengeance on immole savie.
ALCANDRE.	ÀLCANDRE.
Sa vie ?	Sa vie ?
ahqu’ay ie ouy!	ahqu'a ie oui!
parlez vous ſainement, Cet arreſt me remplit d’vn iuste eſtonnement.	parlez -vous sainement, Cet arrêt me remplit d'un juste étonnement.
Sa vie ?	Sa vie ?
CLARIMONDE.	CLARIMONDE.
Ouy c’est à tort qu'Alcandre s’en eſtonne, Tu doibs perdre ce Monſtre, & le Ciel te l'ordonne	Oui c'est à tort qu'Alcandre s'en étonne, Tu dois perdre ce Monstre, et le Ciel te l'ordonne
ALCANDRE.	ÀLCANDRE.
Le Cielcondamneroit cet acte violent.	Le Cielcondamnerait cet acte violent.
CLARIMONDE.	CLARIMONDE.
Le Ciel veut qu'onchaſtie vn pariure inſolent.	Le Ciel veut qu'onchâtie un parjure insolent.
ALCANDRE.	ÀLCANDRE.
Madame ie cognois iuſqu’ou va ſon offenſe, Mais l'en oſer punir excede ma puiſſance, Les Dieux ſeuls ſur les Rois ont vn iuſte pouuoir, Et ſon crime n’eſt point plus grand que mon deuoir.	Madame ie connais jusqu'en va son offense, Mais l'en oser punir excède ma puissance, Les Dieux seuls sur les Rois ont un juste pouvoir, Et son crime n'est point plus grand que mon devoir.
CLARIMONDE.	CLARIMONDE.
Pourits Prines tiemems, miſhes (& magnanimes, L’amour & le reſpect ſont touſiours legitimes, Mais ce traiſtre apour nous des tiltres differents, Et l'on doibt diſtinguer les Rois & les Tyrans.	Pourits Prines tièmems, mishes (1 magnanimes, L'amour et le respect sont toujours légitimes, Mais ce traître apour nous des titres différents, Et l'on doibt distinguer les Rois et les Tyrans.
ALCANDRE.	ÀLCANDRE.
C'eſt le Ciel qui les fait, luy ſeul les peut deſtruire, Quand ces Aſtres viuants ſont indignes de luire, C’eſt à luy d’en cognoiſtre, & non pas aux mortels.	C'est le Ciel qui les fait, lui seul les peut détruire, Quand ces Astres vivants sont indignes de luire, C'est à lui N'en connaître, et non pas aux mortels.
CLARIMONDE.	CLARIMONDE.
Laſche pourquoy crains tu d’abbatre ſes autels?	Lâche pourquoi crains tu d'abattre ses autels?
ALCANDRE.	ÀLCANDRE.
ALCANDRE.	ÀLCANDRE.
On doibt trop ma Princeſſe aux teſtes couronnees.	On dois trop ma Princesse aux têtes couronnées.
Deur ſeule volonté regle nos deſtinées, Q'vn Alonarque ſe montre ou barbarc ou clement, Ses ſubiects contre luy s’arment iniuſtement:	Deur seule volonté règle nos destinées, Q un Alonarque se montre ou barbarc ou clément, Ses sujets contre lui s'arment injustement:
IIapporte en naiſſant de ſacrez priuileges, La main qui les deſtruit commet des ſacrileges Carſon impieté par vn acte odieux Sattaque inſolemment a l’image des Dieux.	IIapporte en naissant de sacrés privilèges, La main qui les détruit commet des sacrilèges Carson impiété par un acte odieux Sattaque insolemment à l'image des Dieux.
Madame à ſes pareils toute choſe eſt permiſe, Quelque mal qu’ilm’ait fait ſon ſceptre l’authoſa	Madame à ses pareils toute chose est permise, Quelque mal qu'ilm'ait fait son sceptre l'authosa
CLARIMONDE.	CLARIMONDE.
Tu peux executant ce que i’aymedité, Te ſeruir mieux que luy de cette authorité, Cruel tu n'as denc plus damour ny de memoire, Doncques celie action ſi recente & ſi noire, Qui t'a volé ton bien & ſouſtrait mes appas.	Tu peux exécutant ce que j'aimedité, Te servir mieux que Roi de cette autorité, Cruel tu n'as denc plus damour ni de mémoire, Doncques celie action si récente et si noire, Qui t'a volé ton bien et soustrait mes appas.
Eſi hors de ton eſprit ou ne te touche pas?	Esi hors de ton esprit ou ne te touche pas?
ALCANDRE.	ÀLCANDRE.
Ah ſi vous ignorez combienelle me touche, Mhia main vous l'apprendra beaucoup mieux que ma bouche, Ie veux par mon treſpas acheuer mes douleurs, Et verſer deſormais plus de ſang que de pleurs Ce fer.	Ah si vous ignorez combienelle me touche, Mhia main vous l'apprendra beaucoup mieux que ma bouche, Je veux par mon trépas achever mes douleurs, Et verser désormais plus de sang que de pleurs Ce fer.
CLARIMONDE.	CLARIMONDE.
Arreſte Alcandre & pardonne à ma flame, Si i’ayvoulu ietter ce deſſein dans ton hme, Excuſe monoffence, excuſe mon amour, Et n’abandonne point ny mes yeux ny le tour.	Arrête Alcandre et pardonne à ma flamme, Si j'aivoulu jeter ce dessein dans ton hame, Excuse monoffence, excuse mon amour, Et n'abandonne point ainsi mes yeux ainsi le tour.
N’ayant pu d’vn coupable eſtouffer l’inſolence, Au moins en ma faueur eſpargne l’innocence, Et garde que ta main ne commette vn forfait, Tiop iniuſte en ſa cauſe außi bien qu’en l’effect, Ie te ſouſmets Alcandre, à deux loix qu’il fitut ſuiure.	N'ayant pu d'H coupable étouffer l'insolence, Au moins en ma faveur épargne l'innocence, Et garde que ta main ne commette un forfait, Tiop injuste en sa cause aussi bien qu'en l'effet, Je te sousmets Alcandre, à deux lois qu'il fit suivre.
ALCANDRE.	ÀLCANDRE.
Quelles?	Quelles?
prononcez les.	prononcez -les.
CLARIMONDE.	CLARIMONDE.
De m’aymer & de viure.	De m'aimer et de vivre.
ALCANDRE.	ÀLCANDRE.
Que ie viue, & qu’vn autre à ma honte, à mes yeux, M'arrache de la main vnbienſi precieux!	Que quelque vive, et qu'autre autre à ma honte, à mes yeux, M'arrache de la main uniensi précieux!
CLARIMONDE.	CLARIMONDE.
Pour finir tout d’vn coup ſa gloire & ta miſere, l'ne fautt que forcer la priſon de mon pere, le te propoſe Alcandre vn proiect hazardeux, A lais ſi tu peux d’icy nous retirer tous deux, lues Dieux que ce Tyran parſes crimes irrite T accorderont le bien que ta vertu merite.	Pour finir tout d'un coup sa gloire et ta misère, l'une faut que forcer la prison de mon père, le te propose Alcandre un prois hasardeux, À lais si tu peux d'ici nous retirer tous deux, lues Dieux que ce Tyran parses crimes irrite T accorderont le bien que ta vertu mérite.
Nos peuples reprendront ſoubs l’appuy de ton bras I eur eſperance eſteinte en leurs derniers combats lt ſecouant le ioug d’vne puiſſance indue Necouureront ſoubs toy leur liberté perdue.	Nos peuples reprendront sous l'appui de ton bras I eur espérance éteinte en leurs derniers combats l secouant le joug d'une puissance indue Nécouvreront soups toi leur liberté perdue.
AREN E.	AREN E.
Ie vay ſonger al ladame aſaire cet effort, Deſiournes cegendaint veſtre perte & ma mort, Que ce Prince amoureux.	Je vais songer al ladame asaire cet effort, Desiournes cégendaint vêtre perte et ma mort, Que ce Prince amoureux.
CLARIMONDE N’en dy pas dauantage, Si tu doutes de moy tu me fais vn outrage, Ie iure encor vn coup de ne trahir iamais L’amitie qui t'eſt deue, & que ie te promets:	CLARIMONDE N'en dis pas davantage, Si tu doutes de moi tu me fais un outrage, Je jure encor un coup de ne trahir jamais L'amitié qui t'est déve, et que sans te promets:
Prends le ſoing ſeulement de conſeruer entiere, L’illuſtre pureté de ta flame premiere, Et iuſqu’a ce qu’Alcandre apprenne mon.	Prends le soing seulement de conserver entière, L'illustre pureté de ta flamme première, Et jusqu'à ce qu'Alcandre apprenne mon.
mas Qu'il ayme Clarimonde, & qu’il ne meure pas Mais Lydiane accourt, vat en l’heure nous preſſe Il faut te retirer.	mas Qu'il aime Clarimonde, et qu'il ne meure pas Mais Lydiane accourt, vat en l'heure nous presse Il faut te retirer.
ALCANDRE.	ÀLCANDRE.
Iobeys ma Princeſſe.	Iobeys ma Princesse.
CEARIMONDE.	CEARIMONDE.
Est-ce Almazan qui vient?	Est-ce Almazan qui vient?
LYDIANE.	LYDIANE.
Demdonun panmſe Roy	Demdon panmse Roi
CLARIMONDE.	CLARIMONDE.
Qu'eſt ce donc?	Qu'est ce donc?
LYDIANE.	LYDIANE.
Vn grand bruit qui venu iuſqu'à moy, Parmy des mots confus m'a ſouuent fait entendre Le nom de Clarimonde auec celuy d Alcandre, I’ay creude mondeuoir de vous en informer.	Un grand bruit qui venu jusqu'à moi, Parmi des mots confus m'a souvent fait entendre Le nom de Clarimonde auec celui d' Alcandre, J'ai créude mondevoir de vous en informer.
CLARIMONDE.	CLARIMONDE.
C’est bien fait Lydiane, allons nous renfermer, Et ſi le Ciel s’oppoſe à l’eſpoir qui nous reſte, Allons d’mne priſon faire vn tombeau funeſte.	C'est bien fait Lydiane, allons nous renfermer, Et si le Ciel s'oppose à l'espoir qui nous reste, Allons d'une prison faire un tombeau funeste.
AAVTE IV SCEIVE FREMIERE MELIDOR, &ALCANDRE arreſté.	AUTE IV SCEIVE FREMIÈRE MELIDOR, ETALCANDRE arrêté.
2 MELIDOR.	2 MELIDOR.
Vrmure contre moy, fay ce que tu vouV ANN dras, Ie redoute außi peu ta langue que ton bras.	Vrmure contre moi, fais ce que tu vouV ANN dras, Je redoute aussi peu ta langue que ton bras.
ALCANDRE.	ÀLCANDRE.
Si mon cœur à ton cœur n'eſt plus ſi redoutable, C’est que ta trahiſon trouue ſa ſeureté Soubs l’azyle des fers dont ie ſuis arreſté:	Si mon cœur à ton cœur n'est plus si redoutable, C'est que ta trahison trouve sa sûreté Sous l'asile des fers dont personne suis arrêté:
Mais pour ne point ternir te tuſtre ut ta gioire, Deſiſte de pourſuiure vne action ſi noire, Si ma bonne fortune a pu bleſſer tes yeux, Vſe pour l’offuſquer d’vn moyen glorieux;	Mais pour ne point ternir te tustre ut ta gioire, Désiste de poursuivre une action si noire, Si ma bonne fortune a pu blesser tes yeux, Vse pour l'offusquer d'un moyen glorieux;
Sans trahir ton honneur, ſans trahir ton courage.	Sans trahir ton honneur, sans trahir ton courage.
Si ton eſprit ialoux cherche quelque auantage, Fay que Mars te le donne, & croy que les guerv1er5 Doiuent eueillir le Myrthe ou naiſſent les launiere	Si ton esprit jaloux cherche quelque avantage, Fais que Mars te le donne, et crois que les guerv1er5 Doivent eueillir le Myrthe ou naissent les launière
MELIDOR Meſurer mon eſpee à celle d'vn inſame!	MELIDOR Mesurer mon espée à celle d'un insame!
Folle pretention, ie ne le puis ſans blaſme, Dur moni feronttop uonte & fonue pin trop beau.	Folle prétention, ie ne le puis sans blâme, Dur moni ferontop onte et fonue pin trop beau.
Alcandre doibt perir par la main d’vnbourreau, De tout autre deſſein ſon crime me diſpenſe.	Alcandre doibt périr par la main d'vnbourreau, De tout autre dessein son crime me dispense.
ALCANDRE.	ÀLCANDRE.
Au tieu de me notrcir cette iniure t’offenſe, Puiſqu’au poinct ou ta hayne a voulu me ranger, Ie ne puis te punir non plus que me vanger.	Au tieu de me notrir cette injure t'offense, Puisqu'au point ou ta haine a voulu me ranger, Je ne puis te punir non plus que me venger.
Mais ou ſe doibt borner la fureur qui te domte	Mais ou se doibt borner la fureur qui te dompte
MELIDOR Tu le ſçauras tantoſt.	MELIDOR Tu le sauras tantôt.
ALCANDRE.	ÀLCANDRE.
Ouy peut eſtre à ta honte;	Oui peut être à ta honte;
Car cet œil penetrant qui ne ſçauroit dormir, Ne peut voir qu'a regret l’innocence gemir.	Car cet œil pénétrant qui ne saurait dormir, Ne peut voir qu'a regret l'innocence gémir.
Mais le Royvient à nous.	Mais le Roivient à nous.
SCENE II.	SCÈNE II.
MELIDOR AFMALAN ALCANDRE, & ARGIRAN, MELIDOR.	MELIDOR AFFMALAN ALCANDRE, et ARGIRAN, MELIDOR.
Ire, voicy les marques Des ſoings qu'on doit donner au ſalut des Monarques, Poncydema promeſe & tactteſe & l’effect.	Ire, voici les marques Des soins qu'on doit donner au salut des Monarques, Poncydema promène et tacttese et l'effect.
ALMAZAN.	ÀLMAZAN.
Est-ce le parricide?	Est-ce le parricide?
MELIDOR.	MELIDOR.
Ouy Sire, & ſon forfait, Demande à vos bontez comme à voſtre iuſtice Pour moy la recompenſe, & pour luy le ſupplice.	Oui Sire, et son forfait, Demande à vos bontés comme à votre justice Pour moi la récompense, et pour lui le supplice.
ALMAZAN.	ÀLMAZAN.
Commande qu’il approche.	Commande qu'il approche.
MELIDOR.	MELIDOR.
Auancez	Avancez
A LMAZAN Iuſtes Cieux, Alcandre ſoubs des ſers ſe preſente à mes yeux Ont fondeſepoi regmorgnagefenſbte.	À LMAZAN Justes Cieux, Alcandre soubs des sers se présente à mes yeux Ont fondespoi régmorgnagefenstte.
Alcandre parricide!	Alcandre parricide!
ò Dieux est il poßible?	„ Dieux est il passible?
M FLIDOR.	M FLIDOR.
Pour voirs il est coupable, ou s’il eſt innocent, Sire, l’hahit qu’il porte est vn teſmoin preſſant.	Pour voirs il est coupable, ou s'il est innocent, Sire, l'hit qu'il porte est un témoin pressant.
¶ u.	¶ u.
Quoy qu’allegue le traiſtre, il faudra qu’il accorde, Que ſaiſi d'vn poignard, d’vne eſchelle de corde, MPIe Et paſſant au lardinpar vnendroit caché, Nue Il n'a pu comme luy deſguiſer ſon peché.	Quoi qu'allégue le traître, il faudra qu'il accorde, Que saisi d'un poignard, d'une échelle de corde, MPIe Et passant au lardinpar vnendroit caché, Nue Il n'a pu comme lui déguiser son péché.
ALMAZAN.	ÀLMAZAN.
Ie croy ce que tu dis, cette preuue puiſſante Rend ſon deſſein ciſible, & ſa faute euidente.	Je crois ce que tu dis, cette preuve puissante Rend son dessein cisible, et sa faute évidente.
Perfide Seclerat que dis tu ſur ce poinct?	Perfide Seclerat que dis -tu sur ce point?
Confeſſe ton offence, & ne t'excuſe point, Quel demon t’inſpira cette damnable enuie Du ſarper mes Estats, d’attenter à ma vie?	Confesse ton offense, et ne t'excuse point, Quel démon t'inspira cette damnable envie Du sarper mes États, d'attenter à ma vie?
ALCANDRE.	ÀLCANDRE.
Moy Sire, ah ſi iamais d’vne infidelle main I’ay tracé le proiect de cet acte inhumain, Que la terre s’entrouure, & qu’elle m'engloutiſſe, L'Enfer	Moi Sire, ah si jamais d'une infidèle main J'ai tracé le prois de cet acte inhumain, Que la terre s'entrouvre, et qu'elle m'engloutisse, L'Enfer
L.	L.
Enfer n’auroit point veude pareille iniuſtice, Et i'aurois merite les llames que vomit Le gouſtre dans lequel Encelade gemit.	Enfer n'aurait point veude pareille injustice, Et j'aurais mérite les lames que vomit Le goûtre dans lequel Encelade gémit.
Tous ces teſmoins produits contre mon innocence, Paroiſſent cloquents aumilieu du ſilence, Ils diſent que ce laſche eſt indigne du iour, Eit que nion crime ſeul eſt d’auoir trop d’amour.	Tous ces témoins produits contre mon innocence, Paraissent cloquents aumilieu du silence, Ils disent que ce lâche est indigne du jour, Eit que nion crime seul est d'avoir trop d'amour.
A ſais Sue c’eſt en vain que ie deffends ma cauſe, l'in vain pourme lauerdu forſauit qu’on m’impoſe, Ie deploye à l endroit d’vn A ſonarque irrité, La force du langage & de la verité;	À sais Sue c'est en vain que ie défends ma cause, l'in vain pour lauerdu forsavit qu'on m'impose, Je déploie à l endroit d'être A sonarque irrité, La force du langage et de la vérité;
Si d’eſtre ayme de veus la gloire m'eſt rauie, Que ne loths te donner a qui m'oſte la vie?	Si d'être aime de vus la gloire m'est ravie, Que ne loths te donner à qui m'ôte la vie?
La mont ole le ſeul bien qui me peut ſonlager, Et ce traiſlje m'ubllige au lieu de maffliger.	La mont ole le seul bien qui me peut sonlager, Et ce traislje m'ublige au lieu de maffliger.
Donc one d’vnre rard ſaites mes deſtinées, Prolongez ou couppez le cours de mes années, Vn trait de veſtre grace oude voſtre meſpris Suffit a decider le debat entrepris.	Donc one d'vnre rard saites mes destinées, Prolongez ou couppez le cours de mes années, Un trait de vestre grâce oude votre mépris Suffit a décider le débat entrepris.
Si ie pais eſperer d’obtenir Clarimonde, Deſia mon innocence eſt claire a tout le monde, Et ie voy ſur le front de qui m'oſe accuſer, La honte de me nuire &z de vous abuſer:	Si grande pais espérer d'obtenir Clarimonde, Déjà mon innocence est claire à tout le monde, Et ie voy sur le front de qui m'ose accuser, La honte de me nuire etz de vous abuser:
Mais ſi de vos deſirs la fureur continue, Si comme vos faueurs mon eſpoir diminue, Et ſi vous n’eſcoutez en me manquant de foy, Ny raiſon ny pitié qui vous parlent pour moy, Sire, ie ſuis coupable, il n’eſt rien dans l’hiſtoire De laſche, de cruel, d’horrible a la memoire, Qui ne ſoit au deſſoubs de ce que i’ay commis:	Mais si de vos désirs la fureur continue, Si comme vos faveurs mon espoir diminue, Et si vous n'écoutez en me manquant de foi, Ni raison était pitié qui vous parlent pour moi, Sire, je suis coupable, il n'est rien dans l'histoire De lâche, de cruel, d'horrible à la mémoire, Qui ne soit au dessoubs de ce que j'ai commis:
I'aymeſpriſe les Dieux, i’ay trahi mes amis;	J'aimesprise les Dieux, j'ai trahi mes amis;
Plaignez vous, il eſt temps, familles deſclees, Preſtres aſſaßinez, Veſtales violees, Di cous foiuies oreuuruo suont ruy pefce le flanc.	Plaignez -vous, il est temps, familles desclées, Prêtres assassinez, Vestales viole, Di cous foiuies oreuvres suont ruy pefce le flanc.
Afin d’en tirer l’ame, & d’enboire le ſang.	Afin d'en tirer l'âme, et d'enboire le sang.
Sire.	Sire.
ALMAZAN.	ÀLMAZAN.
Ne dis plus rien ame ingrate & traiſtreſſe Ie cognois ton leſſein, & malgré ton addreſſe, Qui veut m'enuelopper dans quelque obſcurité, Ie voy ton injoientt & ttemerité:	Ne dis plus rien âme ingrate et traîtresse Je connais ton lessein, et malgré ton adresse, Qui veut m'envelopper dans quelque obscurité, Je vois ton injaient et ttemérité:
Te voila conuaincu par trop de coniectures, Va honte de ton ſiecle & des races futures, Qu'on l’emmeine.	Te voilà convaincu par trop de conjetures, Va honte de ton siècle et des races futures, Qu'on l'emmeine.
ALCANDRE.	ÀLCANDRE.
Souffrez Sire.	Souffrez Sire.
ALMAZAN.	ÀLMAZAN.
Ne parle plus.	Ne parle plus.
AL CANDRE.	AL CANDRE.
Qu’vn combat.	Qu'un combat.
AMAZAN.	AMAZAN.
Ah c'eſt trop tes diſcours ſuperflus M importunent l oreille:	Ah c'est trop tes discours superflus M importunent l oreille:
ALCANDRE en s’en allant.	ÀLCANDRE en s'en allant.
O cœur inexorable!	Ô cœur inexorable!
ALMAZAN.	ÀLMAZAN.
Qu'on l’enferme, & pour toy dont le ſoing fauorable A de cet aſſaßin deſtourné l’attentat, Autheur de mon ſalut, protecteurdé l’Eſtat, S’il n’eſt rien qu’on ne doiue à ton merite extreme, Tus peux tout deſi er iuſqu’a l'empire meſme;	Qu'on l'enferme, et pour toi dont le soing favorable À de cet assin détourné l'attentat, Auteur de mon salut, protecteurdé l'État, S'il n'est rien qu'on ne doive à ton mérite extrême, Tus peux tout dé er jusqu'à l'empire même;
Ie t’accorderay tout, demande ſeulement.	Je t'accorderai tout, demande seulement.
MELIDOR.	MELIDOR.
Sire, on me blaſmeroit de trop d’aueuglement, Si mon ame, auiourdl huy riche de voſtre eſtime, Se flattoit d’vn eſpoir qui ne fuſt legitime.	Sire, on me blâmerait de trop d'aveuglement, Si mon âme, auiourdl hui riche de votre estime, Se flattait d'un espoir qui ne fût légitime.
Puiſqu'Alcandre abuſant de vos rares bienfaits, De ſon ingratitude a fait voir les effects, Et que par ma conduitte & l’ardeur de mon zele I'aytrompé, i’ay deſtruit ſon proiectinfidelle, Grand Prince, rendez moy poſſeſſeur fortuné, Du threſor qu'à ce traiſtre on auoit deſtiné:	Puisqu'Alcandre abusant de vos rares bienfaits, De son ingratitude a fait voir les effets, Et que par ma conduite et l'ardeur de mon zèle J'aitrompé, j'ai détruit son proiectinfidelle, Grand Prince, rendez moi possesseur fortuné, Du trésor qu'à ce traître on avait destiné:
Si voſtre Majeſté deſire que ie viue, Eut uuiuu m'attorutrtttte belle captiue.	Si votre Majesté désire que je vive, Eut uuiuu m'attorutrtttte belle captte.
Clarimonde?	Clarimonde?
A LMAZAN	À LMAZAN
MELIDOR.	MELIDOR.
Elle meſme.	Elle même.
ALMAZAN.	ÀLMAZAN.
O foib le ambition!	Ô faib le ambition!
Eſt-ce la tout l’effort de ta preſomption, Et le prix ſuffifantapayer tes ſeruices?	Est-ce la tout l'effort de ta présomption, Et le prix suffifantapayer tes services?
MELIDOR.	MELIDOR.
Ouy, c’eſt elle qui fait ma peyne & mes delices, C’eſt elle qui me plaiſt, c’eſt elle que ie veux, Et comme ſes appas ſont l’obiect de mes vœax, Ils ſont de mes deſirs les plus iuſtes limites.	Oui, c'est elle qui fait ma peine et mes délices, C'est elle qui me plaît, c'est elle que ie veux, Et comme ses appas sont l'objet de mes vœax, Ils sont de mes désirs les plus justes limites.
ALMAZAN Ie croy qu'elle te plaiſt, & que tu la merites, Mais en vain ton eſprit ſe flatte ſur ce poinct, C’eſt elle que tu veux & que tu n’auras point.	ÀLMAZAN Je crois qu'elle te plaît, et que tu la mérites, Mais en vain ton esprit se flatte sur ce point, C'est elle que tu veux et que tu n'auras point.
MELIDOR.	MELIDOR.
Qui pourra l’empeſcher?	Qui pourra l'empêcher?
ALMAZAN Moy.	ÀLMAZAN Moi.
MELIDOR Vous Sire?	MELIDOR Vous Sire?
A LMAZAN.	À LMAZAN.
Moy meſme.	Moi -même.
MELIDOR.	MELIDOR.
Vous m'auez tout promis.	Vous m'avez tout promis.
ALMAZAN Prends le throſne Ouy iuſqu’au diadeſme,	ÀLMAZAN Prends le trône Oui jusqu'au dyades,
MELIDOR.	MELIDOR.
C’eſt trop, ie la veux & rien plus.	C'est trop, Madame la veux et rien plus.
ALMAZAN.	ÀLMAZAN.
Tu ne peux l’obtenir.	Tu ne peux l'obtenir.
MELIDOR.	MELIDOR.
D'où naiſtra ce refus?	D'où naîtra ce refus?
ALMAZAN.	ÀLMAZAN.
N'en cherche pas la cauſe, & ſouffre ſans murmure, La rigueur d’vne loyſi faſcheuſe & ſi dure, Apprends ce que ſepuis, apprends ce que tu dois.	N'en cherche pas la cause, et souffre sans murmure, La rigueur d'une loissi fâcheuse et si dure, Apprends ce que sepuis, apprends ce que tu dois.
Et que la volonté c’eſt la raiſondes Rois.	Et que la volonté c'est la raisondes Rois.
MELIDOR.	MELIDOR.
Mais cette volonté, Sire, eſtant engagée, Sans bleffer la raiſon ne peut eſtre changée, Et s’iln eſt de ſa gloire ennemy coniure, Vn Roy doibt obſeruer tout ce qu'il a iuré,	Mais cette volonté, Sire, étant engagée, Sans bleffer la raison ne peut être changée, Et s'il est de sa gloire ennemi conjure, Un Roi doibt observer tout ce qu'il a juré,
ALMAZAN.	ÀLMAZAN.
En vain dans ce deſir ton ame eſt obſtinée, Celle que tu pretends eſt ailleurs deſtinée, De cene paßion raſene dt re guerir, Ie le veux, tu le dois, mais qu’on l’aille querir,	En vain dans ce désir ton âme est obstinée, Celle que tu prétends est ailleurs destinée, De cène passion rasène dût ré guérir, Je le veux, tu le dois, mais qu'on l'aille quérir,
MELIDOR.	MELIDOR.
La colere du Ciel eſt fatale aux pariures.	La colère du Ciel est fatale aux parjures.
