A MADAME VLAE .	À MADAME VLAE .
ACTE QVATRIESME.	ACTE QUATRIÈME.
LE ROY D’ANGLETERRE, LA REINE SA FEMME, NEREE, CLARINE, ARGANTE, ARSIDOR, ALCANDRE, TROIS ENNEMIS D’ALCANDRE, TROVPE DE SES VENEVRS, L’HOSTE D’ARSIDOR.	LE ROY D'ANGLETERRE, LA REINE SA FEMME, NERE, CLARINE, ARGANTE, ARDOR, ALCANDRE, TROIS ENNEMIS D'ALCANDRE, TROUPE DE SES VENEURS, L'HOSTE D'ARSIDOR.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
LE ROY, LA REINE, NEREE.	LE ROY, LA REINE, NERE.
CLARINE,	CLARINE,
LE ROY.	LE ROY.
VON ne m'en parle plus:	VON ne m'en parle plus:
ma parole donnee, Cõme celle des Dieux porte ſa deſtinee:	ma parole donne, Comme celle des Dieux porte sa destinée:
Il faut que cela paße, et ce que ie promes Doit eſtre indubitable, & ne manquer iamais.	Il faut que cela passe, et ce que ie promes Doit être indubitable, et ne manquer jamais.
Voulez-vous qu'vn refus change dedans ma Terre, Le repos de la paix aux trauaux de la guerre?	Voulez-vous qu'un refus change dedans ma Terre, Le repos de la paix aux travaux de la guerre?
Et qu’vn Prince en colere, auec iuſte raiſon, Vienne porter le feu iuſques dans ma maiſon?	Et qu'un Prince en colère, avec juste raison, Vienne porter le feu jusques dans ma maison?
Et tout pour vn caprice, autant leger qu’eſtrange, Qui mespriſe de l’or pour prendre de la fange, Qui refuſe vn party, qui reiette vn bon-heur, Qui l’accable de biens, & la comble d’honneur:	Et tout pour un caprice, autant léger qu'étrange, Qui méprise de l'or pour prendre de la fange, Qui refuse un parti, qui rejette un bonheur, Qui l'accable de biens, et la comble d'honneur:
Non, non, qu'elle ſe range, à ce que ie veux d'elle;	Non, non, qu'elle se range, à ce que je veux d'elle;
Et ſans ſe plus picquer de paroiſtre fidelle, Qu'elle oublie Arſidor, qui d’vn meurtre noirçy, Doit ſa teſte à ſes pieds qui l’ont oſté d’icy.	Et sans se plus piquer de paraître fidèle, Qu'elle oublie Arsidor, qui d'un meurtre noirçi, Doit sa tête à ses pieds qui l'ont ôté d'ici.
LA REINE.	LA REINE.
Voulez-vous qu’vn hymen, où voſtre main la force Se commence en triſteſſe, & finiſſe en diuorce?	Voulez-vous qu'un hymen, où votre main la force Se commence en tristesse, et finisse en divorce?
Sire, ſouuenez-vous qu’en faiſant ces accords, On doit ioindre l’eſprit außi bien que le corps:	Sire, souvenez-vous qu'en faisant ces accords, On doit joindre l'esprit aussi bien que le corps:
Alcandre on l’espouſant n'eſpouſe qu'vne ſouche, Si l’Amour auec eux n’entre dedans leur couche:	Alcandre on l'épousant n'épouse qu'une souche, Si l'Amour avec eux n'entre dedans leur couche:
Qu’il ait autant de feux com me elle a de meſpris, Si ce Dieu ne balance entre ces deux esprits, L’on n’y verra iamais de parfaitte harmonie.	Qu'il ait autant de feux com me elle a de mépris, Si ce Dieu ne balance entre ces deux esprits, L'on n'y verra jamais de parfaite harmonie.
LE ROY.	LE ROY.
C’eſt vous qui la gaſtez en flattant ſa manie, d.	C'est vous qui la gâtez en flattant sa manie, d.
.	.
a- C’eſt vous qui la perdeZ auecque ces aduis;	a- C'est vous qui la perdez auecque ces avis;
Mais bien qu'en vous oyant tous ſes ſens ſoyent rauis, Ne donnez de conſeil à qui ne le demande, Et ne m'en parlez plus, car ie vous le commande.	Mais bien qu'en vous oyant tous ses sens soient ravis, Ne donnez de conseil à qui ne le demande, Et ne m'en parlez plus, car je vous le commande.
NEREE.	NERE.
Ie me iette à vos pieds à deſſein d’y mourir, Si vous auez celuy de ne me ſecourir:	Je me jette à vos pieds à dessein d'y mourir, Si vous avez celui de ne me secourir:
Sire, que la pitié trouue en vous quelque place, VouleZ-vous que le feu s’allume dans la glace?	Sire, que la pitié trouve en vous quelque place, Voulez-vous que le feu s'allume dans la glace?
Que i’aime vn eſtranger, que ie ne connois pas?	Que j'aime un étranger, que je ne connais pas?
Dieux!	Dieux!
en m’y condamnant, vous ſignez mon treſpas, C’eſt vouloir l’impoßible, on ne m'y peut contraindre, Et deſirant la mort, ie ne ſçaurois rien craindre.	en m'y condamnant, vous signez mon trépas, C'est vouloir l'imposible, on ne m'y peut contraindre, Et désirant la mort, je ne saurais rien craindre.
LE NOY.	LE NOY.
Diſcoureuſe, à la fin ie vous feray ſentir Qu'on ne me contredit qu’auec du repentir.	Discoureuse, à la fin je vous ferai sentir Qu'on ne me contredit qu'avec du repentir.
NEREE.	NERE.
Qu’au milieu des tourmens ce pauure corps expire, L’eſprit touſiours à ſoy n’eſt point ſous voſtre Empire, ScacheZ qu’il eſt nay libre, & que pleins de bonté Les Dieux laiſſent en nous agir la volonté.	Qu'au milieu des tourments ce pauvre corps expire, L'esprit toujours à soi n'est point sous votre Empire, Scachez qu'il est né libre, et que pleins de bonté Les Dieux laissent en nous agir la volonté.
LE ROY, Que cette volonté qui paroiſt ſans conduite, Coure apres ſon obiet, accompagnant ſa fuite, Ie ne la puis tenir, mais le corps cependant Auecques voſtre esprit ne s’ira point perdant.	LE ROY, Que cette volonté qui paraît sans conduite, Coure après son objet, accompagnant sa fuite, Je ne la puis tenir, mais le corps cependant Avecques votre esprit ne s'ira point perdant.
NEREE.	NERE.
Sire, qu’à tout le moins ſiie me voy trompee, Ie trouue la clemence au bout de voſtre espee, Ommez uey deſontueyie ne quyy pacparer, Si l’esprit & le corps ſe doiuent ſeparer.	Sire, qu'à tout le moins siie me vois trompe, Je trouve la clémence au bout de votre épée, Âmez évei desontuei ne qui pacparer, Si l'esprit et le corps se doivent séparer.
E ROY.	E ROY.
La cauſe & ſon effect ont vn nœud qui les lie;	La cause et son effet ont un nœud qui les lie;
Ce fantaſque propos vient de voſtre folie, Voſtre eſprit connoiſtra, s’il eſt iamais guary, unauitgle ne doit vous choiſir vn mary.	Ce fantasque propos vient de votre folie, Votre esprit connaîtra, s'il est jamais gary, unavitgle ne doit vous choisir un mari.
NEREE.	NERE.
Peut-on auec raiſon me faire violence?	Peut-on avec raison me faire violence?
LE ROY.	LE ROY.
En fin vostre diſcours va iuſqu'a l’inſolence, Ne m'interrogez plus entirant vos cheueux, Car ma raiſon conſiſte, à dire, ie le veux.	En fin votre discours va jusqu'a l'insolence, Ne m'interrogez plus entirant vos cheveux, Car ma raison consiste, à dire, ie le veux.
LA REINE.	LA REINE.
Ma fille, taiſeZ-vous, l'Ambaſſadeur arriue	Ma fille, taiseZ-vous, l'Ambassadeur arrive
SCENE SECONDE.	SCÈNE SECONDE.
ARGANTE, LE ROY, NEREE, LA REINE, CLARINE, ARGANTE,	ARGANTE, LE ROI, NERE, LA REINE, CLARINE, ARGANTE,
Ire, nos Matelots qui ſont deſſus la riue, S En voyant le beau temps accuſent mon ſejour.	Ire, nos Matelots qui sont dessus la rive, S En voyant le beau temps accusent mon séjour.
Et languiſſent d’ennuy comme Alcandre d’amour.	Et languissent d'ennui comme Alcandre d'amour.
Eux qui parmy les flots ont fait apprentiſſage, avl apeurem que te vent m'ofpre vn neureux paſſage Vſant de la faueur que le Ciel me départ, Que voſtre Maieſté trouue bon mon deſpart.	Eux qui parmi les flots ont fait apprentissage, avl apeurem que te vent m'ofre un neureux passage Usant de la faveur que le Ciel me départ, Que votre Majesté trouve bon mon départ.
LE ROY.	LE ROY.
Icy ma volonté reſte ſans reſiſtance, Scachant comme la mer eſt pleine d’inconſtance, Vos anchres ſoient leuez, car il vous eſt permis.	Ici ma volonté reste sans résistance, Scachant comme la mer est pleine d'inconstance, Vos anchres soient levez, car il vous est permis.
Ce threſor par mes mains aux voſtres eſt remit, Adieu, quittez le port, de peur d’vn vent contraire, Et dans le Danemarc, dites au Roy mon frere Comme elle eſt ma parente, & qu’il la traite ainſi.	Ce trésor par mes mains aux vôtres est remit, Adieu, quittez le port, de peur d'un vent contraire, Et dans le Danemarc, dites au Roi mon frère Comme elle est ma parente, et qu'il la traite ainsi.
ARGANTE.	ARGANTE.
Que voſtre Maieſté n'en ait point de ſoucy.	Que votre Majesté n'en ait point de souci.
NEREF.	NEREF.
Ha la Reine me quitte, & l’horreur m’enuironne;	Ha la Reine me quitte, et l'horreur m'environne;
Qu'vn ſuperbe vainqueur foule aux pieds ta Courõne, Et que puiſſe le Ciel, en me faiſant raiſon, Changer l’or de ton Sceptre au fer d'vne priſon, Tyran, qui n’as en to̧y que le ſeul nom de Prince.	Qu'un superbe vainqueur foule aux pieds ta Couronne, Et que puisse le Ciel, en me faisant raison, Changer l'or de ton Sceptre au fer d'une prison, Tyran, qui n'as en toeur que le seul nom de Prince.
Et vous qui me traiſnez dans vne autre Prouince, Miniſtres du Bourreau, qui meurtris mes plaiſirs, Traiſtres executeurs de ſes laſches deſirs, Vous de qui les rigueurs n’ont rien qui les ſeconde, Qut puiſpeni vos ueſſemneſere engioutnue d’onde, Que puiſſent vos vaiſſeaux, chocquãt contre vn écueil En me donnant la mort vous priuer du cercueil.	Et vous qui me traînez dans une autre Province, Ministres du Bourreau, qui meurtris mes plaisirs, Traîtres exécuteurs de ses lâches désirs, Vous de qui les rigueurs n'ont rien qui les seconde, Qu' puispeni vos uessemnesere engioutnue d'onde, Que puissent vos vaisseaux, chocquãt contre un écueil En me donnant la mort vous priver du cercueil.
ARGANTE.	ARGANTE.
Pour ces iniuſtes vœux le Ciel n’a point d’oreilles Et i’eſpere fleſchir vos beautez ſans pareilles, Lors que dans le voyage on vous aura conté, Les vertus de celuy que la voſtre a dompté:	Pour ces injustes vœux le Ciel n'a point d'oreilles Et j'espère fléchir vos beautés sans pareilles, Lors que dans le voyage on vous aura conté, Les vertus de celui que la vôtre a dompté:
Ouy, fußieZ-vous de roche, aſſurez-vous Madame, Que cecharmant recit vous le mettra dans l’ame, Et qu’en fin vos froideurs ſe laiſſant enflammer, L’Amour, comme Venus, naiſtra deſſus la mer.	Oui, fussieZ-vous de roche, assurez-vous Madame, Que cecharmant récit vous le mettra dans l'âme, Et qu'en fin vos froideurs se laissant enflammer, L'Amour, comme Venus, naîtra dessus la mer.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
ARSIDOR.	ARSIDOR.
Pres auoir couru mainte horrible fortûneA A En fin vomy des flots i’abandonne Neptune, Ie change d’element, mais non pas de deſſein, Le deſir de vengeance eſt touſiours dans mon ſein, Et l’image d’Alcandre à mon ame attachee, Si ce n’eſt par ſa mort, n'en peut eſtre arrachee:	Pres avoir couru mainte horrible fortuneA A En fin vomi des flots j'abandonne Neptune, Je change d'une, mais non pas de dessein, Le désir de vengeance est toujours dans mon sein, Et l'image d'Alcandre à mon âme attachée, Si ce n'est par sa mort, n'en peut être arrachée:
Rien ne peut l’effacer que ſon ſang ou le mien.	Rien ne peut l'effacer que son sang ou le mien.
Temeraire Riual, qui veux rauir mon bien, Apprends que pour l’auoir il faut m’oſter la vie;	Téméraire Rival, qui veux ravir mon bien, Apprends que pour l'avoir il faut m'ôter la vie;
Ma fin doit preceder celle de ton enuie;	Ma fin doit précéder celle de ton envie;
Ma fin, de ton bon-heur eſt le commencement;	Ma fin, de ton bonheur est le commencement;
Ton eſpoir doit baſtir deſſus mon monument;	Ton espoir doit bâtir dessus mon monument;
Mais non, quand bien des morts i’augmenteray le nombre, Scache qu’aupres de toy l’on verra plus d’vn ombre, La mienne te ſuiura, qui par ces iuſtes cris, Te mettra dans l’eſprit la frayeur des eſprits, Le mienne te ſuiura paſle & defiguree;	Mais non, quand bien des morts j'augmenterai le nombre, Scache qu'auprès de toi l'on verra plus d'un ombre, La mienne te suivra, qui par ces justes cris, Te mettra dans l'esprit la frayeur des esprits, Le mienne te suivra pâle et défigurée;
Tu l’auras dans les bras en embraſſant Neree, Tu l’auras au veiller, tu l’auras au dormir, Au milieu des plaiſirs tu l’entendras gemir, Et d’vne voix qui tremble, & fait trembler de crainte, Ie te reprocheray ton iniuſte contrainte, Ie te reprocheray que par tes cruautez, Le Phenix des Amants, & celuy des beauteZ.	Tu l'auras dans les bras en embrassant Nére, Tu l'auras au veiller, tu l'auras au dormir, Au milieu des plaisirs tu l'entendras gémir, Et d'une voix qui tremble, et fait trembler de crainte, Je te reprocherai ton injuste contrainte, Je te reprocherai que par tes cruautés, Le Phénix des Amants, et celui des beautés.
Ont ſorffert le trespas:	Ont sorffert le trépas:
car ie ſçay qu'elle m’ayme, Et que mourant d’ennuis, elle mourra de meſme) Mais où va ce propos?	car ie sais qu'elle m'aime, Et que mourant d'ennuis, elle mourra de même) Mais où va ce propos?
mais où va ce tranfport?	mais où va ce transport?
Ie ſuis encor viuant, & ie diſcours en mort!	Je suis encor vivant, et ainsi discours en mort!
Et parmy les aſſauts que la douleur me liure, A toy qui dois mourir, ie te parle de viure!	Et parmi les assauts que la douleur me livre, A toi qui dois mourir, toujours te parle de vivre!
Non, non i’acheueray mon deſſein hazardeux, Caron a ſa nacelle, aſſez grande pour deux, Ie ſuis en Danemarc ſeulement pour ta perte;	Non, non j'achèverai mon dessein hasardeux, Caron a sa nacelle, assez grande pour deux, Je suis en Danémarc seulement pour ta perte;
Et ſi l’occaſion m’eſt vne fois offerte, Icare audacieux, alors n’espere pas, Que toute la faueur te ſauue du treſpas.	Et si l'occasion m'est une fois offerte, Icare audacieux, alors n'espère pas, Que toute la faveur te sauve du trépas.
Apprends que contre toy ma colere eſt armee, Cue toy patmepai tout d’vne nombreuſe armee.	Apprends que contre toi ma colère est armée, Cue toi patmepai tout d'une nombreuse armée.
Qu'vne foreſt de dards t’enuironne en tous lieux, Cache-toy dans le Thrône, ou des Rois ou des Dieux, Mets toy dans vne Tour qui ſoit inacceßible, Pratique	Qu'une forêt de dards t'environne en tous lieux, Cache-toi dans le Thrône, ou des Rois ou des Dieux, Mets toi dans une Tour qui soit inaccemible, Pratique
Pratique la Magie, & te rends inuiſible, Fais-toy le corps d'Achille, inuulnerable au fer, Monte dedans le Ciel en eſuitant l’enfer, Deſcends dedans l’enfer en eſuitant mahaine, Tu ne peux eſchapper, ny moy perdre ma peine, Ma fin ſera la tienne:	Pratique la Magie, et te rends invisible, Fais-toi le corps d'Achille, invulnérable au fer, Monte dedans le Ciel en évitant l'enfer, Descends dedans l'enfer en évitant mahaine, Tu ne peux échapper, ni moi perdre ma peine, Ma fin sera la tienne:
& nos eſprits là bas, Separez de leurs corps pourſuiuront leurs combats.	et nos esprits là bas, Séparés de leurs corps poursuivront leurs combats.
Mais ie m'eſcrime en l’air en faiſant ces reproches;	Mais mille m'escrime en l'air en faisant ces reproches;
Icy rien ne m'entend que le bois & les roches, Icy rien ne respond, ny ne preſte ſecours, Que celle qui redit la fin de mes diſcours, 3 Son dueil ſuit mes regrets, ſes pleurs ſuiuẽt mes larmes Mais qu’eſtce que i’entẽds?	Ici rien ne m'entend que le bois et les roches, Ici rien ne répond, ni ne prête secours, Que celle qui redit la fin de mes discours, 3 Son dueil suit mes regrets, ses pleurs suivent mes larmes Mais qu'estce que j'entends?
le bruit de quelques armes:	le bruit de quelques armes:
O Cieux, trois aſſaſsins attaquent vn guerrier;	Ô Cieux, trois assassins attaquent un guerrier;
Ce combat inégal me preſente vn laurier, Et ſa rare valeur m’oblige à ſa defenſe:	Ce combat inégal me présente un laurier, Et sa rare valeur m'oblige à sa défense:
Traistres, vous ſentirez que voſtre aspect m’offenſe;	Traîtres, vous sentirez que votre aspect m'offense;
Courage Caualier, les meſchans ſont deffaits.	Courage Cavalier, les méchants sont défaits.
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
TROIS ENNEMIS D’ALGANDRE, ARSIDOR, ALCANDRE,	TROIS ENNEMIS D'ALGANDRE, ARSIDOR, ALCANDRE,
LR PREMIER ENNEMY.	LR PREMIER ENNEMI.
E ſents que ce propos eſt ſuiuy des effects.	E sents que ce propos est suivi des effets.
LE SECOND.	LE SECOND.
Ie manque de bon-heur, & non pas de conduite.	Je manque de bonheur, et non pas de conduite.
LE TROISIESME.	LE -TROISIÈME.
Ie voy que mon ſalut ne pend que de ma fuite.	Je vois que mon salut ne pend que de ma fuite.
A Ra Iie lo Ie te r’ateindrois bien ſi ie n’eſtois preſsé, Mais il faut ſecourir ce Caualier bleſsé.	À Ra Jie lo Je te rateindrais bien si tu n'étais pressé, Mais il faut secourir ce Cavalier blessé.
ALCANDRE.	ÀLCANDRE.
Gloire de l’vniuers, dont la ſorce indomptable A voulu me ſauuer d’vn mal ineuitable, Auant que le treſpas me force à vous quitter, Quels deuoirs aſſez grands me pourroient acquitter?	Gloire de l'Hivers, dont la sorce indomptable A voulu me sauver d'un mal inévitable, Avant que le trépas me force à vous quitter, Quels devoirs assez grands me pourraient acquitter?
Si le corps & l’efprit auoient meſme puiſſance, I'irois baiſer vos pas dans ma recognoiſſance, Et ie ne pleins le ſang que ie perds par ces coups, Que pour n'auoir l’honneur de l’espandre pour vous	Si le corps et l'efprit avaient même puissance, J'irais baiser vos pas dans ma reconnaissance, Et ie ne Tins le sang que je perds par ces coups, Que pour n'avoir l'honneur de l'épandre pour vous
ARSIDOR.	ARSIDOR.
Pour étancher ce ſang qui coule auec furie, Souffrez que ie vous porte a mon hoſtellerie.	Pour étancher ce sang qui coule avec furie, Souffrez que je vous porte à mon hôtellerie.
ALCANDRE.	ÀLCANDRE.
Ie ſuis trop obligé, ſans m’obliger encor:	Je suis trop obligé, sans m'obliger encor:
Il ſuffit ſeulement que vous ſonnieZ mon cor, Quelqu'vndes miens viendra:	Il suffit seulement que vous sonniez mon cor, Quelqu'undes miens viendra:
mais ie les voy paraiſtre, C’eſt de ce demy Dieu que vous tenez vn Maiſtre, Luy ſeul vient d’empeſcher l’horrible trahiſon, Des ennemis iurez de toute ma maiſon.	mais ici les vois paraître, C'est de ce demi Dieu que vous tenez Maistre, Lui seul vient d'empêcher l'horrible trahison, Des ennemis jurez de toute ma maison.
Picquant apres le Cerf, eſcarté de vous autres, Son bras m'a fait le bien que i’eſperois des voſtres:	Piquant après le Cerf, écarté de vous autres, Son bras m'a fait le bien que j'espérais des vôtres:
Mais ſans perdre le temps, vous traitant à l’eſcart, Abbatez moy du bois pour me faire vn brancart.	Mais sans perdre le temps, vous traitant à l'écart, Abattez moi du bois pour me faire un brancart.
Vous à qui ie dois tout, vous deuant la lumiere, AdiouſteZ vne grâce à la faueur premiere, Que ie puiſſe à la Cour ſemer voſtre renom, Verray ie mon Sauueur ſans en ſçauoir le nom?	Vous à qui ici dois tout, vous devant la lumière, Adioutez une grâce à la faveur première, Que ie puisse à la Cour semer votre renom, Verrai toujours mon Sauveur sans en savoir le nom?
ARSIDOR.	ARSIDOR.
Ie ſuis pauure Eſtranger, nay ſans nul aduan812 Qui ne receus du Ciel que ce fer en partage, Et ſorty de parens que Fortune atrahis, Ie voyage ſans biens, ſans nom, & ſans païs.	Je suis pauvre Étranger, né sans nul avan812 Qui ne reçus du Ciel que ce fer en partage, Et sorti de parents que Fortune atrahis, Je voyage sans biens, sans nom, et sans pays.
ALCANDRE.	ÀLCANDRE.
Connoiſſant qu’inconnu vous ſouhaitteZ de viure, Au moins accordez moy la faueur de me ſuiure;	Connaissant qu'inconnu vous souhaitez de vivre, Au moins accordez moi la faveur de me suivre;
Sans moyen, ſans loiſir, me refuſant ce point, Vous iugerez ingrat celuy qui ne l’eſt point:	Sans moyen, sans loisir, me refusant ce point, Vous jugerez ingrat celui qui ne l'est point:
Vous iugerez ingrat vn homme dont l’enuie Ne va qu'à vous ſeruir le reſte de ſa vie:	Vous jugerez ingrat un homme dont l'envie Ne va qu'à vous servir le reste de sa vie:
Qui ne deſire rien qu'optenir autoura nuy L’honneur de vous auoir pour commander chez l	Qui ne désire rien qu'optenir autoura nui L'honneur de vous avoir pour commander chez l
ARSIDOR.	ARSIDOR.
I'iray dans peu de iours vous offrir mon ſeruice.	J'irai dans peu de jours vous offrir mon service.
A LCANDRE.	À LCANDRE.
Mon importunité paſſera pour vn vice:	Mon importunité passera pour un vice:
Mais monaſſetiion me taujant et foucy, I’oſe vous demander ce qui vous meine icy;	Mais monassetion me taujant et fouci, J'ose vous demander ce qui vous mène ici;
Afin que mon pouuoir y donne bonne iſſuë.	Afin que mon pouvoir y donne bonne issue.
ARSIDOR.	ARSIDOR.
Ie viens pour me vanger d’vne iniure receuë, rentensmeueumienu vn ſupplice cruel, Et vainqueur ou vaincu me perdre en vnduel.	Je viens pour me venger d'une injure reçue, rentensmeueumienu avoir supplice cruel, Et vainqueur ou vaincu me perdre en unduel.
ALCANDRE.	ÀLCANDRE.
Les loix de ces Eſtats le font paſſer pour crime.	Les lois de ces États le font passer pour crime.
ARSIDOR.	ARSIDOR.
Le ſuiet que i’en ay le rendra legitime.	Le sujet que j'en ai le rendra légitime.
Et ſi voſtre credit veut s’employer pour moy, V ousmen ferez auoir la licence du Roy.	Et si votre crédit veut s'employer pour moi, V ousmen ferez avoir la licence du Roi.
ALCANDRE.	ÀLCANDRE.
Illuſtre Caualier, ce n’eſt pas choſe aiſee;	Illustre Cavalier, ce n'est pas chose aise;
L’authorité du Prince y ſemble mespriſee, mtuijon pom tompumiej eupaiſant mondeuoir, I'y porteray mes ſoins au dela du pouuoir:	L'autorité du Prince y semble méprise, mtuijon pom tompumie eupaisant mondevoir, J'y porterai mes soins au déla du pouvoir:
ARSIDOR.	ARSIDOR.
Et vous m’obligerez au delà du poſsible.	Et vous m'obligerez au delà du possible.
ALCANDRE.	ÀLCANDRE.
Le mal de vous quitter me rend l’autre inſenſible, Acceptez ce portrait que ie me ſuis trouué, Par luy vous cognoiſtrez qui vous auez ſauué, Par luy vous apprendrez qui vous eſt redeuable.	Le mal de vous quitter me rend l'autre insensible, Acceptez ce portrait que toujours me suis trouvé, Parfois vous connaîtrez qui vous avez sauvé, Par lez -vous apprendrez qui vous est redevable.
AKSIDOR.	AUSIDOR.
Pour tant d’honneſteteZ, m’eſtimant inſoluable, Ie reçoy ce portrait comme de mon vainqueur.	Pour tant d'honnêtetés, m'estimant insolvable, Je reçois ce portrait comme de mon vainqueur.
ALCANDRE.	ÀLCANDRE.
Et i'emporte le voſtre au milieu de mon cœur.	Et j'emporte le vôtre au milieu de mon cœur.
F iij	 Fij
SCENE CINQVIESME.	SCÈNE CINQUIÈME.
L’HOSTE D’ARSIDOR.	L'HÔTE D'ARSIDOR.
Ve la Fortune aueugle en ce ſiecle où not ſommes, A peu de iugement à diſcerner les hommes.	Ve la Fortune aveugle en ce siècle où not sommes, À peu de jugement à discerner les hommes.
Apres auoir paſsé par les degrez d'honneur, Goüjat, Fiffre, Tambour, Viuandier ſans bon-hei Apres auoir traiſné quator Ze ans vne gaine, Auec peu de profit, auec beaucoup de peine, En fin eſpouuentail, qui fais peur aux Corbeaux, L’ingratte m'a donné pour Armes des lambeaux, Et ma vertu languit, n'eſtant point reconnuë, Si ce n'eſt ſeulement en ce qu’elle va nuë.	Après avoir passé par les degré d'honneur, Goüjat, Fiffre, Tambour, Vivandier sans bon-hey Apres avoir traîné quator Ze ans une gaine, Avec peu de profit, avec beaucoup de peine, En fin espouuentail, qui fais peur aux Corbeaux, L'ingratte m'a donné pour Armes des lambeaux, Et ma vertu languit, n'étant point reconnue, Si ce n'est seulement en ce qu'elle va nue.
O Ciel!	Ô Ciel!
que les vaillans ſont mal recompenſez:	que les vaillants sont mal récompensez:
Mais pourquoy ces regrets, moins iuſtes qu’inſenſ Dans l’eſtat où ie ſuis faut-il que ie me pleigne, Veu que de Caporal ie poſſede vne Enſeigne?	Mais pourquoi ces regrets, moins justes qu'insens Dans l'état où je suis faut-il que . me pleigne, Veu que de Caporal Seigneur possède une Enseigne?
Et que tous les Badauts qui ſont dans le Hameau, Me nomment par respect, Capitaine l’Ormeau, Non, non, contentons nous, noſtre auanture eſt be	Et que tous les Badauts qui sont dans le Hameau, Me nomment par respect, Capitaine l'Ormeau, Non, non, contentons nous, notre aventure est be
Vne Table, vn Chaſlit, vn Banc, vne Scabelle, 7 Quatre Plats, deux Linceuls, vn muid de Vin clairet, Ne ſuffiſent-ils pas à tenir Cabaret?	Une Table, un Châlit, un Banc, une Scabelle, 7 Quatre Plats, deux Linceuls, un muid de Vin clairet, Ne suffisent-ils pas à tenir Cabaret?
Heureux celuy qui craind auſsi peu qu’il espere, Meſurant ſa fortune à celle de ſon pere, Eſueillé chaque iour ( pour empoigner le ſoc) Par l’horloge reglé de la voix de ſon Cocq.	Heureux celui qui craind aussi peu qu'il espère, Mesurant sa fortune à celle de son père, Éveillé chaque jour ( pour empoigner le soc) Par l'horloge réglé de la voix de son Cocque.
Mais de quelque douceur que le Chaume ſe vante, Sa baſſe pauurẽté me choque & m’eſpouuante, Et ie ne ſçaurois voir vn Soldat ſeulement, Sans deſirer la guerre, où fut mon element.	Mais de quelque douceur que le Chaume se vante, Sa basse pauurẽté me choque et m'épouvante, Et Seigneur ne saurais voir un Soldat seulement, Sans désirer la guerre, où fut mon élément.
Cet obiet me rauit le cœur par la paupiere, Ie ſaute au Ratelier, & i’y prends ma Rapiere, La terreur des Poullets dont i’eſtois le Bourreau, Mais le temps l’a collee auecques le forreau, Et la forced Alcide à mon bras comparablé, Ne pourroit ſeparer ce couple inſeparable:	Cet objet me ravit le cœur par la paupière, Je saute au Ratelier, et j'y prends ma Rapière, La terreur des Poulets dont j'étais le Bourreau, Mais le temps l'a collée avec le forreau, Et la forced Alcide à mon bras comparablé, Ne pourrait séparer ce couple inséparable:
Laiſſons-les donc vnis;	Laissons-les donc unis;
pourquoy les ſeparer?	pourquoi les séparer?
Ie ne m'en veux feruir qu’afin de me parer, Auiourd'huy qu'vn guerrier dans ma caſe champeſtre, A laiſsé ſon Cheual pour le fairertpujdii Il ſe promene ſeul dans le bois d’alentour, Aduançons grauement, le voicy de retour:	Je ne m'en veux servir qu'afin de me parer, Auiourd'hui qu'un guerrier dans ma case champêtre, A laissé son Cheval pour le fairertpujédi Il se promène seul dans le bois d'alentour, Aduançons gravement, le voici de retour:
Et bien mon Caualier, trouuez-vous cette Terre Außibelle en paix, qu'elle eſt propre à là guerre?	Et bien mon Cavalier, trouvez-vous cette Terre Aussibelle en paix, qu'elle est propre à là guerre?
Car tenez pour certain que ce climat heureux N'a iamais d’habitans qui ne ſoient genereux.	Car tenez pour certain que ce climat heureux N'a jamais d'habitants qui ne soient généreux.
SCENE SIXIESME.	SCÈNE SIXIÈME.
ARSIDOR, L’HOSTE,	ARSIDOR, L'HÔTE,
ARSIDOR.	ARSIDOR.
J Oſtre mine le monſtre:	 Ostre mine le montre:
& m’obligeant de croirs V Que vous auez ſuiuy ce meſtier plein de gloire, Ie veux vous demander ſi voſtre ſouuenir Les traits de ce viſage auroit peu retenir.	et m'obligeant de croirs V Que vous avez suivi ce métier plein de gloire, Je veux vous demander si votre souvenir Les traits de ce visage aurait pu retenir.
L’HOSTE.	L'HÔTE.
Ie ſerois eſtranger en ma propre Prouince, St ie ne connoiſſois les delices du Prince, I’ay commandé ſous luy;	Je serais étranger en ma propre Province, St Il ne connaissais les délices du Prince, J'ai commandé sous mieux;
mais remarquez ce traict, C’eſt Alcandre luy- meſme, & non pas ſon portraict	mais remarquez ce trait, C'est Alcandre lui- même, et non pas son portrait
ARSIDOR.	ARSIDOR.
Alcan, que dites-vous?	Alcan, que dites-vous?
L’HOSTE.	L'HÔTE.
Alcandre l'inuincible.	Alcandre l'invincible.
Alcandre?	Alcandre?
ARSIDOR.	ARSIDOR.
L’HOSTE.	L'HÔTE.
cet Alcandre, a qui tout eſt poßible.	cet Alcandre, à qui tout est passible.
ARSIDOR.	ARSIDOR.
O Dieux!	Ô Dieux!
qui vid iamais pareil euenement?	qui vit jamais pareil événement?
Icy le deſplaiſir cede à l’eſtonnement.	Ici le déplaisir cède à l'étonnement.
L’HOSTE.	L'HÔTE.
