TRAGEDIE ORNEE DE MACHINES, & de Muſique.	TRAGÉDIE ORNÉE DE MACHINES, et de Musique.
TYRCIS.	TYRCIS.
Il fait tous mes deſirs.	Il fait tous mes désirs.
Tous deux enſemble.	Tous deux ensemble.
Pour goûter les plus doux Plaiſirs, Ne nous laſſons jamais de nous le dire;	Pour goûter les plus doux Plaisirs, Ne nous lassons jamais de nous le dire;
Aimons-nous;	Aimons-nous;
douce peine!	douce peine!
agreable martyre!	agréable martyre!
Ce Dialogue qui exprime les douceurs qu’une parfaite union fait goûter en aimant, donne occaſion à Glaucus de redoubler ſes prieres pour obtenir de Circé qu’elle daigne changer le cœur de Sylla.	Ce Dialogue qui exprime les douceurs qu'une parfaite union fait goûter en aimant, donne occasion à Glaucus de redoubler ses prières pour obtenir de Circé qu'elle daigne changer le cœur de Sylla.
Circè luy oppoſe le peu d’avantage qu’il auroit à ne devoir qu’à ſes Charmes la récompenſe de ſon amour;	Circè le oppose le peu d'avantage qu'il aurait à ne devoir qu'à ses Charmes la récompense de son amour;
& en l’aſſurant qu’il trouveroit des Nymphes qui ne ſeroient pas inſenſibles pour luy, elle va ſi loin, qu’il ne peut plus ſe déguiſer qu’elle parle pour elle-meſme.	et en l'assurant qu'il trouverait des Nymphes qui ne seraient pas insensibles pour venir, elle va si loin, qu'il ne peut plus se déguiser qu'elle parle pour elle-même.
Glaucus luy avouë qu’il eſt de ſa deſtinée de ne prendre de l’attachement que pour Sylla ſeule;	Glaucus lui avoue qu'il est de sa destinée de ne prendre de l'attachement que pour Scylla seule;
& cette deciaration frrite tellement Circe, que faiſant ſucceder la menace à la douceur, elle cherche à l’intimider, & d’un coup de Baguete fait paroiſtre des Serpens, des Lyons, des Tygres, & divers autres Animaux, comme autant d’Amans qu’elle a métamorphoſez pour de moindres outrages que celuy qu’il oſe luy faire, en dédaignant de repondre à ſa paſſion Glaucus qui, comme Dieu, n’a rien à craindre de ſes emportemens,écoute ſes menaces avec froideur.	et cette déciaration frrite tellement Circe, que faisant succéder la menace à la douceur, elle cherche à l'intimider, et d'un coup de Baguette fait paraître des Serpents, des Lyons, des Tygres, et divers autres Animaux, comme autant d'Amant qu'elle a métamorphosez pour de moindres outrages que celui qu'il ose lui faire, en dédaignant de répondre à sa passion Glaucus qui, comme Dieu, n'a rien à craindre de ses emportements,écoute ses menaces avec froideur.
Circé en redouble ſa colere, & donnant ordre à ces Animaux de fondre ſur luy, dans le meſme inſtant qu’ils s’approchent, Glaucus leur défend de ſe montrer davantage La Terre s’ouvre, ils y ſont engloutis;	Circé en redouble sa colère, et donnant ordre à ces Animaux de fondre sur Ah, dans le même instant qu'ils s'approchent, Glaucus leur défend de se montrer davantage La Terre s'ouvre, ils y sont engloutis;
& cet effet du pouvoir de Glaucus ne laiſſant plus de bornes à la fureur de Circe, elle commande aux Statuës qui ſoûtiennent le Berceau du Iardin, de s’animer pour prendre ſa querelle.	et cet effet du pouvoir de Glaucus ne laissant plus de bornes à la fureur de Circe, elle commande aux Statues qui soutiennent le Berceau du Jardin, de s'animer pour prendre sa querelle.
On eſt ſurpris de la promptitude de leur mouvement, qui ne ſert qu’à relever la gloire de Glaucus.	On est surpris de la promptitude de leur mouvement, qui ne sert qu'à relever la gloire de Glaucus.
Il ne leur a pas plutoſt ordonné de ſe perdre en l’air, que toutes ces Statuës s’envolent dans tous les coſtez du Theatre.	Il ne leur a pas plutôt ordonné de se perdre en l'air, que toutes ces Statues s'envolent dans tous les côtés du Théâtre.
Les Grenoüilles ſautent hors du Baſſin où on les a veues, & s’enfonçant dans la terre, laiſſent Circé dans une telle confuſion d’avoir trouvé un pouvoir plus fort que le ſien, que pour ſe vanger de Glaucus, elle ſe réſout de ne plus rien épar grier, & fort daiis re deſſein de ſe porter contre luy aux dernieres extré	Les Grenouilles sautent hors du Bassin où on les a vues, et s'enfonçant dans la terre, laissent Circé dans une telle confusion d'avoir trouvé un pouvoir plus fort que le sien, que pour se venger de Glaucus, elle se résout de ne plus rien épar grier, et fort daiis re dessein de se porter contre lui aux dernières extré
A CI.	À CY.
III.	III.
E magnifique lardin qui a ſervy de Décoration à l’Acte precedent, fait place à un ſuperbe Palais, dont l’Architecture eſt d’Ordre Corintien, avec les Friſes & Corniches.	E magnifique lardin qui a servi de Décoration à l'Acte précédent, fait place à un superbe Palais, dont l'Architecture est d'Ordre Corintien, avec les Frises et Corniches.
Les Pilaſtres ſont de lapis veiné d’or.	Les Pilastres sont de lapis veiné d'or.
Vne Baluſtrade regne au deſſus en forme d’Atique.	Une Balustrade règne au dessus en forme d'Atique.
La maſſe du Palais eſt toute de marbre blanc, avec les chapiteaux des Pilaſtres & les baſes d’or.	La masse du Palais est toute de marbre blanc, avec les chapiteaux des Pilastres et les bases d'or.
On voit ſur des Pieds-d’eſtaux qui ſortent en ſaillie, des Vaſes d’or, de lapis, & de marbre;	On voit sur des Pieds-d'étaux qui sortent en saillie, des Vases d'or, de lapis, et de marbre;
& au bout de ce Palais, on découvre un lardin avec ſes ornemens d’Arbres, de Fleurs, de lets d’eau, & de Fontaines.	et au bout de ce Palais, on découvre un lardin avec ses ornements d'Arbres, de Fleurs, de lets d'eau, et de Fontaines.
Mélicerte déplore ſon infortune ſur le changement de Circe en preſence d’Aſtérie, la plus jeune de ſes Nymphes, qui ſuivant ſon caractere enjoüe, luy propoſe l’oubly pour remede.	Mélicerte déplore son infortune sur le changement de Circe en présence d'Astérie, la plus jeune de ses Nymphes, qui suivant son caractère enjoue, Seigneur propose l'oubli pour remède.
Il la prié de s’intereſſer pour luy;	Il la prié de s'intéresser pour venir;
ce qu’elle fait, en luy promettant d’agir aupres de Palémon Confident du raux Prince de Thrace, pour decouvrir les ſentimens de ſon Maiſtre, & l’engager avec adreſſe à le confirmer B dans la paſſion qui luy fait préferer Sylla à la gloire d’eſtre aimé de Circé.	ce qu'elle fait, en lui promettant d'agir auprès de Palémon Confident du raux Prince de Thrace, pour découvrir les sentiments de son Maître, et l'engager avec adresse à le confirmer B dans la passion qui avait fait préférer Scylla à la gloire d'être aimé de Circé.
Palémon porte ſi loin le mépris qu’il fait de ſes menaces, qu’Aſtérie ne peut s’empeſcher de luy dire qu’il doit prendre garde qu’on ne l’outrage pas impunément.	Palémon porte si loin le mépris qu'il fait de ses menaces, qu'Astérie ne peut s'empêcher de seule dire qu'il doit prendre garde qu'on ne l'outrage pas impunément.
Elle luy en donne pour exemple un de ſes Amans, qui paroiſt ſous la figure d’un Singe, & qu’elle luy dit n’avoir eſte ainſi metamorphoſé que parce qu’il l’avoit aimée au préjudice de Circé, qui s’en eſtant apperçeuë, luy avoit impoſé cette peine, auſſi-bien qu’à quelques Pages qu’il avoit amenez avec luy, pour le punir d’une paſſion dont elle s’eſtoit offencée.	Elle avait en donne pour exemple un de ses Amants, qui paraît sous la figure d'un Singe, et qu'elle avait dit n'avoir este ainsi métamorphosé que parce qu'il l'avait aimée au préjudice de Circé, qui s'en étant aperçue, lui avait imposé cette peine, aussi-bien qu'à quelques Pages qu'il avait amenez avec lui, pour le punir d'une passion dont elle s'était offensée.
Aſtérie adjoûte que ces Singes prenoient ſoin tous les jours de la venir divertir par divers fauts où ils s’eſtoient étudiez pour luy plaire, & elle en donne le plaiſir à Palémon, qui ſe retire voyant arriver Circé.	Astérie ajoute que ces Singes prenaient soin tous les jours de la venir divertir par divers sauts où ils s'étaient étudiés pour lui plaire, et elle en donne le plaisir à Palémon, qui se retire voyant arriver Circé.
Cette Amante indignée de la maniere dont elle a eſté bravée par Glaucus, ſe réſout de le perdre par la force du Poiſon, puis que ſes Charmes ne peuvent rien pour changer ſon cœur;	Cette Amante indignée de la manière dont elle a été bravée par Glaucus, se résout de le perdre par la force du Poison, puis que ses Charmes ne peuvent rien pour changer son cœur;
& afin de n’eſtre plus expoſée aux impor tunts praintes de Mélicerte, elle donne à Aſtérie un Anneau enchanté à luy porter, par le moyen duquel il doit oublier qu’il s’eſt veu aimé d’elle, & reprendre fon premier amour pour Sylla.	et afin de n'être plus exposée aux impor tunts praintes de Mélicerte, elle donne à Astérie un Anneau enchanté à lui porter, par le moyen duquel il doit oublier qu'il s'est vu aimé d'elle, et reprendre son premier amour pour Slla.
On reçoit en meſme temps la nouvelle que cette malheureuſe Rivale demande à voir Circé.	On reçoit en même temps la nouvelle que cette malheureuse Rivale demande à voir Circé.
Elle en eſt favorablement écoutée;	Elle en est favorablement écoutée;
& non ſeulement elle l’aſſure de la fidelité de Mélicerte, mais elle s’ofre à le luy faire voir.	et non seulement elle l'assure de la fidélité de Mélicerte, mais elle s'ofre à le Roi faire voir.
Dans l’inſtant qu’elles ſe preparent à ſortir pour l’aller chercher, Glaucus arreſte Sylla, qui toute ſurpriſe de le voir dans un lieu où elle ne l’attendoit point, ne ſçait que répondre aux tendres proteſtations qu’il luy renouvelle de ſon amour.	Dans l'instant qu'elles se préparent à sortir pour l'aller chercher, Glaucus arrête Scylla, qui toute surprise de le voir dans un lieu où elle ne l'attendait point, ne sait que répondre aux tendres protestations qu'il lui renouvelle de son amour.
C’eſt là que Circé, qui ſe voit entierement bravée, s’abandonne à tout ce que la fureur luy peut inſpirer;	C'est là que Circé, qui se voit entièrement bravée, s'abandonne à tout ce que la fureur ton peut inspirer;
& apres quelques inutiles ſouhaits qu’elle fait pour la perte de l’Amant de ſa Rivale, elle voit deſcendre pluſieurs Nuages.	et après quelques inutiles souhaits qu'elle fait pour la perte de l'Amant de sa Rivale, elle voit descendre plusieurs Nuages.
qui s’eſtant ramaſſez pour l’enfermer avec Sylla, leur donne lieu à l’une & à l’autre de ſe dérober aux yeux de Glaucus.	qui s'étant ramassés pour l'enfermer avec Scylla, leur donne lieu à l'une et à l'autre de se dérober aux yeux de Glaucus.
Le Nuage s’ouvre apres qu’elles ſe ſont échapées, & ſe diſſipant des deux coſtez du Theatre, laiſſe Glaucus dans une extrème ſurpriſe de ce qui vient d’arriver.	Le Nuage s'ouvre après qu'elles se sont échappées, et se dissipant des deux côtés du Théâtre, laisse Glaucus dans une extrême surprise de ce qui vient d'arriver.
Il ne doute point que ce ne ſoit un ſecours que le Soleil a bien voulu preſter à Circé;	Il ne doute point que ce ne soit un secours que le Soleil a bien voulu prêter à Circé;
& pour en eſtre entierement éclaircy, il ſe réſout de recourir à Vénus qu’il voit deſcendre dans ſon Palais, dont l’Architecture eſt compoſée & ornée de quantité d’Amours qui ſoutiennent la Corniche.	et pour en être entièrement éclairci, il se résout de recourir à Venus qu'il voit descendre dans son Palais, dont l'Architecture est composée et ornée de quantité d'Amours qui soutiennent la Corniche.
Ils ſont de marbre blanc juſqu’au milieu du corps, dont le bas ſe forme en Fleurons d’or, & ſe termine en Conſoles enrichies d’ornemens auſſi d’or.	Ils sont de marbre blanc jusqu'au milieu du corps, dont le bas se forme en Fleurons d'or, et se termine en Consoles enrichies d'ornements aussi d'or.
Ils portent ſur leurs teſtes des Paniers de Fleurs d’où pendent de grands Feſtons qu’ils retiennent avec leurs mains, en ſorte qu’ils retombent entre les feüillages de leursqueuës, & font une chute ſur la Conſole.	Ils portent sur leurs têtes des Paniers de Fleurs d'où pendent de grands Festons qu'ils retiennent avec leurs mains, en sorte qu'ils retombent entre les feuillages de leursqueues, et font une chute sur la Console.
Le Pied-d’eſtal ſe trouve directement deſſous, orné de Paneaux d’azur, veiné d’or.	Le Pied-d'étal se trouve directement dessous, orné de Paneaux d'azur, veiné d'or.
De grands Feſtons de Fleurs tombent du milieu des Friſes, dans leſquelles d’eſpace en eſpace ſont peints des Cœurs percez de Fléches, avec des Carquois & d’autres ornemens.	De grands Festons de Fleurs tombent du milieu des Frises, dans lesquelles d'espace en espace sont peints des Cœurs percés de Flèches, avec des Carquois et d'autres ornements.
L’Optique repreſente deux Amours de meſme ſimetrie que les autres, avec un Berceau ſoûtenu par quatre Amours en forme de Termes qui le ſuportent.	L'Optique représente deux Amours de même symétrie que les autres, avec un Berceau soutenu par quatre Amours en forme de Termes qui le supportent.
Il eſt formé de feüillages & de laſmins, au milieu deſquels on voit une Table de marbre, remplie de Corbeilles de fleurs & de Vaſes.	Il est formé de feuillages et de lasmins, au milieu desquels on voit une Table de marbre, remplie de Corbeilles de fleurs et de Vases.
Tandis que Vénus deſcend, & fait paroiſtre peuà peu ce magnifiquɇ Palais, Glaucus fait chanter les Vers ſuivans, pour tâcher à ſe la rendre plus favorable.	Tandis que Vénus descend, et fait paraître peuà peu ce magnifiqu Palais, Glaucus fait chanter les Vers suivants, pour tâcher à se la rendre plus favorable.
CHANSON.	CHANSON.
TIens.	TIens.
ô Mere d’Amour, viens recevoir nos vœux;	ô Mère d'Amour, viens recevoir nos vœux;
C’eſt toy qui nous fais vivre heureux, Par les biens qu’à chérir le bel âge convie.	C'est toi qui nous fais vivre heureux, Par les biens qu'à chérir le bel âge convie.
Tu diſpoſes nos cœurs à ſe laiſſer charmer;	Tu disposes nos cœurs à se laisser charmer;
Et ſans le doux plaiſir d’aimer, Eſt-il de beaux jours dans la vie?	Et sans le doux plaisir d'aimer, Est-il de beaux jours dans la vie?
Glaucus Glaucus n’a pas plutoſt conjuré Vénus de luy découvrir où Circé peut avoir enlevé Sylla, que pour le tirer de l’inquietude qui le tourmente, elle commande à douze Amours de ſe ſeparer, & d’épier ſi bien tout ce que fera Cireé, qu’ils puiſſent venir rendre compte à Glaucus du lieu où elle aura caché Sylla.	Glaucus Glaucus n'a pas plutôt conjuré Venus de même découvrir où Circé peut avoir enlevé Sylla, que pour le tirer de l'inquiétude qui le tourmente, elle commande à douze Amours de se parer, et d'épier si bien tout ce que fera Cireé, qu'ils puissent venir rendre compte à Glaucus du lieu où elle aura caché Sylla.
Ces Amours partent dans le meſme inſtant;	Ces Amours partent dans le même instant;
& la plûpart d’eux ayant vole preſque juſque ſur terre, ſe relevent tout d’un coup par un mouvement extraordinaire, pour ſe perdre dans les airs.	et la plupart d'eux ayant vole presque jusque sur terre, se relèvent tout d'un coup par un mouvement extraordinaire, pour se perdre dans les airs.
LIOEI	LIOEI
ET Acte qui ſe paſſe dans le lieu le plus deſert du Palais de Circé, a pour Décoration de grands Arbres toufus qui forment un Bois dont l’épaiſſeur ſemble eſtre impénetrable à la clarté du Soleil.	ET Acte qui se passe dans le lieu le plus désert du Palais de Circé, a pour Décoration de grands Arbres toufus qui forment un Bois dont l'épaisseur semble être impénétrable à la clarté du Soleil.
C’eſt là que Palémon fait une Scene d’enjouëment avec Aſtérie, qui vient y chercher Mélicerte, qu’elle n’a pu trouver ailleurs, pour luy donner l’Anneau qu’elle a reçeu de Circé.	C'est là que Palémon fait une Scène d'enjouement avec Astérie, qui vient y chercher Mélicerte, qu'elle n'a pu trouver ailleurs, pour lui donner l'Anneau qu'elle a reçu de Circé.
Cet Amant qui eſtoit venu deplorer ſon infortune dans ce Bois, touche a peine cet Anneau enchanté, qu’il retombe dans ſa premiere paſſion pour Sylla, ſans ſe ſouvenir qu’il ait jamais offert des vœux à Circé;	Cet Amant qui était venu déplorer son infortune dans ce Bois, touche a peine cet Anneau enchanté, qu'il retombe dans sa première passion pour Sylla, sans se souvenir qu'il ait jamais offert des vœux à Circé;
& dans l’empreſſement qu’il a de la voir, ſur ce qu’il a ſçeu qu’elle devoit arriver au Palais, il quitte Aſterie qui raille Floriſe, autre Nymphé de Circe, ſur ſon humeur prude, qui luy fait condamner l’entretien qu’elle vient d’avoir avec Mélicerte dans un lieu auſſi inhabité que le Bois où elle l’a ſurpriſe avec luy.	et dans l'empressement qu'il a de la voir, sur ce qu'il a su qu'elle devait arriver au Palais, il quitte Asterie qui raille Florise, autre Nymphé de Circe, sur son humeur prude, qui suis fait condamner l'entretien qu'elle vient d'avoir avec Mélicerte dans un lieu aussi inhabité que le Bois où elle l'a surprise avec lui.
Toutes les deux reçoivent ordre de Circé d’amener cet Amant à Sylla, qui conſent à la propoſition que luy fait Circé de demeurer quelque temps dans ce lieu deſert, pour ſe cacher à Glaucus, avec aſſurance qu’elle y ſera la maiſtreſſe des divertiſſemens qu’elle voudra choiſir.	Toutes les deux reçoivent ordre de Circé d'amener cet Amant à Sylla, qui consent à la proposition que sans fait Circé de demeurer quelque temps dans ce lieu désert, pour se cacher à Glaucus, avec assurance qu'elle y sera la maîtresse des divertissements qu'elle voudra choisir.
On entend dans le meſme temps la voix d’une Dryade, que Circé convie auſſibien qu’un Faune qui l’accompagne, de donner à Sylla un eſſay du plaiſir qu’elle ſe peut promettre de leurs Concerts.	On entend dans le même temps la voix d'une Dryade, que Circé convie aussibien qu'un Faune qui l'accompagne, de donner à Sylla un essai du plaisir qu'elle se peut promettre de leurs Concerts.
CHANSON DE LA DRYADE.	CHANSON DE LA DRYADE.
TOus étonnez-vous V D'un peu de martyre?	TOus étonnés-vous V 'un peu de martyre?
C’eſt quand on ſoûpire, Que l'amour eſt doux.	C'est quand on soupire, Que l'amour est doux.
Du poun vene onaine Ne ſçauroit charmer, Si l’on n'a de la peine A ſe faire aimer.	Du poun vene onaine Ne saurait charmer, Si l'on n'a de la peine A se faire aimer.
J’aime les plaiſirs Qu'on me fait attendre;	J'aime les plaisirs Qu'on me fait attendre;
Un Objet trop tendre Eteint les deſirs.	Un Objet trop tendre Éteint les désirs.
La plusgrande gloire Qu'on trouve en aimant, C’eſt lors que la Victoire Coûte un long tourment.	La plusgrande gloire Qu'on trouve en aimant, C'est lors que la Victoire Coute un long ment.
Cette Elfaiſon eſt furvie de ces Paroles, qui ſont chantées par un Faune, & par la meſme Dryade.	Cette Élfaison est survie de ces Paroles, qui sont chantées par un Faune, et par la même Dryade.
LE FAUNE.	LE FAUNE.
Il n'eſt rien de ſi doux que de changer ſans ceſſe;	Il n'est rien de si doux que de changer sans cesse;
L Amour pour les cœurs inconſtans Ne peut avoir que d’heureux temps;	L Amour pour les cœurs inconstants Ne peut avoir que d'heureux temps;
Toûjours plaiſirs nouveaux, & jamais de triſteſſe, Il n'eſt rien de ſi doux que de changer ſans ceſſe	Toujours plaisirs nouveaux, et jamais de tristesse, Il n'est rien de si doux que de changer sans cesse
LA DRYADE.	LA DRYADE.
L’inconſtance détruit les douceurs de l'Amour;	L'inconstance détruit les douceurs de l'Amour;
Pour eſtimer un bien, il faut qu'il ſoit durable.	Pour estimer un bien, il faut qu'il soit durable.
LE FAUNE.	LE FAUNE.
L’Amour qui dure trop, eſt un mal véritable;	L'Amour qui dure trop, est un mal véritable;
Pour aimer ſans chagrin, ilfaut n’aimer qu’un jour.	Pour aimer sans chagrin, ilfaut n'aimer qu'un jour.
Ridicule folie!	Ridicule folie!
LA DRYADE.	LA DRYADE.
LE FAONE.	LE FANE.
Incommode ſageſſe!	Incommode sagesse!
Il n’eſt rien de ſi doux que de changer ſans ceſſe.	Il n'est rien de si doux que de changer sans cesse.
Ridicule folie!	Ridicule folie!
LA DRYADE.	LA DRYADE.
LE FAUNE.	LE FAUNE.
Incommode ſageſſe!	Incommode sagesse!
LA DRYADE.	LA DRYADE.
Il n'eſt rien de ſi doux qu’une longue tendreſſe.	Il n'est rien de si doux qu'une longue tendresse.
LE FAUNE.	LE FAUNE.
A cent Objets arvers on aout faire ſa cour.	À cent Objets arvers on août faire sa cour.
Ridicule folie!	Ridicule folie!
LA DRYADE.	LA DRYADE.
LE FAUNE.	LE FAUNE.
Incommode ſageſſe!	Incommode sagesse!
Le Faune.	Le Faune.
Tous les deux enfemble.	Tous les deux ensemble.
Il n'eſt rien de ſi doux que de changer ſans ceſſe.	Il n'est rien de si doux que de changer sans cesse.
La Dryade.	La Dryade.
Il n'eſt rien de ſi doux qu’une longue tendreſſe.	Il n'est rien de si doux qu'une longue tendresse.
Le Faune & la Dryade ont à peine ceſſé de chanter, que Circé ſe trouve expoſée à de nouvelles alarmes du pouvoir de Glaucus, qu’elle ne connoiſt pas encor pour un Dieu.	Le Faune et la Dryade ont à peine cessé de chanter, que Circé se trouve exposée à de nouvelles alarmes du pouvoir de Glaucus, qu'elle ne connaît pas encor pour un Dieu.
Elle apprend de Dorine qu’il a eſté averty par les Amours du lieu où elle tient Sylla cachée, & que l’un d’eux s’eſt chargé du ſoin de l’y conduire.	Elle apprend de Dorine qu'il a été averti par les Amours du lieu où elle tient Scylla cachée, et que l'un d'eux s'est chargé du soin de l'y conduire.
Sylla ſe trouble à cette nouvelle;	Sylla se trouble à cette nouvelle;
& Circé qui en prend un nouveau ſujet d’indignation, luy propoſe de ſoufrir qu’elle la faſſe porter par les airs juſques dans Thebes, où Mélicerte qui en eſt Prince, la pourra aiſément garantir des importunes pourſuites d’un Amant qui ne luy plaiſt pas.	et Circé qui en prend un nouveau sujet d'indignation, tu propose de soufrir qu'elle la fasse porter par les airs jusqu ' Hebes, où Mélicerte qui en est Prince, la pourra aisément garantir des importunes poursuites d'un Amant qui ne lui plaît pas.
Sylla y conſent, & elle n’eſt pas ſi-toſt au milieu de l’air, ſoûtenuë de quatre Eſprits qui l’emportent par l’ordre de Circé, que quatre des Amours que Vénus a diſperſez autour du Palais, viennent à ſa rencontre, & apres un combat en l’air où les Eſprits ſont forcez de ceder, ils font changer de route à Sylla, & l’enlevent aux yeux de Circé.	Sylla y consent, et elle n'est pas sitôt au milieu de l'air, soutenue de quatre Esprits qui l'emportent par l'ordre de Circé, que quatre des Amours que Venus a dispersez autour du Palais, viennent à sa rencontre, et après un combat en l'air où les Esprits sont forcés de céder, ils font changer de route à Scylla, et l'enlèvent aux yeux de Circé.
C’eſt dans ce combat, où l'on ne ſçauroit aſſez admirer l’incomparable Génie de celuy qui a daigné donner ſes ſoins à trouver les moyens de l’executer:	C'est dans ce combat, où l'on ne saurait assez admirer l'incomparable Génie de celui qui a daigné donner ses soins à trouver les moyens de l'exécuter:
on l’avoit propoſé d’abord comme impoſſible, & il a fait voir que rien ne le ſçauroit eſtre à ſes moindres applications.	on l'avait proposé d'abord comme impossible, et il a fait voir que rien ne le saurait été à ses moindres applications.
Circé ſur priſe de ce qu’elle voit, entre dans une nouvelle fureur, qui luy fait évoquer des Enfers la Terreur, la Rage, le Deſeſpoir, & tout ce qu’ils renferment de plus ennemy des Hommes.	Circé sur prise de ce qu'elle voit, entre dans une nouvelle fureur, qui lui fait évoquer des Enfers la Terreur, la Rage, le Désespoir, et tout ce qu'ils renferment de plus ennemi des Hommes.
Il ſe fait icy une Scene toute extraordinaire:	Il se fait ici une Scène toute extraordinaire:
Ces noires Divinitez paroiſſent, & par leurs diférentes actions elles font voir qu’elles entrent dans tous les 4 ſentimens de Circé;	Ces noires Divinités paraissent, et par leurs diférentes actions elles font voir qu'elles entrent dans tous les 4 sentiments de Circé;
mais quand elle leur commande d’aller répandre leurs plus mortels poiſons dans le cœur du Prince de Thrace, elles demeurent immobiles, & luy font connoiſtre que le Ciel ne leur permet pas de l’en vanger.	mais quand elle leur commande d'aller répandre leurs plus mortels poisons dans le cœur du Prince de Thrace, elles demeurent immobiles, et lui font connaître que le Ciel ne leur permet pas de l'en venger.
Circé, que cette impuiſſance irrite, ne ſçauroit plus ſoufrir leur preſence;	Circé, que cette impuissance irrite, ne saurait plus souffrir leur présence;
& dans le meſme temps qu’elle les chaſſe, elle voit le Soleil qui ſe montre dans ſon Palais Il eſt d’or compoſé, avec des Colomnes torſes d’or poly;	et dans le même temps qu'elle les chasse, elle voit le Soleil qui se montre dans son Palais Il est d'or composé, avec des Colomnes torses d'or poli;
elles ſont reveſtuës de branches de Laurier qui les environnent, de couleur naturelle.	elles sont revêtues de branches de Laurier qui les environnent, de couleur naturelle.
Les chapiteaux ſont d’or fin cizelè, & les baſes des Colomnes de meſme maniere, auſſi-bien que la friſe & la corniche.	Les chapiteaux sont d'or fin cizelè, et les bases des Colomnes de même manière, aussi-bien que la frise et la corniche.
Le corps du maſſif de ce Palais eſt de Prerres prétieuſes, & tous les Pieds-d’eſtaux de marbre blanc, au milieu deſquels on voit de gros Rubis;	Le corps du massif de ce Palais est de Prerres prétieuses, et tous les Pieds-d'étaux de marbre blanc, au milieu desquels on voit de gros Rubis;
Les Paneaux ſont enrichis de veines d’or ſur un fond de lapis.	Les Paneaux sont enrichis de veines d'or sur un fond de lapis.
Au deſſus de la Corniche on voit, dans une eſpece de petit Attique d’où naiſſent les Cintres, des Lyres d’or, avec pluſieurs ornemens;	Au dessus de la Corniche on voit, dans une espèce de petit Attique d'où naissent les Cintres, des Lyres d'or, avec plusieurs ornements;
& dans le milieu des Voütes ſont peints de grands Soleils d’or poly, avec quantité d’autres ornemens.	et dans le milieu des Voütes sont peints de grands Soleils d'or poli, avec quantité d'autres ornements.
L’Optique de ce Palais eſt toute tranſparante, & jette un éclat qui ébloüit.	L'Optique de ce Palais est toute transparante, et jette un éclat qui éblouit.
Circé écoute le Soleil, & apprend de luy que c’eſt en vain qu’elle luy reproche de n’eſtre point fenſible aux outrages qu’elle reçoit, puis que celuy dont elle voudroit eſtre vangee eſt Glaucus, qui s’eſt caché ſous le viſage & le nom du Prince de Thrace.	Circé écoute le Soleil, et apprend de Seigneur que c'est en vain qu'elle avait reproche de n'être point sensible aux outrages qu'elle reçoit, puis que celui dont elle voudrait avoir venge est Glaucus, qui s'est caché sous le visage et le nom du Prince de Thrace.
Cette nouvelle fait prendre d’autres meſures à Circé, qui déguiſe ſon reſſentiment, & ſe contente de ſe plaindre à Glaucus qui ſurvient, amené par un des Amours qui s’envole en ſuite, de ce qu’il ne l’a pas aſſez eſtimée pour luy dècouvrir luy-meſme ce qu’il a falu que le Soleil luy ait appris.	Cette nouvelle fait prendre d'autres mesures à Circé, qui déguise son ressentiment, et se contente de se plaindre à Glaucus qui survient, amené par un des Amours qui s'envole en suite, de ce qu'il ne l'a pas assez estimée pour M dècouvrir avoir-même ce qu'il a fallu que le Soleil luitaît appris.
Les excuſes qu’il luy en fait ſont interrompuës par l’arrivée de Palémon, qui luy vient dire que les Amours ont ramené Sylla dans le Palais, & qu’ils retiennent Mélicerte qui fait tous ſes efforts pour s’approcher d’elle.	Les excuses qu'il lui en fait sont interrompues par l'arrivée de Palémon, qui luitaît dire que les Amours ont ramené Sylla dans le Palais, et qu'ils retiennent Mélicerte qui fait tous ses efforts pour s'approcher d'elle.
Glaucus y court apres que Circé luy a promis d’employer tous ſes Charmes pour ſe faire aimer de cette Nymphe.	Glaucus y court après que Circé lui a promis d'employer tous ses Charmes pour se faire aimer de cette Nymphe.
Dorine s’étonne de ce changement, qui luy paroiſt trop prompt pour ne luy eſtre pas ſuſpect.	Dorine s'étonne de ce changement, qui lui paraît trop prompt pour ne par estre pas suspect.
Circe s’explique, & luy découvre que ne pouvant faire ſoufrir Glaucus en luy-meſme, parce qu’il eſt Dieu, elle veut le faire ſoufrir en ce qu’il aime;	Circe s'explique, et lui découvre que ne pouvant faire souffrir Glaucus en lui-même, parce qu'il est Dieu, elle veut le faire soufrir en ce qu'il aime;
& que la vangeance qu’elle prépare, ne le toucheroit pas aſſez, ſi elle ne le faiſoit aimer de Sylla avant que de la réduire dans l'état épouvantable où elle doit la faire paroiſtre.	et que la vengeance qu'elle prépare, ne le toucherait pas assez, si elle ne le faisait aimer de Scylla avant que de la réduire dans l'état épouvantable où elle doit la faire paraître.
ACTE	ACTE
CREE	CRE
A Décoration de cet Acte repreſente une longue Allée de Cyprés fort hauts, dont la perſpective eſt tres-agreable à la veuë.	À Décoration de cet Acte représente une longue Allée de Cyprès fort hauts, dont la perspective est très -agréable à la vue.
Sylla s’y trouve avec Floriſe & Aſtérie;	Scylla s'y trouve avec Florise et Astérie;
