CEQ ESTGONTENV AV PRESENT	CEQ ÉTGONTENV AU PRÉSENT
De ſes yeux arrachez roulent à val courants Deux fleuues ondoyants ainſi que deux torrents Deſcendants ſur ſa face, & deſſus ſa poitrine, Vn long ſentier ſe teint par tout ou il chemine.	De ses yeux arrachés roulent à val courants Deux fleuves ondoyant ainsi que deux torrents Descendants sur sa face, et dessus sa poitrine, Un long sentier se teint par tout ou il chemine.
Lors il leue la teſte, & tournan ça & la Son viſage teſmoing du long regret qu’il a, Monſtre au Ciel ſon ſupplice, & ſa vie plongée Dans l'eternelle nuictd’vne moyt allongée,	Lors il lève la tête, et tournan ça et la Son visage témoin du long regret qu'il a, Montre au Ciel son supplice, et sa vie plongée Dans l'éternelle nuictd’ Ciel son supplice,
Atteſte tous les Dieux, ô (dict-il) pardonnez, Pardonnez aux Thebains grands Dieux, & deſtournez Cet amas de courroux dont voſtre âme eſtoit pleine Loin du peuple innocent, ſoulez vous de ma peine.	Atteste tous les Dieux, ô (dit-il) pardonnés, Pardonnez aux Thébains grands Dieux, et détournez Cet amas de courroux dont votre âme était pleine Loin du peuple innocent, soûlez -vous de ma peine.
I’ay parfaict mes deſtins, voyez mes yeux, voyez Comme ils ſont en la nuict eternelle noyez.	J'ai parfait mes destins, voyez mes yeux, voyez Comme ils sont en la nuit éternelle noyés.
Mes crimes ſont vengez & la peine arreſtée Qu’inceſtueux i’auoy de long temps meritée.	Mes crimes sont vengés et la peine arrêtée Qu'incestueux j'avoi de long temps méritée.
Voicy la nuict venue, abominable nuict Ou ie deuſſe eſtre au lict de ma mere conduict.	Voici la nuit venue, abominable nuit Ou On deusse être au lit de ma mère conduit.
A ces mots il démarche, & de ſes mains ſanglantes Chancelant incertain ſur ſes iambes tremblantes Il taſte ſon chemin, ains qu’aller plus auant.	À ces mots il démarche, et de ses mains sanglantes Chancelant incertain sur ses jambes tremblantes Il tâte son chemin, ains qu'aller plus avant.
Moy pour le raconter ie ſuis ſorti deuant.	Moi pour le raconter ici suis sorti devant.
Ch.	Ch.
Pauure Roy qui ne ſçais que toutes choſes nées Se tournent au plaiſir des hautes deſtinées.	Pauvre Roi qui ne sais que toutes choses nées Se tournent au plaisir des hautes destinées.
Que Iupin, bien que grand, ne ſçauroit toutesfous Rompre le fil ourdi par la parque vne fois.	Que Jupin, bien que grand, ne saurait toutesfous Rompre le fil ourdi par la parque vne fois.
Car ce que vont ſouffrant les ames embrazées D’eſpoir, d’heur, ou de mal, dépent de ſes fuſées.	Car ce que vont souffrant les âmes embrasées D'espoir, d'heur, ou de mal, dépent de ses fusées.
Sa reigle eſtimmuable, & le deſtin touſiours V ne fois arreſté ne change plus de cours:	Sa règle estimuable, et le destin toujours V ne fois arrêté ne change plus de cours:
Et ne peut le ſoucy qui maiſtriſe nos ames Troubler l’ordre eſtabli de ſes fatales trames.	Et ne peut le souci qui maîtrise nos âmes Troubler l'ordre établi de ses fatales trames.
Nos iours ſont limitez, & touſiours le premier Des que l’on vient à naiſtre attire le dernier.	Nos jours sont limités, et toujours le premier Des que l'on vient à naître attire le dernier.
Quand la mort arriuée vne fois nous appelle On ne peut retarder ne ſe reculer d’elle.	Quand la mort arrivée une fois nous appelle On ne peut retarder ne se reculer d'elle.
Pluſieurs ont veu, fuyants leur deſtin malheureux, Le malheur redouté battre leur chef peureux.	Plusieurs ont vu, fuyants leur destin malheureux, Le malheur redouté battre leur chef peureux.
Ainſi que toy chetif que la Parque fit naiſtre Pour eſtre le meurtrier de ton pere, & pour eſtre De ta mere l’eſpoux, fuyant le ſort fatal Qui ſans auoir mesfaict te preſageoit ce mal, Tu vius, n'y penſant point, en noſtre Beocie Aecomplir le vouloir de ceſte Prophetie.	Ainsi que toi chétif que la Parque fit naître Pour être le meurtrier de ton père, et pour être De ta Mère l'époux, fuyant le sort fatal Qui sans avoir mesfaict te présageait ce mal, Tu vius, n'y pensant point, en notre Béocie Aecomplir le vouloir de cette Prophétie.
CHŒVR.	CHŒUR.
NE ne ſont point les mesfaicts O Thebains, que vous auez faicts Qui vous filent ces deſaſtres, Ny les deſtins ennemis, Ny l’influence des aſtres A qui vous eſtes commis.	NE ne sont point les méfaits Ô Hebains, que vous avez faits Qui vous filent ces désastres, Ni les destins ennemis, Ni l'influence des astres À qui vous êtes commis.
Les Dieux au fond de leur cœur Ont couué ceſte rancœur, Cadme, depuis qu’en l’Europe Vn mugiſſant rauiſſeur Eut enuolé ſur ſa crope La belle Europe ta ſœur.	Les Dieux au fond de leur cœur Ont couvé cette rancœur, Cadme, depuis qu'en l'Europe Un mugissant ravisseur Eut envolé sur sa crope La belle Europe ta sœur.
Ce malheur n’à point laißé L’Agenoride laßé De courir par tout le monde, Deſpuis qu’vn bœuf rencontré Cephiſe, au bord de ton onde, Sa re ſidence eut monſtré.	Ce malheur n'à point laissé L'Agénoride lassé De courir par tout le monde, Dépuis qu'un bœuf rencontré Cephise. au bord de ton onde, Sa re sidence eut montré.
Touſiours la terre deſpuis De nouueaux monſtres produits A peuplé la Beocie, Et les malheurs importuns Tou ſiours ont eſte communs Dont encore elle eſt farcie.	Toujours la terre despuis De nouveaux monstres produits A peuplé la Béocie, Et les malheurs importuns Tou siours ont este communs Dont encore elle est farcie.
Soudain on veit décamper, Et par la foreſt ramper Deſſus l’herbe venuerſée, Et ſur le bort émaillé De la fontaine Dircée, Vn grand ſerpent eſcaillé.	Soudain on vit décamper, Et par la forêt ramper Dessus l'herbe venuersée, Et sur le bort émaillé De la fontaine Dircée, Un grand serpent écaillé.
I aplus grand part deſon corps	I applus grand part deson corps
Frainoit en cent neuds retors Deſſus la terre, & ſa teſte, Tel que le dragon des Cieux, Eſleuoit en haut la creſte Par deſſus les cheſnes vieux.	Frainoit en cent neuds retors Dessus la terre, et sa tête, Tel que le dragon des Cieux, Élevait en haut la crête Par dessus les chaînes vieux.
Láterre, qui s’anima Des dents que Cadme ſema, Porta la guerriere engence, Qui rangee en bataillons Dignes de telle ſemence Se tua dans les ſillons.	Louterre, qui s'anima Des dents que Cadme sema, Porta la guerrière engence, Qui range en bataillons Dignes de telle semence Se tua dans les sillons.
D’vn ſeul iour ces terrenez Eurent leurs âges bornez, Le ſoleil veit términee Au ſoir leur vie, denant Qu’il euſt couru la iournee Qui les veit naiſtre en leuant.	D'un seul jour ces terrenez Eurent leurs âges bornés, Le soleil vit terminée Au soir leur vie, denant Qu'il eût couru la journée Qui les vit naître en levant.
Acteon à l’impourueu Pour auoir Diane veu Dans vne fontaine nuë, En de vint vn cerf nouueau, De qui la teſte eornuë Se mira dans la meſme eau.	Acteon à l'impourvu Pour avoir Diane vu Dans une fontaine nue, En de vint cerf nouveau, De qui la tête eornue Se mira dans la même eau.
EDIPE.	EDIPE.
LE CHGVR.	LE CHGUR.
IOCASTE.	JOCASTE.
Ciel l'ardant courroux qui couuoit embraſé SAu fond de ta poitrine, eſt bien or' apaiſé.	Ciel l'ardant courroux qui couvait embrasé SAu fond de ta poitrine, est bien or' apaisé.
Mon chef eſt entourné de nuages funebres:	Mon chef est entourné de nuages funèbres:
Et plus qu'vn iour luiſant me plaiſent mes tenebres.	Et plus qu'autre jour luisant me plaisent mes ténèbres.
Tout va bien, c’en eſtfaict, c’eſt faict, mon pere à eu A ſes manes ſacrez le ſacrifice deu.	Tout va bien, c'en estfaict, c'est fait, mon père à eu A ses mânes sacrez le sacrifice .
Qui me reprochera mon offence premiere, Quand ie me ſuis priué moy-meſme de lumiere, Que ie ne voy plus-rien?	Qui me reprochera mon offense première, Quand Je me suis privé moi-même de lumière, Que enfin ne vois plus-rien?
hà parricide main	hà parricide main
Tu ne te repens plus de ton acte inhumain:	Tu ne te repens plus de ton acte inhumain:
La vengence en eſt priſe, & par la triſte perte De mes yeux aueugleZ, i’ay la peine ſoufferte Que le Ciel m’ordonnoit, la lumiere me fuit, Moy ie fuy la lumiere, & me plais en ma nuict.	La vengence en est prise, et par la triste perte De mes yeux aveuglez, j'ai la peine soufferte Que le Ciel m'ordonnait, la lumière me fuit, Moi quelque fuis la lumière, et me plais en ma nuit.
Ce viſage me ſied, & ces huſſes creuees, De ſang au lieu de pleurs inceſſamment lauees.	Ce visage me sied, et ces husses creuees, De sang au lieu de pleurs incessamment lauées.
Fout ce qu’aux affligez la mort pourroit oſter, La vie en m’aueuglant vient de me l’emporter.	Fout ce qu'aux affligez la mort pourrait ôter, La vie en m'aveuglant vient de me l'emporter.
Ch, Voyez vous bruſquement Iocaſte eſlancée Sortir hors du chaſteau?	Ch, Voyez vous brusquement Jocaste élancée Sortir hors du château?
voyez-vous l'nſenſie De rage & de fureur tranſportée hors de ſoy, Courir d’vn pred leger, & s’aprocher du Roy.	voyez-vous l'nsensie De rage et de fureur transportée hors de soi, Courir d'un préd léger, et s'approcher du Roi.
Telle qu’Agaue eſtoit, alors qu’ayant oſtée La teſte a ſon enfant l’irreuerent Penthée Elle eut cognu ſa faute, elle veut l’aborder, Mais la honte au deuaut taſche de l’engarder, Elle n’oſe parler, ne le voir en la face, En fin pourtant la honte au malheur a faict place.	Telle qu'Agave était, alors qu'ayant ôtée La tête à son enfant l'irreuerent Penthée Elle eut connu sa faute, elle veut l'aborder, Mais la honte au devaut tâche de l'engarder, Elle n'ose parler, ne le voir en la face, En fin pourtant la honte au malheur a fait place.
Io, Ie voudroy, mais l’horreur m’arreſte le parler, Et ne ſçay plus comment ie te doiue appeller, Mon ſils, n’en doute point, car ie t’ay malheureuſe Porté dedans ce flanc, las, & i’en ſuis honteuſe.	Jo, Je voudrais, mais l'horreur m'arrête le parler, Et ne sais plus comment avec te doive appeler, Mon sils, n'en doute point, car tu t'ai malheureuse Porté dedans ce flanc, las, et j'en suis honteuse.
Mon fils, mon fils, cruel, ie te prie entens moy, Oy ta mere plongee en ſi lugubre eſmoy, Pourquoy d’eſtournes tu te fouruoyant ſans guide, Ta taſte mutilée, & ton viſage vuide?	Mon fils, mon fils, cruel, Seigneur te prie entends moi, Oui ta M plongée en si lugubre émoi, Pourquoi d'étournes tu te fournes sans guide, Ta tâte mutilée, et ton visage vide?
Ed.	Ed.
Qui me vient retirer de mon obſcurité?	Qui me vient retirer de mon obscurité?
Qui me remet encore en ma viue clarte?	Qui me remet encore en ma vive clarté?
C’eſt ma mere, c’eſt elle, hà que n’ay ie perduë L’oreille qui l’eſcoute außi bien que la veuë?	C'est ma mère, c'est elle, hà que n'a ie perdue L'oreille qui l'écoute aussi bien que la vue?
Que ne puis-ie eſtouper le chemin a ſa voix.	Que ne puis-je étouper le chemin à sa voix.
Perdant deuant la mort ces deux ſens a la fois.	Perdant devant la mort ces deux sens a la fois.
Sens que mon mal rengrege, & dans ma fantaiſit Rallume la douleur dont mon ame eſt ſaiſie,	Sens que mon mal rengrége, et dans ma fantaisit Rallume la douleur dont mon âme est saisie,
Que mon cil ne voit plus, ſens qui le cœur me fent, Oyant les noms de mere, & d’eſpoux, & d’enfant, Las pourquoy m’outrageoy-ie à moy-meſme funeſte, Si encore ô depit!	Que mon cil ne voit plus, sens qui le cœur me sent, Oyant les noms de mère, et d'époux, et d'enfant, Las pourquoi m'outrageai-je à moi-même funeste, Si encore ô dépit!
ce ſentiment me reſte, Reculez vous ma mere, il ne faut plus ainſi Vous appro cher demoy, reculez vous d’icy.	ce sentiment me reste, Reculez -vous ma mère, il ne faut plus ainsi Vous appro cher demoi, reculez -vous d'ici.
Qu'vne terre loingtaine, vne mer ſpacieuſe, Eſloigne pour iamais noſtre amour vicieuſe.	Qu'une terre loingtaine, une mer spacieuse, Éloigne pour jamais notre amour vicieuse.
Et ſi la bas ſous nous quelque monde ſe pent, Ou quelque autre ſoleil ſes rayons d’or eſpent, Et de flambeaux diuers rend les nuits éclairees, Là puiſſe ie amortir nos ardeurs ſeparées.	Et si la bas sous nous quelque monde se pent, Ou quelque autre soleil ses rayons d'or épent, Et de flambeaux divers rend les nuits éclairees, Là puisse assez amortir nos ardeurs séparées.
Io Edipe, le mes-faict que nous auons commis En d it eſtre impnté au Ciel qui l’a permis, Il à forgé ce mal par vn deſtin contraire:	Io Edipe, le mes-fait que nous avons commis En d it être impnté au Ciel qui l'a permis, Il à forgé ce mal par un destin contraire:
Celuy ne mes faict point qui ne veut point mesfaire.	Celui ne mes fait point qui ne veut point méfaire.
Ed.	Ed.
Laiſſez là ces propos, laiſſez la ces diſcours, Mon incurable mal ne veut plus de ſecours.	Laissez là ces propos, laissez la ces discours, Mon incurable mal ne veut plus de secours.
Par ce corps dechiré, par ce ſanglant viſage, Par les gages communs de noſtre mariage, Par l'horrible forfaict dont nous ſommes tachez, Arreſtez vous ma mere, & ne vous empeſchez A me rencourager:	Par ce corps déchiré, par ce sanglant visage, Par les gages communs de notre mariage, Par l'horrible forfait dont nous sommes tachés, Arrêtez vous ma mère, et ne vous empêchez A me rencourager:
ma faute eſt ſans excuſe, Sans excuſe le tort dont coulpable on m’accuſe.	ma faute est sans excuse, Sans excuse le tort dont coulpable on m'accuse.
1o.	1o.
Que tardes tu mon ame, hé que tardes tu tant, Coulpable du malheur qui le va tourmentant?	Que tardes tu mon âme, hé que tardes tu tant, Coulpable du malheur qui le va tourmentant?
Que n’eſt, que n’eſt desja voſtre peine commune, Comme le crime eſgal, & la faute n’eſt qu’vne.	Que n'est, que n'est déjà votre peine commune, Comme le crime égal, et la faute n'est qu'une.
Tu renuerſes nature, ô meſchante, & ſa loy Sacree, inuiolable eſt enfrainte par toy, Enfonce toy le ſeing d’vne dague outrageuſe, Vomiſſant d’vn grand coup ton ame inceſtueuſe.	Tu renverses nature, ô méchante, et sa loi Sacre, inviolable est enfrainte par toi, Enfonce toi le seing d'une dague outrageuse, Vomissant d'un grand coup ton âme incestueuse.
Si le saturnien de ſon foudre pointu T’ecraſoit la ceruelle, encor' ne ſerois tu Punie ainſi qu’il faut, I’ocaſte, & ta teſte	Si le saturnien de son foudre pointu T'écrasait la cervelle, encor ne serais tu Punie ainsi qu'il faut, J'ocaste, et ta tête
Ne patiroit aſſez d’vn coup de ſa tempeſte, Tant enorme eſt ton crime, & horrible ton tort!	Ne pâtirait assez d'ex coup de sa tempête, Tant énorme est ton crime, et horrible ton tort!
Ie veux, ie veux mourir, & veux choiſir ma mort, Sus pouſſe moy ton fer de toute ta puiſſance Dans le flanc maternel ou tu pris ta naiſſance:	Je veux, Seigneur veux mourir, et veux choisir ma mort, Sus pousse moi ton fer de toute ta puissance Dans le flanc maternel ou tu pris ta naissance:
Si tu es parricide, auant que t’eſloigner A cet œuure dernier te faut embeſoigner.	Si tu es parricide, avant que t'éloigner À cet œuvre dernier te faut embesoigner.
Ie vay rauir ſon brant, ie vay rauir l’eſpee Au ſang de mon eſpoux mortellement trempes, Cà ça que ie l’empoigne, & face de mon flanc Débonder contre terre vne mare de ſang.	Je vais ravir son brant, Seigneur vais ravir l'espee Au sang de mon époux mortellement trempes, Cà ça que sans l'empoigne, et face de mon flanc Débonder contre terre mare de sang.
Ou deſcendra mon coup;	Ou descendra mon coup;
faut il que ie le ruë Ou dans mon eſtomac, ou dans ma gorge nue?	faut -il que ici le rue Ou dans mon estomac, ou dans ma gorge nue?
Et quoy mon bras retif ne ſçais tu point ferir, Et choiſir vn lieu propre à me faire mourir?	Et quoi mon bras rétif ne sais tu point férir, Et choisir un lieu propre à me faire mourir?
Entre, entre là dedans iuſqu’a la pommelle, enire, Plonge toy la dedans, trauerſe moy ce ventre, Ventre qui trop fecond tous nos malheurs porta, Quand mon fils mon eſpoux Edipe il enfanta.	Entre, entre là -dedans jusqu'a la pommelle, enire, Plonge toi la dedans, traverse moi ce ventre, Ventre qui trop fécond tous nos malheurs porta, Quand mon fils mon époux Édipe il enfanta.
Ch.	Ch.
Elle tombe, elle meurt, & ſa main languiſſante Dans ſa playe ternit, ſa face eſt palliſſante, Et ne reſpire plus, le ſang qui rebondit Pouſſe le fer dehors du corps qui luy froidit.	Elle tombe, elle meurt, et sa main languissante Dans sa plaie ternit, sa face est pallissante, Et ne respire plus, le sang qui rebondit Pousse le fer dehors du corps qui était froidit.
Ed.	Ed.
O Phebus!	Ô Phebus!
ô trepieds!	ô trépieds!
ô vous deuinereſſes!	ô vous devineresses!
O Delphiques lauriers!	Ô Déléphiques lauriers!
vos voix ſont mentereſſes!	vos voix sont menteresses!
Vous m’auiez vne fois parricide predit:	Vous m'aviez to fois parricide prédit:
Mais ie ſuis plus meſchant que vous ne m’auiez dict.	Mais ie suis plus méchant que vous ne m'aviez dit.
Ie ne deuoy, menteurs, aux deſtins que mon pere, Et mon damnable fer vient de tuer ma mere:	Je ne devais, menteurs, aux destins que mon père, Et mon damnable fer vient de tuer ma mère:
Par mon crime elle meurt, mon deſtin ſarpaßé Me rend plus criminel que ie n’auois penſé.	Par mon crime elle meurt, mon destin sarpassé Me rend plus criminel que ici n'avais pensé.
Or va, va, fuy meſchant.	Or va, va, fui méchant.
& cours à l’auanture, D’vne peureuſe main guide ta nuict obſcure, Fais pendre en l’air tes pas, & tes pieds raboteux.	et cours à l'aventure, D'une peureuse main guide ta nuit obscure, Fais pendre en l'air tes pas, et tes pieds raboteux.
Chancellant, taſtonnant, marche d’vn pas douteux.	Chancelant, tâtonnant, marche d'un pas douteux.
Va, cours, tourne, chemine, arreſte, & te fouruoye, De peur de rencontrer Iocaſte en ta voye, Pour ne voir plus le Ciel tu as perdu les yeux, Mais il ne ſuffit pas, car tu es veu des Cieux:	Va, cours, tourne, chemine, arrête, et te fourvoie, De peur de rencontrer Jocaste en ta voie, Pour ne voir plus le Ciel tu as perdu les yeux, Mais il ne suffit pas, car tu es vu des Cieux:
Encore le Soleil de la voûte celeſte, Ton parricide abhorre, abhorre ton inceſte.	Encore le Soleil de la voûte céleste, Ton parricide abhorre, abhorre ton inceste.
Fuy, miſerable, fuy, dans quelque antre eſcarté, Qu’il ne perça iamais des rais de ſa clarté:	Fui, misérable, fui, dans quelque antre écarté, Qu'il ne perça jamais des rais de sa clarté:
Vous qui deſeſpereZ languiſſeZ en vos couches, Vous qui trainez la mort errante entre vos bouches, Leuez, hauſſez la teſte, & vous la ſouſtenez, Reprenez voſtre teint, vos forces reprenez.	Vous qui désespérez languisseZ en vos couches, Vous qui traînez la mort errante entre vos bouches, Lévez, haussez la tête, et vous la soutenez, Reprenez votre teint, vos forces reprenez.
Ie ſors, ie fuy d’icy & ne veux plus vous nuire:	Je sors, Seigneur fui d'ici et ne veux plus vous nuire:
Vn Ciel calme & ſerain apres moy vous vient luire, Vn temps plus doux me ſuit ſus citoyens donnez Vn prompt allegement à vos abandonnez:	Un Ciel calme et serain après moi vous vient luire, Un temps plus doux me suit sus citoyens donnez Un prompt allégement à vos abandonnez:
Leur guariſon eſt proche humant cet air tranquille, Car i’entraine apres moy les dangers de la ville.	Leur guérison est proche humant cet air tranquille, Car j'entraine après moi les dangers de la ville.
Forcenantes douleurs, peſtes, fiemres,nrejpus, Horreurs de mort ſoudaine aceompagnez mes pas:	Forcenantes douleurs, pestes, fières,nrejus, Horreurs de mort soudaine aceompagnés mes pas:
Maigreur, ennuy, chagrin, regret, malheur, & peine, Quittez tous auec moy la ville Ogygienne.	Maigreur, ennui, chagrin, regret, malheur, et peine, Quittez tous avec moi la ville Ogienne.
FIN.	FIN.
de la Tragedie d’Edipe.	de la Tragédie d'Édipe.
T V Le LV TRAGEDHE.	 V Le LU TRAGEDHÉ.
E	E
ARGVMI	ARGUMI
ATIN fils de Faune, & Roy des Latins, adLmoneſté par l’oracle de ſon pere, de ne marier Lauinie ſa fille vnique, & heritiers de ſes eſtats anec aucun Prince du pays, & d’attendre vn gendre eſtranger, bien qu’elle fuſt fiancee a Turne fils de Daune, Roy des Rutuliens, la promet a Enée chef des Troyens abordez en Italie apres le ſac de leur ville, Ce meſcontentement alluma vne guerre ſanglante entre ces deux Princes, qui apres diuers eſchets de Mars commun, s’accordent de terminer leur different par vn combat ſingulier, auquelils ſe preparent.	ATIN fils de Faune, et Roi des Latins, adLmonesté par l'oracle de son père, de ne marier Lavinie sa fille unique, et héritiers de ses états anec aucun Prince du pays, et d'attendre un gendre étranger, bien qu'elle fût fiancée a Turne fils de Daune, Roi des Rutuliens, la promet a Enée chef des Troyens abordez en Italie après le sac de leur ville, Ce mécontentement avait un guerre sanglante entre ces deux Princes, qui après divers échets de Mars commun, s'accordent de terminer leur different par vn combat singulier, ils se préparent.
Quand la Nymphe luturne, par l’induction de lunon qui haiſſoit a mort les Troyens, redoutant le dangereux euenement de ce duel emprunte la forme de Camerte, l’vn des anciens capitaines de ſonfrere, & lance vn eſpieu dans l’armée Troyenne, qui met les deux armees aux mains Dont Enee Indigné aſſault la ville de Latin Laurentum Aimee ſa fem me qui affectionnoit & fauoriſoit extremement le party de Turne, ne le voyant point arriuerà leur ſecours, ſe perſuade qu’il eſt mort en la meſlee, dequoy elle entre en deſeſpoir & ſe pend:	Quand la Nymphe luturne, par l'induction de lunon qui haissoit à mort les Troyens, redoutant le dangereux événement de ce duel emprunte la forme de Camerte, l'un des anciens capitaines de sonfre, et lance un épieu dans l'armée Troyenne, qui met les deux armées aux mains Dont Enee Indigné assault la ville de Latin Laurentum Aimée sa sem me qui affectionnait et favorisait extrêmement le parti de Turne, ne le voyant point arriverà leur secours, se persuade qu'il est mort , se pers,dequoy elle en en dés et se pend:
Ce que entendu de Turne, il court derechef prouoquer Enee au combat, auquel il eſt porté par terre d’vn coup de iaueline, & apres oceis d’vn poignard enfoncé dans ſa poitrine.	Ce que entendu de Turne, il court derechef provoquer Énée au combat, auquel il est porté par terre d'un coup de jaueline, et après oceis d'Han nard enfoncé dans sa poitrine.
Enee rend le corps du mort, & la deſpouille aux ſiens, qui le conduiſants vers ſon pere le rencontrent auec ſes citoyens, qui fuyoient, euitans les flames de leur ville Ardee cõſumee d’vn feu caſuel dont il ſe lamentoit amerement, & entendant la mort de ſon fils, finit la cataſtrophe par les triſtes doleances ueces deurmameureux accidents.	Éne rend le corps du mort, et la dépouille aux siens, qui le conduisant vers son père le rencontrent avec ses citoyens, qui fuyaient, euitants les flammes de leur ville Ardée cõsumee d'un feu casuel dont il se lament amèrement, et entendant la mort de son fils, finit la catastrophe par les tristes doléances ouveces deurmeureux accidents.
Lì rreromis.	Lettre rreromis.
TOLOMNE.	TOLOMNE.
STRAGE.	STRAGE.
LAVINIE.	LAVINIE.
ACTE I.	ACTE I.
IVNON.	JUNON.
IVTVRNE.	IUTURNE.
OMPEVSE en maieſté Iunon Royne des Dieux, Femme & ſœur de ce Dieu qui foudroye des Cieux LRA Dardant ſur les mortels les eſelats du tonnerre, A pres auoir tant d’ans aux Troyens faict la guerre Tu és doneques vaincuè, & ta grand deïté En fin cede contraincte à la fatalité!	OMPEUSE en maiesté Junon Royne des Dieux, Femme et sœur de ce Dieu qui foudraie des Cieux LRA Dardant sur les mortels les eselats du tonnerre, A prés avoir tant d'ans aux Troyens fait la guerre Tu ès doneques vaincule, et ta grand de En fin cède contrainte à la fatalité!
Ha malheureuſe engence, ha deſtins aduerſaires A mes deſtins forceZ que vous m’eſtes contraires!	Ha malheureuse engence, ha destins adversaires À mes destins forcés que vous m'êtes contraires!
Que n’ay-ie osé chetiue?	Que n'ai-je osé chétive?
à qui n’ay-ie eu recours?	à qui n'ai-je eu recours?
Duquel n’ay-ie des Dieux imploré le ſecours?	Duquel n'ai-je des Dieux imploré le secours?
Sans pouuoir deſtourner de l’Itale promiſe La gent Dardanienne, & la race d'Anchiſe?	Sans pouuoir détourner de l'Itale promise La gent Dardanienne, et la race d'Anchise?
Le rouge Simois qui de ces gents vaincus Roule en mer tant de corps, tant d’armets, tant d'eſcus, Tant de combats donnez en la plaine Sigee, Tant de feux deuorans leur ville ſaccagee, N’ont peu les deuorer, ils ont paßé parmy Le ſang, le fer, les feux du vainqueur ennemy.	Le rouge Simois qui de ces gents vaincus Roule en mer tant de corps, tant d'armets, tant d'écus, Tant de combats donnez en la plaine Sigée, Tant de feux dévorants leur ville saccagée, N'ont pu les dévorer, ils ont passé parmi Le sang, le fer, les feux du vainqueur ennemi.
Ils ont trouué paſſage, & Troye ruynee N’a peu ſous ſa ruyne enſeuelir Enee.	Ils ont trouvé passage, et Troie ruinée N'a peu sous sa ruine ensevelir Née.
Ie les ay trauaillez, me ſuis miſe au deuan?	Je les ai travaillez, me suis mise au devan?
Du royaume fatal qu’ils alloient pourſuiuant, Oppoſant tant de mers, & tant de morts diuerſes:	Du royaume fatal qu'ils allaient poursuivant, Opposant tant de mers, et tant de morts diverses:
Mais par tant de dangers, tant & tant de trauerſes Ils ſe ſont eſchapez.	Mais par tant de dangers, tant et tant de traverses Ils se sont échappés.
& le Ciel, & la mer Sans leur nuire ont ſenti leur effort conſumer.	et le Ciel, et la mer Sans leur nuire ont senti leur effort consumer.
Que m’ont ſerui les vents, & les grands monts d’areines Que trainent en roulant les Syrtes Ly biennes?	Que m'ont servi les vents, et les grands monts d'areines Que traînent en roulant les Syrtes Ly biennes?
Que m’a ſeruy Charybde aux gouffres effrayants, Et les monſtres de Scylle aux goſiers aboyants?	Que m'a servi Charibde aux gouffres effrayants, Et les monstres de Scylle aux gosiers aboyants?
Maugré tous mes efforts, entrez dans l’Italie Ils replantoient des-ja leur Troye enſeuelie, Bien venus chez Latin, ſans ſoucy, ſans eſmoy, Aſſeurez du courroux de la mer, & de moy.	Maugré tous mes efforts, entrez dans l'Italie Ils replantaient déjà leur Troie ensevelie, Bien venus chez Latin, sans souci, sans émoi, Assurez du courroux de la mer, et de moi.
Quand ie deſcens là bas aux Enfers, indignee De voir de mes fureurs triompher cet Enée:	Quand vertu descends là bas aux Enfers, indignée De voir de mes fureurs triompher cet Enfers:
Ou i’appelle Alecton, qui de diſcord mutin Forcenant embraſa tout l’Empire Latin, Rompit leur alliance, & fit les armes prendre Contre luy que le Roy choiſiſſoit pour ſon Gendre.	Ou j'appelle Alecton, qui de discord mutin Forcenant embrasa tout l'Empire Latin, Rompit leur alliance, et fit les armes prendre Contre lui que le Roi choisissait pour son Gendre.
Mais tant de ſang versé peut ſans plus retarder Leur nopce deſtinee, & non pas l’engarder.	Mais tant de sang versé peut sans plus retarder Leur nopce destinée, et non pas l'engarder.
Pallas peut toutesfois ſur les Grecs animee Ardre leur flote entiere, & mettre à fonds l’armee Puniſſant les fureurs d’vn Ajax outrageur.	Pallas peut toutefois sur les Grecs animée Ardre leur flotte entière, et mettre à fonds l'armée Punissant les fureurs d'vn Ajax outrageur.
Elle de Iupiter dardant le feu vangeur Pour la faute d’vn ſeul, ſous les eaux renuerſees Furieuſe abiſma leurs nauires poiſſees:	Elle de Jupiter dardant le feu vengeur Pour la faute d'un seul, sous les eaux renversées Furieuse abîma leurs navires poissées:
Le miſerable veid ſa poitrine acrocher Soufflant le feu celeſte au feſte d’vn rocher.	Le misérable vit sa poitrine acrocher Soufflant le feu celeste au fête d'un rocher.
Mars peut exterminer offencé les Lapythes:	Mars peut exterminer offensé les Lapythes:
L’antique Calydon fut aux fureurs deſpites De Diane permiſe, ha moins Laomedon Et ſa race mesfaict que n’auoit Calydon, Les Lapythes, Ajax?	L'antique Calydon fut aux fureurs dépites De Diane permise, ha moins Laomédon Et sa race mesfaict que n'avait Calydon, Les Lapysthes, Ajax?
ay-ie Saturnienne Ay-ie moins de pouuoir que la Latonienne,	ai-je Saturnienne Ai-je moins de pouvoir que la Latonienne,
Que Mars, ou que Pallas?	Que Mars, ou que Pallas?
