DOMITIE, femme de Domities	DOMITIE, femme de Domities
Mais encor quelle raiſon donne il d’une conduitte ſi Bizarre, & ne tâche il point de déguiſer une perfidie ſi manifeſte?	Mais encor quelle raison donne il d'une conduite si Bizarre, et ne tâche il point de déguiser une perfidie si manifeste?
TITE.	TITE.
Voici Seigneur, de quel pretexte il ſe ſett, ne Ichant commént la colorer, en ſin apres l’auoir reolue, il va s’aviſer que le Senat qui n’y ſongeoit pas, ourroit bien luy ſournir une couleur, s’il vouloit 'en mêler dans cette penſée, il demande hors de ropos à ſon confident, ſi l’on n’y à point parlé de es amours, ce confident, qui ne ſe defie point de ſon eſſein, luy dit d’abord la verité, & luy répond inenuement, que non, Titus, que cette reponce n’acommodoit pas, prend un grand tour, & bat un rand pays pour donner cependant à ce confident, qui s’appellel'aulin, le loiſir de reflechir & de diniſon intention, il luy remontre la confiance & a en luy, & plufieurs autres belles choſes qui ab tiſſent à le conjurer de luy bien dire la verué !	Voici Seigneur, de quel prétexte il se sertt, ne Ichant commency la colorer, en sin après l'avoir reolue, il va s'aviser que le Sénat qui n'y songeait pas, ourrait bien lui sournir une couleur, sil vouloit 'en mêler dans cette pensée, il demande hors de ropos son confident, si on y point parlé de es amours, ce confident, qui ne se defie point de son essein, lui dit abord la verité, et lui ô inenuement, que non, Titus, que cette reponce acommodoit pas, prend un grand tour, et bat un rand pays pour donner cependant ce confident, qui appellel'ai, le loisir de réfléchir et de dinison intention, il lui remontre la confiance et a en lui, et plusieurs autres belles choses qui tissent le conjurer de lui bien dire la verué !
inſiſtant à luy demander s’il n’entend rien direſ luy & de ſa Berenice, Paulin luy répond pour contenter.	insistant à Seigneur demander s'il n'entend rien diresprit et de sa Berenice, Paulin quelque répond pour contenter.
J'entens de tous côtéz Publier vos vertus, Seigneur, & ſet beauus	J'entends de tous côtés Publier vos vertus, Seigneur, et set beauus
Et puis c’eſt tout qu’au reſte il eſt maitre & q peut tout.	Et puis c'est tout qu'au reste il est montre et q peut tout.
Enfin Titus s’impatientant luy fatuqueſtion, ſi claire & fait ſi bien voir ſon intenti que Paulin s’aviſe de ſa faute & la repare auſſi ioi& luy tépondant comme il veut:	Enfin Titus s'impatientant Seigneur fatuquestion, si claire et fait si bien voir son intenti que Paulin s'avise de sa faute et la répare aussi joi lui tépondant comme il veut:
car Titus luylmandant ſi Rome s’offenſe de ſon mariage & l	car Titus luylmandant si Rome s'offense de son mariage et l'
Une ſi belle Reine offenſe ſes regudN’en doutez point, Seigneur.	Une si belle Reine offense ses rudN'en doutez point, Seigneur.
Répond il auſſi tôt, & voyant que Titus it content de ſa reponſe luy applaudit, l’aulin cout dins ce meſme ſens, & pour reparer ſa beſtile cecu tiſan flatteur luy en dit tant que ce ſoit aſſez, je ui tens un peu trop ſur ce point, Seigneur, mus tu qu’il eſt eſſentiel pour faire voir que Titus n’it cune neceſſité de chaſſer ſa Berenice, & que rieuſ ſa fantaiſie ne l’y obligeoit;	Répond il aussi tôt, et voyant que Titus it content de sa réponse femme applaudit, l'aulin coût dins ce même sens, et pour réparer sa bile cecu de flatteur lui en dit tant que ce soit assez, je suis tends un peu trop sur ce point, Seigneur, mus tu qu'il est essentiel pour faire voir que Titus n'it cune nécessité de chasser sa Berenice, et que rieus sa fantaisie ne l'y obligeait;
& cela eſt ſi vraye quelque tems apres êtant ſeul & ne croyant étret tendu de perſonne il s’auoüe à luy meſme que let nat, ny le peuple, ne luy, demandent rien, je chiſſit que j’ayme dit il & qui l’ordonne?	et cela est si vraie quelque temps après êtant seul et ne croyant être tendu de personne il s'au laisse à rendre que let nat, ni le peuple, ne crois, demandent rien, je chissit que j'aime dit -il et qui l'ordonne?
moy mel voila donc, Seigneur, le preparatif de ſi trahiſo voicy l’execurion.	moi mel voilà donc, Seigneur, le préparatif de si trahiso voici l'exécurion.
Il declare à Berenice qu’ilt eparer, & quand elle luy reproche pourquoy, ill nuzée ſi long tems il luy rêpond que la gloire l’y plige, & que juſques à lors.	Il déclare à Berenice qu'ilt éparer, et quand elle avait reproche pourquoi, ill nuzée si long tems il lui rêpond que la gloire l'y plige, et que jusques à lors.
Elle ne s’êtoit point fait entendre à ſon cœur.	Elle ne s'était point fait entendre à son cœur.
Du ton dont elle parle au cœur d’un Empereur.	Du ton dont elle parle au cœur d'un Empereur.
N’eſt ce pas la une bonne raiſon?	N'est ce pas la une bonne raison?
mais en voicy encor une meilleure, il luy demande ſi elle ne le juze pas digne de laiſſer un bel exemple a la poſterité?	mais en voici encor une meilleure, il lui demande si elle ne le juze pas digne de laisser un bel exemple à la postérité?
ugéz, Seigneur, s’il eſt rien de ſi ſenſible à une femme qui aime bien que des réponſes d’un auſſi grand ſens froid que celles la, auſſi cette pauvre amante fairoit la plus grande pitiée du monde, ſi l’iodignation que ronconcont contie ritds, n’occupoit pas tous les eſprits comme elle fait, car d’autant plus que le malheur de cette Berenice fait pitié;	ugéz, Seigneur, s'il est rien de si sensible à une femme qui aime bien que des réponses d'un aussi grand sens froid que celles la, aussi cette pauvre amante fait la plus grande pitiée du monde, si l'iodignation que ronconcont contie ritds, n'occupait pas tous les esprits comme elle fait, car d'autant plus que le malheur de cette Berenice fait pitié;
d’autant fait il concevoir plus d’horreur pour celuy qui cauſe ce nalheur volontairement.	d'autant fait il concevoir plus d'horreur pour celui qui cause ce nalheur volontairement.
Ainſi les eſprits paſſent l la verité par la compaſſion, mais ils ne s’y arrétent as & il ne leur reſte à la fin que cette ſeule horreur u’ils ont conceüe pour Titus.	Ainsi les esprits passent l la vérité par la compassion, mais ils ne s'y arrêtent as et il ne leur reste à la fin que cette seule horreur u'ils ont conçue pour Titus.
je ne ſay, Seigneur, l c’eſt par ces voyes la qu’on devient les delices du jenre humain, mais je ſay bien que du moins il n’eſt las les delices du feminin en France, les Dames uy ont rendu juſtice entiere & vous pouvéz penſer e quel œil elles ont regardé un exemple auſſi pericieux & d’auſſi dangereuſe conſequence que le en, il y a eu meſme quelques galans illuſtres qui nt crû être obligéz pour leur intereſt a ſe déclarer ontre luy.	je ne sai, Seigneur, l 'est par ces voies la qu'on devient les délices du jenre humain, mais je sa bien que du moins il n'est las les délices du féminin en France, les Dames ui ont rendu justice entière et vous pouvez penser quel œil elles ont regardé un exemple aussi péricieux et d'aussi dangereuse conséquence que le en, il y a eu même quelques galants illustres qui n ut être obligéz pour leur intérêt à se déclarer ontre lui.
Jugéz.	Jugéz.
Seigneur, par tout ce que je iens de dire combien juſte eſt la frayeur que j’ay qu’on ne prenne ce galant homme la pour moy ma douleur de voir qu’il porte mon nom.	Seigneur, par tout ce que je yens de dire combien juste est la frayeur que j'ai qu'on ne prenne ce galant homme la pour moi ma douleur de voir qu'il porte mon nom.
US.	US.
Vôtre preſence, Seigneur Apollon, a produirn effect ſi favorable dans cet honnête homme & vient de parler que vous aurèz peine à le croireptout ailleurs, il n’eſt pas intelligible, il faut doncbie que quelque rayõ de vos lumieres ſoit paſſé juſga dans ſon eſprit, & y ait porté un jour nouveau il faveur duquel il s’eſt expliqué dela maniere que io venéz d’entendre, car ſans cela quel embartas, qule confuſion n’auriéz vous point trouvé dans ſi.	Votre présence, Seigneur Apollon, a produirn effet si favorable dans cet honnête homme et vient de parler que vous auriez peine à le croireptout ailleurs, il n'est pas intelligible, il faut doncbie que quelque rayion de vos lumières soit passé jusga dans son esprit, et y ait porté un jour nouveau il faveur duquel il s'est expliqué déla manière que jo venéz d'entendre, car sans cela quel embartas, qu' confusion n'auriez vous point trouvé dans si.
rangue, & certes, cette obſcurité, que vôtre preſtact a diſſipée & qu’il affecte par tout ailleurs, menpreſque dans une entiere impoſſibilité de vouu poſer ſa conduitte & ſes ſentimens;	rangue, et certes, cette obscurité, que votre prêtact a dissipée et qu'il affecte par tout ailleurs, menpresque dans une entière impossibilité de vouu poser sa conduite et ses sentiments;
car quepasi reprendre dans un homme que l’on ne compa point qui nes' explique preſque jamais clairenqui peut toûjours donner à ſes paroles tous la ſa qu’il luy plairra, que blameray je dans un lonqui ne ſait ce qu’il ſe veut, qui n’a aucun deſloar rêté, qui n’a aucune veritable paſſion:	car quepasi reprendre dans un homme que l'on ne compa point qui nes' explique presque jamais clairenqui peut toujours donner à ses paroles tous la savoir qu'il se plaira, que blâmerai je dans un lonqui ne sait ce qu'il se veut, qui n'a aucun déloar rêté, qui n'a aucune véritable passion:
car, Scigna faut que vous ſachiéz qu’ils ſont quatre qui fontt ne d’avoir de grands differens à démeler enſu & au fond, ce n’eſt rien, il y a ce pretenduEmperd il y a ſon frere, qui ſe dit Domitien, ſa Berenice di certaine Domitie plus extravagante encor qu trois autres, d’abord il ſemble que Tite aimebet ce & qu’il en eſt aimé, & la meſme choſe deDou avec Domitie, mais dans la ſuitte on eſt tout es né que Tite parle d’amour à cette Domurſ chairement, peut être qu’il n’avoit fait a Berena que Domitie luy offre de l’aimer, & que d’un autre côté Domitien & Berenice en font autant enſemble &ſont preſts auſſi de s’épouſer ſi on veut.	car, Scigna faut que vous sachiez qu'ils sont quatre qui fontt ne d'avoir de grands différents à démeler ensu et au fond, ce n'est rien, il y a ce prétenduEmperd il y a son frère, qui se dit Domitien, sa Berenice di certaine Domitie plus extravagante encor qu ' a, bord il semble que Tite aimebet ce et qu'il en est aimé, et la même chose deD avec Domitie, mais dans la suitte on est tout es dans la Tite parle d'amour à cette Doms chairement, peut être qu'il n'avait fait à Bervie que Domit lui ô de aimer, et que Dun autre ô Mit et Berenice en font autant ensemble et prêts aussi de épouser si on veut.
Il eſt vray, Seigneur, que quand on voit cela, on ne ſait plus ou on en eſt, car ce changement ſe fait plus d’une fois, plus d’une fois ils reviennent a leur premier aſſemblage & plus d’une fois ils ſe croiſent de la maniere que je viens de dire, Domitie quitte Domitien, & par dépit Domitien rechercheBerenice, Tite êcouteDomitie, & par dépit Berenice écoute Domitien, les uns ny les autres ne ſavent pas trop bien s’ils aiment ou s’ils n’aiment point, qu’ils aiment ny qui ils n’aimẽt pas, on ne vit jamais tant de diviſion, car dez que l’un cõſẽt à une choſe l’autre ne la veut plus, & jamais dãs le fond un ſi bel accord;	Il est vrai, Seigneur, que quand on voit cela, on ne sait plus ou on en est, car ce changement se fait plus d'une fois, plus d'une fois ils reviennent à leur premier assemblage et plus d'une fois ils se croisent de la manière que je viens de dire, Domit te Domitien, et par dépit Domitien rechercheBerenice, Tite êcouteDomitie, et par dépit Berenice écoute Domitien, les unsrit les autres ne savent pas trop bien s'ils aiment ou s'ils n'aiment point, qu'ils aiment ni qui ils qu'aiment pas, on ne ai m tantde division, car de que l'un cõsẽt a une chose autre ne la veut plus, et car dãs le l' un si ne accord;
car comme châque homme aime tour à tour toutes les deux femmes & châque femme tous les deux hommes, il ſemble qu’il n’eſt riẽ de ſi aiſé que de terminer tout cela dans un coup;	car comme châque homme aime tour à tour toutes les deux femmes et châque femme tous les deux hommes, il semble qu'il n'est rien de si aisé que de terminer tout cela dans un coup;
De dez puiſque de quelle maniere que la Chãce tourne ils ſeront toujours bien.	De dé puisque de quelle manière que la Chance tourne ils seront toujours bien.
Voila a ce qu’il ſemblele ſeul expedient qu’ils deuroiẽt prendre au lieu d’être quatre heures a ſe pointiller comme ils font, à ſe dire de grandes moralitéz, à pouſſer de beaux ſentimẽs, et à ſe faire les unt aux autres des propoſitions d’actommodement ſi bizarres quelque fois & ſi ridicules, que l’on ne ſautoit les entendre ſans rire.	Voilà à ce qu'il semblele seul expédient qu'ils devraient prendre au lieu d'être quatre heures à se pointiller comme ils font, à se dire de grandes moralité, à pousser de beaux sentiments, et à se faire les unt aux autres des propositions d'actommodement si bizarres quelque fois et si ridicules, que l'on ne sautait les entendre sans rire.
Je ne rous diray point, Seigneur, comment tout cela ſe termine, car cela regarde plus la ReineBerenice que moy, & elle aura l’honneur de vous en entretenir qu’il vous ſuffice de ſavoir, Seigneur, que la fin n’eſt nas moins bizarre que le reſle, de ſorte que ſi cet impertinent homme eſtoit les delices du genre humain il faudroit que legenre humain aimit bies rire.	Je ne rous dirai point, Seigneur, comment tout cela se termine, car cela regarde plus la ReineBérénice que moi, et elle aura l'honneur de vous en entretenir qu'il vous suffice de savoir, Seigneur, que la fin n'est nas moins bizarre que le résèle, de sorte que si cet impertinent homme était les délices du genre humain il faudrait que légenre humain aimit bies rire.
TITE.	TITE.
Vraiment Titus je ne te croyois pas ſi boufros	Vraiment Titus je ne te croyais pas si boufros
TITUS.	TITUS.
Qui t’a fait ſi hardi toy de tuteyer Titus?	Qui t'a fait si hardi toi de tuteyer Titus?
ITE.	ITE.
Et qui t’afait ſi hardi toy de tuteyer Tite?	Et qui t'afait si hardi toi de tuteyer Tite?
APOLLON.	APOLLON.
Arrêtéz, Princes, ſort & faitéz entrer voibrenices.	Arrêtéz, Princes, sort et faitéz entrer voibrénices.
SCENE TROISIEME.	SCÈNE -TROISIÈME.
APOLLON, MELPOMENE, THILIE, BERENICE de TITE, BERENICE de TITUS.	APOLLON, MELPOMENE, THILIE, BERENICE de TITE, BERENICE de TITUS.
A POLLON.	À POLON.
Aimables Reines, je tiens à grand honncur d l tre vôtre Juge, & il y a eu des Dieux commenqui ont aimé des mortelles qui ne vous valupis, ſoyéz donc perſuadées, qu’il ne tiendrapat moy que je ne vous contente toutes deux, roul renice de Titus parléz la premiere, car vôtre alſt on merite cette preference.	Aimables Reines, je tiens à grand honncur d ès votre Juge, et il y a eu des Dieux commenqui ont aimé des mortelles qui ne vous valupis, soyéz donc persuadées, qu'il ne tiendrapat moi que je ne vous contente toutes deux, roul reniée de Titus parlés la première, car votre alt on mérite cette préférence.
BERENICE deTITUS.	BERENICE déTITUS.
Ce n’eſt pas ſans raiſon, Seigneur, que monſ ction vous touche, puis que je ſuis ſans diſſiculul plus malheureuſe Princeſſe de la terre, comme ce n’etoit pas aſſez d’avoir eté abandonnnée pe ſeul homme que j’aimois, ma mauvaiſe deſtine	Ce n'est pas sans raison, Seigneur, que mons ction vous touche, puis que je suis sans dissicululul plus malheureuse Princesse de la terre, comme ce n'était pas assez d'avoir et abandonnée pe seul homme que j'aimais, ma mauvaise destine
Du Camille, ou Sabine & non pas Domitie.	Du Camille, ou Sabine et non pas Domitie.
duit encor à vous demander juſtice de l’impoſtude cette Dame, qui oſe ſoûtenir publiquement u’elle eſt Berenice & qui uſurpe mon nom;	duit encor à vous demander justice de l'impostude cette Dame, qui ose soutenir publiquement u'elle est Berenice et qui usurpe mon nom;
vous ous appelléz Berenice, Madame, ſavéz vous bien tulement ce que c’eſt que d’être Berenice?	vous ous appelléz Berenice, Madame, savez -vous bien tulement ce que c'est que d'être Berenice?
c’eſt tre la plus tendre, la plus fidelle & la plus ſoûmiſe mante qui fût jamais, c’eſt aimer l’Empereur Tiis plus que toutes choſes, & meſme pluſque ſa prore gloire;	c'est tre la plus tendre, la plus fidèle et la plus soumise mante qui fût jamais, c'est aimer l'Empereur Tiis plus que toutes choses, et même plusque sa prore gloire;
voila ce qu’il y a d’eſſentiel au Caractere i vous pretendéz, tout le reſte eſt indifferent, ſi ous aviéz ces qualitéz ſi vous aimiéz vôtre amant tantque j’aime le mien, quelque dur qu’il ſoit de ſe uir contrefaire par un autre, je ſouffrirois peut être e vous vous diſſiéz, Berenice, & ſi vous ne l’êtiéz moins, meritériez vous de l’être, mais qu’ignoite en amour comme vous étes, je permette qu’on us prenne pour moy, c’eſt ce que je ne ſouffriray nais, car Seigneur, comment penſéz vous que t fait l’amour de cette belle perſonne?	voilà ce qu'il y a d'essentiel au Caractère y j' pretendéz, tout le reste est indifférent, si ous aviez ces qualitéz si vous aimiez votre amant tantque j'aime le mien, quelque dur qu'il soit de se ouvir contrefaire par un autre, je souffrirais peut être eût être vous dissiéz, Berenice, et si vous ne l'êtiéz moins, meritériez vous de l'être, mais qu'ignoite en amour comme vous êtes, je permette qu'on us prenne pour moi, c'est ce que je ne souffrirai nais, car Seigneur, car seigne vous que t content l'amour de cette belle personne?
un jour Tite auſſi parfait amant, qu'elle eſt parfaite ante, cet Empereur pretendu la menaçant d’ẽuſer une certaine Domitie qui doit eſtre fort belce qu’ils diſent, celle cy s’y oppoſe par cette belle on ſeulement, que cette Domitie eſt trop belle, il a que cela qui lachoque dans ce deſſeinelle ne oucie pas qu’il en épouſe une autre qu’elle, pour que cette autre ſoit laide comme une douſaine elle luy propoſe, & cela dit elle dans le deſſein de neurer toujours préz de luy, quand il ſera marié a qu’une de ces laides.	un jour Tite aussi parfait amant, qu'elle est parfaite ante, cet Empereur prétendu la menaçant d'encuser une certaine Domitie qui doit rendre fort bêlée qu'ils disent, celle cy s'y oppose par cette belle on seulement, que cette Domitie est trop belle, il a que cela qui lachoque dans ce desseinelle ne oucie pas qu'il en épouse une autre qu'elle, pour que cette autre soit laide comme une douzaine elle était propose, et cela dit elle dans le dessein de neurer toujours préz de lui, quand il sera marié à qu'une de ces laides.
eigneur faictes moy grace, épouſez Sulpitie,	Jeigneur faites -moi grâce, épousez Sulpitie,
J’aurois honte de vous rapporter d’avantaget propres termes, eſt ce aimer que cela Seigneuri a ce tendreſſe on débauche?	J'aurais honte de vous rapporter d'avantaget propres termes, est ce aimer que cela Seigneuri a ce tendresse on débauche?
je vous en laiſſe;	je vous en laisse;
toutes ſes amours, Seigneur, ſont pleines de tude ſemblable nature, mais de peur de vous ennur je ne vous diray plus que ce luy qui met fin àla intrigue, apres qu’elle a témoigné ſilong tent un ſi grand deſir d’ẽpouſer Tite, quand enſin less nat y conſent, que Tite le veut bien, elle s’aviſe dent le vouloir plus.	toutes ses amours, Seigneur, sont pleines de tude semblable nature, mais de peur de vous ennur je ne vous dirai plus que ce autre qui met fin àla intrigue, après qu'elle a témoigné silong tent un si grand désir d'enpouser Tite, quand ensin les nat y consent, que Tite le veut bien, elle s'avise dent le vouloir plus.
parce que le Senat le luy doune l par la plus bizarre fantaiſie du monde elles’eſ malgré qu’il en ait, eſt il rien de plus honteuras tre ſexe que ce procedé?	parce que le Sénat le reste doune l par la plus bizarre fantaisie du monde elleses malgré qu'il en ait, est il rien de plus honteuras tre sexe que ce procédé?
mais ſur tout eſt il net plus indigne du nom de Berenice d’une peiſost qui aime bien?	mais sur tout est il net plus indigne du nom de Berenice d'une peisost qui aime bien?
ſachéz, Madame, que quand onaveritablement on eſt toujours heureux de palli ce qu’on aime, de quelque main qu’on le ticune a rois receu Titus de celle du dernier des hour voila, Seigneur, la principale raiſon qui laii que cette pretenduẽ Reine n'eſt qu’une fout qui m’oblige à vous demander de luy déſenſt ne porter plus mon nom.	sachéz, Madame, que quand onavéritablement on est toujours heureux de palli ce qu'on aime, de quelque main qu'on le ticune a rois reçu Titus de celle du dernier des hour voilà, Seigneur, la principale raison qui laii que cette pretenduẽ Reine n'est qu'une fout qui m'oblige à vous demander de lui désenst ne porter plus mon nom.
BERENICE de TITE.	BERENICE de TITE.
Vous ne vous êtonnerez pas, Seigneur cette Dame ait ſi fort vanté la grandeur d lip fection de ſon amour quand vous ſaurer lal bles foibleſſes & les lachetéz qu’illuy a fuilmais bien loin que toutes ces biſſeſſes puiller juſtifiées par la grandeur de l’amour qui les iſ duites ce ſont ces foibleſles meſmes, qui renden amour inexcuſable & qui le doivent faire deſi cela eſt ainſi, Seigneur, que jugeréz vous t Fe mme qui ſe diſant Reyne & belle, ſouffre prtiemient & ſans aucun reſſentiment qu’un tra tre la népriſe & la trompe, elleluy temoigne aurant d’aiour lors meſme qu’elle voit les ruſes qu’il emploe pour ſe défaire d’elle, que ſi elle en étoit aimée & ur une foibleſſe digne d’uné eternelle honte, lors ieſme qu’il la chaſſe, elle luy auoüe, qu’elle croit u’il l’aime veritablement, ſon amour foulee galeient aux pieds la gloire & la pudeur, il n’eſt point e ſi ſale artifice, point de ſouvenir ſi ſecret qu’elle 'employe pour le retenir, tantôt elle luy demande ſon amour ne peut plus agir qu’au Senat, elle le tie qu’il la voye plus ſouvent & qu’il ne luy donne ûtôt rien, qu’il la garde toujours prez de luy enil qu’i ne repouierapas, j’ay honte, Seigneur, de pporter des choſes de cette nature;	Vous ne vous étonnerez pas, Seigneur cette Dame ait si fort vanté la grandeur d' a fection de son amour quand vous saurer lal blés faiblesses et les lachetéz qu'illui a fuilmaise bien loin que toutes ces bisses puler justifiées par la grandeur de l'amour qui les is duites se sont ces faibles mêmes, qui renden amour inexcusable et qui le doivent faire déjà cela est ainsi, Seigneur, que juger vous t Êtes -même qui se disant Reinne et belle, souffre et et sans aucun ressentiment un la néprise et la trompe, elleluy sans aucun aiour lors même quelle voit seruses il me pour se défaire elle, et si elle an étoit a et ur une foiblesse digne uné éternelle honte, lors iesme quil la chasse, elle lui auoüe, elle ' uil aime véritablement, son amour foulée galeient aux pieds la gloire et la pudeur, il n' un si sale artifice, point de souvenir si secret elle 'employe pour le retenir, tantôt elle lui demande son amour ne peut plus agir auIze, elle le tye il la voie plus se et cril ne lui donne ûtôt re, eil la garde toujours prez de lui enil y ne repouierapas, ay honte, Se, de pporter des choses de cette nature;
jugéz ſi l’on ut donner un ſens honnête á ces paroles & qu'elidécs elles font dans les eſprits, jugéz ſi j’ay ſujet craindre qu’on ne la prenne pour moy & ſi.	jugéz si on ut donner un sens honnête ces paroles et qu'elidécs elles font dans les esprits, jugéz si l'on ut donner uon se la prenne pour moi et si.
SCENE QUATRIEME,	SCÈNE QUATRIÈME,
STIOCHUS, APOLLON, MELPOMENE, THALIE, BERENICE de TITE, & BERENICE de TITUS.	STIOCHUS, APOLLON, MELPOMENE, THALIE, BERENICE de TITE, et BERENICE de TITUS.
NTIOCHUS à BERENICE de TITUS.	NTIOCHUS à BERENICE de TITUS.
Et bien, ingrate, le ſort vous punit à la fin de re cruauté pour Antiochus, voyéz de quel artie il s’eſt aviſé pour me vanger de vous, puiſſe le Ciel Ciel traitter de cette ſorte toutes les inhumicomme vous.	Et bien, ingrate, le sort vous punit à la fin de re cruauté pour Antiochus, voyez de quel artie il s'est avisé pour me venger de vous, puisse le Ciel Ciel traiter de cette sorte toutes les inhumicomme vous.
BERENICE de TITUS.	BERENICE de TITUS.
Vraiement Antiochus, vous prenéz bien ilte tems pour me parler de vôtre emour, je n’aya cela à faire à preſent, voila de vos incartad q naires, vous venéz toujours la ou on n’a queiide vous, retiréz vous ſi vous êtes ſage & me laſvuider en paix un different bien plus imporus que tous vos intereſts.	Vraiment Antiochus, vous prenezéz bien ilte temps pour me parler de votre emour, je n'a cela à faire à présent, voilà de vos incartadon naires, vous venezez toujours la ou on n'a queide vous, retiréz vous si vous êtes sage et me lasvuider en paix un différent bien plus imporus que tous vos intérêts.
APOLLON.	APOLLON.
C’eſt aſſéz, ô Reines, la choſe merite bient ſonger & d’en prendre avis, alléz & prepaicaros a revenir yci meſme bientôt écouter vôtre ſe	C'est assurés, ô Reines, la chose mérite bient songer et d'en prendre avis, allés et préparcaros a revenir yci même bientôt écouter votre se
ment.	ment.
ANTIOCHUS.	ANTICHUS.
Helas?	Hélas?
ACTE TROISIEME.	ACTE -TROISIÈME.
SCENE PREMIERE MELPOMENE, TITUS.	SCÈNE PREMIÈRE MELPOMENE, TITUS.
TITUS.	TITUS.
En attendant qu’Apollon vienne nous jugn vante Muſe, ſouffrez que je tâche à proui tems que je puis être en ces illuſtres licux, & l converſation auſſi éclairée que la vôtre, voicide o docte Nimphe, ce Temple de Memoire ſi fadans le monde apres lequel ſoupirent toutes l mes deſireuſes de gloire, & qui eſt le ſujet del haits des plus ambitieux, certes je ne ſaurois mu pecher de ſentir quelque joye de me voir dit lieu ou il y atant de peine d’irriver.	En attendant qu'Apollon vienne nous jugn ante Muse, souffrez que je tâche à provi tems que je puis être en ces illustres licux, et l' conversation aussi éclairée que la vôtre, voicide ô docte Nymphe, ce Temple de Mémoire si fadans le monde après lequel soupirent toutes l mes désireuses de gloire, et qui est le sujet dél haits des plus ambitieux, certes je ne saurais mu pécher de sentir quelque joie de me voir dit lieu ou il y atant de peine d'irriver.
Ml	Ml
MELPOMENE.	MELPOMENE.
Vôtre joye n’eſt pis ſans raiſon, & ſi vous ſaviéz ombien de gens s’efforcent inutilement d’y partenir, & combien il y en a que le vulgaire croit y levoir entrer, qui n’en approchent pæs ſeulement, le ſeroit encor plus grande.	Votre joie n'est pis sans raison, et si vous saviez ombien de gens s'efforcent inutilement d'y partenir, et combien il y en a que le vulgaire croit y levoir entrer, qui n'en approchent pæs seulement, le serait encor plus grande.
TITUS.	TITUS.
C’eſt ce qui rend auſſi plus grande la gloire de eux, de qui vous conſacrez le ſouvenir, mais trouez bon que j’interrompe nôtre propos pour vous moigner le raviſſement, que j’ay de reconnoitre i parmi les peintures des Hiſtoires Françoiles & ieſme aſſez modernes, ſi je ne me trompe comme viens de cet heureux elimat & que j’en paile la iguerpuy uront neprenuit part à ſagloire, ainſi ie jadis le fondateur de nôtre Empire, ſi nous en oyons le grand Virgile Enée, fut agreablement rpris?	C'est ce qui rend aussi plus grande la gloire de eux, de qui vous consacrez le souvenir, mais trouez bon que j'interrompe notre propos pour vous moigner le ravissement, que j'ai de reconnoitre y parmi les peintures des Histoires Françoiles et iesme assez modernes, si je ne me trompe comme viens de cet heureux élimât et que j'en paile la iguerpui ouvront néprenuit part à sagloire, ainsi ie jadis le fondateur de notre Empire, si nous en oyons le grand Virgile Enée, fut agréablement rpris?
quand il reconnut dans les peintures du mple de Cartage l’Hiſtoire de la fameuſe Ville il venoit de quitter.	quand il reconnut dans les peintures du mple de Carthage l'Histoire de la fameuse Ville il venait de quitter.
MELPOMENE.	MELPOMENE.
Vous ne devéz pas eſtre ſurpris de voir conſaer à l’eternité dans ces lieux la ſeule Hiſtoire, qui merite entre toutes celles qui ſe paſſent aujouruy ſur la terre.	Vous ne deverez pas être surpris de voir consaer à l'éternité dans ces lieux la seule Histoire, qui mérite entre toutes celles qui se passent aujourvi sur la terre.
a quoy voudriéz vous que nous us appliquaſſions dans ce ſiecle, & qu’y a il de plus ne de nos ſoins que le Régne merveilleux du nd Monarque des Lys?	a quoi voudriez -vous que nous us appliquassions dans ce siècle, et qu'y a il de plus ne de nos soins que le Reine merveilleux du néd Monarque des Lys?
toutes ces peintures, vous voyez, ſont autant de monumens de la ire, c’eſt luy qui nous occupe à preſent commIcfois Cyrus, Alexandre & Ceſar nous ont oc*;	toutes ces peintures, vous voyez, sont autant de monuments de la ire, c'est toujours qui nous occupe à présent commIcfois Cyrus, Alexandre et César nous ont occ*;
depuis prez de deux luſtres.	depuis près de deux lustres.
Le parnaſſe ne retentit que de ſes loüanges & ce Temple Sacietoujours orné de quelque nouvelle image del vertus.	Le parnasse ne retentit que de ses louanges et ce Temple Saciétoujours orné de quelque nouvelle image dél vertus.
TITE.	TITE.
Voila bien de tableaux pour ſi peu de tems, ſi faut que les actions de ce Prince ayent toutes es que Caractere, qui leur ſoit commun & qui vou ſi bien agreable, puis que vous en oubliez ſi pars ſeroit pour moy la matiere d’un entretien bientlicieux, mais nous n’aurions pas aſſez de tems, ce ce qui me fait paſſer à regret ſur la plus partd́eux peintures pour me retrancher à ces deux ſeulet m’ont d’abord frapé la vûe & que je vous cos de mexpliquer.	Voilà bien de tableaux pour si peu de temps, si faut que les actions de ce Prince aient toutes es que Caractère, qui leur soit commun et qui vou si bien agréable, puis que vous en oubliez si pars serait pour moi la matière d'un entretien bientlicieux, mais nous n'aurions pas assez de temps, ce ce qui me fait passer à regret sur la plus partdeux peintures pour me retrancher à ces deux seulet m'ont d'abord frappé la vue et que je vous cos de mexpliquer.
MELPOMENE.	MELPOMENE.
