A TARIS, Chez C.	À TARIS, Chez Ç.
Prens-garde qu’il ne verſe.	Prends-garde qu'il ne verse.
LE MARQUIS.	LE MARQUIS.
Adieu, noſtre Amy.	Adieu, notre Ami.
He, un peu de part à vos bonnes graces.	He, un peu de part à vos bonnes grâces.
Je ſuis morDleu code a Vous.	Je suis morDleu code a Vous.
GRAPINIAN.	GRAPINIAN.
Vous la prẽdrez quand vous reviendrez.	Vous la prendrez quand vous reviendrez.
LE MARQUIS.	LE MARQUIS.
Oüy, oüy.	Oui, oui.
SCENE VI.	SCÈNE VI.
GRAPINIAN LE CHAPELIER.	GRAPINIAN LE CHAPELIER.
LE CHAPELIER.	LE CHAPELIER.
Onjour, Mr GrapiD'’hian.	Onjour, Mr GrapiD'hian.
GRAPINIAN à ſes Cleres.	GRAPINIAN à ses Cleres.
Qu’on prenne demain quinze Apointemens ſur ces quinze Doſſiers.	Qu'on prenne demain quinze Appointements sur ces quinze Dossiers.
LE CHAPELIER.	LE CHAPELIER.
Hé-bien, mon Affaire eſt-elle jugée?	Hé-bien, mon Affaire est-elle jugée?
GRAPINIAN.	GRAPINIAN.
Non.	Non.
LE CHAPELIER.	LE CHAPELIER.
Comment, non!	Comment, non!
& pour quoy?	et pour quoi?
GRAPINIAN.	GRAPINIAN.
Parce que voſtre Affaire ne vaut pas le Diable, & que je n’y veus pas travailler.	Parce que votre Affaire ne vaut pas le Diable, et que je n'y veux pas travailler.
LE CHAPELIER.	LE CHAPELIER.
Mon Affaire ne vaut pas le Diable!	Mon Affaire ne vaut pas le Diable!
C’eſt bien autre choſe que cela.	C'est bien autre chose que cela.
GRAPINIAN.	GRAPINIAN.
Je vous dis qu’elle ne vaut pas le Diable, ce qu’on appelle, pas le DIDIC.	Je vous dis qu'elle ne vaut pas le Diable, ce qu'on appelle, pas le DIDIC.
LE CHAPELIER.	LE CHAPELIER.
Que deviendra donc le Chapeau de Caſtor que ay donné au Secretaire de mon Raporteur?	Que deviendra donc le Chapeau de Castor que ai donné au Secretaire de mon Rapporteur?
GRAPINIAN.	GRAPINIAN.
Un Chapeau de Caſtori Vray Caſtor?	Un Chapeau de Castori Vrai Castor?
En s'élevant.	En s'élevant.
LE CHAPELIER.	LE CHAPELIER.
Et des meilleurs qui ſe faſſent.	Et des meilleurs qui se fassent.
Voila le pareil que je raporte chez moy.	Voilà le pareil que je rapporte chez moi.
GRAPINIAN le prenant entre ſes mains, & le maniant.	GRAPINIAN le prenant entre ses mains, et le maniant.
A propos de voſtre Affaire;	À propos de votre Affaire;
n’eſt-ce pas un Patiſſier avec qui vous avez eu du bruit dans là Ruë?	n'est-ce pas un Patissier avec qui vous avez eu du bruit dans là Rue?
L CLAPELIER.	 LLAPELIÈR.
Ouy, Monſieur.	Oui, Monsieur.
GRAPINIAN.	GRAPINIAN.
Qui vous a dit des injures?	Qui vous a dit des injures?
LE CHAPELIER.	LE CHAPELIER.
Oüy, Monſieur.	Oui, Monsieur.
GRAPINIAN.	GRAPINIAN.
Et qui vous à frapé?	Et qui vous à frappé?
LE CHAPELIER.	LE CHAPELIER.
Oüy, Monſieur.	Oui, Monsieur.
GRAPINIAN.	GRAPINIAN.
Vous avez rendu voſtre Plainte?	Vous avez rendu votre Plainte?
LE CHAPELIER.	LE CHAPELIER.
Vrayment!	Vraiment!
je le crois.	je le crois.
GRAPINIAN.	GRAPINIAN.
Préſentement que je l’ay en teſte, je vous dis que je la gagneray.	Présentement que je l'ai en tête, je vous dis que je la gagnerai.
Laiſſez-moy ſeulement quaon clitores pour commencer les Informations.	Laissez-moi seulement quaon clitores pour commencer les Informations.
LE CHAPELIER.	LE CHAPELIER.
Tres-volontiers.	Très-volontiers.
Mais au moins, Monſieur, que je n’en aye pas le démenty.	Mais au moins, Monsieur, que je n'en aie pas le démenti.
GRAPINIAN.	GRAPINIAN.
Tenez-moy pour le plus grand Fripon de tous les Procureurs, ſi je ne vous	Tenez-moi pour le plus grand Fripon de tous les Procureurs, si je ne vous
GRAPINIAN.	GRAPINIAN.
Ne vous embaraſſez point.	Ne vous embarrassez point.
Allez-vous-en, vous dis-je;	Allez-vous-en, vous dis-je;
je m'en vais luy faire bannir ſa Boutique à perpetuité.	je m'en vais toujours faire bannir sa Boutique à perpétuité.
LE CHAPELIER.	LE CHAPELIER.
Il’ert poul dil Troinme qui.	Il’ert poul dil Troinme qui.
GRAPINIAN.	GRAPINIAN.
Je vous dis encore un cõup, que j’ay voſtre Af.	Je vous dis encore un commup, que j'ai votre Af.
faire en teſte, & qu’elle n’en ſortira pas.	faire en tête, et qu'elle n'en sortira pas.
Seul.	Seul.
C’eſt un Pérou que l’Etude d’un Procureur.	C'est un Pérou que l'Etude d'un Procureur.
Aux Clercs.	Aux Clercs.
A-t-on achea cette Requelte.	A-t-on acha cette Requelte.
LE CLERC.	LE CLERC.
Il y en a déja deux cens roles de faits.	Il y en a déjà deux cens rôles de faits.
GRAPINIAN.	GRAPINIAN.
Achevez le reſte en diligence, car on dit que les Parties ſont en termes d’accommodement.	Achevez le reste en diligence, car on dit que les Parties sont en termes d'accommodement.
LE PATISSIER.	LE PÂTISSIER.
Je voudrois bien vous parrer , e Mvous plehe.	Je voudrais bien vous parrer , e Ûvous plehe.
LE PATISSIER.	LE PÂTISSIER.
Tres-volontiers.	Très-volontiers.
E.	E.
voyant un Garçon qui porte queimt enert.	voyant un Garçon qui porte queimt enert.
Approchez, mon Enfant.	Approchez, mon Enfant.
GRAPINIAN.	GRAPINIAN.
On m’a dit, Monſieur, que vous eſtiez Procureur contre moy dans une petite Affaire qui m’eſt arri vec.	On m'a dit, Monsieur, que vous étiez Procureur contre moi dans une petite Affaire qui m'est arry ec.
GRAPINIAN.	GRAPINIAN.
Qui eſt voſtre Partie?	Qui est votre Partie?
LE PATISSIER.	LE PÂTISSIER.
C’eſt un Chapelier.	C'est un Chapelier.
GRAPINIAN.	GRAPINIAN.
Tenez, il ne fait que de ſortir d’icy.	Tenez, il ne fait que de sortir d'ici.
LE PATISSIER.	LE PÂTISSIER.
Ha, Monſieur, c’eſt un mechant Homme.	Ha, Monsieur, c'est un méchant Homme.
GRAPINIAN.	GRAPINIAN.
Bon, a qui le dites-vous?	Bon, à qui le dites-vous?
n’ay jamais veu un Homme plus endiablé, & plus acharne au Proces.	n'ai jamais vu un Homme plus endiablé, et plus acharne au Proces.
LE PATISSIER.	LE PÂTISSIER.
Il ſe vante par tout qu’il me fera faire Amende MonOraDlc.	Il se vante par tout qu'il me fera faire Amende MonOraDlc.
GRAPINIAN.	GRAPINIAN.
Il fera bien pis, ſi je ne l’en empeſche;	Il fera bien pis, si je ne l'en empêche;
mais je ne veux pas qu’il pouſſe à bout un honneſte Homme comme vous.	mais je ne veux pas qu'il pousse à bout un honnête Homme comme vous.
GRAPINIAN touchant le Paſté.	GRAPINIAN touchant le Pasté.
C’eſt toûjours quelque choſe;	C'est toujours quelque chose;
mais, noſtre Amy, le Criminel va diablement viſte, & il y a déja bien du papier brouillé.	mais, notre Ami, le Criminel va diablement vite, et il y a déjà bien du papier brouillé.
LE PATISSIER.	LE PÂTISSIER.
Je m’en vais vous rendre lur le champ tout ce que vous avez débourſé.	Je m'en vais vous rendre lur le champ tout ce que vous avez déboursé.
GRAPINIAN.	GRAPINIAN.
Vous ne ſçauriez mieux dire.	Vous ne sauriez mieux dire.
Ecoutez, je ne ſuis pas un Tyran, & je vous en ſortiray pour peu de choſe.	Écoutez, je ne suis pas un Tyran, et je vous en sortirai pour peu de chose.
LE PATISSIER ouvrant ſa Bourſe, & la luy préſentant.	LE PÂTISSIER ouvrant sa Bourse, et la vie présentant.
Tenez, Monſieur, prenez.	Tenez, Monsieur, prenez.
GRAPINIAN.	GRAPINIAN.
Ha, vous me comblez.	Ha, vous me comblez.
Puis que vous en agiſſez ainſy, je ne prendray que vingt écus.	Puis que vous en agissez ains, je ne prendrai que vingt écus.
Vous voyez que ce n’eſt que le papier.	Vous voyez que ce n'est que le papier.
que vous tiriez l’Affaire eh longueur.	que vous tiriez l'Affaire est longueur.
GRAPINIAN.	GRAPINIAN.
Je vous vais mettre avec mes l'enſionnaires.	Je vous vais mettre avec mes l'ensionnaires.
LE PATISSIER.	LE PÂTISSIER.
Qui fone vos PeiOſnaires?	Qui fone vos PéiOsnaires?
GRAPINIAN.	GRAPINIAN.
Ce ſont de bonnes Gens comme vous, qui me donnent tous les ans quelque choſe pour les laiſſer en repos;	Ce sont de bonnes Gens comme vous, qui me donnent tous les ans quelque chose pour les laisser en repos;
les uns mille fracs, les autres quatre cens livres, les autres dix Piſtoles, qui plus, qui moins, ſuivant que l’Affaire eſt de conſéquence.	les uns mille fracs, les autres quatre cens livres, les autres dix Pistoles, qui plus, qui moins, suivant que l'Affaire est de conséquence.
Voyezvous ce gros Sac, C’eſt contre un Homme de la premiere qualité, que je laiſſe jouir de tout lon Bien à la barbe de ſes Creanciers.	Voyezvous ce gros Sac, C'est contre un Homme de la première qualité, que je laisse jouir de tout lon Bien à la barbe de ses Créanciers.
Ce ſeroit une terrible choſe, ſi nous faiſions tout le mal que nous pouvons faire!	Ce serait une terrible chose, si nous faisions tout le mal que nous pouvons faire!
Il faut eſtre humain en certaines occaſions, & ne pas pouſſer des Gens qui s’aident, qui viennent au devant de vous, & qui vous lient les mains, en vous donnant quelque choſe pour les laiſſer en repos.	Il faut être humain en certaines occasions, et ne pas pousser des Gens qui s'aident, qui viennent au devant de vous, et qui vous lient les mains, en vous donnant quelque chose pour les laisser en repos.
LE PATISSIER.	LE PÂTISSIER.
Dieu vous conſerve.	Dieu vous conserve.
M' Grapinian, pour tous ceux à qui vous rendez ſervice.	M' Grapinian, pour tous ceux à qui vous rendez service.
GRAPINIAN.	GRAPINIAN.
Vous eſtes bien heureux d’eſtre tombé entre mes draceinas.	Vous êtes bien heureux d'être tombé entre mes draceinas.
LE PATISSIER.	LE PÂTISSIER.
Pourveu que vous tiriez l’Affaire en longueur.	Pourvu que vous tiriez l'Affaire en longueur.
GRAPINIAN.	GRAPINIAN.
Allez, je vous promets, foy d’Homme d’honneur, que d’un an d’icy on ne fera une pance d’a contre vous.	Allez, je vous promets, foi d'Homme d'honneur, que d'un an d'ici on ne fera une pance d'a contre vous.
Seul.	Seul.
Vingt écus!	Vingt écus!
Si cela continue, il me faudra un Cofre fort.	Si cela continue, il me faudra un Cofre fort.
3 ii	3 ji
SCENE VIII.	SCÈNE VIII.
GRAPINIAN, UNE PLAIDEUSE.	GRAPINIAN, UNE PLAIDEUSE.
LA PLAIDEUSE entrant.	LA PLAIDEUSE entrant.
A, bon Dieu, je  Eſuis perdue, je ſuis ruinée.	À, bon Dieu, je Es perdue, je suis ruinée.
Ha, voleur de Grapinian, je t'etrangleray.	Ha, voleur de Grapinian, je t'étranglerai.
Les Clercs courent pour la retenir.	Les Clercs courent pour la retenir.
CIAPINIAN.	CIAPINIAN.
A qui en veut cette Fole?	À qui en veut cette Fole?
LA PLAIDEUSE.	LA PLAIDEUSE.
quin, apres m’avoir ruinée?	quin, après m'avoir ruinée?
Tu m’avois dit que ma Cauſe eſtoit bonne, & je viens de la perdre avec dépens.	Tu m'avais dit que ma Causse était bonne, et je viens de la perdre avec dépens.
GRAPINIAN.	GRAPINIAN.
qu’elle ne fuſt bonne, mais tres-bonne, & une des meilleures de mon Etude.	qu'elle ne fût bonne, mais très-bonne, et une des meilleures de mon Étude.
a part.	à part.
J’en ay déja touche plus de huit cens francs.	J'en ai déjà touche plus de huit cens francs.
LA PLAIDEUSE.	LA PLAIDEUSE.
C’eſt donc par cet endroit que tu la trouves bonne?	C'est donc par cet endroit que tu la trouves bonne?
GRAPINIAN.	GRAPINIAN.
Ha, que de babil!	Ha, que de babil!
Si vous n’eſtiez pas ſi emportee, je vous ferois voir au doigt & a l’œil, que vous gagnez voſtre Cauſe, en perdant voſtre Proces;	Si vous n'étiez pas si emporte, je vous ferais voir au doigt et à l'œil, que vous gagnez votre Causse, en perdant votre Proces;
mais comme je ſuis un Fripon, un Coquin.	mais comme je suis un Fripon, un Coquin.
LA PLAIDEUSE.	LA PLAIDEUSE.
Mais faites-moy donc comprendre par où je IEERISOT	Mais faites-moi donc comprendre par où je JERISOT
GRAPINIAN.	GRAPINIAN.
N’eſt-ce pas un coup de vray Amy, d’avoir tiré la principale Piece de voſtre Sac, pour en faire un Moyen infaillible de Requeſte Civile contre l’Arreſt d’aujourd’huy?	N'est-ce pas un coup de vrai Ami, d'avoir tiré la principale Pièce de votre Sac, pour en faire un Moyen infaillible de Requête Civile contre l'Arrêt d'aujourd'hui?
Vous pleurez préſentement;	Vous pleurez présentement;
mais que vous rirez dans cinq ou ſix ans d’icy, quand la Requeſte Civile ſera gagnée, & qu’il y aura de bons gros dommages & intereſts, qui excéderont deux fois la ſomme qu’on vous doibt!	mais que vous rirez dans cinq ou six ans d'ici, quand la Requête Civile sera gagnée, et qu'il y aura de bons gros dommages et intérêts, qui excéderont deux fois la somme qu'on vous doibt!
On ſçait bien qu’il n’y aura rien à perdre pour moy;	On naît bien qu'il n'y aura rien à perdre pour moi;
mais alors le Procureur ne ſera plus un Fripon.	mais alors le Procureur ne sera plus un Fripon.
C’eſt unc choſe pitoyable, de voir comme on traite les Gens d’honneur de noſtre Profeſſion.	C'est un chose pitoyable, de voir comme on traite les Gens d'honneur de notre Profession.
Nous avons beau travailler nuit & jour, paſſer les nuits à écrire, avancer noſtré argent, perdre noſtre temps;	Nous avons beau travailler nuit et jour, passer les nuits à écrire, avancer nostré argent, perdre notre temps;
apres tout cela, bon, les Procureurs ſont encore des Fripons.	après tout cela, bon, les Procureurs sont encore des Fripons.
Voila en un ſeul mot toute la récompenſe de nos peines.	Voilà en un seul mot toute la récompense de nos peines.
LA PLAIDEUSE.	LA PLAIDEUSE.
Mr Grapinian, je ne veux point tater de Requeſte Civile.	Mr Grapinian, je ne veux point tâter de Requête Civile.
GRAPINIAN.	GRAPINIAN.
Que vous eſtes fole!	Que vous êtes sole!
Sans Requeſte Civile, les Affaires n’ont point de gouſt;	Sans Requête Civile, les Affaires n'ont point de goût;
c’eſt la Roquembole du Proces.	c'est la Roquembole du Proces.
LA PLAIDEUSE.	LA PLAIDEUSE.
Gardez voſtre Ragouſt pour quelqu’autre Plaideuſe.	Gardez votre Ragoût pour quelque autre Plaideuse.
Pour moy, je veux m’accommoder, & pãſſer une Tranſaction qui termine toutes mes Affaircs.	Pour moi, je veux m'accommoder, et puisser une Transaction qui termine toutes mes Affaircs.
GRAPINIAN.	GRAPINIAN.
Toutes vos Affaires!	Toutes vos Affaires!
Le depuis quand plaidezvous, ne vous en déplaiſe?	Le depuis quand plaidezvous, ne vous en déplaise?
LA PLAIDEUSE.	LA PLAIDEUSE.
Depuis treize ans;	Depuis treize ans;
& me voila, Dieu mercy & vous, auſſi avancée que le premier jour.	et me voilà, Dieu merci et vous, aussi avancée que le premier jour.
GRAPINIAN.	GRAPINIAN.
Quoy, il n’y a que treize ans?	Quoi, il n'y a que treize ans?
On voit bien que vous n’eſtes qu’une Novice.	On voit bien que vous n'êtes qu'une Novice.
Allez, allez, il faut u joir plelede vous.	Allez, allez, il faut joir plelede vous.
LA PLAIDEUSE.	LA PLAIDEUSE.
Non, Mr Grapinian, je veux m’accommoder.	Non, Mr Grapinian, je veux m'accommoder.
GRAPINIAN.	GRAPINIAN.
Ce nie fera pas de moſ avis toûjours.	Ce nie fera pas de mos avis toujours.
LA PLAIDEUSE.	LA PLAIDEUSE.
Et pourquoy?	Et pourquoi?
GRAPINIAN.	GRAPINIAN.
Parce qu’un Procureur qui ſçait ſon meſtier, ne H conſent jamais aucun ACCOOChCIIC.	Parce qu'un Procureur qui sait son métier, ne H consent jamais aucun ACCOOChCIIC.
LA PLAIDEUSE.	LA PLAIDEUSE.
Mais.	Mais.
GRAPINIAN.	GRAPINIAN.
Mais, cela eſt contre les Statuts de nôtre Communauté.	Mais, cela est contre les Statuts de notre Communauté.
Malepeſté, je m’attircrois tous mes Confreres à dos, s’ils ſçavoient quà mon age euſſe cõſenty une Tranſaction.	Malepesté, je m'attircrais tous mes Confreres à dos, s'ils savaient quà mon âme eusse cõsenty une Transaction.
C’eſt tout ce que pourroit faire un de nos Anciens à l’agonie, encore y penſeroit-il à deux fois;	C'est tout ce que pourrait faire un de nos Anciens à l'agonie, encore y penserait-il à deux fois;
ouy.	oui.
LA PLAIDEUSE.	LA PLAIDEUSE.
ioy, ſi je vous priois de m endrener dile?	joi, si je vous priais de m endrener dile?
GRAPINIAN.	GRAPINIAN.
Vous auriez beau me prier, je ne le pourrois pas faire en conſcience.	Vous auriez beau me prier, je ne le pourrais pas faire en conscience.
Donnez-moy ſeulement quatre cens cinquante livres pour la conſignation de la Requeſte civile, & allez vous mettre au Lit pour vous repoſer, car vous eſtes bien échaufée.	Donnez-moi seulement quatre cents cinquante livres pour la consignation de la Requeste civile, et allez vous mettre au Lit pour vous reposer, car vous êtes bien échauffée.
à part.	à part.
Il faut avoüer que je n’ay guere de fiel!	Il faut avouer que je n'ai guère de fiel!
Un H ij autre que moy, apres les injures.	Un H aj autre que moi, après les injures.
Mais je mets tout cela lous les pleds.	Mais je mets tout cela lous les pleds.
LA PLAIDEUSE.	LA PLAIDEUSE.
Juſte Ciel!	Juste Ciel!
bailler encore quatre cens cinquante livres!	bailler encore quatre cens cinquante livres!
GRAPINIAN.	GRAPINIAN.
Le teſips de la ſcecolte viendra.	Le témips de la scolte viendra.
LA PLAIDEUSE.	LA PLAIDEUSE.
On a beau ſe fâcher contre ces boureaux de li bcureurs, ils attrapent toûjours voſtre argent.	On a beau se fâcher contre ces boureaux de li bcureurs, ils attrapent toujours votre argent.
à part.	à part.
Dans le dépit où je ſuis, je donnerois volontiers tout mon Bien à quelque honneſte Homme, qui m’en feroit jouir en patience le reſte de mes jours.	Dans le dépit où je suis, je donnerais volontiers tout mon Bien à quelque honnête Homme, qui m'en ferait jouir en patience le reste de mes jours.
A la ſui n faudra que je me mârie.	À la su n audra que je me mârie.
*RAPINIAN.	*RAPINIAN.
Avreccremone ne, colibieſ avez-vous de Bien?	Avreccémone ne, colibies avez-vous de Bien?
LA PLAIDEUSE.	LA PLAIDEUSE.
Combien j’ay.	Combien j'ai.
Ne leſçavez-vous pas?	Ne lesçavez-vous pas?
J’ay trois cens mille bonnes livres, & vous en avez tous les Papiers.	J'ai trois cens mille bonnes livres, et vous en avez tous les Papiers.
H iij	H Hijà
GRAPINIAN à part.	GRAPINIAN à part.
Trois cens mille livres!	Trois cens mille livres!
Peſte, quelle aubaine!	Peste, quelle aubaine!
Mademoiſelle, je ſuis vôtre Homme;	Mademoiselle, je suis votre Homme;
vous ne ſçauriez mieux faire que de m'épouſer.	vous ne sauriez mieux faire que de m'épouser.
LA PLAIDEUSE.	LA PLAIDEUSE.
Oüy, voüs épouſer!	Oui, vouds épouser!
Et on dit que vous eſtes marie avec la Matrõne?	Et on dit que vous êtes marie avec la Matrõne?
GRAPINIAN.	GRAPINIAN.
Ce n’eſt qu’en attendant mieux.	Ce n'est qu'en attendant mieux.
Quel âge avez-vous?	Quel âge avez-vous?
LA PLAIDEUSE.	LA PLAIDEUSE.
J’ay environ quatrevilists aiis.	J'ai environ quatrevilits aiis.
GRAPINIAN.	GRAPINIAN.
Hé, morbleu, touchezlà.	Hé, morbleu, touchezlà.
Pour trois ou quatre ans qu’il vous reſte encore a vivre, il faut vous Ies Iaire paici joyeuſcment.	Pour trois ou quatre ans qu'il vous reste encore a vivre, il faut vous Ies Jaire paici joyeuscment.
LA PLAIDEUSE.	LA PLAIDEUSE.
Mais, Mr Grapinian, ſi.	Mais, Mr Grapinian, si.
là Matrone reprend la Charge?	là Matrone reprend la Charge?
GRAPINIAN.	GRAPINIAN.
l’y ay mis bon ordre.	l'y ai mis bon ordre.
Le Contract n’eſt pas fait en fayeur de mariage;	Le Contrat n'est pas fait en faiseur de mariage;
c’eſt une Vente pure & ſimple, où j’ay fait mettre, compté, nombré, e 5 payé des deniers dudit s' Grapinian.	c'est une Vente pure et simple, où j'ai fait mettre, compté, nombré, e 5 payé des deniers dudit s' Grapinian.
Peſte!	Peste!
cela tient comme teigne.	cela tient comme teigne.
LA PLAIDEUSE.	LA PLAIDEUSE.
Mais, Mr Grapinian.	Mais, Mr Grapinian.
m’aimerez-vous du bon du cœur?	m'aimerez-vous du bon du cœur?
GRAPINIAN.	GRAPINIAN.
Si je vous aimeray!	Si je vous aimerai!
Peut-on haïr une Femme qui donne trois cens LA MATRONE qui l’entend parler de la ſorte.	Peut-on haïr une Femme qui donne trois cens LA MATRONE qui l'entend parler de la sorte.
Tu l’adoreras, perfide, traître!	Tu l'adoreras, perfide, traître!
mille livres?	mille livres?
Je vous adoreray.	Je vous adorerai.
GRAPINIAN ſe tournant vers ſa vieille Plaideuſe, luy met une Fontange, & ayant pris ſon Eventail, il l’évente.	GRAPINIAN se tournant vers sa vieille Plaideuse, était met une Fontange, et ayant pris son Éventail, il l'évente.
Ha, le joly cœur de Femme!	Ha, le joli cœur de Femme!
Allons, je vous veux mettre ſur un bon pied pour voſtre argent.	Allons, je vous veux mettre sur un bon pied pour votre argent.
SCENE VIII.	SCÈNE VIII.
GRAPINIAN, LA PLAIDEUSE, LE CHAPELIER, LE PATISSIER, M' LE BAILLY.	GRAPINIAN, LA PLAIDEUSE, LE CHAPELIER, LE PÂTISSIER, M' LE BAILLY.
LE CHAPELIER arreſtant Grapinian par le bras.	LE CHAPELIER arrêtant Grapinian par le bras.
96 Monſieur le Fripon.	96 Monsieur le Fripon.
LE PATISSIER.	LE PÂTISSIER.
Allons, Mr Grapinian, de bonne grace, ſans vous faire preſſer, rendezmoy mes vingt ecus.	Allons, Mr Grapinian, de bonne grâce, sans vous faire presser, rendezmoi mes vingt écus.
DiaSiei vos Penſions ſont trop cheres.	DiaSie vos Pensions sont trop chères.
GRAPINIAN.	GRAPINIAN.
Hé, Meſſieurs, ne me perdez pas;	Hé, Messieurs, ne me perdez pas;
c’eſt aujourd’huy le jour de mes Nôces.	c'est aujourd'hui le jour de mes Nôces.
Je feray plutoſt vos Arfai vol gratis.	Je ferai plutôt vos Arfai vol gratis.
LE CHAPELIER.	LE CHAPELIER.
Quoy, Fripon, tu veux que nous t’aidiõs à tromPer ule relilie s	Quoi, Fripon, tu veux que nous t'aidiõs à tromPer ule relilie s
LA PLAIDEUSE.	LA PLAIDEUSE.
Voila de bien honneſtes Gens!	Voilà de bien honnêtes Gens!
LE CHAPELIER.	LE CHAPELIER.
Il faut tout-à-l’heure que la juſtice en ſoit faite.	Il faut tout-à-l’heure que la justice en soit faite.
Don.	Don.
vond d propex M le Bailly.	vond d propex M le Bailly.
LE BAILLY.	LE BAILLY.
Qu’eſt-ce-cy, mes Enfans?	Qu'est-ce-cy, mes Enfants?
LE CHAPELIER.	LE CHAPELIER.
Ce n’eſt pas grand' choſe;	Ce n'est pas grand' ose;
c’eſt un Procureur qu’il faut faire pendre, Tripon s enc end.	c'est un Procureur qu'il faut faire pendre, Tripon s enc end.
Minique	Minique
LA PLAIDEUSE.	LA PLAIDEUSE.
Cera s'en va lans dire.	Cera s'en va lans dire.
LE BAILLY.	LE BAILLY.
B Il y a donc un grand deſordre dans cette Profeſſion?	B Il y a donc un grand désordre dans cette Profession?
J’en cherche un, qui fait plus de mal luy ſeul, que tous les autres enſemble.	J'en cherche un, qui fait plus de maliblé seul, que tous les autres ensemble.
Noſtre Greffe n’eſt remply que de Plaintes & d’Informations contre luy.	Notre Greffe n'est rempli que de Plaintes et d'Informations contre lui.
GRAPINIAN.	GRAPINIAN.
Franchement, M le Bailly, il y a bien des Fripons dans noſtre Mêtier;	Franchement, M le Bailly, il y a bien des Fripons dans notre Métier;
il n’en faut ainſi que trois ou quatre pour décrier tous les autres.	il n'en faut ainsi que trois ou quatre pour décrier tous les autres.
LE BAILLY.	LE BAILLY.
Celuy que je cherche, Sur pono Plu, Grapian, Gramian.	Celui que je cherche, Sur pono Plu, Grapian, Gramian.
115H I5.	115H I5.
IRAFTNIAN.	JRAFTNIAN.
Ouf.	Ouf.
LE CHAPELIER.	LE CHAPELIER.
Grapinian?	Grapinian?
LE BAILLY .	LE BAILLY .
Juſtement, c’eſt celuylà.	Justement, c'est celuilà.
quii I 1	quii I 1
LE CHAPELIER.	LE CHAPELIER.
de vona, Momcur.	de vona, Momcur.
LE BAILLY.	LE BAILLY.
Quoy, c’eſt là ce fameux Fripon dont tout le monde ſe plaint?	Quoi, c'est là ce fameux Fripon dont tout le monde se plaint?
Il tuuo qui tois pendu ſur le champ.	Il tuuo qui tais pendu sur le champ.
GRAPINIAN.	GRAPINIAN.
He, Momneur, pour l’honneur du Corps.	He, Momneur, pour l'honneur du Corps.
LE BAILLY.	LE BAILLY.
C’eſt pour l’honneur du Corps qu’il te faut pendre tout-a-l’heure, pour chatier un Scélerat, qui deſ-honore Meſſieurs les Procureurs.	C'est pour l'honneur du Corps qu'il te faut pendre tout-là-l'heure, pour châtier un Scélerat, qui des-honore Messieurs les Procureurs.
La Potence eſt dreſſée, qu’on I menc.	La Potence est dressée, qu'on I Jenc.
El f2 vn	El f2 un
