ADVIS AV LECTEVR.	ADVIS AU LECTEUR.
132 Pieces Diverſes.	132 Pièces Diverses.
C’eſt de voſtre vertu la peinture éclatante Il eſt une vertu plus douce & plus riante, Qui ſçait s’apprivoiſer dans les ſocietez, Et ſe rend familiere avec les voluptez.	C'est de votre vertu la peinture éclatante Il est une vertu plus douce et plus riante, Qui sait s'apprivoiser dans les sociétés, Et se rend familière avec les voluptés.
Il eſt une vertu moins rude & moins farouch Qui permet à nos ſens la douceur qui les to che.	Il est une vertu moins rude et moins farouch Qui permet à nos sens la douceur qui les to che.
Mais condamnant l’excez contraire à la raiſe Sçait des appas mondains détacher le poiſon.	Mais condamnant l'excès contraire à la raise Sait des appas mondains détacher le poison.
Elle ne fond jamais par de rudes manies Sur les cercles charmants des belles cõpagnie Pour preſcher le ſilence & jetter la terreur;	Elle ne fond jamais par de rudes manies Sur les cercles charmants des belles compagnie Pour prêcher le silence et jeter la terreur;
Mais elle s’y comporte avec tant de douceur, Que l’on voit chaque humeur par elle aſſujers Aux loix de la prudence & de la modeſtie, Si bien que ſans trahir la foibleſſe des ſens, Ses plaifirs n’en ſont pas moins doux quo qu’innocens.	Mais elle s'y comporte avec tant de douceur, Que l'on voit chaque humeur par elle assujers Aux lois de la prudence et de la modestie, Si bien que sans trahir la faiblesse des sens, Ses plaisirs n'en sont pas moins doux qu 'innocents.
14 Elle ne deffend point en critique incommode Que ſelon ſon état chacun vive à ſa mode;	14 Elle ne défend point en critique incommode Que selon son état chacun vive à sa mode;
Son caprice acharné ſur le fard & l’atour, Ne reveſt point de ſerge une Dame de cour.	Son caprice acharné sur le fard et l'atour, Ne revêt point de serge une Dame de cour.
Mais retranche le luxe & ſon affeterie, Et joint la bien-ſeance à la gallanterie.	Mais retranche le luxe et son afféterie, Et joint la bienséance à la galanterie.
S’il falloit pour bien vivre aller dans des deſerts.	S'il fallait pour bien vivre aller dans des déserts.
Que deviendroient alors l’ordre de l'Univers Ces ſuperbes Palais, ces belles Republiques.	Que deviendraient alors l'ordre de l'Univers Ces superbes Palais, ces belles Républiques.
Ces Etats floriſſants, & ces Loix politiques.	Ces Etats florissants, et ces Lois politiques.
Vous avez beau preſcher, mais ſi nos gens de Cour, Vont chercher des deſerts, c’eſt pour faire l’amour.	Vous avez beau prêcher, mais si nos gens de Cour, Vont chercher dés déserts, c'est pour faire l'amour.
Sont-ce d’un vertueux des marques tres-certaines?	Sont-ce d'un vertueux des marques très-certaines?
Qu'un viſage aterré du flegme dans les veines, Eſtre parmy les morts ſans ceſſe retiré, Avoir dans ſon idée un eſprit égaré.	Qu'un visage aterré du flegme dans les veines, Être parmi les morts sans cesse retiré, Avoir dans son idée un esprit égaré.
1111IA Porter un cœur d’acier qu’aucun deſir n’enflame.	1111IA Porter un cœur d'acier qu'aucun désir n'enflamme.
Non, non, mon frere, non, deſabuſez voſtre ame;	Non, non, mon frère, non, désabusez votre âme;
C’eſt plûtoſt un effet choquant l’humanité De la complexion, que de la pieté.	C'est plutôt un effet choquant l'humanité De la complexion, que de la piété.
Ne voit-on pas des gens de qui l’ame malſaine, Pour tout le gẽre humain ne reſpire que haine?	Ne voit-on pas des gens de qui l'âme malsaine, Pour tout le guer humain ne respire que haine?
Et la nature & l’art n’õt rien de beau pour eux, La plus belle perſonne eſt un ſpectre à leurs yeux.	Et la nature et l'art n'õt rien de beau pour eux, La plus belle personne est un spectre à leurs yeux.
Le cœur dur aux honneurs, inſenſible aux injures;	Le cœur dur aux honneurs, insensible aux injures;
Et qui font cependãt mille & mille impoſtures Non, non, hé l’on peut voir malgré tous vos avis, Des Saints civiliſez, & des devots polis.	Et qui font cependants mille et mille impostures Non, non, hé l'on peut voir malgré tous vos avis, Des Saints civilisez, et des dévots polis.
La Suivante ayant eſté gagnée par argent de Cleandre, pour taſcher à perſuader ſa Maiſtreſſe, & luy faire quitter cette devotion, qui luy Pieces Diverſes, oſte tout moyen de l’appr cher, elle luy tient ce di cours.	La Suivante ayant été gagnée par argent de Cléandre, pour tâcher à persuader sa Maîtresse, et lui faire quitter cette dévotion, qui était Pièces Diverses, ôte tout moyen de l'appr cher, elle lui tient ce di ours.
DORISE, c’eſt la Marpeſſe.	DORISE, c'est la Marpesse.
Oles-tu me parler d’entrer au mariage?	Oles-tu me parler d'entrer au mariage?
LA SERVANTE.	LA SERVANTE.
Le grand crime, aprés tout, penſez-vous eſ ſage?	Le grand crime, après tout, pensez-vous es sage?
Qu’a de mal ce diſcours qui vous fait murme E rer?	Qu'a de mal ce discours qui vous fait murme E r?
eu montdaintdenen vndu duci Quoy chez vous la vertu ne fera que pleurer.	eu montdaintden unmé du Quoi chez vous la vertu ne fera que pleurer.
La croyez-vous ſi dure à l’ame qu’elle enchaiſne?	La croyez-vous si dure à l'âme qu'elle enchaîne?
ne Que de ne rien permettre à la foibleſſe humai Non, non, défaites-vous de cette vieille en reur, L’hymen ne doit jamais effrayer noſtre hõneur Et quoy toûjours reſter en l’eſtat où vous eſtes.	ne Que de ne rien permettre à la faiblesse humai Non, non, défaites-vous de cette vieille en reur, L'hymen ne doit jamais effrayer quelque honneur Et quoi toujours rester en l'état où vous êtes.
Ah!	Ah!
que ſi vous ſçaviez les pertes que vous fai tes.	que si vous saviez les pertes que vous fay tes.
Sçachés que d’un mary l’on reçoit des douceur Qui chatoüillent nos ſens, & qui charment nos cœurs;	Sachez que d'un mari l'on reçoit des douceur Qui chatouillent nos sens, et qui charment nos cœurs;
Et qu’en ſes paſſe-temps pour contenter ſon l ame, Une fille n’a pas les plaiſirs d’une femme.	Et qu'en ses passetemps pour contenter son l âme, Une fille n'a pas les plaisirs d'une femme.
Oh!	Oh!
que je ne ſuis pas ſi farouche que vous:	que je ne suis pas si farouche que vous:
Car loin de refuſer l’approche d’un époux, Que l’amour ait pour but ou non le mariage, Pour peu qu’on me courtiſe aiſément je m'engage.	Car loin de refuser l'approche d'un époux, Que l'amour ait pour but ou non le mariage, Pour peu qu'on me courtise aisément je m'engage.
De mille & mille amans je flatte les deſirs.	De mille et mille amants je flatte les désirs.
C’eſt là paſſer ſa vie au milieu des plaiſirs, Et non pas comme vous, dont l’ame ridicule Conſume ſes beaux jours dans l’effroy du ſcrupule.	C'est là passer sa vie au milieu des plaisirs, Et non pas comme vous, dont l'âme ridicule Consume ses beaux jours dans l'effroi du scrupule.
De qui dans ſes ennuys l’eſprit enſevely, Voit commę un monſtre affreux l’amant le plus poly.	De qui dans ses ennuis l'esprit enseveli, Voit commence un monstre affreux l'amant le plus poli.
Et ne s’eſtudiant qu'à fuir ce qui ſçait plaire, Au milieu de Paris veut eſtre ſolitaire.	Et ne s'étudiant qu'à fuir ce qui sait plaire, Au milieu de Paris veut été solitaire.
N'humaniſerez-vous jamais vos fiers deſtins?	N'humaniserez-vous jamais vos fiers destins?
Et n’enfanterez-vous jamais que des chagrins?	Et n'enfanterez-vous jamais que des chagrins?
Quel charme, & quels apas a pour vous la ſouffrance?	Quel charme, et quels apas a pour vous la souffrance?
Je ne puis concevoir quelle eſt voſtre eſperãce.	Je ne puis concevoir quelle est votre espérance.
Jugez à qui de nous le ſort eſt plus fatal, Je n’ay que du plaiſir, vous n’avez que du mal.	Jugez à qui de nous le sort est plus fatal, Je n'ai que du plaisir, vous n'avez que du mal.
Aprés quelques autres diſcours, qui ſont plus eſſentiels à la piece, qu’ils ne ſeroient divertiſſants les rapportans ſans ſuite, cette fille découvre à ſa ſuivante, que le ſujet qui luy a fait embraſſer la devotion, eſt le déplaiſi de ne pouvoir contenter l’amour qu’elle a pris pour un certain Cleandre (qui eſt ce amant qui l’aime) & elle di des choſes fort favorables pour luy.	Après quelques autres discours, qui sont plus essentiels à la pièce, qu'ils ne seraient divertissants les rapportants sans suite, cette fille découvre à sa suivante, que le sujet qui lui a fait embrasser la dévotion, est le déplaisi de ne pouvoir contenter l'amour qu'elle a pris pour un certain Cléandre (qui est ce amant qui l'aime) et elle di des choses fort favorables pour lui.
Ce Cleandre qu eſt d’intelligence avec la ſuivante, n’eſt pas fort éloigné & entend les bons ſentimens de ſa Maiſtreſſe;	Ce Cléandre qu est 'intelligence avec la suivante, n'est pas fort éloigné et entend les bons sentiments de sa Maîtresse;
ce qui l’enhardit à luy venir declarer ſa paſſion.	ce qui l'enhardit à cause venir déclarer sa passion.
Doriſe eſt fort ſurpriſe, parce qu’elle ne le croyoit pas ſi prés d’elle, & a de la pudeur de s’eſtre declarée.	Dorise est fort surprise, parce qu'elle ne le croyait pas si près d'elle, et à de la pudeur de s'être déclarée.
Mais enfin elle ne peut deſavouer la paſſion qu’elle a elle-meſme avouëe hautement, LE DOCTEUR ſevere.	Mais enfin elle ne peut désavouer la passion qu'elle a elle-même avouée hautement, LE DOCTEUR sévère.
lle trompez-vous mes yeux, quel crime abominable?	Ille trompez-vous mes yeux, quel crime abominable?
Quoy luy baiſer la main?	Quoi lui baiser la main?
ment, & dit quelques paroles obligeantes à Cleandre.	ment, et dit quelques paroles obligeantes à Cléandre.
unll eſt ſi tranſporté qu’il luy baiſe la main, le Docteur ſejere le ſurprend dans cette es ſactlon, & dit.	unll est si transporté qu'il lui baise la main, le Docteur séjère le surprend dans cette es sactlon, et dit.
LA SERVANTE.	LA SERVANTE.
Voyez le grand forfait!	Voyez le grand forfait!
layment nous y voicy.	layment nous y voici.
L’AMANT.	L'AMANT.
Quel mar ay-je donc fait?	Quel mar ai-je donc fait?
druſlant pour ſes beaux yeux d’une ardeur legitime;	drûlant pour ses beaux yeux d'une ardeur légitime;
I crime.	I crime.
puis baiſer ſa main ſans commettre aucun	puis baiser sa main sans commettre aucun
9 LE DOCTEUR ſevere.	9 LE DOCTEUR sévère.
le foible deſſein de l’eſpouſer un jour, eut-il rendre excuſable un criminel amour?	le faible dessein de l'épouser un jour, eut-il rendre excusable un criminel amour?
Ne me déguiſés point une flame brutale, Sous les émotions d’une ardeur conjugale Ou ne confondés pas ſes chaſtes mouvement Avec les noirs effets de ces emportements.	Ne me déguisez point une flamme brutale, Sous les émotions d'une ardeur conjugale Ou ne confondez pas ses chastes mouvement Avec les noirs effets de ces emportements.
L'amour qui ſous ſon joug aſſervit l’hymen Ne prend point ſur nos ſens de licence effrene Loin que ſa tyrannie attante à la raiſon.	L'amour qui sous son joug asservit l'hymen Ne prend point sur nos sens de licence effréné Loin que sa tyrannie attante à la raison.
Luy meſme du devoir ſe fait une priſon Et bravant les appas de ces molles careſſes.	Lui même du devoir se fait une prison Et bravant les appas de ces molles caresses.
Il ſe met au deſſus des toutes ces foibleſſes A inſi donc ſi l’hymen couronnant vos ardeur Dans ſes ſacrés lieux enchaiſne vos de cœurs, Si le Ciel pour le mieux voulant unir vos ame Reſpend dans voſtre ſein de mutuelles flam Gardés de profaner par l’uſage des ſens, Un feu dont les tranſports doivent eſtre inno cens;	Il se met au dessus des toutes ces faiblesses A insi donc si l'hymen couronnant vos ardeur Dans ses sacrés lieux enchaîne vos de cœurs, Si le Ciel pour le mieux voulant unir vos âme Respend dans votre sein de mutuelles flam Gardés de profaner par l'usage des sens, Un feu dont les transports doivent être inno cents;
Car ne pretendés pas que le Saint Mariage Soit un azile ouvert pour le libertinage, Et donne un libre accés à d’infames defirs:	Car ne prétendez pas que le Saint Mariage Soit un asile ouvert pour le libertinage, Et donne un libre accès à d'infâmes désirs:
Non, non, ſi l’on ne ſçait eſpurer ſes plaiſirs détachant de leur fin la douceur ſenſuelle, L’hymen ne rend pas moins noſtre ame crim nelle.	Non, non, si l'on ne sait épurer ses plaisirs détachant de leur fin la douceur sensuelle, L'hymen ne rend pas moins notre âme crim elle.
LA SERVANTE.	LA SERVANTE.
A inſi donc ſelon vous dans ſa fidelle ardeur, Un mary doit baiſer ſa femme à contre-cœuPour ne pas ſavourer la douceur des delices.	À insi donc selon vous dans sa fidèle ardeur, Un mari doit baiser sa femme à contrecœuPour ne pas savourer la douceur des délices.
C’eſt faire à voſtre gré des vertus & des vices Penſés vous qu’on vous croye avec de tel diſcours?	C'est faire à votre gré des vertus et des vices Pensés -vous qu'on vous croie avec de tel discours?
Puiſque vous admettés deux differens amours.	Puisque vous admettez deux différents amours.
Croyés vous que celuy qui butte au mariage, Tout innocent qu'il eſt ſe montre le plus ſage, Et ne s’eſchape point à des emportemens?	Croyez -vous que celui qui butte au mariage, Tout innocent qu'il est se montre le plus sage, Et ne s'échappe point à des emportements?
Sçachés qu’il eſt ſujet aux meſmes mouvemens Appuyé de l’hymen, revoltant ſa puiſſance, Il uſurpe ſur nous une eſgale licence, Et ſi l’autre à nos ſens attache nos deſirs;	Sachez qu'il est sujet aux mêmes mouvements Apuyé de l'hymen, révoltant sa puissance, Il usurpe sur nous une égale licence, Et si l'autre à nos sens attache nos désirs;
Celuy-cy n’a pas moins de penchant aux plaifirs, ſtregarde l'hymen comme une ſeure voye, Pour atteindre au bonheur de joüir de ſa proye.	Celui-cy n'a pas moins de penchant aux plaisirs, stregarde l'hymen comme une sûre voie, Pour atteindre au bonheur de jeuir de sa proie.
Mais ſi tous vos Docteurs raiſonnent comme vous, Je me puis bien vanter d’en ſçavoir plus qu’eux tous.	Mais si tous vos Docteurs raisonnent comme vous, Je me puis bien vanter d'en sçavoir plus qu'eux tous.
LABSUIIUR.	LABSUIIUR.
22 Aprenés que je garde avecque bien-ſceance.	22 Aprenez que je garde avec bienstance.
LA SERVANTE.	LA SERVANTE.
le le ſçay, vous gardés ſi bien voſtre ſcience, elle ne paroiſt point dans vos longs entretiens;	le le sais, vous gardez si bien votre science, elle ne paraît point dans vos longs entretiens;
tes ranonnements font deltrdits par les miens, Par ma foy.	tes ranonnements font deltrdits par les miens, Par ma foi.
LE DOCTEUR.	LE DOCTEUR.
Juſte Ciel quel jurement vous faites?	Juste Ciel quel jurement vous faites?
LA SERVANTE.	LA SERVANTE.
lous raiſonnés bien mal tout Docteur que vous eſtes,	lous raisonnez bien mal tout Docteur que vous êtes,
M ij Pieces Diverſes, Et ne voyés vous pas que ſans reflexion, Je jure de parolle & non d’intention?	M ij Pieces Diverses, Et ne voyez -vous pas que sans réflexion, Je jure de parole et non d'intention?
LE DOCTEUR.	LE DOCTEUR.
Tampis, car c’eſt ma fille un pecne d'habitue A le deraciner, employés voſtre eſtude.	Tampis, car c'est ma fille un pecne d'habitue A le déraciner, employez votre étude.
LA DOCTEUR.	LA DOCTEUR.
Vous.	Vous.
Employés la voſtre à bien ſçavoir les cas Saluce eſt caution que je ne peche pas, Vous ne porterés point le fardeau de mes cr mco y Ceſſés donc les frayeurs de vos rudes maxime Selon voſtre morale on doit trembler toûjours	Employez la vôtre à bien savoir les cas Saluce est caution que je ne pèche pas, Vous ne porterez point le fardeau de mes cr ô y Ès donc les frayeurs de vos rudes maxime Selon votre morale on doit trembler toujours
LE DOCTEUR.	LE DOCTEUR.
Ma niepce deteſtés ſes damnables diſcours, Que vos attentions n’en ſoient point les complices, Taſchés par voſtre exemple à confondre ſes vices:	Ma niepce détestés ses damnables discours, Que vos attentions n'en soient point les complices, Tâchés par votre exemple à confondre ses vices:
Relevés ſon eſprit dans l’erreur abattu, Rendés ſa conſcience au ſein de la vertu, Et reſchauffant ſon cœur d’une celeſte flame, A force de raiſons convertiſſés ſon ame.	Rèlevez son esprit dans l'erreur abattu, Rendès sa conscience au sein de la vertu, Et réchauffant son cœur d'une celeste flamme, À force de raisons convertissés son âme.
Cleon qui eſt l’honneſte homme de la piece, voyant –que Saluce, qui eſt le Doſteur relaché, a plus de faveur que le Docteur ſevere, & qu’aſſurement ce dernier pourroit bien eſtre condamné, quoy qu’il ait pour luy a iuſtice, il fait tous ſes eftorts pour les racommoder nſemble, & il ſort de ſa maiſon pour aller chercher saluce pour luy parler.	Cleon qui est l'honnête homme de la pièce, voyant ait Pou, qui est y Fut relaché, à plus de Docteur que le Docteur sévère, et qu'assurément ce dernier pourrait bien rendre condamné, quoi qu’il ait pour notre a justice, il fait tous ses éforts pour les racommoder néremble, et il sort de sa maison pour aller chercher saluée pour lui parler.
LE DOCTEOR jevere.	LE DOCTEOR jevère.
los efforts ſeront vains, ne ſortés pas mon frere.	los efforts seront vains, ne sortez pas mon frère.
CLEON.	CLEON.
on, non, voyons Saluce, il m'honnore & revere, rans doute que pour moy.	on, non, voyons Saluce, il m'honore et révère, rans doute que pour moi.
LE DOCTEUR.	LE DOCTEUR.
Ne vous en flattés pas.	Ne vous en flattez pas.
M iii Pieces Diverſes, Je conſens que de vous Saluce faſſe cas, Mais ſa gloire en ce point eſt trop intereſſée:	M Pieces Diverses, Je consens que de vous Saluce fasse cas, Mais sa gloire en ce point est trop intéressée:
Cette affaire eſt par luy trop vivement pouſſée Pour ne pas recevoir un refus de ſa part, Pour calmer ce debat vous venés un peu tard;	Cette affaire est par cela trop vivement poussée Pour ne pas recevoir un refus de sa part, Pour calmer ce débat vous venez un peu tard;
Il falloit l’eſtouffer au temps de ſa naiſſance Et non quand nos Docteurs en ont pris con noiſſance, Quand j’ay fait aſſembler ceux de la Faculté, Qui doivent prononcer ſur la difficulté.	Il fallait l'étouffer au temps de sa naissance Et non quand nos Docteurs en ont pris con naissance, Quand j'ai fait assembler ceux de la Faculté, Qui doivent prononcer sur la difficulté.
maue il quu Hion lujee la cramde ous ſaiſiſ Quand malgré ſes detours j’ay pour moy Juſtice?	mave il quu Hion luie la cramde ous saisis Quand malgré ses détours j'ai pour moi Justice?
CLEON.	CLEON.
Si dans ce differend qu’on termine aujourd’he La Juſtice eſt pour vous la cabale eſt pour l Parmy tous vos Docteurs où l’intereſt preſid Le caprice ſans borne & reſout & decide, En ce lieu de tumulte haï des beaux eſprits Au poids de la faveur on peſe les eſcrits, Et les voix ſans ſcrupule eſclave de la brigus Ne ſe donnent entre eux qu’à la plus forte in trigue:	Si dans ce différend qu'on termine aujourd'hé La Justice est pour vous la cabale est pour l Parmi tous vos Docteurs où l'intérêt presid Le caprice sans borne et résout et décide, En ce lieu de tumulte haï des beaux esprits Au poids de la faveur on pèse les écrits, Et les voix sans scrupule esclave de la brigus Ne se donnent entre eux qu'à la plus forte in trygve:
Jugés quelle raiſon vous en pourés avoir, N’ayant aucuns amis que l’on puiſſe aller voi Ne vous obſtinés point à vous eſtre contraire L’accord que je propoſe eſt du tout necefſaire Laiſſés moy voir Saluce & ſans plus conteſter D'une telle diſpute il vous faut deſiſter;	Jugez quelle raison vous en pour avoir, N'ayant aucuns amis que l'on puisse aller voi Ne vous obstinez point à vous être contraire L'accord que je propose est du tout nécessaire Laissez -moi voir Saluce et sans plus contester D'une telle dispute il vous faut désister;
Mais il vient à propos ſon ad veu peut ſuffire.	Mais il vient à propos son ad vu peut suffire.
SALUCE.	SALUÉE.
Regnaut!	Regnaut!
Voyons un peu ce qu’il nous pourra dire.	Voyons un peu ce qu'il nous pourra dire.
CLEON entre eux deux.	CLEON entre eux deux.
OCDJENT 2 3 Nous touchons donc enfin à ce jour trop heureux, TOR 11 Où l’on doit voir regner la paix entre vous deux, Et tarir en debats cette ſource feconde, Qui depuis ſi long-temps ſe reſpand dans le monde.	OCDENT 2 3 Nous touchons donc enfin à ce jour trop heureux, TOR 11 Où l'on doit voir régner la paix entre vous deux, Et tarir en débats cette source féconde, Qui depuis si longtemps se répand dans le monde.
l’on verra qui de vous par ſon raiſonnement lvoit plus de juſtice en ſon emportement:	l'on verra qui de vous par son raisonnement luvait plus de justice en son emportement:
Du plutoſt qui de vous eſt le plus condãnable, D’avoir ſemé par tout un deſordre effroyable:	Du plutôt qui de vous est le plus condamnable, D'avoir semé par tout un désordre effroyable:
Car pour donner pretexte à voſtre paſſion, lourquoy vous attaquer à la Religion?	Car pour donner prétexte à votre passion, lourquoi vous attaquer à la Religion?
ſt pour vous égarer vous creuſer des abyſmes, ſnoppoſant ſes loix à ſes propres maximes:	st pour vous égarer vous creuser des abîmes, snopposant ses lois à ses propres maximes:
Prepoſez ſes appuys, loin de la ſouſtenir lous falloit-il de vous ainſi vous des-unir?	Préposez ses appuis, loin de la soutenir lous fallait-il de vous ainsi vous désunir?
ſt dans l’égarement de voſtre ame mutine, Allumer dans ſon ſein une guerre inteſtine.	st dans l'égarement de votre âme mutine, Allumer dans son sein une guerre intestine.
lors que vous diſputez ſur des faits ſi conſtans, Jous eſtes ſes bourreaux & non pas ſes enfans:	lors que vous disputez sur des faits si constants, Jous êtes ses bourreaux et non pas ses enfants:
it lom de repouſſer ce qui luy pourroit nuire, jous ne vous efforcez tous deux qu’à la détruire.	Çit lom de repousser ce qui lui pourrait nuire, jous ne vous efforcez tous deux qu'à la détruire.
le veux bien que chacun dans cette queſtion luſt droit de s’obſtiner dans ſon opinion.	le veux bien que chacun dans cette question lût droit de s'obstiner dans son opinion.
Pieces Drveijes, Pourquoy loin d’agiter ſur les banes de l’E.	Pièces Drveijes, Pourquoi loin d'agiter sur les banes de l'E.
chole Un differend qui court de l’un à l’autre pôle Faire voir au public par de piquants écrits Le venin dont la haine infecte vos eſprits, Et que vous preferez, diſputans la victoire, A l’intereſt du Ciel celuy de voſtre gloire.	chole Un différend qui court de l'un à l'autre pôle Faire voir au public par de piquants écrits Le venin dont la haine infecte vos esprits, Et que vous préférez, disputants la victoire, A l'intérêt du Ciel celui de votre gloire.
D’une telle foibleſſe il eſt temps de rougir, Que cette ardeur de vaincre en vous ceſſe d’a gir.	D'une telle faiblesse il est temps de rougir, Que cette ardeur de vaincre en vous cesse d'a gir.
Il vaut mieux de bon gré ſe condamner ſoymeſme Que de s’y voir contraint d’authorité ſuprême C’eſt pourquoy dans ces lieux convenant q vos faits, Uniſſez vos deux cœurs par les nœuds de paix:	Il vaut mieux de bon gré se condamner soymesme Que de s'y voir contraint d'autorité suprême C'est pourquoi dans ces lieux convenant q vos faits, Unissez vos deux cœurs par les nœuds de paix:
Car ſi vous attendez dans l’eſpoir qui vous flatte Que de la Faculté le jugement éclatte, Ne ſçachant qui de vous doit eſtre le vair queur, neur Vous hazardez tous deux à vous perdre d’hon Signant donc voſtre accord exemptez vous d blaſme, Qui peut-eſtre aujourd’huy poura tacher vo ſtre ame.	Car si vous attendez dans l'espoir qui vous flatte Que de la Faculté le jugement éclatte, Ne sachant qui de vous doit être le vair queur, neur Vous hasardez tous deux à vous perdre d'hon Signant donc vôtre accord exemptez vous d blâme, Qui peut-être aujourd'hui pourra tacher vo tre âme.
LE DOCTEUR relaché.	LE DOCTEUR relaché.
Il n'eſt plus de ſaiſon de nous parler d’accord Toute la Faculté s’eſt aſſemblée en corps;	Il n'est plus de saison de nous parler d'accord Toute la Faculté s'est assemblée en corps;
Et nous eſtans tous deux ſoumis à ſa prudence.	Et nous étant tous deux soumis à sa prudence.
Prevenir ſon Arreſt c’eſt luy faire une offence.	Prévenir son Arrêt c'est assez faire une offense.
Et quoy que ſur ce point elle puiſſe ordonner;	Et quoi que sur ce point elle puisse ordonner;
Pour moy je ne crains pas de me voir condãner.	Pour moi je ne crains pas de me voir condamner.
LE DOCTEUR ſevere.	LE DOCTEUR sévère.
D'où naiſt ſur voſtre front cette maſle aſſeurance ?	D'où naît sur votre front cette mâle assurance ?
Quoy noſtre Faculté flattant voſtre eſperance, oon ſentiment au voſtre eſt-il aſſujetty?	Quoi notre Faculté flattant votre espérance, ouon sentiment au vôtre est-il assujetti?
LE DOCTEUR relaché.	LE DOCTEUR relaché.
Trop de gens contre vous ſouſtiennent mon party, rour ne pas m’aſſurer qu’aux yeux de tout le monde.	Trop de gens contre vous soutiennent mon parti, rour ne pas m'assurer qu'aux yeux de tout le monde.
LE DOCTEUR ſevere.	LE DOCTEUR sévère.
Hé!	Hé!
ſur le nombre ainſi voſtre fierté ſe fonde?	sur le nombre ainsi votre fierté se fonde?
Et de voſtre calcul tirant voſtre bon droit, croit?	Et de votre calcul tirant votre bon droit, croit?
Etrange reſverie où noſtre ame s’applique!	Etrange rêverie où notre âme s'applique!
Si noſtre queſtion giſt dans l'Arithmetique, Et du plus ou du moins ayans à conteſter;	Si notre question gît dans l'Arithémétique, Et du plus ou du moins ayant à contester;
Au lieu de raiſonner nous n'avons qu’à cõpter?	Au lieu de raisonner nous n'avons qu'à compter?
Pour eſtre ſouſtenu d’une foule innombrable, Croyez-vous que le faux devienne veritable?	Pour être soutenu d'une foule innombrable, Croyez-vous que le faux devienne véritable?
et quela verité dans ſon accablement, oy que moins approuvée ait moins de fondement?	et quela vérité dans son accablement, oi que moins approuvée ait moins de fondement?
Sien que de caballer vous faſſiez voſtre étude.	Sien que de caballer vous fassiez votre étude.
Pieces Diverſes, Ne vous prevalez point de voſtre multitude Le ſuffrage du monde eſt ſujet à l’erreur, L’intereſt le conduit où brille la faveur.	Pièces Diverses, Ne vous prévalez point de votre multitude Le suffrage du monde est sujet à l'erreur, L'intérêt le conduit où brille la faveur.
Et quand ſur de tels points il croit rendre ſtice, Il quitte la raiſon pour fuivre le caprice.	Et quand sur de tels points il croit rendre stice, Il quitte la raison pour suivre le caprice.
Apprenez que pour vaincre en de tels differes On compte les raiſons & non les partiſans.	Apprenez que pour vaincre en de tels diffères On compte les raisons et non les partisans.
LE DOCTEUR relaché.	LE DOCTEUR relaché.
A quoy bon, dites moy, tant de raiſons cor ptées, Si ces meſmes raiſons ne ſont pas écoutées ?	À quoi bon, dites -moi, tant de raisons cor ptées, Si ces mêmes raisons ne sont pas écoutées ?
N’eſt-ce pas pour ſe voir tacher d’autant d'a fronts, Que pour les éviter on avoit de raiſons?	N'est-ce pas pour se voir tacher d'autant d'a fronts, Que pour les éviter on avait de raisons?
Le nombre des raiſons ne fait rien à l’affaire Mais puis que vous croyez qu’il vous eſt ſe lutaire, Nous pourrons bien nous voir regler à noſt choix, Vous aurez les raiſons, & moy j’auray les voi Et range égaremẽt d’un Docteur qu'on revenr Qui parce qu’il ſe voit tout l’Univers cor traire:	Le nombre des raisons ne fait rien à l'affaire Mais puis que vous croyez qu'il vous est se lutaire, Nous pourrons bien nous voir régler à nost choix, Vous aurez les raisons, et moi j'aurai les voi Et range égaremẽt d'un Docteur qu'on revenr Qui parce qu'il se voit tout l'Univers cor traire:
Luy feul de ſon avis conclud en ſa faveur, Qu’il faut que l’Univers ſoit tombé dans l'e reur.	Lui seul de son avis conclud en sa faveur, Qu'il faut que l'Univers soit tombé dans l'e revr.
N’eſt-il pas plus plauſible?	N'est-il pas plus plausible?
au moins il me ſemble;	au moins il me semble;
Que vous vous trompiez ſeul, que tout monde enſemble?	Que vous vous trompiez seul, que tout monde ensemble?
CLEON.	CLEON.
Quoy ne ſçavez-vous pas qu’un Docteur éclaiPeut avoir en ces cas l’eſprit plus aſſuré [ré, Qu'un peuple qu’à ſon gré le ſeul caprice meine, Et qui s’abandonnant au torrent qui l’entraiSans ſçavoir ſur quel fait il rend ſon jugement, luge parce qu’on juge, & ment parce qu’on ment.	Quoi ne savez-vous pas qu'un Docteur éclaiPeut avoir en ces cas l'esprit plus assuré [ré, Qu'un peuple qu'à son gré le seul caprice mine, Et qui s'abandonnant au torrent qui l'entraiSants avoir sur quel fait il rend son jugement, luge parce qu'on juge, et ment parce qu'on ment.
LE DOCTEUR relaché.	LE DOCTEUR relaché.
Quoy qu’il en ſoit, Monſieur, nous avons des arbitres, Nous verrons qui de nous s’obſtine à juſtes titres.	Quoi qu'il en soit, Monsieur, nous avons des arbitres, Nous verrons qui de nous s'obstine à justes titres.
Peut-eſtre eſt-il jugé, je m'en vais le ſçavoir?	Peut-être est-il jugé, je m'en vais le savoir?
Puis aprés nous verrons.	Puis après nous verrons.
LE DOCTEUR ſevere.	LE DOCTEUR sévère.
Hé que pourrons nous voir?	Hé que pourrons nous voir?
EE DOCIE O R relntne, Jos raiſons ſans égard.	CE DOCIE Ô R relîtne, Jos raisons sans égard.
LE DOCTEUR ſevere.	LE DOCTEUR sévère.
