E SUS MARIA.	 EUS MARIA.
C’eſt la grace, Seigneurs, que de vous je demande.	C'est la grâce, Seigneurs, que de vous je demande.
GASPARD.	GASPARD.
Avec plaiſir, grand Roi, nous vous le promettons, C’eſt un don precieux que nous vous ſouhaittons.	Avec plaisir, grand Roi, nous vous le promettons, C'est un don précieux que nous vous souhaitons.
Fin du ſecond Acte.	Fin du second Acte.
ACTE III.	ACTE III.
DGHAVDIALAAIERE.	DGHAUDIALAIERE.
ARISTOBULE, HYRCANUS.	ARISTOBULE, HYYRCANS.
ARISTOBULE.	ARISTOBULE.
Epuis un ſi long-tems que l’amitie nous lie, AI Je crois pouvoir venir ſur ce qui ſe publie, Conferer des moyens entre vous ſeul & moi, Avant que de l’aller apprendre à nôtre Roi.	Epuis un si longtemps que l'amitié nous lie, A Je crois voir venir sur ce qui se publie, Conférer des moyens entre vous seul et moi, Avant que de l'aller apprendre à notre Roi.
HYRCANUS.	HYRCANUS.
Vous me parlés, je crois, de ce qu’on dit qu’au Temple, Certain fait s’eſt paſſé, dont on n’a point d’exemple, Une femme y venant pour ſe purifier;	Vous me parlès, je crois, de ce qu'on dit qu'au Temple, Certain fait s'est passé, dont on n'a point d'exemple, Une femme y venant pour se purifier;
Y preſenta ſon fils pour le ſacrifier;	Y présenta son fils pour le sacrifier;
Et juite Simeon, Anne la Propheteſſe, L’un & l’autre rempli de joye & de tendreſſe, A l’aſpect de la mere, & ſur tout de l’enfant, Au milieu de la preſſe allerent à l’inſtant, Reconnoître l’Enfant pour le divin Meſſie, Sans craindre d’exciter contr’eux la jalouſie.	Et juite Simeon, Anne la Prophétesse, L'un et l'autre rempli de joie et de tendresse, A l'aspect de la mère, et sur tout de l'enfant, Au milieu de la presse allèrent à l'instant, Reconnaître l'Enfant pour le divin Messie, Sans craindre d'exciter contr'eux la jalousie.
ARISTOBULE.	ARISTOBULE.
Oüi, ſans doute, c’eſt d’eux que j’entends vous parler, N’eſt-ce pas un ſujet à nous faire trembler?	Oui, sans doute, c'est d'eux que j'entends vous parler, N'est-ce pas un sujet à nous faire trembler?
Pour l’annoncer au Roi, comment ſe faut-il prendre?	Pour l'annoncer au Roi, comment se faut-il prendre?
Il faut inceſſamment auprés de lui nous rendre, On ne peut lui cacher ce memorable fait, Il ſeroit ſeurement de nous mal ſatisfait.	Il faut incessamment auprès de lui nous rendre, On ne peut lui cacher ce mémorable fait, Il serait sûrement de nous mal satisfait.
HYRCANUS.	HYRCANUS.
Loin de la lui cacher, il eſt trés-neceſſaire De lui dire au plûtôt cette importante affaire;	Loin de la lui cacher, il est très-nécessaire De lui dire au plûtôt cette importante affaire;
S’il vient à la ſçavoir par d’autres que par nous, De ſes riches faveurs, comme on eſt ſi jaloux, Et que pour les avoir il n’eſt rien qu’on ne faſſe, Nous pourrions encourir ſa haine & ſa diſgrace.	S'il vient à la savoir par d'autres que par nous, De ses riches faveurs, comme on est si jaloux, Et que pour les avoir il n'est rien qu'on ne fasse, Nous pourrions encourir sa haine et sa disgrâce.
ARISTOBULE.	ARISTOBULE.
Il auroit tout ſujet dans cette occaſion, De nous tarer tous deux de peu d'attention, Nous ſommes obligés dans ce qui le regarde, De l’avertir de tout.	Il aurait tout sujet dans cette occasion, De nous tarer tous deux de peu d'attention, Nous sommes obligés dans ce qui le regarde, De l'avertir de tout.
& d’y bien prendre garde.	et d'y bien prendre garde.
HYRCANUS.	HYRCANUS.
Nôtre deſtin dépend entierement du ſien, Il faut nous défier d’un parti Phariſien.	Notre destin dépend entièrement du sien, Il faut nous défier d'un parti Pharisien.
Il excito touo mam le Peuple a la vengéancè, Son audace pourroit mépriſer la puiſſance;	Il excito touo mam le Peuple à la vengéancè, Son audace pourrait mépriser la puissance;
Il groſſit tous les jours s’expoſant aux hazards, Peut-être ſur ce Roi jette-t’il ſes regards.	Il grossit tous les jours s'exposant aux hasards, Peut-être sur ce Roi jette-t-il ses regards.
ARISTOBULE.	ARISTOBULE.
Mais nous perdons ici bien du tems, ce me ſemble, Tout ce qu’a ce ſujet nous devons dire enſemble;	Mais nous perdons ici bien du temps, ce me semble, Tout ce qu'a ce sujet nous devons dire ensemble;
Il faudra ſans manquer le repeter au Roi:	Il faudra sans manquer le répéter au Roi:
Convenons ſeulement;	Convenons seulement;
mais le voici, je crois.	mais le voici, je crois.
SCENE SECONDE.	SCÈNE SECONDE.
HERODE, ARISTOBULE, HYRCANUS.	HÉRODE, ARISTOBULE, HYRCANS.
ARISTOBULE.	ARISTOBULE.
T Ncore ici, grand Roi, vous venés nous ſurprendre, L Nous allions l’un & l’autre auprés de vous nous rendre, Et meditions comment vous pouvoir annoncer, Ce que nous avons peine à pouvoir prononcer.	 Ncore ici, grand Roi, vous venez nous surprendre, L Nous allions l'un et l'autre auprès de vous nous rendre, Et méditions comment vous pouvoir annoncer, Ce que nous avons peine à pouvoir prononcer.
HERODE.	HÉRODE.
Quel eſt donc ce ſujet qui vous fait peine à dire?	Quel est donc ce sujet qui vous fait peine à dire?
Je m’apperçois aſſés que vôtre cœur ſoûpire;	Je m'aperçois assez que votre cœur soupire;
Eſt-ce aprés des emplois & des honneurs plus grands?	Est-ce après des emplois et des honneurs plus grands?
Aſpirés-vous d’avoir de plus ſublimes rangs?	Asprez-vous d'avoir de plus sublimes rangs?
Voulés-vous poſſeder de plus amples richeſſes, Avoir de mon amour de plus vives tendreſſes;	Voulez-vous posséder de plus amples richesses, Avoir de mon amour de plus vives tendresses;
Gouter dans le repos des plaiſirs les plus doux;	Goûter dans le repos des plaisirs les plus doux;
Et vous voir élevés au premier rang de tous, Ou la funente mort de queiqu’i de vos protnes, Vous donne-t’elle lieu d’en faire des reproches?	Et vous voir élevez au premier rang de tous, Ou la funente mort de queiqu'y de vos protnes, Vous donne-t-elle lieu d'en faire des reproches?
ARISTOBULE.	ARISTOBULE.
Non, rien de tout cela ne peut toucher nos cœurs;	Non, rien de tout cela ne peut toucher nos cœurs;
Sire, ils en ſont remplis par toutes vos faveurs:	Sire, ils en sont remplis par toutes vos faveurs:
Pourrions-nous ſouhaitter de plus grands avantages?	Pourrions-nous souhaiter de plus grands avantages?
a1 voocendres ponces nous fenona mmles outrages;	a1 vocendres ponces nous fenona mmles outrages;
Nous cherchons ce qui peut vous rendre plus heureux, Accroître vôtre gloire & la nôtre en tous lieux.	Nous cherchons ce qui peut vous rendre plus heureux, Accroître votre gloire et la nôtre en tous lieux.
HYRCANUS.	HYRCANUS.
En tout nôtre deſtin, Sire, dépend du vôtre, Il changeroit bien-tôt ſous l’empire d’un autre, De le craindre, dans peu nous en avons ſujet, Si nous n’en pouvons pas détourner le projet.	En tout notre destin, Sire, dépend du vôtre, Il changerait bientôt sous l'empire d'un autre, De le craindre, dans peu nous en avons sujet, Si nous n'en pouvons pas détourner le projet.
HERODE.	HÉRODE.
votre eſprit eſt trouble de quelque vain phantôme, Quel ſujet avés-vous de craindre en ce Royaume?	votre esprit est trouble de quelque vain phantôme, Quel sujet avez-vous de craindre en ce Royaume?
Qu’un autre vienne ici dans peu le gouverner, Si le deſtin pour vous ne s’en peut détourner.	Qu'un autre vienne ici dans peu le gouverner, Si le destin pour vous ne s'en peut détourner.
ARISTOBULE.	ARISTOBULE.
Ail, one, ouones vous ce que ces nomnes fages, Ces Princes d’Orient, ces Rois qu’on nomme Mages, Vous ont dit de l’Enfant qu’ils viennent adorer, Ne ſe contentant pas de vouloir l’honorer, Ils vouloient ſe ſoumettre aux Loix de ſon Empire.	Ail, one, ouones -vous ce que ces nomnes sages, Ces Princes d'Orient, ces Rois qu'on nomme Mages, Vous ont dit de l'Enfant qu'ils viennent adorer, Ne se contentant pas de vouloir l'honorer, Ils voulaient se soumettre aux Lois de son Empire.
HYRCANUS.	HYRCANUS.
Quelque choſe, grand Roi, que vous ayés pû dire, Contre vos ſentimens, ils ont crû que ce Roi, Devoit nous impoſer une nouvelle Loi.	Quelque chose, grand Roi, que vous ayez pu dire, Contre vos sentiments, ils ont cru que ce Roi, Devait nous imposer une nouvelle Loi.
HERODE.	HÉRODE.
Vous voulés donc, je crois, me parler du Meſſie, Ce Roi qui ſur mon Sceptre a de la jalouſie, Qui prend déja lui-même en ſa Nativité.	Vous voulez donc, je crois, me parler du Messie, Ce Roi qui sur mon Sceptre a de la jalousie, Qui prend déjà lui-même en sa Nativité.
Le nom de Roi des Juifs & ſon autorité, Qui veut que ſon pouvoir s’étende davantage;	Le nom de Roi des Juifs et son autorité, Qui veut que son pouvoir s'étende davantage;
Punque deja ces Rois viennent lui rendre hommage.	Punque déjà ces Rois viennent lui rendre hommage.
ARISTOBULE.	ARISTOBULE.
Oüi, Sire, de ce Roi nous voulons vous parler, Eh!	Oui, Sire, de ce Roi nous voulons vous parler, Eh!
que ſerviroit-il de le diſſimuler?	que servirait-il de le dissimuler?
Ces Princes vous avoient promis d’être fidelles, Si tôt qu’ils l’auroient vû d’en donner des nouvelles;	Ces Princes vous avaient promis d'être fidèles, Si tôt qu'ils l'auraient vu d'en donner des nouvelles;
Mais d’eux ni de l’Enfant, vous n’avés rien a pris, Ce que nous avons tous également compris;	Mais d'eux ni de l'Enfant, vous n'avez rien a pris, Ce que nous avons tous également compris;
C’eſt qu’ils avoient été trompés dans leur avente:	C'est qu'ils avaient été trompés dans leur avente:
Qu’il faloit que ce fut une choſe conſtante, Vous ne pouviés douter qu’ils manqueroient de foi;	Qu'il fallait que ce fut une chose constante, Vous ne pouviez douter qu'ils manqueraient de foi;
Ils en avoient donné leur parole de Roi :	Ils en avaient donné leur parole de Roi :
Ou que l’ayant trouvé dans un pauvre équipage, Honteux en cet état de lui faire un hommage;	Ou que l'ayant trouvé dans un pauvre équipage, Honteux en cet état de lui faire un hommage;
Ils veulent nous cacher qu’ils ont été trompés, Par ce ſigne apparent qui les avoit frappé, Ils ne l’ont pas alors connu pour le Meſſie, Que tout le monde attend ſelon la prophetie;	Ils veulent nous cacher qu'ils ont été trompés, Par ce signe apparent qui les avait frappé, Ils ne l'ont pas alors connu pour le Messie, Que tout le monde attend selon la prophétie;
Et voulant s’épargner l’humiliation, D’un voyage entrepris à leur confuſion, Par un autre chemin ces trop credules Princes, cont partis en lecret pour gagner leurs Provinces:	Et voulant s'épargner l'humiliation, D'un voyage entrepris à leur confusion, Par un autre chemin ces trop crédules Princes, cont partis en lecret pour gagner leurs Provinces:
C’eſt ce qu’à leur ſujet nous avons tous penſés, Mais tous nos préjugés ſur ce qui s’eſt paſſé, Ne nous empêchent pas de croire ſa naiſſance.	C'est ce qu'à leur sujet nous avons tous pensés, Mais tous nos préjugés sur ce qui s'est passé, Ne nous empêchent pas de croire sa naissance.
HERODE.	HÉRODE.
Pouvés-vous m’en donner une entiere aſſeurance?	Pouvez-vous m'en donner une entière assurance?
HYRCANUS.	HYRCANUS.
Oüi, Sire, il eſt facile & par des faits conſtans, Jamais on n’en a vû qui ſoient plus ſurprenans;	Oui, Sire, il est facile et par des faits constants, Jamais on n'en a vu qui soient plus surprenants;
Le plus fameux de tous vient d’arriver au Temple, Il l’eſt aſſurément, on n’en a point d’exemple:	Le plus fameux de tous vient d'arriver au Temple, Il l'est assurément, on n'en a point d'exemple:
Certaine temme y vint pour ſel purifier, Preſenta ſon enfant pour le ſacrifier;	Certaine témme y vint pour sel purifier, Presenta son enfant pour le sacrifier;
Le juſte Simeon, Anne la Propheteſſe, L’un & l’autre remplis de joye & de tendreſſe, A l’aſpect de la mere & ſur tout de l’enfant;	Le juste Simeon, Anne la Prophétesse, L'un et l'autre remplis de joie et de tendresse, À l'aspect de la mère et sur tout de l'enfant;
Au milieu de la preſſe allerent à l’inſtant, Reconnoitre l’enfant pour le divin Meſſie, Sans craidre d’exciter contr eulx la jalouſie.	Au milieu de la presse allèrent à l'instant, Reconnaître l'enfant pour le divin Messie, Sans craidre d'exciter contr eulés la jalousie.
HERODE.	HÉRODE.
Quoi!	Quoi!
comptés-vous ce fait pour un fait ſi fameux?	comptez-vous ce fait pour un fait si fameux?
Prouve t’il que l’enfant ſoit l’Envoyé des Cieux?	Prouve -t-il que l'enfant soit l'Envoyé des Cieux?
Parce que Simeon & cette bonne femme, L’ont dit par le tranſport d’une celeſte flâme.	Parce que Simeon et cette bonne femme, L'ont dit par le transport d'une céleste flamme.
somnes-nous oonges de cront aveugiement, Que l’enfant ſoit le Chriſt?	somnes-nous oonges de cront aveugiement, Que l'enfant soit le Christ?
j’en doute aſſurément.	j'en doute assurément.
ARISTOBULE.	ARISTOBULE.
Pour peu que l’on défere au divin Malachie, Il n’en faut point douter ſelon ſa Prophetie;	Pour peu que l'on défère au divin Malachie, Il n'en faut point douter selon sa Prophétie;
L’Ange du Teſtament, le ſouverain Seigneur, Dont vemi dans lont Tempie etaler lu grundeur;	L'Ange du Testament, le souverain Seigneur, Dont vemi dans lont Tempie étaler lu gruneur;
Il ſera pour le Ciel envoyé ſur la terre, Pour nous donner la paix & terminer la guerre.	Il sera pour le Ciel envoyé sur la terre, Pour nous donner la paix et terminer la guerre.
HYRCANUS.	HYRCANUS.
Sire, écoutés la ſuite, & vous allés ſçavoir, Ce que nous ne pouvions auparavant prévoir, Que ſi pour vos deſſeins cela s’étoit pû faire;	Sire, écoutez la suite, et vous allez savoir, Ce que nous ne pouvions auparavant prévoir, Que si pour vos desseins cela s'était pu faire;
Nous aurions eu, grand Roi, lieu de vous ſatisfaire Alors on auroit pu le iaifir de Tenfant, Ou s’informer du lieu qui le cache à preſent, Le chercher avec ſoin, l’arrêter par prudence, Et dans un lieu ſecret le mettre en aſſurance.	Nous aurions eu, grand Roi, lieu de vous satisfaire Alors on aurait pu le jaifir de Tenfant, Ou s'informer du lieu qui le cache à présent, Le chercher avec soin, l'arrêter par prudence, Et dans un lieu secret le mettre en assurance.
ARISTOBULE.	ARISTOBULE.
Mais s’il eſt envoyé du Monarque Eternel, à il vient pour denvrer je reuple d’iael, Comme le ſaint Viellard Simeon le publie, ( Lui que l’on ne doit pas accuſer de folie;	Mais s'il est envoyé du Monarque Éternel, à il vient pour denvrer je reuple d'yael, Comme le saint Viellard Simeon le publie, ( Lui que l'on ne doit pas accuser de folie;
De le craindre dans peu n’avons-nous pas ſujet;	De le craindre dans peu n'avons-nous pas sujet;
Si nous n’en pouvons pas détourner le projet?	Si nous n'en pouvons pas détourner le projet?
HERODE.	HÉRODE.
Ce Roi donc ſur mon Sceptre a de la jalouſie, Simeon a-t’il dit que c’étoit le Meſſie?	Ce Roi donc sur mon Sceptre a de la jalousie, Simeon a-t-il dit que c'était le Messie?
ARISTOBULE.	ARISTOBULE.
Oüi, de ce ſaint Enfant s’approchant humblement, Le prit entre ſes bras le baiſa tendrement, Et d’une affection des plus grandes qu’on voye, Il s’éeria tout haut dans un tranſport de joye;	Oui, de ce saint Enfant s'approchant humblement, Le prit entre ses bras le baisa tendrement, Et d'une affection des plus grandes qu'on voie, Il s'éeria tout haut dans un transport de joie;
C’eſt maintenant, Seigneur, qu’au gré de tous mes ſouhaits, Vous me laiſſés mourir dans le ſein de la Paix, Mon attente ennuïeuſe en ce jour ſe conſole, Vous me l’aviés promis, vous me tenés parole;	C'est maintenant, Seigneur, qu'au gré de tous mes souhaits, Vous me laissez mourir dans le sein de la Paix, Mon attente ennueuse en ce jour se console, Vous me l'avez promis, vous me tene parole;
Je ne devois mourir ſans avoir le bonheur, De voir auparavant ce divin Redempteur;	Je ne devais mourir sans avoir le bonheur, De voir auparavant ce divin Rédempteur;
Du Peuple d’Iſraël il doit être la gloire.	Du Peuple d'Israël il doit être la gloire.
Sur tous ſes ennemis il aura la victoire;	Sur tous ses ennemis il aura la victoire;
rour iuunere aux oentils vous le donnés, Seigneur Et de tous les humains le deſtinés Sauveur.	rour juunere aux oentils vous le donnez, Seigneur Et de tous les humains le destinez Sauveur.
HYRCANUS.	HYRCANUS.
Sire, il a dit encore, ô parole étonnante!	Sire, il a dit encore, ô parole étonnante!
Elle ſaiſit d’effroi l’ame la plus conſtante,) L’adreſſant à ſa mere, il dit, les beniſſant, Voyés-vous, Mere, enfin cet adorable Enfant;	Elle saisit d'effroi l'âme la plus constante,) L'adressant à sa mère, il dit, les bénissant, Voyez-vous, Mère, enfin cet adorable Enfant;
Il ſera d’entre nous de pluſieurs la ruine:	Il sera d'entre nous de plusieurs la ruine:
D'auties prendront la vie en ſa bonté divine;	D'auties prendront la vie en sa bonté divine;
Un jour à ſon ſujet une vive douleur, Comme un glaive afmiey vous peitera le cœur.	Un jour à son sujet une vive douleur, Comme un glaive afmie vous péitera le cœur.
HERODE.	HÉRODE.
O Ciel!	Ô Ciel!
quoi!	quoi!
de pluſieurs il ſera la ruine?	de plusieurs il sera la ruine?
Ce mot me fait trembler, me ſaiſit, me chagrine.	Ce mot me fait trembler, me saisit, me chagrine.
HYRCANUS.	HYRCANUS.
Anne au milieu du Temple, en loüant le Seigneur, Excitoit tout le Peuple à lui donner ſon cœur, Faiſoit tous ſes efforts à lui faire comprendre, Qu’il ne devoit jamais d’autre Sauveur attendre, Qu’il devoit le loüer ſelon tout ſon pouvoir, Dequ'il etont teſui qu’on deſiroit de voir, Que puiſqu’il le venoit délivrer d’eſclavage, Il devoit reconnoître un ſi grand avantage;	Anne au milieu du Temple, en louant le Seigneur, Excitait tout le Peuple à lui donner son cœur, Faisait tous ses efforts à lui faire comprendre, Qu'il ne devait jamais d'autre Sauveur attendre, Qu'il devait le louer selon tout son pouvoir, Dequ'il etont tesui qu'on désirait de voir, Que puisqu'il le venait délivrer d'esclavage, Il devait reconnaître un si grand avantage;
Et ſe ſoûmettre enfin à la nouvelle Loi, Qu’il venoit lui donner comme ſouverain Roi.	Et se soumettre enfin à la nouvelle Lois, Qu'il venait lui donner comme souverain Roi.
ARISTOBULE.	ARISTOBULE.
De ſainte Elizabeth & de ſaint Zacharie, On publia la gloire avec ceremonie, On ſçait que l’un & l’autre avoient paſſé le tems, De pouvoir de leurs jours produire des enfans, D'un âge aſſés uſé provenoit cet obſtacle;	De sainte Élisabeth et de saint Zacharie, On publia la gloire avec cérémonie, On sait que l'un et l'autre avaient passé le temps, De pouvoir de leurs jours produire des enfants, D'un âge assez usé provenait cet obstacle;
Mais un chacun regarde, & prend pour un miracle;	Mais un chacun regarde, et prend pour un miracle;
Le Fils qu’Eliſabeth a produit depuis peu,	Le Fils qu'Élisabeth a produit depuis peu,
HERODE.	HÉRODE.
Quels ſont-ils donc ces faits?	Quels sont-ils donc ces faits?
HYRCANUS.	HYRCANUS.
Sire, ils ſont admirables, Mais quelques-uns pour nous paroiſſent redoutables, A vôtre Majeſté j’en vais faire un precis, Ses plus proches parens quand il fut circoncis, D’un commune voix le nommoient Zacharie, La ſeule Elizabeth à ce nom ſe recrie, Et veut abſolument qu’il ſoit appellé Jean, Le Ciel le veut ainſi, leur dit-elle à l’inſtant.	Sire, ils sont admirables, Mais quelques-uns pour nous paraissent redoutables, À votre Majesté j'en vais faire un précis, Ses plus proches parents quand il fut circoncis, D'un commune voix le nommaient Zacharie, La seule Élisabeth à ce nom se recrie, Et veut absolument qu'il soit appelé Jean, Le Ciel le veut ainsi, leur dit-elle à l'instant.
ARISTOBULE.	ARISTOBULE.
Grand Roi, contre ce nom ils lui repreſenterent, Que nuls parens entr’eux jamais ne le porterent, Au bon plaiſir du pere ils remirent le tout, Et le ſage Vieillard mit cet affune à bout, Il declara ſon nom d’une langue muette, Il le mit en écrit ſur un pli de tablette, On lût, Jean, eſt le nom que l’enfant doit avoir.	Grand Roi, contre ce nom ils lui représentèrent, Que nuls parents entreux jamais ne le portèrent, Au bon plaisir du père ils remirent le tout, Et le sage Vieillard mit cet affune à bout, Il déclara son nom d'une langue muette, Il le mit en écrit sur un pli de tablette, On lut, Jean, est le nom que l'enfant doit avoir.
HYRCANUS.	HYRCANUS.
Mais, Sire, dans l’inſtant, ô ſouverain pouvoir, Qui peut quand il lui plait malgré tous les obſtacles, Faire ce qu’on appelle entre nous des liiraeies;	Mais, Sire, dans l'instant, ô souverain pouvoir, Qui peut quand il lui plaît malgré tous les obstacles, Faire ce qu'on appelle entre nous des liiraeies;
Pour n’avoir pas du Ciel voulu croire à la voix, Zacharie en devint muet pendant neuf mois, Ce qu’il lui declaroit par la bouche d’un Ange, Etoit ſi merveilleux qu’il le trouvoit étrange.	Pour n'avoir pas du Ciel voulu croire à la voix, Zacharie en devint muet pendant neuf mois, Ce qu'il lui déclarait par la bouche d'un Ange, Etoit si merveilleux qu'il le trouvait étrange.
ARISTOBULE.	ARISTOBULE.
Cependant, Sire, alors l’Ange lui prédiſoit, Ce que ſon fils un jour dans le monde ſeroit, Qu’il devoit preceder le Chriſt dans vôtre Empire, Qu’il s’appelleroit Jean, comme on vient de le dire Seroit grand devant Dieu rempli du ſaint Eſprit:	Cependant, Sire, alors l'Ange lui prédisait, Ce que son fils un jour dans le monde serait, Qu'il devait précéder le Christ dans votre Empire, Qu'il s'appelerait Jean, comme on vient de le dire Serait grand devant Dieu rempli du saint Esprit:
Mais lui doutant du fait dont l’Ange le reprit, Pour preuve qu’il eſt vrai, juſqu’à ce qu’il arrive, De l’uſage, dit-il, de parler je vous prive;	Mais lui doutant du fait dont l'Ange le reprit, Pour preuve qu'il est vrai, jusqu'à ce qu'il arrive, De l'usage, dit-il, de parler je vous prive;
A ce mot il vit l’Ange auſſi-tôt s’envoler, Et connut à l’inſtant qu’il ne pouvoit parler.	À ce mot il vit l'Ange aussitôt s'envoler, Et connut à l'instant qu'il ne pouvait parler.
HYRCANUS.	HYRCANUS.
Le recit de ces faits qui frappent les oreilles, Doit plus toucher les cœurs que les grandes merveilles, Tous ceux qui les ont vû plein de contentement, de Aeunoient entreue avet etonnement, Quel ſera cet enfant?	Le récit de ces faits qui frappent les oreilles, Doit plus toucher les cœurs que les grandes merveilles, Tous ceux qui les ont vu plein de contentement, de Avaient entreue avet étonnement, Quel sera cet enfant?
quelle eſt vôtre penſée?	quelle est votre pensée?
HERODE.	HÉRODE.
La mienne à ce recit ſe trouve embaraſſée.	La mienne à ce récit se trouve embarrassée.
HYRCANUS.	HYRCANUS.
no ne pouvolunt du crerpenerer le denein;	nô ne pouvolunt du crerpenérer le dènein;
Mais, Sire, à Zacharie il revela ſoudain, Que ſon fils Jean venoit preceder le Meſſie.	Mais, Sire, à Zacharie il revela soudain, Que son fils Jean venait précéder le Messie.
ARISTOBULE.	ARISTOBULE.
Alors en lui donnant l’eſprit de prophetie, Il dit en s’écriant, beni ſoit le Seigneur, Et le Dieu d’lſraël, de ſa rare faveur, Il nous a racheté par ſa ſainte viſite:	Alors en lui donnant l'esprit de prophétie, Il dit en s'écriant, béni soit le Seigneur, Et le Dieu d'lsraël, de sa rare faveur, Il nous a racheté par sa sainte visite:
Il nous promet encore ſes beautés dans la ſuite, Il nous delivrera de tous nos ennemis, Si nous lui ſommes tous parfaitement ſoûmis;	Il nous promet encore ses beautés dans la suite, Il nous délivrera de tous nos ennemis, Si nous lui sommes tous parfaitement soumis;
Si nous marchons toûjours dans la droite juſtice, Si nous nous éloignons du commerce du vice.	Si nous marchons toujours dans la droite justice, Si nous nous éloignons du commerce du vice.
HYRCANUS.	HYRCANUS.
De plus, tournant les yeux vers ſon aimable enfant vous leres, iui diten, le riis du lout-puiſſant.	De plus, tournant les yeux vers son aimable enfant vous lères, jui diten, le riis du lout-puissant.
Vous ſerés du Sauveur appellé le Prophete, Vous ſerés de ſà voix la ſonnante trompette, Vous êtes deſtiné pour l’annoncer à tous, Dans peu nous le verrons paroître parmi nous.	Vous serez du Sauveur appelé le Prophète, Vous serez de sà voix la sonnante trompette, Vous êtes destiné pour l'annoncer à tous, Dans peu nous le verrons paraître parmi nous.
ARISTOBULE.	ARISTOBULE.
Nous avons, Sire, appris par des témoins fidéles, Ce que nous vous diſons de toutes ces nouvelles.	Nous avons, Sire, appris par des témoins fidèles, Ce que nous vous disons de toutes ces nouvelles.
HERODE.	HÉRODE.
Avec étonnement je les viens d’écouter, Si tout eſt veritable, on ne peut plus douter, Que le Chriſt ne ſoit né, mais non pas dans la pompe, Comme il nous eſt prédit, c'eit par la qu'il nous trompe, Et qu’il veut nous ſurprendre en ſe cachant de nous;	Avec étonnement je les viens d'écouter, Si tout est véritable, on ne peut plus douter, Que le Christ ne soit né, mais non pas dans la pompe, Comme il nous est prédit, c'éit par la qu'il nous trompe, Et qu'il veut nous surprendre en se cachant de nous;
C’eſt par là qu’il fera beaucoup plus de jaloux.	C'est par là qu'il fera beaucoup plus de jaloux.
ARISTOBULE.	ARISTOBULE.
oiie, de la naiſſance, on n’a plus aucun doute,	oiie, de la naissance, on n'a plus aucun doute,
HERODE.	HÉRODE.
Mais d’où vient que ces Rois ont pris une autre route?	Mais d'où vient que ces Rois ont pris une autre route?
Si le Meſſie eſt né, pourquoi nous le cacher?	Si le Messie est né, pourquoi nous le cacher?
Ils me donnent ſujet contr’eux de me facher, Ils devoient ſans manquer, m’en donner des nouvelles, Ils me l’avoient promis, ils me ſont infidelles;	Il me donnent sujet contr'eux de me fâcher, Ils devaient sans manquer, m'en donner des nouvelles, Ils me l'avaient promis, ils me sont infidèles;
Non, je ne doute plus qu’avec ce nouveau Roi, Ils n’ayent des deſſeins pour agir contre moi, Ils ont aſſurément fort bien joüé leur rôle.	Non, je ne doute plus qu'avec ce nouveau Roi, Ils n'aient des desseins pour agir contre moi, Ils ont assurément fort bien joué leur rôle.
HYRCANUS.	HYRCANUS.
Sire, ils ne devoient pas vous manquer de parole, On peut juger de-là ce qu’ils font contre vous, M laut le preparer pour repouſſer leurs coups, Avec ce nouveau Roi pour fait de conſequence, Je ſuis trés-convaincu qu’ils ſont d’intelligence.	Sire, ils ne devaient pas vous manquer de parole, On peut juger de-là ce qu'ils font contre vous, M laut le préparer pour repousser leurs coups, Avec ce nouveau Roi pour fait de conséquence, Je suis très-convaincu qu'ils sont d'intelligence.
HERODE.	HÉRODE.
Ce fait;	Ce fait;
freir doutes pas, butte à me detrôner;	freyr tes pas, butte à me détrôner;
Mais ſon ambition ne pouvant ſe borner;	Mais son ambition ne pouvant se borner;
On le verra bien-tôt dans les autres Royaumes Aſpirer à l’honneur de regir tous les hommes.	On le verra bientôt dans les autres Royaumes Aspirer à l'honneur de régir tous les hommes.
ARISTOBULE.	ARISTOBULE.
Si c’eſt le Chriſt promis, on n’en peut pas douter, L’Ecriture le dit, ct ie luit reuouter, Il doit ſoûmettre enfin par un coup de puiſſance, Toutes les Nations à ſon obéiſſance;	Si c'est le Christ promis, on n'en peut pas douter, L'Écriture le dit, çie luit revouter, Il doit soumettre enfin par un coup de puissance, Toutes les Nations à son obéissance;
Et le faiſant par tout reconnoitre pour Roi, Engager tout le monde à recevoir ſa Loi.	Et le faisant par tout reconnaître pour Roi, Engager tout le monde à recevoir sa Loi.
HERODE.	HÉRODE.
Quel trouble en mon eſprit!	Quel trouble en mon esprit!
quelle étrange avanture!	quelle étrange aventure!
Mais quoi!	Mais quoi!
que ferons-nous dans cette conjoncture?	que ferons-nous dans cette conjoncture?
HYRCANUS.	HYRCANUS.
Elle eſt, Sire, un abime où l'on craint d’aborder;	Elle est, Sire, un abime où l'on craint d'aborder;
Il eſt bien difficile à pouvoir accorder, Ce qui nous eſt prédit avec ce qui ſe paſſe, Je ne le comprends pas, tout cela me ſurpaſſe.	Il est bien difficile à pouvoir accorder, Ce qui nous est prédit avec ce qui se passe, Je ne le comprends pas, tout cela me surpasse.
C’eſt un miſtere obſcur à nôtre entendement;	C'est un mystère obscur à notre entendement;
Dans le doute, grand Roi, de cet évenement, On doit avec raiſon en prévenir la ſuite.	Dans le doute, grand Roi, de cet événement, On doit avec raison en prévenir la suite.
HERODE.	HÉRODE.
